[00:00:01.318 --> 00:00:02.899]  Or less than 10 minutes, I guess.
[00:49:57.680 --> 00:50:07.002]  So, even right down to the children's toys, I mean, we had the picture of the Lego World Surveillance Truck with all the high-tech surveillance equipment on it.
[00:50:07.002 --> 00:50:09.023]  And notice the police all have hateful faces.
[00:50:10.439 --> 00:50:11.680]  Yeah, right down to that level.
[00:50:11.680 --> 00:50:15.624]  It's being brought in to do with the children.
[00:50:15.624 --> 00:50:16.364]  Oh, it's incredible.
[00:50:16.364 --> 00:50:18.266]  I mean, some of these articles I've got here in front of me.
[00:50:18.266 --> 00:50:23.390]  Coffee Anna yesterday says, in the UN Newswire, we must give in to a global government.
[00:50:23.390 --> 00:50:24.951]  National sovereignty must end.
[00:50:24.951 --> 00:50:26.313]  I mean, that's right out in the open.
[00:50:26.313 --> 00:50:28.534]  But Rush Limbaugh says, there is no global government.
[00:50:28.534 --> 00:50:29.535]  If you say it, you're a kook.
[00:50:29.535 --> 00:50:30.156]  It doesn't exist.
[00:50:31.360 --> 00:50:35.202]  And then you can follow the actual Vatican Newswire as well.
[00:50:35.202 --> 00:50:38.003]  They're basically coming out with the same thing each week.
[00:50:38.003 --> 00:50:39.824]  Submit to global government.
[00:50:39.824 --> 00:50:43.286]  Unite in the face of, you know, terrorism and all this stuff.
[00:50:43.286 --> 00:50:48.949]  So, right down to the Vatican itself in alliance with the UN.
[00:50:48.949 --> 00:50:59.914]  I don't think people realize, Paul, what it means when on ABC, CBS, NBC, Fox, it's the same ads, the same statements, the same teleprompter messages in the same order.
[00:51:01.850 --> 00:51:17.392]  Same thing as well, the news in America is in fact more commercial than it is in this country because I mean you listen to a news broadcast on American radio every five minutes they have a message from the sponsor and it's either to do with CPS grabbing kids or
[00:51:19.545 --> 00:51:22.206]  You know, on star, protecting somebody.
[00:51:22.206 --> 00:51:30.890]  So, the news is littered with these examples, so it's a fusion between corporations and government that is then forcing this down our necks.
[00:51:30.890 --> 00:51:32.051]  We're a poetry neighbor.
[00:51:32.051 --> 00:51:32.891]  Do they have guns?
[00:51:32.891 --> 00:51:33.892]  Do they have drugs?
[00:51:33.892 --> 00:51:36.313]  Do they... They're not nice to the child?
[00:51:36.313 --> 00:51:37.013]  Give them to us.
[00:51:37.013 --> 00:51:41.255]  We're five times more likely to abuse them, but never mind those numbers.
[00:51:41.255 --> 00:51:43.196]  Have you heard that neocon star piece we hear?
[00:51:44.023 --> 00:51:46.845]  Yeah, that pretty much puts the bottom line on it.
[00:51:46.845 --> 00:51:49.868]  Yeah, I want to put that on prison planning.
[00:51:49.868 --> 00:51:51.269]  Do you think you can find that and put it on?
[00:51:51.269 --> 00:51:52.970]  Yeah, sure.
[00:51:52.970 --> 00:52:01.737]  Alright, and I want to put up all that interview with that fellow with the public school down in Louisiana, because I'm getting those documents.
[00:52:01.737 --> 00:52:04.419]  I saw the news articles on it, but I'm getting the documents.
[00:52:04.419 --> 00:52:08.702]  And then once you post the audio link, I'll scan in those documents and post that.
[00:52:09.554 --> 00:52:11.596]  Okay, we'll post it all together.
[00:52:11.596 --> 00:52:19.844]  Yeah, because you're doing a great job at PrisonPlanet.com, and I want to come back and send a few final news articles.
[00:52:19.844 --> 00:52:30.153]  Administration creates Center for Master Terror Watchlist, and it says it will be people who have ties to domestic events like violence at abortion clinics.
[00:52:30.153 --> 00:52:32.215]  And it says pro-life movements, gun owners,
[00:52:32.933 --> 00:52:39.176]  This is the new terror watch list, as we warned you, will be homeschoolers, gun owners, and that's right out of the New York Times.
[00:52:39.176 --> 00:52:40.757]  Sounds good, doesn't it?
[00:52:40.757 --> 00:52:44.839]  Yeah, fused in with Homeland Security as well to wash American citizens.
[00:52:44.839 --> 00:52:48.681]  But I thought they said it wasn't for citizens.
[00:52:48.681 --> 00:52:50.182]  Believe the lie.
[00:52:50.182 --> 00:52:52.963]  Well, Section 802 says it's directly for all misdemeanors.
[00:52:54.394 --> 00:52:56.076]  And it actually shows the new Patriot Act.
[00:52:56.076 --> 00:53:02.243]  They can secretly arrest you, torture you, and then blow your head off.
[00:53:02.243 --> 00:53:02.984]  That's freedom.
[00:53:02.984 --> 00:53:04.125]  That's what the veterans fought for.
[00:53:25.689 --> 00:53:28.791]  I have the book, Order Out of Chaos, in my hands.
[00:53:28.791 --> 00:53:31.613]  You need to have one, written by Paul Watson.
[00:53:31.613 --> 00:53:32.594]  It is excellent.
[00:53:32.594 --> 00:53:34.455]  $19.95, 330 plus pages.
[00:53:34.455 --> 00:53:35.215]  Get a second copy for only $12.
[00:53:35.215 --> 00:53:36.376]  $31.90 to get two copies of the book.
[00:53:36.376 --> 00:53:37.117]  $19.95 to get one copy.
[00:53:37.117 --> 00:53:37.637]  Give it as a gift.
[00:53:37.637 --> 00:53:39.578]  Get one for yourself, one as a gift.
[00:53:48.760 --> 00:53:57.086]  Get my new film, Police State 3 Total Enslavement, if you want to just have an overall view of how sick these people are for their own admissions.
[00:53:59.002 --> 00:54:00.263]  You need to get the videos.
[00:54:00.263 --> 00:54:01.384]  You need to get the books.
[00:54:01.384 --> 00:54:09.830]  Go to Infowars.com or PrisonPlanet.com or call toll free right now at 1-888-253-3139.
[00:54:09.830 --> 00:54:14.273]  That's 888-253-3139.
[00:54:14.273 --> 00:54:19.317]  If you want support, we're doing, but most importantly, get the films, get the books, get them out to people.
[00:54:19.317 --> 00:54:21.399]  The globalists are going to win.
[00:54:21.399 --> 00:54:27.063]  If you can just deprogram people that, hey, face scanning cameras aren't good.
[00:54:27.063 --> 00:54:28.344]  Hey, open borders aren't good.
[00:54:28.928 --> 00:54:29.989]  We can save this country.
[00:54:29.989 --> 00:54:42.674]  You can also write to me, Alex Jones, at 3001, that's 3001, South Lamar, Suite 100, Austin, Texas, 78704.
[00:54:42.674 --> 00:54:45.355]  Or PrisonPlanet.com or InfoWars.com.
[00:54:45.355 --> 00:54:45.956]  Don't wait!
[00:54:45.956 --> 00:54:53.019]  Join us in the Second American Restoration trying to get freedom back, folks, against the scientifically crafted social engineers
[00:54:53.815 --> 00:54:59.521]  That want you psychologically, spiritually, physically out of the way so they can inherit the earth.
[00:54:59.521 --> 00:55:02.584]  We cannot put up with that.
[00:55:02.584 --> 00:55:05.387]  Administration creates Center for Master Terror watch list.
[00:55:05.387 --> 00:55:06.568]  Under this you'll have no rights.
[00:55:06.568 --> 00:55:09.531]  Of course, in checkpoints everywhere you'll be coded.
[00:55:09.531 --> 00:55:12.715]  And it says, uh, Christians, homeschoolers, uh, gun owners.
[00:55:14.233 --> 00:55:17.076]  Folks that have protested abortion, you're going to love it, folks.
[00:55:17.076 --> 00:55:19.158]  You're going to love the new conservatism, don't worry.
[00:55:19.158 --> 00:55:21.360]  Terror laws are needless totalitarianism.
[00:55:21.360 --> 00:55:23.383]  BBC admits it's all fake.
[00:55:23.383 --> 00:55:27.027]  Reds to appeal to citizenry for thoughts on homeland security.
[00:55:27.027 --> 00:55:28.208]  That's Delphi Method.
[00:55:28.208 --> 00:55:29.289]  They're not appealing.
[00:55:29.289 --> 00:55:30.871]  These aren't town hall meetings.
[00:55:30.871 --> 00:55:31.632]  These are staged.
[00:55:33.966 --> 00:55:37.229]  Uh, French accused MI5 of failing to help hunt terrorists.
[00:55:37.229 --> 00:55:40.912]  Public meeting on Patriot Act criticized over limited seating.
[00:55:40.912 --> 00:55:44.094]  Arizona Central, as I said, these aren't real public hearings.
[00:55:44.094 --> 00:55:45.635]  They're now having to admit the public's to them.
[00:55:45.635 --> 00:55:46.616]  These aren't real!
[00:55:46.616 --> 00:55:48.177]  You don't let the public in!
[00:55:48.177 --> 00:55:51.900]  You let a hundred cops in and call it a public meeting, they'll, oh look, everybody's for it!
[00:55:51.900 --> 00:55:53.281]  Paul Watson, comments on that?
[00:55:53.281 --> 00:55:57.784]  He thinks it's completely staged.
[00:55:57.784 --> 00:55:59.726]  We had news reporting that
[00:56:01.405 --> 00:56:11.970]  Top officials in the Bush administration have been ordered to write editorial the week before lauding the virtues of the Patriot Act, and then we have Ashcroft on this nationwide tour.
[00:56:11.970 --> 00:56:19.114]  Meanwhile, he's telling everyone that opposes the Patriot Act that they're engaging in hysterics.
[00:56:19.114 --> 00:56:23.236]  So again, to paint everyone that cares about freedom as being a complete kook.
[00:56:23.676 --> 00:56:31.540]  As they announced in the mainstream news from the subsections that misdemeanors, abortion protesting, protesting!
[00:56:31.540 --> 00:56:33.321]  It's all terrorist!
[00:56:33.321 --> 00:56:36.143]  Bush totally against scrapping HB1 visas.
[00:56:36.143 --> 00:56:37.103]  H1B visas.
[00:56:37.103 --> 00:56:40.845]  They say this is going to get seven times worse in the next five years.
[00:56:40.845 --> 00:56:41.826]  Seven times!
[00:56:41.826 --> 00:56:44.307]  You think it's bad now, high-tech folks?
[00:56:44.307 --> 00:56:45.048]  Comments to that.
[00:56:45.048 --> 00:56:47.069]  I mean, they told the staff and guests, great, Paul.
[00:56:48.348 --> 00:57:05.599]  Well yeah, the outsourcing is announced to increase seven times and we've even got these employees on slave wages in India being trained about the weather in America and Britain and what's happening in the TV soaps just to appear as if they're from, you know, America or Britain.
[00:57:05.599 --> 00:57:06.700]  So, down to the American people.
[00:57:06.700 --> 00:57:11.583]  And the Republican Party, when a fundraiser calls you, it's a guy who's been trained with a fake American accent from India.
[00:57:12.623 --> 00:57:13.544]  Completely fake.
[00:57:13.544 --> 00:57:20.208]  They're completely trained to fool people into thinking that it's all American or British based.
[00:57:20.208 --> 00:57:21.188]  Here's another one.
[00:57:21.188 --> 00:57:23.529]  Arkansas to grade kids on obesity.
[00:57:23.529 --> 00:57:24.150]  Your kid's fat.
[00:57:24.150 --> 00:57:25.130]  CPS is going to take him.
[00:57:25.130 --> 00:57:27.211]  Sun Sentinel.
[00:57:27.211 --> 00:57:29.613]  New terror laws used versus common criminals.
[00:57:29.613 --> 00:57:32.074]  ABC News admitting it.
[00:57:32.074 --> 00:57:37.477]  Oh man, and I did a flashback on Infowars.com about what the Patriot Act really does.
[00:57:37.477 --> 00:57:38.258]  Their own admissions.
[00:57:38.258 --> 00:57:40.579]  Just the part that said, it's for all, everybody.
[00:57:41.568 --> 00:57:44.029]  And then they say you're crazy if you say it isn't.
[00:57:44.029 --> 00:57:49.552]  Paul, I really want to thank you for coming on and all your great work, and I really enjoy having you on the show for your insight.
[00:57:49.552 --> 00:57:53.074]  I hope folks visit prisonplanet.com to see your fine work, my friend.
[00:57:53.074 --> 00:57:54.295]  Okay, thanks, Mike.
[00:57:54.295 --> 00:57:55.775]  I appreciate it.
[00:57:55.775 --> 00:57:56.216]  You bet.
[00:57:56.216 --> 00:57:57.516]  Great job on Order Out of Chaos.
[00:57:57.516 --> 00:57:58.837]  I'll be back tonight, 9 to midnight.
[00:57:58.837 --> 00:58:00.438]  Tell your friends and family about the show.
[00:58:00.438 --> 00:58:01.178]  Spread the word.
[00:58:01.178 --> 00:58:02.799]  Educate yourselves.
[00:58:02.799 --> 00:58:04.540]  Stand up against this tyranny!
[00:58:04.540 --> 00:58:08.462]  Defend the core of humanity, the human soul, against the devil!
[00:58:12.249 --> 00:58:15.766]  Through the years of providing water filters to America, you've come to us...
