[00:00.000 --> 00:15.000]  Oh oppression, you prey on us when we sleep
[01:01:56.000 --> 01:02:00.000]  The new fat, which is a find me on Facebook.
[01:02:00.000 --> 01:02:02.000]  He had the nerve.
[01:02:02.000 --> 01:02:04.000]  Find me on Facebook.
[01:02:04.000 --> 01:02:05.000]  This guy.
[01:02:05.000 --> 01:02:06.000]  Um, yeah.
[01:02:06.000 --> 01:02:08.000]  And yeah, that was, that's pretty much it.
[01:02:08.000 --> 01:02:17.000]  Listen, all I saw being surged in San Jose was women and children.
[01:02:17.000 --> 01:02:20.000]  And it's come out in the news over and over again.
[01:02:20.000 --> 01:02:22.000]  I will tell him, Hey, I found cocaine.
[01:02:22.000 --> 01:02:24.000]  You better give me your number.
[01:02:24.000 --> 01:02:26.000]  Yeah, that's bad.
[01:02:26.000 --> 01:02:27.000]  Really quick, Alex.
[01:02:27.000 --> 01:02:28.000]  Really quick.
[01:02:28.000 --> 01:02:31.000]  Um, just to show you how far you're word spreading.
[01:02:31.000 --> 01:02:37.000]  I had a friend tell me about you from, uh, from California when I was studying out there.
[01:02:37.000 --> 01:02:39.000]  He's from Toronto, Canada.
[01:02:39.000 --> 01:02:40.000]  I'm, I'm from New York.
[01:02:40.000 --> 01:02:42.000]  I was born and raised here.
[01:02:42.000 --> 01:02:47.000]  And, you know, when I first heard you, I thought you were some crazy right wing, uh, radical,
[01:02:47.000 --> 01:02:49.000]  you know, I was brainwashing.
[01:02:49.000 --> 01:02:51.000]  I started looking up what you had to say.
[01:02:51.000 --> 01:02:56.000]  And it's sad, unfortunately, but, you know, everything's true.
[01:02:56.000 --> 01:02:57.000]  What you're, what you're saying.
[01:02:57.000 --> 01:03:03.000]  I just, uh, I thank you for opening up my eyes and, uh, I say, keep up the good work.
[01:03:03.000 --> 01:03:05.000]  You're doing your job as a journalist.
[01:03:05.000 --> 01:03:07.000]  Well, look, I'm just a citizen.
[01:03:07.000 --> 01:03:12.000]  I do engage in journalistic analysis, but I'm just an average person who's angry about
[01:03:12.000 --> 01:03:14.000]  tyranny and I'm not going along with it.
[01:03:14.000 --> 01:03:15.000]  David, I appreciate your call.
[01:03:15.000 --> 01:03:18.000]  Barbara in Alabama, you're on the air.
[01:03:18.000 --> 01:03:20.000]  Hi, Alex.
[01:03:20.000 --> 01:03:22.000]  Hey, Barbara.
[01:03:22.000 --> 01:03:24.000]  This is Barbara in Alabama.
[01:03:24.000 --> 01:03:29.000]  Now I want you to know first off, I am pushing 70 years old.
[01:03:29.000 --> 01:03:30.000]  Okay.
[01:03:30.000 --> 01:03:38.000]  I am not a young woman, but me and my friend was going to fly out of the Memphis, Tennessee
[01:03:38.000 --> 01:03:44.000]  airport and I told them I wasn't going to go through that body scanner.
[01:03:44.000 --> 01:03:48.000]  So they said I had to be searched.
[01:03:48.000 --> 01:03:54.000]  So they pulled me over and there was not a part of my body and this is out in public.
[01:03:54.000 --> 01:03:58.000]  This is, I mean, they don't take you in no private room.
[01:03:58.000 --> 01:04:02.000]  You just right out there in public and they, they ain't a part of your body.
[01:04:02.000 --> 01:04:03.000]  They do not touch.
[01:04:03.000 --> 01:04:04.000]  Where did they touch you?
[01:04:04.000 --> 01:04:06.000]  Do they touch your legs?
[01:04:06.000 --> 01:04:10.000]  Yeah, between my legs and across my breast.
[01:04:10.000 --> 01:04:15.000]  And I mean, there wasn't a part of my body they didn't touch, but the worst part was
[01:04:15.000 --> 01:04:20.000]  my friend, she, she saw what they was doing.
[01:04:20.000 --> 01:04:21.000]  Barbara, hold on.
[01:04:21.000 --> 01:04:24.000]  Barbara, some stations don't carry this five minute segment.
[01:04:24.000 --> 01:04:25.000]  I wish they would.
[01:04:25.000 --> 01:04:27.000]  I want you to recap and start your story over.
[01:04:27.000 --> 01:04:32.000]  Then we're going to Emily in Georgia, but there's been many mainstream news articles
[01:04:32.000 --> 01:04:36.000]  written about the better looking a woman, the more they go after them.
[01:04:36.000 --> 01:04:40.000]  And you heard about the guy saying, Hey baby, you know, check me out on Facebook.
[01:04:40.000 --> 01:04:43.000]  I mean, you got a wife that's hotter than the pistol.
[01:04:43.000 --> 01:04:44.000]  Look out.
[01:04:44.000 --> 01:04:48.000]  There's a pervert making $10 an hour and he's going to, he's going to grab them.
[01:04:48.000 --> 01:04:49.000]  We'll be right back.
[01:04:49.000 --> 01:04:53.000]  Alex told you the government announced recently that the recession is over.
[01:04:53.000 --> 01:04:55.000]  It ended on June of 2009.
[01:04:55.000 --> 01:04:59.000]  The millions of Americans unable to find work might not agree.
[01:04:59.000 --> 01:05:03.000]  Perhaps the recession ended for the bankers and government employees, but for the rest
[01:05:03.000 --> 01:05:05.000]  of us, things seemed to be getting worse.
[01:05:05.000 --> 01:05:07.000]  Gold and silver haven't heard the news either.
[01:05:07.000 --> 01:05:10.000]  They've begun their long expected journey to the moon.
[01:05:10.000 --> 01:05:14.000]  In addition to converting your shrinking dollars into gold and silver, you should consider
[01:05:14.000 --> 01:05:16.000]  a food savings account from eFoodsDirect.
[01:05:16.000 --> 01:05:18.000]  They both make fabulous investments.
[01:05:18.000 --> 01:05:23.000]  Food is our greatest dependency and we know it will be more precious than any financial
[01:05:23.000 --> 01:05:24.000]  resource.
[01:05:24.000 --> 01:05:29.000]  You and your family need food to survive a crisis and you can't eat paper, stocks or metals.
[01:05:29.000 --> 01:05:34.000]  Alex has been urging you to invest in delicious, easy fixed meals to enjoy now or save for
[01:05:34.000 --> 01:05:35.000]  long term.
[01:05:35.000 --> 01:05:38.000]  This will freeze the cost of your food while you can still afford it.
[01:05:38.000 --> 01:05:44.000]  Visit eFoodsDirect.com on the internet or call 800-409-5633.
[01:05:44.000 --> 01:06:13.000]  That's eFoodsDirect.com or 800-409-5633.
[01:06:14.000 --> 01:06:43.000]  That's eFoodsDirect.com or 800-409-5633.
[01:06:44.000 --> 01:07:12.000]  That's eFoodsDirect.com or 800-409-5633.
[01:07:12.000 --> 01:07:17.000]  That's eFoodsDirect.com.
[01:07:42.000 --> 01:08:02.000]  That's eFoodsDirect.com.
[01:08:02.000 --> 01:08:14.000]  Now Barbara, you were talking about how you were humiliated in public and you did say they grabbed your genitals, walk through what happened, but as we went to break you said the worst part was what they did to your friend.
[01:08:14.000 --> 01:08:16.000]  But start at the beginning, briefly go over it.
[01:08:16.000 --> 01:08:17.000]  What happened?
[01:08:17.000 --> 01:08:18.000]  You were flying out of Tennessee.
[01:08:18.000 --> 01:08:20.000]  Memphis, you said, go ahead.
[01:08:20.000 --> 01:08:32.000]  Yes, so we were going out of the Memphis, Tennessee airport and of course, you know, I've been listening to you for years, so of course I opted out and I told my friend to opt out.
[01:08:32.000 --> 01:08:42.000]  But when I opted out, they called me just right to the side, right there in front of everybody and do this, what they said it was a pat down.
[01:08:42.000 --> 01:08:49.000]  But it wasn't no pat down, they feel your whole body and that wasn't a part of my body that they did not touch.
[01:08:49.000 --> 01:08:53.000]  Specifically, how hard did they grab your genitals?
[01:08:53.000 --> 01:08:59.000]  Now, I'm going to say the lady who did this was quite polite and she was apologetic.
[01:08:59.000 --> 01:09:10.000]  But while they were doing that to me right there in public, they found my friend's CPAC machine.
[01:09:10.000 --> 01:09:13.000]  Now, she is over 70 years old.
[01:09:13.000 --> 01:09:15.000]  What's a CPAC machine?
[01:09:15.000 --> 01:09:18.000]  It's a breathing machine.
[01:09:18.000 --> 01:09:22.000]  Oh, oh yeah, any type of camera equipment.
[01:09:22.000 --> 01:09:23.000]  That's what I've seen.
[01:09:23.000 --> 01:09:29.000]  I've told the story of World War II vets I saw going to a Pearl Harbor, I remember it's about six years ago in San Francisco.
[01:09:29.000 --> 01:09:33.000]  They were screaming at these guys, getting them out of wheelchairs with their oxygen tanks.
[01:09:33.000 --> 01:09:35.000]  But I'm sorry, go ahead.
[01:09:35.000 --> 01:09:38.000]  Yeah, see, my friend did real bad shit and she can't travel no more.
[01:09:38.000 --> 01:09:44.000]  That's why I was flying with her and they took her machine apart.
[01:09:44.000 --> 01:09:47.000]  Now, this has got a face mask and everything on it.
[01:09:47.000 --> 01:09:49.000]  You can tell it's for her to be able to breathe.
[01:09:49.000 --> 01:09:53.000]  And again, it's this fetish about terrorists and we don't profile anybody.
[01:09:53.000 --> 01:09:54.000]  So everybody's a slave.
[01:09:54.000 --> 01:09:56.000]  How did it end, Barbara?
[01:09:56.000 --> 01:10:00.000]  Okay, well, she got upset when she saw what they was doing to me.
[01:10:00.000 --> 01:10:03.000]  So she said she'd go through the naked body scanner.
[01:10:03.000 --> 01:10:10.000]  And when she went through, it showed up her, we call it a portacast.
[01:10:10.000 --> 01:10:16.000]  It is implanted in her chest, which is a medical device.
[01:10:16.000 --> 01:10:22.000]  I flown with Governor Jesse Ventura, who has a prosthetic hip and they just squeeze on him forever.
[01:10:22.000 --> 01:10:24.000]  And that's why he's moving to Mexico.
[01:10:24.000 --> 01:10:26.000]  He's just like, I'm getting out of East Germany.
[01:10:26.000 --> 01:10:27.000]  I can't handle it.
[01:10:27.000 --> 01:10:28.000]  Barbara, I got to go to other callers.
[01:10:28.000 --> 01:10:30.000]  How did this end?
[01:10:30.000 --> 01:10:35.000]  Well, they took her in this room and they made her take her clothes off and they, you know,
[01:10:35.000 --> 01:10:37.000]  felt her whole body and everything.
[01:10:37.000 --> 01:10:39.000]  And she come out of the ring crying.
[01:10:39.000 --> 01:10:40.000]  They wouldn't let me go.
[01:10:40.000 --> 01:10:41.000]  They're pleased now.
[01:10:41.000 --> 01:10:43.000]  They've trained her to be a good, good slave.
[01:10:43.000 --> 01:10:48.000]  So they took an old woman who has a surgical implant in and they kept us safe from al-Qaeda.
[01:10:48.000 --> 01:10:50.000]  And of course, I'm being sarcastic, saying good.
[01:10:50.000 --> 01:10:54.000]  What's your take on this, Barbara?
[01:10:54.000 --> 01:10:56.000]  It's worse than Nazi Germany.
[01:10:56.000 --> 01:10:57.000]  Oh, Nazi Germany.
[01:10:57.000 --> 01:10:59.000]  They said papers, please.
[01:10:59.000 --> 01:11:02.000]  Here it's, we're going to squeeze your young child's genitals.
[01:11:02.000 --> 01:11:05.000]  And then the average scumbags in denial about this because they love it.
[01:11:05.000 --> 01:11:06.000]  Don't worry.
[01:11:06.000 --> 01:11:08.000]  The government's going to take your pension funds.
[01:11:08.000 --> 01:11:09.000]  Don't worry.
[01:11:09.000 --> 01:11:12.000]  They didn't just shoot up little kids with syphilis in Guatemala.
[01:11:12.000 --> 01:11:14.000]  They're going to hurt you all.
[01:11:14.000 --> 01:11:18.000]  Those of you that love the system and are cowards, you're going to get everything you want.
[01:11:18.000 --> 01:11:20.000]  They're devaluing your dollar right now.
[01:11:20.000 --> 01:11:25.000]  Barbara, I'm sorry that happened to your friend, but America has aborted 51 million babies
[01:11:25.000 --> 01:11:27.000]  because we say they're not human.
[01:11:27.000 --> 01:11:29.000]  So why shouldn't they be making old ladies cry?
[01:11:29.000 --> 01:11:31.000]  We are a demonic nation.
[01:11:31.000 --> 01:11:33.000]  And until we repent, it's over.
[01:11:33.000 --> 01:11:37.000]  And there's this fetish to worship tyranny and law enforcement.
[01:11:37.000 --> 01:11:38.000]  And so it's over.
[01:11:38.000 --> 01:11:42.000]  Let's go ahead and talk to Emma in Georgia Flight Attendant.
[01:11:42.000 --> 01:11:44.000]  You told our screeners they brutalized people.
[01:11:44.000 --> 01:11:45.000]  Go ahead, Emma.
[01:11:45.000 --> 01:11:46.000]  Hi, Alex.
[01:11:46.000 --> 01:11:53.000]  It's Emmy and I am a 31 year flight attendant with a major carrier and I'm heading out to South America tonight.
[01:11:53.000 --> 01:11:58.000]  And I'm a long time listener of you and I have been watching this for many, many months now.
[01:11:58.000 --> 01:12:04.000]  And I just got back from Washington DC the other day and Amsterdam a month ago.
[01:12:04.000 --> 01:12:07.000]  And I have just, I am appalled at what I'm seeing.
[01:12:07.000 --> 01:12:14.000]  We were in Paris about six months ago and we go through a separate, the pilots and flight attendants go through a separate screening.
[01:12:14.000 --> 01:12:23.000]  And the pilot, one of the pilots I was with was absolutely, every inch of his genitalia was brutalized as we were going through this.
[01:12:23.000 --> 01:12:25.000]  And he was, he was beyond upset.
[01:12:25.000 --> 01:12:26.000]  Listen, listen, listen.
[01:12:26.000 --> 01:12:32.000]  I was in San Jose and watched them squeezing three year old girls.
[01:12:32.000 --> 01:12:37.000]  I mean, they were, let me check that little, might be al-Qaeda.
[01:12:37.000 --> 01:12:39.000]  I'm sorry, ma'am, so he was freaked out.
[01:12:39.000 --> 01:12:42.000]  How hard do they squeeze?
[01:12:42.000 --> 01:12:43.000]  Well, quite a while.
[01:12:43.000 --> 01:12:46.000]  And he's got, I mean, the pilots have control of the airplane.
[01:12:46.000 --> 01:12:48.000]  I mean, this is beyond ridiculous.
[01:12:48.000 --> 01:12:51.000]  And I mean, I am very opposed to this for the flying public.
[01:12:51.000 --> 01:12:52.000]  That's right.
[01:12:52.000 --> 01:12:53.000]  Let me stop you.
[01:12:53.000 --> 01:12:57.000]  If a pilot has to be security checked, they shouldn't even be able to fly a plane.
[01:12:57.000 --> 01:12:58.000]  I mean, give me a break.
[01:12:58.000 --> 01:12:59.000]  Thank you.
[01:12:59.000 --> 01:13:03.000]  And, you know, to some extent, we have access to the flight deck as well.
[01:13:03.000 --> 01:13:05.000]  And, and it's weird.
[01:13:05.000 --> 01:13:11.000]  We are treated the same way the general public is, except sometimes we have a separate screening area and they're adding more and more of these machines.
[01:13:11.000 --> 01:13:18.000]  And I was going through in DC the other day and they were, they were giving you the option.
[01:13:18.000 --> 01:13:23.000]  They were taking like 10 people through the naked body scanner and then 10 people through the regular metal detector.
[01:13:23.000 --> 01:13:28.000]  Well, by the time, by the time I wanted to opt out, I wanted them to say, you know, no, but they went,
[01:13:28.000 --> 01:13:29.000]  they went through the regular metal detector.
[01:13:29.000 --> 01:13:32.000]  And when I got through the other side, there was a TSA manager there.
[01:13:32.000 --> 01:13:34.000]  And I said, so how do you do this?
[01:13:34.000 --> 01:13:35.000]  Is it random?
[01:13:35.000 --> 01:13:36.000]  He goes, yeah, it's random.
[01:13:36.000 --> 01:13:37.000]  I said, but I'm allowed to opt out, right?
[01:13:37.000 --> 01:13:40.000]  Yeah, you can opt out, but then you have to have the path down.
[01:13:40.000 --> 01:13:41.000]  And I said, oh, okay.
[01:13:41.000 --> 01:13:43.000]  I said, is that always going to be that way?
[01:13:43.000 --> 01:13:45.000]  And he said, well, for now it is.
[01:13:45.000 --> 01:13:47.000]  And I said, well, I'm worried about the radiation.
[01:13:47.000 --> 01:13:51.000]  He goes, there's miniscule radiation, miniscule.
[01:13:51.000 --> 01:13:56.000]  So they're, they're telling everybody and Alpa, the airline pilots association came out and told the,
[01:13:56.000 --> 01:14:00.000]  the pilots that there's no measurable radiation in the total.
[01:14:00.000 --> 01:14:01.000]  Total lies.
[01:14:01.000 --> 01:14:02.000]  The government even admits it.
[01:14:02.000 --> 01:14:08.000]  I read Bloomberg interagency committee on radiation, international atomic energy agency,
[01:14:08.000 --> 01:14:12.000]  World Health Organization, one micron of DU in your lungs.
[01:14:12.000 --> 01:14:14.000]  You're getting lung cancer within 10 to 20 years.
[01:14:14.000 --> 01:14:18.000]  That was, I've had the head of the Army DU program, a physicist on.
[01:14:18.000 --> 01:14:20.000]  They wouldn't even use it till 1991.
[01:14:20.000 --> 01:14:23.000]  Now they just say, man, use it, breathe it, snort it.
[01:14:23.000 --> 01:14:24.000]  No problem.
[01:14:24.000 --> 01:14:26.000]  This is pure evil.
[01:14:26.000 --> 01:14:30.000]  But again, this is a government that would shoot little children in Guatemala with syphilis.
[01:14:30.000 --> 01:14:32.000]  That's ABC news, CBS.
[01:14:32.000 --> 01:14:33.000]  Nobody cares.
[01:14:33.000 --> 01:14:40.000]  But, but going back to this other pilot, you said that, because obviously you talked to him, you said they squeezed him.
[01:14:40.000 --> 01:14:42.000]  They did in front of us.
[01:14:42.000 --> 01:14:46.000]  They, he was, they squeezed every inch of his genitalia up between his legs.
[01:14:46.000 --> 01:14:49.000]  And this was, this was, you know, eight, eight months ago.
[01:14:49.000 --> 01:14:54.000]  And, you know, and they, it was just, they take us randomly and decide they're going to pat down.
[01:14:54.000 --> 01:14:55.000]  This is in Paris.
[01:14:55.000 --> 01:14:56.000]  So, and I don't think it's.
[01:14:56.000 --> 01:14:58.000]  And you said, no, it's worldwide.
[01:14:58.000 --> 01:14:59.000]  And you said he was freaked out.
[01:14:59.000 --> 01:15:00.000]  Oh, beyond.
[01:15:00.000 --> 01:15:02.000]  He went and reported it.
[01:15:02.000 --> 01:15:03.000]  And, you know, they didn't do anything.
[01:15:03.000 --> 01:15:05.000]  You know, he just reported it and he was upset.
[01:15:05.000 --> 01:15:08.000]  And now they're, they're trying to be a little gentler with us.
[01:15:08.000 --> 01:15:10.000]  But I just ask, and I'll get off because I know you.
[01:15:10.000 --> 01:15:11.000]  Let me say this.
[01:15:11.000 --> 01:15:18.000]  Every time I fly, and it's actually been in mainstream news, beautiful women is who they go crazy on.
[01:15:18.000 --> 01:15:24.000]  You know, I, who knows, I, you know, I've, I've seen it all.
[01:15:24.000 --> 01:15:26.000]  What was the other point you wanted to make?
[01:15:26.000 --> 01:15:32.000]  Well, the other point I wanted to make is I'm asking everyone out there, please decide if you want to trade your freedom for security.
[01:15:32.000 --> 01:15:33.000]  We have to all opt out.
[01:15:33.000 --> 01:15:35.000]  We have to all say no.
[01:15:35.000 --> 01:15:38.000]  I would rather have the path down than the naked body scan.
[01:15:38.000 --> 01:15:42.000]  I don't want to be patted down, but we've got to stop, start objecting to that.
[01:15:42.000 --> 01:15:43.000]  All right.
[01:15:43.000 --> 01:15:44.000]  Great point.
[01:15:44.000 --> 01:15:47.000]  By the way, they lied for a year and said they weren't saving the naked body images.
[01:15:47.000 --> 01:15:48.000]  Guess what they are.
[01:15:48.000 --> 01:16:17.000]  We'll be back.
[01:16:18.000 --> 01:16:44.000]  We'll be back.
[01:16:44.000 --> 01:16:49.000]  Go Wars.com or see it online in the highest quality at PrismPlanet.tv.
[01:17:14.000 --> 01:17:25.000]  You can now produce nano silver solutions and also delivers the silver nanoparticles instantly into the bloodstream with continued legislation threatening the sale of nano silver products.
[01:17:25.000 --> 01:17:31.000]  You can now produce pure and endless loyal silver with the Silver Lungs Generator.
[01:17:31.000 --> 01:17:36.000]  Very easy to follow step by step instructions are provided making production fast and simple.
[01:17:36.000 --> 01:17:44.000]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:17:44.000 --> 01:17:51.000]  That's www.silverlungs.com.
[01:17:51.000 --> 01:17:56.000]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:17:56.000 --> 01:17:59.000]  This is our last chance to not relive history.
[01:17:59.000 --> 01:18:04.000]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[01:18:04.000 --> 01:18:10.000]  I've determined its influence on our president in Congress and they really are calling the shots.
[01:18:10.000 --> 01:18:15.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[01:18:15.000 --> 01:18:18.000]  For the Republic identifies the enemies of our nation.
[01:18:18.000 --> 01:18:25.000]  The criminal offshore cartel hell bent on destroying sovereignty and on its ashes constructing world government.
[01:18:25.000 --> 01:18:27.000]  Tim Geithner, Bernanke, they're arsonists.
[01:18:27.000 --> 01:18:31.000]  They're asking for more matches and the Congress is saying, who do we make the check out to?
[01:18:31.000 --> 01:18:38.000]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the Republic.
[01:18:38.000 --> 01:18:43.000]  Get your copy of Fall of the Republic on DVD at infowars.com.
[01:18:43.000 --> 01:18:49.000]  We're watching online right now in super high quality at prisonplanet.tv.
[01:18:49.000 --> 01:18:54.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:18:54.000 --> 01:18:58.000]  Number one, new climate legislation could easily double or triple your electric bill.
[01:18:58.000 --> 01:19:04.000]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:19:04.000 --> 01:19:10.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:19:10.000 --> 01:19:14.000]  Number three, in some areas of the country the power grid is dangerously overloaded
[01:19:14.000 --> 01:19:18.000]  and now new socialist legislation is only compounding the problem.
[01:19:18.000 --> 01:19:21.000]  Number four, dangerous weather is always a threat to local grids.
[01:19:21.000 --> 01:19:25.000]  Every year thousands of families lose their power from weather related onages.
[01:19:25.000 --> 01:19:30.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[01:19:30.000 --> 01:19:35.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:19:35.000 --> 01:19:39.000]  You can get more information at www.mysolarbackup.com.
[01:19:39.000 --> 01:19:41.000]  That's mysolarbackup.com.
[01:19:41.000 --> 01:19:49.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:19:49.000 --> 01:19:54.000]  Coast to coast, direct from Austin.
[01:19:54.000 --> 01:19:59.000]  You're listening to the Alex Jones Broadcasting Network.
[01:20:03.000 --> 01:20:09.000]  Okay, the number to join us is 888-201-2244, 888-201-2244.
[01:20:09.000 --> 01:20:14.000]  If you have been abused or witnessed abuse going on with the enhanced pat downs,
[01:20:14.000 --> 01:20:19.000]  and notice how it's always more, more, more, and they want to take everything they're doing on the airports
[01:20:19.000 --> 01:20:21.000]  and put it on the streets of America and worldwide.
[01:20:21.000 --> 01:20:28.000]  Our own federal government has promised billions of dollars of aid even to Europe to put the scanners in.
[01:20:28.000 --> 01:20:30.000]  Italy has removed them.
[01:20:30.000 --> 01:20:32.000]  Britain is moving towards that.
[01:20:32.000 --> 01:20:35.000]  There's a major backlash to this.
[01:20:35.000 --> 01:20:41.000]  And if the system gets this through, they're able to create these federal cadres in every country
[01:20:41.000 --> 01:20:44.000]  that are on the streets searching and abusing everyone.
[01:20:44.000 --> 01:20:49.000]  And before I go back to your calls, Jerry, John, John, and many others that are holding,
[01:20:49.000 --> 01:20:54.000]  I want you to search the term Stanford Prison Experiment.
[01:20:54.000 --> 01:21:04.000]  In 1971, the psychology professor, Philip Zimbardo, did a test to see if they could get people to torture folks
[01:21:04.000 --> 01:21:09.000]  who they thought were really being tortured if they were ordered to torture.
[01:21:09.000 --> 01:21:13.000]  And they found that over 90% would torture people to death,
[01:21:13.000 --> 01:21:15.000]  and they believed they were killing people but still did it.
[01:21:15.000 --> 01:21:19.000]  So they're simply creating a giant psychological laboratory.
[01:21:19.000 --> 01:21:21.000]  You're getting the big secret here.
[01:21:21.000 --> 01:21:29.000]  To create this federal goon minimum wage police force to go out and do whatever they want in the name of fighting terror.
[01:21:29.000 --> 01:21:33.000]  And that's why the government has been caught staging the terror over and over again,
[01:21:33.000 --> 01:21:36.000]  and that is coming up.
[01:21:36.000 --> 01:21:40.000]  But to listen to these stories, and I've witnessed it with my own eyes,
[01:21:40.000 --> 01:21:45.000]  it is so incredible to see what's happened to the land of the free, the home of the brave,
[01:21:45.000 --> 01:21:49.000]  but we can defeat these naked body scanners, the pat-downs, all of it.
[01:21:49.000 --> 01:21:54.000]  You know what? You got a better chance of being struck by lightning of drowned,
[01:21:54.000 --> 01:22:01.000]  of dying, swimming in a lake, of being in a car wreck, of anything than terrorism.
[01:22:01.000 --> 01:22:05.000]  We have more people than present in any other country in the world.
[01:22:05.000 --> 01:22:08.000]  We're a police state. It is big business.
[01:22:08.000 --> 01:22:17.000]  And this is the induction and the indoctrination of everyone into something that surpasses 1984.
[01:22:17.000 --> 01:22:21.000]  Let's go ahead and talk to Jerry in Michigan. Jerry, you're on the air.
[01:22:21.000 --> 01:22:26.000]  Hey, Alex. First of all, let me thank you and all of your crew for the work that you do.
[01:22:26.000 --> 01:22:27.000]  Thank you.
[01:22:27.000 --> 01:22:33.000]  I've been a fighter in the Info War for quite a few years now, thanks to you and people like you.
[01:22:33.000 --> 01:22:38.000]  I'm a frequent flyer and I hold elite status with several airlines.
[01:22:38.000 --> 01:22:45.000]  So I'm well aware of the Stasi slash Nazi Gestapo tactics that the TSA use.
[01:22:45.000 --> 01:22:48.000]  Both my wife and I are frequent travelers.
[01:22:48.000 --> 01:22:54.000]  And with the information that I obtained from you and other independent websites,
[01:22:54.000 --> 01:23:00.000]  I have been able to help educate my spouse and friends and family to backscatter radiation.
[01:23:00.000 --> 01:23:07.000]  And the biggest thing there is you have to maintain your dignity as a human being.
[01:23:07.000 --> 01:23:15.000]  It's important that you hold your head high, not get angry and engage these people with dignity and respect of a human being.
[01:23:15.000 --> 01:23:19.000]  Yeah, you need to shame them and let them understand.
[01:23:19.000 --> 01:23:24.000]  But I've thought many times when I'm thinking about them pulling me out with the naked body scanners,
[01:23:24.000 --> 01:23:27.000]  they haven't yet what I'm going to say to them.
[01:23:27.000 --> 01:23:30.000]  But I'm going to say, look, you're being radiated worse than I am.
[01:23:30.000 --> 01:23:33.000]  Hey, did you know the head of Al Qaeda meets at the Pentagon?
[01:23:33.000 --> 01:23:36.000]  Hey, did you know this is all staged?
[01:23:36.000 --> 01:23:41.000]  The military industrial complex wants to have a pretext to turn us basically into their new market
[01:23:41.000 --> 01:23:45.000]  and turn this whole country and the world into a control grid.
[01:23:45.000 --> 01:23:53.000]  And but I just can't believe we're having to have this discussion. Jerry, go ahead.
[01:23:53.000 --> 01:23:59.000]  Well, you have to be subtle. You have to really sit there and look, I go, I travel all the time.
[01:23:59.000 --> 01:24:03.000]  You go through one of these screening points, you look them in the face, you say, I opt out.
[01:24:03.000 --> 01:24:08.000]  And you smile, they make, they shout across the room and make this big commotion.
[01:24:08.000 --> 01:24:14.000]  They literally put their hands all around your genitals.
[01:24:14.000 --> 01:24:19.000]  They spread you and they're putting so much pressure they can almost knock you over.
[01:24:19.000 --> 01:24:29.000]  And after doing that, I say, wow, you have to do this to women, children, old ladies, mothers, brothers, sisters,
[01:24:29.000 --> 01:24:34.000]  and say the things that you do, but make it matter of fact. Call it out.
[01:24:34.000 --> 01:24:41.000]  Well, here's the problem. The people that have a soul, they quit or get fired.
[01:24:41.000 --> 01:24:47.000]  And so again, they're sifting through all these people, all these blue-collar folks that can't get a job now.
[01:24:47.000 --> 01:24:50.000]  Our economy is converting over to the police state. That's openly been announced.
[01:24:50.000 --> 01:24:55.000]  That's our new economy is this predatory cannibalistic system.
[01:24:55.000 --> 01:24:58.000]  And they're finding people who love it.
[01:24:58.000 --> 01:25:01.000]  So what do they say when you bring up, hey, you got to do this to children?
[01:25:01.000 --> 01:25:05.000]  Because you mentioned the fact that they lift them up off the ground. That's what I've seen.
[01:25:05.000 --> 01:25:11.000]  That's what even mainstream news reports with reporters this is happening to is it's, quote, brutal.
[01:25:11.000 --> 01:25:18.000]  I mean, they just grab you and squeeze your genitals. I mean, it's a joke, okay?
[01:25:18.000 --> 01:25:24.000]  The terrorists are the government. They blew up the towers. They did it all to bring this in.
[01:25:24.000 --> 01:25:28.000]  And you people that cling to this and won't wake up and come out for 9-Eleven Truth,
[01:25:28.000 --> 01:25:31.000]  you're the reason these terrorists are getting away with it.
[01:25:31.000 --> 01:25:34.000]  And they're building an army of darkness to carry this out on us.
[01:25:34.000 --> 01:25:37.000]  Jerry, what do they say when you bring it up to them?
[01:25:37.000 --> 01:25:44.000]  Most of them, when you do that, you can sense their comfort level is all over the place.
[01:25:44.000 --> 01:25:48.000]  They just don't like doing it, but obviously they have to put food on the table.
[01:25:48.000 --> 01:25:53.000]  Yeah, because they took our jobs with globalism. I appreciate your call.
[01:25:53.000 --> 01:25:56.000]  And now all they can give us is tyranny.
[01:25:56.000 --> 01:26:01.000]  Oh, man, John in Texas, I got to go quick now. John, tell us your story.
[01:26:01.000 --> 01:26:04.000]  Hey, Alex, I just want to reiterate what the last caller said.
[01:26:04.000 --> 01:26:07.000]  Thank you for what you do and what your staff does.
