[00:00:00.369 --> 00:00:03.510]  We've got it, brother.
[00:52:14.684 --> 00:52:17.466]  We're going with the carbon taxes.
[00:52:17.466 --> 00:52:20.407]  What does it do to charge people more money for power?
[00:52:20.407 --> 00:52:22.828]  It has nothing to do with it.
[00:52:22.828 --> 00:52:25.389]  China builds three power plants a week.
[00:52:25.389 --> 00:52:27.751]  We build less than three a year.
[00:52:27.751 --> 00:52:32.753]  This is the de-industrialization of this country.
[00:52:32.753 --> 00:52:33.553]  I'm digressing.
[00:52:33.553 --> 00:52:34.234]  Here's the headline.
[00:52:34.234 --> 00:52:36.915]  Ron Paul, they're setting the stage for violence in this country.
[00:52:38.237 --> 00:52:40.180]  They're meeting Homeland Security.
[00:52:40.180 --> 00:52:41.882]  We have the other reports on it.
[00:52:41.882 --> 00:52:44.126]  And we have our other report dealing with it all.
[00:52:47.250 --> 00:52:49.651]  Let me just go ahead and play you a clip now.
[00:52:49.651 --> 00:52:51.112]  The Clergy Response Teams.
[00:52:51.112 --> 00:53:06.922]  We got these documents three years before local newscasts around the nation, this is out of New Orleans, aired pieces telling the public, yes it's true, your preachers are being paid by the government and trained to tell you to go to camps and turn your guns in and take shots.
[00:53:06.922 --> 00:53:09.443]  We got these documents in 2005, man time's flown.
[00:53:13.817 --> 00:53:15.698]  Three years later, it comes out.
[00:53:15.698 --> 00:53:21.519]  People thought we had fake documents, even though they had the phone numbers to FEMA on them.
[00:53:21.519 --> 00:53:23.520]  Okay, I mean, how creepy is that?
[00:53:23.520 --> 00:53:31.342]  They've got preachers, now over 100,000 nationwide, trained to spy on their flock and to tell them to submit to government.
[00:53:34.070 --> 00:53:35.791]  Okay, we're going to play the Defazio first.
[00:53:35.791 --> 00:53:43.877]  This is a congressman wanting to see the Marshall Law plans and being told by Bush he can't see them under the Presidential Decision Directive.
[00:53:43.877 --> 00:53:45.698]  And it's the same under Obama.
[00:53:45.698 --> 00:53:48.160]  See, we effectively have a dictatorship.
[00:53:48.160 --> 00:53:49.861]  Not of the President himself.
[00:53:49.861 --> 00:53:53.583]  He's a blackmailed, kept, controlled teleprompter reader, no matter who it is.
[00:53:53.583 --> 00:53:55.384]  Unless it's Ron Paul.
[00:53:55.384 --> 00:53:58.687]  They're all globalists paid for over and over again to get to this point.
[00:53:58.687 --> 00:54:00.448]  They've proven themselves political prostitutes.
[00:54:02.882 --> 00:54:08.023]  And you have to understand, the office of the presidency, now through its executive power.
[00:54:08.023 --> 00:54:10.563]  I mean, look at Obama launching wars without congressional approval.
[00:54:10.563 --> 00:54:13.064]  Obama putting carbon taxes in without congressional approval.
[00:54:13.064 --> 00:54:19.365]  Obama just legalized 300,000 deportees, saying, I don't need Congress to pass amnesty.
[00:54:19.365 --> 00:54:22.165]  I might deport felons.
[00:54:22.165 --> 00:54:26.406]  I feel, that violates federal law, immigration law.
[00:54:26.406 --> 00:54:28.187]  See, that's a dictator.
[00:54:28.187 --> 00:54:30.687]  And it's getting worse by the minute.
[00:54:32.244 --> 00:54:37.945]  Let's go ahead and play the clip of the congressman talking about the Marshall Law plans.
[00:54:37.945 --> 00:54:49.888]  Most Americans would agree that it would be prudent to have a plan to provide for the continuity of government and the rule of law in case of a devastating terrorist attack or natural disaster.
[00:54:49.888 --> 00:54:56.689]  A plan that would provide for the cooperation, the coordination, and continued functioning of all three branches of the government.
[00:54:56.689 --> 00:55:00.030]  The Bush administration tells us they have such a plan.
[00:55:00.530 --> 00:55:08.885]  They introduced a little sketchy public version that's clearly inadequate and doesn't really tell us what they have in mind.
[00:55:08.885 --> 00:55:11.930]  But they said, don't worry, there's a detailed classified version.
[00:55:12.538 --> 00:55:13.699]  Alright, that's enough.
[00:55:38.945 --> 00:55:40.045]  And it's only expanded.
[00:55:40.045 --> 00:55:43.007]  Now, we did pull up the Clergy Response Team clip.
[00:55:43.007 --> 00:55:45.267]  Just go to YouTube and type this in.
[00:55:45.267 --> 00:55:48.048]  It's also on my film, Police State 4, The Rise of FEMA.
[00:55:48.048 --> 00:55:50.929]  Now, the very first word gets partially cut off.
[00:55:50.929 --> 00:55:57.072]  She says, Will martial law ever be declared in America?
[00:55:57.072 --> 00:55:57.632]  Here's that clip.
[00:55:58.640 --> 00:56:01.022]  Ever become a reality in America?
[00:56:01.022 --> 00:56:05.386]  Some fear any nuclear, biological, or chemical attack on U.S.
[00:56:05.386 --> 00:56:07.928]  territory might trigger just that.
[00:56:07.928 --> 00:56:14.054]  And as KSLA News 12's Jeff Ferrell discovered, the clergy would help the government with potentially their biggest problem.
[00:56:14.896 --> 00:56:15.256]  Us.
[00:56:15.256 --> 00:56:15.837]  Oh!
[00:56:15.837 --> 00:56:18.459]  From my cold, dead hands!
[00:56:18.459 --> 00:56:23.062]  Charlton Heston's famous declaration captures a truly American value.
[00:56:23.062 --> 00:56:26.384]  The overarching desire to protect our freedoms.
[00:56:26.384 --> 00:56:33.329]  But gun confiscation is exactly what happened during the state of emergency following Hurricane Katrina in New Orleans.
[00:56:33.329 --> 00:56:33.669]  U.S.
[00:56:33.669 --> 00:56:35.170]  troops also arrived.
[00:56:35.170 --> 00:56:39.853]  Something far easier to do even now, thanks to last year's elimination of the 1878 Posse Comitatus Act.
[00:56:42.395 --> 00:56:43.540]  That forbid U.S.
[00:56:43.540 --> 00:56:45.569]  troops from policing on American soil.
[00:56:47.811 --> 00:56:55.435]  If martial law were enacted here at home, like depicted in the movie The Siege, easing public fears and quelling dissent would be critical.
[00:56:55.435 --> 00:57:01.078]  And that's exactly what the Clergy Response Team, as it's called, helped accomplish in New Orleans.
[00:57:01.078 --> 00:57:07.921]  Jeff, the primary thing that we say to anybody is let's cooperate and get this thing over with, and then we'll settle the differences once the crisis is over.
[00:57:07.921 --> 00:57:13.784]  Such Clergy Response Teams would walk a tightrope between the needs of the government versus the wishes of the public.
[00:57:14.304 --> 00:57:21.431]  In a lot of cases, these clergy would already be known in the neighborhoods in which they're helping to defuse that situation.
[00:57:21.431 --> 00:57:28.917]  For the clergy, one of the biggest tools that they will have in helping calm the public down or obey the law is the Bible itself.
[00:57:28.917 --> 00:57:30.038]  Alright, stop right there!
[00:57:30.899 --> 00:57:31.899]  Did you hear that?
[00:57:31.899 --> 00:57:34.420]  The government versus the people.
[00:57:34.420 --> 00:57:36.220]  The government's biggest problem, us.
[00:57:36.220 --> 00:57:37.781]  I thought we're the government.
[00:57:37.781 --> 00:57:39.681]  Romans 13, we're the government.
[00:57:39.681 --> 00:57:42.742]  It's the government that's been taken over that's not obeying the law.
[00:57:42.742 --> 00:57:44.283]  It's the government that's criminal.
[00:57:44.283 --> 00:57:46.603]  You're not supposed to obey Hitler or Stalin.
[00:57:46.603 --> 00:57:48.804]  We'll be right back with more congressional reports.
[00:57:50.751 --> 00:57:54.093]  Congratulations to our friends at eFoodsDirect.com.
[00:57:54.093 --> 00:57:58.695]  In August, they celebrate 30 years in the long-term storable food business.
[00:57:58.695 --> 00:58:06.138]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[00:58:06.138 --> 00:58:06.899]  For a limited time, you get 30%
[00:58:09.360 --> 00:58:10.121]  I think so.
[00:58:27.159 --> 00:58:27.779]  We're good.
[00:58:50.294 --> 00:58:51.475]  A very wealthy U.S.
[00:58:51.475 --> 00:58:58.420]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:58:58.420 --> 00:59:00.962]  He says it will change everything about our lives.
[00:59:00.962 --> 00:59:06.346]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:59:06.346 --> 00:59:09.388]  Now this man has made some outrageous predictions over the years.
[00:59:09.388 --> 00:59:11.710]  The crazy part is, he's usually right.
[00:59:11.710 --> 00:59:17.974]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:59:17.974 --> 00:59:18.395]  In fact,
[00:59:18.695 --> 00:59:19.315]  We're good to go.
[00:59:48.024 --> 00:59:51.285]  That's endofamerica3.com.
[00:59:51.285 --> 00:59:52.805]  Coast to Coast.
[00:59:52.805 --> 00:59:54.866]  Direct from Austin.
[00:59:54.866 --> 01:00:01.947]  You're listening to the Alex Jones Broadcasting Network.
[01:00:01.947 --> 01:00:08.569]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:08.569 --> 01:00:11.550]  It's Alex Jones and the GCN Radio Network.
[01:00:21.095 --> 01:00:24.456]  Okay, we're into the second hour.
[01:00:24.456 --> 01:00:26.216]  I want to open the phones up.
[01:00:26.216 --> 01:00:39.060]  I have played some of the clubs I want to go over, but I want to break down exactly how they will roll out the implementation of the camps coming up in the next segment.
[01:00:39.060 --> 01:00:46.662]  I want to play a clip from congressional hearings back in the 80s dealing with martial law concentration camp plans.
[01:00:48.988 --> 01:00:57.114]  The toll-free number to join us on the Sunday broadcast is 877-789-ALEX.
[01:00:57.114 --> 01:00:58.895]  877-789-2539.
[01:00:58.895 --> 01:01:07.961]  Specifically, I'd like to get your take on the prospects of paying roughly double in the next few years for your electrical power.
[01:01:07.961 --> 01:01:12.824]  You're already paying more under the unofficial carbon taxes.
[01:01:12.824 --> 01:01:16.407]  The carbon taxes are, they shut down their competition and you pay the insiders more money.
[01:01:17.964 --> 01:01:22.026]  That's a direct tax, a direct insider.
[01:01:22.026 --> 01:01:30.689]  Why wouldn't big corporations come in if the people aren't aware and informed and they've got corrupt politicians that'll do whatever they're told?
[01:01:30.689 --> 01:01:33.010]  Wouldn't corporations come in and shut down their competition?
[01:01:33.010 --> 01:01:34.290]  Of course they would.
[01:01:34.290 --> 01:01:34.990]  Of course they would.
[01:01:34.990 --> 01:01:36.691]  I mean, that's a no-brainer.
[01:01:36.691 --> 01:01:38.051]  Do you have a view on that?
[01:01:38.051 --> 01:01:41.033]  Do you have a view on Ron Paul?
[01:01:41.033 --> 01:01:43.313]  Next time he's on, I'll bring more of this up with him.
[01:01:43.313 --> 01:01:44.174]  I've brought up the
[01:01:45.515 --> 01:01:49.979]  Emergency Centers Establishment Act, and he said it is a concern.
[01:01:49.979 --> 01:01:55.044]  But we already have the biggest prison population in the world.
[01:01:55.044 --> 01:01:57.406]  We're going into a depression.
[01:01:57.406 --> 01:02:00.909]  Gold is at $1,880 an ounce right now.
[01:02:00.909 --> 01:02:03.732]  What do you expect?
[01:02:03.732 --> 01:02:05.774]  What do you expect to happen?
[01:02:05.774 --> 01:02:08.096]  What do you think these tyrants would do?
[01:02:09.517 --> 01:02:14.682]  They've done exactly what tyrants throughout history have done over and over and over again.
[01:02:14.682 --> 01:02:19.827]  So again, I want to take your calls but have your comment and your question ready because we can move to the next person.
[01:02:19.827 --> 01:02:21.228]  The toll free number to join us is 877-789-ALEX or 877-789-2539.
[01:02:21.228 --> 01:02:25.592]  It's a different number than the weekday show because we're still on the Genesis Network on Sundays.
[01:02:35.031 --> 01:02:44.854]  We're running the entire show out of our own office, our own studios here on the Sunday two-hour transmission.
[01:02:44.854 --> 01:02:58.978]  Now, some of the other news that we'll get to after I finish up with the FEMA camp information and the fact that it's starting to come out in the mainstream news, first responders not welcomed at 9-1-1 ceremony.
[01:02:58.978 --> 01:03:00.198]  That's right, none of them are welcomed.
[01:03:01.069 --> 01:03:06.312]  Because they've been complaining about the deadly dust and what the government did to them, CNN reports.
[01:03:06.312 --> 01:03:10.495]  First responders decry exclusion from 9-1-1 ceremony.
[01:03:10.495 --> 01:03:17.120]  Only in globalist-controlled America with a K would you see that type of evil.
[01:03:17.120 --> 01:03:20.322]  Also, we've got the latest on Libya.
[01:03:21.510 --> 01:03:23.012]  We're going to be breaking down.
[01:03:23.012 --> 01:03:25.915]  And of course I mentioned this earlier, but I've got to get more into it.
[01:03:25.915 --> 01:03:30.239]  Barack Obama cannot get Congress to pass amnesty for illegal immigrants.
[01:03:30.239 --> 01:03:35.785]  So now he's just going to ram it down our throats any way that he can.
[01:03:35.785 --> 01:03:39.009]  And he's saying, I'm just going to legalize the deportees now.
[01:03:40.622 --> 01:03:45.807]  We might hold felons and deport them, but everybody else should go free.
[01:03:45.807 --> 01:03:47.228]  I'm going to launch wars.
[01:03:47.228 --> 01:03:49.290]  I'm going to shut down power plants.
[01:03:49.290 --> 01:03:53.914]  I'm going to have the ATF go after gun shops for laws that don't exist.
[01:03:53.914 --> 01:03:57.077]  I'm going to have the Air Force raid gun shops in Las Vegas.
[01:03:57.077 --> 01:03:59.659]  That's CBS News Las Vegas.
[01:03:59.659 --> 01:04:00.861]  See, that's the thing.
[01:04:00.861 --> 01:04:03.283]  We've gone over the slippery slide.
[01:04:03.283 --> 01:04:04.764]  We were starting to go over it.
[01:04:06.185 --> 01:04:10.529]  Bush five years ago would say, hey, I promise I'm not spying on you without warrants.
[01:04:10.529 --> 01:04:12.131]  I promise.
[01:04:12.131 --> 01:04:14.773]  Then it came out he was.
[01:04:14.773 --> 01:04:18.497]  And so now they just go, yeah, we're spying on you.
[01:04:18.497 --> 01:04:20.278]  Yeah, DynCorp runs child kidnapping rings.
[01:04:20.278 --> 01:04:22.781]  Well, what's the big deal?
[01:04:22.781 --> 01:04:29.847]  Yeah, the Marines grow the opium in Afghanistan and we help ship it to you.
[01:04:29.847 --> 01:04:30.488]  What's wrong with that?
[01:04:31.872 --> 01:04:34.313]  Yeah, we're putting cancer viruses in your vaccines.
[01:04:34.313 --> 01:04:40.317]  Yeah, fluoride does give you a seven-fold increase in bone cancer and brain disorders increase.
[01:04:40.317 --> 01:04:41.758]  You know what?
[01:04:41.758 --> 01:04:46.040]  Yeah, your diabetes doubled the last decade and so did your cancer, but hmm.
[01:04:46.040 --> 01:04:48.542]  We got white papers talking about how we're doing it to you, so what?
[01:04:48.542 --> 01:04:51.023]  You know, there's a football game on.
[01:04:51.023 --> 01:04:51.803]  Here you go, doggie.
[01:04:51.803 --> 01:04:52.624]  Football game!
[01:04:52.624 --> 01:04:53.564]  Don't worry, we're killing you.
[01:04:53.564 --> 01:04:55.305]  Ha ha!
[01:04:55.305 --> 01:04:55.826]  Be right back.
[01:05:00.723 --> 01:05:05.406]  Alex Jones here with vital information concerning our nation's fragile food supply.
[01:05:05.406 --> 01:05:11.849]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[01:05:11.849 --> 01:05:14.110]  Number one, study the past.
[01:05:14.110 --> 01:05:16.512]  History really does repeat itself.
[01:05:16.512 --> 01:05:20.234]  Number two, learn to spot the dangerous food shortage trends.
[01:05:21.368 --> 01:05:24.450]  Number three, take decisive action.
[01:05:24.450 --> 01:05:28.293]  A perfect storm is brewing, or a global food crisis.
[01:05:28.293 --> 01:05:33.337]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves.
[01:05:33.337 --> 01:05:37.359]  Warning signs that trigger the deadliest famines in history.
[01:05:37.359 --> 01:05:40.762]  Don't get caught unprepared when the crisis hits.
[01:05:40.762 --> 01:05:44.404]  This book is only available at risingpricesemptyshelves.com.
[01:05:45.245 --> 01:05:50.169]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[01:05:50.169 --> 01:05:54.792]  Again, that website is risingpricesemptyshelves.com.
[01:05:54.792 --> 01:06:02.939]  That's risingpricesemptyshelves.com.
[01:06:02.939 --> 01:06:09.864]  Defending the republic from enemies foreign and domestic, it's Alex Jones.
[01:06:15.018 --> 01:06:26.745]  So, Congressman Ron Paul is asked, are you concerned about the Emergency Centers Establishment Act that openly says they'll build these giant camps all over the U.S.
[01:06:26.745 --> 01:06:29.347]  to hold the American people?
[01:06:29.347 --> 01:06:34.270]  And Ron Paul says, let me read the quote here, yeah, that's their goal.
[01:06:34.270 --> 01:06:37.772]  They're setting up the stage for violence in this country, no doubt about it.
[01:06:40.512 --> 01:06:46.374]  And he said on the show before he's concerned, but again, everything in that act is already in place.
[01:06:46.374 --> 01:06:56.857]  It's just like when it came out the NSA had been spying on the American people without warrants across the board, everything being filtered through spying systems at the major phone companies.
[01:06:56.857 --> 01:07:00.398]  They went from saying they hadn't been doing it to going, yes, we've been doing it.
[01:07:00.398 --> 01:07:01.999]  Congress, pass a law!
[01:07:01.999 --> 01:07:04.339]  Congress, pass the law!
[01:07:04.339 --> 01:07:05.960]  And just said, Fourth Amendment, who needs it?
[01:07:07.349 --> 01:07:11.211]  Well, Congress also passed laws saying black people weren't human.
[01:07:11.211 --> 01:07:13.893]  Then they said black people were two-thirds human.
[01:07:13.893 --> 01:07:16.675]  Then they said they were human, separate but equal.
[01:07:16.675 --> 01:07:17.895]  You know what?
[01:07:17.895 --> 01:07:19.456]  Here's the deal, scum.
[01:07:19.456 --> 01:07:22.718]  Hitler could pass laws saying he was the supreme ruler.
[01:07:22.718 --> 01:07:23.579]  I'm not following him.
[01:07:25.357 --> 01:07:30.499]  And the federal government can run around and pay preachers off to tell folks, go to the camp, take your inoculations.
[01:07:30.499 --> 01:07:36.801]  I mean, I played you a newscast, and the preachers are saying, when it's time to go to the camp, I tell you to do it.
[01:07:36.801 --> 01:07:37.842]  It's of Jesus.
[01:07:37.842 --> 01:07:39.683]  No, it's not of Jesus.
[01:07:39.683 --> 01:07:43.124]  Jesus didn't follow what the government said to do, and they crucified him.
[01:07:44.218 --> 01:07:50.079]  All the prophets, did they throw Daniel in the lion's den because he was licking the king's boots?
[01:07:50.079 --> 01:07:51.979]  What about the folks going to the fiery furnace?
[01:07:51.979 --> 01:07:53.560]  What about John the Baptist?
[01:07:53.560 --> 01:07:58.721]  Did Herod cut his head off because he was following his orders?
[01:07:58.721 --> 01:08:06.462]  Hitler's favorite verse broadcast daily on the radio was Romans 13, and German Christians just said, Howl Hitler!
[01:08:06.462 --> 01:08:10.743]  I mean, totally taken out of context.
[01:08:10.743 --> 01:08:12.743]  How creepy is it
[01:08:13.780 --> 01:08:27.850]  That the federal government for at least six, seven years has been covertly training preachers to spy on their flocks and tell them to submit to government, including turn their guns in, go to camps and take shots.
[01:08:27.850 --> 01:08:37.216]  And these same Christians say that Rick Perry is the second coming of Christ, even though he's a porno shop investor and everything else, although that's confirmed.
[01:08:37.216 --> 01:08:39.918]  He's got an expense account stuff that came out.
[01:08:39.918 --> 01:08:41.019]  I didn't believe it when I saw it.
[01:08:41.019 --> 01:08:41.719]  I went and looked it up.
[01:08:45.777 --> 01:08:53.180]  Special type of burlesque shows with men dressed as women, but you know at the end of the day Whatever whatever's going on his personal life.
[01:08:53.180 --> 01:08:57.162]  That isn't really my issue My issue is he's told little girls.
[01:08:57.162 --> 01:09:05.285]  It's the law you got to take a shot when it wasn't the law It was a hoax and he was paid by the company his chief of staff and
[01:09:06.377 --> 01:09:10.338]  Others got out there and told the public, hey, it's the law, you gotta take this.
[01:09:10.338 --> 01:09:21.602]  And Rick Perry came out and said, it's the law, you gotta take it, when they knew it was an experimental shot that had been killing people in the trials that they couldn't get approval for unless it became government mandated.
[01:09:21.602 --> 01:09:24.723]  I mean, that's a new level of evil.
[01:09:24.723 --> 01:09:27.583]  But hey, you want to be conned and manipulated?
[01:09:27.583 --> 01:09:29.164]  You think it's of the Lord to worship Hitler?
[01:09:30.197 --> 01:09:33.441]  Stalin, I mean, whatever government's put above you, it's of God.
[01:09:33.441 --> 01:09:34.823]  I thought it's we the people.
[01:09:34.823 --> 01:09:36.064]  I thought we were the sovereign.
[01:09:36.064 --> 01:09:38.827]  I thought we were the government.
[01:09:38.827 --> 01:09:40.029]  Oh, but you heard the newscast.
[01:09:40.029 --> 01:09:44.054]  The preacher says we've got to deal with the government's biggest problem, the people.
[01:09:45.111 --> 01:09:47.012]  Their biggest enemy.
[01:09:47.012 --> 01:09:48.633]  But that's actually true!
[01:09:48.633 --> 01:09:57.720]  The government is run by a collection of special interests who are totally ruthless and will put dictators in over third world countries to rob the public.
[01:09:57.720 --> 01:09:59.081]  Do you think they'll do that here?
[01:09:59.081 --> 01:09:59.961]  You better believe it.
[01:09:59.961 --> 01:10:04.344]  But not a dictator of a single president, but of a system.
[01:10:04.344 --> 01:10:06.546]  And of the private contractors that feed off of it.
[01:10:07.967 --> 01:10:10.810]  So this article is the top story at Infowars.com.
[01:10:10.810 --> 01:10:11.811]  I hope you get it out to everybody.
[01:10:11.811 --> 01:10:17.277]  Ron Paul, they're setting the stage for violence in this country.
[01:10:17.277 --> 01:10:19.699]  They're going to shut the economy off.
[01:10:19.699 --> 01:10:21.721]  The people are going to get angry.
[01:10:21.721 --> 01:10:24.504]  Folks that have their pensions cut.
[01:10:24.504 --> 01:10:26.666]  People that have their farms taken.
[01:10:26.666 --> 01:10:27.888]  Oh, I got another report on that.
[01:10:29.534 --> 01:10:39.065]  USDA signs MOU, Memo of Understanding, with the Rockefeller Council of Foundations to exploit rural America and to deploy the U.S.
[01:10:39.065 --> 01:10:42.069]  Army and Homeland Security as the new Green Police.
[01:10:44.201 --> 01:10:47.783]  And they openly admit it's Agenda 21 of the UN.
[01:10:47.783 --> 01:10:54.946]  People that don't know about Agenda 21, I've been talking about it for 15 years, and now Beck's talked about it some, and that's good.
[01:10:54.946 --> 01:10:56.687]  They think we're making it up.
[01:10:56.687 --> 01:11:10.995]  You know, when they tried to pass that Food Safety Act written by Big Pharma and Agra to shut down their competition last year, it actually said this law adopts the entire treaty of Codex Alimentarius, which is part of Agenda 21.
[01:11:13.294 --> 01:11:15.815]  You talk about total control.
[01:11:15.815 --> 01:11:18.056]  Stalin shut down the farms and ranches.
[01:11:18.056 --> 01:11:19.657]  They have ranches out there.
[01:11:19.657 --> 01:11:21.457]  Raising cattle in Russia.
[01:11:21.457 --> 01:11:23.258]  Ukraine.
[01:11:23.258 --> 01:11:25.679]  Belarus.
[01:11:25.679 --> 01:11:28.080]  Poland.
[01:11:28.080 --> 01:11:30.221]  The dairies, the rest of it.
[01:11:30.221 --> 01:11:37.164]  I mean, if you study the Soviets, or you study any other authoritarian system, it's a carbon copy.
[01:11:37.164 --> 01:11:39.064]  They are following it like a road map.
[01:11:41.442 --> 01:11:43.343]  People are like, well, Obama, we're going to kick him out.
[01:11:43.343 --> 01:11:45.103]  He's got low approval ratings.
[01:11:45.103 --> 01:11:47.804]  Major studies out show he's probably going to lose the election.
[01:11:47.804 --> 01:11:48.885]  It doesn't matter.
[01:11:48.885 --> 01:11:54.287]  You think the next person who's gone through their whole career selling out to the system?
[01:11:54.287 --> 01:12:03.511]  Do you think the next person, if it's Mitt Romney or one of these people, Rick Perry, do you really think they're going to change anything?
[01:12:03.511 --> 01:12:04.291]  No.
[01:12:04.291 --> 01:12:08.673]  That's why they're all going after Ron Paul and demonizing him when they're not ignoring him.
[01:12:08.673 --> 01:12:09.333]  Because they're scared.
[01:12:10.353 --> 01:12:12.354]  Because they know Ron Paul's real, ladies and gentlemen.
[01:12:12.354 --> 01:12:14.215]  He predicted everything that's now happening.
[01:12:14.215 --> 01:12:24.359]  Wasn't hard to predict it when they told the banks in 99, you can now issue, if you're a part of the big six, unlimited fake counterfeit instruments.
[01:12:24.359 --> 01:12:25.860]  And they bought up everything with it.
[01:12:25.860 --> 01:12:28.902]  And then when it all went bankrupt, they kept the profits.
[01:12:28.902 --> 01:12:32.943]  They privatized the profits and said, here, here, you pay for it.
[01:12:32.943 --> 01:12:33.924]  Socialize the risk.
[01:12:35.643 --> 01:12:37.904]  And they bankroll all the candidates.
[01:12:37.904 --> 01:12:43.648]  Perry's bankrolled by the big banks while he talks about getting rid of the Federal Reserve, because he knows how popular it is.
[01:12:43.648 --> 01:12:45.128]  And that's the positive sign.
[01:12:45.128 --> 01:12:55.214]  We've gotten to the point now that Rick Perry, who is a political chameleon, a shapeshifter, is talking about, well, I'm rooting-tooting Yosemite Sam!
[01:12:55.214 --> 01:12:56.975]  I want to secede!
[01:12:56.975 --> 01:13:00.597]  And I want to... I'm shooting coyotes out in Wesley!
[01:13:00.597 --> 01:13:01.538]  Yeah, right.
[01:13:01.538 --> 01:13:03.359]  There's no dead body, but I did it.
[01:13:03.359 --> 01:13:05.140]  I'm rooting-tooting tough.
[01:13:06.357 --> 01:13:08.378]  Well, no, I'm not.
[01:13:08.378 --> 01:13:12.080]  Anyways, now he's like, ah, get rid of that Federal Reserve!
[01:13:12.080 --> 01:13:17.224]  You don't print money to allow for the election, you traitors!
[01:13:17.224 --> 01:13:20.606]  Now, let's finish up and come back with your calls.
[01:13:20.606 --> 01:13:34.234]  Let's finish up with a Bill Moyers report from PBS back in the 1980s on Iran-Contra and the fact that there was a plan to stir up riots in America and set up martial law.
[01:13:36.516 --> 01:13:39.578]  But that plan got nipped in the bud because Congress blew the whistle.
[01:13:39.578 --> 01:13:43.700]  And here's Congressman Jack Brooks being told to shut up when he asked Oliver North about it.
[01:13:43.700 --> 01:13:44.260]  Here's the clip.
[01:13:44.260 --> 01:13:47.101]  Reagan was elected to the presidency.
[01:13:47.101 --> 01:13:54.705]  He installed Louis Giafrida as head of FEMA, the Federal Emergency Management Agency.
[01:13:54.705 --> 01:14:02.049]  Giafrida was an old, cold warrior from Reagan's California days, whose specialty was suppression of unrest and dissent.
[01:14:02.947 --> 01:14:10.572]  Giafrida, North, and George Bush began to turn FEMA into an instrument of domestic anti-terrorism.
[01:14:10.572 --> 01:14:25.283]  You're dealing with a group of people in the Reagan administration who equated political dissent with treason, and who cannot differentiate between emergency procedures, which I think everyone agrees are necessary, and suppressing political dissent.
[01:14:26.068 --> 01:14:34.518]  And with North and Poindexter and Casey, you had a group of people who saw Americans who disagreed with them as the enemy.
[01:14:34.518 --> 01:14:45.390]  Colonel North, in your work at the NSC, were you not assigned at one time to work on plans for the continuity of government in the event of a major disaster?
[01:14:45.390 --> 01:14:46.131]  Mr. Chairman...
[01:14:49.668 --> 01:15:01.795]  I believe that question touches upon a highly sensitive and classified area, so may I request that you not touch upon that, sir?
[01:15:01.795 --> 01:15:15.943]  I was particularly concerned, Mr. Chairman, because I read in Miami Papers and several others that there had been a plan developed by that same agency
[01:15:17.478 --> 01:15:23.010]  A contingency plan in the event of an emergency that would suspend the American Constitution.
[01:15:23.010 --> 01:15:27.539]  And I was deeply concerned about it and wondered if that was the area in which he had worked.
[01:15:29.143 --> 01:15:36.327]  May I most respectfully request that that matter not be touched upon at this stage.
[01:15:36.327 --> 01:15:41.970]  If we wish to get into this on certain arrangements can be made for an executive session.
[01:15:41.970 --> 01:15:42.350]  All right.
[01:15:42.350 --> 01:15:49.135]  Tragically, the only member who got close... Oh, let's finish up with Henry Beacon Jones.
[01:15:49.135 --> 01:15:57.700]  Yeah, now, see, there's a lot of delusional people out there that say, hey, you crazy shouldn't be so concerned about tyranny.
[01:16:01.832 --> 01:16:05.833]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:16:05.833 --> 01:16:09.074]  This is our last chance to not relive history.
[01:16:09.074 --> 01:16:13.875]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[01:16:13.875 --> 01:16:20.257]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:16:20.257 --> 01:16:22.498]  I think it's incumbent upon all of us
[01:16:23.058 --> 01:16:23.358]  Tim Geithner?
[01:16:23.358 --> 01:16:23.859]  Bernanke?
[01:16:23.859 --> 01:16:24.439]  They're arsonists!
[01:16:24.439 --> 01:16:25.199]  They're asking for more matches!
[01:16:25.199 --> 01:16:27.321]  And the Congress is saying, who do we make the check out to?
[01:16:41.949 --> 01:16:46.332]  Today seems like nobody does care and right now in Washington D.C.
[01:16:46.332 --> 01:16:49.233]  we have seen a fall of the republic.
[01:16:49.233 --> 01:16:58.338]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[01:17:02.284 --> 01:17:06.247]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
