[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[2:19:32.800 --> 2:19:37.800]  I'm not saying you're bad. I get why you did it, but when we come back, explain that to me.
[2:19:37.800 --> 2:19:41.800]  And then coming up, we've got a compilation video when goblins attack.
[2:19:41.800 --> 2:19:44.800]  But I mean, I shouldn't joke around. I had a guy try to hit me with his car last night.
[2:19:44.800 --> 2:19:46.800]  I mean, these people are crazy.
[2:19:46.800 --> 2:19:49.800]  And I thought, did he just try to hit me? He pulled up for going FU.
[2:19:49.800 --> 2:19:53.800]  I was like, this is a real world. Let's get out of that car.
[2:19:53.800 --> 2:20:02.800]  Heart disease is on the rise. Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[2:20:02.800 --> 2:20:10.800]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[2:20:10.800 --> 2:20:16.800]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[2:20:16.800 --> 2:20:20.800]  My blood pressure has normalized. My diabetes has totally improved.
[2:20:20.800 --> 2:20:25.800]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[2:20:25.800 --> 2:20:27.800]  I recommend heart and body extract to everyone.
[2:20:27.800 --> 2:20:35.800]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[2:20:35.800 --> 2:21:01.800]  Are you happy washing your hands with harsh chemicals? Are you happy doing laundry with detergents? Are you happy paying high prices? Find your happiness with pure soap.
[2:21:01.800 --> 2:21:06.800]  These all-natural, earth-friendly, pure soaps are the very best you've ever used.
[2:21:06.800 --> 2:21:12.800]  Buy in bulk, get a 12, 36 or 48 month supply, or get items individually and still save big.
[2:21:12.800 --> 2:21:18.800]  You're getting soap products twice as good as what you're using now, earth-friendly and natural soaps.
[2:21:18.800 --> 2:21:20.800]  Your family deserves the best.
[2:21:20.800 --> 2:21:32.800]  Soapiness is 5starsoap.com. Why not put your money up the drain for a change? See them at 5starsoap.com or call 1-800-340-7091 for a catalog.
[2:21:32.800 --> 2:21:39.800]  Calben's soap company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated.
[2:21:39.800 --> 2:21:45.800]  Soaps made from vegetable and coconut oils. See their full selection of soaps at 5starsoap.com.
[2:21:45.800 --> 2:21:52.800]  That's 5starsoap.com. Or call 1-800-340-7091 for a catalog.
[2:22:15.800 --> 2:22:21.800]  From any one of these threats arises the government knows it can't provide during a widespread national emergency.
[2:22:21.800 --> 2:22:24.800]  That's why you need your own plan for self-reliance.
[2:22:24.800 --> 2:22:30.800]  That's where My Patriot Supply comes in. Get a 4-week survival food supply for only $99.
[2:22:30.800 --> 2:22:36.800]  That includes breakfast, lunches and dinners. Order online at preparewithgcn.com.
[2:22:36.800 --> 2:22:44.800]  99 bucks for 4 weeks of survival food that tastes like homemade cooking and lasts up to 25 years from My Patriot Supply.
[2:22:44.800 --> 2:22:51.800]  Visit your kits today at preparewithgcn.com. Free shipping is included. Prepare with gcn.com.
[2:23:14.800 --> 2:23:29.800]  It's a no-brainer. A Big Berkey water filter is the one you need, period. You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors,
[2:23:29.800 --> 2:23:34.800]  pesticides, bacteria, viruses and much more, right? And does it all at only 2 cents per gallon.
[2:23:34.800 --> 2:23:38.800]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[2:23:38.800 --> 2:23:47.800]  And now GCN listeners receive 5% off ceramic filter systems using code GCN. Call or click 1-877-99-BERKE or bigberkeywaterfilters.com.
[2:23:47.800 --> 2:24:12.800]  That's 1-877-99-BERKEY.
[2:24:12.800 --> 2:24:20.800]  Today through Friday from 11 a.m. to 3 p.m. I'm here live. Now we've launched The Real News with David Knight from 8 a.m. till my broadcast kicks off.
[2:24:20.800 --> 2:24:24.800]  A lot of stations are looking to pick that up. Very, very thankful to all those affiliates.
[2:24:24.800 --> 2:24:32.800]  We're getting up all the affiliate pages in the podcast and all that's going up today at infowars.com forward slash show.
[2:24:32.800 --> 2:24:45.800]  Jack Pasobak, again, Patriot, ran one of the biggest organizations during the campaign. CitizensForTrump.com and Trump and his sons routinely tweet out his information.
[2:24:45.800 --> 2:24:55.800]  Here's one of the tweets last week that got the ire of the media. And again, they have to make normal behavior look upside down like mothers and fathers ban that on entrance forms.
[2:24:55.800 --> 2:25:03.800]  That's hurtful. Or free market. Well, low taxes. What next? Then Salon is promoting pedophilia.
[2:25:03.800 --> 2:25:10.800]  So, meanwhile, 39 shootings in Chicago this week and nine deaths, no national media outrage. Why is that?
[2:25:10.800 --> 2:25:18.800]  Well, just like we saw, but now 15 dead in Barcelona, hundreds injured, seven stabbed in Russia, dozens more.
[2:25:18.800 --> 2:25:26.800]  So many stabbings last week by people yelling Allah Akbar. Jack, I couldn't even keep track of it. But then we had national headlines CNN tonight.
[2:25:26.800 --> 2:25:35.800]  Naval intelligence. What's it doing? This Jack Pasobak needs to be shut down. The president tweets him.
[2:25:35.800 --> 2:25:42.800]  He can't have a security clearance if the president likes him. That's upside down world.
[2:25:42.800 --> 2:25:49.800]  But again, their projectors right wing Jack Pasobak retweeted by Trump is a Navy intel officer.
[2:25:49.800 --> 2:25:57.800]  Dun, dun, dun. You can't trust those Navy intel officers. But let's have all the radical jihadis run checkpoints at the border.
[2:25:57.800 --> 2:25:59.800]  Sorry, Jack, go ahead.
[2:25:59.800 --> 2:26:07.800]  Yeah, I know, Alex. So I don't know why they felt like it was such an important thing to go ahead and burn my cover like that or go ahead and put that all out there for all to see.
[2:26:07.800 --> 2:26:13.800]  But again, I've never posted anything with classified information. I've never put anything out about classified information.
[2:26:13.800 --> 2:26:23.800]  In fact, I can actually tell you the deep state went and pulled my security clearance months and months ago, well before when I came out specifically as a Trump supporter.
[2:26:23.800 --> 2:26:31.800]  This was something I did on the reserve time. I do my weekends. I've been deployed in the past. I'm not doing this on a day to day basis on a day to day basis.
[2:26:31.800 --> 2:26:33.800]  I'm out there. You guys see what I'm doing.
[2:26:33.800 --> 2:26:35.800]  But it shows how they try to warp everything.
[2:26:35.800 --> 2:26:44.800]  Right. Right. They twist everything around. They don't say, hey, here's a guy who served his country admirably, who's been awarded by the US military.
[2:26:44.800 --> 2:26:50.800]  And he's been retweeted by the president. They say, oh, no, this guy's got to be shut down. We can't talk to this guy. Don't listen to him.
[2:26:50.800 --> 2:26:56.800]  I said, hey, what about all these awards? What about all these deployments I've done? No, no, no. You're someone who we can't be listened to.
[2:26:56.800 --> 2:27:06.800]  They try to discredit and they try to peel back anything that you're saying rather than talk about the actual content of what I tweeted and the fact that the president retweeted it.
[2:27:06.800 --> 2:27:12.800]  The 39 shootings in Chicago, we had 63 this past weekend. They're still not talking about it, Alex.
[2:27:12.800 --> 2:27:19.800]  And that's how they changed the subject. We got a guy with no criminal record, intel officer before and now reserve.
[2:27:19.800 --> 2:27:29.800]  We need to have his thing pulled because they knew it was already pulled. They then want to announce later it got pulled to make it look like you can't be in government if you support the president.
[2:27:29.800 --> 2:27:40.800]  Right. It's this entire narrative that they're trying to pull. It's they want to keep the silent majority silent. Alex, there are Trump supporters within the military, within the intel community, within all branches.
[2:27:40.800 --> 2:27:56.800]  And all branches over society, but you're told to be quiet. It's gaslighting. It is the idea that if you speak out in support of president, if you speak out outside the narrative, if you talk about the African Americans that are being shot in our inner cities on a weekly basis,
[2:27:56.800 --> 2:28:10.800]  you are shut down. We have to can't talk about that. Don't look at this guy. Look at the shiny object over here. We're told that this small group of, you know, these 500 scumbag racists in Charlottesville is somehow representative of a strong movement in America.
[2:28:10.800 --> 2:28:29.800]  Well, they won't even say all these Islamic attacks of last week, injuring hundreds, killing over, you know, 15 or whatever. They're not even saying that's Islamic, but they're saying all conservatives are to blame for one loon ball who it turns out is a Democrat.
[2:28:29.800 --> 2:28:38.800]  And every other leader of it were recently high level Democrat operatives. I mean, Jack, you don't need to be a naval intel officer to see what's going on here.
[2:28:38.800 --> 2:28:48.800]  They invited me to speak at that rally. This group has been trying to get in touch with us for a while. When we were doing the deplorable, they were trying to come out to that. We shut them down. We said, no, we don't want anything to do with you guys.
[2:28:48.800 --> 2:28:54.800]  We can see what you are. You guys need to be kicked out. We don't want anything to do with you in our movement.
[2:28:54.800 --> 2:29:05.800]  We zero racism, zero violence. We are all about prosperity and Americana and coming together and loving each other.
[2:29:05.800 --> 2:29:09.800]  The only colors that I'm looking at are red, white and blue, Alex.
[2:29:09.800 --> 2:29:19.800]  Let me ask you this. We're gonna go to break, come back and put this compilation, but I'm gonna get back into the whole statue. I get it's a giant linen statue. He launched an operation to kill 200 plus million people.
[2:29:19.800 --> 2:29:33.800]  He personally presided over 20 million dead, millions of Ukrainians, you name it, a total pig like goblin beyond it. And why are they putting that in the city and worshiping it when they want to bring down a Robert E. Lee who had nothing to do with slavery
[2:29:33.800 --> 2:29:42.800]  and who was the head of the Northern Army before of Northern Virginia. I mean, he was gonna be neutral until they tried burning farms around him and he said, that's it.
[2:29:42.800 --> 2:29:49.800]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[2:29:49.800 --> 2:30:10.800]  You deserve a deep restful sleep with Knockout by InfoWarsLife. Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract and melatonin.
[2:30:10.800 --> 2:30:23.800]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[2:30:23.800 --> 2:30:33.800]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need. Wake up refreshed and take on the day.
[2:30:33.800 --> 2:30:45.800]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price. Get the sleep you deserve and experience the power of Knockout.
[2:30:45.800 --> 2:31:04.800]  Head on over to InfoWarsLife.com and say goodbye to fatigue. That's InfoWarsLife.com.
[2:31:16.800 --> 2:31:30.800]  Discover and try a bag of the Patriot Blend 100% organic coffee at InfoWarsLife.com. This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[2:31:30.800 --> 2:31:37.800]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[2:31:37.800 --> 2:31:47.800]  Brought by the site today, order a bag or two and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend. You will be supporting a free press.
[2:31:47.800 --> 2:31:55.800]  All the while enjoying a truly great tasting cup of my favorite coffee. Available at InfoWarsLife.com.
[2:31:55.800 --> 2:32:06.800]  Thousands of years ago there was a basic form of chivalry. Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[2:32:06.800 --> 2:32:15.800]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[2:32:15.800 --> 2:32:29.800]  But in the 21st century, there are silent weapons for quiet war. Pathogens added to the food and water, to the lining of plastics that destroy our vitality, turn off our hormones and accelerate our journey towards death.
[2:32:29.800 --> 2:32:44.800]  I personally counter this onslaught with Anthroplex. Anthroplex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[2:32:44.800 --> 2:33:05.800]  Discover why Anthroplex has turned so many heads today. It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with Anthroplex.
[2:33:05.800 --> 2:33:16.800]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[2:33:16.800 --> 2:33:27.800]  From the front lines of the Information War, it's Alex Jones.
[2:33:27.800 --> 2:33:37.800]  All right, the toll-free number to join us on air to talk about any of these big issues you've been raising. The total eclipse being deemed racist by the Atlantic Monthly, they're not joking.
[2:33:37.800 --> 2:33:52.800]  You say, well, that doesn't make sense. It discredits them. They want to sound outrageous. They want to set the precedent with the Overton window to say things so incredibly radical, you then accept other things that before would have sounded radical, but they've so skewed your brain, you don't see it.
[2:33:52.800 --> 2:34:01.800]  Also, IT staffers may have compromised sensitive data to foreign intelligence. They have been indicted for conspiracy against the U.S.
[2:34:01.800 --> 2:34:16.800]  We're going to talk to Jack Pesovic about his contacts in D.C. and what the intel is on that. But the reason they hate Jack Pesovic and the reason they hate Mike Sarnovich and others is they work real sources and do real journalism in the defense of this republic.
[2:34:16.800 --> 2:34:24.800]  And that's why they want them shut down and shut up. And that's why we're honored to have them here. Jack Pesovic, citizensoftrump.com, Jack Pesovic on Twitter, be sure and follow him there.
[2:34:24.800 --> 2:34:37.800]  Before we go back to him, here's the number. It's 800-25-99231. We'll launch that phone system. 800-25-99231. Your questions, your comments for Jack Pesovic.
[2:34:37.800 --> 2:34:46.800]  David Knight already hosted the first three hours today of the new show he's launched here on the system, the InfoWars Network, I guess you could call it.
[2:34:46.800 --> 2:34:55.800]  Radio TV, and we're going to be launching more broadcasts here in the next two weeks with Mike Sarnovich, Roger Stone, and others.
[2:34:55.800 --> 2:35:01.800]  And we're going to add even more shows. We're very, very excited about your support. We're able to do this because you've been supporting us.
[2:35:01.800 --> 2:35:11.800]  And I hope that listeners and viewers will remember that when you make a commitment to visit infowarsstore.com and get great organic coffee,
[2:35:11.800 --> 2:35:21.800]  or get great water filtration systems, or air filtration systems, or Molan Wabay shirts, or conservatism as the new counterculture shirts.
[2:35:21.800 --> 2:35:31.800]  All of your purchases are the EmRick's Essentials Toiletries, Organic Mouthwash, Shampoo, Body Wash, Sunscreen, Bug Spray, all of it.
[2:35:31.800 --> 2:35:41.800]  CNN is a terrorist organization. Shirts, Donald Trump, President, 2020. CNN is fake news. InfoWars.com is real news. It's all there.
[2:35:41.800 --> 2:35:47.800]  But the BuzzFeed special, that's combining last month's special and the 1776 special, that's got to end.
[2:35:47.800 --> 2:35:57.800]  I said I'd run through the month, but we're running out of most of the things. We just ran out of MycoZX, which targets the fungus in the gut, not just the bad bacteria.
[2:35:57.800 --> 2:36:02.800]  That's sold out. BrainForce Plus is selling out 55% off. Why wouldn't it? A great new tropic.
[2:36:02.800 --> 2:36:09.800]  DNA Force, leading competitors are like 50 bucks, folks. So normally at 30, it's a good deal. 1776, 55% off, you can't beat it.
[2:36:09.800 --> 2:36:17.800]  BrainForce. DNA Force is selling out, but I've still got a 20% off. Silver Bullet Colloidal Silver is selling out 66% off.
[2:36:17.800 --> 2:36:25.800]  Knockout, the sleep aid is selling out 50% off. Survival Shield X2, the good halogen that blocks the other bad halogens, not just Radioactive Ionine.
[2:36:25.800 --> 2:36:30.800]  It is 55% off. Secret 12, 55% off. Biotrystallineum, 29% off.
[2:36:30.800 --> 2:36:39.800]  Remember, BuzzFeed got these, did over $10,000 in testing at a top California lab who also sells products.
[2:36:39.800 --> 2:36:43.800]  So they go do testing and tell you what the top products are, said, OK, this stuff's totally clean.
[2:36:43.800 --> 2:36:50.800]  Didn't tell you what a feat that is, the California standards. And then they went, oh, look at this, B12, it's 40 bucks.
[2:36:50.800 --> 2:36:57.800]  No, it's normally $25, but OK, they lied about that. They go, but here's the brand that we sell. It's the best tested.
[2:36:57.800 --> 2:37:06.800]  And it's who we private label. They're so stupid. They're selling it for $35. We're selling it for $17.76. That's selling out.
[2:37:06.800 --> 2:37:15.800]  Caveman is now in strawberry flavors. Well, concentrated bone broth, the essence, so filling, so good for your bones, your joints, everything.
[2:37:15.800 --> 2:37:21.800]  The ancients knew that with the bee pollen, the chaga mushroom, the turmeric, and so much more. Amazing. That's back in stock.
[2:37:21.800 --> 2:37:27.800]  Alexa Pure Pro blows away all the other gravity-fed filters out their year advertised. It's just amazing.
[2:37:27.800 --> 2:37:31.800]  Pro Pure is great as well. I carry all the best brands at the lowest prices. $147.
[2:37:31.800 --> 2:37:37.800]  Leading competitors are like $300 for stuff that doesn't work as well. Alexa Pure Breeze, that special's got to end today.
[2:37:37.800 --> 2:37:44.800]  25% off on the House 4 stage filter. Vitamin mineral fusion, 33% off, and much more.
[2:37:44.800 --> 2:37:52.800]  M4WarStore.com. We'll have new specials the next few days. They won't be as expansive. I've never run specials for almost a month and a half.
[2:37:52.800 --> 2:37:57.800]  But it's popular. Folks like it. And I appreciate all your support.
[2:37:57.800 --> 2:38:02.800]  But M4WarStore.com got an additional 10% off when you sign up for auto-ship.
[2:38:02.800 --> 2:38:09.800]  A lot of this stuff is lost leaders when you sign up for auto-ship as well. Free shipping. There's free shipping on orders. $50 or more.
[2:38:09.800 --> 2:38:19.800]  M4WarStore.com or AAA-253-3139. And take satisfaction when you get these high quality products in knowing we're hurting the New World Order.
[2:38:19.800 --> 2:38:24.800]  We're exposing their global government system. They're in trouble thanks to you supporting the broadcast.
[2:38:24.800 --> 2:38:31.800]  You aren't behind us. You're at the heart of this operation. You're the blood. You're the sweat. You're the tears. You're the oxygen.
[2:38:31.800 --> 2:38:35.800]  You are the M4War. And together we are unstoppable.
[2:38:35.800 --> 2:38:40.800]  I want to play a clip and go to calls and have you ride shotgun with us. But I've been asking the questions here.
[2:38:40.800 --> 2:38:47.800]  You've always got a lot of intel. Bannon out. Shake ups. Increasing troops in Afghanistan.
[2:38:47.800 --> 2:38:51.800]  I know as somebody in the military you're not supposed to comment on the president's policy specifically on that.
[2:38:51.800 --> 2:38:57.800]  One reason you've never gotten into the fact you were in naval intelligence. But they're trying to run you out of that now.
[2:38:57.800 --> 2:39:03.800]  But obviously I don't want to say the president's going sideways. But I don't think a lot of this is a good sign overall.
[2:39:03.800 --> 2:39:09.800]  I know that Bannon kind of stood by when the generals took over when McMaster came in.
[2:39:09.800 --> 2:39:15.800]  So there's kind of this argument. Well you got eaten last. But at the same time I see Breitbart doing such great work.
[2:39:15.800 --> 2:39:19.800]  What do the tea leaves say to you about all this?
[2:39:19.800 --> 2:39:29.800]  Alex it reminds me of a situation where you had one person in there like we had to different points of the campaign that was closer to sort of more of an ear of the people.
[2:39:29.800 --> 2:39:35.800]  And that's what Bannon sort of represented. He wasn't somebody who was necessarily setting every single policy.
[2:39:35.800 --> 2:39:41.800]  It wasn't just coming from Bannon. People understood that. He was holding the president's feet to the fire.
[2:39:41.800 --> 2:39:45.800]  He was remembering what the campaign promises were. And he was working.
[2:39:45.800 --> 2:39:50.800]  We saw that whiteboard that he had right behind him every day in his office that said how are we going to do these things?
[2:39:50.800 --> 2:39:53.800]  How are we going to get the travel ban? How are we going to get the wall?
[2:39:53.800 --> 2:39:59.800]  What are we going to do in Afghanistan? To his plan for Afghanistan which he took, they called it the Eric Prince plan but it actually wasn't that.
[2:39:59.800 --> 2:40:03.800]  It was the plan that was used immediately after 9-11 in Afghanistan.
[2:40:03.800 --> 2:40:10.800]  I actually spoke to Eric Prince on the phone last Friday morning prior to, he was barred from going to Camp David.
[2:40:10.800 --> 2:40:16.800]  He was barred from going to present his plan which was just a reminder of what the U.S. did immediately after 9-11.
[2:40:16.800 --> 2:40:23.800]  It was when we went in, we found locals that could be worked with. People who weren't Taliban. People who weren't these extremists.
[2:40:23.800 --> 2:40:29.800]  People who knew the culture. People who spoke the language. People who wouldn't be seen as an occupying force.
[2:40:29.800 --> 2:40:33.800]  And we worked with them to achieve our goals and to achieve stability.
[2:40:33.800 --> 2:40:38.800]  Look, we don't want to take over Afghanistan. We're not in the business in the United States of running other countries.
[2:40:38.800 --> 2:40:41.800]  We just don't want the Taliban or ISIS.
[2:40:41.800 --> 2:40:47.800]  You're talking about a stabilization force so there's not another failed state for ISIS or al-Qaeda to reconstitute.
[2:40:47.800 --> 2:40:51.800]  Exactly. One that's set up and run by the Afghans.
[2:40:51.800 --> 2:40:59.800]  And we have those people, we still have Americans only there in more of a slightly advisory role with some special forces to be going after these ISIS nut jobs.
[2:40:59.800 --> 2:41:05.800]  But then working with the different tribes, working with the parts of the Taliban that actually are open to moderation.
[2:41:05.800 --> 2:41:10.800]  Those ones, look, it's Afghanistan, right? Every other person in some sense.
[2:41:10.800 --> 2:41:16.800]  This is what the Afghans want. They want us out. So what do you make of this speech to the president coming up tonight?
[2:41:16.800 --> 2:41:19.800]  We'll be covering live then FullWars.com.
[2:41:19.800 --> 2:41:26.800]  Yeah, we'll be seeing. It remains to be seen that there hasn't been any official leaks or any official response about what is the speech is going to be.
[2:41:26.800 --> 2:41:35.800]  But the big problem, and Alexander the Great learned this going back 2,000 years ago, is that when you march into Afghanistan and look like an occupying force,
[2:41:35.800 --> 2:41:45.800]  again, this is fourth generation warfare. Alex, you know this stuff. It makes you look like the overpowering aggressor and it's going to have make people want to rise up against that force.
[2:41:45.800 --> 2:41:56.800]  So we've got to find a way to make it look like it's Afghanistan getting our help to push out the extremists, not another invasion of the country, not an occupying force.
[2:41:56.800 --> 2:42:04.800]  That's the message that we need to send. So we have to be very careful about any sort of surge, any massive, you know, whether or not tanks and armor are going to be going in.
[2:42:04.800 --> 2:42:10.800]  What type of uniforms people are going to be wearing? In fact, Eric Prince in his plan, he said, we weren't even going to wear US uniforms.
[2:42:10.800 --> 2:42:17.800]  We were going to have people wear sort of this joint uniform that didn't specify it to make us look like these occupied.
[2:42:17.800 --> 2:42:23.800]  Let's talk about that. That's a big deal. Talking to Eric Prince founder of Blackwater and then XZ and the rest of it really got demonized by the left.
[2:42:23.800 --> 2:42:30.800]  But it turns out that behind the scenes, he's exposed the pedophile rings, helped expose Hillary. They really hate him.
[2:42:30.800 --> 2:42:37.800]  They've been wanting to try to set him up for a long time. You say you talk to him. What can you relay about that conversation?
[2:42:37.800 --> 2:42:42.800]  Well, what I can relay is that he's essentially been sidelined at this point by the National Security Council.
[2:42:42.800 --> 2:42:50.800]  At one point, his plan, there are people saying that actually Kelly was considering his plan, was looking at it and saying, you know what, this makes sense.
[2:42:50.800 --> 2:42:57.800]  Alex, at this point, no one will talk about the numbers. We already have about 8000 troops and over 10,000 more contractors in Afghanistan.
[2:42:57.800 --> 2:43:02.800]  So let's talk about Eric Prince's plan because nobody was hearing this stuff. This is interesting.
[2:43:02.800 --> 2:43:11.800]  Sure. So his plan was to reduce that number down to make us, instead of looking like an occupying force, we were going to send contractors and people that had the mandate of the U.S. government.
[2:43:11.800 --> 2:43:24.800]  They'd be working for the U.S. government, but with Afghanistan special forces, with Afghanistan army to work culturally with the leaders over there that are willing to be on board with the United States to look for stability.
[2:43:24.800 --> 2:43:33.800]  So it's not the U.S. going in there and telling Afghanistan what to do. It's that we're working to achieve stability, rather than going in with a massive occupying force.
[2:43:33.800 --> 2:43:42.800]  Because his worry, Alex, Eric told me that if the U.S. goes and sends another 5,000, 6,000 troops to Afghanistan, it's going to look like a massive invasion.
[2:43:42.800 --> 2:43:44.800]  And Afghanistan remembers what happened in 2003.
[2:43:44.800 --> 2:43:55.800]  And we heard months ago that Trump, and he signaled, exactly, he was looking at reduction and going with that plan. The word we've gotten is he's going to announce expansion tonight.
[2:43:55.800 --> 2:44:09.800]  All signs indicate that the president, because they removed any third option. This was the third option. The only two options presented to the president at Camp David on Friday were the surge or a complete withdrawal.
[2:44:09.800 --> 2:44:16.800]  So if those are the only two options, of course, he's going to choose the one that doesn't completely follow what Obama did in Iraq, because the president...
[2:44:16.800 --> 2:44:24.800]  Well, here's the deal. If we're going to leave, we shouldn't announce it. We should just do it, or it'll be like 1975, people hanging off helicopters, kids.
[2:44:24.800 --> 2:44:31.800]  Exactly. So we can't have that. That's what happened in Vietnam. That's what happened in Iraq after the complete pullout during Obama.
[2:44:31.800 --> 2:44:43.800]  What wasn't at the table was this third option of a reduction of, instead of having a massive force, have a smaller, smarter force that goes in with the mandate of using Afghan troops.
[2:44:43.800 --> 2:44:48.800]  But instead, they're going with a build down.
[2:44:48.800 --> 2:44:55.800]  Yeah. So what they're going to say is there's going to be a surge at upfront, and then eventually it's going to slowly, slowly, slowly go down.
[2:44:55.800 --> 2:44:59.800]  So it'll be big upfront and then come back at the end. It's almost like accounting, right?
[2:44:59.800 --> 2:45:06.800]  The problem is that's the same thing that's been going on for the last 16 years. It's the same line they always use. It's the same mandate.
[2:45:06.800 --> 2:45:09.800]  That line, oh, you know, it's not a 16 year war.
[2:45:09.800 --> 2:45:15.800]  Yeah, they've been front loading this from the beginning, and it's pure crap.
[2:45:15.800 --> 2:45:25.800]  Sure. And there's going to be parts of Afghanistan that the U.S. unfortunately remained in for a long time, because a lot of people in the bell way are talking about it like Germany or Japan or South Korea,
[2:45:25.800 --> 2:45:32.800]  where the U.S. essentially has permanent forces now and permanent bases. They're talking about permanent bases in Afghanistan.
[2:45:32.800 --> 2:45:35.800]  That's the long-term plan here, Alex.
[2:45:35.800 --> 2:45:39.800]  All right. I want to go to break in a few minutes and go back and talk to Alex, Josh, Dan, Kevin, and Jacob and others.
[2:45:39.800 --> 2:45:43.800]  Jack Passovic, really smart guy. Journalist is our guest.
[2:45:43.800 --> 2:45:47.800]  An evil person, though, that points out that there's Islamic attacks. The media doesn't cover it.
[2:45:47.800 --> 2:45:51.800]  But there's mass shootings in Chicago. They don't cover it because it's Democrat controlled stuff.
[2:45:51.800 --> 2:45:58.800]  But there's one person dies at a tragic, you know, funded, globalist, manipulated event in Charlottesville.
[2:45:58.800 --> 2:46:03.800]  Every one of us is supposedly guilty for it. So simply, simply incredible.
[2:46:03.800 --> 2:46:11.800]  But here's this compilation I mentioned, all bleeped out of some of the Democrats in Seattle throwing things at me, getting in my face,
[2:46:11.800 --> 2:46:17.800]  unable to speak, unable to ever defend their ideas, and usually running away once they made the point. Here it is.
[2:46:17.800 --> 2:46:22.800]  You're not welcome with your racist ideas. That's right.
[2:46:22.800 --> 2:46:25.800]  You're leaders.
[2:46:25.800 --> 2:46:27.800]  I don't think I'm allowed to build an office here, actually.
[2:46:27.800 --> 2:46:29.800]  This is America, bro. You can't...
[2:46:29.800 --> 2:46:31.800]  People won't hate you, though, because you're an...
[2:46:31.800 --> 2:46:34.800]  Uh-huh. And I can't be intimidated by the group thing.
[2:46:34.800 --> 2:46:36.800]  Are you the crazy guy from Input Wars?
[2:46:36.800 --> 2:46:37.800]  Yeah. How's it going?
[2:46:37.800 --> 2:46:38.800]  What are you doing here?
[2:46:38.800 --> 2:46:40.800]  Oh, it's America. I've been here many times.
[2:46:40.800 --> 2:46:42.800]  What do you mean, Seattle?
[2:46:42.800 --> 2:46:43.800]  Do you speak to America?
[2:46:43.800 --> 2:46:45.800]  Seattle.
[2:46:45.800 --> 2:46:47.800]  Hey, brother. Hey, you want to talk to us?
[2:46:47.800 --> 2:46:50.800]  Oh, but you think you can't? All you can do is that?
[2:46:50.800 --> 2:46:52.800]  Yeah.
[2:46:52.800 --> 2:46:56.800]  Yeah. You know something? I'm not afraid of you people. You got something to say. Say it.
[2:46:56.800 --> 2:46:58.800]  You got nothing intellectual.
[2:46:58.800 --> 2:47:01.800]  You're an intellectual dumbass who watches mainstream media.
[2:47:01.800 --> 2:47:03.800]  Seattle's the city. It's where you're standing now.
[2:47:03.800 --> 2:47:04.800]  No, no.
[2:47:04.800 --> 2:47:07.800]  It's part of America, but you're in Seattle right now. Why are you here?
[2:47:07.800 --> 2:47:09.800]  Because it's a free country.
[2:47:09.800 --> 2:47:13.800]  Yeah. That's why you're allowed to be here. Why are you here, though? What's your job? What's your...
[2:47:13.800 --> 2:47:19.800]  I'm just here showing us hardcore fascist brainwashing the corporate media and the big banks have done on the people.
[2:47:19.800 --> 2:47:21.800]  I think it's people that think they're liberal and turn them into fascists.
[2:47:21.800 --> 2:47:24.800]  Look at that, buddy. Dylan, we're doing a lot of feed right now.
[2:47:24.800 --> 2:47:25.800]  Oh.
[2:47:25.800 --> 2:47:29.800]  Let me ask you a quick question. Did you see how newspapers everywhere said the economy's going to implode today,
[2:47:29.800 --> 2:47:31.800]  and that it caused the stock market to implode?
[2:47:31.800 --> 2:47:34.800]  Well, I just wanted to stop and tell you that I think your story was terrible.
[2:47:34.800 --> 2:47:35.800]  Well, thank you. Thank you.
