[00:00:05.854 --> 00:00:06.654]  Sign up.
[00:47:07.715 --> 00:47:11.239]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:47:11.239 --> 00:47:18.307]  To allow this food to work for you call 908-691-2608 or go to HempUSA.org and order today.
[00:47:18.307 --> 00:47:21.191]  The body will react and heal itself given the proper nutrition.
[00:47:21.451 --> 00:47:23.652]  This superfood will be your greatest asset.
[00:47:23.652 --> 00:47:27.312]  So try it today, store it today, and change your life.
[00:47:27.312 --> 00:47:33.774]  Call 908-691-2608 or order from hempusa.org.
[00:47:33.774 --> 00:47:36.294]  The GCN Radio Network.
[00:47:36.294 --> 00:47:39.755]  Providing the world with hard-hitting talk radio.
[00:47:39.755 --> 00:47:40.895]  GCN.
[00:47:40.895 --> 00:47:42.856]  Great talk radio starts here.
[00:47:48.732 --> 00:47:50.693]  I'm looking at the London Guardian headline right now.
[00:47:50.693 --> 00:47:54.756]  British woman arrested and imprisoned for asking cop for badge number.
[00:47:54.756 --> 00:47:57.478]  Shows him choking her and beating her.
[00:47:57.478 --> 00:47:59.440]  And the police are saying that's the new policy.
[00:47:59.440 --> 00:48:02.562]  You ask us a question, we beat you.
[00:48:02.562 --> 00:48:03.923]  We'll talk to Dr. Roberts about that.
[00:48:03.923 --> 00:48:05.644]  His new book covers it.
[00:48:05.644 --> 00:48:08.406]  The issue here is we've seen this in society over and over again.
[00:48:08.406 --> 00:48:12.789]  The reason I bring it up as we get into Iran is I don't support the Mullahs.
[00:48:12.789 --> 00:48:14.870]  I know governments tend to get corrupt and evil and bad.
[00:48:14.870 --> 00:48:15.471]  The point is
[00:48:16.044 --> 00:48:20.849]  Is that our government has overthrown them in 53 for people that don't know and Dr. Roberts can speak to that.
[00:48:20.849 --> 00:48:24.113]  The issue is they're in there fomenting this revolution.
[00:48:24.113 --> 00:48:26.916]  This guy's got connections to the CIA and MI6.
[00:48:28.252 --> 00:48:39.222]  We've clearly got color revolutions in there for people that don't know, and if the globalists, the people running our country, are able to bring down Iran, that's going to embolden them to attack more nations.
[00:48:39.222 --> 00:48:51.814]  So, that's my point here, and Dr. Roberts, I saw him three, four days ago, write editorials, and he'd show photos pointing out, why are these Iranians wearing green for the opposition candidate holding up signs?
[00:48:52.395 --> 00:48:52.615]  I don't
[00:49:12.208 --> 00:49:12.448]  I think?
[00:49:30.919 --> 00:49:39.701]  There's deception going on, and I've seen Fox News saying, and CNN, oh, we ought to help the Iranians, we ought to give them support, we ought to try to overthrow them.
[00:49:39.701 --> 00:49:40.921]  That's deception, folks.
[00:49:40.921 --> 00:49:50.264]  The White House admits, and the last White House admits, they're in there manipulating this, they are in there pushing this, so why don't they just be honest?
[00:49:50.264 --> 00:49:51.724]  Dr. Roberts.
[00:49:51.724 --> 00:49:54.064]  Well, let me just give some facts.
[00:49:54.064 --> 00:49:57.665]  This is not anything to do with my opinion.
[00:49:57.665 --> 00:49:59.146]  We've known since May of 2007
[00:50:01.041 --> 00:50:23.097]  From ABC News, from the London Telegraph, from Seymour Hersh, the New Yorker, that President Bush had signed an authorization for a black ops group to destabilize the Iranian government and to topple it.
[00:50:23.097 --> 00:50:28.000]  So they've had that for two years, and they've had an open-ended budget.
[00:50:28.747 --> 00:50:40.315]  We also know, there are press reports, that we have been funding not merely politically distant groups, but also terrorist groups.
[00:50:40.315 --> 00:50:44.939]  MEK, MEK, for example.
[00:50:44.939 --> 00:50:52.004]  Groups that are or were before we began supporting them on the State Department's list of terrorist organizations.
[00:50:52.004 --> 00:50:56.487]  And we know recently there have been bombings and assassinations.
[00:50:57.873 --> 00:51:04.817]  It's been carried out by these terrorist groups that we fund.
[00:51:04.817 --> 00:51:09.419]  So we know that there is this operation going.
[00:51:09.419 --> 00:51:11.881]  It's been going for two years.
[00:51:11.881 --> 00:51:24.928]  We also know, for example, that the National Endowment for Democracy funds dissident groups
[00:51:26.472 --> 00:51:35.895]  Countries that we want to control, where we want to orchestrate a revolution, a color revolution.
[00:51:35.895 --> 00:51:49.059]  Recently, the arch neoconservative Kenneth Timmerman, who has an organization called Foundation for Democracy.
[00:51:53.476 --> 00:52:03.378]  It's funded by the National Endowment for Democracy, and the purpose of Timmerman's organization is to promote democracy in Iran.
[00:52:03.378 --> 00:52:09.160]  Now, here's what he wrote prior to the election.
[00:52:09.160 --> 00:52:18.202]  He wrote, this is before anybody has voted in Iran, there's talk of a green revolution in Tehran.
[00:52:18.202 --> 00:52:19.302]  Well now, how would he know that?
[00:52:20.501 --> 00:52:22.622]  Unless it was an orchestrated plan.
[00:52:22.622 --> 00:52:34.246]  Why would there be a Green Revolution prepared prior to the vote, especially if Mousavi and his supporters were as confident of victory as they claim?
[00:52:34.246 --> 00:52:38.067]  In other words, this was all set up in advance.
[00:52:41.351 --> 00:52:51.599]  And Timmerman goes on to say that the National Endowment for Democracy, these are direct quotes, has spent millions of dollars promoting color revolutions.
[00:52:51.599 --> 00:53:04.788]  Some of that money appears to have made it into the hands of pro-Mussabi groups who have ties to non-governmental organizations outside Iran that the National Endowment for Democracy funds.
[00:53:04.788 --> 00:53:05.768]  So there we have it.
[00:53:05.768 --> 00:53:09.331]  It's no doubt that we're funding these people, including
[00:53:10.835 --> 00:53:26.276]  Absolutely, Doctor, and that's why your articles that we have links to up on InfoWars.com and PrisonPlanet.com and up on CounterPunch.org and others are so important, but I'd like you to go back before you continue and we've got one more segment with you at the news and we appreciate the time and it's this.
[00:53:27.250 --> 00:53:41.750]  On record, Sy Hersh actually in 2004 wrote that US forces were in there staging terror attacks, special forces were on the ground, that they had four groups, one Kurdish, three connected to Saudi Arabia, the Sunnis including
[00:53:42.570 --> 00:53:50.957]  The number three in Al Qaeda, this is mainstream news, blowing up mosques, bombing police stations, the Iranians have been suing the U.S.
[00:53:50.957 --> 00:53:51.638]  at the U.N.
[00:53:51.638 --> 00:54:07.151]  saying that our government's staging this, and then the White House, as you mentioned, in 2007 puts out a press release bragging they're doing it, and then I'm watching people last night on Fox News, I'm going to play a clip of the next segment, Lieutenant Colonel Bill Cohen bragging
[00:54:07.831 --> 00:54:10.934]  About how they need to torture people and invade Iran.
[00:54:10.934 --> 00:54:15.898]  Then he goes on Fox to run Black Ops on the American people and says, I'm angry at Obama.
[00:54:15.898 --> 00:54:19.942]  He's not supporting the overthrow and these great freedom fighters.
[00:54:19.942 --> 00:54:23.905]  Knowing the whole thing's run by Bush and now still Obama.
[00:54:23.905 --> 00:54:28.409]  Cynical Black Ops behaving as if this whole thing isn't staged.
[00:54:28.409 --> 00:54:33.694]  While Al-Qaeda is attacking Iran when we're losing all our freedoms because of Al-Qaeda.
[00:54:34.697 --> 00:54:35.317]  Yeah.
[00:54:35.317 --> 00:54:38.798]  Well, you've got it figured out.
[00:54:38.798 --> 00:54:41.198]  And I think there's so many dead giveaways.
[00:54:41.198 --> 00:54:48.680]  For example, Mousavi declared his victory several hours before the polls closed.
[00:54:48.680 --> 00:54:49.660]  Ah, yes, I remember that.
[00:54:49.660 --> 00:54:56.962]  Now, see, this is classic CIA destabilization because it discredits a contrary outcome.
[00:54:57.822 --> 00:55:15.349]  And it forces an early declaration of the vote, because along the time interval between the preemptive declaration of victory and the release of the vote tally, the longer Musabi and the CIA have to create the impression that the authorities are using the time to fix the vote.
[00:55:15.349 --> 00:55:18.270]  And it's just amazing to me that people don't see through this trick.
[00:55:19.372 --> 00:55:29.840]  Well, that's really a key point, and when I saw your article yesterday, I went and looked that up, and even in Iranian press TV and BBC, you're right.
[00:55:29.840 --> 00:55:36.965]  Hours and hours before it was even completed, he was already declaring victory and saying he'd won by this giant margin.
[00:55:36.965 --> 00:55:42.409]  How could he know to put out the false idea that then, when he lost, it was a cheat?
[00:55:42.409 --> 00:55:45.812]  Yeah, that's the way you work it.
[00:55:46.852 --> 00:55:53.535]  And there are some other tell-tale things, for example... Well, it's based on a color!
[00:55:53.535 --> 00:55:55.116]  That's what George Soros always does.
[00:55:55.116 --> 00:56:01.179]  It's mindless, it's... Alex, let me get to the point, mate.
[00:56:01.179 --> 00:56:09.443]  You know, according to the Iranian experts that we have, there's no real difference between Mousavi and Ahmadinejad.
[00:56:09.443 --> 00:56:13.705]  And the notion this guy is a moderate is absurd because, look,
[00:56:14.520 --> 00:56:22.444]  First of all, there's no history of large-scale election fraud in the Iranian presidential races.
[00:56:22.444 --> 00:56:28.086]  If the Mullahs don't like a candidate, they just kick him off the ballot!
[00:56:28.086 --> 00:56:33.709]  So if they were worried about Mousavi winning and didn't want him to win, they just wouldn't have put him on the ballot.
[00:56:33.709 --> 00:56:42.473]  Who gets on the ballot is up to that council, that small council of Mullahs, to choose.
[00:56:43.644 --> 00:56:56.733]  And so obviously they didn't have any objections to him, and when Khatami, a liberal reformer, ran for president, the entire conservative establishment absolutely hated him, but they did nothing about it.
[00:56:56.733 --> 00:56:59.795]  He won both of his races.
[00:56:59.795 --> 00:57:08.741]  And if they don't cheat against a liberal outsider like Khatami, how in the world would they cheat against a pillar of the establishment like Mousavi?
[00:57:08.741 --> 00:57:13.164]  So the whole thing is, I think, that Mousavi
[00:57:14.457 --> 00:57:27.064]  The CIA knows how to manipulate disgruntled people, and they're using him to discredit the Iranian government.
[00:57:27.064 --> 00:57:36.409]  I don't think they'll be able to topple it, because it seems to be mainly westernized youth in Tehran making these protests.
[00:57:36.409 --> 00:57:40.591]  But whether they topple it or not, they've won, because they will have discredited
[00:57:41.432 --> 00:57:50.840]  The Iranian government, the Ayatollahs thought this election would increase the foreign legitimacy of the regime.
[00:57:50.840 --> 00:57:52.201]  Instead, it's decreased it.
[00:57:52.201 --> 00:57:58.806]  So now Obama has a reason to say, well, we were going to do diplomacy, but it's failed.
[00:57:58.806 --> 00:57:59.747]  Look, they're crooks.
[00:57:59.747 --> 00:58:01.749]  They steal elections.
[00:58:01.749 --> 00:58:05.772]  There's nothing left but sanctions and the military option.
[00:58:06.619 --> 00:58:13.646]  And John Bolton told, according to the London Telegraph, who printed this... Hold on, gotta break.
[00:58:13.646 --> 00:58:14.887]  We'll come back after the news.
[00:58:14.887 --> 00:58:21.434]  I gotta interrupt you and we'll get to this incredible info from Dr. Paul Gregg Roberts laying out every piece of information.
[00:58:21.434 --> 00:58:23.116]  This is completely staged, folks.
[00:58:24.454 --> 00:58:28.537]  Hi, this is Ted Anderson introducing a new way to listen to GCN on your cell phone.
[00:58:28.537 --> 00:58:34.542]  If you own a smartphone like Blackberry, iPhone, or Arnold G1, there's a free application called Flycast.
[00:58:34.542 --> 00:58:40.606]  Simply download, install, and within minutes you'll be listening to your favorite GCN shows from the convenience of your phone.
[00:58:40.606 --> 00:58:45.970]  Go to GCNlive.com, download the Flycast application, and begin listening in a whole new way.
[00:58:45.970 --> 00:58:48.592]  The place to go to is GCNlive.com.
[00:58:48.592 --> 00:58:52.095]  Again, that's GCNlive.com, application, Flycast.
[00:58:53.527 --> 00:58:54.768]  Hi, this is Ted Anderson.
[00:58:54.768 --> 00:58:59.331]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:58:59.331 --> 00:59:05.135]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:59:05.135 --> 00:59:08.777]  Gold has outperformed paper investments, yet no word about IRAs.
[00:59:08.777 --> 00:59:11.499]  If you would like to have gold for your retirement, call 800-686-2237.
[00:59:11.499 --> 00:59:16.562]  Don't get left behind by rising inflation and low returns.
[00:59:16.562 --> 00:59:16.803]  Call 800-686-2237.
[00:59:16.803 --> 00:59:18.204]  Secure your future and call 1-800-686-2237.
[00:59:24.088 --> 00:59:26.089]  Heart disease is on the rise.
[00:59:26.089 --> 00:59:33.055]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:59:33.055 --> 00:59:41.461]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:59:41.461 --> 00:59:47.166]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:59:47.566 --> 00:59:49.188]  My blood pressure has normalized.
[00:59:49.188 --> 00:59:51.491]  My diabetes has totally improved.
[00:59:51.491 --> 00:59:55.896]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:59:55.896 --> 00:59:58.119]  I recommend Heart and Body Extract to everyone.
[00:59:58.119 --> 01:00:05.668]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:00:06.028 --> 01:00:10.250]  Order your two-month supply today by calling 866-295-5305.
[01:00:10.250 --> 01:00:14.151]  That's 866-295-5305.
[01:00:14.151 --> 01:00:17.172]  Or order online at HBextract.com.
[01:00:17.172 --> 01:00:23.535]  Heart and Body Extract 866-295-5305 or HBextract.com.
[01:00:23.535 --> 01:00:28.737]  To work with after Governor Perry signs the legis- Thank you for listening to GCN.
[01:00:28.737 --> 01:00:31.057]  Visit GCNlive.com today.
[01:00:31.057 --> 01:00:33.518]  News Radio 590, KLBJ, all-
[01:00:37.645 --> 01:00:40.668]  Higher in USA Radio News, I'm Jason Walker.
[01:00:40.668 --> 01:00:46.312]  Bloodshed in Albuquerque, New Mexico Saturday morning when armed robbers hit a crowded Denny's restaurant.
[01:00:46.312 --> 01:00:48.214]  One employee shot and killed.
[01:00:48.214 --> 01:00:54.760]  Two people now in custody, but some witnesses say anywhere from two to six men barged into that restaurant.
[01:00:55.260 --> 01:01:02.688]  One worker has been killed, three others injured in an ammonia leak at a poultry processing plant in Lumber Ridge, North Carolina.
[01:01:02.688 --> 01:01:05.631]  Nearly 40 people in the plant at that time.
[01:01:05.631 --> 01:01:07.573]  Newly released data shows the U.S.
[01:01:07.573 --> 01:01:13.098]  Army has seen a near doubling of the number of soldiers being treated for alcohol dependency or abuse since 03.
[01:01:14.059 --> 01:01:19.863]  Study says just six soldiers out of 1,000 were diagnosed with substance abuse in 2003.
[01:01:19.863 --> 01:01:22.845]  The problem isn't just confined to the Army.
[01:01:22.845 --> 01:01:29.809]  The Marine Corps says its figures have climbed some 12% from 2005 through last year.
[01:01:29.809 --> 01:01:32.731]  This is IRN USA Radio News.
[01:01:34.454 --> 01:01:36.575]  Are you losing your home to foreclosure?
[01:01:36.575 --> 01:01:38.917]  Are you behind on your mortgage and fear the worst?
[01:01:38.917 --> 01:01:50.605]  The Associates of Homeowners Legal Assistance would like to offer you a free, no-obligation consultation that will show you how to stop foreclosure, reduce your interest rates and possibly save you thousands on your mortgage.
[01:01:50.605 --> 01:01:54.007]  Don't let this economic slowdown take your home from you and your family.
[01:01:54.007 --> 01:01:55.288]  You've worked too hard.
[01:01:55.288 --> 01:02:04.394]  Homeowners Legal Assistance is an attorney-based loan modification firm that can negotiate the terms of your mortgage so you can afford to live in and enjoy the home you love.
[01:02:04.694 --> 01:02:07.636]  Call for a free, no-obligation consultation.
[01:02:07.636 --> 01:02:11.599]  There's no cost to find out how this program can help you save your home.
[01:02:11.599 --> 01:02:15.441]  It doesn't matter how far behind you are on payments or what your credit score is.
[01:02:15.441 --> 01:02:18.763]  Homeowner's Legal Assistance is here to listen and help.
[01:02:18.763 --> 01:02:21.665]  For your free, no-obligation consultation, call now 800-604-8525.
[01:02:21.665 --> 01:02:21.885]  That's 800-604-8525.
[01:02:21.885 --> 01:02:22.366]  Don't wait.
[01:02:22.366 --> 01:02:22.706]  Call 800-604-8525.
[01:02:22.706 --> 01:02:23.046]  That's 800-604-8525.
[01:02:34.431 --> 01:02:41.497]  President Obama using his weekly radio address to focus on his newly proposed Consumer Financial Protection Agency.
[01:02:41.497 --> 01:02:47.282]  It's charged with just one job, looking out for the interests of ordinary Americans in the financial system.
[01:02:47.282 --> 01:02:57.351]  This is essential, for this crisis may have started on Wall Street, but its impacts have been felt by ordinary Americans who rely on credit cards, home loans, and other financial instruments.
[01:02:57.631 --> 01:02:58.791]  Republicans Saturday.
[01:02:58.791 --> 01:03:00.152]  We're talking health care.
[01:03:00.152 --> 01:03:09.875]  Republicans have put forward common sense solutions like reforming our medical liability laws to discourage junk lawsuits that make health care more expensive for everyone.
[01:03:09.875 --> 01:03:12.036]  Kentucky Senator Mitch McConnell.
[01:03:12.036 --> 01:03:18.298]  Secretary of State Hillary Clinton recovering now following surgery on a broken right elbow.
[01:03:18.298 --> 01:03:21.979]  Clinton tripped and fell Wednesday at the State Department building.
[01:03:21.979 --> 01:03:27.261]  She's slated to meet with a group of eight foreign ministers next week in Italy, also go to Afghanistan
[01:03:27.261 --> 01:03:29.566]  And no word yet if she'll be able to make that trip.
[01:03:29.566 --> 01:03:32.492]  For the latest news analysis, log on to IRNNews.com.
[01:03:34.437 --> 01:03:37.478]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[01:03:37.478 --> 01:03:40.219]  There's a healthy and faster way to lose weight than any diet pill.
[01:03:40.219 --> 01:03:49.442]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped to the colon walls like spackle or paste.
[01:03:49.442 --> 01:03:51.542]  Two weeks of EverCleanse may be equal to months of dieting.
[01:03:51.542 --> 01:03:54.723]  Visit us at evercleanse.com or call now to receive a very special offer.
[01:03:54.723 --> 01:03:55.303]  That number is 800-567-5598.
[01:03:55.303 --> 01:03:56.064]  Call for your special offer.
[01:03:56.064 --> 01:03:56.124]  800-567-5598.
[01:03:56.124 --> 01:03:56.164]  800-567-5598.
[01:04:04.850 --> 01:04:13.534]  A reputed gang member out of Compton, California, profiled on America's Most Wanted for the murder of a man in Oklahoma, has now been arrested.
[01:04:13.534 --> 01:04:19.617]  Los Angeles County Sheriff's deputies located Lisa Gonzalez at a motel under an assumed name.
[01:04:19.617 --> 01:04:21.878]  She told them she was tired of running.
[01:04:21.878 --> 01:04:31.503]  A license check on a parked vehicle led them to find the felony warrant for her arrest in connection with the killing of an alleged gang rival, Elcio Chavera.
[01:04:31.923 --> 01:04:36.625]  Javera was shot dead on his front porch in Oklahoma City six years ago.
[01:04:36.625 --> 01:04:42.727]  Air France arranging for compensation for the families of the victims of that plane crash in the Atlantic.
[01:04:42.727 --> 01:04:49.770]  More than 200 people died when the Air France flight from Rio de Janeiro to Paris crashed in the ocean after flying into bad weather.
[01:04:49.770 --> 01:04:53.311]  Airlines says the first advance will be paid and should amount to about $24,000.
[01:04:53.311 --> 01:04:54.952]  Total compensation, though, for each death could top $140,000.
[01:05:00.174 --> 01:05:01.895]  Father's Day is Sunday.
[01:05:01.895 --> 01:05:04.217]  The gift for Dad doesn't have to break the bank.
[01:05:04.217 --> 01:05:10.382]  AOL Consumer Advisor Regina Lewis says ingenuity is necessary when budgets are tight.
[01:05:10.382 --> 01:05:16.768]  This year it's expected that the average American will spend about $90 on Father's Day, down 4% from last year.
[01:05:16.768 --> 01:05:20.631]  Doesn't mean you can't hit it out of the park, though, if you've got to be a little bit creative.
[01:05:20.971 --> 01:05:25.641]  And she says it's even possible to find free gift ideas online.
[01:05:25.641 --> 01:05:26.924]  I'm Doug Wood.
[01:05:26.924 --> 01:05:28.307]  And I'm Jason Walker.
[01:05:28.307 --> 01:05:30.291]  This is IRN USA Radio News.
[01:05:40.043 --> 01:05:51.771]  Aerial spraying, chemtrails, the modified atmosphere, heavy metals and pesticides, carcinogens and chemical fibers all falling from the sky.
[01:05:51.771 --> 01:05:54.893]  You have a choice to keep your body clean.
[01:05:54.893 --> 01:06:00.317]  Detoxify with micro plant powder from hempusa.org or call 908-691-2608.
[01:06:04.560 --> 01:06:09.284]  It's odorless and tasteless and used in any liquid or food.
[01:06:09.284 --> 01:06:13.167]  Protect your family now with micro plant powder.
[01:06:13.167 --> 01:06:17.071]  Cleaning out heavy metals, parasites and toxins.
[01:06:17.071 --> 01:06:22.235]  Order it now for daily intake and stock it now for long term storage.
[01:06:22.235 --> 01:06:25.458]  Visit hempusa.org or call 908-691-2608 today.
[01:06:34.602 --> 01:06:43.646]  Prepare yourself for a talk radio experience like no other.
[01:06:43.646 --> 01:06:46.407]  He stands for truth.
[01:06:46.407 --> 01:06:49.609]  He stands for justice.
[01:06:49.609 --> 01:06:52.070]  He stands for what's right.
[01:06:52.070 --> 01:06:55.352]  This is the Alex Jones Show.
[01:06:55.352 --> 01:06:58.193]  Call Alex now, toll free at 877-590-5525.
[01:07:03.752 --> 01:07:11.396]  Now live from Austin, Texas, here's Alex Jones.
[01:07:11.396 --> 01:07:16.479]  That's right, it's syndicated across the nation from Los Angeles, California to Miami, Florida.
[01:07:16.479 --> 01:07:20.581]  From Chicago, Illinois to Austin, Texas, I am Alex Jones.
[01:07:20.581 --> 01:07:25.904]  Final hour, your calls and a lot more straight ahead as we chronicle the out-of-control tyranny
[01:07:26.858 --> 01:07:27.098]  of course.
[01:07:45.476 --> 01:07:51.738]  I interjected some of that last segment, so in this final segment, the ten minutes we have with you, can you recap all those incredible points?
[01:07:51.738 --> 01:07:57.639]  And then you were getting to the punchline with Bolton, Bush's ambassador to the UN, bragging.
[01:07:57.639 --> 01:08:03.281]  And I noticed Dr. Jerome Corsi, who I've interviewed, suddenly didn't want to attack Iran a few years ago.
[01:08:03.281 --> 01:08:07.422]  He said, oh no, we're going to overthrow it with these great young people.
[01:08:07.422 --> 01:08:09.423]  And so, yeah, they're pretty public about this.
[01:08:09.423 --> 01:08:10.403]  Yeah.
[01:08:10.403 --> 01:08:13.864]  Listen, let me just give some more information, then I'll try to...
[01:08:14.423 --> 01:08:16.744]  Sure, go ahead.
[01:08:16.744 --> 01:08:28.091]  The London Telegraph reported on May 16, 2007 that they had had an editorial meeting with John Bolton, you know, the neocon warmonger in the Bush administration.
[01:08:28.091 --> 01:08:32.694]  And the Telegraph says that Bolton told them that a U.S.
[01:08:32.694 --> 01:08:41.800]  military attack on Iran would be a last option after attempts to format a popular revolution had failed.
[01:08:42.535 --> 01:08:48.359]  So, it's quite clear that this is the American hand.
[01:08:48.359 --> 01:08:53.283]  I think it's also clear that some of these young people are very sincere.
[01:08:53.283 --> 01:09:06.293]  They're secularized, they're westernized, they're trying to free themselves from the Islamic moral codes so they can be like teenagers and young people in the United States.
[01:09:10.009 --> 01:09:13.430]  But they're being, you know, they're serving the CIA's purpose.
[01:09:13.430 --> 01:09:19.051]  They're going to end up with a puppet regime like they had before when we installed the Shah.
[01:09:19.051 --> 01:09:36.654]  Now, I also have an email from one of these, you know, hacker-spammer-knowledgeable-type people, and he said that he was struck by the sudden appearance of 30,000 Iran-related tweets, you know, in this Twitter thing they have now.
[01:09:37.854 --> 01:09:43.439]  That just suddenly jumped up and he looked into it and this is what he found.
[01:09:43.439 --> 01:09:50.386]  That each of these new sites had created their Twitter accounts on Saturday, June the 13th.
[01:09:50.386 --> 01:09:55.391]  Each had an extremely high number of tweets since creating their profiles.
[01:09:55.391 --> 01:10:00.255]  Iran election was their most popular keyword.
[01:10:00.255 --> 01:10:01.457]  They were posting in English.
[01:10:02.705 --> 01:10:13.711]  Half of them had the exact same profile photo, and they each had thousands of followers and only a few friends, and their friends were each other.
[01:10:13.711 --> 01:10:24.857]  So he looks into this, and he narrows the spammers down to three of the most persistent, and does further research.
[01:10:24.857 --> 01:10:30.400]  He finds, for example, that within hours of the three of these
[01:10:32.125 --> 01:10:40.112]  He concludes, from the way the whole thing was structured and all, that all of this Twitter is an Israeli operation designed to
[01:11:01.145 --> 01:11:08.457]  Uh, put out more disinformation and get young people all over the world behind the overthrow.
[01:11:09.284 --> 01:11:11.105]  Of the regime.
[01:11:11.105 --> 01:11:21.991]  And we know the United States did that in 1953 with the British, the exact same way, but by staging terror attacks and claiming the elected president, Mohammad Mosaddegh, had attacked the Muslim extremists.
[01:11:21.991 --> 01:11:30.316]  So last time, they manipulated the Muslim extremists into overthrowing Time Magazine poet, liberal, throwing Mosaddegh out.
[01:11:30.316 --> 01:11:34.559]  This time they're going to use the liberals to throw the Mullahs out.
[01:11:34.559 --> 01:11:35.599]  That's the plan.
[01:11:37.682 --> 01:11:40.084]  And there are splits among the Mullahs.
[01:11:40.084 --> 01:11:51.253]  For example, Ahmadinejad is reported by the lying Western media to be some kind of a right-wing guy that's in thick with the Mullahs.
[01:11:51.253 --> 01:12:01.641]  Well, the fact of the matter, he has spent most of the recent presidential campaign campaigning against the corruption of the Mullahs.
[01:12:01.641 --> 01:12:06.305]  In particular, the one he beat in the last election, Rafsanjani.
[01:12:07.105 --> 01:12:12.226]  Which, who is Mousavi's main backer.
[01:12:12.226 --> 01:12:18.667]  So, the Mullahs, most of the Mullahs are against Ahmadinejad.
[01:12:18.667 --> 01:12:21.688]  Because he has brought these corruption charges.
[01:12:21.688 --> 01:12:27.429]  You see, people in the countryside think the Mullahs have too much wealth and power, that their lifestyle reflects it.
[01:12:27.429 --> 01:12:28.809]  Well, they do, yeah.
[01:12:28.809 --> 01:12:31.690]  And he made, that's what he campaigned on.
[01:12:34.798 --> 01:12:40.962]  But we don't get that information, but this is absolutely fact.
[01:12:40.962 --> 01:12:51.609]  Well, I was going to say, the guy he's running against is back to the core of the founding and even tied into some Iran conference stuff, so he certainly has spook connections.
[01:12:51.609 --> 01:12:54.290]  Right, and he was the Prime Minister for eight years.
[01:12:54.290 --> 01:12:56.071]  Not the Prime Minister, the Foreign Minister.
[01:12:56.071 --> 01:12:57.572]  When it was the most oppressive regime.
[01:12:57.572 --> 01:12:59.133]  When it was the most oppressive.
[01:12:59.133 --> 01:13:03.516]  So, the notion that he's a reformer and
[01:13:04.520 --> 01:13:15.227]  You see, if the Mullins were afraid of him, they would have simply thrown him off the ballot, because they decide who gets to run for president.
[01:13:15.227 --> 01:13:16.467]  The Committee of Experts.
[01:13:16.467 --> 01:13:18.669]  Yeah, the Committee of Experts, whatever they're called.
[01:13:18.669 --> 01:13:21.731]  I can't remember the group's name.
[01:13:21.731 --> 01:13:28.295]  So, I think that for some reason, he was disaffected.
[01:13:28.295 --> 01:13:33.278]  They didn't know that, and he has
[01:13:34.045 --> 01:13:40.288]  He's either being manipulated by the CIA, or he's in with them.
[01:13:40.288 --> 01:13:47.431]  It's too hard to explain why a pillar of the Mullah establishment won't discredit the Iranian
[01:13:48.903 --> 01:13:51.284]  But regardless, CIA fingerprints are all over it.
[01:13:51.284 --> 01:13:53.625]  They admit they're running it, so here's the question.
[01:13:53.625 --> 01:14:06.249]  Is this, in your opinion, and I think it's an expert opinion, Dr. Roberts, is this an attempt to discredit them in the American people's eyes, in the world's eyes, so the world will accept a NATO-slash-US-Israeli strike on Iran?
[01:14:06.249 --> 01:14:07.169]  Yes, that's it.
[01:14:08.691 --> 01:14:10.733]  Or it's to overthrow them.
[01:14:10.733 --> 01:14:17.699]  So either way they win and so all these dumb kids don't know they're about to bring in shock and awe in all their cities level.
[01:14:17.699 --> 01:14:19.681]  They're not going to be idiots.
[01:14:19.681 --> 01:14:25.546]  Those young, secularized, westernized protesters are idiots.
[01:14:25.546 --> 01:14:30.611]  They're dupes of the CIA and they're either going to end up with an American puppet government
[01:14:31.047 --> 01:14:38.271]  Oh, they're going to have thousands of people killed and their beautiful country destroyed in an American military strike.
[01:14:38.271 --> 01:14:40.093]  One or the other is going to happen.
[01:14:40.093 --> 01:14:40.893]  And you just said it.
[01:14:40.893 --> 01:14:43.555]  Very modernized, very beautiful country.
[01:14:43.555 --> 01:14:45.596]  The big bankers don't like that.
[01:14:45.596 --> 01:14:46.797]  That's right.
[01:14:46.797 --> 01:14:49.258]  And not only that, you see, Iran is
[01:14:51.538 --> 01:14:55.940]  Getting connected with Russia and China and that new organization.
[01:14:55.940 --> 01:14:57.100]  Shanghai Cooperative.
[01:14:57.100 --> 01:15:04.063]  That then gives them essentially 60% of the world's oil reserves.
[01:15:04.063 --> 01:15:06.664]  And of course, we don't like that either.
[01:15:06.664 --> 01:15:08.405]  We don't want that.
[01:15:08.405 --> 01:15:09.586]  So what do we do about this?
