[00:00.000 --> 00:05.000]  You're listening to GCN, the world leader in independent talk radio.
[01:02:38.000 --> 01:02:45.000]  But I just don't agree with it. I mean, because I know what, I mean, it's a figure of speech.
[01:02:45.000 --> 01:02:55.000]  It's like Rand Paul says, Rand Paul says, hey, you can't just use drones randomly circling around where everybody's a suspect.
[01:02:56.000 --> 01:03:00.000]  Now, if somebody was a suspect and just robbed a liquor store, you know, then you could send a drone in on them.
[01:03:01.000 --> 01:03:07.000]  People are like, what, now he wants to use drones on us? No, he was trying to explain to people you just can't have drones hovering around where everybody's a suspect.
[01:03:07.000 --> 01:03:15.000]  That's a police state. He's trying to argue with them in a way to convince them, in a way to win.
[01:03:16.000 --> 01:03:23.000]  But then you notice, always at the key point, he tries to kill the NDAA. He tries to kill the Patriot Act. He tries to end the illegal wars.
[01:03:24.000 --> 01:03:31.000]  He tries to kill the foreign funding of all these nations that's bankrupting us and helping the globalist corporations use us to fund their empire.
[01:03:31.000 --> 01:03:39.000]  We don't get the spoils of this empire. He's killing the immigration bill while saying he's for it.
[01:03:40.000 --> 01:03:54.000]  And again, I'm not for using deception in politics. He said, yes, if the bill actually, you know, legally, people that are here legally and aren't on welfare and want to be contributing members of society, we need immigration.
[01:03:54.000 --> 01:04:04.000]  I'm all for that. And then the bill doesn't do that. It creates 30 million Democratic voters to take our guns. Then he's got credibility to blow the bill up.
[01:04:05.000 --> 01:04:10.000]  Same thing with Ted Cruz. And I didn't trust Ted Cruz up front. And I was even critical of him a few years ago when he started running.
[01:04:11.000 --> 01:04:18.000]  And we did an interview with him. We did a serious interview with Ted Cruz. And I got to say, I'm sold now. And that's just the way it is.
[01:04:18.000 --> 01:04:36.000]  And again, we can all sit there and nitpick all day long. If I see Rand Paul or Ted Cruz get off the libertarian constitutional reservation in their actions, then I will criticize them and say, hey, we like you better than Chuck Schumer trying to take our guns and, you know, Michael Moore.
[01:04:37.000 --> 01:04:45.000]  But hey, don't become Boehner. You know, but when Boehner comes out and says we need criminal charges, we need to have criminal investigations, we need to have a congressional investigation, we can't trust the Justice Department.
[01:04:45.000 --> 01:04:56.000]  I'm like, because Boehner is a politician. I don't like him. But if we can take him over, if we can throttle him politically and make him do the right thing, good.
[01:04:57.000 --> 01:05:05.000]  I mean, we need to politically bullwhip that little guy into doing what we want. We need to muscle for the Republic. This is a war.
[01:05:08.000 --> 01:05:11.000]  You may be arrested and or subject to other police action.
[01:05:11.000 --> 01:05:16.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[01:05:17.000 --> 01:05:19.000]  It really says that the state is God.
[01:05:20.000 --> 01:05:24.000]  The United States is now recognized globally as one of the most oppressive police states on earth.
[01:05:25.000 --> 01:05:31.000]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[01:05:32.000 --> 01:05:37.000]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:05:37.000 --> 01:05:41.000]  Police State 4 chronicles the sickening depths to which our Republic has fallen.
[01:05:42.000 --> 01:05:51.000]  Prepare to enter the secretive world of emergency dictatorship, body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[01:05:52.000 --> 01:05:55.000]  It's only the beginning of the New World Order's hellish plan.
[01:05:56.000 --> 01:05:58.000]  The police state isn't coming. It's here.
[01:05:58.000 --> 01:06:07.000]  Secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv.
[01:06:08.000 --> 01:06:13.000]  Introducing Pro One. All of your filtration in one system, portable, on the go.
[01:06:14.000 --> 01:06:17.000]  No more do you have two or three filters to just reduce sodium fluoride.
[01:06:18.000 --> 01:06:23.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosolic acid.
[01:06:23.000 --> 01:06:34.000]  Advanced manufacturing technology combines silver impregnated white ceramic with new aqua medics advanced media for removal of fluoride and other heavy metals all in one filter element.
[01:06:35.000 --> 01:06:41.000]  It is the only one that does it and out of the gates we have it discounted at 10% off with promo code water.
[01:06:42.000 --> 01:06:50.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine.
[01:06:50.000 --> 01:06:58.000]  Hydrofluorosolicic acid, the most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate.
[01:06:59.000 --> 01:07:06.000]  Get your Pro Pure with the new Pro One filters today at infowars.com or by calling 888-253-3139.
[01:07:07.000 --> 01:07:18.000]  Cal Bend Soap Company can save you thousands of dollars and give you good old fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[01:07:18.000 --> 01:07:20.000]  See them on the web.
[01:07:21.000 --> 01:07:30.000]  www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American made products.
[01:07:31.000 --> 01:07:37.000]  Order the sampler, a one to two month supply or get a one to two year supply of soaps for all your cleaning needs.
[01:07:38.000 --> 01:07:40.000]  You're getting soap products twice as good as what you're using now.
[01:07:41.000 --> 01:07:45.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[01:07:45.000 --> 01:07:52.000]  Call 1-800-340-7091 or visit www.5starsoap.com.
[01:07:53.000 --> 01:07:57.000]  Alex and his staff have used these earth friendly pure soaps for years.
[01:07:58.000 --> 01:08:07.000]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[01:08:07.000 --> 01:08:15.000]  www.5starsoap.com
[01:08:38.000 --> 01:08:48.000]  www.5starsoap.com
[01:08:49.000 --> 01:08:59.000]  www.5starsoap.com
[01:08:59.000 --> 01:09:09.000]  www.5starsoap.com
[01:09:30.000 --> 01:09:40.000]  www.5starsoap.com
[01:09:41.000 --> 01:09:51.000]  www.5starsoap.com
[01:09:51.000 --> 01:10:01.000]  www.5starsoap.com
[01:10:02.000 --> 01:10:11.000]  www.5starsoap.com
[01:10:11.000 --> 01:10:21.000]  www.5starsoap.com
[01:10:22.000 --> 01:10:32.000]  www.5starsoap.com
[01:10:32.000 --> 01:10:42.000]  www.5starsoap.com
[01:10:43.000 --> 01:10:53.000]  www.5starsoap.com
[01:10:53.000 --> 01:11:03.000]  www.5starsoap.com
[01:11:04.000 --> 01:11:14.000]  www.5starsoap.com
[01:11:14.000 --> 01:11:24.000]  www.5starsoap.com
[01:11:25.000 --> 01:11:35.000]  www.5starsoap.com
[01:11:35.000 --> 01:11:45.000]  www.5starsoap.com
[01:11:46.000 --> 01:11:56.000]  www.5starsoap.com
[01:11:56.000 --> 01:12:06.000]  www.5starsoap.com
[01:12:07.000 --> 01:12:17.000]  www.5starsoap.com
[01:12:17.000 --> 01:12:27.000]  www.5starsoap.com
[01:12:28.000 --> 01:12:38.000]  www.5starsoap.com
[01:12:38.000 --> 01:12:48.000]  www.5starsoap.com
[01:12:49.000 --> 01:12:59.000]  www.5starsoap.com
[01:12:59.000 --> 01:13:09.000]  www.5starsoap.com
[01:13:10.000 --> 01:13:20.000]  www.5starsoap.com
[01:13:20.000 --> 01:13:30.000]  www.5starsoap.com
[01:13:31.000 --> 01:13:41.000]  www.5starsoap.com
[01:13:41.000 --> 01:13:51.000]  www.5starsoap.com
[01:13:52.000 --> 01:14:02.000]  www.5starsoap.com
[01:14:02.000 --> 01:14:12.000]  www.5starsoap.com
[01:14:13.000 --> 01:14:23.000]  www.5starsoap.com
[01:14:23.000 --> 01:14:33.000]  www.5starsoap.com
[01:14:34.000 --> 01:14:44.000]  www.5starsoap.com
[01:14:44.000 --> 01:14:54.000]  www.5starsoap.com
[01:14:55.000 --> 01:15:05.000]  www.5starsoap.com
[01:15:05.000 --> 01:15:15.000]  www.5starsoap.com
[01:15:16.000 --> 01:15:26.000]  www.5starsoap.com
[01:15:26.000 --> 01:15:36.000]  www.5starsoap.com
[01:15:37.000 --> 01:15:47.000]  www.5starsoap.com
[01:15:47.000 --> 01:15:57.000]  www.5starsoap.com
[01:15:58.000 --> 01:16:08.000]  www.5starsoap.com
[01:16:08.000 --> 01:16:18.000]  www.5starsoap.com
[01:16:19.000 --> 01:16:29.000]  www.5starsoap.com
[01:16:29.000 --> 01:16:39.000]  www.5starsoap.com
[01:16:40.000 --> 01:16:50.000]  www.5starsoap.com
[01:16:50.000 --> 01:17:00.000]  www.5starsoap.com
[01:17:01.000 --> 01:17:11.000]  www.5starsoap.com
[01:17:11.000 --> 01:17:21.000]  www.5starsoap.com
[01:17:22.000 --> 01:17:32.000]  www.5starsoap.com
[01:17:32.000 --> 01:17:42.000]  www.5starsoap.com
[01:17:43.000 --> 01:17:53.000]  www.5starsoap.com
[01:17:53.000 --> 01:18:03.000]  www.5starsoap.com
[01:18:04.000 --> 01:18:14.000]  www.5starsoap.com
[01:18:14.000 --> 01:18:24.000]  www.5starsoap.com
[01:18:25.000 --> 01:18:35.000]  www.5starsoap.com
[01:18:35.000 --> 01:18:45.000]  www.5starsoap.com
[01:18:46.000 --> 01:18:56.000]  www.5starsoap.com
[01:18:56.000 --> 01:19:06.000]  www.5starsoap.com
[01:19:07.000 --> 01:19:17.000]  www.5starsoap.com
[01:19:17.000 --> 01:19:27.000]  www.5starsoap.com
[01:19:28.000 --> 01:19:38.000]  www.5starsoap.com
[01:19:38.000 --> 01:19:48.000]  www.5starsoap.com
[01:19:49.000 --> 01:19:59.000]  www.5starsoap.com
[01:19:59.000 --> 01:20:09.000]  www.5starsoap.com
[01:20:10.000 --> 01:20:20.000]  www.5starsoap.com
[01:20:20.000 --> 01:20:30.000]  www.5starsoap.com
[01:20:31.000 --> 01:20:40.000]  www.5starsoap.com
[01:20:40.000 --> 01:20:50.000]  www.5starsoap.com
[01:20:51.000 --> 01:21:00.000]  www.5starsoap.com
[01:21:00.000 --> 01:21:10.000]  www.5starsoap.com
[01:21:11.000 --> 01:21:20.000]  www.5starsoap.com
[01:21:20.000 --> 01:21:30.000]  www.5starsoap.com
[01:21:31.000 --> 01:21:40.000]  www.5starsoap.com
[01:21:40.000 --> 01:21:50.000]  www.5starsoap.com
[01:21:51.000 --> 01:22:00.000]  www.5starsoap.com
[01:22:00.000 --> 01:22:10.000]  www.5starsoap.com
[01:22:11.000 --> 01:22:20.000]  www.5starsoap.com
[01:22:20.000 --> 01:22:30.000]  www.5starsoap.com
[01:22:31.000 --> 01:22:41.000]  www.5starsoap.com
[01:22:41.000 --> 01:22:51.000]  www.5starsoap.com
[01:22:52.000 --> 01:23:02.000]  www.5starsoap.com
[01:23:02.000 --> 01:23:12.000]  www.5starsoap.com
[01:23:13.000 --> 01:23:23.000]  www.5starsoap.com
[01:23:23.000 --> 01:23:33.000]  www.5starsoap.com
[01:23:34.000 --> 01:23:44.000]  www.5starsoap.com
[01:23:44.000 --> 01:23:54.000]  www.5starsoap.com
[01:23:55.000 --> 01:24:04.000]  www.5starsoap.com
[01:24:04.000 --> 01:24:14.000]  www.5starsoap.com
[01:24:15.000 --> 01:24:24.000]  www.5starsoap.com
[01:24:24.000 --> 01:24:34.000]  www.5starsoap.com
[01:24:35.000 --> 01:24:45.000]  www.5starsoap.com
[01:24:45.000 --> 01:24:55.000]  www.5starsoap.com
[01:24:56.000 --> 01:25:06.000]  www.5starsoap.com
[01:25:06.000 --> 01:25:16.000]  www.5starsoap.com
[01:25:17.000 --> 01:25:27.000]  www.5starsoap.com
[01:25:27.000 --> 01:25:37.000]  www.5starsoap.com
[01:25:38.000 --> 01:25:48.000]  www.5starsoap.com
[01:25:48.000 --> 01:25:58.000]  www.5starsoap.com
[01:25:59.000 --> 01:26:09.000]  www.5starsoap.com
[01:26:09.000 --> 01:26:19.000]  www.5starsoap.com
[01:26:20.000 --> 01:26:30.000]  www.5starsoap.com
[01:26:30.000 --> 01:26:40.000]  www.5starsoap.com
[01:26:41.000 --> 01:26:51.000]  www.5starsoap.com
[01:26:51.000 --> 01:27:01.000]  www.5starsoap.com
[01:27:02.000 --> 01:27:12.000]  www.5starsoap.com
[01:27:12.000 --> 01:27:22.000]  www.5starsoap.com
[01:27:23.000 --> 01:27:33.000]  www.5starsoap.com
[01:27:33.000 --> 01:27:43.000]  www.5starsoap.com
[01:27:44.000 --> 01:27:54.000]  www.5starsoap.com
[01:27:54.000 --> 01:28:04.000]  www.5starsoap.com
[01:28:05.000 --> 01:28:15.000]  www.5starsoap.com
[01:28:15.000 --> 01:28:25.000]  www.5starsoap.com
[01:28:26.000 --> 01:28:36.000]  www.5starsoap.com
[01:28:36.000 --> 01:28:46.000]  www.5starsoap.com
[01:28:47.000 --> 01:28:56.000]  www.5starsoap.com
[01:28:56.000 --> 01:29:06.000]  www.5starsoap.com
[01:29:07.000 --> 01:29:17.000]  www.5starsoap.com
[01:29:17.000 --> 01:29:27.000]  www.5starsoap.com
[01:29:28.000 --> 01:29:38.000]  www.5starsoap.com
[01:29:38.000 --> 01:29:48.000]  www.5starsoap.com
[01:29:49.000 --> 01:29:59.000]  www.5starsoap.com
[01:29:59.000 --> 01:30:09.000]  www.5starsoap.com
[01:30:10.000 --> 01:30:20.000]  www.5starsoap.com
[01:30:20.000 --> 01:30:30.000]  www.5starsoap.com
[01:30:31.000 --> 01:30:40.000]  www.5starsoap.com
[01:30:40.000 --> 01:30:50.000]  www.5starsoap.com
[01:30:51.000 --> 01:31:00.000]  www.5starsoap.com
[01:31:00.000 --> 01:31:10.000]  www.5starsoap.com
[01:31:11.000 --> 01:31:20.000]  www.5starsoap.com
[01:31:20.000 --> 01:31:30.000]  www.5starsoap.com
[01:31:31.000 --> 01:31:40.000]  www.5starsoap.com
[01:31:40.000 --> 01:31:50.000]  www.5starsoap.com
[01:31:51.000 --> 01:32:01.000]  www.5starsoap.com
[01:32:01.000 --> 01:32:11.000]  www.5starsoap.com
[01:32:12.000 --> 01:32:21.000]  www.5starsoap.com
[01:32:21.000 --> 01:32:31.000]  www.5starsoap.com
[01:32:32.000 --> 01:32:42.000]  www.5starsoap.com
[01:32:42.000 --> 01:32:52.000]  www.5starsoap.com
[01:32:53.000 --> 01:33:02.000]  www.5starsoap.com
[01:33:02.000 --> 01:33:12.000]  www.5starsoap.com
[01:33:13.000 --> 01:33:22.000]  www.5starsoap.com
[01:33:22.000 --> 01:33:32.000]  www.5starsoap.com
[01:33:33.000 --> 01:33:43.000]  www.5starsoap.com
[01:33:43.000 --> 01:33:53.000]  www.5starsoap.com
[01:33:54.000 --> 01:34:04.000]  www.5starsoap.com
[01:34:04.000 --> 01:34:14.000]  www.5starsoap.com
[01:34:15.000 --> 01:34:25.000]  www.5starsoap.com
[01:34:25.000 --> 01:34:35.000]  www.5starsoap.com
[01:34:36.000 --> 01:34:46.000]  www.5starsoap.com
[01:34:46.000 --> 01:34:56.000]  www.5starsoap.com
[01:34:57.000 --> 01:35:07.000]  www.5starsoap.com
[01:35:07.000 --> 01:35:17.000]  www.5starsoap.com
[01:35:18.000 --> 01:35:28.000]  www.5starsoap.com
[01:35:28.000 --> 01:35:38.000]  www.5starsoap.com
[01:35:39.000 --> 01:35:49.000]  www.5starsoap.com
[01:35:49.000 --> 01:35:59.000]  www.5starsoap.com
[01:36:00.000 --> 01:36:10.000]  www.5starsoap.com
[01:36:10.000 --> 01:36:20.000]  www.5starsoap.com
[01:36:21.000 --> 01:36:31.000]  www.5starsoap.com
[01:36:31.000 --> 01:36:41.000]  www.5starsoap.com
[01:36:42.000 --> 01:36:52.000]  www.5starsoap.com
[01:36:52.000 --> 01:37:02.000]  www.5starsoap.com
[01:37:03.000 --> 01:37:13.000]  www.5starsoap.com
[01:37:13.000 --> 01:37:23.000]  www.5starsoap.com
[01:37:24.000 --> 01:37:34.000]  www.5starsoap.com
[01:37:34.000 --> 01:37:44.000]  www.5starsoap.com
[01:37:45.000 --> 01:37:55.000]  www.5starsoap.com
[01:37:55.000 --> 01:38:05.000]  www.5starsoap.com
[01:38:06.000 --> 01:38:16.000]  www.5starsoap.com
[01:38:16.000 --> 01:38:26.000]  www.5starsoap.com
[01:38:27.000 --> 01:38:37.000]  www.5starsoap.com
[01:38:37.000 --> 01:38:47.000]  www.5starsoap.com
[01:38:48.000 --> 01:38:58.000]  www.5starsoap.com
[01:38:58.000 --> 01:39:08.000]  www.5starsoap.com
[01:39:09.000 --> 01:39:19.000]  www.5starsoap.com
[01:39:19.000 --> 01:39:29.000]  www.5starsoap.com
[01:39:30.000 --> 01:39:40.000]  www.5starsoap.com
[01:39:40.000 --> 01:39:50.000]  www.5starsoap.com
[01:39:51.000 --> 01:40:01.000]  www.5starsoap.com
[01:40:01.000 --> 01:40:11.000]  www.5starsoap.com
[01:40:12.000 --> 01:40:22.000]  www.5starsoap.com
[01:40:22.000 --> 01:40:32.000]  www.5starsoap.com
[01:40:33.000 --> 01:40:43.000]  www.5starsoap.com
[01:40:43.000 --> 01:40:53.000]  www.5starsoap.com
[01:40:54.000 --> 01:41:04.000]  www.5starsoap.com
[01:41:04.000 --> 01:41:14.000]  www.5starsoap.com
[01:41:15.000 --> 01:41:25.000]  www.5starsoap.com
[01:41:25.000 --> 01:41:35.000]  www.5starsoap.com
[01:41:36.000 --> 01:41:46.000]  www.5starsoap.com
[01:41:46.000 --> 01:41:56.000]  www.5starsoap.com
[01:41:57.000 --> 01:42:07.000]  www.5starsoap.com
[01:42:07.000 --> 01:42:17.000]  www.5starsoap.com
[01:42:18.000 --> 01:42:28.000]  www.5starsoap.com
[01:42:28.000 --> 01:42:38.000]  www.5starsoap.com
[01:42:39.000 --> 01:42:49.000]  www.5starsoap.com
[01:42:49.000 --> 01:42:59.000]  www.5starsoap.com
[01:43:00.000 --> 01:43:10.000]  www.5starsoap.com
[01:43:10.000 --> 01:43:20.000]  www.5starsoap.com
[01:43:21.000 --> 01:43:31.000]  www.5starsoap.com
[01:43:31.000 --> 01:43:41.000]  www.5starsoap.com
[01:43:42.000 --> 01:43:51.000]  www.5starsoap.com
[01:43:51.000 --> 01:44:01.000]  www.5starsoap.com
[01:44:02.000 --> 01:44:11.000]  www.5starsoap.com
[01:44:11.000 --> 01:44:21.000]  www.5starsoap.com
[01:44:22.000 --> 01:44:32.000]  www.5starsoap.com
[01:44:32.000 --> 01:44:42.000]  www.5starsoap.com
[01:44:43.000 --> 01:44:53.000]  www.5starsoap.com
[01:44:53.000 --> 01:45:03.000]  www.5starsoap.com
[01:45:04.000 --> 01:45:14.000]  www.5starsoap.com
[01:45:14.000 --> 01:45:24.000]  www.5starsoap.com
[01:45:25.000 --> 01:45:34.000]  www.5starsoap.com
[01:45:34.000 --> 01:45:44.000]  www.5starsoap.com
[01:45:45.000 --> 01:45:55.000]  www.5starsoap.com
[01:45:55.000 --> 01:46:05.000]  www.5starsoap.com
[01:46:06.000 --> 01:46:16.000]  www.5starsoap.com
[01:46:16.000 --> 01:46:26.000]  www.5starsoap.com
[01:46:27.000 --> 01:46:37.000]  www.5starsoap.com
[01:46:37.000 --> 01:46:47.000]  www.5starsoap.com
[01:46:48.000 --> 01:46:58.000]  www.5starsoap.com
[01:46:58.000 --> 01:47:08.000]  www.5starsoap.com
[01:47:09.000 --> 01:47:19.000]  www.5starsoap.com
[01:47:19.000 --> 01:47:29.000]  www.5starsoap.com
[01:47:30.000 --> 01:47:40.000]  www.5starsoap.com
[01:47:40.000 --> 01:47:50.000]  www.5starsoap.com
[01:47:51.000 --> 01:48:01.000]  www.5starsoap.com
[01:48:01.000 --> 01:48:11.000]  www.5starsoap.com
[01:48:12.000 --> 01:48:22.000]  www.5starsoap.com
[01:48:22.000 --> 01:48:32.000]  www.5starsoap.com
[01:48:33.000 --> 01:48:43.000]  www.5starsoap.com
[01:48:43.000 --> 01:48:53.000]  www.5starsoap.com
[01:48:54.000 --> 01:49:04.000]  www.5starsoap.com
[01:49:04.000 --> 01:49:14.000]  www.5starsoap.com
[01:49:15.000 --> 01:49:25.000]  www.5starsoap.com
[01:49:25.000 --> 01:49:35.000]  www.5starsoap.com
[01:49:36.000 --> 01:49:46.000]  www.5starsoap.com
[01:49:46.000 --> 01:49:56.000]  www.5starsoap.com
[01:49:57.000 --> 01:50:07.000]  www.5starsoap.com
[01:50:07.000 --> 01:50:17.000]  www.5starsoap.com
[01:50:18.000 --> 01:50:28.000]  www.5starsoap.com
[01:50:28.000 --> 01:50:38.000]  www.5starsoap.com
[01:50:39.000 --> 01:50:49.000]  www.5starsoap.com
[01:50:49.000 --> 01:50:59.000]  www.5starsoap.com
[01:51:00.000 --> 01:51:10.000]  www.5starsoap.com
[01:51:10.000 --> 01:51:20.000]  www.5starsoap.com
[01:51:21.000 --> 01:51:31.000]  www.5starsoap.com
[01:51:31.000 --> 01:51:41.000]  www.5starsoap.com
[01:51:42.000 --> 01:51:52.000]  www.5starsoap.com
[01:51:52.000 --> 01:52:02.000]  www.5starsoap.com
[01:52:03.000 --> 01:52:13.000]  www.5starsoap.com
[01:52:13.000 --> 01:52:23.000]  www.5starsoap.com
[01:52:24.000 --> 01:52:34.000]  www.5starsoap.com
[01:52:34.000 --> 01:52:44.000]  www.5starsoap.com
[01:52:45.000 --> 01:52:55.000]  www.5starsoap.com
[01:52:55.000 --> 01:53:05.000]  www.5starsoap.com
[01:53:06.000 --> 01:53:15.000]  www.5starsoap.com
[01:53:15.000 --> 01:53:25.000]  www.5starsoap.com
[01:53:26.000 --> 01:53:36.000]  www.5starsoap.com
[01:53:36.000 --> 01:53:46.000]  www.5starsoap.com
[01:53:47.000 --> 01:53:56.000]  www.5starsoap.com
[01:53:56.000 --> 01:54:06.000]  www.5starsoap.com
[01:54:07.000 --> 01:54:16.000]  www.5starsoap.com
[01:54:16.000 --> 01:54:26.000]  www.5starsoap.com
[01:54:27.000 --> 01:54:36.000]  www.5starsoap.com
[01:54:36.000 --> 01:54:46.000]  www.5starsoap.com
[01:54:47.000 --> 01:54:56.000]  www.5starsoap.com
[01:54:56.000 --> 01:55:06.000]  www.5starsoap.com
[01:55:07.000 --> 01:55:17.000]  www.5starsoap.com
[01:55:17.000 --> 01:55:27.000]  www.5starsoap.com
[01:55:28.000 --> 01:55:38.000]  www.5starsoap.com
[01:55:38.000 --> 01:55:48.000]  www.5starsoap.com
[01:55:49.000 --> 01:55:59.000]  www.5starsoap.com
[01:55:59.000 --> 01:56:09.000]  www.5starsoap.com
[01:56:10.000 --> 01:56:20.000]  www.5starsoap.com
[01:56:20.000 --> 01:56:30.000]  www.5starsoap.com
[01:56:31.000 --> 01:56:41.000]  www.5starsoap.com
[01:56:41.000 --> 01:56:51.000]  www.5starsoap.com
[01:56:52.000 --> 01:57:02.000]  www.5starsoap.com
[01:57:02.000 --> 01:57:12.000]  www.5starsoap.com
[01:57:13.000 --> 01:57:23.000]  www.5starsoap.com
[01:57:23.000 --> 01:57:33.000]  www.5starsoap.com
[01:57:34.000 --> 01:57:44.000]  www.5starsoap.com
[01:57:44.000 --> 01:57:54.000]  www.5starsoap.com
[01:57:55.000 --> 01:58:05.000]  www.5starsoap.com
[01:58:05.000 --> 01:58:15.000]  www.5starsoap.com
[01:58:16.000 --> 01:58:26.000]  www.5starsoap.com
[01:58:26.000 --> 01:58:36.000]  www.5starsoap.com
[01:58:37.000 --> 01:58:46.000]  www.5starsoap.com
[01:58:46.000 --> 01:58:56.000]  www.5starsoap.com
[01:58:57.000 --> 01:59:07.000]  www.5starsoap.com
[01:59:07.000 --> 01:59:17.000]  www.5starsoap.com
[01:59:18.000 --> 01:59:27.000]  www.5starsoap.com
[01:59:27.000 --> 01:59:37.000]  www.5starsoap.com
[01:59:38.000 --> 01:59:47.000]  www.5starsoap.com
[01:59:47.000 --> 01:59:57.000]  www.5starsoap.com
[01:59:58.000 --> 02:00:07.000]  www.5starsoap.com
[02:00:07.000 --> 02:00:17.000]  www.5starsoap.com
[02:00:18.000 --> 02:00:28.000]  www.5starsoap.com
[02:00:28.000 --> 02:00:38.000]  www.5starsoap.com
[02:00:39.000 --> 02:00:49.000]  www.5starsoap.com
[02:00:49.000 --> 02:00:59.000]  www.5starsoap.com
[02:01:00.000 --> 02:01:09.000]  www.5starsoap.com
[02:01:09.000 --> 02:01:19.000]  www.5starsoap.com
[02:01:20.000 --> 02:01:30.000]  www.5starsoap.com
[02:01:30.000 --> 02:01:40.000]  www.5starsoap.com
[02:01:41.000 --> 02:01:51.000]  www.5starsoap.com
[02:01:51.000 --> 02:02:01.000]  www.5starsoap.com
[02:02:02.000 --> 02:02:12.000]  www.5starsoap.com
[02:02:12.000 --> 02:02:22.000]  www.5starsoap.com
[02:02:23.000 --> 02:02:33.000]  www.5starsoap.com
[02:02:33.000 --> 02:02:43.000]  www.5starsoap.com
[02:02:44.000 --> 02:02:54.000]  www.5starsoap.com
[02:02:54.000 --> 02:03:04.000]  www.5starsoap.com
[02:03:05.000 --> 02:03:15.000]  www.5starsoap.com
[02:03:15.000 --> 02:03:25.000]  www.5starsoap.com
[02:03:26.000 --> 02:03:36.000]  www.5starsoap.com
[02:03:36.000 --> 02:03:46.000]  www.5starsoap.com
[02:03:47.000 --> 02:03:57.000]  www.5starsoap.com
[02:03:57.000 --> 02:04:07.000]  www.5starsoap.com
[02:04:08.000 --> 02:04:18.000]  www.5starsoap.com
[02:04:18.000 --> 02:04:28.000]  www.5starsoap.com
[02:04:29.000 --> 02:04:39.000]  www.5starsoap.com
[02:04:39.000 --> 02:04:49.000]  www.5starsoap.com
[02:04:50.000 --> 02:05:00.000]  www.5starsoap.com
[02:05:00.000 --> 02:05:10.000]  www.5starsoap.com
[02:05:11.000 --> 02:05:21.000]  www.5starsoap.com
[02:05:21.000 --> 02:05:31.000]  www.5starsoap.com
[02:05:32.000 --> 02:05:42.000]  www.5starsoap.com
[02:05:42.000 --> 02:05:52.000]  www.5starsoap.com
[02:05:53.000 --> 02:06:02.000]  www.5starsoap.com
[02:06:02.000 --> 02:06:12.000]  www.5starsoap.com
[02:06:13.000 --> 02:06:22.000]  www.5starsoap.com
[02:06:22.000 --> 02:06:32.000]  www.5starsoap.com
[02:06:33.000 --> 02:06:43.000]  www.5starsoap.com
[02:06:43.000 --> 02:06:53.000]  www.5starsoap.com
[02:06:54.000 --> 02:07:04.000]  www.5starsoap.com
[02:07:04.000 --> 02:07:14.000]  www.5starsoap.com
[02:07:15.000 --> 02:07:25.000]  www.5starsoap.com
[02:07:25.000 --> 02:07:35.000]  www.5starsoap.com
[02:07:36.000 --> 02:07:46.000]  www.5starsoap.com
[02:07:46.000 --> 02:07:56.000]  www.5starsoap.com
[02:07:57.000 --> 02:08:07.000]  www.5starsoap.com
[02:08:07.000 --> 02:08:17.000]  www.5starsoap.com
[02:08:18.000 --> 02:08:28.000]  www.5starsoap.com
[02:08:28.000 --> 02:08:38.000]  www.5starsoap.com
[02:08:39.000 --> 02:08:49.000]  www.5starsoap.com
[02:08:49.000 --> 02:08:59.000]  www.5starsoap.com
[02:09:00.000 --> 02:09:10.000]  www.5starsoap.com
[02:09:10.000 --> 02:09:20.000]  www.5starsoap.com
[02:09:21.000 --> 02:09:31.000]  www.5starsoap.com
[02:09:31.000 --> 02:09:41.000]  www.5starsoap.com
[02:09:42.000 --> 02:09:51.000]  www.5starsoap.com
[02:09:51.000 --> 02:10:01.000]  www.5starsoap.com
[02:10:02.000 --> 02:10:12.000]  www.5starsoap.com
[02:10:12.000 --> 02:10:22.000]  www.5starsoap.com
[02:10:23.000 --> 02:10:33.000]  www.5starsoap.com
[02:10:33.000 --> 02:10:43.000]  www.5starsoap.com
[02:10:44.000 --> 02:10:54.000]  www.5starsoap.com
[02:10:54.000 --> 02:11:04.000]  www.5starsoap.com
[02:11:05.000 --> 02:11:15.000]  www.5starsoap.com
[02:11:15.000 --> 02:11:25.000]  www.5starsoap.com
[02:11:26.000 --> 02:11:35.000]  www.5starsoap.com
[02:11:35.000 --> 02:11:45.000]  www.5starsoap.com
[02:11:46.000 --> 02:11:55.000]  www.5starsoap.com
[02:11:55.000 --> 02:12:05.000]  www.5starsoap.com
[02:12:06.000 --> 02:12:16.000]  www.5starsoap.com
