[00:00:09.838 --> 00:00:12.199]  It's a frontline report.
[01:47:37.152 --> 01:47:41.334]  You know, party time, making a career, having a good time.
[01:47:41.334 --> 01:47:43.955]  I was in New York, it was fantastic.
[01:47:44.575 --> 01:47:51.343]  Uh, school board, you know, clearly some loser who couldn't get a better gig there on the school board.
[01:47:51.343 --> 01:47:54.968]  You know, local city council, yeah, whatever.
[01:47:54.968 --> 01:47:57.050]  So we weren't paying attention.
[01:47:57.050 --> 01:47:59.593]  And that's where a lot of problems crept in.
[01:47:59.593 --> 01:48:01.095]  So that has to be dealt with locally.
[01:48:01.095 --> 01:48:01.836]  But before that...
[01:48:02.556 --> 01:48:18.488]  And I know it sounds like doomsday, but it's important that you find a rancher or whether it's beef or hog or chickens and farmers, although I think you can probably get away with just animal protein if it really gets bad.
[01:48:18.488 --> 01:48:22.691]  You need to go shake their hand, go find out how they operate.
[01:48:22.691 --> 01:48:24.452]  Will they sell directly to you?
[01:48:24.452 --> 01:48:25.913]  These are things you just need
[01:48:25.913 --> 01:48:26.553]  Yeah, absolutely.
[01:48:48.946 --> 01:48:51.006]  They don't have Monsanto grass.
[01:48:51.006 --> 01:49:00.548]  And not only that, but here in Texas, they're starting to go back to their old processes that they learned from their grandparents.
[01:49:00.548 --> 01:49:15.211]  And by the way, for the folks that don't know, every ancient culture, whether it was the Hindus 3,000 plus years ago, or the Jews 3,000 plus years ago, when you read the Vedic text for the Old Testament, it's God then made the grass for the cows to eat, and that gave us the wealth.
[01:49:15.211 --> 01:49:16.031]  And then Moses says,
[01:49:16.691 --> 01:49:29.295]  You know, in Exodus, stop worshipping the golden calf because that's what they were worshipping, but people know beef and the protein in it, what it does when it's not been burned, makes us stronger, makes our hearts better, our brains better.
[01:49:29.295 --> 01:49:39.999]  Humans have basically developed into what we are with bigger heads, larger brains, healthier, longer-lived, because we went from being mainly a herbivore to a non-divore to a carnivore.
[01:49:40.219 --> 01:49:42.802]  And that's in all the real science studies, they know it.
[01:49:42.802 --> 01:49:51.513]  And you take away red meat, clean, healthy red meat from people, you literally emasculate them, you dumb them down, lower IQs in children, everything.
[01:49:51.513 --> 01:49:59.022]  We are a transitional species going carnivorous, and they're trying to take us out of that because it has immediate effects from just mainline research.
[01:49:59.022 --> 01:49:59.783]  Can you elaborate on that?
[01:50:01.155 --> 01:50:10.568]  Well, I agree with that, and I think it was Jordan Peterson who said that once we discovered fire and we were cooking our meat, our bellies shrank and our heads grew.
[01:50:10.568 --> 01:50:13.792]  And by the way, there's
[01:50:15.482 --> 01:50:18.225]  I've been looking for this study and I haven't found it.
[01:50:18.225 --> 01:50:23.149]  It seems to have disappeared, but at the time when I saw it, it looked like it was pretty legit.
[01:50:23.149 --> 01:50:26.472]  A study in Japan about something called soy rage.
[01:50:26.472 --> 01:50:34.079]  You know, if you're not feeding good healthy protein to your children's brains, you know, weird stuff can start to happen.
[01:50:34.079 --> 01:50:38.503]  And now we have to get into the medication of our children.
[01:50:39.664 --> 01:50:49.312]  It's so flabbergasting how quickly this went from some Ritalin 20 years ago to now Adderall, Vyvanse.
[01:50:49.312 --> 01:50:58.300]  These are just standard things that kids trade in the schoolyard.
[01:50:58.300 --> 01:51:03.604]  The percentage of children on anti-anxiety medication is astounding.
[01:51:06.840 --> 01:51:09.962]  I'm not quite sure what we do with the current generation.
[01:51:09.962 --> 01:51:10.263]  Absolutely.
[01:51:10.263 --> 01:51:11.443]  Let me just pause you there.
[01:51:11.443 --> 01:51:13.825]  Let me just interrupt the famous Alex Jones interruption.
[01:51:13.825 --> 01:51:15.326]  Adam Curry kicking ass here with us today.
[01:51:15.326 --> 01:51:17.627]  Really appreciate him joining us on this Saturday morning.
[01:51:17.627 --> 01:51:21.750]  We're going to air this later in the day and then later this week we're going to air it on the main show.
[01:51:21.750 --> 01:51:22.831]  Let's get into the medications.
[01:51:22.831 --> 01:51:27.374]  But when you mentioned the soy study, there's actually one out of Italy.
[01:51:27.374 --> 01:51:28.654]  There's one out of Canada.
[01:51:28.654 --> 01:51:31.576]  There's a big one out of Japan you just mentioned.
[01:51:31.576 --> 01:51:32.477]  We actually just found it.
[01:51:32.477 --> 01:51:33.157]  We'll put it on screen.
[01:51:35.070 --> 01:51:51.115]  It turned out that the burgers, the veggie burgers that Gates was putting out in stores, people were rejecting them, and also the one that Burger King was going to put out, literally had more soy in one patty than what someone gendered transitioning would take of estrogen.
[01:51:51.115 --> 01:51:52.695]  And so I saw those articles, I mean,
[01:51:53.707 --> 01:51:55.408]  I ate one of them just to see what it would do.
[01:51:55.408 --> 01:51:58.290]  I literally got sick and threw up three hours later.
[01:51:58.290 --> 01:52:06.354]  So we already know the food's weaponized, but this bombing men with soy feminizes men, the studies show, and hyperfeminizes girls.
[01:52:06.354 --> 01:52:07.955]  That's why what girls used to go into puberty at 12.
[01:52:09.139 --> 01:52:10.360]  Now the average is nine.
[01:52:10.360 --> 01:52:16.383]  They have three-year-olds going into puberty and it's directly tied to the plastics, the bisphenol A, but also the soy.
[01:52:16.383 --> 01:52:22.967]  So let's just back up what you said and put the study back on screen that you're absolutely right, Adam Curry, about soy rage.
[01:52:22.967 --> 01:52:31.732]  And you see these men that are on it and how they look crazy and just act so bizarre because literally they are mainlining estrogen, plant-based estrogen.
[01:52:31.732 --> 01:52:33.693]  There it is.
[01:52:33.693 --> 01:52:34.594]  I'm glad you found that.
[01:52:34.594 --> 01:52:36.194]  Some PubMed, I'm glad you found that.
[01:52:39.716 --> 01:52:47.925]  You know, there's a lot at play here, you know, take into account that according to the mainstream and according to
[01:52:50.192 --> 01:53:02.776]  The political left, you know, the most horrible, dangerous, hated people in the United States certainly are white cis, cis, there you go, so white straight men.
[01:53:02.776 --> 01:53:09.778]  This is, you can't just add, men are complicated and simple at the same time.
[01:53:09.778 --> 01:53:13.719]  But men have some very specific needs that are not being met.
[01:53:13.719 --> 01:53:16.600]  In fact, men are checking out, young men are checking out
[01:53:17.220 --> 01:53:21.263]  Just, in general, in amazing numbers.
[01:53:21.263 --> 01:53:35.794]  Now, with all of this, Alex, I have to say, there's so much hope and so much goodness because we don't have to fall into, we don't have to follow their systems, we don't have to use their systems, we don't have to buy their fake food.
[01:53:35.794 --> 01:53:40.017]  And we're going to talk about solutions, I totally agree, but we have to identify the problem.
[01:53:40.017 --> 01:53:42.819]  And you're a really smart guy, so we've got time here, commercial free.
[01:53:43.399 --> 01:53:43.959]  We're good to go.
[01:54:03.110 --> 01:54:04.271]  And women, you're in charge.
[01:54:04.271 --> 01:54:14.516]  But really, if you read Yuval Noah Harari and the rest of them, they say, actually, the post-human era is in 2047, and humans are obsolete, and humans are not in the future.
[01:54:14.516 --> 01:54:15.517]  The future is not human.
[01:54:15.517 --> 01:54:23.101]  And I think a lot of women, we see the numbers, are actually waking up to that now and realizing that Gloria Steinem was CIA, culture engineering.
[01:54:23.101 --> 01:54:24.662]  None of this was in power women.
[01:54:24.662 --> 01:54:26.403]  So spend some time on that.
[01:54:26.403 --> 01:54:28.804]  Talk about the problem with men and what men need.
[01:54:32.333 --> 01:54:43.439]  Well, I mean, I don't know if I'm qualified to say that, but I am qualified to see the observations.
[01:54:43.439 --> 01:54:51.224]  Let me tell you about the men that I'm working with, and the young men, I'm talking millennials, so around 30, could be a little younger, could be a little older.
[01:54:51.224 --> 01:54:55.786]  They were born around 1990, which was a very complicated time.
[01:54:57.587 --> 01:55:01.091]  Actually, it was a complicated media time because we had the first Gulf War.
[01:55:01.091 --> 01:55:11.721]  CNN was, at that point, hilarious if we go back and take a look at some of the green screen and fakery and stuff, although what was happening there was real.
[01:55:11.721 --> 01:55:17.526]  And I remember sitting with my daughter, you know, in her little rocker there, just watching this day in, day out.
[01:55:17.526 --> 01:55:20.269]  It was quite a television experience.
[01:55:21.159 --> 01:55:22.281]  So they grew up with that.
[01:55:22.281 --> 01:55:26.926]  Then around, you know, middle school, we have 9-11 now.
[01:55:26.926 --> 01:55:28.128]  That's traumatic.
[01:55:28.128 --> 01:55:29.830]  It was traumatic for the world.
[01:55:29.830 --> 01:55:36.978]  And you can only imagine how that sets certain brains into motion and how they or how they look at things.
[01:55:36.978 --> 01:55:39.061]  It's very, you know, very young, very impressionable.
[01:55:40.079 --> 01:55:59.291]  Then, you know, then we went into, we invaded the wrong country, you know, there was anthrax, yellow cake, aluminum tubes, weapons of mass destruction, lots of imagery, imagery, imagery that just was so destructive and damaging, I think, to that generation.
[01:55:59.291 --> 01:56:08.176]  But it's okay, we're gonna find him, it'll all be fine, you know, and then that moves on a little bit, and then we get to the financial crisis.
[01:56:09.008 --> 01:56:24.398]  Meanwhile, this generation is now in school, in college, many of them, and they've taken out loans to get the education they say is their guaranteed ticket, which has been another marketing exercise to say, yeah, don't, just get this degree and you'll be good to go.
[01:56:24.398 --> 01:56:25.019]  They came out.
[01:56:27.038 --> 01:56:41.845]  Just as the financial collapse, the last time we went through this, which is kind of the reason why we're here today with the financial system, and everything fell apart and they saw families having to move.
[01:56:41.845 --> 01:56:44.126]  That was quite a disastrous couple of years, 2008-2009.
[01:56:46.645 --> 01:56:52.991]  And there they were with their college degrees, and it's like, well, you know, this is what you got, $12 an hour.
[01:56:52.991 --> 01:56:54.813]  Congratulations.
[01:56:54.813 --> 01:56:58.437]  Or you can maybe drive an Uber or, you know, the gig economy.
[01:56:58.437 --> 01:57:02.721]  And then, you know, the social contract was kind of broken.
[01:57:03.830 --> 01:57:05.531]  That's not what was supposed to happen.
[01:57:05.531 --> 01:57:09.652]  Now throw some COVID and lockdown at them, and now you see the result.
[01:57:09.652 --> 01:57:13.473]  The demoralization is incredible across the board.
[01:57:13.473 --> 01:57:27.158]  We have quiet quitting, we have all these different things that people are doing, and I think in a way also positive because people are reevaluating their lives, and this is a real positive.
[01:57:27.958 --> 01:57:35.824]  Um, where if you worked at any company, any company that had slack inside its organization, you were not working 9 to 5.
[01:57:35.824 --> 01:57:48.913]  You were working 24-7 because that had become the culture of our corporate economy.
[01:57:48.913 --> 01:57:49.634]  It's our best seller.
[01:57:50.728 --> 01:57:51.148]  We're good to go.
[01:58:10.137 --> 01:58:12.818]  But it helps every cellular function of the body.
[01:58:12.818 --> 01:58:19.942]  It has all the minerals, all the key amino acids, all of the essential vitamins that you need to live and be healthy.
[01:58:19.942 --> 01:58:22.543]  Essential means without these things you die.
[01:58:22.543 --> 01:58:30.647]  And so much of the food is debased, there's so many chemicals in the environment, it is critical to bolster our body defenses with a product like this.
[01:58:30.647 --> 01:58:32.868]  Now there are other great vitamin mineral products out there.
[01:58:33.348 --> 01:58:37.552]  But this is amongst the very best, and it's a low price, and it funds the InfoWars.
[01:58:37.552 --> 01:58:44.498]  So the only way you lose is not taking action today, getting Vitamin Mineral Fusion finally back in stock at InfoWarsStore.com for 50% off.
[01:58:44.498 --> 01:58:48.742]  Vitamin Mineral Fusion, back in stock, InfoWarsStore.com.
[01:58:48.742 --> 01:58:49.703]  By the will of God!
[01:58:50.956 --> 01:59:00.408]  And by God working through you and your support, InfoWars continues to persevere against attacks never before seen in the Western world against independent media.
[01:59:00.408 --> 01:59:02.050]  Thanks for keeping me in the fight.
[01:59:02.050 --> 01:59:09.260]  And over the years, you have come to the table, you have stepped to the plate so many times and kept InfoWars and free speech on the air, and I thank you.
[01:59:09.720 --> 01:59:14.182]  But now, I have my own legal bills that have reached the point that I can't pay them.
[01:59:14.182 --> 01:59:15.443]  And I need your support.
[01:59:15.443 --> 01:59:22.846]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalists, please visit SaveInfoWars.com
[01:59:24.907 --> 01:59:31.912]  And SaveInfoWars.com takes you to a URL that gives him go for direct Alex Jones Legal Defense Fund.
[01:59:31.912 --> 01:59:36.455]  This whole phase of their attacks, four years in the making, is almost over.
[01:59:36.455 --> 01:59:40.678]  And right at the end, we're not giving up, we're not giving in, but we could give out.
[01:59:40.678 --> 01:59:48.084]  So please, if you support what we're doing and want to fight for liberty and freedom and justice in the future, go to SaveInfoWars.com today.
[01:59:50.106 --> 01:59:54.729]  Leading a frontal assault on the lies of the New World Order.
[01:59:54.729 --> 02:00:01.594]  It's Alex Jones!
[02:00:01.594 --> 02:00:06.638]  Rallying patriots worldwide in defense of human liberty.
[02:00:06.638 --> 02:00:08.099]  It's Alex Jones!
[02:00:10.020 --> 02:00:12.763]  I need to hop on a Zoom call, do anything.
[02:00:12.763 --> 02:00:19.128]  And I believe that people are re-evaluating their lives and saying, no, no, no, that's just not worth it to me.
[02:00:19.128 --> 02:00:26.235]  And seeing as they came from $12 an hour, they're probably willing to give up a little now that we're at $20 an hour.
[02:00:26.235 --> 02:00:29.378]  So this is a pullback in enthusiasm.
[02:00:29.378 --> 02:00:30.619]  Oh, yes, I'm sorry.
[02:00:30.619 --> 02:00:34.022]  And we're all going to die by 2030 thanks to climate change.
[02:00:34.022 --> 02:00:34.743]  What do you expect?
[02:00:36.485 --> 02:00:36.945]  Exactly.
[02:00:36.945 --> 02:00:48.650]  They're trying to get humanity to give up and roll over, but then BlackRock and Goldman Sachs and JPMorgan in the last year have sent threat emails out that are public to their employees saying, if you don't start working four days a week in the office, you're fired.
[02:00:48.650 --> 02:01:00.395]  So they told everybody else to quit, to get Main Street to quit, to get the small farmers to quit so they can consolidate and vertically integrate the economy, but now even their own minions are quitting, and the robot revolution hasn't shown up on time to replace us yet.
[02:01:02.758 --> 02:01:10.186]  Well, I don't know when the robot revolution will come in, but you're absolutely right.
[02:01:10.186 --> 02:01:19.837]  And there's no reporting, there's no real analysis of some of these systems that have been broken because of this and also mandatory vaccinations.
[02:01:20.497 --> 02:01:24.978]  The most important one for the United States is our aviation system.
[02:01:24.978 --> 02:01:26.339]  The system is broken.
[02:01:26.339 --> 02:01:35.501]  It is completely broken because pilots and aircrew, other aircrew and ground crew, the system, but pilots, you really need pilots to fly.
[02:01:35.501 --> 02:01:43.744]  Many of them would not accept the vaccine into their life and so they either retired early or they quit, went to do... I know pilots who are ranchers now.
[02:01:45.747 --> 02:01:53.543]  And then there was a large contingent who literally can no longer be certified to fly because they have side effects.
[02:01:54.632 --> 02:01:57.453]  Such as myocarditis and other heart issues.
[02:01:57.453 --> 02:02:09.819]  And it's not that simple to train a pilot to be a commercial airline aviator.
[02:02:09.819 --> 02:02:12.040]  And the same thing holds true there.
[02:02:12.040 --> 02:02:21.124]  If you studied and you got your pilots, I'm a pilot, I fly helicopters and fixed wing, just my own, not commercially obviously.
[02:02:21.124 --> 02:02:21.884]  If you want to
[02:02:22.907 --> 02:02:23.127]  I don't
[02:02:40.111 --> 02:02:50.340]  And now we've seen all these headlines of, we're going to fire our white pilots and hire minority pilots, when we're talking about 3, 4, 5, 10 year learning curve, just the time you invest is insane.
[02:02:50.340 --> 02:02:57.146]  I don't want to interrupt you, but I don't want to get accused of trying to cover up for Big Pharma and Prozac and the mass murder pills.
[02:02:57.146 --> 02:03:07.175]  Let's go back to that segue where I interrupted you to get back into food, and let's hit the drugs and your view on that, and then move into politics, the world, where you see this going, and solutions.
[02:03:08.693 --> 02:03:23.042]  Well, the media is our problem, which is why I so enjoy what you do, and podcasting in general, which is why we started Podcasting 2.0, to ensure that your podcast is on Podcasting 2.0.
[02:03:23.042 --> 02:03:27.284]  Any podcast can be there, unless you don't want it there, then it's taken off.
[02:03:27.284 --> 02:03:31.187]  And it's distributed, so they can try and come after
[02:03:31.827 --> 02:03:33.448]  Whatever we're doing, but it's distributed.
[02:03:33.448 --> 02:03:34.868]  There's no way to take it down.
[02:03:34.868 --> 02:03:35.188]  That's right.
[02:03:35.188 --> 02:03:36.169]  Let's just get this in there.
[02:03:36.169 --> 02:03:39.730]  You say you're not an expert, but you are really smart.
[02:03:39.730 --> 02:03:42.091]  I know you know what you're talking about, because all of it is research.
[02:03:42.091 --> 02:03:49.273]  You are an expert in old media, new media, and have been in the vanguard of media for, what is it, 40 years.
[02:03:49.273 --> 02:03:51.674]  So speak to that, Adam.
[02:03:51.674 --> 02:03:55.235]  You don't look that old, but you've been around a while.
[02:03:55.235 --> 02:03:56.795]  So you're an OG in this.
[02:03:56.795 --> 02:03:58.136]  You pioneered podcasting.
[02:03:59.063 --> 02:04:04.390]  Where do you see the censorship wars, the dying corporate media trying to use censorship to cut down their competition?
[02:04:04.390 --> 02:04:07.854]  But the more they do that, it just gives room for even more people to come forward.
[02:04:07.854 --> 02:04:17.567]  What's going to happen in this big struggle between dinosaur media allied with big tech against the public's just craving for real independent ideas?
[02:04:20.289 --> 02:04:25.391]  Well, the problem is the business model.
[02:04:25.391 --> 02:04:30.713]  If you have any corporate money involved in media, it's a problem.
[02:04:30.713 --> 02:04:37.415]  So advertising is a problem because advertising is always censorship.
[02:04:37.415 --> 02:04:44.518]  At the very minimum, you can't talk about a competing product while you have a product or service who is sponsoring your program.
[02:04:46.159 --> 02:04:52.904]  Having been in this business for a long time with commercial television and radio, the advertiser rules.
[02:04:52.904 --> 02:05:00.790]  The advertiser, if they don't want a... I don't promote things unless they really work.
[02:05:00.790 --> 02:05:07.695]  When it comes to politics or culture, economics, we are always the cutting edge, tip of the spear.
[02:05:07.695 --> 02:05:10.958]  And when we talk about the products in InfoWareStore.com, they all blow you away.
[02:05:11.894 --> 02:05:13.916]  Just take them, and you'll just try them.
[02:05:13.916 --> 02:05:16.078]  I know you'll be your big customers.
[02:05:16.078 --> 02:05:19.301]  And finally, one of our best-selling products, sold out for months, it's back in stock.
[02:05:19.301 --> 02:05:20.282]  It's X3.
[02:05:20.282 --> 02:05:30.952]  It's all three types of the very best atomic iodine out there that supercharges your energy, your stamina, your libido, and number one, your immune system.
[02:05:30.952 --> 02:05:35.536]  So X3, despite the fact it was run on iodine, is still on sale
[02:05:35.776 --> 02:05:36.096]  I think so.
[02:06:08.849 --> 02:06:14.655]  And we're already into hour number three on this Friday, October 14th worldwide transmission.
[02:06:14.655 --> 02:06:24.424]  We're going to finish up with some of the key excerpts of the Adam Curry historic interview, the full hour and a half plus interview, and will be posted later today to band.video.
[02:06:24.424 --> 02:06:31.250]  And then coming up in a little while, probably my most important interview out of more than 60 or 70 over the years,
[02:06:32.006 --> 02:06:35.207]  Coming more than that now, maybe a hundred, with the great David Icke.
[02:06:35.207 --> 02:06:37.967]  So that's coming up right into the fourth hour today.
[02:06:37.967 --> 02:06:39.688]  But here we are in the third hour.
[02:06:39.688 --> 02:06:43.529]  I want to thank all the listeners and viewers and just appreciate you for your support.
[02:06:43.529 --> 02:06:44.749]  And I want to clarify this again.
[02:06:44.749 --> 02:06:48.430]  I know most of you know this, but a lot of new listeners are tuning in and they don't know it.
[02:06:48.430 --> 02:06:49.570]  We're not going away.
[02:06:49.570 --> 02:06:51.030]  We're not being shut down.
[02:06:51.030 --> 02:06:52.510]  There's a million dollar verdicts of fraud.
[02:06:52.510 --> 02:06:54.711]  I don't have three million dollars in the company or personally.
[02:06:55.822 --> 02:06:57.283]  They're not allowed to take away our First Amendment.
[02:06:57.283 --> 02:06:58.725]  We're not going to back down.
[02:06:58.725 --> 02:07:04.650]  As long as you support the broadcast, and buy products, and spread the word, at m4tour.com, we're not going anywhere.
[02:07:04.650 --> 02:07:09.233]  We're going to appeal these fraudulent decisions, this kangaroo court, and so much more.
[02:07:09.233 --> 02:07:13.297]  If you want to really know the details of it, Steven Crowder wanted the full data dump.
[02:07:13.297 --> 02:07:15.619]  I did an hour-long interview with him yesterday.
[02:07:16.471 --> 02:07:16.631]  Let's
[02:07:33.366 --> 02:07:35.468]  Again, you can find it at Infowars.com.
[02:07:35.468 --> 02:07:41.034]  So I'm going to get back to the conclusion of the very important Adam Curry interview.
[02:07:41.034 --> 02:07:43.476]  And then, as I said, David Icke is coming up.
[02:07:43.476 --> 02:07:48.441]  I'm so honored and humbled by your support and your outpouring of love.
[02:07:48.441 --> 02:07:50.143]  Look, I knew I was in a fight with the New World Order.
[02:07:50.143 --> 02:07:52.245]  I expected these attacks and far more.
[02:07:52.245 --> 02:07:53.406]  So I'm just blessed to be here.
[02:07:54.082 --> 02:07:55.283]  We're going up against pure evil.
[02:07:55.283 --> 02:07:58.384]  The world is waking up, and it's a beautiful time to be alive.
[02:07:58.384 --> 02:08:12.171]  Just remember how incredibly powerful you are when you resist, when you speak up, when you say no, and when you share information like this broadcast with our incredible guests, callers, special reports, and my analysis, and so much more.
[02:08:12.171 --> 02:08:13.111]  So thank you for your support.
[02:08:13.111 --> 02:08:14.612]  Got a big mega sale.
[02:08:14.612 --> 02:08:16.673]  It's been extended for the weekend, and then it's got to end.
[02:08:16.673 --> 02:08:17.753]  There's a bunch of stuff selling out.
[02:08:17.753 --> 02:08:18.374]  50% off.
[02:08:20.598 --> 02:08:23.163]  10% discount with promo code 1776.
[02:08:23.163 --> 02:08:33.321]  So huge discounts already, but with 1776 at checkout, additional 10% on top of that, that's up to 60% off right now at infowarestore.com on
[02:08:34.150 --> 02:08:40.132]  DNA Force Plus on X3, the ultimate triiodine, on Vitamin Mineral Fusion.
[02:08:40.132 --> 02:08:41.432]  It's all there.
[02:08:41.432 --> 02:08:49.315]  Those are 50% off and a bunch of other stuff's discounted as well with an additional 10% off promo code 1776 and double Patriot Points.
[02:08:49.315 --> 02:08:56.757]  So now's the time to support the broadcast and get really life-empowering, amazing products at infowarestore.com.
[02:08:56.757 --> 02:08:59.598]  Back to Adam Curry, the inventor of podcasting.
[02:09:00.160 --> 02:09:00.840]  We're good to go.
[02:09:21.713 --> 02:09:31.219]  Well, you look into the numbers, the reason why is because we have an election year, so they know that a billion dollars or more is going to be spent on the midterm elections, and pharma.
[02:09:31.219 --> 02:09:43.768]  So Pfizer, we've all seen the super cuts, you know, they in essence own the media, which is why there's no real pushback against anything when it comes to pharmaceuticals.
[02:09:43.768 --> 02:09:46.610]  There you go, that's a perfect chart of how it all fits together.
[02:09:48.968 --> 02:09:57.414]  Now, what Dvorak and I discovered 15 years ago when we started the No Agenda podcast is it is very possible, and you know this too,
[02:09:58.657 --> 02:10:00.319]  To make a living.
[02:10:00.319 --> 02:10:01.940]  Now, we only do an audio podcast.
[02:10:01.940 --> 02:10:03.261]  We don't have video.
[02:10:03.261 --> 02:10:05.163]  We literally do everything ourselves.
[02:10:05.163 --> 02:10:11.308]  Our family members help out with some back office stuff, and we keep it very lean.
[02:10:11.308 --> 02:10:24.058]  I do all the audio production, and we have been able to sustain ourselves and our families with purely only support from the listeners, which we call producers because we expect them to produce with their time, their talent, or their treasure.
[02:10:24.785 --> 02:10:25.306]  Thank you.
[02:10:39.935 --> 02:10:41.417]  That's what we'll be gone after.
[02:10:55.495 --> 02:11:06.740]  Whether it's CNN or ABC News or any of these places, they're extincting themselves because they're owned and controlled by corporate interests that simply use them as a repeater system.
[02:11:06.740 --> 02:11:08.101]  And the public has figured that out.
[02:11:08.101 --> 02:11:11.802]  But they can't stop because their sponsors won't let them.
[02:11:11.802 --> 02:11:14.984]  And anybody that's had sponsors learns over time they try to take control of your life.
[02:11:14.984 --> 02:11:17.365]  That's why we moved to direct sale of products.
[02:11:18.203 --> 02:11:21.584]  At InfoWarsTore.com, our radio and TV stations still have their ads.
[02:11:21.584 --> 02:11:25.686]  That's what people hear during most of the breaks, is the affiliates break.
[02:11:25.686 --> 02:11:31.848]  But absolutely, and so as this decentralization happens, they've had this big concerted effort.
[02:11:31.848 --> 02:11:42.832]  I remember a Wall Street Journal article five years ago that was a subscriber article, but the article that linked to it, that had some excerpts, was I think Gizmodo, and it had the headline, hold on to your tinfoil hat
[02:11:43.530 --> 02:11:46.192]  Alex Jones, you're about to be taken off the air.
[02:11:46.192 --> 02:12:01.503]  And in that big 25-page article that it linked to out of the Wall Street Journal, they said, this was an article before News Corp split and sold off entertainment to Disney, and then kept its news division, the Wall Street Journal, Fox News, and the local stations they own, and systems.
[02:12:02.245 --> 02:12:18.117]  And they said in there, people gotta read this article, I read an article like 10 times back at the time, that's why I knew I was about to be deplatformed, they said, we're gonna censor Wikileaks, and when the left, when the corporate media censors it together, when the left accepts that, we'll have the left censored.
[02:12:18.117 --> 02:12:18.977]  That's how they saw it.
[02:12:18.977 --> 02:12:26.723]  And when we censor Alex Jones in the coming months, when the right wing doesn't stand up for him, we'll set the president to censor them, so it's Jack Spratt
[02:12:27.662 --> 02:12:28.022]  We're good to go.
[02:12:57.131 --> 02:13:03.614]  We're working with major governments and corporations and big tech to bring in a new dark age of censorship against everybody.
[02:13:03.614 --> 02:13:08.756]  And when they don't stand up to the first domino with Julian Assange and Alex Jones, all the dominoes will go down.
[02:13:08.756 --> 02:13:10.896]  But yes, there's been massive censorship.
[02:13:10.896 --> 02:13:12.937]  Yes, they even censor a former president.
[02:13:12.937 --> 02:13:15.778]  But it's backfiring even more now, in my view.
[02:13:15.778 --> 02:13:20.380]  Can you give us your take on my analysis, if you think it's accurate, and how you see this fight unfolding?
[02:13:21.867 --> 02:13:30.954]  It is accurate, but what's interesting is everyone, most people I think are looking at media the wrong way now.
[02:13:30.954 --> 02:13:47.647]  Once the guardrails, the gatekeepers were removed, so what I mean by that is, and this was part of, I don't want to call it a vision, but when I approached Dave Weiner to implement some technical changes in RSS for podcasting,
[02:13:48.147 --> 02:13:54.291]  You know, this was part, it was all part of solving a way to use the internet to broadcast.
[02:13:54.291 --> 02:13:57.193]  And the whole point was, you know, we don't need transmitters.
[02:13:57.193 --> 02:13:58.013]  By the way, take your time.
[02:13:58.013 --> 02:14:02.756]  Stop, stop, because you are credited as being the founder of the podcast idea.
[02:14:02.756 --> 02:14:04.737]  Not just your new show in the last 15 years.
[02:14:04.737 --> 02:14:07.119]  Yeah, new, but relatively new.
[02:14:07.119 --> 02:14:12.702]  But going back, take your time here, because you are an expert on this, explaining this
[02:14:14.643 --> 02:14:19.989]  Handing over of power or keys to the public and this giant revolution has changed the whole world.
[02:14:19.989 --> 02:14:21.891]  This is one hell of an achievement.
[02:14:21.891 --> 02:14:28.418]  I mean, this is like literally the Wright Brothers and Kitty Hawk or Henry Ford and his assembly line.
[02:14:28.418 --> 02:14:29.719]  And I'm not blowing smoke.
[02:14:29.719 --> 02:14:30.500]  This is real, Adam.
[02:14:30.500 --> 02:14:31.240]  This is a big deal.
[02:14:31.240 --> 02:14:32.522]  So take your time on this.
[02:14:34.018 --> 02:14:59.817]  It's fun to see that the core of podcasting is this one little thing called RSS, which is, you can make it in a notepad, you can write one yourself, you know, you typically have a hosting company, but it's just an XML is what it is, it's a part of, you know, it's a computer readable instruction text file, which you can, computers can read it, but as a human you can read it as well.
[02:15:00.877 --> 02:15:11.023]  And because it's exactly that simple, anybody with one of these files and an mp3 recorder and a web server can create a podcast.
[02:15:11.023 --> 02:15:16.206]  So how did you visionaries see that decentralization and then help get the code change and launch it?
[02:15:16.206 --> 02:15:17.067]  Because this is a big deal.
[02:15:18.969 --> 02:15:22.612]  Honestly, I didn't see the decentralization in that manner at the time.
[02:15:22.612 --> 02:15:25.094]  What I saw, I just wanted to do a radio show.
[02:15:25.094 --> 02:15:27.676]  I was like, you know, it's a pain.
[02:15:27.676 --> 02:15:47.112]  People have no idea what it's really like to be in mainstream because you really are very, there's line producers and people, you know, you can't say this, you can't say that, there's people in your ear talking on the radio, you know, we have this famously, oh goodness, the hotline is going, that's the PD, the program director, I screwed up, I said something wrong, you know, whatever it is.
[02:15:49.465 --> 02:15:49.905]  without InfoWars.
[02:15:49.905 --> 02:15:57.073]  Just take a moment and sit back and think about all the incredible guests and callers and stories we've broken together, this family that is InfoWars.
[02:16:11.024 --> 02:16:27.228]  Think about how InfoWars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and other foreign leaders like Nigel Farage as being the main impetus towards firing up their main base to defeat the New World Order.
[02:16:27.228 --> 02:16:36.290]  The only reason Humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[02:16:37.620 --> 02:16:39.322]  I don't take the credit.
