[00:00:00.470 --> 00:00:02.451]  We've got to stay on the street.
[00:57:14.890 --> 00:57:28.094]  And that's what you can do by continuing to support InfoWars at InfoWarsStore.com and continuing to be able to be part of the process of keeping information alive and the revolution awake.
[00:57:28.094 --> 00:57:30.955]  I use products like Winter Sun every single day.
[00:57:30.955 --> 00:57:33.816]  I use products like Ultra 12 every single day.
[00:57:33.816 --> 00:57:36.537]  I use products like the coffee every single day.
[00:57:36.537 --> 00:57:42.619]  And because they're good products, it's the one place you can get healthier, wealthier, and wiser in one clean step.
[00:57:43.163 --> 00:57:49.667]  When we come back, we'll talk about the next big issue, Sleepy Joe wants to go to war with Russia.
[00:57:49.667 --> 00:57:53.510]  Cognitive dissonance is a major issue amongst the left.
[00:57:53.510 --> 00:57:57.832]  It can be very stressful dealing with facts you refuse to accept.
[00:57:57.832 --> 00:58:05.958]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[00:58:06.678 --> 00:58:23.312]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[00:58:23.312 --> 00:58:34.342]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[00:58:34.822 --> 00:58:43.327]  It worked for my family, and now I can have a logical and calm discussion about actual facts that pertain to reality.
[00:58:43.327 --> 00:58:50.050]  Get your ultimate fish oil for a friend, family member, or yourself at InfoWarsStore.com.
[00:58:50.050 --> 00:58:58.335]  When I tell you to supplement your natural diet so you'll be healthier and fund the M4 at the same time, I'm not lecturing you.
[00:58:58.335 --> 00:59:03.338]  I eat too much red meat, I drink too much, I work too much, I have my own issues with stress.
[00:59:03.338 --> 00:59:04.078]  But I can tell you
[00:59:04.745 --> 00:59:13.308]  Without Winter Sun, without Vitamin Mineral Fusion, without Lung Cleanse, all three of which I take every day, I would not be able to continue in what I do.
[00:59:13.308 --> 00:59:19.910]  These are amazing products, and if you don't have the essential vitamins and minerals, you're not going to be able to function.
[00:59:19.910 --> 00:59:21.190]  In fact, you're going to die.
[00:59:21.190 --> 00:59:22.951]  That's why people starve for lack of food.
[00:59:24.132 --> 00:59:32.159]  These products have it all concentrated in one place for you to make sure that every essential vitamin and mineral you need, you get.
[00:59:32.159 --> 00:59:40.045]  The D3, the K, in Winter Sun, and all of them together with amino acids in Vitamin and Mineral Fusion, and then Lung Cleanse.
[00:59:40.045 --> 00:59:41.547]  Research it for yourself, it's amazing.
[00:59:41.547 --> 00:59:47.592]  They're all 50% off together, 40% off individually at InfowarStore.com.
[00:59:47.592 --> 00:59:49.894]  Back in stock for a limited time, and it funds the Infowar.
[00:59:53.283 --> 01:00:01.888]  You're listening to the Alex Jones Show.
[01:00:01.888 --> 01:00:06.911]  Rallying patriots worldwide in defense of human liberty.
[01:00:06.911 --> 01:00:10.213]  It's Alex Jones.
[01:00:10.213 --> 01:00:12.915]  Welcome back to this Sunday Alex Jones Show.
[01:00:12.915 --> 01:00:15.056]  Special guest host today, Robert Barnes.
[01:00:15.808 --> 01:00:25.373]  Well, Owen Troyer was down at the border and met some very interesting personalities and people, including someone who had a famous photogenic moment at the border some years ago.
[01:00:25.373 --> 01:00:35.039]  Let's take a look at when Owen Troyer met AOC at the border.
[01:00:35.039 --> 01:00:44.544]  Hello, I am Alexandria Owen Cortez, and I'm down here at Biden's cage facilities.
[01:00:45.336 --> 01:00:47.097]  Kids in cages.
[01:00:47.097 --> 01:00:47.697]  Look at them.
[01:00:47.697 --> 01:00:49.818]  Look at all these kids in the cages.
[01:00:49.818 --> 01:00:54.179]  Nobody else cares except Alexandria Owen Cortez.
[01:00:54.179 --> 01:00:55.500]  Why?
[01:00:55.500 --> 01:00:57.360]  Why, Joe Biden?
[01:00:57.360 --> 01:00:59.281]  Why, Kamala Harris?
[01:00:59.281 --> 01:01:01.822]  Why do you do this to the kids?
[01:01:01.822 --> 01:01:03.862]  The poor kids!
[01:01:03.862 --> 01:01:04.843]  Why?
[01:01:04.843 --> 01:01:07.264]  The kids are being raped!
[01:01:07.264 --> 01:01:11.205]  You saw the girls, 12 years old, they're coming in, they're pregnant, Joe!
[01:01:12.091 --> 01:01:13.432]  They're pregnant, Kabbalah!
[01:01:13.432 --> 01:01:14.473]  What do you think happened to them?
[01:01:14.473 --> 01:01:17.334]  They got raped by your illegal immigrants!
[01:01:17.334 --> 01:01:21.117]  They got raped by the people you told to surge the border!
[01:01:21.117 --> 01:01:21.437]  Raped!
[01:01:21.437 --> 01:01:26.180]  Twelve-year-old girls, dozens of them, raped on the journey that you told them to go on, Joe!
[01:01:26.180 --> 01:01:27.140]  You did!
[01:01:27.140 --> 01:01:29.042]  Why do you do this, Joe?
[01:01:29.042 --> 01:01:30.322]  Why do you do this, Kabbalah?
[01:01:30.322 --> 01:01:32.204]  Why do you hate kids?
[01:01:32.204 --> 01:01:34.185]  Why do you hate the youth and the innocent, Joe?
[01:01:35.490 --> 01:01:36.891]  Where do they go, Joe?
[01:01:36.891 --> 01:01:38.671]  Why are you doing this, Joe?
[01:01:38.671 --> 01:01:41.232]  Americans are suffering, Joe.
[01:01:41.232 --> 01:01:42.433]  And you just don't even care.
[01:01:42.433 --> 01:01:45.754]  You're stacking the kids in cages like sardines.
[01:01:45.754 --> 01:01:48.495]  Like sardines, they're sleeping on top of one another.
[01:01:48.495 --> 01:01:53.017]  They're being put in hotels with strange men and you don't even do DNA testing.
[01:01:53.017 --> 01:01:54.477]  Why, Joe?
[01:01:54.477 --> 01:01:55.197]  Why, Joe?
[01:01:55.197 --> 01:01:57.318]  I've seen your cages, Joe.
[01:01:57.318 --> 01:02:01.700]  I've seen the cages that you put the kids in, Joe, while you're child trafficking, Joe.
[01:02:01.700 --> 01:02:02.620]  I saw it all.
[01:02:02.620 --> 01:02:04.501]  I'm all in covering it up, Joe.
[01:02:05.101 --> 01:02:05.601]  Why?
[01:02:05.601 --> 01:02:07.102]  I've seen your cages, Joe!
[01:02:07.102 --> 01:02:09.323]  There's dozens of your cages, Joe!
[01:02:09.323 --> 01:02:11.064]  It's the kids, Joe!
[01:02:11.064 --> 01:02:17.726]  And they're all being raped and molested, and then they're reenacting the rape and molest in the cages that you put them in, Joe!
[01:02:17.726 --> 01:02:19.227]  You put them in, Kamala!
[01:02:19.227 --> 01:02:20.107]  Why?
[01:02:20.107 --> 01:02:20.928]  Why?
[01:02:20.928 --> 01:02:21.088]  Why?
[01:02:21.784 --> 01:02:22.584]  No, I'm just shooting a video.
[01:02:22.584 --> 01:02:23.524]  Don't worry about it, man.
[01:02:23.524 --> 01:02:24.485]  No, we're all good.
[01:02:24.485 --> 01:02:25.585]  Why, Joe?
[01:02:25.585 --> 01:02:27.125]  Why?
[01:02:27.125 --> 01:02:33.466]  Nobody cares about the kids except me, Alexandria Owen Cortez.
[01:02:33.466 --> 01:02:36.347]  Nobody is down here wailing against the system.
[01:02:36.347 --> 01:02:38.347]  I'm wailing against the system.
[01:02:38.347 --> 01:02:39.447]  Only me.
[01:02:39.447 --> 01:02:41.648]  Nobody else cares about the kids.
[01:02:41.648 --> 01:02:46.249]  How many kids will be sex trafficked by Joe Biden's pedophile agenda?
[01:02:47.944 --> 01:02:52.608]  Why is it only me, Alexandria Ocasio-Cortez?
[01:02:52.608 --> 01:02:55.130]  The kids!
[01:02:55.130 --> 01:03:01.435]  The kids!
[01:03:01.435 --> 01:03:10.862]  The media gaslighting that is occurring in the Chauvin trial is not limited or constricted to it, nor is it limited or constricted to the issues surrounding immigration either.
[01:03:10.862 --> 01:03:16.527]  The other aspect in which it is occurring on a major scale, which we'll get into after we come back from the break,
[01:03:17.316 --> 01:03:20.299]  Is potentially World War III.
[01:03:20.299 --> 01:03:36.752]  There has been a wild contradictory set of messages sent because of an internal battle within the Deep State due to Sleepy Joe not being any kind of governing president at all with any kind of clear directive set of policies beyond ones of triggering war.
[01:03:36.752 --> 01:03:39.314]  In this particular context, it is in Russia.
[01:03:39.734 --> 01:03:44.837]  Though it is only the latest hotspot to be a potential place to trigger war.
[01:03:44.837 --> 01:03:56.904]  There have been controversial positions taken by the Biden administration in Venezuela, in Bolivia, in Ethiopia, in Iran, throughout the Middle East, and in China and Taiwan.
[01:03:56.904 --> 01:04:03.808]  But the one that has been drawn the most attention, justifiably so, is the effort to escalate the conflict in Ukraine.
[01:04:05.129 --> 01:04:14.751]  One day, the Biden administration wants Putin and Russia to bail them out of the concerns involving Iran or China or North Korea.
[01:04:14.751 --> 01:04:17.931]  And in the next minute, they want to escalate conflict.
[01:04:17.931 --> 01:04:18.992]  Why is that?
[01:04:18.992 --> 01:04:23.512]  Well, it might be because of the people who are behind the Biden administration.
[01:04:23.512 --> 01:04:32.734]  The internal deep state fight that is occurring that can only occur because Sleepy Joe usually has to wait for nap time before he can come out to play.
[01:04:33.354 --> 01:04:40.238]  Indeed, it was so bad this past week, he wasn't even there for the Japanese Prime Minister when he arrived at the White House.
[01:04:40.238 --> 01:04:42.519]  He was apparently asleep again.
[01:04:42.519 --> 01:04:52.825]  So, he is constantly asleep in such a way that may endanger not only our future freedom, but that might bring us closer to the doomsday clock than we've been since 1961.
[01:04:52.825 --> 01:04:59.208]  When we come back, more on war with Russia.
[01:04:59.208 --> 01:05:00.909]  The equation is very simple.
[01:05:02.006 --> 01:05:11.586]  The mega banks control the media, they control big pharma, they control academia, they control the military, industrial complex, they control big tech.
[01:05:12.745 --> 01:05:21.852]  And everywhere that they have been in control in the third world, they have established absolute total despotism and dehumanization.
[01:05:21.852 --> 01:05:30.318]  It is the Western Christian idea of human freedom that ended slavery and that promoted women's rights and so much more that actually threatens them.
[01:05:30.318 --> 01:05:37.083]  So because they can't defeat that empowering ethic, they instead co-opt it, turn it upside down and use
[01:05:37.923 --> 01:05:46.026]  The idea of equality to actually destroy human freedom and the free market that threatens their monopolies of control.
[01:05:46.026 --> 01:05:50.528]  That's why they target InfoWars, because we understand the key to defeating them.
[01:05:50.528 --> 01:05:55.890]  But the only way our transmission gets out is if you promote InfoWars and ban that video.
[01:05:55.890 --> 01:05:56.991]  So redouble your efforts.
[01:05:56.991 --> 01:05:57.911]  We're all in this together.
[01:06:09.401 --> 01:06:12.065]  Waging war on corruption.
[01:06:12.065 --> 01:06:21.537]  It's Alex Jones, coming to you live from the front lines of the InfoWars.
[01:06:21.537 --> 01:06:27.445]  Welcome back to Sunday's Alex Jones Show, with special guest host today, myself, Robert Barnes.
[01:06:28.044 --> 01:06:39.049]  The next aspect we're going to get into is while they're doing deep damage to our criminal justice system, not only what's happening in the Chauvin trial, but also what's happening in Capitol Hill cases.
[01:06:39.049 --> 01:06:43.111]  We had Ashley Babbitt, who was killed right on the spot.
[01:06:43.111 --> 01:06:51.395]  Someone who was killed without warning, killed without notice, summary execution style, for what appeared to be mere trespass and damage to state property.
[01:06:51.880 --> 01:06:55.142]  There was no evidence she was threatening anyone's life at the time.
[01:06:55.142 --> 01:06:56.983]  She was trying to go through a door.
[01:06:56.983 --> 01:07:03.527]  And while that was wrongful conduct, criminal conduct, it was nowhere near as dangerous as what Dwayne White had done.
[01:07:03.527 --> 01:07:07.710]  It was not as felonious as what George Floyd was in the process of doing.
[01:07:07.710 --> 01:07:12.053]  It was not the pattern of criminal behavior that Ahmaud Arbery was involved in.
[01:07:12.053 --> 01:07:15.455]  And yet in each of those cases, there was a media outrage demanding
[01:07:16.856 --> 01:07:19.360]  The maximum criminal prosecution.
[01:07:19.360 --> 01:07:23.227]  Here we have an officer, still whose identity has been hidden from the public.
[01:07:23.949 --> 01:07:32.375]  Summarily executing a person for a very minor offense without notice or warning and with now without consequence.
[01:07:32.375 --> 01:07:38.139]  Because that's the nature of our criminal justice process under this president and Joe Biden.
[01:07:38.139 --> 01:07:53.489]  And it is a problem that has been gurgling up and burgeoning for some time, but it is reaching new and perilous heights as we are witnessing in both the Ashley Babbitt case as contrasted to the Duane Wright, the Ahmaud Arbery and George Floyd cases.
[01:07:54.207 --> 01:08:08.474]  In the same context, we're having the drumbeats of war from the deep state start to come back and continue to get louder and louder after President Trump has exited from office and been replaced by Sleepy Joe.
[01:08:08.474 --> 01:08:14.357]  In this context, there are a couple of people who have done some really good analysis on what the backstory and what the background is.
[01:08:15.009 --> 01:08:27.804]  Why do the neoliberal deep state elites hate Russia so much, so irrationally, so unjustifiably, so without sound foreign policy reasoning, no matter your perspective on Russia in general?
[01:08:28.487 --> 01:08:49.666]  Well, here's a good episode, or a good part of an episode, from a show that you can find on YouTube and Rumble and other places called The Gaggle, hosted by Peter Lavelle and George Samueli, two long-standing international foreign policy observers who have a deeper and broader understanding than the institutional media does, particularly when it relates to matters of Central and Eastern Europe.
[01:08:50.086 --> 01:09:08.264]  Let's take a look at video clip number one about how Russia's conservative moral and social values and opposition to wokeism is a key reason why Biden administration hacks want to undermine it and sabotage it even if it has the risk of causing and triggering World War III.
[01:09:09.170 --> 01:09:14.474]  They abhor Russia because people here are nominally religious.
[01:09:14.474 --> 01:09:18.157]  The family is the center of all social interaction.
[01:09:18.157 --> 01:09:20.759]  Russians are fervently patriotic.
[01:09:22.253 --> 01:09:37.640]  And because of the last 30 years, they've traveled the world, they've seen what the world can offer, the good and the bad, and I'm very happy about that, because then they come back and say, well, why can't we have good service in restaurants?
[01:09:37.640 --> 01:09:38.720]  Now they do!
[01:09:38.720 --> 01:09:40.921]  Why can't we have quality beef?
[01:09:40.921 --> 01:09:44.323]  Because when I first moved here, it was like leather shoes, okay?
[01:09:44.323 --> 01:09:47.924]  And now they have steakhouses all over the place!
[01:09:47.924 --> 01:09:49.385]  The world's taught them that!
[01:09:50.154 --> 01:09:52.796]  Take the best practices.
[01:09:52.796 --> 01:09:55.398]  But your post-modernist ideology?
[01:09:55.398 --> 01:09:56.759]  No thanks.
[01:09:56.759 --> 01:09:57.680]  No thanks.
[01:09:57.680 --> 01:10:02.203]  We see enough of it on your Netflix, which is translated into the Russian language.
[01:10:02.203 --> 01:10:02.643]  Nope.
[01:10:02.643 --> 01:10:04.465]  It's fun to watch from a bar.
[01:10:04.465 --> 01:10:05.225]  We don't want that.
[01:10:05.225 --> 01:10:06.927]  We don't want your ideology.
[01:10:06.927 --> 01:10:12.030]  And that's why when they talk about Russia's malign influence and Russia's malevolent influence,
[01:10:14.552 --> 01:10:21.755]  Yeah, because there are other countries that, you know, they may not like Russia's geopolitics, but they kind of like its cultural outlook.
[01:10:21.755 --> 01:10:26.657]  I mean, the most explicit practitioner of that is obviously Viktor Orban of Hungary.
[01:10:26.657 --> 01:10:27.617]  But there are other countries.
[01:10:27.617 --> 01:10:36.520]  I mean, Poland kind of goes along with the social and cultural moral values of Russia, even though they have this obsession about geopolitics.
[01:10:36.520 --> 01:10:43.183]  But the same goes for, you know, the Czechs, the Slovaks, you know, basically they kind of like those conservative values.
[01:10:43.343 --> 01:10:47.911]  It's like up to 30-35% of French people feel that way.
[01:10:47.911 --> 01:10:48.592]  Exactly.
[01:10:48.592 --> 01:10:49.133]  That's right.
[01:10:49.133 --> 01:10:49.514]  That's right.
[01:10:49.514 --> 01:10:51.758]  And it is one of the interesting things is that
[01:10:56.625 --> 01:11:00.547]  During the FIFA World Cup, the U.S.
[01:11:00.547 --> 01:11:03.809]  team didn't do well enough to qualify to come to Moscow.
[01:11:03.809 --> 01:11:08.291]  And I truly regret that, because I don't know anything about football-slash-soccer.
[01:11:08.291 --> 01:11:09.512]  I'm not interested in it.
[01:11:09.512 --> 01:11:14.114]  But I really wish thousands of Americans could have come to Moscow, because
[01:11:15.334 --> 01:11:39.443]  I would go to the main streets during the weeks of the matches, and I would ask people, and particularly Brits and Germans, you know, and I'll tell you, George, almost without exception, I'd say, well, what do you think, as opposed to what your expectations were, and almost to the person, they lied to us, it's kind of nice here, people are nice, all the menus are in English, all the signs are in English, and the girls are really pretty!
[01:11:42.284 --> 01:11:56.190]  I think it's very interesting as to what will happen if, I mean there's a chance of this, I'm not saying it's a good chance, but there's a chance that Macron is replaced by Marine Le Pen.
[01:11:57.360 --> 01:12:04.928]  And Merkel, who's definitely going to be replaced by a German leader who is not at all hostile to Russia.
[01:12:04.928 --> 01:12:12.095]  We kind of wonder what kind of a cultural influence then Russia made over Europe.
[01:12:12.095 --> 01:12:12.576]  We don't know.
[01:12:12.576 --> 01:12:18.822]  I mean, there's a long time to go before then, but you can see why people just think Russia's malign influence.
[01:12:19.242 --> 01:12:29.668]  No, but see, there's something that is never said, and you won't be allowed to say it, is that Russia has a cultural attraction, and they fear it.
[01:12:29.668 --> 01:12:31.750]  They fear it.
[01:12:31.750 --> 01:12:32.130]  Okay?
[01:12:32.130 --> 01:12:34.071]  Because you can live a different way.
[01:12:34.071 --> 01:12:38.854]  I mean, there is no political correctness here at all, okay?
[01:12:38.854 --> 01:12:40.755]  And the society isn't falling apart.
[01:12:42.859 --> 01:12:43.540]  Precisely.
[01:12:43.540 --> 01:12:53.447]  Russia provides a counterexample to what the neoliberal, George Soros-inspired West of intellectual left would like the world to be.
[01:12:53.447 --> 01:13:00.252]  As Ann Coulter used to joke, one of the reasons why they hate Russia so much is they're still mad that Russia rejected communism and statism.
[01:13:00.252 --> 01:13:01.753]  But it goes beyond that.
[01:13:01.753 --> 01:13:04.595]  Basically, Putin is Russia's version of Trump.
[01:13:05.163 --> 01:13:07.584]  Someone who believes in national boundaries.
[01:13:07.584 --> 01:13:09.766]  Someone who believes in national sovereignty.
[01:13:09.766 --> 01:13:13.207]  Someone who tries to avoid war and conflict where possible.
[01:13:13.207 --> 01:13:17.910]  Someone who doesn't see the entire world as an empire to play games with.
[01:13:17.910 --> 01:13:22.252]  Someone who values who is one of the great defenders of the Christian faith in the modern world.
[01:13:22.252 --> 01:13:25.734]  Someone who's not going to be having men play in women's sports.
[01:13:25.734 --> 01:13:31.217]  Someone who's not going to engage in racialized politics for its own sake and its own purpose to divide his own country.
[01:13:31.781 --> 01:13:36.065]  Someone who has gone to great lengths to avoid that by relying upon national identity.
[01:13:36.065 --> 01:13:41.509]  It's someone who pushes back on the neoliberal order and provides a critical example to it.
[01:13:41.509 --> 01:13:45.533]  Someone who's pushed back against the state centralized bankers as well.
[01:13:45.533 --> 01:13:58.104]  And it is that combination of activities that makes him such a threat to the George Soros vision of the world, which so many of the administrative apparatchiks of the Biden administration are so eager to enforce on the world.
[01:13:58.624 --> 01:14:12.970]  And that is why they want to undermine Russia, sabotage Russia, cause unnecessary conflict with Russia, even if it entails a potential war throughout Europe, even if it entails a potential triggers a world war.
[01:14:12.970 --> 01:14:17.412]  I mean, just weeks ago, Joe Biden was going to send U.S.
[01:14:17.412 --> 01:14:24.635]  ships into the Black Sea to be right next to Russian ships in the middle of a conflict zone with Ukraine.
[01:14:25.196 --> 01:14:27.380]  Imagine how that could go wrong.
[01:14:27.380 --> 01:14:32.630]  Just go back and study your history of World War I, and you can know how easily that could get out of hand.
[01:14:33.317 --> 01:14:39.759]  And this perspective is coming from both the left and the right, from those people who oppose unnecessary wars.
[01:14:39.759 --> 01:14:42.380]  It was the whole real reason for Russiagate.
[01:14:42.380 --> 01:14:57.926]  Half of it was to discredit Trump and Trumpism, drag his entire administration and his key allies and aides into unjustifiable criminal investigations while covering up the illicit and illegal spying that took place against President Trump, both during the campaign and while he was president.
[01:14:58.386 --> 01:15:18.196]  But it was also to prevent Trump from aligning with Russia to create a cultural detente, political detente, that could re-recommend conservative moral values, theories of nationalism, sovereignty, Christianity, core good ideals against the George Soros neoliberal order.
[01:15:18.196 --> 01:15:19.797]  And that is why they are so eager
[01:15:20.597 --> 01:15:26.963]  To be able to try to instigate another color revolution in Russia, which is what the Navalny matter is really about.
[01:15:26.963 --> 01:15:30.406]  He is not who the media would have you believe him to be.
[01:15:30.406 --> 01:15:46.381]  But it's also becoming incredibly precarious, because as we get closer and closer to a potential armed conflict, when this goes from just another Cold War into a potential hot war, then the safety and security of everybody around the world is at risk.
[01:15:46.883 --> 01:15:57.452]  When we come back, we'll take a look at some other clips from other experts as the world increasingly concludes that Sleepy Joe is asleep at the switch and someone else might push it.
[01:15:57.452 --> 01:15:58.633]  It's very simple.
[01:15:58.633 --> 01:16:05.559]  Every household, not just in America, but worldwide, should be taking a high-quality multivitamin mineral every single day.
[01:16:06.314 --> 01:16:12.157]  But so many of the big brands are synthetics that are not even absorbed, in fact, in many cases are toxic.
[01:16:12.157 --> 01:16:21.741]  But Vitamin Mineral Fusion, in stock right now, 40% off at m4wrestore.com, has high-grade vitamins and minerals that are all essential with key amino acids to your body.
[01:16:21.741 --> 01:16:22.761]  You can upload it.
[01:16:22.761 --> 01:16:27.544]  And it's all at m4wrestore.com, ready to ship to you right now.
[01:16:28.404 --> 01:16:30.965]  Go there and order today at 40% off.
[01:16:30.965 --> 01:16:33.707]  Sign up for auto shipping your next order at an additional 10% off.
[01:16:33.707 --> 01:16:38.009]  Cancel any time for free, but that way you don't forget to get your next order.
[01:16:38.009 --> 01:16:49.234]  Mix it up in a big pitcher, put it in your refrigerator for your wife, your husband, your children, your neighbors, and just know that while you're helping yourself and your own body's natural defenses and immune system, you're funding the info war.
[01:16:49.234 --> 01:16:50.335]  Vitamin Mineral Fusion.
[01:16:50.715 --> 01:16:58.964]  Again, I don't like to lecture people.
[01:16:58.964 --> 01:17:09.276]  I'm a very private person, but because of the globalists and their attack on humanity, I've been forced the last 27 years to be a public figure, and we've given the globalists one hell of a run for their money because of God.
[01:17:09.997 --> 01:17:13.963]  And I know some of our listeners get mad when I talk about God all day, but just give me a break.
[01:17:13.963 --> 01:17:15.345]  The Satanism's out in the open.
[01:17:15.345 --> 01:17:20.473]  I've always been a Christian, but now the fact that it's a fight between good and evil is so clear.
[01:17:20.473 --> 01:17:20.954]  And I get it.
[01:17:20.954 --> 01:17:22.656]  A lot of you have been turned off by big churches.
[01:17:22.656 --> 01:17:24.800]  A lot of you have been turned off by the corrupt.
[01:17:25.715 --> 01:17:26.015]  We're good.
[01:17:41.128 --> 01:17:43.009]  And so that's what InfoWars is really all about.
[01:17:43.009 --> 01:17:44.650]  So thank you all for your word of mouth.
[01:17:44.650 --> 01:17:46.610]  Thank you for spreading the word about InfoWars.
[01:17:46.610 --> 01:17:50.492]  And thank you for supporting us to keep us on air by visiting InfoWarsStore.com.
[01:17:50.492 --> 01:17:54.494]  Because without your daily and weekly and monthly purchases, we'll be taking off the air.
[01:17:54.494 --> 01:17:55.454]  So thank you for the support.
[01:17:55.454 --> 01:17:58.635]  InfoWarsStore.com.
[01:17:58.635 --> 01:18:06.779]  As men age, they often experience a slowdown in vitality, energy, and overall wellness.
[01:18:08.112 --> 01:18:12.877]  And that's why we made one of our most popular formulas to date.
[01:18:12.877 --> 01:18:15.199]  Super Male Vitality!
[01:18:15.199 --> 01:18:24.048]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[01:18:24.048 --> 01:18:32.036]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals.
[01:18:32.316 --> 01:18:32.456]  Yes.
[01:18:32.456 --> 01:18:35.197]  And no unwanted additives.
[01:18:35.197 --> 01:18:35.877]  Yes.
[01:18:35.877 --> 01:18:40.798]  We're talking about ancient wisdom combined with modern technology.
[01:18:40.798 --> 01:18:47.440]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[01:18:47.440 --> 01:18:48.760]  So what are you waiting for?
[01:18:48.760 --> 01:18:50.640]  Go to the InfoWars store.
[01:18:50.640 --> 01:18:53.441]  Never been a better time than right now.
[01:18:53.441 --> 01:18:56.942]  Super Male Vitality at InfoWarsStore.com.
[01:18:58.063 --> 01:19:01.829]  I don't like coming to you and saying this could be our last broadcast.
[01:19:01.829 --> 01:19:05.535]  Hell, I've been on there 27 years, and only the last year or so have I said that.
[01:19:05.535 --> 01:19:08.119]  But let me tell you, the New World Order's breathing down our neck.
[01:19:08.800 --> 01:19:13.161]  The big globalist publications are coming after us, and they're doing everything they can to shut us down.
[01:19:13.161 --> 01:19:18.922]  So please pray to keep InfoWars on the air, and please support the local station you're listening to as well.
[01:19:18.922 --> 01:19:30.525]  At the same time, go to InfoWarsStore.com while you still can, and get a book, get a film, get a t-shirt, get some supplements, because it's that money that helps us stay on air in the face of this thing.
[01:19:31.145 --> 01:19:33.286]  I need your help more than ever now.
[01:19:33.286 --> 01:19:37.387]  I want to keep fighting the globalists, but I can't do it if you don't support us.
[01:19:37.387 --> 01:19:47.990]  So, pray for us, word of mouth, tell folks about the broadcast however you can, and buy great products that will enrich you and your family's lives every day at InfoWareStore.com.
[01:19:47.990 --> 01:19:57.533]  Whether it's high quality coffee, or supplements, or books or films, all of it nurtures the soul, all of it empowers humanity, all of it is pro-human and pro-God.
[01:19:57.533 --> 01:19:58.193]  Thank you so much.
[01:20:00.632 --> 01:20:09.942]  You're listening to The Alex Jones Show.
[01:20:09.942 --> 01:20:19.752]  Ladies and gentlemen, we're back here on The Alex Jones Show on this Sunday.
[01:20:19.752 --> 01:20:22.274]  Owen Troyer sitting in studio.
[01:20:22.274 --> 01:20:23.776]  Bob Barnes about to take back over.
[01:20:24.497 --> 01:20:27.220]  Really excited to host Sunday Night Live tonight.
[01:20:27.220 --> 01:20:29.222]  We're going to be taking your phone calls.
[01:20:29.222 --> 01:20:35.869]  I'm going to be answering your questions, any observations you've had at the crisis at the southern border.
[01:20:35.869 --> 01:20:39.733]  There's a couple new updates that I'll be breaking there as well, talking about everything I experienced.
[01:20:39.733 --> 01:20:45.139]  And again, phone lines will be open with any questions or concerns or observations that you've made.
[01:20:45.139 --> 01:20:46.620]  What an incredible journey it was and
[01:20:48.812 --> 01:20:52.822]  I came in today after getting in, I guess, early this morning.
[01:20:52.822 --> 01:20:55.569]  Some of the rest of the crew arrived, just a few.
[01:20:56.374 --> 01:20:58.036]  Hours ago, and guess what?
[01:20:58.036 --> 01:20:59.837]  We're all here working again.
[01:20:59.837 --> 01:21:01.879]  Some of the crew that was on the trip is in there working.
[01:21:01.879 --> 01:21:07.304]  I'm up here working, and the crew never gets a day off, but that's our commitment.
[01:21:07.304 --> 01:21:08.965]  So we just ask that you help support us.
[01:21:08.965 --> 01:21:10.647]  Go to InfoWarsStore.com.
[01:21:10.647 --> 01:21:11.748]  Do your shopping with us.
[01:21:11.748 --> 01:21:13.449]  Get all the great supplements there.
[01:21:13.449 --> 01:21:15.031]  You're already probably taking supplements.
[01:21:15.031 --> 01:21:17.413]  You probably already got a bunch of supplements in your pantry.
[01:21:17.413 --> 01:21:21.216]  Why not shop with the good guys by getting your supplements at InfoWarsStore.com?
[01:21:22.446 --> 01:21:25.849]  Vitamin Mineral Fusion is one of my favorites.
[01:21:25.849 --> 01:21:27.670]  It's one of the crowd's favorites as well.
[01:21:27.670 --> 01:21:29.031]  Give it a try.
[01:21:29.031 --> 01:21:33.815]  Most people that try Vitamin Mineral Fusion never look back.
[01:21:33.815 --> 01:21:38.119]  Rocket Rest back in stock and 40% off and we still have the t-shirt deal.
[01:21:39.116 --> 01:21:49.583]  We're all InfoWars apparel and t-shirts are $17.76 on all t-shirts, including there's some new ones up there that we don't even really promote much.
[01:21:49.583 --> 01:21:53.026]  We just make them, put them up on the website, and hope you enjoy them.
[01:21:53.026 --> 01:21:53.046]  $17.76.
[01:21:53.046 --> 01:22:03.012]  Again, everything we do here at InfoWars is only possible with your support at InfoWarsStore.com and, of course, your word of mouth, telling your friends and family about the transmissions.
[01:22:03.012 --> 01:22:03.713]  Now's the time
[01:22:05.040 --> 01:22:06.922]  Populism is in.
[01:22:06.922 --> 01:22:08.163]  Telling the truth is in.
[01:22:08.163 --> 01:22:10.265]  The mainstream media is completely discredited.
[01:22:10.265 --> 01:22:12.567]  Politicians are completely discredited.
