[00:00:04.929 --> 00:00:06.350]  Welcome, welcome, welcome.
[01:29:21.289 --> 01:29:26.893]  Anyone who is thinking of voting for independence, you are voting for an annual cost per household
[01:29:27.513 --> 01:29:29.133]  All right.
[01:29:29.133 --> 01:29:33.114]  We're going to break, Lord Mocton.
[01:29:33.114 --> 01:29:36.515]  We'll be right back.
[01:29:36.515 --> 01:29:45.678]  We're going to let you finish up on that point, then we're going to talk about the global warming charade that's going on right now.
[01:29:45.678 --> 01:29:48.698]  It's the Alex Jones Show.
[01:29:48.698 --> 01:29:50.039]  We're on the march.
[01:29:50.039 --> 01:29:52.559]  The empire's on the run.
[01:29:52.559 --> 01:29:55.260]  Alex Jones and the GCN Radio Network.
[01:30:00.186 --> 01:30:01.687]  Open your eyes.
[01:30:01.687 --> 01:30:05.108]  It's time to give your eyes a powerful nutritional boost.
[01:30:05.108 --> 01:30:11.590]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[01:30:11.590 --> 01:30:19.533]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[01:30:19.953 --> 01:30:21.333]  Open your eyes!
[01:30:21.333 --> 01:30:36.918]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by InfoWars Life is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[01:30:36.918 --> 01:30:44.340]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars Life formulations, Occupower.
[01:30:44.680 --> 01:30:50.185]  Go to InfoWarsLife.com or InfoWarsStore.com to order Occupower.
[01:30:50.185 --> 01:30:50.705]  Or call 1-888-253-3139.
[01:30:50.705 --> 01:30:51.125]  Occupower.
[01:30:51.125 --> 01:30:51.906]  Open your eyes.
[01:30:59.386 --> 01:31:08.077]  You've heard about the essential qualities of iodine when it comes to your well-being, and you've read the opinions of top experts regarding this good member of the halogen family.
[01:31:08.077 --> 01:31:14.305]  Still, reports indicate that iodine is absent in sufficient amounts from the daily lives of countless people worldwide.
[01:31:14.605 --> 01:31:18.588]  Now, our extra strength new nascent iodine formula is here.
[01:31:18.588 --> 01:31:20.249]  Survival Shield X2.
[01:31:20.249 --> 01:31:33.099]  Leading the way into the next generation of super high quality nascent iodine, InfoWars Life Survival Shield X2 is derived from 200 plus million year old salt solutions found more than 7,000 feet below the Earth's surface.
[01:31:33.099 --> 01:31:41.185]  The result is a unique nascent iodine that is both concentrated and free of unwanted additives, genetically modified ingredients, and completely vegan.
[01:31:41.185 --> 01:31:44.548]  We even pre-screen our Survival Shield X2 iodine for radiation.
[01:31:44.828 --> 01:31:54.200]  X2 Nascent Iodine is available exclusively at Infowarslight.com, Infowarsstore.com or call 1-888-253-3139.
[01:32:00.600 --> 01:32:01.961]  In the near future.
[01:32:01.961 --> 01:32:06.442]  When you realize how fake it all is, the football, the basketball.
[01:32:06.442 --> 01:32:07.663]  Security, alert.
[01:32:07.663 --> 01:32:09.663]  This is Homeland Security.
[01:32:09.663 --> 01:32:13.245]  Analysis, InfoWars, building independent media operations.
[01:32:13.245 --> 01:32:18.267]  You let the worst people get controlled and tell us that we are the ones responsible.
[01:32:18.267 --> 01:32:20.848]  Crime directive, discredit Alex Jones.
[01:32:20.848 --> 01:32:23.709]  Jones is the wildly popular conspiracy theorist.
[01:32:23.709 --> 01:32:26.930]  A popular conspiracy theory talk show called InfoWars.
[01:32:26.930 --> 01:32:29.231]  Alex Jones is now in an Austin jail.
[01:32:29.231 --> 01:32:29.971]  These people are a
[01:32:30.191 --> 01:32:33.613]  Targeting of patriots engaged.
[01:32:33.613 --> 01:32:35.534]  They are never going to stop.
[01:32:35.534 --> 01:32:39.557]  They're never going to deviate from their program until we stop them.
[01:32:39.557 --> 01:32:43.159]  Block free iPhone app at InfoWars.com.
[01:32:43.159 --> 01:32:46.521]  Block free podcast and video feed.
[01:32:46.521 --> 01:32:47.522]  Imperative.
[01:32:47.522 --> 01:32:49.483]  Destroy Prison Clinic TV.
[01:32:49.483 --> 01:32:54.026]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[01:32:54.026 --> 01:32:56.368]  Intellectually, it's begun and you can feel it.
[01:33:09.762 --> 01:33:12.344]  Waging war on corruption.
[01:33:12.344 --> 01:33:19.608]  It's Alex Jones.
[01:33:19.608 --> 01:33:25.911]  Welcome back and we are live on this September 16, 2014 edition of the Alex Jones Show.
[01:33:25.911 --> 01:33:27.312]  I'm your host Rob Due.
[01:33:27.312 --> 01:33:32.535]  You can watch us live on PrisonPlanet.tv or Infowars.com forward slash dot show if you're at your computer and you want to see
[01:33:34.437 --> 01:33:37.078]  The massive amounts of articles I have in front of me.
[01:33:37.078 --> 01:33:45.999]  If you'd like to see Lord Mocton on TV calling us from the UK where they have an important vote going on in just two days.
[01:33:45.999 --> 01:33:47.080]  It's going to be Thursday.
[01:33:47.080 --> 01:33:53.201]  The Scots will vote on whether they want to secede from the United Kingdom.
[01:33:53.201 --> 01:33:58.842]  Last week we had Scottish John here in studio talking with Alex and how he thought it was a good thing and that would stop the New World Order.
[01:33:59.924 --> 01:34:01.285]  Dead in its tracks.
[01:34:01.285 --> 01:34:05.728]  Lord Mocton has a 180 degree opinion on that.
[01:34:05.728 --> 01:34:06.569]  He doesn't believe in it.
[01:34:06.569 --> 01:34:08.430]  But, you know, I'd like to look at this.
[01:34:08.430 --> 01:34:11.573]  We have Catalonia, which is talking about going independent.
[01:34:11.573 --> 01:34:13.654]  Texas has talked about it.
[01:34:13.654 --> 01:34:21.360]  Northern California is talking about seceding from Southern California and creating a new state, actually, within the United States.
[01:34:21.360 --> 01:34:24.242]  Some counties there in Northern California and in Southern Oregon.
[01:34:25.168 --> 01:34:27.751]  So this is happening and why is it happening?
[01:34:27.751 --> 01:34:31.734]  People are kind of fed up with these giant centralized bureaucracies.
[01:34:31.734 --> 01:34:42.044]  There's the article from the Guardian, Catalonian MPs set to approve law on independence vote and they had millions of people out in the streets marching for independence.
[01:34:43.919 --> 01:34:48.200]  We saw Ireland basically kind of change its economy.
[01:34:48.200 --> 01:34:55.682]  It was about 15 years ago they started getting into technology and they kind of changed the way their economy ran.
[01:34:55.682 --> 01:34:58.063]  It's not the best in the world.
[01:34:58.063 --> 01:34:59.103]  Could Scotland do this?
[01:34:59.103 --> 01:35:06.925]  Could they revamp what they're doing now and make themselves prosperous if they were independent as opposed to being under the UK?
[01:35:06.925 --> 01:35:08.906]  Lord Mocton, that's my question I propose to you.
[01:35:09.577 --> 01:35:12.558]  Alright, well let's just finish off on the point I was on.
[01:35:12.558 --> 01:35:20.459]  Each household will find that it has to pay an extra £3,500 to £5,500 a year.
[01:35:20.459 --> 01:35:22.919]  That's about what?
[01:35:22.919 --> 01:35:25.040]  $5,500 to $9,000 a year.
[01:35:25.040 --> 01:35:30.601]  That's how much the cash cost of independence is going to be to each household in Scotland.
[01:35:30.601 --> 01:35:32.361]  You took Ireland as an example there.
[01:35:32.361 --> 01:35:34.381]  Let me answer that one for you.
[01:35:34.381 --> 01:35:38.722]  Ireland is now one of the most indebted countries in the world.
[01:35:39.742 --> 01:35:42.043]  It's hopelessly in debt.
[01:35:42.043 --> 01:35:45.704]  It's seen its house prices plummet by 30 or 40 percent.
[01:35:45.704 --> 01:35:50.846]  It's seen drastic cuts in the public sector to try and balance the books, and they're still not balanced.
[01:35:50.846 --> 01:35:53.828]  That's certainly no example to Scotland.
[01:35:53.828 --> 01:35:59.470]  And the romanticism which I share, you know, I love the history of Bonnie Prince Charlie coming from France to
[01:36:00.070 --> 01:36:02.573]  Um, take over Scotland, which he succeeded in doing.
[01:36:02.573 --> 01:36:05.376]  He went down to England as far south as Derby.
[01:36:05.376 --> 01:36:07.218]  If only he'd had the courage to carry on.
[01:36:07.218 --> 01:36:16.229]  The government in England, in London, was already planning to flee, and he would have formed the government and united Scotland, but under a Scottish king.
[01:36:16.229 --> 01:36:17.911]  It so nearly happened.
[01:36:17.911 --> 01:36:18.812]  But you see, it didn't.
[01:36:19.625 --> 01:36:25.708]  And in the end, Scotland at the moment is simply incapable of standing on her own feet economically.
[01:36:25.708 --> 01:36:27.830]  But it isn't just economics.
[01:36:27.830 --> 01:36:38.916]  If you go to page one of Macaulay's Great History of England, one of the finest works of literature in the English language, it's beautifully written, and it's also sharply observed.
[01:36:38.916 --> 01:36:42.618]  And on page one he says this, that after centuries of warfare,
[01:36:43.985 --> 01:36:53.309]  Scotland was at length bound to England by indissoluble ties of interest and affection.
[01:36:53.309 --> 01:37:00.613]  Because it's not just about the money, it's not just about the fact that Scotland remains dependent on the United Kingdom financially.
[01:37:00.613 --> 01:37:06.596]  It's also that this has been a very successful union by any standard.
[01:37:06.596 --> 01:37:11.498]  The moment Scotland had been united with England, the British Empire began to form.
[01:37:12.376 --> 01:37:17.460]  And for nearly 100 years we found ourselves ruling a quarter of the globe.
[01:37:17.460 --> 01:37:20.383]  The Pax Britannica was universal.
[01:37:20.383 --> 01:37:22.244]  Britannia ruled the waves.
[01:37:22.244 --> 01:37:26.648]  Britannia, not just England, but Scotland as well was part of that.
[01:37:26.648 --> 01:37:30.391]  Scotland as part of England stands as part of one of the most
[01:37:30.951 --> 01:37:46.919]  Successful nations in international diplomacy to this day in the world Scotland as part of the United Kingdom is therefore much stronger and paradoxically more independent than she would be if she decided to throw all this away
[01:37:47.950 --> 01:38:01.544]  And I was talking to the train guard on the train from Edinburgh to Dundee the other day, and I had a lot of copies of the economic assessment that Ewan Stewart has done for the Scottish Research Society dot com.
[01:38:01.544 --> 01:38:02.906]  And I was showing this to him.
[01:38:04.112 --> 01:38:06.053]  And he said, well, I'm voting for independence.
[01:38:06.053 --> 01:38:08.634]  I'm voting on the basis of emotion.
[01:38:08.634 --> 01:38:10.235]  I'm voting with my heart, he said.
[01:38:10.235 --> 01:38:14.837]  And I said, look, I never tell anybody not to vote with their heart.
[01:38:14.837 --> 01:38:24.182]  What I would say to you is it might be worth your while just to count the cost first so that you can decide whether it makes any sense to vote with your heart.
[01:38:24.182 --> 01:38:28.144]  So I gave him a copy of the 64-page economic analysis we'd had done.
[01:38:28.664 --> 01:38:33.406]  I said, even if you only read the first paragraph, it'll summarise the main points there.
[01:38:33.406 --> 01:38:35.607]  The first three pages go into it in more detail.
[01:38:35.607 --> 01:38:38.108]  Then you can look at 64 pages.
[01:38:38.108 --> 01:38:40.489]  Every individual topic is covered.
[01:38:40.489 --> 01:38:42.890]  What is Scotland's currency going to be?
[01:38:42.890 --> 01:38:48.493]  At the moment, Alex Salmond has given up the idea of independence in terms of issuing his currency.
[01:38:48.493 --> 01:38:50.414]  He said, oh, we'll let Britain do that.
[01:38:51.134 --> 01:39:04.924]  But if Scotland wants to use Britain's currency, but Scotland isn't part of a currency union with Britain, then Scotland will not have a seat at the table at the Bank of England, as it does now, to form the monetary policy of Britain.
[01:39:04.924 --> 01:39:09.607]  So it will not, in this very crucial extent, it won't be independent at all.
[01:39:09.907 --> 01:39:12.948]  Just as it won't be independent if it rejoins the European Union.
[01:39:12.948 --> 01:39:21.569]  Just as it won't be independent if it continues to run an enormous financial deficit and it will eventually be in hock to the people to whom it owes money.
[01:39:21.569 --> 01:39:29.911]  There's no way that a vote for independence on Thursday will actually give you independence even if the vote is yes.
[01:39:29.911 --> 01:39:31.931]  So why not vote no?
[01:39:31.931 --> 01:39:37.732]  Stand by the Union not only for practical reasons but also for reasons of affection.
[01:39:38.312 --> 01:39:51.038]  Of course we have this love-hate relationship between Scotland and England, largely maintained these days by sporting contests of one kind or another, particularly the rugby, at which, alas, Scotland hasn't been doing too well recently.
[01:39:51.038 --> 01:39:52.899]  But it is really absurd
[01:39:53.539 --> 01:40:00.706]  For anyone to think that Scotland is going to be a strong and prosperous and independent nation if it goes independent.
[01:40:00.706 --> 01:40:18.043]  So let us hope that everybody will have the common sense and the strength of will to vote this ludicrous proposal down and therefore to prevent what would effectively be the entrenchment of something not, in economic terms, different from communism all over Scotland.
[01:40:19.520 --> 01:40:22.123]  And that would be a very interesting prospect.
[01:40:22.123 --> 01:40:34.619]  A communist country, openly communist, if they were to become openly communist, right in the middle of Europe, that would definitely, although you could say a lot of Europe is communist or socialist to one degree or another.
[01:40:34.619 --> 01:40:35.821]  That's one way of looking at it.
[01:40:35.821 --> 01:40:38.284]  Where can you find your report, your 64-page report?
[01:40:38.911 --> 01:40:46.636]  Yes, what you do is you go to scottishresearchsociety.com.
[01:40:46.636 --> 01:40:51.378]  You go on there, you'll find a lot of news and facts about the independence referendum.
[01:40:51.378 --> 01:40:55.821]  You'll find several reports by us, but the most important one is this economic assessment.
[01:40:56.281 --> 01:40:59.824]  This is the assessment the Scottish so-called government should have done.
[01:40:59.824 --> 01:41:03.427]  This is the assessment the United Kingdom government should have done.
[01:41:03.427 --> 01:41:11.114]  If it had done that assessment early enough, then nobody would have even dreamt of continuing with the idea of having a referendum on independence.
[01:41:11.114 --> 01:41:13.076]  They would have realised the game was up.
[01:41:13.076 --> 01:41:17.659]  It simply can't be afforded and the damage to Scotland would be enormous.
[01:41:17.659 --> 01:41:21.503]  You see, the structure, the government structure that has already been put in place
[01:41:22.003 --> 01:41:41.009]  By Alex Salmond, is a bureaucratic centralist, heavily expensive, the state owns everything, the state nationalizes the land, the state grasps all the businesses, the state centralizes the police, we no longer have police forces in each county, we now have a single national police force, just as they used to do in the Soviet Union.
[01:41:41.429 --> 01:41:43.330]  Hear me out real quick.
[01:41:43.330 --> 01:41:50.655]  What if they do vote for independence, and then they do collapse under their own weight of a bureaucracy, and then they decide they have to change?
[01:41:50.655 --> 01:41:53.096]  Wouldn't that be an example for the world?
[01:41:53.096 --> 01:41:56.038]  Saying that, look, communism and big government doesn't work.
[01:41:56.038 --> 01:41:58.579]  You have to give people control over their own lives.
[01:41:58.579 --> 01:42:00.841]  Isn't that what these people just want in the end?
[01:42:00.841 --> 01:42:02.282]  And what if that happens?
[01:42:02.282 --> 01:42:03.863]  You know, this guy just came into power.
[01:42:03.863 --> 01:42:05.904]  Who's to say he can't be voted out of power?
[01:42:05.904 --> 01:42:06.945]  Maybe I'm an idealist.
[01:42:06.945 --> 01:42:07.305]  I don't know.
[01:42:07.805 --> 01:42:09.025]  Well, here's the thing.
[01:42:09.025 --> 01:42:16.427]  I can see the value to the rest of the world of learning that lesson, but I do not want to see the damage to Scotland that would happen in the meantime.
[01:42:16.427 --> 01:42:20.908]  The fact is, this is really a crazy proposal by crazy people.
[01:42:20.908 --> 01:42:25.529]  You see, Alex Salmond has never had to take governmental responsibility.
[01:42:25.529 --> 01:42:31.570]  Because, at one level, he's part of the EU, so most of his laws are made by the EU.
[01:42:31.570 --> 01:42:34.751]  And the Daft Wee Parliament at Holyrood is merely a rubber stamp.
[01:42:35.431 --> 01:42:44.860]  And most of his money comes not from his own taxpayers, who contribute less per head than most of the United Kingdom, but from London.
[01:42:44.860 --> 01:42:49.203]  So he's not independent and will not be independent after independence, as I've just said.
[01:42:49.203 --> 01:42:54.388]  There's no way that Scotland, with anything like its present government system,
[01:42:55.054 --> 01:42:57.436]  Can afford to stand on its own two feet.
[01:42:57.436 --> 01:43:02.079]  So here is what's going to have to happen if Scotland votes for independent.
[01:43:02.079 --> 01:43:14.407]  Most people, and I mean most people, whose primary livelihood comes from the state, will either have that livelihood substantially cut, and I mean a cut of something like 10 to 20 percent,
[01:43:15.840 --> 01:43:19.081]  Or they will lose their jobs altogether.
[01:43:19.081 --> 01:43:41.230]  If you think you're going to sit there, paid by the state, when Scotland becomes independent, whether you're paid to work, or paid through a state pension, or paid through a civil service pension, or paid through benefits, or disability benefits, or getting free healthcare, all of those things you will no longer get to the same degree, or anything like the same degree, that you get them now.
[01:43:41.970 --> 01:43:47.632]  And everyone who has looked at the economics of Scotland has come to the same conclusion.
[01:43:47.632 --> 01:43:54.815]  If you think I'm making up a scarce story to try to terrify people into voting no, no I'm not.
[01:43:54.815 --> 01:44:10.582]  The independent assessment of Ewan Stewart, available at scottishresearchsociety.com, makes it entirely clear how insane, and that's the word that he privately used to me, so I won't put that in the document, but this is the most insane
[01:44:11.662 --> 01:44:15.984]  He said, in a way, I really didn't like to do it.
[01:44:15.984 --> 01:44:17.105]  He said, I'm a Scot.
[01:44:17.105 --> 01:44:18.325]  I love Scotland.
[01:44:18.325 --> 01:44:20.727]  I really don't want to see this happen.
[01:44:20.727 --> 01:44:24.008]  And that is the view of all of us at the Scottish Research Society.
[01:44:24.008 --> 01:44:28.350]  So do go to scottishresearchsociety.com and find this out for yourselves.
[01:44:28.350 --> 01:44:35.633]  We must keep Scotland part of the United Kingdom because otherwise there will be effectively yet another communist country.
[01:44:35.633 --> 01:44:39.015]  It won't be called communist, but that is how it will run its economy.
[01:44:39.495 --> 01:44:40.916]  Heavily centralised.
[01:44:40.916 --> 01:44:42.576]  Heavily based on the state.
[01:44:42.576 --> 01:44:44.057]  Private sector nowhere.
[01:44:44.057 --> 01:44:45.417]  Massive taxation.
[01:44:45.417 --> 01:44:46.758]  Nationalisation of land.
[01:44:46.758 --> 01:44:48.619]  They're already doing that.
[01:44:48.619 --> 01:44:55.881]  It's about the only country in Europe where nationalisation of land is actually taking place as we speak.
[01:44:55.881 --> 01:44:58.522]  I bet you haven't seen that in any of the newspapers.
[01:44:58.522 --> 01:45:00.263]  But that's what's going on.
[01:45:00.263 --> 01:45:03.444]  And if that continues under independence, it will accelerate.
[01:45:03.444 --> 01:45:07.966]  So if you own your house or you own a patch of land, however small, in no time at all,
[01:45:09.122 --> 01:45:12.604]  It will be absorbed by the evil Scots who won independence.
[01:45:12.604 --> 01:45:14.665]  We got Lord Christopher Mocton as our guest.
[01:45:14.665 --> 01:45:20.408]  He agrees with David Cameron who is also begging the Scots not to leave the UK.
[01:45:20.408 --> 01:45:21.569]  We've got a little bit more time.
[01:45:21.569 --> 01:45:26.051]  I do want to switch to climate change news because that is where you are also an expert on.
[01:45:26.051 --> 01:45:32.635]  It seems anything you get into you become an amazing expert and an eloquent speaker on the topic.
[01:45:32.635 --> 01:45:35.777]  I want to go... Obama is going after a new coolant.
[01:45:36.917 --> 01:45:40.759]  And also we've seen this evidence of there is no, hasn't been any climate change.
[01:45:40.759 --> 01:45:43.320]  We're actually cooling down, at least we haven't been warming up.
[01:45:43.320 --> 01:45:48.002]  What is the latest in the climate change news?
[01:45:48.002 --> 01:45:49.382]  What's the latest in the news there?
[01:45:49.382 --> 01:45:57.966]  First of all, if you are in high school, however senior you are, you will never have lived under global warming.
[01:45:57.966 --> 01:46:02.227]  There has been no global warming now, believe it or not, for just on 18 years.
[01:46:04.734 --> 01:46:13.541]  And this is the, according to the RSS, that's Remote Sensing Systems Satellite Monthly Dataset, which I analyse every month.
[01:46:13.541 --> 01:46:27.193]  And you can go to whatsupwiththat.com or you can go to climatedepot.com or you can go to scienceandpublicpolicy.org and you can find these regular monthly assessments of the temperature record.
[01:46:27.193 --> 01:46:31.296]  And it now shows a zero least squares linear regression trend.
[01:46:31.616 --> 01:46:32.037]  I don't know.
[01:46:45.845 --> 01:46:51.851]  That's because we put up a ton of windmills and solar panels, right?
[01:46:51.851 --> 01:47:00.040]  They have made no difference to the amount of carbon dioxide that's being emitted to the atmosphere, which is continuing to rise, and that's the startling thing.
[01:47:00.040 --> 01:47:08.489]  The carbon dioxide is rising at rapid and record levels according to the United Nations, and according to the record, for instance, at your own Mauna Loa Research Station.
[01:47:08.949 --> 01:47:18.856]  And yet, despite that record rise in the concentration of CO2 in the atmosphere, which is what's supposed to be causing all this warming, the warming is not happening.
[01:47:18.856 --> 01:47:30.425]  And I got a professor of physics on to me the other day, he said, have they even got the basic science of how much of a radiative effect CO2 in the atmosphere has?
[01:47:30.425 --> 01:47:36.830]  Have they got any evidence based on observation and measurement of what that value should be?
[01:47:37.470 --> 01:47:39.131]  And I said, yes, I thought I did.
[01:47:39.131 --> 01:47:43.055]  A professor had told me that he had done the original research on this.
[01:47:43.055 --> 01:47:48.179]  And I put the professor in touch with the other professor who said, actually, no, I didn't do it observationally.
[01:47:48.179 --> 01:47:51.021]  I did it by yet another computer model.
[01:47:51.021 --> 01:47:52.442]  So all of this scare
[01:47:52.782 --> 01:47:53.183]  We're good.
[01:48:11.284 --> 01:48:19.108]  The rate of global warming since then is exactly half of what was then predicted with substantial confidence.
[01:48:19.108 --> 01:48:22.529]  Well, that substantial confidence was substantially misplaced.
[01:48:22.529 --> 01:48:30.633]  And these are the people, having got every single forecast wrong, who are trying to tell us we must shut down the West in the name of saving the planet.
[01:48:31.133 --> 01:48:41.179]  But, uh, of course this Alex Jones listeners know perfectly well that we don't need to save the planet because the planet was triumphantly saved 2,000 years ago and it doesn't need to be saved again.
[01:48:42.341 --> 01:48:43.542]  I totally agree with you.
[01:48:43.542 --> 01:48:46.304]  Yeah, the planet will take care of itself.
[01:48:46.304 --> 01:48:48.726]  We need to take care of what we do.
[01:48:48.726 --> 01:48:57.774]  And we need to stop, I think, funding wars, maybe taking deadly pathogens and mixing them with deadly flus and see if they could come together and then losing them.
[01:48:57.774 --> 01:49:02.297]  I mean, there's a whole host of issues we could keep control of that we're not keeping control of.
[01:49:02.297 --> 01:49:04.439]  But let me tell you, the climate is not one of them.
[01:49:04.439 --> 01:49:05.440]  Because why?
[01:49:05.440 --> 01:49:07.962]  We cannot control the sun, no matter how much we think we can.
[01:49:08.422 --> 01:49:15.507]  We cannot control the amount of energy that the sun puts out, and when those levels go up and down, that is what changes our climate.
[01:49:15.507 --> 01:49:16.688]  It's volcanic activity.
[01:49:16.688 --> 01:49:18.269]  We're not plugging up any volcanoes.
[01:49:18.269 --> 01:49:21.111]  There's not enough concrete in the world to plug up volcanoes.
[01:49:21.111 --> 01:49:22.532]  And it just can't be done.
[01:49:22.532 --> 01:49:26.415]  Those are the types of things we would have to do to stop climate change.
[01:49:26.415 --> 01:49:30.278]  It would cost too much money to do any of that anyway, and we're not even warming.
[01:49:30.278 --> 01:49:34.361]  So I thought that was what the scare was, that we were warming up, and that's not happening.
[01:49:35.934 --> 01:49:38.139]  We're going to come back in a short segment.
[01:49:38.139 --> 01:49:43.530]  I just want to remind everybody, next hour we're going to have an Alex Jones and William Biddy interview.
[01:49:43.530 --> 01:49:45.373]  This is a premier NSA whistleblower.
[01:49:46.618 --> 01:49:50.821]  This guy was an NSA whistleblower when Snowden was in college.
[01:49:50.821 --> 01:49:52.702]  So he's been around the block.
[01:49:52.702 --> 01:49:56.104]  We've had plenty of NSA whistleblowers on here before Snowden.
[01:49:56.104 --> 01:50:01.567]  Snowden just gave us names and dates to things that we already knew were happening.
[01:50:01.567 --> 01:50:05.850]  But I want to ask you a quick question, and I'll probably let you answer this when we get back from the break.
[01:50:05.850 --> 01:50:14.215]  Nigel Farage was on Neil Cavuto's show last week, and he recently said that because of this ISIS problem, we're going to have to give up our liberty
[01:50:14.915 --> 01:50:15.655]  For security.
[01:50:15.655 --> 01:50:21.578]  He was channeling a bizarro Ben Franklin, saying something exactly opposite of what Ben Franklin said.
[01:50:21.578 --> 01:50:31.543]  And we've also had Senators come out like Patrick Leahy and say, if we stop the NSA from spying on people, it's only going to help ISIS, yet we leave our southern border wide open.
[01:50:31.543 --> 01:50:36.005]  I'm going to let you answer that question when we come back and cover anything else you want to in that last segment.
[01:50:36.005 --> 01:50:37.045]  It's the Alex Jones Show.
[01:50:37.045 --> 01:50:37.966]  You're watching us live.
[01:50:37.966 --> 01:50:39.787]  We're going to be here until 2pm Central.
[01:50:40.447 --> 01:50:46.237]  The websites are InfoWars.com, PrisonPlanet.com, PrisonPlanet.tv and InfoWars.com.
[01:50:46.237 --> 01:50:47.980]  I'm your host Rob Doo, we'll be right back.
[01:50:59.594 --> 01:51:02.575]  This hour brought to you by InfidelBodyArmor.com.
[01:51:02.575 --> 01:51:06.336]  When it hits the fan, don't be left without the body armor that will save your life.
[01:51:06.336 --> 01:51:10.037]  With prices starting at just $374.99 and ships free.
[01:51:10.037 --> 01:51:12.538]  Get yours at InfidelBodyArmor.com.
[01:51:12.538 --> 01:51:14.398]  Just won't quit.
[01:51:14.398 --> 01:51:16.739]  Hi, Ted Anderson with Midas Resources.
[01:51:16.739 --> 01:51:21.441]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:21.441 --> 01:51:23.201]  Get our 10 Reasons book free.
[01:51:23.201 --> 01:51:23.501]  Call 800-686-2237.
[01:51:23.501 --> 01:51:23.681]  That's 800-686-2237.
[01:51:29.603 --> 01:51:35.666]  Virtually anyone can hack your cell phone and track your calls, your texts, your emails, your every movement.
[01:51:35.666 --> 01:51:37.727]  But only if they can detect a signal.
[01:51:37.727 --> 01:51:41.669]  Stay one step ahead of hackers and Big Brother with a Block It Pocket.
[01:51:41.669 --> 01:51:47.192]  A custom-made pocket infused with pure silver that creates a complete Faraday enclosure for your cell phone.
[01:51:47.192 --> 01:51:51.014]  For free shipping to TheLore48, visit BlockItPocket.com or call 888-315-9618.
[01:51:51.014 --> 01:51:51.594]  BlockItPocket.com.
[01:51:51.594 --> 01:51:52.514]  Enhancing health and privacy.
[01:52:03.041 --> 01:52:08.123]  In the U.S., one in every 50 homes will have a break-in this year.
[01:52:08.123 --> 01:52:10.204]  Burglars call it smash and grab.
[01:52:10.204 --> 01:52:12.425]  Police call it robbery.
[01:52:12.425 --> 01:52:14.306]  We call it avoidable.
[01:52:14.306 --> 01:52:20.348]  We are Fake TV, a simple electronic device that can fool even professional burglars.
[01:52:20.348 --> 01:52:25.750]  Fake TV easily plugs into any outlet and simulates the changing colors of a television.
[01:52:25.750 --> 01:52:31.793]  To a burglar, it looks like someone must be home watching TV, so they'll likely move on to an easier target.
[01:52:32.973 --> 01:52:40.019]  At only $29.95, Fake TV costs less than a month of most alarm monitoring plans and comes with free shipping.
[01:52:40.019 --> 01:52:44.122]  Order your Fake TV by calling 877-5-FAKE-TV or go to Faketv.com.
[01:52:44.122 --> 01:52:45.363]  That's 877-532-5388 or Faketv.com.
[01:52:45.363 --> 01:52:47.424]  Fake TV, the burglar deterrent.
[01:52:58.365 --> 01:52:59.625]  Another major health threat.
[01:52:59.625 --> 01:53:04.607]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[01:53:04.607 --> 01:53:07.288]  Ohio's governor declaring a state of emergency.
[01:53:07.288 --> 01:53:14.310]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[01:53:14.310 --> 01:53:17.291]  If there's a water emergency, will you be prepared?
[01:53:17.291 --> 01:53:20.332]  Panicked residents forming long lines throughout the day.
[01:53:20.332 --> 01:53:22.272]  We're here at a supermarket in Toledo.
[01:53:22.272 --> 01:53:25.093]  You can see the shelves empty where water once was.
[01:53:25.213 --> 01:53:30.935]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[01:53:30.935 --> 01:53:34.437]  Water which will not be available at your local grocery store.
[01:53:34.437 --> 01:53:37.538]  There's a mad dash on right now to stock up on supplies.
[01:53:37.538 --> 01:53:41.800]  The ProPure Pro1 G2.0 water filtration system is a must-have.
[01:53:41.960 --> 01:53:44.861]  For every modern independently minded household.
[01:53:44.861 --> 01:53:48.063]  Protect your family's safety during an emergency.
[01:53:48.063 --> 01:53:55.066]  Go to InfoWarsTore.com today to purchase your ProPure Pro1 G2.0 water filtration system or call 1-888-253-3139.
[01:54:12.790 --> 01:54:14.511]  That's our final segment with Lord Mocton.
[01:54:14.511 --> 01:54:15.732]  This is the Alex Jones Show.
[01:54:15.732 --> 01:54:17.294]  I'm your host Rob Due.
[01:54:17.294 --> 01:54:21.117]  Coming up in the next hour, we're going to have William Binney with Alex Jones.
[01:54:21.117 --> 01:54:24.740]  He's the former Technical Leader for Intelligence with the NSA.
[01:54:24.740 --> 01:54:27.983]  He became a whistleblower in 2001.
