[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[02:21:55.800 --> 02:21:58.641]  Is that, are we going to be responsible for ourselves?
[02:21:58.641 --> 02:22:09.784]  Or are we always going to have Big Nanny and Big Nanny in our head going, well, I must take care of humanity and make sure that I never put anything out which might cause them to go and strangle somebody.
[02:22:09.784 --> 02:22:14.706]  Why wouldn't we expect for humanity to go, well, strangling people is bad.
[02:22:14.706 --> 02:22:18.347]  Even though it's in this film, I'm not going to do it because it's terrible.
[02:22:18.667 --> 02:22:24.580]  And it's just like you were saying, you know, earlier though, the system knows full well that that's not the case.
[02:22:24.580 --> 02:22:27.686]  They never criticize their product that's actually designed to do it.
[02:22:27.686 --> 02:22:29.249]  They criticize those that are trying to stop it.
[02:22:30.290 --> 02:22:37.632]  You know, again, it's gotten to a very dangerous place, as you say, Vivian, when you let go of individual responsibility.
[02:22:37.632 --> 02:22:39.492]  Because that's what we've seen the last two years, right?
[02:22:39.492 --> 02:22:47.034]  I mean, the whole thing with the pandemic was like, no one, I remember seeing this quote recently, it's like, no one is safe until everyone is safe.
[02:22:47.034 --> 02:22:47.674]  Oh, God.
[02:22:47.674 --> 02:22:50.275]  And it's like, what does that even mean?
[02:22:50.275 --> 02:22:51.555]  You're never going to be safe.
[02:22:51.555 --> 02:22:51.975]  I'm sorry.
[02:22:51.975 --> 02:22:53.876]  And now we know it doesn't protect you and is a fraud.
[02:22:53.876 --> 02:22:57.397]  So what did that director say when you pointed out you're next?
[02:22:57.397 --> 02:22:57.697]  Who's that?
[02:22:58.424 --> 02:23:02.926]  You said you were talking to a filmmaker and you said once they get Alex Jones, now you can be blamed as well.
[02:23:02.926 --> 02:23:05.107]  Right, well that was actually an interesting moment.
[02:23:05.107 --> 02:23:11.150]  I think that we did then get to a more common ground because he was so agitated against you, personally, and that's the point.
[02:23:11.150 --> 02:23:12.730]  Sorry, which director?
[02:23:12.730 --> 02:23:14.011]  I'm not going to say it.
[02:23:14.011 --> 02:23:23.175]  The point is that, you know, when people are so personally, you know, we've gotten to this place, right, where it's about, you know, if Trump says it, it doesn't matter what it is.
[02:23:23.175 --> 02:23:24.395]  The sky's blue, he's wrong.
[02:23:24.395 --> 02:23:25.316]  You know, we don't like him.
[02:23:25.996 --> 02:23:33.019]  And we've turned this into an inability to hear what's being said because we so are ready to attack whoever says it, right?
[02:23:33.019 --> 02:23:35.399]  So if Alex says it, then it must be bad.
[02:23:35.399 --> 02:23:41.362]  But if I say it and all of a sudden it's like, huh, oh, maybe that actually makes sense, you know, because maybe I'm not as controversial.
[02:23:41.362 --> 02:23:49.325]  Or Democrat Congress members incite violence against Republicans and say it's good that Scalise got shot or good that Rand Paul got his ribs broken and lung pierced.
[02:23:49.325 --> 02:23:50.525]  That's good.
[02:23:50.525 --> 02:23:52.746]  But then they lie and say, I invoked violence when I didn't.
[02:23:53.424 --> 02:23:58.848]  But that's, again, I mean, even if they did say that was good, you know what, they have the right to say that.
[02:23:58.848 --> 02:23:59.428]  I agree, they do.
[02:23:59.428 --> 02:24:00.369]  And we acknowledge that.
[02:24:00.369 --> 02:24:01.770]  We acknowledge that freedom of speech.
[02:24:01.770 --> 02:24:21.285]  And that's what's just, it's so difficult for us to fathom, you know, Vivian, you've been alive a little longer than I have, but like just going through these decades of watching how society has tried to normalize the idea that free speech is not inherently free, that we should be censored.
[02:24:21.285 --> 02:24:22.205]  So Vivian and Sean,
[02:24:23.206 --> 02:24:28.275]  What is the process the social engineers are in trying to restrict the general public speech?
[02:24:28.275 --> 02:24:29.478]  I see it as a sign of weakness.
[02:24:30.276 --> 02:24:34.660]  Oh, it's without question weakness, because they don't want to be challenged in any way.
[02:24:34.660 --> 02:24:42.686]  But I think that that's the nature of bullies and criminals, is that they only know how to crush in order to achieve their ends.
[02:24:42.686 --> 02:24:52.735]  And I think what we have to understand is there's nothing more important than having dialogue, exchanging ideas, defending our position, but also being willing to listen.
[02:24:52.735 --> 02:24:55.457]  But that would be the mark of maturity.
[02:24:55.457 --> 02:24:57.219]  And right now they've tried to, you know,
[02:24:57.759 --> 02:25:08.704]  Create infantile populations who, you know, look to the government to, you know, be saved or look to the government for the truth and won't do anything unless they're given a go-ahead.
[02:25:08.704 --> 02:25:09.945]  It's terrifying.
[02:25:09.945 --> 02:25:12.025]  I absolutely agree.
[02:25:12.025 --> 02:25:13.886]  Can the general population be saved?
[02:25:13.886 --> 02:25:18.869]  Because if they do get brainwashed into an animal form, now they're a howling mob that can be used against us.
[02:25:18.869 --> 02:25:19.889]  I don't want to kill them.
[02:25:19.889 --> 02:25:20.989]  I don't want to put everybody in prison.
[02:25:20.989 --> 02:25:23.811]  But it's really an alchemy that's happening where
[02:25:24.491 --> 02:25:28.158]  I've had globalists tell me, they say, look, the public's a bunch of animals, they're going to get everybody.
[02:25:28.158 --> 02:25:29.861]  You'll be on our side soon enough.
[02:25:29.861 --> 02:25:35.551]  They say they're hastening the process of societal collapse because they believe it's going to collapse anyway, so why not just get it over with?
[02:25:37.401 --> 02:25:44.166]  You know, I saw today's study validating a lot of the stuff you were talking about with the drop in male fertility and sperm, right?
[02:25:44.166 --> 02:25:48.049]  And it's like I saw it was up, down a drop in 60% in the last 50 years.
[02:25:48.049 --> 02:25:51.712]  So we've gone past the 50% mark into the 60 plus percent mark.
[02:25:51.712 --> 02:25:55.735]  And obviously, we know that the shots, the COVID shots are designed to affect
[02:25:56.195 --> 02:25:59.977]  The ovaries and they're affecting, obviously, female periods.
[02:25:59.977 --> 02:26:03.598]  I think that 2021 was the first year I saw no one really caught that.
[02:26:03.598 --> 02:26:07.000]  They said in America there was really no increase in population for the first time.
[02:26:07.000 --> 02:26:07.780]  It was really interesting.
[02:26:07.780 --> 02:26:10.361]  I mean, I'm not, I don't know about the immigrant or the migrant.
[02:26:10.361 --> 02:26:13.583]  A precipitous drop directly connected in the German study to the shot.
[02:26:14.283 --> 02:26:19.586]  But that's for sure, the point being that we are now going to go into this collapse, at least in the West.
[02:26:19.586 --> 02:26:23.648]  Now, a lot of the Eastern world didn't get the shots, right?
[02:26:23.648 --> 02:26:27.751]  A lot of Africa, a lot of Asian countries, a lot of poor countries didn't necessarily do this.
[02:26:27.751 --> 02:26:31.673]  Well, the globalists say it's the first world producing the most, so they hit us first.
[02:26:32.566 --> 02:26:33.287]  Right, right.
[02:26:33.287 --> 02:26:39.631]  And this is going to be really what's so interesting to see how this plays out in this coming time period, right?
[02:26:39.631 --> 02:26:42.132]  The overall, you know, fourth industrial revolution, right?
[02:26:42.132 --> 02:26:50.217]  They want a centralized, controlled population in cities that are sort of sterilized, that basically go like Brave New World.
[02:26:50.217 --> 02:26:55.501]  You want to, you know, have a child, you go into the doctor and you basically go choose your, you know, your ovary.
[02:26:55.501 --> 02:26:57.582]  I guess you choose the ovary, you choose, you know, the sperm.
[02:26:57.582 --> 02:27:01.385]  And they're admitting that's their plan and we're just trying to have a debate about the world they're building.
[02:27:01.385 --> 02:27:01.585]  Right.
[02:27:02.105 --> 02:27:03.966]  Sorry, I must just say something.
[02:27:03.966 --> 02:27:22.797]  Let's just acknowledge the fact that these people are insane, they're psychopathic, they have no empathy, and what they're trying to create is so diabolical that to describe it as anything like they're planning this, they're planning... No, this is the act of kind of computing psychotics.
[02:27:22.797 --> 02:27:29.001]  They've got the ability to be brilliant, but they have no ability to be human, and... They're in love with the... I call it the science of tyranny.
[02:27:29.605 --> 02:27:31.445]  Well, actually, yeah.
[02:27:31.445 --> 02:27:44.849]  I think I mentioned this the last time, but anybody who wants to look at the most absolutely gobsmacking, incredible fact, Aristotle, 2400 years ago, in his book on ethics, wrote about, if you want to create a tyranny, this is what you do.
[02:27:44.849 --> 02:27:46.609]  It's about two or three pages long.
[02:27:46.609 --> 02:27:52.811]  I invite everyone to go and look at it, because you will realize how ancient this playbook is.
[02:27:52.811 --> 02:27:54.451]  Oh, Plato is their model.
[02:27:54.451 --> 02:27:55.511]  No, Aristotle.
[02:27:55.511 --> 02:27:56.712]  Well, I suppose he was his student.
[02:27:58.220 --> 02:28:01.081]  Tell me the particular Aristotle derivatives so we can look that up.
[02:28:01.081 --> 02:28:02.381]  Oh, um... I remember.
[02:28:02.381 --> 02:28:04.042]  We'll try to find it during the break, but yes.
[02:28:04.042 --> 02:28:07.543]  Just look up Syracuse and Persia.
[02:28:07.543 --> 02:28:19.866]  If you do a word search, I think it'll get you straight to it, because he talks about these women who are spies, and I think they're called the Whores of Syracuse or something.
[02:28:19.866 --> 02:28:21.927]  Guys, look up Aristotle, the Whores of Syracuse.
[02:28:22.267 --> 02:28:25.449]  Well, Syracuse, just as a word search.
[02:28:25.449 --> 02:28:30.513]  Anyway, probably it would take about five minutes to read it.
[02:28:30.513 --> 02:28:36.637]  You will be absolutely shocked to see that if you want to run a tyranny, it's always been run the same way.
[02:28:36.637 --> 02:28:39.839]  Twenty-four hundred years ago, they're doing exactly what they're doing now.
[02:28:39.839 --> 02:28:41.581]  Well, you've cut right to the root.
[02:28:41.581 --> 02:28:45.143]  It was Plato that wrote up these plans.
[02:28:45.143 --> 02:28:46.264]  Yeah.
[02:28:46.264 --> 02:28:51.628]  Well, I mean, they're public in how he imagined society being run in fashion.
[02:28:52.526 --> 02:28:53.787]  Actually, can I just say something?
[02:28:53.787 --> 02:28:54.007]  Go ahead.
[02:28:54.007 --> 02:28:54.727]  Oh, yeah, I got a break.
[02:28:54.727 --> 02:28:56.048]  The trees were still on there as radio stations.
[02:28:56.048 --> 02:28:56.988]  I know they're annoying.
[02:28:56.988 --> 02:28:58.369]  We'll be right back.
[02:28:58.369 --> 02:29:09.235]  Until about 150 years ago, cultures all over the world believed that people got sick and died in many cases in the winter because of something called vapors.
[02:29:09.235 --> 02:29:13.697]  They associated these poisonous vapors with cold weather.
[02:29:13.697 --> 02:29:17.660]  Of course, it wasn't the cold weather or catching a chill that killed people.
[02:29:17.660 --> 02:29:20.861]  What was killing people was a lack of vitamin D3.
[02:29:22.082 --> 02:29:28.147]  You see, the sun via your skin helps your body produce vitamin D3.
[02:29:28.147 --> 02:29:32.030]  But if you're not getting enough sun, you will not produce vitamin D3.
[02:29:32.030 --> 02:29:36.794]  And then it's very easy for viruses and other things to start replicating and taking your body over.
[02:29:36.794 --> 02:29:41.538]  So now it's more important than ever, because the winner's here, to take high quality vitamin D3.
[02:29:41.538 --> 02:29:47.223]  And we have the best with our vitamin D3 gummies with calcium for better upload into your body for 50% off at InfoWars.com.
[02:29:48.524 --> 02:29:49.105]  We're good to go.
[02:29:57.751 --> 02:30:18.383]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[02:30:18.883 --> 02:30:32.006]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[02:30:32.006 --> 02:30:47.090]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier and wiser is what keeps InfoWars on the air and what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[02:30:47.370 --> 02:30:48.812]  So, continue to do it.
[02:30:48.812 --> 02:30:50.995]  Go to places like Infowarsstore.com.
[02:30:50.995 --> 02:30:53.097]  Go to the places like Save Infowars.
[02:30:53.097 --> 02:30:58.063]  Continue to keep Infowars alive, because in the process, you're keeping American liberty alive.
[02:30:58.624 --> 02:31:07.187]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[02:31:07.187 --> 02:31:16.810]  And it's absolutely absurd for anyone to take our election seriously when we just, it's election month, Alex, it's not election day.
[02:31:16.810 --> 02:31:18.490]  And that's the problem.
[02:31:18.490 --> 02:31:21.251]  And everything changed after COVID-19.
[02:31:21.251 --> 02:31:24.012]  They illegally changed state elections.
[02:31:24.912 --> 02:31:30.454]  Mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[02:31:30.454 --> 02:31:32.475]  Well, this isn't any way to run an election.
[02:31:32.475 --> 02:31:36.736]  We are in a serious country when we have elections that can be stolen like this.
[02:31:36.736 --> 02:31:51.842]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity and question the fact that elections
[02:31:52.562 --> 02:31:54.704]  Um, shouldn't be run the way they are.
[02:31:54.704 --> 02:31:58.908]  We're not election deniers, we're election realists.
[02:31:58.908 --> 02:32:10.679]  So when I first started taking Survival Shield, basically I was 275 pounds, I was overweight, I had brain fog like you wouldn't believe, I was barely holding on to a job, and I heard Dr. Grip on your show and I listened to it.
[02:32:10.679 --> 02:32:13.781]  So the first one I got was the original Survival Shield, the X1, and it was
[02:32:14.622 --> 02:32:15.002]  We're good.
[02:32:31.237 --> 02:32:37.199]  For the course of the next couple of years, I got my health back, and I religiously take basically all of your supplements.
[02:32:37.199 --> 02:32:39.580]  They're all absolutely amazing supplements.
[02:32:39.580 --> 02:32:41.481]  The one I like recently is Knockout.
[02:32:41.481 --> 02:32:43.702]  It'll literally, like, if you want to sleep, just take it.
[02:32:43.702 --> 02:32:44.462]  It's amazing.
[02:32:44.462 --> 02:32:44.962]  It works.
[02:32:44.962 --> 02:32:47.463]  But anyway, so the point is, we have to get ourselves clean.
[02:32:47.463 --> 02:32:53.706]  We have to break free of the globalist system, and the only way to do that is to take our own health into our own hands.
[02:32:53.706 --> 02:32:54.966]  Beautifully said, brother.
[02:32:54.966 --> 02:32:56.927]  I thank you so much for your call, and Godspeed.
[02:32:59.406 --> 02:33:11.252]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:11.252 --> 02:33:16.694]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:33:32.566 --> 02:33:37.388]  People have asked me what I think of Elon Musk, and I've kind of told you, but it would take an hour to really break it down.
[02:33:37.388 --> 02:33:39.229]  It's important.
[02:33:39.229 --> 02:33:41.590]  He's the next level of the New World Order.
[02:33:41.590 --> 02:33:43.471]  He plays both sides.
[02:33:43.471 --> 02:33:46.773]  He says he's pro-humanity, but he also goes along with our whole agenda.
[02:33:46.773 --> 02:33:48.214]  I don't know if he's a good guy or a bad guy.
[02:33:48.214 --> 02:33:50.035]  I'd say the tree bites fruits.
[02:33:50.035 --> 02:33:51.035]  But I told everybody this.
[02:33:51.035 --> 02:33:52.416]  I'm not worried about getting back on Twitter.
[02:33:53.817 --> 02:33:56.639]  He's under such attack, even trying to make it quasi-free.
[02:33:56.639 --> 02:33:57.820]  They're destroying it right now.
[02:33:57.820 --> 02:34:02.404]  But he did respond to folks asking him today, what should Twitter do next?
[02:34:02.404 --> 02:34:04.846]  And a lot of folks said, bring back Alex Jones.
[02:34:04.846 --> 02:34:07.629]  His response was, no.
[02:34:07.629 --> 02:34:12.293]  So that is kind of a litmus test because that's a bridge too far.
[02:34:12.293 --> 02:34:13.714]  But that's part of that process.
[02:34:13.714 --> 02:34:15.335]  Now, Vivian Kubrick's here.
[02:34:15.335 --> 02:34:16.336]  So is Sean Stone.
[02:34:16.336 --> 02:34:17.757]  We've got a lot to talk about.
[02:34:17.757 --> 02:34:18.898]  A lot of big issues.
[02:34:18.898 --> 02:34:20.660]  But you were getting into philosophy and going back.
[02:34:21.680 --> 02:34:26.081]  To the Greek philosopher Aristotle and his mentor.
[02:34:26.081 --> 02:34:29.382]  And of course, Plato put out two, three sides to everything.
[02:34:29.382 --> 02:34:33.564]  But he was the first to say that the plebes are crushing the breast of Mother Earth.
[02:34:33.564 --> 02:34:35.924]  We need to ban poor people breeding.
[02:34:35.924 --> 02:34:38.005]  We need to have breeding programs to make better people.
[02:34:38.005 --> 02:34:41.086]  What he talked about later got picked up by the Romans, then it got picked up
[02:34:41.926 --> 02:34:49.271]  By Malthus, then it got picked up by Francis Galton, then it got picked up by the eugenicists in England and then Adolf Hitler.
[02:34:49.271 --> 02:34:57.637]  So when we see the transhumanists, they all hail from that same school, the discoverer of DNA, you know, saying blacks are subhuman and all that.
[02:34:57.637 --> 02:35:04.562]  It's really the same group, but now as you talked about Bertrand Russell, it's all wrapped in a liberal, neoliberal packaging.
[02:35:05.848 --> 02:35:12.971]  Well, I was just saying to Sean, actually, in the break, you know, you can't reinvent the wheel, really, and to have a tyranny, you basically have to do the same thing.
[02:35:12.971 --> 02:35:31.120]  So, I just want to say, if you want to read about Plato, really, ironically, written by a eugenicist and whatever, Bertrand Russell, if you go to the History of Western Philosophy, Chapter 14, I think it is, you'll see described there, basically, the blueprint for the globalists.
[02:35:31.120 --> 02:35:33.101]  And I would say that, to put it in a nutshell,
[02:35:34.341 --> 02:35:42.985]  Whatever it is that determines somebody's state of consciousness, what's consistent here is that they have contempt for others.
[02:35:42.985 --> 02:35:49.829]  And it seems like what's really astonishing is they always have the same old playbook, and they... Total, total conceit.
[02:35:49.829 --> 02:35:50.409]  You've got a quote.
[02:35:50.409 --> 02:35:50.989]  Tell us where it's from.
[02:35:50.989 --> 02:35:51.630]  Contempt.
[02:35:51.630 --> 02:35:51.890]  Right.
[02:35:51.890 --> 02:35:57.773]  So this is from Aristotle's Ethics, and this is how to have a tyranny, a successful one.
[02:35:58.573 --> 02:36:02.115]  Uh, as to tyrannies, they are preserved in two most opposite ways.
[02:36:02.115 --> 02:36:06.578]  One of them is the old traditional method in which most tyrants administer their government.
[02:36:06.578 --> 02:36:15.504]  Of such arts, Persian of, sorry, uh, yeah, Peridot, I can't read that, of Corinth is said to have been the great master.
[02:36:15.504 --> 02:36:20.187]  And many similar devices may be gathered from the Persians in the administration of their government.
[02:36:20.187 --> 02:36:26.832]  They are firstly, the prescriptions met, the prescriptions met, mentioned some distance back, sorry this is all,
[02:36:27.712 --> 02:36:28.473]  Lead up.
[02:36:28.473 --> 02:36:30.916]  Okay, some distance back.
[02:36:30.916 --> 02:36:39.867]  For the preservation of a tyranny, in so far as this is possible, that the tyrant should lop off those who are too high.
[02:36:39.867 --> 02:36:42.570]  He must put to death men of spirit.
[02:36:42.570 --> 02:36:46.735]  He must not allow common meals, clubs, education and the like.
[02:36:48.058 --> 02:36:56.703]  He must be upon his guard against anything which is likely to inspire either courage or confidence amongst his subjects.
[02:36:56.703 --> 02:37:08.391]  He must prohibit literary assemblies or other meetings for discussion, and he must take every means to prevent people from knowing one another, for acquaintance begets mutual confidence.
[02:37:09.131 --> 02:37:16.056]  Further, he must compel all persons staying in the city to appear in public and live at his gates.
[02:37:16.056 --> 02:37:18.277]  Then he will know what they are doing.
[02:37:18.277 --> 02:37:21.319]  If they are always kept under, they will learn to be humble.
[02:37:21.319 --> 02:37:27.463]  In short, he should practice these and the like Persian and barbaric arts, which all have the same object.
[02:37:28.203 --> 02:37:47.647]  A tyrant should also endeavor to know what each of his subjects says or does, and should employ spies like the female detectives, sorry, not whores, female detectives of Syracuse, and the eavesdroppers who Hero was in the habit of sending to any place of resort or meeting.
[02:37:47.647 --> 02:37:55.088]  For the fear of informers prevents people from speaking their minds, and if they do, they are more easily found out.
[02:37:55.828 --> 02:38:00.290]  Another art of the tyrant is to sow quarrels amongst the citizens.
[02:38:00.290 --> 02:38:05.272]  Friends should be embroiled with friends, the people with the notables, and the rich with one another.
[02:38:05.272 --> 02:38:07.773]  Also, he should impoverish his subjects.
[02:38:07.773 --> 02:38:17.036]  He thus provides against the maintenance of a guard by the citizen, and the people, having to keep hard at work, are prevented from conspiring.
[02:38:17.036 --> 02:38:17.797]  I mean, it goes on.
[02:38:17.797 --> 02:38:18.477]  But that's 2400 years ago.
[02:38:18.477 --> 02:38:19.217]  It's so interesting, the...
[02:38:21.658 --> 02:38:37.909]  You know, the concept of the cancel culture, I see it is very much like the old like the spy network in the old days, you know, and the idea of being found out for what you said and being found out for thinking in a way that could be construed as dangerous or different.
[02:38:37.909 --> 02:38:38.129]  Right.
[02:38:38.129 --> 02:38:42.972]  And so how it's or it's now it's it's self-imposed cancellation that occurs.
[02:38:42.972 --> 02:38:43.593]  Right.
[02:38:43.593 --> 02:38:45.514]  You don't allow yourself to say what you think.
[02:38:45.514 --> 02:38:51.438]  You don't allow yourself to be heard saying something that can be attacked and targeted and you self-censor.
[02:38:51.658 --> 02:38:52.419]  That's right.
[02:38:52.419 --> 02:38:57.186]  And if you look at that model, all of it has now been compounded and we see it being done today.
[02:38:58.466 --> 02:39:01.167]  It's all before our eyes now.
[02:39:01.167 --> 02:39:03.308]  And that's what's the crazy part.
[02:39:03.308 --> 02:39:07.229]  Things that are in front of our faces, we can't talk about.
[02:39:07.229 --> 02:39:15.772]  Even to the place now, finally the Congress is hopefully going to do something with this Hunter Biden story and the corruption of old Joe.
[02:39:15.772 --> 02:39:23.314]  But the point being that even to this day, people are being accused of conspiracy theory for talking about it.
[02:39:24.721 --> 02:39:34.864]  What's with this, it's a conspiracy theory, can we just finally say out loud that the CIA came up with this terminology in order to... They weaponized it.
[02:39:34.864 --> 02:39:39.125]  They said you have to slander the conspiracy theorists.
[02:39:39.125 --> 02:39:49.868]  Your dad made JFK, which is an excellent film, it won't really happen, but it came out a few years after that the CIA said, people questioning, we just call it conspiracy theory so that we can ridicule those without looking at the actual evidence.
[02:39:50.307 --> 02:39:54.468]  Yeah, it was very clear how they targeted anyone that questioned the Warrant Commission.
[02:39:54.468 --> 02:39:56.769]  But the point is that the government uses conspiracy all the time.
[02:39:56.769 --> 02:40:00.130]  So I try to say to people, look at RICO Acts.
[02:40:00.130 --> 02:40:08.013]  The government uses conspiracy when it goes after drug dealers, when it goes after, you know, even, you name it, Trump, you know, they go after these things on conspiracy, right?
[02:40:08.013 --> 02:40:09.153]  The January 6th stuff.
[02:40:09.153 --> 02:40:12.994]  I mean, it's like, it's all government usage of conspiracy that no one questions.
[02:40:12.994 --> 02:40:18.976]  Why is it that if I say conspiracy, you know, everyone's, Big Tobacco, that was, the government went after them on conspiracy.
[02:40:19.036 --> 02:40:20.997]  And here's the control, though, when you pull back.
[02:40:20.997 --> 02:40:25.638]  I have articles right here where Biden got questioned about the new congressional investigation into his son.
[02:40:25.638 --> 02:40:28.139]  He said, that's a conspiracy theory that's been debunked.
[02:40:28.139 --> 02:40:32.861]  And they censored everybody two plus years ago during the campaign that tried to raise it, even though they now admit it's real.
[02:40:32.861 --> 02:40:37.443]  But in the audio and in the video, they're taking orders from the head of Chinese intelligence.
[02:40:37.443 --> 02:40:41.464]  So they make it about Burisma and gas companies and 10 percent for the big guy.
[02:40:41.464 --> 02:40:47.066]  That's a diversion from him saying, me and my dad take orders from Xi Jinping, which is true.
[02:40:47.066 --> 02:40:48.347]  That's really the big enchilada.
[02:40:48.627 --> 02:40:53.090]  Yeah, that's a big quote.
[02:40:53.090 --> 02:40:59.554]  Well, I'll tell you, my honest opinion is that there isn't a political system, there is just gangsterism.
[02:40:59.554 --> 02:41:00.555]  That's how this planet works.
[02:41:00.555 --> 02:41:02.076]  No, I agree, it's a group of gangsters.
[02:41:02.076 --> 02:41:16.065]  Yeah, so I mean, anything that you've learned about the Mafia, just apply it to government and all of this so-called diplomatic... I'm sure... Well, that's another big psy-op, that Italians invented organized crime and they're the only ones that do this.
[02:41:17.619 --> 02:41:22.926]  I mean, the globalist mafia, it's the real mafia.
[02:41:22.926 --> 02:41:23.987]  And ancient.
[02:41:23.987 --> 02:41:25.389]  Thousands of years.
[02:41:25.389 --> 02:41:31.657]  Thousands of years of mafia, of rulership, of empires, and then all of a sudden it becomes, you know, democracy, so-called.
[02:41:31.657 --> 02:41:33.599]  You could write a book on the secret mafia.
[02:41:33.599 --> 02:41:34.160]  The real mafia.
[02:41:35.854 --> 02:41:37.835]  Well, I don't know enough of those old families.
[02:41:37.835 --> 02:41:40.736]  I think, Vivian, you don't need those old families?
[02:41:40.736 --> 02:41:44.938]  This is what I know, is that it takes a certain kind of human being and they exist all over the place.
[02:41:44.938 --> 02:41:47.059]  I was about to say, they'll use any group or any organization.
[02:41:47.059 --> 02:41:49.720]  It's a cult of philosophy.
[02:41:49.720 --> 02:41:51.801]  It's a cult of criminal beings.
[02:41:51.801 --> 02:41:53.262]  It's like Soros working with the Nazis.
[02:41:53.262 --> 02:41:54.563]  I mean, it doesn't matter.
[02:41:54.563 --> 02:41:55.403]  It's just what they do.
[02:41:55.743 --> 02:41:59.008]  By the way, if anybody hasn't seen this, you need to find this.
[02:41:59.008 --> 02:42:11.046]  George Soros gave this interview, probably about, I don't know, 25 years or 30 years ago, where he just matter-of-factly, which is so classic of psychopaths, admits that he helped the Nazis, and he suggests, I would do it again.
[02:42:12.170 --> 02:42:13.611]  If I didn't do it, who else?
[02:42:13.611 --> 02:42:14.592]  Someone else would.
[02:42:14.592 --> 02:42:17.035]  Yeah, and it was the happiest time of my life.
[02:42:17.035 --> 02:42:20.378]  It shaped his psychology, which is what's so important to understand about Soros.
[02:42:20.378 --> 02:42:23.301]  But now you can't, you know, Wikipedia, you know, is all Soros agents.
[02:42:23.301 --> 02:42:25.283]  So that's why so much is scrubbed on.
[02:42:25.283 --> 02:42:26.544]  Soros is a good person.
[02:42:26.544 --> 02:42:26.984]  Right?
[02:42:26.984 --> 02:42:27.425]  What?
[02:42:27.425 --> 02:42:28.226]  Exactly.
[02:42:28.226 --> 02:42:28.566]  Joking.
[02:42:30.107 --> 02:42:31.348]  This is the ridiculous of the time, though.
[02:42:31.348 --> 02:42:33.169]  You say something against Soros, you're anti-Semitic.
[02:42:33.169 --> 02:42:37.392]  I mean, it's like, that has nothing to do with it, too.
[02:42:37.392 --> 02:42:40.854]  It's like saying someone is being a gangster, and you're saying, well, you're anti-Italian.
[02:42:40.854 --> 02:42:43.837]  It's like, just because that person's a gangster doesn't mean they're racist.
[02:42:43.837 --> 02:42:49.841]  This is a great trick that they're playing on people, and you've got to, like, stop getting into this, people.
[02:42:49.841 --> 02:42:56.245]  You need to recognize that there are Jews, Muslims, Christians, atheists, Buddhists, who are evil people.
[02:42:56.245 --> 02:42:57.026]  This is a big set.
[02:42:57.026 --> 02:42:57.346]  Hold on.
[02:42:57.486 --> 02:42:59.667]  Thanksgiving 2022 is here.
[02:42:59.667 --> 02:43:02.328]  We've got the biggest sale of the year going right now.
[02:43:02.328 --> 02:43:08.130]  Now, the good news is I'm going to extend this sale up to 60% off right through Christmas.
[02:43:08.130 --> 02:43:12.632]  The bad news is by Christmas, almost every product in the store will be sold out.
[02:43:12.632 --> 02:43:14.733]  We won't get more for months and months and months.
[02:43:14.733 --> 02:43:19.194]  So now is the time to take action to support the InfoWar and get the biggest sales of the year.
[02:43:19.194 --> 02:43:25.117]  We've already sold out of X2 and X3 and BioTrue Selenium and our Wake Up America award-winning coffee.
[02:43:25.117 --> 02:43:25.437]  And now,
[02:43:25.917 --> 02:43:26.177]  I think so.
[02:43:47.415 --> 02:43:54.100]  Promo code 1776 and you get an additional 10% off the already giant savings at InfoWarsTore.com.
[02:43:54.100 --> 02:43:55.401]  Thank you so much for your support.
[02:43:55.401 --> 02:43:57.562]  God bless.
[02:43:57.562 --> 02:44:00.924]  Everybody that's watching this needs to support Alex Jones.
[02:44:00.924 --> 02:44:03.746]  Needs to support InfoWars and Banned.Video.
[02:44:03.746 --> 02:44:06.448]  You know, the Bible says, let another mouth praise you.
[02:44:06.448 --> 02:44:07.749]  I'm going to do that right now.
[02:44:07.749 --> 02:44:11.652]  Alex Jones has helped so many people in this industry.
[02:44:11.652 --> 02:44:16.555]  You guys have no idea how many people have got their first start like Savannah Hernandez.
[02:44:16.835 --> 02:44:23.018]  How many people have just been put on a launch pad to outer space because of Alex Jones, including myself?
[02:44:23.018 --> 02:44:31.642]  I've been given so many opportunities because of this man and because of this platform, and I would probably not even be half of where I am right now if it weren't for Alex Jones.
