[00:00.000 --> 00:29.960]  Just how much of the Great Reset has already dug its blood-soaked talons into modern civilization?
[1:06:08.960 --> 1:06:11.960]  Discussed a little bit later, what are the deep state's next steps?
[1:06:11.960 --> 1:06:15.960]  What are they going to be up to now that various efforts have failed?
[1:06:15.960 --> 1:06:19.960]  What was their original script? How has reality deviated from that script?
[1:06:19.960 --> 1:06:21.960]  Can they continue to cover up?
[1:06:21.960 --> 1:06:26.960]  Can they continue to engage in dangerous corrupt behavior towards President Trump?
[1:06:26.960 --> 1:06:28.960]  Could they remove him from the ballot?
[1:06:28.960 --> 1:06:30.960]  Could they take him out through other ways?
[1:06:30.960 --> 1:06:33.960]  We'll be discussing that and more a little bit later in the show.
[1:06:33.960 --> 1:06:40.960]  But as to the issue of abortion, one of the popular talking points by no less than the Ben Shapiro's of the world
[1:06:40.960 --> 1:06:46.960]  was that, who is one of the worst political prognosticators, maybe in American political history,
[1:06:46.960 --> 1:06:55.960]  was that the Dobs decision, overturning and reversing Roe, would be and was going to be politically, at least short term,
[1:06:55.960 --> 1:06:57.960]  very damaging to the Republican cause.
[1:06:57.960 --> 1:07:01.960]  This has been the institutional narrative repeated all the way throughout.
[1:07:01.960 --> 1:07:06.960]  The prediction was that this would show up in primary turnout participation rates,
[1:07:06.960 --> 1:07:12.960]  that this would show up in voter registration rates, and it would show up in public opinion polling,
[1:07:12.960 --> 1:07:18.960]  even though the last, of course, is often manipulated by the media at their will and at their best.
[1:07:18.960 --> 1:07:26.960]  So the two most objective metrics and measurements we have for testing whether or not there is really this mass demand
[1:07:26.960 --> 1:07:32.960]  for abortion on demand in America, that there's this mass desire to support baby killing,
[1:07:32.960 --> 1:07:38.960]  that there's mass requirement that this be a nationally decided issue and not a locally decided issue,
[1:07:38.960 --> 1:07:46.960]  got tested and it got tested in a range of primaries and it got tested again in a range of voter registration file.
[1:07:46.960 --> 1:07:52.960]  So now we've had all of July, all of August, to see what happened.
[1:07:52.960 --> 1:07:59.960]  We've had plenty of primaries across the country in geographically diverse regions in various competitive primary election contexts.
[1:07:59.960 --> 1:08:04.960]  We've also had a range of voter registration activity now going on for months.
[1:08:04.960 --> 1:08:06.960]  And what does that data show?
[1:08:06.960 --> 1:08:11.960]  Well, the data shows what Richard Barris, known as People's Pundit Daily,
[1:08:11.960 --> 1:08:16.960]  or you can find his polling at Big Data or at peoplespundit.locals.com,
[1:08:16.960 --> 1:08:21.960]  who has new data from Pennsylvania up today at his People's Pundit site.
[1:08:21.960 --> 1:08:24.960]  What we predicted is what has in fact come true.
[1:08:24.960 --> 1:08:30.960]  Voter registration trends over the last two months continue to shift dramatically in Republicans' favor.
[1:08:30.960 --> 1:08:38.960]  There was no huge, role-loving perspective out there that was going to lead to a surge of voter registration and it did not.
[1:08:38.960 --> 1:08:45.960]  In fact, this includes even states like New Jersey, where Republicans picked up net votes that wasn't supposed to happen.
[1:08:45.960 --> 1:08:49.960]  Similarly, what happened in voter primary participation areas?
[1:08:49.960 --> 1:08:57.960]  Well, Democratic voter participation rate prior to the DOBS decision had been down on average around 7% from 2018,
[1:08:57.960 --> 1:09:02.960]  while Republican voter participation rates were generally up.
[1:09:02.960 --> 1:09:04.960]  Well, what happened after DOBS?
[1:09:04.960 --> 1:09:11.960]  Democratic relative voter participation rates in the primaries continue to decline at the same rate over the 2018 level.
[1:09:11.960 --> 1:09:20.960]  Indeed, it was only because there was some lower Republican turnout in some states where Republicans were unhappy with their options, particularly some populist Republican voters,
[1:09:20.960 --> 1:09:23.960]  that saw a slight dip in Republican turnout.
[1:09:23.960 --> 1:09:26.960]  But there was no Democratic voter turnout surge.
[1:09:26.960 --> 1:09:28.960]  So there was no voter turnout surge.
[1:09:28.960 --> 1:09:30.960]  There was no voter registration surge.
[1:09:30.960 --> 1:09:33.960]  The myth that these things are popular with people is wrong.
[1:09:33.960 --> 1:09:39.960]  And as Richard Barris of People's Pundit reporting, Republicans are back up in the generic congressional vote.
[1:09:39.960 --> 1:09:47.960]  And in fact, if you want my breakdown of the various House and Senate races out there, the summary and summation is this.
[1:09:47.960 --> 1:09:50.960]  Republicans will win the governorship of Pennsylvania.
[1:09:50.960 --> 1:09:53.960]  Republicans will win the governorship of Wisconsin.
[1:09:53.960 --> 1:10:00.960]  The Republicans may win the governorship of Michigan, even though that will be closer and more competitive.
[1:10:00.960 --> 1:10:03.960]  Republicans will win the governorship of Arizona.
[1:10:03.960 --> 1:10:06.960]  Republicans will win the Senate seat in Pennsylvania.
[1:10:06.960 --> 1:10:10.960]  Republicans will win the Senate seat in Wisconsin.
[1:10:10.960 --> 1:10:13.960]  Republicans will win the Senate seat in Arizona.
[1:10:13.960 --> 1:10:16.960]  Republicans will win the Senate seat in Georgia.
[1:10:16.960 --> 1:10:19.960]  Republicans will win the Senate seat in Ohio.
[1:10:19.960 --> 1:10:27.960]  And Republicans might steal a seat, as some polls showed this week, either in a place like Washington or a state like New Hampshire.
[1:10:27.960 --> 1:10:30.960]  By no means are they out of the game.
[1:10:30.960 --> 1:10:34.960]  Either way, my conclusion is that come January 2023,
[1:10:34.960 --> 1:10:39.960]  you're going to see more than 250 members of the House of Representatives are Republicans.
[1:10:39.960 --> 1:10:45.960]  And you're going to see the highest number of MAGA populist Republicans you have ever witnessed,
[1:10:45.960 --> 1:10:49.960]  thanks in part due to the Biden-Red sermon speech of this past week.
[1:10:49.960 --> 1:10:54.960]  And you're going to see 53 or more Republicans in the United States Senate,
[1:10:54.960 --> 1:10:59.960]  which will have some of the strongest populist voices on a range of topics, including
[1:10:59.960 --> 1:11:04.960]  Blake Masters, including JD Vance, including Eric Schmidt,
[1:11:04.960 --> 1:11:11.960]  including Josh Hawley and others who may discover their populist voice with Rand Paul on a range of topics,
[1:11:11.960 --> 1:11:17.960]  as they see that populism is the direction of the Republican Party in the country.
[1:11:17.960 --> 1:11:20.960]  And there's nothing the deep state can do about it,
[1:11:20.960 --> 1:11:25.960]  besides trying to do what they are doing, which is mostly backfiring.
[1:11:25.960 --> 1:11:30.960]  In that same capacity, there was some confusion this week about what happened in Alaska.
[1:11:30.960 --> 1:11:36.960]  The discussion was, well, maybe Alaska shows that the abortion issues cutting against Republicans,
[1:11:36.960 --> 1:11:40.960]  maybe it's showing that the Trump issues are cutting against Republicans.
[1:11:40.960 --> 1:11:43.960]  Indeed, that's what Ben Shapiro was out saying.
[1:11:43.960 --> 1:11:46.960]  He was saying the Republican Party needs to abandon Donald Trump,
[1:11:46.960 --> 1:11:49.960]  needs to abandon populism, abandon MAGA,
[1:11:49.960 --> 1:11:53.960]  need to just focus on Biden and say negative things about Biden.
[1:11:53.960 --> 1:11:59.960]  Be the party of just opposition, not the party of substantive positive policies and proposals.
[1:11:59.960 --> 1:12:05.960]  That is exactly how Republicans could lose their opportunities to seize big margins in the House of Representatives
[1:12:05.960 --> 1:12:08.960]  and get back control, majority control of the Senate,
[1:12:08.960 --> 1:12:12.960]  and get key territorial control of the competitive state.
[1:12:12.960 --> 1:12:16.960]  And for those folks out there that undervalue what that means,
[1:12:16.960 --> 1:12:19.960]  I mean, Arizona and Georgia have already passed election reforms.
[1:12:19.960 --> 1:12:24.960]  Wisconsin, Michigan, and Pennsylvania have not passed the same kind of election reforms
[1:12:24.960 --> 1:12:27.960]  because they have Democratic governors blocking them.
[1:12:27.960 --> 1:12:30.960]  We need Republican governors in those states.
[1:12:30.960 --> 1:12:36.960]  Two of the three, for sure, ideally all three, and I think Republicans can run the trifecta.
[1:12:36.960 --> 1:12:39.960]  The only way they don't is if they run away from Donald Trump.
[1:12:39.960 --> 1:12:44.960]  The only way they don't is if they abandon criticism of the Justice Department
[1:12:44.960 --> 1:12:49.960]  of this administration politically weaponizing it to go after its dissidents
[1:12:49.960 --> 1:12:54.960]  as the deep state has used it as a tool to attack anyone that is part of its opposition.
[1:12:54.960 --> 1:12:56.960]  That's the only way they could fail in that respect.
[1:12:56.960 --> 1:13:03.960]  What happened in Alaska has nothing to do with either Trump or with abortion.
[1:13:03.960 --> 1:13:09.960]  It has everything to do with the unique election system there and Republicans handling of it.
[1:13:09.960 --> 1:13:17.960]  So Senator Lisa Murkowski knew she could not win reelection if she had to go through a Republican primary process.
[1:13:17.960 --> 1:13:21.960]  She didn't want to run as an independent again as she had in the past.
[1:13:21.960 --> 1:13:28.960]  So she helped facilitate the change in Alaska's election laws to do something called rank choice voting,
[1:13:28.960 --> 1:13:31.960]  or sometimes called an instant runoff.
[1:13:31.960 --> 1:13:39.960]  The idea of an instant runoff is that the election should come down to just the top two candidates,
[1:13:39.960 --> 1:13:43.960]  but that you should have a choice of other candidates prior to that.
[1:13:43.960 --> 1:13:51.960]  And so with rank choice voting, you go into the election booth and you get basically as many votes as you have candidate,
[1:13:51.960 --> 1:13:54.960]  but you have to rank those votes.
[1:13:54.960 --> 1:13:59.960]  So your first favorite, your number one favorite, you put a one by or depends on the jurisdiction,
[1:13:59.960 --> 1:14:05.960]  this is the principle, number two by your second favorite, third by your third favorite, so on and so forth.
[1:14:05.960 --> 1:14:13.960]  As the ballots happen, once somebody's not in the top two, they're like, let's say somebody with somebody's number one choice,
[1:14:13.960 --> 1:14:22.960]  but they finish third, then their voters number two choice gets cast instead if it was for one of the other two leading candidate.
[1:14:22.960 --> 1:14:27.960]  And that keeps going on and on and on throughout the process, creating a little bit of mathematical complexity,
[1:14:27.960 --> 1:14:31.960]  but nothing too difficult for ordinary voters to understand.
[1:14:31.960 --> 1:14:37.960]  However, a lot of institutional Republicans oppose the idea of rank choice voting in general.
[1:14:37.960 --> 1:14:42.960]  Now, I can tell you in theory, rank choice voting actually can help reformers and outsiders,
[1:14:42.960 --> 1:14:50.960]  because it allows people to get to vote for who they actually like as their favorite candidate without wasting the vote.
[1:14:50.960 --> 1:14:55.960]  Because if their favorite candidate isn't in the top two, they get to then vote for their second favorite candidate.
[1:14:55.960 --> 1:15:01.960]  They don't have to always vote for the lesser of two evils, so it was not too difficult a process.
[1:15:01.960 --> 1:15:04.960]  However, the institutional Republican Party doesn't like that.
[1:15:04.960 --> 1:15:10.960]  They want rank choice voting for Lisa Murkowski, but they don't want it for everybody else.
[1:15:10.960 --> 1:15:18.960]  And so what they did is they encouraged local Republicans to not be well educated on how to simply execute a rank choice ballot.
[1:15:18.960 --> 1:15:25.960]  Now, Sarah Palin didn't help herself by having a bunch of Washington insiders run her campaign, and consequently,
[1:15:25.960 --> 1:15:29.960]  and a bunch of institutional political class types ran her campaign.
[1:15:29.960 --> 1:15:33.960]  But what happened is even though 60% of people in Alaska voted for Republicans,
[1:15:33.960 --> 1:15:37.960]  many of those 60% didn't have a second favorite after Sarah Palin,
[1:15:37.960 --> 1:15:44.960]  and consequently, Palin didn't get those second ballots of other Republican candidates, and that's the only reason she lost.
[1:15:44.960 --> 1:15:48.960]  So it was simply Republican miseducation on rank choice voting.
[1:15:48.960 --> 1:15:51.960]  It has nothing to do with the fundamental election dynamics.
[1:15:51.960 --> 1:15:56.960]  When we come back, we'll talk about what threats the deep state may face, and they may pose to us.
[1:15:56.960 --> 1:16:03.960]  There is nothing, there is no more epitome of free speech than right here.
[1:16:03.960 --> 1:16:07.960]  And that's what people recognize and resonate with.
[1:16:07.960 --> 1:16:10.960]  And as Ward said, you're not going to find a better place for information.
[1:16:10.960 --> 1:16:15.960]  You might not agree with everything, you might not agree with all our perspectives, but we cover all the information.
[1:16:15.960 --> 1:16:18.960]  And there's nowhere else really that does it like we do here.
[1:16:18.960 --> 1:16:19.960]  Thank you for that, Ward.
[1:16:19.960 --> 1:16:24.960]  Infowarsstore.com, by the way, the products he mentions, Infowarsstore.com is where to get them, folks,
[1:16:24.960 --> 1:16:26.960]  and we do have the best supplements.
[1:16:26.960 --> 1:16:35.960]  I mean, just like we try our best with our news coverage and our information, we do the best with our supplements as well.
[1:16:35.960 --> 1:16:37.960]  I mean, look at the hair and beard support formula.
[1:16:37.960 --> 1:16:39.960]  Folks, this is a joke.
[1:16:39.960 --> 1:16:42.960]  I mean, we're giving this thing away. It's 75% off.
[1:16:42.960 --> 1:16:43.960]  By the way, it works for me.
[1:16:43.960 --> 1:16:48.960]  In case you haven't noticed, the hair and beard formula is working for me.
[1:16:48.960 --> 1:16:50.960]  Quite well, I might add.
[1:16:50.960 --> 1:16:54.960]  Quite well, my barber appreciates hair and beard support for men.
[1:16:54.960 --> 1:16:56.960]  I go and see them quite often now.
[1:16:58.960 --> 1:17:02.960]  Sold out for more than a year and a half because of supply chain breakdowns.
[1:17:02.960 --> 1:17:07.960]  Our best-selling product, Superblue, is finally back in stock.
[1:17:07.960 --> 1:17:11.960]  The original available at Infowarsstore.com.
[1:17:11.960 --> 1:17:17.960]  It only came in three weeks ago, and already half of our stock has sold out, so thank you all for the support.
[1:17:17.960 --> 1:17:19.960]  But Superblue has a lot of fans.
[1:17:19.960 --> 1:17:22.960]  And you can get it for 40% off by itself.
[1:17:22.960 --> 1:17:29.960]  But when you get it in the trifecta with our activated charcoal toothpaste infused with essential oils, so great for your mouth and gums,
[1:17:29.960 --> 1:17:35.960]  you can get it for 50% off with super coral whitening toothpaste as well.
[1:17:35.960 --> 1:17:42.960]  You'll get the trifecta for 50% off together or 40% off individually at Infowarsstore.com.
[1:17:42.960 --> 1:17:45.960]  You'll have great health with your gums and your mouth and your teeth,
[1:17:45.960 --> 1:17:49.960]  and you know you're funding the tip of the spear in the fight against the globalist.
[1:17:49.960 --> 1:17:56.960]  Superblue being sold out for more than a year and a half, finally back available at Infowarsstore.com.
[1:17:57.960 --> 1:18:03.960]  Everybody knows that high-quality fish oil does fantastic things for your cardiovascular system,
[1:18:03.960 --> 1:18:06.960]  for your brain, for every part of your body.
[1:18:06.960 --> 1:18:14.960]  But what I don't see being promoted is the fact that it has natural psychotropic effects.
[1:18:14.960 --> 1:18:16.960]  It certainly does for me.
[1:18:16.960 --> 1:18:21.960]  When I take a couple of these capsules an hour before bed, my sleep, my dreams are amazing.
[1:18:21.960 --> 1:18:27.960]  Now there are actually some studies out there linking it to amazing events in the brain,
[1:18:27.960 --> 1:18:30.960]  but I want you to experience it yourself.
[1:18:30.960 --> 1:18:33.960]  We know it's good for your heart, we know it's good for your brain,
[1:18:33.960 --> 1:18:37.960]  we know it's good for your arteries and veins and your lungs and every other function in your body.
[1:18:37.960 --> 1:18:43.960]  But I want you to experience this high-grade fish oil, this ultimate fish oil at Infowarsstore.com
[1:18:43.960 --> 1:18:46.960]  and see what it does if you take it before bedtime.
[1:18:46.960 --> 1:18:52.960]  Ultimate fish oil, 50% off, now exclusively available at Infowarsstore.com.
[1:18:52.960 --> 1:19:01.960]  Thank you all for your support, you're really going to miss out if you don't get it.
[1:19:24.960 --> 1:19:29.960]  And now they're up more than 40% in the U.S. alone, some areas of the world they're up over 100%.
[1:19:29.960 --> 1:19:32.960]  The only way you beat inflation and protect yourself and your family is with high-quality
[1:19:32.960 --> 1:19:36.960]  Shorbel food ready to ship right now at PrepareToday.com
[1:19:36.960 --> 1:19:40.960]  at a very rare sale of 10% off site-wide.
[1:19:40.960 --> 1:19:44.960]  Not just on Shorbel food, but survival and preparedness items is happening right now.
[1:19:44.960 --> 1:19:50.960]  10% off at PrepareToday.com and on top of it, any order above $99 gets free shipping.
[1:19:50.960 --> 1:19:52.960]  That is a huge part of the cost of Shorbel food.
[1:19:52.960 --> 1:20:21.960]  So go to PrepareToday.com and protect yourself and your family while you still can.
[1:20:24.960 --> 1:20:29.960]  But first let's talk about the verdict is in on COVID.
[1:20:29.960 --> 1:20:33.960]  When many of us were challenging and questioning and contesting the institutional narrative
[1:20:33.960 --> 1:20:37.960]  all the way back in March of 2020, we were often alone.
[1:20:37.960 --> 1:20:40.960]  Many of you out there felt it and experienced it yourself,
[1:20:40.960 --> 1:20:45.960]  called conspiracy theorists, called nuts, called crazies,
[1:20:45.960 --> 1:20:48.960]  called anti-science, anti-doctor.
[1:20:48.960 --> 1:20:52.960]  The story was that COVID presented a unique and extraordinary
[1:20:52.960 --> 1:20:57.960]  and maybe even existential threat to people around the world
[1:20:57.960 --> 1:21:02.960]  at a unique and unusual plague-like level that required reactions and responses
[1:21:02.960 --> 1:21:05.960]  in public policy health interventions, as they're called,
[1:21:05.960 --> 1:21:08.960]  in ways that we didn't even do during the plague.
[1:21:08.960 --> 1:21:12.960]  And some of us at the time said that COVID did not present that degree of threat
[1:21:12.960 --> 1:21:14.960]  to most healthy people.
[1:21:14.960 --> 1:21:18.960]  Number one, number two, that the methods being chosen
[1:21:18.960 --> 1:21:22.960]  as public health interventions had no history of being successful
[1:21:22.960 --> 1:21:26.960]  and were as likely to backfire and cause more problems than they were good.
[1:21:26.960 --> 1:21:30.960]  Third, that our assertion was that any risk-benefit analysis,
[1:21:30.960 --> 1:21:34.960]  even if you believe there was a benefit from these public health interventions
[1:21:34.960 --> 1:21:37.960]  and even if you believe the risk was severe from COVID,
[1:21:37.960 --> 1:21:41.960]  that if you compared it to the other collateral consequences
[1:21:41.960 --> 1:21:45.960]  of these public health interventions, shutting down economies,
[1:21:45.960 --> 1:21:48.960]  shutting down societies, shutting down schools,
[1:21:48.960 --> 1:21:50.960]  shutting down people's individual autonomy,
[1:21:50.960 --> 1:21:55.960]  putting people under mass house arrest for days, then weeks, then months,
[1:21:55.960 --> 1:21:57.960]  then years in some cases,
[1:21:57.960 --> 1:22:00.960]  that this would have net negative effect on human development
[1:22:00.960 --> 1:22:05.960]  and human happiness in ways that would be felt in measurable metrics down the road.
[1:22:05.960 --> 1:22:07.960]  What was our prediction?
[1:22:07.960 --> 1:22:13.960]  Our prediction was you would see school test scores and childhood satisfaction decline.
[1:22:13.960 --> 1:22:16.960]  Our prediction was that you would see addiction rise
[1:22:16.960 --> 1:22:20.960]  and that would show up in both treatment and health consequences,
[1:22:20.960 --> 1:22:25.960]  medical cost and in deaths, including overdose drugs,
[1:22:25.960 --> 1:22:27.960]  overdose deaths for drugs and alcoholism,
[1:22:27.960 --> 1:22:30.960]  that you would see child abuse charges rise,
[1:22:30.960 --> 1:22:35.960]  that you would hear issues of all kinds of violent conflict increase
[1:22:35.960 --> 1:22:38.960]  both within the home and ultimately outside the home
[1:22:38.960 --> 1:22:41.960]  when people were finally released from their home prisons.
[1:22:41.960 --> 1:22:45.960]  We said that in fact you would find out that COVID did not present
[1:22:45.960 --> 1:22:49.960]  much imminent great risk to most people of any degree necessary
[1:22:49.960 --> 1:22:52.960]  that could even plausibly justify this.
[1:22:52.960 --> 1:22:54.960]  And we said the various public health interventions,
[1:22:54.960 --> 1:22:57.960]  things like masks, things like lockdowns,
[1:22:57.960 --> 1:23:00.960]  things like prohibitions on public travel,
[1:23:00.960 --> 1:23:02.960]  things like shutting down schools,
[1:23:02.960 --> 1:23:07.960]  like having a bunch of plastic everywhere for kids to try to go to class in
[1:23:07.960 --> 1:23:11.960]  or for people to just interact or interface in a wide range of public settings.
[1:23:11.960 --> 1:23:15.960]  Our prediction was that all of these things would not result
[1:23:15.960 --> 1:23:18.960]  in actual successful reduction of COVID
[1:23:18.960 --> 1:23:21.960]  and would definitely and would have negative consequences.
[1:23:21.960 --> 1:23:26.960]  We also said that the vaccines would not produce the public health benefit
[1:23:26.960 --> 1:23:31.960]  and why were Alex and I and just a few others at the time saying this from the very get go.
[1:23:31.960 --> 1:23:33.960]  It is because we knew the history.
[1:23:33.960 --> 1:23:36.960]  We knew the history of public health issues and pandemics.
[1:23:36.960 --> 1:23:40.960]  We knew the history of what worked and did not work in response to those pandemics.
[1:23:40.960 --> 1:23:44.960]  We knew the ulterior agenda of the statist and the globalist
[1:23:44.960 --> 1:23:48.960]  and those who wanted to use this to restructure society as Klaus Schwab
[1:23:48.960 --> 1:23:52.960]  but ultimately publicly and openly admit and acknowledge
[1:23:52.960 --> 1:23:55.960]  saying it was a great opportunity, the pandemic,
[1:23:55.960 --> 1:23:59.960]  to restructure society for his great reset agenda
[1:23:59.960 --> 1:24:03.960]  that has been particularly, particularly by the Bill Gates and George Soros
[1:24:03.960 --> 1:24:06.960]  and the Rockefellers of the world.
[1:24:06.960 --> 1:24:11.960]  But it was also a reflection that nobody had done even the basic testing.
[1:24:11.960 --> 1:24:14.960]  It wasn't just a criticism of the content of what was being proposed.
[1:24:14.960 --> 1:24:19.960]  It was a criticism of the methodology and the process of what was being proposed.
[1:24:19.960 --> 1:24:26.960]  In other words, they didn't show any signs that they had ever even done a cost benefit analysis.
[1:24:26.960 --> 1:24:30.960]  And what have we seen over the last several weeks?
[1:24:30.960 --> 1:24:31.960]  Three things.
[1:24:31.960 --> 1:24:36.960]  First, in Canada, it has publicly come out that they never did a cost benefit analysis.
[1:24:36.960 --> 1:24:41.960]  Just like it was discovered in the lockdown suits that happened with Judge Stickman early on
[1:24:41.960 --> 1:24:45.960]  in the Western District of Pennsylvania that exposed the Pennsylvania government agencies
[1:24:45.960 --> 1:24:48.960]  weren't even doing a risk benefit analysis.
[1:24:48.960 --> 1:24:50.960]  Is this going to be better or worse?
[1:24:50.960 --> 1:24:52.960]  Because take, for example, the vaccine.
[1:24:52.960 --> 1:24:58.960]  One of the reasons for our criticism was that there had never been a successful vaccine
[1:24:58.960 --> 1:25:00.960]  in the history of coronavirus.
[1:25:00.960 --> 1:25:01.960]  Why?
[1:25:01.960 --> 1:25:03.960]  Because the virus mutates too quickly.
[1:25:03.960 --> 1:25:08.960]  In order to survive, it has to become less lethal and more transmissible.
[1:25:08.960 --> 1:25:12.960]  And in the process, it's the reason why flu shots often don't work.
[1:25:12.960 --> 1:25:17.960]  It transitions too quickly and what you vaccinate against is no longer the disease.
[1:25:17.960 --> 1:25:20.960]  So the second thing was we just looked at the data.
[1:25:20.960 --> 1:25:25.960]  We're trying to take an mRNA technology that had never been used before and use it on a
[1:25:25.960 --> 1:25:26.960]  mass scale.
[1:25:26.960 --> 1:25:31.960]  With mRNA technology, there was a reason it had not been used before.
[1:25:31.960 --> 1:25:33.960]  Major safety concerns.
[1:25:33.960 --> 1:25:38.960]  Then you could just look at how quickly everything was done and you could fairly infer that they
[1:25:38.960 --> 1:25:41.960]  had not had adequate studies in order to be able to assess.
[1:25:41.960 --> 1:25:46.960]  And if you knew how the FDA really worked in delegating this to big drug companies and
[1:25:46.960 --> 1:25:51.960]  the drug companies have special immunity, like you do in the public health context under the
[1:25:51.960 --> 1:25:56.960]  PREP Act, like you do if you're put on a childhoods vaccination list, like you do if you just
[1:25:56.960 --> 1:26:01.960]  relabel your drug vaccine, all of which the FDA helped facilitate and enable, then the
[1:26:01.960 --> 1:26:06.960]  net effect of it is you're going to have a drug that is uniquely dangerous because the
[1:26:06.960 --> 1:26:10.960]  drug companies' only skin in the game is to enrich themselves and empower themselves.
[1:26:10.960 --> 1:26:16.960]  So what have we seen in just the last month, just the last week of information?
[1:26:16.960 --> 1:26:21.960]  Canada did no cost-benefit analysis of all at all for its various vaccine mandates and
[1:26:21.960 --> 1:26:22.960]  travel bans.
[1:26:22.960 --> 1:26:25.960]  Coming out of Europe, similar information and data.
[1:26:25.960 --> 1:26:28.960]  Coming out from various U.S. governmental sources, the same thing.
[1:26:28.960 --> 1:26:32.960]  No risk-benefit analysis was ever even done.
[1:26:32.960 --> 1:26:37.960]  The United Kingdom, it's being exposed in great detail that all of their lockdown policies,
[1:26:37.960 --> 1:26:41.960]  whether it was schools, whether it was masks, whether it was vaccines, whether it was the
[1:26:41.960 --> 1:26:45.960]  economy, whether it was travel, whether it was just being outside of your home, whether
[1:26:45.960 --> 1:26:49.960]  it be indoors or outdoors, whether you could go to a game, all of these things, there was
[1:26:49.960 --> 1:26:53.960]  no risk-benefit analysis ever even done.
[1:26:53.960 --> 1:26:54.960]  This wasn't science.
[1:26:54.960 --> 1:26:57.960]  This was politics masquerading as math.
[1:26:57.960 --> 1:27:03.960]  This was politics masquerading as science, which if you knew how the globalists operate
[1:27:03.960 --> 1:27:08.960]  and you knew how status operate and you knew how governments tend to operate, then you
[1:27:08.960 --> 1:27:11.960]  could predict and preview this was exactly what was going to happen.
[1:27:11.960 --> 1:27:18.960]  You didn't have to do a separate deep dive into the toxicology of vaccines or the nature
[1:27:18.960 --> 1:27:22.960]  of COVID as a disease or the political and public history of pandemics.
[1:27:22.960 --> 1:27:25.960]  All you had to know was their methods was bad or bad.
[1:27:25.960 --> 1:27:29.960]  If your way of reasoning is bad, then the outcome is likely to be bad.
[1:27:29.960 --> 1:27:34.960]  We're now finding that all of us that were called crackpots and criticized by every name
[1:27:34.960 --> 1:27:36.960]  possible, we were right.
[1:27:36.960 --> 1:27:38.960]  They were wrong.
[1:27:38.960 --> 1:27:44.960]  The horrifying thing is I would much rather have been wrong because being right means
[1:27:44.960 --> 1:27:46.960]  a lot of people died who didn't need to die.
[1:27:46.960 --> 1:27:51.960]  A lot of businesses were crushed and killed that didn't need to be crushed and killed.
[1:27:51.960 --> 1:27:54.960]  That's why it's important to continue the fight back.
[1:27:54.960 --> 1:27:58.960]  Those who are continuing to do so on the front lines, on the medical context, the political
[1:27:58.960 --> 1:28:02.960]  context, the legal context, and every other context, and your context.
[1:28:02.960 --> 1:28:07.960]  You as an ordinary, everyday person, what was the number one voice exposing the dangers
[1:28:07.960 --> 1:28:08.960]  of what they were doing?
[1:28:08.960 --> 1:28:13.960]  What was the number one organizational source for protests that started around America and
[1:28:13.960 --> 1:28:15.960]  then traveled around the globe?
[1:28:15.960 --> 1:28:19.960]  What was the number one source for independent information, whether it was Pierre Corey,
[1:28:19.960 --> 1:28:23.960]  whether it was Dr. Malone, whether it was Peter McCollough, whether it was any of many others
[1:28:23.960 --> 1:28:25.960]  that were exposing what was going on?
[1:28:25.960 --> 1:28:27.960]  Who was the first person to tell you?
[1:28:27.960 --> 1:28:32.960]  What was the first network to tell you about Bill Gates and his special little convention
[1:28:32.960 --> 1:28:34.960]  on coronavirus just a few months before this leak?
[1:28:34.960 --> 1:28:36.960]  It was InfoWars.
[1:28:36.960 --> 1:28:41.960]  So return the favor, keep InfoWars alive, make yourself healthier, wealthier, and wiser,
[1:28:41.960 --> 1:28:45.960]  and you can do that by going to InfoWarsStore.com today.
[1:28:45.960 --> 1:28:49.960]  Get something that you like, get something that you want, get something that you need
[1:28:49.960 --> 1:28:57.960]  because the best chance to keep freedom alive is to make Sir Paul Revere and continue his ride.
[1:29:22.960 --> 1:29:27.960]  And for the final 75 people to become founding members for this big project we're launching
[1:29:27.960 --> 1:29:32.960]  in the near future, you'll also get a personal signed piece of art I made of the sheepdog
[1:29:32.960 --> 1:29:35.960]  chasing the wolf in a personal message.
[1:29:35.960 --> 1:29:41.960]  It's your last chance to get all three coins at 1776.com.
[1:29:41.960 --> 1:29:43.960]  This is history happening now.
[1:29:43.960 --> 1:29:50.960]  InfoWars thanks for your support is changing the world and this is the final 75 three-coin set
[1:29:50.960 --> 1:29:56.960]  exclusively available at 1776.com.
[1:29:58.960 --> 1:30:02.960]  Sold out for more than a year and a half because of supply chain breakdowns.
[1:30:02.960 --> 1:30:07.960]  Our best-selling product, Super Blue, is finally back in stock.
[1:30:07.960 --> 1:30:11.960]  The original available at InfoWarsStore.com.
[1:30:11.960 --> 1:30:15.960]  It only came in three weeks ago and already half of our stock has sold out.
[1:30:15.960 --> 1:30:19.960]  So thank you all for the support but Super Blue has a lot of fans.
[1:30:19.960 --> 1:30:24.960]  And you can get it for 40% off by itself but when you get it in the trifecta with our
[1:30:24.960 --> 1:30:29.960]  activated charcoal toothpaste infused with essential oils so great for your mouth and gums
[1:30:29.960 --> 1:30:35.960]  you can get it for 50% off with super coral whitening toothpaste as well.
[1:30:35.960 --> 1:30:42.960]  So get the trifecta for 50% off together or 40% off individually at InfoWarsStore.com.
[1:30:42.960 --> 1:30:46.960]  You'll have great health with your gums and your mouth and your teeth and you know you're
