[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[02:20:55.180 --> 02:20:56.180]  You're going to be so poor.
[02:20:56.180 --> 02:20:58.180]  And folks go, well, there are too many people.
[02:20:58.180 --> 02:20:59.180]  Look at these cities.
[02:20:59.180 --> 02:21:04.180]  It's an illusion when you're in a big compact city because everybody's gone to that city for jobs.
[02:21:04.180 --> 02:21:10.180]  And especially in the West, some areas are really bad in China and India and need to be industrialized.
[02:21:10.180 --> 02:21:16.180]  But in the West, if you don't have 2.1 kids, everything collapses.
[02:21:16.180 --> 02:21:19.180]  Italy's having like 1.3 children.
[02:21:19.180 --> 02:21:21.180]  Japan's having 1.3 children.
[02:21:21.180 --> 02:21:23.180]  Germany's having like 1.5 children.
[02:21:23.180 --> 02:21:25.180]  They're collapsing.
[02:21:25.180 --> 02:21:28.180]  And then the globalists say, well, we'll just bring in Muslims to replace them.
[02:21:28.180 --> 02:21:33.180]  OK, well, if there were Muslim countries that weren't as radical, I'd actually be fine with that.
[02:21:33.180 --> 02:21:38.180]  But they're bringing in people who are totally incompatible even in their own countries.
[02:21:38.180 --> 02:21:46.180]  We're bringing in people whose religion is so out of control that they're always in civil wars with each other.
[02:21:46.180 --> 02:21:52.180]  Because their culture isn't about building new devices or having better farming or science.
[02:21:52.180 --> 02:21:56.180]  Because let's take where Muslim religion comes from, the Arabs.
[02:21:56.180 --> 02:21:58.180]  High IQs on average.
[02:21:58.180 --> 02:22:00.180]  Very high IQs.
[02:22:00.180 --> 02:22:01.180]  Mathematics, you name it.
[02:22:01.180 --> 02:22:04.180]  Astronomy, a bunch of it, pretty much invented there.
[02:22:04.180 --> 02:22:05.180]  The alphabet.
[02:22:05.180 --> 02:22:09.180]  Our alphabet is Aramaic.
[02:22:09.180 --> 02:22:13.180]  It didn't go on anymore.
[02:22:13.180 --> 02:22:18.180]  It's what you called Aramaic predates the Muslims.
[02:22:18.180 --> 02:22:21.180]  Christ wrote in Aramaic.
[02:22:21.180 --> 02:22:26.180]  So you take areas where most of the innovations came from with the very same genetics.
[02:22:26.180 --> 02:22:31.180]  What happened to it, 1400 years ago, where now it came to a standstill?
[02:22:31.180 --> 02:22:35.180]  Because it no longer became about science and development and technology in the culture.
[02:22:35.180 --> 02:22:41.180]  It became about a cult, micromanaging your behavior and what you did.
[02:22:41.180 --> 02:22:43.180]  And look, Christianity has had witch hunts, too.
[02:22:43.180 --> 02:22:46.180]  I'm not going to just sit here and bash Islam all day and not point out.
[02:22:46.180 --> 02:22:47.180]  Christianity's had dark ages.
[02:22:47.180 --> 02:22:49.180]  Christianity's had inquisitions.
[02:22:49.180 --> 02:22:52.180]  Christianity has done stuff just like Islam's done.
[02:22:52.180 --> 02:22:54.180]  Do you know what?
[02:22:54.180 --> 02:22:57.180]  We reformed it and made it more Christ-like.
[02:22:57.180 --> 02:23:05.180]  Christianity in the last 200 years is a lot closer to what Christ said than to what it was previous to that.
[02:23:05.180 --> 02:23:07.180]  Islam is out of control.
[02:23:07.180 --> 02:23:08.180]  Look at it.
[02:23:08.180 --> 02:23:11.180]  It's a freaking cult.
[02:23:11.180 --> 02:23:12.180]  It's crazy.
[02:23:12.180 --> 02:23:18.180]  Imagine if Christians said, yes, we don't let our daughters talk back to us or have their faces seen.
[02:23:18.180 --> 02:23:20.180]  And we don't let women drive cars.
[02:23:20.180 --> 02:23:22.180]  It would be a total revolt, and it should be.
[02:23:22.180 --> 02:23:24.180]  But if Muslims do it, it's supposedly cute and funny.
[02:23:24.180 --> 02:23:26.180]  Okay, I apologize on one of your calls.
[02:23:26.180 --> 02:23:27.180]  Tom and London's up next.
[02:23:27.180 --> 02:23:29.180]  I'm going to go to John in Washington.
[02:23:29.180 --> 02:23:31.180]  Nick in Wisconsin and Terry in Minnesota.
[02:23:31.180 --> 02:23:32.180]  Our reporters are popping in.
[02:23:32.180 --> 02:23:36.180]  Tom and London, thanks for holding it on the air worldwide.
[02:23:36.180 --> 02:23:37.180]  Hello, sir, Alex.
[02:23:37.180 --> 02:23:39.180]  Go ahead, sir.
[02:23:39.180 --> 02:23:41.180]  I have a quick technical call.
[02:23:41.180 --> 02:23:47.180]  Yes, so a year and a bit ago, 12, 14 months ago, I put a bet on.
[02:23:47.180 --> 02:23:54.180]  William Hill, that Trump would be the president and the Brexit would go the way it did.
[02:23:54.180 --> 02:23:57.180]  And that was on 17th of July, 2015.
[02:23:57.180 --> 02:23:58.180]  I have the...
[02:23:58.180 --> 02:24:02.180]  I would say that you've done well, Lord Vader.
[02:24:02.180 --> 02:24:08.180]  Well, yes, thank you, Lord Darkheart, Lord Darkheart.
[02:24:08.180 --> 02:24:14.180]  Yeah, a member of Palpatine City, who I was, we go, you are now known as Lord Darkheart.
[02:24:14.180 --> 02:24:15.180]  I actually like that.
[02:24:15.180 --> 02:24:16.180]  Go ahead.
[02:24:16.180 --> 02:24:18.180]  Yes, it's not bad.
[02:24:18.180 --> 02:24:23.180]  So I didn't just say that, you know, to my own, although I haven't won yet, of course,
[02:24:23.180 --> 02:24:26.180]  because it was a combination bet.
[02:24:26.180 --> 02:24:29.180]  They'll make you a mark about anything.
[02:24:29.180 --> 02:24:33.180]  You know, I was thinking about placing it back there, because it's legal for me to do it from here.
[02:24:33.180 --> 02:24:39.180]  I was thinking that I'd actually placing one on a whole bunch of stuff just for comedy potential, but go ahead.
[02:24:39.180 --> 02:24:40.180]  Yeah, it's pretty good.
[02:24:40.180 --> 02:24:57.180]  There's the reason behind it, see, I don't want to put it down on things, but the reason I predicted Brexit and Trump president is because the establishment are in a negative reinforcement phase, I believe.
[02:24:57.180 --> 02:25:02.180]  And so, and it is their pick.
[02:25:02.180 --> 02:25:06.180]  So they wanted the Brexit and they want Trump.
[02:25:06.180 --> 02:25:18.180]  Oh, I think you're saying they're engaging in complex psychology moves to like do everything against Trump to make it look like they actually hating, but in truth, they want it.
[02:25:18.180 --> 02:25:19.180]  Yeah.
[02:25:19.180 --> 02:25:21.180]  Well, how will see for sure.
[02:25:21.180 --> 02:25:23.180]  And we saw this with Brexit.
[02:25:23.180 --> 02:25:28.180]  Queen came out and said she wanted Brexit and there are loads of establishment.
[02:25:28.180 --> 02:25:34.180]  But while the media was bashing the idea of Brexit, it was a very clear sort of strategy.
[02:25:34.180 --> 02:25:40.180]  And what we're going to have to become, if I'm correct, is the media will be still attacking Trump.
[02:25:40.180 --> 02:25:46.180]  But the subtext of the storylines will be bad news about the economy.
[02:25:46.180 --> 02:25:48.180]  Bad news about immigration.
[02:25:48.180 --> 02:25:51.180]  Bad news about terms of the attacks.
[02:25:51.180 --> 02:25:54.180]  This is a very sophisticated point you raised, Tom.
[02:25:54.180 --> 02:26:03.180]  And I'll be honest, this is the type of thing keeps me up at night wondering if I've been suckered, wondering if this is all a great deception, because the economy declines right before Trump's about to get in.
[02:26:03.180 --> 02:26:07.180]  That shows that they're wanting to get him in some claim.
[02:26:07.180 --> 02:26:15.180]  The way the media is doing outrageous stuff and just doing things that look absolutely ridiculous would be something that would make Trump get in.
[02:26:15.180 --> 02:26:17.180]  And I would agree with that.
[02:26:17.180 --> 02:26:19.180]  But they genuinely are panicking.
[02:26:19.180 --> 02:26:21.180]  We have their internal emails.
[02:26:21.180 --> 02:26:26.180]  Some of these, I don't want to get into details, but we know somebody else didn't hack this and give it to us.
[02:26:26.180 --> 02:26:28.180]  Okay, let me just stop right there.
[02:26:28.180 --> 02:26:31.180]  I mean, some of this humid was gathered by yours truly himself.
[02:26:31.180 --> 02:26:34.180]  And let me tell you, behind the scenes, they're crapping their britches.
[02:26:34.180 --> 02:26:36.180]  So I don't think they're that sophisticated.
[02:26:36.180 --> 02:26:40.180]  I think they'll try to spin and make lemonade with lemons if Trump gets in.
[02:26:40.180 --> 02:26:45.180]  I think Brexit was like 10, 15 points higher than what we actually saw.
[02:26:45.180 --> 02:26:53.180]  I think we're seeing the arrogance of tyrants, just like we saw the arrogance of Hitler or the arrogance of other tyrants in history.
[02:26:53.180 --> 02:27:00.180]  I really think we're seeing a biting off more than you can chew of a vent here.
[02:27:00.180 --> 02:27:04.180]  I think, well, the media aren't controlled on a micro level.
[02:27:04.180 --> 02:27:06.180]  They're controlled on a more sort of macro level.
[02:27:06.180 --> 02:27:09.180]  And most of them are sort of wind up toy.
[02:27:09.180 --> 02:27:13.180]  So they'll do what they do.
[02:27:13.180 --> 02:27:15.180]  But they're sort of putting this...
[02:27:15.180 --> 02:27:16.180]  Okay, let me ask you this.
[02:27:16.180 --> 02:27:28.180]  Why would the Russian hardliners and the Russian nationalists be supporting Trump when the globalists are covertly supporting Trump, if you're correct?
[02:27:28.180 --> 02:27:32.180]  Because I think the Russian globalist split is real.
[02:27:32.180 --> 02:27:43.180]  Well, I think what's going on with part of the Russian landscape supporting Trump is that they are seeing what we tend to be seeing.
[02:27:43.180 --> 02:27:45.180]  Oh, you think the Russians are buying it?
[02:27:45.180 --> 02:27:46.180]  Okay.
[02:27:46.180 --> 02:27:47.180]  Well, no.
[02:27:47.180 --> 02:27:49.180]  At some level, they are buying it.
[02:27:49.180 --> 02:27:54.180]  Yeah, I think in the same way as our media are buying it.
[02:27:54.180 --> 02:27:59.180]  The Russian intelligence agencies have put out reports and they've said, look, we hope for Trump.
[02:27:59.180 --> 02:28:02.180]  We don't think he's actually out to get us like Hillary is, which is true.
[02:28:02.180 --> 02:28:06.180]  But we know the same power structure is in place, so we're not hoping for much better.
[02:28:06.180 --> 02:28:08.180]  So whatever happens, we're staying out of it.
[02:28:08.180 --> 02:28:11.180]  I think for all intents and purposes, the Russians have stayed out of it.
[02:28:11.180 --> 02:28:15.180]  But I think there's a little bit bigger stuff going on here.
[02:28:15.180 --> 02:28:16.180]  Let me ask you this.
[02:28:16.180 --> 02:28:24.180]  Do you think Trump is BSing people when he covers info or stories?
[02:28:24.180 --> 02:28:26.180]  I mean, do you think Trump's an agent?
[02:28:26.180 --> 02:28:28.180]  I don't think Trump's an agent.
[02:28:28.180 --> 02:28:30.180]  I think he seems like a pretty nice guy.
[02:28:30.180 --> 02:28:32.180]  I mean, there's no way.
[02:28:32.180 --> 02:28:33.180]  Listen, I've known globalists.
[02:28:33.180 --> 02:28:35.180]  They are very cold, very arrogant.
[02:28:35.180 --> 02:28:36.180]  Trump's the opposite.
[02:28:36.180 --> 02:28:39.180]  Let me just tell you, behind the scenes, the opposite.
[02:28:39.180 --> 02:28:41.180]  He seems like a pretty nice guy.
[02:28:41.180 --> 02:28:43.180]  I've obviously never met him.
[02:28:43.180 --> 02:28:48.180]  Well, they may be delusional and think they're going to hoodwink the Brits and the Americans and the Russians.
[02:28:48.180 --> 02:28:51.180]  But let me tell you, we got those three countries against the New World Order.
[02:28:51.180 --> 02:28:53.180]  It's going to be a deep crap.
[02:28:53.180 --> 02:28:54.180]  I mean, good luck.
[02:28:54.180 --> 02:28:56.180]  That is the power.
[02:28:56.180 --> 02:29:03.180]  I mean, the UK, the United States, the Anglo-American establishment, if we seize that and we're not at war with the Russians,
[02:29:03.180 --> 02:29:06.180]  the Chinese and everybody else better watch their ass.
[02:29:06.180 --> 02:29:13.180]  And that really seems like actually the power combine we need to promote free market and a new renaissance is the United States,
[02:29:13.180 --> 02:29:19.180]  Russia and the UK allied in a new free market global system that is open and free and transparent.
[02:29:19.180 --> 02:29:21.180]  That's the type of global government I'd sign on to.
[02:29:21.180 --> 02:29:25.180]  So if you're saying they manipulated us with a bad world government to sell a good world government,
[02:29:25.180 --> 02:29:26.180]  yeah, okay, I get it.
[02:29:26.180 --> 02:29:28.180]  Is that what you're saying?
[02:29:28.180 --> 02:29:35.180]  I agree that those three countries are very important and that is why they've been targeted for destruction.
[02:29:35.180 --> 02:29:36.180]  That's right.
[02:29:36.180 --> 02:29:40.180]  And that's why they have a spirit that's never been defeated and will not be defeated.
[02:29:40.180 --> 02:29:43.180]  There's bigger things going on here, Tom.
[02:29:43.180 --> 02:29:45.180]  All right, the enemy is not invincible.
[02:29:45.180 --> 02:29:46.180]  We'll be back.
[02:29:46.180 --> 02:30:06.180]  Stay with us.
[02:30:16.180 --> 02:30:41.180]  We'll be back.
[02:30:41.180 --> 02:31:06.180]  Please listen carefully because I'm about to point out three things that will save you a lot of money.
[02:31:06.180 --> 02:31:16.180]  Number one, we give you 10% off on your order at infowarestore.com.
[02:31:16.180 --> 02:31:24.180]  Number two, you're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers.
[02:31:24.180 --> 02:31:29.180]  Number three, we're giving you free shipping on all orders above $50.
[02:31:29.180 --> 02:31:36.180]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[02:31:36.180 --> 02:31:43.180]  Just go to infowarestore.com, select your favorite product or products, click on auto ship and choose how often you want us to send you another order.
[02:31:43.180 --> 02:32:00.180]  As you know, I coined the term 360 win and with the new auto ship feature at infowarestore.com, this is a sure win.
[02:32:00.180 --> 02:32:14.180]  In the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[02:32:14.180 --> 02:32:31.180]  The young Jebedee also offers you an ingenious way to augment your income and the best part, you'll be helping your friends and family along the way.
[02:32:31.180 --> 02:32:46.180]  Help your family and neighbors in your community and make money while helping people at the same time.
[02:32:46.180 --> 02:32:52.180]  Another win-win. That's why I'm a member of the young Jebedee team at infowarestore.com and you can be too.
[02:32:52.180 --> 02:33:08.180]  And tell me how young Jebedee and the products at infowarestore.com have changed their lives. Check it out for yourself today.
[02:33:08.180 --> 02:33:24.180]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[02:33:24.180 --> 02:33:39.180]  I'm going to first go to one of our reporters that is on the street right now in New York City and a lot of folks want to talk about what they've witnessed and what they've seen.
[02:33:39.180 --> 02:33:54.180]  But then conversely, she then changed it later and said it's Donald Trump's fault. In fact, let's play that clip right now of Hillary Clinton blaming Trump saying he's giving aid and comfort to terrorists.
[02:33:54.180 --> 02:34:03.180]  The very group that had been testified in Congress, she and Obama literally created and gave the weapons to. Here it is.
[02:34:03.180 --> 02:34:18.180]  We know that a lot of the rhetoric we've heard from Donald Trump has been seized on by terrorists, in particular ISIS, because they are looking to make this into a war against Islam.
[02:34:18.180 --> 02:34:38.180]  Rather than a war against jihadists, violent terrorists, people who number in the maybe tens of thousands, not the tens of millions, they want to use that to recruit more fighters to their cause by turning it into a religious conflict.
[02:34:38.180 --> 02:34:49.180]  That's why I've been very clear, we're going after the bad guys and we're going to get them, but we're not going to go after an entire religion and give ISIS exactly what it's wanting.
[02:34:49.180 --> 02:34:53.180]  The very group ordered for them to enhance this position.
[02:34:53.180 --> 02:35:07.180]  Secondly, we know that Donald Trump's comments have been used online for recruitment of terrorists. We've heard that from former CIA director.
[02:35:07.180 --> 02:35:12.180]  When she first said that over a year ago, it turned out that she'd been used. She runs these groups.
[02:35:12.180 --> 02:35:18.180]  I mean, they actually take orders from her in Saudi Arabia. I mean, this woman is incredible. This is so rich.
[02:35:18.180 --> 02:35:30.180]  But we've gone from it isn't a terrorist attack, it isn't a bombing, to now it's Donald Trump's fault for the terrorist attack.
[02:35:30.180 --> 02:35:41.180]  So let's go back to this witch who thanked God. The hand of doom is now equalizing, showing her justice.
[02:35:41.180 --> 02:35:49.180]  Just keep praying for justice against Hillary. No harm, just God, however God's plan works, that Hillary be brought to justice.
[02:35:49.180 --> 02:35:56.180]  And that all of us be brought to justice. Pray for justice against the wicked ones. And we're all wicked, aren't we, Hillary?
[02:35:56.180 --> 02:36:02.180]  We've all got dark hearts. I know I have a dark heart. You think yours is pretty, don't you, sweetheart?
[02:36:02.180 --> 02:36:05.180]  Let's go ahead and place the rest of sweetheart.
[02:36:05.180 --> 02:36:14.180]  You made it a very clear point when he said Donald Trump is being used as a recruiting sergeant for the terrorists.
[02:36:14.180 --> 02:36:24.180]  We also know from the former head of our Counterterrorism Center, Matt Olson, that the kinds of rhetoric and language that Mr. Trump is using...
[02:36:24.180 --> 02:36:29.180]  It's like blaming Benghazi on the YouTube video that didn't exist. This woman is a liar. She's on record.
[02:36:29.180 --> 02:36:34.180]  We've had all the people on General Flynn's come out. They were ordered to aid Al Qaeda.
[02:36:34.180 --> 02:36:41.180]  General Flynn said no, sort of working with the Russians. Our own military was forced to go to the Russians to stop ISIS and Al Qaeda.
[02:36:41.180 --> 02:36:48.180]  This is a soft coup. It happened. Good job, our military, because our government's been hijacked by offshore globalists.
[02:36:48.180 --> 02:36:54.180]  Owen Schreuer, amazing reporter from FullWars.com. They're with the great Michael Zimmerman as well.
[02:36:54.180 --> 02:36:58.180]  Later, I want to get Michael Zimmerman to pop in if he can some when David Knight's coming up to take over.
[02:36:58.180 --> 02:37:04.180]  So much has happened. Breakdown the latest. They found the reported bomber. There's another sleeper cell.
[02:37:04.180 --> 02:37:09.180]  They've arrested five others allegedly connected. He's now shot two police officers.
[02:37:09.180 --> 02:37:14.180]  I'm going to be honest. Why the hell did they let him even get those shots off when they knew who he was and had him cornered?
[02:37:14.180 --> 02:37:23.180]  This is a foreign military officer, folks. That's who these people are. They don't have the same rights as American citizens. I'm sorry. I'm just done.
[02:37:23.180 --> 02:37:25.180]  Owen, go ahead.
[02:37:25.180 --> 02:37:33.180]  Well, we're standing here just outside of where the explosion went off. And as you just illustrated, it's amazing how, you know, they're going to blame Trump.
[02:37:33.180 --> 02:37:38.180]  It's like they want to blame Trump for everything. They don't want to actually look for the issues. They don't want to talk about the real issues.
[02:37:38.180 --> 02:37:47.180]  They just take the real issues and then spin it and blame Donald Trump. But I love that point you just made where we went from, this is not a terrorist attack.
[02:37:47.180 --> 02:37:53.180]  This is not a bombing to, oh, Donald Trump is responsible for this terrorist bombing in New York. It's amazing how they just spin it like that.
[02:37:53.180 --> 02:37:59.180]  And it's sad that there's so many weak-minded Americans that just fall for it hook, line, and sinker.
[02:37:59.180 --> 02:38:06.180]  I got to be honest. It actually makes me go crazy to like see her say, yeah, the bombings in New Jersey and New York, and it's wrong.
[02:38:06.180 --> 02:38:13.180]  He's calling them bombings. It's like, these people are like, either they're the biggest scum in the world or we're the dumbest people in the world.
[02:38:13.180 --> 02:38:20.180]  Well, and Alex, we got the response. We were shooting the videos. We were asking people what they thought about Hillary criticizing Trump for saying it's a bomb.
[02:38:20.180 --> 02:38:26.180]  And people are looking me like I'm crazy. They're like, what are you talking about? It's a bomb. Like what? Is grass green? Is the sky blue? Is rain wet?
[02:38:26.180 --> 02:38:33.180]  Yeah, it was a bomb. But we did find actually some Hillary supporters that somehow, you know, they managed to sneak around the fact it was a bomb.
[02:38:33.180 --> 02:38:40.180]  They're saying, oh, well, Trump said it too soon. You know, he shouldn't have said it. How dare he? That's not tolerant. We need to wait and see.
[02:38:40.180 --> 02:38:47.180]  No, a bomb is a bomb. Okay, you call it as you see it. Why do people hate the fact that Donald Trump calls it as they see it? This is what they would want.
[02:38:47.180 --> 02:38:50.180]  We want in leaders that are decisive.
[02:38:50.180 --> 02:39:00.180]  And so here's what they're going to do then, right? They're going to let all of these people come here from these radical Islamic countries that are war-torn, which we're responsible for.
[02:39:00.180 --> 02:39:06.180]  We've been reporting on this, but they're going to bring them all in. We're going to be reporting on how this is going on.
[02:39:06.180 --> 02:39:12.180]  And then they're going to say, oh, well, you need to be tolerant. So what? We're just going to wait until terrorist attacks happen every day.
[02:39:12.180 --> 02:39:16.180]  And then we can talk about radical Islamic terror. That's what the liberals want. They want to...
[02:39:16.180 --> 02:39:23.180]  Well, it's crazy whether it's a nightclub shooting, killing 50-plus, or the niece killing 90-plus. They keep saying it's not terror as long as they can.
[02:39:23.180 --> 02:39:31.180]  And then it comes out it was discrediting, but they're so delusional thinking they're the only media that counts. They don't get that they're destroying themselves.
[02:39:31.180 --> 02:39:40.180]  Just a year ago, AP said mainstream media had a 15% trust rate. It's 6% now. I mean, don't they get it? Let's talk to some of these crew out there.
[02:39:40.180 --> 02:39:44.180]  Let's talk to some of the people on the streets of New York. Tell us where you are.
[02:39:44.180 --> 02:39:51.180]  We are right outside. We're at 6th and 23rd. If you can see right down here, actually, the fire department is right here.
[02:39:51.180 --> 02:40:00.180]  They're trying to knock out some of these busted windows before they start to replace them. You can see that there's a church right there that had all of its windows blown out during the explosion.
[02:40:00.180 --> 02:40:05.180]  I wonder if that had anything to do with it. But you want us to talk to some of these people here, Alex?
[02:40:05.180 --> 02:40:06.180]  Absolutely.
[02:40:06.180 --> 02:40:08.180]  All right. You want us to see what they think about Hillary?
[02:40:08.180 --> 02:40:09.180]  Yes.
[02:40:09.180 --> 02:40:11.180]  Do you mind talking, ma'am?
[02:40:11.180 --> 02:40:12.180]  I don't care. Don't want me.
[02:40:12.180 --> 02:40:15.180]  What do you think about Hillary Clinton criticizing Trump for calling it a bomb?
[02:40:15.180 --> 02:40:23.180]  First of all, Hillary, for one thing, she's entitled to her opinion. Number one. Number two, Donald Trump is no bargain.
[02:40:23.180 --> 02:40:25.180]  Donald Trump is a lot worse than what she said.
[02:40:25.180 --> 02:40:27.180]  So are you going to vote for Hillary?
[02:40:27.180 --> 02:40:30.180]  She's for women's rights. I would say yes.
[02:40:30.180 --> 02:40:33.180]  So you think she's for women's rights. She says that you want to be able to...
[02:40:33.180 --> 02:40:40.180]  But as far as I'm concerned, as what she said with Donald Trump's reporters, okay, she's a little bit on the wrong.
[02:40:40.180 --> 02:40:46.180]  I agree 1,000 percent. But as far as I'm concerned, but for her also speaking her opinion,
[02:40:46.180 --> 02:40:52.180]  I think she should be entitled to her opinion as for...
[02:40:52.180 --> 02:40:53.180]  As concerned as...
[02:40:53.180 --> 02:40:56.180]  Ask her about supporting Islam. What she thinks about that? Is that good for women?
[02:40:56.180 --> 02:40:57.180]  Medicaid and all that stuff together.
[02:40:57.180 --> 02:41:06.180]  But as far as her with the Donald Trump incident, I would say she's wrong on that behalf.
[02:41:06.180 --> 02:41:11.180]  Well, let me ask you this real quick, because Hillary wants to bring in more people from these Muslim countries
[02:41:11.180 --> 02:41:14.180]  where they don't treat women with respect. What do you think about that for women's rights?
[02:41:14.180 --> 02:41:20.180]  Well, for one thing, that's the way it's going to be going way too far.
[02:41:20.180 --> 02:41:22.180]  If she wants to go forward...
[02:41:22.180 --> 02:41:30.180]  If she says what she says about supporting Democrats, taking care of people that are here,
[02:41:30.180 --> 02:41:36.180]  instead of bringing people to Muslims or the United States, and then this happens.
[02:41:36.180 --> 02:41:40.180]  How do you know the people that you're bringing in is going to go and do the next bombing?
[02:41:40.180 --> 02:41:44.180]  How do you know if the bombing is not going to be under the train station or buses?
[02:41:44.180 --> 02:41:45.180]  I take the subway...
[02:41:45.180 --> 02:41:50.180]  Or 80 percent of men on welfare. That's my big problem. Tell her thanks. Next person. Nice lady.
[02:41:50.180 --> 02:41:52.180]  Sorry, we got to cut. Thank you for your time, ma'am.
[02:41:52.180 --> 02:41:54.180]  You want to talk to someone else, Alex?
[02:41:54.180 --> 02:41:55.180]  Yes, keep going. Take over.
[02:41:55.180 --> 02:41:57.180]  All right, sir, you mind answering some questions?
[02:41:57.180 --> 02:41:58.180]  Yeah.
[02:41:58.180 --> 02:42:03.180]  What do you think about Hillary Clinton criticizing Donald Trump for calling this a bombing?
[02:42:03.180 --> 02:42:07.180]  Oh, I don't know about that, because something I don't know...
[02:42:07.180 --> 02:42:09.180]  I can't say nothing about that.
[02:42:09.180 --> 02:42:11.180]  No, you're not. It's just something.
[02:42:11.180 --> 02:42:13.180]  I know nothing.
[02:42:13.180 --> 02:42:15.180]  You think it was a bombing, though, right?
[02:42:15.180 --> 02:42:17.180]  I don't think so.
[02:42:17.180 --> 02:42:21.180]  Well, the government has admitted it was a terrorist bomb.
[02:42:21.180 --> 02:42:22.180]  I don't think so.
[02:42:22.180 --> 02:42:25.180]  Go talk to that pseudo-intellectual guy behind you.
[02:42:25.180 --> 02:42:26.180]  I don't know.
[02:42:26.180 --> 02:42:28.180]  I don't know exactly what happened.
[02:42:28.180 --> 02:42:29.180]  To the white-haired pseudo-intellectual?
[02:42:29.180 --> 02:42:31.180]  Yeah, yeah, I see him. I see him.
[02:42:31.180 --> 02:42:33.180]  Excuse me, sir, do you mind answering a quick question?
[02:42:33.180 --> 02:42:38.180]  What do you think about Hillary Clinton criticizing Donald Trump for calling this a bombing?
[02:42:38.180 --> 02:42:40.180]  Well, it was a bombing.
[02:42:40.180 --> 02:42:42.180]  And so that...
[02:42:42.180 --> 02:42:45.180]  So you think, what, is he just a liar or crazy?
[02:42:45.180 --> 02:42:49.180]  I think she spoke before she had the proper information, didn't she, Alex?
[02:42:49.180 --> 02:42:50.180]  See, I'm calling him a trending...
[02:42:50.180 --> 02:42:52.180]  This is New York. He's a smart guy. I apologize.
[02:42:52.180 --> 02:42:54.180]  That's actually true. Good point, sir. Thank you for your time.
[02:42:54.180 --> 02:42:55.180]  Let's talk to the genius.
[02:42:55.180 --> 02:42:58.180]  This woman does not like Hillary. What do you think about Hillary Clinton?
[02:42:58.180 --> 02:43:00.180]  I don't like her. And I think it was wrong.
[02:43:00.180 --> 02:43:05.180]  Donald Trump trumped her on calling it a bomb, exactly what it is.
[02:43:05.180 --> 02:43:07.180]  Thank you, ma'am. Thank you.
[02:43:07.180 --> 02:43:08.180]  Who do you want me to talk to, Alex?
[02:43:08.180 --> 02:43:09.180]  I don't know. I shouldn't be mean.
[02:43:09.180 --> 02:43:11.180]  The guy kind of looked liberal and he was actually in the real world.
[02:43:11.180 --> 02:43:13.180]  Yeah, he actually looked liberal.
[02:43:13.180 --> 02:43:15.180]  We talked to Democrats. I'm not being mean. They can't talk.
[02:43:15.180 --> 02:43:16.180]  They don't know what planet they're on.
[02:43:16.180 --> 02:43:18.180]  Let's talk to some more of them.
[02:43:18.180 --> 02:43:20.180]  We'll talk to Republicans. They're like smart. I mean, I'm sorry. Go ahead.
[02:43:20.180 --> 02:43:24.180]  Look at this, Alex. This is a dynamic that we have illustrated and anybody can witness.
[02:43:24.180 --> 02:43:28.180]  If you talk to Donald Trump supporters, they want political discourse.
[02:43:28.180 --> 02:43:29.180]  They want to engage in debate.
[02:43:29.180 --> 02:43:33.180]  If you talk to Hillary Clinton supporters, as soon as you disagree, they run away.
[02:43:33.180 --> 02:43:35.180]  Well, it's worse than that. I mean, they don't even know what planet they're on.
[02:43:35.180 --> 02:43:38.180]  They go, no, this was not a bombing. It's now admitted to be a bombing.
[02:43:38.180 --> 02:43:42.180]  The guy says, no, it's not a bombing. He knows to go along with the system.
[02:43:42.180 --> 02:43:44.180]  That's what he's actually doing. But here's what I'm getting at.
[02:43:44.180 --> 02:43:47.180]  This isn't, when we do this or Mark Dice does it, people think we're editing it.
[02:43:47.180 --> 02:43:52.180]  This is live right now on radio and TV. These are the Democrats we're talking to.
[02:43:52.180 --> 02:43:55.180]  I would ask him if they can find their ass with both hands. Go ahead.
[02:43:55.180 --> 02:43:58.180]  What's that, sir? Hold on. Are you going to hold away?
[02:43:58.180 --> 02:44:00.180]  Are you a Hillary Clinton supporter? Absolutely.
[02:44:00.180 --> 02:44:03.180]  So what do you think about her criticizing Donald Trump for calling this a bombing?
[02:44:03.180 --> 02:44:07.180]  She's criticizing for someone for spreading information before all the facts are known.
[02:44:07.180 --> 02:44:09.180]  Hold on a second. Hold on a second.
[02:44:09.180 --> 02:44:11.180]  Two bombs in a day, dumbass.
[02:44:11.180 --> 02:44:14.180]  This guy controls reality. Look at this pinhead.
[02:44:14.180 --> 02:44:15.180]  Hold on, sir.
[02:44:15.180 --> 02:44:17.180]  No, talk to Pinhead. Pinhead controls reality.
[02:44:17.180 --> 02:44:18.180]  Can I talk for a second?
[02:44:18.180 --> 02:44:20.180]  This is one of the brain bugs. This is one of the smarter ones.
[02:44:20.180 --> 02:44:22.180]  This guy can probably pass you like this.
