[00:00.000 --> 00:01.600]  We've got it, son.
[1:00:33.440 --> 1:00:35.680]  LBJ had four and five years.
[1:00:35.680 --> 1:00:38.520]  Nixon had one in six years.
[1:00:38.520 --> 1:00:40.200]  Ford had three and two years.
[1:00:40.200 --> 1:00:42.120]  Carter had three and four years.
[1:00:42.120 --> 1:00:43.640]  Reagan had five and eight years.
[1:00:43.640 --> 1:00:48.760]  Bush, the first, Bush 41, had three and four years.
[1:00:48.760 --> 1:00:50.560]  Clinton had 15 and eight years.
[1:00:50.560 --> 1:00:53.360]  Bush had 62 and eight years.
[1:00:53.360 --> 1:00:58.040]  Obama had 923 and three and a half years.
[1:00:58.040 --> 1:01:00.600]  And let's understand something here,
[1:01:00.600 --> 1:01:04.480]  the implications of this, what this means.
[1:01:04.480 --> 1:01:08.600]  Obama told Congress, hey, I will launch wars,
[1:01:08.600 --> 1:01:10.360]  but not on my prerogative.
[1:01:10.360 --> 1:01:11.280]  That'd be bad enough.
[1:01:11.280 --> 1:01:15.280]  No, no, the UN and NATO, I mean, it is just amazing.
[1:01:15.280 --> 1:01:17.000]  And you've got a dumbed down population.
[1:01:17.000 --> 1:01:19.080]  You ask, why are they able to do this?
[1:01:19.080 --> 1:01:23.040]  The people that do have jobs and do not tie their shoelaces,
[1:01:23.040 --> 1:01:27.160]  well, they're too smart to care about politics
[1:01:27.160 --> 1:01:28.000]  or what's going on.
[1:01:28.000 --> 1:01:31.840]  They just watch sports center and act cool all day.
[1:01:31.840 --> 1:01:33.720]  Meanwhile, have you noticed that there
[1:01:33.720 --> 1:01:36.040]  was a magical cyber attack over the weekend?
[1:01:36.040 --> 1:01:39.000]  Right as Obama's set to sign an executive order.
[1:01:39.000 --> 1:01:41.360]  That's right, Eric Blair at infowars.com reports.
[1:01:41.360 --> 1:01:46.240]  Cyber attack on US banks is an obvious false flag.
[1:01:46.240 --> 1:01:48.520]  Over a month ago, we featured an article titled
[1:01:48.520 --> 1:01:51.600]  the new order to agenda would move forward
[1:01:51.600 --> 1:01:54.880]  with this one simple act, which stated the one event
[1:01:54.880 --> 1:01:57.840]  that could accomplish all of the agenda's goals
[1:01:57.840 --> 1:02:01.440]  in one shot would be a false flag cyber attack
[1:02:01.440 --> 1:02:06.080]  on Western banking institutions that they could pin on Iran.
[1:02:06.080 --> 1:02:07.920]  Well, guess what they did at this weekend?
[1:02:07.920 --> 1:02:09.520]  That was a quote from us.
[1:02:09.520 --> 1:02:13.160]  Please watch this exact scenario unfold
[1:02:13.160 --> 1:02:16.200]  in the short ABC news clip from a few days ago.
[1:02:16.200 --> 1:02:19.080]  In fact, guys, I meant to tell you to get that clip,
[1:02:19.080 --> 1:02:20.760]  try to grab that clip if you can.
[1:02:20.760 --> 1:02:21.960]  If not, I'll cover it tomorrow,
[1:02:21.960 --> 1:02:24.160]  but this is just unbelievable.
[1:02:24.160 --> 1:02:26.840]  And then our original article that broke it all down.
[1:02:27.920 --> 1:02:29.160]  When we come back from break,
[1:02:29.160 --> 1:02:33.320]  I'm gonna hit important stack on surveillance society.
[1:02:33.320 --> 1:02:37.400]  Creepy Nestle, we will find you contest uses chip
[1:02:37.400 --> 1:02:38.320]  to track winner.
[1:02:38.320 --> 1:02:40.600]  Remember Pennsylvania had a TV ad about
[1:02:40.600 --> 1:02:42.680]  don't try to not pay your state taxes
[1:02:42.680 --> 1:02:44.240]  because we're watching you with satellites.
[1:02:44.240 --> 1:02:46.360]  Remember it zoomed in on them?
[1:02:46.360 --> 1:02:47.920]  You know, down over, I'm pretty amazing.
[1:02:47.920 --> 1:02:49.560]  We're gonna cover that.
[1:02:49.560 --> 1:02:51.480]  But I mean, you know, the globalists talk to us
[1:02:51.480 --> 1:02:52.640]  like we're five year olds.
[1:02:52.640 --> 1:02:54.440]  It's like Benjamin yet in Yahoo.
[1:02:55.560 --> 1:02:56.400]  What a Yahoo.
[1:02:56.400 --> 1:03:01.400]  He is running around over at the UN.
[1:03:02.000 --> 1:03:03.680]  And when I first, a few days ago,
[1:03:03.680 --> 1:03:05.440]  because I didn't really pay attention to it,
[1:03:05.440 --> 1:03:09.960]  saw news footage of him up there with a car to cut out
[1:03:09.960 --> 1:03:12.440]  with an ACME, Wiley Coat, bomb, you know,
[1:03:12.440 --> 1:03:14.600]  the black bomb with the fuse lit.
[1:03:14.600 --> 1:03:17.280]  I thought someone was like joking about his fear mongering
[1:03:17.280 --> 1:03:19.440]  because I heard clips of the speech on the radio,
[1:03:19.440 --> 1:03:20.440]  on news radio.
[1:03:20.440 --> 1:03:22.040]  I thought it must be a joke.
[1:03:22.920 --> 1:03:24.280]  And then later I went and looked
[1:03:24.280 --> 1:03:26.080]  and he actually went up there with a bomb and said,
[1:03:26.080 --> 1:03:30.320]  look bomb, bomb will boom, boom you.
[1:03:30.320 --> 1:03:31.760]  Bomb will get you.
[1:03:31.760 --> 1:03:33.680]  No, there's gonna be bombs
[1:03:33.680 --> 1:03:36.000]  if they are able to start this fight.
[1:03:37.200 --> 1:03:42.200]  If we're able to be manipulated into going along with this
[1:03:42.200 --> 1:03:43.040]  because they wanna do it.
[1:03:43.040 --> 1:03:44.440]  And I'm not saying Iran's good either.
[1:03:44.440 --> 1:03:46.040]  I don't like government period.
[1:03:46.040 --> 1:03:47.800]  They're all a bunch of freaks.
[1:03:47.800 --> 1:03:50.840]  But BB thinks if he gets into a big enough war,
[1:03:50.840 --> 1:03:52.440]  he'll be like the savior forever.
[1:03:56.320 --> 1:03:57.200]  So when we come back,
[1:03:57.200 --> 1:03:59.080]  we'll get into this huge surveillance grid
[1:03:59.080 --> 1:04:01.720]  the globalists are building all around us.
[1:04:01.720 --> 1:04:03.360]  The name of our safety, of course,
[1:04:03.360 --> 1:04:06.880]  but we're gonna break down microphones
[1:04:06.880 --> 1:04:08.120]  in your neighborhood, your area.
[1:04:08.120 --> 1:04:10.040]  And then we've got Dr. Glidden joining us
[1:04:10.040 --> 1:04:11.840]  to get into some really positive news.
[1:04:11.840 --> 1:04:13.440]  But it doesn't mean,
[1:04:13.440 --> 1:04:15.480]  it doesn't mean, well, you know what the wolf says
[1:04:15.480 --> 1:04:18.080]  in Pulp Fiction, you know,
[1:04:18.080 --> 1:04:19.320]  it's not done till it's done.
[1:04:19.320 --> 1:04:23.640]  Let's not start completely patting each other on the back.
[1:04:23.640 --> 1:04:25.440]  Not quite what the wolf says.
[1:04:25.440 --> 1:04:27.480]  And I'm out of control today.
[1:04:27.480 --> 1:04:29.160]  But we're gonna be getting to LA Times says,
[1:04:29.160 --> 1:04:32.040]  Proposition 37, likely to pass.
[1:04:32.040 --> 1:04:34.120]  Hey, I'm a throwback.
[1:04:34.120 --> 1:04:35.320]  I'm kind of a caveman.
[1:04:36.280 --> 1:04:37.600]  I like freedom.
[1:04:37.600 --> 1:04:38.960]  And I guess it's in my blood.
[1:04:38.960 --> 1:04:41.240]  I'm not bragging, but I am proud of my background.
[1:04:41.240 --> 1:04:43.560]  I mean, you name it, every revolution for freedom.
[1:04:43.560 --> 1:04:45.920]  Even before my family got here on the Mayflower
[1:04:45.920 --> 1:04:48.960]  or at the heart of the Texas Revolution,
[1:04:48.960 --> 1:04:51.920]  raising Colonel Travis's son, the list goes on and on.
[1:04:51.920 --> 1:04:54.640]  My family has always been stomping tyrants
[1:04:54.640 --> 1:04:56.600]  into the ground and I'm doing it now.
[1:04:56.600 --> 1:05:01.600]  If you want an American company with American products
[1:05:02.800 --> 1:05:07.320]  made by Americans, here is the Calben Soap Company.
[1:05:07.320 --> 1:05:10.480]  Alex and his staff have used these pure soap products
[1:05:10.480 --> 1:05:11.520]  for years.
[1:05:11.520 --> 1:05:13.480]  These all-natural soaps are made
[1:05:13.480 --> 1:05:16.400]  from the highest quality vegetable and coconut oils
[1:05:16.400 --> 1:05:18.800]  that are earth-friendly and safe.
[1:05:18.800 --> 1:05:21.800]  See them on the web at fivestarssoap.com
[1:05:21.800 --> 1:05:26.480]  or call 800-340-7091 for a free catalog.
[1:05:26.480 --> 1:05:28.920]  Buy the one-to-two-month sample package
[1:05:28.920 --> 1:05:31.120]  and enjoy soaps that are twice as good
[1:05:31.120 --> 1:05:33.760]  as what you're using now, or save big
[1:05:33.760 --> 1:05:36.000]  with a one-to-two-year supply of soaps
[1:05:36.000 --> 1:05:37.800]  for all your cleaning needs.
[1:05:37.800 --> 1:05:39.800]  This is an amazing deal.
[1:05:39.800 --> 1:05:41.680]  You can save thousands of dollars
[1:05:41.680 --> 1:05:45.040]  and you will love the way real soap makes you feel.
[1:05:45.040 --> 1:05:47.760]  See them on the web at fivestarsope.com
[1:05:47.760 --> 1:05:57.760]  or call 800-340-7091 for a free catalog.
[1:06:05.840 --> 1:06:10.240]  Leading a frontal assault on the lies of the New World Order,
[1:06:10.240 --> 1:06:26.240]  it's Alex Jones on the GCN Radio Network.
[1:06:26.240 --> 1:06:27.240]  Bomber!
[1:06:27.240 --> 1:06:28.240]  You got Obama phone?
[1:06:28.240 --> 1:06:31.240]  Yes, everybody in Cleveland, low-bomber!
[1:06:31.240 --> 1:06:32.240]  You got Obama phone?
[1:06:32.240 --> 1:06:34.240]  Yes, everybody in Cleveland, low-minority,
[1:06:34.240 --> 1:06:36.240]  got Obama phone.
[1:06:36.240 --> 1:06:38.240]  Keep Obama in president, you know?
[1:06:38.240 --> 1:06:40.240]  He gave us a phone?
[1:06:40.240 --> 1:06:41.240]  He gave you a phone.
[1:06:41.240 --> 1:06:42.240]  How do you give you a phone?
[1:06:42.240 --> 1:06:44.240]  You sign up if you're on full stamps,
[1:06:44.240 --> 1:06:47.240]  you're on social security, you got low income,
[1:06:47.240 --> 1:06:48.240]  you just don't get in.
[1:06:48.240 --> 1:06:50.240]  All right, welcome back.
[1:06:50.240 --> 1:06:52.240]  We are into hour number two here in the next segment.
[1:06:52.240 --> 1:06:54.240]  We've got Dr. Peter Glitton joining us
[1:06:54.240 --> 1:06:56.240]  to talk about some good news.
[1:06:56.240 --> 1:06:58.240]  LA Times and others report that the polls show,
[1:06:58.240 --> 1:07:00.240]  scientific polls, two to one,
[1:07:00.240 --> 1:07:03.240]  for Prop 37 to just allow labeling
[1:07:03.240 --> 1:07:07.240]  of the stinking GMO so we can make a decision.
[1:07:07.240 --> 1:07:09.240]  It's got the fat, it's got the trans fats,
[1:07:09.240 --> 1:07:11.240]  it's got the vitamins, the minerals.
[1:07:11.240 --> 1:07:13.240]  Can I find out if that's got a grasshopper
[1:07:13.240 --> 1:07:14.240]  or cockroach genes in it,
[1:07:14.240 --> 1:07:16.240]  or if it's growing its own pesticides
[1:07:16.240 --> 1:07:17.240]  so bugs can't eat it,
[1:07:17.240 --> 1:07:19.240]  or if it's been sprayed with sodium fluoride,
[1:07:19.240 --> 1:07:20.240]  which is a pesticide.
[1:07:20.240 --> 1:07:22.240]  I mean, can I find out?
[1:07:22.240 --> 1:07:25.240]  Can I find out if there's a growth hormone in that milk?
[1:07:25.240 --> 1:07:27.240]  I don't want my daughter to be eight feet tall
[1:07:27.240 --> 1:07:29.240]  going to puberty at age three.
[1:07:29.240 --> 1:07:31.240]  Some girls at age three are going into it now
[1:07:31.240 --> 1:07:33.240]  or get breast cancer at 12.
[1:07:33.240 --> 1:07:36.240]  So that's coming up with Dr. Peter Glitton in a moment.
[1:07:36.240 --> 1:07:38.240]  Let me get into this, though,
[1:07:38.240 --> 1:07:40.240]  because you know about the Nanny State.
[1:07:40.240 --> 1:07:43.240]  In my film, Police State 2000,
[1:07:43.240 --> 1:07:46.240]  that I released in early 1999,
[1:07:46.240 --> 1:07:49.240]  my first big hit film, one of the first hits online,
[1:07:49.240 --> 1:07:52.240]  it was seen millions of times back in 2000
[1:07:52.240 --> 1:07:54.240]  when hardly anybody was really streaming video
[1:07:54.240 --> 1:07:55.240]  or watching video online,
[1:07:55.240 --> 1:07:58.240]  just letting you know it's one of our first underground hits.
[1:07:58.240 --> 1:08:00.240]  It's free online today, Police State 2000,
[1:08:00.240 --> 1:08:02.240]  full two-hour film.
[1:08:02.240 --> 1:08:04.240]  But the point is, you know,
[1:08:04.240 --> 1:08:06.240]  it shows troops all over the country
[1:08:06.240 --> 1:08:08.240]  training to confiscate your guns on video
[1:08:08.240 --> 1:08:10.240]  and admitting it, you know, stuff like that.
[1:08:10.240 --> 1:08:13.240]  And we show the Austin America statesman
[1:08:13.240 --> 1:08:16.240]  talking about an $800,000, $844,000
[1:08:16.240 --> 1:08:19.240]  grand to put gunshot detectors in.
[1:08:19.240 --> 1:08:21.240]  So I went and looked up the name of the company,
[1:08:21.240 --> 1:08:23.240]  went and found their online site,
[1:08:23.240 --> 1:08:25.240]  covered it on the radio at the time,
[1:08:25.240 --> 1:08:27.240]  in 1999,
[1:08:27.240 --> 1:08:31.240]  and I show that in the film.
[1:08:31.240 --> 1:08:32.240]  I'm telling you about that
[1:08:32.240 --> 1:08:34.240]  because you can go watch the film and see
[1:08:34.240 --> 1:08:37.240]  the film scan of the newspaper,
[1:08:37.240 --> 1:08:40.240]  front page, metro and state.
[1:08:40.240 --> 1:08:42.240]  And they just admitted, oh, by the way,
[1:08:42.240 --> 1:08:44.240]  it's got microphones,
[1:08:44.240 --> 1:08:46.240]  and we are listening to you with them.
[1:08:46.240 --> 1:08:48.240]  Now, did you ever, in your town,
[1:08:48.240 --> 1:08:50.240]  as they put them in every major city since then,
[1:08:50.240 --> 1:08:51.240]  Austin wasn't the first.
[1:08:51.240 --> 1:08:53.240]  We're a small town compared to Chicago, New York, L.A.,
[1:08:53.240 --> 1:08:55.240]  they had them even before that.
[1:08:55.240 --> 1:08:58.240]  Now, some big cities have billions of dollars,
[1:08:58.240 --> 1:09:01.240]  not millions, billions of dollars.
[1:09:01.240 --> 1:09:03.240]  New York has $2 billion.
[1:09:03.240 --> 1:09:05.240]  Last time I checked in microphones,
[1:09:05.240 --> 1:09:07.240]  in one microphone rollout,
[1:09:07.240 --> 1:09:11.240]  what, seven years ago, was $2 billion.
[1:09:11.240 --> 1:09:13.240]  $2 billion.
[1:09:13.240 --> 1:09:15.240]  You ever hear about anybody getting arrested?
[1:09:15.240 --> 1:09:17.240]  Does the microphone herd the gunshot?
[1:09:17.240 --> 1:09:19.240]  They call them a gunshot detector.
[1:09:19.240 --> 1:09:21.240]  Well, it turns out, my parents,
[1:09:21.240 --> 1:09:23.240]  I was over at their house last night,
[1:09:23.240 --> 1:09:24.240]  and my dad said, yeah,
[1:09:24.240 --> 1:09:26.240]  they're pulling the street lights down around here.
[1:09:26.240 --> 1:09:28.240]  They don't work as good, and they put in smart ones.
[1:09:28.240 --> 1:09:30.240]  So I went out there, this was nighttime last time,
[1:09:30.240 --> 1:09:31.240]  back over there today.
[1:09:31.240 --> 1:09:32.240]  I went over and looked down.
[1:09:32.240 --> 1:09:33.240]  I'm going to do a piece on this.
[1:09:33.240 --> 1:09:34.240]  And you know what?
[1:09:34.240 --> 1:09:36.240]  It's one of the companies that's got the smart system
[1:09:36.240 --> 1:09:37.240]  that listens to you.
[1:09:37.240 --> 1:09:40.240]  And I noticed it's wired into the cable.
[1:09:40.240 --> 1:09:43.240]  Time Warner cable, just like your Tivo is,
[1:09:43.240 --> 1:09:45.240]  can contract you and watch you and listen to your
[1:09:45.240 --> 1:09:46.240]  Scientific Atlantic cable box.
[1:09:46.240 --> 1:09:48.240]  They admit they're watching and listening to you.
[1:09:48.240 --> 1:09:50.240]  They go, it's all right, computers are doing it.
[1:09:50.240 --> 1:09:54.240]  And if you read about the IntelliStreet system,
[1:09:54.240 --> 1:09:57.240]  they say, well, it's to keep you safe.
[1:09:57.240 --> 1:09:59.240]  It's to keep you safe.
[1:09:59.240 --> 1:10:03.240]  The computer, it knows sounds of distress and things.
[1:10:03.240 --> 1:10:05.240]  And then it dials through to the Threat Fusion Center
[1:10:05.240 --> 1:10:07.240]  and then calls the police on you.
[1:10:07.240 --> 1:10:09.240]  But you notice no one's ever really told
[1:10:09.240 --> 1:10:10.240]  about this being out there.
[1:10:10.240 --> 1:10:12.240]  Sure, the company's bragged.
[1:10:12.240 --> 1:10:14.240]  There's government funds.
[1:10:14.240 --> 1:10:16.240]  If you're watching at PrismPlanet.tv,
[1:10:16.240 --> 1:10:19.240]  I'm showing you just one company, IntelliStreets,
[1:10:19.240 --> 1:10:22.240]  showing how they have cameras, microphones.
[1:10:22.240 --> 1:10:26.240]  It tells them when to come replace the bulb.
[1:10:26.240 --> 1:10:29.240]  And turns out my dad talked to them while they were installing it
[1:10:29.240 --> 1:10:31.240]  and they were quite proud of all this.
[1:10:31.240 --> 1:10:33.240]  But remember when I air this report,
[1:10:33.240 --> 1:10:36.240]  I will be the bad man for telling you
[1:10:36.240 --> 1:10:39.240]  that your Streetlight's watching and listening to you.
[1:10:39.240 --> 1:10:46.240]  Listen to this.
[1:10:46.240 --> 1:10:47.240]  I'm sitting there reading.
[1:10:47.240 --> 1:10:51.240]  It says, Streetlight, auto cell control,
[1:10:51.240 --> 1:10:54.240]  100% dimming on demand light,
[1:10:54.240 --> 1:10:56.240]  wireless dual band mesh transceiver.
[1:10:56.240 --> 1:10:58.240]  This is hooked into the cable box.
[1:10:58.240 --> 1:11:04.240]  App-based wireless control, microphones, speakers.
[1:11:04.240 --> 1:11:07.240]  Let me just go over their press release for you here.
[1:11:07.240 --> 1:11:11.240]  Federally funded Streetlight's capable of recording conversations.
[1:11:11.240 --> 1:11:13.240]  Now that's from their own site.
[1:11:13.240 --> 1:11:15.240]  Talking surveillance cameras coming to the U.S.
[1:11:15.240 --> 1:11:17.240]  Yeah, they also shout orders.
[1:11:17.240 --> 1:11:19.240]  They already have them in England.
[1:11:19.240 --> 1:11:22.240]  So there are the articles you can go link through.
[1:11:22.240 --> 1:11:24.240]  And since we talked about it,
[1:11:24.240 --> 1:11:26.240]  they pulled down a lot of the stuff about recording and cameras.
[1:11:26.240 --> 1:11:28.240]  But it's all admitted.
[1:11:28.240 --> 1:11:31.240]  Now, with that said, let me play this though,
[1:11:31.240 --> 1:11:32.240]  because they're conditioning everybody.
[1:11:32.240 --> 1:11:39.240]  The CIA, along with the former L.A. police chief,
[1:11:39.240 --> 1:11:42.240]  I saw this on History Channel one time,
[1:11:42.240 --> 1:11:44.240]  admitted that they ran the show SWAT,
[1:11:44.240 --> 1:11:47.240]  showing SWAT guys to militarize police
[1:11:47.240 --> 1:11:49.240]  so all cops would then want to be SWAT
[1:11:49.240 --> 1:11:51.240]  and then treat us like we're the enemy.
[1:11:51.240 --> 1:11:53.240]  All the officials, their authorities,
[1:11:53.240 --> 1:11:55.240]  we're civilians and they're fighting us, the enemy.
[1:11:55.240 --> 1:11:57.240]  At least that's the conversion they're trying to have.
[1:11:57.240 --> 1:11:59.240]  And I think that police chiefs admit
[1:11:59.240 --> 1:12:01.240]  that they wear the black uniforms to intimidate us.
[1:12:01.240 --> 1:12:06.240]  Creepy, nasty, We'll Find You contest uses CHIP to track winner.
[1:12:06.240 --> 1:12:10.240]  And it shows SWAT teams coming and snatching and grabbing a man
[1:12:10.240 --> 1:12:13.240]  out of the store, another man off of the street,
[1:12:13.240 --> 1:12:17.240]  and see it's fun to be snatched and grabbed.
[1:12:17.240 --> 1:12:21.240]  And we've noticed that G20 events in Canada, in the U.S.,
[1:12:21.240 --> 1:12:24.240]  and in England, and in Italy,
[1:12:24.240 --> 1:12:27.240]  that they have men in U.S. military uniforms
[1:12:27.240 --> 1:12:29.240]  or the host country uniforms being on the nation,
[1:12:29.240 --> 1:12:31.240]  there's footage of this, that jump out of cars
[1:12:31.240 --> 1:12:35.240]  and grab role players in front of people just to scare people,
[1:12:35.240 --> 1:12:38.240]  but also they later admitted to see if the media
[1:12:38.240 --> 1:12:40.240]  picks up on citizens disappearing.
[1:12:40.240 --> 1:12:41.240]  And the media doesn't.
[1:12:41.240 --> 1:12:44.240]  I mean, there were a few articles about men in uniforms
[1:12:44.240 --> 1:12:46.240]  disappear protesters, but the media was like,
[1:12:46.240 --> 1:12:47.240]  well, it's probably good.
[1:12:47.240 --> 1:12:49.240]  And it was all just a show.
[1:12:49.240 --> 1:12:53.240]  See, it's all psychological warfare to test and probe you,
[1:12:53.240 --> 1:12:54.240]  the enemy.
[1:12:54.240 --> 1:12:56.240]  Because foreign banks brag in every major publication,
[1:12:56.240 --> 1:12:58.240]  they captured the United States.
[1:12:58.240 --> 1:13:00.240]  And let's go ahead and play the creepy,
[1:13:00.240 --> 1:13:03.240]  nasty, We Will Find You contest.
[1:13:03.240 --> 1:13:27.240]  Here is that clip.
[1:13:33.240 --> 1:13:35.240]  We Will Find You with 10,000 Pounds.
[1:14:03.240 --> 1:14:05.240]  Pennsylvania TV ad saying,
[1:14:05.240 --> 1:14:07.240]  you better pay your state taxes.
[1:14:07.240 --> 1:14:09.240]  We're watching you with satellites,
[1:14:09.240 --> 1:14:12.240]  and it zooms in over them with a satellite
[1:14:12.240 --> 1:14:14.240]  showing a guy in his backyard.
[1:14:14.240 --> 1:14:15.240]  They want you to know.
[1:14:15.240 --> 1:14:17.240]  And again, this is the nanny state.
[1:14:17.240 --> 1:14:19.240]  Wants to make sure you take the vaccines
[1:14:19.240 --> 1:14:20.240]  filled with cancer viruses.
[1:14:20.240 --> 1:14:21.240]  Here it is.
[1:14:21.240 --> 1:14:22.240]  Your name is Tom.
[1:14:22.240 --> 1:14:24.240]  You live just off of Fifth Street.
[1:14:24.240 --> 1:14:25.240]  Nice car, Tom.
[1:14:25.240 --> 1:14:26.240]  Nice house.
[1:14:26.240 --> 1:14:29.240]  What's not so nice is you owe Pennsylvania
[1:14:29.240 --> 1:14:32.240]  $4,212 in back taxes.
[1:14:32.240 --> 1:14:35.240]  Listen, Tom, we can make this easy.
[1:14:35.240 --> 1:14:37.240]  Pay online by June 18th,
[1:14:37.240 --> 1:14:39.240]  and we'll skip your penalty
[1:14:39.240 --> 1:14:41.240]  and take half off your interest.
[1:14:41.240 --> 1:14:46.240]  Because, Tom, we do know who you are.
[1:14:46.240 --> 1:14:48.240]  Okay, find us before we find you.
[1:14:48.240 --> 1:14:49.240]  Pay up.
[1:14:49.240 --> 1:14:50.240]  You notice that the ads now are,
[1:14:50.240 --> 1:14:51.240]  it's a roundup.
[1:14:51.240 --> 1:14:53.240]  It's a roundup for those that have warrants.
[1:14:53.240 --> 1:14:56.240]  You know, 11% of Texans have a warrant out right now.
[1:14:56.240 --> 1:14:58.240]  Saw that number a few weeks ago.
[1:14:58.240 --> 1:15:01.240]  But then when a real roundup starts,
[1:15:01.240 --> 1:15:02.240]  it's a roundup.
[1:15:02.240 --> 1:15:03.240]  It's a roundup.
[1:15:03.240 --> 1:15:04.240]  Military drills everywhere
[1:15:04.240 --> 1:15:06.240]  of attacking local state houses,
[1:15:06.240 --> 1:15:07.240]  taking them over.
[1:15:07.240 --> 1:15:09.240]  That's in declassified documents.
[1:15:09.240 --> 1:15:11.240]  The preparations of the foreign banks
[1:15:11.240 --> 1:15:12.240]  that have occupied the U.S.,
[1:15:12.240 --> 1:15:15.240]  now they're phasing out all the final liberties.
[1:15:15.240 --> 1:15:17.240]  You know, the ads is,
[1:15:17.240 --> 1:15:19.240]  it's not nice, Tom, that you owe $4,000.
[1:15:19.240 --> 1:15:22.240]  How about, Tom, we know your mother's dying of cancer
[1:15:22.240 --> 1:15:23.240]  and you gave her the money, Tom.
[1:15:23.240 --> 1:15:25.240]  Tom, we need to ship that money overseas
[1:15:25.240 --> 1:15:27.240]  of the foreign banks and banker bailouts, Tom.
[1:15:27.240 --> 1:15:28.240]  What's not nice, Tom,
[1:15:28.240 --> 1:15:31.240]  is that the U.S. government's been caught kidnapping kids
[1:15:31.240 --> 1:15:33.240]  worldwide and shipping them to Saudi Arabia.
[1:15:33.240 --> 1:15:34.240]  In congressional testimony,
[1:15:34.240 --> 1:15:35.240]  what's not nice, Tom,
[1:15:35.240 --> 1:15:38.240]  is that we're full of parasites and criminals, Tom.
[1:15:38.240 --> 1:15:39.240]  And we're going to squeeze you, Tom,
[1:15:39.240 --> 1:15:40.240]  before we kill you
[1:15:40.240 --> 1:15:42.240]  with all the poison we put in the water, Tom.
[1:15:42.240 --> 1:15:44.240]  We're the murdering criminal government mafia
[1:15:44.240 --> 1:15:45.240]  openly trying to intimidate you
[1:15:45.240 --> 1:15:47.240]  with our Welling and TV ads
[1:15:47.240 --> 1:15:50.240]  to scare you with satellites watching you
[1:15:50.240 --> 1:15:52.240]  that you paid for with your tax money, Tom.
[1:15:52.240 --> 1:15:54.240]  You understand we're going to kill you, Tom.
[1:15:54.240 --> 1:15:56.240]  We're going to kill you, Tom.
[1:15:56.240 --> 1:15:59.240]  The worst drought in 50 years continues,
[1:15:59.240 --> 1:16:01.240]  and the first six months of 2012
[1:16:01.240 --> 1:16:03.240]  marks the hottest half-year on record.
[1:16:03.240 --> 1:16:06.240]  78% of the Midwest corn belt is in drought conditions.
[1:16:06.240 --> 1:16:09.240]  Not only corn, but soy, alfalfa, fruits, vegetables,
[1:16:09.240 --> 1:16:12.240]  and wheat are all impacted, raising prices.
[1:16:12.240 --> 1:16:13.240]  The cost to feed livestock
[1:16:13.240 --> 1:16:15.240]  is forcing farmers and ranchers out of business,
[1:16:15.240 --> 1:16:17.240]  blowing up your food prices.
[1:16:17.240 --> 1:16:18.240]  The only strategy to counter this
[1:16:18.240 --> 1:16:21.240]  is to freeze your food cost at today's prices
[1:16:21.240 --> 1:16:23.240]  by getting your own supply of foods
[1:16:23.240 --> 1:16:24.240]  or meat foods direct now.
[1:16:24.240 --> 1:16:26.240]  As the price of raw ingredients increases,
[1:16:26.240 --> 1:16:28.240]  e-foods will have to raise prices too.
[1:16:28.240 --> 1:16:30.240]  Now is the time to get your supply.
[1:16:30.240 --> 1:16:32.240]  I recently increased my supply from e-foods direct
[1:16:32.240 --> 1:16:34.240]  because we have all known this was coming.
[1:16:34.240 --> 1:16:37.240]  You know about their delicious long-term storable foods.
[1:16:37.240 --> 1:16:40.240]  The fact is you can eat at any time to save money today,
[1:16:40.240 --> 1:16:42.240]  and because it's storage for 25 years,
[1:16:42.240 --> 1:16:43.240]  you're locking in today's prices
[1:16:43.240 --> 1:16:44.240]  and avoiding the rising food cost.
[1:16:44.240 --> 1:16:47.240]  Don't wait. Call 800-409-5633
[1:16:47.240 --> 1:16:50.240]  or go to e-foodsdirect.com forward slash Alex.
[1:16:50.240 --> 1:16:52.240]  Call 800-409-5633
[1:16:52.240 --> 1:16:54.240]  or e-foodsirect.com forward slash Alex.
[1:16:54.240 --> 1:16:57.240]  You can bet your life on e-foods direct.
[1:16:57.240 --> 1:16:59.240]  Sick of the globalist eugenesis control freaks
[1:16:59.240 --> 1:17:00.240]  adding poison to your water
[1:17:00.240 --> 1:17:02.240]  and laughing as you get sick and die?
[1:17:02.240 --> 1:17:05.240]  Start purifying your water with ProPure.
[1:17:05.240 --> 1:17:07.240]  My friends, I've done a lot of research,
[1:17:07.240 --> 1:17:11.240]  and the best gravity filter out there, Bar Nun, is ProPure.
[1:17:11.240 --> 1:17:14.240]  And it's available discounted at infowars.com.
[1:17:14.240 --> 1:17:16.240]  Its filters are silver and pregnant
[1:17:16.240 --> 1:17:17.240]  to prevent bacterial growth.
[1:17:17.240 --> 1:17:19.240]  There's no priming required.
[1:17:19.240 --> 1:17:23.240]  It's NSF-42 certified. Optional fluoride filters
[1:17:23.240 --> 1:17:25.240]  can reduce fluoride up to 95%.
[1:17:25.240 --> 1:17:28.240]  Easy to set up and use. Doesn't require electricity.
[1:17:28.240 --> 1:17:31.240]  Purify water from lake streams, ponds, and wells.
[1:17:31.240 --> 1:17:34.240]  This filter system leaves in beneficial minerals,
[1:17:34.240 --> 1:17:36.240]  which is key. Save money by not buying bottled water
[1:17:36.240 --> 1:17:39.240]  and avoid BPA that leaches from the plastic.
