[00:00.000 --> 00:29.920]  From the InfoWars.com News Center, D.P.
[1:41:59.920 --> 1:42:20.920]  I agree. But China is infiltrating us and buying up Hollywood and is out to destroy us as they've done their own people, and I'm not going to stand for it. It's outrageous to have those blood-drinking, bloodthirsty, murderous Communist Chinese Central Committee Politburo dirtbags meet with that vampire Zuckerberg last year 14 times on how to quote,
[1:42:20.920 --> 1:42:30.920]  censor American news. It's the Communist Chinese dug up the term fake news when they banned free speech in their own country.
[1:42:30.920 --> 1:42:39.920]  You want to know, they're the real inventors, not John Rappaport, who's coming up the next hour. They say, I need to plug. Yeah, yeah, yeah, yeah.
[1:42:39.920 --> 1:42:45.920]  This is just so surreal. It gives me a headache sometimes.
[1:42:45.920 --> 1:42:56.920]  Now, there's the headline. They just Google whatever I say. I didn't even see that article. The New York Times Facebook said to create censorship tool to get back into China. How sweet.
[1:42:56.920 --> 1:43:04.920]  And then, of course, use the tool against us as well this year, which they're now doing. Oh, how nice, Zuckerberg.
[1:43:04.920 --> 1:43:16.920]  And all these leftist trendies think it's cool. They're like, well, China's reasonable. It's no big deal. I mean, look at me and Spalding. We're just regular pals.
[1:43:16.920 --> 1:43:25.920]  But see, we put up with anything, so now we're under it. I'm going to go to Zach and Kevin and Daniel and James and Dave and Cindy and folks here in just a minute.
[1:43:25.920 --> 1:43:37.920]  And briefly, our amazing nerve regrowth factor over the top, total antioxidant, DNA force, just life changing product is 10% off.
[1:43:37.920 --> 1:43:44.920]  We had a small resupply back in, could be months until we get more, but it is 10% off right now. I want to thank you all for your support.
[1:43:44.920 --> 1:43:48.920]  We really should try it. SupermobileVitality is also about to sell out.
[1:43:48.920 --> 1:43:57.920]  SupermobileVitality.com or call toll-free, 888-253-3139. Also, SupermobileVitality is about to sell out as well.
[1:43:57.920 --> 1:44:06.920]  It could be weeks or maybe months until it comes back in because it's cold-pressed. It's really hard to get all of the organic things that go into it and then compound it.
[1:44:06.920 --> 1:44:12.920]  It has a 4.5 star rating by third party, major sites, 2,000 plus reviews.
[1:44:12.920 --> 1:44:19.920]  I had people stop me on the street and go, man, you're not kidding about Supermail. Yeah, no, libido, energy stamina, you name it. It is amazing.
[1:44:19.920 --> 1:44:23.920]  And some people forget to take it. You really should take it. It's changed my life.
[1:44:23.920 --> 1:44:27.920]  I've forgotten to take it for a few months and gain back some weight when working out is hard.
[1:44:27.920 --> 1:44:33.920]  And then during the month of December, when I normally gain weight, I took it religiously every day and lost, what was it, 12, 13 pounds.
[1:44:33.920 --> 1:44:40.920]  Now, I went on vacation for two weeks and gained about 10 pounds of it back, but that's just how it is when you're 43 and have a high stress life.
[1:44:40.920 --> 1:44:46.920]  The point is I work out less and in better shape than I was 10 years ago and Supermail and X2 are the reason.
[1:44:46.920 --> 1:44:52.920]  And so thank you so much, God, for putting us in touch with the scientists and others to develop the very best products out there.
[1:44:52.920 --> 1:44:56.920]  When we go to top developers, we say, what is your dream product?
[1:44:56.920 --> 1:45:03.920]  They say this would be it because other folks out there, most of them will sell you something for 50 bucks. It's got $3 a product in it.
[1:45:03.920 --> 1:45:10.920]  We'll say something for 50 bucks has got $25 a product in it or $18 a product. We still have to advertise and pay for everything.
[1:45:10.920 --> 1:45:14.920]  And by the time we do it, we make like 10 bucks, you know, on a bottle or whatever to fund the operation.
[1:45:14.920 --> 1:45:18.920]  But the point is these are really high quality things.
[1:45:18.920 --> 1:45:23.920]  I mean, like our biome defense probiotics are the very best out there.
[1:45:23.920 --> 1:45:25.920]  Just check it all out for yourself.
[1:45:25.920 --> 1:45:29.920]  Biotrystallinium is back in knockouts back in to check it all out for yourself.
[1:45:29.920 --> 1:45:37.920]  Brain force, oxy powder and a liver shield, living defense, parasite cleanse, infowarslife.com or call toll free 888-253-3139.
[1:45:37.920 --> 1:45:49.920]  But who could make up a science fiction plot where the communist Chinese own the U.S. debt,
[1:45:49.920 --> 1:45:56.920]  have bought up almost all of Hollywood and are openly telling us what movies should come out and openly censoring Michael Savage's book coming out.
[1:45:56.920 --> 1:45:59.920]  And Michael Savage is banned from flying to England. That was crazy.
[1:45:59.920 --> 1:46:04.920]  And I'm just talking about him. He's a case point of persecution.
[1:46:04.920 --> 1:46:10.920]  And then they're going to come in and censor us even more and are openly at Davos saying we'll prop up world government.
[1:46:10.920 --> 1:46:14.920]  We'll teach America to get in line and Americans don't get more mad.
[1:46:14.920 --> 1:46:16.920]  And they call Trump radical.
[1:46:16.920 --> 1:46:19.920]  He should be telling China watch their fat mouths.
[1:46:19.920 --> 1:46:22.920]  He should be saying you're a bunch of mass murders or your own people.
[1:46:22.920 --> 1:46:26.920]  You're ashamed and your people ought to remove you from power.
[1:46:26.920 --> 1:46:28.920]  You're a sick joke.
[1:46:28.920 --> 1:46:30.920]  How dare you be involved with Hollywood?
[1:46:30.920 --> 1:46:35.920]  And what is Hollywood doing taking hundreds of millions of dollars per film to put out trash?
[1:46:35.920 --> 1:46:42.920]  What is the Transformers director putting a movie out where I'm a dictator and you overthrow the country?
[1:46:42.920 --> 1:46:47.920]  Just repudiate them and those studios will go bankrupt overnight.
[1:46:47.920 --> 1:46:52.920]  Good. Go ahead and buy all the studios up. We're going to bankrupt all of them dirt bags.
[1:46:52.920 --> 1:46:55.920]  You and all the old demon hunchbacks that run Hollywood.
[1:46:55.920 --> 1:46:57.920]  You're a bunch of satanic filth.
[1:46:57.920 --> 1:47:00.920]  A bunch of pedophiles. Go to hell.
[1:47:00.920 --> 1:47:03.920]  Rod in hell, filth. I see you.
[1:47:03.920 --> 1:47:05.920]  Excuse me.
[1:47:05.920 --> 1:47:09.920]  I mean, this is just outrageous. This is outrageous.
[1:47:09.920 --> 1:47:11.920]  I can't even believe it.
[1:47:11.920 --> 1:47:15.920]  We have a great writer that points this out, but it should be even more hardcore.
[1:47:15.920 --> 1:47:20.920]  I mean, this is just incredible. The Communist Chinese, we need to add in all these articles.
[1:47:20.920 --> 1:47:24.920]  And the writer does it, but we should just add some links where they're involved cheerleading,
[1:47:24.920 --> 1:47:30.920]  and quarterbacking, and haunchelling, and directing, and coaching, and captaining, and generaling,
[1:47:30.920 --> 1:47:35.920]  and deploying the whole drumbeat to shut down free speech in America.
[1:47:35.920 --> 1:47:40.920]  I mean, and you say the Russians are involved in America?
[1:47:40.920 --> 1:47:43.920]  I kind of wish they were.
[1:47:43.920 --> 1:47:49.920]  I mean, we're completely ganged up on here. This is insane.
[1:47:49.920 --> 1:47:52.920]  I didn't know we had a caller in Chile. I apologize.
[1:47:52.920 --> 1:47:55.920]  Next time somebody's calling from South America, let me know as they go to the headline.
[1:47:55.920 --> 1:47:58.920]  Then I'm going to go to Zach and others. I'm going to go quick now. I apologize.
[1:47:58.920 --> 1:48:02.920]  Dave and Chile, you're on the air.
[1:48:02.920 --> 1:48:03.920]  Hello there.
[1:48:03.920 --> 1:48:05.920]  Welcome. Go ahead.
[1:48:05.920 --> 1:48:13.920]  And I'm really, really happy that Mr. Trump is the president of the United States of America.
[1:48:13.920 --> 1:48:18.920]  I also want to say this. You know, we have Chile and TV down here, of course.
[1:48:18.920 --> 1:48:26.920]  The television station, Chile Vision, what was like, Chile Vision, is actually owned by TNT.
[1:48:26.920 --> 1:48:36.920]  And the kind of crap that comes out over the airwaves is incredible what they say about...
[1:48:36.920 --> 1:48:43.920]  No, that's right. It's the brainwashing, globalist, Hollywood, mainstream media combine worldwide is feeding everyone crap.
[1:48:43.920 --> 1:48:48.920]  They fall, their whole world government is over.
[1:48:48.920 --> 1:48:58.920]  And it's not just that. I watch Cuban television a lot because it comes in free on the satellite for me.
[1:48:58.920 --> 1:49:07.920]  And I watch the Voice of America Jose Martí channel and they're even more rabid.
[1:49:07.920 --> 1:49:20.920]  It's like this government channel, a U.S. government channel sending television into Cuba is so anti-Trump. It's disgusting.
[1:49:20.920 --> 1:49:29.920]  Let's be clear. Let's be clear. U.S. captured U.S. globalist propaganda out of the U.S. is worse than the Cuban propaganda is what you're saying.
[1:49:29.920 --> 1:49:31.920]  Exactly. I mean, you know...
[1:49:31.920 --> 1:49:33.920]  I mean, folks, folks, folks, it's never been done.
[1:49:33.920 --> 1:49:40.920]  The communist, Chinese, biggest mass murders in the world have bought up Hollywood and are deploying every major movie running down America and freedom.
[1:49:40.920 --> 1:49:44.920]  I mean, this, and it's not for the foreign market. It's for America.
[1:49:44.920 --> 1:49:51.920]  It is the most outrageous horse manure the planet has ever seen. Anything else, Dave?
[1:49:51.920 --> 1:49:59.920]  Nothing else. You're a vanguard. You're the best.
[1:49:59.920 --> 1:50:05.920]  Oh, no, you're the vanguard. You're the vanguard. I love you. I appreciate your call. Your phone's breaking up. Your skype's breaking up or whatever it is, however you call in.
[1:50:05.920 --> 1:50:14.920]  Listen, you're the vanguard listeners. I can't get out of my car in a parking lot now and walk in the grocery store without getting stopped 10 times going in yesterday.
[1:50:14.920 --> 1:50:24.920]  I got stopped like 20 times inside. I got stopped. I mean, I think I'm going to start just showing people on the live feed.
[1:50:24.920 --> 1:50:31.920]  Almost like I was at the Trump inauguration. Everybody saw that every two feet. Every other person, even as a Chicago Tribune admitted, was a listener.
[1:50:31.920 --> 1:50:38.920]  It's like that all over the place now. But like every third or fourth person, I mean, I've got to wear a hat now and glasses if I'm going to hurry.
[1:50:38.920 --> 1:50:43.920]  Some will be rude and blow people off. I have to wear disguises now, okay? And I'm just one guy in this fight.
[1:50:43.920 --> 1:50:52.920]  So listen, if all of you just tell five people a day about the show, we'll triple the size and game over. We're so close to game over.
[1:50:52.920 --> 1:50:59.920]  And when you do arrest a bunch of people at that point, give them jury trials, but then put them in prison for treason and working with Communist China in sedition.
[1:50:59.920 --> 1:51:09.920]  In a crisis, your number one need is food, but not just any food. Experts say everyone needs to have non-perishable, good for 25 years, survival food on hand in case of an emergency.
[1:51:09.920 --> 1:51:18.920]  Well, right now, in what is truly an unprecedented move, 72-hour survival food kits are being given away to listeners while supplies last.
[1:51:18.920 --> 1:51:23.920]  Survival food is more important today than ever before, explains Frank Bates, a spokesman for the company.
[1:51:23.920 --> 1:51:29.920]  Natural disasters, terrorist attacks, and other threats can make obtaining sufficient food impossible in an emergency.
[1:51:29.920 --> 1:51:36.920]  This 72-hour survival kit has 16 servings of delicious food rated for 25 years of storage.
[1:51:36.920 --> 1:51:44.920]  It sells to the general public for $27 plus shipping, and it's been rated four and a half out of five stars by customers who paid full price.
[1:51:44.920 --> 1:51:49.920]  But listeners who act quickly can get it free, just cover $9.95 shipping.
[1:51:49.920 --> 1:51:54.920]  Go to FreeFood2.com right now. Supplies are limited and the program may end at any time.
[1:51:54.920 --> 1:52:16.920]  Go to FreeFood2.com now. That's FreeFood2.com.
[1:52:24.920 --> 1:52:38.920]  What's it going to take? Another news story? You've heard about Infidel Body Armor for years. You know you should have a set. So should your wife.
[1:52:38.920 --> 1:52:45.920]  Things aren't getting better. They're getting worse. Thousands already wear Infidel Body Armor. Now get yours.
[1:52:45.920 --> 1:52:49.920]  Go to InfidelBodyArmor.com and check out today's specials.
[1:52:49.920 --> 1:52:58.920]  We make armor easy to understand and easy to purchase. InfidelBodyArmor.com just won't quit.
[1:52:58.920 --> 1:53:08.920]  Good day, America. Are you tired of your butt cheek speed frozen? Tired of cold hands or cold feet?
[1:53:08.920 --> 1:53:13.920]  I'm tired of the cold. Well, there's a new kid on the block. It's Fortress Clothing.
[1:53:13.920 --> 1:53:19.920]  Fortress will keep you warm. Fortress does what no other clothing company has ever done.
[1:53:19.920 --> 1:53:25.920]  We keep you warm in the cold, even when wet. You heard that right? Even when wet.
[1:53:25.920 --> 1:53:31.920]  No BS. No gimmicks. Work. Play. Sweat in the cold and stay warm.
[1:53:31.920 --> 1:53:34.920]  So quit your complaining and go to FortressClothing.com.
[1:53:34.920 --> 1:53:45.920]  FortressClothing.com, enter coupon code America and get 20% off any item. Mittens, jackets, pants, balaclavas or hot socks.
[1:53:45.920 --> 1:54:05.920]  FortressClothing.com, enter coupon code America. You're going to love being warm all winter long. FortressClothing.com.
[1:54:16.920 --> 1:54:24.920]  I just cannot believe how surreal it is. The Communist Chinese who have mobile execution vans in every city,
[1:54:24.920 --> 1:54:31.920]  who have total enslavement of their people, who are ruled by a bunch of corrupt evil generals.
[1:54:31.920 --> 1:54:37.920]  It's like a giant North Korea and they allow a few economic zones for wealthy Chinese to live decent lives,
[1:54:37.920 --> 1:54:42.920]  but the rest of the people over a billion live in absolute slavery.
[1:54:42.920 --> 1:54:51.920]  And if they catch you practicing Buddhism privately or even exercise like yoga, you are taken.
[1:54:51.920 --> 1:55:01.920]  Blood type kept in a prison and then your organs are sold to the highest bidder and the evil just goes on and on.
[1:55:01.920 --> 1:55:09.920]  And they're openly buying up Hollywood and they're openly going to put out anti-American films in America.
[1:55:09.920 --> 1:55:16.920]  I just, I almost just want to say to all the evil people that want to serve this, go ahead and destroy everything then.
[1:55:16.920 --> 1:55:20.920]  But you know what, there are a lot of good people in this country, a lot of children that don't deserve this.
[1:55:20.920 --> 1:55:24.920]  But man, crazy people screaming kill Trump in front of their students.
[1:55:24.920 --> 1:55:31.920]  As you hear the students freaking out in the background and Madonna and everybody and all these major newspapers saying somebody needs to kill Trump.
[1:55:31.920 --> 1:55:38.920]  I'm here to tell you people something. You're rubbing your mouths and you're going to get hurt. You understand?
[1:55:38.920 --> 1:55:43.920]  And you know what? I'm not running my mouth, okay?
[1:55:43.920 --> 1:55:51.920]  Look what we've done in 21 years to you in the information war.
[1:55:51.920 --> 1:56:03.920]  But I got to tell you, everybody has really gotten a normalcy bias, a learned helplessness where we just accept being crapped all over.
[1:56:03.920 --> 1:56:14.920]  And I'm sorry. Trump's great. He's strong. He's bringing back optimism. The approval rating is surging. It's wonderful.
[1:56:14.920 --> 1:56:19.920]  But he needs to come out against Communist China now.
[1:56:19.920 --> 1:56:28.920]  And I'm directing the crew. I rarely direct them. I'm directing the crew to focus on this and to take the lead that this writer has done.
[1:56:28.920 --> 1:56:35.920]  And I'm going to ask Watson and his brother and all the rest of our crew focus on Communist China because it really hit me today.
[1:56:35.920 --> 1:56:43.920]  This is an electronic cultural red dawn by the Communist Chinese who are at Davos admitting they're going to keep us in line.
[1:56:43.920 --> 1:56:47.920]  No, you're not. You are outrageous.
[1:56:47.920 --> 1:56:54.920]  Trump is absolutely right to be sending aircraft carriers. We need weapons systems on them and we need to kick them out of here.
[1:56:54.920 --> 1:56:59.920]  And no more Chinese anchor babies. I'm sick of it. I can't go to China and have a baby for free.
[1:56:59.920 --> 1:57:04.920]  If I practice yoga at a park, they kill me.
[1:57:04.920 --> 1:57:13.920]  That's it. I almost smashed this microphone just to make my point. It's not normal to just Christ went in with the money changers and overturned the tables.
[1:57:13.920 --> 1:57:24.920]  I think I'm going to buy some brand new super awesome car and take a sledgehammer to it to sacrifice like $100,000 in front of everybody because all these people don't care about money.
[1:57:24.920 --> 1:57:30.920]  They'll go, oh, don't do it. I'm going to have a clock winding down to the death of the car.
[1:57:30.920 --> 1:57:37.920]  As your freedom dies, as everything else dies, as your whole culture dies, people only care about some stupid car.
[1:57:37.920 --> 1:57:43.920]  But of course, for $100,000, I'll get $10 million in publicity and actually warn people and save people.
[1:57:43.920 --> 1:57:48.920]  See, that's just a form of advertising because they're taking a wrecking ball to this country and have been doing it.
[1:57:48.920 --> 1:57:54.920]  And to you, you should take it personal. Everyone's been trained to be so self-centered and I'm going to Zach's call.
[1:57:54.920 --> 1:57:58.920]  They say, again, I don't care if they shut down coal power plants. I don't have any coal stock.
[1:57:58.920 --> 1:58:03.920]  That's the whole price of energy going up moron or I don't care if the stock market goes down.
[1:58:03.920 --> 1:58:07.920]  It's not the stock market. Almost every company that you depend on or your business works with is.
[1:58:07.920 --> 1:58:10.920]  So if it goes down, we're going to be in a frickin' depression.
[1:58:10.920 --> 1:58:15.920]  With half the public not working and brainwashed, everything's going to burn down.
[1:58:15.920 --> 1:58:17.920]  How does that sound to you?
[1:58:17.920 --> 1:58:22.920]  It's ridiculous.
[1:58:22.920 --> 1:58:26.920]  I'm ready to go to war with whoever wants to go to war right now.
[1:58:26.920 --> 1:58:29.920]  The Islamists, the chai comes.
[1:58:29.920 --> 1:58:32.920]  I pray to God you be brought love.
[1:58:32.920 --> 1:58:38.920]  I beg Christ and the Father that you murdering scum be destroyed.
[1:58:38.920 --> 1:58:40.920]  Hold me right back with your phone calls.
[1:58:40.920 --> 1:58:43.920]  You maggot murderers will get you no matter what.
[1:58:43.920 --> 1:59:03.920]  You murderers! You scumbag vampires! I see you!
[1:59:14.920 --> 1:59:17.920]  You say when you talk to people that have been using this actually testing for years,
[1:59:17.920 --> 1:59:20.920]  people that currently are testing for us, they didn't just say outstanding.
[1:59:20.920 --> 1:59:21.920]  What do they really say about them?
[1:59:21.920 --> 1:59:24.920]  They want to know how do they get it, where do they find it.
[1:59:24.920 --> 1:59:27.920]  A lot of my law enforcement official buddies want to know the same thing.
[1:59:27.920 --> 1:59:31.920]  The backpack body armor is only $200.
[1:59:31.920 --> 1:59:33.920]  I mean, it's unbelievable. It's a quarter inch thick.
[1:59:33.920 --> 1:59:36.920]  It's got a 20 year warranty. It's waterproof. You can wear it. It's comfortable.
[1:59:36.920 --> 1:59:38.920]  And we shot everything you can imagine of it.
[1:59:38.920 --> 1:59:43.920]  Again, fund the info or get the game changing in nanotech tubes.
[1:59:43.920 --> 1:59:47.920]  It's a win-win. $200. Go check out all their different products.
[1:59:47.920 --> 1:59:49.920]  At InfoRestore.com, it's amazing.
[1:59:51.920 --> 1:59:55.920]  You're listening to the Alex Jones show.
[1:59:55.920 --> 2:00:00.920]  I can feel the spirit rising.
[2:00:00.920 --> 2:00:05.920]  Waging War on Corruption.
[2:00:05.920 --> 2:00:30.920]  It's Alex Jones coming to you live from the front lines of the Info War.
[2:00:36.920 --> 2:00:38.920]  I've got to settle down a little bit.
[2:00:38.920 --> 2:00:41.920]  The Communist Chinese openly lecturing that there are bosses
[2:00:41.920 --> 2:00:48.920]  and openly buying up the globalist brainwashing system is just too much.
[2:00:48.920 --> 2:00:51.920]  I mean, this is incredible because I can tell you,
[2:00:51.920 --> 2:00:53.920]  most of Hollywood doesn't like what the globalists are doing
[2:00:53.920 --> 2:00:57.920]  when it's a major rebellion. Just talk to Chris Carter.
[2:00:57.920 --> 2:01:01.920]  And so they're bringing in the Chai Kong money to try to keep control.
[2:01:01.920 --> 2:01:03.920]  See, this is a desperation move,
[2:01:03.920 --> 2:01:05.920]  but it's going to blow up on their face big time.
[2:01:05.920 --> 2:01:09.920]  Because we're not going to just sit here idly by and watch the Communist Chinese take over.
[2:01:09.920 --> 2:01:11.920]  Let's go to Zach in Kentucky.
[2:01:11.920 --> 2:01:14.920]  Then we're going to go to Cindy and Kevin and James and John.
[2:01:14.920 --> 2:01:16.920]  Go ahead, you're on the air.
[2:01:16.920 --> 2:01:21.920]  Alex, Alex, I just want to thank you so much, obviously, for what you do.
[2:01:21.920 --> 2:01:23.920]  You talk about the Chinese here.
[2:01:23.920 --> 2:01:26.920]  Yeah, they're going to hold no dominion over us.
[2:01:26.920 --> 2:01:31.920]  I can say that for at least me and my brothers here in Louisville, Kentucky.
[2:01:31.920 --> 2:01:36.920]  Even my lady, my girlfriend, I just want to say Amber, I'm so lucky to have her.
[2:01:36.920 --> 2:01:38.920]  She's a truser.
[2:01:38.920 --> 2:01:41.920]  We wouldn't be the same people without you, man.
[2:01:41.920 --> 2:01:48.920]  Anyway, past all that, Trump, you've got the Chinese shaking in their boots, obviously.
[2:01:48.920 --> 2:01:50.920]  We see it through movies, through Hollywood.
[2:01:50.920 --> 2:01:52.920]  They try to control Hollywood now.
[2:01:52.920 --> 2:01:56.920]  I mean, look, it's illegal to have state-sponsored media and funding
[2:01:56.920 --> 2:01:59.920]  because everything in China is state-controlled taking over our media.
[2:01:59.920 --> 2:02:04.920]  It's a huge national security issue one trillion times bigger than what the Russians supposedly did.
[2:02:04.920 --> 2:02:09.920]  The Russians were laughing that they were claiming they were influencing our election.
[2:02:09.920 --> 2:02:11.920]  They're fighting the same people.
[2:02:11.920 --> 2:02:13.920]  It has nothing to do with Russia.
[2:02:13.920 --> 2:02:17.920]  I mean, again, they say that Russia told Trump to say crooked Hillary.
[2:02:17.920 --> 2:02:21.920]  This would be funny if it wasn't so dangerous.
[2:02:21.920 --> 2:02:28.920]  It is dangerous, you know, and, you know, Marines, we laugh in the face of danger a lot.
[2:02:28.920 --> 2:02:31.920]  But, you know, we take this very seriously.
[2:02:31.920 --> 2:02:32.920]  This is our freedom.
[2:02:32.920 --> 2:02:35.920]  Obviously, you take it seriously.
[2:02:35.920 --> 2:02:38.920]  You are the commandant of truth, in my opinion.
[2:02:38.920 --> 2:02:43.920]  You know, if we, the listeners of the vanguard, you are the commandant.
[2:02:43.920 --> 2:02:44.920]  You're the general.
[2:02:44.920 --> 2:02:48.920]  Well, let me tell you, the Marines and former Marines are the shock troops,
[2:02:48.920 --> 2:02:53.920]  the bravest, the guys they send in to death, doorstep, and through and beyond.
[2:02:53.920 --> 2:02:59.920]  And I admire the Army and all the special operations and the Navy's skills and incredibly dangerous stuff they do that takes unbelievable courage.
[2:02:59.920 --> 2:03:03.920]  But the Marines, I've noticed out there, out of any group, if you're a smaller group,
[2:03:03.920 --> 2:03:05.920]  are the most awake to the New World Order.
[2:03:05.920 --> 2:03:09.920]  The Army has more awake people, on average, because they've got more people.
[2:03:09.920 --> 2:03:12.920]  But the Marines really are being faithful to this country.
[2:03:12.920 --> 2:03:15.920]  I mean, I'm not just yelling and screaming as some act here.
[2:03:15.920 --> 2:03:20.920]  I'm literally reading these articles where the Communist Chinese brag they're taking us over.
[2:03:20.920 --> 2:03:22.920]  And it's just outrageous.
[2:03:22.920 --> 2:03:25.920]  I mean, it makes me mad that my fellow countrymen have sold out to this,
[2:03:25.920 --> 2:03:28.920]  and that, quite frankly, Trump's not doing enough.
[2:03:28.920 --> 2:03:32.920]  I understand he's got to get in, get in place first, but, and he's doing it.
[2:03:32.920 --> 2:03:33.920]  He's doing an incredible job.
[2:03:33.920 --> 2:03:39.920]  I just want to see him dropkick the Communist Chinese, who have been openly involved in the election,
[2:03:39.920 --> 2:03:42.920]  and just destroy this lie that Russia was involved.
[2:03:42.920 --> 2:03:46.920]  Not to defend that old story that was proving a fraud, P.P. Gate and all the rest of it,
[2:03:46.920 --> 2:03:48.920]  but because it's a clear and present danger.
[2:03:48.920 --> 2:03:51.920]  Trump must address the chai comms.
[2:03:51.920 --> 2:03:53.920]  Is there a bigger threat than the Muslims?
[2:03:53.920 --> 2:03:55.920]  Go ahead.
[2:03:55.920 --> 2:04:01.920]  The public just now, you know, do a total 180 from, you know, the early 2000s,
[2:04:01.920 --> 2:04:05.920]  let's say 90s, you know, we're so against sweatshops.
[2:04:05.920 --> 2:04:06.920]  We're so against slave labor.
[2:04:06.920 --> 2:04:09.920]  You get those, you know, Foxcom factories.
[2:04:09.920 --> 2:04:12.920]  Hopefully, you know, what is Foxcom's going to move back,
[2:04:12.920 --> 2:04:14.920]  but they've got the suicide net.
[2:04:14.920 --> 2:04:15.920]  That's just...
[2:04:15.920 --> 2:04:17.920]  Well, I mean, they'd be forced under Trump's regulations.
[2:04:17.920 --> 2:04:18.920]  It'll be like heaven.
[2:04:18.920 --> 2:04:19.920]  He'll cut him by 75%.
[2:04:19.920 --> 2:04:20.920]  It'll still be like heaven to them.
[2:04:20.920 --> 2:04:21.920]  You mean, we get lunch breaks?
[2:04:21.920 --> 2:04:22.920]  We only work eight hours?
[2:04:22.920 --> 2:04:24.920]  We can work overtime if we want and get double?
[2:04:24.920 --> 2:04:30.920]  Oh, we're going to get $20 an hour instead of 18 hours a day for like $2 a day?
[2:04:30.920 --> 2:04:31.920]  It's something else, Alex.
[2:04:31.920 --> 2:04:32.920]  You know what?
[2:04:32.920 --> 2:04:33.920]  You guys do such a great job.
[2:04:33.920 --> 2:04:35.920]  I don't want to take any more of your time.
[2:04:35.920 --> 2:04:36.920]  Just continue on with that.
[2:04:36.920 --> 2:04:40.920]  And, you know, I just want to give a shout out to anybody here in the Louisville, Kentucky area.
[2:04:40.920 --> 2:04:41.920]  Anything goes down.
[2:04:41.920 --> 2:04:42.920]  I got your six, okay?
[2:04:42.920 --> 2:04:43.920]  All right.
[2:04:43.920 --> 2:04:44.920]  God bless you, brother.
[2:04:44.920 --> 2:04:45.920]  We're going to come back.
[2:04:45.920 --> 2:04:46.920]  You can do a few more calls.
[2:04:46.920 --> 2:04:47.920]  I've got a guest come on about the economy.
[2:04:47.920 --> 2:04:53.920]  We've got some new clips of Don Lemon, an endless source of BS and lies and distortion and arrogance
[2:04:53.920 --> 2:04:57.920]  and almost no viewers, but still we have to expose these enemies.
[2:04:57.920 --> 2:04:59.920]  They are enemies, folks.
[2:04:59.920 --> 2:05:04.920]  Sanctuary cities across the nation are pushing back against President Trump's immigration policies.
[2:05:04.920 --> 2:05:07.920]  They're vowing to take it all the way to the courts.
[2:05:07.920 --> 2:05:11.920]  Bill de Blasio of New York is promising immediate action against Sanctuary City's order.
[2:05:11.920 --> 2:05:17.920]  As President Trump's executive order is said to block federal funding to sanctuary cities just like New York.
[2:05:17.920 --> 2:05:20.920]  De Blasio is saying that it's very susceptible to legal challenge
[2:05:20.920 --> 2:05:24.920]  and he's promising to take it to the court immediately for an injunction to stop the order
[2:05:24.920 --> 2:05:27.920]  if an attempt to pull funds from the city is made.
[2:05:27.920 --> 2:05:30.920]  He goes on to say, if they make an attempt to pull that money,
[2:05:30.920 --> 2:05:33.920]  it would be from the NYPD, from security funding to fighting terrorism.
[2:05:33.920 --> 2:05:35.920]  Of course, we know that simply isn't true.
[2:05:35.920 --> 2:05:38.920]  The president is trying to enforce the law of the land
[2:05:38.920 --> 2:05:43.920]  and say that these rogue cities have no right to get benefits to people that are here illegally.
[2:05:43.920 --> 2:05:47.920]  On Wednesday, Trump signed an order to stop federal funds from going to these cities
[2:05:47.920 --> 2:05:53.920]  from New York to San Francisco that have policies limiting cooperation with federal immigration enforcement agencies.
[2:05:53.920 --> 2:06:19.920]  I'm Margaret Howell reporting for InvilleWars.com.
[2:06:24.920 --> 2:06:28.920]  Poisoned with polonium, it breaks down what really happened with the Russians and so much more
[2:06:28.920 --> 2:06:31.920]  and it supports him and it supports InvilleWars our whole operation.
[2:06:31.920 --> 2:06:36.920]  So it's essential that this book go to the top of the charts in the political area, if not to the very top of the charts.
[2:06:36.920 --> 2:06:39.920]  Joe Biden has come out and said world government is collapsing.
[2:06:39.920 --> 2:06:41.920]  They're in full crisis mode.
[2:06:41.920 --> 2:06:42.920]  National's movements are exploding.
[2:06:42.920 --> 2:06:44.920]  Everybody needs to go pre-order.
[2:06:44.920 --> 2:06:46.920]  So you get it first at InvilleWars.com.
[2:06:46.920 --> 2:06:49.920]  The making of a president by Roger Stone.
[2:06:49.920 --> 2:06:50.920]  I'm Alex Jones.
[2:06:50.920 --> 2:06:53.920]  We're on our plane to go to the inaugural event with Trump.
[2:06:53.920 --> 2:06:56.920]  Pray for us and please continue to support the operation and get his book now.
[2:06:56.920 --> 2:06:58.920]  So you're the first to have a trip to you.
[2:06:58.920 --> 2:07:00.920]  It's not just our water we need to filter.
[2:07:00.920 --> 2:07:02.920]  It's not just our food that needs to be cleaned.
[2:07:02.920 --> 2:07:05.920]  It's the air we're breathing, especially for our children.
[2:07:05.920 --> 2:07:11.920]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[2:07:11.920 --> 2:07:17.920]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems
[2:07:17.920 --> 2:07:20.920]  have now developed Alexa Pure Breeze.
[2:07:20.920 --> 2:07:25.920]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children.
[2:07:25.920 --> 2:07:28.920]  Do the best job you can to purify your air.
