[00:00:02.867 --> 00:00:03.467]  I'm David Knight.
[00:45:40.608 --> 00:45:43.209]  So this is a formula to deliver the maximum amount.
[00:45:43.209 --> 00:45:44.270]  It's in powder form.
[00:45:44.270 --> 00:45:47.151]  We have so many five-star reviews.
[00:45:47.151 --> 00:45:47.851]  I take this.
[00:45:47.851 --> 00:45:49.672]  This is the product that I take.
[00:45:49.672 --> 00:45:51.633]  Infowarslife.com and the profit we make.
[00:45:52.474 --> 00:45:53.256]  We fight the Globals.
[00:45:53.256 --> 00:45:54.419]  We fight the New World Order.
[00:45:54.419 --> 00:45:58.590]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:46:02.250 --> 00:46:03.671]  You developed Living Defense for us.
[00:46:03.671 --> 00:46:05.012]  It took you over a year to do it.
[00:46:05.012 --> 00:46:06.233]  Why is this so good?
[00:46:06.233 --> 00:46:11.517]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:46:11.517 --> 00:46:25.067]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:46:25.067 --> 00:46:26.428]  Right now with all the refugees,
[00:46:27.188 --> 00:46:28.849]  Uh, spreading disease around.
[00:46:28.849 --> 00:46:31.410]  We have biological warfare going on everywhere.
[00:46:31.410 --> 00:46:32.710]  These are all parasites.
[00:46:32.710 --> 00:46:33.831]  Tell us about all the stuff that's in it.
[00:46:33.831 --> 00:46:35.151]  There's so many things that are in it.
[00:46:35.151 --> 00:46:36.432]  You have the neem in there.
[00:46:36.432 --> 00:46:39.653]  You have the organic clove bud, the organic wormwood.
[00:46:39.653 --> 00:46:42.815]  I recommend doing a parasite cleanse at least twice a year.
[00:46:42.815 --> 00:46:46.016]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:46:46.016 --> 00:46:47.056]  It just came back in yesterday.
[00:46:47.056 --> 00:46:47.877]  Living Defense.
[00:46:47.877 --> 00:46:48.977]  Infowarslife.com.
[00:46:48.977 --> 00:46:49.998]  And folks, you can't lose.
[00:46:49.998 --> 00:46:52.038]  It's full of stuff that's great for your body, period.
[00:46:53.579 --> 00:46:54.620]  You support the broadcast.
[00:46:54.620 --> 00:46:55.962]  Infowarslives.com.
[00:46:55.962 --> 00:46:58.224]  Thank you Dr. Group from the Global Healing Center.
[00:46:58.224 --> 00:47:05.732]  Thank you so much for all your work sir on this great product.
[00:47:05.732 --> 00:47:08.355]  You're listening to the Alex Jones Show!
[00:47:24.000 --> 00:47:27.585]  Crashing through the lies and disinformation.
[00:47:27.585 --> 00:47:31.751]  It's Alex Jones on the GCN Radio Network.
[00:47:36.826 --> 00:47:41.950]  Welcome back to the Alex Jones Show on this Sunday, August 28, 2016.
[00:47:41.950 --> 00:47:46.453]  268 days since Hillary Clinton has talked to the press.
[00:47:46.453 --> 00:47:47.234]  Okay?
[00:47:47.234 --> 00:47:53.638]  So we're going to keep hammering that home until she starts to answer some questions, and she's got a lot to answer for.
[00:47:53.638 --> 00:48:04.026]  Before we get to what Donald Trump said about emails, I want to remind you that we have a new product, BioTrue Selenium, that we're now offering at InfoWarsLife.com.
[00:48:04.026 --> 00:48:04.767]  Very important
[00:48:05.607 --> 00:48:07.009]  Antioxidant for you to have.
[00:48:07.009 --> 00:48:14.638]  It is something that you have in trace amounts in your body, but you do need those trace amounts to help the other parts function properly.
[00:48:14.638 --> 00:48:23.748]  It is a powerful antioxidant that fights free radicals that damage cells that lead to premature aging, but also helps to support the immune system naturally.
[00:48:24.369 --> 00:48:26.831]  Now, it is never synthetic in our version.
[00:48:26.831 --> 00:48:27.612]  That's the problem.
[00:48:27.612 --> 00:48:36.599]  Most of the versions that you'll get are either synthetic or they're coming out of a mineral situation where there might be some heavy metals associated with them.
[00:48:36.599 --> 00:48:39.221]  Not so with InfoWars BioTrue.
[00:48:39.221 --> 00:48:43.404]  It is pressed out of 100% organic mustard seed.
[00:48:43.404 --> 00:48:47.067]  It offers an excellent vegan-friendly source of selenium and other nutrients.
[00:48:47.067 --> 00:48:47.627]  In fact,
[00:48:48.448 --> 00:48:52.432]  It even offers cofactors and co-nutrients that you'll get out of the mustard seeds.
[00:48:52.432 --> 00:49:00.239]  So instead of getting some heavy metals along with a mineral, you will get actually some cofactors and co-nutrients out of the mustard seeds that they press it out of.
[00:49:00.239 --> 00:49:09.208]  Again, a 100% organic source of selenium, a vital mineral for you to have to protect the health of your family.
[00:49:10.558 --> 00:49:16.600]  Donald Trump had some comments about emails, and I went to that with the break, talking about what he had to say.
[00:49:16.600 --> 00:49:25.043]  Let's play the clip of Donald Trump and what he thinks is going on with the emails and the new revelations about how Hillary wiped her server.
[00:49:25.043 --> 00:49:26.483]  Here's Donald Trump.
[00:49:26.483 --> 00:49:37.547]  When she deleted 33,000 emails, those emails had some really bad stuff on them, because look at the ones that they found, and these are probably a lot worse.
[00:49:37.547 --> 00:49:38.967]  And then not only did they delete them,
[00:49:39.525 --> 00:49:42.346]  They used a method of deletion that you can never get them back.
[00:49:42.346 --> 00:49:44.647]  You saw that yesterday for the first time.
[00:49:44.647 --> 00:49:46.247]  So she knew what she was deleting.
[00:49:46.247 --> 00:49:47.528]  It's a criminal act.
[00:49:47.528 --> 00:49:49.408]  She knew exactly what she was deleting.
[00:49:49.408 --> 00:49:53.190]  And using that kind of extensive, you know, bleaching technique, etc.
[00:49:53.190 --> 00:49:54.810]  shows a consciousness of guilt.
[00:49:54.810 --> 00:49:57.071]  We would argue as a prosecutor.
[00:49:57.071 --> 00:49:58.331]  It's very expensive.
[00:49:58.331 --> 00:50:00.652]  Probably, I don't know, foolproof.
[00:50:00.652 --> 00:50:01.492]  I don't know.
[00:50:01.492 --> 00:50:03.053]  I hear the NSA maybe has
[00:50:03.733 --> 00:50:04.454]  Uh, the emails.
[00:50:04.454 --> 00:50:10.280]  A lot of people say NSA would have the emails if they really wanted to get them, but obviously they don't want to get them.
[00:50:10.280 --> 00:50:15.245]  They're protecting her, they're coddling her, and it's the only way she could even consider running.
[00:50:15.245 --> 00:50:25.335]  I mean, she shouldn't be allowed to run, but to use that method of getting rid of, permanently rid of emails that most people never even heard of, even sophisticated people never heard of it.
[00:50:26.266 --> 00:50:28.187]  Yeah, even sophisticated people have never heard of it.
[00:50:28.187 --> 00:50:30.967]  You understand what's going on when you delete stuff, okay?
[00:50:30.967 --> 00:50:44.271]  Let's talk a little bit about the technical aspects about it, because you've got the tech company that has now come out, that she used, are bragging about the fact that they blocked the FBI from investigating Hillary Clinton.
[00:50:44.271 --> 00:50:48.213]  Okay, maybe that's a point of honor for them.
[00:50:48.213 --> 00:50:50.753]  How did she do this, and why would she do this?
[00:50:50.753 --> 00:50:52.794]  Look, it goes to intent.
[00:50:53.902 --> 00:51:02.545]  Now remember that when FBI Director Comey said there wasn't any criminal intent, okay, this was not done accidentally.
[00:51:02.545 --> 00:51:07.106]  This was done very deliberately and done in a way to prevent recovery.
[00:51:07.106 --> 00:51:17.850]  Understand that when you accidentally erase something, let's say you take something and you throw it in the trash and then you empty your trash, what happens on the computer is that it doesn't actually erase the data.
[00:51:18.570 --> 00:51:22.072]  What it does is it erases the directory to where the data is.
[00:51:22.072 --> 00:51:29.275]  When you store something on a disk, it usually gets fragmented into different segments, and the directory is actually a series of pointers.
[00:51:29.275 --> 00:51:35.518]  So it points to the first part of your data, then that data points to the next segment, and where that's located on the disk, and so forth.
[00:51:36.198 --> 00:51:45.160]  So when you erase these files, you can buy a lot of programs out there right off the shelf, and maybe you need to know this in case you accidentally delete something.
[00:51:45.160 --> 00:51:48.721]  If it's a text file, like these emails, it's pretty easy to recover it.
[00:51:48.721 --> 00:51:55.602]  What they do, these recovery programs, will actually look at the data and build the chain backwards, okay?
[00:51:55.602 --> 00:52:01.524]  To reconstruct the directory, and they can get that information off of the disk, because it's still there.
[00:52:02.384 --> 00:52:16.798]  With programs that eradicate the data, and I believe this is the way, I haven't looked at BleachBit specifically, but I know how these shredder programs will work, because they will go out and actually write over the disk.
[00:52:16.798 --> 00:52:19.480]  It's a very time-consuming process.
[00:52:19.480 --> 00:52:20.441]  It takes a long time to do that.
[00:52:20.441 --> 00:52:23.864]  You can delete stuff, as you know, you can delete your files very quickly.
[00:52:23.864 --> 00:52:25.526]  But if you really want to
[00:52:26.667 --> 00:52:30.411]  Take the stuff out and eradicate it completely.
[00:52:30.411 --> 00:52:35.055]  You have to sit there and write a series of... just rewrite the disk.
[00:52:35.055 --> 00:52:36.296]  The entire disk.
[00:52:36.296 --> 00:52:39.279]  It is a very, very long process.
[00:52:39.279 --> 00:52:40.921]  So it is something that has to be done deliberately.
[00:52:40.921 --> 00:52:43.784]  It is something that is very, very time-consuming.
[00:52:44.634 --> 00:52:48.235]  And of course, as they brag, they stifle the investigation of Hillary Clinton.
[00:52:48.235 --> 00:52:49.936]  Zero Hedge pointed this out.
[00:52:49.936 --> 00:53:01.701]  They said, as Trey Gowdy revealed that Hillary Clinton had used a software program called BleachBit to wipe her servers, Trey Gowdy said, you don't use this for your yoga emails, okay?
[00:53:01.701 --> 00:53:07.343]  She likes to tell people those 33,000 emails that she got rid of, that was just personal business.
[00:53:07.343 --> 00:53:12.405]  You know, kind of like her yoga routines and her daughter's wedding plans and so forth.
[00:53:13.346 --> 00:53:20.759]  It's hard to believe there were that many emails about that kind of information, and yet, they deliberately overwrote this stuff.
[00:53:20.759 --> 00:53:25.688]  He says, when you're using BleachBit, it's something you do because you don't want anybody else to see it, just as I just explained.
[00:53:26.570 --> 00:53:29.871]  You know, she says she's wiped it like with a cloth or something, you know.
[00:53:29.871 --> 00:53:34.133]  No, it was really more like the way she bleaches her hair, okay?
[00:53:34.133 --> 00:53:38.354]  To completely eradicate what was there, so that you can't see that.
[00:53:38.354 --> 00:53:50.259]  BleachBet points out that they're receiving overwhelming interest from folks who are looking to permanently erase yoga and bridesmaids emails and or other similar incriminating information, okay?
[00:53:50.259 --> 00:53:50.799]  Meanwhile,
[00:53:51.539 --> 00:54:02.731]  We see them pushing back and it's interesting that as DC Leaks went down, this is an article that we've got at Infowars.com from the Daily Caller, DC Leaks website went down this weekend, their Twitter account was suspended.
[00:54:02.731 --> 00:54:07.276]  These are the people who published the information about George Soros and others.
[00:54:07.276 --> 00:54:11.361]  You can see, at least you could see before when they had that information up,
[00:54:12.001 --> 00:54:30.250]  You could go through various emails, you could see how he was plotting to get the LGBT people in Italy, for example, angry at their national government and embracing the European Union because they said, hey, the European Union is friendlier to LGBT, so therefore, let's eradicate the Italian state, okay?
[00:54:30.250 --> 00:54:32.531]  That's the way George Soros plays.
[00:54:32.531 --> 00:54:35.832]  And there was a lot of very interesting things that came out of that, along with the $650,000
[00:54:37.873 --> 00:54:44.300]  That you saw him contributing to Black Lives Matter to create chaos and a race war here in America.
[00:54:44.300 --> 00:54:50.046]  But the people who put that out, DCLeaks, their website was taken down, their Twitter account was suspended, they got their website back up.
[00:54:50.046 --> 00:54:58.114]  But interestingly enough, the Soros section was down yesterday when this article went up, and it is still down as of early this afternoon when I checked.
[00:54:59.436 --> 00:55:08.897]  The DNC chair, Donna Brazile, longtime Clinton crony, says, we are victims of a cybercrime led by thugs.
[00:55:08.897 --> 00:55:09.018]  Now...
[00:55:10.049 --> 00:55:14.230]  She says we're victims of cybercrime and she uses the term thugs.
[00:55:14.230 --> 00:55:18.131]  We got in trouble when we said that about people who are burning down buildings.
[00:55:18.131 --> 00:55:26.634]  But of course, if you're going to burn down your data and do these other things, that's one of the things Trey Gowdy said, you know, she said there's a lot of smoke but no fire.
[00:55:26.634 --> 00:55:30.595]  He goes, no, it's really more like arson that you can see going on there.
[00:55:31.135 --> 00:55:43.749]  Donna Brazile said, the notion that we're going to let some person put out personal sensitive information across the world jeopardizing people's privacy, and we're interviewing him as if he's going to have a smoking gun.
[00:55:43.749 --> 00:55:46.492]  Since when do they care about people's privacy?
[00:55:46.492 --> 00:55:50.997]  These people who keep everything dark, hidden, and secretive, okay?
[00:55:50.997 --> 00:55:51.737]  It's people like
[00:55:52.662 --> 00:55:56.645]  The Clintons and the Bushes who have created WikiLeaks.
[00:55:56.645 --> 00:56:03.149]  So you know what, Donna Brazile, if you don't like WikiLeaks, you got nobody to blame but yourself.
[00:56:03.149 --> 00:56:05.170]  WikiLeaks and Julian Assange are there.
[00:56:05.170 --> 00:56:06.251]  Why?
[00:56:06.251 --> 00:56:11.114]  Because you treat everything as a deep, dark secret.
[00:56:11.114 --> 00:56:13.696]  Hillary Clinton talked about the dark corners of the web.
[00:56:13.696 --> 00:56:14.376]  No.
[00:56:14.376 --> 00:56:18.459]  What is dark, and what has gone dark, is government.
[00:56:18.459 --> 00:56:20.140]  Specifically, the federal government.
[00:56:20.936 --> 00:56:24.919]  Everything is hidden, for the most part, because you want to create crimes.
[00:56:24.919 --> 00:56:27.581]  You want to cover up your criminal activities.
[00:56:27.581 --> 00:56:28.782]  That's why you hide everything.
[00:56:28.782 --> 00:56:34.947]  That's why you treat everything as if it's national security, unless it actually is national security.
[00:56:34.947 --> 00:56:46.116]  And then you put it on your own private server because you're more concerned about concealing your own private Machiavellian dealings than you are concerned about people's lives that are at risk.
[00:56:46.116 --> 00:56:49.018]  People that are part of the NSA who are doing something real.
[00:56:50.575 --> 00:56:52.696]  That's the way they have perverted this.
[00:56:52.696 --> 00:56:58.800]  Demanding to know every detail of the people's lives, but denying that we have a right to know anything about them.
[00:56:58.800 --> 00:57:02.562]  As we pointed out last week when she said, there's a lot of smoke but there's no fire.
[00:57:02.562 --> 00:57:15.951]  Remember it was just a couple of months ago we learned from Huma Abedin's emails and from testimony with Judicial Watch taking her testimony, we learned that Hillary Clinton was putting her schedule in the burn bag.
[00:57:16.491 --> 00:57:25.055]  And we had a guy who'd worked for multiple administrations, who had been a UN ambassador from the US, as well as working for many secretaries of state.
[00:57:25.055 --> 00:57:29.597]  He said that, by law, was supposed to be public information.
[00:57:29.597 --> 00:57:33.539]  And yet Hillary Clinton is putting that in her burn bag.
[00:57:33.539 --> 00:57:36.220]  What has she got to hide?
[00:57:36.220 --> 00:57:37.321]  Nothing but her criminal activity.
[00:57:37.321 --> 00:57:38.641]  We'll be right back.
[00:57:38.641 --> 00:57:39.122]  Stay tuned.
[00:57:39.122 --> 00:57:42.043]  We're going to have a special report from Alex Jones coming up in the next hour.
[00:57:51.335 --> 00:57:52.016]  Uh, yeah.
[00:57:52.016 --> 00:57:57.821]  First of all, I want to say, Secret 12, Act 2, Supermail, Brain Force, Prostagart, Silver Bullet.
[00:57:57.821 --> 00:57:58.801]  I use them all.
[00:57:58.801 --> 00:57:59.782]  They're phenomenal.
[00:57:59.782 --> 00:58:00.523]  They work.
[00:58:00.523 --> 00:58:01.363]  Buy them, folks.
[00:58:01.363 --> 00:58:01.784]  Thank you, brother.
[00:58:01.784 --> 00:58:03.765]  I really thank you guys for putting those out there.
[00:58:03.765 --> 00:58:09.991]  I am a relatively short-time listener, and I'm quite a supporter of your fine, fine products.
[00:58:09.991 --> 00:58:11.972]  Welcome to the Info War.
[00:58:11.972 --> 00:58:17.397]  It's so easy to get these incredible nutraceuticals that support your health and the Info War at the same time.
[00:58:17.677 --> 00:58:18.538]  I'm a nine-year listener.
[00:58:18.538 --> 00:58:22.441]  I buy all the nutraceuticals, Costco FX, uh, Nascent... Right!
[00:58:22.441 --> 00:58:23.221]  Let me ask you a question.
[00:58:23.221 --> 00:58:24.262]  Have they worked for you?
[00:58:24.262 --> 00:58:27.124]  They're the most unbelievable products I've ever had in my life.
[00:58:27.124 --> 00:58:28.205]  What products are you taking?
[00:58:28.205 --> 00:58:36.771]  Are you taking... Everything from, uh, Super Male to, uh, Brain Force to Winter Sun, uh, X2, even got a little, uh, DNA Force, so... Nice.
[00:58:36.771 --> 00:58:39.954]  And I just re-upped everything and I just went to Autofill.
[00:58:40.114 --> 00:58:45.157]  Visit Infowarslife.com to read the information and research and to see the reviews for yourself.
[00:58:45.157 --> 00:58:47.198]  That's Infowarslife.com or call 888-253-3139.
[00:58:52.327 --> 00:59:00.611]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[00:59:00.611 --> 00:59:01.831]  A 360 win.
[00:59:01.831 --> 00:59:08.374]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at infowarshore.com.
[00:59:08.374 --> 00:59:15.918]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[00:59:16.318 --> 00:59:20.982]  Number three, we're giving you free shipping on all orders above $50.
[00:59:20.982 --> 00:59:27.487]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[00:59:27.487 --> 00:59:35.293]  Just go to InfoWarsStore.com, select your favorite product or products, click on auto ship, and choose how often you want us to send you another order.
[00:59:35.293 --> 00:59:42.498]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWarsLife.com, this is a sure win.
[00:59:42.498 --> 00:59:43.299]  10% off on auto ship.
[00:59:43.459 --> 00:59:45.900]  Win-win-win at Infowarslife.com.
[00:59:45.900 --> 00:59:47.882]  Free shipping on orders above $50.
[00:59:47.882 --> 00:59:55.186]  And all out-of-stock items are never out of stock when you sign up for AutoShip.
[00:59:55.186 --> 00:59:57.788]  You're listening to the Alex Jones Show.
[01:00:07.421 --> 01:00:09.306]  We are on the march.
[01:00:09.306 --> 01:00:12.474]  The Empire is on the run.
[01:00:12.474 --> 01:00:16.183]  Alex Jones and the GCN Radio Network.
[01:00:21.616 --> 01:00:22.977]  Welcome back to the Alex Jones Show.
[01:00:22.977 --> 01:00:23.518]  I'm David Knight.
[01:00:23.518 --> 01:00:26.360]  We're going to have a special report from Alex Jones in this hour.
[01:00:26.360 --> 01:00:33.345]  We're also going to be playing for you some excerpts from the speech that Nigel Farage gave in Mississippi.
[01:00:33.345 --> 01:00:38.729]  A great speech laying out the principles that we're looking at here because you know what happened in Britain with Brexit?
[01:00:38.729 --> 01:00:48.857]  One of the reasons that we were so excited about the Brits taking back their control of their economy is because that truly is the issue.
[01:00:48.857 --> 01:00:50.238]  This is a global fight.
[01:00:51.107 --> 01:01:04.619]  And we have to look at this and understand that this is a global issue and we have to act at the national level to make sure that we still have nations, that we still have a government that we have some say in.
[01:01:04.619 --> 01:01:10.484]  It was Nigel Farage, of course, that we had played the speeches where he was calling out the EU, saying
[01:01:12.267 --> 01:01:22.300]  Who made you the people who could take out a democratically elected government in Italy and Greece and put in unelected bankers from Goldman Sachs?
[01:01:23.291 --> 01:01:24.132]  He called him out on that.
[01:01:24.132 --> 01:01:37.280]  He said in his last speech to the European Parliament, he said, a number of years ago, I came here and I told you a lot that I was going to get Britain out of the European Union and you all laughed.
[01:01:37.280 --> 01:01:39.562]  And he said, who's laughing now?
[01:01:39.562 --> 01:01:42.144]  And of course, that is the key issue.
[01:01:42.144 --> 01:01:50.309]  Are we going to have our country, our economy, controlled by people who are not even in the country?
[01:01:50.309 --> 01:01:52.851]  By globalists who are not answerable to the people?
[01:01:53.851 --> 01:01:59.392]  That is truly what is happening and what is at stake with the Transatlantic, with the Trans-Pacific partnerships.
[01:01:59.392 --> 01:02:06.013]  These deals that were written by multinational corporations and their lobbyists, without the input of our elected representatives.
[01:02:06.013 --> 01:02:09.574]  As a matter of fact, our elected representatives were not allowed to see it until it was completed.
[01:02:09.574 --> 01:02:10.834]  They were not allowed to talk about it.
[01:02:10.834 --> 01:02:19.516]  They're not going to be allowed to do any kind of amendment to it, or have any kind of a debate, or have any say-so as to whether or not it's going to come up for a vote.
[01:02:19.516 --> 01:02:21.196]  Once they want to pull this up for a vote,
[01:02:22.182 --> 01:02:23.545]  It's going to be brought to the floor.
[01:02:23.545 --> 01:02:31.539]  They have already passed a law, the Trade Promotion Authority, which subverts the whole constitutional process of passing a treaty.
[01:02:32.478 --> 01:02:35.160]  A treaty is supposed to be passed in a certain way.
[01:02:35.160 --> 01:02:38.062]  It's supposed to be passed by the Senate with a two-thirds majority.
[01:02:38.062 --> 01:02:40.104]  They don't have those votes in the Senate.
[01:02:40.104 --> 01:02:44.027]  So what they decided to do is they would have a simple majority in both houses.
[01:02:44.027 --> 01:02:45.748]  That they would shut down any filibusters.
[01:02:45.748 --> 01:02:47.349]  That they would shut down any amendment.
[01:02:47.349 --> 01:02:54.055]  That they would shut down any debate after they shut out our elected representatives in terms of creating this.
[01:02:54.055 --> 01:02:56.576]  And it's not simply an economic issue.
[01:02:56.576 --> 01:02:58.038]  It's not simply about jobs.
[01:02:58.976 --> 01:03:00.620]  It has so many different aspects.
[01:03:00.620 --> 01:03:03.327]  It controls, it affects our internet freedom.
[01:03:04.172 --> 01:03:05.573]  It has controls there for the internet.
[01:03:05.573 --> 01:03:18.438]  It has controls that would shut people down from putting blocks up against GMOs or other things that they're concerned about in their country because our economies are not going to be managed by the countries.
[01:03:18.438 --> 01:03:21.540]  They're going to be managed by a group of unelected people.
[01:03:21.540 --> 01:03:27.262]  And once we pass this, that committee will be able to include any other country like China.
[01:03:27.262 --> 01:03:30.463]  We're told that this is a move to protect ourselves against China.
[01:03:30.463 --> 01:03:30.904]  Not true.
[01:03:31.804 --> 01:03:41.476]  China can be added very easily by this commission, just as they can change every one of the aspects of the trade partnerships, as they call it.
[01:03:41.476 --> 01:03:42.978]  They're actually treaties.
[01:03:42.978 --> 01:03:46.342]  Those treaties would then be living documents, as Jeff Sessions has pointed out.
[01:03:46.342 --> 01:03:48.544]  So, this is an issue just like Brexit.
[01:03:49.125 --> 01:04:03.064]  Where the European Union was telling British fishermen who had fished for generations, for centuries, in their own waters, saying, sorry, you can't fish there, and you're not going to have any say as to the level of fishing that is going to happen in those waters.
[01:04:03.064 --> 01:04:04.686]  We're going to be the ones who decide that.
[01:04:05.643 --> 01:04:07.244]  We're not isolationists.
[01:04:07.244 --> 01:04:10.727]  We simply want to control our own destiny.
[01:04:10.727 --> 01:04:13.209]  We have a right to do that.
[01:04:13.209 --> 01:04:17.432]  So when we look at this and we look at these other issues, that is really what is before.
[01:04:17.432 --> 01:04:22.156]  So we're going to play Nigel Farage's speech and just real quickly before we go to break.
[01:04:22.836 --> 01:04:26.119]  This is an example of the corruption that we have in this country.
[01:04:26.119 --> 01:04:30.864]  Always the whistleblowers are the ones who are attacked when they expose wrongdoing.
[01:04:30.864 --> 01:04:33.046]  Here's an article from the Daily Caller.
[01:04:33.046 --> 01:04:33.627]  L.A.
[01:04:33.627 --> 01:04:35.568]  VA Hospital lost 30 cars.
[01:04:35.568 --> 01:04:36.950]  Guess who got in trouble?
[01:04:36.950 --> 01:04:38.792]  The guy who reported it!
[01:04:38.792 --> 01:04:44.277]  Okay, they lost 30 out of 88 vehicles and official credit cards.
[01:04:44.277 --> 01:04:45.778]  And instead of the guys who lost it,
[01:04:46.579 --> 01:04:48.422]  Going to jail or getting in trouble.
[01:04:48.422 --> 01:04:50.967]  The guy who reported it got fired.
[01:04:50.967 --> 01:04:57.538]  Even though they had people that didn't get fired who had bracelets on them because they'd been involved in armed robbery.
[01:04:57.538 --> 01:04:59.341]  They were still having them come to the VA.
[01:04:59.341 --> 01:05:00.282]  Stay with us, we'll be right back.
[01:05:02.193 --> 01:05:04.295]  Joe Biggs here with InfoWars.com.
[01:05:04.295 --> 01:05:12.761]  Headline news quietly confirmed Dr. Drew Pinsky's program will end next month, though he will remain a contributor for CNN worldwide.
[01:05:12.761 --> 01:05:18.765]  Back on August 18th, Dr. Drew dropped a bombshell that he was gravely concerned about Hillary's health.
[01:05:19.005 --> 01:05:27.709]  The famous TV doctor was actually asked to be on KABC's McIntyre in the Morning show to debunk questions about the 68-year-old Clinton's health.
[01:05:27.709 --> 01:05:37.433]  But instead, Penske said he's become concerned about Clinton's health and the medical care she has received after reviewing the records that have been made public.
[01:05:37.433 --> 01:05:39.134]  And now, New York Post.
[01:05:39.134 --> 01:05:41.395]  Headline news drops Dr. Drew.
[01:05:41.395 --> 01:05:45.037]  Now here at Infowars.com, we've gone into great detail talking about
[01:05:45.077 --> 01:05:47.558]  Defending the Republic from enemies, foreign and domestic.
[01:05:47.558 --> 01:05:48.078]  It's Alex Jones.
[01:06:16.167 --> 01:06:17.427]  Welcome back to the Alex Jones Show.
[01:06:17.427 --> 01:06:18.028]  I'm David Knight.
[01:06:18.028 --> 01:06:21.529]  We're going to have Alex joining us with a special report at the bottom of this hour.
[01:06:21.529 --> 01:06:24.009]  Before we do, I want to talk about tax returns.
[01:06:24.009 --> 01:06:29.671]  I know you probably don't want to hear about tax returns, but Hillary Clinton wants to hear about Donald Trump's tax returns.
[01:06:29.671 --> 01:06:34.953]  And we've had people inside the Trump campaign, or friends of Trump, on both sides of this issue.
[01:06:34.953 --> 01:06:37.073]  I want to take a look at what some of the people are saying.
[01:06:37.073 --> 01:06:38.894]  Of course, we had Roger Stone last Monday.
[01:06:39.614 --> 01:06:44.398]  Come out and say that he thought that Donald Trump should release his tax returns immediately.
[01:06:44.398 --> 01:06:48.201]  And of course, Roger Stone is an avid Trump supporter.
[01:06:48.201 --> 01:06:49.022]  He wishes him well.
[01:06:49.022 --> 01:06:51.824]  He's not criticizing him for not releasing the reports.
[01:06:51.824 --> 01:06:56.969]  He believes that there's nothing to see there and that it would be a gesture to people to say, look,
[01:06:58.089 --> 01:06:59.030]  Here's full disclosure.
[01:06:59.030 --> 01:07:00.050]  Here's my tax returns.
[01:07:00.050 --> 01:07:06.574]  Meanwhile, Trump's son said on Wednesday, two days later, it would be foolish for my dad to release tax returns.
[01:07:06.574 --> 01:07:14.478]  He said you would have a bunch of people who know nothing about taxes trying to look through and trying to come up with assumptions on things that they don't know anything about.
[01:07:14.478 --> 01:07:15.919]  It'd be foolish to do so.
[01:07:15.919 --> 01:07:18.420]  I'm actually the biggest proponent of not doing it.
[01:07:19.457 --> 01:07:30.209]  And they point out that Hillary Clinton last summer released her tax returns from 2007 to 2015, and Tim Kaine also released 10 years of returns this month.
[01:07:30.209 --> 01:07:32.212]  Okay, let me explain something to you.
[01:07:32.212 --> 01:07:38.919]  First of all, Hillary Clinton has carefully crafted her tax returns for public consumption, okay?
[01:07:39.600 --> 01:07:42.361]  That's not where she hides her money.
[01:07:42.361 --> 01:07:45.561]  That's not how she does her dirty deals, okay?
[01:07:45.561 --> 01:08:00.504]  She does her dirty deals inside the Clinton Foundation, as we're learning, as the AP has to take her to court, as Judicial Watch has to take her to court, as WikiLeaks has to expose her dark Machiavellian plots, okay, how she gets her money.
[01:08:00.504 --> 01:08:04.705]  They put out their tax returns so that they look squeaky clean.
[01:08:04.705 --> 01:08:05.645]  Understand that
[01:08:06.627 --> 01:08:15.157]  When you've got as complicated a tax return as Donald Trump, and I agree with Eric on this one, I think that they should not release these tax returns.
[01:08:15.157 --> 01:08:21.684]  I think this is nothing but a fishing expedition by Hillary Clinton, wanting to muddy the waters.
[01:08:21.684 --> 01:08:23.386]  If you go back and look at
[01:08:24.790 --> 01:08:42.137]  What money magazine used to do I used to subscribe to money magazine decades ago and I've got a report that went back and found 1990 26 years ago this is from the Pittsburgh Press headline here hard to figure 48 of 50 experts flunked a tax return test okay
[01:08:42.617 --> 01:08:48.745]  What they say is, ask 50 tax experts to calculate the federal taxes of a make-believe family.
[01:08:48.745 --> 01:08:50.488]  Now this is a family's tax return.
[01:08:50.488 --> 01:08:57.577]  It's not as complicated by any means as the multiple businesses that Donald Trump owns.
[01:08:57.577 --> 01:08:58.458]  A make-believe family
[01:08:59.099 --> 01:09:01.780]  And you get 50 different answers, most of them wrong.
[01:09:01.780 --> 01:09:07.283]  Every year, every year, Money Magazine would get a group of 30 to 50 tax accountants.
[01:09:07.283 --> 01:09:13.586]  They would give them a tax return that was a little bit complicated, but still it was just an individual's tax return.
[01:09:13.586 --> 01:09:15.287]  It wasn't even a business tax return.
