[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[01:58:01.910 --> 01:58:06.872]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[01:58:06.872 --> 01:58:09.054]  Their depopulation agenda has been exposed.
[01:58:10.114 --> 01:58:15.716]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[01:58:15.716 --> 01:58:21.138]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[01:58:21.138 --> 01:58:24.819]  And when you buy products at InfoWarsTore.com, you keep us on air.
[01:58:24.819 --> 01:58:31.881]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[01:58:31.881 --> 01:58:33.962]  Both of these are in our top five best sellers.
[01:58:33.962 --> 01:58:35.362]  They are so good for your body.
[01:58:35.362 --> 01:58:36.923]  And if there's two things you do for your body,
[01:58:37.603 --> 01:58:38.684]  It's these two products.
[01:58:38.684 --> 01:58:41.446]  They're all back in stock at m4wrestore.com.
[01:58:41.446 --> 01:58:43.287]  50% off and it keeps us on the air.
[01:58:43.287 --> 01:58:47.389]  Only way we fail is if you don't take action.
[01:58:47.389 --> 01:58:51.512]  Three very important life-saving words.
[01:58:51.512 --> 01:58:55.295]  Vitamins, minerals, amino acids.
[01:58:55.295 --> 01:58:59.537]  And you find them all in Vitamin Mineral Fusion.
[01:58:59.537 --> 01:59:06.062]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources,
[01:59:06.642 --> 01:59:15.168]  And a bunch of key compounds, amino acids, known to help get the nutrients into your tissues, into your cells.
[01:59:15.168 --> 01:59:24.175]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[01:59:24.175 --> 01:59:27.937]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[01:59:27.937 --> 01:59:31.300]  We're going to run this for a week and then
[01:59:32.080 --> 01:59:33.742]  We are going to be selling out of this product.
[01:59:33.742 --> 01:59:40.207]  Hopefully more comes in in the next month or so because it's a bestseller and it's something everybody needs for their immune system and their body.
[01:59:40.207 --> 01:59:43.790]  Get your Vitamin Mineral Fusion now and support the InfoWar.
[01:59:43.790 --> 01:59:50.816]  A 360 win at InfoWarStore.com.
[01:59:50.816 --> 01:59:54.739]  If you are receiving this transmission, you are the resistance.
[02:00:08.940 --> 02:00:11.503]  All right, Tommy Robinson leaves us in 15 minutes.
[02:00:11.503 --> 02:00:21.273]  He's got to come back sooner, but I know he's been undercover the last year working on this multi-part film, so that no matter what happens to him, they put him back in prison, all the other parts get released.
[02:00:21.273 --> 02:00:22.494]  What he's telling you is very clear.
[02:00:22.494 --> 02:00:27.259]  Without Man.Video, it might not be able to get out, but we're going to try to stay on air as long as possible as well.
[02:00:28.814 --> 02:00:29.294]  Other points?
[02:00:29.294 --> 02:00:31.155]  Mate, whilst we're on Covid, you know the vaccine?
[02:00:56.807 --> 02:01:01.049]  I think the mandates are simply about getting rid of all the freethinkers.
[02:01:01.049 --> 02:01:02.389]  All the freethinkers will be gone.
[02:01:02.389 --> 02:01:11.013]  They'll be erased from the military, erased from the banks, erased from all the major corporations, and then they'll have every employee as a stormtrooper that they want.
[02:01:11.013 --> 02:01:11.673]  So watch all this.
[02:01:11.673 --> 02:01:13.113]  I think this isn't even about the vaccine.
[02:01:13.113 --> 02:01:20.416]  They're literally going to—you've got to this date and you're going to lose your job, whether it be in the NHS, whether it be in the American government, whether it be in the military.
[02:01:20.416 --> 02:01:22.517]  If they manage that, all the freethinkers are gone.
[02:01:23.360 --> 02:01:31.585]  All the people, and the rest that's left, are the people who listen to them, who abide by them, who believe they're there for their best interests.
[02:01:31.585 --> 02:01:36.828]  So whilst we're on the Covid issue, that's why when I'm watching what's going on, that's what I believe they're doing.
[02:01:36.828 --> 02:01:37.929]  It's just getting rid of the free speakers.
[02:01:37.929 --> 02:01:38.789]  Tommy, I totally agree.
[02:01:38.789 --> 02:01:52.638]  At the main level, it's about subservience and domination, and when the vaccine is poisonous, that scares the smart people away to make sure they've got a group of people that are so dumb, they'll follow orders to take something that's poisonous to themselves and others.
[02:01:53.837 --> 02:01:57.260]  And not just follow the orders to take it, but they'll be all the people who are being controlled.
[02:01:57.260 --> 02:02:01.804]  All the free thinkers, whether they be doctors, whether they be military, they'll be gone.
[02:02:01.804 --> 02:02:03.846]  They won't be working within those fields.
[02:02:03.846 --> 02:02:09.170]  So all of the controlled fields that come under the American government will be everyone who's employed.
[02:02:09.170 --> 02:02:15.496]  If they get rid of all the people who won't get vaccinated, they will have got rid of all of the free thinkers within those fields.
[02:02:15.496 --> 02:02:16.316]  I totally agree.
[02:02:16.316 --> 02:02:17.317]  And then what's the next move?
[02:02:17.317 --> 02:02:18.618]  Release a more deadly virus?
[02:02:18.618 --> 02:02:21.381]  Or why are they doing a purge of the military, police and the medical field?
[02:02:22.512 --> 02:02:27.556]  Well, there is one other thing that's benefited, not benefited.
[02:02:27.556 --> 02:02:38.545]  But I think we were like the test cases because we were talking about Islam and they were coming down on us and the level of censorship and the propaganda and the media and all of that.
[02:02:38.545 --> 02:02:42.508]  But now there's so many people now who are being awoken
[02:02:43.163 --> 02:02:49.225]  Who see the same with how they're being labelled as conspiracy theorists, or they're being attacked by the media.
[02:02:49.225 --> 02:02:51.486]  They see the light.
[02:02:51.486 --> 02:02:57.989]  So what this has done, is it hopefully has brought so many more people to question what is going on.
[02:02:57.989 --> 02:03:00.970]  And when you start questioning what is going on, your eyes open.
[02:03:00.970 --> 02:03:04.472]  And from my experience, once they're open, you can't close them.
[02:03:04.472 --> 02:03:08.433]  Once they're open, and once you realise the danger that we're in, the danger you're in.
[02:03:08.433 --> 02:03:10.474]  If you have children, I look at my three children,
[02:03:11.104 --> 02:03:19.113]  I want to hand them down a safe and prosperous future, and I'll do everything within my breathing body to make sure they have that.
[02:03:19.113 --> 02:03:26.781]  And when you realise now the danger, so with us talking about Islam, that might come in five years, ten years, twenty years, yeah?
[02:03:26.781 --> 02:03:28.804]  The problem is the immediate danger.
[02:03:29.304 --> 02:03:39.137]  is the taking away of our rights and our freedoms right now by the British government, by the American government, with the forced vaccines, with the mandates, with the lockdowns, with all of this.
[02:03:39.137 --> 02:03:40.398]  And do you know the mad thing is?
[02:03:40.398 --> 02:03:45.485]  I'm looking in the UK and looking at who would be the best allies in fighting and battling this.
[02:03:46.252 --> 02:03:49.434]  And they're probably from the migrant background, especially from the Islamic background.
[02:03:49.434 --> 02:03:52.955]  Because we need to look at our immediate risk here and our immediate problem.
[02:03:52.955 --> 02:03:57.398]  And more so to understand the way we have been played as well.
[02:03:57.398 --> 02:04:05.582]  So we're here battling, whether it be white, black, BLM, it's this, it's gay, it's straight, it's us battling against the Islamic community.
[02:04:05.582 --> 02:04:11.245]  And the whole time we've been played through the immigration system to bring it all in, to cause us chaos.
[02:04:11.505 --> 02:04:22.994]  To cause us divide, and whilst they do that, and we're all screaming and shouting at each other, they are literally taking away every single freedom that every single one of our forefathers fought and died to give us.
[02:04:22.994 --> 02:04:23.555]  It's not free.
[02:04:23.555 --> 02:04:25.536]  When we talk about freedom, it wasn't free.
[02:04:25.536 --> 02:04:29.640]  A generation of men left their children behind and died on beaches for that freedom.
[02:04:29.640 --> 02:04:33.643]  That's how we got it, and right now we're all sitting just giving it away.
[02:04:33.643 --> 02:04:40.669]  You see people queuing up and queuing up and walking around with their masks on, and I just think we are handing away everything.
[02:04:41.890 --> 02:04:56.129]  We're handing away things that our forebears fought back, as you said, Englishmen, 900 years of the Magna Carta, 900 years of people getting inch by inch, millimeter by millimeter freedoms that are now being flushed down the toilet in a flash of a
[02:04:59.121 --> 02:05:14.666]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[02:05:14.666 --> 02:05:20.128]  Two of our top selling products that have been sold out for a long time are now back in stock.
[02:05:20.848 --> 02:05:27.149]  Winter Sun, the highest quality vitamin D3, taken under the tongue for higher absorption, is back in stock.
[02:05:27.149 --> 02:05:30.590]  Despite the fact it's been sold out for months, it is 50% off.
[02:05:30.590 --> 02:05:43.893]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[02:05:43.893 --> 02:05:45.393]  So that's the New Year's special.
[02:05:45.933 --> 02:05:49.174]  And that's Christmas comes early in 2022, ladies and gentlemen.
[02:05:49.174 --> 02:05:56.077]  Give yourself a gift of health and clarity and focus with X2 and Winter Sun at infowarestore.com.
[02:05:56.077 --> 02:05:57.938]  50% off for a limited time.
[02:05:57.938 --> 02:05:58.998]  Thanks for keeping us on the air.
[02:06:10.058 --> 02:06:12.301]  He never gives up.
[02:06:12.301 --> 02:06:14.344]  He's Alex Jones.
[02:06:14.344 --> 02:06:19.190]  Broadcasting from deep in the heart of Texas, worldwide.
[02:06:19.190 --> 02:06:19.391]  Well...
[02:06:25.178 --> 02:06:34.484]  Our guest Tommy Robinson never gives up, and he's got a big film coming out in just a few weeks at Man.video, The Rape of England.
[02:06:34.484 --> 02:06:39.908]  But he was saying, hey, the Muslim rape gangs, the government covering it up, that's all part of the divide and conquer.
[02:06:39.908 --> 02:06:44.811]  He was saying the number one thing is all over the world, the erasure
[02:06:45.895 --> 02:06:46.415]  Of course!
[02:07:05.876 --> 02:07:18.822]  And then because the child will make-believe and role-play and say, okay, I'm a boy, but I'm a girl now, or vice versa, then the school marks your child and begins a sick psychological relationship with them, telling them they're in other sex.
[02:07:18.822 --> 02:07:21.824]  I have a lot of family, a lot of cousins.
[02:07:21.824 --> 02:07:26.006]  They're in conservative Christian areas of East Texas and North Texas.
[02:07:26.006 --> 02:07:31.749]  Suburbs of Dallas and areas, let's just say, a couple hours north of Houston.
[02:07:32.768 --> 02:07:38.214]  I have multiple cousins without me even asking when I see them at a family event.
[02:07:38.214 --> 02:07:43.039]  They're like, hey, did you know that, by the way, some of these people are liberals and they're against it.
[02:07:43.039 --> 02:07:46.543]  They're like, you know, my 12 year old daughter, the daughter's right there.
[02:07:46.543 --> 02:07:50.047]  Like, yeah, they called her in last week and said, you're really a boy.
[02:07:50.047 --> 02:07:50.948]  She's not even trouble.
[02:07:50.948 --> 02:07:52.509]  She's a straight A student.
[02:07:52.509 --> 02:07:53.511]  They go, you're really a boy.
[02:07:53.511 --> 02:07:54.632]  And she goes, no, I'm a girl.
[02:07:55.655 --> 02:07:59.705]  And then they start telling her, no, you're a boy, you know, you're mentally ill if you don't.
[02:07:59.705 --> 02:08:00.969]  And then I talked to other family.
[02:08:00.969 --> 02:08:01.329]  They're doing it.
[02:08:01.329 --> 02:08:04.457]  There's seven year old boy saying you could be a girl.
[02:08:05.652 --> 02:08:16.060]  What is a school counselor calling a seven-year-old in, it's like in the nurse's office, for a, quote, well check, and they just do, and then say, oh, you like makeup?
[02:08:16.060 --> 02:08:16.861]  You like dresses?
[02:08:16.861 --> 02:08:18.882]  And then they say, well, sure.
[02:08:18.882 --> 02:08:23.326]  They put it in a book and now start a sick relationship with your child.
[02:08:23.326 --> 02:08:33.454]  If somebody did that to you in a park, if you're in a park cooking hamburgers, and some dude walks over to your eight-year-old daughter and says, I want to talk about your sexuality, you're going to break that guy's neck.
[02:08:34.850 --> 02:08:36.953]  Now it's done by the school and nothing's done.
[02:08:36.953 --> 02:08:42.359]  So yes, this is the takeover by the state, day one, and Tommy Robinson's dead right.
[02:08:42.359 --> 02:08:43.401]  This is the big issue.
[02:08:43.401 --> 02:08:48.266]  Tell us what's happening in the UK, because you guys are under the worst attack.
[02:08:48.266 --> 02:08:49.348]  In the city of Birmingham...
[02:08:50.225 --> 02:08:51.746]  Birmingham.
[02:08:51.746 --> 02:08:53.988]  And they do it all in the name of tolerance.
[02:08:53.988 --> 02:09:01.013]  So they're teaching our children these things about whether it be about LGBTQ+, whatever it is.
[02:09:01.013 --> 02:09:02.094]  It's all about tolerance.
[02:09:02.094 --> 02:09:03.394]  And I looked at the name.
[02:09:03.394 --> 02:09:09.239]  There were certain books and there was a person in control of the education for the Birmingham area.
[02:09:09.239 --> 02:09:13.822]  And I looked them up and I went back through all of what they've been saying over the years.
[02:09:13.822 --> 02:09:16.504]  And one of their words, one of their, and I'll quote them.
[02:09:17.692 --> 02:09:21.615]  They want to smash heteronormativity.
[02:09:21.615 --> 02:09:23.556]  They want to smash heteronormativity.
[02:09:23.556 --> 02:09:25.938]  So this isn't about tolerance.
[02:09:25.938 --> 02:09:27.019]  This is about intolerance.
[02:09:28.008 --> 02:09:38.739]  This is about smashing male and female whales, male and female birds, male and female humans, smashed like aliens show up and they smash your reproduction.
[02:09:38.739 --> 02:09:39.660]  That's how they kill you.
[02:09:39.660 --> 02:09:43.463]  And they tell you, we're eugenicists, we're transhumanists, we want to depopulate.
[02:09:43.463 --> 02:09:46.146]  We're going to smash your heterosexual communities.
[02:09:46.146 --> 02:09:47.307]  Well, we're designed for that.
[02:09:47.307 --> 02:09:48.248]  It's what we are.
[02:09:48.248 --> 02:09:49.709]  It's an attack on the species.
[02:09:49.709 --> 02:09:50.991]  It's so damn alien.
[02:09:50.991 --> 02:09:51.851]  And they use our own
[02:09:52.592 --> 02:09:57.575]  Our own hospitality against us were, okay, smash my heterosexuality!
[02:09:57.575 --> 02:10:02.118]  I'll show you I'm open to you sexualizing my children, you criminals!
[02:10:02.118 --> 02:10:05.920]  No, you're pedophile sick freaks!
[02:10:05.920 --> 02:10:13.125]  This is actually what the Muslims were protesting about in Birmingham and they were labelled extremists by the media and they were shut down.
[02:10:13.829 --> 02:10:16.912]  But what they were arguing against was totally just.
[02:10:16.912 --> 02:10:19.455]  They were arguing against the sexualisation of their kids.
[02:10:19.455 --> 02:10:23.840]  Now we see this, we saw as well, that they were teaching about self-masturbation.
[02:10:23.840 --> 02:10:28.245]  They were teaching children, age 6, about how to love themselves.
[02:10:28.245 --> 02:10:29.226]  Self-masturbation!
[02:10:29.526 --> 02:10:33.808]  Now, I would speak to my six-year-old about masturbating.
[02:10:33.808 --> 02:10:38.091]  How is a school teacher in a position to be sitting talking to our children?
[02:10:38.091 --> 02:10:42.653]  And all of these things, to anyone listening, may sound insane, okay?
[02:10:42.653 --> 02:10:43.754]  It's like a lot of this.
[02:10:43.754 --> 02:10:44.694]  I had to check it.
[02:10:44.694 --> 02:10:46.915]  I had to sit and research it myself.
[02:10:46.915 --> 02:10:48.837]  See, wow, they are doing this.
[02:10:48.837 --> 02:10:51.298]  And your ability to take your child out of sex education?
[02:10:51.778 --> 02:10:53.879]  To take your child out of a religious education?
[02:10:53.879 --> 02:10:54.759]  It's going!
[02:10:54.759 --> 02:10:56.819]  In Wales, it's already gone, I believe.
[02:10:56.819 --> 02:11:01.141]  So again, you're running a business in your small town, seeing the child kidnapping rings.
[02:11:01.141 --> 02:11:03.461]  You're raising children, they're trying to brainwash them.
[02:11:03.461 --> 02:11:05.162]  They keep messing with you.
[02:11:05.162 --> 02:11:06.882]  You're not out there starting the fight.
[02:11:06.882 --> 02:11:10.183]  They're out there coming after your children.
[02:11:10.183 --> 02:11:17.045]  They are, and you know, for anyone in Britain watching this, we've drew the line in the sand is to help them.
[02:11:17.719 --> 02:11:22.621]  We are going to hit Telford in some way on the 29th of January.
[02:11:22.621 --> 02:11:28.983]  In a way that's going to have the authorities, the establishment, sitting there thinking, I thought we deleted this guy, yeah?
[02:11:28.983 --> 02:11:30.263]  I thought we erased him.
[02:11:30.263 --> 02:11:31.143]  I thought he was gone.
[02:11:31.143 --> 02:11:32.644]  No, we're not gone, yeah?
[02:11:32.644 --> 02:11:38.025]  We're not gone, and we're going to keep hitting that city, and we're going to keep raising awareness until something's done.
[02:11:38.025 --> 02:11:42.167]  Until something's done, we will be that little thorn in your side that keeps hitting you back.
[02:11:42.167 --> 02:11:46.108]  That's right, because if you can stop the state-run pedophile rings in one town, you can stop them all.
[02:11:47.259 --> 02:11:52.823]  If we can highlight it enough and bring to justice enough, I said we can go from one to the other, we're just going to keep with Telford.
[02:11:52.823 --> 02:12:01.908]  And I guarantee you, we will sit on this show, and I will be placed with some sort of injunction, or some sort of legal route, in order to try and prevent me going into that town.
[02:12:01.908 --> 02:12:02.789]  I guarantee you that.
[02:12:02.789 --> 02:12:08.753]  And then when you still defend the children, they'll throw you in solitary confinement, where explained, they let the Muslims literally piss on you.
[02:12:10.306 --> 02:12:12.908]  It is, but that's when they're in Catch-22.
[02:12:12.908 --> 02:12:17.210]  If they do that, they raise more awareness to our film, which will awaken more people.
[02:12:17.210 --> 02:12:19.952]  My job and my role is to awaken people.
[02:12:19.952 --> 02:12:23.134]  If they imprison me, they awaken people.
[02:12:23.134 --> 02:12:26.036]  Many people would have been turned when they locked me up last time.
[02:12:26.036 --> 02:12:28.017]  I remember saying to them, as I was getting arrested,
[02:12:28.337 --> 02:12:31.481]  More people gonna watch this video than you can ever dream of!
[02:12:31.481 --> 02:12:33.424]  5 million people watched that video that weekend.
[02:12:33.424 --> 02:12:35.927]  That's 5 million people questioning the media.
[02:12:35.927 --> 02:12:37.849]  5 million people talking about the rape gangs.
[02:12:37.849 --> 02:12:40.132]  If that saves one girl, it's worth it.
[02:12:40.132 --> 02:12:40.493]  Yeah?
[02:12:40.493 --> 02:12:41.594]  If it saves one girl.
[02:12:41.594 --> 02:12:44.979]  But the reality is, hopefully we woke up hundreds and hundreds of parents.
[02:12:45.439 --> 02:12:54.429]  So we aren't going to stop, we're going to continue and we rely on every single person to share the information, give us a follow if you're watching this and you haven't signed up to get up.
[02:12:54.429 --> 02:12:56.251]  Sign up to get up, give me a follow on there.
[02:12:56.251 --> 02:13:00.496]  Oh yeah, tell folks, how do people find Tommy Robinson at Gitter?
[02:13:00.496 --> 02:13:02.759]  Get up, put in Tommy Robinson 1.
[02:13:02.759 --> 02:13:04.921]  Alex, I'd love to get on here more so we can talk afterwards.
[02:13:06.946 --> 02:13:08.446]  I want to, yeah.
[02:13:08.446 --> 02:13:09.287]  Let's do this.
[02:13:09.287 --> 02:13:18.969]  I'm going to play the trailer right now as we go out, but I want to get you on Harrison Smith's show, I want to get you on The Warren with Owen, because, you know, I know you've been in the field, you know, undercover the last year.
[02:13:18.969 --> 02:13:21.210]  I rate Owen as well.
[02:13:21.210 --> 02:13:25.771]  And I just want, I've had my time, I've had my rest, so we're back.
[02:13:25.771 --> 02:13:26.031]  Let's go.
[02:13:26.977 --> 02:13:27.837]  You're ready to go.
[02:13:27.837 --> 02:13:31.599]  Well, I tell you, you know, you're what I aspire to be like.
[02:13:31.599 --> 02:13:34.240]  Because, you know, we've been attacked a lot, but you have been put in jail.
[02:13:34.240 --> 02:13:34.940]  You've been tortured.
[02:13:34.940 --> 02:13:37.501]  I mean, I saw you come out of a concentration camp.
[02:13:37.501 --> 02:13:40.002]  Victim lost, like, you know, 40, 50 pounds.
[02:13:40.002 --> 02:13:41.002]  And you've just been through hell.
[02:13:41.002 --> 02:13:46.084]  The Antifa, like, he walks out of a McDonald's and, like, 15 Antifa are trying to beat him up.
[02:13:46.084 --> 02:13:47.085]  You're, like, knocking him down.
[02:13:47.085 --> 02:13:48.865]  I mean, it's just amazing.
[02:13:48.865 --> 02:13:50.126]  And then he gets in trouble.
[02:13:51.255 --> 02:13:51.895]  It's just crazy.
[02:13:51.895 --> 02:13:57.838]  Here's part of the trailer for what's coming out in a few weeks on the 29th, The Rape of England, and we'll be back with a bunch of breaking news.
[02:13:57.838 --> 02:14:00.219]  Tommy Robinson has been our guest and we salute him.
[02:14:00.219 --> 02:14:01.279]  Stay with us.
[02:14:01.279 --> 02:14:04.780]  They have not defended the children of the poor.
[02:14:04.780 --> 02:14:11.883]  They are punishing the people who speak out in defense of the children of the poor.
[02:14:11.883 --> 02:14:16.785]  I look at you and think, if you wasn't here, I wouldn't be here.
[02:14:18.376 --> 02:14:19.817]  What happened the first time?
[02:14:19.817 --> 02:14:20.877]  I slept with him.
[02:14:20.877 --> 02:14:21.838]  How old was he?
[02:14:21.838 --> 02:14:22.218]  I was 11, Tom.
[02:14:22.218 --> 02:14:24.559]  He had sex with you when you were 11?
[02:14:24.559 --> 02:14:26.060]  So he raped you?
[02:14:26.060 --> 02:14:31.903]  An independent inquiry into the sexual exploitation of children in Telford and Reakin has been going on for well over two years.
[02:14:31.903 --> 02:14:36.665]  The police, social services and councils are refusing to help the inquiry at all.
[02:14:36.665 --> 02:14:40.187]  We are supplying them with 40 years worth of information.
[02:14:40.187 --> 02:14:41.128]  40 years?
[02:14:41.128 --> 02:14:43.849]  So about 40 years children have been raped?
[02:14:43.849 --> 02:14:44.790]  So that the inquiry can...
[02:14:45.410 --> 02:14:48.231]  After years, children have been failed.
[02:14:48.231 --> 02:14:54.014]  A deliberate attempt to cover up these crimes against little girls for fear of being called racist.
[02:14:54.014 --> 02:14:58.155]  They've known what has been going on in that town for 40 years.
[02:14:58.155 --> 02:15:04.498]  They would talk to me about going to meet certain people, not to tell my dad if they told me to go to that person.
[02:15:04.498 --> 02:15:06.199]  Who was the kingpin?
[02:15:06.199 --> 02:15:08.040]  Who was the main organiser?
[02:15:08.040 --> 02:15:10.761]  I don't want to be living this for the rest of my life.
[02:15:11.601 --> 02:15:13.222]  He was that hurt by it.
[02:15:13.222 --> 02:15:16.964]  He got out of the car and he couldn't wait for the police to come.
[02:15:16.964 --> 02:15:19.225]  He needed to go.
[02:15:19.225 --> 02:15:22.986]  Family trees, networks, how they operate, who operates with who.
[02:15:22.986 --> 02:15:28.649]  Just so you understand, as we go along here, we have CPS solicitors, police officers, politicians.
[02:15:28.649 --> 02:15:33.011]  That's the level of connections who are involved and intertwined within these gangs.
[02:15:33.011 --> 02:15:34.552]  There are five dead females.
[02:15:35.012 --> 02:15:37.133]  At the hands of these gangs in Telford alone.
[02:15:37.133 --> 02:15:38.134]  I'm sorry for doing this.
[02:15:38.134 --> 02:15:42.677]  I mean, I have to be 100% before I make a choice.
[02:15:42.677 --> 02:15:44.718]  The Hunters are about to become the Hunters.
[02:15:44.718 --> 02:15:45.278]  This is a kiosk.
[02:15:45.278 --> 02:15:46.199]  It's come out of his house.
[02:15:46.199 --> 02:15:48.060]  This is the vehicle of one of our surveillance teams.
[02:15:48.060 --> 02:15:50.342]  Now, the reason why this is so important is because they can get up close.
[02:15:50.342 --> 02:15:51.282]  They have zooming cameras.
[02:15:51.282 --> 02:15:54.144]  Well, see the full trailer and video of the Rape of Britain.
[02:15:54.144 --> 02:15:54.564]  Stay with us.
[02:15:58.135 --> 02:16:12.946]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[02:16:12.946 --> 02:16:16.789]  It has all the vitamins, all the minerals, incredible amino acids.
[02:16:16.789 --> 02:16:22.594]  It is a game-changer for your immune system and every other function in your body, and it's a must-have.
[02:16:22.594 --> 02:16:23.795]  That's why, despite the fact
[02:16:24.355 --> 02:16:26.917]  That is selling out at current sales rates.
[02:16:26.917 --> 02:16:31.541]  We're going to keep it on sale for another seven days.
[02:16:31.541 --> 02:16:34.763]  So we're running this until next Thursday.
[02:16:34.763 --> 02:16:36.805]  And your purchase supports the broadcast.
[02:16:36.805 --> 02:16:39.747]  I want to thank you all for shopping with InfoWars.
[02:16:39.747 --> 02:16:45.271]  Without you, we would not have been on air and the world would be a much worse position right now that it's in.
[02:16:45.271 --> 02:16:49.435]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth
[02:16:49.875 --> 02:16:57.923]  The average person on the face of this incredible planet is still unaware that there's a war between free individuals and nation-states on one side and the globalists on the other, who are literally trying to create a post-human world.
[02:17:11.776 --> 02:17:19.564]  For the United States of Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, and fascist world government.
[02:17:19.564 --> 02:17:26.810]  That's why they launched their Great Reset, and their program after collapsing us of Build Back Better.
[02:17:26.810 --> 02:17:32.035]  This is nothing more than a top-down, vertical consolidation of the world economy.
[02:17:32.035 --> 02:17:36.179]  And because they couldn't take our guns, and because we wouldn't bow, because the left
[02:17:36.940 --> 02:17:40.624]  Which is the ideology of this world government system who couldn't win.
[02:17:40.624 --> 02:17:43.627]  They released a biological weapon on us.
[02:17:43.627 --> 02:17:45.689]  Now we know, two years ago.
[02:17:45.689 --> 02:17:47.972]  We learned about it about 20 months ago.
[02:17:47.972 --> 02:17:48.572]  It's that simple.
[02:17:48.572 --> 02:17:51.676]  They can't beat us because of our free speech and our guns.
[02:17:51.676 --> 02:17:55.860]  So the Global Corporate Combine released COVID-19 and you know the rest is history.
[02:17:55.860 --> 02:17:57.282]  Expose this paradigm and we win.
[02:17:58.191 --> 02:17:59.492]  Let's go ahead and take another call.
[02:17:59.492 --> 02:18:01.533]  Let's talk to Malcolm in Tennessee.
[02:18:01.533 --> 02:18:01.954]  Welcome.
[02:18:01.954 --> 02:18:02.654]  Hello, Alex?
[02:18:02.654 --> 02:18:03.294]  Yes, Malcolm.
[02:18:03.294 --> 02:18:07.777]  All right, I'll make this quick and real short where the other Patriots can get on the line.
[02:18:07.777 --> 02:18:12.120]  Alex, I have to promote one thing from one of your co-hosts, Owen Schroer.
[02:18:12.120 --> 02:18:15.122]  Super male vitality and brain force plus.
[02:18:15.122 --> 02:18:17.764]  Mix those two together, you're an unstoppable tank.
[02:18:18.004 --> 02:18:19.805]  Supramel Vitality really, really works.
[02:18:19.805 --> 02:18:24.709]  It's cold-pressed herbs and natural compounds that have never been heated up.
[02:18:24.709 --> 02:18:31.494]  And so, it has a dramatic effect compared to powdered versions that also work quite well, but just aren't as strong.
[02:18:31.494 --> 02:18:33.316]  This is like a very fine wine.
[02:18:33.316 --> 02:18:35.457]  In fact, each batch is different.
[02:18:35.457 --> 02:18:37.879]  Sometimes it's super strong, sometimes it's just okay.
[02:18:37.879 --> 02:18:41.182]  People are like, why are you selling something and admitting sometimes the batch isn't as strong?
[02:18:41.182 --> 02:18:42.102]  That's just how it is.
[02:18:42.102 --> 02:18:42.763]  It's how it works.
[02:18:43.484 --> 02:18:47.513]  Uh, so, it's always good, it's just sometimes it's like super strong.
[02:18:47.513 --> 02:18:51.322]  But yeah, if you want the Rolls Royce at a decent price, then this is it.
[02:19:00.242 --> 02:19:02.343]  Get our grape and a bag of it here.
[02:19:02.343 --> 02:19:05.824]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[02:19:05.824 --> 02:19:06.925]  The communists!
[02:19:06.925 --> 02:19:14.267]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee.
[02:19:14.267 --> 02:19:19.549]  And yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune and whatever.
[02:19:19.549 --> 02:19:24.231]  The point is, is that it's good coffee and we've got it and the farmers don't let the Mexican government take over.
[02:19:24.231 --> 02:19:28.593]  So I actually buy this from the Mexican rebels and I've been buying it for, what, 14 years and the price has never gone up.
[02:19:29.053 --> 02:19:32.937]  This stuff sold at Whole Foods under another name for about 50% more per pound.
[02:19:32.937 --> 02:19:35.499]  And I just think it's some of the best coffee you're going to find anywhere.
[02:19:35.499 --> 02:19:38.562]  It's Wake Up America Patriot Blend from the Chiapas Rebels.
[02:19:38.562 --> 02:19:39.683]  Literally.
[02:19:39.683 --> 02:19:42.766]  Um, in fact, I'm not going to tell you the whole story.
[02:19:42.766 --> 02:19:46.110]  Um, yeah, like that.
[02:19:46.110 --> 02:19:47.090]  You wouldn't believe it.
[02:19:47.090 --> 02:19:51.635]  Anyway, so it's InfoWarsStore.com and that's how we fund this operation.
[02:19:51.635 --> 02:19:53.457]  And if you don't fund us or don't want us here, that's fine.
