[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[01:02:31.000 --> 01:02:36.000]  and we are proud to be back online, descending free speech and individual liberty.
[01:02:36.000 --> 01:02:38.000]  You know, the media tried to smear us.
[01:02:38.000 --> 01:02:41.000]  They tried to smear myself and my business,
[01:02:41.000 --> 01:02:45.000]  and our community of over 800,000 people from around the world.
[01:02:45.000 --> 01:02:49.000]  We were taken down off the internet for an entire week.
[01:02:49.000 --> 01:02:51.000]  Our team worked around the clock.
[01:02:51.000 --> 01:02:57.000]  We found some amazing new partners, including epic.com, bpik.com,
[01:02:57.000 --> 01:03:02.000]  to be our domain registrar, to stand by us, to say we are going to support these guys.
[01:03:02.000 --> 01:03:06.000]  We're going to support this community of over 800,000 people.
[01:03:06.000 --> 01:03:11.000]  And thanks to all of this hard work and all the support from our community and our new partners,
[01:03:11.000 --> 01:03:13.000]  we are back on the internet.
[01:03:13.000 --> 01:03:18.000]  We are going to come back with a vengeance and be back bigger and better than ever before,
[01:03:18.000 --> 01:03:24.000]  and prove the media wrong and show the world that our community is filled with patriots,
[01:03:24.000 --> 01:03:29.000]  is filled with great people from around the world, from all different backgrounds,
[01:03:29.000 --> 01:03:32.000]  from all different races, from all different religions,
[01:03:32.000 --> 01:03:37.000]  who support individual liberty and free expression on the internet.
[01:03:37.000 --> 01:03:42.000]  And we're proud to be back online and happy to be announcing that live on infowars as we speak.
[01:03:42.000 --> 01:03:44.000]  Well, we appreciate you coming on and doing that.
[01:03:44.000 --> 01:03:46.000]  And we'll come back in the next segment and talk about this,
[01:03:46.000 --> 01:03:49.000]  what you've gone through the last developments, and we're going to go from here.
[01:03:49.000 --> 01:03:52.000]  But it started two years ago, exponentially rising.
[01:03:52.000 --> 01:03:57.000]  At current rate, in like two years, you'll have more than 10 million users.
[01:03:57.000 --> 01:03:59.000]  That's why they're trying to shut you down.
[01:03:59.000 --> 01:04:05.000]  And if you pull back, think about how they're persecuting me, you, everybody.
[01:04:05.000 --> 01:04:08.000]  We're going to now find our own communities, find our own infrastructure,
[01:04:08.000 --> 01:04:15.000]  and build a system that challenges Silicon Valley, exactly what you set out to do two years ago.
[01:04:15.000 --> 01:04:19.000]  Absolutely, Alex. They can't control us, and that's why we're so dangerous to them.
[01:04:19.000 --> 01:04:23.000]  And that's why they try to smear us in our community and myself and the business.
[01:04:23.000 --> 01:04:28.000]  We're not going anywhere. We're going to keep fighting and we're going to win.
[01:04:28.000 --> 01:04:30.000]  We're going to come back and get into all that.
[01:04:30.000 --> 01:04:33.000]  But as we speak, gab.com literally just went up in the last 30 minutes.
[01:04:33.000 --> 01:04:37.000]  Everybody, get on the establishment platforms, Twitter, Facebook, Google, all of them.
[01:04:37.000 --> 01:04:43.000]  Let them know. A, gab's back up. B, this guy said the exact same stuff on their platforms,
[01:04:43.000 --> 01:04:46.000]  and they used it to try to shut him down, so shame on them.
[01:04:46.000 --> 01:04:48.000]  They always say, go do your own platform.
[01:04:48.000 --> 01:04:51.000]  Yeah, right. They want to shut everybody down. They want a monopoly.
[01:04:51.000 --> 01:04:53.000]  They're working with communist China.
[01:04:53.000 --> 01:04:58.000]  Think about that. Google and all them worked with China, the biggest mass murderers in history.
[01:04:58.000 --> 01:05:02.000]  The globalists know that if they suppress the good halogen and pump the environment
[01:05:02.000 --> 01:05:07.000]  full of the bad halogens, fluoride, chlorine, bromide, you name it, that it lowers IQ.
[01:05:07.000 --> 01:05:10.000]  It literally dumbs the population down.
[01:05:10.000 --> 01:05:14.000]  And on our quest to bring our listeners and viewers, the best iodine in the world,
[01:05:14.000 --> 01:05:16.000]  we've gone through two permutations.
[01:05:16.000 --> 01:05:20.000]  First, seaweed-based iodine that was pretty good, but hard to source,
[01:05:20.000 --> 01:05:23.000]  and the globalists tried to block us getting a supply of it.
[01:05:23.000 --> 01:05:28.000]  So we discovered deep earth crystals of pure nascent iodine and brought UX2.
[01:05:28.000 --> 01:05:29.000]  That's been incredible.
[01:05:29.000 --> 01:05:33.000]  Now, due to the establishment trying to block that, we did more research
[01:05:33.000 --> 01:05:37.000]  and secured more of the deep earth crystals of nascent iodine.
[01:05:37.000 --> 01:05:40.000]  But chemists, scientists, and others showed us the research
[01:05:40.000 --> 01:05:45.000]  that by combining it with three other compounds, two forms of iodine and vitamin C,
[01:05:45.000 --> 01:05:50.000]  it supercharges it and makes it even more bioavailable.
[01:05:50.000 --> 01:05:53.000]  Ladies and gentlemen, you want to research it, you want to see it.
[01:05:53.000 --> 01:05:55.000]  It's an incredible discovery.
[01:05:55.000 --> 01:05:59.000]  This is Alex 3, now available at enforcelife.com.
[01:05:59.000 --> 01:06:14.000]  He aligns himself with the truth, and it's time for you to choose a side.
[01:06:14.000 --> 01:06:19.000]  You're listening to Alex Jones.
[01:06:19.000 --> 01:06:30.000]  The chaos is hanging around, a tree to the ground, a shutter from the sound.
[01:06:30.000 --> 01:06:33.000]  The dead machine ain't slowing down.
[01:06:33.000 --> 01:06:40.000]  Well, Big Tech has been working with the Democrats, the EU, and other authoritarian regimes like Communist China
[01:06:40.000 --> 01:06:44.000]  to openly begin to censor nationalist, patriots, conservatives, Christians,
[01:06:44.000 --> 01:06:49.000]  Falun Gong, Buddhists, you name it, that don't play ball with the globalists.
[01:06:49.000 --> 01:06:54.000]  And then gab.com, around two years with 800,000 users accelerating towards 10 million
[01:06:54.000 --> 01:06:58.000]  and logarithmic growth rate, scared Twitter and Facebook and Microsoft,
[01:06:58.000 --> 01:07:00.000]  they've been trying to shut it down.
[01:07:00.000 --> 01:07:04.000]  Then that monster that went into the Jewish Center we could have ago
[01:07:04.000 --> 01:07:09.000]  had sent four minutes before he went in on gab, I'm going in, screw your optics.
[01:07:09.000 --> 01:07:12.000]  He also said some more things on Instagram and Facebook.
[01:07:12.000 --> 01:07:16.000]  That wasn't a problem for them, but they have live murders, and you name it.
[01:07:16.000 --> 01:07:20.000]  No, it was all about gab, because they couldn't blame the president,
[01:07:20.000 --> 01:07:25.000]  because on gab, he talked for hundreds of pages how much he hated President Trump,
[01:07:25.000 --> 01:07:32.000]  because President Trump was pro-Israel, and all this other crud, and really wasn't even a capitalist.
[01:07:32.000 --> 01:07:36.000]  And so they had to get rid of gab and get rid of the evidence.
[01:07:36.000 --> 01:07:43.000]  So why not do that and blame the First Amendment and legitimize the purge of free speech off big tech?
[01:07:43.000 --> 01:07:48.000]  Well, Andrew Torba joins us now to give us the update that gab, world exclusive,
[01:07:48.000 --> 01:07:53.000]  has just gone back online, and then his response to what he expects them to do next,
[01:07:53.000 --> 01:07:57.000]  who the great folks are that are working with him, and what he makes of this election,
[01:07:57.000 --> 01:08:00.000]  I think being a referendum on free speech, because regardless of who wins,
[01:08:00.000 --> 01:08:04.000]  we need the Republicans and others to go after the Democrats in big tech
[01:08:04.000 --> 01:08:09.000]  for their massive censorship. To me, that's really the big wave is the authoritarian censorship.
[01:08:09.000 --> 01:08:14.000]  Andrew, as I say, build your own site, then they'll celebrate it when you went down a week ago.
[01:08:14.000 --> 01:08:19.000]  Absolutely, Alex. They try to take us down in every means necessary.
[01:08:19.000 --> 01:08:23.000]  They went after our hosting providers. They went after our payment processors.
[01:08:23.000 --> 01:08:29.000]  They went after our domain registrars. They went after us on the app stores and picked us off both app stores.
[01:08:29.000 --> 01:08:34.000]  And yet here we are, still standing, 100% powered by the people.
[01:08:34.000 --> 01:08:39.000]  We've got an inbound of hundreds of engineers who want to work with us,
[01:08:39.000 --> 01:08:44.000]  hundreds of different investors who want to help fund and support gab,
[01:08:44.000 --> 01:08:48.000]  hundreds of thousands of people from around the world who have seen our story,
[01:08:48.000 --> 01:08:54.000]  who have seen how the media has treated us, who has treated myself and my family and attacked us,
[01:08:54.000 --> 01:08:59.000]  tried to label us as the terrorists putting my photo up alongside of this
[01:08:59.000 --> 01:09:04.000]  disgusting, despicable human being who allegedly committed this terrorist attack
[01:09:04.000 --> 01:09:12.000]  and trying to take down gab, take down me, and take down our community of 800,000 people from around the world in the process.
[01:09:12.000 --> 01:09:17.000]  And we stood up and looked these people, these deceivers in the face and said,
[01:09:17.000 --> 01:09:22.000]  no, we will not be defined by the actions of one individual on our website.
[01:09:22.000 --> 01:09:28.000]  We are a massive community of people from around the world who believe in individual liberty and free speech.
[01:09:28.000 --> 01:09:36.000]  We will get back online and we will come back with a vengeance and be greater and bigger than ever before.
[01:09:36.000 --> 01:09:40.000]  That's a real hallmark of authoritarianism in Nazi Germany or Soviet Russia.
[01:09:40.000 --> 01:09:44.000]  If somebody down the street did something wrong, you'd get sent to the gulag.
[01:09:44.000 --> 01:09:50.000]  And again, the way they took you off the web and then lied about what you stood for and what you did,
[01:09:50.000 --> 01:09:53.000]  the essence of the censor is they don't just silence you.
[01:09:53.000 --> 01:09:57.000]  It then allows them to build straw men and defame you.
[01:09:57.000 --> 01:10:03.000]  Well, Alex, the scary thing about this is they wouldn't even let us get our side of the story out.
[01:10:03.000 --> 01:10:07.000]  And that's why I refused to do interviews with the mainstream media.
[01:10:07.000 --> 01:10:09.000]  That's why I came on InfoWars.
[01:10:09.000 --> 01:10:15.000]  That's why I talked to a local news anchor, someone who watched me grow up, who knew my character, knew my family.
[01:10:15.000 --> 01:10:17.000]  He's an objective reporter.
[01:10:17.000 --> 01:10:19.000]  He's an actual real journalist.
[01:10:19.000 --> 01:10:25.000]  That's why I gave him one of the world exclusives for the mainstream media and CNN and everybody else picked it up,
[01:10:25.000 --> 01:10:28.000]  because he actually gave me a chance.
[01:10:28.000 --> 01:10:32.000]  You actually gave me a chance to tell our side of the story.
[01:10:32.000 --> 01:10:37.000]  The rest of them smeared us like no tomorrow, put my face alongside of this terrorist,
[01:10:37.000 --> 01:10:44.000]  painted the gap community of 800,000 people as a bunch of Nazis and racists and white supremacists,
[01:10:44.000 --> 01:10:46.000]  which is totally not true.
[01:10:46.000 --> 01:10:51.000]  And we came out and we emerged strong and ever before, and I hope we woke up a lot of people.
[01:10:51.000 --> 01:10:54.000]  I hope we woke up a lot of people who were saying, wait a minute,
[01:10:54.000 --> 01:11:00.000]  I see stuff on Facebook and on Twitter and everywhere else on the Internet every single day that is insane.
[01:11:00.000 --> 01:11:07.000]  And they're not blaming these companies or calling from Mark Zuckerberg to be arrested or calling for Twitter to be taken off the Internet.
[01:11:07.000 --> 01:11:11.000]  So why are they pointing at this social network that says it stands for free speech?
[01:11:11.000 --> 01:11:16.000]  So people are questioning what they're told, and I hope that this helps in some small way
[01:11:16.000 --> 01:11:21.000]  to propel the Republicans to victory on Tuesday with a massive red wave.
[01:11:21.000 --> 01:11:24.000]  And we can look back on this and say it was all worth it,
[01:11:24.000 --> 01:11:28.000]  and Gabb is going to be bigger and greater than ever before because of it.
[01:11:28.000 --> 01:11:33.000]  That's right. And I was so busy, even though I had, you know, like five, six million followers on Twitter with all my accounts.
[01:11:33.000 --> 01:11:38.000]  I barely tweeted myself. They've taken almost all those away, which is fine because they'd already had a shadow man.
[01:11:38.000 --> 01:11:43.000]  But I know the crew is on Gabb. We have an M4 is on Gabb with like 55,000 people.
[01:11:43.000 --> 01:11:47.000]  That's going to be back now. I'm going to be plugging in. I want to get it up to a million.
[01:11:47.000 --> 01:11:53.000]  And again, the way you're exponentially growing logarithmically just starting on two years ago, already 800,000,
[01:11:53.000 --> 01:11:55.000]  it's your growth rate that scares them.
[01:11:55.000 --> 01:12:02.000]  What's your projections for how fast Gabb.com can explode up to, say, 10 million users?
[01:12:02.000 --> 01:12:09.000]  Alex, after this, I wouldn't be surprised if we hit something like that in the next couple of years, you know, very, very quickly.
[01:12:09.000 --> 01:12:13.000]  And that's what scares them. And we're not on app stores. We've been barred.
[01:12:13.000 --> 01:12:17.000]  We've been smeared by media outlets for two and a half years, and yet we continue to grow.
[01:12:17.000 --> 01:12:22.000]  Before we went offline, we had, you know, some of our best metrics of all time.
[01:12:22.000 --> 01:12:30.000]  You know, the month prior, the past 30 days before this, this horrific terrorist attack and this horrific smear by the mainstream media.
[01:12:30.000 --> 01:12:33.000]  And that's why they're afraid because they kicked us off the app stores.
[01:12:33.000 --> 01:12:36.000]  They kicked us off hosting providers and all these other things.
[01:12:36.000 --> 01:12:39.000]  And yet we still kept growing and they couldn't stop it no matter what.
[01:12:39.000 --> 01:12:47.000]  So they took the opportunity of this monster being on Gabb and used it to try and bury us,
[01:12:47.000 --> 01:12:53.000]  to try to put the nail in the coffin to make sure that Gabb never came back and nobody would ever take Gabb seriously.
[01:12:53.000 --> 01:12:56.000]  And yet now what's going to happen is people are waking up.
[01:12:56.000 --> 01:13:02.000]  They saw this nonsense. They're questioning it and they're going to sign up for Gabb and see that Gabb is filled with great people.
[01:13:02.000 --> 01:13:07.000]  Well, they want to set the precedent to be able to shut down anybody they want anytime they want.
[01:13:07.000 --> 01:13:12.000]  The site just went back up. It's propagating. Everybody needs to use it. Everybody needs to get on there.
[01:13:12.000 --> 01:13:18.000]  There's infowars.com. I know we have another one on there with 55,000 people using it, but that's great.
[01:13:18.000 --> 01:13:22.000]  People can follow us there or on the Alex Jones one that's there at Gabb.com.
[01:13:22.000 --> 01:13:31.000]  Again, whoever wins this election coming up on Tuesday, 36 hours out, the Republicans and everybody's making an issue out of draconian,
[01:13:31.000 --> 01:13:40.000]  de-platforming, de-personing, need to make an issue out of the incredible censorship and foreign money and foreign meddling coming into metal.
[01:13:40.000 --> 01:13:47.000]  The Democrats have claimed Republicans meddle. There's no evidence. There's massive evidence of election meddling with this censorship.
[01:13:47.000 --> 01:13:51.000]  And I think Congress and others need to take action. That's really the big issue for me, Andrew.
[01:13:51.000 --> 01:13:56.000]  Absolutely. And hopefully the president will come forward. He knows what's going on.
[01:13:56.000 --> 01:14:02.000]  He's tweeted a few times about the censorship from Twitter and Facebook and Silicon Valley and others.
[01:14:02.000 --> 01:14:07.000]  So I think he is aware. I think he's waiting until after the midterms over to tackle this problem.
[01:14:07.000 --> 01:14:15.000]  And hopefully he tackles it soon because it might be too late if he waits too long before the 2020 election cycle starts.
[01:14:15.000 --> 01:14:21.000]  Because that's when you think that they're going crazy right now. You think that there are no platforming people right now.
[01:14:21.000 --> 01:14:29.000]  Just wait until you see what they have up their sleeves based on what my sources inside of Facebook, inside of Twitter, inside of Google have told me,
[01:14:29.000 --> 01:14:35.000]  based on what I know about how these people think and where they're going in the direction of the future.
[01:14:35.000 --> 01:14:40.000]  You can expect massive amounts of censorship and no platforming over the next 18 months.
[01:14:40.000 --> 01:14:46.000]  And I hope, I hope that the president will take action before it is too late.
[01:14:46.000 --> 01:14:50.000]  You're absolutely right. Because you, again, you worked in Silicon Valley and saw the censorship beginning.
[01:14:50.000 --> 01:14:53.000]  That's why you left and sort of gabbed, thank God, two years ago.
[01:14:53.000 --> 01:14:58.000]  And I've talked to a lot of folks. The president specifically talked about, you can't just get rid of one guy that it's everybody about me.
[01:14:58.000 --> 01:15:03.000]  He's talked about on the campaign trail. So is Ted Cruz, but others go, oh, it's their own company.
[01:15:03.000 --> 01:15:07.000]  No, they don't follow their own rules. They let the left call for violence, whatever they want.
[01:15:07.000 --> 01:15:11.000]  They lie about us. They let us promote their sites forever and then kick us off.
[01:15:11.000 --> 01:15:15.000]  It's a violation of terms of service to us. It's a, it's false advertising.
[01:15:15.000 --> 01:15:21.000]  It's racketeering that these companies work as cartels in conjunction and admit they are.
[01:15:21.000 --> 01:15:24.000]  And now they've gotten away with it, with it, with you and others and me.
[01:15:24.000 --> 01:15:30.000]  Now they're very naked. Now they're not even giving excuses for thousands of Twitter and Facebook's being taken down a week.
[01:15:30.000 --> 01:15:33.000]  Because they know there's a rebellion against the repression.
[01:15:33.000 --> 01:15:39.000]  Andrew, I want to get you on soon to celebrate Gab's relaunch and what's happening and how you're going to handle them trying to set you up
[01:15:39.000 --> 01:15:42.000]  and what your inside sources in Silicon Valley are telling you.
[01:15:42.000 --> 01:15:48.000]  Gab.com, Andrew Toriba, fighting back from the dead. God bless you. We really appreciate you.
[01:15:48.000 --> 01:15:49.000]  Thanks, Alex.
[01:15:49.000 --> 01:15:56.000]  We'll be back with your phone calls and a lot more. This is an important election. It's 36 hours away.
[01:15:57.000 --> 01:15:59.000]  We all know the importance of fish oils.
[01:15:59.000 --> 01:16:06.000]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[01:16:06.000 --> 01:16:14.000]  Honor Roll is a powerful DHA fish oil formula for your child, built from the ground up to support your child's development.
[01:16:14.000 --> 01:16:23.000]  This formula uses wild anchovy fish oil, ultrapurified krill oil, and wild salmon fish oil with vitamins to boost your child's mind and body.
[01:16:23.000 --> 01:16:31.000]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA,
[01:16:31.000 --> 01:16:35.000]  which has been shown to be essential for your child's brain growth spurts.
[01:16:35.000 --> 01:16:45.000]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[01:16:45.000 --> 01:16:49.000]  If you're looking for a formula to help your child grow, look no further.
[01:16:49.000 --> 01:16:55.000]  Try Honor Roll from InfowarsLife at InfowarsStore.com.
[01:16:57.000 --> 01:17:02.000]  You deserve a deep restful sleep with Knockout by InfowarsLife.
[01:17:02.000 --> 01:17:13.000]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:17:13.000 --> 01:17:22.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness,
[01:17:22.000 --> 01:17:26.000]  but with the rapid speed of life, we need to be able to keep up the pace.
[01:17:26.000 --> 01:17:34.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[01:17:34.000 --> 01:17:36.000]  Wake up refreshed and take on the day.
[01:17:36.000 --> 01:17:44.000]  InfowarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:17:44.000 --> 01:17:48.000]  Get the sleep you deserve and experience the power of Knockout.
[01:17:48.000 --> 01:17:55.000]  Head on over to InfowarsLife.com and say goodbye to fatigue. That's InfowarsLife.com.
[01:17:55.000 --> 01:18:05.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[01:18:05.000 --> 01:18:09.000]  where the Chiapas farmers have spent years perfecting their techniques.
[01:18:09.000 --> 01:18:14.000]  Based on hundreds of years of traditional techniques and perfect conditions,
[01:18:14.000 --> 01:18:21.000]  we've sourced only the best to provide you with our new support and Wake Up America Patriot Blend coffee.
[01:18:21.000 --> 01:18:27.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[01:18:27.000 --> 01:18:32.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[01:18:32.000 --> 01:18:39.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[01:18:39.000 --> 01:18:43.000]  You can even choose to start your morning healthier with the immune support blend,
[01:18:43.000 --> 01:18:47.000]  infused with a powerful blend to support your immune response and stamina.
[01:18:47.000 --> 01:18:52.000]  It's time to take care of your morning routine. Get a bag of Patriot Blend coffee to support the show
[01:18:52.000 --> 01:19:18.000]  while enhancing your morning routine at InfowarsStore.com.
[01:19:22.000 --> 01:19:29.000]  It's a great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[01:19:29.000 --> 01:19:32.000]  A powerful, pregnant-owned base, the Real Red Pill,
[01:19:32.000 --> 01:19:35.000]  can quickly become one of our fellow Infowars' favorite products.
[01:19:35.000 --> 01:19:41.000]  Now, with an extra proprietary energy blend inside, including Regi X-Track and Ramate Leaf & Track,
[01:19:41.000 --> 01:19:46.000]  and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[01:19:46.000 --> 01:19:50.000]  It's got all the great stuff that Real Red Pill has, it's also got the boost in it.
[01:19:50.000 --> 01:20:00.000]  Get the Real Red Pill Plus at InfowarsStore.com.
[01:20:21.000 --> 01:20:30.000]  Look, here's the big takeaway, whether we win the selection or lose it.
[01:20:30.000 --> 01:20:34.000]  And I think all the evidence points towards winning, except there's such a wall of fraud,
[01:20:34.000 --> 01:20:38.000]  people voting in the names of dead people who they've stolen their identities from,
[01:20:38.000 --> 01:20:42.000]  electronic voting machine manipulation, all the censorship.
[01:20:42.000 --> 01:20:50.000]  Regardless, we have really seen the Republican Party act like a bunch of lobotomized baboons
[01:20:50.000 --> 01:20:58.000]  when it comes to dealing with concerted, cartel-level censorship and suppression
[01:20:58.000 --> 01:21:03.000]  and deplatforming and harassment of nationalists and patriotic Americans.
[01:21:03.000 --> 01:21:07.000]  This is mafia activity.
[01:21:07.000 --> 01:21:10.000]  And it's just so big and so hard to tackle, Congress doesn't know what to do.
[01:21:10.000 --> 01:21:13.000]  It's very alien to our country.
[01:21:13.000 --> 01:21:15.000]  I understand that.
[01:21:15.000 --> 01:21:23.000]  But it's estimated Trump has lost $2 billion in his businesses and life since he ran for president.
[01:21:23.000 --> 01:21:27.000]  Well, they've tried to ruin Infowars and my mission is just getting the word out.
[01:21:27.000 --> 01:21:30.000]  My goal is not just to make money, and that's not a bad thing if you're a business person.
[01:21:30.000 --> 01:21:34.000]  Money to me is a weapon to fight and try to grow and do more.
[01:21:34.000 --> 01:21:38.000]  I'm totally committed to this fight.
[01:21:38.000 --> 01:21:43.000]  And if we lose this election, it'll be a big wake-up call and we'll rally a lot of people to take action
[01:21:43.000 --> 01:21:47.000]  and do something about the censorship and the foreign meddling and the things that are confirmed.
[01:21:47.000 --> 01:21:53.000]  Everything the Democrats have blamed Republicans for, they have done openly.
[01:21:53.000 --> 01:21:59.000]  China is in the open buying ads, full-page, four-page ads in magazines, newspapers, radio ads,
[01:21:59.000 --> 01:22:04.000]  putting down Trump in America and buying up Hollywood and all this.
[01:22:04.000 --> 01:22:09.000]  And Trump's talked about that, but we need to take action against this
[01:22:09.000 --> 01:22:13.000]  and then the censorship and the rest of it because the Democrats are like mad dogs.
[01:22:13.000 --> 01:22:16.000]  And then they lie about everything.
[01:22:16.000 --> 01:22:21.000]  They let the UN build with U.S. taxpayer money, these big refugee centers.
[01:22:21.000 --> 01:22:30.000]  They recruit leftist and others into it so that they can then ship them up here
[01:22:30.000 --> 01:22:34.000]  to be part of the Democratic Party plantation.
[01:22:34.000 --> 01:22:35.000]  And it's just, it's criminal.
[01:22:35.000 --> 01:22:42.000]  The Democratic Party has converted to pure criminal activity, period.
[01:22:42.000 --> 01:22:46.000]  And so red wave, blue wave, how about the censorship wave?
[01:22:46.000 --> 01:22:48.000]  How about the UN crushing our border's wave?
[01:22:48.000 --> 01:22:53.000]  That's what I care about and Trump is taking action.
[01:22:53.000 --> 01:22:57.000]  Trump is taking action, but there could be some real tricks at the globalist sleeves.
[01:22:57.000 --> 01:23:01.000]  The deep state's already committed so many crimes publicly.
[01:23:01.000 --> 01:23:04.000]  Election fraud, voter fraud, we know what's going on.
[01:23:04.000 --> 01:23:11.000]  So the tea leaves and the red wave global and record turnout by conservatives
[01:23:11.000 --> 01:23:16.000]  and people in these huge crowds for Trump and little crowds for Democrats,
[01:23:16.000 --> 01:23:21.000]  that all bodes for Republican victory.
[01:23:21.000 --> 01:23:29.000]  But then the level of things I've seen in persecution have been so amazing
[01:23:29.000 --> 01:23:33.000]  that I'm not so sure and I'm not hedging my bet here.
[01:23:33.000 --> 01:23:37.000]  But regardless, let's not cry on election night if we lose.
[01:23:37.000 --> 01:23:41.000]  We want a major, major battle getting Trump in and turning the economy back on
[01:23:41.000 --> 01:23:44.000]  and the Democrats try to get in and run that and the dirt will blow up in their face.
[01:23:44.000 --> 01:23:50.000]  But if we don't fight back against their criminal tactics and stop the censorship and push back,
[01:23:50.000 --> 01:23:53.000]  maybe that means all of you file lawsuits, whatever.
[01:23:53.000 --> 01:24:00.000]  If we don't do that, they are going to win just as sure as the sun came up.
[01:24:00.000 --> 01:24:04.000]  Now I'm going to start going to your phone calls right now.
[01:24:04.000 --> 01:24:07.000]  One more thing I want to say, I saw in the comments in the article,
[01:24:07.000 --> 01:24:10.000]  Red Alert, Dems, Deep State, set to steal 2018 midterms,
[01:24:10.000 --> 01:24:13.000]  Warren's Alex Jones, they're set to do it.
[01:24:13.000 --> 01:24:17.000]  They're trying to do it.
[01:24:17.000 --> 01:24:21.000]  And I see commenters going, oh, Trump's from New York, he's a big Democrat.
[01:24:21.000 --> 01:24:24.000]  Oh, Trump not, let me tell you something, Trump's real, I'm real.
[01:24:24.000 --> 01:24:27.000]  They're trying to destroy us.
[01:24:27.000 --> 01:24:30.000]  The globalists are fighting so hard it'll make your head spin.
[01:24:30.000 --> 01:24:33.000]  And what we are is real Americans who just want the country back
[01:24:33.000 --> 01:24:37.000]  and don't want to be run by foreign interest.
[01:24:37.000 --> 01:24:39.000]  And so everybody needs to quit lying to themselves.
[01:24:39.000 --> 01:24:41.000]  This isn't like past campaigns.
[01:24:41.000 --> 01:24:45.000]  This isn't like past Republicans and Democrats, we're corrupt, we're working together.
[01:24:45.000 --> 01:24:47.000]  I'm the king of exposing that.
[01:24:47.000 --> 01:24:52.000]  Trump's a populist and is for real, just like the new leader of Brazil
[01:24:52.000 --> 01:24:54.000]  or the new leader of Italy.
[01:24:54.000 --> 01:24:56.000]  And people are trying to kill him.
[01:24:56.000 --> 01:25:01.000]  They stabbed him with a big old butcher knife in front of everybody.
[01:25:01.000 --> 01:25:03.000]  They're trying to kill Trump.
[01:25:03.000 --> 01:25:06.000]  Believe me, I know, I don't work for the establishment.
[01:25:06.000 --> 01:25:10.000]  Boy, they're after me with dogs.
[01:25:10.000 --> 01:25:14.000]  Woo, let me tell you.
[01:25:14.000 --> 01:25:16.000]  And it only makes me want to fight harder.
[01:25:16.000 --> 01:25:19.000]  Now we got sent some video and we're looking at to see if it's real or not
[01:25:19.000 --> 01:25:27.000]  of what looks like the same engineering equipment that I saw being brought down
[01:25:27.000 --> 01:25:35.000]  to the Arizona-Mexico border that we showed video of last week that was linked on DrudgeReport.com.
[01:25:35.000 --> 01:25:39.000]  Other folks have sent in video that to me looks like Afghanistan or Lowland area or something.
[01:25:39.000 --> 01:25:41.000]  I almost think I've seen the video before.
[01:25:41.000 --> 01:25:47.000]  It's US Army, regular Army getting shot at and they're ducking for cover.
[01:25:47.000 --> 01:25:49.000]  But callers are calling in about this and it's going viral.
[01:25:49.000 --> 01:25:54.000]  So I'm going to play some of it, not with audio because there's cussing all over it, obviously.
[01:25:54.000 --> 01:26:01.000]  And I'm going to discuss it, not saying it's obviously real footage of troops getting shot at,
[01:26:01.000 --> 01:26:04.000]  but I just, I think I saw a couple of years ago.
[01:26:04.000 --> 01:26:07.000]  But the point is somebody's talking about, look, here's our troops down there,
[01:26:07.000 --> 01:26:12.000]  but it's the same colored vehicles. It looks like the same vehicles, which is like,
[01:26:12.000 --> 01:26:15.000]  well, I saw those exact same weird looking engineering vehicles.
[01:26:15.000 --> 01:26:20.000]  They have these weird grates on the side that I've only seen this video of stuff on the board with Arizona.
[01:26:20.000 --> 01:26:22.000]  And I'm like, where have I seen it before?
[01:26:22.000 --> 01:26:27.000]  So I'm not doubting that our troops are down there getting shot at because they shot up the Mexican troops.
[01:26:27.000 --> 01:26:30.000]  That's been confirmed. They've killed some Mexican troops.
[01:26:30.000 --> 01:26:36.000]  You go down to the Texas border, Arizona border, you get shot at. People get killed all the time.
[01:26:36.000 --> 01:26:43.000]  And so I mean, there's cartels down there. God, you know, Lord only knows. So I don't know.
[01:26:43.000 --> 01:26:47.000]  You guys can find some parts that don't have cussing. I'll play that when we come back.
[01:26:47.000 --> 01:26:56.000]  But regardless, they had three caravans smash over the Guatemalan border going into Mexico.
[01:26:56.000 --> 01:26:59.000]  And then there they are, like we told you, they're on trucks, they're on buses.
