[00:00.000 --> 00:07.000]  Mainstream media, government cover-ups. You want answers? Well, so does he.
[01:34:03.000 --> 01:34:05.000]  That was even in the Financial Times of London.
[01:34:05.000 --> 01:34:07.000]  Nobody got in trouble for it.
[01:34:07.000 --> 01:34:10.000]  We're going to go back to Professor Griff, and I promise he's on to take your calls.
[01:34:10.000 --> 01:34:15.000]  He'll graciously stay with us, summon him to the next hour, before Dr. Steve Pachinik, former head of Black Ops for the State Department,
[01:34:15.000 --> 01:34:18.000]  in psychological warfare, who said the bin Laden thing was fake.
[01:34:18.000 --> 01:34:24.000]  Now mainstream news is coming out admitting there's like three, four, five different versions of that.
[01:34:24.000 --> 01:34:25.000]  He'll be on the last 30 minutes.
[01:34:25.000 --> 01:34:30.000]  Briefly, this is listeners supported here on the broadcast.
[01:34:30.000 --> 01:34:31.000]  We can bring all these great guests on.
[01:34:31.000 --> 01:34:35.000]  And we're not like NPR that gets Rockefeller money and then still begs for your money.
[01:34:35.000 --> 01:34:37.000]  We just say, if you believe in it, spread the word about the broadcast.
[01:34:37.000 --> 01:34:41.000]  Support the sponsors, local AM&FM, national sponsors.
[01:34:41.000 --> 01:34:44.000]  Become a member of prisonplanet.tv.
[01:34:44.000 --> 01:34:55.000]  You can get 11 memberships for $5.95 a month with all our great reporters, research, my films, the books, the special reports, the online special events, all of it.
[01:34:55.000 --> 01:35:05.000]  We've got all the pro-Second Amendment, pro-liberty, anti-globalist information, books, shirts, you name it, at infowarstore.com.
[01:35:05.000 --> 01:35:10.000]  You can get subscriptions to our glossy monthly magazine, Biometcost, in bulk as well.
[01:35:10.000 --> 01:35:16.000]  We've got all the new anti-tyranny shirts, all available at infowarstore.com.
[01:35:16.000 --> 01:35:22.000]  Or call 888-253-3139, 888-253-3139.
[01:35:22.000 --> 01:35:28.000]  And you can get all of his very, I haven't read them all, but I've now read a couple of them, scanning through them quickly.
[01:35:28.000 --> 01:35:31.000]  Pgriff.info, really deep information.
[01:35:31.000 --> 01:35:34.000]  We're going to be carrying all of his books very, very soon.
[01:35:34.000 --> 01:35:36.000]  In fact, I was asking him, I said, we're about to carry you.
[01:35:36.000 --> 01:35:39.000]  He goes, yeah, I know, your check just came in, it's sitting here on the table.
[01:35:39.000 --> 01:35:41.000]  So I just bought a bunch of those, pgriff.info.
[01:35:41.000 --> 01:35:47.000]  You can buy them there now, but they'll also be added to infowarstore.com very, very, very, very soon.
[01:35:47.000 --> 01:35:54.000]  Okay, Professor Griff, I want to go to these calls, but I'm telling you, you're laying out such hardcore info that I remember reading the goals of the Illuminati 20 years ago
[01:35:54.000 --> 01:35:58.000]  and knowing how accurate it was in interviewing Coleman so many times.
[01:35:58.000 --> 01:36:02.000]  And then now it's all coming true, but now it's out in the open.
[01:36:02.000 --> 01:36:04.000]  It's like the headlines are what he talks about.
[01:36:04.000 --> 01:36:08.000]  So finish up with those points, and then let's go to the phone calls.
[01:36:08.000 --> 01:36:09.000]  I'm going to move real quick.
[01:36:09.000 --> 01:36:18.000]  13, to continue to build up the cult of Christian fundamentalism beginning by the British East Indian Company.
[01:36:18.000 --> 01:36:25.000]  14, to press for the spread of religious cults such as the Muslim Muslim Brotherhood.
[01:36:25.000 --> 01:36:26.000]  That sounds familiar.
[01:36:26.000 --> 01:36:29.000]  Didn't we hear about them a few years ago?
[01:36:29.000 --> 01:36:32.000]  And this document was written 27 years ago?
[01:36:32.000 --> 01:36:34.000]  And British Intel created them, yeah.
[01:36:34.000 --> 01:36:39.000]  Exactly. 15, to export religious liberation ideas around the world.
[01:36:39.000 --> 01:36:42.000]  We'll ask to undermine all existing religions.
[01:36:42.000 --> 01:36:45.000]  16, to cause a total collapse of the world's economy.
[01:36:45.000 --> 01:36:47.000]  We're going to get back to that one.
[01:36:47.000 --> 01:36:50.000]  I have something to say about that, especially dealing with America.
[01:36:50.000 --> 01:36:55.000]  To take control of all foreign and domestic policies of the United States.
[01:36:55.000 --> 01:37:05.000]  To give the fullest support to, pardon me, 18, to give the fullest support to still the national insuppression of the United Nations.
[01:37:05.000 --> 01:37:13.000]  The IMF, International Monetary Fund, excuse me, that was a Freudian slip.
[01:37:13.000 --> 01:37:20.000]  The Bank of International Settlements and World Poors, 19, to penetrate and subvert all government.
[01:37:20.000 --> 01:37:27.000]  And working with them to destroy sovereignty and sovereign integrity of the nation.
[01:37:27.000 --> 01:37:32.000]  20, we're almost at the end, to organize a worldwide terrorist apparatus.
[01:37:32.000 --> 01:37:37.000]  And to negotiate with terrorists whenever terrorist activities take place.
[01:37:37.000 --> 01:37:47.000]  Last but not least, to take control of education in America with the intent and purpose of utterly and completely destroying it.
[01:37:47.000 --> 01:37:55.000]  Those are the 21 goals, written by Dr. Coleman in the book Committee of 300, dealing with the 21 goals of the Illuminati.
[01:37:55.000 --> 01:37:58.000]  That's right, and everybody should get that book.
[01:37:58.000 --> 01:38:00.000]  I think it's still available, we should carry it.
[01:38:00.000 --> 01:38:04.000]  I mean, I read it close to 20 years ago, I think about 96 or so.
[01:38:04.000 --> 01:38:12.000]  And people also need to, it's up at educate-yourself.org, they've got a link to some of the text.
[01:38:12.000 --> 01:38:15.000]  We're going to mirror it over at Infowars.com.
[01:38:15.000 --> 01:38:19.000]  Don Salazar is posting it right now on Infowars.com and PrisonBlinded.com.
[01:38:19.000 --> 01:38:25.000]  Because absolutely, that is such key information that you pulled out of the memory hole here today, Professor Griff.
[01:38:25.000 --> 01:38:29.000]  You wanted to go back to a few of the points in there and then we'll go to calls.
[01:38:29.000 --> 01:38:32.000]  Let me just say this one last thing, give me 30 seconds.
[01:38:32.000 --> 01:38:36.000]  There was an essay written by a young lady named Nicole Terry.
[01:38:36.000 --> 01:38:40.000]  Hopefully she's listening and she doesn't mind us pulling her work up.
[01:38:40.000 --> 01:38:44.000]  Essay is explaining what has happened to this world.
[01:38:44.000 --> 01:38:52.000]  She said, what would happen to someone who played a major role in the discovery and publication of the following facts.
[01:38:52.000 --> 01:38:57.000]  Number one, the IRS is not a U.S. government agency.
[01:38:57.000 --> 01:39:00.000]  Number two, the IMF is an agency of the UN.
[01:39:00.000 --> 01:39:06.000]  Number three, the U.S. had not had a treasury since 1921.
[01:39:06.000 --> 01:39:09.000]  Number four, the U.S. Treasury is now the IMF.
[01:39:09.000 --> 01:39:17.000]  Five, the United States does not have any employees because there's no longer a United States.
[01:39:17.000 --> 01:39:29.000]  Six, the Alphabet Boys, the FTC, CIA, FBI, NAFA, and the rest of the Alphabet gangs were never part of the United States to begin with.
[01:39:29.000 --> 01:39:35.000]  Seven, the Social Security numbers are issued through the UN through the IMF.
[01:39:35.000 --> 01:39:41.000]  Eight, there are no judicial courts in America because there has not been since 1789.
[01:39:41.000 --> 01:39:46.000]  Nine, there have not been any judges in America since 1789.
[01:39:46.000 --> 01:39:52.000]  Eleven, we have one world government, one law, one world monetary system.
[01:39:52.000 --> 01:39:56.000]  Twelve, the UN is a one world super government.
[01:39:56.000 --> 01:40:01.000]  There's 21 of them, but I want to stop right there and take the call as calls.
[01:40:01.000 --> 01:40:05.000]  Sure, and you're going to stay a little bit with us in the next hour so you can lay out more knowledge for people.
[01:40:05.000 --> 01:40:09.000]  But briefly, then we will go to calls. We have an article in Infowars.com.
[01:40:09.000 --> 01:40:12.000]  Robo reporters replace mainstream journalists.
[01:40:12.000 --> 01:40:15.000]  So now the government corporation puts out a press release.
[01:40:15.000 --> 01:40:22.000]  A robo writer re-scrambles it, but it's the same propaganda and then puts a fake name on it.
[01:40:22.000 --> 01:40:29.000]  They're going to have gnome de plumes, pen names, and then they're going to just get rid of the little government repeaters that just repeat whatever the government says anyway.
[01:40:29.000 --> 01:40:35.000]  I mean, this is crazy. If you notice now, they're even now saying we may not even have press conferences anymore.
[01:40:35.000 --> 01:40:40.000]  We may have a virtual president where it's a hologram. I mean, they are overthrowing reality.
[01:40:40.000 --> 01:40:44.000]  This thing is now starting to move really quick, Professor Griff.
[01:40:44.000 --> 01:40:47.000]  What's your take on the whole technocracy?
[01:40:47.000 --> 01:41:03.000]  I think it's almost mind-numbing simply because I watched this gentleman, Will.I.Am, of the group Black Eyed Peas support and then write songs and this kind of thing for Barack Obama.
[01:41:03.000 --> 01:41:11.000]  He even admitted that because of the hologram, he ended up in four and five different locations at one time.
[01:41:11.000 --> 01:41:20.000]  Shortly after that, they did a concert, I believe at Coach Miller, and they brought Tupac out on the stage via the hologram.
[01:41:20.000 --> 01:41:22.000]  And this blew a lot of people away.
[01:41:22.000 --> 01:41:29.000]  And then they even admitted in certain documents on the internet that they were going to start having a hologram concert.
[01:41:29.000 --> 01:41:37.000]  You can see Otis Redding and Whitney Houston and Heavy D and some of the other artists that have transitioned and passed on.
[01:41:37.000 --> 01:41:41.000]  Now we can see them now in concert by a hologram.
[01:41:41.000 --> 01:41:54.000]  It is mind-numbing simply because a lot of people that I talk to on a daily basis, especially young people, they don't know reality from non-reality.
[01:41:54.000 --> 01:41:58.000]  A lot of people's non-reality has become their reality.
[01:41:58.000 --> 01:42:03.000]  It's an artist sitting in a studio and craft a song, a song that comes out of his imagination.
[01:42:03.000 --> 01:42:12.000]  By the time the singer airwaves and the video comes out, a young person listening to that particular song views that as their reality.
[01:42:12.000 --> 01:42:14.000]  But it's not real.
[01:42:14.000 --> 01:42:19.000]  Most people I know now, when you go to the Target or any store, it's all about virtual reality, these games.
[01:42:19.000 --> 01:42:22.000]  People pay money to have a Ferrari in an imaginary world.
[01:42:22.000 --> 01:42:24.000]  They pay to have a girlfriend.
[01:42:24.000 --> 01:42:32.000]  And then people actually start worshipping them with a status because they have the illusion this is the Wizard of Oz world eating the real world.
[01:42:32.000 --> 01:42:33.000]  Yes.
[01:42:33.000 --> 01:42:34.000]  Yes.
[01:42:34.000 --> 01:42:37.000]  I asked the question earlier, does art imitate life?
[01:42:37.000 --> 01:42:39.000]  Does art imitate art?
[01:42:39.000 --> 01:42:44.000]  And we know they're using artificial art to then create the life they want.
[01:42:44.000 --> 01:42:46.000]  They're feedback looping us.
[01:42:46.000 --> 01:42:48.000]  They're force-feeding us all this.
[01:42:48.000 --> 01:42:49.000]  Exactly.
[01:42:49.000 --> 01:43:00.000]  And the truth is, if people watch my breakdown of Prometheus, they really believe they are the descendants of aliens and that we're the profane and have to be exterminated.
[01:43:00.000 --> 01:43:02.000]  It's just all so bizarre.
[01:43:02.000 --> 01:43:04.000]  And whether it's real or not, folks, they believe it.
[01:43:04.000 --> 01:43:05.000]  They're crazy.
[01:43:05.000 --> 01:43:12.000]  They're in charge because we stand down and let them rule because we don't have this arrogant desire to dominate everything.
[01:43:12.000 --> 01:43:14.000]  So, wow.
[01:43:14.000 --> 01:43:15.000]  Heavy show today.
[01:43:15.000 --> 01:43:17.000]  So glad to have Professor Griff here with us.
[01:43:17.000 --> 01:43:18.000]  Mike in Oregon.
[01:43:18.000 --> 01:43:20.000]  Got a lot of great questions here.
[01:43:20.000 --> 01:43:23.000]  Mike, Freddie, James, Boren, Vitald.
[01:43:23.000 --> 01:43:24.000]  We're going to get to all of you.
[01:43:24.000 --> 01:43:26.000]  Mike, you're on the air with Professor Griff.
[01:43:26.000 --> 01:43:28.000]  Go ahead.
[01:43:28.000 --> 01:43:30.000]  Hey, thanks a lot for having me today.
[01:43:30.000 --> 01:43:31.000]  You bet, buddy.
[01:43:31.000 --> 01:43:32.000]  Go ahead.
[01:43:32.000 --> 01:43:36.000]  Oh, on the holographic subject, I thought I'd explain.
[01:43:36.000 --> 01:43:45.000]  They're probably going to have like an Obama one Kenobi type deal where it like tells you when to turn on and off the lights, tells you what to eat and whatnot.
[01:43:45.000 --> 01:43:46.000]  You think?
[01:43:46.000 --> 01:43:53.000]  No, that's actually — THX 1138 is off of Brave New World, which Aldous Huxley said is their actual plan.
[01:43:53.000 --> 01:43:58.000]  So go watch that George Lucas 1973 film with Robert Duvall.
[01:43:58.000 --> 01:44:02.000]  And that's what they're planning, if you're lucky.
[01:44:02.000 --> 01:44:04.000]  Wow.
[01:44:04.000 --> 01:44:15.000]  Oh, and the video game subject with the violent video games I was reading from where the high schools and the middle schools want to get a like a poll of all the kids using video games.
[01:44:15.000 --> 01:44:26.000]  And then they want to put them on like an anger management type program saying that they all could potentially be Adam Lanz's and that we all need to get them hooked on psychotropics and all sorts of stuff.
[01:44:26.000 --> 01:44:27.000]  No, no, I hear you.
[01:44:27.000 --> 01:44:29.000]  Let's get Professor Griff's take on that.
[01:44:29.000 --> 01:44:38.000]  Yeah, the public, they're saying they're going to put the so-called Colorado shooter on truth serum to make him tell the truth when that's actually what you use to mind control him.
[01:44:38.000 --> 01:44:46.000]  And the guy's under a DARPA mind control program, just like it's admitted that the Unabomber Theodore Kaczynski was in MK Ultra.
[01:44:46.000 --> 01:44:47.000]  I mean, that's in the L.A. Times.
[01:44:47.000 --> 01:44:51.000]  And then no one says, hey, we should investigate if he was mind control.
[01:44:51.000 --> 01:45:00.000]  And then they assign the same mind control doctor, the second most famous in world history, to be McVeigh's doctor.
[01:45:00.000 --> 01:45:01.000]  I mean, it's all hidden in plain view.
[01:45:01.000 --> 01:45:05.000]  Professor Griff, you know, 10 years ago, we talk about al-Qaeda being globalist run.
[01:45:05.000 --> 01:45:07.000]  Now they just admit it.
[01:45:07.000 --> 01:45:10.000]  Well, why do you think they're just coming out in the open with everything?
[01:45:10.000 --> 01:45:21.000]  I think simply because the plan that they set in motion has put up its base already in the hearts and the minds of the people.
[01:45:21.000 --> 01:45:29.000]  We're at the phase of this day where the people are crying out and clamoring for this whole idea of change.
[01:45:29.000 --> 01:45:41.000]  This is one of the reasons why the Obama deception, too, is very important, typically because now we're getting things to come back and let the people know, look, we've said this and started doing this prior to Obama becoming president.
[01:45:41.000 --> 01:45:44.000]  Look at what's been going on.
[01:45:44.000 --> 01:45:49.000]  Look what is going on right now so that we can lay out the plan, what's about to happen.
[01:45:49.000 --> 01:45:53.000]  And if people don't want to go along with it and believe it, that's on them.
[01:45:53.000 --> 01:46:00.000]  This is what's been laid out by people that are watching this thing and knowing understands.
[01:46:00.000 --> 01:46:04.000]  That's right. This is a fact whether people like that's your opinion.
[01:46:04.000 --> 01:46:08.000]  No, no. I mean, if you jump off a thousand foot cliff without a parachute, you're going to die.
[01:46:08.000 --> 01:46:11.000]  This is what we're saying here is not our opinion.
[01:46:11.000 --> 01:46:12.000]  The globalists are bragging.
[01:46:12.000 --> 01:46:15.000]  We're telling you what's public.
[01:46:15.000 --> 01:46:16.000]  That's what's so frustrating.
[01:46:16.000 --> 01:46:18.000]  It drives me crazy.
[01:46:18.000 --> 01:46:19.000]  Exactly.
[01:46:19.000 --> 01:46:23.000]  So this is this next quote is very, very public.
[01:46:23.000 --> 01:46:28.000]  This is the biblical, the big Brzezinski, November 17th, 2008.
[01:46:28.000 --> 01:46:35.000]  He said, I once put it rather bluntly, and I was flattered that the British Home Secretary repeated this as follows.
[01:46:35.000 --> 01:46:39.000]  Mainly in earlier times, it is easier to control a million people.
[01:46:39.000 --> 01:46:45.000]  Literally, it was easier to control a million people than physically to kill a million people.
[01:46:45.000 --> 01:46:50.000]  It is infinitely easier to kill a million people than to control a million people.
[01:46:50.000 --> 01:46:53.000]  He said it's easier to kill than to control.
[01:46:53.000 --> 01:46:56.000]  This is the big Brzezinski.
[01:46:56.000 --> 01:46:58.000]  He put that out in his new book.
[01:46:58.000 --> 01:46:59.000]  That's in his new book.
[01:46:59.000 --> 01:47:00.000]  I read most of it.
[01:47:00.000 --> 01:47:01.000]  I scanned through it.
[01:47:01.000 --> 01:47:03.000]  It's a big book that came out about six months ago.
[01:47:03.000 --> 01:47:05.000]  And he says the people are waking up.
[01:47:05.000 --> 01:47:06.000]  This may upset our plan.
[01:47:06.000 --> 01:47:08.000]  And he's not just saying that playing possum.
[01:47:08.000 --> 01:47:12.000]  The good news is we pushed him back about 10 years, ladies and gentlemen.
[01:47:12.000 --> 01:47:19.000]  And if you just believe we can beat them, and if we just figure out their divide and conquer, we can come together and beat this thing.
[01:47:19.000 --> 01:47:22.000]  Let's talk to Sally in California.
[01:47:22.000 --> 01:47:24.000]  Then we're going to go to Freddie and others.
[01:47:24.000 --> 01:47:28.000]  Sally, you're on the air with Professor Griff.
[01:47:28.000 --> 01:47:29.000]  Go ahead.
[01:47:29.000 --> 01:47:30.000]  Yes.
[01:47:30.000 --> 01:47:32.000]  I have a question with Dr. Griff.
[01:47:32.000 --> 01:47:36.000]  How to get African Americans more involved in New World Order?
[01:47:36.000 --> 01:47:43.000]  I think what we need to do is encourage enough to speak truth to power.
[01:47:43.000 --> 01:47:49.000]  I think we need to tap into the great meat instead of worrying about the little meat things.
[01:47:49.000 --> 01:47:57.000]  I think we need to do things that resonate with African Americans, that resonate with black people and speak their language.
[01:47:57.000 --> 01:48:01.000]  Public Enemy has done that particular work.
[01:48:01.000 --> 01:48:08.000]  And I think this is why it was the people that voted for Public Enemy to go into the rock and roll on the thing.
[01:48:08.000 --> 01:48:17.000]  We did it via hip-hop, because that's the vibratory frequency that we felt we could use, the medium that we could use, to reach black people.
[01:48:17.000 --> 01:48:20.000]  Now, we can call all we want to.
[01:48:20.000 --> 01:48:24.000]  Whether people come or not, that is entirely up to the people.
[01:48:24.000 --> 01:48:30.000]  Speaking truth to power, as Alex Jones will tell you, is definitely not an easy thing, but we don't mind doing it.
[01:48:30.000 --> 01:48:33.000]  There's a price to be paid for that.
[01:48:33.000 --> 01:48:34.000]  Are you following me?
[01:48:34.000 --> 01:48:39.000]  James Brown said people are talking loud, but they ain't saying nothing.
[01:48:39.000 --> 01:48:43.000]  And it's very critical that you speak a person's language.
[01:48:43.000 --> 01:48:51.000]  If you go to speak to our Latino brothers and sisters, you have to be able to speak their language to resonate with them.
[01:48:51.000 --> 01:48:56.000]  If you're going to speak to African Americans, I mean, we're all over the place.
[01:48:56.000 --> 01:49:00.000]  We have to be able to speak the language and speak truth to power.
[01:49:00.000 --> 01:49:11.000]  Well, I've actually found, statistically, black folks are easier to wake up to the new world order than probably any other group, because they've already been shafted so much, and they recognize the system they've already seen.
[01:49:11.000 --> 01:49:17.000]  But, like everybody else, they'll go, yeah, I get it's bad, but I still like Obama because it makes me feel good.
[01:49:17.000 --> 01:49:20.000]  They, like, choose to go back into the matrix.
[01:49:20.000 --> 01:49:34.000]  Exactly. And the reason why, Alex, simply because we've been fed this feel-good stuff for a minute, because that's what goes on every Sunday in the black community.
[01:49:34.000 --> 01:49:36.000]  It's a feel-good kind of thing.
[01:49:36.000 --> 01:49:43.000]  With one or two commercials and a couple of songs by a couple of 20 rappers, oh, it's a wrap.
[01:49:43.000 --> 01:49:48.000]  All right, Sally, thank you. Let's jam in one more, and we'll come back after the break and get more into this.
[01:49:48.000 --> 01:49:52.000]  Let's talk to Freddie in Texas.
[01:49:52.000 --> 01:49:59.000]  Well, let's do this after the break. He wants to have a question. Get your opinion on Louis Farrakhan, so we'll get that.
[01:49:59.000 --> 01:50:06.000]  Selena wants to talk about the Koch brothers. Michael Paul or Michelle Paul wants to talk about populations.
[01:50:06.000 --> 01:50:13.000]  800-259-9231, 800-259-9231.
[01:50:13.000 --> 01:50:20.000]  Professor Griff is our guest, excellent website, pgriff.info, and he is keeping it real, as they say.
[01:50:20.000 --> 01:50:22.000]  That's my only goal. Be real.
[01:50:22.000 --> 01:50:23.000]  And I know what's real.
[01:50:23.000 --> 01:50:31.000]  That a bunch of mad scientists who think they're God and are going to become God running things, and they're jacking my food, my water.
[01:50:31.000 --> 01:50:33.000]  They're trying to force GMO on me and my babies.
[01:50:33.000 --> 01:50:40.000]  And, man, I just am freaked out, and we've got to get everybody awake to this to figure out some way forward.
[01:50:40.000 --> 01:50:43.000]  The problem is they know our nature. They know how to punch our buttons.
[01:50:43.000 --> 01:50:46.000]  We've got to get outside the box and realize we're being gamed.
[01:50:46.000 --> 01:50:49.000]  Professor Griff has been a soldier long before I was trying to do that.
[01:50:49.000 --> 01:50:55.000]  We'll be right back with Professor Griff, your phone calls, and a lot more right here.
[01:50:55.000 --> 01:50:59.000]  If you're listening, you know your basic freedoms are being threatened every day.
[01:50:59.000 --> 01:51:03.000]  If you're listening, you know the economy is not getting better.
[01:51:03.000 --> 01:51:05.000]  You know gas and food prices are skyrocketing.
[01:51:05.000 --> 01:51:11.000]  Now is the time to get prepared. For years, we've told you about our friends at eFoods Direct.
[01:51:11.000 --> 01:51:14.000]  They have the best tasting, long-term, storable food on the planet.
[01:51:14.000 --> 01:51:18.000]  This food will taste just as great 25 years from now as it does tonight.
[01:51:18.000 --> 01:51:24.000]  A long-term food supply allows you to freeze the cost and the availability of the one thing you need most.
[01:51:24.000 --> 01:51:27.000]  Be prepared and get your supply from eFoods Direct.
[01:51:27.000 --> 01:51:33.000]  Right now is the best time to stock up and save hundreds of dollars with free shipping on all food supplies.
[01:51:33.000 --> 01:51:35.000]  Give yourself peace of mind and be prepared.
[01:51:35.000 --> 01:51:42.000]  Act now and call 800-409-5633 or visit eFoodsDirect.com slash Alex.
[01:51:42.000 --> 01:51:45.000]  Get free shipping on all orders for a limited time.
[01:51:45.000 --> 01:51:51.000]  Call 800-409-5633 or go to eFoodsDirect.com slash Alex.
[01:51:51.000 --> 01:51:54.000]  You can bet your life on eFoods Direct.
[01:51:59.000 --> 01:52:01.000]  Curious about what comes next?
[01:52:01.000 --> 01:52:08.000]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[01:52:08.000 --> 01:52:11.000]  Fool the bad guys with a new, improved fake TV.
[01:52:11.000 --> 01:52:18.000]  You asked for it. We listened and we made our new fake TV three times brighter than our previous model.
[01:52:18.000 --> 01:52:22.000]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[01:52:22.000 --> 01:52:27.000]  It simulates the color and motion of a real TV while you're away from home.
[01:52:27.000 --> 01:52:34.000]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[01:52:34.000 --> 01:52:39.000]  The new, brighter fake TV is only $39.95 and includes free shipping.
[01:52:39.000 --> 01:52:44.000]  Go to Faketv.com or call 1-877-5FAKETV.
[01:52:44.000 --> 01:52:51.000]  That's 877-532-5388 or go to Faketv.com.
[01:52:51.000 --> 01:52:54.000]  Fake TV, the burglar deterrent.
[01:52:54.000 --> 01:53:00.000]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[01:53:00.000 --> 01:53:05.000]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers,
[01:53:05.000 --> 01:53:09.000]  the Berkey guy offers amazing specials for Berkey water filtration systems.
[01:53:09.000 --> 01:53:15.000]  The Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water
[01:53:15.000 --> 01:53:23.000]  by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[01:53:23.000 --> 01:53:29.000]  Order the Berkey light system today complete with two black Berkey elements for only $231
[01:53:29.000 --> 01:53:32.000]  and the Berkey guy will ship your order free of charge.
[01:53:32.000 --> 01:53:39.000]  With the purchase of a Berkey light, the Berkey guy is also offering a set of fluoride and arsenic filters for only $39.99.
[01:53:39.000 --> 01:53:41.000]  That's over 30% off the retail price.
[01:53:41.000 --> 01:53:46.000]  Call the Berkey guy at 1-877-886-3653.
[01:53:46.000 --> 01:53:52.000]  That's 1-877-886-3653 or order online at GoBerkey.com.
[01:53:52.000 --> 01:53:55.000]  That's GoBerkey.com today.
[01:54:23.000 --> 01:54:25.000]  They're just getting you used to, it's fake, but believe it.
[01:54:25.000 --> 01:54:27.000]  Yeah, you didn't get thrown in the ocean.
[01:54:27.000 --> 01:54:29.000]  Just don't worry about it.
[01:54:29.000 --> 01:54:32.000]  On purpose, just to where we accept being lied to.
[01:54:32.000 --> 01:54:36.000]  You know, recently, Louis Farrakhan said some nice things about me.
[01:54:36.000 --> 01:54:40.000]  And, you know, Louis Farrakhan, growing up hearing him, he says a lot of stuff I totally agree with.
[01:54:40.000 --> 01:54:42.000]  He exposes the fellow who deserves other stuff.
[01:54:42.000 --> 01:54:45.000]  Gets off into some other areas, you know, that I don't totally agree with.
[01:54:45.000 --> 01:54:49.000]  But all I care about is that he's telling people don't be on drugs and don't trust the government.
[01:54:49.000 --> 01:54:53.000]  And that sounds like common sense to me, but that's my view of Louis Farrakhan.
[01:54:53.000 --> 01:54:57.000]  I don't really follow a ton of what he's doing because I'm too busy.
[01:54:57.000 --> 01:55:01.000]  But let's get Professor Griff's take on, well, I mean, Freddie, you go ahead and ask the question.
[01:55:01.000 --> 01:55:04.000]  I just see it up there on the board, so I'm asking it for you, Freddie.
[01:55:04.000 --> 01:55:06.000]  Go ahead, ask your question.
[01:55:06.000 --> 01:55:08.000]  Thank you, Alex, and I love you, man.
[01:55:08.000 --> 01:55:10.000]  I'm a black man saying to you, I love you, Farrakhan.
[01:55:10.000 --> 01:55:15.000]  I love you as a black man to a white man because Jesus' disciples came to him one day,
[01:55:15.000 --> 01:55:21.000]  and he asked him, when his mom and brothers wanted to speak to him, he said, who are my mothers and who are my brothers?
[01:55:21.000 --> 01:55:26.000]  And Jesus said, those who adhere to the word of God and put it into practice.
[01:55:26.000 --> 01:55:32.000]  And you're more of a brother as a white man because you're standing for truth and you're willing to speak truth to power,
[01:55:32.000 --> 01:55:36.000]  more so than members of my own family who don't do that.
[01:55:36.000 --> 01:55:40.000]  I just want justice, and I know they're shooting people up with cancer viruses.
[01:55:40.000 --> 01:55:43.000]  And if I don't fight that, I'm signing on to it.
[01:55:43.000 --> 01:55:47.000]  Do you have a question for Professor Griff?
[01:55:47.000 --> 01:55:53.000]  I want to ask Professor Griff, what do you think of Mr. Farrakhan yourself?
[01:55:53.000 --> 01:55:58.000]  And again, I agree with speaking the language of our people.
[01:55:58.000 --> 01:56:00.000]  Could you give me a couple of specifics?
[01:56:00.000 --> 01:56:02.000]  Because I'm about reaching out to young people with this.
[01:56:02.000 --> 01:56:04.000]  Sure, great question, Freddie.
[01:56:04.000 --> 01:56:05.000]  Thanks for holding.
[01:56:05.000 --> 01:56:06.000]  Go ahead, Professor Griff.
[01:56:06.000 --> 01:56:14.000]  Well, that's a very, very broad general state, but that's a show within thought of itself.
[01:56:14.000 --> 01:56:20.000]  There's so many things I could think of, but I think the one thing that kind of hits home for me in reference to Mr.
[01:56:20.000 --> 01:56:29.000]  Farrakhan is the fact that I was that average kid in the hood, in the street, getting into all kinds of trouble, doing all kinds of things.
[01:56:29.000 --> 01:56:36.000]  But I heard this brother speaking truth to power, which drew me to the Nation of Islam.
[01:56:36.000 --> 01:56:46.000]  And I became a disciplined, studious, caring father, brother, uncle, just an all-around good human being,
[01:56:46.000 --> 01:56:55.000]  after going through the process of the FOI, which is the Food of Islam, the military training of men that belong to Islam in North America.
[01:56:55.000 --> 01:57:01.000]  All right, there goes your question answered right there.
[01:57:01.000 --> 01:57:03.000]  Let's jam in one more before this hour ends.
[01:57:03.000 --> 01:57:05.000]  Boran in Alabama, you're on the air.
[01:57:05.000 --> 01:57:09.000]  Go ahead.
[01:57:09.000 --> 01:57:10.000]  Go ahead, sir.
[01:57:10.000 --> 01:57:11.000]  You're on the air.
[01:57:11.000 --> 01:57:12.000]  Can you hear me?
[01:57:12.000 --> 01:57:13.000]  Okay, let's go to Nick in California.
[01:57:13.000 --> 01:57:14.000]  Go ahead, Nick.
[01:57:14.000 --> 01:57:15.000]  You're on the air.
[01:57:15.000 --> 01:57:16.000]  Go ahead.
[01:57:16.000 --> 01:57:17.000]  Hi.
[01:57:17.000 --> 01:57:22.000]  I was calling about the Common Core education, where the government is trying to control the education.
[01:57:22.000 --> 01:57:26.000]  And you were talking about Dr. Coleman and the 21 plan?
[01:57:26.000 --> 01:57:29.000]  Yes.
[01:57:29.000 --> 01:57:30.000]  Can you hear me?
[01:57:30.000 --> 01:57:31.000]  Man, you're on the air.
