[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[56:23.000 --> 56:24.000]  Hip-Hoss.
[56:24.000 --> 56:27.200]  Oh, he never wrote all this down to be a fake record.
[56:27.200 --> 56:32.920]  Oh, he, he, Jeepers, Creepers, Lordy, Lordy, I'm such a good Sunday school boy, getting
[56:32.920 --> 56:38.200]  my yellow Volkswagen, I'll take care of you, Lordy, Lordy, I just thought, oh, I have,
[56:38.200 --> 56:41.320]  oh, I have the, oh, here it is.
[56:41.320 --> 56:45.280]  My judgment was, I needed to get that out into the public square, and so I asked a friend
[56:45.280 --> 56:50.900]  of mine to share the content of the memo with a reporter, didn't do it myself for a variety
[56:50.900 --> 56:53.200]  of reasons, but I asked him to because I thought...
[56:53.200 --> 56:54.200]  The pause.
[56:54.200 --> 56:56.480]  I didn't leak, I just gave it to somebody.
[56:56.480 --> 56:59.640]  I didn't order somebody killed, I just gave the order.
[56:59.640 --> 57:04.240]  I didn't kill the guy, I just gave the order.
[57:04.240 --> 57:07.200]  You just heard classic mafia, let's finish.
[57:07.200 --> 57:10.760]  That might prompt the appointment of a special counsel, and so I asked a close friend of
[57:10.760 --> 57:11.760]  mine to do it.
[57:11.760 --> 57:13.400]  And was that Mr. Wittes?
[57:13.400 --> 57:14.960]  No, no.
[57:14.960 --> 57:15.960]  Who was that?
[57:15.960 --> 57:19.520]  A good friend of mine who's a professor at Columbia Law School.
[57:19.520 --> 57:21.800]  A good friend of mine.
[57:21.800 --> 57:26.600]  And for the FBI at that level, it's all about, are you seven feet tall, or do you look like
[57:26.600 --> 57:30.960]  you're really a good guy, like, well they be stun, we walk a seven foot tall guy in,
[57:30.960 --> 57:34.080]  it's all just, and he's just nothing but a little crook.
[57:34.080 --> 57:38.040]  Second hour straight ahead, spread those live links, stick in the eyes of Soros, Zuckerberg
[57:38.040 --> 57:39.040]  and all of them.
[57:39.040 --> 57:43.480]  We'll be back on Alex Jones, stay with us, big breaking news, breaking news in the second
[57:43.480 --> 58:02.840]  hour, stay with us.
[58:02.840 --> 58:07.200]  If you are receiving this transmission, you are the resistance.
[58:07.200 --> 58:13.680]  Live from theInfoWars.com studios, it's Alex Jones.
[58:13.680 --> 58:18.280]  Well we've got some incredible information about the break of the next segment.
[58:18.280 --> 58:23.000]  The arrogance of these people is only outmatched by their stupidity.
[58:23.000 --> 58:28.400]  So we'll look at this riddle, but all my lawyers have looked at these fake lawsuits against
[58:28.400 --> 58:32.800]  us, and I don't just put a good face on things, if something's bad I'll tell you, or I admit
[58:32.800 --> 58:35.480]  I've done something wrong.
[58:35.480 --> 58:40.560]  Stop lawyers, look at these lawsuits and they say, this is like a temper tantrum, this is
[58:40.560 --> 58:44.360]  not real, judges will never even advance this.
[58:44.360 --> 58:48.920]  The left is acting like they're in the battle of their lives because they are, and none
[58:48.920 --> 58:56.440]  of it matters, they just grandstand and temper tantrum, it's going to get them ahead, but
[58:56.440 --> 59:03.000]  well we'll cover it next segment, it's just mind-boggling.
[59:03.000 --> 59:20.440]  Now before we go any further, you've got Trump, who even though I disagree with some of the
[59:20.440 --> 59:29.280]  things Trump does, I can see his algorithm, and it's pragmatic, it's real, it's pro-prosperity,
[59:29.280 --> 59:37.280]  it's pro-free market, it's pro-symbiosis, it's pro-deals, the smarts of the general public,
[59:37.280 --> 59:43.920]  free will, Trump's a real free will guy, and I can see it, and I can see 14, 15 months
[59:43.920 --> 59:49.040]  into his presidency, the whole world turning around, and nationalism, and free market,
[59:49.040 --> 59:56.880]  and religious freedom, and so many good things exploding, and then I see the globalist panicking,
[59:56.880 --> 1:00:01.920]  I see them freaking out, and I see them attacking myself, and anybody else they see as a support
[1:00:01.920 --> 1:00:08.080]  mechanism for Trump, because as narcissistic Satanists they believe it's Alex Jones or
[1:00:08.080 --> 1:00:13.120]  it's Donald Trump, and this is key, who's creating all this, because these idiots all
[1:00:13.120 --> 1:00:17.520]  think they're the center of the universe, but they don't understand that we just metaphysically
[1:00:17.520 --> 1:00:23.680]  are signing on to what we already know as inherent, and real, and powerful, and true,
[1:00:23.680 --> 1:00:32.400]  we're not the fount, we're not the progenitor, we're not the engine, we're not the birthplace,
[1:00:32.400 --> 1:00:43.640]  we're not the zygote of this, we're simply strong nodes in that human quest for life
[1:00:43.640 --> 1:00:50.400]  and liberty and justice in a future, we're alive, and it's because we are alive they
[1:00:50.400 --> 1:00:58.400]  hate us, they live, we sleep, well I'm alive, and yeah I'm an arrogant person I guess, I
[1:00:58.400 --> 1:01:04.000]  don't need to see somebody else down on their luck and weak, I wouldn't feel good in some
[1:01:04.000 --> 1:01:11.280]  mountaintop chalet with 50 bedrooms and helicopters and all the best with all around me like Brazil,
[1:01:12.880 --> 1:01:17.680]  another area with just people crapping on themselves and enslavement, and keeping them
[1:01:17.680 --> 1:01:25.120]  politically suppressed so I could feel powerful by how low they were, and if you understand
[1:01:25.120 --> 1:01:31.120]  that essence, you understand everything, that's what Satanism is, it's all about you, it's all about
[1:01:31.120 --> 1:01:36.400]  the more selfish you are, if you're willing to rape a baby or slit its throat, you get all this
[1:01:36.400 --> 1:01:44.880]  power because you're this selfish god, that's a freaking joke, that's a cultural planetary abortion,
[1:01:44.880 --> 1:01:55.920]  and see to me my life isn't about me, it's about my progeny and the whole continuum
[1:01:55.920 --> 1:02:01.600]  because it is about me, and I realize I'm going on with the future through my progeny
[1:02:01.600 --> 1:02:05.760]  and I'm not going to be stopped and I'm not going to let a bunch of chicken crap BS global
[1:02:05.760 --> 1:02:10.480]  is getting away on that, and if they want to fight I'm ready for the animating contest
[1:02:10.480 --> 1:02:15.920]  because what they do to me only makes me stronger whether I even die in the process,
[1:02:16.560 --> 1:02:23.680]  I'll never be a piece of crap like they are, so the whole Russiagate thing is a projection
[1:02:23.680 --> 1:02:27.920]  of what Hillary was, it's in all the documents McCabe's been caught covering up Hillary's crimes,
[1:02:27.920 --> 1:02:31.680]  they've all been caught and the indictments are being readied for them, I can tell you now
[1:02:31.680 --> 1:02:35.920]  from my local sources they want to fight, they've got one, they're all going to be indicted,
[1:02:35.920 --> 1:02:41.440]  they're all going to prison, and all the scum and all the trash that thought they had their will over
[1:02:41.440 --> 1:02:44.720]  America, they're about to get their asses handed to them collectively.
[1:02:46.720 --> 1:02:53.120]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by Infowars Life,
[1:02:53.840 --> 1:02:59.360]  help the good bacteria thrive and support overall digestive health with our specially
[1:02:59.360 --> 1:03:04.960]  formulated prebiotic fiber, a mixture of clinically studied and organic acacia,
[1:03:04.960 --> 1:03:11.600]  fruit and flax fiber. Prebiotic fiber is soluble fiber that ferments in the gut to help feed good
[1:03:11.600 --> 1:03:18.000]  bacteria which helps you digest food, absorb nutrients and even support your immune system.
[1:03:18.000 --> 1:03:22.400]  Infowars Life's cutting-edge formula only brings you the highest quality,
[1:03:22.400 --> 1:03:28.000]  organic and clinically studied ingredients. Cheap prebiotic fibers are used up only at
[1:03:28.000 --> 1:03:34.160]  the beginning of the colon but our premium organic acacia fiber is slowly digested by the
[1:03:34.160 --> 1:03:40.000]  good bacteria throughout the entire colon for maximum prebiotic effect.
[1:03:40.000 --> 1:03:45.520]  Head to InfowarsLife.com or call 1-888-253-3139.
[1:03:57.760 --> 1:04:01.680]  Coming to you from the former United States of America,
[1:04:01.680 --> 1:04:07.040]  from deep in the heart of Texas, it's Alex Jones.
[1:04:21.360 --> 1:04:25.120]  All right, Leash ran a hands-on journalist that's worked for U.S. media, international media,
[1:04:25.120 --> 1:04:31.440]  you name it, citizenjournalismschool.com, thepapost.us and he was named last Tuesday in
[1:04:31.440 --> 1:04:38.000]  a lawsuit with myself, former congressman Allen West and others. And I want to get into that suit
[1:04:38.000 --> 1:04:44.400]  because it's not like the other millions of suits that are filed each year. It's in their own brief
[1:04:44.400 --> 1:04:50.080]  and I had top lawyers look at it, an attack on the First Amendment, it says we're Russian agents,
[1:04:51.040 --> 1:04:58.720]  it's just a total act of fiction, it's crazy. But also we pointed out that Soros was involved
[1:04:58.720 --> 1:05:04.000]  overthrowing Ukraine with State Department CIA funding and that other people that were involved
[1:05:04.000 --> 1:05:08.480]  covering the events in Charlottesville had worked with the State Department in clandestine positions
[1:05:08.480 --> 1:05:13.760]  and that usually that means CIA because the State Department is the CIA. We didn't even say that
[1:05:13.760 --> 1:05:19.520]  they particularly were because they conflated in the suit what we were saying. But Leash ran a hand,
[1:05:19.520 --> 1:05:27.360]  did some research, we're going to go to it here in just a moment. And it turns out the company,
[1:05:27.360 --> 1:05:35.440]  this gentleman Zett, brags that it carries out CIA covert operations, which isn't hard to predict.
[1:05:36.160 --> 1:05:42.160]  But then they defame us in the New York magazine, everywhere else saying that Stranahan and I say
[1:05:42.160 --> 1:05:49.600]  that this man that's suing us killed the woman run over by somebody. We never said that. My
[1:05:49.600 --> 1:05:55.200]  lawyers have spent a lot of money just a week, they've looked at all the clips and they go,
[1:05:55.200 --> 1:05:58.880]  you've never said this. They go, we've never seen a suit like this. I mean, I don't go on air and
[1:05:58.880 --> 1:06:05.440]  say this is a hoax suit just to say that. It's a hoax. All this stuff's a hoax.
[1:06:07.840 --> 1:06:12.800]  I had these people sue me and they go, about six months, I didn't realize what was going on. They
[1:06:12.800 --> 1:06:18.400]  go, Mr. Jones, we don't have a suit. How about X amount goes in your bank account and we drop it?
[1:06:19.360 --> 1:06:24.000]  My lawyers are like, this is a great deal when I go, okay, but they were building the case.
[1:06:24.000 --> 1:06:30.720]  So the second time they filed suit, they offered me money and it's like millions of dollars.
[1:06:30.720 --> 1:06:35.360]  I go, no, no, we're going to court. No, no, no, don't do that. Don't do that. So it's this PR.
[1:06:35.360 --> 1:06:42.480]  They can put the defamation in a suit like these EEOC things like, we saw Jones with
[1:06:42.480 --> 1:06:49.360]  Russian agents giving him orders. This is in EEOC stuff. Jones was under the Russian commander's
[1:06:49.360 --> 1:06:57.040]  control and you're like, EEOC, what? It's like saying, Jones was with Captain Kangaroo and you're
[1:06:57.040 --> 1:07:07.600]  like, what is this? And then you realize they're just building this insanity with enough headlines
[1:07:07.600 --> 1:07:14.640]  thinking the listeners are dumb that it'll work. So look, I'm a smart guy sometimes, but
[1:07:14.640 --> 1:07:20.000]  so this isn't about info wars. It's not about Lee Strayani. It's not about Alex Jones.
[1:07:20.720 --> 1:07:22.800]  It's not about the citizen journalism school. It's about
[1:07:26.480 --> 1:07:30.160]  Hillary Clinton's main lawyers on the East Coast and West Coast are suing me.
[1:07:31.920 --> 1:07:37.600]  This groups, Georgetown University, the professors there, we're talking to the leaders of the
[1:07:37.600 --> 1:07:41.440]  university right now go, we didn't know this was happening. Let us fix this because
[1:07:41.440 --> 1:07:47.600]  no one's ever done something like this. This is rogue and it shows total panicking
[1:07:48.480 --> 1:07:53.280]  by the criminal elements of the deep state to just make up stuff we never said or did.
[1:07:53.280 --> 1:07:59.360]  So as long as you stand behind this and spread the articles, the books, the videos, as long as
[1:07:59.360 --> 1:08:03.440]  you buy the products, we'll make it through these fake lawsuits. But at the same time,
[1:08:04.000 --> 1:08:10.320]  the lawyers even say, we've never seen this type of craziness. So what does this signify?
[1:08:10.320 --> 1:08:15.200]  We'll get in the next segment of the documents, all the proof, what Lee Strayani has pulled up,
[1:08:16.400 --> 1:08:22.560]  dealing with all of this and the groups. But again, when I said the CIA did it,
[1:08:23.760 --> 1:08:31.760]  it's edited videos of us talking about Ukraine and Soros. And they mixed that together with other
[1:08:31.760 --> 1:08:36.800]  stuff we said about you got democratic operatives in Charlottesville when this woman gets killed,
[1:08:36.800 --> 1:08:42.000]  clearly being the spokespersons for the media, just like four kids out of 3,000 are with the
[1:08:42.000 --> 1:08:47.520]  shooting. We never said nobody died. We never said they were crisis actors. They say in the lawsuit,
[1:08:47.520 --> 1:08:55.520]  we should be shut down for seeing crisis actors. Nobody died because you can put defamation on
[1:08:55.520 --> 1:09:01.520]  lawsuit. So this is the deep state trying to take us down. And I'm not worried. I'm quite honored,
[1:09:01.520 --> 1:09:06.480]  quite frankly. Lee Strayani, we're going to go through your exhibits in the next segment,
[1:09:06.480 --> 1:09:13.280]  but just looking at this and looking at what's going on and then suing you and I
[1:09:13.280 --> 1:09:18.400]  for saying this guy had a CIA connection when we weren't even really, in most cases, talking about
[1:09:18.400 --> 1:09:24.320]  him. And then it looks like the connections are there. Again, it's like a lawyer would say,
[1:09:25.120 --> 1:09:33.520]  this doesn't, what do you think they're thinking? Well, this is clearly part of a longer play,
[1:09:33.520 --> 1:09:40.080]  Alex. What's going on here is a PR campaign that goes back. Well, actually, I would say,
[1:09:40.080 --> 1:09:47.120]  if you look in WikiLeaks, you can see some of the seeds of this at the founding of the Tea Party
[1:09:47.120 --> 1:09:52.640]  at that early time when remember the battle over Obamacare the early days of the Tea Party, right?
[1:09:52.640 --> 1:09:58.800]  And remember the media was accusing a Tea Party of being racist and a lot of the same things that
[1:09:58.800 --> 1:10:04.160]  we saw at Charlottesville. Well, who was one of the congressmen who was right in the middle of
[1:10:04.160 --> 1:10:11.200]  that controversy? It comes up actually in the WikiLeaks, Hillary Clinton emails, just look up the
[1:10:11.200 --> 1:10:21.920]  name Tom Periello. Tom Periello is the congressman from Virginia at the time and he's mentioned by
[1:10:21.920 --> 1:10:29.760]  Hillary Clinton in that email. And that's the guy suing his works for him. And that congressman
[1:10:29.760 --> 1:10:36.000]  gets massive, unusual Soros funding. Well, let's talk about that. Tom Periello is key to
[1:10:36.000 --> 1:10:42.080]  understanding it. He has a deep, long relationship with Brennan Gilmore, the man who's suing you,
[1:10:42.640 --> 1:10:48.400]  me, Alan West, Gateway Pundit and others, right? When I say a long relationship, you can find
[1:10:48.400 --> 1:10:57.120]  newspaper articles where they say that both Periello and Brennan Gilmore worked together
[1:10:57.120 --> 1:11:03.360]  like 15, about 15 years ago, it could be 14, but right around 15 years ago in Sierra Leone.
[1:11:04.880 --> 1:11:10.240]  Gilmore is a longtime State Department employee, but he's also been Tom Periello's
[1:11:10.240 --> 1:11:14.480]  chief of staff. So he's not a minor staffer. He's very tightly connected.
[1:11:14.480 --> 1:11:20.240]  He's the chief of staff. So basically, I mean, Periello looks like he's running a covert
[1:11:22.560 --> 1:11:28.320]  sex with chief operation. Well, I don't, so let me explain one thing. Let me explain why I go
[1:11:28.320 --> 1:11:33.680]  over facts like this too, because this is a big deal in the lawsuit, Alex. The reason a reporter
[1:11:33.680 --> 1:11:39.600]  like me sometimes, so like for instance, am I saying Brennan Gilmore is a CIA agent? I'm not
[1:11:39.600 --> 1:11:45.200]  saying that at all. I'm not at that point yet. But is the State Department involved with the CIA?
[1:11:46.400 --> 1:11:51.040]  Is the companies he worked for bragging they got CIA contracts? Yes, we're totally covered.
[1:11:52.240 --> 1:11:56.880]  Well, let me, let me just say this too. Part of the reason I put information out though
[1:11:57.920 --> 1:12:03.280]  is that maybe someone out there in the listening audience worked with this guy and it becomes a
[1:12:03.280 --> 1:12:08.880]  tipster. Alex, I've done this in story after story after story. You get a little bit of the story
[1:12:08.880 --> 1:12:14.240]  out and then people go, well, gee, this guy's a good reporter. He's, he's getting the facts
[1:12:14.240 --> 1:12:19.920]  correct. Then they come to me and they become a whistleblower. Does that make sense? Well,
[1:12:19.920 --> 1:12:24.080]  that's what scares them. So why are they so scared about the Charlottesville? What, what do you think
[1:12:24.080 --> 1:12:27.360]  we're going to break in a minute? But what is the in game plan? We'll come back, go through the
[1:12:27.360 --> 1:12:32.400]  documents we've got here of this being CIA connected. We're not saying they killed the woman. We never
[1:12:32.400 --> 1:12:36.560]  said that. That's all them lying, fake news. Yeah, never, never said that. Yeah, yeah. They don't
[1:12:36.560 --> 1:12:40.160]  have it. That's why it's a joke. So joke. They hope we get pissed at them and create something for
[1:12:40.160 --> 1:12:45.280]  the lawsuit right now. It's not going to happen. Well, why, what are they, what are they trying
[1:12:45.280 --> 1:12:52.640]  and what is the point of this? Well, we'll, we'll talk about that, but this is the real danger
[1:12:52.640 --> 1:13:00.000]  of Soros. He has fooled the left. He has bought the left out. And so now the people who were opposed
[1:13:00.000 --> 1:13:04.400]  to the deep state traditionally are all on the side of the deep state. We'll talk about it,
[1:13:04.400 --> 1:13:09.360]  Alex. When you'll see this, it's stunning. Well, I know you're a smart guy and I respect
[1:13:09.360 --> 1:13:12.880]  your work. Been wearing for years. They have a nice interview, probably 50 times. I'm just going
[1:13:12.880 --> 1:13:17.600]  to let you co-host. You know what? The only way I shut up is you got the last two segments. I'm
[1:13:17.600 --> 1:13:20.880]  going to just sit here and listen to you. We'll do one more segment together, but I'll let you
[1:13:20.880 --> 1:13:26.800]  co-host and just take over the fourth to fifth segment of this hour to end the transmission.
[1:13:26.800 --> 1:13:30.720]  Lee Shranahan is right ahead because he's dug up some amazing stuff and isn't about us.
[1:13:30.720 --> 1:13:36.960]  It's about understanding the larger picture and just how crazy this is. Try it out.
[1:13:45.600 --> 1:13:51.360]  InfoWarsLife and InfoWarsLife.com is extremely excited to announce our latest release,
[1:13:51.360 --> 1:13:58.720]  Winter Sun, a revolutionary type of vitamin D3. Winter Sun is a premium quality vitamin D3
[1:13:58.720 --> 1:14:03.440]  nutritional supplement. It is produced by extracting oil from healthy nutrient dense plants
[1:14:03.440 --> 1:14:08.640]  known as lichens. Every batch is analyzed for purity and D3 content. It's completely free of
[1:14:08.640 --> 1:14:13.680]  toxins and allergens. Simply put, if you want the best at an extremely low price, this is it.
[1:14:13.680 --> 1:14:18.720]  Winter Sun is the result of our pursuit of the best source of vitamin D3. The research and
[1:14:18.720 --> 1:14:23.600]  development took over two years, but the result, as verified by independent laboratories, is the
[1:14:23.600 --> 1:14:30.320]  best vegan vitamin D3 product in the world. Read the facts at InfoWarsLife.com about Winter Sun,
[1:14:30.320 --> 1:14:36.400]  vitamin D3. Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory
[1:14:36.400 --> 1:14:42.320]  and brain function. Something the globalists are targeting. Visit InfoWars.com today or call
[1:14:42.320 --> 1:14:51.200]  888-253-3139. It's been sold out for months and now it's back. It's mycozx plus lower price,
[1:14:51.200 --> 1:14:56.160]  more ingredients because we scaled up, signed to your contract with an even bigger organic
[1:14:56.160 --> 1:15:04.240]  manufacturer and producer. Scalability, but now we're able to go at 50% off to $27 instead of $39,
[1:15:04.240 --> 1:15:09.200]  50% off because there's a lot of product and a lot of ingredient, mycozx. Now it's the other
[1:15:09.200 --> 1:15:13.120]  side of the equation. Everybody thinks about probiotics. Now great they are for your gut
[1:15:13.120 --> 1:15:17.680]  because of toxins in the environment, pesticides, herbicides, but more importantly than bad bacteria,
[1:15:17.680 --> 1:15:25.200]  the probiotics help this place. Yeast mold creates slime walls and once the candida and the yeast
[1:15:25.200 --> 1:15:28.800]  and the mold and all that get in there, it causes all sorts of syrups issues. Well,
[1:15:28.800 --> 1:15:35.120]  this has got a bunch of concentrated herbs in it and compounds known to destroy that slime wall.
[1:15:35.120 --> 1:15:37.840]  Don't wait to start detoxifying your body until it's too late.
[1:15:37.840 --> 1:15:43.520]  Pick up a bottle of the new and improved mycozx plus now from the InfoWars store.
[1:15:43.520 --> 1:15:50.560]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying
[1:15:50.560 --> 1:15:56.320]  what I have found to be the best tasting 100% organic coffee on the planet. For more than a decade,
[1:15:56.320 --> 1:16:00.960]  my favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers
[1:16:00.960 --> 1:16:05.920]  grow their unique shade grown Arabica beans. We have now managed to secure the sought after
[1:16:05.920 --> 1:16:13.440]  beans in a highly customized blend. Discover and try a bag of the Patriot blend 100% organic coffee
[1:16:13.440 --> 1:16:19.680]  at infowarslife.com. This coffee gives you a long, smooth pick me up for hours without the headaches
[1:16:19.680 --> 1:16:24.160]  and heartburn that so many other coffees give me personally. Hands down, this is my favorite coffee
[1:16:24.160 --> 1:16:29.600]  and it's taken us years to secure connections directly to the Chiapas Mexican farmers. Drop
[1:16:29.600 --> 1:16:33.760]  by the site today, order a bag or two and I don't think you're going to be disappointed.
[1:16:33.760 --> 1:16:38.560]  Available in original or with our immune support infusion blend, you will be supporting a free
[1:16:38.560 --> 1:16:44.080]  press all the while enjoying a truly great tasting cup of my favorite coffee. Available
[1:16:44.080 --> 1:16:50.160]  at infowarslife.com. Mike in Arizona here on the air worldwide. Go ahead. Oh Alex, you can rent
[1:16:50.160 --> 1:16:54.400]  any day of the week. Thank you sir for doing what you do and being a patriot and doing your best to
[1:16:54.400 --> 1:17:00.320]  save America and encouraging us as fellow patriots to do that in our local areas as well.
[1:17:00.320 --> 1:17:06.880]  And as a long time infowars listener, I want to say thanks for the awesome brain force,
[1:17:06.880 --> 1:17:11.440]  Anthroplex. My girlfriend would like to say thanks for the Anthroplex too. Thank you. I use the
[1:17:11.440 --> 1:17:16.160]  bio true selenium, the super blue toothpaste for you folks who aren't big normal toothpaste fans.
[1:17:16.160 --> 1:17:22.240]  The super blue is awesome and thank you so much Alex for the infowarslife products. They are quality.
[1:17:22.240 --> 1:17:26.960]  I can't wait to get some more and thank you so much for doing that for us to keep us healthy.
[1:17:26.960 --> 1:17:33.360]  Absolutely. Because then we could all as educated patriots help our other countrymen and women
[1:17:33.360 --> 1:17:38.160]  understand that there's a bigger problems going on and if we can get our houses in order
[1:17:38.160 --> 1:17:41.040]  and be good to each other and ourselves, we can take our country back.
[1:17:41.040 --> 1:17:52.240]  You're listening to the Alex Jones show.
[1:18:02.320 --> 1:18:09.600]  The blitzkrieg of globalist disinformation just ran through a big brick wall. It's called America
[1:18:09.600 --> 1:18:22.800]  and the rebirth of the republic. I'm your host Alex Jones, least ran and investigative journalist
[1:18:23.440 --> 1:18:26.800]  is our guest for the rest of the hour. I'm going to let him take over and really
[1:18:26.800 --> 1:18:31.360]  break all this down, not just the fake lawsuits against us, but what's behind it,
[1:18:31.360 --> 1:18:36.480]  the upcoming indictments, which I'm confirmed are about to happen. So much is going on. But here's
[1:18:36.480 --> 1:18:45.200]  an example of talking points memo far from a leftist site and let me sarcastic. And then you've
[1:18:45.200 --> 1:18:50.480]  got all these others saying new lawsuit reveals challenges of taking fake news peddlers to court.
[1:18:51.920 --> 1:18:57.760]  And then it goes on to say that Brennan Gilmore, this individual from the State Department that's
[1:18:57.760 --> 1:19:03.680]  saying that we say he killed a woman according to the article. They go on to say Jones says crisis
[1:19:03.680 --> 1:19:08.240]  actor staged the attack and that nothing actually happened in Florida. Never said that. There's
[1:19:08.240 --> 1:19:13.920]  no clip. There's no video. They just say it. But it goes in a complaint put together by lawyers
[1:19:13.920 --> 1:19:18.960]  for Georgetown law school civil rights center, which now is Antifree speech in federal court
[1:19:18.960 --> 1:19:23.120]  Tuesday. Gilmore claims false stories saying he was part of a deep state plot to undermine the
[1:19:23.120 --> 1:19:30.960]  Trump administration by staging the murder of anti racist activist Heather Hayer led to threats
[1:19:30.960 --> 1:19:37.440]  to his personal safety and cause potential damage to his career. So where's the link here? It's funny
[1:19:37.440 --> 1:19:39.680]  in journalism when we make when we say
[1:19:42.320 --> 1:19:49.200]  Bill Clinton settled a rape case where the Pope says communism's good or whatever it is. We link
[1:19:49.200 --> 1:19:56.720]  to it. Where is it? Well, it's not there. So that's how dumb they think you are. When they sued Jim
[1:19:56.720 --> 1:20:02.080]  Hoffton, Ellen West, myself, at least trying to end his homeless right now. So let's get into
[1:20:02.080 --> 1:20:08.000]  fact. He's also says that we say he CIA. We were talking in general about Soros and the funding
[1:20:08.000 --> 1:20:13.920]  of all this and State Department connections to that. But then it turns out you've got the
[1:20:13.920 --> 1:20:18.880]  organization, the group, you've done the research, the company he's an executive at reportedly
[1:20:19.600 --> 1:20:25.360]  brags of carrying out CIA contracts. So at least trying to hand let's teach them how journalism
[1:20:25.360 --> 1:20:31.760]  works right now. You got it. So let me let me do something a little even more fundamental
[1:20:31.760 --> 1:20:38.480]  before we get to that, Alex real simple point. This lawsuit claims that due to a report, for
[1:20:38.480 --> 1:20:46.320]  instance, that I did on info wars on August 15th. That's an important day that he was subject to
[1:20:46.320 --> 1:20:53.120]  threats. But in fact, in interviews that he gave with Judy Woodruff and in an article he wrote
[1:20:53.120 --> 1:20:59.600]  on Politico, he admitted that his own sister told him he was under threat on August 13th.
[1:20:59.600 --> 1:21:04.560]  So in other words, the threats had nothing to do with anything I said on info wars.
[1:21:05.360 --> 1:21:10.240]  Threats were happening two days earlier, according to believe it, he's a public figure.
[1:21:11.040 --> 1:21:15.680]  Obviously, the whole thing's a joke. Well, this is this is how it rolls. But let's talk about the
[1:21:15.680 --> 1:21:20.240]  connections. Because as you point out, there's two things they don't want. They're very upset in
[1:21:20.240 --> 1:21:28.880]  this suit that we tried to, they say, connect him as a CIA agent, or as a Soros puppet or
[1:21:28.880 --> 1:21:35.680]  something like that, neither of which were said. And about the about saying that he was responsible
[1:21:35.680 --> 1:21:41.280]  for Heather higher being killed, let me say, emphatically, not only did I not say it, I don't
[1:21:41.280 --> 1:21:46.880]  believe it. Do you believe that? No, no, we're saying Soros, well, they even cut off our headlines.
[1:21:46.880 --> 1:21:52.080]  They said, Soros should be indicted for staging Charlottesville chaos. They cut the chaos off.
[1:21:52.720 --> 1:21:56.480]  We didn't say stage start. We're saying he funds Antifa. They're there.
[1:21:59.600 --> 1:22:02.720]  But here's the good news. The lawyers, I'm sure you've talked to your own.
[1:22:02.720 --> 1:22:08.160]  They say they've never seen such a flip shot lawsuit. So the question is, why are they filing
[1:22:08.800 --> 1:22:15.120]  these these these these these BS things? Well, let me say this, too, there's another blessing
[1:22:15.120 --> 1:22:21.200]  in disguise here, Alex. Normally, as a journalist, I don't get to question people under oath,
[1:22:21.200 --> 1:22:27.360]  but I have some questions about Charlottesville. And now, because someone sued me, I'm going to
[1:22:27.360 --> 1:22:33.920]  get to ask that person questions under oath. We're going to get this opinion is bank records.
[1:22:33.920 --> 1:22:39.440]  Let's do it. Now, at the company, he's an executive at and the congressman even see the staff or that
[1:22:39.440 --> 1:22:44.560]  say they're running CIA operations. Let's let's that's the big bomb show. They sue us for saying
[1:22:44.560 --> 1:22:49.200]  they're connecting to CIA. We didn't really say that. But but now let's get into it right now.
[1:22:50.560 --> 1:22:55.360]  And so let's do that. And there's no Soros connect. That's the two things they say.
[1:22:55.360 --> 1:23:00.960]  There's no CIA connection, no Soros connection. Okay, let's go over it. So first off, Tom Pirello,
[1:23:00.960 --> 1:23:06.560]  who I mentioned before. Remember, Brendan Gilmour is his chief of staff. If you look into he ran
[1:23:06.560 --> 1:23:12.800]  for governor this past year, didn't make it out of the primaries. His top funder was drumroll George
[1:23:12.800 --> 1:23:18.000]  Soros. That's not me saying it. That's the Washington Post reporting in it. That's the FEC reports
[1:23:18.000 --> 1:23:24.240]  reporting that he was a major funder of Pirello's campaign. Let's start with that. Now, what you're
[1:23:24.240 --> 1:23:31.040]  talking about is something that I unveiled in the Periscope last night. It's that Brendan Gilmour is
[1:23:32.160 --> 1:23:40.560]  in a company. He's one of three executives in this company, right? And the two others. I want to
[1:23:40.560 --> 1:23:47.840]  focus on one in particular, Dario Marquez. Okay. Does another man tell folks the name of the company
[1:23:47.840 --> 1:23:51.840]  because document cam guys, I've got the articles right here. It's wise, right? That's them right
[1:23:51.840 --> 1:23:56.480]  there. And if you scroll, if they scroll down a little bit there, Alex, you'll see a picture
[1:23:57.040 --> 1:24:02.640]  of Brendan Gilmour. There's Mr. Marquez. There's Mr. Gilmour. This is clearly the same Brendan
[1:24:02.640 --> 1:24:08.000]  Gilmour who's suing us to right? Same biographer. That's him and look at the power trip right there.
[1:24:08.000 --> 1:24:14.880]  He's a public figure. He's out there. That's, that's right. Now let's talk about Dario Marquez.
[1:24:15.840 --> 1:24:22.800]  Couple things. First off, Dario Marquez is a former secret service agent and he formed a company
