[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[01:58:09.120 --> 01:58:11.120]  the body and it supports the info war.
[01:58:11.120 --> 01:58:13.120]  It is a classical 360 win.
[01:58:13.120 --> 01:58:16.120]  This is the formula that I personally have been taking for over a year.
[01:58:16.120 --> 01:58:21.120]  And now we believe we have come as close to perfection when it comes to a detoxifier as
[01:58:21.120 --> 01:58:22.120]  you can possibly get.
[01:58:22.120 --> 01:58:27.120]  You owe it to yourself, you owe it to your family and you owe it to the future of this country
[01:58:27.120 --> 01:58:32.120]  in the world that patriots stay as healthy and as clean and as focused as you can be
[01:58:32.120 --> 01:58:37.120]  because we need you, the remnant of America, to reignite those brush fires the next level
[01:58:37.120 --> 01:58:39.120]  and to be healthy and as focused as you can be.
[01:58:39.120 --> 01:58:42.120]  Thanks to your support and your prayers together, we're changing the world.
[01:58:42.120 --> 01:58:46.120]  Now it's time to change our bodies with ZShield and infowarslife.com.
[01:58:46.120 --> 01:58:50.120]  This Fourth of July is special.
[01:58:50.120 --> 01:58:51.120]  Everybody can see it.
[01:58:51.120 --> 01:58:52.120]  They can feel it.
[01:58:52.120 --> 01:58:56.120]  The globalists are attempting to kill a worldwide awakening to their tyranny.
[01:58:56.120 --> 01:59:00.120]  And America, yet again, is at the heart of the resistance to the globalist.
[01:59:00.120 --> 01:59:04.120]  That's why this Fourth of July I'm asking all of our great supporters to think about
[01:59:04.120 --> 01:59:06.120]  info wars now more than ever.
[01:59:06.120 --> 01:59:10.120]  And what would the world be like if info wars wasn't there resisting the globalist?
[01:59:10.120 --> 01:59:12.120]  What would have happened if you hadn't supported info wars?
[01:59:12.120 --> 01:59:15.120]  We would not be having the victories we have today.
[01:59:15.120 --> 01:59:18.120]  So yes, a lot of good things are happening, but the enemy is striking back.
[01:59:18.120 --> 01:59:22.120]  So please think about info wars and funding our operation while you get great products
[01:59:22.120 --> 01:59:25.120]  at the same time on the Fourth of July that's so historic.
[01:59:25.120 --> 01:59:30.120]  We have record sales going on right now, free shipping on hundreds of different items.
[01:59:30.120 --> 01:59:35.120]  More than 20 items are 50% off like Brainforce Plus, X2 is 40% off,
[01:59:35.120 --> 01:59:42.120]  knockout sleep aid 1776, Silver Bullets, 9.95 colletal silver and free shipping.
[01:59:42.120 --> 01:59:43.120]  You can't beat that.
[01:59:43.120 --> 01:59:46.120]  This Fourth of July special and our sales are special to match it.
[01:59:46.120 --> 02:00:14.120]  infowarstore.com
[02:00:14.120 --> 02:00:18.120]  We got a guest coming on who was at last Saturday's prayer vigil,
[02:00:18.120 --> 02:00:21.120]  the Antifa attack coming up in the next segment.
[02:00:21.120 --> 02:00:25.120]  And there's a lot of videos of the Antifa like women beating up Antifa
[02:00:25.120 --> 02:00:29.120]  or Tommy Robinson having a bunch of them attack him and they fight back and beat
[02:00:29.120 --> 02:00:31.120]  up a couple of them and he gets knocked down.
[02:00:31.120 --> 02:00:36.120]  But the point is these people are the scum of the earth and they're out there with weapons.
[02:00:36.120 --> 02:00:40.120]  It's always blue state areas that we just print me the article that we broke.
[02:00:40.120 --> 02:00:43.120]  I keep going back to that where we got the Soros documents.
[02:00:43.120 --> 02:00:46.120]  Where Obama wanted martial law in 2015.
[02:00:46.120 --> 02:00:53.120]  So in blue cities, in blue states, they would stage events and the police knew
[02:00:53.120 --> 02:00:56.120]  they were coming to attack people and would let them and would let them do violence
[02:00:56.120 --> 02:01:01.120]  trying to get because they're racist, Democrat, communist, mainly white people.
[02:01:01.120 --> 02:01:05.120]  I'm sorry that they could trigger black people to then cause race riots.
[02:01:05.120 --> 02:01:07.120]  Well, it didn't work there.
[02:01:07.120 --> 02:01:08.120]  Didn't work in DC.
[02:01:08.120 --> 02:01:11.120]  Didn't work in LA, but they are desperately trying.
[02:01:11.120 --> 02:01:13.120]  So there's the headline that's coming up.
[02:01:13.120 --> 02:01:16.120]  We come back from break and get into this.
[02:01:16.120 --> 02:01:18.120]  So this is their summer of rage.
[02:01:18.120 --> 02:01:19.120]  This is their attempt at a civil war.
[02:01:19.120 --> 02:01:24.120]  They're saying and I'm saying July 4th marks the demarcation line when I believe things
[02:01:24.120 --> 02:01:26.120]  would escalate, which is now happening.
[02:01:26.120 --> 02:01:27.120]  And I'd love to give myself credit.
[02:01:27.120 --> 02:01:33.120]  They say it's when they're going to launch like from, you know, Hollywood managers,
[02:01:33.120 --> 02:01:37.120]  you know, firing or saying I don't represent James Woods anymore on July 4th and all
[02:01:37.120 --> 02:01:41.120]  the attacks increasing that they're saying July 4th is their date.
[02:01:41.120 --> 02:01:43.120]  They hate America that it escalates into the summer.
[02:01:43.120 --> 02:01:44.120]  They hope to remove Trump.
[02:01:44.120 --> 02:01:46.120]  Doesn't mean it's going to work.
[02:01:46.120 --> 02:01:49.120]  Just like when they said they weren't going to let his delegates see or we're going to
[02:01:49.120 --> 02:01:55.120]  let him get the nomination or wouldn't let him, you know, get the inauguration to happen.
[02:01:55.120 --> 02:01:56.120]  It doesn't mean they're going to win.
[02:01:56.120 --> 02:01:58.120]  We just have to know the war is happening.
[02:01:58.120 --> 02:02:00.120]  We'll win if we take the field.
[02:02:00.120 --> 02:02:04.120]  But then they had a rally a while back.
[02:02:04.120 --> 02:02:08.120]  I guess a month ago, we're so important, they went and beat up men, women and children,
[02:02:08.120 --> 02:02:11.120]  attack babies and baby strollers, chase them back to their cars happen.
[02:02:11.120 --> 02:02:15.120]  Some of our reporters in Berkeley, I know Millie Weaver and her husband, their baby,
[02:02:15.120 --> 02:02:18.120]  they bashed out their windows.
[02:02:18.120 --> 02:02:22.120]  Well, then a month later, men show up just to have a prayer vigil and then fought back
[02:02:22.120 --> 02:02:23.120]  and they ran.
[02:02:23.120 --> 02:02:29.120]  But if we don't show up on the air in person, you name it, they will win.
[02:02:29.120 --> 02:02:33.120]  It's as so many historians have said, evil only wins with good men and women do nothing.
[02:02:33.120 --> 02:02:35.120]  Evil only wins when people stand down.
[02:02:35.120 --> 02:02:40.120]  So I want to go to break here and come back with our guests with a few of these clips.
[02:02:40.120 --> 02:02:42.120]  Rabbit left the steel mega hat.
[02:02:42.120 --> 02:02:43.120]  Make America great.
[02:02:43.120 --> 02:02:48.120]  This is just the last day since July 4th at a hamburger place and throw the drink in his face.
[02:02:48.120 --> 02:02:52.120]  Dershowitz, anti-Trump woman threatened to stab me through the heart.
[02:02:52.120 --> 02:02:55.120]  A man pudged drag 30 feet by car.
[02:02:55.120 --> 02:02:56.120]  We're having Trump flag.
[02:02:56.120 --> 02:02:57.120]  This is all happening now.
[02:02:57.120 --> 02:02:58.120]  Here it is.
[02:02:58.120 --> 02:03:02.120]  You know, people talk about parties as if that's something serious.
[02:03:02.120 --> 02:03:03.120]  I don't care about parties.
[02:03:03.120 --> 02:03:04.120]  I'm invited too many.
[02:03:04.120 --> 02:03:10.120]  But at a party this week on Martha's Vineyard, a woman said, if Dershowitz were here tonight,
[02:03:10.120 --> 02:03:13.120]  I'd stab him through the heart.
[02:03:13.120 --> 02:03:20.120]  This is a Martha's Vineyard woman saying she would stab me through the heart.
[02:03:20.120 --> 02:03:41.120]  All right, have fun with it.
[02:03:41.120 --> 02:03:46.120]  Jeff Good told me he was just enjoying the 4th of July when someone drove in the front of his house
[02:03:46.120 --> 02:03:49.120]  and told him he needs to take down this Trump flag.
[02:03:49.120 --> 02:03:52.120]  He was saying violent things about our president.
[02:03:52.120 --> 02:03:59.120]  Jeff Good says a man he doesn't know pulled up to his house and told him he needed to take down this flag in his front yard.
[02:03:59.120 --> 02:04:02.120]  Good says when he told him no, the man punched him.
[02:04:02.120 --> 02:04:03.120]  Right in the face.
[02:04:03.120 --> 02:04:05.120]  In fact, he kind of used like a claw method.
[02:04:05.120 --> 02:04:11.120]  Good says instinctively he tried to hit him back, but got his arm stuck in the man's car as he sped off.
[02:04:11.120 --> 02:04:12.120]  This is where it happened.
[02:04:12.120 --> 02:04:15.120]  Good says he was dragged about 30 feet.
[02:04:15.120 --> 02:04:20.120]  I have some bumps and bruises that I don't think you want to see.
[02:04:20.120 --> 02:04:23.120]  Scars were on his hands and elbow. Good finds.
[02:04:23.120 --> 02:04:25.120]  Folks, notice the same story.
[02:04:25.120 --> 02:04:27.120]  You got an old man attacked by somebody else.
[02:04:27.120 --> 02:04:29.120]  As soon as he fights back, the guy runs.
[02:04:29.120 --> 02:04:34.120]  We're going to come back and talk about the spirit of attacking old people, children, you name it.
[02:04:34.120 --> 02:04:37.120]  And then when finally a man stands up, they crap their pants and they run.
[02:04:37.120 --> 02:04:40.120]  So all the other men in America, we're not looking for a fight.
[02:04:40.120 --> 02:04:42.120]  But when these people ask for it, give it to them.
[02:04:42.120 --> 02:04:44.120]  They deserve it.
[02:04:44.120 --> 02:04:46.120]  We'll be right back on the other side.
[02:04:46.120 --> 02:04:47.120]  Again, defense it.
[02:04:47.120 --> 02:04:50.120]  They punch you, you decide to just break their jaw.
[02:04:50.120 --> 02:05:19.120]  Stay with us.
[02:05:20.120 --> 02:05:23.120]  Heavy metals, alkalinity and pH.
[02:05:23.120 --> 02:05:29.120]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[02:05:29.120 --> 02:05:33.120]  Next, we tested the water from our Alexa pure gravity filter.
[02:05:33.120 --> 02:05:36.120]  And not only were the heavy metal levels within safe measure,
[02:05:36.120 --> 02:05:40.120]  but the pH was also restored to optimal levels.
[02:05:40.120 --> 02:05:45.120]  As it turns out, the filter on the Alexa pure raises the pH of the water.
[02:05:45.120 --> 02:05:51.120]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[02:05:51.120 --> 02:06:17.120]  But more importantly, a good water filtration system will purify it.
[02:06:21.120 --> 02:06:47.120]  I love the control by Rufio Panman as the guy is trying to hit him with an extendable metal baton
[02:06:47.120 --> 02:06:49.120]  that can break arms, put out eyes.
[02:06:49.120 --> 02:06:54.120]  When he smashes that little meth head, that's not a small guy, a little communist face,
[02:06:54.120 --> 02:07:00.120]  and then the globalist minion woman tries to get him to hit her,
[02:07:00.120 --> 02:07:03.120]  and he instantly doesn't smash her in her ugly face.
[02:07:03.120 --> 02:07:07.120]  So Rufio was on the battleground in Portland participating in a prayer,
[02:07:07.120 --> 02:07:11.120]  Patriot Prayer March, when he was confronted by a baton-wielding Antifa.
[02:07:11.120 --> 02:07:13.120]  Antifa swung on him twice.
[02:07:13.120 --> 02:07:18.120]  Rufio blocked the shots and then brought the Antifa warrior to the ground with one right hand punch.
[02:07:18.120 --> 02:07:20.120]  And then all the rest ran.
[02:07:20.120 --> 02:07:22.120]  And it's repeated.
[02:07:22.120 --> 02:07:25.120]  I've seen videos of women taking on guys and taking them down.
[02:07:25.120 --> 02:07:30.120]  And it's just the fact that these guys are all in their head.
[02:07:30.120 --> 02:07:31.120]  They didn't grow up in America.
[02:07:31.120 --> 02:07:32.120]  They didn't.
[02:07:32.120 --> 02:07:33.120]  Most of them are rich kids.
[02:07:33.120 --> 02:07:36.120]  They just hate America and they're just scum.
[02:07:36.120 --> 02:07:38.120]  So Rufio, everybody loves you.
[02:07:38.120 --> 02:07:40.120]  That's what it's all about.
[02:07:40.120 --> 02:07:41.120]  It's so exciting.
[02:07:41.120 --> 02:07:45.120]  But again, every time these people run, but he did have a deadly weapon,
[02:07:45.120 --> 02:07:50.120]  he was trying to swatch you, it would have obviously split you open if he hit you with it.
[02:07:50.120 --> 02:07:53.120]  But just describing, because again, cameras only catch so much.
[02:07:53.120 --> 02:07:55.120]  I spent hours looking at what happened.
[02:07:55.120 --> 02:07:58.120]  The police guiding you guys into them, letting them come.
[02:07:58.120 --> 02:08:00.120]  The police standing down.
[02:08:00.120 --> 02:08:03.120]  What precipitated you coming out?
[02:08:03.120 --> 02:08:06.120]  Because I know you guys saw before how they attacked men, women and children.
[02:08:06.120 --> 02:08:07.120]  No one was there.
[02:08:07.120 --> 02:08:12.120]  This is just an incredible archetypal Americana or just good versus evil story.
[02:08:12.120 --> 02:08:18.120]  So we salute you, you're now a folk hero and obviously an Antifa scumbag target on Facebook.
[02:08:18.120 --> 02:08:23.120]  You're at Rufio pan man, PB Instagram Rufio underscore pan man.
[02:08:23.120 --> 02:08:25.120]  So, so God bless you.
[02:08:25.120 --> 02:08:27.120]  Tell us all about just your awakening.
[02:08:27.120 --> 02:08:31.120]  What happened to all of this?
[02:08:31.120 --> 02:08:35.120]  Well, I've been doing this for a little over a year now.
[02:08:35.120 --> 02:08:39.120]  Been to many rallies up and down the West Coast from Seattle, Berkeley.
[02:08:39.120 --> 02:08:44.120]  So, you know, facing Antifa isn't unfamiliar to me.
[02:08:44.120 --> 02:08:51.120]  But the Portland rally last weekend was obviously probably one of the most violent I've seen.
[02:08:51.120 --> 02:08:58.120]  And it's, you know, as far as the police standing down, none of that should have happened.
[02:08:58.120 --> 02:09:02.120]  If that would have happened in Seattle, it would have been a whole different story.
[02:09:02.120 --> 02:09:04.120]  The police are a lot better there.
[02:09:04.120 --> 02:09:09.120]  So, you know, I was, I was genuinely worried for the people around me and their safety.
[02:09:09.120 --> 02:09:11.120]  And this is a continual problem we're having.
[02:09:11.120 --> 02:09:16.120]  And like you said, this is a, at least a very soft civil war right now.
[02:09:16.120 --> 02:09:21.120]  And if people don't start to kind of wake up to what's going on, it's going to progress into something worse.
[02:09:21.120 --> 02:09:24.120]  So talk about your awakening, who you are.
[02:09:24.120 --> 02:09:28.120]  It's interesting to folks and just what you've seen because cameras don't capture it.
[02:09:28.120 --> 02:09:34.120]  Because I've been around Antifa myself back when I remember they were 15 years ago when they would attack myself and reporters just covering stuff.
[02:09:34.120 --> 02:09:36.120]  And they're just the scum of the earth.
[02:09:36.120 --> 02:09:38.120]  But just describe your awakening, what you've witnessed.
[02:09:38.120 --> 02:09:46.120]  I know people were mad and came out because earlier this year they had an event in Portland where women and children were attacked when no one was there to fight back.
[02:09:46.120 --> 02:09:50.120]  So just break that down.
[02:09:50.120 --> 02:09:54.120]  Well, I mean, I went into this originally pretty passive.
[02:09:54.120 --> 02:09:59.120]  I was trying to debate with them. I wanted to try and see eye to eye.
[02:09:59.120 --> 02:10:05.120]  Every time I go out there, I'm trying to find some middle ground with these people.
[02:10:05.120 --> 02:10:13.120]  And like you said, women, children, teenagers, elderly, they're all right there just trying to support their country.
[02:10:13.120 --> 02:10:16.120]  And it's really hard to see.
[02:10:16.120 --> 02:10:22.120]  So when you see that on a consistent basis, getting worse and worse,
[02:10:22.120 --> 02:10:34.120]  you know, you start to kind of develop this feeling that these are no longer people who are necessarily Americans per se, but they're kind of anti-American.
[02:10:34.120 --> 02:10:37.120]  And then, you know, you kind of have to separate yourself from them.
[02:10:37.120 --> 02:10:42.120]  You're saying they're the enemy. They are our enemy. They've chosen it. They've declared it.
[02:10:42.120 --> 02:10:47.120]  We got government mainstream news, Chinese communist documents. They're trying to fund Antifa and uprisings.
[02:10:47.120 --> 02:10:52.120]  I mean, this is the war against America. And like you said, you try to speak to them as humans.
[02:10:52.120 --> 02:10:57.120]  They just disregard that and use it as witness, but they do listen to your fist smashing into their face.
[02:10:57.120 --> 02:11:00.120]  Yeah, yes, they do.
[02:11:00.120 --> 02:11:04.120]  It seems to amp them up on social networking more than anything in person.
[02:11:04.120 --> 02:11:06.120]  They aren't very much of a threat.
[02:11:06.120 --> 02:11:14.120]  So, you know, that's why we keep encouraging more patriots to come out there because it's so effective when they show up in numbers.
[02:11:14.120 --> 02:11:19.120]  And that's all that really needs to happen. So, you know, the more people we can get out there.
[02:11:19.120 --> 02:11:25.120]  I just love how your giant roundhouse right hook and then shoving down to its head hits the pavement.
[02:11:25.120 --> 02:11:28.120]  That probably hurt him worse. God, I love it.
[02:11:28.120 --> 02:11:34.120]  I got to tell you, it's better than a fake Rocky movie. I mean, I'm sorry.
[02:11:34.120 --> 02:11:38.120]  He's a scumbag, man, trying to kill you with a baton. And he's a piece of crap.
[02:11:38.120 --> 02:11:44.120]  And he's just like, it's just, it's beautiful. I don't think he did too well either.
[02:11:44.120 --> 02:11:47.120]  I appreciate that, Alex.
[02:11:47.120 --> 02:11:54.120]  Be honest, I don't like hurt innocent people or weak people, but a few times in my life with some bullies trying to kill me and they're bigger than that.
[02:11:54.120 --> 02:12:00.120]  When I finally see their head hit the pavement, it felt good. How good did it feel at least later once you saw his head hit the pavement?
[02:12:00.120 --> 02:12:07.120]  Well, like Gavin McGinnis says, you know, violence isn't great, but justified violence is amazing.
[02:12:07.120 --> 02:12:18.120]  You know, it's just one of those things where you just react instinctively and, you know, when you can kind of overpower in that moment, it feels, it does feel good.
[02:12:18.120 --> 02:12:25.120]  It is a positive feeling. I can tell you that in that situation, there wasn't a whole lot of celebration going on.
[02:12:25.120 --> 02:12:29.120]  It was more, I was more worried about the safety of the people around.
[02:12:29.120 --> 02:12:34.120]  Oh, I would have smacked that. I mean, I don't want to hit women I never had, but in the moment, it's like trying to kill me with a metal baton.
[02:12:34.120 --> 02:12:38.120]  And I just did that. And there's a pretty big woman coming at me. She looks like six three or something.
[02:12:38.120 --> 02:12:41.120]  I mean, you were like just, but you were in the zone and you're like, it's like a video game.
[02:12:41.120 --> 02:12:48.120]  It's like this is like movies, which they was like, boom, you do all and all of a sudden you just like didn't know that you like didn't hit her.
[02:12:48.120 --> 02:12:58.120]  Yeah. Well, you know, she was she was pressing on me and I told her, hey, you better get back because this is not my plan around.
[02:12:58.120 --> 02:13:01.120]  And so I gave her the opportunity and she took it.
[02:13:01.120 --> 02:13:09.120]  You know, well, I noticed that trying to get into Trump's inauguration, they had lines of women hitting us, hoping that we would hit them back.
[02:13:09.120 --> 02:13:13.120]  We just pushed through them. But to get into Trump's deal, you had to push the first thing was women.
[02:13:13.120 --> 02:13:20.120]  How about cowards like the Islamists? And then it was a couple of dudes, but we had to ram through women to get into the art to get into Trump's inauguration.
[02:13:20.120 --> 02:13:22.120]  So it seems they put women out front.
[02:13:22.120 --> 02:13:30.120]  They do. That's their tactic. They put the women in front and then the little sleaze bags will hang out in the back with batons and stuff and try and get a hit on you.
[02:13:30.120 --> 02:13:32.120]  From behind the women.
[02:13:32.120 --> 02:13:36.120]  And they're like, they're like comic book scumbags.
[02:13:36.120 --> 02:13:41.120]  Like you said, like, how could you be so scummy as a man that you put women up front?
[02:13:41.120 --> 02:13:46.120]  Yeah. Well, I mean, even they're they have no fighting etiquette either.
[02:13:46.120 --> 02:13:49.120]  There's no there's no moral foundation for them.
[02:13:49.120 --> 02:13:54.120]  They were throwing explosives into a crowd of people that could have been easily been a baby stroller nearby.
[02:13:54.120 --> 02:13:58.120]  There's no there's no thought process into what they're doing.
[02:13:58.120 --> 02:14:03.120]  And so on that level, you know, you can't really have any sympathy for after they do things like that.
[02:14:03.120 --> 02:14:06.120]  You just have to eliminate them as a threat.
[02:14:06.120 --> 02:14:07.120]  And that's what we're doing.
[02:14:07.120 --> 02:14:09.120]  Proud Boys did an amazing job.
[02:14:09.120 --> 02:14:13.120]  I can't imagine what would have happened if we weren't there.
[02:14:13.120 --> 02:14:24.120]  You know, I have McGinnis's group, which is proud to be male, proud of masculinity because they teach on universities for those that don't know that masculinity doesn't exist.
[02:14:24.120 --> 02:14:30.120]  Yes, it's actually toxic, Alex, you know, it's toxic to be masculine these days.
[02:14:30.120 --> 02:14:36.120]  And it hurts the people around you if you're too masculine, I guess they're teaching this all over the place and it's it's
[02:14:36.120 --> 02:14:39.120]  trying to teach women don't be feminine, which is powerful.
[02:14:39.120 --> 02:14:41.120]  Don't be masculine, which that's the power.
[02:14:41.120 --> 02:14:43.120]  We should all be ascribing to that.
[02:14:43.120 --> 02:14:44.120]  But they want to kill that.
[02:14:44.120 --> 02:14:45.120]  Right.
[02:14:45.120 --> 02:14:48.120]  And they are.
[02:14:48.120 --> 02:14:52.120]  We're going to go to break in a minute, but I want you to have the floor because we it just is great.
[02:14:52.120 --> 02:14:56.120]  Get get more into your awakening just briefly like what what where'd you come from?
[02:14:56.120 --> 02:14:58.120]  What was what stirred you?
[02:14:58.120 --> 02:15:03.120]  Well, I I've born and raised in Washington.
[02:15:03.120 --> 02:15:07.120]  You know, I have a very, very good family.
[02:15:07.120 --> 02:15:10.120]  Been pretty productive all my life.
[02:15:10.120 --> 02:15:12.120]  I've always loved my country.
[02:15:12.120 --> 02:15:19.120]  You know, I got involved in the movement originally last May Day because I was just tired of what I was seeing.
[02:15:19.120 --> 02:15:24.120]  And I went out to Seattle with one of my boys, not knowing anything about the movement.
[02:15:24.120 --> 02:15:30.120]  That's where I was introduced to the proud boys who, you know, allowed me to network with like minded men.
[02:15:30.120 --> 02:15:34.120]  And it's been one of the best decisions I've ever made.
[02:15:34.120 --> 02:15:41.120]  And, you know, since then there's been a lot of, I guess you call awakening to what's really going on.
[02:15:41.120 --> 02:15:47.120]  Desensitizing myself, getting out of that political correctness state of mind.
[02:15:47.120 --> 02:15:49.120]  Let's try breaking free.
[02:15:49.120 --> 02:15:51.120]  We'll be back to talk more on the other side.
[02:15:51.120 --> 02:16:20.120]  History's happening.
[02:16:21.120 --> 02:16:23.120]  We'll be back to talk more on the other side.
[02:16:51.120 --> 02:16:55.120]  At TheUltimateKnife.com
[02:17:21.120 --> 02:17:24.120]  OneWay.com
[02:17:51.120 --> 02:17:54.120]  The Next Generation of Nutritional Supplementation
[02:18:22.120 --> 02:18:26.120]  And now because of their intensifying censorship, it's more important than ever
[02:18:26.120 --> 02:18:31.120]  that everyone go to infowars.com forward slash newsletter and sign up via email
[02:18:31.120 --> 02:18:37.120]  so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[02:18:37.120 --> 02:18:43.120]  And so now I ask you more than ever to share the infowars.com articles, to share the videos,
[02:18:43.120 --> 02:18:45.120]  to tell people about the local stations you're listening to.
[02:18:45.120 --> 02:18:52.120]  The bare minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter.
[02:18:52.120 --> 02:19:21.120]  We are The Renaissance and we are winning.
[02:19:22.120 --> 02:19:51.120]  We are The Renaissance and we are winning.
[02:19:52.120 --> 02:19:59.120]  We are The Renaissance and we are winning.
[02:19:59.120 --> 02:20:07.120]  You're listening to the Alex Jones show.
[02:20:07.120 --> 02:20:22.120]  Communist China is now the only enemy left still in command with the globalists. We're in a debt battle at this point.
[02:20:22.120 --> 02:20:31.120]  The Alex Jones show because there is a war on for your mind.
[02:20:31.120 --> 02:20:57.120]  We're in a debt battle at this point.
[02:20:57.120 --> 02:21:23.120]  We're in a debt battle at this point.
[02:21:23.120 --> 02:21:49.120]  We're in a debt battle at this point.
[02:21:49.120 --> 02:22:15.120]  We're in a debt battle at this point.
[02:22:15.120 --> 02:22:41.120]  We're in a debt battle at this point.
[02:22:41.120 --> 02:23:10.120]  We're in a debt battle at this point.
[02:23:10.120 --> 02:23:38.120]  We're in a debt battle at this point.
[02:23:38.120 --> 02:24:04.120]  We're in a debt battle at this point.
[02:24:04.120 --> 02:24:30.120]  We're in a debt battle at this point.
[02:24:30.120 --> 02:24:56.120]  We're in a debt battle at this point.
[02:24:56.120 --> 02:25:22.120]  We're in a debt battle at this point.
[02:25:22.120 --> 02:25:48.120]  We're in a debt battle at this point.
[02:25:48.120 --> 02:26:14.120]  We're in a debt battle at this point.
[02:26:14.120 --> 02:26:42.120]  We're in a debt battle at this point.
[02:26:42.120 --> 02:27:04.120]  We're in a debt battle at this point.
[02:27:04.120 --> 02:27:26.120]  We're in a debt battle at this point.
[02:27:26.120 --> 02:27:54.120]  We're in a debt battle at this point.
[02:27:54.120 --> 02:28:16.120]  We're in a debt battle at this point.
[02:28:16.120 --> 02:28:40.120]  We're in a debt battle at this point.
[02:28:40.120 --> 02:29:06.120]  We're in a debt battle at this point.
[02:29:06.120 --> 02:29:32.120]  We're in a debt battle at this point.
[02:29:32.120 --> 02:29:56.120]  We're in a debt battle at this point.
[02:29:56.120 --> 02:30:24.120]  We're in a debt battle at this point.
[02:30:24.120 --> 02:30:50.120]  We're in a debt battle at this point.
[02:30:50.120 --> 02:31:18.120]  We're in a debt battle at this point.
[02:31:18.120 --> 02:31:46.120]  We're in a debt battle at this point.
[02:31:46.120 --> 02:32:12.120]  We're in a debt battle at this point.
[02:32:12.120 --> 02:32:25.120]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[02:32:25.120 --> 02:32:33.120]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[02:32:33.120 --> 02:32:43.120]  Wake up refreshed and take on the day. InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[02:32:43.120 --> 02:32:58.120]  Get the sleep you deserve and experience the power of knockout. Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[02:32:58.120 --> 02:33:07.120]  You're listening to the Alex Jones Show.
[02:33:07.120 --> 02:33:20.120]  We are on the march. The Empire is on the run. Alex Jones and the GCN Radio Network.
[02:33:20.120 --> 02:33:29.120]  Imagine you're on the George Soros funded Antifa side.
[02:33:29.120 --> 02:33:35.120]  Funded by Communist China, the big banks want to bring down America. You'll teach these people. You'll break their will.
[02:33:35.120 --> 02:33:41.120]  America doesn't deserve half the wealth of the planet in 1955. We're going to take it and parlay it into power.
[02:33:41.120 --> 02:33:51.120]  You're going to dump coffee on Trump supporters. You're going to beat them up. You're going to threaten them. You're going to not give them jobs. You're going to teach them to submit.
[02:33:51.120 --> 02:34:01.120]  And then you go out and you beat up a month ago people at a conservative rally and overturned baby carriages and beat women up. That's on the news.
[02:34:01.120 --> 02:34:07.120]  And Antifa like beating women up. Yeah, I knocked a woman out. My God, I committed suicide and I did that.
[02:34:07.120 --> 02:34:13.120]  And then finally you show up again like maybe 20, 30 men show up.
[02:34:13.120 --> 02:34:20.120]  And there's a thousand of you and but only a few dozen are willing to go up and fight. And then men beat your ass.
[02:34:20.120 --> 02:34:28.120]  And so you all run. They don't give up though going, God, we're pieces of crap. We're filth. No, they just they get more angry.
[02:34:28.120 --> 02:34:38.120]  So that's the historic crossroads we're at and the type of scum that has been allowed to run free in this country.
[02:34:38.120 --> 02:34:50.120]  It just makes me ask what comes next is you go out to these rallies and they'll be wearing $500 jackets and $200 shoes and they'll be on a smartphone more expensive than mine.
[02:34:50.120 --> 02:34:58.120]  You know, mine's like 300 bucks. There's a thousand. And I followed them. I've got like you're getting a $100,000 Jaguar.
[02:34:58.120 --> 02:35:04.120]  I'm driving an F-150 but they're communists but they drive around in Jaguars.
[02:35:04.120 --> 02:35:12.120]  And like our guest just said, that was really smart. It's larping. It's live action playing.
[02:35:12.120 --> 02:35:20.120]  So let me ask Rufio Panman if you just joined us to not just answer my questions. He's a gentleman. I've been I've been steering the conversation.
[02:35:20.120 --> 02:35:26.120]  We'll take some calls in a minute. What do you want to say most? What do you want to impart about what you witnessed first, though?
[02:35:26.120 --> 02:35:33.120]  Answer my question on this because I know those metal batons are dangerous. This guy is swinging out at you. He's trying to kill you with it.
[02:35:33.120 --> 02:35:40.120]  What was it like in that moment? And then how did it feel when you broke his jaw and then shoved him down to hit his head in the pavement
[02:35:40.120 --> 02:35:45.120]  and were still in control not to hit that woman? I mean, what was the what was the energy like at that moment when you saw them attacking people
[02:35:45.120 --> 02:35:51.120]  and no one was standing up to go in and do that?
[02:35:51.120 --> 02:36:01.120]  Well, it felt pretty good to, you know, you lose that fear and everything is kind of,
[02:36:01.120 --> 02:36:11.120]  since, you know, if you love your country and you see people attacking your countrymen and imposing an ideology that would in the long run tear your country apart,
[02:36:11.120 --> 02:36:18.120]  you know, there isn't a thought process. It's just instinctual. You're just going to go and you're going to take those people out.
[02:36:18.120 --> 02:36:24.120]  Obviously, we're not going and advocating to just fight people just because they have a different ideology.
