[00:00.000 --> 00:22.000]  Another world, another time, In the age of wonder, another world, another time,
[1:00:55.000 --> 1:00:56.000]  I care.
[1:00:56.000 --> 1:01:01.000]  And I'm not saying I'm perfect, but man, I've been in restaurants like I told the story.
[1:01:01.000 --> 1:01:05.000]  My son was only about a year old and I'm in a restaurant and I go to the bathroom,
[1:01:05.000 --> 1:01:10.000]  come back out, family and they're going 911, call 911, call 911.
[1:01:10.000 --> 1:01:16.000]  Like a bunch of birds around this woman turning blue and leaning over the table.
[1:01:16.000 --> 1:01:18.000]  And I go, I'm like maneuver.
[1:01:18.000 --> 1:01:21.000]  They're like, 911, sir, we're waiting for 911.
[1:01:21.000 --> 1:01:23.000]  Ambulances are being called.
[1:01:23.000 --> 1:01:26.000]  And I'm just like, she'll be dead in four minutes.
[1:01:26.000 --> 1:01:29.000]  So I had to actually push these beta males and people aside.
[1:01:29.000 --> 1:01:37.000]  It was a little Madeline restaurant and I had to get in there and this woman probably weighed 250 pounds
[1:01:37.000 --> 1:01:41.000]  and she was an older down syndrome person.
[1:01:41.000 --> 1:01:43.000]  Well, one of the older ones I've seen, probably 40.
[1:01:43.000 --> 1:01:47.000]  And I got her and picked her up, got the food out.
[1:01:47.000 --> 1:01:48.000]  It was a big old piece of bread.
[1:01:48.000 --> 1:01:51.000]  It was like a huge chunk turns pink turns white.
[1:01:51.000 --> 1:01:54.000]  Oh, and I knew that they'd sue me or something.
[1:01:54.000 --> 1:01:56.000]  Cause I kind of felt a rib doodle or something.
[1:01:56.000 --> 1:02:02.000]  I mean, she was hard to get up and they were all going, oh, thank you.
[1:02:02.000 --> 1:02:03.000]  You're a hero.
[1:02:03.000 --> 1:02:04.000]  Oh my God.
[1:02:04.000 --> 1:02:07.000]  Oh, she okay?
[1:02:07.000 --> 1:02:08.000]  I know these are rats.
[1:02:08.000 --> 1:02:09.000]  Get away.
[1:02:09.000 --> 1:02:10.000]  I'll be sued.
[1:02:10.000 --> 1:02:11.000]  I can't even help anybody.
[1:02:11.000 --> 1:02:13.000]  It's like when cops help people and they get sued.
[1:02:13.000 --> 1:02:15.000]  So it's just, it's like, I'm not one of those people.
[1:02:15.000 --> 1:02:16.000]  Okay.
[1:02:16.000 --> 1:02:20.000]  I don't plan any Mr. America or Captain US area and stuff and have all the answers.
[1:02:20.000 --> 1:02:22.000]  But I'm telling you, I'm not out to get people.
[1:02:22.000 --> 1:02:25.000]  Let me show TV viewers who's not out to get you as well.
[1:02:25.000 --> 1:02:29.000]  This is on info wars.com by Dan Lyman.
[1:02:29.000 --> 1:02:33.000]  Trump forage plan massive charity rally in UK breaking parliamentary blockade.
[1:02:33.000 --> 1:02:34.000]  Yeah.
[1:02:34.000 --> 1:02:36.000]  Trump's not allowed to come speak to the parliament.
[1:02:36.000 --> 1:02:39.000]  American presidents aren't welcome because they don't want to be, have open borders and
[1:02:39.000 --> 1:02:40.000]  be globalist.
[1:02:40.000 --> 1:02:41.000]  I mean, how ridiculous is that?
[1:02:41.000 --> 1:02:46.000]  When you sit back and look at all this president to bypass politicians, raise money for British
[1:02:46.000 --> 1:02:49.000]  vats instead.
[1:02:49.000 --> 1:02:52.000]  And look at those two guys, man.
[1:02:52.000 --> 1:02:55.000]  That photo, I remember us does take their working late at night planning stuff.
[1:02:55.000 --> 1:02:56.000]  Right.
[1:02:56.000 --> 1:03:07.000]  And this is, ah, ah, ah, compare that to photos of Hayden and a crapper Brennan and other
[1:03:07.000 --> 1:03:13.000]  miscreant creatures and, and, and, and, and, and little know it all Twitch like crystal.
[1:03:13.000 --> 1:03:15.000]  Just compare that.
[1:03:15.000 --> 1:03:18.000]  Look at the arrogance.
[1:03:18.000 --> 1:03:21.000]  You imagine.
[1:03:21.000 --> 1:03:22.000]  Okay.
[1:03:22.000 --> 1:03:24.000]  I told you the big news is coming up.
[1:03:24.000 --> 1:03:25.000]  I need to settle down.
[1:03:25.000 --> 1:03:28.000]  I'm not going to apologize for earlier because it's, it's what we need to be doing.
[1:03:28.000 --> 1:03:29.000]  Getting upset.
[1:03:29.000 --> 1:03:31.000]  It says some really good things are happening.
[1:03:31.000 --> 1:03:34.000]  Overall, things are very, very positive, but they're still so dangerous.
[1:03:34.000 --> 1:03:39.000]  It's like you look at your son or your daughter that's doing good school, working out hard,
[1:03:39.000 --> 1:03:43.000]  loves God strong.
[1:03:43.000 --> 1:03:47.000]  And you, it makes you love them that much more and worry about it that much more.
[1:03:47.000 --> 1:03:50.000]  So I'm worried about the prodigal sons here.
[1:03:50.000 --> 1:03:56.000]  Cause let me tell you the, the amount of movement and the bunkers being built and Obama moving
[1:03:56.000 --> 1:04:01.000]  in saying he's at war with Trump and, and, and, and all the buildup to try to take the
[1:04:01.000 --> 1:04:05.000]  president out and, and CIA people saying he's a enemy agent.
[1:04:05.000 --> 1:04:08.000]  He's a quote domestic enemy and he's to be taken out on CNN.
[1:04:08.000 --> 1:04:10.000]  I mean, they've now hit that level.
[1:04:10.000 --> 1:04:15.000]  So if you're not in the streets, if you're not rallying, if you're not good, don't wait
[1:04:15.000 --> 1:04:20.000]  for others, just go do it at your capitals, at your city halls, at your call into C-SPAN.
[1:04:20.000 --> 1:04:26.000]  In fact, I'm going to talk when we come back about what I know Trump should do.
[1:04:26.000 --> 1:04:28.000]  And Mr. President, you're really smart.
[1:04:28.000 --> 1:04:32.000]  They got you on a dizzying schedule, trying to get your cabinet in so you can like actually
[1:04:32.000 --> 1:04:35.000]  govern, but they're going to sabotage you before that ever happens.
[1:04:35.000 --> 1:04:37.000]  This is the big push right now.
[1:04:37.000 --> 1:04:41.000]  If Trump beats this one, they're going to diminish and it's not going to be as bad,
[1:04:41.000 --> 1:04:42.000]  but this is it.
[1:04:42.000 --> 1:04:46.000]  I mean, my gut tells me, I mean, I can hardly sleep at this point.
[1:04:46.000 --> 1:04:50.000]  I am just completely, I mean, you know, I'm trying to control myself.
[1:04:50.000 --> 1:04:51.000]  Okay.
[1:04:51.000 --> 1:04:54.000]  Because I mean, this is it.
[1:04:54.000 --> 1:04:55.000]  This is it.
[1:04:55.000 --> 1:04:57.000]  And this is for all the marbles.
[1:04:57.000 --> 1:05:23.000]  The global forget their ass is a kick right now.
[1:05:23.000 --> 1:05:49.000]  This is it.
[1:05:49.000 --> 1:06:15.000]  This is it.
[1:06:15.000 --> 1:06:41.000]  This is it.
[1:06:41.000 --> 1:07:07.000]  This is it.
[1:07:07.000 --> 1:07:15.000]  And just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[1:07:15.000 --> 1:07:20.000]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[1:07:20.000 --> 1:07:22.000]  It helps balance the thyroid gland.
[1:07:22.000 --> 1:07:24.000]  It helps detoxify.
[1:07:24.000 --> 1:07:27.000]  Selenium is another one of those absolute must-haves.
[1:07:27.000 --> 1:07:32.000]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[1:07:32.000 --> 1:07:38.000]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[1:07:38.000 --> 1:07:43.000]  So it really is a all-around nutrient that everybody really needs.
[1:07:43.000 --> 1:07:45.000]  I'm taking it now every day.
[1:07:45.000 --> 1:07:46.000]  This is so key.
[1:07:46.000 --> 1:07:50.000]  Biotrue selenium is the product, the best selenium that we could bring you.
[1:07:50.000 --> 1:07:52.000]  We believe it's the best out there at a very, very low price.
[1:07:52.000 --> 1:08:06.000]  Exclusively available at m4warslife.com or by calling toll-free, triple-eight, two-five, three-three, one-three-nine.
[1:08:06.000 --> 1:08:12.000]  We now take you live to the Central Texas Command Center in the heart of the Resistance.
[1:08:12.000 --> 1:08:16.000]  You're listening to the Alex Jones show.
[1:08:16.000 --> 1:08:21.000]  I've been saying we're the Resistance to the Globalist for 20 years.
[1:08:21.000 --> 1:08:25.000]  And now what do you see the number one Democratic Party operative?
[1:08:25.000 --> 1:08:29.000]  Facebook, Twitter, Google, all of them saying they are the Resistance.
[1:08:29.000 --> 1:08:31.000]  Michael Moore is the Resistance.
[1:08:31.000 --> 1:08:40.000]  No, the entire corporate media, all the big globalist foreign banks, all the big foreign evil countries like Communist China and Saudi Arabia,
[1:08:40.000 --> 1:08:48.000]  they're all weighing in and all the rogue elements of the CIA are all weighing in saying Trump's a quote,
[1:08:48.000 --> 1:08:55.000]  domestic enemy on CNN, Evan McMullen last night and needs to be taken out.
[1:08:55.000 --> 1:09:04.000]  The President is announcing his new secretary and he's in the press conference now,
[1:09:04.000 --> 1:09:07.000]  but he had a statement on the media and their deception.
[1:09:07.000 --> 1:09:12.000]  And I've been saying this, he lost the first debate because he was nice and didn't go on the offense.
[1:09:12.000 --> 1:09:17.000]  So what if she's a woman, she's a criminal, she sucked Haiti dry, she's a war criminal, Benghazi.
[1:09:17.000 --> 1:09:19.000]  He goes on and on.
[1:09:19.000 --> 1:09:25.000]  He tore up in the second one and he dominated and he surged the polls.
[1:09:25.000 --> 1:09:30.000]  Trump has to come out and Paul's going to do an article on this and we've covered it a lot,
[1:09:30.000 --> 1:09:35.000]  how China and Saudi Arabia and others openly funded Hillary and say,
[1:09:35.000 --> 1:09:39.000]  okay, you have your investigations if my people talk to Russians, I'm the President.
[1:09:39.000 --> 1:09:41.000]  Of course, we talk to the Russians over the phone.
[1:09:41.000 --> 1:09:43.000]  We're having a meet with Putin.
[1:09:43.000 --> 1:09:45.000]  That's what he should say.
[1:09:45.000 --> 1:09:48.000]  You think the public's that dumb?
[1:09:48.000 --> 1:09:55.000]  And we're going to now have an investigation of the Chinese and the Saudi Arabians and everybody else
[1:09:55.000 --> 1:09:59.000]  openly bragging that I wasn't going to win because they were giving money to Hillary
[1:09:59.000 --> 1:10:02.000]  and just start indicting these people.
[1:10:02.000 --> 1:10:04.000]  Sessions needs to be turned loose.
[1:10:04.000 --> 1:10:07.000]  Not vindictively, Hillary needs to go to prison.
[1:10:07.000 --> 1:10:09.000]  We sell Hillary for prison 2017.
[1:10:09.000 --> 1:10:16.000]  On the back it says deport Soros and there are petitions at White House.gov right now to deport Soros.
[1:10:16.000 --> 1:10:21.000]  Trump needs to go on the offense or I'm here to tell you, Mr. President,
[1:10:21.000 --> 1:10:25.000]  I began saying on November 10th they're going to say you're a Russian agent.
[1:10:25.000 --> 1:10:28.000]  They're going to build it up in a continuum until they say you're a Russian agent,
[1:10:28.000 --> 1:10:36.000]  need to be overthrown so they can get a group to believe they followed orders in case they get stopped or defeated
[1:10:36.000 --> 1:10:39.000]  to follow orders and try to kill you claiming you're a Russian agent
[1:10:39.000 --> 1:10:44.000]  and use that as a cover story if the public learns about it.
[1:10:44.000 --> 1:10:46.000]  And you, of course, understand this is going on.
[1:10:46.000 --> 1:10:49.000]  They're trying to get rid of the head of your private security right now.
[1:10:49.000 --> 1:10:51.000]  You know they've got the Secret Service infiltrated.
[1:10:51.000 --> 1:10:52.000]  That's admitted.
[1:10:52.000 --> 1:10:54.000]  Most of them are good people.
[1:10:54.000 --> 1:10:59.000]  But the federal government has been totally infiltrated by globalist operatives and here's the deal.
[1:10:59.000 --> 1:11:01.000]  I want to fix things peacefully.
[1:11:01.000 --> 1:11:02.000]  We've gone a long way.
[1:11:02.000 --> 1:11:06.000]  We have to argue with CIA people and stuff that I've talked to on air and off air.
[1:11:06.000 --> 1:11:08.000]  Again, I'm not with the CIA.
[1:11:08.000 --> 1:11:14.000]  I talk to everybody and they'd say, oh, we need to have our own conservative or libertarian spring here in this country.
[1:11:14.000 --> 1:11:18.000]  We need to take these people on.
[1:11:18.000 --> 1:11:21.000]  And I said, we're kicking their butt in the Info War.
[1:11:21.000 --> 1:11:23.000]  That's why the state's false flags to blame us.
[1:11:23.000 --> 1:11:24.000]  We don't need to get violent.
[1:11:24.000 --> 1:11:26.000]  We need to get political and win.
[1:11:26.000 --> 1:11:28.000]  But we have elected a president.
[1:11:28.000 --> 1:11:31.000]  We have foreign multinational groups involved openly giving money
[1:11:31.000 --> 1:11:37.000]  to build a bunker two miles away with Obama in it with 30,000 activists to try to overthrow the president.
[1:11:37.000 --> 1:11:38.000]  That's illegal.
[1:11:38.000 --> 1:11:39.000]  That's not free speech.
[1:11:39.000 --> 1:11:40.000]  That's called espionage.
[1:11:40.000 --> 1:11:41.000]  That's called sedition.
[1:11:41.000 --> 1:11:47.000]  That's called paramilitary stuff the CIA did in a bunch of countries to overthrow them.
[1:11:47.000 --> 1:11:54.000]  And they're openly running this operation and I get they want to trick Trump into overreacting.
[1:11:54.000 --> 1:11:57.000]  But it's not overreacting when they're committing crimes.
[1:11:57.000 --> 1:12:04.000]  So at this point, the president has a responsibility to have a big press conference lay out what they've done.
[1:12:04.000 --> 1:12:07.000]  If his own people, I know Banda knows what's going on, can't lay it out.
[1:12:07.000 --> 1:12:08.000]  We're bored and happy.
[1:12:08.000 --> 1:12:13.000]  Obviously the president does or says what we say or do, but he gets our points.
[1:12:13.000 --> 1:12:15.000]  We've already got the reports out.
[1:12:15.000 --> 1:12:16.000]  We'll codify and put it all out.
[1:12:16.000 --> 1:12:19.000]  We'll show you where they bragged that they ran the election and they gave money.
[1:12:19.000 --> 1:12:22.000]  The Saudis bragged they funded Hillary 20%, totally illegal.
[1:12:22.000 --> 1:12:24.000]  Arrest her ass right now.
[1:12:24.000 --> 1:12:26.000]  It's not hard to do.
[1:12:26.000 --> 1:12:28.000]  And by the way, I'm not stupid.
[1:12:28.000 --> 1:12:34.000]  Everybody else is scared to say this and do this in his entourage and in Congress because they all know what happens.
[1:12:34.000 --> 1:12:35.000]  I'm not scared.
[1:12:35.000 --> 1:12:38.000]  God's going to take care of my kids and my family.
[1:12:38.000 --> 1:12:39.000]  That's all that matters.
[1:12:39.000 --> 1:12:43.000]  I am so because there's no future with them winning.
[1:12:43.000 --> 1:12:47.000]  I'm not going to just sit here and play patsy cake with these people and halfway fight them.
[1:12:47.000 --> 1:12:49.000]  I'm not playing games.
[1:12:49.000 --> 1:12:53.000]  If I'm one thing you can say Alex Jones is genuine, genuine article.
[1:12:53.000 --> 1:12:55.000]  And what does that mean?
[1:12:55.000 --> 1:13:05.000]  I'm not going to support a fifth column of pedophiles and scumbags that openly say they're going to be rich and we're all going to be poor.
[1:13:05.000 --> 1:13:13.000]  And then a man comes in who's Americana and delivers on what he said he'd do.
[1:13:13.000 --> 1:13:15.000]  And they're just fighting to make sure you don't learn.
[1:13:15.000 --> 1:13:16.000]  He did what he said he'd do.
[1:13:16.000 --> 1:13:21.000]  Quite frankly, since Andrew Jackson or George Washington, I never seen anything like this.
[1:13:21.000 --> 1:13:26.000]  Right now, Trump is already in the top three presidents of all time.
[1:13:26.000 --> 1:13:29.000]  And notice his office is full of George Washington and Thomas Jefferson.
[1:13:29.000 --> 1:13:34.000]  And the CIA in public affairs puts out reports going, okay, he's totally for real.
[1:13:34.000 --> 1:13:35.000]  He wants Americana.
[1:13:35.000 --> 1:13:36.000]  Oh my God.
[1:13:36.000 --> 1:13:44.000]  He's going to take over our whole operation that we built worldwide using American money and power.
[1:13:44.000 --> 1:13:46.000]  But what are you going to do?
[1:13:46.000 --> 1:13:48.000]  Le Pen is saying everything I say.
[1:13:48.000 --> 1:13:50.000]  Everything Trump says because it's the truth.
[1:13:50.000 --> 1:13:54.000]  Le Pen, is it listening to me?
[1:13:54.000 --> 1:13:56.000]  Le Pen's listening to me from 20 years ago.
[1:13:56.000 --> 1:13:58.000]  And Barry Goldwater from 50 years ago.
[1:13:58.000 --> 1:14:00.000]  And Ron Paul from 30 years ago.
[1:14:00.000 --> 1:14:02.000]  And Matt Drudge from 21 years ago.
[1:14:02.000 --> 1:14:05.000]  Those ripples went out across the globe.
[1:14:05.000 --> 1:14:06.000]  And now they're devastating.
[1:14:06.000 --> 1:14:15.000]  And if you think ripples from 20, 30 years ago are hurting you right now, what do you think is going to happen when the tsunami mega waves yet?
[1:14:15.000 --> 1:14:16.000]  And they're coming in quicker.
[1:14:16.000 --> 1:14:18.000]  It's not going to take 30 years now.
[1:14:18.000 --> 1:14:26.000]  They're coming in six months apart, months apart, weeks apart, days apart, hours apart, minutes apart.
[1:14:26.000 --> 1:14:31.000]  You think you'll stop human ascension and God's plan.
[1:14:31.000 --> 1:14:40.000]  All that matters is that my spirit be lined up with God's and God's plan and to be a good person and try to build and try to help people.
[1:14:40.000 --> 1:14:41.000]  That's what matters.
[1:14:41.000 --> 1:14:43.000]  It's the test to not be with them.
[1:14:43.000 --> 1:14:46.000]  The planet doesn't even matter in the final equation.
[1:14:46.000 --> 1:14:48.000]  Temporal power is nothing.
[1:14:48.000 --> 1:14:56.000]  What matters is our choice now, not being with the fallen scum.
[1:14:56.000 --> 1:15:00.000]  That is Hayden and Evan McMullen and the rest of them and Brennan.
[1:15:00.000 --> 1:15:09.000]  They can't even get good looking strong men to serve them who have killed hundreds of people and done terrible things because they still have souls.
[1:15:09.000 --> 1:15:15.000]  They can't join with killing their ancestors country and overrunning a great plan.
[1:15:15.000 --> 1:15:26.000]  Many people did evil things they believed for America and the whole time they were doing it for dirt bags that hate this country more than anything in the universe.
[1:15:26.000 --> 1:15:31.000]  How dare them say that national sovereignty and freedom came from the Russians.
[1:15:31.000 --> 1:15:37.000]  It comes from humans that want freedom and the stronger the humans, the more they're going to want that.
[1:15:37.000 --> 1:15:47.000]  And they hate the kinship of nations against the global technotronic threat.
[1:15:47.000 --> 1:15:56.000]  Trump must move not against the mindless people attacking women and burning things and shooting cops in the back.
[1:15:56.000 --> 1:15:59.000]  That's bad, but that's their free speech to kill the cops.
[1:15:59.000 --> 1:16:01.000]  I'm being sarcastic.
[1:16:01.000 --> 1:16:05.000]  All you do is you move against Soros and his controllers and the Clintons.
[1:16:05.000 --> 1:16:08.000]  You get a couple hundred people, you've got all the data on them.
[1:16:08.000 --> 1:16:10.000]  Their open statements are criminal.
[1:16:10.000 --> 1:16:13.000]  You indict them and just have a war.
[1:16:13.000 --> 1:16:14.000]  Let them dump all their dirt out.
[1:16:14.000 --> 1:16:15.000]  It doesn't matter.
[1:16:15.000 --> 1:16:23.000]  You indict them, bring them in, burn the whole thing down, restore the republic, launch the phoenix.
[1:16:23.000 --> 1:16:25.000]  Do it. Do it.
[1:16:25.000 --> 1:16:27.000]  Come on. Let's go.
[1:16:27.000 --> 1:16:29.000]  They want to fight.
[1:16:29.000 --> 1:16:30.000]  You want one? Let's go.
[1:16:30.000 --> 1:16:32.000]  I want one too.
[1:16:32.000 --> 1:16:34.000]  You're going to get one. You're already feeling one.
[1:16:34.000 --> 1:16:37.000]  So you just keep pushing it, you little pieces of crap.
[1:16:37.000 --> 1:16:43.000]  Because at the end of the day, you're not going to be getting away with it anymore, are you?
[1:16:43.000 --> 1:16:47.000]  You think your wills are so strong, you have no idea.
[1:16:47.000 --> 1:16:49.000]  God bless Donald Trump.
[1:16:49.000 --> 1:16:56.000]  And while he's done, God almighty.
[1:16:56.000 --> 1:16:58.000]  You looked at sessions, getting sworn in.
[1:16:58.000 --> 1:16:59.000]  I've been watching sessions for 20 years.
[1:16:59.000 --> 1:17:02.000]  I've never seen sessions so freaked out and so scared.
[1:17:02.000 --> 1:17:07.000]  Sessions were shaking because he knows he's going to get the green light to go after him.
[1:17:07.000 --> 1:17:11.000]  And he knows he and his wife and his family are on the very front edge of that sucker.
[1:17:11.000 --> 1:17:12.000]  Let me tell you something.
[1:17:12.000 --> 1:17:14.000]  It's not scary when you're on the right edge of good.
[1:17:14.000 --> 1:17:16.000]  It's so strong when you start getting close to God.
[1:17:16.000 --> 1:17:18.000]  And God says, this is what I want you to do.
[1:17:18.000 --> 1:17:22.000]  And you know you're joining all the good people in history.
[1:17:22.000 --> 1:17:24.000]  It is the best thing in the universe.
[1:17:24.000 --> 1:17:31.000]  And it's something these devil worshipers will never understand and they will never feel.
[1:17:31.000 --> 1:17:39.000]  Now.
[1:17:39.000 --> 1:17:45.000]  I'm going to skip this break because I want to get to this part with Trump that they already grabbed out when he first responded to the media.
[1:17:45.000 --> 1:17:47.000]  And as strong as this is, it isn't strong enough.
[1:17:47.000 --> 1:17:49.000]  He used to throw them all out of the White House.
[1:17:49.000 --> 1:17:51.000]  We're already in a civil war.
[1:17:51.000 --> 1:17:52.000]  Why keep pretending?
[1:17:52.000 --> 1:17:56.000]  They're openly calling for his murder and overthrow on CNN.
[1:17:56.000 --> 1:18:00.000]  When you get to that point, you have to move.
[1:18:00.000 --> 1:18:02.000]  Go to the clip.
[1:18:02.000 --> 1:18:10.000]  Am I making this presentation directly to the American people with the media present, which is an honor to have you.
[1:18:10.000 --> 1:18:22.000]  This morning because many of our nation's reporters and folks will not tell you the truth and will not treat the wonderful people of our country with the respect that they deserve.
[1:18:22.000 --> 1:18:30.000]  And I hope going forward we can be a little bit a little bit different and maybe get along a little bit better if that's possible.
[1:18:30.000 --> 1:18:32.000]  Maybe it's not and that's okay too.
[1:18:32.000 --> 1:18:48.000]  Unfortunately, much of the media in Washington DC, along with New York, Los Angeles in particular speaks not for the people, but for the special interests and for those profiting off a very, very obviously broken system.
[1:18:48.000 --> 1:18:52.000]  Let's back this up. This is back it up.
[1:18:52.000 --> 1:18:55.000]  He's declaring the criminal cities where the Mafias are.
[1:18:55.000 --> 1:19:03.000]  New York, which he knows and built his empire despite them in LA, who just are out to hurt us and hate us.
[1:19:03.000 --> 1:19:05.000]  He goes, I'd like to work with you.
[1:19:05.000 --> 1:19:07.000]  I'd like you to run up the white flag.
[1:19:07.000 --> 1:19:09.000]  All the others give you prosperity, but I'm sorry.
[1:19:09.000 --> 1:19:12.000]  We're not going to have child kidnapping and murder rings.
[1:19:12.000 --> 1:19:18.000]  Listen, it's going to stop. It's over. You wanted to kill the country. You wanted to bring the world into depression and have wars.
[1:19:18.000 --> 1:19:20.000]  We're not suicidal. That's all this is.
[1:19:20.000 --> 1:19:22.000]  But you don't want that?
[1:19:22.000 --> 1:19:24.000]  Okay.
[1:19:24.000 --> 1:19:26.000]  I trust Trump.
[1:19:26.000 --> 1:19:28.000]  He knows what to do.
[1:19:28.000 --> 1:19:30.000]  This is hardcore folks.
[1:19:30.000 --> 1:19:34.000]  The energy level is 100 times what I've ever felt it.
[1:19:34.000 --> 1:19:36.000]  I can't even eat.
[1:19:36.000 --> 1:19:38.000]  I haven't even eaten.
[1:19:38.000 --> 1:19:42.000]  I see all the data. I know what they're planning and then all of the world nationalism is exploding.
[1:19:42.000 --> 1:19:45.000]  They're losing. That's why it's so dangerous.
[1:19:45.000 --> 1:19:49.000]  Let's continue with the president from the start. Sorry.
[1:19:49.000 --> 1:20:01.000]  This morning because many of our nation's reporters and folks will not tell you the truth and will not treat the wonderful people of our country with the respect that they deserve.
[1:20:01.000 --> 1:20:08.000]  And I hope going forward we can be a little bit different and maybe get along a little bit better if that's possible.
[1:20:08.000 --> 1:20:10.000]  Maybe it's not and that's okay too.
[1:20:10.000 --> 1:20:27.000]  Unfortunately, much of the media in Washington, D.C. along with New York, Los Angeles in particular speaks not for the people, but for the special interests and for those profiting off a very, very obviously broken system.
[1:20:27.000 --> 1:20:39.000]  The press has become so dishonest that if we don't talk about it, we are doing a tremendous disservice to the American people.
[1:20:39.000 --> 1:20:45.000]  Tremendous disservice. We have to talk about it to find out what's going on because the press honestly is out of control.
[1:20:45.000 --> 1:20:48.000]  The level of dishonesty is out of control.
[1:20:48.000 --> 1:20:52.000]  I ran for president to represent the citizens of our country.
[1:20:52.000 --> 1:20:59.000]  I am here to change the broken system so it serves their families and their communities well.
[1:20:59.000 --> 1:21:10.000]  I am talking and really talking on this very entrenched power structure and what we're doing is we're talking about the power structure.
[1:21:10.000 --> 1:21:12.000]  We're talking about its entrenchment.
[1:21:12.000 --> 1:21:22.000]  As a result, the media is going through what they have to go through to oftentimes distort, not all the time, and some of the media is fantastic, I have to say.
[1:21:22.000 --> 1:21:24.000]  They're honest and fantastic.
[1:21:24.000 --> 1:21:26.000]  But much of it is not.
[1:21:26.000 --> 1:21:31.000]  The distortion, and we'll talk about it, you'll be able to ask me questions about it.
[1:21:31.000 --> 1:21:37.000]  But we're not going to let it happen because I'm here again to take my message straight to the people.
[1:21:37.000 --> 1:21:45.000]  As you know, our administration inherited many problems across government and across the economy.
[1:21:45.000 --> 1:21:50.000]  To be honest, I inherited a mess.
[1:21:50.000 --> 1:21:53.000]  It's a mess.
[1:21:53.000 --> 1:21:57.000]  At home and abroad, a mess.
[1:21:57.000 --> 1:22:00.000]  Jobs are pouring out of the country.
[1:22:00.000 --> 1:22:06.000]  You see what's going on with all of the companies leaving our country, going to Mexico and other places.
[1:22:06.000 --> 1:22:12.000]  Low pay, low wages, mass instability overseas, no matter where you look.
[1:22:12.000 --> 1:22:14.000]  The Middle East, a disaster.
[1:22:14.000 --> 1:22:17.000]  North Korea, we'll take care of it, folks.
[1:22:17.000 --> 1:22:18.000]  We're going to take care of it all.
[1:22:18.000 --> 1:22:22.000]  I just want to let you know I inherited a mess.
[1:22:22.000 --> 1:22:29.000]  Beginning on day one, our administration went to work to tackle these challenges.
[1:22:29.000 --> 1:22:36.000]  On foreign affairs, we've already begun enormously productive talks with many foreign leaders, much of it you've covered,
[1:22:36.000 --> 1:22:45.000]  to move forward towards stability, security, and peace in the most troubled regions of the world, which there are many.
[1:22:45.000 --> 1:22:49.000]  We've had great conversations with the United Kingdom and meetings.
[1:22:49.000 --> 1:22:53.000]  Israel, Mexico, Japan, China, and Canada.
[1:22:53.000 --> 1:22:57.000]  Really, really productive conversations.
[1:22:57.000 --> 1:23:01.000]  I would say far more productive than you would understand.
[1:23:01.000 --> 1:23:09.000]  We've even developed a new council with Canada to promote women's business leaders and entrepreneurs.
[1:23:09.000 --> 1:23:13.000]  Very important to me, very important to my daughter Ivanka.
[1:23:13.000 --> 1:23:21.000]  I have directed our defense community headed by our great general, now Secretary Mattis.
[1:23:21.000 --> 1:23:26.000]  He's over there now working very hard to submit a plan for the defeat
[1:23:26.000 --> 1:23:35.000]  of ISIS, a group that celebrates the murder and torture of innocent people in large sections of the world.
[1:23:35.000 --> 1:23:37.000]  It used to be a small group.
[1:23:37.000 --> 1:23:40.000]  Now it's in large sections of the world.
[1:23:40.000 --> 1:23:43.000]  They've spread like cancer.
[1:23:43.000 --> 1:23:47.000]  ISIS has spread like cancer.
[1:23:47.000 --> 1:23:50.000]  Another mess I inherited.
[1:23:50.000 --> 1:23:58.000]  And we have imposed new sanctions on the nation of Iran who's totally taken advantage of our previous administration.
[1:23:58.000 --> 1:24:02.000]  And they're the world's top sponsor of terrorism.
[1:24:02.000 --> 1:24:08.000]  And we're not going to stop until that problem is properly solved.
[1:24:08.000 --> 1:24:10.000]  And it's not properly solved now.
[1:24:10.000 --> 1:24:13.000]  It's one of the worst agreements I've ever seen drawn by anybody.
[1:24:13.000 --> 1:24:19.000]  I've ordered plans to begin for the massive rebuilding of the United States military.
[1:24:19.000 --> 1:24:22.000]  I've had great support from the Senate.
[1:24:22.000 --> 1:24:25.000]  I've had great support from Congress generally.
[1:24:25.000 --> 1:24:33.000]  We've pursued this rebuilding in the hopes that we will never have to use this military.
[1:24:33.000 --> 1:24:41.000]  And I will tell you, that is my – I would be so happy if we never had to use it.
[1:24:41.000 --> 1:24:51.000]  But our country will never have had a military like the military were about to build and rebuild.
[1:24:51.000 --> 1:24:54.000]  We have the greatest people on Earth in our military.
[1:24:54.000 --> 1:24:59.000]  But they don't have the right equipment and their equipment is old.
[1:24:59.000 --> 1:25:00.000]  I used it.
[1:25:00.000 --> 1:25:03.000]  I talked about it at every stop.
[1:25:03.000 --> 1:25:05.000]  Depleted.
[1:25:05.000 --> 1:25:06.000]  It's depleted.
[1:25:06.000 --> 1:25:08.000]  Won't be depleted for long.
[1:25:08.000 --> 1:25:13.000]  And I think one of the reasons I'm standing here instead of other people is that, frankly,
