[00:00.000 --> 00:10.000]  When I grow up, I want to be a rock star!
[56:03.000 --> 56:07.000]  You think the Democrats want to get along with you, Mr. Sessions?
[56:07.000 --> 56:09.000]  No, they don't. They want to destroy you.
[56:09.000 --> 56:12.000]  You think the Democrats want to get along with the GOP?
[56:12.000 --> 56:14.000]  No, they want to destroy conservatives.
[56:14.000 --> 56:18.000]  You think the Democrats want to coexist in a society where you have the right to defend yourself
[56:18.000 --> 56:21.000]  with a Glock or an AR-15?
[56:21.000 --> 56:25.000]  No, they want to destroy your right to defend yourself.
[56:25.000 --> 56:30.000]  And do you think the Democrats want to live in a society where they can log on to Twitter
[56:30.000 --> 56:34.000]  and see something offensive that they don't agree with?
[56:34.000 --> 56:37.000]  Oh, somebody offended me today.
[56:37.000 --> 56:40.000]  Oh my God, ban those people.
[56:40.000 --> 56:43.000]  And the CEO of Twitter, Jack, will ban them.
[56:43.000 --> 56:48.000]  He will ban them and Facebook will ban them like they banned Diamond and Silk because it's offensive.
[56:48.000 --> 56:50.000]  It's offensive.
[56:50.000 --> 56:55.000]  If you get angry, you're called a hate speech promoter.
[56:55.000 --> 56:57.000]  And then they use that to ban you.
[56:57.000 --> 57:03.000]  Do you see how the whole idea of having a debate is now wiped out by the left?
[57:03.000 --> 57:04.000]  You can't have a debate anymore.
[57:04.000 --> 57:07.000]  If you disagree with them, you're engaged in hate speech now.
[57:07.000 --> 57:10.000]  You have to be an obedient conformist.
[57:10.000 --> 57:17.000]  You have to be a mind-controlled, thought-controlled, robotic, regurgitating zombie of left-wing talking points.
[57:17.000 --> 57:20.000]  Otherwise, you won't have a channel on YouTube.
[57:20.000 --> 57:24.000]  You won't have a channel on Twitter or Facebook or Google.
[57:24.000 --> 57:29.000]  They're turning it into an echo chamber of authoritarian lunacy.
[57:29.000 --> 57:34.000]  And that's what it has come to, and that's what we're fighting against right here at Infowars.com.
[57:34.000 --> 57:35.000]  I'm filling in for Alex Jones.
[57:35.000 --> 57:36.000]  Today, Mike Adams here.
[57:36.000 --> 57:37.000]  Stay with us.
[57:37.000 --> 57:38.000]  We've got a lot more ahead.
[57:38.000 --> 57:39.000]  A lot more.
[57:39.000 --> 57:40.000]  Don't go anywhere.
[57:40.000 --> 58:03.000]  They use their media to assassinate real news.
[58:03.000 --> 58:10.000]  And then they use their ex-president to endorse the resistance, all to make them march, make them protest,
[58:10.000 --> 58:17.000]  make them scream racism and sexism and xenophobia and homophobia to smash windows, burn cars,
[58:17.000 --> 58:23.000]  shut down interstates and airports, bully and terrorize the law-abiding until the only option left
[58:23.000 --> 58:27.000]  is for the police to do their jobs and stop the madness.
[58:27.000 --> 58:31.000]  And when that happens, they'll use it as an excuse for their outrage.
[58:31.000 --> 58:40.000]  The only way we stop this, the only way we save our country and our freedom is to fight this violence of lies
[58:40.000 --> 58:42.000]  with a clenched fist of proof.
[58:42.000 --> 59:09.000]  I'm the National Rifle Association of America and I'm Freedom's Safest Place.
[59:09.000 --> 59:12.000]  When bacteria infect your gums, it can enter your bloodstream,
[59:12.000 --> 59:14.000]  but if you contribute to blood clots and heart attacks,
[59:14.000 --> 59:21.000]  that's why the Last Surgeon General's report on oral health warns that your oral health can have a serious impact on your entire body.
[59:21.000 --> 59:24.000]  Superblue fluoride-free toothpaste is a groundbreaking new formula.
[59:24.000 --> 59:28.000]  It's loaded with good halogen iodide, some of the bad halogen fluoride.
[59:28.000 --> 59:35.000]  Superblue contains natural oils and ingredients used at biblical times to help wipe out bad bacteria and eliminate bad breath.
[59:35.000 --> 59:38.000]  Just some of the ingredients in Superblue chosen by our dental experts include
[59:38.000 --> 59:42.000]  xylitol, peppermint oil, iodide, nanosilver and more.
[59:42.000 --> 59:47.000]  Learn more about InfoWarsLife Superblue toothpaste at infowarslife.com
[59:47.000 --> 59:53.000]  and support the InfoWars while you support healthy gums and teeth.
[59:53.000 --> 59:59.000]  You're listening to the Alex Jones Show.
[59:59.000 --> 01:00:10.000]  He aligns himself with the truth and it's time for you to choose a side.
[01:00:10.000 --> 01:00:16.000]  You're listening to Alex Jones.
[01:00:16.000 --> 01:00:20.000]  It's a true honor to be invited here.
[01:00:20.000 --> 01:00:23.000]  My name's Mike Adams. I'm known as the Health Ranger.
[01:00:23.000 --> 01:00:27.000]  I'm the publisher of naturalnews.com and hundreds of other websites.
[01:00:27.000 --> 01:00:35.000]  Alex and I are both on the front lines of the war to defend your right to speak,
[01:00:35.000 --> 01:00:37.000]  not just our right to speak, but your right to speak.
[01:00:37.000 --> 01:00:43.000]  This is so crucial to understand that this is one of the reasons why, by the way,
[01:00:43.000 --> 01:00:50.000]  I came back and began re-hosting and appearing on InfoWars because we're all under attack
[01:00:50.000 --> 01:00:54.000]  and if they take down InfoWars, they're going to take us down next.
[01:00:54.000 --> 01:01:01.000]  They're going to take down everybody who has a view that is not acceptable to the deranged lunatic left.
[01:01:01.000 --> 01:01:06.000]  I see Alex as someone who's out there on the front lines fighting this war
[01:01:06.000 --> 01:01:11.000]  on behalf of so many other people who, frankly, their speech rights are protected
[01:01:11.000 --> 01:01:15.000]  because of Alex, because of what he does and this platform that he has built.
[01:01:15.000 --> 01:01:24.000]  And it's important to support these platforms because the demonetization is happening.
[01:01:24.000 --> 01:01:31.000]  The character assassinations, the smears, the lies, the slander, everything.
[01:01:31.000 --> 01:01:35.000]  It's so evil. It's so demonic.
[01:01:35.000 --> 01:01:41.000]  Definitely check out this event coming up on Tuesday where Alex says he invades the swamp.
[01:01:41.000 --> 01:01:48.000]  He's given the speech at the press club in Washington, D.C. with other members of the InfoWars team,
[01:01:48.000 --> 01:01:58.000]  including Rob Dew, Roger Stone, Lee Stranahan, Jerome Corsi, Leanne McAdoo and others who are going to be speaking there.
[01:01:58.000 --> 01:02:04.000]  It's going to be a very hard-hitting segment. You definitely don't want to miss that.
[01:02:04.000 --> 01:02:09.000]  And some of that will be streamed live here on the InfoWars show, as my current understanding.
[01:02:09.000 --> 01:02:11.000]  So definitely don't miss that.
[01:02:11.000 --> 01:02:19.000]  I just got to say, if we don't stand up and fight right now and if you don't stand up and help support this operation
[01:02:19.000 --> 01:02:25.000]  and share these links and listen in and encourage your friends to listen to what's going on here,
[01:02:25.000 --> 01:02:29.000]  if we don't do this, we will lose everything that you value.
[01:02:29.000 --> 01:02:34.000]  Everything that you value in your life, your ability to own a home, private property,
[01:02:34.000 --> 01:02:41.000]  your ability to run a small business, your ability to have access to natural medicine and nutritional supplements
[01:02:41.000 --> 01:02:47.000]  like what you have at InfoWarsStore.com, your ability to milk a cow and sell the milk,
[01:02:47.000 --> 01:02:50.000]  it's already criminalized across America.
[01:02:50.000 --> 01:02:55.000]  They will criminalize seeds. They will criminalize thoughts.
[01:02:55.000 --> 01:03:01.000]  They have machines already, artificial intelligence systems that can scan your brain
[01:03:01.000 --> 01:03:05.000]  and create a transcript text of what you're thinking about.
[01:03:05.000 --> 01:03:08.000]  It's in the early stages, but it already exists.
[01:03:08.000 --> 01:03:15.000]  As that becomes more advanced, they can simply require you to wear one of these devices on your head.
[01:03:15.000 --> 01:03:20.000]  And they can get a transcript of everything you're thinking every single day.
[01:03:20.000 --> 01:03:26.000]  The future that you are facing, if you don't defend liberty, is a living hell.
[01:03:26.000 --> 01:03:36.000]  It is a technocracy hell run by authoritarian, insane, crazed, egomaniac.
[01:03:36.000 --> 01:03:44.000]  How else do you describe these people? Anti-human, anti-God, anti-liberty tyrants
[01:03:44.000 --> 01:03:49.000]  who want to commit mass murder and they want to depopulate the planet
[01:03:49.000 --> 01:03:52.000]  and they want to abort as many babies as possible.
[01:03:52.000 --> 01:03:56.000]  They want to get you hooked on anti-depressant drugs and psychiatric drugs
[01:03:56.000 --> 01:04:01.000]  so they can control you and dumb you down and spoon feed you these narratives of fake news
[01:04:01.000 --> 01:04:05.000]  and fake facts and fake academia and fake history.
[01:04:05.000 --> 01:04:10.000]  They can control the future by controlling your perception of the past.
[01:04:10.000 --> 01:04:13.000]  You've heard the quote, whoever controls the present controls the past
[01:04:13.000 --> 01:04:16.000]  and whoever controls the past controls the future.
[01:04:16.000 --> 01:04:19.000]  They know all of this. It's all part of the plan.
[01:04:19.000 --> 01:04:25.000]  And the only thing standing in the way is your free speech and your support for free speech
[01:04:25.000 --> 01:04:31.000]  like infowars.com or Drudge Report or my website, Natural News or others out there,
[01:04:31.000 --> 01:04:37.000]  many others who are trying to stand up and fight this and we need your help.
[01:04:37.000 --> 01:04:41.000]  We're kicking butt, but we also need your help to keep doing it.
[01:04:41.000 --> 01:04:46.000]  So stay tuned. We've got a lot more ahead covering other news in the second hour plus your calls.
[01:04:46.000 --> 01:04:51.000]  This is Mike Adams here filling in for Alex Jones at infowars.com.
[01:04:59.000 --> 01:05:02.000]  The Department of Homeland Security has acknowledged the discovery
[01:05:02.000 --> 01:05:07.000]  of a rogue network of cellular eavesdropping devices discovered throughout Washington, D.C.
[01:05:07.000 --> 01:05:12.000]  The devices can be mounted in vehicles, drones, helicopters and airplanes
[01:05:12.000 --> 01:05:18.000]  and are often used by spies and criminals to track an eavesdrop on private cellular devices.
[01:05:18.000 --> 01:05:22.000]  The agency did not say how many devices were detected or where they found them.
[01:05:22.000 --> 01:05:28.000]  American intelligence and law enforcement agencies routinely use similar eavesdropping equipment in the field.
[01:05:28.000 --> 01:05:33.000]  The Stingray units operate by tricking a cellular device into locking onto them
[01:05:33.000 --> 01:05:35.000]  instead of a legitimate cell tower.
[01:05:35.000 --> 01:05:39.000]  Stingray devices allow the user to gain highly specific information
[01:05:39.000 --> 01:05:44.000]  about the location of any particular phone down to a particular apartment complex or hotel room.
[01:05:44.000 --> 01:05:49.000]  More sophisticated versions can eavesdrop on calls by forcing phones to step down
[01:05:49.000 --> 01:05:52.000]  to the older, unencrypted 2G wireless channel.
[01:05:52.000 --> 01:06:10.000]  Some Stingray devices can even plant malware on a phone.
[01:06:23.000 --> 01:06:29.000]  You're listening to the Alex Jones Show. This is Mike Adams, a health ranger filling in for Alex today.
[01:06:29.000 --> 01:06:31.000]  We're going to be taking your calls in this segment.
[01:06:31.000 --> 01:06:36.000]  Thank you for joining us. This is the most important broadcast that I've ever done here at InfoWars
[01:06:36.000 --> 01:06:37.000]  with many more to come.
[01:06:37.000 --> 01:06:42.000]  I've got an announcement coming up too about a show that I'm launching right here on InfoWars.com.
[01:06:42.000 --> 01:06:45.000]  It's going to be very exciting. I'll mention that in a minute.
[01:06:45.000 --> 01:06:47.000]  But first of all, thanks for joining us.
[01:06:47.000 --> 01:06:52.000]  We'll take your calls in a couple of segments here.
[01:06:52.000 --> 01:06:55.000]  But first, we're going to cover some other breaking news today.
[01:06:55.000 --> 01:07:02.000]  My show that's coming up here on InfoWars will be a once a week show, a one-hour talk.
[01:07:02.000 --> 01:07:05.000]  Well, it's more like a one-hour talk than a one-hour talk.
[01:07:05.000 --> 01:07:08.000]  It's going to be a one-hour talk on InfoWars.com.
[01:07:08.000 --> 01:07:10.000]  It's going to be very exciting. I'll mention that in a minute.
[01:07:10.000 --> 01:07:16.000]  But first, the phone number to call in is 877-789-ALIX or 877-789-2539.
[01:07:16.000 --> 01:07:22.000]  Well, it's more like a mini-documentary each time the show is called Deconstructed.
[01:07:22.000 --> 01:07:24.000]  And in Deconstructed, we tear apart.
[01:07:24.000 --> 01:07:27.000]  We peel back the layers, let's say, of some major issue,
[01:07:27.000 --> 01:07:32.000]  some major medical or food or science or cultural issue
[01:07:32.000 --> 01:07:35.000]  that we're dealing with in our modern society.
[01:07:35.000 --> 01:07:38.000]  We might look at how food is made or where food comes from.
[01:07:38.000 --> 01:07:40.000]  We might look at organics and heavy metals.
[01:07:40.000 --> 01:07:43.000]  We might look at psychiatric drugging of children.
[01:07:43.000 --> 01:07:49.000]  Deconstructed takes apart all the things that maybe you're not being told
[01:07:49.000 --> 01:07:52.000]  in the mainstream media or the corporate propaganda.
[01:07:52.000 --> 01:07:55.000]  They will do Deconstructed on net neutrality because it's a hoax.
[01:07:55.000 --> 01:07:58.000]  Net neutrality just gives a monopoly to the Googles and the Facebooks
[01:07:58.000 --> 01:08:00.000]  and the Twitters of the world.
[01:08:00.000 --> 01:08:03.000]  It's really a liberal left-wing totalitarian hoax.
[01:08:03.000 --> 01:08:06.000]  They want you to sign up for net neutrality while they're running monopolies.
[01:08:06.000 --> 01:08:09.000]  Think about it. What's neutral about a monopoly?
[01:08:09.000 --> 01:08:12.000]  There's no neutrality there. You should have content neutrality.
[01:08:12.000 --> 01:08:15.000]  You tyrants. It's unreal.
[01:08:15.000 --> 01:08:19.000]  Anyway, moving on and then we'll take your calls.
[01:08:19.000 --> 01:08:24.000]  Gun control laws that target the mentally ill.
[01:08:24.000 --> 01:08:27.000]  This is the new push following the Parkland shooting.
[01:08:27.000 --> 01:08:31.000]  They want to say that anyone who has been diagnosed with a mental illness
[01:08:31.000 --> 01:08:35.000]  or just seems a little off could have their guns taken away.
[01:08:35.000 --> 01:08:39.000]  You see, and this story from the Free Thought Project talks about that
[01:08:39.000 --> 01:08:42.000]  and points out something that's very important to understand.
[01:08:42.000 --> 01:08:47.000]  There is a mental illness called Opposition Defiant Disorder, ODD.
[01:08:47.000 --> 01:08:50.000]  Yes, it's actually spelled ODD.
[01:08:50.000 --> 01:08:53.000]  And how are you diagnosed with Opposition Defiant Disorder?
[01:08:53.000 --> 01:08:58.000]  It's simple. You go into the psychiatry office.
[01:08:58.000 --> 01:09:01.000]  You sit down. The psychiatrist says,
[01:09:01.000 --> 01:09:05.000]  ah, I think you have Oppositional Defiant Disorder.
[01:09:05.000 --> 01:09:09.000]  And you say, no, I don't. And they say, oh, now you do.
[01:09:09.000 --> 01:09:12.000]  Yes, you do. You're defiant.
[01:09:12.000 --> 01:09:14.000]  If you don't go along with what we say, you're defiant,
[01:09:14.000 --> 01:09:17.000]  and you have a mental disorder, they call the police, take the guns.
[01:09:17.000 --> 01:09:20.000]  Take the guns. This person is defiant.
[01:09:20.000 --> 01:09:23.000]  They don't like us. They don't go with the flow.
[01:09:23.000 --> 01:09:25.000]  There it is in the DSM-5.
[01:09:25.000 --> 01:09:28.000]  It's in the so-called Bible of Modern Psychiatry.
[01:09:28.000 --> 01:09:30.000]  And there are other disorders.
[01:09:30.000 --> 01:09:32.000]  By the way, there's an eating disorder.
[01:09:32.000 --> 01:09:36.000]  They call it, I believe it's called orthorexia.
[01:09:36.000 --> 01:09:41.000]  And it's an eating disorder if you are concerned with having clean food.
[01:09:41.000 --> 01:09:47.000]  So if you don't want to eat deadly pesticides that cause Alzheimer's and cancer,
[01:09:47.000 --> 01:09:50.000]  if you don't want to eat glyphosate herbicide,
[01:09:50.000 --> 01:09:54.000]  if you don't want to eat toxic heavy metals in your food,
[01:09:54.000 --> 01:09:57.000]  and you're interested in clean food and clean supplements,
[01:09:57.000 --> 01:10:01.000]  then now you have a mental disorder and they can take away your guns.
[01:10:01.000 --> 01:10:04.000]  This is how insane it has become.
[01:10:04.000 --> 01:10:07.000]  You walk into the psychiatry office and they're like,
[01:10:07.000 --> 01:10:09.000]  oh, what do you have there? Oh, I have my smoothie.
[01:10:09.000 --> 01:10:12.000]  And they're like, what's in that smoothie?
[01:10:12.000 --> 01:10:15.000]  Oh, a lab-tested turmeric and avocado.
[01:10:15.000 --> 01:10:18.000]  Oh, you must be suffering from orthorexia.
[01:10:18.000 --> 01:10:20.000]  And then you say, no, I'm not.
[01:10:20.000 --> 01:10:23.000]  Oppositional defiant disorder, we got you.
[01:10:23.000 --> 01:10:25.000]  Call the police, take your guns.
[01:10:25.000 --> 01:10:27.000]  This is what it has come to.
[01:10:27.000 --> 01:10:30.000]  But all joking aside,
[01:10:30.000 --> 01:10:34.000]  these are real so-called mental health disorders that I'm talking about here.
[01:10:34.000 --> 01:10:36.000]  They can use these. They can abuse these.
[01:10:36.000 --> 01:10:38.000]  They've done it throughout history.
[01:10:38.000 --> 01:10:42.000]  How many people were declared mentally incompetent under Joseph Stalin or Adolf Hitler
[01:10:42.000 --> 01:10:44.000]  to say, oh, they're mentally incompetent.
[01:10:44.000 --> 01:10:46.000]  The state doesn't need them anymore.
[01:10:46.000 --> 01:10:48.000]  Yeah, send them to the ovens.
[01:10:48.000 --> 01:10:51.000]  Or the old, the infirm, the physically handicapped,
[01:10:51.000 --> 01:10:54.000]  those with birth defects and so on and so forth.
[01:10:54.000 --> 01:10:59.000]  How many people got cooked and killed in those regimes?
[01:10:59.000 --> 01:11:02.000]  Because they went against the state.
[01:11:02.000 --> 01:11:04.000]  You know, think about this.
[01:11:04.000 --> 01:11:08.000]  The liberals today are saying that only they know what's true.
[01:11:08.000 --> 01:11:10.000]  Remember the liberal bubble of truth.
[01:11:10.000 --> 01:11:13.000]  Only inside that bubble is what's true.
[01:11:13.000 --> 01:11:17.000]  So if you have a thought outside that bubble, they can just say, well, you're mentally ill.
[01:11:17.000 --> 01:11:19.000]  Because you're not in the bubble.
[01:11:19.000 --> 01:11:21.000]  If you're outside the bubble, you're mentally ill.
[01:11:21.000 --> 01:11:24.000]  So we can take your guns away, see how that works, see the logic.
[01:11:24.000 --> 01:11:26.000]  Oh, all of a sudden you're engaged in hate speech.
[01:11:26.000 --> 01:11:30.000]  All of a sudden it says hate speech.
[01:11:30.000 --> 01:11:34.000]  All of a sudden you're unsafe for the community, diamond and silk.
[01:11:34.000 --> 01:11:35.000]  You're unsafe.
[01:11:35.000 --> 01:11:38.000]  I don't know if diamond is more unsafe or if silk is more unsafe.
[01:11:38.000 --> 01:11:41.000]  But one or the other is apparently more unsafe.
[01:11:41.000 --> 01:11:44.000]  Maybe diamond is more safe than silk.
[01:11:44.000 --> 01:11:45.000]  But who knows?
[01:11:45.000 --> 01:11:47.000]  They're going to vilify all of them.
[01:11:47.000 --> 01:11:49.000]  This is where it's all headed.
[01:11:49.000 --> 01:11:50.000]  It's insane.
[01:11:50.000 --> 01:11:52.000]  But I got to move on to other news.
[01:11:52.000 --> 01:11:55.000]  It's just this stuff, this is how they're going to do it.
[01:11:55.000 --> 01:11:59.000]  It's this twisted, liberal, dangerous, non-logic of falsehood
[01:11:59.000 --> 01:12:02.000]  that they're going to use to imprison and enslave everyone.
[01:12:02.000 --> 01:12:04.000]  The UK disarming its citizens.
[01:12:04.000 --> 01:12:08.000]  Now violence has reached record levels in London,
[01:12:08.000 --> 01:12:11.000]  exceeding the number of people killed in New York for the same time period.
[01:12:11.000 --> 01:12:14.000]  And now they're having a knife violence problem.
[01:12:14.000 --> 01:12:17.000]  Oh, remember that where they said, well, gun violence was the problem.
[01:12:17.000 --> 01:12:18.000]  Let's ban the guns.
[01:12:18.000 --> 01:12:20.000]  Well, now people are stabbing each other.
[01:12:20.000 --> 01:12:22.000]  So now they're trying to take away the knives.
[01:12:22.000 --> 01:12:23.000]  What's next?
[01:12:23.000 --> 01:12:25.000]  They're going to have like fork violence.
[01:12:25.000 --> 01:12:28.000]  People are going to be stabbing each other with forks,
[01:12:28.000 --> 01:12:32.000]  and they're going to have like a fork violence law
[01:12:32.000 --> 01:12:34.000]  that no one can have forks.
[01:12:34.000 --> 01:12:36.000]  No one can have knives.
[01:12:36.000 --> 01:12:39.000]  And pretty soon you're going to be eating with chopsticks and spoons
[01:12:39.000 --> 01:12:40.000]  all across London.
[01:12:40.000 --> 01:12:43.000]  Nothing but chopsticks and spoons and bare hands.
[01:12:43.000 --> 01:12:45.000]  And then they're going to have people punching each other
[01:12:45.000 --> 01:12:46.000]  and kicking each other to death,
[01:12:46.000 --> 01:12:48.000]  which the FBI says is actually the number one
[01:12:48.000 --> 01:12:51.000]  or a greater number of people killed in America
[01:12:51.000 --> 01:12:54.000]  with hands and fists than from assault weapons by far.
[01:12:54.000 --> 01:12:55.000]  So what are they going to do?
[01:12:55.000 --> 01:12:58.000]  Ban hands and fists in London.
[01:12:58.000 --> 01:12:59.000]  It's unreal.
[01:12:59.000 --> 01:13:01.000]  By the way, keep calling in.
[01:13:01.000 --> 01:13:02.000]  We're going to take your calls in the next segment.
[01:13:02.000 --> 01:13:06.000]  It's 877-789-2539.
[01:13:06.000 --> 01:13:07.000]  Check this out.
[01:13:07.000 --> 01:13:12.000]  A college student with measles had been vaccinated, health officials say.
[01:13:12.000 --> 01:13:14.000]  Now you've heard these headlines before,
[01:13:14.000 --> 01:13:18.000]  but the shocking thing today is that this is in USA Today.
[01:13:18.000 --> 01:13:20.000]  USA Today.
[01:13:20.000 --> 01:13:22.000]  They must have made a mistake.
[01:13:22.000 --> 01:13:26.000]  Somebody must have gotten high in the editorial room
[01:13:26.000 --> 01:13:28.000]  and slipped this one under the door
[01:13:28.000 --> 01:13:30.000]  because they're not supposed to say this.
[01:13:30.000 --> 01:13:33.000]  They're supposed to report that vaccines always work all the time.
[01:13:33.000 --> 01:13:34.000]  There are no side effects.
[01:13:34.000 --> 01:13:36.000]  Nobody ever gets autism.
[01:13:36.000 --> 01:13:40.000]  And vaccines are so awesome and perfect and awesome science.
[01:13:40.000 --> 01:13:42.000]  But today, USA Today reported,
[01:13:42.000 --> 01:13:45.000]  college student with measles had been vaccinated.
[01:13:45.000 --> 01:13:48.000]  And in their story, they admitted, oh, look, they'd been vaccinated.
[01:13:48.000 --> 01:13:50.000]  And then they have an excuse in the story.
[01:13:50.000 --> 01:13:53.000]  Some health official in there is quoted saying something like,
[01:13:53.000 --> 01:13:56.000]  um, maybe they got a bad batch.
[01:13:56.000 --> 01:14:02.000]  Oh, you mean so your perfect little vaccine science folks,
[01:14:02.000 --> 01:14:05.000]  you have allowances for bad batches?
[01:14:05.000 --> 01:14:07.000]  So where's the quality control then?
[01:14:07.000 --> 01:14:10.000]  And if this person got injected with the bad batch,
[01:14:10.000 --> 01:14:13.000]  then what about all the other people who got the same bad batch?
[01:14:13.000 --> 01:14:15.000]  Have you tracked the batch?
[01:14:15.000 --> 01:14:18.000]  Have you tracked the other people who are carrying measles
[01:14:18.000 --> 01:14:20.000]  because they thought they were protected
[01:14:20.000 --> 01:14:23.000]  because they got the vaccine, but it's a bad batch.
[01:14:23.000 --> 01:14:25.000]  And the truth is you don't know Jack
[01:14:25.000 --> 01:14:28.000]  because you don't even know where that batch got injected.
[01:14:28.000 --> 01:14:30.000]  You don't have any quality control in the vaccine industry
[01:14:30.000 --> 01:14:32.000]  because you don't have any legal liability.
[01:14:32.000 --> 01:14:33.000]  You have absolute legal immunity.
[01:14:33.000 --> 01:14:35.000]  It's total nonsense.
[01:14:35.000 --> 01:14:37.000]  It would be like Congress granting car manufacturers
[01:14:37.000 --> 01:14:39.000]  complete immunity from all accidents
[01:14:39.000 --> 01:14:42.000]  and anti-lock brake problems
[01:14:42.000 --> 01:14:45.000]  and cars bursting into flames and everything.
[01:14:45.000 --> 01:14:47.000]  If they had absolute legal immunity,
[01:14:47.000 --> 01:14:49.000]  do you think they would have a quality control system?
[01:14:49.000 --> 01:14:50.000]  Of course not.
[01:14:50.000 --> 01:14:52.000]  That's the vaccine industry.
[01:14:52.000 --> 01:14:53.000]  No quality control.
[01:14:53.000 --> 01:14:55.000]  They don't know if they're injecting you with live viruses
[01:14:55.000 --> 01:14:57.000]  or attenuated viruses.
[01:14:57.000 --> 01:14:58.000]  Oh, and check this out.
[01:14:58.000 --> 01:15:00.000]  This Russian woman, 27 years old,
[01:15:00.000 --> 01:15:03.000]  dies in agony after being embalmed alive.
[01:15:03.000 --> 01:15:05.000]  This is from the sun in the UK.
[01:15:05.000 --> 01:15:08.000]  They were trying to give her a drip of saline solution.
[01:15:08.000 --> 01:15:11.000]  Accidentally gave her embalming fluid containing formaldehyde,
[01:15:11.000 --> 01:15:14.000]  which is also in vaccines, by the way.
[01:15:14.000 --> 01:15:19.000]  The CDC admits formaldehyde and mercury in thimerosal
[01:15:19.000 --> 01:15:24.000]  and MSG and antibiotics, they're all in vaccines.
[01:15:24.000 --> 01:15:27.000]  And this woman just died from having this
[01:15:27.000 --> 01:15:30.000]  dripped into her veins and embalming fluid.
[01:15:30.000 --> 01:15:31.000]  She's dead.
[01:15:31.000 --> 01:15:35.000]  And we're injecting our children with the same chemical
[01:15:35.000 --> 01:15:36.000]  and other chemicals.
[01:15:36.000 --> 01:15:37.000]  It's insane.
[01:15:37.000 --> 01:15:39.000]  And then when a silencer speech,
[01:15:39.000 --> 01:15:42.000]  shut you down and exterminate conservatives
[01:15:42.000 --> 01:15:45.000]  while poisoning your babies with formaldehyde in vaccines.
[01:15:45.000 --> 01:16:14.000]  We'll be right back at infowars.com.
[01:16:15.000 --> 01:16:41.000]  We'll be right back.
[01:16:41.000 --> 01:17:04.000]  We'll be right back.
[01:17:04.000 --> 01:17:31.000]  We'll be right back.
[01:17:31.000 --> 01:17:57.000]  We'll be right back.
[01:17:57.000 --> 01:18:23.000]  We'll be right back.
[01:18:23.000 --> 01:18:49.000]  We'll be right back.
[01:18:49.000 --> 01:19:16.000]  We'll be right back.
[01:19:16.000 --> 01:19:42.000]  We'll be right back.
[01:19:42.000 --> 01:20:08.000]  We'll be right back.
[01:20:08.000 --> 01:20:34.000]  We'll be right back.
[01:20:34.000 --> 01:20:39.000]  And you're tuned in to the Alex Jones show.
[01:20:39.000 --> 01:20:42.000]  This is Mike Adams' guest hosting today for Alex here at
[01:20:42.000 --> 01:20:43.000]  Infowars.
[01:20:43.000 --> 01:20:47.000]  Alex is on his way to Washington, DC, where he will be part of
[01:20:47.000 --> 01:20:48.000]  a talk.
[01:20:48.000 --> 01:20:52.000]  The National Press Club is hosting on Tuesday about the attacks
[01:20:52.000 --> 01:20:53.000]  on free speech.
[01:20:53.000 --> 01:20:56.000]  Kind of an extension of what I've been talking about here today.
[01:20:56.000 --> 01:21:00.000]  A lot of great speakers there, including Roger Stone, Jerome
[01:21:00.000 --> 01:21:04.000]  Calls here in this segment, so callers, I thank you for holding.
[01:21:04.000 --> 01:21:06.000]  We'll go to you here just very quickly.
[01:21:06.000 --> 01:21:08.000]  Current specials in the Infowars store.
[01:21:08.000 --> 01:21:11.000]  This is what powers the resistance here.
[01:21:11.000 --> 01:21:15.000]  Alpha Power, 25% off is back in stock.
[01:21:15.000 --> 01:21:19.000]  And the premium Infowars life select is $100 off now, just
[01:21:19.000 --> 01:21:21.000]  $147.
[01:21:21.000 --> 01:21:26.000]  Cell Force is currently 50% off and Bodies is 25% off back in
[01:21:26.000 --> 01:21:27.000]  stock.
[01:21:27.000 --> 01:21:30.000]  And you get double Patriot points until the end of the month.
[01:21:30.000 --> 01:21:34.000]  And this is, look, I urge you to support this operation.
[01:21:34.000 --> 01:21:36.000]  I'm honored and privileged to be here.
[01:21:36.000 --> 01:21:39.000]  You know, I'm independent from this operation.
[01:21:39.000 --> 01:21:44.000]  I don't have any involvement in the Infowars store, but I urge
[01:21:44.000 --> 01:21:45.000]  you to support it anyway.
[01:21:45.000 --> 01:21:48.000]  And it is crucial for this operation.
[01:21:48.000 --> 01:21:52.000]  And one of the ways that you can vote for me as a guest host is
[01:21:52.000 --> 01:21:57.000]  to go to the store and purchase the products that help you the
[01:21:57.000 --> 01:21:58.000]  most in your current challenges.
[01:21:58.000 --> 01:22:01.000]  And that's kind of a vote for the health ranger to fill in and
[01:22:01.000 --> 01:22:02.000]  host here.
[01:22:02.000 --> 01:22:05.000]  If you like me hosting, tell the Infowars crew that you like my
[01:22:05.000 --> 01:22:08.000]  message and I will be invited back.
[01:22:08.000 --> 01:22:12.000]  So support InfowarsStore.com and tell folks that you like Mike
[01:22:12.000 --> 01:22:13.000]  Adams being on the show.
[01:22:13.000 --> 01:22:14.000]  I don't know.
[01:22:14.000 --> 01:22:15.000]  I just love being here.
[01:22:15.000 --> 01:22:17.000]  This is an honor and a privilege to be here.
[01:22:17.000 --> 01:22:21.000]  I feel like being on the front lines here defending courage and
[01:22:21.000 --> 01:22:25.000]  liberty and free speech is an honor at this moment in history.
