[00:00.000 --> 00:08.160]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:37:24.000 --> 01:37:28.000]  or he said, be careful, I have a revelation that would bring you down.
[01:37:28.000 --> 01:37:33.000]  Well, what type of revelation could that be?
[01:37:33.000 --> 01:37:35.000]  William Benning.
[01:37:35.000 --> 01:37:40.000]  Well, he may simply be talking about, like for example,
[01:37:40.000 --> 01:37:49.000]  the CIA was spying on Feinstein's intelligence committee when they were preparing that report on terror.
[01:37:49.000 --> 01:37:52.000]  The report she's trying to get out here recently,
[01:37:52.000 --> 01:37:58.000]  I think if they look a little closer, they'll find out that that spying is much more extensive than they even think.
[01:37:58.000 --> 01:38:02.000]  So in other words, I think if they look fairly closely,
[01:38:02.000 --> 01:38:10.000]  Russ Tice has said this for several years now that they have been spying on senators, House of Representatives,
[01:38:10.000 --> 01:38:18.000]  judges of the Supreme Court, even in the White House and also generals and other federal judges and so on.
[01:38:18.000 --> 01:38:22.000]  So they're spying, the spying network that we've created inside this country
[01:38:22.000 --> 01:38:27.000]  is actually spying on the leadership of this country, the ones that have power over them
[01:38:27.000 --> 01:38:31.000]  so that they know what their position is and can adjust accordingly and prepare for it.
[01:38:31.000 --> 01:38:33.000]  So that's what they're doing.
[01:38:33.000 --> 01:38:38.000]  I mean, they're spying on everybody, our leadership in this country as well as everybody else on the planet.
[01:38:38.000 --> 01:38:45.000]  So this is an uncontrollable, these are uncontrollable agencies.
[01:38:45.000 --> 01:38:51.000]  They have no way of verifying anything they're doing and they let them continue that way
[01:38:51.000 --> 01:38:53.000]  when in fact they should all stand up.
[01:38:53.000 --> 01:38:58.000]  The problem is you don't know, and they don't know, the House of Representatives and senators,
[01:38:58.000 --> 01:39:04.000]  they don't know what kind of evidence the intelligence community has accumulated about them and their activities.
[01:39:04.000 --> 01:39:09.000]  Is it something like J. Edgar Hoover had over the entire Congress?
[01:39:09.000 --> 01:39:13.000]  He used that power too and it was actually the power he had,
[01:39:13.000 --> 01:39:18.000]  wasn't that he may not have known anything about you but you may think he did
[01:39:18.000 --> 01:39:20.000]  and that gave him power over you.
[01:39:20.000 --> 01:39:25.000]  But he certainly knew a lot about the leadership in Washington.
[01:39:25.000 --> 01:39:31.000]  Well, we also know those files were a form of internal governmental defamation and slander and libel
[01:39:31.000 --> 01:39:37.000]  because they were also filled with disinformation and garbage and that goes to my next question.
[01:39:37.000 --> 01:39:41.000]  What about the problem of planted data through the system?
[01:39:41.000 --> 01:39:43.000]  I mean, we know that goes on.
[01:39:43.000 --> 01:39:50.000]  Well, I mean, yes, that plus in our case, at least in the cases that we had,
[01:39:50.000 --> 01:39:56.000]  we knew they were fabricating data and in Tom Drake's case when they indicted him,
[01:39:56.000 --> 01:40:00.000]  the data that they had there was fabricated.
[01:40:00.000 --> 01:40:05.000]  It was retroactively classified and then he was charged for having classified material.
[01:40:05.000 --> 01:40:09.000]  Well, I mean, that's like framing him.
[01:40:09.000 --> 01:40:12.000]  I mean, that's a felony and these people should go to jail for that.
[01:40:12.000 --> 01:40:22.000]  Even Thomas Tamm back in 2003 when he was the lawyer in the Department of Justice that was the source of the New York Times article on warrantless wiretapping.
[01:40:22.000 --> 01:40:32.000]  And when he was, his job at the Department of Justice was to prepare the warrant request for the FISA court, the secret court.
[01:40:32.000 --> 01:40:40.000]  And so when he was going through that, he was discovering that they had wiretaps already on people that they hadn't gone through the FISA court to get.
[01:40:40.000 --> 01:40:48.000]  Well, that by definition or by law at the time was a violation of the federal felony.
[01:40:48.000 --> 01:40:56.000]  In other words, if you didn't have a FISA approved warrant to get a wiretap on a U.S. citizen for the intelligence community,
[01:40:56.000 --> 01:41:02.000]  then you in fact were committing a federal felony and they were doing that by the thousands.
[01:41:02.000 --> 01:41:04.000]  It never got in trouble.
[01:41:04.000 --> 01:41:13.000]  Wasn't that really part of a larger parallel construction where they only go get the warrant later once they want to go back and claim that they got the information with the warrant?
[01:41:13.000 --> 01:41:15.000]  Yeah, that was all part of that.
[01:41:15.000 --> 01:41:22.000]  And that had been going on since at least 2001, since after 9-11.
[01:41:22.000 --> 01:41:29.000]  And Director Mueller of the FBI said they were using that program, Stellar Wind, which is the domestic spying program.
[01:41:29.000 --> 01:41:39.000]  He said they were using it since 9-11 in 2001, which is October, which is when they created that, the name Stellar Wind.
[01:41:39.000 --> 01:41:42.000]  William Bennett, top NSA whistleblowers, our guest.
[01:41:42.000 --> 01:41:44.000]  I mean, I'm just a layperson, but correct me if I'm wrong.
[01:41:44.000 --> 01:41:53.000]  A, when you start snooping on everybody, you create giant troughs of information that could be stolen, hacked, or taken.
[01:41:53.000 --> 01:42:01.000]  B, you're focusing on so much that you miss the real threats that are specific and can be tracked and focused in on.
[01:42:01.000 --> 01:42:04.000]  So you blind yourself in a way having too much data.
[01:42:04.000 --> 01:42:08.000]  It's like having a billion phone messages. You can't listen to any of them, basically.
[01:42:08.000 --> 01:42:17.000]  And then C, and I think this is probably the most important, it creates a whole system of blackmail domestically and will convert you to a tyranny.
[01:42:17.000 --> 01:42:19.000]  So it's like suicide.
[01:42:19.000 --> 01:42:21.000]  I mean, what did Congress think?
[01:42:21.000 --> 01:42:23.000]  It's already come out for decades.
[01:42:23.000 --> 01:42:29.000]  They use the NSA, the British NSA GCHQ to spy on parliament.
[01:42:29.000 --> 01:42:33.000]  And now they're using all this data on each other.
[01:42:33.000 --> 01:42:40.000]  And it just, I mean, why would the political elite create such a thing and think that they could control it?
[01:42:40.000 --> 01:42:42.000]  That's exactly right.
[01:42:42.000 --> 01:42:50.000]  And the point is that what it means is you're giving all this knowledge and power to a set of individuals that aren't controlled.
[01:42:50.000 --> 01:42:52.000]  And they're sooner or later, they use it.
[01:42:52.000 --> 01:42:55.000]  I mean, that's just human nature to have that happen.
[01:42:55.000 --> 01:43:03.000]  So, I mean, you know, it's only a matter of time, like you say, is to when, how long it's going to take them to take advantage of all the data they've gotten.
[01:43:03.000 --> 01:43:12.000]  So, I mean, it's just a very bad situation and a very bad path that we've chosen to take here down the dark side with Dick Cheney.
[01:43:12.000 --> 01:43:16.000]  Sometimes you got to work on the dark side to quote Dick Cheney.
[01:43:16.000 --> 01:43:17.000]  Yeah.
[01:43:17.000 --> 01:43:22.000]  In fact, guys, find that clip if you can. Well, that's what's so crazy about this information's power.
[01:43:22.000 --> 01:43:27.000]  And they've taught so many people in public school and in colleges and TV that, oh, if you don't have anything to hide, don't worry about it.
[01:43:27.000 --> 01:43:29.000]  Well, why not have a glass house?
[01:43:29.000 --> 01:43:32.000]  Why not leave your codes to your computer out publicly?
[01:43:32.000 --> 01:43:36.000]  No, we all know that bad people will take advantage of that information.
[01:43:36.000 --> 01:43:39.000]  Well, it's the same thing with government or corporations.
[01:43:39.000 --> 01:43:41.000]  What about corporations?
[01:43:41.000 --> 01:43:48.000]  I see them almost as a bigger threat now because they're all in a race with government to be the ultimate spy.
[01:43:48.000 --> 01:43:52.000]  I mean, isn't Google really the ultimate spy in the final equation?
[01:43:52.000 --> 01:43:59.000]  I think part of the problem with their mining of Gmail is getting close to what the government's doing.
[01:43:59.000 --> 01:44:07.000]  But they don't have the resources to see that part of the problem is that Google doesn't have all the data access that NSA does, for example.
[01:44:07.000 --> 01:44:13.000]  NSA can get into any business activity like banking or travel or anything like that.
[01:44:13.000 --> 01:44:15.000]  And Google doesn't really have access to all of that.
[01:44:15.000 --> 01:44:18.000]  It also doesn't have access to all the emails.
[01:44:18.000 --> 01:44:21.000]  They have a good number, but they don't have all of them.
[01:44:21.000 --> 01:44:32.000]  And they don't also have the cooperation of other companies around the world and corporations to give them the wiretaps to get the transactional relationships between people.
[01:44:32.000 --> 01:44:39.000]  It's not all of it anyway. I mean, they certainly have a great deal of it, but it's not to the degree that government is.
[01:44:39.000 --> 01:44:43.000]  So government brings it all together and in the darkness binds it?
[01:44:43.000 --> 01:44:44.000]  Right.
[01:44:44.000 --> 01:44:59.000]  And the point is that Google and companies do not have the power that government does when it comes to arresting people or putting them in jail or fabricating evidence or framing them like they've tried to do to us.
[01:44:59.000 --> 01:45:10.000]  So, I mean, there's quite a bit of difference between government and at least in terms of power and capability.
[01:45:10.000 --> 01:45:17.000]  I want to go to some phone calls for William Benny here and also go through this huge list of Twitter questions that we have.
[01:45:17.000 --> 01:45:21.000]  Let's go ahead and talk to Joseph in Texas.
[01:45:21.000 --> 01:45:24.000]  Joseph, you're on the air with William Benny.
[01:45:24.000 --> 01:45:26.000]  Hi.
[01:45:26.000 --> 01:45:41.000]  I wanted to call in and talk to you guys about, I'm a hairdresser in Dallas and I had a client for a little while this year who was a, he was a VP for the manufacturer that created the MSA Center in Utah.
[01:45:41.000 --> 01:45:49.000]  And he gave me a lot of, you know, he told me as much as I guess he could about when they were building it and about this data center.
[01:45:49.000 --> 01:45:56.000]  And I also have another friend of mine who just recently met, he works with AT&T on the neural networks collecting the data.
[01:45:56.000 --> 01:46:02.000]  So, I wanted to ask some questions and just see if, you know, I get an answer from him.
[01:46:02.000 --> 01:46:14.000]  I was basically told just that the MSA data center, you know, that was that, you know, they were spying on, you know, everything from our cell phones to our banks, everything connecting at all.
[01:46:14.000 --> 01:46:21.000]  You know, and after I heard that, I actually heard a documentary with, you know, from, it's like the operations fellow wind documentary.
[01:46:21.000 --> 01:46:24.000]  And I just wanted to hear about that.
[01:46:24.000 --> 01:46:26.000]  Mr. Benny.
[01:46:26.000 --> 01:46:31.000]  Yeah, that's the, that's the whole point of why they had to build Bluffdale with all that storage.
[01:46:31.000 --> 01:46:42.000]  I mean, it wasn't for metadata, it was for content of communications, you know, like all of your emails and phone conversation recordings and transcripts and things like that.
[01:46:42.000 --> 01:46:55.000]  The point is, if you wanted to, if you wanted to put together all of the relationships of everybody in the world on metadata relationships and build those kind of what they're called graphs or simply social networks of everybody in every domain,
[01:46:55.000 --> 01:47:03.000]  phone calls, emails, banking, all of that, then you could do that and store it in a room 20 foot by 40 foot.
[01:47:03.000 --> 01:47:09.000]  That's all it would take to store all of the relationships and all the domains of everybody in the world.
[01:47:09.000 --> 01:47:15.000]  So, and you could keep it there for, I mean, you know, 50 years, perhaps, something like that.
[01:47:15.000 --> 01:47:24.000]  And so the real point was the hundreds of thousands of square feet of storage was needed for the content and that's where the bulk of data is.
[01:47:24.000 --> 01:47:30.000]  That's where the bulk of information is and that's what it, that's what takes an awful lot of storage up.
[01:47:30.000 --> 01:47:33.000]  The rest of it is not, doesn't take that much storage.
[01:47:33.000 --> 01:47:34.000]  That's right.
[01:47:34.000 --> 01:47:39.000]  In Utah and Texas, that's a key point when they lie and say we're just keeping metadata.
[01:47:39.000 --> 01:47:41.000]  They consider everything to be metadata.
[01:47:41.000 --> 01:47:43.000]  It's a lawyer's game they're playing.
[01:47:43.000 --> 01:47:45.000]  Thank you, Joseph.
[01:47:45.000 --> 01:47:47.000]  Let's go ahead and take another call.
[01:47:47.000 --> 01:47:49.000]  Let's talk to Dominique in California.
[01:47:49.000 --> 01:47:51.000]  You're on the air.
[01:47:51.000 --> 01:47:52.000]  Hey there, William.
[01:47:52.000 --> 01:47:57.000]  I got a question about who they're kind of watching now.
[01:47:57.000 --> 01:48:06.000]  Video taped a jet laying some geoengineering trails out the other day and some webs started falling from the trail.
[01:48:06.000 --> 01:48:11.000]  And I got it all on tape and I got a lot of samples of these webs falling from the sky.
[01:48:11.000 --> 01:48:16.000]  And my question is, are they monitoring geoengineering activists such as myself?
[01:48:16.000 --> 01:48:21.000]  Because I've been telling a lot of people about this and trying to get the word out there.
[01:48:21.000 --> 01:48:23.000]  I'm kind of getting a little worried.
[01:48:23.000 --> 01:48:24.000]  I don't think you heard him.
[01:48:24.000 --> 01:48:26.000]  Everything's being recorded and monitored.
[01:48:26.000 --> 01:48:29.000]  And now I don't think they mind that it's out as a chilling effect.
[01:48:29.000 --> 01:48:31.000]  It's illegal what they're doing.
[01:48:31.000 --> 01:48:35.000]  We need to stop it, but it doesn't intimidate me and doesn't shut down my speech.
[01:48:35.000 --> 01:48:37.000]  William Binney, do you have any information?
[01:48:37.000 --> 01:48:38.000]  Thank you, Dominique.
[01:48:38.000 --> 01:48:42.000]  Do you have any information on geoengineering climate manipulation?
[01:48:42.000 --> 01:48:45.000]  Well, I would think that that's one of the things there.
[01:48:45.000 --> 01:48:49.000]  They're certainly monitoring all kinds of research done around the world.
[01:48:49.000 --> 01:48:56.000]  For example, one of the best ways to find out who's working on quantum computing is to, for example,
[01:48:56.000 --> 01:49:04.000]  go to a quantum computing conference around the world and just go around and collect business cards.
[01:49:04.000 --> 01:49:10.000]  And you find that that sets up a community and then you work the transactional relationships you're getting across the network
[01:49:10.000 --> 01:49:14.000]  to build their social network of who they're working with to work on quantum computing.
[01:49:14.000 --> 01:49:19.000]  And I'm sure they would do the same thing for any kind of climate alterations and so on.
[01:49:19.000 --> 01:49:29.000]  I mean, any kind of serious research that's going on that would have implications on a wider scale,
[01:49:29.000 --> 01:49:36.000]  they certainly would be monitoring just to watch to make sure they knew what was happening.
[01:49:36.000 --> 01:49:37.000]  Thank you so much.
[01:49:37.000 --> 01:49:41.000]  Let's go to Julio in Wyoming.
[01:49:41.000 --> 01:49:44.000]  Merry Christmas to you all. It's funny, Mr. Benny.
[01:49:44.000 --> 01:49:50.000]  You mentioned about collecting business cards and going to those conferences that caller that mentioned geoengineering.
[01:49:50.000 --> 01:49:51.000]  That's what I've done, Mr. Benny.
[01:49:51.000 --> 01:49:58.000]  I've gone to these conferences, collected business cards, spoke to people in geoengineering,
[01:49:58.000 --> 01:50:00.000]  and I agree people need to do that.
[01:50:00.000 --> 01:50:03.000]  I want to mention this document briefly before I get to my question.
[01:50:03.000 --> 01:50:04.000]  I think it's cute.
[01:50:04.000 --> 01:50:13.000]  The NSA is trying to attract children through their Change the World program, which includes solving fun puzzles
[01:50:13.000 --> 01:50:16.000]  and exploring the world of cryptology.
[01:50:16.000 --> 01:50:19.000]  I think that's kind of cute with the Change the World program.
[01:50:19.000 --> 01:50:21.000]  You mentioned about blackmail.
[01:50:21.000 --> 01:50:31.000]  It's quite clear bureaucracies and totalitarian agencies like the NSA are using blackmail to their advantage.
[01:50:31.000 --> 01:50:35.000]  My question is, how deep does that rabbit hole go?
[01:50:35.000 --> 01:50:44.000]  I spoke to someone who's a contractor in Colorado Springs last week who told me there's a lot of movement from these types of agencies
[01:50:44.000 --> 01:50:47.000]  moving towards Colorado Springs and other parts of the way.
[01:50:47.000 --> 01:50:49.000]  Sure. That's where the alternate government's based.
[01:50:49.000 --> 01:50:50.000]  Thank you for the call.
[01:50:50.000 --> 01:50:52.000]  That's a lot of questions there.
[01:50:52.000 --> 01:50:57.000]  Blackmail, you already spoke to that, but what else can you tell us about blackmail, William Benny?
[01:50:57.000 --> 01:51:03.000]  The problem, of course, is that once you have all that data, that's the power that that data gives you.
[01:51:03.000 --> 01:51:06.000]  Let me use an example.
[01:51:06.000 --> 01:51:11.000]  I was on the Elliott Spitzer show on current TV when he was on the show there.
[01:51:11.000 --> 01:51:18.000]  He never told me this, but I've been inferenced to him.
[01:51:18.000 --> 01:51:24.000]  He was after the bankers after the 2008 banking fiasco.
[01:51:24.000 --> 01:51:29.000]  A lot of people lost a lot of money there, and that was because of fraudulent solicitations by the banks,
[01:51:29.000 --> 01:51:33.000]  passing around packaged mortgage groups and things like that.
[01:51:33.000 --> 01:51:36.000]  He was going after them criminally.
[01:51:36.000 --> 01:51:40.000]  He was, I think, the governor of New York State at the time.
[01:51:40.000 --> 01:51:51.000]  As a part of that, all of a sudden the FBI was going through all of his emails and my financial transactions and so on.
[01:51:51.000 --> 01:51:59.000]  They found where he was engaged with the prostitute, and they used that to get rid of him.
[01:51:59.000 --> 01:52:04.000]  The point is that the FBI didn't even show probable cause to why they were doing it.
[01:52:04.000 --> 01:52:07.000]  The probable cause was they wanted him stopping.
[01:52:07.000 --> 01:52:11.000]  They didn't want him criminally prosecuting the bankers in Wall Street.
[01:52:11.000 --> 01:52:14.000]  That's what the whole motive was.
[01:52:14.000 --> 01:52:22.000]  The people who did that, Mueller was the director of FBI at the time, and Alexander was the director of NSA.
[01:52:22.000 --> 01:52:30.000]  The FBI went into the database of emails that Mueller testified to the Senate Judiciary Committee that he had access to.
[01:52:30.000 --> 01:52:38.000]  Back in March 30, 2011, he testified at the Senate Judiciary Committee that he had access to this database where he could make a query
[01:52:38.000 --> 01:52:41.000]  and get all past and future emails as they came in on a person.
[01:52:41.000 --> 01:52:48.000]  When the FBI goes into all of his back emails looking at data, for example, against the Petraeus,
[01:52:48.000 --> 01:52:57.000]  I mean, L.A. Spitzer to get rid of him, then they were the ones who helped the bankers out to keep them out of trouble.
[01:52:57.000 --> 01:53:06.000]  Then you have Mueller and Alexander after they retire, and they're selling their expertise in cybersecurity,
[01:53:06.000 --> 01:53:10.000]  and who are they selling it to at the rate of $600,000 a month or something like that.
[01:53:10.000 --> 01:53:15.000]  Originally, it started at a million, but now they're selling that to, I believe, the last I heard it was the bankers.
[01:53:15.000 --> 01:53:22.000]  Well, to me, when I took contract law under government, one of the first things you made sure you did not do
[01:53:22.000 --> 01:53:25.000]  was to give the appearance of a conflict of interest.
[01:53:25.000 --> 01:53:28.000]  Now, that sure smells like a conflict of interest.
[01:53:28.000 --> 01:53:33.000]  Sure, you've got a select group of banks to control the Federal Reserve that already issue and control the currency.
[01:53:33.000 --> 01:53:40.000]  Now they're using the NSA that they help government build to domestically target everybody, steal data, corner the markets,
[01:53:40.000 --> 01:53:42.000]  and just take everything over.
[01:53:42.000 --> 01:53:46.000]  Get rid of people that were trying to hold you accountable.
[01:53:46.000 --> 01:53:49.000]  It's a criminal takeover. There's no debating it.
[01:53:49.000 --> 01:54:03.000]  Ex-Zach Camount asks, that's his Twitter name, ask William Benny, what does Mr. Benny think about people waking up to spying, but also the smart TVs that,
[01:54:03.000 --> 01:54:10.000]  for those that don't know, Samsung admits that they, quote, record what you say in your house and send it to third parties for, quote, marketing.
[01:54:10.000 --> 01:54:15.000]  What do you think of just the mainlining of total spying?
[01:54:15.000 --> 01:54:25.000]  I mean, for me, that is an intrusion, an unauthorized intrusion, and it's a felony, and they should be charged criminally with it.
[01:54:25.000 --> 01:54:36.000]  Kavik on Twitter asks, how closely does Canada's CSE work with the NSA, or is it more a data sharing agreement?
[01:54:36.000 --> 01:54:44.000]  Actually, this has been documented. It's in some of the documentation that Snowden had provided and has been published.
[01:54:44.000 --> 01:54:51.000]  They are basically the, it's an outgrowth of the World War II effort of the English-speaking countries.
[01:54:51.000 --> 01:54:56.000]  That's the U.K., the U.S., Canada, Australia, and New Zealand.
[01:54:56.000 --> 01:55:00.000]  Now, the U.S. is called first party and the other four are called second party.
[01:55:00.000 --> 01:55:04.000]  That was the closest relationship in history in World War II.
[01:55:04.000 --> 01:55:14.000]  The most common, they work together, jointly, on breaking enigma codes and also the Japanese purple code and the JN-25 naval code.
[01:55:14.000 --> 01:55:21.000]  And those relationships only expanded from there, and the cooperation has been very close.
[01:55:21.000 --> 01:55:25.000]  It's the closest cooperating group of countries in the world.
[01:55:25.000 --> 01:55:35.000]  Mikhail Thalen, infowars.com, writer at Mikhail Thalen on Twitter, asks, others have mentioned power struggle between the NSA and other intel groups, such as the CIA.
[01:55:35.000 --> 01:55:40.000]  Can you expand on that, hashtag NSA Insider?
[01:55:40.000 --> 01:55:51.000]  Yeah, there always was. I mean, even before 9-11, I mean, that was part of the, I think the 9-11 Commission's report was they need to work a little closer and be a little less rivalry.
[01:55:51.000 --> 01:56:06.000]  They can reduce the rivalry. The point is that there are certain charters that these agencies have, like the CIAs, to do human NSAs, to do signals intelligence, and they jealously guard their charters.
[01:56:06.000 --> 01:56:16.000]  And if they come up with information in their areas, that's like knowledge they have, that they can directly provide to senior leadership, the president, and so on, for decision making.
[01:56:16.000 --> 01:56:34.000]  So that makes them, that gives them the sense that they have greater influence in the government and what it does and what the president would decide to do by being able to control or to have the most significant intelligence information to present.
[01:56:34.000 --> 01:56:42.000]  So that creates a rivalry between the agencies, and that's been going on for decades. I mean, that's nothing new.
[01:56:42.000 --> 01:56:50.000]  The CIA does it, NSA does it, they all do it, so to a certain degree. And that was part of the problem at the 9-11 Commission.
[01:56:50.000 --> 01:57:12.000]  So, you know, yeah, certainly an issue, a rivalry between these agencies is one that destroys some of the capabilities that they should have in terms of sharing knowledge so that everybody can be leveraging the same set of information.
[01:57:12.000 --> 01:57:24.000]  William Binney, we have another question for you from Twitter. FW Partica asks, how would you change the NSA so it would be a positive department?
[01:57:24.000 --> 01:57:51.000]  First of all, I mean, we submitted 21 recommendations to the president of the United States in January this year. It's an open letter, it's on the web. And those recommendations, the two primary points in those recommendations, one was to do, to force NSA to make a directed selection of information on known targets and things in a zone of suspicion defined around it.
[01:57:51.000 --> 01:58:06.000]  So that would mean that they would only pull in maybe, they would let 99.99999% of the data pass by and only pull out and store that data that was relevant to targets that they were after.
[01:58:06.000 --> 01:58:09.000]  I'm going to blow up the Eiffel Tower, that would be grabbed.
[01:58:09.000 --> 01:58:22.000]  That would focus them in on their targets and that would make a rich environment for their analysts to succeed and we would actually be able to stop things like the Boston bombing or even 9-11. I mean, they had all the data to stop 9-11.
[01:58:22.000 --> 01:58:34.000]  William, you've been so gracious giving us 50 something minutes. Let me talk to you during this break and see if you can stay a little bit longer to finish that statement and take a few more calls. I don't want to put you on the spot, but can you stay with us?
[01:58:34.000 --> 01:58:35.000]  Yeah, sure I can.
[01:58:35.000 --> 01:58:39.000]  Unbelievable. Third hour coming up.
[01:58:39.000 --> 01:59:06.000]  Thank you for listening to GCN. Visit GCNLive.com today.
[01:59:09.000 --> 01:59:24.000]  Welcome to GCNLive.
[01:59:24.000 --> 01:59:51.000]  Welcome to GCNLive.
[01:59:51.000 --> 02:00:06.000]  You're listening to the Alex Jones show.
[02:00:06.000 --> 02:00:34.000]  Big Brother, mainstream media, government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN radio network and now, live from Austin, Texas, Alex Jones.
[02:00:34.000 --> 02:00:52.000]  We also have to work, though, sort of the dark side, if you will. We've got to spend time in the shadows in the intelligence world. A lot of what needs to be done here will have to be done quietly without any discussion, using sources and methods that are available to our intelligence agencies if we're going to be successful.
[02:00:52.000 --> 02:01:02.000]  That's the world these folks operate in and so it's going to be vital for us to use any means that are disposable, a disposal, basically, to achieve our objective.
[02:01:02.000 --> 02:01:18.000]  It's bigger than it's ever been and it's renamed ISIS and our own government funded it and William Benny was beginning to get into 9-11 and I've had Colonel Schaefer on, I've had C. Bell Edmonds on, I've had the translators, the colonels.
[02:01:18.000 --> 02:01:40.000]  I've had so many angles of this covering classified and unclassified information and leaked information that we know they knew about 9-11 and bare minimum stood down. Six of the 10 commissioners have said that. William Benny, without giving out any classified information, obviously, what can you tell us about 9-11?
[02:01:40.000 --> 02:02:05.000]  Well, it's more like after we left NSA because of the domestic spying way. Tom Drake, who was still there working, ran a program we were developing on the entire database in NSA and he found all the data that was necessary to stop 9-11 in their databases prior to 9-11,
[02:02:05.000 --> 02:02:22.000]  which simply meant, very simply put, that they could easily have stopped 9-11 if they were doing smart things. But what was driving them at the time? Well, it was a matter of getting more and more money and building a bigger budget and that's really what their emphasis was on.
[02:02:22.000 --> 02:02:42.000]  So they weren't trying to do smart things, they were trying to do things that would build their empire. And that to me is why I keep saying every time I give a talk anywhere, I keep saying they traded the security of the people of the United States and of the world for money.
[02:02:42.000 --> 02:03:00.000]  And I guess when you make multi-million dollar purchases from big tech firms for their supercomputers and fiber optic and cables and you end up getting nice president jobs a few years later with that revolving door, it just turns into a giant boondoggle.
[02:03:00.000 --> 02:03:20.000]  Yeah, that's that incestuous relationship that exists between government officials and private industry. That close relationship building between them so that they can move from one senior executive job in government to a senior executive job in industry.
[02:03:20.000 --> 02:03:27.000]  What do you think about moves to cut off electricity and the water supply in Utah to the data center?
[02:03:27.000 --> 02:03:40.000]  Well, I mean, they could certainly try to do that, but I would think that they would call up the National Guard, nationalize things and go in and make sure that they could continue to keep the power going.
[02:03:40.000 --> 02:03:53.000]  To me, the more important way to attack this problem is to go after them legally by the voting and by getting rid of them and firing their worthless personages from Congress.
[02:03:53.000 --> 02:04:04.000]  Well, you would think that there would be rolling this back with all the lies coming out that they were deceptive and they're using it against Congress, but instead, like you said, they're just getting the courts lined up to legalize it.
[02:04:04.000 --> 02:04:10.000]  Right, and they're feeling more confident because some of the judges are getting behind them and backing it.
[02:04:10.000 --> 02:04:12.000]  And I think that's through fear as well.
[02:04:12.000 --> 02:04:18.000]  Right. You never know what kind of blackmail they have on those judges because of the collection of data they've got.
[02:04:18.000 --> 02:04:24.000]  The word is, is that Justice Roberts was being blackmailed on the Obamacare situation.
[02:04:24.000 --> 02:04:32.000]  Yeah, well, that could be. I mean, after all, he changed it from a penalty to a tax, and that's changing the law.
[02:04:32.000 --> 02:04:37.000]  And he should have thrown that back to Congress for the Congress to fix that, not the court.
[02:04:37.000 --> 02:04:49.000]  The fix is in. Wow. Final segment with William Benning, a ton of Twitter questions and your calls. Michael, Peter, Shane, Anthony, Jay, your calls straight ahead for William Benning.
[02:04:49.000 --> 02:05:08.000]  You can find out his writings and more at exposedfacts.org or whistleblower.org. Stay with us.
[02:05:19.000 --> 02:05:24.000]  This is the most dangerous time of year in North America when it comes to you and your family's health.
[02:05:24.000 --> 02:05:34.000]  InfoWarsLife.com is very excited to announce our biggest run yet of Silver Bullet colloidal silver exclusively available at InfoWarsLife.com.
[02:05:34.000 --> 02:05:41.000]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting edge technique that is free of toxic artificial additives.
[02:05:41.000 --> 02:05:51.000]  Now, more than ever, it's important to stock up on high quality Silver Bullet from InfoWarsLife.com and to help others during Christmas by teaching them about the powerful benefits of silver.
[02:05:51.000 --> 02:05:59.000]  Secure your Silver Bullet today at InfoWarsLife.com or by calling toll-free 888-253-3139.
[02:05:59.000 --> 02:06:08.000]  As the year is coming to a close, we all pause to reflect on what's happened in the past year. We take a step back and thank God for what we have.
[02:06:08.000 --> 02:06:17.000]  I'm David Hall, founder of Diamond Gusset Jeans. At Diamond Gusset, we are celebrating the brush fires of liberty that are spreading across this great nation.
[02:06:17.000 --> 02:06:26.000]  Another thing we are celebrating is you. Without the valued listeners of Alex Jones and our loyal customers, we wouldn't be here today.
[02:06:26.000 --> 02:06:34.000]  We offer a wonderful online shopping experience. If you receive a pair that doesn't fit, send them back and we'll exchange them at no cost to you.
[02:06:34.000 --> 02:06:44.000]  Beat the shopping rush by visiting us at gusset.com and join our email newsletter to receive some great holiday discounts.
[02:06:44.000 --> 02:06:50.000]  And paying no attention to political correctness, Diamond Gusset wants to wish you all a merry Christmas.
[02:06:50.000 --> 02:07:05.000]  Thanks for believing in our dream, the original 100% American-made Diamond Gusset Jean.
[02:07:20.000 --> 02:07:25.000]  Diamond Gusset is based on cellular science of how your body actively absorbs essential nutrients.
[02:07:25.000 --> 02:07:29.000]  Secret 12 is taken by mouth, right on the tongue, and then swallowed. No needles, no injections.
[02:07:29.000 --> 02:07:34.000]  Vitamin V12 deficiency is linked to scores of serious problems.
[02:07:34.000 --> 02:07:43.000]  And Secret 12 is a fusion of two organic, proprietary forms of vitamin V12, bringing you a true, nutraceutical quality vitamin V12.
[02:07:43.000 --> 02:07:50.000]  Secret 12. Secret 12 is an excellent Christmas gift and is tailor-made to boost your New Year's resolutions.
[02:07:50.000 --> 02:08:00.000]  Supplies of Secret 12 are very limited. Secure yours today at infowarslife.com or by calling toll-free 888-253-3139.
[02:08:00.000 --> 02:08:25.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:08:25.000 --> 02:08:30.000]  It's our final segment with top NSA whistleblower William Benning.
[02:08:30.000 --> 02:08:33.000]  They tried to charge him, they swat team rated him, you name it.
