[00:00:23.526 --> 00:00:25.907]  It's Friday, November 19th.
[02:15:09.125 --> 02:15:12.208]  But then I guess he did have one good, fair judge.
[02:15:12.208 --> 02:15:13.249]  Yeah, and a boomer.
[02:15:13.249 --> 02:15:13.909]  A 70-year-old boomer.
[02:15:13.909 --> 02:15:15.391]  So God bless the boomers today.
[02:15:15.391 --> 02:15:20.015]  I like to criticize the boomers a little bit, but that's the last of the Mohicans.
[02:15:20.015 --> 02:15:21.956]  What happens when Binger becomes a judge?
[02:15:22.737 --> 02:15:32.463]  This is what's happening, and I can tell you as a lawyer, all of the judges who truly believe in civil liberties, and truly believe in the Constitution and the American way, they're all getting old.
[02:15:32.463 --> 02:15:33.863]  They're all retiring.
[02:15:33.863 --> 02:15:36.125]  We're going to have a bunch of woke judges like A.D.A.
[02:15:36.125 --> 02:15:38.906]  Binger, because the pipeline to a judge is prosecutor to judge.
[02:15:38.906 --> 02:15:40.747]  I experienced that in my family court case.
[02:15:40.747 --> 02:15:49.572]  I had this judge that was great, and then she retired, and then all these new ones, literally finance pastoralists came in, and they like laugh at you, and literally just like cackle like witches.
[02:15:49.572 --> 02:15:50.253]  Right, so we're
[02:15:51.073 --> 02:15:57.418]  Two, three, four years away from Rittenhouse who would have been convicted by the judge.
[02:15:57.418 --> 02:15:58.819]  I know you're humble.
[02:15:58.819 --> 02:16:00.521]  I know you're like me.
[02:16:00.521 --> 02:16:13.371]  But I really want you to sit back and cogitate or meditate on the fact that those of you that have supported my broadcast and InfoWars over the years have changed the world in incredible ways.
[02:16:13.371 --> 02:16:15.693]  And now as 2021 prepares to end and 2022
[02:16:19.417 --> 02:16:20.378]  It begins to dawn.
[02:16:20.378 --> 02:16:26.762]  It is more important than ever that you realize how important you are, that you be more active than you've ever been.
[02:16:26.762 --> 02:16:28.983]  The tip of the spear is Vandock Millionaire.
[02:16:28.983 --> 02:16:33.166]  The very front lines of the fight for human liberty is M4Wars.com.
[02:16:33.166 --> 02:16:37.789]  And we can't stay on air without your support, so thank you all for your support.
[02:16:37.789 --> 02:16:41.331]  Donate to our legal defense fund to stay on the air at SaveM4Wars.com.
[02:16:42.632 --> 02:16:44.154]  That's SaveInfoWars.com.
[02:16:44.154 --> 02:16:55.408]  And continue to go to InfoWarsStore.com, where right now we've got Turbo Force, sold out for months, 10 hours clean energy, back in stock with free shipping, 40% off, and so many other great products.
[02:16:58.456 --> 02:17:05.922]  It's only been in the last 60 years that we've had satellites that can decently measure what's happening in the atmosphere.
[02:17:05.922 --> 02:17:13.067]  But if you look at all the different studies and reports about NASA and other governments and other agencies, they all disagree on what's really happening to the climate.
[02:17:13.806 --> 02:17:19.352]  The only constant, the only great truth is change is the only constant.
[02:17:19.352 --> 02:17:22.115]  So yes, climate change is totally real.
[02:17:22.115 --> 02:17:29.002]  But notice first they called it global freezing back in the 70s and 80s and then it's gonna be global warming and that didn't really happen the way they wanted it to.
[02:17:29.002 --> 02:17:31.044]  Okay, now it's just climate change.
[02:17:31.044 --> 02:17:33.047]  But did you know that man-made climate change
[02:17:33.847 --> 02:17:40.412]  is a real thing when it comes to the United Nations and the Department of Energy and Bill Gates and the UN.
[02:17:40.412 --> 02:17:43.494]  They have weather control treaties from 1979.
[02:17:43.494 --> 02:17:47.136]  Bill Gates has been manipulating the weather for a very long time.
[02:17:47.136 --> 02:17:54.161]  In fact, back in 1994, two scientists won a Nobel Prize for an idea of spraying different particles out of jet engines to control the weather.
[02:17:54.161 --> 02:17:55.922]  So yes, man-made climate change is real.
[02:18:04.617 --> 02:18:11.543]  Join Bill Gates and together we will defeat humanity.
[02:18:11.543 --> 02:18:17.548]  Then our God Satan will reward us with eternal life.
[02:18:17.548 --> 02:18:20.411]  That's basically the ethos of the globalists.
[02:18:22.119 --> 02:18:23.461]  They must first play God.
[02:18:23.461 --> 02:18:29.912]  They must first prove that they are the fittest in their social Darwinistic system.
[02:18:29.912 --> 02:18:31.314]  And in a way, they're right.
[02:18:31.314 --> 02:18:34.459]  If we let them lie to us and dumb us down and poison us...
[02:18:35.390 --> 02:18:37.352]  Destroy our children's futures.
[02:18:37.352 --> 02:18:39.033]  The evidence is overwhelming and out in the open.
[02:18:39.033 --> 02:18:42.736]  We really deserve what's happened to us.
[02:18:42.736 --> 02:18:43.617]  So I ask you now.
[02:18:43.617 --> 02:18:49.242]  Are you going to step up and expose the new world order even more?
[02:18:49.242 --> 02:18:52.064]  I know I'm pledging to step up and redouble my efforts.
[02:18:52.845 --> 02:18:56.807]  The front lines of the fight is infowars.com.
[02:18:56.807 --> 02:18:59.048]  Why do my enemies hate me so much?
[02:18:59.048 --> 02:19:00.609]  Why do the globalists hate you so much?
[02:19:00.609 --> 02:19:03.511]  Why do they hate America so much?
[02:19:03.511 --> 02:19:10.935]  Because it's an idea of freedom that their tyrannical system that they're pushing cannot coexist with.
[02:19:10.935 --> 02:19:11.875]  It's very, very simple.
[02:19:11.875 --> 02:19:13.196]  For their world government,
[02:19:13.536 --> 02:19:18.299]  They're anti-human, post-human, eugenic system to flourish.
[02:19:18.299 --> 02:19:24.523]  Freedom and liberty and due process, injustice and God-fearing systems must fail.
[02:19:24.523 --> 02:19:27.065]  So sure, you didn't start a fight with Bill Gates.
[02:19:27.065 --> 02:19:30.047]  You didn't start a fight with David Rockefeller.
[02:19:30.047 --> 02:19:31.968]  You didn't start a fight with the UN.
[02:19:31.968 --> 02:19:34.990]  They started a fight with you.
[02:19:34.990 --> 02:19:43.436]  And they're not gonna back down, and they're not gonna go away, and they're not going to ever stop their attacks until they have the fear of God put into them.
[02:19:44.196 --> 02:19:49.840]  The average person still doesn't even know about the New World Order, or about globalism, or about corporate fascism.
[02:19:49.840 --> 02:20:00.267]  And it's not until people understand that, and that we're under attack that we have any chance of beating these people.
[02:20:00.267 --> 02:20:02.909]  You're listening to the Alex Jones Show.
[02:20:20.740 --> 02:20:24.169]  You're born a-rushin' like a wooden man, too
[02:20:43.855 --> 02:20:51.640]  Well, if you're a TV viewer, we've got one of the women that says that the three men that were shot, two of them died, are heroes!
[02:20:51.640 --> 02:20:56.124]  And you were talking about this worship of pedophiles, Mike Stern was being at the heart of their whole operation.
[02:20:56.124 --> 02:20:58.305]  Let's put that kooky lady back up there.
[02:20:58.305 --> 02:21:02.688]  You were just talking about this before they even put the image up on the screen during the break about worshiping pedophiles.
[02:21:02.688 --> 02:21:03.329]  What's going on with this?
[02:21:03.860 --> 02:21:13.666]  Yeah, they can no longer deny that the left worships pedophiles because they're defending someone who is a serial child rapist.
[02:21:13.666 --> 02:21:25.114]  No, everyone says, let's just talk about this, everyone says, it's driving me insane, well, Carl Rittenhouse shouldn't have been out there that night with an assault rifle or an AR-15 or whatever you want to call it.
[02:21:25.114 --> 02:21:29.357]  And my response to that is, well, should a convicted pedophile have been out there?
[02:21:30.402 --> 02:21:34.104]  Should a domestic abuser have been out there?
[02:21:34.104 --> 02:21:40.407]  The criminal records of the three men who attacked Rittenhouse are so long that I can't even keep track.
[02:21:40.407 --> 02:21:58.155]  So if you want to claim that Kyle Rittenhouse, who by the way was the victim, should not have been out there, then before when I thought the left could be saved, and that's why I made hoax to really, I still naively believed that we could save some Democrats and they still had some pureness to their heart and that we could find common ground.
[02:21:58.155 --> 02:21:59.896]  I don't share common ground with pedophile supporters.
[02:22:00.379 --> 02:22:04.364]  How has the left, it seems, gotten so much more radical?
[02:22:04.364 --> 02:22:05.425]  They're all over the news now.
[02:22:05.425 --> 02:22:06.506]  They're all over Twitter.
[02:22:06.506 --> 02:22:08.228]  Professors saying pedophilia is good.
[02:22:08.228 --> 02:22:10.010]  It's everywhere.
[02:22:10.010 --> 02:22:15.917]  And like de Blasio is defending them, saying they were good people.
[02:22:16.437 --> 02:22:18.798]  Yeah, they call them minor attracted persons now.
[02:22:18.798 --> 02:22:25.021]  There was a professor who she, she, he, they, whatever their pronouns they want to use.
[02:22:25.021 --> 02:22:27.342]  Whatever pronouns they want to use, I don't even care about that.
[02:22:27.342 --> 02:22:30.504]  I'm more concerned with the nefarious messaging.
[02:22:30.504 --> 02:22:32.025]  And I used to believe that
[02:22:32.865 --> 02:22:37.487]  We had common ground, but there's no common ground with pedophiles, right?
[02:22:37.487 --> 02:22:39.387]  You can't have common ground with them.
[02:22:39.387 --> 02:22:44.769]  So everyone who is saying, if somebody, for example, here's what an old school leftist would say.
[02:22:44.769 --> 02:22:48.891]  An old school leftist would say, Carl Rittenhouse should not have been out there that night.
[02:22:49.511 --> 02:22:55.099]  But that pedophile who attacked him should be in prison for life as a serial pedophile.
[02:22:55.099 --> 02:22:58.163]  So this shows that this country is broken down.
[02:22:58.163 --> 02:23:00.045]  No one wants to say that, right?
[02:23:00.045 --> 02:23:03.550]  Everybody wants to say that McCall Rittenhouse should not have been out.
[02:23:03.550 --> 02:23:03.971]  Why not?
[02:23:03.971 --> 02:23:05.192]  Why shouldn't he have been out there?
[02:23:05.192 --> 02:23:06.774]  Why should he have not been out there, first of all?
[02:23:07.415 --> 02:23:13.239]  But even accepting that is true, why should a, why did this, that Gabe guy have a firearm?
[02:23:13.239 --> 02:23:15.340]  Was he an authorized user of a firearm?
[02:23:15.340 --> 02:23:20.344]  Was he allowed to legally own a firearm and to brandish a firearm and to point a firearm at a 17-year-old?
[02:23:20.344 --> 02:23:30.951]  What about how the FBI had overhead flare footage and ground footage knowing that Rittenhouse was getting shot at and they suppressed that and then MSNBC again wouldn't show any of the defense, only show the prosecution.
[02:23:30.951 --> 02:23:35.634]  Like you said, this is a high-tech lynching of the power structure defending mobs.
[02:23:36.574 --> 02:23:46.938]  And the beauty of it, and again, we often find beauty in tragedy, and what had happened to Rittenhouse, who's going to have a lot of trauma, is he's going to really struggle with this.
[02:23:46.938 --> 02:23:54.701]  Imagine that you were thrust into a combat situation, and the way that he was, and the healing that he's going to have to go through, and deal with that process.
[02:23:55.521 --> 02:24:03.103]  The beauty of this tragedy was that you can no longer claim, oh, we're in it together, right?
[02:24:03.103 --> 02:24:16.068]  My big criticism of Trump is that he's kind of a wimp, that he's a fraud, and he didn't have the character to do what needed to be done and purge the FBI of the evil, to purge the generals, the woke, weak generals, the General Milley's.
[02:24:16.068 --> 02:24:18.188]  I just think Trump didn't realize how corrupt it was.
[02:24:18.188 --> 02:24:19.009]  He said that.
[02:24:19.009 --> 02:24:22.770]  I'm not trying to overly defend Trump, but he was a lot better than what we got now.
[02:24:23.670 --> 02:24:31.874]  The people now coming up, though, realize that even McCarthy, who I don't think should be Speaker, McCarthy was going off on these people.
[02:24:31.874 --> 02:24:33.035]  There's moral clarity, right?
[02:24:33.035 --> 02:24:40.778]  That's what I tell people when I counsel people and help them through their own processes and thought processes.
[02:24:40.778 --> 02:24:45.581]  I always say one benefit of trauma is moral clarity.
[02:24:45.581 --> 02:24:47.441]  And moral clarity is beautiful.
[02:24:47.441 --> 02:24:49.002]  It's wrong to feel betrayed.
[02:24:49.002 --> 02:24:50.023]  It's wrong to have
[02:24:50.803 --> 02:24:53.704]  Unfocused mind, unfocused emotions.
[02:24:53.704 --> 02:24:55.605]  And we now have moral clarity.
[02:24:55.605 --> 02:24:56.865]  It's good versus evil.
[02:24:56.865 --> 02:25:01.967]  This is not... We have Mayor Bill de Blasio saying that this isn't over.
[02:25:01.967 --> 02:25:04.668]  He wants to incite violence against Rittenhouse.
[02:25:04.668 --> 02:25:08.409]  He's tweeting out an open call for violence, right?
[02:25:08.409 --> 02:25:14.951]  He's making open calls for violence, open incitements of violence from, again, a New York mayor.
[02:25:14.951 --> 02:25:17.992]  And by the way, if people are looking at that subway footage, I would like to
[02:25:18.652 --> 02:25:22.176]  Pigeonhole that to something that comes up where a lot of people get angry at me.
[02:25:22.176 --> 02:25:27.162]  In New York, there's footages, and this happened in Philadelphia too, where women are getting beat up.
[02:25:27.162 --> 02:25:27.362]  A lot.
[02:25:27.362 --> 02:25:28.083]  In New York.
[02:25:28.083 --> 02:25:34.810]  And then conservative men go, well if I were there, I'm a manly man, and if I were there, if you were there, okay, you'd end up like Rittenhouse.
[02:25:34.810 --> 02:25:36.332]  To defend a liberal.
[02:25:36.332 --> 02:25:36.612]  Smart.
[02:25:37.193 --> 02:25:37.713]  Smart.
[02:25:37.713 --> 02:25:44.116]  Bill de Blasio saying that if you intervene on a bus in New York, you're going to get lynched like Rittenhouse.
[02:25:44.116 --> 02:25:46.196]  Great job, manly man conservative.
[02:25:46.196 --> 02:25:52.639]  When are these people going to wake up and get rid of this white knight cuck mindset where they don't realize
[02:25:54.119 --> 02:25:57.722]  90% chance of the people hurting each other voted for it.
[02:25:57.722 --> 02:26:09.429]  But you're, I'm a manly man, conservative, and I'm going to go in there, and you end up like Kyle Rittenhouse, because you're in New York now, you have a New York judge, you have a New York jury, and good luck raising $250,000 for your criminal offense.
[02:26:09.429 --> 02:26:10.830]  All for what?
[02:26:10.830 --> 02:26:11.370]  For what?
[02:26:11.370 --> 02:26:12.311]  That's another question.
[02:26:12.311 --> 02:26:18.775]  I want to play the verdict and also take some calls, get your take on what they have to say here with Mike Cernovich on the Alex Jones Show.
[02:26:20.154 --> 02:26:23.496]  How long can New York and places like that not totally collapse?
[02:26:23.496 --> 02:26:30.221]  I mean, like Los Angeles, because it's just the insanity is a feedback loop, and they're getting crazier and crazier.
[02:26:30.221 --> 02:26:32.402]  Yeah, the answer to that is none of our business.
[02:26:32.402 --> 02:26:44.710]  The answer to that is if you're a God-fearing Christian, if you're a conservative, what they want to do, if they want to live in filth, if they want to know that if you get on the subway, you might get beat up, you might get mugged, you might get killed.
[02:26:44.710 --> 02:26:45.871]  That's none of our business.
[02:26:45.871 --> 02:26:48.993]  It's not my business what happens in San Francisco, New York, LA.
[02:26:48.993 --> 02:26:49.894]  I don't go there anymore.
[02:26:50.374 --> 02:26:50.874]  Right?
[02:26:50.874 --> 02:27:04.660]  Occasionally I have to drive through LA to get somewhere, and I know that I'm on high alert, that at any moment, you're in a war zone, and at any moment, I was, for example, went to a wedding, my wife and I are driving down the highway, we hear gunshots.
[02:27:04.660 --> 02:27:05.920]  It literally is a war zone.
[02:27:05.920 --> 02:27:09.962]  It's not a hyperbolic statement to call it a war zone.
[02:27:09.962 --> 02:27:12.583]  So me- Austin's a war zone in many areas now.
[02:27:13.411 --> 02:27:17.916]  And that's, hopefully you guys can handle that because you were here before they came here.
[02:27:17.916 --> 02:27:22.381]  So, in my view, you have, there's a moral obligation to do something here.
[02:27:22.381 --> 02:27:29.769]  And it's true, like, I don't, they're black, they're white, they're Hispanic, but it's like a zombie class is just boiling out everywhere.
[02:27:29.769 --> 02:27:30.930]  And, and, and, and what?
[02:27:30.930 --> 02:27:32.532]  Mostly, that's the thing about the racial thing.
[02:27:32.532 --> 02:27:35.175]  I was about to say, well, what did it, what did it, what happened to these people?
[02:27:35.995 --> 02:27:40.298]  That's what frustrates me is when people go, oh you're making a dog for race for LA?
[02:27:40.298 --> 02:27:43.139]  They're all white!
[02:27:43.139 --> 02:27:45.181]  They're junkies, they're all white homeless junkies.
[02:27:45.181 --> 02:27:47.942]  So I guess it's letting China ship in the fentanyl.
[02:27:47.942 --> 02:27:50.784]  Previously we had massive fentanyl, now it's doubled under Biden.
[02:27:50.784 --> 02:27:51.985]  That's all the numbers today.
[02:27:51.985 --> 02:27:54.166]  Doubling of the previous fentanyl overdoses.
[02:27:54.446 --> 02:27:54.766]  I saw 100,000.
[02:27:54.766 --> 02:28:01.351]  It's the first time that there's been 100,000 overdose deaths in history, is what I saw.
[02:28:01.351 --> 02:28:05.754]  And the numbers are so huge that I have to triple check it and make sure that it's reliable.
[02:28:05.754 --> 02:28:07.475]  Over 100,000 people dying.
[02:28:07.475 --> 02:28:13.559]  So my answer to that is, if you are a conservative, if you believe in goodness, if you don't take the side of people who defend Paddle Falls,
[02:28:14.059 --> 02:28:16.860]  Whatever happens in New York, mind your own business.
[02:28:16.860 --> 02:28:25.945]  If you're there because you have work or you're a tourist, and there's something happened on a train, you're going to intervene when Mayor DeBille de Blasio comes out in favor of lynching underage people?
[02:28:25.945 --> 02:28:27.345]  Get it together, conservatives!
[02:28:27.345 --> 02:28:27.785]  Quit!
[02:28:27.785 --> 02:28:35.309]  Get this crap out of your mind, where you have Captain Save-a-Rotten Society Complex for the people who hate you.
[02:28:35.309 --> 02:28:41.392]  You need to side and defend and support the people who are on your side, and if they want- But you're not blaming Rittenhouse for going to defend his dad.
[02:28:42.032 --> 02:28:46.735]  I'm not blaming him, but if he were my son, I would say, get your dad over here.
[02:28:46.735 --> 02:28:49.156]  If he were my son, you know what I would have told him?
[02:28:49.156 --> 02:28:52.658]  I would say, we live in a rotten, corrupt society.
[02:28:52.658 --> 02:28:56.281]  You need to just get your mind... Hold on, hold on, we're going to break, we're going to break.
[02:28:56.281 --> 02:29:04.665]  If you're concerned about the... There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[02:29:04.665 --> 02:29:06.647]  And look, almost all of them work.
[02:29:07.307 --> 02:29:10.589]  But they're toxic and they've got incredible downsides.
[02:29:10.589 --> 02:29:15.832]  Horrible crashes and, again, so many toxins in them.
[02:29:15.832 --> 02:29:27.918]  All of the nootropic products that we sell at mfolwarestore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[02:29:27.918 --> 02:29:30.900]  And right now, our strongest product, the three nootropics we have,
[02:29:31.912 --> 02:29:40.577]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock and in FortWorthStore.com.
[02:29:40.577 --> 02:29:44.039]  TurboForce has been sold out for more than six months.
[02:29:44.039 --> 02:29:46.900]  It's back in stock with free shipping, 40% off.
[02:29:46.900 --> 02:29:51.123]  It is 10 hours of clean energy.
[02:29:52.844 --> 02:30:10.545]  The average person on the face of this incredible planet is still unaware that there's a war between free individuals and nation states on one side and the globalists on the other who are literally trying to create a post-human world.
[02:30:11.205 --> 02:30:18.992]  For the United States of Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, fascist world government.
[02:30:18.992 --> 02:30:26.218]  That's why they launched their Great Reset, and their program after collapsing us, of Build Back Better.
[02:30:26.218 --> 02:30:32.063]  This is nothing more than a top-down, vertical consolidation of the world economy.
[02:30:32.063 --> 02:30:35.606]  And because they couldn't take our guns, and because we wouldn't bow, because the left
[02:30:36.446 --> 02:30:38.207]  I know you're humble.
[02:30:38.207 --> 02:30:40.027]  I know you're like me.
[02:30:40.027 --> 02:30:43.309]  But I really want you to sit back and kajijay, or meditate,
[02:31:05.686 --> 02:31:13.250]  On the fact that those of you that have supported my broadcast and InfoWars over the years have changed the world in incredible ways.
[02:31:13.250 --> 02:31:26.678]  And now, as 2021 prepares to end, and 2022 begins to dawn, it is more important than ever that you realize how important you are and that you be more active than you've ever been.
[02:31:26.678 --> 02:31:28.899]  The tip of the spear is Band.Billion.
[02:31:28.899 --> 02:31:32.021]  The very front lines of the fight for human liberty is InfoWars.com.
[02:31:33.047 --> 02:31:37.688]  And we can't stay on air without your support, so thank you all for your support.
[02:31:37.688 --> 02:31:42.530]  Donate to our legal defense fund to stay on the air at SaveM4Wars.com.
[02:31:42.530 --> 02:31:44.070]  That's SaveM4Wars.com.
[02:31:44.070 --> 02:31:55.314]  And continue to go to M4WarsStore.com, where right now, we've got Turbo Force, sold out for months, 10 hours of energy, back in stock with free shipping, 40% off, and so many other great products.
[02:31:57.125 --> 02:32:00.667]  UN-run contact tracers aren't coming, they're here.
[02:32:00.667 --> 02:32:15.397]  All over the world, from Australia to the United States, from Canada to Germany, these tyrants are tracking everything you do, everywhere you go, and then coming to your house and threatening, in some cases actually, taking people away into the night to their facilities.
[02:32:15.397 --> 02:32:23.662]  And they're planning in the next year to expand their shield process, where they come and take, quote, healthy people away and put them in facilities for their safety.
[02:32:23.962 --> 02:32:25.784]  This is nothing less than martial law.
[02:32:25.784 --> 02:32:33.590]  And one big thing you can do to fight back is to get high-quality Faraday cages, many of which are made here in America and are very compliant, meaning U.S.
[02:32:33.590 --> 02:32:36.933]  government military grade, at InfowarsStore.com.
[02:32:36.933 --> 02:32:42.718]  We have the entire line of Silent Pocket ready to ship to you when you visit InfowarsStore.com.
[02:32:42.718 --> 02:32:49.844]  Again, we have big backpacks, we have special dry bags, we've got them for cell phones, we've got them for laptops, we've got them for iPads.
[02:32:49.844 --> 02:32:50.585]  It's all there.
[02:32:51.005 --> 02:32:52.585]  You're listening to the Alex Jones Show.
[02:32:52.585 --> 02:32:53.406]  The Alex Jones Show.
[02:32:53.406 --> 02:32:55.826]  Because there is a war on, for your mind.
[02:33:28.424 --> 02:33:31.247]  Yes sir, that looks good.
[02:33:31.247 --> 02:33:35.830]  You know, I rarely smoke cigars, but I know Mike Cernovich has always got nice ones.
[02:33:35.830 --> 02:33:53.786]  We tried to meet in Phoenix and smoke one back during the very first days of the contested election, and we had a leftist start a fight with us, and one of Cernovich's friends, who was a professional boxer, so it was a quite famous one actually, and we also had one of my
[02:33:54.626 --> 02:34:10.131]  A UFC former champion was one of my bodyguards, and this leftist looked like a big, giant, fat version of Rosenbaum, seriously, kept starting fights, and then the people that I guess owned the place were like, yeah, maybe you should leave.
[02:34:10.131 --> 02:34:11.492]  They kind of agreed with it.
[02:34:11.492 --> 02:34:12.572]  And that goes to what you're saying.
[02:34:12.572 --> 02:34:12.792]  Good.
[02:34:13.152 --> 02:34:22.779]  Put a sign up saying you like pedophilia, put a sign up saying you like world government, put a sign up saying you like open borders, put a sign up you're against self-defense, so we won't come in your stinking store.
[02:34:22.779 --> 02:34:28.963]  Instead, the left won't do that, but they're always trying to suppress us and debank us and deplatform us, and I'm sick of these bullies.
[02:34:29.775 --> 02:34:32.376]  Yeah, so I was gonna talk about that.
[02:34:32.376 --> 02:34:33.396]  We're bringing a couple cigars.
[02:34:33.396 --> 02:34:34.897]  We got there.
[02:34:34.897 --> 02:34:36.098]  Everybody was excited.
[02:34:36.098 --> 02:34:37.238]  We're sitting down to hang out.
[02:34:37.238 --> 02:34:40.579]  There was this meathead and I don't, he was like a big meatball.
[02:34:40.579 --> 02:34:45.301]  He's one of those guys who did too much trend but didn't ever diet.
[02:34:45.301 --> 02:34:48.582]  So he's a big blockhead meathead who thinks he plays in the NFL.
[02:34:48.582 --> 02:34:49.683]  He even had that big fat
[02:34:50.083 --> 02:34:51.704]  Neck roll on his head.
[02:34:51.704 --> 02:34:58.507]  And right when I was in there, I said, this guy's going to be trouble because he was sitting there in the back and I could tell he was a very angry person.
[02:34:58.507 --> 02:35:01.428]  And as we're sitting there, he looked like a giant version of Rosenbaum.
[02:35:01.428 --> 02:35:04.349]  He was a meatball, looked like a meatball, but he went to the gym.
[02:35:04.349 --> 02:35:05.510]  So he had that.
[02:35:05.510 --> 02:35:06.490]  I can barely move around.
[02:35:06.490 --> 02:35:07.330]  I'm such a big guy.
[02:35:07.330 --> 02:35:09.451]  No, you just don't like to.
[02:35:09.451 --> 02:35:10.812]  You like to eat too much, right?
[02:35:10.812 --> 02:35:11.172]  Meatball.
[02:35:13.513 --> 02:35:18.017]  I knew that there was going to be a bad vibe, so I sit there and I look and he's back in the corner like this.
[02:35:18.017 --> 02:35:20.318]  You know, like a demon.
[02:35:20.318 --> 02:35:21.019]  Yeah.
[02:35:21.019 --> 02:35:22.700]  And then we're just talking normally.
[02:35:22.700 --> 02:35:28.104]  He goes, meatball goes, I pay more of the taxes than anybody in here.
[02:35:29.165 --> 02:35:32.087]  And Alex turns and he's like, OK man, you know, that's cool.
[02:35:32.087 --> 02:35:33.949]  We're all just be cool, man.
[02:35:33.949 --> 02:35:36.650]  He goes, well, I pay more taxes than anyone in here.
[02:35:36.650 --> 02:35:38.051]  And OK, man, be cool.
[02:35:38.051 --> 02:35:38.472]  Be cool.
[02:35:38.472 --> 02:35:38.732]  Right.
[02:35:38.732 --> 02:35:39.432]  We don't care.
[02:35:39.432 --> 02:35:40.233]  Good for you.
[02:35:40.233 --> 02:35:40.473]  Right.
[02:35:40.473 --> 02:35:41.454]  I said, congratulations.
[02:35:41.454 --> 02:35:42.995]  I'm glad you're successful.
[02:35:42.995 --> 02:35:45.036]  Completely about deescalating the situation.
[02:35:45.036 --> 02:35:47.198]  What's crazy is we've got a bunch of killers with us.
[02:35:47.738 --> 02:35:48.639]  This guy's an idiot.
[02:35:48.639 --> 02:35:51.781]  Well, that's why I de-escalate because I don't want to end up like Rittenhouse.
[02:35:51.781 --> 02:35:54.023]  I know what would have happened to this guy.
[02:35:54.023 --> 02:35:56.886]  And in my own mind, I always move to de-escalation.
[02:35:56.886 --> 02:36:08.074]  What I always tell people is that you should never be rude to people in real life, but you should be able to handle business if it arises.
[02:36:08.074 --> 02:36:14.419]  The meatball then gets up and you hear all these chairs moving around like showdown at the OK Corral.
[02:36:15.490 --> 02:36:18.754]  Our guys are standing up and I'm thinking we gotta get out of here, man, because...
[02:36:19.952 --> 02:36:22.334]  Meatball is completely unstable.
[02:36:22.334 --> 02:36:24.395]  Meatball's about to get hurt really badly.
[02:36:24.395 --> 02:36:26.937]  And then we'll get framed, of course, because that's what happens.
[02:36:26.937 --> 02:36:28.157]  They frame us.
[02:36:28.157 --> 02:36:29.858]  So we're just sitting there trying to have a cigar.
[02:36:29.858 --> 02:36:31.740]  You're about to order dinner.
[02:36:31.740 --> 02:36:34.021]  We're here with the great Amanda Milius.
[02:36:34.021 --> 02:36:36.623]  She had made the Plot Against the President movie.
[02:36:36.623 --> 02:36:37.623]  So we're all there.
[02:36:37.623 --> 02:36:38.344]  Good vibes.
[02:36:38.344 --> 02:36:39.945]  Everybody's chill.
[02:36:39.945 --> 02:36:44.748]  But I know in the back of my head, this Meatball guy is the aggressor.
[02:36:44.748 --> 02:36:47.470]  Legally, we would be in the right.
[02:36:47.470 --> 02:36:48.991]  But we're going to get framed for this anyway.
[02:36:49.591 --> 02:36:52.997]  And then the owner said, well, maybe you people should just close out your tab.
[02:36:52.997 --> 02:36:54.239]  And he kept starting fights.
[02:36:54.239 --> 02:36:57.324]  He kept hitting on our face, threatening to kick our ass over and over.
[02:36:57.324 --> 02:36:59.087]  And I'm like, sir, it's OK.
[02:36:59.087 --> 02:37:00.810]  And he just kept like a demon laughing.
[02:37:02.165 --> 02:37:03.186]  I don't know.
[02:37:24.203 --> 02:37:25.684]  You have no idea!
[02:37:25.684 --> 02:37:48.303]  There's five people here that on their worst day... I mean we had armed security people being very nice and then one of the security guys, he's actually friends with Joe Rogan, he's a famous UFC guy, he's also on the police department in Phoenix, he wanted to come out and be with security and then there was a well-known former professional boxer that was a fan that was there who he kept starting a fight with that guy and it's like with a heavyweight boxer and I'm just like this dude's crazy!
[02:37:48.303 --> 02:37:49.985]  He couldn't have found a meaner group to mess with.
[02:37:50.245 --> 02:37:52.487]  I know, but we're the most friendly people in the world.
[02:37:52.487 --> 02:37:59.093]  We have to be wise like serpents, gentle like doves, and that's my... I always say... What do you think his goal was?
[02:37:59.093 --> 02:38:00.594]  His goal... To get his ass beat?
[02:38:00.594 --> 02:38:07.661]  Well, he was an angry human being, and he wanted to find an outlet for his rage, and in his own mind, he thinks...
[02:38:08.121 --> 02:38:09.042]  I think so.
[02:38:24.031 --> 02:38:45.570]  If I'm saying this, that tells you how whack the guy was, where they never really did any real sports, they never did anything athletic, they get a little bit of muscle mass on them, and then in some case they become meatballs because they keep eating because they read on a power lifting message board that having a 50 inch gut helps with them have a better squat, leverages on squats, and then they think that they're a threat, right?
[02:38:45.570 --> 02:38:46.872]  And they don't realize that
[02:38:48.278 --> 02:38:51.220]  You know, meatball would be gassed in eight seconds on the ground.
[02:38:51.220 --> 02:38:53.842]  But isn't that an example of the left in general?
[02:38:53.842 --> 02:38:55.183]  Like, they've already got control.
[02:38:55.183 --> 02:38:59.605]  Why are they pushing and messing with us and starting fights and bullying constantly?
[02:38:59.605 --> 02:39:01.187]  There he is.
