[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[02:06:18.000 --> 02:06:42.000]  I'm Alex Jones, your host infowars.com is the main site, newswars.com is the other big site. It's got a lot of news on it that isn't on infowars.com, a lot of big exclusives.
[02:06:42.000 --> 02:06:53.000]  It's a very important site. Please, listeners, help get that out to everybody. It is growing fast, but not fast enough. And of course, we have prisonplanet.com as well, a mirror of infowars.
[02:06:53.000 --> 02:07:07.000]  But not a true mirror. It has some original news and information on it as well. I know you're away. You're involved. No more than I do in most cases. You've got to get the URL out. You've got to get infowars.com forward slash show out.
[02:07:07.000 --> 02:07:18.000]  You've got to plug that local radio affiliate so people know it's a war. We've got to reach more people. The globalists have our children in the public schools, in the colleges, they're brainwashing everybody through mainstream media.
[02:07:18.000 --> 02:07:28.000]  Folks are starting to wake up to that, but not fully. We're in the thick of the fight, so please spread the word and keep doing it because you are the resistance.
[02:07:28.000 --> 02:07:45.000]  Now, you've seen over in the UK, they have introduced several bills in the House of Commons the last few years to ban butcher knives and other large knives and to make you get a license to own large cutlery.
[02:07:45.000 --> 02:07:58.000]  Because stabbings, since they banned guns, what was it, 18 years ago, have gone up multi-thousand times. Muggings have exploded. People using bats to attack is just insane.
[02:07:58.000 --> 02:08:05.000]  London has more muggings in it than any major city in the world. Chicago has more shootings than the other city in the world.
[02:08:05.000 --> 02:08:17.000]  Chicago has more shootings and deaths of citizens than any country combined. That's citizens killing citizens. North Korea and other places, of course, are the biggest mass murderers, state-sponsored killers of people.
[02:08:17.000 --> 02:08:32.000]  But when you look at it, now they're trying to take even the hunting club guns, where people have guns at a hunting club, they go there, part of the hunting club, the local police have to be in attendance, you have to pay them to be there, then they allow you to shoot and they allow you to hunt.
[02:08:32.000 --> 02:08:41.000]  Last week, the UK began to move to ban that as well. Now, the next thing they want to do is ban body armor. A lot of Europe's already done that.
[02:08:41.000 --> 02:08:53.000]  Now, here in the United States, they're moving in multiple cities to not let you have gates on your apartment or your house or your fence around your apartments.
[02:08:53.000 --> 02:09:02.000]  They claim it makes people not good neighbors. No, it gets rid of your privacy, so it just goes on and on.
[02:09:02.000 --> 02:09:14.000]  Now we have this. Controversial bill would force business owners to take down bulletproof glass. That's Fox 29.
[02:09:14.000 --> 02:09:27.000]  Controversial bill, this is in Philadelphia, Pennsylvania, is currently working its way through City Hall, designed to regulate stop-and-go liquor stores, but it turns out it's everybody.
[02:09:27.000 --> 02:09:37.000]  On part of the bill, it would force business owners to take down bulletproof glass, because liquor stores don't get robbed enough, inside their stores, but at what cost is their safety?
[02:09:37.000 --> 02:09:49.000]  Why not have cops have to take off their body armor? Makes it harder for George Soros' Black Lives Matter connected groups to kill him, especially all these black cops getting shot for no reason.
[02:09:49.000 --> 02:10:02.000]  Broad deli, that's a deli, sits on the corner of the 2,200 block of North Broad, inside a wall of bulletproof glass separating customers from workers.
[02:10:02.000 --> 02:10:12.000]  The most important thing is safety, and the public's safety, owner Rich Kim said, I mean, how many businesses you walk up to, and it's bulletproof glass or whatever, to pay for gas or whatever,
[02:10:12.000 --> 02:10:19.000]  and that'll be the one place when you're in some city at 2 o'clock in the morning, you need gas, oh, they're open, and that's the one that's got bulletproof glass.
[02:10:19.000 --> 02:10:29.000]  Because after you get robbed 5, 10, 15 times, maybe shot, you put it in. You think they want to put that stuff in when it's thousands of dollars per pane?
[02:10:29.000 --> 02:10:38.000]  I've even looked at a bulletproof glass here, and we put some of it in. I mean, folks, to do the whole building, we're talking half million dollars.
[02:10:38.000 --> 02:10:44.000]  Bulletproof glass, folks, very expensive. Did they just want to put bulletproof glass in to have fun?
[02:10:44.000 --> 02:10:50.000]  Rich Kim's family has run the deli, which sells soda, snacks, meals, and beer by the time of 20 years.
[02:10:50.000 --> 02:10:59.000]  He says the glass went up after a shooting and claims it saved his mother-in-law from a knife attack. Now, he may be forced to take some of the barrier down.
[02:10:59.000 --> 02:11:05.000]  If the glass comes down, the crime rate will rise, and there will be lots of dead bodies. Yeah, because you're a soft target.
[02:11:05.000 --> 02:11:12.000]  How many times have we seen somebody pistol-whipped or beat up behind the counter because they don't have glass up around them?
[02:11:12.000 --> 02:11:19.000]  A bill moving through the city council reads, no establishment shall erect or maintain a physical barrier.
[02:11:19.000 --> 02:11:27.000]  No new condos in Austin, where you'll have like 10, 20, 30 units stand alone, have gates.
[02:11:27.000 --> 02:11:33.000]  And I've had friends that had them before, and they'll have nice good gates, even fences around their house, and it'll be in the lease.
[02:11:33.000 --> 02:11:38.000]  No locks on your gates. I mean, they do not want you to have this.
[02:11:38.000 --> 02:11:44.000]  It's called the stop and go bill, and it's being offered by city councilwoman Cindy Vass.
[02:11:44.000 --> 02:11:51.000]  Right now, the plexiglass has to come down, she said. Makes it too easy for folks to live in peace and not be mugged.
[02:11:51.000 --> 02:11:58.000]  She wants to put some controls on these small stores that she says, shall booze, very little food, and are the source of trouble in the district.
[02:11:58.000 --> 02:12:09.000]  Absolutely, they're the source of all the trouble. It's not enough of a food desert, and many of these inner-city areas now run those off immediately.
[02:12:09.000 --> 02:12:16.000]  Rich Kim resents the charge, stores like his attract looters, and argues calls to police are often met with slow response.
[02:12:16.000 --> 02:12:19.000]  Yeah, because we've got all these no-go zones now.
[02:12:19.000 --> 02:12:25.000]  Well, here's what I tell you. How about that lady takes the screens off her doors in the summer so the mosquitoes can come in?
[02:12:25.000 --> 02:12:29.000]  And how about she leaves her front door locked or just remove the lock altogether?
[02:12:29.000 --> 02:12:35.000]  In fact, how about this city councilwoman gets rid of her front doors?
[02:12:35.000 --> 02:12:44.000]  Think about that. This city councilwoman, and she's got support, they're saying it may pass, wants them in Philadelphia to take glass.
[02:12:44.000 --> 02:12:51.000]  Not just bulletproof glass, but if you actually read it, it says get rid of glass, period, around that late night gas station.
[02:12:51.000 --> 02:12:59.000]  Can't have that one little person, that one little box out there in the middle of the night, all by themselves in the middle of Philadelphia, so folks can pull in and get their gas.
[02:12:59.000 --> 02:13:08.000]  God forbid that person can't just be shot anytime some meth head or some drunk crackhead wants to kill him. How dare them?
[02:13:08.000 --> 02:13:12.000]  So I agree with the city councilwoman. She needs to remove the doors off her house.
[02:13:12.000 --> 02:13:16.000]  She needs to remove any police that are inside the city council for her protection.
[02:13:16.000 --> 02:13:22.000]  She's got any firearms, she should turn them over, and she again should remove the locks on the doors of her car.
[02:13:22.000 --> 02:13:29.000]  Because you should just sit there with your door open and have no protection, even in the worst areas. I agree with her.
[02:13:29.000 --> 02:13:33.000]  That makes total sense, and I think submarines shouldn't have doors either.
[02:13:33.000 --> 02:13:37.000]  They should have open windows on them, because that's more inviting.
[02:13:37.000 --> 02:13:40.000]  You understand? I mean, you can't have doors.
[02:13:40.000 --> 02:13:45.000]  See, the globalists say we can't have a wall or can't have a border or can't stop anybody from coming in,
[02:13:45.000 --> 02:13:50.000]  but all those other companies, they can have borders, they can have walls, they can have prisons.
[02:13:50.000 --> 02:13:55.000]  Let's see, we can't, because we're being taken over by the exploitive globalist,
[02:13:55.000 --> 02:14:02.000]  and it's got a spirit of exploiting the people all the way down to the point that Chicago and Philadelphia
[02:14:02.000 --> 02:14:09.000]  and all these other Baltimore, Maryland are no-go zones for cops, because they'll get shot at and kill if they try to respond.
[02:14:09.000 --> 02:14:14.000]  And so then you have the giant murder rates in those areas, because the criminals know they're above the law
[02:14:14.000 --> 02:14:20.000]  and get away with anything they want, just like Mexico has strong, hardworking, tough people.
[02:14:20.000 --> 02:14:25.000]  They're not cowards out of Mexico, but they never got out of them from under colonialism,
[02:14:25.000 --> 02:14:29.000]  and they don't have any guns unless they've got them illegally to protect themselves,
[02:14:29.000 --> 02:14:34.000]  so they've got the highest rate of murders in the world, even though on average,
[02:14:34.000 --> 02:14:39.000]  Mexican isn't involved in a high level of crime, including here, very low levels.
[02:14:39.000 --> 02:14:46.000]  There are criminal groups that feed on them, like a tiger feeds on a deer,
[02:14:46.000 --> 02:14:51.000]  or something else smaller in the forest of India, or in the jungle.
[02:14:51.000 --> 02:14:58.000]  You've got criminal groups feeding on the little farmer Mexicans and all the rest of them, because they can't have guns.
[02:14:58.000 --> 02:15:05.000]  And it's the same thing in all these other Democrat globalist-run cesspools like New York, Chicago, Philadelphia,
[02:15:05.000 --> 02:15:11.000]  the list goes on and on, draconian gun bills banning all the guns, then there's crime everywhere,
[02:15:11.000 --> 02:15:16.000]  and they say you can't have plexiglass, you can't have anything.
[02:15:16.000 --> 02:15:19.000]  If we want to stab you, if we want to kill you, it's going to happen,
[02:15:19.000 --> 02:15:24.000]  because we don't like your businesses, you're exploitive, because you're selling beer.
[02:15:24.000 --> 02:15:28.000]  It's your fault you sell beer that people are robbing and killing and stealing.
[02:15:28.000 --> 02:15:34.000]  That's what you call not taking responsibility, and that's what you call being a black racist Democrat woman
[02:15:34.000 --> 02:15:40.000]  that doesn't like Asians and others that dare come into a neighborhood that's dangerous and set up a business,
[02:15:40.000 --> 02:15:43.000]  so you claim they're exploitive, so most folks are leaving,
[02:15:43.000 --> 02:15:48.000]  because there's not even any type of food or stores anywhere, and then you bitch about that some more,
[02:15:48.000 --> 02:15:54.000]  because that's all you do globalist, is bitch and bitch and bitch and bitch.
[02:15:54.000 --> 02:16:01.000]  Fully cooked, ready to eat bacon, I'm talking thick meaty, center cut, presidential bacon, savory and delicious.
[02:16:01.000 --> 02:16:04.000]  I buy some, I use some, I store some, awesome.
[02:16:04.000 --> 02:16:09.000]  No refrigeration needed with a 10-year shelf life, NASA PAC technology.
[02:16:09.000 --> 02:16:15.000]  Bacon, fully cooked, fully hydrated, ready to eat right from the PAC bacon, or warm and served.
[02:16:15.000 --> 02:16:19.000]  Life saving, ready to eat bacon, 10-year shelf life bacon.
[02:16:19.000 --> 02:16:24.000]  Ships free at fullycookedbacon.com, fullycookedbacon.com.
[02:16:24.000 --> 02:16:27.000]  This is Dan Pillon. Do you owe the IRS money you can't pay?
[02:16:27.000 --> 02:16:31.000]  Are tax debts crippling you? I've defended people from the IRS for over 30 years.
[02:16:31.000 --> 02:16:34.000]  I've helped thousands, and I can help you too.
[02:16:34.000 --> 02:16:38.000]  I wrote the book on IRS settlement, and I'm telling you, there's no such thing as a hopeless case.
[02:16:38.000 --> 02:16:42.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[02:16:42.000 --> 02:16:46.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[02:16:46.000 --> 02:16:53.000]  Call 800-34-NO-TAX, that's 800-34-NO-TAX, or my website, danpillard.com.
[02:16:53.000 --> 02:16:59.000]  Have you ever lost your power and wanted to simply flip a switch to get the lights back on?
[02:16:59.000 --> 02:17:04.000]  If so, pay close attention because huge discounts are now available in solar generators.
[02:17:04.000 --> 02:17:07.000]  Perfect for backup power outages and emergencies.
[02:17:07.000 --> 02:17:12.000]  Portable solar generators provide life-saving electrical power when you need it most.
[02:17:12.000 --> 02:17:17.000]  And, unlike gas generators, a solar generator runs quietly,
[02:17:17.000 --> 02:17:22.000]  emits no dangerous fumes, and produces an endless supply of electricity from the sun.
[02:17:22.000 --> 02:17:26.000]  It's like having an electric power plant running secretly in your own home.
[02:17:26.000 --> 02:17:33.000]  Right now, get a $5,000 solar generator for just $995 while supplies last.
[02:17:33.000 --> 02:17:36.000]  Go to mysolarbackup.com to learn more.
[02:17:36.000 --> 02:17:39.000]  That's mysolarbackup.com.
[02:17:39.000 --> 02:17:44.000]  GCN listeners use coupon code GCN at checkout for this special offer.
[02:17:44.000 --> 02:17:48.000]  Mysolarbackup.com, use coupon code GCN.
[02:17:48.000 --> 02:17:55.000]  EMP protection available at an additional charge.
[02:17:55.000 --> 02:17:59.000]  America is an information-based civil war.
[02:17:59.000 --> 02:18:02.000]  That's why now, more than ever, we've got to hit the streets of America
[02:18:02.000 --> 02:18:06.000]  and let these globalists scum know we're not backing down from their bullying.
[02:18:06.000 --> 02:18:12.000]  We're only intensifying our operations in the face of their wannabe dictatorship.
[02:18:12.000 --> 02:18:15.000]  Being a conservative, a nationalist, a libertarian,
[02:18:15.000 --> 02:18:20.000]  or simply a free speech advocate is truly the counterculture.
[02:18:20.000 --> 02:18:23.000]  The real punk rock is being a patriot,
[02:18:23.000 --> 02:18:29.000]  who's pro-America, pro-capitalism, and pro-freedom, who at the same time is tolerant.
[02:18:29.000 --> 02:18:34.000]  Modern liberalism is a counterfeit of Thomas Jefferson's classical liberalism.
[02:18:34.000 --> 02:18:36.000]  They are the anti-liberalists.
[02:18:36.000 --> 02:18:40.000]  To defend free speech, meet like-minded friends, and promote freedom worldwide.
[02:18:40.000 --> 02:18:45.000]  We've got more than 60 original designs of high-quality t-shirts for men and women,
[02:18:45.000 --> 02:18:49.000]  as well as more Patriot Feral at infowarstore.com.
[02:18:49.000 --> 02:19:11.000]  Be part of the Second American Revolution at infowarstore.com.
[02:19:20.000 --> 02:19:25.000]  With the rapid speed of life, we need to be able to keep up the pace.
[02:19:25.000 --> 02:19:29.000]  Our natural mixture harnesses the power of 10 known ingredients
[02:19:29.000 --> 02:19:33.000]  to let your body relax and get the sleep you need.
[02:19:33.000 --> 02:19:35.000]  Wake up refreshed and take on the day.
[02:19:35.000 --> 02:19:39.000]  Info War's Life wants to bring you a sleep support formula
[02:19:39.000 --> 02:19:43.000]  that goes above and beyond other leading brands at an affordable price.
[02:19:43.000 --> 02:19:47.000]  Get the sleep you deserve and experience the power of knockout.
[02:19:47.000 --> 02:19:51.000]  Get over to infowarslife.com and say goodbye to fatigue.
[02:19:51.000 --> 02:20:20.000]  That's infowarslife.com.
[02:20:22.000 --> 02:20:25.000]  The Alex Jones Show.
[02:20:25.000 --> 02:20:29.000]  Because there is a war on for your mind.
[02:20:35.000 --> 02:20:38.000]  Ladies and gentlemen, your calls are coming up after this next guest leaves us,
[02:20:38.000 --> 02:20:39.000]  but this is important.
[02:20:39.000 --> 02:20:41.000]  Here's the article, Far Left Mob.
[02:20:41.000 --> 02:20:45.000]  Shuts down Lucian Wintrich, speech at UConn.
[02:20:45.000 --> 02:20:47.000]  Students riot, Lucian arrested.
[02:20:47.000 --> 02:20:51.000]  And this is a dangerous phenomenon we're noticing,
[02:20:51.000 --> 02:20:56.000]  where they attack you, they shove you, they grab your speech, they run away,
[02:20:56.000 --> 02:20:59.000]  you try to get it back, or you even defend yourself.
[02:20:59.000 --> 02:21:01.000]  We've got a reporters attack.
[02:21:01.000 --> 02:21:05.000]  We've had their car windows knocked out.
[02:21:05.000 --> 02:21:07.000]  Millie Weaver, Gavin Winch.
[02:21:07.000 --> 02:21:10.000]  I've been attacked.
[02:21:10.000 --> 02:21:11.000]  Owen Shroyer's been attacked.
[02:21:11.000 --> 02:21:12.000]  Rob Dooh's been attacked.
[02:21:12.000 --> 02:21:15.000]  I mean, you see it all the time.
[02:21:15.000 --> 02:21:17.000]  And then they'll run over the cops and say,
[02:21:17.000 --> 02:21:21.000]  you attack them, and if it's a university, they'll arrest you.
[02:21:21.000 --> 02:21:24.000]  So the mainstream media has been spinning this,
[02:21:24.000 --> 02:21:27.000]  because they're desperate to act like we're the violent ones.
[02:21:27.000 --> 02:21:29.000]  And again, we all know it's the left.
[02:21:29.000 --> 02:21:30.000]  We all know it's the globalist.
[02:21:30.000 --> 02:21:32.000]  We know they're the ones at the universities everywhere saying,
[02:21:32.000 --> 02:21:34.000]  don't let people speak and shut them down,
[02:21:34.000 --> 02:21:36.000]  and it's our right to attack people.
[02:21:36.000 --> 02:21:37.000]  Look at the SJW cop.
[02:21:37.000 --> 02:21:41.000]  How dare you run after a woman that assaulted you?
[02:21:41.000 --> 02:21:45.000]  So we have this evil person, and we've seen folks out
[02:21:45.000 --> 02:21:48.000]  at the Berkeley events, facing five to 10 years in prison.
[02:21:48.000 --> 02:21:51.000]  Look, she grabs his paper.
[02:21:51.000 --> 02:21:52.000]  He wants his property back.
[02:21:52.000 --> 02:21:54.000]  That's what he's grabbing for.
[02:21:54.000 --> 02:21:57.000]  And they all grab him, because she's allowed to come up
[02:21:57.000 --> 02:21:59.000]  and push him and grab his stuff.
[02:21:59.000 --> 02:22:01.000]  But he's not allowed to get his property back,
[02:22:01.000 --> 02:22:03.000]  kind of like Philadelphia, where they want to pass a law,
[02:22:03.000 --> 02:22:09.000]  that you can't have any plexiglass at your gas station
[02:22:09.000 --> 02:22:10.000]  or your deli.
[02:22:10.000 --> 02:22:13.000]  You've got to be right there serving across the counter
[02:22:13.000 --> 02:22:15.000]  so you can be mugged properly by the left.
[02:22:15.000 --> 02:22:17.000]  The left wants your guns.
[02:22:17.000 --> 02:22:18.000]  They want your speech.
[02:22:18.000 --> 02:22:19.000]  They want your kids.
[02:22:19.000 --> 02:22:20.000]  They want it all.
[02:22:20.000 --> 02:22:24.000]  So there's an article on GatewayPunet.com about this.
[02:22:24.000 --> 02:22:27.000]  Lucian Wintrich, I appreciate you joining us.
[02:22:27.000 --> 02:22:30.000]  Fill this in for us, and we'll roll some of this video again
[02:22:30.000 --> 02:22:31.000]  with audio for folks.
[02:22:31.000 --> 02:22:34.000]  But again, it looks like to me, you had been robbed
[02:22:34.000 --> 02:22:36.000]  under common law and local law, and you name it.
[02:22:36.000 --> 02:22:37.000]  You didn't punch her.
[02:22:37.000 --> 02:22:38.000]  You didn't hit her.
[02:22:38.000 --> 02:22:40.000]  You just helped me grab her backpack and then
[02:22:40.000 --> 02:22:43.000]  tried to get your paperwork in your hand, your speech.
[02:22:43.000 --> 02:22:45.000]  She tried to literally, metaphysically,
[02:22:45.000 --> 02:22:48.000]  but also physically, both archetypically and physically,
[02:22:48.000 --> 02:22:50.000]  steal your free speech away.
[02:22:50.000 --> 02:22:51.000]  Incredible.
[02:22:51.000 --> 02:22:54.000]  Thanks for having me, Alex.
[02:22:54.000 --> 02:22:59.000]  I took reasonable action to regain my property.
[02:22:59.000 --> 02:23:06.000]  And some of you who are just trodden over speakers,
[02:23:06.000 --> 02:23:10.000]  we can't even regain our property without getting arrested.
[02:23:10.000 --> 02:23:15.000]  They want us to stand there while all these violent left thugs
[02:23:15.000 --> 02:23:19.000]  mug us and not do a single thing.
[02:23:19.000 --> 02:23:22.000]  And this woman, it's being reported that she was a student.
[02:23:22.000 --> 02:23:23.000]  She wasn't a student.
[02:23:23.000 --> 02:23:29.000]  This is a late 30s, early 40s woman who's a college advisor
[02:23:29.000 --> 02:23:32.000]  at a neighboring community college.
[02:23:32.000 --> 02:23:33.000]  She doesn't even go to the school.
[02:23:33.000 --> 02:23:35.000]  She has no relationship to Yukon.
[02:23:35.000 --> 02:23:38.000]  She broke into that event with the sole purpose
[02:23:38.000 --> 02:23:39.000]  of disrupting it.
[02:23:39.000 --> 02:23:43.000]  And when that didn't work, when it was clear that the speech
[02:23:43.000 --> 02:23:46.000]  would go on after these people left,
[02:23:46.000 --> 02:23:48.000]  she decided to steal the speech itself.
[02:23:48.000 --> 02:23:50.000]  And I wasn't having it.
[02:23:50.000 --> 02:23:53.000]  What I love is that it's almost always professors
[02:23:53.000 --> 02:23:56.000]  or their assistants that are leading the Antifa,
[02:23:56.000 --> 02:23:58.000]  leading the Antifree speech.
[02:23:58.000 --> 02:24:01.000]  They're the opposite of what universities were just a decade ago.
[02:24:01.000 --> 02:24:02.000]  I guess they were in the shadows.
[02:24:02.000 --> 02:24:05.000]  Now there's been a total revolutionary transformation.
[02:24:05.000 --> 02:24:07.000]  So the headline should be here,
[02:24:07.000 --> 02:24:11.000]  Man Arrested for Defending Himself Against Mugger,
[02:24:11.000 --> 02:24:16.000]  or Man Arrested for Defending Himself Against a Thief.
[02:24:16.000 --> 02:24:19.000]  I mean, this is crazy.
[02:24:19.000 --> 02:24:22.000]  It really is.
[02:24:22.000 --> 02:24:23.000]  It's wild.
[02:24:23.000 --> 02:24:29.000]  And the reporting that happened afterwards is concerning.
[02:24:29.000 --> 02:24:33.000]  I mean, listen, I know that the Ben Shapiro's of the world
[02:24:33.000 --> 02:24:36.000]  will suggest that you allow these people to steal your speech
[02:24:36.000 --> 02:24:39.000]  and then release a statement afterwards saying,
[02:24:39.000 --> 02:24:41.000]  oh, well, you know, this is what we get from the left.
[02:24:41.000 --> 02:24:42.000]  But absolutely not.
[02:24:42.000 --> 02:24:45.000]  If we allow this sort of behavior to be normalized,
[02:24:45.000 --> 02:24:47.000]  they will keep going further.
[02:24:47.000 --> 02:24:48.000]  And that's what we're seeing.
[02:24:48.000 --> 02:24:50.000]  Even after this event ended, by the way,
[02:24:50.000 --> 02:24:52.000]  which was shouted out by that woman,
[02:24:52.000 --> 02:24:56.000]  this man she was with and a handful of far left students,
[02:24:56.000 --> 02:25:01.000]  they had to have a, what was it, a healing, a healing meeting?
[02:25:01.000 --> 02:25:06.000]  Because you're so traumatized.
[02:25:06.000 --> 02:25:08.000]  They had to talk about what they went through.
[02:25:08.000 --> 02:25:10.000]  I came to violate his free speech and stole his speech
[02:25:10.000 --> 02:25:14.000]  and he tried to grab it back and it hurt me.
[02:25:14.000 --> 02:25:15.000]  It's wild.
[02:25:15.000 --> 02:25:17.000]  These students, you know, I was,
[02:25:17.000 --> 02:25:21.000]  the police had to keep me in this restroom in the building
[02:25:21.000 --> 02:25:24.000]  because the students started smashing windows.
[02:25:24.000 --> 02:25:28.000]  They threw smoke grenades into the building.
[02:25:28.000 --> 02:25:31.000]  The building filled up with smoke.
[02:25:31.000 --> 02:25:35.000]  All of the police had to guard all the doors.
[02:25:35.000 --> 02:25:38.000]  They, after I was finally escorted out,
[02:25:38.000 --> 02:25:41.000]  the students started chasing the police car
[02:25:41.000 --> 02:25:43.000]  and tried to stand in front of the police.
[02:25:43.000 --> 02:25:45.000]  So it was literally a crazed mob of anti-free speech
[02:25:45.000 --> 02:25:46.000]  authoritarian piranhas.
[02:25:46.000 --> 02:25:48.000]  And notice it was the name of your speech that triggered him.
[02:25:48.000 --> 02:25:50.000]  It's okay to be white.
[02:25:50.000 --> 02:25:53.000]  I mean, I've got articles out of major Texas universities today.
[02:25:53.000 --> 02:25:56.000]  I'll show you in a minute where they say whites are inherently evil.
[02:25:56.000 --> 02:25:57.000]  Must be gotten rid of.
[02:25:57.000 --> 02:25:58.000]  Your genetics are evil.
[02:25:58.000 --> 02:25:59.000]  You are a mutant.
[02:25:59.000 --> 02:26:02.000]  You must be destroyed on the front page
[02:26:02.000 --> 02:26:04.000]  of the Texas State University newspaper.
[02:26:04.000 --> 02:26:08.000]  I mean, it's like the KKK on PCP.
[02:26:08.000 --> 02:26:10.000]  I mean, it's just insane.
[02:26:10.000 --> 02:26:14.000]  I mean, yeah, I mean, that's, that was a large point of the speech.
[02:26:14.000 --> 02:26:16.000]  The left has been doing so much race-baiting.
[02:26:16.000 --> 02:26:18.000]  They are trying to make it.
[02:26:18.000 --> 02:26:20.000]  And you know, it was to get them to admit
[02:26:20.000 --> 02:26:22.000]  the left does not think it's okay to be white.
[02:26:22.000 --> 02:26:25.000]  You'll see these sad videos of young kids,
[02:26:25.000 --> 02:26:30.000]  young 10 to 15-year-old white kids on YouTube saying,
[02:26:30.000 --> 02:26:31.000]  I'm white.
[02:26:31.000 --> 02:26:33.000]  I feel so ashamed for being white.
[02:26:33.000 --> 02:26:36.000]  And it's because they're, they're, they log on to Facebook.
[02:26:36.000 --> 02:26:37.000]  They log on to Twitter.
[02:26:37.000 --> 02:26:38.000]  They read.
[02:26:38.000 --> 02:26:40.000]  By the way, in communist states, this is a formula.
[02:26:40.000 --> 02:26:42.000]  The next stage before arresting everybody
[02:26:42.000 --> 02:26:44.000]  is you denounce how you're criminal,
[02:26:44.000 --> 02:26:46.000]  how you're evil for your culture, your religion,
[02:26:46.000 --> 02:26:47.000]  or what color you are.
[02:26:47.000 --> 02:26:48.000]  This is classic communist stuff.
[02:26:48.000 --> 02:26:51.000]  In fact, here's the article with a screenshot of it.
[02:26:51.000 --> 02:26:53.000]  It's up on info wars.com.
[02:26:53.000 --> 02:26:54.000]  It's from campus reform.
[02:26:54.000 --> 02:26:56.000]  Your DNA is an abomination.
[02:26:56.000 --> 02:26:58.000]  This is just south of Austin.
[02:26:58.000 --> 02:27:01.000]  Student op-ed calls white people an abomination
[02:27:01.000 --> 02:27:03.000]  and says, white is over.
[02:27:03.000 --> 02:27:06.000]  You will be gotten rid of.
[02:27:06.000 --> 02:27:09.000]  It's, and of course, I'm sure the left is fine
[02:27:09.000 --> 02:27:11.000]  with articles like that.
[02:27:11.000 --> 02:27:13.000]  And I will say, you know, it's, it's not just,
[02:27:13.000 --> 02:27:16.000]  because, you know, I'm completely against pretending
[02:27:16.000 --> 02:27:19.000]  that any of us are, are victims.
[02:27:19.000 --> 02:27:21.000]  I think that's a terrible mentality to take.
[02:27:21.000 --> 02:27:23.000]  But you have to realize this is also bad
[02:27:23.000 --> 02:27:27.000]  for young black students and young kids.
[02:27:27.000 --> 02:27:29.000]  Well, yeah, they're growing up in the middle
[02:27:29.000 --> 02:27:32.000]  of a crazy authoritarian race-baiting lunatic farm.
[02:27:32.000 --> 02:27:34.000]  Well, in this, in the same way that these young people
[02:27:34.000 --> 02:27:36.000]  are reading these anti-white articles,
[02:27:36.000 --> 02:27:38.000]  young black students, Hispanic students,
[02:27:38.000 --> 02:27:40.000]  they're logging on to the internet and seeing,
[02:27:40.000 --> 02:27:43.000]  oh, you'll never succeed in America because of,
[02:27:43.000 --> 02:27:45.000]  because it's a white supremacist country,
[02:27:45.000 --> 02:27:47.000]  because of the color of your skin.
[02:27:47.000 --> 02:27:49.000]  And whites, whites will always-
[02:27:49.000 --> 02:27:51.000]  Well, that's it, they're giving them worthless degrees.
[02:27:51.000 --> 02:27:53.000]  There's a post-industrial America.
[02:27:53.000 --> 02:27:55.000]  That was the global plans.
[02:27:55.000 --> 02:27:57.000]  They got to give kids chips on their shoulders
[02:27:57.000 --> 02:27:59.000]  so they don't know how they got screwed over
[02:27:59.000 --> 02:28:01.000]  by the globalists.
[02:28:01.000 --> 02:28:03.000]  Trump's trying to create the social contract again
[02:28:03.000 --> 02:28:05.000]  and create a vibrant economy again.
[02:28:05.000 --> 02:28:07.000]  That's why the globalists are so mad
[02:28:07.000 --> 02:28:09.000]  because their in-game is a sabotage economy.
[02:28:09.000 --> 02:28:11.000]  Oh, absolutely, absolutely.
[02:28:11.000 --> 02:28:14.000]  They, they are trying to, they're trying to destroy,
[02:28:14.000 --> 02:28:16.000]  they're trying to destroy the country quite honestly.
[02:28:16.000 --> 02:28:18.000]  It's, I don't think they have,
[02:28:18.000 --> 02:28:20.000]  I mean, you could disagree with me here.
[02:28:20.000 --> 02:28:22.000]  I don't think they actually have a long-term goal.
[02:28:22.000 --> 02:28:24.000]  I think these are short-term goals to win elections for them.
[02:28:24.000 --> 02:28:26.000]  They have no real plan and they are going
[02:28:26.000 --> 02:28:28.000]  to ruin this country if we allow them to.
[02:28:28.000 --> 02:28:30.000]  I agree, my friend.
[02:28:30.000 --> 02:28:32.000]  When we come back, we're going to talk
[02:28:32.000 --> 02:28:34.000]  to this evil thought criminal.
[02:28:34.000 --> 02:28:36.000]  Can we pull up some of the devil's speech?
[02:28:36.000 --> 02:28:39.000]  I'd like to actually pull up some of his evil speech.
[02:28:39.000 --> 02:28:42.000]  Or if you have the computer print out of the copy she stole,
[02:28:42.000 --> 02:28:45.000]  perhaps you can just give us some of the talking points
[02:28:45.000 --> 02:28:48.000]  that were so evil that a nearby professor,
[02:28:48.000 --> 02:28:52.000]  a nearby operative of the university,
[02:28:52.000 --> 02:29:21.000]  could come in and steal your speech.
[02:29:23.000 --> 02:29:27.000]  A commemorative President Trump dollar for only $5?
[02:29:27.000 --> 02:29:31.000]  Yes, the historic Trump dollar starts at only $5 at trumpdollar.us.
[02:29:31.000 --> 02:29:35.000]  Choose from our unique three-coin collection in gold, silver, and copper.
[02:29:35.000 --> 02:29:37.000]  The vote Trump dollar, inaugural Trump dollar,
