[00:00:30.179 --> 00:00:30.566]  I'll play.
[01:53:16.596 --> 01:53:18.737]  So they're approving the vaccine.
[01:53:18.737 --> 01:53:20.637]  They're mandating for them for the public.
[01:53:20.637 --> 01:53:25.439]  They're buying them from these companies who they're friends with.
[01:53:25.439 --> 01:53:33.743]  And then they're basically forcing 78 million people to take an untested product.
[01:53:33.743 --> 01:53:37.384]  The CDC also owns patents on many of the vaccines.
[01:53:37.384 --> 01:53:40.786]  In fact, across HHS, which is the mother agency,
[01:53:42.066 --> 01:53:42.286]  I think?
[01:54:01.136 --> 01:54:14.035]  And then collect royalties and in fact, officials in those agencies who worked on the vaccines can also own part of the patent and collect royalties of up to $150,000 a year.
[01:54:16.158 --> 01:54:26.131]  Let me ask you, this is intriguing to me because some states have been aggressive with reopening despite predictions of potentially dire consequences from some health experts.
[01:54:26.131 --> 01:54:30.257]  I'm thinking specifically of states such as Georgia or Colorado.
[01:54:30.257 --> 01:54:32.059]  They began reopening weeks ago.
[01:54:32.680 --> 01:54:41.426]  And it seems, at least so far, that we have not seen a dramatic spike in new cases from those two states, Georgia and Colorado.
[01:54:41.426 --> 01:54:42.927]  What have you seen from those states?
[01:54:42.927 --> 01:54:46.229]  Is there any cause for concern that they reopened early?
[01:54:46.229 --> 01:54:48.230]  Is it still too early to tell?
[01:54:48.230 --> 01:54:54.034]  Or are they taking measures such as social distancing and masks that make this reopening work?
[01:54:54.494 --> 01:54:57.196]  Yeah, Jake, I think your question is very insightful.
[01:54:57.196 --> 01:55:02.720]  We are seeing that in areas that are opening, we're not seeing this spike in cases.
[01:55:02.720 --> 01:55:08.624]  We still see spikes in some areas that are, in fact, closed, very localized situations.
[01:55:08.624 --> 01:55:13.027]  And so this is going to be really important for us to watch the circumstances on the ground.
[01:55:13.027 --> 01:55:15.809]  But, you know, with reopening, what's the key to reopening?
[01:55:16.269 --> 01:55:18.210]  First, we need to have good surveillance.
[01:55:18.210 --> 01:55:22.291]  So we need to look for influenza-like illness and other respiratory disease.
[01:55:22.291 --> 01:55:24.011]  We've got a great surveillance system for that.
[01:55:24.011 --> 01:55:26.412]  We look for spikes in early indicators.
[01:55:26.412 --> 01:55:28.873]  We have adequate testing capacity.
[01:55:28.873 --> 01:55:29.613]  We surge that in.
[01:55:29.613 --> 01:55:38.556]  We need to make sure anybody who's symptomatic is tested and that we have adequate asymptomatic surveillance in areas of greatest burden, senior living,
[01:55:39.136 --> 01:55:43.237]  So, yeah, where the Democrats make people with COVID-19 go to make sure they get a higher death toll.
[01:55:43.237 --> 01:55:48.139]  Let's go ahead and go to Dershowitz saying we're going to plunge a needle in your arm.
[01:55:48.139 --> 01:55:49.419]  Legitimate.
[01:55:49.419 --> 01:55:50.579]  Let me put it very clearly.
[01:55:50.579 --> 01:55:58.942]  You have no constitutional right to endanger the public and spread a disease even if you disagree.
[01:55:58.942 --> 01:56:01.222]  You have no right not to be vaccinated.
[01:56:01.222 --> 01:56:03.043]  You have no right not to wear a mask.
[01:56:03.476 --> 01:56:06.058]  You have no right to open up your business.
[01:56:06.058 --> 01:56:08.060]  Wait, can I stop you?
[01:56:08.060 --> 01:56:10.662]  No right not to be vaccinated?
[01:56:10.662 --> 01:56:15.186]  Meaning if they decide you have to be vaccinated, we have to be vaccinated?
[01:56:15.186 --> 01:56:15.907]  Absolutely.
[01:56:15.907 --> 01:56:24.455]  And if you refuse to be vaccinated, the state has the power to literally take you to a doctor's office and plunge a needle into your arm.
[01:56:26.075 --> 01:56:35.759]  What if a young girl's been grabbed from a bus stop and she's in Jeffrey Epstein's place and she's 14 years old and he wants to stick his disgusting egg-shaped penis in her?
[01:56:35.759 --> 01:56:38.261]  I mean, does she have a right to say none of that?
[01:56:38.261 --> 01:56:39.561]  Or what if it's safe?
[01:56:39.561 --> 01:56:44.343]  If he doesn't have a disease, is it alright?
[01:56:44.343 --> 01:56:46.965]  But you'd have to talk to Epstein's lawyer to ask that question.
[01:56:46.965 --> 01:56:48.465]  I guess not, Dershowitz.
[01:56:48.465 --> 01:56:49.846]  I'm sorry, Dershowitz, you didn't represent him.
[01:56:49.846 --> 01:56:51.527]  I shouldn't answer that question.
[01:56:51.527 --> 01:56:52.727]  Well, thank God.
[01:56:52.727 --> 01:56:54.208]  At least you didn't do that, right, Dershowitz?
[01:56:56.655 --> 01:56:58.877]  Yes.
[01:56:58.877 --> 01:57:00.938]  Hell awaits.
[01:57:00.938 --> 01:57:05.720]  We'll be right back with Dan Lyman from Europe Wars with the ongoing globalist invasion.
[01:57:05.720 --> 01:57:06.921]  And I'll stop it.
[01:57:06.921 --> 01:57:13.505]  I'm Alex Jones, unchained, 100% real, and committed to humanity for eternity.
[01:57:17.085 --> 01:57:26.132]  The panic that has been orchestrated by the global corporatist media and the chi-coms is going to now trigger a worldwide depression.
[01:57:26.132 --> 01:57:30.115]  In fact, we're already into the worldwide depression and the death sentence for the third world.
[01:57:30.779 --> 01:57:36.646]  But it's critical to understand that the longer the shutdown persists, the worse it's going to be.
[01:57:36.646 --> 01:57:43.293]  A month of shutdown will destroy decades of wealth that's been built up in a complex economy.
[01:57:43.293 --> 01:57:51.762]  That's why we've always said it's important to be a prepper and to be somewhat self-sufficient because the globalists want to make us all dependent so that we're under their control.
[01:57:52.603 --> 01:57:54.464]  They've admitted all of this.
[01:57:54.464 --> 01:58:02.108]  So remember, how does InfoWars continue years and decades, in many cases, to be able to predict things before they happen?
[01:58:02.108 --> 01:58:06.290]  Because we're following the globalist blueprint and their battle plan.
[01:58:06.290 --> 01:58:07.511]  And yes, it's dystopic.
[01:58:07.511 --> 01:58:08.771]  And yes, it's scary.
[01:58:08.771 --> 01:58:12.993]  But denying it and letting them carry it out is a thousand times more scary.
[01:58:12.993 --> 01:58:15.995]  It's time to stop the denial and realize what's really happening.
[01:58:30.245 --> 01:58:38.271]  What is the secret of Silent Green?
[01:58:38.271 --> 01:58:43.415]  It's official, COVID-19 is a United Nations world government fascist takeover of humanity.
[01:58:44.969 --> 01:58:50.514]  Once world government is in place, the orderly extermination of humanity will be carried out by the AI genocide grid.
[01:58:50.514 --> 01:58:55.840]  You tried to warn us about this pandemic and we didn't listen.
[01:58:55.840 --> 01:59:02.126]  What's the next thing you're warning us about that's going to happen five years from now that we're not listening to at the present?
[01:59:03.336 --> 01:59:06.499]  Well, I didn't want to be right.
[01:59:06.499 --> 01:59:08.882]  What I wanted to do was... I understand.
[01:59:08.882 --> 01:59:10.763]  I'm not saying he won.
[01:59:10.763 --> 01:59:11.684]  Everybody loses.
[01:59:11.684 --> 01:59:12.505]  Nobody wins with us.
[01:59:12.505 --> 01:59:15.728]  And I'm not saying that this is not an end zone dance.
[01:59:15.728 --> 01:59:21.494]  I'm just saying, what else are we not listening to that we need to take action on now?
[01:59:21.494 --> 01:59:22.735]  Well, the...
[01:59:24.076 --> 01:59:31.899]  The idea of a bioterrorist attack is kind of the nightmare scenario, because there, a pathogen with a high death rate would be taken.
[01:59:31.899 --> 01:59:51.426]  Now the good news is, not to bring in depression, it's tough enough right now, that most of the work we're going to do to be ready for Pandemic 2, I call this Pandemic 1, most of the work we'll do to be ready for that are also the things we need to do to minimize the threat of bioterrorism.
[01:59:53.186 --> 01:59:56.287]  Well, um, Mr. Gates, thanks so much for being here.
[01:59:56.287 --> 02:00:00.447]  Thanks so much for the efforts you and your organization are doing to try to find the cure for this.
[02:00:00.447 --> 02:00:02.088]  And, uh, we'll see you again.
[02:00:02.088 --> 02:00:02.848]  Stay safe.
[02:00:02.848 --> 02:00:04.408]  All right, folks.
[02:00:04.408 --> 02:00:05.428]  Yeah, stay safe.
[02:00:05.428 --> 02:00:22.091]  They need a total medical tyranny in place and a total censorship grid so that once their world government is in place, they can, with electromagnetic waves, with radiation, with chemicals and biologicals,
[02:00:23.334 --> 02:00:26.557]  Accelerate the extermination of humanity.
[02:00:26.557 --> 02:00:34.844]  And once they get a stampede going, once they get a mass collapse going, once they know with probability and have the smart grid in place to track your execution,
[02:00:35.905 --> 02:00:53.992]  They will then release bioweapons and other systems knowing that you will just simply shelter in place waiting for the driverless trash truck to arrive with the robots that will offload, go in and put your bodies in bags, take you out, throw you in the back and take you for processing.
[02:00:53.992 --> 02:00:58.654]  So this whole system is a human extermination grid.
[02:00:58.654 --> 02:00:59.614]  This is the police!
[02:01:00.134 --> 02:01:03.036]  What they need most is Soylent Green.
[02:01:03.036 --> 02:01:10.960]  But the fly of Soylent Green has been exhausted.
[02:01:10.960 --> 02:01:12.620]  You have to return to your home.
[02:01:12.620 --> 02:01:20.424]  Bill Gates prophesied a pandemic already in 2018, then stimulated last October in the event 201, in agreement with friends of Davos.
[02:01:20.424 --> 02:01:26.588]  And now for decades he has been advocating the development of plans for depopulation and dictatorial control over global politics.
[02:01:27.828 --> 02:01:31.853]  ...aiming to get the primacy on agriculture, technology and energy.
[02:01:31.853 --> 02:01:41.004]  And he says, in textual words, taken from his statement, if we do a good job with the new vaccines, health and reproductive health, we can reduce the world population by 10-15%.
[02:01:45.169 --> 02:01:54.911]  The Club of Rome, the CFR, the United Nations, the UN Biological Diversity Assessments, UN, Agenda 2020, Agenda 2030, they state that they want to get the human population down to 500 million
[02:02:14.656 --> 02:02:17.965]  The quote, live in harmony with the earth.
[02:02:17.965 --> 02:02:22.396]  Now, that's what they tell people that are in the outer court.
[02:02:24.261 --> 02:02:28.662]  When you get into the deeper cult, they say, no, all humans must be gotten rid of.
[02:02:28.662 --> 02:02:30.543]  Humans are inherently bad.
[02:02:30.543 --> 02:02:33.604]  And we're going to merge with silicon and become gods.
[02:02:33.604 --> 02:02:37.445]  Now, I'd tell you that 26 years ago, and it sounded crazy, because you people are crazy.
[02:02:37.445 --> 02:02:40.306]  Now you're like, yeah, I saw that on CNN or ABC News.
[02:02:40.306 --> 02:02:42.446]  Or I read a book about the world without humans.
[02:02:42.446 --> 02:02:44.347]  And they teach school kids that we're bad.
[02:02:44.347 --> 02:02:49.448]  And NBC News says there'll soon be no humans left by 2050, because we're going to merge the machines.
[02:02:49.448 --> 02:02:51.449]  And then they will get rid of the humans.
[02:02:52.816 --> 02:02:55.059]  This is really their plan.
[02:02:55.059 --> 02:02:59.284]  And so, of course when they said we'll be locked down for two weeks, it was permanent.
[02:02:59.284 --> 02:03:09.375]  Of course they are counting on you believing you're complying because you're told you're a hero, when really all you're doing is collapsing the global economy.
[02:03:09.375 --> 02:03:11.057]  The third world is totally dependent on us?
[02:03:11.960 --> 02:03:13.782]  We are dependent on the third world.
[02:03:13.782 --> 02:03:16.884]  You cut the two, the global structure falls.
[02:03:16.884 --> 02:03:23.269]  A war, a world war, could not bring us to our knees like this is going to do unless nuclear weapons were used.
[02:03:23.269 --> 02:03:29.314]  But nuclear weapons will kill the planet for the establishment, so they're not using nuclear weapons.
[02:03:29.314 --> 02:03:35.119]  They're using economic warfare and psychological warfare to carry all of this out.
[02:03:35.119 --> 02:03:36.280]  And I'm not trying to scare you.
[02:03:36.280 --> 02:03:38.942]  Dan Lyman joins us for the Balance of the Hour from EuropeWars.com.
[02:03:40.595 --> 02:03:41.616]  By putting all this out.
[02:03:41.616 --> 02:03:44.677]  I'm showing you the real plan.
[02:03:44.677 --> 02:03:46.078]  And Dan Lyman has the latest.
[02:03:46.078 --> 02:03:47.259]  He's covered Bilderberg Group.
[02:03:47.259 --> 02:03:48.119]  He's covered Davos.
[02:03:48.119 --> 02:03:49.560]  He's written for other major sites.
[02:03:49.560 --> 02:03:52.642]  He's done a great job with EuropeWars.com for us, though.
[02:03:52.642 --> 02:03:58.985]  And he gets into the weaponized third world that has been taught to hate Europe, hate America.
[02:03:58.985 --> 02:04:01.507]  That's been taught to be anti-white.
[02:04:01.507 --> 02:04:05.609]  And that are just basically, many of them, like brown Nazis.
[02:04:05.609 --> 02:04:08.431]  But see, that's part of a larger dialectic, folks.
[02:04:09.622 --> 02:04:12.984]  Why do you think that Bill Gates official at the CDC said whites are bad?
[02:04:12.984 --> 02:04:17.226]  Wouldn't you teach minorities to get rid of whites if she's white?
[02:04:17.226 --> 02:04:18.646]  It's a collision.
[02:04:18.646 --> 02:04:22.228]  We're all fighting with each other while the AI takeover happens.
[02:04:22.228 --> 02:04:30.212]  So you don't lay down to an Islamic invasion or an invasion forever with military-age men hyped up and trained at UN training facilities.
[02:04:30.212 --> 02:04:30.973]  No, no, no.
[02:04:30.973 --> 02:04:33.314]  But we also don't go forcibly inoculate them and sterilize them.
[02:04:33.985 --> 02:04:34.945]  Because that's immoral and evil.
[02:04:34.945 --> 02:04:43.969]  We help people, we build up, we promote free governments in those areas, and then we promote the people that work hard and have high scores to come here.
[02:04:43.969 --> 02:04:47.890]  And you can turn those areas into beautiful, wonderful places, but the globalists have absolutely exploited them.
[02:04:47.890 --> 02:04:51.332]  So, a lot of people ask me, they go, Alex, what's this paradox?
[02:04:51.332 --> 02:04:56.193]  You're like, hey, the UN's running giant Islamic invasion and third world invasion because they admit replacement migration.
[02:04:56.193 --> 02:04:58.394]  On the other side, they want to get rid of the third world?
[02:04:58.394 --> 02:05:00.135]  Shouldn't we just support Bill and Melinda Gates?
[02:05:02.116 --> 02:05:04.877]  It's way more sophisticated than that, ladies and gentlemen.
[02:05:04.877 --> 02:05:08.979]  The Bill and Melinda Gates are targeting everyone for dehumanization and sterilization.
[02:05:08.979 --> 02:05:15.142]  If you study real eugenics, here's a parallel in the animal kingdom.
[02:05:15.142 --> 02:05:25.147]  A lot of male lions and tigers will go look at the cubs, especially the lions, where they're in a pride.
[02:05:25.147 --> 02:05:27.028]  Tigers aren't a pack cat.
[02:05:27.028 --> 02:05:28.748]  The only pack cats are lions.
[02:05:28.748 --> 02:05:29.869]  That was done under pressure.
[02:05:31.494 --> 02:05:37.936]  And they will go and look at all the different male babies that are born in the spring.
[02:05:37.936 --> 02:05:43.298]  And boy, that really big one jumping that strong, usually even the head male's baby.
[02:05:43.298 --> 02:05:45.579]  He'll go over and eat him.
[02:05:45.579 --> 02:05:51.121]  Because he doesn't want him unseating him in a few years from the pride.
[02:05:51.121 --> 02:05:53.242]  Grizzly bears do it, too.
[02:05:53.242 --> 02:05:57.104]  They'll find the sow.
[02:05:57.104 --> 02:05:58.044]  I think you call a male
[02:05:59.346 --> 02:06:02.527]  Bear, the bear, and I think you call the female a sow.
[02:06:02.527 --> 02:06:03.628]  Guys, look that up.
[02:06:03.628 --> 02:06:07.930]  But the point is, the female bear will even defend the cub.
[02:06:07.930 --> 02:06:11.311]  But he'll sometimes hurt her, kill her, to eat that male.
[02:06:11.311 --> 02:06:16.573]  Even though it's his son!
[02:06:16.573 --> 02:06:19.154]  Because he wants to run things.
[02:06:19.154 --> 02:06:23.096]  So, real eugenics is about taking the best people and killing them.
[02:06:24.522 --> 02:06:27.603]  And controlling the intelligency, because there's a ruling class in Africa.
[02:06:27.603 --> 02:06:29.463]  There's a ruling class in Europe.
[02:06:29.463 --> 02:06:30.964]  Everybody knows there's a ruling class in Asia.
[02:06:30.964 --> 02:06:38.926]  Everybody knows that the average people aren't that smart, but they're good at things and have emotions and have a connection to God, and that there are different cast of people.
[02:06:38.926 --> 02:06:42.607]  There's usually super brainiacs that are mathematicians, but they've got their own problems.
[02:06:42.607 --> 02:06:43.387]  They're kind of retarded.
[02:06:43.387 --> 02:06:46.028]  Then you've got other people that have other skills.
[02:06:46.028 --> 02:06:49.529]  This is what makes all of us in the garden come together and build something great.
[02:06:50.748 --> 02:07:01.634]  The globalists target the most intelligent in Africa, the most intelligent in Latin America, the most intelligent in Europe, the most intelligent in Asia, to dumb them down and or control them.
[02:07:01.634 --> 02:07:03.575]  Everybody gets fluoride put in their water.
[02:07:03.575 --> 02:07:04.976]  Everybody gets GMO.
[02:07:04.976 --> 02:07:05.537]  Everybody gets 5G.
[02:07:10.054 --> 02:07:14.516]  So to even people out there that go, hey man, I don't want to kill black people or people in India, but have you been there?
[02:07:14.516 --> 02:07:15.016]  It's scary.
[02:07:15.016 --> 02:07:15.116]  Yeah.
[02:07:15.116 --> 02:07:21.298]  There's some areas that are huge populations, obviously over, it's crazy, but you've got to have a plan.
[02:07:21.298 --> 02:07:27.480]  Be honest with folks, pay them to only have two kids, build industry, but don't just keep them poor, dumb them down and then wipe them out.
[02:07:27.480 --> 02:07:35.282]  And then you learn Bill Gates is a creep and then his family and their grandparents and all of involved with the Nazis and all this stuff.
[02:07:35.282 --> 02:07:36.423]  It's about power.
[02:07:38.234 --> 02:07:42.636]  It's not about saving the earth from overpopulation.
[02:07:42.636 --> 02:07:46.877]  And again, are you going to go into that Appalachian poor area and kill those white babies?
[02:07:46.877 --> 02:07:48.658]  Or go into poor area Africa and kill those black babies?
[02:07:48.658 --> 02:07:49.958]  No, you're not.
[02:07:49.958 --> 02:07:52.499]  You can feel God getting mad at you even thinking about that.
[02:07:52.499 --> 02:07:58.761]  So, we're supposed to fix these problems, not just poison and kill everybody.
[02:07:58.761 --> 02:08:00.422]  What do they do when they kill somebody?
[02:08:00.422 --> 02:08:04.043]  They give them a little card, a little calling card from Uncle Sam.
[02:08:04.043 --> 02:08:05.904]  The Ace of Spades.
[02:08:05.904 --> 02:08:06.664]  Oh, and he's a globalist.
[02:08:07.932 --> 02:08:11.074]  To realize the Ace of Spades card is for them as well.
[02:08:11.074 --> 02:08:15.777]  And it comes for you.
[02:08:15.777 --> 02:08:18.399]  The United States is not Communist China.
[02:08:18.399 --> 02:08:21.321]  We don't have 3 million people in concentration camps.
[02:08:21.321 --> 02:08:23.202]  We don't blow up churches.
[02:08:23.202 --> 02:08:26.384]  We don't kill political dissidents and sell their organs.
[02:08:26.384 --> 02:08:31.527]  But all over the news, we see the UN, Bill and Melinda Gates, WHO, mainstream
[02:08:36.058 --> 02:08:43.261]  I mean, if China shoots women at checkpoints and welds people into their houses and has robots controlling people, well then, gee, we've got to do that.
[02:08:43.261 --> 02:08:48.944]  And on top of it, cities like San Antonio passed laws saying we'll arrest you if you say Chinese virus.
[02:08:48.944 --> 02:08:52.125]  Well, now Cuomo in New York's calling it the European virus.
[02:08:52.125 --> 02:08:53.826]  These people are out of control.
[02:08:57.336 --> 02:09:02.581]  Because we the people are aware of their criminal activities and are exposing them and their power grab.
[02:09:02.581 --> 02:09:06.644]  The resistance lives at Band.Video and InfoWars.com.
[02:09:06.644 --> 02:09:12.590]  Spread those links and jam it down the censors' throats and then we'll be able to defeat their operation that much quicker.
[02:09:14.506 --> 02:09:21.492]  Feudalism in the ancient world, from Asia to Europe, from Africa to Latin America, was the most common form of government.
[02:09:21.492 --> 02:09:30.039]  You had a ruling class, the nobility, with a king and queen sitting on top of it, and the rest of the public were kept at a subsistence, starving level.
[02:09:30.800 --> 02:09:32.461]  For control.
[02:09:32.461 --> 02:09:43.967]  In fact, in most cultures, they called the peasants the little people because they were usually a foot or more shorter than the lords and ladies because they kept them, again, at a starving level.
[02:09:43.967 --> 02:09:48.369]  They were so busy trying to survive, they would never try to challenge the entrenched elite.
[02:09:48.729 --> 02:10:05.954]  Well, now all the big Google owners and the Rockefellers and the Rothschilds, the Jeff Bezoses of the world, they're sitting back on their giant estates with their jet helicopters and private jets, living the life, laughing at you, shut down, going bankrupt in the third world, starving to death.
[02:10:05.954 --> 02:10:11.755]  Their religion is power and control, and they are pressing that advantage against us.
[02:10:11.755 --> 02:10:13.396]  We must break free from these monsters.
[02:10:17.532 --> 02:10:32.426]  You're listening to the Alex Jones Show.
[02:10:32.426 --> 02:10:38.712]  The United Nations is openly declaring world government is here!
[02:10:38.712 --> 02:10:39.793]  There is a dialectic.
[02:10:40.939 --> 02:10:50.467]  They collapsed the Third World, weaponized them against the West, indoctrinate military men at UN training camps that white people are bad!
[02:10:50.467 --> 02:10:55.091]  Then they launched them with Soros-funded money into the United States and Europe!
[02:10:55.091 --> 02:10:57.934]  Even during the COVID collapse, we're told, you must have them there!
[02:10:57.934 --> 02:11:01.477]  And they're allowed to rape and kill and steal.
[02:11:02.455 --> 02:11:07.000]  While the globalists collapse the very third world and give them the inoculations that are sterilizing them.
[02:11:07.000 --> 02:11:08.122]  What is the dialectic?
[02:11:08.122 --> 02:11:11.346]  I want to talk big picture with Dan Lyman of EuropeWars.com.
[02:11:11.346 --> 02:11:14.129]  Great journalist, great researcher that heads up EuropeWars.com.
[02:11:14.129 --> 02:11:15.451]  Then again in the latest developments...
[02:11:16.710 --> 02:11:21.153]  Interpol says EU faces second wave of coronavirus crisis, takes hold.
[02:11:21.153 --> 02:11:25.136]  The UN says, oh no, you can't deport, we need to bring in more.
[02:11:25.136 --> 02:11:27.617]  You can't leave your house if you live in Spain.
[02:11:27.617 --> 02:11:29.519]  You can't leave your house if you live in San Francisco.
[02:11:29.519 --> 02:11:31.460]  But, the homeless can do whatever they want.
[02:11:31.460 --> 02:11:33.701]  So, what's the dialectic here?
[02:11:33.701 --> 02:11:42.727]  Obviously, giant masses of military-age men from Africa, Middle East, Latin America, spending years sometimes at UN camps, usually months, brainwashed, cunning.
[02:11:42.727 --> 02:11:44.248]  They're a threat, they're horrible.
[02:11:44.248 --> 02:11:46.350]  It's like a Nazi invasion because they're racially based.
[02:11:46.870 --> 02:11:50.693]  But then as Christians and people that want justice, we don't hate the people in those countries.
[02:11:50.693 --> 02:11:52.354]  We understand what the globalists have done.
[02:11:52.354 --> 02:11:57.837]  The globalists admit they've created replacement migration and created this racial and religious ethos against the West.
[02:11:57.837 --> 02:11:59.078]  What's the dialectic though?
[02:11:59.078 --> 02:12:05.542]  How does Bill and Melinda Gates and their depopulation program come in with the Chinese who are taking over Africa into this system?
[02:12:05.542 --> 02:12:10.565]  And what is the humane, Christian, proper thing to do to navigate this and still survive?
[02:12:12.628 --> 02:12:13.609]  That's a great question.
[02:12:13.609 --> 02:12:16.090]  It's definitely one for the ages right now.
[02:12:16.090 --> 02:12:22.294]  Last time that we were together a couple months ago was right at the beginning of the coronavirus crisis really hitting Europe.
[02:12:22.294 --> 02:12:25.637]  And we had just, just about, we're about to go into lockdown.
[02:12:25.637 --> 02:12:31.901]  And right at that time also, Turkey was flushing migrants, trying to flush them across the border into Greece.
[02:12:31.901 --> 02:12:37.985]  Thankfully, they were quite unsuccessful because there was quite a concerted effort to stop them from making their way into Europe at that time.
[02:12:39.126 --> 02:12:46.293]  Migration has been quieter in the past couple of months due to a lot of the border closures, but it's still going on.
[02:12:46.293 --> 02:12:49.456]  There are still migrants pouring across from France into the UK.
[02:12:49.456 --> 02:12:50.778]  That has really picked up now.
[02:12:50.778 --> 02:12:55.883]  And actually, Nigel Farage has really stepped up to the plate to expose that.
[02:12:55.883 --> 02:13:00.388]  And due to his reporting, he got a visit from the UK police for reporting on that.
[02:13:01.088 --> 02:13:12.502]  Just since the beginning of lockdown in the UK, they've had over 1,000 migrants have reached the UK on record from Calais, setting sail across the channel there.
[02:13:12.502 --> 02:13:13.483]  Typically, they get picked up.
[02:13:14.088 --> 02:13:20.053]  By the border force and brought the rest of the way which basically border force acts as a ferry service.
[02:13:20.053 --> 02:13:36.467]  And another interesting tidbit that I just learned today because I was reading this Europol report and it was saying that one of the new routes that they think that the migrants will be taking, the human traffickers will be using, is actually from the coast of Africa over to the Canary Islands which is on the northwest
[02:13:37.119 --> 02:13:37.619]  We're good to go.
[02:14:06.909 --> 02:14:09.650]  Well, that's the big problem with this global collapse.
[02:14:09.650 --> 02:14:16.911]  The UN that runs the collapse and orchestrates the WHO with the COVID lockdown numbers and false information.
[02:14:16.911 --> 02:14:19.231]  They're the same ones saying, oh, but leave your border open.
[02:14:19.231 --> 02:14:23.592]  And then as the third world really collapses, now we're going to see hundreds of millions, not tens of millions.
[02:14:23.592 --> 02:14:30.194]  Even the UN themselves says that they demand more money and power to stop the problem they themselves have created.
[02:14:30.194 --> 02:14:32.274]  This is very orchestrated when you look at it, Dan.
[02:14:33.559 --> 02:14:34.480]  Yes, absolutely.
[02:14:34.480 --> 02:14:41.507]  And the timing of this new Europol report is interesting because last week there was a similar report that came out.
[02:14:41.507 --> 02:14:43.829]  Actually, the Washington Examiner was the first to break it.
[02:14:43.829 --> 02:14:45.491]  They interviewed the head of U.S.
[02:14:45.491 --> 02:14:46.132]  aid.
[02:14:46.132 --> 02:14:47.493]  And basically, I guess the U.S.
[02:14:47.493 --> 02:14:53.079]  government is preparing for waves of migrants to potentially come up from Central and South America.
[02:14:53.559 --> 02:15:13.187]  Also, as a result of the economic fallout of these lockdowns and the crisis that has unfolded from coronavirus, and as you've so presciently warned about in recent weeks, is that if the first world goes down, as it appears to be at least going downwards right now, that puts downward pressure on the third world, and those people will be forced
[02:15:14.127 --> 02:15:21.332]  Out of desperation and most of the time to seek greener pastures and that will force them into our country.
[02:15:21.332 --> 02:15:29.257]  And then the Democrats handing out all the oxycontin you want and all of the fentanyl and blocking streets all over the blue cities and just inviting homelessness.
[02:15:29.257 --> 02:15:30.918]  I mean they clearly are trying to collapse things.
[02:15:30.918 --> 02:15:35.240]  They admit they want to collapse things and I guess then create a new order on top of that.
[02:15:35.240 --> 02:15:35.841]  It's insane.
[02:15:37.327 --> 02:15:38.227]  Yes, absolutely.
[02:15:38.227 --> 02:15:48.251]  We can take a case in point would be San Francisco at the moment where the agenda that leftists have been pushing for for a while now is to put the homeless and migrants into hotels.
[02:15:48.251 --> 02:16:02.015]  And they've been successful to a small degree so far, but now with tourism basically at a standstill and a lot of the hotels empty, they've basically commandeered many of these hotels in places like Germany, San Francisco, and they're providing all sorts of benefits.
[02:16:02.015 --> 02:16:03.735]  Oh yeah, Newsom's done it all over the state.
[02:16:03.735 --> 02:16:04.616]  So what's the endgame?
[02:16:05.416 --> 02:16:12.424]  Why don't their constituents, when they're throwing old people out of their government housing for military-age Muslim men, I mean, what won't people put up with?
[02:16:12.424 --> 02:16:18.671]  I know Germany just six months ago was on the edge of rebellion, and Merkel was in deep trouble, but now what has COVID done?
[02:16:19.838 --> 02:16:23.341]  Well, things are heating up again in Germany, especially in the last few days.
[02:16:23.341 --> 02:16:40.437]  The protests across Germany have grown in intensity quite considerably, and the heavy-handed response from the police to crack down on what essentially are peaceful protesters in most regards, the ones that the media always touts as these peaceful protesters when they're not, like in Ferguson, these are actually generally pretty peaceful protesters.
[02:16:40.437 --> 02:16:40.778]  They're just
[02:16:41.238 --> 02:16:44.800]  Not obeying the social distancing guidelines put out by the government.
[02:16:44.800 --> 02:16:51.845]  And so the German police are arresting en masse hundreds and hundreds of people quite violently at times.
[02:16:51.845 --> 02:16:57.168]  And it looks very reminiscent of what was going on with the Yellow Vest protests not too long ago.
[02:16:57.168 --> 02:17:04.192]  And on that point as well, the Yellow Vest protests actually tapered off and ended on March 15th when France went into lockdown.
[02:17:04.512 --> 02:17:10.236]  They've announced now that France is starting to ease up on those restrictions that the Lovess are planning to kick off immediately right away.
[02:17:10.236 --> 02:17:18.522]  But wasn't WHO-directed lockdown convenient for communist China and Hong Kong and Taiwan with Macron that was super unpopular?
[02:17:18.522 --> 02:17:19.582]  But look at Spain.
[02:17:19.582 --> 02:17:20.643]  They've now got numbers out.
[02:17:20.643 --> 02:17:22.965]  The government's even more unpopular after lockdown.
[02:17:22.965 --> 02:17:25.446]  So they thought this lockdown would make folks love the government.
[02:17:25.446 --> 02:17:26.367]  Looks like it's backfiring.
[02:17:27.651 --> 02:17:29.032]  To some degree, definitely.
[02:17:29.032 --> 02:17:37.078]  There are certain people that, as we've seen some of these ridiculous polls out of the UK, where you have a large portion of the population... 90% will stay on permanent lockdown.
[02:17:38.030 --> 02:17:39.311]  Right, exactly.
[02:17:39.311 --> 02:17:41.592]  But yes, in Spain, the protests are kicking up.
[02:17:41.592 --> 02:17:46.634]  They've gotten a lot more aggressive even today, actually, and in the past couple of days this past weekend.
[02:17:46.634 --> 02:17:48.675]  So I think the backlash is brewing.
