[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[2:25:46.000 --> 2:25:56.000]  We have no long term studies. They just want to force as many of us to take this vaccine as possible for a virus that the vast majority of the population has a 99% chance of surviving.
[2:25:56.000 --> 2:26:09.000]  So, you know, we have to understand that we have to give these people a voice and we have to weigh the risk of, you know, injecting this stuff into our bodies when we have no long term consequences, no long term studies that we understand right now.
[2:26:09.000 --> 2:26:16.000]  And we're seeing these people flood on GAB that are sharing these stories like this. And I did see this one on Facebook. I'm actually surprised it didn't get removed yet.
[2:26:16.000 --> 2:26:27.000]  It probably has at this point. But yeah, they asked for, you know, stories of people that, you know, had family members that had died or had problems with COVID and every single comment was no.
[2:26:27.000 --> 2:26:34.000]  Actually, I had a family member that died or had severe problems or complications because of the vaccine and we're seeing more and more of these stories.
[2:26:34.000 --> 2:26:43.000]  So, you know, and then you'll have the New York Times call me a disinformation agent for literally just telling and sharing these stories of these people that are telling these stories on GAB.
[2:26:43.000 --> 2:26:50.000]  And let's talk about how important it is to support GAB and to support Info Wars and some of the other groups out there that aren't, don't see censoring like Rumble.
[2:26:50.000 --> 2:26:55.000]  But you've got the most multifaceted group out there right now. We're not in competition, the more the merrier.
[2:26:55.000 --> 2:27:08.000]  Take Ernest Ramirez. I didn't even know, he didn't complain when he was on my show, that they had banned his GoFundMe just to raise money to try to put ads on the internet to tell people about his son and to warn people to check his son was in good health,
[2:27:08.000 --> 2:27:19.000]  started to play basketball, had a heart attack, five days after the Moderna shot. And they won't even let him on their Facebook blocking and said, you can't show your local Fox News clip about your dead son.
[2:27:19.000 --> 2:27:21.000]  I mean, that is so damn criminal.
[2:27:21.000 --> 2:27:28.000]  Yeah, yeah, GoFundMe is horrible. I would recommend that people use give send go, which is the Christian GoFundMe alternative.
[2:27:28.000 --> 2:27:41.000]  You know, they're on GAB. We've seen a lot of GABers use them instead of GoFundMe. GoFundMe is just highly politicized. If you're raising money for anything that goes against the narrative of the machine, then it's going to get removed.
[2:27:41.000 --> 2:27:52.000]  But yeah, I mean, GAB is fully supported by our users. We're launching our advertising program and we're seeing small businesses and business owners on GAB that are doing phenomenally well with that.
[2:27:52.000 --> 2:28:00.000]  And, you know, it's part of building this alternative society, this alternative economy. So people are starting, they're emailing me and they're saying, hey, you know, I'm leaving my job.
[2:28:00.000 --> 2:28:07.000]  I'm starting my own business. I want to advertise on GAB to help get the word out and help help get this started. And we'd love to see that.
[2:28:07.000 --> 2:28:17.000]  We're also going to be launching a marketplace later this year to compete with Facebook Marketplace, eBay, Craigslist, all those guys to help commerce happen on GAB.
[2:28:17.000 --> 2:28:30.000]  What we're building here is this infrastructure for an alternative parallel society, alternative parallel economy, where you don't have to get injected with something in order to run a business.
[2:28:30.000 --> 2:28:43.000]  And there's the article building infrastructure for a parallel digital economy. That's it. GAB, just search for parallel economy. We'll be right back to talk about something really positive that's coming out of all of this.
[2:28:43.000 --> 2:28:48.000]  Stay with us. We'll be right back.
[2:29:13.000 --> 2:29:16.000]  Life saving backup power when you need it most.
[2:29:16.000 --> 2:29:25.000]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and produce an endless supply of free electricity from the sun.
[2:29:25.000 --> 2:29:33.000]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid, you'll never have to suffer through painful power outages again.
[2:29:33.000 --> 2:29:43.000]  Even better, all this week, radio listeners get over $700 in free off the grid bonuses too. Go to mysolarbackup.com to learn more and check availability.
[2:29:43.000 --> 2:29:45.000]  That's mysolarbackup.com.
[2:29:45.000 --> 2:29:53.000]  Look for the free report, crisis cooling, how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[2:29:53.000 --> 2:29:58.000]  Yours free at mysolarbackup.com.
[2:29:58.000 --> 2:30:11.000]  There is very little contemporary study in the world of the planet's ruling class, not in communist China, not in Mexico, not in the United States, not anywhere.
[2:30:11.000 --> 2:30:16.000]  Is there a real study of the planet's ruling class? And that's done by design.
[2:30:16.000 --> 2:30:32.000]  The large central banks that basically control the planet will penalize and target any academics that look into, say, the Anglo-American establishment, the founder of the Bilderberg Group, the trilateral commission of the United Nations, the whole project of the Rothschilds and the Rockefellers.
[2:30:32.000 --> 2:30:38.000]  Until 10 years ago, the media said the controlled corporate media of the Bilderberg Group didn't exist.
[2:30:38.000 --> 2:30:47.000]  Well, now the Bilderberg Group is public in its former head, show on the steering committee, is Klaus Schwab, and he has set up the great reset in global government.
[2:30:47.000 --> 2:30:56.000]  And if, as a liberty movement worldwide, we don't address the globalist head on about the second thing or worldwide authoritarian corporate takeover, we don't have a shot.
[2:30:56.000 --> 2:30:58.000]  We do expose them, we can beat them easily.
[2:30:58.000 --> 2:31:11.000]  The scientific dictatorship that I've been warning you about for 27 years has now gone from beta testing to operational. The globalists are out in the open with their planetary depopulation takeover, their robot takeover.
[2:31:11.000 --> 2:31:19.000]  But the good news is we've been working and you've been working, and others have been working across the planet for decades to get ready for this, to be able to find it off.
[2:31:19.000 --> 2:31:25.000]  Humanity is strong, we're incredible, and if we're aware of the attack that's happening, we have a real chance of defeating it.
[2:31:25.000 --> 2:31:34.000]  If we ask God for guidance, we will defeat it. So prayer is essential, research is essential, getting prepared is essential, and warning others is absolutely essential.
[2:31:34.000 --> 2:31:44.000]  And at the same time, supporting InfoWars by buying high-quality products to keep us on air is essential because they're great products for you and your family, and they're also funding our operation.
[2:31:44.000 --> 2:31:58.000]  InfoWarsStore.com. InfoWarsStore.com is incredible. A lot of our products that have been sold out because the supply chain breakdowns are back in like bodies, vasobetes, and others. So get them today at InfoWarsStore.com, and I thank you for being part of the resistance.
[2:32:15.000 --> 2:32:38.000]  Please research, because this is life and death, vitamins that are essential and minerals that are essential. Just type that into a search engine. You will see the top universities, CDC, all of them telling you this, but you won't see this on the nightly news because they don't want you at the big pharma companies to understand how to protect yourself to a great extent from what's going on in the world on a routine basis.
[2:32:38.000 --> 2:32:53.000]  We now have back in stock, Winter Sun, the highest quality vitamin D3 with vitamin K for your body's immune system, back in stock, sold out for months. It is essential, it is vital, and it is 50% off so you have no excuse but to get it for yourself and your family.
[2:32:53.000 --> 2:33:09.000]  Winter Sun, back in stock, 50% off at InfoWarsStore.com.
[2:33:24.000 --> 2:33:48.000]  So I talked about this some Friday on air. I had talked to several Texas doctors that run major Rendezavier counter systems, which is the Regeneron. It's the Rendezavier that's got a 58% chance of killing you if you have COVID and you take it, but that's the thing Fauci pushes.
[2:33:48.000 --> 2:33:56.000]  The thing that in studies and tests has actually approved and went through all the process is Regeneron, but you got to get it early because the stuff already does the damage to your lungs.
[2:33:56.000 --> 2:34:07.000]  And whatever they're putting out there now is a lot more serious than the COVID we saw last year. That was mainly hype. A lot of scientists think it's being shed off the virus. Others say it's a bio weapon they've released.
[2:34:07.000 --> 2:34:21.000]  Another string and look how it popped up in Texas and Florida, the places the globalists are targeting. But censorship isn't just about political stuff. It's about big tech merging with big pharma.
[2:34:21.000 --> 2:34:30.000]  And it's about once they've merged, which they've done, then they have a stake in suppressing people for profits, but also it's about depopulation.
[2:34:30.000 --> 2:34:42.000]  And Google and Facebook both invested at the Wulan lab with Peter Dazik. And then you had the head lab lady under Dazik running the Facebook global response to COVID.
[2:34:42.000 --> 2:34:58.000]  That's why they were so bold to cook this up and the evidence overwhelming release it on purpose. It wasn't an accidental leak was because they had control of the media and big tech and of the regulators and they could get away with it and you see the power they've used lockstep worldwide to take over.
[2:34:58.000 --> 2:35:02.000]  So look at this latest article on infowars.com.
[2:35:02.000 --> 2:35:17.000]  Biden and men limiting supply of monoclonial antibodies in seven southern states under guise of preventing a shortage, even though there's 500 million doses, it only takes one dose, more than enough for every American and then some over 150 million.
[2:35:17.000 --> 2:35:28.000]  And we first got reports this last week. Now the article links to local news in Texas and other states where indeed they are not letting people have it.
[2:35:28.000 --> 2:35:36.000]  They're also blocking the black so Smith Klein ones, which are not as good. That's only one antibody. We're general has two.
[2:35:36.000 --> 2:35:41.000]  So I've talked to a lot of medical doctors that don't sell it, but are actually involved in and those that actually run these operations.
[2:35:41.000 --> 2:35:52.000]  So I'm I don't know any side effects it has. I'm sure it probably does everything does in this world, but it's actually been proven to have 70 plus percent savior rate of folks that are already actually sick with it.
[2:35:52.000 --> 2:36:01.000]  It's like 99% of you just got it. So regardless, ladies and gentlemen, this is a level of censorship censoring ivermectin censoring.
[2:36:01.000 --> 2:36:11.000]  It's not a mass program censoring vitamin D censoring zinc censoring that natural immunity is 13 to 27 times better for COVID in the Israeli study and other show similar numbers.
[2:36:11.000 --> 2:36:20.000]  So this is about life and death. My people Paris for lack of knowledge, Andrew Torbott. That's the bad news. I want you to elaborate on that if you like, but also good news.
[2:36:20.000 --> 2:36:27.000]  America and other countries that are freer were founded from persecution. So we've lost our way, but but a large part of this haven't.
[2:36:27.000 --> 2:36:34.000]  We're going to recreate that. And I know they've lit a fire under you. They've lit a fire under me to work harder to be more focused than ever.
[2:36:34.000 --> 2:36:40.000]  And the fact that now it's out in the open and they're openly trying to enslave us. And I think they've been off more than they chew.
[2:36:40.000 --> 2:36:46.000]  And I know they launched this global attack because they were losing control already with Trump and Bolsonaro and all the other movements.
[2:36:46.000 --> 2:36:50.000]  And so this was their lockstep plan to get controlling and they admit that.
[2:36:50.000 --> 2:36:57.000]  So the fact that the fact that they were forced to do something, this out of control shows me how really weak they are.
[2:36:57.000 --> 2:37:02.000]  This is all going to be a real opportunity. I'm not in this to quote, just make money. I want to be free.
[2:37:02.000 --> 2:37:09.000]  But so many folks say, man, I wish I'd have known about that long beforehand. No, this is a ramp. I want you to elaborate on it.
[2:37:09.000 --> 2:37:14.000]  Well, this is this is the whole future, the whole Renaissance, the whole world, the money will be in patriot communities.
[2:37:14.000 --> 2:37:22.000]  The money will be in Christian communities. The whole future of innovation and prosperity and freedom is going to be freedom.
[2:37:22.000 --> 2:37:27.000]  All the fake tech and all the bots and all that is crap if humans aren't interfacing with it.
[2:37:27.000 --> 2:37:33.000]  So if the people interfacing with it aren't free, it has zero value. The whole future is freedom and we're promoting freedom.
[2:37:33.000 --> 2:37:38.000]  So everybody should get on board because where the globalists are taking us is total destruction.
[2:37:38.000 --> 2:37:46.000]  Why wouldn't everybody just say no to the short term profit of being a slave in a system and instead take up the chance to be trailblazers
[2:37:46.000 --> 2:37:54.000]  into the future and be the new builders that launch the new civilization and people will look back on what we did as an example to the future?
[2:37:54.000 --> 2:38:01.000]  Absolutely, Alex. You know, now is the time to start building. I've been saying this for five years. This is what we've been doing here for five years.
[2:38:01.000 --> 2:38:08.000]  So what you've been doing for 20 plus years is going our own way trailblazing. Someone has to knock over that first domino.
[2:38:08.000 --> 2:38:13.000]  Someone has to carry that cross up the hill and we have to start doing it right now.
[2:38:13.000 --> 2:38:21.000]  We don't realize how much purchasing power we have, how much power we have just in where we spend our time and how we spend our time.
[2:38:21.000 --> 2:38:26.000]  You know, we don't have to, you know, change the whole system from the inside out.
[2:38:26.000 --> 2:38:31.000]  I think it's beyond saving at this point. We need to just start new, start building from scratch.
[2:38:31.000 --> 2:38:35.000]  And, you know, the good news is that, you know, we are Americans. This is in our blood.
[2:38:35.000 --> 2:38:40.000]  This is in our souls. We're builders. We're conquerors. We get things done.
[2:38:40.000 --> 2:38:46.000]  We have built the greatest country on the face of the planet in the history of humanity and we can do it again.
[2:38:46.000 --> 2:38:55.000]  We can start over and build from scratch if we unite together as one and start building and start working on this parallel society.
[2:38:55.000 --> 2:38:59.000]  It's not going to happen. We're not going to be able to overtake these institutions.
[2:38:59.000 --> 2:39:02.000]  They're fully captured by the enemy and it's time to accept that.
[2:39:02.000 --> 2:39:06.000]  So, you know, stop sending your kids to these schools that are fully captured.
[2:39:06.000 --> 2:39:11.000]  Stop watching TV programs and entertainment and all this other stuff that is fully captured
[2:39:11.000 --> 2:39:18.000]  and is just pumping, you know, lies and propaganda and nonsense in your face 24-7 to demoralize you.
[2:39:18.000 --> 2:39:22.000]  You have to take back control of your own home and of your own life and of your own backyard.
[2:39:22.000 --> 2:39:28.000]  We're talking about this a lot as well. We have to recapture our own towns, our own cities, our own neighborhoods.
[2:39:28.000 --> 2:39:33.000]  We're so focused. We're so consumed on the day-to-day drama that's going on in D.C.
[2:39:33.000 --> 2:39:37.000]  when most of it really does not have that big of an impact on our lives day-to-day.
[2:39:37.000 --> 2:39:41.000]  Where we do have a big day-to-day impact is what's going on in our city council.
[2:39:41.000 --> 2:39:47.000]  What's going on at our local school board. Go show up. Get involved in local politics. Run for school.
[2:39:47.000 --> 2:39:52.000]  They're trying to force inject you. They're trying to create critical race theory.
[2:39:52.000 --> 2:39:56.000]  The whole Afghanistan thing was just a discredit piece and be a big distraction.
[2:39:56.000 --> 2:39:59.000]  They want Biden to be a distraction. He's just a puppet as well.
[2:39:59.000 --> 2:40:04.000]  Exactly. It's all a big drama. You know, the $50,000 a plate Democrat function.
[2:40:04.000 --> 2:40:08.000]  She's wearing a designer dress about tax the rich while all these servants got to wear a mask.
[2:40:08.000 --> 2:40:14.000]  I mean, this is Rome in decline. This is Marie Antoinette hours before the storming of the Bastille.
[2:40:14.000 --> 2:40:17.000]  This is the end of this global empire in their Ponzi scheme.
[2:40:17.000 --> 2:40:23.000]  They want it to be the end of us and their great reset and with a great reset of them if we simply stop complying.
[2:40:23.000 --> 2:40:29.000]  Absolutely. You know, it's been three days talking about the dress that AOC wore at the Met Gala with the elites.
[2:40:29.000 --> 2:40:32.000]  Instead of holy cow, people are being fired.
[2:40:32.000 --> 2:40:39.000]  People are being forced to choose between providing from their families and being injected with this experimental substance that they don't want in their bodies.
[2:40:39.000 --> 2:40:48.000]  This is a huge deal. And nobody's talking about everybody is so distracted by these these nuances of this political drama at the national level.
[2:40:48.000 --> 2:40:53.000]  And, you know, what did what did AOC tweet today? What is what dress is she wearing? That is not what's important.
[2:40:53.000 --> 2:41:01.000]  What's important is that, you know, 100 million people are about to, you know, play the biggest game of chicken this country has ever seen with their employer.
[2:41:01.000 --> 2:41:05.000]  Or, you know, if they're running their business, they're going to have to fire some people in order to comply with this.
[2:41:05.000 --> 2:41:10.000]  And by the way, you know, Biden starts with, oh, well, anyone with over 100 employees. Well, what's next?
[2:41:10.000 --> 2:41:14.000]  Next, it's going to be 25. Next, it's going to be in order to run a business in the United States of America.
[2:41:14.000 --> 2:41:17.000]  Every single one of your employees has to be vaccinated.
[2:41:17.000 --> 2:41:23.000]  There is no end to this slippery slope. They're going to keep pushing the limits as far as they can until we say enough is enough.
[2:41:23.000 --> 2:41:25.000]  And that's the point that we're at right now.
[2:41:25.000 --> 2:41:30.000]  I totally agree. We've gone over the slippery slope and the parachute is pulling out of the system as much as we can.
[2:41:30.000 --> 2:41:35.000]  Spiritually, then mentally, then physically, in the journey of a thousand miles, starts with a single step.
[2:41:35.000 --> 2:41:38.000]  Again, people should go read your articles at gab.com.
[2:41:38.000 --> 2:41:43.000]  Andrew Torba, where's the best place to find your excellent articles about the exodus?
[2:41:43.000 --> 2:41:46.000]  Or I should just post them both at infowars.com with links to you as well.
[2:41:46.000 --> 2:41:50.000]  Everybody needs to share these. This is information warfare. Tell us the name of the articles again.
[2:41:50.000 --> 2:41:53.000]  The Parallel Society just saying nay.
[2:41:53.000 --> 2:41:55.000]  Yeah, it's news.gab.com.
[2:41:55.000 --> 2:41:57.000]  That's our blog where all these articles can be found.
[2:41:57.000 --> 2:42:03.000]  And I've got some great responses on them. People are really enjoying these reads and they need to be shared with other people, too.
[2:42:03.000 --> 2:42:05.000]  These ideas need to be shared.
[2:42:05.000 --> 2:42:11.000]  You can take, I don't care if you give me credit or not, just get these ideas out there and we need more people talking about this stuff.
[2:42:11.000 --> 2:42:15.000]  We're already making a shirt that says come and vaccinate me instead of come and take it.
[2:42:15.000 --> 2:42:17.000]  But if you say, I'm going to put one out with that design right there.
[2:42:17.000 --> 2:42:21.000]  I love that where it says, do you guys put up the vaccine thing up again?
[2:42:21.000 --> 2:42:25.000]  That was really, really powerful. You guys just showed where it says come and make me.
[2:42:25.000 --> 2:42:30.000]  I mean, this is so anti-human, so ridiculous, so over the top, so ridiculous.
[2:42:30.000 --> 2:42:33.000]  Andrew Torbo, thank you so much.
[2:42:33.000 --> 2:42:35.000]  Thank you, Alex. Always a pleasure.
[2:42:35.000 --> 2:42:37.000]  There it is. What does a Parallel Society look like?
[2:42:37.000 --> 2:42:39.000]  I'm making a t-shirt out of this. He said use it.
[2:42:39.000 --> 2:42:46.000]  Come and make me. Let me say something to you during the break, Andrew, because I want to advertise with you guys to reach the most hardcore people that are on Gab.
[2:42:46.000 --> 2:42:50.000]  Very exciting. We want to see Gab explode. We want to see it be a billion-dollar company.
[2:42:50.000 --> 2:42:54.000]  We want to see the enemy defeated in the free market. That's why Big Tech is so scared.
[2:42:54.000 --> 2:42:56.000]  We'll be right back.
[2:43:25.000 --> 2:43:29.000]  The general public does not even know that.
[2:43:29.000 --> 2:43:42.000]  So when that criminal with his pedophile crackhead son gets up there on television and tells you that you are to blame because you didn't take your poison shot, that is a giant lie.
[2:43:42.000 --> 2:43:50.000]  Countries like Israel and Singapore with the highest vaccine rate have the highest death and highest illness rates.
[2:43:50.000 --> 2:43:57.000]  That is the facts. Get that information out to your friends, family and strangers like your life depends on it because it does.
[2:43:59.000 --> 2:44:07.000]  This headline is not a joke. This is America in September of 2020.
[2:44:07.000 --> 2:44:31.000]  DC court sends man to jail for watching conspiracy theory videos online. Yes, it says the police did a spot check for quote compliance at his home and found him in his garage watching rumble social media site, which they say is a conspiracy site.
[2:44:31.000 --> 2:44:46.000]  Also, he admitted to watching Mike Lindell's three-day cyber symposium. Yes, it was part of the conditions of his bail. The judge said he could not look at any videos questioning the election. No joke.
[2:44:46.000 --> 2:44:52.000]  And so they sent the stars into his house and caught him doing it. So now he's going into solitary confinement.
[2:44:52.000 --> 2:45:04.000]  Communism has come to America. The Republic has fallen. The world is awakening. The world is beginning to understand the globalist paradigm.
[2:45:04.000 --> 2:45:15.000]  They are discovering the globalist, the elites, the manipulation, the CFR, the trilateral commission, the Bilderberg group, the Bohemian Grove, the Club of Rome.
[2:45:15.000 --> 2:45:25.000]  And so even though it seems like the globalists are winning, the truth is they've had to come out in the open to attack human freedom because they're actually losing.
[2:45:25.000 --> 2:45:34.000]  We have forced them out in the open. So as bad as these times are, and a lot of negative things are about to happen, realize humanity is winning.
[2:45:34.000 --> 2:45:45.000]  You've got to trust in the plan of God and trust in the plan of God's justice. That is invincible. That is ethereal, timeless, and unstoppable.
[2:45:45.000 --> 2:45:54.000]  So don't trust in man, trust in God to lead God and direct your soul and then take action against the globalists and realize you've got my commitment from Alex Jones and my crew to you.
[2:45:54.000 --> 2:45:58.000]  We will never back down from the globalists and we will never surrender.
[2:45:58.000 --> 2:46:12.000]  Ultra 12 is already our overall number one bestseller. Ultra 12 is twice as strong as Secret 12 for an even lower price because I signed a huge multi-year contract to guarantee to buy a ton of it.
[2:46:12.000 --> 2:46:27.000]  And my bet ended up to be successful so far. Folks are ordering it in mass. They're getting great responses. They're giving us incredible reviews because we know what vitamin B12 of this type does, taken out of the tongue, where it's more absorbable.
[2:46:27.000 --> 2:46:38.000]  It supports healthy nerve and brain cells, helps make DNA, help the body produce more energy, help produce healthy blood cells, essential for proper nervous system function and so much more.
[2:46:38.000 --> 2:46:51.000]  You can take all the energy drinks and they won't do anything if you don't have the basics already in your body like vitamin B12, whether you're old, whether you're young, whether you're black, whether you're white, whether you live in Japan or the United States.
[2:46:51.000 --> 2:46:59.000]  Ultra 12 is the best vitamin B12 they're going to find out there. It's uber, absorbable, and it's 50% off right now at infowarslife.com.
[2:47:22.000 --> 2:47:34.000]  They're trying to overthrow Trump and spy on him. We're so deadly on target that if that gets to Congress or other people that are not that intelligent, it'll be over for the New World Order.
[2:47:34.000 --> 2:47:46.000]  But they want Andrew Torba off because he's got the biggest, most successful system, GAB, that gets better and better under massive attack because they don't want you having any communication when they carry out their globalist top.
[2:47:46.000 --> 2:47:56.000]  And they say that now in Congress and they say that in the state of Texas over for free speech but not GAB because they allow people to say whatever they want as long as it's not violent.
[2:47:56.000 --> 2:48:04.000]  Well, that's freedom. And again, ladies and gentlemen, Torba is at the center of this. I was about to say bye to him and cover a bunch of news.
[2:48:04.000 --> 2:48:11.000]  I said, how are you doing? He said, well, the German government's coming at us. I totally forgot the German government's trying to shut GAB down.
[2:48:11.000 --> 2:48:20.000]  So this is globalism, folks, with our free speech gone. It's not just big tech censoring us. It's foreign governments. So Andrew Torba from GAB.com tells us about that.
[2:48:20.000 --> 2:48:26.000]  Yeah, I wanted to stay for another segment because I forgot to bring this up. This is breaking news as of this afternoon, actually.
[2:48:26.000 --> 2:48:34.000]  The German government has been coming at us for about a year now and trying to force us to comply with their draconian censorship laws.
[2:48:34.000 --> 2:48:42.000]  Now, obviously, we're not going to do that. So now they're coming after us with these fines of tens of thousands of euros and other legal action.
[2:48:42.000 --> 2:48:47.000]  And basically, I've been talking to our lawyers this week and they said that we have more or less three options.
[2:48:47.000 --> 2:48:54.000]  We can obey German censorship laws and start censoring German content that the government doesn't like, which obviously we're not going to do.
[2:48:54.000 --> 2:49:01.000]  That's not going to happen. We can disobey German censorship and basically ignore this and try to pick a fight with an entire nation state.
[2:49:01.000 --> 2:49:06.000]  You know, as a small tech startup, I basically wouldn't be able to leave the U.S. ever again.
[2:49:06.000 --> 2:49:12.000]  They come after us from every possible angle through state-sponsored deplatforming and really, Lord knows what else.
[2:49:12.000 --> 2:49:16.000]  Or we can cease providing the service in Germany by blocking German IPs.
[2:49:16.000 --> 2:49:21.000]  And of course, many Germans are already using VPNs and other ways to access GAB.
[2:49:21.000 --> 2:49:30.000]  So I think that is probably our best option at this point is to just block German IPs in order to be in compliance and get the entire nation state of Germany off our back.
[2:49:30.000 --> 2:49:32.000]  It's this small tech startup here.
[2:49:32.000 --> 2:49:37.000]  Well, I had just seen an article a week ago where they mentioned you and others at the German state was looking at you.
[2:49:37.000 --> 2:49:41.000]  They're already finding you as this is already started and this is breaking.
[2:49:41.000 --> 2:49:43.000]  Yeah, yeah, they're coming after us hard.
[2:49:43.000 --> 2:49:49.000]  I mean, we got sent, they sent a huge packet of all these laws and all this stuff that we're breaking.
[2:49:49.000 --> 2:49:51.000]  So they're coming after us hard.
[2:49:51.000 --> 2:49:57.000]  And, you know, unfortunately, we just we don't have the resources to take on an entire nation state right now.
[2:49:57.000 --> 2:50:06.000]  So, you know, according to our lawyers, our best course of action right now is to block German IPs temporarily until we can figure a better solution out.
[2:50:06.000 --> 2:50:09.000]  But that'll be your fault when they use other systems to get around it.
[2:50:09.000 --> 2:50:11.000]  This is the tyranny of world government.
[2:50:11.000 --> 2:50:12.000]  We're already living in it.
[2:50:12.000 --> 2:50:19.000]  For those that don't know, they go live on Facebook feeds and SWAT team doctors that tell people about vitamin C and vitamin D.
[2:50:19.000 --> 2:50:25.000]  And they attack women with German shepherds and police forces and blow their eyeballs out with high powered water cannons.
[2:50:25.000 --> 2:50:29.000]  I mean, Germany is a hellish place again.
[2:50:29.000 --> 2:50:30.000]  It's it's absolute madness.
[2:50:30.000 --> 2:50:35.000]  And, you know, the fact that they're concerned about us, we we have German users certainly, but not that many.
[2:50:35.000 --> 2:50:39.000]  I mean, we're primarily a US based English speaking website.
[2:50:39.000 --> 2:50:46.000]  So the fact that they're that focused on us is really something it maybe tells me that we're more of a threat than we think that we are over.
[2:50:46.000 --> 2:50:47.000]  Look how big you've gotten in Brazil.
[2:50:47.000 --> 2:50:49.000]  I mean, come on, you are exploding.
[2:50:49.000 --> 2:50:50.000]  They're scared of you.
[2:50:50.000 --> 2:50:51.000]  These are tyrants.
[2:50:51.000 --> 2:50:54.000]  Everybody should rally behind you.
[2:50:54.000 --> 2:50:56.000]  Yeah, it's unfortunate what's going on.
[2:50:56.000 --> 2:51:00.000]  But, you know, like I said at this time, we don't have the resources to take on an entire nation state.
[2:51:00.000 --> 2:51:02.000]  So we have to do what we have to do.
[2:51:02.000 --> 2:51:05.000]  And I think that the Germans will figure out how to get around this, the German people.
[2:51:05.000 --> 2:51:15.000]  And, you know, it's just something that I wanted to be fully transparent with our community about because under no circumstances are we going to, you know, start censoring on behalf of a foreign government.
[2:51:15.000 --> 2:51:22.000]  Now, we have we have the foreign governments reach out all the time trying to get us to censor stuff and hand over user data and all this stuff.
[2:51:22.000 --> 2:51:24.000]  And, you know, we tell them to get lost all the time.
[2:51:24.000 --> 2:51:27.000]  But now they're, you know, Germany is really starting to bring down the hammer.
[2:51:27.000 --> 2:51:28.000]  So yeah, let's talk about Australia.
[2:51:28.000 --> 2:51:34.000]  They've done a regulatory from the crown director general.
[2:51:34.000 --> 2:51:38.000]  So it shows that the legislature, the parliament's just puppet.
[2:51:38.000 --> 2:51:40.000]  Just like Canada, people think they're free.
[2:51:40.000 --> 2:51:49.000]  But their governor general has come out and said, we're just going to read everybody's private text and emails and social media without asking.
[2:51:49.000 --> 2:51:53.000]  And we'll pose issue and send out messages if we want saying, don't go to a demonstration.
[2:51:53.000 --> 2:51:57.000]  So they said, we'll take your identity to and then five years in jail if we want.
[2:51:57.000 --> 2:52:02.000]  I mean, Australia is like the new North Korea, but with the Western civilization they're feeding on.
[2:52:02.000 --> 2:52:04.000]  I mean, this is unbelievable.
[2:52:04.000 --> 2:52:05.000]  It's absolutely crazy.
[2:52:05.000 --> 2:52:12.000]  And I think that we're going to start to see more and more of this, this balkanization of the Internet and of the West in general.
[2:52:12.000 --> 2:52:20.000]  And unless again, unless we start to break off and build right now, you know, we're not going to have anything.
[2:52:20.000 --> 2:52:21.000]  There's just going to be ash.
[2:52:21.000 --> 2:52:27.000]  So, you know, we need to start building our own parallel societies and, you know, our own parallel Internet and and fighting back against this.
[2:52:27.000 --> 2:52:30.000]  It's the only way forward because it's just going to get worse and worse.
[2:52:30.000 --> 2:52:34.000]  You know, we've already given them over the past two years, we've given them too much of our freedoms.
[2:52:34.000 --> 2:52:36.000]  We've given them too much of our liberty.
[2:52:36.000 --> 2:52:40.000]  And now they're getting bolder and bolder by the day and they're pushing further and further.
[2:52:40.000 --> 2:52:45.000]  And it's just, it's not going to stop until, you know, they eliminate us all or we're all in jail or worse.
[2:52:45.000 --> 2:52:46.000]  So that's right.
[2:52:46.000 --> 2:52:47.000]  This is real tyranny.
[2:52:47.000 --> 2:52:58.000]  And Andrew, in closing, people have to really let that sink in and understand that this is a global medical depopulation tyranny in their own words.
[2:52:58.000 --> 2:53:04.000]  And I think we'll now see that I wasn't exaggerating years ago that they really mean to implement every bit of what they've set up.
[2:53:04.000 --> 2:53:09.000]  And so that's why it's it's resist or die, isn't it?
[2:53:09.000 --> 2:53:10.000]  Absolutely, Alex.
[2:53:10.000 --> 2:53:21.000]  Turn off the football came, you know, turn off the Netflix, turn off the mainstream media news, start building, start caring about the future for your kids, the future for our country.
[2:53:21.000 --> 2:53:26.000]  Now is the time stop being distracted by the enemy's distractions and start building.
[2:53:26.000 --> 2:53:28.000]  That would be my message.
[2:53:28.000 --> 2:53:30.000]  General Milley, thank you so much, Andrew.
[2:53:30.000 --> 2:53:31.000]  Amazing job.
[2:53:31.000 --> 2:53:32.000]  We have.com.
[2:53:32.000 --> 2:53:33.000]  General Milley has put out a statement.
[2:53:33.000 --> 2:53:34.000]  I'll tell you about it.
[2:53:34.000 --> 2:53:39.000]  The next 15 minutes that Jay Dyer is going to be taking over, General Milley has come out with a statement.
[2:53:39.000 --> 2:53:41.000]  There goes Andrew Torvo of gab.com.
[2:53:41.000 --> 2:53:44.000]  Let me just say something here before I had all this other news that's breaking.
[2:53:44.000 --> 2:53:47.000]  There's so much my head spinning.
[2:53:47.000 --> 2:53:50.000]  That's pretty latest article from zero hedge.
[2:53:50.000 --> 2:53:52.000]  He's come out and made a statement.
