[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[01:48:06.917 --> 01:48:07.858]  This is the moment.
[01:48:07.858 --> 01:48:08.198]  Yeah.
[01:48:08.198 --> 01:48:11.679]  And so we have to continue that momentum and we have to... We have to lead again.
[01:48:11.679 --> 01:48:15.200]  It's not enough to say we led in the past, we must now lead at this moment.
[01:48:15.200 --> 01:48:21.603]  And we must now be so forceful that the spear of liberty, the spear is so
[01:48:22.703 --> 01:48:28.328]  Sharp and wide, it opens the gap for patriots to just flood through the armor.
[01:48:28.328 --> 01:48:29.449]  And so that's what's going to happen.
[01:48:29.449 --> 01:48:31.771]  If we continue to fight this, we continue to keep momentum up.
[01:48:31.771 --> 01:48:34.093]  Oh, if two million people hit D.C., it's over.
[01:48:34.093 --> 01:48:38.998]  They've censored everyone, they've shut everybody down to stop us at this moment and gaslight us.
[01:48:38.998 --> 01:48:40.179]  Everyone must go to D.C.
[01:48:40.179 --> 01:48:42.221]  this Saturday and surround the White House.
[01:48:42.221 --> 01:48:44.583]  Not the Lincoln Memorial, not the Easter Bunny.
[01:48:44.583 --> 01:48:45.444]  The White House.
[01:48:45.444 --> 01:48:46.184]  The White House.
[01:48:46.184 --> 01:48:46.905]  The White House.
[01:48:46.905 --> 01:48:47.506]  The White House.
[01:48:49.366 --> 01:48:57.572]  Don't be intimidated or bullied by the fascist left who is certainly going to try to do this as we embark on this journey to stop the steal.
[01:48:57.572 --> 01:49:03.036]  The Soros groups are going to be out there and everything, but we have to remain steadfast and our will has to be stronger.
[01:49:03.036 --> 01:49:04.057]  This is a convergence.
[01:49:04.057 --> 01:49:05.558]  Our will is stronger than theirs.
[01:49:05.558 --> 01:49:07.199]  Our will is definitely stronger than theirs.
[01:49:07.199 --> 01:49:12.343]  My problem is my will's turned up so high now I can't even handle it.
[01:49:12.343 --> 01:49:14.084]  I thought I was jacked into electricity before.
[01:49:14.084 --> 01:49:15.625]  How are you feeling?
[01:49:15.625 --> 01:49:16.866]  I can't handle it.
[01:49:16.866 --> 01:49:17.506]  It's insane now.
[01:49:19.352 --> 01:49:26.217]  You were saying earlier, it's, you know, your body, your cells are like, you know, vibrating, like telling you to do something else.
[01:49:26.217 --> 01:49:27.998]  And, you know, we don't want to do that.
[01:49:27.998 --> 01:49:29.219]  We don't want to go to that route.
[01:49:29.219 --> 01:49:31.741]  You know, we'd like to do this peacefully, politically.
[01:49:31.741 --> 01:49:34.482]  And, uh, but we will fight for America, whatever that means.
[01:49:34.482 --> 01:49:36.904]  So whatever it means to fight for America, we will do it.
[01:49:36.904 --> 01:49:38.685]  And this is what we believe the fight is right now.
[01:49:38.685 --> 01:49:40.327]  And so again, that's it.
[01:49:40.327 --> 01:49:41.828]  My cells are pissed at me.
[01:49:41.828 --> 01:49:43.068]  They're like, you're not doing enough.
[01:49:43.068 --> 01:49:44.710]  I feel like I'm being kicked in the head, man.
[01:49:45.510 --> 01:49:47.691]  So we are hoping you'll join us.
[01:49:47.691 --> 01:49:49.873]  We're hoping you'll start your own caravans.
[01:49:49.873 --> 01:49:51.334]  Find us in DC Friday.
[01:49:51.334 --> 01:49:53.235]  Find us in Atlanta Wednesday.
[01:49:53.235 --> 01:49:54.876]  Find us in Tallahassee Tuesday.
[01:49:54.876 --> 01:49:56.997]  Find us in Richmond Thursday.
[01:49:56.997 --> 01:49:59.999]  Isn't it great that Trump isn't backing down?
[01:50:01.749 --> 01:50:06.254]  You know what, it's great, but he needs to even be ramped up even more.
[01:50:06.254 --> 01:50:06.554]  I agree.
[01:50:06.554 --> 01:50:11.600]  He needs White House addresses at the Resolute Desk, laying out the election fraud every damn night.
[01:50:11.600 --> 01:50:16.745]  Yeah, and I think this, us... He needs to directly talk to us, but I know what he was waiting for.
[01:50:16.745 --> 01:50:18.127]  He's really a fair guy.
[01:50:18.127 --> 01:50:21.090]  He waited until the lawyers and everybody proved it was fraud.
[01:50:21.090 --> 01:50:21.791]  That's when he did this.
[01:50:22.151 --> 01:50:26.632]  And he wants to see if the American people really are ready to fight for this country and have his back, too.
[01:50:26.632 --> 01:50:27.873]  I think there's an element of that.
[01:50:27.873 --> 01:50:30.493]  Because if he sees millions in D.C.
[01:50:30.493 --> 01:50:37.915]  Well, you know, the White House told me as soon as they saw us, I don't take the credit, as soon as they saw everybody around the country mobilizing, they said, that's it.
[01:50:37.915 --> 01:50:42.276]  Trump told all of them, screw you, I'm doing it because they specifically mentioned Austin was the last straw.
[01:50:42.276 --> 01:50:43.217]  They were seeing that.
[01:50:43.217 --> 01:50:43.497]  Yeah.
[01:50:43.497 --> 01:50:46.938]  And we had thousands out in the street on Saturday.
[01:50:46.938 --> 01:50:47.618]  And I think, too,
[01:50:48.683 --> 01:50:50.444]  You know, our crowds are bigger than theirs.
[01:50:50.444 --> 01:51:02.707]  And I think that, you know, whether it's the president or whether it's somebody, you know, in his family or in his administration, they're getting it now that, look, you know, InfoWars has been ahead of all this stuff.
[01:51:02.707 --> 01:51:08.289]  So maybe we should start applying that into our formula of how we approach some of these things.
[01:51:08.289 --> 01:51:10.529]  Well, I will tell the enemy they already know this.
[01:51:10.529 --> 01:51:15.871]  If we were the formula four years ago, the White House now is listening because they know I called every facet.
[01:51:16.351 --> 01:51:16.471]  No.
[01:51:16.471 --> 01:51:24.157]  I mean, just down to the T. I mean, literally, we were sitting here, I was sitting on the war room saying, Philadelphia, they're gonna steal it, Philadelphia, they're gonna steal it, Detroit, Michigan, they're gonna steal it.
[01:51:24.157 --> 01:51:26.559]  It's like, I mean, it's not, it's just reading the cards on the table.
[01:51:26.559 --> 01:51:29.461]  Well, yeah, they were, they were tele, exactly, they were telegraphing, but at least we admitted it.
[01:51:29.461 --> 01:51:32.423]  We're gonna come back and talk about how Trump defeats him, how you defeat him.
[01:51:32.423 --> 01:51:35.265]  We can still beat him, but we've got days to do it.
[01:51:35.265 --> 01:51:36.166]  We are in the Zeitgeist.
[01:51:38.865 --> 01:51:41.167]  Talk about tomorrow's news today.
[01:51:41.167 --> 01:51:44.329]  This is all very transparent when you war game it out.
[01:51:44.329 --> 01:51:49.994]  Six months ago, InfoWars predicted that the mail-in ballots would be used to steal the election from Trump.
[01:51:49.994 --> 01:51:58.061]  They would simply pause the voting at night and then have an unlimited number that they had in reserve to bring forward in battleground states to secure the victory.
[01:51:58.061 --> 01:51:59.182]  And now that happened.
[01:51:59.182 --> 01:52:04.206]  Now, what else did I predict a few months ago and again last week and again last night, all on record?
[01:52:04.206 --> 01:52:06.307]  That when Joe Biden was president-elect,
[01:52:07.168 --> 01:52:09.029]  Via fraud, Trump would challenge it.
[01:52:09.029 --> 01:52:24.860]  But Biden's next move would be to form his own COVID task force, say that Trump is inept and has killed 267,000 Americans, which isn't true, and demand Trump's removal via the 25th Amendment if he doesn't let Joe Biden's new COVID task force give all the new orders.
[01:52:24.860 --> 01:52:29.483]  They'll tell Trump that if he backs down and follows their orders and steps down, they won't blame him for COVID.
[01:52:29.483 --> 01:52:31.184]  But if he doesn't, they're going to blame him for COVID.
[01:52:31.184 --> 01:52:34.287]  But then if he does do what they say, he's still going to blame them anyways.
[01:52:34.287 --> 01:52:36.228]  Plus, this is meant for martial law to destroy the economy.
[01:52:36.468 --> 01:52:39.930]  I warned you all.
[01:52:39.930 --> 01:52:41.410]  It's all on record.
[01:52:41.410 --> 01:52:56.577]  Yale, Harvard, Princeton, Stanford, they were all hired a year ago and then again six months ago to war game how to get the public to stay locked down during a pandemic and how to get the public to take inoculations.
[01:52:56.577 --> 01:52:59.298]  And they talk about calling people heroes that do it.
[01:52:59.298 --> 01:53:01.299]  They talk about shaming those that don't.
[01:53:01.299 --> 01:53:03.400]  This has all been psychologically tested.
[01:53:04.680 --> 01:53:06.381]  It's all been psychologically prepared.
[01:53:06.381 --> 01:53:10.723]  And once they get you to lock down for 15 days, you notice now they say it's permanent.
[01:53:10.723 --> 01:53:11.403]  That's how it works.
[01:53:11.403 --> 01:53:13.765]  Oh, just put these handcuffs on.
[01:53:13.765 --> 01:53:17.086]  The serial killer says the woman in the parking lot and everything will be alright.
[01:53:17.086 --> 01:53:17.867]  No.
[01:53:17.867 --> 01:53:22.789]  Now we've already put the handcuffs on and we're in the serial killer's van.
[01:53:22.789 --> 01:53:27.271]  He's taking us to his shack in the woods to slowly torture us to death.
[01:53:27.271 --> 01:53:28.192]  That's the allegory.
[01:53:28.912 --> 01:53:30.374]  We gotta bust out of this thing now.
[01:53:30.374 --> 01:53:31.816]  We gotta say no now.
[01:53:31.816 --> 01:53:34.079]  We gotta make a run for it now while we still can.
[01:53:34.079 --> 01:53:37.424]  Once he gets us in that basement, it's gonna get a lot, lot worse, folks.
[01:53:37.424 --> 01:53:42.431]  So stop submitting.
[01:53:42.431 --> 01:53:45.034]  You're listening to the Alex Jones Show.
[01:54:07.594 --> 01:54:11.296]  Alright, I wasn't trying to brag in the first hour.
[01:54:11.296 --> 01:54:14.978]  It's when I get so crystal clear about what the enemy is going to do and it's so easy to beat them.
[01:54:14.978 --> 01:54:23.042]  And I get so mad when I try to lay this out that I just want to overturn the desk.
[01:54:23.042 --> 01:54:25.724]  But we're going to talk about it after Owen leaves in 15 minutes.
[01:54:25.724 --> 01:54:27.705]  He's got to go get packed.
[01:54:27.705 --> 01:54:29.186]  Some final planning.
[01:54:29.186 --> 01:54:31.247]  5 o'clock, everybody meets at the Texas Capitol.
[01:54:32.398 --> 01:54:35.659]  And whether it's 20 cars or 100 cars, you have your gas, be ready.
[01:54:35.659 --> 01:54:36.620]  We're going.
[01:54:36.620 --> 01:54:38.280]  We're not going to worry about where you stay, what you do.
[01:54:38.280 --> 01:54:39.921]  This is your all on your own.
[01:54:39.921 --> 01:54:44.182]  We're with, you know, one for all, all for one, but we can't manage stuff.
[01:54:44.182 --> 01:54:49.504]  This is up to you and it'll be great to be part of the original caravan from Texas right through.
[01:54:49.504 --> 01:54:51.365]  If you're down in Houston, get ready.
[01:54:51.365 --> 01:54:54.146]  They'll announce soon where we're going to meet in Houston.
[01:54:54.146 --> 01:54:56.267]  But Owen, getting back to Trump.
[01:54:59.218 --> 01:55:03.060]  I get he wants to play golf to act like he's presidential and confident, and at least he stayed in.
[01:55:03.060 --> 01:55:10.663]  I think that's great, but he's now announced these rallies, which are a great idea that should begin very, very soon.
[01:55:10.663 --> 01:55:14.545]  Yeah, and actually, if you go back and you look at the president's last, I think, 15 rallies
[01:55:16.590 --> 01:55:16.910]  We're good to go.
[01:55:39.821 --> 01:55:41.764]  Hundreds of thousands show up for the Trump rallies.
[01:55:41.764 --> 01:55:45.168]  Pennsylvania, Arizona, Michigan, Wisconsin, North Carolina.
[01:55:45.168 --> 01:55:47.031]  Biden events, like six people maybe.
[01:55:47.031 --> 01:55:48.092]  It's all media.
[01:55:48.092 --> 01:55:52.238]  So he already has the optics of knowing that he really won those elections.
[01:55:52.238 --> 01:55:53.680]  Now he's going to come back and do it again.
[01:55:53.680 --> 01:55:57.385]  And I think the crowds are going to be even bigger this time, Alex.
[01:55:57.865 --> 01:55:58.646]  Oh, I agree.
[01:55:58.646 --> 01:56:00.106]  It'll be triple size.
[01:56:00.106 --> 01:56:03.308]  It's not just going to be people showing up to support Trump or be at a Trump rally.
[01:56:03.308 --> 01:56:04.589]  Now it's supporting voting.
[01:56:04.589 --> 01:56:05.070]  Everything.
[01:56:05.070 --> 01:56:06.490]  It's going to be supporting everything.
[01:56:06.490 --> 01:56:08.272]  The total repudiation of the fake news.
[01:56:08.272 --> 01:56:12.394]  And again, they just think, oh look, we're the mainstream media, we're gaslighting, you give up.
[01:56:12.394 --> 01:56:15.316]  When he doesn't give up, that scares the living hell out of them.
[01:56:15.316 --> 01:56:17.357]  And when we don't give up, it scares them even more.
[01:56:17.357 --> 01:56:21.380]  And I think that the reason why this is going to be so key, Alex, is because
[01:56:24.042 --> 01:56:27.926]  But he can throw down the gauntlet and be like, Joe, where are your crowds?
[01:56:27.926 --> 01:56:29.287]  Joe, where are your rallies?
[01:56:29.287 --> 01:56:33.572]  Joe, how come you don't have people in Pennsylvania, in Wisconsin, in Michigan?
[01:56:33.572 --> 01:56:36.555]  And he didn't need to whine about how he was at the polls.
[01:56:36.555 --> 01:56:39.118]  In reality, the polls were ahead of him, but he still won.
[01:56:39.118 --> 01:56:47.086]  He needs to go right to the fraud, right to Joe with nobody, how Joe's a Chicom agent, how he's illegitimate, and how America won't accept it and call America out.
[01:56:47.426 --> 01:56:50.107]  That's what they're fearing, is Trump calling us out to action.
[01:56:50.107 --> 01:57:00.211]  And I think that Americans seeing the fake acceptance by Joe Biden and the fake president-elect Joe Biden, I think that's got a lot of people like, whoa.
[01:57:00.211 --> 01:57:02.692]  It's like, whoa, it's time to fight.
[01:57:02.692 --> 01:57:04.773]  You know, hopefully not too late.
[01:57:04.773 --> 01:57:08.855]  So that's why I think the Trump rallies will be even bigger on this second go-around.
[01:57:08.855 --> 01:57:10.055]  And I think he should launch them.
[01:57:10.055 --> 01:57:11.436]  I think he should do it next week.
[01:57:12.136 --> 01:57:13.598]  He's got a launch now though.
[01:57:30.396 --> 01:57:32.997]  Giuliani and just like the board you have right here.
[01:57:32.997 --> 01:57:34.398]  Just show them the graphs.
[01:57:34.398 --> 01:57:38.559]  Oh yeah, we're going to have the graphs at the Stop the Steal Caravan.
[01:57:38.559 --> 01:57:43.641]  We're going to have the graphs with us so that when we stop and make these stops, we're going to do little presentations.
[01:57:43.641 --> 01:57:45.041]  By the way, did I pick the right route?
[01:57:45.041 --> 01:57:54.205]  Because we could obviously go up into Oklahoma, through Arkansas, through Tennessee, who are great folks, up through Kentucky, Virginia, but I just figure that southern route going to Florida is key.
[01:57:54.485 --> 01:57:58.687]  The southern route we chose because this way we can go through Georgia, where they're trying to steal it.
[01:57:58.687 --> 01:58:01.688]  We can go through North Carolina, where they're trying to steal it.
[01:58:01.688 --> 01:58:06.049]  And we can hit the capital of Florida, Tallahassee, where Trump has a huge backing.
[01:58:06.049 --> 01:58:12.332]  And if you're in West Virginia, Kentucky, Tennessee, Alabama, Mississippi, you want to come on, you better come on.
[01:58:13.100 --> 01:58:15.181]  Everybody always talks, oh, we'll march on Washington.
[01:58:15.181 --> 01:58:16.561]  Alex, we need to march on Washington.
[01:58:16.561 --> 01:58:17.901]  This is it, folks.
[01:58:17.901 --> 01:58:19.102]  This is the big one.
[01:58:19.102 --> 01:58:23.343]  And again, we'll keep you updated at Stop the Steal Caravan on Parler.
[01:58:23.343 --> 01:58:25.263]  At Stop the Steal Caravan on Parler.
[01:58:25.263 --> 01:58:27.184]  We're banned everywhere else, but we know we can have that on Parler.
[01:58:27.184 --> 01:58:31.625]  I'll be putting out hourly updates on where you can find us and how you can find us.
[01:58:31.625 --> 01:58:33.005]  That's parler.com.
[01:58:33.005 --> 01:58:33.885]  Stop the Steal.
[01:58:33.885 --> 01:58:35.606]  We have up to 100,000 people following it.
[01:58:36.463 --> 01:58:38.907]  And it's expanding right now.
[01:58:38.907 --> 01:58:40.729]  Hundreds of people are joining in every few minutes.
[01:58:40.729 --> 01:58:43.273]  Go to Stop the Steal on Parlor with Owen Schroyer.
[01:58:43.273 --> 01:58:43.774]  Straight ahead.
[01:58:43.774 --> 01:58:44.214]  Stay with us.
[01:58:47.560 --> 01:58:51.843]  There are many references in the Holy Bible to the mustard seed.
[01:58:51.843 --> 01:58:53.044]  And why is that?
[01:58:53.044 --> 01:59:00.849]  It's one of the tiniest seeds out there, but a giant tree-like bush grows from it that produces more mustard seeds.
[01:59:00.849 --> 01:59:05.333]  Mustard was known by the ancients around the world to have amazing health effects.
[01:59:05.333 --> 01:59:06.614]  They didn't know why.
[01:59:06.614 --> 01:59:12.358]  Well, with modern science we know it's one of the purest, cleanest organic forms of selenium.
[01:59:12.958 --> 01:59:24.442]  We have BioTrue Selenium, sold out for months, back in stock at InfoWarsStore.com at 50% off, store-wide free shipping, and triple patriot points.
[01:59:24.442 --> 01:59:33.965]  BioTrue Selenium at InfoWarsStore.com is an amazing product, and it's even more amazing in that it funds our operation.
[01:59:33.965 --> 01:59:36.466]  But if you don't know about selenium, research it.
[01:59:36.466 --> 01:59:38.807]  It is an essential nutrient in the body
[01:59:39.187 --> 01:59:40.249]  You absolutely have to have.
[01:59:40.249 --> 01:59:41.992]  It's back in stock.
[01:59:41.992 --> 01:59:42.472]  50% off.
[01:59:42.472 --> 01:59:45.838]  Triple Patriot points at InfoWareStore.com and with free shipping.
[02:00:15.851 --> 02:00:16.992]  Owen Troyer is our guest.
[02:00:16.992 --> 02:00:20.956]  I'm Alex Jones, your host, and we are fighting back.
[02:00:20.956 --> 02:00:22.737]  I'll be flying into Washington, D.C.
[02:00:22.737 --> 02:00:23.638]  in the next few days.
[02:00:23.638 --> 02:00:25.399]  I'm not going to say when.
[02:00:25.399 --> 02:00:30.484]  And I'm going to be running major operations against the globalists at Point Blank Range, politically and peacefully.
[02:00:30.484 --> 02:00:34.467]  And Owen Troyer is about to climb up in the armored vehicle with the RV we rented.
[02:00:35.368 --> 02:00:39.913]  And at 5.30 today, they're going to leave from the Texas Capitol on 11th Street in Congress.
[02:00:39.913 --> 02:00:48.482]  They're going to be caravaning down to Houston and then along the Gulf Coast to the capital of Florida, up into Georgia, South Carolina, North Carolina, Virginia, and D.C.
[02:00:48.482 --> 02:00:49.604]  by Friday.
[02:00:49.604 --> 02:00:54.229]  Join us in this historic Stop the Steal caravan.
[02:00:54.229 --> 02:00:55.910]  I talked to the White House and some other folks.
[02:00:57.025 --> 02:00:58.565]  Two days ago, they said, we're not giving up.
[02:00:58.565 --> 02:01:00.026]  I confirmed yesterday, they're not giving up.
[02:01:00.026 --> 02:01:02.887]  They said, watch, Trump's about to announce rallies.
[02:01:02.887 --> 02:01:04.827]  Now he's announced those rallies nationwide.
[02:01:04.827 --> 02:01:10.008]  It is up to us to stop the steal, the communist takeover, the globalist takeover.
[02:01:10.008 --> 02:01:21.492]  Joe Biden, even if Joe Biden had won this election fair and square, which he didn't, he's a communist Chinese agent with his son, who he throws in our face up on TV, hiding it in plain view.
[02:01:21.492 --> 02:01:22.872]  This is insane, Owen Schroeder.
[02:01:23.072 --> 02:01:25.593]  Well, we can't get too depressed over this.
[02:01:25.593 --> 02:01:38.577]  And we even have to prepare for the worst, and I hate to be the one that has to say this to the audience because they're not going to like this, but we still do have to prepare for the worst of them actually inaugurating Joe Biden because they have every intention to do so.
[02:01:38.577 --> 02:01:42.098]  And they've said that.
[02:01:42.098 --> 02:01:46.339]  But you've got to understand, this is why they're trying to steal the Senate seats too.
[02:01:47.423 --> 02:01:50.225]  Two in Georgia, one in Michigan.
[02:01:50.225 --> 02:01:51.506]  They need total power now.
[02:01:51.506 --> 02:01:52.747]  They're in so much trouble.
[02:01:52.747 --> 02:02:11.963]  And they know that their only hope is to have the Senate and the Presidency and then just sign all this stuff over and just sign America down the drain and then they can keep the impeachment of Joe Biden from happening for his crimes, for his involvement in Russia, in China, in Ukraine, in Romania, in Kazakhstan, in Iraq.
[02:02:13.617 --> 02:02:17.360]  He's basically a completely compromised candidate already heading in.
[02:02:17.360 --> 02:02:18.721]  So what are they going to do with Biden?
[02:02:18.721 --> 02:02:20.982]  Are they going to just shuffle him off?
[02:02:20.982 --> 02:02:22.363]  Like, and bring in Kamala?
[02:02:22.363 --> 02:02:24.305]  Or is he going to die magically of COVID?
[02:02:24.305 --> 02:02:25.466]  That's one of the top searches.
[02:02:25.466 --> 02:02:29.989]  There's a bunch of articles on the left saying, what happens if Biden dies before inauguration?
[02:02:30.903 --> 02:02:32.584]  I mean, he looks, he's already dead.
[02:02:32.584 --> 02:02:34.846]  But Kamala is even more phony than him.
[02:02:34.846 --> 02:02:36.547]  I mean, that's possible.
[02:02:36.547 --> 02:02:37.107]  Think about that.
[02:02:37.107 --> 02:02:38.949]  That's a double steal, Alex.
[02:02:38.949 --> 02:02:39.509]  Think about this.
[02:02:39.509 --> 02:02:41.550]  It's really like a quadruple steal.
[02:02:41.550 --> 02:02:46.053]  They stole the Democrat nomination from Bernie, but it wasn't even that.
[02:02:46.053 --> 02:02:54.999]  They stole it from Bernie, and then they never gave Tulsi Gabbard a chance, who was actually winning the debates, and then all the other clowns that were on the stage, like 17 of them or whatever.
[02:02:54.999 --> 02:02:57.861]  But Kamala was pulling the lowest.
[02:02:57.861 --> 02:02:59.002]  She was pulling the lowest.
[02:02:59.002 --> 02:02:59.582]  She was pulling at 0.1.
[02:03:00.823 --> 02:03:09.346]  So they literally said, OK, well, we'll just pull Kamala out before we have any voting so that the returns show her as, you know, zero percent on the polls.
[02:03:09.346 --> 02:03:16.047]  And then we'll just say, oh, she's the vice president of Joe Biden, who we stole it from in the primaries from Bernie Sanders.
[02:03:16.047 --> 02:03:23.190]  And then Biden will be so old and decrepit, one foot in the grave, he'll just kind of step aside or go into the sunlight or, God forbid, die.
[02:03:23.190 --> 02:03:24.350]  And then it'll be President Kamala.
[02:03:24.770 --> 02:03:33.272]  So they literally have foisted Kamala Harris from nothing, from nothing, into a certain role as the United States President.
[02:03:33.272 --> 02:03:35.212]  That's their plan.
[02:03:35.212 --> 02:03:37.853]  Because she's empty just like they are.
[02:03:37.853 --> 02:03:40.413]  She's totally, I mean, I don't even understand that woman.
[02:03:40.413 --> 02:03:42.674]  Alright, let's go ahead and look at some of these articles.
[02:03:42.674 --> 02:03:43.534]  Talk about fraud.
[02:03:43.534 --> 02:03:45.754]  Let's go ahead and cover these right now.
[02:03:45.754 --> 02:03:48.995]  But Ellen, I'm looking forward to the historic caravan you're about to lead.
[02:03:48.995 --> 02:03:49.375]  Good.
[02:03:49.375 --> 02:03:51.355]  I'm really looking forward to this.
[02:03:51.355 --> 02:03:52.376]  Are you bringing your tortoise?
[02:03:52.376 --> 02:03:53.156]  You better be, Alex.
[02:03:54.090 --> 02:03:55.330]  That's classified information.
[02:03:55.330 --> 02:03:57.691]  I was thinking about bringing my tortoise, though, yeah.
[02:03:57.691 --> 02:04:00.251]  He's named after the president, after all.
[02:04:00.251 --> 02:04:02.012]  Don J. Tortoise.
[02:04:02.012 --> 02:04:02.672]  Really?
[02:04:02.672 --> 02:04:02.972]  Yeah.
[02:04:02.972 --> 02:04:04.873]  It's a four-year-old African tortoise.
[02:04:04.873 --> 02:04:06.333]  He's African, so you can't call him racist.
[02:04:06.333 --> 02:04:07.673]  Well, you kidnapped him.
[02:04:07.673 --> 02:04:08.773]  I did not kidnap him.
[02:04:08.773 --> 02:04:10.294]  I saved him.
[02:04:10.294 --> 02:04:11.594]  I saved him from the Barbaries.
[02:04:11.594 --> 02:04:14.615]  They were ancestors of Ilhan Omar.
[02:04:14.615 --> 02:04:17.696]  Trying to sell African tortoises into slavery.
[02:04:17.696 --> 02:04:19.556]  How do you think they built the pyramids, Alex?
[02:04:19.556 --> 02:04:21.436]  Those tortoises are strong.
[02:04:21.436 --> 02:04:22.957]  You're not bringing that tortoise with you.
[02:04:25.496 --> 02:04:28.238]  No, but we are going to be bringing our American spirit.
[02:04:28.238 --> 02:04:29.658]  What got you into tortoises?
[02:04:29.658 --> 02:04:30.599]  I don't know, man.
[02:04:30.599 --> 02:04:33.500]  Have you ever seen that news clip of the little kid who, like, says he's a tortoise?
[02:04:33.500 --> 02:04:34.641]  Or he says he's a turtle?
[02:04:34.641 --> 02:04:36.942]  Like, I love turtles!
[02:04:36.942 --> 02:04:37.922]  I think that may have been me.
[02:04:37.922 --> 02:04:39.503]  Teenage Mutant Ninja Turtles.
[02:04:39.503 --> 02:04:40.444]  That's probably what it was.
[02:04:40.444 --> 02:04:41.985]  I like the Teenage Mutant Ninja Turtles.
[02:04:41.985 --> 02:04:42.645]  I think that's what it was.
[02:04:42.645 --> 02:04:43.926]  Heroes of the Half Shell.
[02:04:43.926 --> 02:04:47.007]  We're kind of going in like a tortoise vehicle, though.
[02:04:47.007 --> 02:04:48.168]  You know, the armored truck.
[02:04:48.168 --> 02:04:49.108]  It's got all the armor.
[02:04:49.108 --> 02:04:50.909]  It moves kind of slow.
[02:04:50.909 --> 02:04:53.330]  But it always gets to the destination safely.
[02:04:53.330 --> 02:04:53.591]  Oh, yeah.
[02:04:54.631 --> 02:04:55.752]  All right, let's get serious here.
[02:04:55.752 --> 02:04:58.273]  The fight for the soul of our republic has begun.
[02:04:58.273 --> 02:05:00.174]  I agree with the Gateway Pundit's headline.
[02:05:00.174 --> 02:05:04.376]  With all the recounts, investigations, audits, and count cases, the election is far from over.
[02:05:04.376 --> 02:05:05.196]  That is totally true.
[02:05:05.196 --> 02:05:08.218]  Don't let mainstream media lie to you.
[02:05:08.218 --> 02:05:09.318]  Huge breaking news in Georgia.
[02:05:09.318 --> 02:05:16.222]  132,000 ballots now confirmed in Fulton County, Georgia, have been identified, which are likely ineligible.
[02:05:16.222 --> 02:05:19.123]  And just so happen to almost all be for Joe Biden.
[02:05:20.504 --> 02:05:29.429]  And that's the only reason they haven't called Georgia for Biden yet, because they're afraid that those ballots are going to get nullified, so they're going to have to send in another 200,000.
[02:05:29.429 --> 02:05:31.730]  That's right, they just always have more.
[02:05:31.730 --> 02:05:35.973]  Republicans in Michigan goes from loser to winner after technical glitch.
[02:05:35.973 --> 02:05:39.295]  Fixed officials urge confidence in the system.
[02:05:40.233 --> 02:05:45.434]  So again, Republican in Michigan goes from loser to winner after technical glitch fixed.
[02:05:45.434 --> 02:05:48.015]  Officials urged confidence in the system.
[02:05:48.015 --> 02:06:01.397]  An incumbent Republican in Michigan went from losing his re-election race to winning it after officials discovered a technical glitch by which the results from seven precincts had been counted twice, which they kept ordering in Michigan and in Pennsylvania.
[02:06:01.397 --> 02:06:03.517]  Oh, you didn't hit upload, re-upload.
[02:06:03.517 --> 02:06:04.638]  Now the word is there too.
[02:06:04.638 --> 02:06:06.018]  It's double uploads, the same votes.
[02:06:06.118 --> 02:06:06.918]  Well, it's everywhere.
[02:06:06.918 --> 02:06:11.120]  In fact, that system, the Dominion voting system, is used in, I think, like 30 states.
[02:06:11.120 --> 02:06:17.884]  But most importantly, it's used in Pennsylvania, Michigan, and Wisconsin, conveniently, that they stole for Biden in the dark of night.
[02:06:17.884 --> 02:06:27.148]  And you can go to theclintonfoundation.org and you can find out that it was the Clinton Foundation that brought in the Dominion voting system into our Western democracy.
[02:06:27.148 --> 02:06:27.728]  There's another one.
[02:06:27.728 --> 02:06:29.489]  Staple Street is Soros.
[02:06:29.489 --> 02:06:29.729]  Yeah.
[02:06:29.729 --> 02:06:31.170]  And it was in the key states as well.
[02:06:31.170 --> 02:06:31.610]  Yep.
[02:06:31.610 --> 02:06:32.390]  Breaking huge.
[02:06:32.390 --> 02:06:33.251]  Another glitch.
[02:06:33.891 --> 02:06:38.614]  Captured live on CNN election night, 20,000 votes swapped from Trump to Biden.
[02:06:38.614 --> 02:06:39.695]  It's magic, Alex.
[02:06:39.695 --> 02:06:50.601]  The Associated Press, though, agrees with Democrats that GOP observers should not be allowed inside Convention Center to watch vote counts, even though it's federal and state law.
[02:06:50.601 --> 02:06:53.423]  I mean, can you imagine how ridiculous that is?
[02:06:53.423 --> 02:06:57.145]  They took a victory from Donald Trump and they called it a lie.
[02:06:57.145 --> 02:06:58.206]  This country's under attack.
[02:06:58.206 --> 02:07:01.008]  Attorney Lin Wood on why he joined Trump's legal team.
[02:07:01.812 --> 02:07:03.833]  Yep, the Patriots are stepping up.
[02:07:03.833 --> 02:07:08.156]  We're going to be abandoned by some people you didn't think would abandon us, but the Patriots are stepping up, Alex.
[02:07:08.156 --> 02:07:18.984]  Facebook and Twitter suspend accounts that posted on Binford's Law showing Biden's implausible vote totals labeling as sexual exploitation.
[02:07:18.984 --> 02:07:25.529]  Yeah, I've seen videos on YouTube that show graphs and things and they call it not suitable for under 18.
[02:07:27.418 --> 02:07:29.458]  And it's just a graph.
