[00:00.000 --> 00:10.040]  The Web, eFoodsDirect.com, 800-409-5633.
[46:35.160 --> 46:37.160]  On what to cut back on
[46:37.160 --> 46:40.160]  And what's essential as we prepare for an uncertain future
[46:40.160 --> 46:42.160]  In these troubled times
[46:42.160 --> 46:44.160]  One of the most important things your family can have
[46:44.160 --> 46:45.160]  Is good health
[46:45.160 --> 46:47.160]  Some of the contributors to poor health
[46:47.160 --> 46:50.160]  Are parasites, viruses, toxins and heavy metals
[46:50.160 --> 46:51.160]  It's a documented fact
[46:51.160 --> 46:53.160]  80% of all Americans
[46:53.160 --> 46:55.160]  And 85% of people around the world
[46:55.160 --> 46:57.160]  Suffer from internal parasites
[46:57.160 --> 46:59.160]  And parasitic infection
[46:59.160 --> 47:01.160]  Now you can fight internal parasites
[47:01.160 --> 47:03.160]  Heavy metals and high cholesterol
[47:03.160 --> 47:04.160]  Naturally and safely
[47:04.160 --> 47:07.160]  By mixing fossilized phytoplankton powder
[47:07.160 --> 47:10.160]  Also known as FPP with your favorite beverage
[47:10.160 --> 47:11.160]  Once a day
[47:11.160 --> 47:13.160]  FPP is now available to you
[47:13.160 --> 47:15.160]  From FreshwaterOrganics.com
[47:15.160 --> 47:18.160]  A two month supply starts at just $17
[47:18.160 --> 47:20.160]  FPP is so affordable
[47:20.160 --> 47:22.160]  You can't afford to do without
[47:22.160 --> 47:24.160]  Visit FreshwaterOrganics.com
[47:24.160 --> 47:25.160]  Or call them toll free
[47:25.160 --> 47:29.160]  At 888-949-3570
[47:29.160 --> 47:32.160]  That's 888-949-3570
[47:32.160 --> 47:37.160]  You're listening to GCN
[47:37.160 --> 48:03.160]  The Genesis Communications Radio Network
[48:07.160 --> 48:18.160]  That's right, take the Prozac
[48:18.160 --> 48:24.160]  Yes, put the whole population on drugs
[48:24.160 --> 48:26.160]  And cause people to go completely psychopathic
[48:26.160 --> 48:28.160]  And murder their families
[48:28.160 --> 48:31.160]  And then disarm the American people
[48:31.160 --> 48:37.160]  So they can't defend themselves
[48:37.160 --> 48:39.160]  Sanitarium
[48:39.160 --> 48:42.160]  Just leave me alone
[48:42.160 --> 48:44.160]  Just leave me alone
[48:58.160 --> 49:00.160]  You know, the new freedom initiative
[49:00.160 --> 49:02.160]  That Bush passed that Obama's expanding
[49:02.160 --> 49:04.160]  Brags in its own public documents
[49:04.160 --> 49:06.160]  Their plan is to put half
[49:06.160 --> 49:09.160]  Of American school children on psychotrophics
[49:09.160 --> 49:11.160]  And there'll be more suicides, more shootings
[49:11.160 --> 49:13.160]  It's a perfect plan
[49:13.160 --> 49:16.160]  That they'll come for our guns as they are now
[49:16.160 --> 49:18.160]  Let's go to Sean in Utah
[49:18.160 --> 49:21.160]  Sean, thanks for holding your on the year worldwide
[49:21.160 --> 49:23.160]  Alex, thanks for taking my call
[49:23.160 --> 49:24.160]  Good news from Utah
[49:24.160 --> 49:25.160]  We got a bill in the legislature
[49:25.160 --> 49:29.160]  To do away with the concealed and carry
[49:29.160 --> 49:33.160]  Bad news, the body scanning cameras
[49:33.160 --> 49:35.160]  Went up in the airport with no resistance
[49:35.160 --> 49:37.160]  Well, let me stop you there for a moment
[49:37.160 --> 49:39.160]  You're saying you want Vermont style concealed carry
[49:39.160 --> 49:41.160]  Where you don't have to get a license
[49:41.160 --> 49:42.160]  To have your second amendment
[49:42.160 --> 49:43.160]  Which turns a right into a privilege
[49:43.160 --> 49:45.160]  Is that what you're saying?
[49:45.160 --> 49:47.160]  Right, it's something to do with that
[49:47.160 --> 49:49.160]  It's similar, I was reading over the bill
[49:49.160 --> 49:50.160]  And then all over the country
[49:50.160 --> 49:52.160]  They're putting in body scanners
[49:52.160 --> 49:55.160]  That 360 biometrically scan your naked body
[49:55.160 --> 49:57.160]  Through your clothes and put it on a hard drive
[49:57.160 --> 49:59.160]  And now they train you to take your shoes off
[49:59.160 --> 50:01.160]  They train you not to have water or toothpaste
[50:01.160 --> 50:02.160]  To be a good slave
[50:02.160 --> 50:04.160]  They admit it's all part of basically dog training
[50:04.160 --> 50:05.160]  To train us to submit
[50:05.160 --> 50:08.160]  And now they're going to train us to have our body scanned
[50:08.160 --> 50:12.160]  Right, I was surprised that nobody spoke out on it
[50:12.160 --> 50:14.160]  Well, people did speak out
[50:14.160 --> 50:16.160]  The media just doesn't cover that
[50:16.160 --> 50:18.160]  Again, they only make maybe one out of ten people
[50:18.160 --> 50:19.160]  Go through it
[50:19.160 --> 50:21.160]  I'm not going through the thing
[50:21.160 --> 50:22.160]  And I'm sure they'll taser me
[50:22.160 --> 50:24.160]  And maybe murder me in one of the airports
[50:24.160 --> 50:27.160]  If I dare to not want to have my body scanned naked
[50:27.160 --> 50:29.160]  Or if I'm flying with my family
[50:29.160 --> 50:31.160]  If I dare to not want to put my wife and children through it
[50:31.160 --> 50:33.160]  So the perverts and the government can have that
[50:33.160 --> 50:34.160]  But I say pervert
[50:34.160 --> 50:36.160]  The real reason is that machine
[50:36.160 --> 50:38.160]  360 scans your whole body
[50:38.160 --> 50:40.160]  And then with the surveillance cameras
[50:40.160 --> 50:41.160]  And the rest of the system
[50:41.160 --> 50:42.160]  Even if you're wearing a mask
[50:42.160 --> 50:44.160]  It knows your body's signature
[50:44.160 --> 50:46.160]  And DARPA admits that's the
[50:46.160 --> 50:49.160]  Secret weapon Bob Woodward talked about in his book
[50:49.160 --> 50:51.160]  Late last year that they've deployed in Iraq
[50:51.160 --> 50:52.160]  It's body scanners
[50:52.160 --> 50:54.160]  Oh, wow
[50:54.160 --> 50:56.160]  Well, the Obama deception was great
[50:56.160 --> 50:58.160]  I saw with my prison plan TV membership
[50:58.160 --> 51:00.160]  And just want to commend you on that
[51:00.160 --> 51:02.160]  But the reason I called is
[51:02.160 --> 51:04.160]  Michael Wiener Savage
[51:04.160 --> 51:06.160]  On the 4th of March
[51:06.160 --> 51:08.160]  Said to his audience
[51:08.160 --> 51:10.160]  The first half hour or the first
[51:10.160 --> 51:12.160]  Hour of his show he said
[51:12.160 --> 51:15.160]  There will be a Reichstag-like event in this country
[51:15.160 --> 51:17.160]  No, that's good
[51:17.160 --> 51:19.160]  Savage is really coming a long way
[51:19.160 --> 51:21.160]  He came out and documented that
[51:21.160 --> 51:23.160]  Obama's policies are like the Nazis
[51:23.160 --> 51:25.160]  In government policy
[51:25.160 --> 51:27.160]  Which is true, but he didn't point out
[51:27.160 --> 51:29.160]  The Republicans helped set it all up
[51:29.160 --> 51:31.160]  And we did a story on that at
[51:31.160 --> 51:32.160]  MFullWars.com
[51:32.160 --> 51:34.160]  And I hope it comes all the way
[51:34.160 --> 51:36.160]  But I did get emails about that
[51:36.160 --> 51:37.160]  I didn't hear it
[51:37.160 --> 51:39.160]  He's talking about government-sponsored terrorism
[51:39.160 --> 51:41.160]  Well, good for him then, good
[51:41.160 --> 51:43.160]  Well, I was really surprised to hear it
[51:43.160 --> 51:45.160]  And I'm paraphrasing that he said
[51:45.160 --> 51:47.160]  A Reichstag-like event perpetrated by the government
[51:47.160 --> 51:49.160]  To justify a dictatorship
[51:49.160 --> 51:51.160]  So I thought that was pretty big news
[51:51.160 --> 51:52.160]  Well, that is big news
[51:52.160 --> 51:53.160]  Somebody find the clip and send it to me
[51:53.160 --> 51:55.160]  Well, I hail Savage then
[51:55.160 --> 51:57.160]  I appreciate the call
[51:57.160 --> 51:59.160]  All I wanted is these people to wake up
[51:59.160 --> 52:00.160]  And stand up
[52:00.160 --> 52:02.160]  I had Chuck Norris on for 35 minutes
[52:04.160 --> 52:06.160]  On Friday's show
[52:06.160 --> 52:08.160]  And Chuck Norris
[52:08.160 --> 52:09.160]  We first had him on last year
[52:09.160 --> 52:10.160]  And I found out
[52:10.160 --> 52:11.160]  I knew years ago
[52:11.160 --> 52:12.160]  And it had been one contact with him
[52:12.160 --> 52:14.160]  About a decade ago
[52:14.160 --> 52:16.160]  And I knew that he was a
[52:16.160 --> 52:17.160]  Listener of the show
[52:17.160 --> 52:19.160]  But last time I had him on
[52:19.160 --> 52:20.160]  About five months ago
[52:20.160 --> 52:22.160]  He said, no, I listen every week
[52:22.160 --> 52:23.160]  During a break when I was talking to him
[52:23.160 --> 52:25.160]  And then this week he kind of
[52:25.160 --> 52:26.160]  Said how great the show was
[52:26.160 --> 52:27.160]  And I was a crusader
[52:27.160 --> 52:29.160]  And he wants you to defeat the New World Order
[52:29.160 --> 52:31.160]  And arrest the New World Order bankers
[52:31.160 --> 52:34.160]  And it was blowing me away Friday
[52:34.160 --> 52:36.160]  In fact, that was a long interview
[52:36.160 --> 52:38.160]  That's why I didn't have you guys clip it out
[52:38.160 --> 52:40.160]  I forgot to tell you Friday
[52:40.160 --> 52:43.160]  But he said that a couple of times in the interview
[52:43.160 --> 52:45.160]  Just see if you can find it
[52:45.160 --> 52:47.160]  And I know it's posted up at infowars.com
[52:47.160 --> 52:48.160]  But there's just two of you
[52:48.160 --> 52:49.160]  And I don't know if we've got time
[52:49.160 --> 52:50.160]  In the end of the show
[52:50.160 --> 52:53.160]  To pull a clip of Chuck Norris on the show
[52:53.160 --> 52:54.160]  And that's a big deal
[52:54.160 --> 52:56.160]  Because the police love him
[52:56.160 --> 52:57.160]  For all he's done
[52:57.160 --> 52:59.160]  For law enforcement charities and stuff
[52:59.160 --> 53:02.160]  And all the movies glorify the police he's made
[53:02.160 --> 53:03.160]  And that's a big deal
[53:03.160 --> 53:04.160]  Having him come over against the New World Order
[53:04.160 --> 53:08.160]  We're very excited about having Chuck Norris on board
[53:08.160 --> 53:12.160]  And of course I also woke up
[53:12.160 --> 53:15.160]  A really big Hollywood star
[53:15.160 --> 53:16.160]  You do have the Savage clip?
[53:16.160 --> 53:19.160]  Really? How did you find it that fast?
[53:19.160 --> 53:21.160]  It's on YouTube?
[53:21.160 --> 53:29.160]  What's the name of the clip?
[53:29.160 --> 53:31.160]  And so you went on, it's called
[53:31.160 --> 53:34.160]  Michael Savage, New World Order, Agenda Exposed
[53:34.160 --> 53:36.160]  You know what? We'll post that up on infowars
[53:36.160 --> 53:38.160]  I'm not going to play his radio show here
[53:38.160 --> 53:40.160]  It's fair use but it gets into a grey area
[53:40.160 --> 53:43.840]  a gray area. I'm just not going to do it.
[53:43.840 --> 53:47.320]  Why don't you guys listen to it and write me just the quote about Reichstag.
[53:47.320 --> 53:48.360]  See if that's in there.
[53:48.360 --> 53:50.040]  Then I'll just.
[53:50.040 --> 53:53.080]  We play like 10 seconds of it, but I don't want to play a bunch of it.
[53:53.080 --> 53:56.640]  Let's go ahead and talk to Dan.
[53:56.640 --> 53:59.680]  Dan, you're on the air from Alaska.
[53:59.680 --> 54:02.240]  Hey Alex, it's always a pleasure talking to you, my friend.
[54:02.240 --> 54:04.040]  Good to talk to you.
[54:04.040 --> 54:08.760]  The Obama deception was awesome, and I did do what I told you I was going to do.
[54:08.760 --> 54:10.320]  I made 50 copies of it.
[54:10.320 --> 54:13.120]  I'm passing it out to everybody I know.
[54:13.120 --> 54:14.880]  I also did what I told you I was going to do.
[54:14.880 --> 54:20.160]  I got a transmitter on the way to me so I can broadcast your voice to the local
[54:20.160 --> 54:21.560]  anchor sites up here.
[54:21.560 --> 54:24.680]  Yeah, for those that don't know, we have a sponsor up on infowars.com,
[54:24.680 --> 54:29.280]  but I had them on separate from being a sponsor that has a totally legal FCC
[54:29.280 --> 54:33.560]  approved certified AM transmitter that with the right antenna goes out three
[54:33.560 --> 54:34.560]  miles.
[54:34.560 --> 54:37.520]  And we're really, really excited that folks are putting those up everywhere on
[54:37.520 --> 54:40.960]  Dead Space, on the AM dial, and then streaming my show over the web or other
[54:40.960 --> 54:41.960]  shows.
[54:41.960 --> 54:42.960]  Absolutely.
[54:42.960 --> 54:47.280]  I'll tell you what, Alex, you have lit a fire inside of me.
[54:47.280 --> 54:52.440]  I did not know I had, and I want to thank you for that.
[54:52.440 --> 54:59.720]  Another thing I want to bring to your attention is if you Google states file
[54:59.720 --> 55:06.240]  sovereignty, the very first one that comes up is from Panamalaw.org.
[55:06.240 --> 55:11.320]  It was written on February 18th, but this is an actual law firm that has written
[55:11.320 --> 55:14.560]  a little article about the state's filing sovereignty.
[55:14.560 --> 55:19.760]  Now, in the article, they only tell you about 20 states, because at the time,
[55:19.760 --> 55:21.280]  that was the number.
[55:21.280 --> 55:27.640]  And as we all know, it's grown to 32, but it is well-written.
[55:27.640 --> 55:30.200]  You got to have your boys back there behind the scenes.
[55:30.200 --> 55:31.200]  Check that out real quick.
[55:31.200 --> 55:36.160]  I think even you would like it, but I just wanted to let you know.
[55:36.160 --> 55:37.160]  Thank you very much.
[55:37.160 --> 55:38.160]  Good to hear from you, Dan.
[55:38.160 --> 55:40.560]  Let's go now to Brian in Berkeley.
[55:40.560 --> 55:43.560]  I would guess that means Central California.
[55:43.560 --> 55:44.560]  Hello, Brian.
[55:44.560 --> 55:47.000]  Oh, well, hello, Alex.
[55:47.000 --> 55:49.880]  And thank you very much for your service to this country.
[55:49.880 --> 55:52.560]  The Founding Fathers do smile upon you.
[55:52.560 --> 55:58.840]  Anyway, I wanted to bring to the attention of your audience and to you yourself about
[55:58.840 --> 56:03.280]  the Oscar Gratcase, because you haven't really mentioned that too often.
[56:03.280 --> 56:09.640]  And I really fear that, I mean, of course, you know that the Marines, the Warrant Roots,
[56:09.640 --> 56:13.480]  and the Oakland Police Department have, you know, trained together, you know, you covered
[56:13.480 --> 56:19.680]  it in police states 1,000, about, you know, we're still having, you know, we're still
[56:19.680 --> 56:20.680]  in insurrection.
[56:20.680 --> 56:28.080]  Yeah, Oscar Grant did nothing, and the officers shot him in the back on the platform of the
[56:28.080 --> 56:30.680]  train there in the Bay Area.
[56:30.680 --> 56:34.560]  And then the cop started kind of slapping him around after he shot him in the back, flipped
[56:34.560 --> 56:37.960]  him over, kind of roughed him up, and then they tried to seize everybody's cameras and
[56:37.960 --> 56:41.120]  claim he'd attacked the police, which wasn't true.
[56:41.120 --> 56:45.480]  And thank God, people on a passing train, when it stopped, got good video of it to prove
[56:45.480 --> 56:46.480]  the murder.
[56:46.480 --> 56:49.800]  And it's, it's really a horrible case.
[56:49.800 --> 56:56.040]  Well, not only that, but there's been another video released with another police officer,
[56:56.040 --> 57:00.880]  Tony Peroni, the guy who pushed his knee on the neck of Oscar Grant, punching him in the
[57:00.880 --> 57:01.880]  face.
[57:01.880 --> 57:02.880]  And no investigation, nothing from good.
[57:02.880 --> 57:05.880]  Well, I mean, after you shoot somebody in the back, you got to beat him up a little.
[57:05.880 --> 57:10.680]  I mean, you know, how, I mean, that, that, that, that, that was an assault on an officer.
[57:10.680 --> 57:15.720]  So when the officer shoots you, you need to be charged with assaulting them.
[57:15.720 --> 57:16.720]  That's how this works.
[57:16.720 --> 57:17.720]  See,
[57:17.720 --> 57:23.200]  But just like how my friend, uh, David Santos, who, uh, put a horn to the crowd in January
[57:23.200 --> 57:28.000]  7th, where the riots happened and they charged him with 2,000 counts, this guy's 16 years
[57:28.000 --> 57:30.960]  old with inciting the riot and vandalism.
[57:30.960 --> 57:32.640]  And all he did was bowl on a crap.
[57:32.640 --> 57:35.880]  So you go on, use your free speech, you get charged with felonies.
[57:35.880 --> 57:41.720]  Well, that's because the bankers rule America and they've got to suppress the people.
[57:41.720 --> 57:45.240]  And they know that if we take the nation back, we're going to prosecute the bankers, as Ron
[57:45.240 --> 57:47.040]  Paul and others are calling for.
[57:47.040 --> 57:48.040]  And I appreciate your call.
[57:48.040 --> 57:52.240]  And yeah, since I've been calling for the arrest of the bankers and lawfully, I want
[57:52.240 --> 57:54.600]  the grand juries to indict them for the crimes they've committed.
[57:54.600 --> 57:57.440]  Congressman Ron Paul and others have agreed Chuck Norris agreed on the show Friday.
[57:57.440 --> 57:58.440]  I guess easy.
[57:58.440 --> 58:02.360]  Well now, uh, we're getting all sorts of dirty tricks against us.
[58:02.360 --> 58:06.480]  Again, the Obama deception is now available at prisonplanet.tv and super high quality
[58:06.480 --> 58:11.280]  downloaded burn at the desk, take as many copies as you want to give out to folks.
[58:11.280 --> 58:15.640]  And you can also order the super high quality DVD at infowars.com and support the filmmaker.
[58:15.640 --> 58:19.240]  We're going to come back with some quick comments on the film, some new developments there and
[58:19.240 --> 58:20.560]  your calls after the news.
[58:20.560 --> 58:21.560]  Stay with us.
[58:21.560 --> 58:26.920]  The IRS is skimming the wealth of the American people for the Wall Street bankers, taxpayers
[58:26.920 --> 58:30.600]  are being raked over the coals and forced to pay for bailout after bailout.
[58:30.600 --> 58:31.600]  First we went after the Fed.
[58:31.600 --> 58:33.680]  Now we're going after the internal revenue service.
[58:33.680 --> 58:38.960]  On April 15th, the Republic strikes back every zip code at every post office nationwide.
[58:38.960 --> 58:39.960]  One purpose.
[58:39.960 --> 58:40.960]  Show me the law.
[58:40.960 --> 58:44.280]  Visit show me the law.org and sign up today to get involved.
[58:44.280 --> 58:46.840]  Action groups are forming now every store on the republic.net.
[58:46.840 --> 58:50.320]  Join us in this national grassroots action to end the federal income tax.
[58:50.320 --> 58:52.800]  On April 15th, the republic strikes back.
[58:52.800 --> 58:57.000]  We the people grow cotton, wheat fabric, engrave ink, embed strips and fibers to protect from
[58:57.000 --> 59:01.240]  counterfeit and carting to a private bank, having it led back at interest, forcing taxes
[59:01.240 --> 59:02.240]  to service debt.
[59:02.240 --> 59:05.760]  This capitalism or was Jefferson correct when stating a central bank issuing the public
[59:05.760 --> 59:09.040]  currency is a greater menace to the liberties of the people than a standing army?
[59:09.040 --> 59:13.360]  Hi, Ted Anderson, I'm placing a silver dollar in a book explains our monetary system.
[59:13.360 --> 59:16.600]  Call for your copy 800-686-2237.
[59:16.600 --> 59:23.000]  It's time to understand the system, call 800-686-2237, that's 800-686-2237.
[59:23.000 --> 59:27.920]  With food prices soaring to all time highs, as the dollar continues to fall in value,
[59:27.920 --> 59:31.920]  what can you and your family do to guarantee that fresh nutritious vegetables will make
[59:31.920 --> 59:33.760]  it to your dinner table?
[59:33.760 --> 59:35.160]  Garden in a can.
[59:35.160 --> 59:39.280]  Garden in a can is your source for premium long term storeable seeds.
[59:39.280 --> 59:42.960]  Garden in a can is ready when you are, plant them now or store them for when you really
[59:42.960 --> 59:43.960]  need them.
[59:43.960 --> 59:48.920]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds, along with
[59:48.920 --> 59:53.760]  detailed planting instructions sealed in a can for ultimate long term production.
[59:53.760 --> 59:58.680]  Garden in a can, it's that simple, fresh, healthy, easy.
[59:58.680 --> 1:00:04.620]  Only $69.95 for over a half acre of safe fresh vegetables, ready when you are.
[1:00:04.620 --> 1:00:08.560]  Stop procrastinating and start preparing with Garden in a Can.
[1:00:08.560 --> 1:00:12.120]  For more details visit Gardeninacan.com today.
[1:00:12.120 --> 1:00:22.520]  It's Gardeninacan.com or call 866-598-7396-866-598-7396.
[1:00:22.520 --> 1:00:30.720]  Some school years may be extended by as much as you're listening to GCN.
[1:00:30.720 --> 1:00:40.520]  And on News Radio 590 K.O.B.J. Austin, I R.N.U.S.A Radio News, I'm Jody Jordan.
[1:00:40.520 --> 1:00:44.400]  With interest rates sitting at a record low and the economy still reeling from the financial
[1:00:44.400 --> 1:00:49.640]  fallout, analysts aren't expecting any changes to come after the Federal Reserve policymakers
[1:00:49.640 --> 1:00:51.680]  meet this week.
[1:00:51.680 --> 1:00:55.720]  President Obama says the notion that the U.S. and Europe are taking sides with America
[1:00:55.720 --> 1:01:00.480]  pushing for more stimulus spending in Europe and nations favoring tighter regulation of
[1:01:00.480 --> 1:01:03.360]  the financial industry is a phony debate.
[1:01:03.360 --> 1:01:08.520]  In my mind at least, there is no conflict or contradiction between the positions of
[1:01:08.520 --> 1:01:11.560]  the G20 countries and how we're going to be moving forward.
[1:01:11.560 --> 1:01:14.000]  There's going to be differences in details.
[1:01:14.000 --> 1:01:15.320]  Those are being worked out right now.
[1:01:15.320 --> 1:01:17.320]  I expect to have a productive meeting.
[1:01:17.320 --> 1:01:23.080]  And Christina Romer, one of President Barack Obama's top economic advisors, tells NBC that
[1:01:23.080 --> 1:01:30.000]  while the U.S. is temporarily in a financial mess, the economy is fundamentally sound.
[1:01:30.000 --> 1:01:34.680]  This is IRN USA Radio News.
[1:01:34.680 --> 1:01:37.880]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[1:01:37.880 --> 1:01:39.600]  Guys, many of us tend to overeat.
[1:01:39.600 --> 1:01:42.040]  We eat too much red meat, fast foods and processed foods.
[1:01:42.040 --> 1:01:44.600]  This keeps the belly flabby and keeps our bodies overweight.
[1:01:44.600 --> 1:01:48.080]  Ladies, have you ever said, I feel fat today, or do you have this bloated feeling?
[1:01:48.080 --> 1:01:51.360]  And how many of you have been trying to lose the same 10 to 20 pounds for years?
[1:01:51.360 --> 1:01:54.320]  There's a healthy and faster way to lose weight than any diet pill.
[1:01:54.320 --> 1:01:57.760]  It's called Evercleans, a clinically proven weight loss and detox formula that helps you
[1:01:57.760 --> 1:02:01.880]  lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped
[1:02:01.880 --> 1:02:04.000]  to the colon walls like spackle or paste.
[1:02:04.000 --> 1:02:06.360]  Two weeks of Evercleans may be equal to months of dieting.
[1:02:06.360 --> 1:02:07.360]  It's simple too.
[1:02:07.360 --> 1:02:09.960]  There are several tasteless crystals that dissolve in any food or beverage.
[1:02:09.960 --> 1:02:12.880]  Evercleans will flatten out your midsection, reduce love handles, and bellies and bloating
[1:02:12.880 --> 1:02:14.600]  have been disappearing in just days.
[1:02:14.600 --> 1:02:18.120]  You see, Evercleans gets rid of the weight you can't take off by exercising or starving
[1:02:18.120 --> 1:02:19.120]  yourself on a diet.
[1:02:19.120 --> 1:02:21.320]  And it's not something you have to take for the rest of your life.
[1:02:21.320 --> 1:02:23.200]  Call now to receive a very special offer.
[1:02:23.200 --> 1:02:26.080]  Call 800-567-5598.
[1:02:26.080 --> 1:02:29.880]  Ask about a free supply, 800-567-5598.
[1:02:29.880 --> 1:02:34.200]  That's 800-567-5598.
[1:02:34.200 --> 1:02:38.840]  The president's chief economic advisor says the bonus payment is given out to an American
[1:02:38.840 --> 1:02:41.320]  international group or outrageous.
[1:02:41.320 --> 1:02:45.920]  This whole area is something we're going to have to look at as we think about regulation
[1:02:45.920 --> 1:02:51.640]  in the future because no one can be satisfied with what's happened.
[1:02:51.640 --> 1:02:57.720]  Lawrence Summers told ABC that the troubled insurance giant got more than 170 billion
[1:02:57.720 --> 1:02:59.480]  in bailout money.
[1:02:59.480 --> 1:03:04.160]  And the weather is looking good for tonight's rescheduled launch of the space shuttle Discovery.
[1:03:04.160 --> 1:03:09.440]  Repairs have been made after a hydrogen gas leak scrapped liftoff plans Wednesday.
[1:03:09.440 --> 1:03:14.400]  The delay is short in the mission by at least a day, increasing pressure for today's departure.
[1:03:14.400 --> 1:03:16.040]  This is NASA's George Stiller.
[1:03:16.040 --> 1:03:21.760]  Right now we are well past the point where our leakage problem developed on our first
[1:03:21.760 --> 1:03:27.720]  launch attempt, and we are not seeing any indications of leakage at all.
[1:03:27.720 --> 1:03:57.160]  For the latest news and analysis, log on to IRNUSANews.com.
[1:03:57.720 --> 1:04:11.200]  Sounds from Sunday services that resumed today at an Illinois church, one week after
[1:04:11.200 --> 1:04:13.640]  the senior pastor was gunned down.
[1:04:13.640 --> 1:04:18.520]  A minister from Texas talked to the congregation and spoke from his own experience.
[1:04:18.520 --> 1:04:23.640]  A decade ago, a gunman entered his Fort Worth church and killed seven people before committing
[1:04:23.640 --> 1:04:24.640]  suicide.
[1:04:24.640 --> 1:04:30.120]  OPEC oil ministers say they'll continue current output levels, but try to end over production
[1:04:30.120 --> 1:04:32.280]  by some cartel members.
[1:04:32.280 --> 1:04:36.600]  Today's decision means there'll be no cutbacks from December production levels.
[1:04:36.600 --> 1:04:40.200]  Abdullah Saleem al-Badri is the OPEC secretary general.
[1:04:40.200 --> 1:04:45.080]  Taking into consideration what's going on in the world economy, everything we try to
[1:04:45.080 --> 1:04:50.960]  talk about, everything is negative, you know, every day we receive negative information,
[1:04:50.960 --> 1:04:54.280]  so we just try to balance the situation out.
[1:04:54.280 --> 1:04:59.920]  In Israel is setting a deadline for a prisoner exchange with the Hamas rulers of Gaza.
[1:04:59.920 --> 1:05:00.920]  Here's Mark Levine.
[1:05:00.920 --> 1:05:05.920]  The clock is ticking down on a deal for release of an Israeli soldier held nearly three years
[1:05:05.920 --> 1:05:08.520]  by Hamas-linked militants in Gaza.
[1:05:08.520 --> 1:05:10.520]  Israel has set a special cabinet meeting for tomorrow.
[1:05:10.520 --> 1:05:14.960]  If there's no deal today, the prisoner issue will be turned over to the next government.
[1:05:14.960 --> 1:05:19.200]  The current government appears willing to free most of the prisoners Hamas is demanding,
[1:05:19.200 --> 1:05:21.080]  including convicted terrorists.
[1:05:21.080 --> 1:05:25.640]  The Benjamin Netanyahu, the incoming Israeli prime minister, takes a harder line against
[1:05:25.640 --> 1:05:27.880]  Hamas and Arabs in general.
[1:05:27.880 --> 1:05:28.880]  Mark Levine Jerusalem.
[1:05:28.880 --> 1:05:32.840]  And I'm Jody Jordan, frying our end USA radio news.
[1:05:32.840 --> 1:05:38.040]  HempUSA.org is now offering free shipping worldwide to better serve our customers.
[1:05:38.040 --> 1:05:41.560]  Our goal is to get these fine hemp products to you in the least amount of time so you
[1:05:41.560 --> 1:05:44.520]  can enjoy what the powder seeds and oil can do for you.
[1:05:44.520 --> 1:05:49.280]  HempUSA.org has a warning that the US food supplies are dangerously low and we urge you
[1:05:49.280 --> 1:05:52.320]  to protect your family with hemp-storable foods today.
[1:05:52.320 --> 1:05:53.760]  Tomorrow may be too late.
[1:05:53.760 --> 1:05:58.280]  Call 908-69120608 or visit hempUSA.org.
[1:05:58.280 --> 1:06:02.400]  This incredible food source is loaded with enzymes so your body can digest the food you
[1:06:02.400 --> 1:06:03.400]  eat.
[1:06:03.400 --> 1:06:07.320]  And it creates an alkaline environment where cancer can't grow and parasites cannot live
[1:06:07.320 --> 1:06:11.160]  and brings funguses, viruses and bacterial levels down into a halt.
[1:06:11.160 --> 1:06:13.000]  Try our powder seeds and oil today.
[1:06:13.000 --> 1:06:17.280]  Call 908-69120608 or visit hempUSA.org.
[1:06:17.280 --> 1:06:20.360]  If the body has the proper nutrition it will heal itself.
[1:06:20.360 --> 1:06:24.400]  Ask yourself, why does our government not allow this crop to grow in the US?
[1:06:24.400 --> 1:06:26.920]  This product is also great for pets and animals.
[1:06:26.920 --> 1:06:31.880]  Call 908-69120608 or go to hempUSA.org today.
[1:06:31.880 --> 1:06:49.760]  Call 908-69120608 or go to hempUSA.org today.
[1:06:49.760 --> 1:07:01.760]  Call 908-69120608 or go to hempUSA.org today.
[1:07:01.760 --> 1:07:11.840]  We've got a big second hour, final hour lined up for you.
[1:07:11.840 --> 1:07:12.840]  Lots of your calls.
[1:07:12.840 --> 1:07:16.320]  Let me hit some of the news that's coming up that we'll go right back to your calls.
[1:07:16.320 --> 1:07:19.960]  I was digging through a bunch of stuff we got out of storage.
[1:07:19.960 --> 1:07:23.320]  It's always had too small of an office so I had a bunch of storage buildings.
[1:07:23.320 --> 1:07:27.040]  We were moving some of them to the office and I was looking at some of the first tapes
[1:07:27.040 --> 1:07:30.880]  of myself when I started out on Access TV and I saw the dates on them.
[1:07:30.880 --> 1:07:36.240]  So it's now been 14 years, I hadn't really thought about it, 14 years I've been on air
[1:07:36.240 --> 1:07:39.280]  looking at those dates, 14 plus years.
[1:07:39.280 --> 1:07:43.680]  And you know, everything I've always covered has been government documents.
[1:07:43.680 --> 1:07:51.440]  I found out in 1997 that Delta Force in Houston and other areas of South Texas and North Texas
[1:07:51.440 --> 1:07:56.760]  and all over the country was buying off city councils, mayors, police chiefs and paying
