[00:00.000 --> 00:01.000]  Come on, man.
[2:06:48.800 --> 2:06:52.720]  coverage of his regular show is preempted uh it'll be firepower with all
[2:06:52.720 --> 2:06:56.000]  these great guests all these great hosts uh and we're going to have live
[2:06:56.000 --> 2:07:01.040]  coverage of the houston debates that the others were again spectacular
[2:07:01.040 --> 2:07:06.320]  promising all these goodies spectacular white people are evil
[2:07:06.320 --> 2:07:10.480]  devils from white people uh spectacular lies
[2:07:10.480 --> 2:07:13.600]  and so it was so horrible it was interesting but still frightening to
[2:07:13.600 --> 2:07:16.720]  know that this is really what they admit they are
[2:07:16.720 --> 2:07:19.680]  well tonight though the knives are out and i think we're going to see the
[2:07:19.680 --> 2:07:23.120]  house burn down as robert barnes which is saying when they
[2:07:23.120 --> 2:07:26.960]  attack biden so i'm not just hyping this you to tune in i think
[2:07:26.960 --> 2:07:30.080]  tonight's going to be spectacular i'm excited we've got reporters on the
[2:07:30.080 --> 2:07:32.400]  ground and last time i thought it'd be super boring
[2:07:32.400 --> 2:07:35.920]  but they'd offer a bunch of free stuff and it was so depressing i had to
[2:07:35.920 --> 2:07:38.880]  leave both times or i was going to say really nasty things
[2:07:38.880 --> 2:07:42.640]  on air uh we'll see what happens tonight but i've walked off the coverage and i
[2:07:42.640 --> 2:07:44.800]  never i mean i have trouble watching these people
[2:07:44.800 --> 2:07:49.120]  but we have to because they want to run our lives tonight though i think you're
[2:07:49.120 --> 2:07:51.920]  right it's going to be a bloodbath what do you think i mean you have three
[2:07:51.920 --> 2:07:55.360]  candidates that have three major problems uh biden can't get any young
[2:07:55.360 --> 2:07:57.520]  people to like him within the democratic party
[2:07:57.520 --> 2:08:00.880]  bernie can't get any can't get any old people to like him within the democratic
[2:08:00.880 --> 2:08:04.320]  party and warren can't get any black people to like her in the democratic
[2:08:04.320 --> 2:08:07.440]  party primary process so if they can't overcome those hurdles it's
[2:08:07.440 --> 2:08:10.240]  hard to see how any of the three somehow win it will almost be
[2:08:10.240 --> 2:08:13.840]  there's increasing predictions today from sean trendy at real clear politics
[2:08:13.840 --> 2:08:17.840]  nobody in mind from yale that there's going to be a contested convention for
[2:08:17.840 --> 2:08:22.320]  the first time in the modern primary era since 1972
[2:08:22.320 --> 2:08:26.880]  so the the and of course 1972 did not go well for the democratic party
[2:08:26.880 --> 2:08:30.400]  so we may see a fascinating brokered convention and then who do they steal it
[2:08:30.400 --> 2:08:33.440]  from do they steal it from india and elizabeth warren
[2:08:33.440 --> 2:08:37.680]  do they steal it again from old man bernie do they steal it from old man joe
[2:08:37.680 --> 2:08:41.440]  from creepy uncle joe who do they steal it from and here's the wild card
[2:08:41.440 --> 2:08:44.880]  this has even come out on front line we saw the documents decades ago even
[2:08:44.880 --> 2:08:50.240]  front line there's some documentaries about nixon wanted to bomb his own
[2:08:50.240 --> 2:08:54.080]  convention and blame it on the democrats till they explain sir your
[2:08:54.080 --> 2:08:57.360]  numbers are great then there were plans to
[2:08:57.360 --> 2:08:59.920]  bomb their convention to make them look like commies
[2:08:59.920 --> 2:09:03.520]  then the left it turned out there were some plans to stage attacks and blame
[2:09:03.520 --> 2:09:06.880]  on nixon so this is something that goes on so let's be clear are they going to
[2:09:06.880 --> 2:09:09.280]  stage a mass shooting on themselves we know they've done it before
[2:09:09.280 --> 2:09:12.560]  some of the shootings are real but all the studies just type in
[2:09:12.560 --> 2:09:16.720]  studies show media giving attention to mass shootings triggers them because
[2:09:16.720 --> 2:09:21.120]  now it's an option for schizophrenics and nuts instead of killing themselves as
[2:09:21.120 --> 2:09:24.480]  i'm you know i'm going to go out do this in a blaze of glory so
[2:09:24.480 --> 2:09:28.720]  they're hyping all the mass shootings hoping something like that happens
[2:09:28.720 --> 2:09:32.320]  and they're telling us attacks on the media attacks by the right wing
[2:09:32.320 --> 2:09:35.440]  our epidemic they're happening any minute that begs the question are they
[2:09:35.440 --> 2:09:39.120]  trying to provoke a turret or are they knowing something that we don't
[2:09:39.120 --> 2:09:41.360]  know robert barnes well think about who might
[2:09:41.360 --> 2:09:44.640]  stage such a provocation who has a history of
[2:09:44.640 --> 2:09:48.320]  unique political involvement around the world who might want to come in as the
[2:09:48.320 --> 2:09:52.240]  white horse to save the day when they can't decide between bernie
[2:09:52.240 --> 2:09:55.600]  biden or a warren because they all have huge
[2:09:55.600 --> 2:09:59.120]  institutional flaws who might want to ride in on the white horse
[2:09:59.120 --> 2:10:02.160]  best done by staging violence outside the proceedings
[2:10:02.160 --> 2:10:05.920]  that can come in and save the democratic party from itself
[2:10:05.920 --> 2:10:09.040]  and get reappointed to the presidency that she believes she's rightfully
[2:10:09.040 --> 2:10:12.000]  entitled to that yesterday she was in front of a fake oval
[2:10:12.000 --> 2:10:16.560]  office fake uh oval office desk pretending to actually read emails of
[2:10:16.560 --> 2:10:19.360]  all things uh pretending to be president
[2:10:19.360 --> 2:10:23.120]  who is it that would break greatly benefit from a brokered convention
[2:10:23.120 --> 2:10:26.640]  who is it that would desire a brokered convention who would love to have sort of
[2:10:26.640 --> 2:10:30.720]  and tifa well remember in fact we've seen previews for fake provocations like
[2:10:30.720 --> 2:10:34.000]  this or staged provocations and stage just means
[2:10:34.000 --> 2:10:37.120]  doesn't mean that the provocation itself isn't occurring so they create the
[2:10:37.120 --> 2:10:39.280]  climate exactly like charlesville they're
[2:10:39.280 --> 2:10:42.240]  saying i said the government killed the girl who had the
[2:10:42.240 --> 2:10:46.160]  heart attack or whatever no i'm saying the police stand down
[2:10:46.160 --> 2:10:49.360]  they hire a bunch of fake right wingers we know work for the left most of them
[2:10:49.360 --> 2:10:52.880]  some real racist idiots show up you bring out the antifa scum
[2:10:52.880 --> 2:10:55.920]  and they have a huge conflagration the police march them into each other
[2:10:55.920 --> 2:10:59.760]  hoping somebody got killed to then blame trump and then they sued me
[2:10:59.760 --> 2:11:03.440]  saying that i'm saying that this dude did it himself
[2:11:03.440 --> 2:11:07.600]  and then then they say in my name the defamation against themselves right
[2:11:07.600 --> 2:11:10.160]  exactly and what's amazing about all of that is
[2:11:10.160 --> 2:11:13.360]  the way the way i always describe it to people is this if you want to understand
[2:11:13.360 --> 2:11:16.640]  what it means to say an event and stage just look at how the media
[2:11:16.640 --> 2:11:20.720]  covers putin and russia so there they'll say this is stage this is stage he's
[2:11:20.720 --> 2:11:24.400]  orchard oh islamic blew up a building putin did it just to meet a putin putin
[2:11:24.400 --> 2:11:28.000]  putin yeah but then we say hey did somebody stand the game for this
[2:11:28.000 --> 2:11:32.080]  shut up you evil person perfect example of this 2016 the way in which someone
[2:11:32.080 --> 2:11:35.200]  like hillary might do this was what mayor with the mayor of
[2:11:35.200 --> 2:11:39.120]  chicago longtime clinton ally at the time remember they staged when trump was
[2:11:39.120 --> 2:11:42.640]  supposed to come in they staged a bunch of bernie people
[2:11:42.640 --> 2:11:45.360]  creating a huge brawl purportedly bernie people
[2:11:45.360 --> 2:11:48.320]  even though bernie people up to that point had had no history of being violent
[2:11:48.320 --> 2:11:53.040]  and tifa had but bernie people didn't people purportedly being for bernie
[2:11:53.040 --> 2:11:56.960]  went in and staged a bunch of violence against trumps that was hillary came on
[2:11:56.960 --> 2:12:00.240]  wikileaks the exact and we said at the time it was hillary
[2:12:00.240 --> 2:12:04.080]  i said looks like hillary she stands the game it was and it was perfectly set up
[2:12:04.080 --> 2:12:06.720]  because the the narrative coming out to the press was
[2:12:06.720 --> 2:12:11.120]  bernie people are crazy and dangerous trump people are crazy and dangerous
[2:12:11.120 --> 2:12:15.840]  who's the solution oh hillary is so you could see the same sort of dynamic
[2:12:15.840 --> 2:12:19.200]  occur again if if you start to see that happen
[2:12:19.200 --> 2:12:22.000]  if there is a brokered convention and you start to see those kind of events
[2:12:22.000 --> 2:12:25.760]  take place you should be reasonably suspect and again i want to be clear
[2:12:25.760 --> 2:12:29.280]  exactly i don't make this stuff up i know people that have guarded hillary
[2:12:29.280 --> 2:12:31.680]  off and on for years i'm gonna leave it at that
[2:12:31.680 --> 2:12:34.480]  not just secret service but that too they're the ones that told us she drives
[2:12:34.480 --> 2:12:38.000]  around in a black ambulance she's falling out every 45 minutes
[2:12:38.000 --> 2:12:41.520]  just follow her well people did they caught it we caught it when she was in a tent
[2:12:41.520 --> 2:12:44.400]  uh but others caught it in new york on september 11 a few years ago three years
[2:12:44.400 --> 2:12:48.960]  ago uh three years ago yesterday and so that's really what this comes down to
[2:12:48.960 --> 2:12:51.920]  and the same people are like no she's on the phone she's in there right of the
[2:12:51.920 --> 2:12:54.560]  democratic party her foundation's still getting money
[2:12:54.560 --> 2:12:58.400]  and they all still kiss her ass because she's in control of obama
[2:12:58.400 --> 2:13:02.400]  of the stay behind networks and all the democratic bureaucrats that they put in
[2:13:02.400 --> 2:13:05.840]  and basically the bush people just advocated to her let her still kind of
[2:13:05.840 --> 2:13:08.720]  run it so hillary is still kind of the shadow
[2:13:08.720 --> 2:13:12.480]  president kind of like in england they'll have the main person of the x-checker
[2:13:12.480 --> 2:13:15.440]  but they'll have them you know the the shadow person that's for the party out
[2:13:15.440 --> 2:13:18.880]  of power but still has some power that's how they're operating the shadow
[2:13:18.880 --> 2:13:22.480]  government the deep state is hillary still bumbling around
[2:13:22.480 --> 2:13:25.920]  she's still got all her people in with national security clearances doing this
[2:13:25.920 --> 2:13:30.000]  and she still thinks that this is such a weak field that maybe she slips in
[2:13:30.000 --> 2:13:33.600]  then trump gets assassinated or something believe me this woman
[2:13:33.600 --> 2:13:36.640]  runs around pretending to be the president all over tv shows
[2:13:36.640 --> 2:13:40.160]  all over the media she was doing it again yesterday exactly why is she doing
[2:13:40.160 --> 2:13:43.680]  that stage photo yesterday or look at a political article and look how
[2:13:43.680 --> 2:13:46.160]  psychotic she is can we blow that up yeah exactly
[2:13:46.160 --> 2:13:48.560]  i'll say i'm gonna blow her up i don't mean that i mean zoom in on it
[2:13:48.560 --> 2:13:52.480]  can we zoom in for tv viewers on her i mean she looks like an
[2:13:52.480 --> 2:13:57.440]  animatronic robot at chuckie cheese yes she does i mean it's not a but she
[2:13:57.440 --> 2:14:01.680]  still doesn't understand photo ops but the uh uh you know that's what trump
[2:14:01.680 --> 2:14:04.800]  was laughing about in 2016 he said all these people that attack me they
[2:14:04.800 --> 2:14:07.920]  always get these great photos of me he's like i have to go get those photos
[2:14:07.920 --> 2:14:10.720]  because how good they are but the if you look at it the other thing is look at
[2:14:10.720 --> 2:14:13.360]  a political article and political sort of the insider
[2:14:13.360 --> 2:14:16.080]  publication in dc for the political consulting class
[2:14:16.080 --> 2:14:20.640]  just a few days ago where hillary was taking credit for the warren campaign
[2:14:20.640 --> 2:14:23.760]  they said warren's getting her advice from hillary hillary's help can
[2:14:23.760 --> 2:14:27.520]  almost like a henry kissinger kind of piece and so it was almost a message
[2:14:27.520 --> 2:14:31.280]  that she's setting something up so that there'll be one woman warren
[2:14:31.280 --> 2:14:35.200]  by two guys bernie and biden warren won't be able to get over the top
[2:14:35.200 --> 2:14:38.000]  she comes in and says the only real way to protect women's rights is to
[2:14:38.000 --> 2:14:41.600]  nominate hillary as the as the peace candidate between all of the
[2:14:41.600 --> 2:14:44.800]  different contingencies and constituencies within the democratic party
[2:14:44.800 --> 2:14:49.920]  look at the look on her face exactly the entitlement the mental illness
[2:14:49.920 --> 2:14:53.280]  yeah precisely and that and that's the person that's one the most dangerous
[2:14:53.280 --> 2:14:56.880]  is someone that's obsessed with power and disconnected from reality
[2:14:56.880 --> 2:15:00.080]  um and she has still disproportionate institutional influence because the
[2:15:00.080 --> 2:15:03.120]  democratic she the clinton's did such a great job
[2:15:03.120 --> 2:15:06.960]  at decimating the democratic base that you now who we will see tonight
[2:15:06.960 --> 2:15:10.560]  three can leading candidates biden bernie and warren
[2:15:10.560 --> 2:15:14.880]  who cannot get any appeal from a big wing of the democratic party and it's
[2:15:14.880 --> 2:15:17.360]  like a power cult i mean i've been around democrats and i've
[2:15:17.360 --> 2:15:22.560]  watched the videos they worship her oh yes yes they worship her and
[2:15:22.560 --> 2:15:26.800]  fear her and obsess over at the same time you know my ex-wife's mom
[2:15:26.800 --> 2:15:29.920]  is a big democrat i mean jimmy carters you know come over for dinner before
[2:15:29.920 --> 2:15:32.720]  and they like ten years ago they were in a bit with hillary and bill and they
[2:15:32.720 --> 2:15:36.160]  said what do you think alex jones and they thought they meant alex s jones
[2:15:36.160 --> 2:15:38.880]  the new york times oh he's a very important wonderful person
[2:15:38.880 --> 2:15:41.440]  they all had heart attacks couldn't believe it we're all groveling and i
[2:15:41.440 --> 2:15:44.640]  said he she means alex s jones they called her later and found it was true
[2:15:44.640 --> 2:15:48.560]  we're like oh good because we hate you but it just it's hilarious how much they
[2:15:48.560 --> 2:15:52.720]  worship this woman
[2:15:53.280 --> 2:15:57.040]  finally there's a way for you to get into the blockchain the hottest financial
[2:15:57.040 --> 2:16:00.720]  sector without all the speculation no enjoy a 27
[2:16:00.720 --> 2:16:04.160]  percent annualized payment each month without the ups and downs of bitcoin
[2:16:04.160 --> 2:16:07.920]  seen on programs broadcast on fox business news blockchain data centers
[2:16:07.920 --> 2:16:11.840]  offer an equipment leasing program in the explosive digital asset marketplace
[2:16:11.840 --> 2:16:15.280]  inspired by entrepreneurs who sold picks and shovels during the gold rush
[2:16:15.280 --> 2:16:18.960]  the money is in the mining equipment used to manufacture dozens of critical
[2:16:18.960 --> 2:16:22.880]  digital assets not a security ipo or note blockchain data centers have
[2:16:22.880 --> 2:16:27.040]  a proven turnkey equipment sale leaseback program with a 27 percent
[2:16:27.040 --> 2:16:30.560]  annualized lease payment deposited into your bank account
[2:16:30.560 --> 2:16:33.360]  each month don't miss this one stake your claim today
[2:16:33.360 --> 2:16:41.040]  call 800-600-3388 that's 800-600-3388 these valuable lease contracts won't last
[2:16:41.040 --> 2:16:46.560]  long call now 800-600-3388 800-600-3388
[2:16:46.560 --> 2:16:48.880]  equipment offer poses a financial risk to owners consult with financial
[2:16:48.880 --> 2:16:51.440]  professionals before purchasing not an offer to buy or sell a security which
[2:16:51.440 --> 2:16:54.400]  requires an offering document fellow patriots
[2:16:54.400 --> 2:16:57.600]  my name is todd savage founder of black rifle real estate
[2:16:57.600 --> 2:17:01.200]  dot com like you i was a prisoner of the out left sanctuary state
[2:17:01.200 --> 2:17:04.480]  until one day i chose to leave my family to freedom today we live on a
[2:17:04.480 --> 2:17:08.480]  sustainable 20-acre homestead where we shoot hunt garden and homeschool our
[2:17:08.480 --> 2:17:11.680]  children without the tyranny of the nanny state looking over us
[2:17:11.680 --> 2:17:14.880]  if you're ready to flee the city to the freedom of Idaho or montana
[2:17:14.880 --> 2:17:18.400]  our black rifle real estate team is here to help go to black rifle real estate
[2:17:18.400 --> 2:17:22.640]  dot com that's black rifle real estate dot com
[2:17:22.640 --> 2:17:26.320]  hunters anglers campers and survivalists get back to nature
[2:17:26.320 --> 2:17:30.640]  expand your horizons with the highest quality most versatile unique slingshots
[2:17:30.640 --> 2:17:33.440]  and sling bows on the market at sling bow dot com
[2:17:33.440 --> 2:17:37.360]  sling bow products are compact and models start from just 1798
[2:17:37.360 --> 2:17:41.200]  they're perfect for your bug out bag or storing in your vehicle give yourself
[2:17:41.200 --> 2:17:45.280]  and your loved ones the excitement and tradition of sling bow a new frontier
[2:17:45.280 --> 2:17:48.960]  in archery and truly modern twist on this primitive survival tool
[2:17:48.960 --> 2:17:53.440]  feel the thrill only at sling bow dot com
[2:17:54.720 --> 2:17:58.880]  super silver wound gel is a private label
[2:17:58.880 --> 2:18:02.560]  from the top company u.s that has their products and hospitals and is sold
[2:18:02.560 --> 2:18:05.120]  over the counter and approved for that by the FDA
[2:18:05.120 --> 2:18:07.840]  we have been blessed with their listeners and let us private label it
[2:18:07.840 --> 2:18:12.160]  in the last two years it's been a best seller we convince them to let us
[2:18:12.160 --> 2:18:16.560]  come out with a skin cream that basically mimics the top skin creams that
[2:18:16.560 --> 2:18:19.840]  are already out there at a lower price with their patented
[2:18:19.840 --> 2:18:24.000]  silver salt technology in it it's got the hyaluronic acid
[2:18:24.000 --> 2:18:28.960]  it's got the steric acid it's got the grapefruit essential oil it's got the
[2:18:28.960 --> 2:18:32.960]  nano silver coconut oil and so much more it's in two sizes
[2:18:32.960 --> 2:18:37.200]  super silver skin cream in 3.4 ounce and in the smaller one
[2:18:37.200 --> 2:18:40.000]  you're not going to find a product that's good anywhere you're certainly not
[2:18:40.000 --> 2:18:45.200]  going to find it at this price and it funds the info war at infowarslife.com
[2:18:45.200 --> 2:18:49.520]  get your super silver skin cream today we can only run this special
[2:18:49.520 --> 2:18:54.400]  for another week or so as i'm taping this september 10th
[2:18:54.400 --> 2:18:58.080]  there are few things in this universe that are assured about but i'm here to
[2:18:58.080 --> 2:19:01.840]  tell you the products at infowarslife.com are
[2:19:01.840 --> 2:19:06.160]  we go out we find out what is the best rated best tested
[2:19:06.160 --> 2:19:11.440]  most loved most documented substances that god gave us to mother nature
[2:19:11.440 --> 2:19:15.600]  and then we make it even stronger even better and lower the price
[2:19:15.600 --> 2:19:18.240]  now tumeric has been known for thousands of years
[2:19:18.240 --> 2:19:21.520]  to help with inflammation headaches it's good for the immune system
[2:19:21.520 --> 2:19:25.920]  so many things it sells itself but normal tumerics
[2:19:25.920 --> 2:19:29.920]  only has three to five percent curcuminoid the active
[2:19:29.920 --> 2:19:34.640]  enzyme or system in the plant originally obviously from india
[2:19:34.640 --> 2:19:40.720]  well bodies ultimate tumeric formula has a 95 percent curcuminoid level that's
[2:19:40.720 --> 2:19:42.880]  got other natural things that help boost it
[2:19:42.880 --> 2:19:46.880]  help your body absorb it and that's why people absolutely love it
[2:19:46.880 --> 2:19:49.600]  i'm doing this offer for people that haven't tried it yet
[2:19:49.600 --> 2:19:54.640]  50 off on bodies at infowarslife.com
[2:19:54.640 --> 2:20:05.040]  you're listening to the alex jones show
[2:20:15.040 --> 2:20:19.440]  if you are receiving this transmission you are the resistance
[2:20:19.440 --> 2:20:29.840]  you're listening to alex jones
[2:20:36.480 --> 2:20:40.160]  welcome back i'm alex jones your host robert barnes who's a charming lackable
[2:20:40.160 --> 2:20:43.680]  smart guy i like him he's our chief lawyer in our battles with the globalists
[2:20:43.680 --> 2:20:45.600]  we're being very successful with so they
[2:20:45.600 --> 2:20:48.880]  buy and say that we're losing you're our backers though without you we are
[2:20:48.880 --> 2:20:51.920]  nowhere without you the articles the videos don't get out i cannot see how
[2:20:51.920 --> 2:20:56.640]  critical that is to go to band.video and to share it on twitter facebook
[2:20:56.640 --> 2:20:59.520]  youtube your email your text message your word of mouth
[2:20:59.520 --> 2:21:02.960]  and we're adding a bunch of new contributors and a bunch of new pages
[2:21:02.960 --> 2:21:06.720]  and a lot of new stuff i'm i'm coming in this saturday
[2:21:06.720 --> 2:21:11.120]  two to four p.m it's going to be called the info wars round table
[2:21:11.120 --> 2:21:15.520]  hauler show and we'll have a host that ha shows it
[2:21:15.520 --> 2:21:18.480]  and as we develop the callers callers that host the show
[2:21:18.480 --> 2:21:22.080]  some will be on skype some will be on phone and the best callers will end up
[2:21:22.080 --> 2:21:25.520]  having a show and i did actually expand that out
[2:21:25.520 --> 2:21:29.440]  um quite frankly uh to be honest with you i have a plan to launch something
[2:21:29.440 --> 2:21:32.480]  that's like a washington's journal but an america's
[2:21:32.480 --> 2:21:36.720]  journal maybe even a world journal like the first few hours is a caller from the
[2:21:36.720 --> 2:21:39.760]  u.s the caller from outside the u.s something that starts at four a.m in
[2:21:39.760 --> 2:21:44.080]  the morning and that we have a host that just covers news just shows the news
[2:21:44.080 --> 2:21:48.400]  shows a clip not much commentary maybe a little bit of opinion
[2:21:48.400 --> 2:21:52.160]  after you take calls and and just really make it about callers and we're trying
[2:21:52.160 --> 2:21:56.080]  to get more calls uh on the air here but we get unlimited great calls
[2:21:56.080 --> 2:21:59.280]  i'm trying to make the show more about calls as well because i love hearing
[2:21:59.280 --> 2:22:02.880]  what you say i love the angles you take us in but i'll be hosting that show
[2:22:02.880 --> 2:22:05.200]  with some of the callers that i've been getting over the years when i've had
[2:22:05.200 --> 2:22:09.040]  this idea this saturday two to four p.m and i'll be
[2:22:09.040 --> 2:22:12.000]  back live with the four to six p.m sunday show we've now been doing for 12
[2:22:12.000 --> 2:22:15.280]  years been doing this show in this time slot for 23 years
[2:22:15.280 --> 2:22:20.000]  20 to 22 and a half years uh so let's get into this
[2:22:20.000 --> 2:22:24.240]  right now maryan williamson came out on a hot mic
[2:22:24.240 --> 2:22:26.800]  this just came out the last few hours and other democrats were saying this
[2:22:26.800 --> 2:22:31.200]  last week and and talks about democrats being so vicious and so mean behind
[2:22:31.200 --> 2:22:35.360]  the scenes but also in perp uh in person
[2:22:35.360 --> 2:22:40.160]  and and and it's really being hateful and bad and it just blowing her away so
[2:22:40.160 --> 2:22:42.720]  a good part about a lot of the people get involved in politics that haven't been
[2:22:42.720 --> 2:22:46.560]  involved because they think trump's so evil is they actually find out
[2:22:46.560 --> 2:22:51.840]  the democrats are some nasty nasty uh folks so maryan williamson really gets
[2:22:51.840 --> 2:22:58.080]  woke now says the left is mean and lies uh here it is
[2:22:58.720 --> 2:23:02.560]  does it say that fox news is nicer to me than the lefties are
[2:23:02.560 --> 2:23:06.800]  i'm sorry what does it say that the conservatives are nicer to me
[2:23:06.800 --> 2:23:10.720]  it's a bizarre world man it's such a bizarre world
[2:23:10.720 --> 2:23:14.240]  you know i'm such a lefty i mean i'm a serious lefty but there's so
[2:23:14.240 --> 2:23:18.720]  i understand why people on the right call them godless i mean it's like
[2:23:18.720 --> 2:23:22.320]  i didn't think the left was as mean as the right they are
[2:23:22.320 --> 2:23:28.000]  i'm just just right and again she didn't even know she was
[2:23:28.000 --> 2:23:31.920]  on air uh so and similar comments are coming up
[2:23:31.920 --> 2:23:35.600]  here's another one i mean just on monday ron emmanuel said we can't offer
[2:23:35.600 --> 2:23:38.800]  everything free we're already almost bankrupt
[2:23:38.800 --> 2:23:41.920]  uh if we don't really grow our way out of this we are
[2:23:41.920 --> 2:23:45.920]  and at the same time you you you've seen other democrats
[2:23:45.920 --> 2:23:48.480]  come out and admit that but if they do they get shouted down because the
[2:23:48.480 --> 2:23:52.000]  globalist want policies that collapses because they can loot the whole
[2:23:52.000 --> 2:23:56.000]  infrastructure fire it back up and dominate the planet but this time
[2:23:56.000 --> 2:24:00.480]  from a very anti god anti freedom anti american perspective here it is x
[2:24:00.480 --> 2:24:04.640]  obama official dim's going way too far to the left
[2:24:04.640 --> 2:24:09.520]  here it is on msnbc with jay johnson here it is
[2:24:09.520 --> 2:24:16.800]  look most americans want to be fair and treat in a humane way
[2:24:16.800 --> 2:24:20.160]  those who have migrated here who are desperate
[2:24:20.160 --> 2:24:24.480]  who are fleeing really bad conditions we want to take care of people who came
[2:24:24.480 --> 2:24:28.960]  here as children we want to take care of the dreamers
[2:24:28.960 --> 2:24:33.280]  but americans also want secure borders they want to get control of illegal
[2:24:33.280 --> 2:24:37.760]  migration and that's true i know from laredo texas to
[2:24:37.760 --> 2:24:42.560]  to detroit michigan and so when we talk about
[2:24:42.560 --> 2:24:49.360]  deprioritizing uh the deportation of those apprehended at the border or
[2:24:49.360 --> 2:24:55.280]  decriminalizing illegal immigration i know that we're we're going way too far
[2:24:55.280 --> 2:24:59.200]  to the left of the american consensus on where we should be on this and you
[2:24:59.200 --> 2:25:04.320]  just cannot have a policy where a border patrol agent arrests someone at the
[2:25:04.320 --> 2:25:08.000]  border and says in effect you get to stay here
[2:25:08.000 --> 2:25:12.640]  unless you commit a crime and they commit a crime to get here
[2:25:12.640 --> 2:25:15.040]  and they expect everything free and by the way i should have opened the show up
[2:25:15.040 --> 2:25:17.840]  with this we didn't just win this big republican
[2:25:17.840 --> 2:25:20.640]  race the democrats everything they had into a north carolina
[2:25:20.640 --> 2:25:24.720]  we didn't just you know see all these things unfold we also have the supreme
[2:25:24.720 --> 2:25:27.920]  court ruling we'll talk about next segment some the supreme court ruling
[2:25:27.920 --> 2:25:31.040]  that of course trump can have these strong
[2:25:31.040 --> 2:25:34.960]  amnesty laws he can have these strong laws on people claiming political asylum
[2:25:34.960 --> 2:25:38.160]  that clearly aren't when 15 000 people run over the
[2:25:38.160 --> 2:25:42.000]  mexican border and they're from africa or they're from south america
[2:25:42.000 --> 2:25:45.200]  and they they've got kidnapped kids you get a free ticket in
[2:25:45.200 --> 2:25:48.160]  and they're carrying drugs and then they run over our border
[2:25:48.160 --> 2:25:51.840]  hell yeah they're getting deported i mean give me a break no one i couldn't
[2:25:51.840 --> 2:25:55.600]  fly to mexico but show up and say i'm here to have my baby free they
[2:25:55.600 --> 2:25:58.800]  kick your ass i mean my god ladies and gentlemen when you
[2:25:58.800 --> 2:26:01.840]  fly into mexico they say what hotel you stay in at they call they check
[2:26:01.840 --> 2:26:05.120]  you don't fly out the day you say they arrest your ass
[2:26:05.120 --> 2:26:08.240]  but then we're supposed to get everything and just give it away free
[2:26:08.240 --> 2:26:11.920]  simply incredible and i see more and more democrats coming out saying
[2:26:11.920 --> 2:26:15.040]  hey back off guys not that they don't want this agenda to happen
[2:26:15.040 --> 2:26:18.880]  they just want the democrats to stop being honest oh no doubt about it i mean
[2:26:18.880 --> 2:26:21.920]  what maryan williamson is talking about you know maryan is what we did a
[2:26:21.920 --> 2:26:24.640]  segment of meditation with maryan and that's sort of her mindset her
[2:26:24.640 --> 2:26:29.040]  mentality obama's uh not obama but uh uh
[2:26:29.040 --> 2:26:33.040]  oprah winfrey's a spiritual advisor that's sort of her persona and personality
[2:26:33.040 --> 2:26:37.600]  and she's shocked by how harsh and vicious and vile and mean
[2:26:37.600 --> 2:26:41.440]  the left the modern left is and what it is is when the left what the left
[2:26:41.440 --> 2:26:45.600]  accuses the right of what my old friend john ablon who's on cnn accused
[2:26:45.600 --> 2:26:50.000]  on 9 11 decided to use 9 11 to attack so-called right-wingers and
[2:26:50.000 --> 2:26:53.600]  make up this fictional white nationalist violence all across the country
[2:26:53.600 --> 2:26:56.800]  that's not occurring uh the what that reflects is
[2:26:56.800 --> 2:27:00.800]  the projection of the left of onto the right of the left's
[2:27:00.800 --> 2:27:04.400]  of violence the left's anger but let's talk more about that since you mentioned
[2:27:04.400 --> 2:27:08.480]  it here's here here's a clip of that
[2:27:12.800 --> 2:27:16.000]  at 11 right-wing terrorists have killed more people in the united states than
[2:27:16.000 --> 2:27:18.880]  jihadist terrorists that's according to new america
[2:27:18.880 --> 2:27:22.160]  there are some folks for who they're for their own political purposes would like
[2:27:22.160 --> 2:27:26.000]  to keep the focus on only one form of political violence over another
[2:27:26.000 --> 2:27:29.920]  but that would be unwise because we don't have the luxury of choosing which
[2:27:29.920 --> 2:27:32.960]  threats we face and there's a case to be made that these threats actually
[2:27:32.960 --> 2:27:36.240]  echo each other as our colleague jim shuto and others have argued
[2:27:36.240 --> 2:27:39.840]  they're weaponized versions of tribalism motivated by fear and finding
[2:27:39.840 --> 2:27:44.000]  identity and their hatred of the other as max fisher of the times wrote in
[2:27:44.000 --> 2:27:48.000]  both there's the apocalyptic ideology that predicts and promises to hasten a
[2:27:48.000 --> 2:27:52.320]  civilizational conflict that will consume the world to mark the 18th
[2:27:52.320 --> 2:27:56.400]  anniversary of 9 11 is to reflect on how we're all the children of 9 11
[2:27:56.400 --> 2:28:00.000]  that attack unleashed destructive forces that we're still wrestling with
[2:28:00.000 --> 2:28:03.440]  but to truly learn the lessons of 9 11 is to resolve
[2:28:03.440 --> 2:28:09.360]  not to let hate win or fear define us and that's your reality check and then
[2:28:09.360 --> 2:28:12.000]  they go on right-wingers or americans deadly as terrorists have the
[2:28:12.000 --> 2:28:14.640]  transcript here and then i've got the fbi numbers
[2:28:14.640 --> 2:28:17.600]  they just don't call it jihadi killing somebody or bombing something or
