[00:00.000 --> 00:07.000]  There is a war. It's happening now. It will decide the fate of humanity.
[1:02:43.000 --> 1:02:47.000]  are whining and dining the people that are strangling the Republic right now and trying to destroy him
[1:02:47.000 --> 1:02:51.000]  and pushing down his tweets and manipulating him.
[1:02:52.000 --> 1:02:56.000]  Well, and if anybody in the world should understand this, of course, it's Steve Bannon,
[1:02:57.000 --> 1:02:59.000]  who comes from the world of alternative media.
[1:03:00.000 --> 1:03:06.000]  We've got a slowdown going on here that I think is only going to be solved with antitrust action against Google
[1:03:07.000 --> 1:03:09.000]  and some other tactics that we are working on.
[1:03:10.000 --> 1:03:15.000]  But I have no intention of going quietly and watching them cut off our access
[1:03:15.000 --> 1:03:21.000]  Sure. Even US News and World Report admits Google is the top censor in the world.
[1:03:22.000 --> 1:03:25.000]  Microsoft, they're all doing it and they admit they're doing it to us.
[1:03:26.000 --> 1:03:31.000]  And David Brock, literally, who brags he got you banned off TV, the MVP, Roger Stone,
[1:03:32.000 --> 1:03:36.000]  not because you were full of bull because you were effective, they're bragging that they're openly working with Google
[1:03:37.000 --> 1:03:38.000]  to shut us down. Talk about torches interference.
[1:03:39.000 --> 1:03:42.000]  I just don't have the time or energy for lawsuits, but my lawyers tell me I've got them.
[1:03:42.000 --> 1:03:50.000]  Well, I have examined that in all honesty. Brock has to say something because he pocketed 30 or 40 million dollars
[1:03:51.000 --> 1:03:52.000]  from rich, dumb, liberal donors.
[1:03:53.000 --> 1:03:59.000]  And despite their enormous spending advantage and the fact that they were manipulating internet media
[1:04:00.000 --> 1:04:02.000]  and manipulating mainstream media, they lost.
[1:04:03.000 --> 1:04:07.000]  And that's hard to explain to somebody who's giving you 30 million dollars.
[1:04:08.000 --> 1:04:10.000]  So this is Brock's new big claim.
[1:04:10.000 --> 1:04:18.000]  There's no question that you have left the organizations like Snopes now deciding what is and is not news.
[1:04:19.000 --> 1:04:20.000]  This is a slippery slope.
[1:04:21.000 --> 1:04:22.000]  And then they bury them.
[1:04:23.000 --> 1:04:25.000]  Yeah, they're Judge Jury and Executioner, Judge Dredd, the lady with her cat.
[1:04:26.000 --> 1:04:29.000]  Thank you so much for joining us. Let's talk again sometime this evening.
[1:04:30.000 --> 1:04:32.000]  Roger Stone is a fast and furious town to be alive.
[1:04:33.000 --> 1:04:38.000]  Everyone should be part of the revolution and spread your links, our links, infowars.com, stonecultruth.com,
[1:04:38.000 --> 1:04:44.000]  we're winning, but the enemy is attacking. This is when the battle's got to be pressed.
[1:04:45.000 --> 1:04:48.000]  The attack has got to be pushed to its maximum ramming speed.
[1:04:49.000 --> 1:04:52.000]  Spread those links to the forewinds continually and we will defeat the globalist.
[1:04:52.000 --> 1:05:07.000]  And spread the word about our local affiliates. Thank you, Roger Stone. Big guest coming up.
[1:05:23.000 --> 1:05:27.000]  Blackwater found secret Seychelles meeting to establish Trump Putin back channel.
[1:05:28.000 --> 1:05:33.000]  That's right, Trump Putin back channel could be found in thousands of articles all released within two hours of each other.
[1:05:34.000 --> 1:05:41.000]  And they claim that Eric Prince of Blackwater was having secret meetings at an Indian Ocean Island with Russia to set up a secret back channel with Putin.
[1:05:41.000 --> 1:05:51.000]  The proof we do have are the NSA request logs with Susan Rice's name all over them which is asking for the unmasking of Donald Trump and his associates.
[1:05:52.000 --> 1:05:54.000]  So she, Obama and others could spy on them.
[1:05:54.000 --> 1:06:20.000]  Rob Dew reporting for infowars.com and infowars nightly news.
[1:06:20.000 --> 1:06:27.000]  Super Blue fluoride free toothpaste is a groundbreaking new formula. It's loaded with good halogen iodine, so the bad halogen fluoride.
[1:06:28.000 --> 1:06:34.000]  Super Blue contains natural oils and ingredients used since Biblical times to help wipe out bad bacteria and eliminate bad breath.
[1:06:35.000 --> 1:06:42.000]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[1:06:43.000 --> 1:06:46.000]  Due to requests from listeners who found that spearmint was a little bit too strong for some of their children.
[1:06:46.000 --> 1:06:50.000]  We have created the new bubblegum flavored Super Blue that is spearmint free.
[1:06:51.000 --> 1:06:59.000]  Learn more about the new bubblegum flavored Super Blue toothpaste and more at infowarslife.com and support the info war while you support healthy gums and teeth.
[1:07:00.000 --> 1:07:06.000]  The reason info wars life has five star ratings on major third party sites is because I want products I'm going to use for my family.
[1:07:07.000 --> 1:07:12.000]  I take this, my family takes this and then it funds the operation with the most hardcore truthful information you're going to find anywhere.
[1:07:12.000 --> 1:07:16.000]  So what you find in our news is the same thing you find in our products at infowarslife.com.
[1:07:17.000 --> 1:07:22.000]  If I ever forget to take them, I have a noticeable difference. I don't feel good.
[1:07:23.000 --> 1:07:26.000]  The nascent iodine is one of the ones that was life changing for me.
[1:07:27.000 --> 1:07:34.000]  Yeah, I've actually just run out of my super female. I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[1:07:35.000 --> 1:07:37.000]  Very exciting, feeling great, looking good.
[1:07:37.000 --> 1:07:44.000]  And I know my hair is luxurious once again. So obviously the super female is amazing. I love it.
[1:07:45.000 --> 1:07:54.000]  Nascent iodine is essential. Survival Shield X2. If there's one product that I would say is life changing that I would suggest it's nascent iodine Survival Shield X2.
[1:07:55.000 --> 1:07:58.000]  It's got a five star rating. It's a win win infowarslife.com.
[1:07:58.000 --> 1:07:59.000]  Go to infowarslife.com.
[1:08:06.000 --> 1:08:09.000]  Alex Jones. He was a nice guy actually. You like him?
[1:08:10.000 --> 1:08:13.000]  That's good. Alex was a nice guy.
[1:08:14.000 --> 1:08:20.000]  I know now from top people that you actually are for real and you understand you're in danger and you understand what you're doing.
[1:08:20.000 --> 1:08:27.000]  Your reputation is amazing. I will not let you down. You will be very, very impressed, I hope.
[1:08:28.000 --> 1:08:35.000]  And I think we'll be speaking a lot, but you'll be looking at me in a year or two years. Let's give me a little bit of time to run things.
[1:08:36.000 --> 1:08:41.000]  But a year into office, you'll be saying, wow, I remember that interview. He said he was going to do it and he did a great job.
[1:08:42.000 --> 1:08:43.000]  You'll be very proud of our country.
[1:08:43.000 --> 1:08:49.000]  So while we're there, you probably read it. It was in Drudge. Who's great, by the way. Drudge is amazing.
[1:08:50.000 --> 1:08:52.000]  But the story in Drudge and Big Store, it's all over the place now.
[1:08:53.000 --> 1:09:00.000]  They're swimming across and big bags of stuff, shrugs swimming across the river.
[1:09:01.000 --> 1:09:02.000]  Swimming right across.
[1:09:03.000 --> 1:09:07.000]  We just caught these guys coming across the border. They're jumping in. They just jumped in the rafts.
[1:09:08.000 --> 1:09:11.000]  They're coming up one, two, three, four. They have big satchels.
[1:09:11.000 --> 1:09:17.000]  And actually the camera crew or the reporters were petrified because they thought they were going to be killed.
[1:09:18.000 --> 1:09:22.000]  Because they're showing this on camera. The guys carrying bags of stuff, it was shrugs.
[1:09:27.000 --> 1:09:28.000]  Thank you.
[1:09:29.000 --> 1:09:32.000]  Donald Trump, I hope you can help Uncripple America. Thank you so much, sir.
[1:09:33.000 --> 1:09:35.000]  You will be attacked for coming on and we know you know that. Thank you.
[1:09:36.000 --> 1:09:37.000]  Thank you very much.
[1:09:37.000 --> 1:09:44.000]  Rallying Patriots worldwide in defense of human liberty. It's Alex Jones.
[1:09:46.000 --> 1:09:56.000]  Last week when Jean-Claude Junkers of the most powerful Nazi supporting family, Prussian royalty.
[1:09:57.000 --> 1:10:02.000]  That's the German military state, form of the Austrian-Hungarian Empire military state.
[1:10:02.000 --> 1:10:13.000]  The main aircraft producer for the Nazis in World War II, so war profiteer criminals, they captured Luxembourg during the war and never gave it up.
[1:10:14.000 --> 1:10:15.000]  You wonder where the Nazi money went.
[1:10:17.000 --> 1:10:23.000]  I mean, there's books written about the Junkers. I call them Junkers as an insult.
[1:10:23.000 --> 1:10:33.000]  And this creature came out and said to Donald Trump, we will break your country up.
[1:10:34.000 --> 1:10:36.000]  We will economically wage war and you just like they did with Brexit.
[1:10:37.000 --> 1:10:41.000]  You notice the UK said, oh, you already dropped bombs on us in 1941 or whatever, that didn't work.
[1:10:42.000 --> 1:10:43.000]  We're certainly not worried about you trying to crash our economy.
[1:10:44.000 --> 1:10:48.000]  But the arrogance and then after he, I was trying to get more bonks on last week.
[1:10:48.000 --> 1:10:55.000]  Since then, this is just breaking today, we have Spanish members of parliament, EU members of parliament.
[1:10:56.000 --> 1:10:59.000]  I have a stack of news here threatening war with the UK.
[1:11:00.000 --> 1:11:00.000]  This is insane.
[1:11:01.000 --> 1:11:07.000]  Now you have the Prime Minister saying, well, they try to take the rocket Gibraltar that's been British control for hundreds of years, you know, controlling the interests of the Mediterranean.
[1:11:08.000 --> 1:11:09.000]  We'll go to war just like the Falkland War.
[1:11:10.000 --> 1:11:14.000]  So now we have a Spanish gunship entering British waters off Gibraltar.
[1:11:14.000 --> 1:11:15.000]  This is unprecedented.
[1:11:16.000 --> 1:11:17.000]  So what is going on?
[1:11:18.000 --> 1:11:23.000]  Former top advisor to Margaret Thatcher, kind of the prototype guy helping, you know, found UK.
[1:11:24.000 --> 1:11:25.000]  It's now spread all over Europe.
[1:11:26.000 --> 1:11:29.000]  The chief scientist out there exposing all the climate change fraud.
[1:11:30.000 --> 1:11:32.000]  Of course, we have the lowest hurricane level ever recorded now this year.
[1:11:33.000 --> 1:11:35.000]  They just announced we're not going to get into all that science and public policy.org.
[1:11:36.000 --> 1:11:37.000]  What's up with that.
[1:11:37.000 --> 1:11:43.000]  Com Lord Christopher Monkton, I won't go over all of that.
[1:11:44.000 --> 1:11:45.000]  And the media goes, don't call him a Lord.
[1:11:46.000 --> 1:11:47.000]  They disbanded the House of Lords.
[1:11:48.000 --> 1:11:49.000]  It doesn't matter.
[1:11:50.000 --> 1:11:50.000]  That's his dad.
[1:11:51.000 --> 1:11:51.000]  That's him.
[1:11:52.000 --> 1:11:52.000]  He's a patriot.
[1:11:53.000 --> 1:11:55.000]  It's fun to say, you know, I love how they play these semantical games.
[1:11:56.000 --> 1:12:00.000]  So here we are, ladies and gentlemen with Lord Christopher Monkton, a super patriot.
[1:12:01.000 --> 1:12:02.000]  We see nationalism rising, globalism panicking.
[1:12:03.000 --> 1:12:04.000]  What are they going to do?
[1:12:04.000 --> 1:12:06.000]  That's my second question.
[1:12:07.000 --> 1:12:08.000]  What does he make of what's happening currently in the world?
[1:12:09.000 --> 1:12:12.000]  The left alliance with radical Islam, just the state of the world with Lord Monkton.
[1:12:13.000 --> 1:12:24.000]  And what's happening with all these EU bureaucrats, unelected dictators, threatening economic war, physical war, EU armies, threatening to march them in.
[1:12:25.000 --> 1:12:27.000]  I mean, I guess we didn't take that serious in 1939 either.
[1:12:28.000 --> 1:12:29.000]  What is going on?
[1:12:30.000 --> 1:12:31.000]  It's going to not see air.
[1:12:31.000 --> 1:12:33.000]  Is he threatening us?
[1:12:34.000 --> 1:12:56.000]  Everything that the appalling John Claude Juncker has said merely reinforces the reasons why it was so necessary for us in the United Kingdom to have nothing further to do with the dictatorial fascistic communist European Union, the tyranny by clerk, because that's what they really are.
[1:12:56.000 --> 1:13:22.000]  These people whose ambition vastly exceeds their competence have responded in a petulant, childish and arrogant way to what was on any view a thoughtful, considered and very friendly six page letter from our Prime Minister, Theresa May, notifying them on March the 29th,
[1:13:22.000 --> 1:13:30.000]  that Britain would be in two years time on March the 29th, 2019, quitting the European Union.
[1:13:31.000 --> 1:13:45.000]  Now, Theresa May deliberately went to great lengths to say how much Britain feels that it is part of Europe, because we have no quarrel with Europe.
[1:13:45.000 --> 1:13:58.000]  Our quarrel is with the dictators of the European Union, and the reason why we don't like the European Union is that the European Union is anti-European because it is anti-democratic.
[1:13:59.000 --> 1:14:04.000]  It was Europe that gave the world the name and the reality of democracy.
[1:14:05.000 --> 1:14:06.000]  It was the ancient Greeks who did that.
[1:14:06.000 --> 1:14:14.000]  And it is Europe now in the shape of the European Union that reject democracy.
[1:14:15.000 --> 1:14:24.000]  And when this very civilized letter, on any view, a very civilized letter was sent by Theresa May, great thought had gone into it, a very responsible, very statesman like letter.
[1:14:24.000 --> 1:14:39.000]  What has happened since is enormous petulance on the part of the EU, and some bureaucrats thought they'd have some fun saying that if anything in the negotiations affected Gibraltar, the Government of Spain would have to be asked.
[1:14:40.000 --> 1:14:42.000]  Well, now here is how the law actually works.
[1:14:43.000 --> 1:14:50.000]  By the Treaty of Utrecht in 1713, Spain agreed that Gibraltar was British.
[1:14:50.000 --> 1:14:56.000]  That is the law. That is the international treaty. It hasn't been revoked. It hasn't been repealed.
[1:14:57.000 --> 1:15:03.000]  We are both bound by that just as much now as we were in 1713 when both parties signed it.
[1:15:04.000 --> 1:15:09.000]  So let us have no more nonsense from the EU bureaucrats about grabbing Gibraltar.
[1:15:09.000 --> 1:15:25.000]  And of course, quite rightly, several Conservative members of parliament have got on their high horses and they've said, if the EU is going to threaten Gibraltar, we will take whatever steps military or other to defend the people of Gibraltar.
[1:15:25.000 --> 1:15:38.000]  As recently as 2004, that was the most recent of many occasions on which the people of Gibraltar have been asked by referendum, do they even want Spain to have a slightly increased share in the Government of Gibraltar?
[1:15:39.000 --> 1:15:46.000]  And the answer was 99.7%. No, they want to remain entirely, completely and splendidly British.
[1:15:47.000 --> 1:15:51.000]  So there's going to be no more nonsense about Gibraltar. We're not having that.
[1:15:51.000 --> 1:16:13.000]  What it does indicate is bad faith on the part of those in the European Union who, on the one hand, insist that we should comply with the letter as well as the spirit of the European treaties while at the same time saying that they feel that they and Spain can get together for the sake of spiting and harming Gibraltar and spiting Britain,
[1:16:13.000 --> 1:16:22.000]  ignoring the Treaty of Utrecht, which is just as much a treaty and just as much binding and just as much current as the European treaties are.
[1:16:23.000 --> 1:16:25.000]  So that's that one. Let's have no more nonsense.
[1:16:26.000 --> 1:16:35.000]  Well, let me correct you. Under law, Lord Monkton, international law, common law, European law, British law, isn't the fact that it's almost 300 years old, make it even stronger by right of possession?
[1:16:36.000 --> 1:16:38.000]  Well, of course, it isn't right of possession.
[1:16:38.000 --> 1:16:42.000]  Well, it's right of treaty and right of exercise and right of everything. I'm saying...
[1:16:43.000 --> 1:16:47.000]  That's right. I mean, you could say by long custom and practice, which is one of the...
[1:16:48.000 --> 1:16:50.000]  That's the right term. Long custom and practice. That's what I was looking for.
[1:16:51.000 --> 1:16:59.000]  Absolutely. And of course, they would argue, on the other hand, just as Argentina tried to do with the Falklands, that territorial contiguity gives them some rights.
[1:16:59.000 --> 1:17:08.000]  In other words, their territory is closer to such a broader than British territory is. Well, that's not how it works, not in the post-colonial era.
[1:17:09.000 --> 1:17:14.000]  You see, Spain and Argentina are still living in the colonial era, where you can go around and help yourself to prop...
[1:17:15.000 --> 1:17:16.000]  So is Junker, isn't he? So is Junker.
[1:17:17.000 --> 1:17:27.000]  That's what they're trying to do. But you see, in the post-colonial era, what determines sovereignty above all else, above even treaties, is what's called the right of self-determination.
[1:17:27.000 --> 1:17:29.000]  Isn't that 1776? That's America.
[1:17:30.000 --> 1:17:34.000]  Well, that's exactly what you did, whether we liked it or not, in 1776.
[1:17:35.000 --> 1:17:47.000]  And as you know, Alex, I have a standing offer on behalf of Her Majesty's government, and I'm happy to convey it to you now, that if only you will in future remember to put your tea in the teapot rather than in the harbour, because it tastes better that way.
[1:17:48.000 --> 1:17:55.000]  We will remit all the taxes and imposts upon you, save only the original tax of half a crown of pound on tea.
[1:17:55.000 --> 1:18:03.000]  And I think you'll find that a great bargain for the restoration of British government will be far cheaper, certainly than the Obama administration was.
[1:18:04.000 --> 1:18:05.000]  Probably a lot better, yeah.
[1:18:06.000 --> 1:18:11.000]  So, you know, do feel free to return to the British crown at any time you like. You will be welcomed with open arms.
[1:18:11.000 --> 1:18:24.000]  But more seriously, one of the things that I'm doing in June on the 23rd and the 24th in Bozeman, Montana, is we're going to hold a thing called the Red Pill Expo.
[1:18:24.000 --> 1:18:40.000]  And you can go to redpillexpo.org and make your booking to come to that conference, where we're going to be discussing all these issues that Brexit and, of course, all the problems that Mr. Trump faces with unwilling bureaucrats and the Democrats rioting in the streets and so forth.
[1:18:41.000 --> 1:18:43.000]  We're going to be discussing all that at the Red Pill Expo.
[1:18:44.000 --> 1:18:48.000]  And if you go to redpillexpo.org, you can make your booking there.
[1:18:49.000 --> 1:18:50.000]  And I'd love to see you there, Alex.
[1:18:50.000 --> 1:18:53.000]  I know I've been invited. I would love to. I'm launching a bunch of projects.
[1:18:54.000 --> 1:18:58.000]  But soon I'm going to come to some of the conferences here at Lord Monty, because I want to see you again in person as we've done.
[1:18:59.000 --> 1:19:02.000]  Now, we're going to come back in the next segment, but we've got 30 seconds here, 40 seconds.
[1:19:03.000 --> 1:19:06.000]  How is the new older doing right now? I mean, they say they're falling apart. Is that true?
[1:19:07.000 --> 1:19:14.000]  There's no doubt that the people who think that nation states still have a future are in the ascendant at the moment.
[1:19:14.000 --> 1:19:19.000]  We won Brexit and now we are going to leave the European Union, whatever the result of the negotiations.
[1:19:20.000 --> 1:19:24.000]  Mr. Trump, splendidly whom I campaigned for in Montana during the election campaign.
[1:19:25.000 --> 1:19:27.000]  I'm thrilled that he's now the president of the United States.
[1:19:28.000 --> 1:19:30.000]  He's already unwound, all the climate rubbish.
[1:19:31.000 --> 1:19:35.000]  He's gradually pushing back on that and many other so-called globalist agendas.
[1:19:36.000 --> 1:19:37.000]  And, of course, they're not really globalists.
[1:19:38.000 --> 1:19:39.000]  Let's talk about the state of the fight for sovereignty.
[1:19:39.000 --> 1:19:45.000]  And we'll talk about the French election and so much more in one more segment with Lord Montyne of ScienceandPublicPolicy.org.
[1:19:46.000 --> 1:19:49.000]  We've got a bunch of other guests joining us with huge breaking news today as well.
[1:19:50.000 --> 1:19:52.000]  The revolution against globalist tyranny is exploding.
[1:19:52.000 --> 1:20:18.000]  Be part of it today, share these links, share these videos because the censorship is unparalleled.
[1:20:22.000 --> 1:20:33.000]  New NSF EPA certified lab tests show Big Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[1:20:34.000 --> 1:20:36.000]  Big Berkey water filters are the original and most trusted on the market.
[1:20:37.000 --> 1:20:42.000]  The gold standard in water purification and our filters last three years at less than two cents per gallon.
[1:20:43.000 --> 1:20:46.000]  Big Berkey, the one powerful enough to purify stagnant pond water.
[1:20:46.000 --> 1:20:52.000]  Get your Big Berkey today. Call 1-877-99 Berkey or click BigBerkeyWaterFilters.com.
[1:20:53.000 --> 1:20:55.000]  That's 1-877-99 BERKEY.
[1:20:56.000 --> 1:20:59.000]  Big Berkey water filters for the love of clean water.
[1:21:00.000 --> 1:21:01.000]  Sick and tired of being sick and tired?
[1:21:02.000 --> 1:21:06.000]  Family health and education resources wants to help you achieve and maintain good health naturally.
[1:21:07.000 --> 1:21:10.000]  Overcome lifestyle diseases with nutrition and natural remedies.
[1:21:10.000 --> 1:21:17.000]  Addiction recovery designed to build habits that heal rather than hurt. Communication and relationship building to strengthen family units.
[1:21:18.000 --> 1:21:20.000]  Character building and devotional resources for the whole family.
[1:21:21.000 --> 1:21:24.000]  We are on a mission to save America one family at a time.
[1:21:24.000 --> 1:21:50.000]  Visit NewEnglandSHER.com today. NewEnglandSHER.com.
[1:21:50.000 --> 1:22:00.000]  Visit NewEnglandSHER.com today. NewEnglandSHER.com.
[1:22:20.000 --> 1:22:36.000]  NewEnglandSHER.com.
[1:22:36.000 --> 1:22:58.000]  Visit NewEnglandSHER.com today. NewEnglandSHER.com.
[1:22:58.000 --> 1:23:10.000]  NewEnglandSHER.com.
[1:23:29.000 --> 1:23:51.000]  NewEnglandSHER.com.
[1:23:51.000 --> 1:23:58.000]  NewEnglandSHER.com.
[1:23:59.000 --> 1:24:08.000]  NewEnglandSHER.com.
[1:24:08.000 --> 1:24:28.000]  NewEnglandSHER.com.
[1:24:28.000 --> 1:24:48.000]  NewEnglandSHER.com.
[1:24:48.000 --> 1:25:08.000]  NewEnglandSHER.com.
[1:25:08.000 --> 1:25:28.000]  NewEnglandSHER.com.
[1:25:28.000 --> 1:25:48.000]  NewEnglandSHER.com.
[1:25:58.000 --> 1:26:27.000]  NewEnglandSHER.com.
[1:26:28.000 --> 1:26:51.000]  NewEnglandSHER.com.
[1:26:51.000 --> 1:27:11.000]  NewEnglandSHER.com.
[1:27:21.000 --> 1:27:50.000]  NewEnglandSHER.com.
[1:27:51.000 --> 1:28:11.000]  NewEnglandSHER.com.
[1:28:21.000 --> 1:28:49.000]  NewEnglandSHER.com.
[1:28:49.000 --> 1:29:09.000]  NewEnglandSHER.com.
[1:29:19.000 --> 1:29:48.000]  NewEnglandSHER.com.
[1:29:49.000 --> 1:29:59.000]  NewEnglandSHER.com.
[1:30:19.000 --> 1:30:48.000]  NewEnglandSHER.com.
[1:30:49.000 --> 1:30:59.000]  NewEnglandSHER.com.
[1:31:19.000 --> 1:31:46.000]  NewEnglandSHER.com.
[1:31:46.000 --> 1:31:59.000]  NewEnglandSHER.com.
[1:32:16.000 --> 1:32:45.000]  NewEnglandSHER.com.
[1:32:46.000 --> 1:33:01.000]  NewEnglandSHER.com.
[1:33:01.000 --> 1:33:21.000]  NewEnglandSHER.com.
[1:33:21.000 --> 1:33:41.000]  NewEnglandSHER.com.
[1:33:41.000 --> 1:34:10.000]  NewEnglandSHER.com.
[1:34:11.000 --> 1:34:31.000]  NewEnglandSHER.com.
[1:34:31.000 --> 1:34:59.000]  NewEngland.
[1:34:59.000 --> 1:35:28.000]  NewEnglandSHER.com.
[1:35:29.000 --> 1:35:58.000]  NewEnglandSHER.com.
[1:35:59.000 --> 1:36:28.000]  NewEnglandSHER.com.
[1:36:29.000 --> 1:36:58.000]  NewEnglandSHER.com.
[1:36:59.000 --> 1:37:28.000]  NewEnglandSHER.com.
[1:37:29.000 --> 1:37:58.000]  NewEnglandSHER.com.
[1:37:59.000 --> 1:38:28.000]  NewEnglandSHER.com.
[1:38:29.000 --> 1:38:58.000]  NewEnglandSHER.com.
[1:38:59.000 --> 1:39:24.000]  NewEnglandSHER.com.
[1:39:24.000 --> 1:39:51.000]  NewEngland.
[1:39:51.000 --> 1:40:20.000]  NewEngland.
[1:40:21.000 --> 1:40:50.000]  NewEngland.
[1:40:51.000 --> 1:41:13.000]  NewEngland.
[1:41:13.000 --> 1:41:40.000]  NewEngland.
[1:41:40.000 --> 1:42:08.000]  NewEngland.
[1:42:08.000 --> 1:42:37.000]  NewEngland.
[1:42:38.000 --> 1:42:57.000]  NewEngland.
[1:42:57.000 --> 1:43:26.000]  NewEngland.
[1:43:27.000 --> 1:43:46.000]  NewEngland.
[1:43:46.000 --> 1:44:14.000]  NewEngland.
[1:44:14.000 --> 1:44:43.000]  NewEngland.
[1:44:43.000 --> 1:45:06.000]  NewEngland.
[1:45:06.000 --> 1:45:35.000]  NewEngland.
[1:45:36.000 --> 1:46:03.000]  NewEngland.
[1:46:03.000 --> 1:46:18.000]  NewEngland.
[1:46:18.000 --> 1:46:44.000]  NewEngland.
[1:46:44.000 --> 1:47:10.000]  NewEngland.
[1:47:10.000 --> 1:47:39.000]  NewEngland.
[1:47:40.000 --> 1:48:03.000]  NewEngland.
[1:48:03.000 --> 1:48:29.000]  NewEngland.
[1:48:29.000 --> 1:48:55.000]  NewEngland.
[1:48:55.000 --> 1:49:21.000]  NewEngland.
[1:49:21.000 --> 1:49:47.000]  NewEngland.
[1:49:47.000 --> 1:50:13.000]  NewEngland.
[1:50:13.000 --> 1:50:39.000]  NewEngland.
[1:50:39.000 --> 1:51:07.000]  NewEngland.
[1:51:07.000 --> 1:51:30.000]  NewEngland.
[1:51:30.000 --> 1:51:59.000]  NewEngland.
[1:51:59.000 --> 1:52:28.000]  NewEngland.
[1:52:29.000 --> 1:52:58.000]  NewEngland.
[1:52:59.000 --> 1:53:28.000]  NewEngland.
[1:53:29.000 --> 1:53:58.000]  NewEngland.
[1:53:59.000 --> 1:54:28.000]  NewEngland.
[1:54:29.000 --> 1:54:58.000]  NewEngland.
[1:54:58.000 --> 1:55:27.000]  NewEngland.
[1:55:27.000 --> 1:55:56.000]  NewEngland.
[1:55:56.000 --> 1:56:25.000]  NewEngland.
[1:56:26.000 --> 1:56:55.000]  NewEngland.
[1:56:56.000 --> 1:57:25.000]  NewEngland.
[1:57:26.000 --> 1:57:55.000]  NewEngland.
[1:57:56.000 --> 1:58:25.000]  NewEngland.
[1:58:26.000 --> 1:58:49.000]  NewEngland.
[1:58:49.000 --> 1:59:18.000]  NewEngland.
[1:59:19.000 --> 1:59:48.000]  NewEngland.
[1:59:49.000 --> 2:00:18.000]  NewEngland.
[2:00:19.000 --> 2:00:46.000]  NewEngland.
[2:00:46.000 --> 2:01:13.000]  NewEngland.
[2:01:13.000 --> 2:01:42.000]  NewEngland.
[2:01:43.000 --> 2:02:12.000]  NewEngland.
[2:02:13.000 --> 2:02:42.000]  NewEngland.
[2:02:43.000 --> 2:03:12.000]  NewEngland.
[2:03:13.000 --> 2:03:36.000]  NewEngland.
[2:03:36.000 --> 2:04:03.000]  NewEngland.
[2:04:03.000 --> 2:04:32.000]  NewEngland.
[2:04:33.000 --> 2:05:00.000]  NewEngland.
[2:05:00.000 --> 2:05:26.000]  NewEngland.
[2:05:26.000 --> 2:05:52.000]  NewEngland.
[2:05:52.000 --> 2:06:21.000]  NewEngland.
[2:06:22.000 --> 2:06:48.000]  NewEngland.
[2:06:48.000 --> 2:07:17.000]  NewEngland.
[2:07:18.000 --> 2:07:47.000]  NewEngland.
[2:07:48.000 --> 2:08:03.000]  NewEngland.
[2:08:03.000 --> 2:08:29.000]  NewEngland.
[2:08:29.000 --> 2:08:56.000]  NewEngland.
[2:08:56.000 --> 2:09:21.000]  NewEngland.
[2:09:21.000 --> 2:09:49.000]  NewEngland.
[2:09:49.000 --> 2:10:15.000]  NewEngland.
[2:10:15.000 --> 2:10:41.000]  NewEngland.
[2:10:41.000 --> 2:11:10.000]  NewEngland.
[2:11:10.000 --> 2:11:39.000]  NewEngland.
[2:11:39.000 --> 2:12:08.000]  NewEngland.
[2:12:08.000 --> 2:12:37.000]  NewEngland.
[2:12:37.000 --> 2:13:00.000]  NewEngland.
[2:13:00.000 --> 2:13:29.000]  NewEngland.
[2:13:30.000 --> 2:13:53.000]  NewEngland.
[2:13:53.000 --> 2:14:08.000]  NewEngland.
[2:14:08.000 --> 2:14:34.000]  NewEngland.
[2:14:34.000 --> 2:15:00.000]  NewEngland.
[2:15:00.000 --> 2:15:15.000]  NewEngland.
[2:15:15.000 --> 2:15:42.000]  NewEngland.
[2:15:42.000 --> 2:16:04.000]  NewEngland.
[2:16:04.000 --> 2:16:32.000]  NewEngland.
[2:16:32.000 --> 2:16:54.000]  NewEngland.
[2:16:54.000 --> 2:17:21.000]  NewEngland.
[2:17:21.000 --> 2:17:46.000]  NewEngland.
[2:17:46.000 --> 2:18:12.000]  NewEngland.
[2:18:12.000 --> 2:18:38.000]  NewEngland.
[2:18:38.000 --> 2:19:04.000]  NewEngland.
[2:19:04.000 --> 2:19:30.000]  NewEngland.
[2:19:30.000 --> 2:19:57.000]  NewEngland.
[2:19:57.000 --> 2:20:24.000]  NewEngland.
[2:20:24.000 --> 2:20:51.000]  NewEngland.
[2:20:51.000 --> 2:21:18.000]  NewEngland.
[2:21:18.000 --> 2:21:47.000]  NewEngland.
[2:21:47.000 --> 2:22:13.000]  NewEngland.
[2:22:13.000 --> 2:22:40.000]  NewEngland.
[2:22:40.000 --> 2:23:09.000]  NewEngland.
[2:23:10.000 --> 2:23:37.000]  NewEngland.
[2:23:37.000 --> 2:24:04.000]  NewEngland.
[2:24:04.000 --> 2:24:31.000]  NewEngland.
[2:24:31.000 --> 2:24:58.000]  NewEngland.
[2:24:58.000 --> 2:25:25.000]  NewEngland.
[2:25:25.000 --> 2:25:52.000]  NewEngland.
[2:25:52.000 --> 2:26:18.000]  NewEngland.
