[00:00:01.002 --> 00:00:06.786]  And ladies and gentlemen, thank you for joining us on this February 11, 2018 Global Transmission.
[00:49:48.143 --> 00:49:51.665]  It's that they're going to engineer it with the back doors all up to control you.
[00:49:51.665 --> 00:50:00.009]  So, then you started seeing EAS systems breaking on phones six, seven years ago and cable systems about wars or this or that.
[00:50:00.009 --> 00:50:03.291]  You used to see what you do if it said martial law on your TV.
[00:50:03.291 --> 00:50:07.073]  And that happened hundreds of times we know of locally around the country.
[00:50:07.073 --> 00:50:09.314]  And it happened in Europe, it happened in Japan.
[00:50:09.314 --> 00:50:13.536]  They're testing different agencies and groups to see how you will respond.
[00:50:14.457 --> 00:50:26.705]  Now, lately it's become such a phenomenon, the last two years, that on YouTube there are tens of thousands, I looked today before the show, of videos where people repeat what happened.
[00:50:26.705 --> 00:50:33.450]  They'll tell their wife or their husband, I'm sick of your crap, you know, gosh, what do you want me to do but kill myself?
[00:50:33.450 --> 00:50:37.353]  And it calls the police on them, or it calls the psych ward.
[00:50:37.353 --> 00:50:40.975]  And then literally the phone rings and says, you're talking about committing suicide.
[00:50:40.975 --> 00:50:42.676]  Or you say, that's it, I'm calling the cops.
[00:50:42.676 --> 00:50:43.497]  It calls the cops.
[00:50:44.594 --> 00:50:46.537]  Okay, but it's beyond that.
[00:50:46.537 --> 00:50:49.162]  Google said in 2006 to its shareholders they said
[00:50:50.407 --> 00:50:54.349]  If we hear a dog barking, even though you're not online looking at dog stuff, we'll put dog ads in.
[00:50:54.349 --> 00:50:59.992]  So about five years ago, we began to notice that we would be talking about stuff that didn't even matter around the office, weird stuff.
[00:50:59.992 --> 00:51:05.035]  We did tests and suddenly the next day it'd be on our Google feeds, on our Facebook feeds.
[00:51:05.035 --> 00:51:10.098]  Jen, who's under the weather, one of the producers, she runs the David Knight Show, she's still gonna come on, she's under the weather.
[00:51:10.098 --> 00:51:12.699]  But she said, yeah, I talked about beer in the shower as a joke.
[00:51:12.699 --> 00:51:15.120]  Next day, beer in the shower was on her Facebook feed.
[00:51:15.120 --> 00:51:16.661]  This has happened.
[00:51:16.661 --> 00:51:19.463]  And what's weird is, as they make it ubiquitous, no one wants to admit it.
[00:51:20.393 --> 00:51:46.876]  Now, today, getting ready for the show, a couple hours before I got here, even though I got here a few hours before the show, they were even here earlier, Zach, one of the lead producers, who's on screen, he's in there, and he'll tell the whole story right now, and he's looking at Drudge about this 20-pound rat, Nutria, that have come in from South America, and they've gone all over the country, and now they're attacking people, and now they're a big problem, we can put the 20-pound rat story, and he goes, look at this giant effing rat.
[00:51:47.719 --> 00:51:51.104]  And he and Jim were the first to get here, I guess at one o'clock he was saying.
[00:51:51.104 --> 00:51:57.372]  So they put on screen the article that was linked on DrudgeReport.com about the giant effing rat.
[00:51:57.372 --> 00:52:01.839]  Invasive 20-pound rodent increasingly burrowing into California.
[00:52:03.291 --> 00:52:05.572]  By the way, here in Texas, they get a lot bigger than that.
[00:52:05.572 --> 00:52:10.394]  They got one in Brazil that's the same family, but not that much.
[00:52:10.394 --> 00:52:11.234]  It's like 40, 50 pounds.
[00:52:11.234 --> 00:52:12.335]  They get even bigger.
[00:52:12.335 --> 00:52:14.375]  My mom had an Olympic coach.
[00:52:14.375 --> 00:52:18.177]  She was a master of swimming who got bit, had part of their foot taken off on Lake Austin.
[00:52:18.177 --> 00:52:20.418]  So, these new trees are a big issue.
[00:52:20.418 --> 00:52:22.258]  But that's not the point.
[00:52:22.258 --> 00:52:25.760]  Zack goes, look at this giant effing rat.
[00:52:26.889 --> 00:52:29.853]  Well, we'll repeat what happened, and Jen's right there.
[00:52:29.853 --> 00:52:31.695]  Sherry tells you, watch your language.
[00:52:31.695 --> 00:52:35.881]  So it's beyond, I'm typing something to my buddy, going, look at this, I do it, effing thing.
[00:52:35.881 --> 00:52:38.224]  It says, look at this ducking thing.
[00:52:38.224 --> 00:52:39.445]  It's all AI.
[00:52:39.445 --> 00:52:40.887]  This is AI.
[00:52:40.887 --> 00:52:43.090]  And all over the web, it's happening.
[00:52:43.090 --> 00:52:44.492]  There's over 10,000 videos.
[00:52:44.492 --> 00:52:44.852]  I looked at it.
[00:52:45.473 --> 00:52:49.258]  Of suddenly it's happening to everyone where it goes, watch your mouth.
[00:52:49.258 --> 00:52:52.202]  You're talking about Bezos or Amazon bad.
[00:52:52.202 --> 00:52:53.363]  Alexa pops in.
[00:52:53.363 --> 00:52:55.866]  You're talking about about Google.
[00:52:55.866 --> 00:52:56.687]  Siri pops in.
[00:52:56.687 --> 00:52:59.070]  So this was Siri today on your iPhone.
[00:52:59.070 --> 00:53:00.692]  Zach, enough of me ranting about it.
[00:53:00.692 --> 00:53:02.955]  This is just a personal experience.
[00:53:02.955 --> 00:53:03.756]  Tell folks what happened.
[00:53:03.996 --> 00:53:26.651]  Yeah, so, like my normal day process, I come into the show and I print everything from Drudge and InfoWars, and one of the main things I do is, you know, we banter back and forth talking about different articles, and like you said, the article about the invasive 20-pound rodent, the Nutria, from South America came up, and I was just baffled by the size of it, and just went to Jen and said, hey, look at this big effing rat.
[00:53:26.651 --> 00:53:31.214]  And next thing you know, me and Jen are just sitting there, and Siri pops up and goes, watch your language.
[00:53:32.079 --> 00:53:33.081]  And that's all she said.
[00:53:33.081 --> 00:53:33.842]  And let's be clear.
[00:53:33.842 --> 00:53:35.324]  You had walked over to Jen.
[00:53:35.324 --> 00:53:37.327]  Her station's right by you.
[00:53:37.327 --> 00:53:39.030]  Your station's over there.
[00:53:39.030 --> 00:53:40.312]  You're like six feet away.
[00:53:40.312 --> 00:53:42.174]  Maybe pull the camera out.
[00:53:42.174 --> 00:53:44.518]  Your station is to your right on the camera.
[00:53:44.518 --> 00:53:45.159]  You're over there.
[00:53:45.159 --> 00:53:46.301]  You don't have the phone in your hand.
[00:53:47.028 --> 00:53:48.029]  Is where I was sitting.
[00:53:48.029 --> 00:53:48.650]  Yeah.
[00:53:48.650 --> 00:53:52.553]  My phone was on the table, basically, about three feet away from me.
[00:53:52.553 --> 00:53:55.036]  Jen is on the other side, over here.
[00:53:55.036 --> 00:53:59.440]  And as this is all happening, just randomly out of nowhere, you just see, watch your language.
[00:53:59.440 --> 00:54:03.744]  And my phone turns on, I wasn't touching it, my battery, I wasn't doing anything to the phone.
[00:54:04.184 --> 00:54:06.665]  And it just listened to me.
[00:54:06.665 --> 00:54:07.645]  Even the screen was locked.
[00:54:07.645 --> 00:54:10.647]  I hadn't even looked at it in about 10-15 minutes because I was printing articles.
[00:54:10.647 --> 00:54:18.450]  So that's why it was so bizarre to me that just in the middle of me doing nothing, anywhere near the phone, it's still following me and listening to everything that I'm saying.
[00:54:18.450 --> 00:54:22.231]  And by the way, the Terms of Service admit that this is admittedly going on.
[00:54:22.231 --> 00:54:26.313]  The question is, here's the big question for you and then Jen who heard it, because you guys got it earlier.
[00:54:27.873 --> 00:54:35.998]  It's, as you know, we looked at earlier, 10,000 plus videos saying just Siri alone told me to not use bad language or called the cops on me.
[00:54:35.998 --> 00:54:38.300]  Not to mention Alexa or Google's Assistant.
[00:54:38.300 --> 00:54:40.261]  There's like 20 of these or more.
[00:54:40.261 --> 00:54:48.106]  That's the issue is, they're putting algorithms in to test and get you used to it, bossing you and spying on you.
[00:54:48.106 --> 00:54:52.869]  And then they've got Bezos with ads about how Alexa's sweet and lost its voice.
[00:54:52.869 --> 00:54:54.110]  I mean, this is sick.
[00:54:54.110 --> 00:54:55.611]  Jim, tell folks what you heard.
[00:54:55.611 --> 00:54:55.991]  You were there.
[00:54:56.553 --> 00:55:04.059]  So yeah, I read one of his articles, and he says, look at this giant effin' Nutri-Rat.
[00:55:04.059 --> 00:55:06.882]  And then Siri says exactly that.
[00:55:06.882 --> 00:55:08.203]  Watch your language.
[00:55:08.203 --> 00:55:12.426]  And I look at him, and we look at each other, and we're like, oh my god.
[00:55:12.426 --> 00:55:16.830]  And I asked him, did you program her to say that?
[00:55:16.830 --> 00:55:17.691]  And he's like, no.
[00:55:19.136 --> 00:55:21.938]  Because you can't even program Siri.
[00:55:21.938 --> 00:55:23.879]  It's Google.
[00:55:23.879 --> 00:55:24.759]  Siri's Google.
[00:55:24.759 --> 00:55:32.784]  It's Google in your life, with a thing in your house, listening to every damn thing you say, and people just sit here like it's no big deal.
[00:55:32.784 --> 00:55:35.226]  All I'm saying is, let's have a debate about it.
[00:55:36.007 --> 00:55:40.488]  Yeah, and I agree once again, like, this is not the first time I've seen this happen to me in my phone.
[00:55:40.488 --> 00:55:43.509]  This is probably about the third or fourth time since I've had the... You've mentioned it before.
[00:55:43.509 --> 00:55:44.950]  What was the thing you said about two months ago?
[00:55:44.950 --> 00:55:46.050]  What did it do?
[00:55:46.050 --> 00:55:47.531]  Uh, oh God, I can't remember.
[00:55:47.531 --> 00:55:50.692]  It was just turning itself on and it would just beep.
[00:55:50.692 --> 00:55:55.593]  And it would just, the Siri beeped that, bloop, and once in a while you would just hear it fire on me.
[00:55:55.593 --> 00:55:57.174]  So it was just, you know, always listening.
[00:55:57.174 --> 00:55:57.554]  Once in a while.
[00:55:57.554 --> 00:56:03.256]  Who in their right mind would put a corporation's robot, that's what it is, in your house,
[00:56:04.176 --> 00:56:08.799]  And then it's, it's, it's, it's spouting off saying, watch your mouth.
[00:56:08.799 --> 00:56:10.260]  Yeah, it's pretty crazy.
[00:56:10.260 --> 00:56:13.522]  It's just the fact that the device was mostly in a standby state.
[00:56:13.522 --> 00:56:16.705]  I don't know why, unless I was holding the phone in my hand and opening it up.
[00:56:16.705 --> 00:56:19.727]  Hey Siri, watch your mouth, you AI scum!
[00:56:19.727 --> 00:56:25.330]  Watch your mouth over there, uh, Mr. Schmidt.
[00:56:25.330 --> 00:56:28.092]  Exactly.
[00:56:28.092 --> 00:56:29.033]  What else do you think about this?
[00:56:29.033 --> 00:56:29.993]  Do you have any other comments?
[00:56:31.388 --> 00:56:33.909]  I do have an interesting story about two months ago.
[00:56:33.909 --> 00:56:42.353]  I was out with my friends and I mentioned to them that night that I said I was going to visit my parents tomorrow.
[00:56:42.353 --> 00:56:47.996]  And so the very next day I get into the car and you know how it always is at the destination?
[00:56:47.996 --> 00:56:51.498]  Yeah, for some reason, I think that's a wireless mic.
[00:56:51.498 --> 00:56:54.379]  For some reason it's getting feedback connection problems.
[00:56:54.379 --> 00:56:55.059]  Maybe stand up.
[00:56:55.059 --> 00:56:56.680]  I don't know if you're getting a good feed there.
[00:56:56.680 --> 00:56:59.661]  Somebody's messing with it.
[00:56:59.661 --> 00:57:00.502]  Jen, tell folks what happened.
[00:57:01.932 --> 00:57:07.513]  So yeah, so I basically was out a bunch with my friends on a Saturday night.
[00:57:07.513 --> 00:57:10.654]  And I mentioned that I was going to go visit my mom the next day.
[00:57:10.654 --> 00:57:14.374]  And my parents live out in a nursing home in Lakeway.
[00:57:14.374 --> 00:57:18.735]  And so you know how when you get in your car, it tells you the destination of where you're going?
[00:57:18.735 --> 00:57:19.155]  Yes.
[00:57:19.155 --> 00:57:20.555]  Frequently visit.
[00:57:20.555 --> 00:57:24.116]  But I haven't visited my parents in at least three weeks.
[00:57:24.116 --> 00:57:27.177]  And so when I get in my car, it says 40 minutes to FM 620.
[00:57:29.574 --> 00:57:33.756]  Which I'm like, how did it know I was going today?
[00:57:33.756 --> 00:57:35.797]  So I found that interesting.
[00:57:35.797 --> 00:57:36.698]  Well, this is critical.
[00:57:36.698 --> 00:57:37.898]  We need to do more on this.
[00:57:37.898 --> 00:57:43.001]  That's why Amazon said two years ago, 99% of the time they can guess what you're going to order before you do.
[00:57:43.001 --> 00:57:44.002]  We have patterns.
[00:57:44.002 --> 00:57:45.722]  The AI is watching all of us.
[00:57:45.722 --> 00:57:48.844]  They admit it's learning off of us to control us.
[00:57:48.844 --> 00:57:50.205]  Humans, have a debate about this.
[00:57:50.205 --> 00:57:55.548]  Every year, we spend hundreds of dollars on chocolates, jewelry, and sappy cards for Valentine's Day.
[00:57:56.428 --> 00:58:05.111]  It's time to get a gift that will really make the sparks fly with the InfoWars Life His and Hers Pack, now at 40% off.
[00:58:05.111 --> 00:58:13.954]  Get our two fan favorite products, Super Male Vitality and Super Female Vitality, that help boost vitality and energy for less.
[00:58:13.954 --> 00:58:20.076]  You've already taken care of Valentine's Day, make sure you and your significant other have an incredible Valentine's Night.
[00:58:21.457 --> 00:58:25.139]  A perfect excuse to get a gift for them and a gift for yourself.
[00:58:25.139 --> 00:58:34.464]  Super male vitality and super female vitality combine ancient wisdom and modern techniques for truly powerful formulas that you know they'll love.
[00:58:34.464 --> 00:58:40.667]  Fuel your body naturally and celebrate your love today with the InfoWars Life His and Hers Pack.
[00:58:40.667 --> 00:58:45.890]  Now available at 40% off at InfoWarsStore.com or by calling 888-253-3139.
[00:58:52.305 --> 00:59:10.696]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation, I'm not gonna speak for hours just on the files I have here, of what this is proven to do, the ingredients in this, this is the ultimate immune system boost for this time of year, any time of the year.
[00:59:10.696 --> 00:59:16.980]  But immune wall is incredible, and folks, other formulas that aren't even as good are $70, $80.
[00:59:16.980 --> 00:59:18.101]  It's a great deal at $39.
[00:59:18.101 --> 00:59:20.923]  Immune wall, beta-glucans, olive leaf,
[00:59:21.583 --> 00:59:23.123]  And so much more.
[00:59:23.123 --> 00:59:24.464]  It is concentrated.
[00:59:24.464 --> 00:59:26.284]  You need to go read what is in here.
[00:59:26.284 --> 00:59:32.006]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[00:59:32.006 --> 00:59:33.226]  A citrus peel blend.
[00:59:33.226 --> 00:59:35.227]  I mean, this is the next level.
[00:59:35.227 --> 00:59:37.827]  It's now available, ladies and gentlemen, Immune Wall.
[00:59:37.827 --> 00:59:39.268]  I think it's beyond seasonal.
[00:59:39.268 --> 00:59:41.628]  Beta, glucan, olive leaf, and more.
[00:59:41.628 --> 00:59:42.349]  Immune Wall.
[00:59:42.349 --> 00:59:43.769]  Infowarsstore.com.
[00:59:43.769 --> 00:59:44.949]  Infowarslife.com or 888-253-3139.
[00:59:53.283 --> 00:59:56.566]  You're listening to The Alex Jones Show.
[00:59:56.566 --> 01:00:04.512]  We are on the march.
[01:00:04.512 --> 01:00:08.355]  The Empire is on the run.
[01:00:08.355 --> 01:00:12.038]  Alex Jones and the GCN Radio Network.
[01:00:35.689 --> 01:00:37.010]  Welcome back to the Alex Jones Show.
[01:00:37.010 --> 01:00:43.353]  Owen Troyer here for the final hour and listening to the conversation leading up to this segment.
[01:00:43.353 --> 01:00:55.179]  One can't help but go through their own life experiences with their smartphones, with other people's smartphones, with the AI, and then magically having a conversation.
[01:00:55.179 --> 01:01:00.122]  And then, I mean, specifically I remember I would have conversations with people
[01:01:01.055 --> 01:01:02.876]  This was, this was years ago even.
[01:01:02.876 --> 01:01:05.738]  This was like five years ago when I still had Facebook.
[01:01:05.738 --> 01:01:13.001]  I'd be having a conversation with somebody about someone from high school or someone from our past and be like, oh yeah, remember him, remember her.
[01:01:13.001 --> 01:01:17.264]  And then I'd get on Facebook and then right there, they would be there.
[01:01:17.264 --> 01:01:19.805]  Friend, uh, do you know this person?
[01:01:19.805 --> 01:01:20.345]  Add friend.
[01:01:20.345 --> 01:01:24.087]  It was like, I was just talking about them.
[01:01:24.087 --> 01:01:26.809]  How did Facebook just magically put them on there?
[01:01:27.657 --> 01:01:34.561]  Then of course they started mainstreaming it and giving you the advertisements where you talk about your dog or taking a dog for a walk.
[01:01:34.561 --> 01:01:39.284]  All of a sudden you've got the, you know, dog food ads or the leashes and everything up there.
[01:01:39.284 --> 01:01:45.367]  And I know that here us at InfoWars are not the only people that have experienced this.
[01:01:45.367 --> 01:01:47.409]  In fact, there's this other thing.
[01:01:47.409 --> 01:01:52.512]  Someone has told this, someone that's a little more tech savvy with phones than I am, explained this to me actually.
[01:01:53.476 --> 01:02:04.485]  Whenever you actually take a photo with your iPhone, I know it's with iPhones, I don't know if it's with other phones, whenever you actually take a photo, it's actually taking a video.
[01:02:04.485 --> 01:02:14.213]  I don't know if anyone back there in the crew knows what I'm talking about, but you can see that sometimes the phone glitches, and when you go scroll through your pictures, you'll see that it's actually a video.
[01:02:14.213 --> 01:02:19.317]  And so there'll be a little, like, roll of the video before you're still of your picture.
[01:02:19.317 --> 01:02:20.418]  It's like, what?
[01:02:20.418 --> 01:02:20.818]  What is that?
[01:02:22.702 --> 01:02:30.252]  Also, I mean, how many times, if you're using the map on your phone, then you know Google is listening.
[01:02:30.252 --> 01:02:31.313]  If your map is engaged.
[01:02:32.176 --> 01:02:34.998]  Because that's just what they use it.
[01:02:34.998 --> 01:02:37.701]  I see that Zach is getting set up back there.
[01:02:37.701 --> 01:02:38.982]  Do you know what I'm talking about, Zach?
[01:02:38.982 --> 01:02:45.927]  With the image, how they actually take a video, and it's not a video, but then they have a still from it.
[01:02:45.927 --> 01:02:53.213]  Yes, I even actually have something to add to it that might even be a little bit sketchier, especially since this is referring mostly to Apple phones, iPhones.
[01:02:53.213 --> 01:02:55.215]  Like, for example, same thing with my phone from before.
[01:02:55.215 --> 01:02:56.876]  We were talking about the iPhone 7 Plus.
[01:02:57.997 --> 01:03:00.139]  Live photos are the default.
[01:03:00.139 --> 01:03:03.161]  That's what you're referring to.
[01:03:03.161 --> 01:03:20.495]  What Apple decided to do to save the ability of people having poor camera skills, essentially, is they would take these high-definition videos that are, you know, 20, 30 frames of high-definition clips, and you fire it, and then that way you can pick between that little video clip
[01:03:21.075 --> 01:03:21.395]  That's right.
[01:03:42.264 --> 01:03:47.087]  To the cloud, and then going back and taking the screen cap from that video.
[01:03:47.087 --> 01:03:54.472]  Yeah, and you'll notice on new iPhones that you'll see when you go to load a video or an image, sometimes it takes a little bit to load.
[01:03:54.472 --> 01:03:56.174]  That's because it's not on your phone anymore.
[01:03:56.174 --> 01:04:01.277]  And Apple goes out of its way to pull it off for the sake of you're saving your space.
[01:04:01.277 --> 01:04:07.882]  See, I've always used Android, and the only time I've ever really had a weird experience with the AI and the Android was when I had my Maps open.
[01:04:08.972 --> 01:04:12.574]  Or the location services were on for whatever app.
[01:04:12.574 --> 01:04:21.098]  So if you're talking, whatever app is using the location services will like click in and like bring you to like a restaurant or something like that.
[01:04:21.098 --> 01:04:25.561]  The other thing we know is going on and this is kind of a side note, but I just dealt with this today.
[01:04:27.122 --> 01:04:33.049]  My iPhone, I guess it's a 7 or something, it's like, now it's really slow, right?
[01:04:33.049 --> 01:04:41.378]  Yeah, so now they're looking at Apple because what they're doing is with these updates, they're actually basically downgrading you so that you have to buy a new phone.
[01:04:42.179 --> 01:04:44.261]  And so now it's hitting the iPhone 7s.
[01:04:44.261 --> 01:04:53.087]  So now if you have an iPhone 7, your phone gets slower, so they give you the new advanced AI in the iPhone 8 or the iPhone X, where everything's run with your face.
[01:04:53.087 --> 01:04:57.231]  See, your iPhone 7 isn't good enough anymore, so they slow that down with the AI, and then they bring in the X.
[01:04:58.410 --> 01:05:04.398]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[01:05:04.398 --> 01:05:08.564]  For those who want to increase testosterone and energy levels.
[01:05:08.564 --> 01:05:14.812]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[01:05:16.574 --> 01:05:23.740]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[01:05:23.740 --> 01:05:29.585]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[01:05:29.585 --> 01:05:41.736]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia.
[01:05:42.396 --> 01:05:48.703]  Macaroo from Peru, Horny Goatweed from China and Tribulus from India.
[01:05:48.703 --> 01:05:52.647]  Reach your alpha male potential with Alpha Power.
[01:05:52.647 --> 01:05:57.872]  Get Alpha Power now at 50% off and secure your bottle today.
[01:06:09.640 --> 01:06:10.781]  Big Brother.
[01:06:10.781 --> 01:06:12.582]  Mainstream media.
[01:06:12.582 --> 01:06:14.423]  Government cover-ups.
[01:06:14.423 --> 01:06:16.163]  You want to stop tyranny?
[01:06:16.163 --> 01:06:17.824]  Well, so does he.
[01:06:17.824 --> 01:06:23.767]  Live from the Infowars.com studios, it's Alex Jones.
[01:06:23.767 --> 01:06:27.609]  Adam Schiff is a dirty, dirty rat that lives in a sh-hole.
[01:06:27.609 --> 01:06:28.430]  Oh, what's that, Siri?
[01:06:28.430 --> 01:06:29.350]  I can't say that?
[01:06:29.350 --> 01:06:30.171]  Oh, I'm sorry.
[01:06:30.171 --> 01:06:32.852]  Siri just told me I'm not allowed to insult Adam Schiff.
[01:06:32.852 --> 01:06:34.113]  My, my bad.
[01:06:35.126 --> 01:06:36.187]  My bad, Siri.
[01:06:36.187 --> 01:06:36.728]  I'm sorry.
[01:06:36.728 --> 01:06:39.991]  If you're just joining us, welcome to the Alex Jones Show.
[01:06:39.991 --> 01:06:44.636]  In the last hour and at the top of this hour, we were talking about the AI and the smartphones.
[01:06:44.636 --> 01:06:47.539]  Always listening.
[01:06:47.539 --> 01:06:49.361]  Always curious what you're thinking about.
[01:06:49.361 --> 01:06:51.403]  What can they sell you?
[01:06:51.403 --> 01:06:52.444]  Yes.
[01:06:52.444 --> 01:06:54.707]  Because that's how a lot of these apps make money.
[01:06:54.707 --> 01:06:56.128]  You know, you download a free app.
[01:06:57.025 --> 01:06:58.826]  They gotta make money somehow.
[01:06:58.826 --> 01:07:03.749]  They're selling your personal information, whatever information you allow them access to.
[01:07:03.749 --> 01:07:06.290]  Owen Troyer here for Alex in the second hour.
[01:07:06.290 --> 01:07:11.033]  We're going to be joined by Dr. Jerry Corsi in the bottom half of this hour.
[01:07:11.033 --> 01:07:14.475]  And we're going to be talking about the Russian plane crash.
[01:07:14.475 --> 01:07:24.740]  Now, it was either last week or two weeks ago where the Syrian rebels downed a Russian jet and killed the pilot, John McCain's Syrian rebels.
[01:07:24.740 --> 01:07:25.201]  You know, the
[01:07:26.141 --> 01:07:40.988]  Moderate rebels, according to President Obama, that he wanted to send, you know, half a million dollars, a million dollars here, you know, whatever he could get over there, sending them weapons, you know, the ones that Hillary stood down for at Benghazi.
[01:07:40.988 --> 01:07:42.188]  Yeah, you know those guys.
[01:07:42.188 --> 01:07:43.369]  Yeah, there they are.
[01:07:43.369 --> 01:07:46.230]  There's the good old moderate rebels, says Hussein Obama.
[01:07:47.745 --> 01:07:50.307]  John McCain brags about going and visiting with these people.
[01:07:50.307 --> 01:07:51.528]  He literally brags about it.
[01:07:51.528 --> 01:07:54.050]  He's like, I know what's going on in Syria.
[01:07:54.050 --> 01:07:55.411]  I meet with the rebels.
[01:07:55.411 --> 01:07:57.993]  It's like, hmm.
[01:07:57.993 --> 01:08:00.475]  You just admitted you meet with terrorists and bragged about it.
[01:08:00.475 --> 01:08:02.096]  That's strange.
[01:08:02.096 --> 01:08:03.797]  Strange there, John.
[01:08:03.797 --> 01:08:06.579]  Strange choice there, John.
[01:08:06.579 --> 01:08:08.081]  So that happens.
[01:08:08.081 --> 01:08:15.046]  And then you have the Russian plane that was a passenger plane that killed all 71 people
[01:08:17.310 --> 01:08:20.793]  On board.
[01:08:20.793 --> 01:08:25.096]  And of course, the bigger picture is just everything that's going on right now.
[01:08:25.096 --> 01:08:30.721]  Ever since Trump got in office, the entire power structure has been shaken to its core.
[01:08:30.721 --> 01:08:33.062]  And I honestly couldn't even get into it.
[01:08:33.062 --> 01:08:43.090]  The geopolitics that are going on right now in the wake of this Russian plane crash, which I mean, come on, folks, somebody took that plane down.
[01:08:43.090 --> 01:08:43.731]  Let's be real.
[01:08:46.493 --> 01:08:50.717]  That's what it appears like at least.
[01:08:50.717 --> 01:08:52.739]  And so there's an entire stack of news.
[01:08:52.739 --> 01:08:55.162]  Israel doing this, Iran doing that.
[01:08:55.162 --> 01:08:58.125]  I mean it's just all across the board.
[01:08:58.125 --> 01:08:59.406]  Craziness going on.
[01:08:59.406 --> 01:09:05.473]  Of course the globalists are trying to bully Trump into a war with Russia.
[01:09:06.889 --> 01:09:11.392]  By pinning him against the wall with this fake Russian story that's now completely fallen apart.
[01:09:11.392 --> 01:09:13.454]  Now it's just totally blown up in their face.
[01:09:13.454 --> 01:09:14.555]  Nobody believes it.
[01:09:14.555 --> 01:09:16.356]  Everyone believes Obama spied on Trump.
[01:09:16.356 --> 01:09:19.498]  So people are getting the truth out.
[01:09:19.498 --> 01:09:27.504]  But they wanted to bully Trump and they wanted to say, well, you have to prove you're not a Russian agency.
[01:09:27.504 --> 01:09:31.727]  See, we're going to force the media that we run.
[01:09:31.727 --> 01:09:33.829]  We're the Democrat Party that hates America.
[01:09:35.520 --> 01:09:41.805]  That's aligned with the Chinese Communists, that really are Socialists and Communists.
[01:09:41.805 --> 01:09:53.694]  We're going to use our bought and paid for media, we're going to use our bought and paid for Clinton dossier, Clinton steal dossier, to bully you.
[01:09:53.694 --> 01:09:55.556]  And see, we're going to tell people you colluded with Russia.
[01:09:55.556 --> 01:09:58.258]  So you better put these sanctions on Russia.
[01:09:58.258 --> 01:10:01.721]  You better say Russia's the bad guy.
[01:10:01.721 --> 01:10:03.062]  In fact, you better arm Ukraine.
[01:10:04.417 --> 01:10:07.159]  So Trump kind of gives in to that bullying a little bit.
[01:10:07.159 --> 01:10:14.725]  I imagine he's, you know, he's got some brinkmanship going on behind the scenes with Russia.
[01:10:14.725 --> 01:10:19.969]  That's the only way I can figure Russian's patience with this whole deal.
[01:10:19.969 --> 01:10:21.810]  And so he goes along with the sanctions.
[01:10:21.810 --> 01:10:23.331]  He's arming Ukraine.
[01:10:23.331 --> 01:10:26.053]  Now this Russian plane crash happens.
[01:10:26.053 --> 01:10:31.938]  How far are they trying to, I mean, are they trying to push Russia into blowing up here?
[01:10:31.938 --> 01:10:32.999]  Is that what's going on?
[01:10:34.266 --> 01:10:39.910]  Is it push Russia's buttons to the point of no return?
[01:10:39.910 --> 01:10:44.834]  So we're going to be joined by Dr. Jerry Corsi to talk all about that.
[01:10:44.834 --> 01:10:48.977]  There's really, honestly, so much news.
[01:10:48.977 --> 01:10:51.199]  Hey, guys, could I get the clock up in here?
[01:10:51.199 --> 01:10:53.621]  I don't have a clock up in here.
[01:10:53.621 --> 01:10:55.802]  You know, I had something that I wanted to talk about today.
[01:10:55.802 --> 01:11:00.066]  I don't drive too much in Austin just because I don't like it.
[01:11:01.052 --> 01:11:02.193]  People don't know how to drive.
[01:11:02.193 --> 01:11:03.534]  The construction is terrible.
[01:11:03.534 --> 01:11:04.415]  There's always traffic.
[01:11:04.415 --> 01:11:06.397]  Thank you, guys.
[01:11:06.397 --> 01:11:16.505]  And it made me remember something that I always thought about that I think it's time to really start pushing for here in America.
[01:11:16.505 --> 01:11:24.252]  Now, we just got the new bill passed for two years, the spending bill, and it's going to increase the debt.
[01:11:24.252 --> 01:11:25.533]  I think it was by one trillion.
[01:11:26.960 --> 01:11:32.804]  Jim Jordan says Swamp One on Bill boosting spending by $300 billion.
[01:11:32.804 --> 01:11:39.129]  Of course, Rand Paul gave a speech about the spending bill.
[01:11:39.129 --> 01:11:45.193]  And Trump is funding our military, which I'm okay with, except... Here's my problem.
[01:11:47.401 --> 01:12:02.327]  When I am driving through the city of Austin on major highways and major roads, and I hit a pothole every half a mile, or I'm driving on the biggest highway in Austin, Texas, and half of it is shut down.
[01:12:02.327 --> 01:12:02.668]  Why?
[01:12:02.668 --> 01:12:05.249]  Well, because of construction.
[01:12:05.249 --> 01:12:08.110]  But wait, there is no construction.
[01:12:08.110 --> 01:12:13.772]  There's just millions of dollars of construction vehicles all over the road, and cones, and tape.
[01:12:13.772 --> 01:12:14.953]  Where is the construction?
[01:12:16.448 --> 01:12:18.429]  And I know it's not just like this in Austin.
