[00:00.000 --> 00:06.400]  been so affordable at mainmilitary.com one of the last surviving true surplus stores in the country
[59:20.800 --> 59:24.800]  If you're looking for the perfect Christmas gift this year, listen up.
[59:24.800 --> 59:27.800]  This message is going to make holiday shopping very easy.
[59:27.800 --> 59:31.800]  This year, give the amazing Survival Seed Bank to friends and family.
[59:31.800 --> 59:32.800]  Here's why.
[59:32.800 --> 59:36.800]  The Survival Seed Bank will give any friend or loved one the ability to grow a full-acre
[59:36.800 --> 59:40.800]  crisis garden of nutritionally dense, life-sustaining food.
[59:40.800 --> 59:44.800]  And the Survival Seed Bank is not just a box of open, pollinated seeds.
[59:44.800 --> 59:48.800]  It's an indestructible, waterproof seed bank that can even be buried if necessary.
[59:48.800 --> 59:50.800]  And here's the best part.
[59:50.800 --> 59:55.800]  The price of Survival Seed Bank has been drastically reduced for GCN listeners this Christmas.
[59:55.800 --> 59:57.800]  You might even want to pick one up for yourself.
[59:57.800 --> 1:00:01.800]  The price goes back up January 1st, and the supply is definitely limited.
[1:00:01.800 --> 1:00:04.800]  Think outside the box and into the bank this year.
[1:00:04.800 --> 1:00:07.800]  Give a Survival Seed Bank by going to survivalseedbank.com.
[1:00:07.800 --> 1:00:09.800]  That's survivalseedbank.com.
[1:00:09.800 --> 1:00:13.800]  Or you can call 877-327-0365.
[1:00:13.800 --> 1:00:18.800]  That's 877-327-0365 to give the perfect gift.
[1:00:18.800 --> 1:00:22.800]  And what to do with gift cards and service plans when a...
[1:00:22.800 --> 1:00:26.800]  You're listening to GCN.
[1:00:26.800 --> 1:00:28.800]  B.J. Alston, Texas.
[1:00:28.800 --> 1:00:32.800]  It's 5 o'clock.
[1:00:32.800 --> 1:00:34.800]  I are in USA Radio News.
[1:00:34.800 --> 1:00:36.800]  I'm Jody Jordan.
[1:00:36.800 --> 1:00:41.800]  Officials in Pakistan say militants blasted their way into two transport terminals today.
[1:00:41.800 --> 1:00:45.800]  It's the biggest assault yet on the vital military supply line.
[1:00:45.800 --> 1:00:48.800]  This is Lieutenant Colonel Rummy Nelson-Green.
[1:00:48.800 --> 1:00:49.800]  That's hard.
[1:00:49.800 --> 1:00:54.800]  These attacks have been notoriously insignificant and have not created a great impact on our operations.
[1:00:54.800 --> 1:01:01.800]  And President-elect Barack Obama is holding a news conference later today to formally announce his choice to head the Department of Veteran Affairs.
[1:01:01.800 --> 1:01:03.800]  Eric Shinseki gets the nod.
[1:01:03.800 --> 1:01:11.800]  The former Army Chief of Staff who criticized the Bush Administration for underestimating the number of troops the U.S. would need in Iraq.
[1:01:11.800 --> 1:01:14.800]  Obama is building a diverse cabinet.
[1:01:14.800 --> 1:01:15.800]  And here's Bob Eller.
[1:01:15.800 --> 1:01:23.800]  So far, Obama has chosen three women for his cabinet, along with a Japanese American, an African American, and a Latino.
[1:01:23.800 --> 1:01:26.800]  White men are the minority with two nominations.
[1:01:26.800 --> 1:01:29.800]  This is IRN USA Radio News.
[1:01:29.800 --> 1:01:33.800]  The following from News Broadcast Network.
[1:01:33.800 --> 1:01:42.800]  It's a well-known fact that there are a million and one uses for duct tape from temporary repairs like patching ripped up holsteric to the unexpected mending of a wedding dress on a big day.
[1:01:42.800 --> 1:01:46.800]  The duct tape guys, Jim Berg and Tim Nyberg, have seen it all.
[1:01:46.800 --> 1:01:50.800]  You know, the only thing people love more than duct tape is telling their duct tape stories.
[1:01:50.800 --> 1:01:54.800]  It seems as though everyone can think of an instance when the sticky stuff came to the rescue.
[1:01:54.800 --> 1:02:10.800]  As the winner of the duct brand duct tape saves the day contest, Sergeant Joshua Roach, a soldier from Boise, Idaho, took home the $5,000 grand prize in the whole year supply of duct brand duct tape for his unique use of duct tape to repair a truck in a trailer while serving in Iraq.
[1:02:10.800 --> 1:02:24.800]  The dynamic duo reports seeing duct tape, in traditional gray or 19 colors, used for everything from repairing things like broken luggage, fallen hemlines, and ripped camping tents to retrieving lost wedding bands and marking boxes and bags for easy identification.
[1:02:24.800 --> 1:02:27.800]  For more, visit ducttapeclub.com.
[1:02:27.800 --> 1:02:29.800]  I'm Lee Shepard.
[1:02:29.800 --> 1:02:37.800]  Voters in Louisiana have ousted a longtime Democratic congressman and sent a little-known Republican to Congress.
[1:02:37.800 --> 1:02:48.800]  Results show incumbent Representative William Jefferson, who's been indicted for bribery and misusing his congressional office, losing his seat to Attorney Joseph Cowell.
[1:02:48.800 --> 1:02:59.800]  Thank you wherever you are, wherever you may be out there for giving us a chance to engage in what I think is the next highest calling to one who is called to lead people's salvation.
[1:02:59.800 --> 1:03:01.800]  That is a public service.
[1:03:01.800 --> 1:03:05.800]  And I have had a chance to do that in a very extraordinary way.
[1:03:05.800 --> 1:03:15.800]  Senator John McCain says the situation in Afghanistan will get tougher before it gets easier, describing the situation as similar to how things were in Iraq.
[1:03:15.800 --> 1:03:18.800]  He's been visiting as part of a Senate delegation.
[1:03:18.800 --> 1:03:23.800]  President-elect Barack Obama has asked McCain to report to him on his findings.
[1:03:23.800 --> 1:03:30.800]  For more news and analysis, log on to irnnews.com.
[1:03:30.800 --> 1:03:35.800]  Be financially independent and never have to worry about money again.
[1:03:35.800 --> 1:03:39.800]  Hi, how in the world are you anyway? This is Andy Willoughby speaking for The Three Step Plan.
[1:03:39.800 --> 1:03:44.800]  The Three Step Plan is a business system designed to help families start their own home-based business.
[1:03:44.800 --> 1:03:49.800]  If you like working with people with similar family values, you'll love The Three Step Plan.
[1:03:49.800 --> 1:04:00.800]  Visit plan.com or call 800-658-0459.
[1:04:00.800 --> 1:04:08.800]  Nearly three million Muslims from about 100 countries have converged in a valley just outside Saudi Arabia's holy city of Mecca.
[1:04:08.800 --> 1:04:11.800]  It's day two of the five-day Hajj pilgrimage.
[1:04:11.800 --> 1:04:17.800]  Every abled-bodied Muslim who can afford to is required to perform the Hajj at least once.
[1:04:17.800 --> 1:04:20.800]  This American pilgrim is overjoyed to be at the Hajj.
[1:04:20.800 --> 1:04:25.800]  I'm extremely thankful to Allah Almighty that He has accepted my prayers to be here.
[1:04:25.800 --> 1:04:28.800]  Wintry weather is gripping some parts of the country.
[1:04:28.800 --> 1:04:35.800]  In Kentucky, Lieutenant Gary Sinett with the Lexington Police Department says drivers were caught off guard by the mix of snow and ice.
[1:04:35.800 --> 1:04:44.800]  It is the first time this year that we've had weather conditions like this and people have to adjust their driving.
[1:04:44.800 --> 1:04:49.800]  Martha Sonny von Bülow is died after spending nearly 30 years in a coma.
[1:04:49.800 --> 1:04:55.800]  Her husband had been tried and acquitted of trying to kill her by injecting her with insulin.
[1:04:55.800 --> 1:05:01.800]  The family spokeswoman says von Bülow died yesterday at a nursing home in New York City.
[1:05:01.800 --> 1:05:03.800]  She was 76.
[1:05:03.800 --> 1:05:05.800]  Here's Verena Dodnick.
[1:05:05.800 --> 1:05:13.800]  She was the talk of the town and the Flurid News reports while her husband was being accused of murdering her by injecting her with insulin.
[1:05:13.800 --> 1:05:18.800]  A rampage by a water buffalo has left two people dead in central Vietnam.
[1:05:18.800 --> 1:05:24.800]  Please say the buffalo may have been suffering from a stomach tumor and went mad from the pain.
[1:05:24.800 --> 1:05:28.800]  I'm Jody Jordan for IRN-USA Radio News.
[1:05:28.800 --> 1:05:33.800]  Breast drinking and chlorophyll rich beverage has been found to benefit your entire body.
[1:05:33.800 --> 1:05:41.800]  Alkavision Green Shield Green Drink is a specifically formulated nutritional supplement which provides many nutritional elements that are missing from our modern diet.
[1:05:41.800 --> 1:05:45.800]  Green Shield helps neutralize acid in your body and maintains a healthy pH balance.
[1:05:45.800 --> 1:05:51.800]  And having the proper pH balance has been known to balance blood sugar levels, something we can all benefit from.
[1:05:51.800 --> 1:05:57.800]  Green Shield combines the perfect blend of powerful whole food vegetables, immune boosting herbs and grasses.
[1:05:57.800 --> 1:06:02.800]  Green Shield does not contain algae, mushrooms or fungi, has no preservatives, artificial colors or flavors.
[1:06:02.800 --> 1:06:05.800]  The powder mixes easily with water and tastes great.
[1:06:05.800 --> 1:06:11.800]  Drinking Green Shield strengthens the immune system and boosts energy, relieves fatigue and stress without the use of stimulants.
[1:06:11.800 --> 1:06:15.800]  Order your Alkavision Green Shield Green Drink now by going directly to alkavision.com.
[1:06:15.800 --> 1:06:19.800]  That's alkavision.com today.
[1:06:19.800 --> 1:06:23.800]  Or call 269-344-3420.
[1:06:23.800 --> 1:06:28.800]  That's 269-344-3420 today.
[1:06:28.800 --> 1:06:35.800]  Prepare yourself for a talk radio experience like no other, like no other.
[1:06:35.800 --> 1:06:38.800]  Just wrap yourselves in, hold on.
[1:06:38.800 --> 1:06:40.800]  He stands for truth.
[1:06:40.800 --> 1:06:43.800]  He stands for justice.
[1:06:43.800 --> 1:06:46.800]  He stands for what's right.
[1:06:46.800 --> 1:06:49.800]  This is the Alex Jones Show.
[1:06:49.800 --> 1:06:57.800]  Call Alex now toll free at 877-590-5525.
[1:06:57.800 --> 1:07:01.800]  Now live from Austin, Texas.
[1:07:01.800 --> 1:07:05.800]  Here's Alex Jones.
[1:07:05.800 --> 1:07:11.800]  Coming up after I get to this bank of calls has been holding Obama economy to get worse before it improves.
[1:07:11.800 --> 1:07:13.800]  Great sacrifice for all of us.
[1:07:13.800 --> 1:07:15.800]  We'll look at his agenda.
[1:07:15.800 --> 1:07:17.800]  He claims he's going to rebuild the infrastructure.
[1:07:17.800 --> 1:07:19.800]  That means turn all your roads into toll roads.
[1:07:19.800 --> 1:07:21.800]  He's going to, quote, expand the internet.
[1:07:21.800 --> 1:07:23.800]  That means go to internet too and restrict free speech.
[1:07:23.800 --> 1:07:25.800]  I have it all right here in front of me.
[1:07:25.800 --> 1:07:27.800]  And a lot more.
[1:07:27.800 --> 1:07:34.800]  And domestic one million person spy army, foreign troops in our military and mainline army on the streets of the United States.
[1:07:34.800 --> 1:07:40.800]  But finishing up very quickly with Sam in Germany, then to Eric and everybody else that's patiently holding.
[1:07:40.800 --> 1:07:48.800]  Sam, you're making a point about it's in major German newspapers that the German government stages terror attacks and just got caught attacking their own government buildings.
[1:07:48.800 --> 1:07:52.800]  This time in NATO facilities in Kosovo.
[1:07:52.800 --> 1:07:55.800]  And then you had the one other comment on that.
[1:07:55.800 --> 1:07:58.800]  And then you were asking me about the second amendment.
[1:07:58.800 --> 1:08:08.800]  Yeah, well, I just wanted to say that basically from what I've, the people I've talked to here in Germany that knew about the Spiegel article or the Spiegel article was that I mean, of course they were shocked.
[1:08:08.800 --> 1:08:10.800]  But I think at the same time they weren't so shocked.
[1:08:10.800 --> 1:08:17.800]  I think people in Europe understand that governments are corrupt because of the corruption they've had in governments here, you know, that are on the books.
[1:08:17.800 --> 1:08:22.800]  I think people here are kind of like it in some ways, like in the US, they're kind of asleep at the wheel.
[1:08:22.800 --> 1:08:24.800]  They're just a lot more aware of their surroundings.
[1:08:24.800 --> 1:08:25.800]  I don't know.
[1:08:25.800 --> 1:08:27.800]  It wasn't, it was nothing dramatic.
[1:08:27.800 --> 1:08:35.800]  I guess my question, I mean, my question on the second it was, I've been talking to some people, how, okay, if they try to do good confiscation in America.
[1:08:35.800 --> 1:08:36.800]  Okay.
[1:08:36.800 --> 1:08:37.800]  How could that fail?
[1:08:37.800 --> 1:08:38.800]  How will it fail?
[1:08:38.800 --> 1:08:42.800]  Because a lot of people have talked to you think that they can totally get it done.
[1:08:42.800 --> 1:08:46.800]  Listen, I appreciate your call me briefly answer that and go to other calls.
[1:08:46.800 --> 1:08:54.800]  It's a process of destroying the Second Amendment, suing the manufacturers, banning them in cities like Chicago and New York.
[1:08:54.800 --> 1:08:59.800]  You know, just 15, 20 years ago all over the country, people drove around with rifles in their gun racks.
[1:08:59.800 --> 1:09:00.800]  Now the cops pull you over.
[1:09:00.800 --> 1:09:03.800]  Doesn't matter if the rifle's legal, doesn't matter if you're allowed to have it.
[1:09:03.800 --> 1:09:08.800]  Most of the TV shows are based in New York and places that have gun controls.
[1:09:08.800 --> 1:09:11.800]  So the dramas show cops arresting you for owning a gun.
[1:09:11.800 --> 1:09:18.800]  The general public gets their news and information from TV so they think because NYPD blew, you get arrested for having a gun.
[1:09:18.800 --> 1:09:20.800]  That happens in Austin, Texas.
[1:09:20.800 --> 1:09:24.800]  Listen, it's a demonization of the Second Amendment.
[1:09:24.800 --> 1:09:25.800]  This is about 10 years ago.
[1:09:25.800 --> 1:09:26.800]  I've told the story many times.
[1:09:26.800 --> 1:09:27.800]  I'll tell it briefly.
[1:09:27.800 --> 1:09:34.800]  I had a carpet cleaner in my house and I have a radio studio in my house as well and up and I didn't have children then.
[1:09:34.800 --> 1:09:39.800]  So I had a shotgun in a rack up on the wall.
[1:09:39.800 --> 1:09:42.800]  And the carpet cleaner said, I need to talk to you.
[1:09:42.800 --> 1:09:43.800]  And he said, I can't clean this room.
[1:09:43.800 --> 1:09:44.800]  You've got a gun in there.
[1:09:44.800 --> 1:09:46.800]  And I said, where are you from?
[1:09:46.800 --> 1:09:49.800]  And it was someplace up north, not bashing folks up north.
[1:09:49.800 --> 1:09:50.800]  A lot of them are prostitutes.
[1:09:50.800 --> 1:09:53.800]  He just had grown up in some urban center and didn't know that guns were legal.
[1:09:53.800 --> 1:09:55.800]  I said, listen, we're in Texas.
[1:09:55.800 --> 1:09:56.800]  I'm in my house.
[1:09:56.800 --> 1:09:59.800]  I can take that shotgun and walk down the street if I wanted to.
[1:09:59.800 --> 1:10:00.800]  It's my Second Amendment.
[1:10:00.800 --> 1:10:02.800]  And he said, oh no.
[1:10:02.800 --> 1:10:03.800]  He goes, I'm leaving.
[1:10:03.800 --> 1:10:07.800]  Then I had a bad feeling a few hours later and called, got the manager on the phone.
[1:10:07.800 --> 1:10:10.800]  He said, Mr. Jones, he's a new employee.
[1:10:10.800 --> 1:10:12.800]  Don't understand this.
[1:10:12.800 --> 1:10:13.800]  Don't worry.
[1:10:13.800 --> 1:10:17.800]  He did come and say he wanted to call the police, but we didn't call the police on you.
[1:10:17.800 --> 1:10:20.800]  And needless to say, I'd ever use that carpet cleaner again.
[1:10:20.800 --> 1:10:23.800]  Well, I heard a promo for one of the local shows here.
[1:10:23.800 --> 1:10:26.800]  Last hour, local listeners would have heard it on 590.
[1:10:26.800 --> 1:10:28.800]  Folks on the syndicated stations wouldn't have.
[1:10:28.800 --> 1:10:30.800]  Can you pull that promo up?
[1:10:30.800 --> 1:10:32.800]  It's the morning show promo.
[1:10:32.800 --> 1:10:36.800]  It's where Ed and Sergeant Sam are arguing with each other.
[1:10:36.800 --> 1:10:41.800]  And they're debating.
[1:10:41.800 --> 1:10:43.800]  And this happens all the time.
[1:10:43.800 --> 1:10:47.800]  About 12 years ago, I lived in wood hollow apartments and I was walking out of the car
[1:10:47.800 --> 1:10:50.800]  to go deer hunting at our ranch in East Texas.
[1:10:50.800 --> 1:10:53.800]  My Mustang was parked in my space right by my apartment.
[1:10:53.800 --> 1:10:54.800]  I walked out.
[1:10:54.800 --> 1:10:56.800]  I popped the back and old lady's walking her dog.
[1:10:56.800 --> 1:10:59.800]  She sees me sticking her rifle in a box of 243 shells in the back.
[1:10:59.800 --> 1:11:01.800]  And she goes, and runs off.
[1:11:01.800 --> 1:11:04.800]  I'd even forgotten about this until I heard that promo earlier.
[1:11:04.800 --> 1:11:06.800]  And this was 12 years ago.
[1:11:06.800 --> 1:11:08.800]  This was before Columbine and all that.
[1:11:08.800 --> 1:11:12.800]  And I went to the store, came back, and then a neighbor told me, yeah,
[1:11:12.800 --> 1:11:14.800]  the police pulled up and were checking and asking about a gun.
[1:11:14.800 --> 1:11:17.800]  So the point is, you can't even put a gun in your car now
[1:11:17.800 --> 1:11:20.800]  because the public thinks guns are illegal.
[1:11:20.800 --> 1:11:22.800]  Now, gun owners know it's not.
[1:11:22.800 --> 1:11:26.800]  The police know it's not illegal, but they still have to respond to a call.
[1:11:26.800 --> 1:11:31.800]  And so the enslaved public has been trained to feel good and safe
[1:11:31.800 --> 1:11:34.800]  when they see cops and SWAT teams and guns.
[1:11:34.800 --> 1:11:38.800]  But when a fellow slave has a gun, they get very upset.
[1:11:38.800 --> 1:11:42.800]  And there was a debate about this, I guess, last week on their morning show here.
[1:11:42.800 --> 1:11:46.800]  Do you call the cops when you see somebody with a gun in downtown Austin?
[1:11:46.800 --> 1:11:47.800]  Austin's. Morning news.
[1:11:47.800 --> 1:11:48.800]  No, I don't.
[1:11:48.800 --> 1:11:49.800]  Why don't you?
[1:11:49.800 --> 1:11:50.800]  Oh, why should I?
[1:11:50.800 --> 1:11:51.800]  Because they're 9 out of 10.
[1:11:51.800 --> 1:11:53.800]  They're probably breaking the law if they're a young punk with a gun.
[1:11:53.800 --> 1:11:54.800]  No, man, wake up, man.
[1:11:54.800 --> 1:11:55.800]  No, you wake up.
[1:11:55.800 --> 1:11:57.800]  Use your brain, cowboy.
[1:11:57.800 --> 1:11:58.800]  Hey, partner.
[1:11:58.800 --> 1:12:00.800]  Hey, partner, you're not my partner.
[1:12:00.800 --> 1:12:02.800]  Come on.
[1:12:02.800 --> 1:12:04.800]  We take mornings from 530 to 10.
[1:12:04.800 --> 1:12:05.800]  Here we go.
[1:12:05.800 --> 1:12:08.800]  You're a liberal, if you like this, you're due to Dibrel.
[1:12:08.800 --> 1:12:09.800]  Keep it coming.
[1:12:09.800 --> 1:12:10.800]  We got 50 more minutes for you.
[1:12:10.800 --> 1:12:11.800]  Rednecks to keep calling.
[1:12:11.800 --> 1:12:13.800]  Rednecks with small units.
[1:12:13.800 --> 1:12:14.800]  Just keep on calling.
[1:12:14.800 --> 1:12:15.800]  You need a big one.
[1:12:15.800 --> 1:12:16.800]  On news radio.
[1:12:16.800 --> 1:12:17.800]  All right.
[1:12:17.800 --> 1:12:18.800]  K.L.B.J.
[1:12:18.800 --> 1:12:19.800]  All right.
[1:12:19.800 --> 1:12:21.800]  So, see, you have a small member.
[1:12:21.800 --> 1:12:24.800]  You are evil if you own a gun.
[1:12:24.800 --> 1:12:25.800]  Okay.
[1:12:25.800 --> 1:12:27.800]  I mean, that's what that comes down to.
[1:12:27.800 --> 1:12:33.560]  I think the answer is Vermont style concealed carry, where it's just a second amendment.
[1:12:33.560 --> 1:12:39.800]  You can have open carry, concealed carry, train all these anti-gun, gilded people, castrated
[1:12:39.800 --> 1:12:42.960]  people, that it's our country, it's our second amendment.
[1:12:42.960 --> 1:12:44.660]  That's what counts as our liberties.
[1:12:44.660 --> 1:12:46.360]  That's what our veterans fought and died for.
[1:12:46.360 --> 1:12:49.160]  Let's get another call before we go to break and I promise I'm going to get to everybody.
[1:12:49.160 --> 1:12:51.160]  Eric and San Diego, thanks for holding.
[1:12:51.160 --> 1:12:52.160]  You are on the air.
[1:12:52.160 --> 1:12:53.160]  Welcome.
[1:12:53.160 --> 1:12:54.160]  Hey, Alex.
[1:12:54.160 --> 1:12:55.160]  It's great to be on again.
[1:12:55.160 --> 1:12:56.160]  Good to hear from you.
[1:12:56.160 --> 1:12:57.160]  What's up?
[1:12:57.160 --> 1:12:58.160]  Hey, Alex.
[1:12:58.160 --> 1:12:59.160]  I've got a couple of things.
[1:12:59.160 --> 1:13:07.840]  I was wondering if the story on Raw Story crossed your radar about Barry Cooper and cop
[1:13:07.840 --> 1:13:08.840]  busters.
[1:13:08.840 --> 1:13:09.840]  Do you see that?
[1:13:09.840 --> 1:13:10.840]  No.
[1:13:10.840 --> 1:13:11.840]  Tell me about it.
[1:13:11.840 --> 1:13:12.840]  Oh, it's excellent.
[1:13:12.840 --> 1:13:15.760]  What he did is, he's in Texas, he's a formal cop.
[1:13:15.760 --> 1:13:22.400]  He's put a bunch of people in jail, previously in his previous occupation as a cop, in jail
[1:13:22.400 --> 1:13:25.400]  for marijuana and stuff like that.
[1:13:25.400 --> 1:13:30.080]  What he did is, he rented a house in Texas, set up a couple of grow lights and grew some
[1:13:30.080 --> 1:13:32.280]  Christmas trees.
[1:13:32.280 --> 1:13:35.240]  Well, I did hear about this.
[1:13:35.240 --> 1:13:36.240]  Tell folks.
[1:13:36.240 --> 1:13:37.240]  Yeah.
[1:13:37.240 --> 1:13:44.800]  Basically, the cops come in, they falsified a search warrant and barge into this house
[1:13:44.800 --> 1:13:48.240]  to find that it was bugged and a complete setup.
[1:13:48.240 --> 1:13:52.840]  Yeah, I did hear about that and I meant to tell my producer to set that up.
[1:13:52.840 --> 1:13:53.840]  What's the headline of that?
[1:13:53.840 --> 1:13:57.680]  We're going to write that down because there's this growing group, my friend Kevin Booth,
[1:13:57.680 --> 1:14:01.960]  who made the American Drug War film that's aired a bunch on Showtime and won a bunch
[1:14:01.960 --> 1:14:04.000]  of awards that I consulted on.
[1:14:04.000 --> 1:14:08.440]  I forget the name of the growing national former narcotics officer group.
[1:14:08.440 --> 1:14:10.160]  It's like tens of thousands are in it.
[1:14:10.160 --> 1:14:11.160]  Oh, yeah.
[1:14:11.160 --> 1:14:12.160]  It's called Leap.
[1:14:12.160 --> 1:14:13.160]  Leap.
[1:14:13.160 --> 1:14:14.160]  Who were first?
[1:14:14.160 --> 1:14:15.160]  Yeah.
[1:14:15.160 --> 1:14:16.160]  Monforcement.
[1:14:16.160 --> 1:14:17.160]  Monforcement.
[1:14:17.160 --> 1:14:18.160]  Something.
[1:14:18.160 --> 1:14:19.160]  Against prohibition or something.
[1:14:19.160 --> 1:14:20.160]  Against prohibition.
[1:14:20.160 --> 1:14:21.160]  Exactly.
[1:14:21.160 --> 1:14:25.520]  And I've had some of their, yeah, let's have Leap on because again, just like prohibition
[1:14:25.520 --> 1:14:30.600]  for a decade with alcohol, crippled the alcohol, energized the gangs, criminality, corrupted
[1:14:30.600 --> 1:14:34.640]  the police, same thing with the drug war, but that's why they made drugs illegal.
[1:14:34.640 --> 1:14:38.880]  The big drug cartels lobbied to make drugs illegal in the 30s and that's actually come
[1:14:38.880 --> 1:14:43.600]  out in congressional testimony because they make bigger profits when it's illegal.
[1:14:43.600 --> 1:14:46.800]  And yeah, I mean, I've been here in Austin and seen the Travis County SWAT team in one
[1:14:46.800 --> 1:14:50.840]  case that we covered that ended up on the news where the woman had blood weeds growing
[1:14:50.840 --> 1:14:51.840]  in her backyard.
[1:14:51.840 --> 1:14:53.080]  I mean, everybody's got blood weeds.
[1:14:53.080 --> 1:14:56.720]  If you don't mow your yard, you know, if it's jungly out there, if it's an unkempt,
[1:14:56.720 --> 1:14:58.720]  you know, back 40 or whatever.
[1:14:58.720 --> 1:15:03.720]  And that's their excuse to raid everybody without warrants is this blood weed.
[1:15:03.720 --> 1:15:07.960]  And then I saw a couple of cases this weekend where they're now raiding people with tomato
[1:15:07.960 --> 1:15:12.320]  plants and then they, even though there's tomatoes hanging off of it, in one case I
[1:15:12.320 --> 1:15:17.120]  saw, in fact, I meant to print it off and get it in the stack, but it's not here.
[1:15:17.120 --> 1:15:21.640]  They still took a sample of the tomato plant to see if the tomatoes were marijuana.
[1:15:21.640 --> 1:15:27.000]  I mean, again, this is a complete fraud and a complete joke and they catch police all
[1:15:27.000 --> 1:15:30.360]  the time now because citizens are putting hidden cameras in their houses.
[1:15:30.360 --> 1:15:34.440]  The case in Tennessee where they torture the guy for an hour to make him say he had drugs
[1:15:34.440 --> 1:15:37.120]  he didn't have and to make him sign the search warrant.
[1:15:37.120 --> 1:15:41.600]  I mean, that's my point is that what's more threatening marijuana or the corrupt police
[1:15:41.600 --> 1:15:43.800]  state that comes along with it?
[1:15:43.800 --> 1:15:44.800]  Absolutely.
[1:15:44.800 --> 1:15:45.800]  Hey, Alex.
[1:15:45.800 --> 1:15:53.040]  Alex, I've also got a somewhat related thing and it's your story with that video with the
[1:15:53.040 --> 1:15:54.040]  kid.
[1:15:54.040 --> 1:15:56.120]  I'm basically exposing the New World Order.
[1:15:56.120 --> 1:15:59.440]  Yeah, well his textbook says New World Order, World Governments Good.
[1:15:59.440 --> 1:16:01.240]  But then his teacher is telling him he's crazy.
[1:16:01.240 --> 1:16:04.440]  It doesn't exist even when the school textbook says it.
[1:16:04.440 --> 1:16:05.440]  I know.
[1:16:05.440 --> 1:16:10.040]  My kid's first year high school and either in social studies or history class, the teacher
[1:16:10.040 --> 1:16:13.840]  was just pumping the U.N. big time.
[1:16:13.840 --> 1:16:15.840]  I mean, just glorifying.
[1:16:15.840 --> 1:16:19.360]  Get them out of the government training camp or send your son in there with 100 copies
[1:16:19.360 --> 1:16:22.200]  of my films and use what they're doing against them.
[1:16:22.200 --> 1:16:23.200]  Good to hear from you.
[1:16:23.200 --> 1:16:24.200]  More calls.
[1:16:24.200 --> 1:16:25.680]  Gonna blitz your calls when we get back.
[1:16:25.680 --> 1:16:30.000]  Stay with us.
[1:16:30.000 --> 1:16:35.680]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[1:16:35.680 --> 1:16:37.960]  Are you safe when you walk to your car?
[1:16:37.960 --> 1:16:40.400]  Are your kids safe when they go out?
[1:16:40.400 --> 1:16:44.120]  One needs something to give that extra edge in case of an attack.
[1:16:44.120 --> 1:16:47.240]  You need DPS pepper spray from MrDefense.com.
[1:16:47.240 --> 1:16:52.640]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds of
[1:16:52.640 --> 1:16:55.680]  law enforcement agencies from around the world.
[1:16:55.680 --> 1:16:56.840]  Need something more?
[1:16:56.840 --> 1:17:00.680]  The Stinger Keychain is a great way to surprise a potential attacker.
[1:17:00.680 --> 1:17:06.120]  MrDefense carries the largest selection of stun guns, air tasers, knives, swords, batons,
[1:17:06.120 --> 1:17:09.040]  survival, spy, and tactical gear.
[1:17:09.040 --> 1:17:14.600]  These are loved ones this Christmas with a gift of safety and security from MrDefense.com.
[1:17:14.600 --> 1:17:17.720]  Mention this ad and receive 10% off your order.
[1:17:17.720 --> 1:17:19.680]  Visit MrDefense.com.
[1:17:19.680 --> 1:17:25.080]  That's MRDefense.com or call 1-800-313-6400.
[1:17:25.080 --> 1:17:29.880]  That's 1-800-313-6400 today.
[1:17:29.880 --> 1:17:32.120]  Hi, John Hümner from Mitus Resources.
[1:17:32.120 --> 1:17:35.040]  Are you tired of watching your hard earned assets dwindle away?
[1:17:35.040 --> 1:17:39.480]  Is government spending is out of hand and the Federal Reserve is creating in excess of 20
[1:17:39.480 --> 1:17:40.480]  billion a week?
[1:17:40.480 --> 1:17:43.640]  Are you tired of stockbrokers gambling away your hard earned money?
[1:17:43.640 --> 1:17:47.320]  Is this market a setup for a crash greater than 1987?
[1:17:47.320 --> 1:17:51.840]  Too many of today's policies resemble those that led to the collapse of 1929.
[1:17:51.840 --> 1:17:53.960]  How much are you willing to lose?
[1:17:53.960 --> 1:17:54.960]  Take action now.
[1:17:54.960 --> 1:17:59.560]  Call me at 1-800-686-2237, extension 129.
[1:17:59.560 --> 1:18:03.720]  I believe that we are facing a financial catastrophe of biblical proportion.
[1:18:03.720 --> 1:18:06.920]  For recent decades numerous economic systems have failed.
[1:18:06.920 --> 1:18:11.320]  Current Federal Reserve policy and uncontrolled government spending have set the stage for
[1:18:11.320 --> 1:18:14.000]  the United States to be the next target.
[1:18:14.000 --> 1:18:19.680]  Secure your assets today by calling 1-800-686-2237, extension 129.
[1:18:19.680 --> 1:18:22.120]  Do this while paper can still buy gold.
[1:18:22.120 --> 1:18:29.520]  Call me, John Hümner, at 1-800-686-2237, extension 129.
[1:18:29.520 --> 1:18:33.000]  Are you one of the people who think, I have plenty of time, nothing's ever going to happen
[1:18:33.000 --> 1:18:34.000]  bad to me?
[1:18:34.000 --> 1:18:37.240]  Do you believe that when your cupboards are bare, our corporate controlled government
[1:18:37.240 --> 1:18:39.240]  will jump right in to feed you and yours?
[1:18:39.240 --> 1:18:42.160]  Do you have at least a year's supply of food for your family?
[1:18:42.160 --> 1:18:45.200]  This is Kurt, the armchair survivalist, heard on this network.
[1:18:45.200 --> 1:18:48.080]  Survival enterprises sells real food, canned for long term storage.
