[00:00.000 --> 00:29.000]  When I grow up, I want to be around you guys!
[01:01:47.000 --> 01:01:58.000]  Yeah. And the emotions he's, you know, the flipping, you know, first he's going to pull out of Syria and he's not going to, you know, he's going to pull out the troops.
[01:01:58.000 --> 01:02:05.000]  He's not going to get involved. He's going to disengage. And then the next thing, you know, he sees lopping missiles over there.
[01:02:05.000 --> 01:02:12.000]  I mean, it does none of it in a short period of time, a matter of a couple of weeks.
[01:02:12.000 --> 01:02:14.000]  You heard what I was saying earlier, though, right?
[01:02:14.000 --> 01:02:21.000]  He has a strategy in the art of the deal and I've seen him do it to make it look like he's a mad dog to scare people.
[01:02:21.000 --> 01:02:25.000]  But you don't want to do that when there's nuclear weapons. There's no need to do all of this.
[01:02:25.000 --> 01:02:45.000]  Oh, no. He's been even Putin. But as said, you know, when, when there was conflict, when, when we impose some sanctions on him, the prior when last year or something, he said, basically said that you're dealing with a nuclear Russia.
[01:02:45.000 --> 01:02:51.000]  And he made, you know, I've read articles that he's thrown that out more than one.
[01:02:51.000 --> 01:02:57.000]  That's because the globalists are so arrogant. And look, they're a lot of smart women. And they just made the first black Brigadier General Woman.
[01:02:57.000 --> 01:03:00.000]  I'm sure she's great. They're, they're women I know are smarter than I am.
[01:03:00.000 --> 01:03:08.000]  But Nikki Haley bumbles around like she's a moron. You sound 10 times smarter than her. And she just says these stupid things.
[01:03:08.000 --> 01:03:14.000]  And it's, it's just weird to see all this going on. And either way, you slice it. What do you think, Elaine?
[01:03:14.000 --> 01:03:22.000]  Either, you know, he's saying one day I'm my smart missiles are coming. And then the next day I never said I would do that. And the Secretary of Defense says we're not going to attack.
[01:03:22.000 --> 01:03:29.000]  We don't have evidence in the same day we attack. That doesn't sound like uncertainty. That sounds like crazy town.
[01:03:29.000 --> 01:03:35.000]  I know that's that's why I'm wondering if that's exactly why I'm wondering if he's got early stages dementia or something.
[01:03:35.000 --> 01:03:42.000]  I would hate to think that because I think already we have one in in DC in a talk.
[01:03:42.000 --> 01:03:49.000]  Well, let's say this. Trump is very compulsive. And if he thinks something he heard meshes with what are you thought?
[01:03:49.000 --> 01:03:58.000]  I used to think and think it was a talking point against him. But it is partially true that it's kind of like the last person he talks to.
[01:03:58.000 --> 01:04:03.000]  And so then they use that to go, oh, keep info wars away from him. What? Cause I'll say don't give us World War three.
[01:04:03.000 --> 01:04:10.000]  I mean, it's just look, I've had long conversations with Trump. He's, I mean, 10 minute long ones. He's pretty smart.
[01:04:10.000 --> 01:04:18.000]  In fact, he's super smooth finishing my sentences for me. I really, but he does work too hard. He only sleeps like four hours.
[01:04:18.000 --> 01:04:24.000]  He is 71. And I know late at night people go, man, you're a maniac at night. What's going on? I just get exhausted.
[01:04:24.000 --> 01:04:29.000]  I get tired. I get angry. You know, I mean, I'm at 830 at night, already eight dinner wanting to go to bed soon.
[01:04:29.000 --> 01:04:35.000]  And I hear there's a big war start and I come in there all pissed off. And you know, the normal restraints of the day are gone.
[01:04:35.000 --> 01:04:40.000]  So yeah, Trump has a lot of decisions the middle of the night. And I really don't think that's the best decision.
[01:04:40.000 --> 01:04:46.000]  But hey, whatever, it just, it's, hey, but everybody says he's crazy. It's got North Korea to the table.
[01:04:46.000 --> 01:04:49.000]  So maybe he knows what he's doing. Thank you, Elaine. Great questions.
[01:04:49.000 --> 01:04:56.000]  We'll be back with Dan, Lucas, David, Cameron, Scott, Carlos, Vincent, David, Pastor Sam and others.
[01:04:56.000 --> 01:05:00.000]  We need to fund this operation, ladies and gentlemen, and I make it really easy.
[01:05:00.000 --> 01:05:07.000]  We went out and looked at what the top new tropics or brain pills are that are healthy for energy, stamina, mental clarity, you name it.
[01:05:07.000 --> 01:05:13.000]  And we created a stronger formula than some of the best-selling formulas out there. It's very simple.
[01:05:13.000 --> 01:05:18.000]  We went out and looked, look, what is the top? What is the best? We'll just put even more product in. We'll make it better.
[01:05:18.000 --> 01:05:24.000]  Leading competitors put $2 a product in it, sell it for 60 bucks. We put $10 in it and sell it for 30 bucks.
[01:05:24.000 --> 01:05:31.000]  It's $19.95 right now. So you get an incredible top-of-the-line new tropic for $19.95.
[01:05:31.000 --> 01:05:35.000]  Believe me, when we're selling it for $35 on average, we need that $15, $20.
[01:05:35.000 --> 01:05:38.000]  We make the fund this operation in the face of the global, the rest of it.
[01:05:38.000 --> 01:05:41.000]  But I'm doing this because we got a ton of it coming in in two weeks.
[01:05:41.000 --> 01:05:48.000]  I want to sell it all out before the big supply comes in, and I want people that haven't tried Brainforce to try it and find out why.
[01:05:48.000 --> 01:05:54.000]  It's got 6,000 plus five-star reviews. It's amazing.
[01:05:54.000 --> 01:06:20.000]  So you have the supposed Russian agent's daughter, Skripal, hit with a nerves agent.
[01:06:20.000 --> 01:06:26.000]  Now the Swiss government saying they tested a sample they got and that it was a different nerve agent, not a Russian one.
[01:06:26.000 --> 01:06:32.000]  Surprise, surprise, as Gomer Powell would say to the sergeant.
[01:06:32.000 --> 01:06:43.000]  And we've got Assad and the Russians saying for months, they're going to launch a chemical weapons attack against our government.
[01:06:43.000 --> 01:06:49.000]  They're going to blame it on us. That's the red line. And now Trump has said, any more chemical attacks, we're going to obliterate Assad.
[01:06:49.000 --> 01:06:55.000]  Nikki Haley says we're locked and loaded. More sanctions on Russia. We are off to the races.
[01:06:55.000 --> 01:07:00.000]  And the former head of British Special Forces, Brigadier General's gone public saying they have no motive.
[01:07:00.000 --> 01:07:09.000]  The rebels have the history. Why did Theresa May do this? Former British ambassadors.
[01:07:09.000 --> 01:07:13.000]  Throughout the week, we've got Colonel Shafer and so many other people I trust on.
[01:07:13.000 --> 01:07:19.000]  I saw on Twitter, Ted Kennedy, who's a good guy, disagreeing with me about this.
[01:07:19.000 --> 01:07:24.000]  And I know he did say before that most of the forces over there in Syria were Al Qaeda and ISIS, so we couldn't support it.
[01:07:24.000 --> 01:07:29.000]  But I guess now he's supporting Trump. I invite him into studio, one of the hosts of Hunting Hitler.
[01:07:29.000 --> 01:07:32.000]  He can give us his view. We're going to take your calls right now.
[01:07:32.000 --> 01:07:38.000]  It's just, you read Trump's tweets when he said before all of this, he's flip-flopping.
[01:07:38.000 --> 01:07:47.000]  That's the compromise. That's the question. Dan in Indiana, then Lucas. Dan, you're on the air. Go ahead.
[01:07:47.000 --> 01:07:55.000]  Bible. Alex, I emphasize with you over Trump. This is Bible Dan with the Bible in his hand.
[01:07:55.000 --> 01:08:05.000]  And I want to say it's not the end yet. But I know we talked about this before about the end times and the tribulation period.
[01:08:05.000 --> 01:08:14.000]  And what Jesus was trying to say in Matthew 24-23, these are not the signs to be looking for him to return.
[01:08:14.000 --> 01:08:25.000]  I know you and Daria had specified that when the sun and moon go dark, that is the time of the tribulation.
[01:08:25.000 --> 01:08:35.000]  But no, even the Son of Man told his disciples he could, nobody knows when the Son of Man is going to return.
[01:08:35.000 --> 01:08:38.000]  Well, listen, God bless you, Dan. I appreciate your call. I actually didn't say that.
[01:08:38.000 --> 01:08:42.000]  I said no man knows. It comes like a thief of the night. So I just said that last week five times.
[01:08:42.000 --> 01:08:47.000]  So I actually agree with you, Dan. But this is kind of biblical end times type flavor stuff, though.
[01:08:47.000 --> 01:08:53.000]  And the Bible says it all starts there in Syria and Israel. And it's pretty crazy.
[01:08:53.000 --> 01:08:59.000]  All I know is we're on the wrong side fighting for ISIS in Al Qaeda and claiming that Assad is hitting his people with chemicals when he's winning.
[01:08:59.000 --> 01:09:04.000]  He doesn't have the motive. The rebels have been caught doing it before. Why is Trump doing this?
[01:09:04.000 --> 01:09:09.000]  Thank you, Dan. Lucas in Washington. Lucas, you're on the air. Go ahead.
[01:09:09.000 --> 01:09:15.000]  Well, it's such an honor to talk to you, Alex. Thanks for taking my call. I've been an Info Warrior since 2007.
[01:09:15.000 --> 01:09:19.000]  And I signed up right after 9-11 of a Patriot. I went to Iraq.
[01:09:19.000 --> 01:09:24.000]  And when I was laid off, Trump was a savior. I gave him $1,000.
[01:09:24.000 --> 01:09:29.000]  I actually lost two friends, one to suicide, one to an IED. Both Iraq and war veterans.
[01:09:29.000 --> 01:09:33.000]  And we know better than this. And that's why we supported Ron Paul. But I supported Trump.
[01:09:33.000 --> 01:09:38.000]  But the thing is, when everybody says that, you know, we need to support him, we need to support him.
[01:09:38.000 --> 01:09:46.000]  The part is he's lying about the chemical weapons. You cannot have a policy if you cannot tell American people the truth.
[01:09:46.000 --> 01:09:53.000]  And the thing is, is when Trump reversed course before when he was getting a little sideways, it was when his supporters united and said,
[01:09:53.000 --> 01:09:57.000]  no, we won't take this. And so we cannot enable him.
[01:09:57.000 --> 01:10:02.000]  Exactly. We have to keep his feet to the fire because there's different factions putting Trump under pressure.
[01:10:02.000 --> 01:10:05.000]  And the people telling you, oh, let him make all the decisions.
[01:10:05.000 --> 01:10:10.000]  We know that it wasn't sarin gas because that would kill anybody in the room treating the people.
[01:10:10.000 --> 01:10:15.000]  We know it's chlorine gas. You can see all the videos. Exactly. None of this adds up.
[01:10:15.000 --> 01:10:20.000]  No, not at all. And as a matter of fact, we've been in Syria since 2006.
[01:10:20.000 --> 01:10:23.000]  Our CIA is trying to get it uprising. It didn't work.
[01:10:23.000 --> 01:10:28.000]  And the thing is, I'm not glorifying Russia, but they're a sovereign nation and they're a rational actor.
[01:10:28.000 --> 01:10:29.000]  We've been trying to cut them off.
[01:10:29.000 --> 01:10:33.000]  They've been under the globalism. They've been under Hollywood, New World Order, lettuce control.
[01:10:33.000 --> 01:10:35.000]  That's what the Communist are. They got out from under it. Exactly.
[01:10:35.000 --> 01:10:41.000]  That's why Hollywood wants to have war with them, just like they want to get rid of Trump and the Midwest and Americans, period.
[01:10:41.000 --> 01:10:45.000]  Listen, here's the big issue. It's clearly a wider war with Syria.
[01:10:45.000 --> 01:10:49.000]  Trump has signaled to the rebels, launched more chemical attacks. I'll take a sought out.
[01:10:49.000 --> 01:10:52.000]  And that's what the British ambassador said last year and this year.
[01:10:52.000 --> 01:10:57.000]  So they've now signaled regime change. The Russians say they won't put up with that.
[01:10:57.000 --> 01:11:00.000]  The Syrians are going to fight back. Even the Russians aren't involved.
[01:11:00.000 --> 01:11:03.000]  Most analysts say it'll be 10 times worse than Iraq.
[01:11:03.000 --> 01:11:08.000]  And now new sanctions on Monday against Russia. This is crazy.
[01:11:08.000 --> 01:11:12.000]  And the last thing I'll say, Alex, is that my prediction and I hope it's not true.
[01:11:12.000 --> 01:11:15.000]  If he doesn't get some sense into him, China and Russia are going to go together.
[01:11:15.000 --> 01:11:19.000]  They're going to move against the petrodollar. Then we're going to have a inflationary recession.
[01:11:19.000 --> 01:11:21.000]  And guess what? Our empire is over anyways.
[01:11:21.000 --> 01:11:23.000]  And we have to just like the British empire after World War II.
[01:11:23.000 --> 01:11:29.000]  And Lucas, you just hit it on the head. Real politic analysts say we should not be driving Russia and China together,
[01:11:29.000 --> 01:11:31.000]  but apart we should be outlining Russia right now.
[01:11:31.000 --> 01:11:38.000]  That is the combination with the U.K., with South Korea, with Australia, with Japan, against the Communist Chinese,
[01:11:38.000 --> 01:11:43.000]  against Hollywood, against the radical Muslims. That is the political combination for victory.
[01:11:43.000 --> 01:11:47.000]  But the globalists are undermining us with these quizlings in our own government.
[01:11:47.000 --> 01:11:49.000]  And you know the Chai comms are heavily involved.
[01:11:49.000 --> 01:11:54.000]  And I can't believe we've been so rooked. I can't believe we've been so out of thought on this.
[01:11:54.000 --> 01:11:57.000]  And Trump's got to know he's being suckered.
[01:11:57.000 --> 01:12:03.000]  I agree. 100% they got him. And God bless you, Alex. Keep fighting the good fight. I'm with you.
[01:12:03.000 --> 01:12:08.000]  Well, God bless you. Listen, they don't have them on the Second Amendment or borders or sovereignty and any of that.
[01:12:08.000 --> 01:12:12.000]  And I gave them a pass last year with one strike on Syria.
[01:12:12.000 --> 01:12:16.000]  This one with the rhetoric that they did it and all the rest of it. And then now they want a new war.
[01:12:16.000 --> 01:12:20.000]  I knew, and we have sources. They say the war drums are going, man.
[01:12:20.000 --> 01:12:26.000]  They got the Death Doomsday Night Watch planes in the air. I mean, this is a whole other flavor.
[01:12:26.000 --> 01:12:30.000]  And a lot of our listeners are like, oh, Jones, Zach's full of crap.
[01:12:30.000 --> 01:12:33.000]  He said the war drums are beating. This is a surgical strike. It's all over.
[01:12:33.000 --> 01:12:36.000]  And then now boom, boom, boom, boom, boom, boom, boom, boom, boom, boom, boom, boom, boom.
[01:12:36.000 --> 01:12:39.000]  Bigger war, bigger war, bigger war. It's on.
[01:12:39.000 --> 01:12:45.000]  You're a Russian agent if you don't hate the Russians. On and on and on.
[01:12:45.000 --> 01:12:53.000]  Let's go to Sam in Oklahoma and then Jason in Canada. Sam in Oklahoma, you're on the air. Go ahead.
[01:12:53.000 --> 01:12:59.840]  Jared Kushner and the day surprise new is the thief.
[01:12:59.840 --> 01:13:05.300]  Right now Trump is the victim of one of the old pages in the sandbox playbook going back
[01:13:05.300 --> 01:13:11.080]  to the 1980s when we were shooting then Stinger missiles over the heads of the Russians.
[01:13:11.080 --> 01:13:18.000]  And at that time, your neighbor Milton Bearden at all told President Reagan, you have got
[01:13:18.000 --> 01:13:24.360]  to choose between dealing with the sandbox in Islam and dealing with Central America.
[01:13:24.360 --> 01:13:31.280]  And by doing that, they suckered him into authorizing a lot of plausibly deniable black
[01:13:31.280 --> 01:13:37.440]  operations all through Central America, which eventually became the Iran-Contra scandal.
[01:13:37.440 --> 01:13:38.440]  And right now-
[01:13:38.440 --> 01:13:39.440]  You agree with me.
[01:13:39.440 --> 01:13:43.000]  They're saying, sir, the real thing is in the Pacific, the Chinese.
[01:13:43.000 --> 01:13:44.000]  Just let us do this.
[01:13:44.000 --> 01:13:45.680]  Let us run this operation, sir.
[01:13:45.680 --> 01:13:49.120]  And then this will show North Korea how strong you are in China.
[01:13:49.120 --> 01:13:50.920]  Just let us do this.
[01:13:50.920 --> 01:13:52.080]  You're right, Alex.
[01:13:52.080 --> 01:13:54.960]  That is what they're saying, but it is a ruse.
[01:13:54.960 --> 01:14:01.520]  And it pulled Reagan into it, and scandal and chaos in Central America resulted.
[01:14:01.520 --> 01:14:02.520]  That's right.
[01:14:02.520 --> 01:14:03.720]  They are- well, you hit the key.
[01:14:03.720 --> 01:14:08.640]  They are pulling Trump into this, so he'll now be by extension connected to all the false
[01:14:08.640 --> 01:14:11.760]  flags in Syria, the Obama-Hillary program.
[01:14:11.760 --> 01:14:15.680]  He will be signed on to their program instead of that being the ultimate thing to bring
[01:14:15.680 --> 01:14:20.240]  them down and the most moral thing our military has done in 100 years opposing Hillary and
[01:14:20.240 --> 01:14:22.560]  Obama and not going along with it.
[01:14:22.560 --> 01:14:23.560]  Exactly.
[01:14:23.560 --> 01:14:28.360]  It's such a reversal of something so good our country did when we said no to Hillary
[01:14:28.360 --> 01:14:29.360]  and Obama.
[01:14:29.360 --> 01:14:32.640]  We will not be al-Qaeda and ISIS's air force.
[01:14:32.640 --> 01:14:36.720]  What's awesome is what's happening in Lima, Peru, right?
[01:14:36.720 --> 01:14:41.480]  Everybody ran home from that conference, and Jared's down there, Ivanka's down there.
[01:14:41.480 --> 01:14:45.240]  Jared Kushner, I understand he's got some democratic leanings, but I really feel like
[01:14:45.240 --> 01:14:48.360]  he's been the victim of a lot of Jew bashing.
[01:14:48.360 --> 01:14:54.960]  And the fact is, he has been a substitute state department because the president trusts
[01:14:54.960 --> 01:14:55.960]  him.
[01:14:55.960 --> 01:15:01.240]  He has enormous rapport with Luis Vida Guerre, the Secretary of State of Mexico.
[01:15:01.240 --> 01:15:05.560]  And now, he and Ivanka are down in Peru, really trying to bring them down to Peru.
[01:15:05.560 --> 01:15:09.800]  I was about to say, though, this whole thing in the sandbox that everybody distracted off
[01:15:09.800 --> 01:15:13.360]  of the summit that Trump was supposed to go to in South America.
[01:15:13.360 --> 01:15:14.860]  Exactly.
[01:15:14.860 --> 01:15:17.680]  And Venezuela is hanging on.
[01:15:17.680 --> 01:15:22.960]  They're hanging on waiting for the cavalry, and the cavalry is the brick and their replacement
[01:15:22.960 --> 01:15:23.960]  for the petrodollar.
[01:15:23.960 --> 01:15:26.920]  I was about to say, we should be moving in there helping them instead of letting the
[01:15:26.920 --> 01:15:27.920]  chai comms come in.
[01:15:27.920 --> 01:15:29.520]  Really sophisticated caller.
[01:15:29.520 --> 01:15:31.960]  Faster, Sam.
[01:15:31.960 --> 01:15:37.040]  Come on, come on, uh, we're going to come right back with Jason, Mark, Vincent, and others
[01:15:37.040 --> 01:15:38.320]  straight ahead.
[01:15:38.320 --> 01:15:43.560]  InfoWars.com, NewsWars.com, we've got a bunch of big specials at InfoWarsStore.com that
[01:15:43.560 --> 01:15:50.200]  are about to end, like 25% off Survival Shield X2, the ultimate clean iodine.
[01:15:50.200 --> 01:15:56.760]  Find out about the iodine conspiracy at InfoWarsStore.com.
[01:15:56.760 --> 01:16:02.440]  InfoWarsLife and InfoWarsLife.com is extremely excited to announce our latest release, Winner's
[01:16:02.440 --> 01:16:06.160]  Sun, a revolutionary type of vitamin D3.
[01:16:06.160 --> 01:16:10.720]  Winner's Sun is a premium-quality vitamin D3 nutritional supplement.
[01:16:10.720 --> 01:16:15.640]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[01:16:15.640 --> 01:16:18.600]  Every batch is analyzed for purity and D3 content.
[01:16:18.600 --> 01:16:23.140]  It's completely free of toxins and allergens, simply put, if you want the best at an extremely
[01:16:23.140 --> 01:16:24.600]  low price, this is it.
[01:16:24.600 --> 01:16:28.880]  Winner's Sun is the result of our pursuit of the best source of vitamin D3.
[01:16:28.880 --> 01:16:33.200]  The research and development took over two years, but the result, as verified by independent
[01:16:33.200 --> 01:16:37.560]  laboratories, is the best vegan vitamin D3 product in the world.
[01:16:37.560 --> 01:16:42.560]  Read the facts at InfoWarsLife.com about Winner's Sun vitamin D3.
[01:16:42.560 --> 01:16:47.360]  Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory and
[01:16:47.360 --> 01:16:50.760]  brain function, something the globalists are targeting.
[01:16:50.760 --> 01:16:56.440]  Visit InfoWars.com today or call 888-253-3139.
[01:16:56.440 --> 01:17:01.880]  InfoWarsLife Brain Force Plus is our number one selling product by leaps and bounds, and
[01:17:01.880 --> 01:17:02.880]  for a good reason.
[01:17:02.880 --> 01:17:06.600]  Back about five years ago, we did research on what top-selling new tropics were, what
[01:17:06.600 --> 01:17:11.160]  were most popular, what were best, what people liked, and we made it even stronger.
[01:17:11.160 --> 01:17:16.200]  Then we cut the price because leading competitors have five to seven times markup.
[01:17:16.200 --> 01:17:20.000]  We only have 150%, and then it helps funder operation.
[01:17:20.000 --> 01:17:22.800]  Well now it's 50% off.
[01:17:22.800 --> 01:17:29.680]  That means we've got a 25% markup, and we've got it paired with the real red pill that takes
[01:17:29.680 --> 01:17:33.000]  about seven days to kick in, Brain Force takes about 30 minutes.
[01:17:33.000 --> 01:17:36.560]  But the two go together, it's the mind and body challenge.
[01:17:36.560 --> 01:17:43.640]  They're both 50% off individually, or together they're 50% off and free shipping with the
[01:17:43.640 --> 01:17:46.040]  combo at InfoWarsLife.com.
[01:17:46.040 --> 01:17:50.440]  But it's got to end in a couple days because both of these best sellers are about to sell
[01:17:50.440 --> 01:17:51.440]  out.
[01:17:51.440 --> 01:17:56.880]  InfoWarsLife.com to get your Brain Force Plus and real red pill today.
[01:17:56.880 --> 01:18:00.960]  Alex Jones here to tell you about how you can help spread liberty worldwide while also
[01:18:00.960 --> 01:18:06.080]  enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[01:18:06.080 --> 01:18:10.160]  For more than a decade, my favorite coffee has come from the high mountains of southern
[01:18:10.160 --> 01:18:15.320]  Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:18:15.320 --> 01:18:20.640]  We have now managed to secure the sought-after beans in a highly customized blend.
[01:18:20.640 --> 01:18:27.040]  Never and try a bag of the Patriot Blend 100% organic coffee at InfoWarsLife.com.
[01:18:27.040 --> 01:18:32.160]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn
[01:18:32.160 --> 01:18:34.280]  that so many other coffees give me personally.
[01:18:34.280 --> 01:18:38.480]  Hands down, this is my favorite coffee, and it's taken us years to secure connections
[01:18:38.480 --> 01:18:41.200]  directly to the Chiapas Mexican farmers.
[01:18:41.200 --> 01:18:45.640]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed,
[01:18:45.640 --> 01:18:49.080]  available in original, or with our immune support infusion blend.
[01:18:49.080 --> 01:18:53.920]  You will be supporting a free press, all the while enjoying a truly great-tasting cup
[01:18:53.920 --> 01:18:58.960]  of my favorite coffee, available at InfoWarsLife.com.
[01:18:58.960 --> 01:19:03.840]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself
[01:19:03.840 --> 01:19:07.840]  and a gift to the InfoWars to fight the globalist and live in a free society.
[01:19:07.840 --> 01:19:14.160]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated
[01:19:14.160 --> 01:19:20.400]  over-the-top stamina, libido, workout, brain formula that is safe.
[01:19:20.400 --> 01:19:24.600]  I know from using this myself the last few months, and from seeing my friends and family
[01:19:24.600 --> 01:19:28.880]  use it, that this new product is going to end up being the number one best-selling product
[01:19:28.880 --> 01:19:31.720]  at InfoWarsLife.com, because it works so well.
[01:19:31.720 --> 01:19:34.880]  This is a gift you want to give yourself, and then rest assured, you're fighting the
[01:19:34.880 --> 01:19:39.960]  InfoWars, so it's a total absolute sure-win, no-lose equation.
[01:19:39.960 --> 01:19:44.680]  Buy AlphaPower, exclusively available at InfoWarsLife.com for yourself.
[01:19:44.680 --> 01:19:46.560]  Ladies and gentlemen, it's non-GMO.
[01:19:46.560 --> 01:19:47.560]  It's for your brain.
[01:19:47.560 --> 01:19:48.560]  It's for sports.
[01:19:48.560 --> 01:19:54.080]  It's for activities, and it's made in the U.S.A. Get your AlphaPower today at InfoWarsLife.com.
[01:19:54.080 --> 01:20:01.360]  Everybody needs to try AlphaPower today.
[01:20:01.360 --> 01:20:19.760]  We're listening to the Alex Jones show.
[01:20:19.760 --> 01:20:37.200]  Last week, we talked about the fact that they raided Michael Coe and the president's lawyer.
[01:20:37.200 --> 01:20:44.120]  Nothing to do with Russiagate, but at Mueller's behest, and we said, oh, the FBI claims they
[01:20:44.120 --> 01:20:48.000]  won't dig into all those files, and they claim they won't leak it.
[01:20:48.000 --> 01:20:50.920]  We had sources, obviously, on air last week that said, oh, it's going to happen.
[01:20:50.920 --> 01:20:57.600]  So now we learned that, connected to the RNC, Cohen reportedly might have made a $1.6 million
[01:20:57.600 --> 01:21:05.960]  payment for a major Republican donor to a woman that he got pregnant to have an abortion.
[01:21:05.960 --> 01:21:07.120]  What does that have to do with Russiagate?
[01:21:07.120 --> 01:21:15.680]  And I certainly don't like it, but it shows how Cohen, if true, on his own was operating
[01:21:15.680 --> 01:21:21.240]  basically his own little Republican party deal for people.
[01:21:21.240 --> 01:21:28.640]  But what does this have to do with Russiagate?
[01:21:28.640 --> 01:21:33.480]  And it just goes on and on and on that they've got this giant dragnet out, not on Hillary
[01:21:33.480 --> 01:21:37.720]  and her crimes, not on Mueller and the tarmac of the uranium, not Loretta Lynch, the tarmac
[01:21:37.720 --> 01:21:42.040]  of Bill Clinton, not all the secret emails and the corruption of the foundation and kids
[01:21:42.040 --> 01:21:47.520]  in Epstein and the Loretta Express, pedophile airplane, not the spirit cooking, not John
[01:21:47.520 --> 01:21:53.640]  Podesta, not the Communist Chinese, not the missile secrets, none of it.
[01:21:53.640 --> 01:21:57.400]  All Trump tried to come in and just bring power back to America and not have a globalist
[01:21:57.400 --> 01:22:04.000]  program designed to deindustrialize us so we could be domesticated.
[01:22:04.000 --> 01:22:09.440]  And I've got all the clips on infowars.com, all the insanity, all the craziness.
[01:22:09.440 --> 01:22:12.160]  So I asked, have they broken Trump?
[01:22:12.160 --> 01:22:15.200]  Well, I'll tell you, I've studied history, rolling over the deep state only makes them
[01:22:15.200 --> 01:22:19.360]  attack more because Trump could become their slave and they wouldn't leave him alone because
[01:22:19.360 --> 01:22:25.160]  he was a populist, he was a nationalist, they will destroy his name, they will destroy him,
[01:22:25.160 --> 01:22:30.240]  they will destroy any populist because that's a discredited, it's never going to work.
[01:22:30.240 --> 01:22:34.040]  But they think we're a bunch of cowards and if they smash a leader, it makes us all crawl
[01:22:34.040 --> 01:22:37.320]  under rocks, not going to happen.
[01:22:37.320 --> 01:22:41.520]  So my disgust with what Trump's done is not even hatred, it's sadness.
[01:22:41.520 --> 01:22:46.120]  So the Democrats are like, oh, come join us now, oh, we're glad Alex will leave you alone.
[01:22:46.120 --> 01:22:48.480]  Oh, I didn't do this because you're harassing me.
[01:22:48.480 --> 01:22:52.160]  I did this because I follow the truth and that's it.
[01:22:52.160 --> 01:22:54.440]  The whole truth about the truth, so help me God.
[01:22:54.440 --> 01:22:57.440]  Jason in Canada, you're on the air worldwide.
[01:22:57.440 --> 01:23:00.400]  Hey Alex, can you hear me okay?
[01:23:00.400 --> 01:23:01.400]  I sure can.
[01:23:01.400 --> 01:23:02.400]  Thanks for calling.
[01:23:02.400 --> 01:23:10.880]  Yes, I wouldn't be bothered too much, so I heard your reaction Friday night.
[01:23:10.880 --> 01:23:16.120]  I think considering the presence you've had in the recent past, that it was justified
[01:23:16.120 --> 01:23:19.120]  to be in somewhat of a panic, I would say-
[01:23:19.120 --> 01:23:22.080]  Well yeah, because my gut tells me they're not going to stop, its regime changed and
[01:23:22.080 --> 01:23:25.520]  now it's fighting Russians and the Russians have drawn their line on the sand and you
[01:23:25.520 --> 01:23:29.120]  could just smell Armageddon in the air, can't you?
[01:23:29.120 --> 01:23:35.640]  Well, it stinks, the way they just jumped the conclusions and it's just so obvious
[01:23:35.640 --> 01:23:40.560]  and it's kind of hard to believe that Trump is just falling for it unless he's been compromised.
[01:23:40.560 --> 01:23:41.560]  I don't know.
[01:23:41.560 --> 01:23:43.960]  Yeah, I don't get really mad because I hate Trump.
[01:23:43.960 --> 01:23:47.640]  I get mad because I'm betrayed and I have made a lot- I'm not bragging.
[01:23:47.640 --> 01:23:52.080]  I've made a lot of sacrifices not turning on Trump.
[01:23:52.080 --> 01:23:55.880]  I mean, almost everybody else has because they ban you on YouTube, Twitter, everywhere.
[01:23:55.880 --> 01:23:56.880]  They come after your family.
[01:23:56.880 --> 01:23:58.920]  I haven't because I know they're bad people.
[01:23:58.920 --> 01:24:03.200]  And so it's just sad to see the first signs that I didn't break, but it looks like Trump's
[01:24:03.200 --> 01:24:04.200]  starting to break.
[01:24:04.200 --> 01:24:07.280]  We'll see if he does, but we're not going to break, we're going to fight even harder.
[01:24:07.280 --> 01:24:08.280]  Go ahead.
[01:24:08.280 --> 01:24:14.000]  Well, I think he's shooting himself in the foot if he's got his wits about him that
[01:24:14.000 --> 01:24:20.960]  he's not doing himself any favors by doing a 180 like that.
[01:24:20.960 --> 01:24:23.920]  So I don't know if something else is going on, I think.
[01:24:23.920 --> 01:24:29.480]  Well, a lot of my sources said, they can't give me classified info, but they said, imagine
[01:24:29.480 --> 01:24:34.080]  people dressed up in Syrian uniforms, even driving a Syrian style vehicle, and showing
[01:24:34.080 --> 01:24:36.440]  them firing a mortar out of the back of a truck.
[01:24:36.440 --> 01:24:39.800]  And see, they may have just shown Trump something that he couldn't say no to.
[01:24:39.800 --> 01:24:43.480]  Well, he's got to be smarter than that.
[01:24:43.480 --> 01:24:44.480]  He's got to do it.
[01:24:44.480 --> 01:24:45.880]  He's got to get good counsel.
[01:24:45.880 --> 01:24:50.080]  It's like Roger Stone said, he's got the good information, he makes good decisions.
[01:24:50.080 --> 01:24:54.520]  So they got them edged off like a mushroom in the dark, giving them, well, sure.
