[00:00.000 --> 00:20.000]  You can run on for a long time, run on for a long time, run on for a long time.
[01:09:37.680 --> 01:09:42.360]  Well, it's sad that that's what happens, but I'm sure you're well aware.
[01:09:42.360 --> 01:09:46.280]  You seem very smart for somebody your age or well aware of what the media does when
[01:09:46.280 --> 01:09:48.280]  they target somebody for attacks.
[01:09:48.280 --> 01:09:53.240]  We endure that a lot here at InfoWars, so we're glad to have you on board with that.
[01:09:53.240 --> 01:09:57.720]  Not a fun place to be in, but now they do it to children as well.
[01:09:57.720 --> 01:10:02.240]  What about the students in your school and the students in your class?
[01:10:02.240 --> 01:10:03.520]  Are they saying anything?
[01:10:03.520 --> 01:10:06.720]  Do they care about your politics or your videos?
[01:10:06.720 --> 01:10:11.040]  Have they before or is it a new sensation?
[01:10:11.040 --> 01:10:17.400]  People knew before, but it's only really after this news story that some kids are dissatisfied
[01:10:17.400 --> 01:10:19.520]  with me.
[01:10:19.520 --> 01:10:24.240]  Even in such living in such a liberal area, still most of the kids are fine with me, think
[01:10:24.240 --> 01:10:29.120]  I'm cool, have no problem with me.
[01:10:29.120 --> 01:10:34.720]  There's only a minority that really have a problem with me, and I've just had conversations
[01:10:34.720 --> 01:10:35.720]  with them so far.
[01:10:35.720 --> 01:10:41.080]  There's not been any violence, and I don't think of it as harassment or really a pain
[01:10:41.080 --> 01:10:43.560]  to deal with.
[01:10:43.560 --> 01:10:48.800]  You know, I'm curious because when I was your age, I wasn't into politics at all.
[01:10:48.800 --> 01:10:54.200]  I mean, even my classmates, we didn't really know much about politics, I mean, maybe during
[01:10:54.200 --> 01:10:58.400]  election seasons, but other than that, kids didn't really engage in political discussions.
[01:10:58.400 --> 01:11:02.160]  It didn't really separate or divide students at all.
[01:11:02.160 --> 01:11:03.360]  Is that happening?
[01:11:03.360 --> 01:11:08.360]  Do you feel that students look at you and say, oh my gosh, I heard that she's all right
[01:11:08.360 --> 01:11:11.920]  and think of you negatively?
[01:11:11.920 --> 01:11:12.920]  I think so.
[01:11:12.920 --> 01:11:18.120]  I think some of them buy the news stories that they've been reading about, these journalists
[01:11:18.120 --> 01:11:23.400]  trying to put me in a box, trying to categorize me, trying to push me away and attach me to
[01:11:23.400 --> 01:11:24.400]  an ideology.
[01:11:24.400 --> 01:11:29.840]  I don't necessarily have anything to do with, and that way they can attack me easier.
[01:11:29.840 --> 01:11:36.000]  Some kids attach that to me, but most of them have no problem with me and see mainstream
[01:11:36.000 --> 01:11:37.680]  media for what it is.
[01:11:37.680 --> 01:11:41.400]  Well, and again, you're just doing satire videos.
[01:11:41.400 --> 01:11:47.600]  You're not even politically, that's not where your videos come from, a political motivation.
[01:11:47.600 --> 01:11:52.320]  You just happened to do one that had a satire featuring Islam, and that's when they decided
[01:11:52.320 --> 01:11:55.120]  to target you.
[01:11:55.120 --> 01:11:58.960]  What do you say about people that want to label you anything politically?
[01:11:58.960 --> 01:12:03.400]  Do you take a political stance or do you just say, hey, I'm just here to do satire, or what
[01:12:03.400 --> 01:12:04.800]  is your response to that?
[01:12:04.800 --> 01:12:09.040]  I'm mostly here to do entertainment and satire.
[01:12:09.040 --> 01:12:14.360]  I feel like getting into politics would be the opposite of what I want to do.
[01:12:14.360 --> 01:12:19.000]  I want to make people more hopeful, more energized, getting into politics with Black
[01:12:19.000 --> 01:12:23.520]  Bill people, and really the only political issue I have a definitive stance that I want
[01:12:23.520 --> 01:12:26.320]  to take with my audience is free speech.
[01:12:26.320 --> 01:12:32.800]  I hope that people from all political views can unite together with the mission statement
[01:12:32.800 --> 01:12:37.600]  of, okay, we're going to support free speech, we're going to let everybody state their opinions,
[01:12:37.600 --> 01:12:43.360]  and I don't appreciate when journalists do the tactic of attaching me to certain political
[01:12:43.360 --> 01:12:50.680]  standpoint so they can throw me over there forever and easily lob blank at terms on me.
[01:12:50.680 --> 01:12:54.680]  Do you think that the students that do want to do that to you, that may say something
[01:12:54.680 --> 01:12:58.040]  negative to you or kind of look at you negatively now, do you think that that's something that
[01:12:58.040 --> 01:13:02.160]  comes from themselves or do you think their parents are putting that in them?
[01:13:02.160 --> 01:13:07.160]  Because again, for me, a 14-year-old or kids that age are never really that politically
[01:13:07.160 --> 01:13:09.280]  inclined either way.
[01:13:09.280 --> 01:13:11.880]  I mean, they may hear about political stuff from their parents, but they're not really
[01:13:11.880 --> 01:13:15.560]  politically inclined enough to change their opinion of somebody.
[01:13:15.560 --> 01:13:18.240]  Do you think that that is happening?
[01:13:18.240 --> 01:13:22.120]  I don't necessarily want to assume that it's all fueled by their parents.
[01:13:22.120 --> 01:13:28.880]  I would like to think that the kids who have to stand for me, that's something that they
[01:13:28.880 --> 01:13:33.920]  thought about, that they came to those conclusions mostly by themselves, maybe from information
[01:13:33.920 --> 01:13:39.160]  from news sites, but then they thought on that and came to a conclusion.
[01:13:39.160 --> 01:13:45.560]  I think they're thinking for themselves, but just coming to conclusions that sort of try
[01:13:45.560 --> 01:13:49.280]  to demonize me when I'm just like a regular 14-year-old girl.
[01:13:49.280 --> 01:13:53.320]  Well, yeah, that's amazing to me because again, I don't know, maybe it was odd to me, but I
[01:13:53.320 --> 01:13:59.320]  can't think of any situations when I was in junior high school or even really high school
[01:13:59.320 --> 01:14:03.840]  or elementary school that where politics came up for anything, but I hope that you really
[01:14:03.840 --> 01:14:04.840]  don't have to endure that much.
[01:14:04.840 --> 01:14:06.680]  I'm sad to hear that for you.
[01:14:06.680 --> 01:14:07.680]  But what about positive?
[01:14:07.680 --> 01:14:09.520]  I mean, do you get support from students?
[01:14:09.520 --> 01:14:13.640]  Do students kind of find you and say, hey, I like your videos or hey, you can rise above
[01:14:13.640 --> 01:14:14.640]  these attacks?
[01:14:14.640 --> 01:14:15.640]  Yeah.
[01:14:15.640 --> 01:14:21.760]  It's actually a lot of students that come up to me and endorse me and tell me to ignore
[01:14:21.760 --> 01:14:28.480]  the hate and express sympathy for getting in trouble with the school system or going
[01:14:28.480 --> 01:14:29.480]  through all of this.
[01:14:29.480 --> 01:14:32.040]  And I really appreciate that.
[01:14:32.040 --> 01:14:33.760]  And was there trouble from the school system?
[01:14:33.760 --> 01:14:40.040]  I don't want to get you in trouble now on air, but has the school had to discipline you
[01:14:40.040 --> 01:14:41.760]  for doing this video?
[01:14:41.760 --> 01:14:43.760]  Thankfully not.
[01:14:43.760 --> 01:14:47.560]  They try to uphold free speech as best they can.
[01:14:47.560 --> 01:14:51.920]  Well, that's good to hear because that would be another national story that would put you
[01:14:51.920 --> 01:14:57.240]  in the headlines that sadly would make the media want to target you even more.
[01:14:57.240 --> 01:15:01.560]  So I'm sorry that you have to endure that, but you seem strong and you're very well-spoken.
[01:15:01.560 --> 01:15:04.840]  So I imagine you're going to continue to make videos in the future.
[01:15:04.840 --> 01:15:05.840]  Well, thanks.
[01:15:05.840 --> 01:15:06.840]  And yeah, I am.
[01:15:06.840 --> 01:15:13.880]  I'm going to, I plan on continuing this as probably a career opportunity.
[01:15:13.880 --> 01:15:20.160]  And you know, that is kind of the next level of this discussion when it comes to censorship.
[01:15:20.160 --> 01:15:26.800]  Here is a young girl, Sof, who does funny satire videos at a young age, sees a career
[01:15:26.800 --> 01:15:34.240]  path for herself and is already targeted for destruction before she can even get out of
[01:15:34.240 --> 01:15:35.240]  school.
[01:15:35.240 --> 01:15:37.240]  I mean, so that's the tyranny.
[01:15:37.240 --> 01:15:42.360]  That's the authoritarianism right there where they want to stop someone from even making
[01:15:42.360 --> 01:15:45.200]  it onto the scene and being successful.
[01:15:45.200 --> 01:15:51.800]  Do you realize that when you spread the links from M4Wars.com, when you spread the videos,
[01:15:51.800 --> 01:15:54.040]  you are changing the world?
[01:15:54.040 --> 01:15:57.760]  It's you that has defeated Hillary and the Globals.
[01:15:57.760 --> 01:16:02.560]  It is you, the M4Wars, across the planet that stood against the bullying, that stood against
[01:16:02.560 --> 01:16:06.240]  the peer pressure, that stood against the threats that have now changed the world.
[01:16:06.240 --> 01:16:11.080]  And that's why you've been on the team supporting us, praying for us and spreading the word.
[01:16:11.080 --> 01:16:12.080]  You are the M4Wars.
[01:16:12.080 --> 01:16:17.160]  And now because of their intensifying censorship, it's more important than ever that everyone
[01:16:17.160 --> 01:16:22.240]  go to M4Wars.com forward slash news letter and sign up via email so there's no way the
[01:16:22.240 --> 01:16:27.520]  censorship can get between us with critical videos, articles, breaking news, intel, you
[01:16:27.520 --> 01:16:28.520]  name it.
[01:16:28.520 --> 01:16:33.680]  And so now I ask you more than ever to share the M4Wars.com articles, to share the videos,
[01:16:33.680 --> 01:16:36.920]  to tell people by the local stations you're listening to, but the bare minimum you can
[01:16:36.920 --> 01:16:43.160]  do is sign up for the free newsletter at M4Wars.com forward slash newsletter.
[01:16:43.160 --> 01:16:46.080]  We are the Renaissance and we are winning.
[01:16:46.080 --> 01:16:50.280]  The globalists are hyper competitive scientific dictators.
[01:16:50.280 --> 01:16:51.320]  They are technocrats.
[01:16:51.320 --> 01:16:55.120]  They are control freaks in their own words, and they believe allowing you to live your
[01:16:55.120 --> 01:16:59.640]  own life and make your own decisions gets to the way of their great destiny to merge
[01:16:59.640 --> 01:17:00.640]  with AI gods.
[01:17:00.640 --> 01:17:02.840]  Now we're fighting them hard in cyberspace.
[01:17:02.840 --> 01:17:06.480]  We're fighting them hard right here in the third dimension, but one of the biggest places
[01:17:06.480 --> 01:17:11.760]  that we neglect to forget that we've really got a lot of control in our lives is our bodies.
[01:17:11.760 --> 01:17:17.040]  If I wasn't taking the highest quality supplements from M4Wars.com, I couldn't do it.
[01:17:17.040 --> 01:17:21.400]  That's why we decided to take our original Secret 12 that was incredibly high quality
[01:17:21.400 --> 01:17:27.120]  Methylcobalamin and double the strength of it in a new formula, Ultra 12.
[01:17:27.120 --> 01:17:32.000]  Ultra 12 is undoubtedly the strongest, highest quality B12 over the counter that you're going
[01:17:32.000 --> 01:17:33.000]  to find anywhere.
[01:17:33.000 --> 01:17:34.000]  It is amazing.
[01:17:34.000 --> 01:17:39.400]  Experience pure Methylcobalamin B12 for yourself and fund the second American Revolution against
[01:17:39.400 --> 01:17:46.880]  the tyrants at infowarsstore.com, infowarslife.com, or AAA-253-3139.
[01:17:46.880 --> 01:17:52.120]  Infowars life is bringing you a breakthrough in modern medicine, introducing pollen block.
[01:17:52.120 --> 01:17:57.400]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms,
[01:17:57.400 --> 01:18:04.160]  including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[01:18:04.160 --> 01:18:10.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced
[01:18:10.000 --> 01:18:13.320]  less seasonal immune and inflammatory responses.
[01:18:13.320 --> 01:18:18.240]  They began studying this effect in published trials and decades later, we now have the fruit
[01:18:18.240 --> 01:18:24.760]  of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[01:18:24.760 --> 01:18:27.000]  Pollen block is natural and effective.
[01:18:27.000 --> 01:18:28.240]  It is not an antihistamine.
[01:18:28.240 --> 01:18:32.880]  In fact, current research has found that it actually acts by blocking the activity of
[01:18:32.880 --> 01:18:38.720]  triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[01:18:38.720 --> 01:18:41.400]  Go outside and enjoy the air you breathe.
[01:18:41.400 --> 01:18:46.720]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[01:18:46.720 --> 01:18:50.720]  It's time to show them what a real alpha male looks like with one of our most powerful
[01:18:50.720 --> 01:18:53.280]  products ever made, Alpha Power.
[01:18:53.280 --> 01:18:56.800]  As you age, your body can lose testosterone over time.
[01:18:56.800 --> 01:19:01.080]  With the incredible ingredients in this formula, we can help you beat the test of time and
[01:19:01.080 --> 01:19:05.800]  assist in restoring that lost energy and mood that comes with time and age.
[01:19:05.800 --> 01:19:10.120]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance
[01:19:10.120 --> 01:19:14.440]  your day-to-day life with ease while encouraging hormonal balance.
[01:19:14.440 --> 01:19:19.840]  Perfect by itself or with super male vitality in the true alpha male pack.
[01:19:19.840 --> 01:19:24.880]  Alpha Power can help lose performance, help maintain normal testosterone levels, support
[01:19:24.880 --> 01:19:27.160]  healthy cholesterol and more.
[01:19:27.160 --> 01:19:30.560]  Let Alpha Power help bring you to the peak of your optimal health.
[01:19:30.560 --> 01:19:33.360]  Don't fall short on energy in the fight against tyranny.
[01:19:33.360 --> 01:19:38.000]  Show the world what a true alpha male looks like today with Alpha Power.
[01:19:38.000 --> 01:19:50.040]  Head to infowarsstore.com today.
[01:19:50.040 --> 01:20:02.200]  You're listening to the Alex Jones show.
[01:20:02.200 --> 01:20:08.760]  And now, the tip of the spear, leading the fight to take back the nation.
[01:20:08.760 --> 01:20:11.080]  It's Owen Troyer.
[01:20:11.080 --> 01:20:15.400]  You're listening to the Alex Jones show.
[01:20:15.400 --> 01:20:21.680]  So, Soph is with us.
[01:20:21.680 --> 01:20:27.920]  She's really a star on YouTube, tons of viral videos, but recently targeted for harassment
[01:20:27.920 --> 01:20:34.400]  and censorship by the loving, tolerant left because she did a sad tire video on Islam
[01:20:34.400 --> 01:20:41.120]  where she just came out as a devote Muslim and just did a sad tire video and she wouldn't
[01:20:41.120 --> 01:20:42.720]  allow to do that.
[01:20:42.720 --> 01:20:49.640]  But you know, Soph is an interesting character to me, very well spoken for a young girl,
[01:20:49.640 --> 01:20:51.840]  very smart, sees a career path for herself.
[01:20:51.840 --> 01:20:57.720]  I think that she's probably ahead of the curve as far as that's concerned for kids her age.
[01:20:57.720 --> 01:21:01.480]  So I just had some other questions that I wanted to get into.
[01:21:01.480 --> 01:21:03.800]  So Soph, you must really love school.
[01:21:03.800 --> 01:21:06.200]  I mean, it must be one of your favorite activities.
[01:21:06.200 --> 01:21:12.200]  Well, now it is actually because, well, I wasn't really a fan of school before just
[01:21:12.200 --> 01:21:14.560]  because it's not really for me.
[01:21:14.560 --> 01:21:20.040]  None of the subjects really got my interest or seem relevant to my future career path.
[01:21:20.040 --> 01:21:26.280]  But you know, now I get to walk there and, you know, soak in all the stairs and the attention
[01:21:26.280 --> 01:21:34.040]  and you know, all the, the, the side looks from all the girls and, and, you know, appreciation
[01:21:34.040 --> 01:21:35.040]  for the guys.
[01:21:35.040 --> 01:21:36.040]  What about the faggots?
[01:21:36.040 --> 01:21:37.040]  Do the faggots stare at you?
[01:21:37.040 --> 01:21:38.040]  Yeah.
[01:21:38.040 --> 01:21:40.640]  So, it's good.
[01:21:40.640 --> 01:21:44.400]  So you like going to school now just because it's like a wild ride, like you're not really
[01:21:44.400 --> 01:21:46.520]  learning anything?
[01:21:46.520 --> 01:21:48.480]  Um, I, I don't know.
[01:21:48.480 --> 01:21:52.360]  I like the, uh, the interactions that I have now because they're really interesting and
[01:21:52.360 --> 01:21:56.720]  either get to, you know, have conversations with people that had like a positive effect
[01:21:56.720 --> 01:22:01.600]  for my videos or people who want to come up to me and call me a racist and say I'm promoting
[01:22:01.600 --> 01:22:04.560]  hate speech and then I get to, you know, argue with them about that.
[01:22:04.560 --> 01:22:06.840]  It's, it's a lot more interesting that way.
[01:22:06.840 --> 01:22:07.840]  What about the teachers?
[01:22:07.840 --> 01:22:10.120]  Do the teachers say anything to you?
[01:22:10.120 --> 01:22:15.320]  Uh, there's, I mean, the only ones that have said anything are just like ones that are
[01:22:15.320 --> 01:22:17.040]  like, oh, are you holding up well?
[01:22:17.040 --> 01:22:20.360]  If you need any, if you need to like stay in my room during lunch, that's okay.
[01:22:20.360 --> 01:22:22.880]  So I also really appreciate that.
[01:22:22.880 --> 01:22:23.880]  Okay.
[01:22:23.880 --> 01:22:28.240]  So some teachers are kind of seeing what students are saying to you and they're making sure
[01:22:28.240 --> 01:22:32.440]  that, uh, you have a, a solemn place if you need one.
[01:22:32.440 --> 01:22:33.440]  Yeah.
[01:22:33.440 --> 01:22:38.200]  So what would you say is your favorite subject in school?
[01:22:38.200 --> 01:22:45.040]  Um, probably, I mean, probably computer graphics because I just get to do the same stuff that
[01:22:45.040 --> 01:22:48.400]  I do for editing my videos and making thumbnails.
[01:22:48.400 --> 01:22:49.400]  Hmm.
[01:22:49.400 --> 01:22:50.400]  Okay.
[01:22:50.400 --> 01:22:54.240]  So you kind of get to do a little bit of your YouTube work because you said in the last
[01:22:54.240 --> 01:22:57.360]  segment that you'd like to make a career out of this, I don't know if you mean like
[01:22:57.360 --> 01:23:01.680]  a comedy or doing YouTube videos, but so you get to work on that a little bit at school.
[01:23:01.680 --> 01:23:02.680]  Yeah.
[01:23:02.680 --> 01:23:07.880]  Like, I'm, I don't know what platform is going to be there when I'm like 18, but however
[01:23:07.880 --> 01:23:13.600]  I get to make comedy videos, however I get to entertain people, that's the route I'll
[01:23:13.600 --> 01:23:14.600]  take.
[01:23:14.600 --> 01:23:22.040]  Now, let's say your school decided to go full libtard and kick you out for that satire
[01:23:22.040 --> 01:23:23.920]  video you did on Islam.
[01:23:23.920 --> 01:23:25.440]  Would you be very upset?
[01:23:25.440 --> 01:23:27.880]  Um, not really.
[01:23:27.880 --> 01:23:34.600]  I'm transferring out anyways, so it doesn't really matter and they seem cool with me.
[01:23:34.600 --> 01:23:35.960]  It seems very unlikely.
[01:23:35.960 --> 01:23:36.960]  Okay.
[01:23:36.960 --> 01:23:37.960]  Okay.
[01:23:37.960 --> 01:23:41.160]  I don't know that some, some people were thinking that maybe you might like to get kicked out
[01:23:41.160 --> 01:23:42.160]  of school.
[01:23:42.160 --> 01:23:45.080]  Well, I mean, I certainly would like it.
[01:23:45.080 --> 01:23:50.160]  I don't know if my parents would, yeah, then they'd have to, then they'd have to teach
[01:23:50.160 --> 01:23:52.840]  you all the things that you're, that they're not teaching you in school.
[01:23:52.840 --> 01:23:53.840]  You see?
[01:23:53.840 --> 01:23:54.840]  Yeah.
[01:23:54.840 --> 01:23:58.680]  All the very important subjects.
[01:23:58.680 --> 01:24:02.120]  So what would you say you want to do next on YouTube?
[01:24:02.120 --> 01:24:03.800]  Have you got anything in mind?
[01:24:03.800 --> 01:24:06.920]  Do things just come to you on a whim or how do you decide what you're going to do for
[01:24:06.920 --> 01:24:08.440]  your next video?
[01:24:08.440 --> 01:24:14.880]  Um, it usually just comes to me like something I see online of a person I want to talk about
[01:24:14.880 --> 01:24:17.120]  a hot subject.
[01:24:17.120 --> 01:24:21.480]  Sometimes it's just personal life, like videos like suicide bomb, I'll talk about school
[01:24:21.480 --> 01:24:23.280]  or in multiracial white supremacy.
[01:24:23.280 --> 01:24:28.000]  I talked about a viral video where this, you know, girl named treasure goes on Dr. Phil
[01:24:28.000 --> 01:24:30.720]  and says a bunch of crazy stuff.
[01:24:30.720 --> 01:24:36.680]  It's usually revolves around current events and popular culture and I try to give a unique
[01:24:36.680 --> 01:24:37.680]  take on it.
[01:24:37.680 --> 01:24:40.040]  That isn't really being expressed by anybody else.
[01:24:40.040 --> 01:24:44.840]  Now, do you worry, you know, I'm in a unique position here because I've been banned from
[01:24:44.840 --> 01:24:50.200]  YouTube and Facebook and the last real place I have to go is Twitter, which I imagine they'll
[01:24:50.200 --> 01:24:51.680]  probably take me off there.
[01:24:51.680 --> 01:24:56.760]  So, so, I mean, I imagine my final platform will probably just be here at info wars.
[01:24:56.760 --> 01:25:02.760]  Once they erase everything else, but you know, that's a very unique and quite frankly on
[01:25:02.760 --> 01:25:06.960]  a weird level fortunate position to be in, even though I'm not fortunate to get banned
[01:25:06.960 --> 01:25:09.960]  off social media, but everybody will be there eventually.
[01:25:09.960 --> 01:25:14.160]  How does it feel for you though, knowing that you're, you're still young, you're still in
[01:25:14.160 --> 01:25:18.560]  school and you're just really beginning what you see as a career path?
[01:25:18.560 --> 01:25:22.440]  How does it, I mean, have you even thought about the fact that, yeah, I mean, you could
[01:25:22.440 --> 01:25:26.600]  be in a situation where you might not even be allowed to be on these main platforms like
[01:25:26.600 --> 01:25:28.880]  Facebook or Twitter or YouTube.
[01:25:28.880 --> 01:25:32.640]  So did, is that something you thought about when YouTube basically said, okay, you cannot
[01:25:32.640 --> 01:25:34.600]  upload videos to our channel anymore?
[01:25:34.600 --> 01:25:37.760]  Uh, yeah, I'm certainly thinking about that.
[01:25:37.760 --> 01:25:42.360]  I'm thinking about the best way to balance that, uh, how long I want to stay on YouTube.
[01:25:42.360 --> 01:25:46.080]  But certainly not a thing that's going to be going on for much longer.
[01:25:46.080 --> 01:25:50.120]  It's, I'm going to need to move on to another platform, but I'm just thinking how long do
[01:25:50.120 --> 01:25:54.560]  I want to stay on there and, and, and what's the likelihood that I get banned if I do this
[01:25:54.560 --> 01:25:55.560]  or that option?
[01:25:55.560 --> 01:26:00.160]  I mean, uh, it might be that if I want to stay on YouTube longer, I'll upload the more
[01:26:00.160 --> 01:26:04.480]  offensive stuff to Bitshoot or, or Patreon or something like that.
[01:26:04.480 --> 01:26:09.680]  If not, I might just go, you know, guns blazing a good band and then, you know, jump ship.
[01:26:09.680 --> 01:26:11.000]  Um, I don't know.
[01:26:11.000 --> 01:26:12.560]  I don't really know right now.
[01:26:12.560 --> 01:26:18.360]  Um, but yeah, I'm definitely thinking about it and platforms like, you know, info wars
[01:26:18.360 --> 01:26:22.880]  or like compound media are certainly more secure because you don't really have to worry
[01:26:22.880 --> 01:26:24.200]  about that as much.
[01:26:24.200 --> 01:26:25.200]  Yeah.
[01:26:25.200 --> 01:26:26.440]  And it just, it just becomes hard again.
[01:26:26.440 --> 01:26:30.320]  I mean, we're fortunate here because we had an audience base before this big censorship
[01:26:30.320 --> 01:26:34.120]  of millions of people and we already had the radio audience, but a lot of people don't
[01:26:34.120 --> 01:26:35.120]  have that base.
[01:26:35.120 --> 01:26:39.680]  And so if you're getting banned from these social media platforms or YouTube or, or
[01:26:39.680 --> 01:26:42.160]  other platforms, it's tough to get that following.
[01:26:42.160 --> 01:26:43.160]  It really is.
[01:26:43.160 --> 01:26:44.480]  That's where the main traffic is.
[01:26:44.480 --> 01:26:50.200]  That's what gets pushed by all the mainstream media on television and radio and at live
[01:26:50.200 --> 01:26:51.200]  events and everything.
[01:26:51.200 --> 01:26:56.560]  So, um, well, I'm going to be looking forward to seeing what happens to you.
[01:26:56.560 --> 01:27:01.360]  I know that you have a long, uh, hopefully long career doing videos, but I'll be interested
[01:27:01.360 --> 01:27:06.000]  to see if they continue to target you for more censorship or if they'll let you back
[01:27:06.000 --> 01:27:07.000]  on.
[01:27:07.000 --> 01:27:09.520]  Cause again, I mean, you're very clearly satire.
[01:27:09.520 --> 01:27:14.840]  So it's very odd, um, that they would take something that's very clearly satire and then
[01:27:14.840 --> 01:27:20.160]  target it because it's talking about Islam and then ignored the rest of your satire.
[01:27:20.160 --> 01:27:26.720]  But you know, just so people know, apparently I was told that you really enunciate the word
[01:27:26.720 --> 01:27:28.680]  faggot really well in your videos.
[01:27:28.680 --> 01:27:32.680]  So people want to know why I said that, but you know, it's kind of funny because a lot
[01:27:32.680 --> 01:27:34.600]  of the crew is my age.
[01:27:34.600 --> 01:27:35.600]  I'm just going to say it.
[01:27:35.600 --> 01:27:39.400]  Let's just have some fun here in the last 60 seconds when, when, when I was about your
[01:27:39.400 --> 01:27:43.280]  age and some of the crew, you'll know what I'm talking about.
[01:27:43.280 --> 01:27:44.280]  You back there.
[01:27:44.280 --> 01:27:47.880]  I'm talking about the word faggot was like the most cool thing you could say.
[01:27:47.880 --> 01:27:50.320]  It was like the most badass thing, but we didn't think about it.
[01:27:50.320 --> 01:27:53.080]  It had no sexual connotation or anything to us.
[01:27:53.080 --> 01:27:55.920]  It was just like an insult, like you're a loser or whatever.
[01:27:55.920 --> 01:28:00.080]  And then South Park did it where they said you're basically the same thing, but you ride
[01:28:00.080 --> 01:28:01.160]  a Harley.
[01:28:01.160 --> 01:28:03.240]  So do people still say the word faggot?
[01:28:03.240 --> 01:28:06.000]  Oh, I, I think so.
[01:28:06.000 --> 01:28:07.000]  Yeah.
[01:28:07.000 --> 01:28:08.280]  I mean, I certainly do.
[01:28:08.280 --> 01:28:11.000]  And that's so whatever.
[01:28:11.000 --> 01:28:12.400]  I have no proof of that.
[01:28:12.400 --> 01:28:15.240]  So I don't know if that's true.
[01:28:15.240 --> 01:28:19.600]  Hopefully so that, well, I tried guys.
[01:28:19.600 --> 01:28:23.240]  I tried, I tried to get her to do it, but she's more disciplined than I am on a live
[01:28:23.240 --> 01:28:24.600]  radio show with millions of people.
[01:28:24.600 --> 01:28:28.280]  So hey, well done, so well done.
[01:28:28.280 --> 01:28:30.800]  And I wish you Godspeed for the future.
[01:28:30.800 --> 01:28:32.960]  Don't let the sensors keep you down.
[01:28:32.960 --> 01:28:34.240]  Don't let the haters keep you down.
[01:28:34.240 --> 01:28:37.280]  That just means you're totally successful.
[01:28:37.280 --> 01:28:38.280]  Very well spoken.
[01:28:38.280 --> 01:28:39.280]  Young girl.
[01:28:39.280 --> 01:28:41.160]  So on the Alex Jones show today.
[01:28:41.160 --> 01:28:42.160]  All right.
[01:28:42.160 --> 01:28:46.560]  So we'll see you next time on the Fox News.
[01:28:46.560 --> 01:28:47.560]  Right.
[01:28:47.560 --> 01:28:49.560]  Let's see right back.
[01:28:49.560 --> 01:28:50.560]  Faggots.
[01:28:50.560 --> 01:28:51.560]  Okay, it's true.
[01:28:51.560 --> 01:28:58.560]  I stayed up late last night so I had half the turbo force this morning.
[01:28:58.560 --> 01:29:06.720]  The vitamins, the minerals, the amino acids, the vitamins, the minerals, the amino, you
[01:29:06.720 --> 01:29:08.920]  know, the vitamins, the minerals, the amino acids.
[01:29:08.920 --> 01:29:11.640]  Five different types of caffeine, that's turbo-force
[01:29:11.640 --> 01:29:14.760]  Five different types of caffeine, doesn't have to crush
[01:29:14.760 --> 01:29:17.880]  Five different types of caffeine, that's turbo-force
[01:29:17.880 --> 01:29:20.200]  Can't derive, I've got it no more
[01:29:20.200 --> 01:29:23.000]  You'll better be very bad
[01:29:23.000 --> 01:29:25.080]  I'm a loner, can't derive
[01:29:25.080 --> 01:29:29.480]  Five different types of caffeine, very bad
[01:29:29.480 --> 01:29:31.560]  That's turbo-force, I tell you what
[01:29:31.560 --> 01:29:33.560]  I'm gonna lie, I ain't even a brainer
[01:29:33.560 --> 01:29:37.000]  I'm gonna run up, I'm gonna run up, I'm gonna run up, I'm gonna run up
[01:29:37.000 --> 01:29:40.200]  We work out, next level, turbo-force, turbo-force
[01:29:40.200 --> 01:29:44.680]  We work out, next level, turbo-force, it's turbo-force
[01:29:44.680 --> 01:29:46.600]  And get the fish oil
[01:29:46.600 --> 01:29:48.600]  It would take me more than an hour
[01:29:48.600 --> 01:29:52.360]  Just to lay out all the admitted benefits
[01:29:52.360 --> 01:29:56.520]  And known positive effects of just one of the ingredients
[01:29:56.520 --> 01:29:58.440]  In our ultimate bone broth formula
[01:29:58.440 --> 01:30:01.240]  Everybody knows about bone broth itself
[01:30:01.240 --> 01:30:04.600]  And all of the amazing things that it's associated with
[01:30:04.600 --> 01:30:06.760]  And then it's been the big craze for at least a decade
[01:30:06.760 --> 01:30:09.400]  Well, thousands of years ago, it's what everybody told people
[01:30:09.400 --> 01:30:11.720]  They should drink in a soup that was sick
[01:30:11.720 --> 01:30:15.160]  But then you add, not just the fact that this is the strongest, most concentrated
[01:30:15.160 --> 01:30:18.520]  Highest quality bone broth out there, literally
[01:30:18.520 --> 01:30:21.400]  Then you have the chaga mushroom, then you have the turmeric
[01:30:21.400 --> 01:30:22.760]  Then you have the bee pollen
[01:30:22.760 --> 01:30:26.520]  Then you have the other key ingredients that are all known
[01:30:26.520 --> 01:30:29.640]  To just make people incredibly strong and healthy
[01:30:29.640 --> 01:30:31.880]  Our ultimate bone broth formula is amazing
[01:30:31.880 --> 01:30:34.600]  It's 50% off right now at FullWareStore.com
[01:30:34.600 --> 01:30:36.760]  Because I want you to try and see how great it is
