[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[02:13:36.272 --> 02:13:38.193]  Governments always become oppressive.
[02:13:38.193 --> 02:13:40.574]  Governments always get weaponized against their people.
[02:13:40.574 --> 02:13:45.756]  Whatever the form is, whatever the fashion is, whatever the name is, that's always the case, okay?
[02:13:45.756 --> 02:13:48.418]  And so, people say, well, where do I go?
[02:13:48.418 --> 02:13:49.918]  Where can I go to live free?
[02:13:49.918 --> 02:13:53.380]  Where can I go to get away with government tyranny and interference in my life?
[02:13:54.423 --> 02:13:55.724]  America!
[02:13:55.724 --> 02:13:58.005]  That's the United States of America!
[02:13:58.005 --> 02:13:59.726]  That's why we founded this country!
[02:13:59.726 --> 02:14:02.187]  If they get rid of it, it's over!
[02:14:02.187 --> 02:14:05.329]  It's a corporate world government tyranny for all!
[02:14:05.329 --> 02:14:07.029]  I'm just... because it's just... I get it!
[02:14:07.029 --> 02:14:08.190]  People are seeing this tyranny.
[02:14:08.190 --> 02:14:09.210]  They're seeing the oppression.
[02:14:09.210 --> 02:14:10.011]  They're seeing the corruption.
[02:14:10.011 --> 02:14:11.432]  They're saying, where do I go?
[02:14:11.432 --> 02:14:13.012]  How do I get away from this?
[02:14:13.012 --> 02:14:13.953]  This is it!
[02:14:13.953 --> 02:14:15.774]  This is the last bastion of freedom, man!
[02:14:18.289 --> 02:14:20.991]  Dude, all I can tell you right now is tacticalcivics.com.
[02:14:20.991 --> 02:14:23.032]  This is using your Constitution.
[02:14:23.032 --> 02:14:28.055]  Citizen grand jury is getting ordinances passed in every single county for a citizen grand jury.
[02:14:28.055 --> 02:14:37.161]  And once you indict these people that are criminals for crimes against humanity, election theft, whatever it is, you have the constitutional right to get the enforcement arm stood up.
[02:14:37.421 --> 02:14:37.821]  We're good to go.
[02:15:07.682 --> 02:15:08.662]  Yeah, exactly.
[02:15:08.662 --> 02:15:15.344]  If I'm down at the southern border and I'm running a coyote illegal immigration money operation, well, I'm going to jail.
[02:15:15.344 --> 02:15:17.365]  That's an illegal human trafficking operation.
[02:15:17.365 --> 02:15:18.125]  But when the U.S.
[02:15:18.125 --> 02:15:23.247]  government does it, when the Biden administration does it, of course, that's fully legal.
[02:15:23.247 --> 02:15:26.327]  Ann VanderSteel, where can people follow your work?
[02:15:26.327 --> 02:15:27.748]  And thank Michael Yan for us, too.
[02:15:29.480 --> 02:15:30.540]  Of course, he's sitting right here.
[02:15:30.540 --> 02:15:31.601]  He just finished his lunch.
[02:15:31.601 --> 02:15:35.662]  You can follow me at Ann VanderSteel on any social media.
[02:15:35.662 --> 02:15:39.523]  At Ann VanderSteel Truth on Telegram and Instagram.
[02:15:39.523 --> 02:15:47.205]  And of course, I'm at rightnow.news where you'll find my broadcast as well as on ClubHub, Rumble, Getter, Friday on TV.
[02:15:47.205 --> 02:15:47.985]  I'm all over the place.
[02:15:47.985 --> 02:15:51.106]  Well, you and Michael Yan are really doing Pulitzer Prize winning work.
[02:15:51.106 --> 02:15:52.867]  Same with all the other journalists that are covering this.
[02:15:52.867 --> 02:15:56.748]  But oh no, they give the awards to the fake news journalists at CNN for covering fake Russian collusion.
[02:15:56.748 --> 02:15:56.948]  Okay.
[02:15:57.458 --> 02:16:03.319]  Separately, we got some really, really, really, really, really, really, really, really, really, really good news.
[02:16:03.319 --> 02:16:08.500]  Because it's a great product you love, and people want it, and it funds our operation at 360WIN.
[02:16:08.500 --> 02:16:10.840]  Body's ultimate turmeric formula.
[02:16:10.840 --> 02:16:12.961]  The strongest you're going to find anywhere.
[02:16:12.961 --> 02:16:19.842]  Jam-packed, a big ol' giant bottle of stuff that destroys inflammation, that empowers your neurological system.
[02:16:19.842 --> 02:16:20.362]  You name it.
[02:16:20.362 --> 02:16:22.362]  I mean, it's just so amazing.
[02:16:22.362 --> 02:16:25.323]  God gave it to us, and it's the strongest humanoid out there.
[02:16:25.823 --> 02:16:29.284]  Other leading brands are like 70% curcuminoid.
[02:16:29.284 --> 02:16:31.864]  Most brands are 5% curcumidin.
[02:16:31.864 --> 02:16:33.884]  And that still does a great thing for you.
[02:16:33.884 --> 02:16:37.345]  This is the strongest anybody makes.
[02:16:37.345 --> 02:16:38.845]  95% curcuminoid.
[02:16:38.845 --> 02:16:41.426]  I am so glad this is back.
[02:16:41.426 --> 02:16:43.266]  I have been out of this myself for months.
[02:16:43.266 --> 02:16:46.186]  We've been sold out of this for almost seven months.
[02:16:46.186 --> 02:16:47.967]  Body's Ultimate Turmeric Formula.
[02:16:47.967 --> 02:16:48.867]  Back in stock, 25% off.
[02:16:48.867 --> 02:16:50.487]  Infowarstore.com or 888-253-3139.
[02:16:57.182 --> 02:16:58.763]  Hey everybody, Rodney Albrighton here.
[02:16:58.763 --> 02:17:04.127]  I want to thank Alex Jones and InfoWars for offering scholarships to River University.
[02:17:04.127 --> 02:17:11.753]  Maybe you're watching InfoWars today and you don't know what to do with the problems that we face in the world today.
[02:17:11.753 --> 02:17:16.336]  You've been through COVID-19, 2019, 2021, 2022, 2023.
[02:17:16.336 --> 02:17:22.681]  But here at River University, not only do we show you what the problem is, but we show you how to deal with it.
[02:17:23.141 --> 02:17:34.707]  Come, a full three-year bachelor degree will train you up in ministry, government, worship, that you can go out and actually bring about a transformation in the earth today.
[02:17:34.707 --> 02:17:41.271]  We have graduates going all over the world, from the Arctic to the Outback, and right here, this is what we do.
[02:17:41.271 --> 02:17:48.075]  We specialize in training people and equipping them for transformation, and that's what you'll do.
[02:17:48.075 --> 02:17:51.997]  So scan the QR code right now or go to riveruniversity.org
[02:17:52.778 --> 02:17:55.612]  And get the free scholarship offered to you by InfoWars.
[02:17:57.287 --> 02:18:03.051]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[02:18:03.051 --> 02:18:07.874]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[02:18:07.874 --> 02:18:10.916]  I turned down so many companies that wanted to work with us.
[02:18:10.916 --> 02:18:20.502]  But now, we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[02:18:20.502 --> 02:18:23.124]  It's powered by the company Minuteman Coffee.
[02:18:23.724 --> 02:18:32.247]  Ladies and gentlemen, this is the best-tasting, best-smelling, strongest coffee that I have ever drank.
[02:18:32.247 --> 02:18:34.088]  It is game-changing.
[02:18:34.088 --> 02:18:36.328]  All you gotta do is buy a bag of it and try it.
[02:18:36.328 --> 02:18:39.689]  I know you're gonna be hooked, which will then fund your Operation A360 win.
[02:18:39.689 --> 02:18:43.731]  Go to infowarstore.com right now for Escape the Prison Planet Light Roast.
[02:18:43.731 --> 02:18:44.771]  That's the strongest.
[02:18:44.771 --> 02:18:46.452]  The amazing medium roast.
[02:18:46.452 --> 02:18:47.172]  Wake up, America.
[02:18:47.612 --> 02:18:55.128]  And finally, the best tasting dark roast tip of the spear, now exclusively available at InfoWarsTore.com.
[02:18:55.128 --> 02:18:55.930]  Get your coffee now!
[02:18:57.392 --> 02:19:01.895]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned!
[02:19:01.895 --> 02:19:10.281]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you!
[02:19:10.281 --> 02:19:22.209]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high-quality processes and has applications for both preparedness and regular use.
[02:19:22.529 --> 02:19:33.762]  Concentrated to 30 parts per million in a pure base of deionized water, this Survival Silver is the perfect fit for you and your family's routine and emergency supply.
[02:19:33.762 --> 02:19:39.308]  Falloidal Silver is an amazing natural product that can assist your body's many healing processes.
[02:19:39.608 --> 02:19:47.830]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[02:19:47.830 --> 02:19:51.891]  Try InfoWars Life Silver Bullet Colloidal Silver today!
[02:19:51.891 --> 02:19:59.753]  Available right now at InfoWarsStore.com.
[02:19:59.753 --> 02:20:05.655]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:20:15.572 --> 02:20:17.593]  All right, we've already had a loaded broadcast.
[02:20:17.593 --> 02:20:20.073]  We've got Donald Trump live in Iowa.
[02:20:20.073 --> 02:20:25.315]  By the way, they were lined up before sunrise.
[02:20:25.315 --> 02:20:30.116]  Before sunrise, they were lined up outside of this venue to see and hear Donald Trump speak today.
[02:20:30.116 --> 02:20:35.498]  I'd love to see Joe Biden have an event where anybody even shows up, let alone lines up before the sunrise.
[02:20:35.498 --> 02:20:38.178]  And so that was the case in Iowa.
[02:20:38.178 --> 02:20:39.459]  Trump is now speaking live.
[02:20:39.459 --> 02:20:40.519]  Let's pop in real quick.
[02:20:41.897 --> 02:20:42.978]  Almost win a state.
[02:20:42.978 --> 02:20:46.241]  You become some Pat Buchanan's an example in New Hampshire.
[02:20:46.241 --> 02:20:47.061]  He came in.
[02:20:47.061 --> 02:20:47.642]  He did well.
[02:20:47.642 --> 02:20:48.643]  He did very well.
[02:20:48.643 --> 02:20:51.225]  And he's a terrific guy in many ways.
[02:20:51.225 --> 02:20:51.525]  Right.
[02:20:51.525 --> 02:20:53.467]  We all sort of know him.
[02:20:53.467 --> 02:20:54.487]  And he did.
[02:20:54.487 --> 02:20:56.409]  He did really well.
[02:20:56.409 --> 02:20:58.250]  I think he came in second.
[02:20:58.250 --> 02:21:01.513]  And, you know, he had a wonderful political career.
[02:21:01.513 --> 02:21:03.435]  We came in first in almost every state.
[02:21:03.435 --> 02:21:05.036]  Think of it as a group first.
[02:21:05.036 --> 02:21:05.917]  And we won.
[02:21:05.917 --> 02:21:09.320]  And then we won the election against beautiful Hillary.
[02:21:09.320 --> 02:21:10.601]  Beautiful, beautiful woman.
[02:21:11.826 --> 02:21:12.946]  So it's pretty amazing.
[02:21:12.946 --> 02:21:21.889]  So it's the greatest, it's the greatest movement of all time and in this country, and I think probably largely beyond this country.
[02:21:21.889 --> 02:21:25.670]  But if we win this time, this will be bigger than anything we've ever done.
[02:21:25.670 --> 02:21:34.093]  This will be at a level that's never been done much bigger than had we done it the traditional way, which we did do, but we just didn't get credit for it.
[02:21:34.093 --> 02:21:35.013]  But we did do it.
[02:21:35.013 --> 02:21:36.133]  We'll win it three times.
[02:21:36.133 --> 02:21:37.674]  I mean, that's the way I look at it.
[02:21:37.674 --> 02:21:38.654]  We'll win it three times.
[02:21:40.908 --> 02:21:50.132]  But this psychologically, and in many other ways, and you understand the different ways, but because one of the things of taking this pause is it shows how bad they are.
[02:21:50.132 --> 02:21:52.353]  It shows how bad their policies are.
[02:21:52.353 --> 02:21:59.516]  You look at the border, you look at all of the things that are so horrible that are happening, and it shows how bad they are.
[02:21:59.516 --> 02:22:05.579]  And we'll be able to do things and get things fixed in this country that probably you couldn't have really done politically or otherwise.
[02:22:06.219 --> 02:22:08.342]  If you did it the traditional way.
[02:22:08.342 --> 02:22:10.584]  So it'll be something really spectacular.
[02:22:10.584 --> 02:22:12.527]  It's going to be, I think it's going to be amazing.
[02:22:12.527 --> 02:22:17.372]  And I will tell you, so we've run twice.
[02:22:17.372 --> 02:22:20.175]  I've never seen the spirit that we have this time.
[02:22:20.175 --> 02:22:25.261]  And a lot of that spirit, because you're longing for the good old days with the greatest economy ever and all those things.
[02:22:30.831 --> 02:22:32.392]  How about gasoline at $1.87?
[02:22:32.392 --> 02:22:34.593]  How about that?
[02:22:34.593 --> 02:22:36.154]  Gasoline record highs today.
[02:22:36.154 --> 02:22:37.154]  We've got that in the news.
[02:22:37.154 --> 02:22:39.095]  Remember I told you I made great deals.
[02:22:39.095 --> 02:22:41.136]  I don't even talk about China because of COVID.
[02:22:41.136 --> 02:22:44.278]  But I made one of the greatest deals ever with USMCA.
[02:22:44.278 --> 02:22:46.879]  But maybe the best was China.
[02:22:46.879 --> 02:22:47.780]  $50 billion.
[02:22:47.780 --> 02:22:50.001]  And remember... Let's pull out of that for one second.
[02:22:50.001 --> 02:22:52.462]  We will rejoin Trump's campaign a bit in Iowa.
[02:22:52.462 --> 02:22:53.063]  And you got to ask.
[02:22:53.703 --> 02:22:58.165]  Because I can sit here and say, try that Joe, go to Iowa and campaign Joe.
[02:22:58.165 --> 02:22:59.805]  Nobody would show up.
[02:22:59.805 --> 02:23:05.247]  But is it Joe Biden's not campaigning because it would be an embarrassment that no one would show up?
[02:23:05.247 --> 02:23:07.888]  And thus people would say, gee, how did this guy get 81 million votes?
[02:23:07.888 --> 02:23:09.108]  No one shows up to a rally.
[02:23:09.108 --> 02:23:10.909]  Or is it that everybody knows he's not
[02:23:11.109 --> 02:23:14.591]  Going to be running when the time comes.
[02:23:14.591 --> 02:23:26.399]  But folks, we've had a loaded show today and we've got still hours of loaded news broadcasting for you today at InfoWars.com and of course our video sites now because we're banned everywhere.
[02:23:26.399 --> 02:23:29.261]  Banned.Video or the link to share now MadMaxWorld.TV
[02:23:30.911 --> 02:23:33.272]  We only stay on air thanks to your support.
[02:23:33.272 --> 02:23:33.712]  That's it.
[02:23:33.712 --> 02:23:38.433]  We don't have big corporate donors, big corporate sponsorships, billionaire donors.
[02:23:38.433 --> 02:23:42.394]  We don't have big pharmaceutical ads, big Hollywood ads, big fast food ads.
[02:23:42.394 --> 02:23:43.094]  We don't get that.
[02:23:43.094 --> 02:23:45.215]  We get your support at InfoWarsTore.com.
[02:23:45.215 --> 02:23:47.175]  It's literally imperative.
[02:23:47.175 --> 02:23:49.756]  It's the blood that runs through the veins of this organization.
[02:23:49.756 --> 02:23:52.557]  So please continue to support us at InfoWarsTore.com.
[02:23:52.557 --> 02:23:57.458]  And here is a message from Alex Jones.
[02:23:57.458 --> 02:24:00.459]  Everything in this universe is about action.
[02:24:01.874 --> 02:24:06.156]  Good actions and bad actions, or actions that are indifferent and really don't matter.
[02:24:06.156 --> 02:24:09.457]  Everything is about the will and the decision you make.
[02:24:09.457 --> 02:24:14.659]  Ladies and gentlemen, when you get these great products, you don't just fund their operation, you get incredible products.
[02:24:14.659 --> 02:24:22.763]  And it's been several years since we've had all three of these formerly best-selling products at one time together.
[02:24:22.763 --> 02:24:29.406]  DNA Force Plus, The Real Red Pill Plus, and Body's Ultimate Turmeric Formula all go together
[02:24:29.926 --> 02:24:30.166]  I think so.
[02:24:54.884 --> 02:24:55.104]  All right.
[02:25:22.004 --> 02:25:22.724]  40% off!
[02:25:22.724 --> 02:25:28.106]  We've not run a special on these in years with all three together and it funds the operation.
[02:25:28.106 --> 02:25:37.028]  But you need to experience for yourself what Real Red Pill Plus, what DNA Force Plus, and Body Supplement Treatment Formula will do for you and your family.
[02:25:37.028 --> 02:25:38.628]  Whether you're old or young, they're all incredible.
[02:25:38.628 --> 02:25:43.729]  But old folks, definitely feel this because on average you've got more of the deficiencies.
[02:25:43.729 --> 02:25:45.710]  These are incredible products.
[02:25:45.710 --> 02:25:46.650]  Real Red Pill.
[02:25:46.650 --> 02:25:47.670]  It's all back.
[02:25:47.670 --> 02:25:48.331]  Get yours now.
[02:25:48.331 --> 02:25:49.691]  Support the broadcast in Fuller Store.
[02:25:52.785 --> 02:25:56.667]  And of course, I am a product of the products at Infowarstore.com.
[02:25:56.667 --> 02:26:05.111]  The trifecta deal that we have running right now, I make sure all three of those supplements are always in my supplement cabinet.
[02:26:05.111 --> 02:26:09.513]  So, I'm telling you from experience, for me, if I want to stay healthy and fit,
[02:26:10.518 --> 02:26:12.700]  InfoWars supplements are a go-to.
[02:26:12.700 --> 02:26:16.783]  My supplement pantry is filled with them.
[02:26:16.783 --> 02:26:22.387]  And of course, we are grateful for your continued support at InfoWarsStore.com.
[02:26:22.387 --> 02:26:24.028]  Let's go back live now to Iowa.
[02:26:24.028 --> 02:26:27.450]  President Trump still speaking.
[02:26:27.450 --> 02:26:27.971]  Wow.
[02:26:27.971 --> 02:26:33.114]  Just a little bit more than a year, but a lot of bad things can happen in a year.
[02:26:33.114 --> 02:26:35.156]  Tremendously bad things can happen in a year.
[02:26:35.911 --> 02:26:38.272]  And a lot of stupid decisions could be made.
[02:26:38.272 --> 02:26:45.836]  Yesterday I watched at the United Nations and I still haven't gotten over the six billion dollars for five people.
[02:26:45.836 --> 02:26:46.556]  Six billion.
[02:26:46.556 --> 02:26:50.478]  They freed up six billion dollars for five people.
[02:26:50.478 --> 02:26:51.638]  They got five.
[02:26:51.638 --> 02:26:52.159]  We got five.
[02:26:52.159 --> 02:26:54.120]  It was a hostage swap.
[02:26:54.120 --> 02:26:54.840]  They got five.
[02:26:54.840 --> 02:26:55.420]  We got five.
[02:26:55.420 --> 02:26:56.321]  That was the good news.
[02:26:56.321 --> 02:27:00.903]  The bad news is they also got six billion
[02:27:03.580 --> 02:27:05.001]  And you say, how the hell?
[02:27:05.001 --> 02:27:06.801]  Who would do a deal like that?
[02:27:06.801 --> 02:27:07.701]  But they're all bad deals.
[02:27:07.701 --> 02:27:08.381]  They're all.
[02:27:08.381 --> 02:27:14.682]  So yesterday, Biden was speaking, and I won't even comment on the speech.
[02:27:14.682 --> 02:27:17.103]  But he said one thing that we got rid of our gas.
[02:27:17.103 --> 02:27:18.943]  You know, we have gas weapons and they're terrible.
[02:27:18.943 --> 02:27:19.543]  They're horrible.
[02:27:19.543 --> 02:27:23.644]  They're unbelievably lethal and powerful, but they're terrible.
[02:27:23.644 --> 02:27:26.725]  And he said that they basically ended all of it.
[02:27:26.725 --> 02:27:28.225]  They've gotten rid of them all.
[02:27:29.201 --> 02:27:33.843]  And then he sort of indicated that sadly other countries haven't followed suit.
[02:27:33.843 --> 02:27:36.245]  Of course they haven't followed suit.
[02:27:36.245 --> 02:27:42.027]  They haven't followed suit because you don't get rid of them first, you get rid of them last or simultaneously.
[02:27:42.027 --> 02:27:46.350]  So we got rid of this tremendous, horrible, lethal power that we need
[02:27:47.210 --> 02:27:50.472]  If other people have it, but other people didn't get rid of it.
[02:27:50.472 --> 02:27:51.953]  And I said, how stupid is this?
[02:27:51.953 --> 02:27:53.614]  How stupid is this?
[02:27:53.614 --> 02:27:56.596]  So it's gone from us, but other people have it.
[02:27:56.596 --> 02:27:58.597]  And it's just step by step, day by day.
[02:27:58.597 --> 02:28:03.020]  So with having these people in there, I mean, the only thing they're good at is cheating in elections.
[02:28:03.020 --> 02:28:03.700]  It's really true.
[02:28:03.700 --> 02:28:06.222]  In my opinion, they're professionals at cheating.
[02:28:06.222 --> 02:28:08.523]  And you've got to watch those elections very carefully.
[02:28:08.523 --> 02:28:10.104]  Now, that's funny stuff right there.
[02:28:10.104 --> 02:28:10.724]  That's good stuff.
[02:28:12.125 --> 02:28:15.567]  You run a good ship, but in some of these states, it's just horrible.
[02:28:15.567 --> 02:28:19.850]  It's just horrible when you look at what's happened.
[02:28:19.850 --> 02:28:21.732]  Thank you very much.
[02:28:21.732 --> 02:28:22.912]  Thank you very much.
[02:28:22.912 --> 02:28:23.993]  Well, thank you very much.
[02:28:23.993 --> 02:28:24.734]  I appreciate it.
[02:28:29.577 --> 02:28:32.719]  If you want to save America from the... You know, I have a script here.
[02:28:32.719 --> 02:28:34.019]  So far, I haven't looked down at it.
[02:28:34.019 --> 02:28:37.762]  I'm trying to... I'm saying, when am I going to look at this script?
[02:28:37.762 --> 02:28:43.305]  I have these brilliant speechwriters, and I tend not to use them too much, but it's better that way, isn't it?
[02:28:43.305 --> 02:28:46.526]  Isn't it nice when you have a president who doesn't have to read a script?
[02:28:46.526 --> 02:28:51.469]  Isn't that nice?
[02:28:51.469 --> 02:28:52.890]  So if you want to save America...
[02:28:54.073 --> 02:28:57.515]  From Crooked Joe and the Radical Left, then get out and be patient.
[02:28:57.515 --> 02:29:03.539]  My fellow patriots, the Trafecta has not been in stock for years.
[02:29:03.539 --> 02:29:13.225]  Many of these products have been sold out for years, but we've not had all three of them at once together at InfoWarsTore.com for 40% off.
[02:29:13.225 --> 02:29:22.611]  This is your best opportunity at the lowest price to support the broadcast, but more importantly, experience DNA Force Plus, Real Red Pill Plus, and Body's Ultimate Turmeric Formula.
[02:29:23.391 --> 02:29:28.513]  All three of these products are back in stock, right now, for a limited time, at 40% off.
[02:29:28.513 --> 02:29:35.215]  It would take me an hour to tell you about what's in DNA Force+, or Real Red Pill+, or Body's Ultimate Turmeric Formula.
[02:29:35.215 --> 02:29:42.938]  Go to InfoWarsTore.com, read about these products, find out why they're so game-changing, and get yours today.
[02:29:42.938 --> 02:29:49.360]  DNA Force+, Real Red Pill+, Body's Ultimate Turmeric Formula, all three back in stock,
[02:29:50.040 --> 02:29:58.125]  It's the Trifecta Sale, 40% off for a limited time at InfoWarsTore.com, and it keeps us on air.
[02:29:58.125 --> 02:30:06.270]  Omega-3 fatty acids are needed for optimal strength, and they can only be obtained through diet.
[02:30:06.270 --> 02:30:11.754]  They can be found in grass-fed beef, which is why the ruling class is trying to ban it.
[02:30:11.754 --> 02:30:16.717]  And they can be found in fish, which are arguably the best source of Omega-3s.
[02:30:18.078 --> 02:30:22.928]  But the problem today is finding fish without a high mercury content.
[02:30:22.928 --> 02:30:29.220]  Your best option is our Ultimate Fish Oil and Ultimate Krill Oil at InfowarsStore.com.
[02:30:30.464 --> 02:30:39.328]  Omega-3 fatty acids are essential for both our neurological and cardiovascular systems, our brain and our heart.
[02:30:39.328 --> 02:30:44.110]  They improve mood, mental clarity, and immune function.
[02:30:44.110 --> 02:30:49.252]  Get your essential Omega-3 fatty acids from the best sources available.
[02:30:49.252 --> 02:30:52.294]  Ultimate Fish Oil and Ultimate Krill Oil.
[02:30:52.294 --> 02:30:54.515]  Get some today at InfoWareStore.com.
[02:30:57.446 --> 02:31:08.989]  Naturally sourced from the finest hemp plants in America, Rebel Zen offers the absolute finest quality CBD available and at the lowest prices.
[02:31:08.989 --> 02:31:23.572]  Extracted using a cold-pressed technique to retain the molecular integrity of the cannabinoids and terpenes within the plant, this full-spectrum formula ensures that your nervous system gets the full benefits of CBD.
[02:31:24.792 --> 02:31:35.217]  Premium quality organic CBD like Rebel Zen has been shown to naturally reduce anxiety, relieve pain, and decrease inflammation.
[02:31:35.217 --> 02:31:43.300]  People have reported a reduction in symptoms of insomnia, arthritis, seizures, chronic pain, and epilepsy.
[02:31:43.300 --> 02:31:49.923]  Several studies have shown it helps to reduce cortisol, increase serotonin, and boost vitality.
[02:31:50.823 --> 02:31:53.546]  Order yours today at InfoWarsTore.com.
[02:32:12.225 --> 02:32:13.906]  Now, we're not selling guns and ammo.
[02:32:13.906 --> 02:32:16.888]  That's for you to go out and get for yourself and learn how to use if you haven't.
[02:32:16.888 --> 02:32:18.509]  And I'm preaching the choir on that.
[02:32:18.509 --> 02:32:23.452]  But a lot of people got plenty of guns, but they don't have enough storable food or water filtration.
[02:32:23.452 --> 02:32:25.173]  This is something you need now.
[02:32:25.173 --> 02:32:29.756]  And we've got it in the food department and in the high quality water filtration department.
[02:32:29.756 --> 02:32:35.459]  The highest quality food, the best water filtration at the lowest prices you're going to find and still get quality.
[02:32:35.459 --> 02:32:41.643]  Infowarsstore.com is running a special right now for 10% off on all storable food and on water
[02:32:41.943 --> 02:32:45.345]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:13.968 --> 02:33:20.514]  And now, the tip of the spear, leading the fight to take back the nation.
[02:33:20.514 --> 02:33:22.756]  It's Owen Troyer.
[02:33:22.756 --> 02:33:25.399]  You're listening to the Alex Jones Show.
[02:33:26.869 --> 02:33:28.752]  Alright, Trump is still speaking live.
[02:33:28.752 --> 02:33:33.257]  We do have some other political news and developments and maybe we'll cover that as well.
[02:33:33.257 --> 02:33:42.889]  But I want to go back to Trump speaking live in Iowa and he's saying some pretty interesting things and still giving us some humor value as well.
[02:33:42.889 --> 02:33:44.692]  So we go back to Donald Trump speaking in Iowa.
[02:33:46.781 --> 02:33:51.845]  And we've had the biggest inflation we've had in 52 years, so that's a lot of years.
[02:33:51.845 --> 02:33:53.086]  And it's been a lot of suffering.
[02:33:53.086 --> 02:33:56.368]  I see bacon is up six times, six times.
[02:33:56.368 --> 02:33:57.149]  Bacon.
[02:33:57.149 --> 02:33:58.110]  Who would think, right?
[02:33:58.110 --> 02:33:59.651]  So people aren't ordering bacon.
[02:33:59.651 --> 02:34:01.272]  Then they say, oh, it came down a little bit.
[02:34:01.272 --> 02:34:05.435]  Yeah, they're not ordering it, which is not good for you either, by the way.
[02:34:05.435 --> 02:34:06.596]  But they're not ordering it.
[02:34:06.596 --> 02:34:09.679]  But so many food products now are going up and through the roof.
[02:34:09.679 --> 02:34:11.400]  So we're going to stop it.
[02:34:11.400 --> 02:34:15.363]  And I just want to tell you that it's it's an honor to have
[02:34:16.189 --> 02:34:18.150]  been able to control inflation.
[02:34:18.150 --> 02:34:23.752]  And it wasn't that hard, because so much of it has to do with the energy sector.
[02:34:23.752 --> 02:34:25.373]  And we were going to be energy.
[02:34:25.373 --> 02:34:27.114]  We were actually energy independent.
[02:34:27.114 --> 02:34:29.075]  Nobody thought that was possible.
[02:34:29.075 --> 02:34:30.275]  We're energy independent.
[02:34:30.275 --> 02:34:31.056]  Just think of that.
[02:34:31.056 --> 02:34:33.497]  We didn't need for the first time ever.
[02:34:33.497 --> 02:34:34.998]  We didn't need anybody's energy.
[02:34:34.998 --> 02:34:36.438]  We didn't have to guard the Gulf.
[02:34:36.438 --> 02:34:38.219]  We didn't have to do anything.
[02:34:38.219 --> 02:34:43.341]  We had all you know, we have more liquid gold under our feet than any other nation by far.
[02:34:43.341 --> 02:34:43.762]  Think of it.
[02:34:44.847 --> 02:34:46.352]  Just think of how incredible that is.
[02:34:52.640 --> 02:34:56.321]  Under our leadership, we built almost 500 miles of wall.
[02:34:56.321 --> 02:34:58.802]  You know, they like to say, oh, it was really 58 miles.
[02:34:58.802 --> 02:34:59.663]  No, no.
[02:34:59.663 --> 02:35:00.263]  You know what they do?
[02:35:00.263 --> 02:35:02.564]  They take this, how vicious they are.
[02:35:02.564 --> 02:35:06.185]  And you see the wall, you see miles as far as the eye can see.
[02:35:06.185 --> 02:35:13.548]  We built almost, and I had to do it because we have Mitch McConnell working with the Democrats all the time, you know, which is a horror show.
[02:35:13.548 --> 02:35:14.869]  Horror, horror show.
[02:35:15.629 --> 02:35:17.272]  So I took it out of the military.
[02:35:17.272 --> 02:35:21.238]  I said, you know, this is an invasion of our country, and I'll take it out of the military.
[02:35:21.238 --> 02:35:22.279]  And we did that.
[02:35:22.279 --> 02:35:25.164]  And it was a tiny fraction for the military.
[02:35:25.164 --> 02:35:26.666]  And the military agreed with it.
[02:35:28.931 --> 02:35:36.137]  What they did is, in order to demean, because they always try, they're misinformation, disinformation, almost the same thing, by the way, close.
[02:35:36.137 --> 02:35:38.138]  Anybody want to give me a definition of the difference?
[02:35:38.138 --> 02:35:41.421]  Because it's almost, it's close enough we won't waste our time.
[02:35:41.421 --> 02:35:54.591]  But what happens is, if there was a two by four, 50 years old, laying there rotted, where there used to be a little wall, a little barricade or something, they'd say, oh, well, he didn't build a wall there, that was a renovation, even though we'd throw that junk out.
[02:35:54.591 --> 02:35:55.472]  We'd take down like,
[02:35:56.966 --> 02:36:03.950]  A one foot wall of wood that was rotted and gone and just literally gone and take it away.
[02:36:03.950 --> 02:36:10.954]  And then we put up 30 foot and 40 foot walls right all over all steel, everything that those walls.
[02:36:10.954 --> 02:36:11.874]  That's not what I wanted.
[02:36:11.874 --> 02:36:14.196]  I wanted to have concrete plank.
[02:36:14.196 --> 02:36:18.578]  But the people aboard a border patrol are fantastic people.
[02:36:18.578 --> 02:36:20.559]  And these are fantastic people.
[02:36:20.559 --> 02:36:21.520]  They don't get enough credit.
[02:36:22.648 --> 02:36:27.709]  And they say, sir, they say, sir, you have to you have to be able to see through it.
[02:36:27.709 --> 02:36:29.150]  You have to see who's on the other side.
[02:36:29.150 --> 02:36:36.071]  So that went my idea of plank, you know, like from a parking garage, you can do 60 feet, 50 feet plank.
