[00:00:00.249 --> 00:00:01.490]  Stay in anonymity.
[00:44:19.376 --> 00:44:25.241]  She knows, you know, she would know when this happened and then they called the lab and said, Oh yeah, they made a mistake.
[00:44:25.241 --> 00:44:26.362]  It did break.
[00:44:26.362 --> 00:44:27.143]  That's the kind of,
[00:44:28.208 --> 00:44:29.929]  Bullishness that you run into.
[00:44:29.929 --> 00:44:39.033]  Yeah, some of these lab techs are drug addicts because they like to get near the drugs and they're sitting there in the back just lazily listening to heavy metal music doing this stuff.
[00:44:39.033 --> 00:44:40.533]  There's a lot of mistakes.
[00:44:40.533 --> 00:44:44.895]  Well, it just goes to show they really do think that the parents don't know.
[00:44:44.895 --> 00:44:50.198]  You know, they think you're so stupid that you wouldn't know when this happened.
[00:44:50.198 --> 00:44:57.821]  Yeah, I assumed this was a young couple and they thought they could just railroad them over and plus they kept telling the young couple, oh just comply, everybody else does.
[00:44:59.082 --> 00:45:01.243]  Yeah, just go into the railway car.
[00:45:01.243 --> 00:45:03.404]  Everybody else does.
[00:45:03.404 --> 00:45:04.464]  I have a comment.
[00:45:04.464 --> 00:45:05.184]  I'm the grandmother.
[00:45:05.184 --> 00:45:07.425]  I misidentified myself earlier as the mother.
[00:45:07.425 --> 00:45:08.085]  I'm the grandmother.
[00:45:08.085 --> 00:45:16.768]  At the hearing, we had some evidence that was faxed into us at the last minute.
[00:45:16.768 --> 00:45:21.790]  They gave the parents 15 minutes notice that we had faxed into the hospital.
[00:45:22.509 --> 00:45:26.751]  Some information, there were three different reports written by medical doctors.
[00:45:26.751 --> 00:45:33.833]  One of the reports said that 75% of the screening tests for hepatitis C are false positive.
[00:45:33.833 --> 00:45:37.114]  And the other two reports had different figures.
[00:45:37.114 --> 00:45:39.735]  They were all very high, but the highest was 75%.
[00:45:39.735 --> 00:45:44.757]  And of course it turned out that she did not have the antibodies for it and did not have hepatitis.
[00:45:45.197 --> 00:45:47.618]  That's true, and we knew that.
[00:45:47.618 --> 00:45:56.963]  We knew that the people at risk for Hepatitis are people who have promiscuous sex, or handle blood, or do drugs, or any of those.
[00:45:56.963 --> 00:45:59.144]  Or have had a recent blood transfusion.
[00:45:59.144 --> 00:45:59.864]  Right.
[00:45:59.864 --> 00:46:04.486]  And our daughter and her husband, neither of them were at risk for any of those.
[00:46:04.486 --> 00:46:06.447]  The first time they kissed was at the marriage altar.
[00:46:08.290 --> 00:46:09.510]  They don't handle blood.
[00:46:09.510 --> 00:46:10.451]  They don't do drugs.
[00:46:10.451 --> 00:46:12.172]  They were not even at risk.
[00:46:12.172 --> 00:46:25.839]  I have another sister who is a medical doctor and told her about this and she said that they should not even begin treatment of a newborn for Hepatitis B until there are three confirmatory tests for Hepatitis B in the mother.
[00:46:25.839 --> 00:46:32.023]  Well, you've got a major lawsuit even though they've tried to refuse to give you the transcripts and just get on it.
[00:46:32.023 --> 00:46:32.863]  Do what you have to.
[00:46:32.863 --> 00:46:36.105]  Do it pro se if you have to and sue them personally.
[00:46:37.301 --> 00:46:51.632]  You know what's interesting, Alex, is the family has contacted all the legal Christian organizations out there, like the Rutherford Institute and some of the others, who are supposedly out there fighting for the liberties of Americans.
[00:46:51.632 --> 00:46:53.674]  All of them said, no, we're not going to help you.
[00:46:53.674 --> 00:46:58.858]  We don't think you have a case, or we can't help you.
[00:46:58.858 --> 00:47:02.661]  So we are talking to other attorneys, but the Christian organizations turned us down.
[00:47:05.168 --> 00:47:09.051]  Which makes me wonder what their real agenda is.
[00:47:09.051 --> 00:47:10.272]  Well, I think we know what it is.
[00:47:10.272 --> 00:47:12.673]  A lot of them are sold out to the New World Order.
[00:47:12.673 --> 00:47:13.674]  I think so.
[00:47:13.674 --> 00:47:14.615]  Absolutely.
[00:47:14.615 --> 00:47:16.776]  Anything else you want to add, Clint?
[00:47:16.776 --> 00:47:20.839]  Yeah, I was wondering if you wouldn't mind if I gave out a phone number.
[00:47:20.839 --> 00:47:29.485]  Here in my area of the country, we only have two options on AM radio right now, and that's Dresden Limbaugh between the hours of 11 and 2.
[00:47:30.982 --> 00:47:32.263]  And Bill O'Reilly.
[00:47:32.263 --> 00:47:37.406]  And Bill O'Reilly isn't doing so good, and I expect the other station to drop him.
[00:47:37.406 --> 00:47:43.991]  I was wondering if I could give out that station number to have listeners call in and request that they carry your show.
[00:47:43.991 --> 00:47:46.432]  What's the station call letters?
[00:47:46.432 --> 00:47:51.315]  K-A-P-E-A-M-1550 Cape Girardeau, Missouri.
[00:47:51.315 --> 00:47:52.916]  Sure, go ahead, give it out.
[00:47:52.916 --> 00:47:54.177]  Okay, it's very cool.
[00:47:54.177 --> 00:47:54.217]  573-339-1550.
[00:47:59.938 --> 00:48:05.242]  Now, you know if it's a Clear Channel owned station or a West Winds, you can forget it.
[00:48:05.242 --> 00:48:12.767]  Uh, well, uh... It's a local company, I think, called Withers Broadcast.
[00:48:12.767 --> 00:48:13.107]  Oh, okay.
[00:48:13.107 --> 00:48:14.108]  Well, that's good news.
[00:48:14.108 --> 00:48:14.348]  Sure.
[00:48:14.348 --> 00:48:15.709]  What's the number again?
[00:48:15.709 --> 00:48:20.232]  Uh, area code 573-339-1550.
[00:48:20.232 --> 00:48:25.436]  Please call and request station manager, Terry Alex Jones Show.
[00:48:25.436 --> 00:48:26.297]  Alright, sounds good.
[00:48:26.297 --> 00:48:27.157]  Thanks for the call.
[00:48:27.157 --> 00:48:27.478]  Thank you.
[00:48:28.982 --> 00:48:32.923]  Well, I appreciate Sarah Chase coming on the show.
[00:48:32.923 --> 00:48:39.985]  Sarah Chase and her family, and this is just an incredible story of what happens to educated Christian middle-class people.
[00:48:39.985 --> 00:48:45.886]  Imagine what's happening to blue-collar folks that have no idea what their rights are and weren't taught anything in school.
[00:48:45.886 --> 00:48:47.806]  It is an epidemic of evil.
[00:48:47.806 --> 00:48:52.127]  The child-grabbing services are all over the place and they attack at birth.
[00:48:52.127 --> 00:48:57.889]  You need to be aware of this and be informed and have a support group with you when you
[00:48:59.425 --> 00:49:01.068]  Go into one of these hospitals.
[00:49:01.068 --> 00:49:04.816]  And they're not all bad, but they're becoming bad because of the system and the training.
[00:49:04.816 --> 00:49:05.758]  Thanks for coming on the show.
