[00:00.000 --> 00:30.000]  That's the law required.
[01:35:01.580 --> 01:35:05.740]  there and i'm sure there'll be more events as well as as that develops uh daniel what were we
[01:35:06.140 --> 01:35:09.740]  talking about before we went to break there was some point and then you got cut off by the break
[01:35:09.740 --> 01:35:13.340]  yeah i was just wondering alex i mean with your with your intimate knowledge of the way that the
[01:35:13.340 --> 01:35:19.580]  media works and the way that they try to manufacture consent bound debate etc etc how is it possible
[01:35:19.580 --> 01:35:24.380]  they're marginalizing the opinions of such credible experts as you know robert bowman
[01:35:24.380 --> 01:35:29.100]  ray mcgovern and the list goes on i mean people who actually are in the know and whose opinions
[01:35:29.100 --> 01:35:33.740]  should be listened to again i said before we went to the break i can understand them ignoring
[01:35:33.740 --> 01:35:38.620]  somebody like me or marginalizing somebody like rosie o'donnell or charlie sheen even though they
[01:35:38.620 --> 01:35:44.700]  shouldn't but when it comes to the people who come from the institutions that people who worked
[01:35:44.700 --> 01:35:49.580]  inside the system who are coming out publicly saying 9 11 was an inside job how can they ignore
[01:35:49.580 --> 01:35:56.380]  those opinions i just don't understand that well uh operation uh operation mockingbird number one
[01:35:56.380 --> 01:36:02.700]  because going back to the 50s we have the cia documents where they brag about how they already
[01:36:02.700 --> 01:36:07.180]  controlled almost all the major newspapers all you've got to do is have the editor of the new
[01:36:07.180 --> 01:36:12.780]  york times the editor of the washington post uh or the sub editors at those key papers you'll
[01:36:12.780 --> 01:36:17.980]  have a whole nest of them key people inside cnn key i mean at fox it's open you've got
[01:36:17.980 --> 01:36:22.780]  on the board of directors viet den who uh you know wrote the first patriot act and
[01:36:22.780 --> 01:36:28.940]  torture memos contributed to torture memos i mean at fox it's just open you got tony snow
[01:36:29.020 --> 01:36:33.500]  you know the revolving door is the white house press secretary former fox contributor
[01:36:33.500 --> 01:36:40.140]  he'd co-host the rush limbaugh program so you've got fellow travelers with the elite system on the
[01:36:40.140 --> 01:36:44.460]  left and the right who are all controlled by the same uh you know private corporate structures
[01:36:44.460 --> 01:36:51.820]  then you've got cia then you've got thousands of top reporters who've been hired for pr campaigns
[01:36:51.820 --> 01:36:55.900]  then congress has ruled this illegal but the president continues and clinton was doing it but
[01:36:56.140 --> 01:37:00.140]  it's ballooned under bush and i'm sure into the next democratic president will get even worse
[01:37:00.140 --> 01:37:05.900]  that's just the process of billions in fake news and you've got the extreme examples of tommy
[01:37:05.900 --> 01:37:12.140]  franks getting 500 plus thousand a year after he got out of the military from the defense department
[01:37:12.140 --> 01:37:17.260]  in the cia contract to go around talking about how martial law is coming but you know that's what
[01:37:17.260 --> 01:37:21.580]  we have to have it's too bad i mean that's chilling folks they paid him to go out and
[01:37:21.580 --> 01:37:25.820]  say that on all these tv shows and at the time i said that guy's a spook
[01:37:25.820 --> 01:37:30.700]  i mean i saw him on the cover of cigar aficionado you know wearing cia cufflinks i mean it's a big
[01:37:30.700 --> 01:37:35.900]  joke to these people and they and they think it's all real funny and then you've got others who
[01:37:35.900 --> 01:37:41.180]  were just don't even really consciously think about it hey armstrong williams uh we want you to
[01:37:41.180 --> 01:37:48.380]  take 240 something thousand dollars just to go say as a black conservative uh that you're for
[01:37:48.380 --> 01:37:53.180]  a head start uh which is really just a big government program to cps the kids sounds good
[01:37:53.180 --> 01:37:57.420]  you know to help the kids but still it's big government why is bush doing it well it's it's
[01:37:57.420 --> 01:38:03.100]  corporate welfare it's control uh but the point is you know that's the lighter end of it i mean
[01:38:03.100 --> 01:38:10.300]  1.8 billion just in fake news for the prescription drug program uh we uh i added up just propaganda
[01:38:10.300 --> 01:38:15.020]  the first four years of his administration with the contracts we can find almost 25 billion in
[01:38:15.020 --> 01:38:20.860]  fake news brother that's how they're doing it but when a star comes out they know that they
[01:38:20.860 --> 01:38:27.100]  can't contain that even in the alternative media or in some of the b-tier and c-tier tabloids
[01:38:27.100 --> 01:38:32.940]  so they go ahead and try to use that as kind of a cultural zeitgeist to demonize it because they
[01:38:32.940 --> 01:38:38.220]  know there's a subconscious envy and general hatred in the public a love-hate relationship
[01:38:38.220 --> 01:38:42.540]  of anyone who's celebrity uh and so they try to act you know it's kind of like the thing with
[01:38:42.540 --> 01:38:46.060]  imus i hate imus don't like imus he certainly should have probably had some repercussions
[01:38:46.060 --> 01:38:50.700]  i don't know this much but again everybody kind of likes it because oh he's rich let's get him
[01:38:50.700 --> 01:38:55.580]  so i mean it's hard to even describe how this whole thing you know is this big cauldron that
[01:38:55.580 --> 01:39:02.540]  kind of uh mixes together uh but uh basically the it's being steered uh by and then of course the
[01:39:02.540 --> 01:39:07.500]  big corporate chiefs a lot of them may have an editor under him who's cia they're not cia they're
[01:39:07.500 --> 01:39:12.940]  members of the cfr where they all just get on the same because they have so many uh intersecting
[01:39:12.940 --> 01:39:17.740]  agendas in their empires that they have to get together and basically try to steer everything
[01:39:17.740 --> 01:39:23.660]  i mean i mean that's kind of a nutshell give me your take you know to be honest the reason why i
[01:39:23.660 --> 01:39:27.980]  asked you alex is because i really am having a hard time understanding it it's hard for me to
[01:39:27.980 --> 01:39:32.860]  conceive how uh you know without the inside knowledge that you have as i said of the way
[01:39:32.860 --> 01:39:38.060]  that the inner workings of the media uh operation mockingbird and the like uh it's just hard for me
[01:39:38.060 --> 01:39:46.220]  to conceive of how people whose whose whose uh opinions are so informed uh people who actually
[01:39:46.220 --> 01:39:50.860]  served and worked in the system if you have these people with that kind of a pedigree who are at
[01:39:50.860 --> 01:39:54.700]  least raising questions at the very least they're raising questions and in the most extreme cases
[01:39:54.700 --> 01:40:01.020]  they're actually pointing fingers um you know if this free the american free press needs to be
[01:40:01.020 --> 01:40:05.500]  absolutely ashamed of themselves the fact that they can just ignore these things or if they do
[01:40:05.500 --> 01:40:10.700]  address them address them in such an obviously biased and twisted way uh really just this is
[01:40:10.700 --> 01:40:16.220]  to me this is an eye-opener because i really i was aware of the uh you know the manufacturer of
[01:40:16.220 --> 01:40:19.980]  consent borrowing a title from noam chompsky i know you're not a big fan of his and i'm starting
[01:40:19.980 --> 01:40:25.420]  to have serious questions about him myself now well no i mean i i mean i read uh two of his books
[01:40:25.420 --> 01:40:33.340]  i watched one of his videos i've read a lot of his papers i i mean if somebody tells me 95
[01:40:33.340 --> 01:40:39.260]  truth but then gives me false solutions you know the un is going to save us well i'm sure there
[01:40:39.260 --> 01:40:43.740]  are good people at the un who mean well at the mid level and the low level it's like the red cross
[01:40:43.740 --> 01:40:49.020]  i'm not against the red cross itself they're good people in it the leadership is corrupt
[01:40:49.020 --> 01:40:54.300]  and knowingly collected blood with aids and hepatitis in it and knowingly sold it for blood
[01:40:54.300 --> 01:41:00.300]  products you know and knowingly steals a lot of the money for themselves so noam chompsky puts
[01:41:00.300 --> 01:41:05.260]  out a lot of good info it's just that when it comes to 9-11 i got a clip of him he said so what
[01:41:05.260 --> 01:41:10.860]  even if it's true so what well what is he talking about i saw that that was a jaw dropper i couldn't
[01:41:10.860 --> 01:41:16.380]  believe he said that because i mean i had been i had read a number of his books i had seen uh
[01:41:16.380 --> 01:41:21.020]  he's done you know most famous documentary manufacturing consent and some others and once
[01:41:21.020 --> 01:41:25.260]  i started doing my own 9-11 research my media i was like oh i wonder what norm chompsky has
[01:41:25.260 --> 01:41:28.860]  to say about this he's probably going to have something scintillating something penetrating to
[01:41:28.860 --> 01:41:34.300]  say about it and to hear him say that it doesn't matter i mean i was like what does he does he
[01:41:34.300 --> 01:41:39.980]  really mean that is he who does this guy work for who who's book reading well he knows it he
[01:41:39.980 --> 01:41:46.540]  knows 9-11 truth threatens the entire structure and you see the left a lot of these guys that
[01:41:46.540 --> 01:41:50.060]  you know are elitist but they delude themselves they can sleep with themselves at night so they
[01:41:50.060 --> 01:41:55.340]  can get rest so they don't feel guilty well yeah there is always an elite but we need a
[01:41:55.340 --> 01:42:02.940]  loving guided you know kind of uh plato elite uh that uh understands and that and then they just
[01:42:02.940 --> 01:42:09.420]  argue over who's going to run the power levers you see well you know i think that's one of the
[01:42:09.420 --> 01:42:15.100]  reasons why it's really important that we have people like you doing the work you're doing uh
[01:42:15.100 --> 01:42:19.500]  other people that you often mention on your show gary franchi at lone lantern uh mark dice with
[01:42:19.500 --> 01:42:24.380]  his resistance radio erin russo coming out and making these very important films i mean it really
[01:42:24.380 --> 01:42:29.020]  is important that uh people uh as you've said a number of times stop waiting for orders from
[01:42:29.020 --> 01:42:34.380]  headquarters and just join this leaderless resistance of spreading the truth i mean 9-11
[01:42:34.380 --> 01:42:39.580]  is a water station watershed issue for so many reasons um not the least of which is the larger
[01:42:39.580 --> 01:42:44.940]  issues towards which it points uh and it's a perfect you know they really left themselves
[01:42:44.940 --> 01:42:49.420]  overexposed here they really really did with this particular thing i think their hubris got the
[01:42:49.420 --> 01:42:53.980]  best of them and we now you know it's that proverbial soft spot up on the belly of the
[01:42:53.980 --> 01:43:00.300]  dragon we have to take this opportunity to reveal this horrific truth so that we can then go forward
[01:43:00.300 --> 01:43:04.940]  and dismantle all these other horrific truths of which this is but the most obvious precursor
[01:43:04.940 --> 01:43:09.900]  i totally agree but there's also a converse or the reverse of that or i guess the mirror image of
[01:43:09.900 --> 01:43:16.220]  that not only use 9-11 to break up on all the other truths but if you go okay did the government let
[01:43:16.220 --> 01:43:19.980]  black men die of and that evidence shows gave them syphilis when they didn't have enough test
[01:43:19.980 --> 01:43:25.260]  subjects and then allowed them to spread it to literally hundreds of thousands with the tuskegee
[01:43:25.260 --> 01:43:31.100]  experiment over 45 years in tuskegee alabama and surrounding states did the government radiate
[01:43:31.100 --> 01:43:36.380]  tens of thousands of american children in nuclear testing did they know asian orange would do this
[01:43:36.380 --> 01:43:45.340]  and they still used it did they in operation gladio engulf of tonkin and with the uss liberty
[01:43:45.340 --> 01:43:50.380]  and ajax and iran did our government stage attacks or claim attacks happen that didn't happen
[01:43:50.380 --> 01:43:55.340]  you see there's so many so many admissions in history where this has already gone on that's
[01:43:55.340 --> 01:43:59.500]  what i do with my film terror storm is we start i don't know if you've seen that film but we start
[01:43:59.500 --> 01:44:05.580]  out uh daniel showing over those that haven't seen it showing the admitted examples what does
[01:44:05.580 --> 01:44:09.260]  you think of terror storm oh i thought it was fantastic i mean you know and one of the reasons
[01:44:09.260 --> 01:44:15.820]  why it's so important is that it gives you uh gives it shows the the precedent setting either
[01:44:15.820 --> 01:44:20.300]  events or plans that have been made but were not actually carried out as in the case with operation
[01:44:20.300 --> 01:44:26.140]  northwood it just speaks to you know the types of minds that we are dealing with the kind of things
[01:44:26.140 --> 01:44:30.460]  that they will either do or that they will entertain doing in order to advance an agenda
[01:44:30.460 --> 01:44:35.820]  and it does not stop short of murdering civilians it does not stop short of attacking soft targets
[01:44:35.820 --> 01:44:40.860]  and you know as you say uh you know firefighters carrying dead children in their arms as in the
[01:44:40.860 --> 01:44:44.940]  case with the oklahoma city bombing is something that does get the public really really upset
[01:44:44.940 --> 01:44:51.260]  and willing to do almost anything to protect what they perceive to be security so you've looked at
[01:44:51.260 --> 01:44:57.420]  oklahoma what's your view on that um you know i i i don't want to i actually have not done
[01:44:57.420 --> 01:45:02.380]  as even a tenth of the research on the oklahoma city bombing as i have done on 9 11 so i i'm
[01:45:02.380 --> 01:45:07.180]  afraid i can't really speak with any real you know in with a very informed opinion on it you've
[01:45:07.180 --> 01:45:13.180]  got questions at all serious questions serious questions i mean starting with the i'd following
[01:45:13.180 --> 01:45:17.900]  the pattern that i uh the the uh the path that i took with 9 11 i started in the oklahoma city
[01:45:17.900 --> 01:45:24.460]  bombing uh my research regarding that with um just the physical inconsistencies the physical
[01:45:24.460 --> 01:45:30.300]  evidence you know how does a a truck filled with fertilizer uh you know create the kind of damage
[01:45:30.300 --> 01:45:34.780]  that you saw there in the wreckage of the oklahoma city bombing uh what about uh i don't
[01:45:34.780 --> 01:45:37.980]  remember the woman her name but you've mentioned that there's a woman who worked in the building
[01:45:37.980 --> 01:45:43.020]  who saw these guys dressed up and you know uh i don't know hazmat suits or something with sticks
[01:45:43.020 --> 01:45:48.460]  of grape butter yeah jane graham you know i mean you know uh again i haven't done a lot of research
[01:45:48.460 --> 01:45:53.260]  into that but sounds just as suspicious in many of the very same ways you can see the same
[01:45:53.260 --> 01:45:58.460]  fingerprints all over that job uh as we find all over the 9 11 inside well i mean the point i made
[01:45:58.460 --> 01:46:02.620]  yesterday is really elementary but it needs to be made again and because i i mean a lot of us
[01:46:02.620 --> 01:46:06.460]  don't consciously think about the different mindset of the military leadership and and that's
[01:46:06.460 --> 01:46:10.780]  definitely the type of mind you know the type of mo uh the type of individuals we're talking about
[01:46:10.780 --> 01:46:18.140]  i mean they'll send 10 20 000 troops into a uh battle uh into a position that's untenable or
[01:46:18.140 --> 01:46:24.860]  undefended just to suck in the enemy to attack them and i mean that's just a 101 no guilt goes
[01:46:24.860 --> 01:46:31.100]  into it no thought goes into it no remorse goes into it it's a no-brainer it's military tactics
[01:46:31.100 --> 01:46:37.260]  it's what you do in in big battle settings and so for that same mindset those same individuals
[01:46:37.260 --> 01:46:42.940]  is it any stretch to think that they would kill 3 000 americans and and others who were there
[01:46:42.940 --> 01:46:49.740]  but the majority were americans on 9 11 at the pentagon and in new york city at the towers to
[01:46:49.740 --> 01:46:55.260]  get their whole new world order agenda basically cemented and get that foundation in place and then
[01:46:55.260 --> 01:47:02.540]  you've got the answer right there yeah yeah wow just don't say that it really is even at this
[01:47:02.540 --> 01:47:07.580]  point for me such a hard hole to swallow but you know no matter how much my uh there's a certain
[01:47:07.580 --> 01:47:14.380]  part of me that reacts against this not daunting knowledge uh i cannot ignore well that's number
[01:47:14.380 --> 01:47:17.340]  one because you're subconscious and the same with me i'm not saying you're afraid but you're
[01:47:17.340 --> 01:47:22.620]  subconscious senses the danger you like pull back from the flame uh the only way to defeat
[01:47:22.620 --> 01:47:25.580]  this flame is to grab it and smother and it's going to hurt it first but we're going to be
[01:47:25.580 --> 01:47:30.060]  consumed by it we don't so we've got to just grapple with it and then secondarily you wouldn't
[01:47:30.060 --> 01:47:35.740]  behave like that that isn't in your code that isn't in your heart and soul and so it's just so alien
[01:47:35.740 --> 01:47:40.300]  but i mean it's alien to think that ted monday would convince young women to get in the car
[01:47:40.300 --> 01:47:43.980]  with him so you could go tie them down and buy chunks out of them for five hours before he raped
[01:47:43.980 --> 01:47:47.820]  them and killed them exactly exactly you know it's really hard to believe that there are people
[01:47:47.820 --> 01:47:51.100]  out there in the world like that and you don't want to believe that they have their hands
[01:47:51.100 --> 01:47:56.220]  on the reins of power of your country but that is uh that is the horrible reality to which we are
[01:47:56.220 --> 01:48:00.540]  waking up but for them it isn't the you know the enjoyment i guess biting the chunks out i mean
[01:48:00.540 --> 01:48:05.180]  certainly some of them have that same mindset it's just cold-blooded as you know we always sacrifice
[01:48:05.180 --> 01:48:10.860]  people there's too many of them anyways you know yeah exactly according to according to some people
[01:48:10.860 --> 01:48:14.540]  well that's their whole religion and when you study prince burnhard and philip and
[01:48:14.540 --> 01:48:19.180]  all this scum let's take a quick call here let's talk to george george where you're calling us from
[01:48:19.180 --> 01:48:26.300]  today i'm from indiana welcome you're on the air with our guest go ahead thank you alex uh
[01:48:26.300 --> 01:48:31.500]  uh three things on 9 11 i was wondering there are two things on 9 11 and then a comment uh
[01:48:31.500 --> 01:48:37.580]  did they ever have any more information on the stolen 9 11 steel bob or mafia took or something
[01:48:37.580 --> 01:48:43.260]  well i mean they they cut it all up but but gps trackers on it wouldn't let the people
[01:48:43.260 --> 01:48:47.020]  stop even have lunch when they took it to the ships and most of it was taken to china
[01:48:47.020 --> 01:48:52.700]  some to south korea uh but now they found some in warehouses the government kept for some reason
[01:48:52.700 --> 01:48:57.420]  and we've been able to get samples from those and that shows that there are the the explosive
[01:48:57.420 --> 01:49:01.900]  compounds in their thermate uh do you want to comment on that daniel uh i don't know much
[01:49:01.900 --> 01:49:06.780]  about it i i'm uh actually it's new information to me the fact that they've actually found samples
[01:49:06.780 --> 01:49:11.180]  that were kept certainly fits the mo of criminals you know they just can't help themselves they have
[01:49:11.180 --> 01:49:16.540]  to keep some trinket of their you know trophy yeah some kind of trophy uh from the murder
[01:49:17.260 --> 01:49:22.540]  but um yeah you know alex have those samples that have been found actually have we been
[01:49:22.540 --> 01:49:26.300]  professed example for example has professor steven jones been given access to those samples
[01:49:26.300 --> 01:49:30.780]  has he actually let me be clear yeah there were several sites there's over 20 of them in the
[01:49:30.780 --> 01:49:35.900]  country one and i'll just tell you is in michigan one another's in new jersey another's in new york
[01:49:35.900 --> 01:49:41.420]  he's got lots of other samples and some of them we've been able to uh get from inside sources
[01:49:41.420 --> 01:49:46.460]  and we've seen the video tape that they shot of a couple warehouses in new york that does still
[01:49:46.460 --> 01:49:52.460]  have some of the steel and i really can't get into how we're getting this and i mean i mean i've just
[01:49:52.460 --> 01:50:00.860]  been told this by good sources sure sure sure sure another thing um uh i know doing an autopsy now
[01:50:00.860 --> 01:50:06.620]  might be difficult to see if uh there was a thermite or thermite left in a body but
[01:50:06.620 --> 01:50:13.500]  they could uh resume a dog and do a uh do an autopsy on that dog and see if there's
[01:50:13.500 --> 01:50:17.180]  thermite in the lung of that dog that had to breathe it i mean well i mean in court
[01:50:17.180 --> 01:50:24.380]  order for that there were femur bones blown 100 200 yards plus they found thousands of body parts
[01:50:24.380 --> 01:50:29.260]  they just found more last week week before that i mean bones were being blasted out of bodies these
[01:50:29.260 --> 01:50:33.660]  explosions were so big again if a building collapses number one it wouldn't fly out hundreds
[01:50:33.660 --> 01:50:39.260]  of yards number one i mean number two it wouldn't all be burned to a crisp uh and so all there was
[01:50:39.260 --> 01:50:43.660]  was little bitty body parts unless you know a few pieces that got excuse me even talking about this
[01:50:43.660 --> 01:50:47.740]  for family members that listen you know blown across the street i mean it's just like oklahoma
[01:50:47.740 --> 01:50:51.340]  city you got a truck bomb that supposedly blows into the building but the building blows out and
[01:50:51.340 --> 01:50:56.620]  blows chunks of it the opposite direction the truck bombs main blast on top of buildings across
[01:50:56.620 --> 01:51:02.460]  the street i mean it's just it's just it's so sloppy how they do this but again they count on
[01:51:02.460 --> 01:51:08.140]  us just buying into all of it thanks for the call rory you're up next and we keep our guests another
[01:51:08.140 --> 01:51:12.700]  five minutes into the next segment take a few more calls than let him go i've got to get him up again
[01:51:12.700 --> 01:51:18.620]  in the near future i know he is a very busy individual and daniel sanjata is his name
[01:51:18.620 --> 01:51:25.420]  you can check out his tv program right there on the fx channel on cable it's called rescue me
[01:51:25.420 --> 01:51:26.540]  we'll be right back
[01:51:33.500 --> 01:51:37.020]  it's here after a year in production and traveling to distant lands
[01:51:37.020 --> 01:51:41.820]  my new film terror storm is complete shocking declassified government documents prove that
[01:51:41.820 --> 01:51:45.900]  western governments are orchestrating terror attacks against their own populations as a
[01:51:45.900 --> 01:51:52.060]  pretext to enslave them terror storm proves that not only was 9 11 an inside job but the attacks
[01:51:52.060 --> 01:51:56.700]  of 7 7 in london were carried out by british intelligence terror storm chronicles the lies
[01:51:56.700 --> 01:52:02.460]  that took us to war in iran the white house program to disseminate fake news nsa spying
[01:52:02.460 --> 01:52:08.300]  secret police torture the latest 9 11 information and much much more terror storm is the definitive
[01:52:08.300 --> 01:52:13.100]  guide to the history of government sponsored terrorism it's an anthology of government crimes
[01:52:13.100 --> 01:52:18.460]  terror storm is a film that everyone who wants to be truly informed must see get your copy today
[01:52:18.460 --> 01:52:26.060]  on info wars.com or prison planet.com or by calling toll free 1-888-253-3139
[01:52:26.060 --> 01:52:33.180]  or watch it right now online at prison planet.tv introducing the most efficient gravity filter
[01:52:33.180 --> 01:52:38.220]  available you know if you were to throw 100 ball bearings at a magnet most would bounce off but
[01:52:38.220 --> 01:52:42.940]  if you place them on the magnet all would stick the same principle applies in water filtration
[01:52:42.940 --> 01:52:47.580]  most filtration systems force water through the filter at 60 to 90 psi
[01:52:47.580 --> 01:52:52.300]  causing water molecules to race through the filter in less than a second the brookie light
[01:52:52.300 --> 01:52:57.340]  is different water molecules take five to ten minutes to pass through the torturous path of
[01:52:57.340 --> 01:53:02.780]  the self-sterilizing filters this allows the proprietary media formulation to remove and
[01:53:02.780 --> 01:53:08.700]  reduce pathogenic bacteria cysts chemicals herbicides pesticides organic solvents foul
[01:53:08.700 --> 01:53:14.860]  tastes odors heavy metals and nitrates it is so powerful it purifies raw untreated water from
[01:53:14.860 --> 01:53:20.940]  remote lakes streams and stagnant ponds get the advanced berkey life purifier for only 279 dollars
[01:53:20.940 --> 01:53:28.060]  by calling new millennium triple 8-8-0-3-4-4-3-8 or order on the web at berkeywater.com not yet
[01:53:28.060 --> 01:53:34.300]  available in iowa hello friends alex jones here i want you to imagine waking up one morning to
[01:53:34.300 --> 01:53:39.420]  find out you've been burglarized an intruder has taken your personal possessions credit card
[01:53:39.420 --> 01:53:45.180]  numbers social security cards banking information and more all in the hands of a total stranger
[01:53:45.180 --> 01:53:50.300]  what's worse is you realize he got it through your front door because you left it unlocked
[01:53:50.300 --> 01:53:54.220]  every time you walk away from your computer leaving your internet connection on you are
[01:53:54.220 --> 01:53:59.660]  virtually inviting hackers criminals and big brother to access your personal information
[01:53:59.660 --> 01:54:04.940]  put a stop to this right now with the net seven network security switch from net seven
[01:54:04.940 --> 01:54:10.700]  technologies turn your internet on and off with one simple switch there's no software to load
[01:54:10.700 --> 01:54:16.220]  and it's so easy to install right now you can order your net seven security switch from net
[01:54:16.220 --> 01:54:21.980]  seven technologies for only 39.95 for a limited time receive free shipping with your order
[01:54:21.980 --> 01:54:29.260]  visit net7tech.com that's net the number seven tech.com and start protecting yourself today
[01:54:31.180 --> 01:54:46.300]  he's the t-rex of political talk alex jones on the gcn radio network
[01:54:52.860 --> 01:54:58.300]  well hopefully next time i'm in new york i'll get a chance to meet uh daniel sanjata in person just
[01:54:58.300 --> 01:55:03.660]  you can tell what a personable and intelligent uh fella he is and why he's got all the girls
[01:55:03.660 --> 01:55:07.980]  swooning over him one of the people magazine one of the best looking people in america
[01:55:07.980 --> 01:55:11.420]  i just thought i'd throw that out there talk about total pop ladies and gentlemen
[01:55:12.140 --> 01:55:17.100]  but uh you can uh dale before we take a few final calls how do folks tune into your television show
[01:55:17.820 --> 01:55:21.180]  our show again i you know i just want to say and i know you know this alex i didn't really
[01:55:21.180 --> 01:55:27.580]  come on the show to necessarily plug rescue me but why not uh well i mean it's the show
[01:55:27.580 --> 01:55:31.980]  when we come back on the air i believe it's tuesday nights at nine or ten and sometimes
[01:55:31.980 --> 01:55:36.380]  you know listings change so i would i guess tell your your viewers i guess check their local
[01:55:36.380 --> 01:55:41.180]  listings or what have you but um you know i think that it has in terms of most of what's on
[01:55:41.180 --> 01:55:47.580]  television i think that there's an inherent social relevance to rescue me's premise uh and uh i mean
[01:55:47.580 --> 01:55:52.780]  i would love to see them address this directly although uh you know as fx is a subsidiary of
[01:55:52.780 --> 01:55:57.580]  fox i don't know if that will happen necessarily then you're you're rocco on the show for those
[01:55:57.580 --> 01:56:03.500]  who don't know yeah franco franco franco i was going for mango it's okay um yeah i don't watch
[01:56:03.500 --> 01:56:09.260]  a lot of tv myself but uh yeah that's that's when our show comes on and um you know i just hope that
[01:56:09.260 --> 01:56:14.220]  uh the fact that we're representing these guys on television will lend some maybe draw somebody's
[01:56:14.220 --> 01:56:17.980]  attention you know if they hear me say something about 9 11 being an inside job i really hope
[01:56:17.980 --> 01:56:21.580]  they'll do their own research that they'll go to infowars.com that they'll pick up a copy of
[01:56:21.580 --> 01:56:27.100]  terror storm or 9 11 mysteries or or any of the great documentaries that have been made exposing
[01:56:27.100 --> 01:56:31.820]  the inside job that 9 11 obviously was and you know research well fantastic and i totally agree
[01:56:31.820 --> 01:56:36.860]  with you uh one last question i should ask this before i mean when did you wake up to 9 11.
[01:56:37.420 --> 01:56:42.700]  you know it didn't happen immediately you know my best friend joey uh he actually on the day was
[01:56:42.700 --> 01:56:45.980]  like that looked like an inside that he didn't say it looked like an inside job but he said
[01:56:45.980 --> 01:56:49.580]  these buildings looked like those things were brought down by controlled demolition he said
[01:56:49.580 --> 01:56:53.820]  it from the very beginning and i was like no i mean i kind of thought that it was just and i had
[01:56:53.820 --> 01:56:58.380]  known that i knew at that point about america's horrific history in terms of our foreign military
[01:56:58.380 --> 01:57:02.940]  and economic policy and i kind of looked at it uh as chickens coming home to roost in a certain
[01:57:02.940 --> 01:57:08.860]  sense uh even the targets made sense from that perspective but over time you know there i would
[01:57:08.860 --> 01:57:13.580]  hear a little bit of this i hear a little bit of that and i started you know the concern started
[01:57:13.580 --> 01:57:18.060]  welling up within me and i don't remember the exact moment but it was something about charlie
[01:57:18.060 --> 01:57:23.100]  sheen having coming out having uh come out publicly and then you know it's kind of a
[01:57:23.100 --> 01:57:28.940]  confluence of circumstances and coincidences i also remember you appearing in one of my favorite
[01:57:28.940 --> 01:57:33.740]  films by richard link later waking life didn't even know who you were when i saw the film but
[01:57:33.740 --> 01:57:37.500]  in hindsight uh when i was putting all these pieces together i was like oh
[01:57:37.500 --> 01:57:41.660]  that's the that was alex jones and then i you know listened to the radio that you conducted
[01:57:41.660 --> 01:57:45.740]  with charlie and it kind of took off from there for me i started then doing my own research and
[01:57:45.740 --> 01:57:51.820]  just had my mind blown day well and well what you're telling us dovetails i mean fits perfectly
[01:57:51.820 --> 01:57:56.700]  with with a paradigm i've seen and and it was the time charlie came along it was what 9-11 truth
[01:57:56.700 --> 01:58:01.820]  had already grown to and people really resonated with his courage because of his baggage and other
[01:58:01.820 --> 01:58:07.340]  things you know knowing that he hadn't you know a lot to lose doing this and it really did trigger
[01:58:07.340 --> 01:58:11.980]  a chain reaction and then it was his idea to have the conference that got put on c-span four times
[01:58:11.980 --> 01:58:17.340]  built a big audience by the fourth showing all the other things that happened uh and and that's
[01:58:17.340 --> 01:58:24.540]  now caused rosie and ebersole and so many others to go public and and me and brolin and yourself
[01:58:24.540 --> 01:58:29.740]  and and then now all these pilots and all these cia people and all these other folks are there
[01:58:29.740 --> 01:58:35.500]  is a mass exodus out of the lie into the truth and again sir i think you're actually early on
[01:58:35.500 --> 01:58:40.380]  uh in the avalanche uh that we're going to be seeing it looks like an avalanche now but i assure
[01:58:40.380 --> 01:58:45.660]  you uh if things continue it's going to be even bigger so daniel i really want to thank you for
[01:58:45.660 --> 01:58:49.420]  coming on with us and i look forward to talking to you again in the near future absolutely thank
[01:58:49.420 --> 01:58:53.100]  you for having me alex and god bless you for all the work you're doing be well god bless you
[01:58:53.100 --> 01:58:56.540]  domina uh put you on hold here and give you a phone number here in a second for william
[01:58:56.540 --> 01:59:01.900]  rodriguez because he would like to talk to you and again thank you daniel daniel sanjata spent
[01:59:01.900 --> 01:59:05.180]  an hour with us we appreciate it all right i promise i'll get your calls out of the way
[01:59:05.180 --> 01:59:11.660]  been holding a while we start the next hour then i'll cover tons of news stay with me order a copy
[01:59:11.660 --> 01:59:17.740]  of this show for your friends and family at gcnlive.com or call 877-300-7645
[01:59:21.260 --> 01:59:26.140]  do you know where the 78 potentially active volcanoes in us are located and do you know
[01:59:26.140 --> 01:59:30.780]  the locations of the top 300 prime terrorist targets you can find these answers and more in
[01:59:30.780 --> 01:59:36.620]  the new interactive cd book prudent places usa with the more than 50 interactive parameters you
[01:59:36.620 --> 01:59:41.980]  can pinpoint natural and man-made disaster areas brewing environmental catastrophes the safest
[01:59:41.980 --> 01:59:47.180]  cities the best places for solar and wind energy and much much more complete with three gigabytes
[01:59:47.180 --> 01:59:52.620]  of detailed information on each of 3 000 plus counties in the us including five as well as
[01:59:52.620 --> 01:59:59.180]  details to help you zero in on the best places to live the ideal location for cabins and vacation
[01:59:59.180 --> 02:00:05.900]  homes as well as safe and unsafe areas get prudent places usa for only 29 dollars plus shipping by
[02:00:05.900 --> 02:00:15.740]  calling new millennium at 888-803-4438 that's 888-803-4438 to order on the web or at berkeywater.com
