[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[2:10:12.280 --> 2:10:22.280]  It was not my whole stack of research on the nano magneto injections, please.
[2:10:22.280 --> 2:10:32.280]  We had a big stack on that and that's key to understanding all this because they describe the neuron chemo development
[2:10:32.280 --> 2:10:36.280]  and how they will feed insects the drugs and then we will eat the insects.
[2:10:36.280 --> 2:10:42.280]  And then the regulators are set where they don't count an insect as a drug even though it's fed the drug.
[2:10:42.280 --> 2:10:44.280]  You understand how this works?
[2:10:44.280 --> 2:10:47.280]  And so that's how they're going to be able to feed all of you this.
[2:10:47.280 --> 2:10:52.280]  And then if they test it, they go, oh, well, that was just in the insect.
[2:10:52.280 --> 2:10:56.280]  So the food that can feed and maybe save the planet bugs.
[2:10:56.280 --> 2:10:57.280]  That's right.
[2:10:57.280 --> 2:10:58.280]  You're going to drink sewage.
[2:10:58.280 --> 2:10:59.280]  Bill Gates said you're going to eat bugs.
[2:10:59.280 --> 2:11:04.280]  Bill Gates said Claw Schwab said it goes on and on and on from there.
[2:11:04.280 --> 2:11:12.280]  So let's go ahead and roll this clip from CNN with them eating the bugs.
[2:11:12.280 --> 2:11:19.280]  Across the country, billions, trillions of cicadas are making their appearance after spending the last 17 years underground.
[2:11:19.280 --> 2:11:24.280]  And no one is more excited to see these winged insects make their debut than my next guest.
[2:11:24.280 --> 2:11:27.280]  You cannot wait to put them on his menu.
[2:11:27.280 --> 2:11:28.280]  That is right.
[2:11:28.280 --> 2:11:29.280]  Joining me now is Bun Lai.
[2:11:29.280 --> 2:11:32.280]  He is a recipient of the White House Champion of Change Award.
[2:11:32.280 --> 2:11:37.280]  He is also the chef of Mia's, which is the first sustainable sushi restaurant in the world.
[2:11:37.280 --> 2:11:39.280]  Bun, thank you for being with us.
[2:11:39.280 --> 2:11:43.280]  Well, thank you for skipping breakfast and getting ready for this experience.
[2:11:43.280 --> 2:11:44.280]  I am ready.
[2:11:44.280 --> 2:11:46.280]  Well, no, I'm not really ready.
[2:11:46.280 --> 2:11:47.280]  I have to be honest.
[2:11:47.280 --> 2:11:48.280]  Okay.
[2:11:48.280 --> 2:11:51.280]  This is sort of, I haven't actually eaten a bug since I was three when I had a spider.
[2:11:51.280 --> 2:11:52.280]  Okay.
[2:11:52.280 --> 2:12:00.280]  Well, first of all, I'm really psyched about the whole trillions of cicada coming out for brood 10 because it's getting so much press and nature is getting pressed.
[2:12:00.280 --> 2:12:04.280]  So there's all sorts of important issues that this becomes a platform for.
[2:12:04.280 --> 2:12:09.280]  So eating insects is really the future and it's been the past of humanity as well.
[2:12:09.280 --> 2:12:10.280]  All right.
[2:12:10.280 --> 2:12:12.280]  So let's talk about what we're going to do here today.
[2:12:12.280 --> 2:12:14.280]  You walked me through this fun.
[2:12:14.280 --> 2:12:15.280]  Sure.
[2:12:15.280 --> 2:12:17.280]  So we got some insects right here.
[2:12:17.280 --> 2:12:18.280]  Some cicadas.
[2:12:18.280 --> 2:12:19.280]  Okay.
[2:12:19.280 --> 2:12:21.280]  Basically, let me come back to everyone you want to eat.
[2:12:21.280 --> 2:12:28.280]  When we come back, I'm going to get to the rest of this and then we'll go to your calls because this is really important because he's saying what your future is.
[2:12:28.280 --> 2:12:30.280]  Your future is no nuclear families.
[2:12:30.280 --> 2:12:32.280]  Your future is sterilized males.
[2:12:32.280 --> 2:12:33.280]  Your future is eating bugs.
[2:12:33.280 --> 2:12:36.280]  Well, who is it that always tells me what the future is?
[2:12:36.280 --> 2:12:38.280]  Well, that's your dictator.
[2:12:38.280 --> 2:12:40.280]  And that's what this is all about.
[2:12:40.280 --> 2:12:42.280]  The dystopia of their building.
[2:12:42.280 --> 2:12:44.280]  They can get you to take a deadly vaccine.
[2:12:44.280 --> 2:12:45.280]  Assignment of vaccine.
[2:12:45.280 --> 2:12:46.280]  They can get you to eat bugs.
[2:12:46.280 --> 2:12:47.280]  You're in a cult.
[2:12:47.280 --> 2:12:48.280]  You're in a cult.
[2:12:48.280 --> 2:12:49.280]  You're in a cult.
[2:12:49.280 --> 2:12:55.280]  We'll be right back.
[2:12:55.280 --> 2:12:57.280]  Your voice counts.
[2:12:57.280 --> 2:13:02.280]  When you share information, be it over the Internet or in person, it changes the world.
[2:13:02.280 --> 2:13:05.280]  The globalists know their agenda is unpopular.
[2:13:05.280 --> 2:13:06.280]  They know you're angry.
[2:13:06.280 --> 2:13:12.280]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[2:13:12.280 --> 2:13:23.280]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows and special reports and share them with everyone you know.
[2:13:23.280 --> 2:13:33.280]  Take action now by texting the word news in EWS to 833-470-0438.
[2:13:33.280 --> 2:13:35.280]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[2:13:35.280 --> 2:13:42.280]  Or text the word show to 833-470-0438 and receive live show notifications.
[2:13:42.280 --> 2:13:43.280]  Take action now.
[2:13:43.280 --> 2:13:46.280]  Create the chain reaction until others share those texts.
[2:13:46.280 --> 2:13:53.280]  Get news alerts at 833-470-0438.
[2:14:16.280 --> 2:14:21.280]  Normally $29.99, but reduced to $19.99, so hurry while supplies last.
[2:14:21.280 --> 2:14:23.280]  And receive a bonus.
[2:14:23.280 --> 2:14:24.280]  That's right.
[2:14:24.280 --> 2:14:31.280]  You'll receive a 30-count bottle of immune booster, a $39.95 value free by using code GCN to check out.
[2:14:31.280 --> 2:14:34.280]  Right now, click 2020safe.net.
[2:14:34.280 --> 2:14:45.280]  That's 2020safe.net to get our one-liter bottle of high quality hand sanitizer with your free bonus, a 30-count bottle of immune booster, valued at $39.95.
[2:14:45.280 --> 2:14:48.280]  Remember to enter GCN to check out.
[2:14:48.280 --> 2:14:53.280]  And the bonus is yours free 2020safe.net.
[2:14:53.280 --> 2:14:57.280]  14 months ago, I began to sit on the broadcast every day.
[2:14:57.280 --> 2:15:00.280]  When the first world collapses, the third world dies.
[2:15:00.280 --> 2:15:12.280]  We have such a complex civilization with so many billions of moving parts that when you shut down the first world, it causes a chain reaction that will devastate the third world and really hurt the first world.
[2:15:12.280 --> 2:15:15.280]  Well, now you're hearing about gas shortages all over the United States.
[2:15:15.280 --> 2:15:22.280]  And that's because the companies and the systems and the drivers that can barely get the job done before delivering gas have been shut down.
[2:15:22.280 --> 2:15:25.280]  Plus, the Keystone Pipeline has been shut down on one of the other pipelines.
[2:15:25.280 --> 2:15:29.280]  The left is now blowing up dams across the U.S.
[2:15:29.280 --> 2:15:30.280]  We're being shut down.
[2:15:30.280 --> 2:15:32.280]  Our coal power plants are off as well.
[2:15:32.280 --> 2:15:35.280]  Ladies and gentlemen, prepare to be a total slave.
[2:15:35.280 --> 2:15:36.280]  The third world is imploding as well.
[2:15:36.280 --> 2:15:37.280]  The borders have been removed.
[2:15:37.280 --> 2:15:42.280]  Until you wake up and this is a globalist chai-com takeover, Gregory said, you have no hope.
[2:15:42.280 --> 2:15:47.280]  They're announcing that there will be less than two-thirds of the gas needed this summer.
[2:15:47.280 --> 2:15:52.280]  So they told you that you're under lockdown one way or another and CNN laughed at you and your family.
[2:15:52.280 --> 2:15:56.280]  Memorial Day 2021 is here.
[2:15:56.280 --> 2:16:02.280]  And that means store-wide free shipping and double-patriot points at infowarstore.com.
[2:16:02.280 --> 2:16:10.280]  And on top of it, a lot of our best-selling products that have been sold out for up to six months because of the COVID supply chain problems are finally back in stock.
[2:16:10.280 --> 2:16:17.280]  And that's a good thing because these are products that are really good for you and your family, good for your immune system, good for yourselves, good for your body.
[2:16:17.280 --> 2:16:22.280]  All of them are amazing, but DNA Force Plus is, again, the flagship.
[2:16:22.280 --> 2:16:24.280]  It's got the PQQ, the CoQ10 and so much more.
[2:16:24.280 --> 2:16:26.280]  It helps your telomeres last longer.
[2:16:26.280 --> 2:16:28.280]  It cleans out your mitochondria.
[2:16:28.280 --> 2:16:30.280]  The list goes on and on.
[2:16:30.280 --> 2:16:35.280]  It is 40% off with free shipping and double-patriot points.
[2:16:35.280 --> 2:16:37.280]  That's an unprecedented deal.
[2:16:37.280 --> 2:16:38.280]  What else is back in stock?
[2:16:38.280 --> 2:16:40.280]  People are very excited to hear.
[2:16:40.280 --> 2:16:43.280]  Holland Block for seasonal discomfort, for allergies.
[2:16:43.280 --> 2:16:44.280]  It's back in stock.
[2:16:44.280 --> 2:16:50.280]  40% off as well with a bunch of other items like Alpha Power and more at infowarstore.com.
[2:16:50.280 --> 2:17:00.280]  Free shipping and double-patriot points for Memorial Day.
[2:17:20.280 --> 2:17:22.280]  Government cover-ups.
[2:17:22.280 --> 2:17:24.280]  You want to stop tyranny?
[2:17:24.280 --> 2:17:25.280]  Well, so does he.
[2:17:25.280 --> 2:17:33.280]  Live from the infowar.com studios, it's Alex Jones.
[2:17:33.280 --> 2:17:38.280]  Better leave.
[2:17:38.280 --> 2:17:41.280]  Lock up your wife and children now.
[2:17:41.280 --> 2:17:44.280]  It's time to be on the plane.
[2:17:44.280 --> 2:17:46.280]  Now you've got some company.
[2:17:46.280 --> 2:17:49.280]  Ha, ha, ha.
[2:17:49.280 --> 2:17:56.280]  They come to take your life.
[2:17:56.280 --> 2:18:00.280]  Bill Gates.
[2:18:00.280 --> 2:18:04.280]  Bill Gates knows he's been dying since the day he was born.
[2:18:04.280 --> 2:18:07.280]  He needs no confession now.
[2:18:07.280 --> 2:18:12.280]  Oh, yeah.
[2:18:12.280 --> 2:18:13.280]  All right.
[2:18:13.280 --> 2:18:16.280]  I'm going to go to your phone calls here on the Holland Shown Show.
[2:18:16.280 --> 2:18:22.280]  We'll do it here in just a moment, but let me just finish up with where I was going with this.
[2:18:22.280 --> 2:18:27.280]  We have a Chinese man, very nice man, telling us the future is eating bugs,
[2:18:27.280 --> 2:18:29.280]  just like we're told G.G. Ping is the future.
[2:18:29.280 --> 2:18:35.280]  And on child policies of the future and global social credit scores of the future
[2:18:35.280 --> 2:18:40.280]  and Chinese response to the Wuhan release is the future.
[2:18:40.280 --> 2:18:49.280]  And she's there learning and then she eats the bug because she's a paid political whore on CNN.
[2:18:49.280 --> 2:18:51.280]  And it's delicious.
[2:18:51.280 --> 2:18:52.280]  It's wonderful.
[2:18:52.280 --> 2:18:55.280]  She enjoys it and we're all learning.
[2:18:55.280 --> 2:18:59.280]  And now they have FDA announcements.
[2:18:59.280 --> 2:19:06.280]  Oh, hey, if you have shellfish allergies, look out with cicadas because you might get sick as well.
[2:19:06.280 --> 2:19:08.280]  Oh, it's even advisories.
[2:19:08.280 --> 2:19:17.280]  Like, we're all going to be eating it now because, oh, look, oh, look, Hank Aaron took the experimental shot.
[2:19:17.280 --> 2:19:18.280]  I'm going to get it right now.
[2:19:18.280 --> 2:19:20.280]  Oh, look, Marvis Marvin the Agler took it.
[2:19:20.280 --> 2:19:22.280]  Oh, look, Ben Stein took it.
[2:19:22.280 --> 2:19:24.280]  Oh, they're dead and dying.
[2:19:24.280 --> 2:19:30.280]  Oh, look, CNN said, you know, because the UN says you're going to eat bugs.
[2:19:30.280 --> 2:19:35.280]  And a year later, you're going to eat bugs.
[2:19:35.280 --> 2:19:38.280]  And you're not going to eat meat and you're not going to be able to travel.
[2:19:38.280 --> 2:19:39.280]  And you're not essential.
[2:19:39.280 --> 2:19:40.280]  Oh, I'm not essential.
[2:19:40.280 --> 2:19:41.280]  I love it.
[2:19:41.280 --> 2:19:47.280]  Let me make a soy boy face.
[2:19:47.280 --> 2:19:50.280]  But now they're like, well, we need to actually eat human flesh, they're saying.
[2:19:50.280 --> 2:19:52.280]  That's now what the same group's coming out with.
[2:19:52.280 --> 2:20:04.280]  And I mean, they both groups said five years ago, we need to not allow traditional burials or cremations and that we should be made to grind up the bodies at a local facility to put it on the crops to recycle it and eat the flesh, basically.
[2:20:04.280 --> 2:20:07.280]  And now 20 states have passed laws.
[2:20:07.280 --> 2:20:08.280]  A year ago, it was two states.
[2:20:08.280 --> 2:20:14.280]  Now it's 20 states have passed laws to compost humans.
[2:20:14.280 --> 2:20:23.280]  Oh, and if you were hiding under a rock the last week or like Rip Van Winkle, maybe you went to sleep, woke up.
[2:20:23.280 --> 2:20:29.280]  Last Tuesday, the Senate legalized human animal cloning.
[2:20:29.280 --> 2:20:32.280]  And the smarter people out there are going to leave me in the Senate legalized.
[2:20:32.280 --> 2:20:33.280]  They didn't pass it.
[2:20:33.280 --> 2:20:34.280]  No, it was already going on.
[2:20:34.280 --> 2:20:35.280]  There was no law.
[2:20:35.280 --> 2:20:44.280]  See, it's kind of like when they come up with a synthetic heroin for a while, and then there's no law and the DEA can't bust you because it's synthetic.
[2:20:44.280 --> 2:20:47.280]  Then they pass a law for that or a synthetic ecstasy or whatever.
[2:20:47.280 --> 2:20:54.280]  Well, you know, they've been human animal cloning forever because there was a law against human cloning, not against human animal cloning.
[2:20:54.280 --> 2:20:56.280]  Like I told you 25 years ago, they were doing it.
[2:20:56.280 --> 2:21:01.280]  They would just add some animal to it and say it had no rights.
[2:21:01.280 --> 2:21:07.280]  And then they had a bill to outlaw that and it went down in flames.
[2:21:07.280 --> 2:21:18.280]  10, no, no, I'm sorry, 11 votes short to even pass a law out of the Senate of the House and maybe have Biden sign it.
[2:21:18.280 --> 2:21:20.280]  But Biden said, you know what Saki said?
[2:21:20.280 --> 2:21:23.280]  She said, oh, no, we're against that bill.
[2:21:23.280 --> 2:21:25.280]  We believe in stem cells.
[2:21:25.280 --> 2:21:34.280]  So did you know that a human animal clone brought the term raised and harvested for organs, though it can talk and say it's ABC's?
[2:21:34.280 --> 2:21:36.280]  It's called a stem cell.
[2:21:36.280 --> 2:21:37.280]  That's right.
[2:21:37.280 --> 2:21:51.280]  Under the definitions worldwide, a bipedal humanoid that's 99% human has zero rights.
[2:21:51.280 --> 2:21:56.280]  Zero, zero, zero, zero, zero, zero.
[2:21:56.280 --> 2:22:01.280]  Let that sink into the old noggin.
[2:22:01.280 --> 2:22:09.280]  So you see, I've learned how they run all this stuff.
[2:22:09.280 --> 2:22:13.280]  That's right, ladies and gentlemen.
[2:22:13.280 --> 2:22:17.280]  So what are we going to do about all this?
[2:22:17.280 --> 2:22:24.280]  As you see, if we don't stand up for our unborn, we don't stand up for our old folks, because that's all Bill Gates is training us and Fauci's training.
[2:22:24.280 --> 2:22:27.280]  It's like, hey, come on, that old lady, we don't need to take care of her.
[2:22:27.280 --> 2:22:28.280]  We don't get some money.
[2:22:28.280 --> 2:22:29.280]  We kill her.
[2:22:29.280 --> 2:22:30.280]  Remember what Bill Gates said?
[2:22:30.280 --> 2:22:41.280]  If we don't take care of an old woman, we can hire 10 teachers and the 10 teachers, they're represented by that union he was speaking to and they got real excited.
[2:22:41.280 --> 2:22:44.280]  It was kind of sexy to talk about killing people.
[2:22:44.280 --> 2:22:54.280]  It was like a conquest they were involved in and Bill Gates was so important and they were all at that important talk with him and oh, they were in control now.
[2:22:54.280 --> 2:22:58.280]  You think those teachers that went along with that.
[2:22:58.280 --> 2:23:00.280]  Bill Gates is talking about you dumbass.
[2:23:00.280 --> 2:23:01.280]  You're obsolete.
[2:23:01.280 --> 2:23:02.280]  He tricked you.
[2:23:02.280 --> 2:23:05.280]  He always wanted to get rid of the teachers unions because they're bad, but he's worse.
[2:23:05.280 --> 2:23:08.280]  He's got computer learning coming that he programs.
[2:23:08.280 --> 2:23:19.280]  He tricked you to shut down and to not reopen so he could bust your unions, which is coming next and you dumbasses walk right into it just like you always do.
[2:23:19.280 --> 2:23:23.280]  All you libtards with your two or three degrees that are worthless.
[2:23:23.280 --> 2:23:24.280]  Think you're so smart.
[2:23:24.280 --> 2:23:26.280]  Every statistic shows you're depressed.
[2:23:26.280 --> 2:23:28.280]  You're mentally ill and you're alone.
[2:23:28.280 --> 2:23:32.280]  Got a big article out today.
[2:23:32.280 --> 2:23:37.280]  Alarming rate of mental health problems in white liberal women.
[2:23:37.280 --> 2:23:40.280]  They're the craziest group out there.
[2:23:40.280 --> 2:23:43.280]  Did we need a study?
[2:23:43.280 --> 2:23:55.280]  Did we need a national poll to know that white women are completely insane because they bought into the whole system.
[2:23:55.280 --> 2:24:05.280]  They bought into not having a man or having a cuckman and they bought into taking all the pros and all the red ones and they bought into the system and now they're 45 and they can't have a baby and they're all alone.
[2:24:05.280 --> 2:24:12.280]  They got a fake Facebook avatar that's run by a system designed to make them commit suicide.
[2:24:12.280 --> 2:24:25.280]  They're in love with an algorithm and they've got a soy boy who just wants them to buy him dinner.
[2:24:25.280 --> 2:24:30.280]  And they've all got their little artist boyfriends.
[2:24:30.280 --> 2:24:32.280]  And then they go to a little corporate job.
[2:24:32.280 --> 2:24:33.280]  They know it's totally empty.
[2:24:33.280 --> 2:24:34.280]  They know it's all fake.
[2:24:34.280 --> 2:24:39.280]  They know it's just a placeholder for the collapse of civilization.
[2:24:39.280 --> 2:24:44.280]  And they've all tried girlfriends and they've tried polyamory and they've tried it all and just none of it's fulfilling for them.
[2:24:44.280 --> 2:24:49.280]  And they even tried Satanism and it just didn't give them what they needed.
[2:24:49.280 --> 2:24:55.280]  And now they're so upset so they embrace leftist propaganda and garbage even more.
[2:24:55.280 --> 2:24:59.280]  But that doesn't empower them.
[2:24:59.280 --> 2:25:02.280]  So what are they going to do?
[2:25:02.280 --> 2:25:04.280]  But I didn't get to the rest of the story.
[2:25:04.280 --> 2:25:06.280]  Would you like to see or eat the bugs?
[2:25:06.280 --> 2:25:07.280]  I'm going to go to break them back with your calls.
[2:25:07.280 --> 2:25:08.280]  We'll play the bug eating part of that.
[2:25:08.280 --> 2:25:12.280]  I promise I'll go to your calls for at least the next time we have a special guest to show you.
[2:25:12.280 --> 2:25:15.280]  But I didn't get to the really big news.
[2:25:15.280 --> 2:25:18.280]  And that's really the problem with all of this, isn't it?
[2:25:18.280 --> 2:25:23.280]  If I don't build this up, no one's going to care.
[2:25:23.280 --> 2:25:33.280]  I've got news here so incredible that I can't even know how to deal with it.
[2:25:33.280 --> 2:25:35.280]  So I'm not blaming you for not knowing how to deal with it.
[2:25:35.280 --> 2:25:36.280]  I don't know what to do.
[2:25:36.280 --> 2:25:43.280]  We're all in over our head.
[2:25:43.280 --> 2:25:46.280]  We're all in over our head.
[2:25:46.280 --> 2:25:55.280]  It's all above our pay grade.
[2:25:55.280 --> 2:25:57.280]  Your voice counts.
[2:25:57.280 --> 2:26:02.280]  When you share information, be it over the Internet or in person, it changes the world.
[2:26:02.280 --> 2:26:05.280]  The globalists know their agenda is unpopular.
[2:26:05.280 --> 2:26:06.280]  They know you're angry.
[2:26:06.280 --> 2:26:12.280]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[2:26:12.280 --> 2:26:16.280]  Well, ladies and gentlemen, if you sign up for our free news and show alerts,
[2:26:16.280 --> 2:26:19.280]  you can then take those alerts, those articles and those live feeds,
[2:26:19.280 --> 2:26:23.280]  both the regular shows and special reports, and share them with everyone you know.
[2:26:23.280 --> 2:26:30.280]  Take action now by texting the word news, N-E-W-S, to 833-470-0438.
[2:26:30.280 --> 2:26:35.280]  That's 833-470-0438 for InfoWars emergency news alerts.
[2:26:35.280 --> 2:26:42.280]  Or text the word show to 833-470-0438 and receive live show notifications.
[2:26:42.280 --> 2:26:46.280]  Take action now, rate the chain reaction, and tell others to share those texts.
[2:26:46.280 --> 2:26:53.280]  Get news alerts at 833-470-0438.
[2:26:53.280 --> 2:26:56.280]  DNA Force Plus has been sold out for more than six months.
[2:26:56.280 --> 2:27:01.280]  It's our flagship product, and it's something that every InfoWars listener and viewer needs.
[2:27:01.280 --> 2:27:04.280]  Whether you're young or old, it is incredible.
[2:27:04.280 --> 2:27:07.280]  But if you're over 40, especially you need it.
[2:27:07.280 --> 2:27:14.280]  The PQQ, the CoQ10, and other key patented ingredients in this formula are designed
[2:27:14.280 --> 2:27:20.280]  to help your telomeres last longer, to regenerate DNA, to heal your mitochondria, and so much more.
[2:27:20.280 --> 2:27:23.280]  We've been sold out of this for a long time, so I was out of it.
[2:27:23.280 --> 2:27:26.280]  Just since we got it back in, I have felt so much better.
[2:27:26.280 --> 2:27:31.280]  It's 40% off right now at InfoWarsStore.com, and we have store-wide free shipping
[2:27:31.280 --> 2:27:34.280]  and double-patriot points through Memorial Day.
[2:27:34.280 --> 2:27:38.280]  So it funds the InfoWars, it's an amazing product, and it's free shipping and 40% off.
[2:27:38.280 --> 2:27:43.280]  No excuse, take action now. InfoWarsStore.com, get your DNA Force Plus today.
[2:27:43.280 --> 2:27:47.280]  Again, you owe it to yourself and your family to try DNA Force Plus.
[2:27:47.280 --> 2:27:49.280]  It is truly amazing.
[2:27:49.280 --> 2:27:54.280]  The compounds that God gave us are incredible, but we've got to use the compounds God gave us.
[2:27:54.280 --> 2:28:00.280]  Memorial Day 2021 has come and gone, but the fight against the globalists continues,
[2:28:00.280 --> 2:28:06.280]  and the huge mega sale, the biggest of the year, is now ongoing until this Sunday.
[2:28:06.280 --> 2:28:11.280]  So you've got, as of time, I'm taping this report, about four days to get your orders in.
[2:28:11.280 --> 2:28:17.280]  Store-wide free shipping, double-patriot points, you get 10% off, you sign up for auto-shift.
[2:28:17.280 --> 2:28:21.280]  Those are the biggest deals of the year, all ongoing, right now together.
[2:28:21.280 --> 2:28:24.280]  That's the perfect DNA Force Plus.
[2:28:24.280 --> 2:28:29.280]  So incredible for your DNA, for your mitochondria, for your telomeres, for your cells.
[2:28:29.280 --> 2:28:33.280]  Back and stock sold out for almost seven months, 40% off.
[2:28:33.280 --> 2:28:35.280]  Pollen block for your allergy, seasonal discomfort.
[2:28:35.280 --> 2:28:38.280]  Back and stock sold out for months, 40% off.
[2:28:38.280 --> 2:28:41.280]  Supermell, Vitality, Frosty Guard, Alpha Power, Alpha 12.
[2:28:41.280 --> 2:28:46.280]  Basil Beats, and so much more. Ionic, busy magnesium drink, all of it.
[2:28:46.280 --> 2:28:53.280]  40-50% off. Store-wide free shipping, double-patriot points for a few more days at InfoWarsStore.com.
[2:28:53.280 --> 2:28:57.280]  In 60 seconds, I don't have time to tell you how amazing Pollen Block is,
[2:28:57.280 --> 2:29:02.280]  but you should go to InfoWarsStore.com and read the third-party review sites that we have links to,
[2:29:02.280 --> 2:29:05.280]  where it's got five stars and people love it.
[2:29:05.280 --> 2:29:11.280]  Pollen Block is a proprietary formula from France, where they just learned by happenstance
[2:29:11.280 --> 2:29:18.280]  that quail that eat a certain diet produce eggs and eggshells that are amazing when people eat them
[2:29:18.280 --> 2:29:22.280]  for knocking out seasonal discomfort or what folks call allergies.
[2:29:22.280 --> 2:29:25.280]  It's back and stock, it's been sold out for a long time, it's very hard to get.
[2:29:25.280 --> 2:29:32.280]  Despite that, it's 40% off. We have store-wide free shipping right now for Memorial Day and double-patriot points.
[2:29:32.280 --> 2:29:37.280]  So Pollen Block is back in stock, so is DNA Force, so are some of the great products, store-wide free shipping,
[2:29:37.280 --> 2:29:42.280]  and your purchase funds the InfoWars. So that is a true 360-win.
[2:29:42.280 --> 2:29:44.280]  Get your Pollen Block today.
[2:29:44.280 --> 2:29:48.280]  40% off, free shipping, double-patriot points at InfoWarsStore.com.
[2:29:48.280 --> 2:29:52.280]  And I know you're going to become a regular customer because everybody else that's gotten it basically has.
[2:29:52.280 --> 2:29:56.280]  This stuff really, really works.
[2:29:56.280 --> 2:30:24.280]  You're listening to the Alex Jones Show.
[2:30:24.280 --> 2:30:34.280]  Alex Jones.
[2:30:34.280 --> 2:30:46.280]  Alex Jones.
[2:30:46.280 --> 2:31:06.280]  Alex Jones.
[2:31:06.280 --> 2:31:26.280]  Alex Jones.
[2:31:26.280 --> 2:31:55.280]  Alex Jones.
[2:31:55.280 --> 2:32:02.280]  For Sunday Show, that's what I'm going to do.
[2:32:02.280 --> 2:32:15.280]  The secret invasion, the silent invasion, the stealth attack, that's what the injections are.
[2:32:15.280 --> 2:32:26.280]  We have the whole history, the whole background. And I was sitting there last night doing research at, like, I couldn't go to sleep like 1 a.m. at my desktop,
[2:32:26.280 --> 2:32:30.280]  looking into the magnetic particles they're putting into vaccines now confirmed.
[2:32:30.280 --> 2:32:35.280]  And just like asking, my God, what else are we about to learn? I mean, this is just completely insane.
[2:32:35.280 --> 2:32:42.280]  I already knew this was going to happen, but Lord, to see it unfold is insane.
[2:32:42.280 --> 2:32:52.280]  And then I meant to send it to Scott, the producer, but I sent it to Tucker Carlson instead because he was in the article.
[2:32:52.280 --> 2:33:01.280]  And I wasn't even looking for this. I guess they've got a new comic coming out about the scrolls from the Fantastic Four and their secret invasion,
[2:33:01.280 --> 2:33:06.280]  buying off the leaders of Earth, and then there's a Tucker Carlson character in it.
[2:33:06.280 --> 2:33:14.280]  But I was literally sitting there scribbling about what I'm going to call this special show I do about the stealth invasion to the vaccines.
[2:33:14.280 --> 2:33:18.280]  And I was like, secret invasion or the secret invaders or the secret takeover.
[2:33:18.280 --> 2:33:28.280]  And like an hour later, I'm just scrolling through stuff and there's a Tucker Carlson type character to be a new show about secret invasion.
[2:33:28.280 --> 2:33:31.280]  I forget the exact name. I've got it in my phone.
[2:33:31.280 --> 2:33:39.280]  It's just like, it's like serendipity, synchronicity, whatever the hell it is invading doesn't like us and wants to kill us.
[2:33:39.280 --> 2:33:46.280]  I don't know if it's super scroll or the Easter Bunny or Santa Claus, but all I know is, man, we ain't in Kansas and we've never been in Kansas.
[2:33:46.280 --> 2:33:49.280]  We're on a planet in space and there's some stuff going on.
[2:33:49.280 --> 2:33:57.280]  And the people running things are out to get us and dumb us down and poison us and control us like they're intergalactic exterminators or something.
[2:33:57.280 --> 2:34:00.280]  And we are cockroaches.
[2:34:00.280 --> 2:34:03.280]  And let me tell you, you can be white, you can be black.
[2:34:03.280 --> 2:34:12.280]  The Bill Gates into the world think you're a cockroach.
[2:34:12.280 --> 2:34:17.280]  See, there's nothing more I hate though, because I'm teleprompter free that out there it is.
[2:34:17.280 --> 2:34:18.280]  They found it.
[2:34:18.280 --> 2:34:26.280]  Marvel casting Tucker Carlson like news anchor for Disney's secret invasion series.
[2:34:26.280 --> 2:34:37.280]  So I'm sitting there at like 1am trying to figure what I'm going to call this Sunday special show to try to get people's attention about what they're they're invading us through these vaccines or raping us.
[2:34:37.280 --> 2:34:42.280]  So I had stuff written down like, you know, big Pharma's rape.
[2:34:42.280 --> 2:34:47.280]  No, I mean, because so much of this is a headline because I consider and lay all this incredible information out.
[2:34:47.280 --> 2:34:57.280]  But if if I don't give it the right headline to really capture how crazy it is, no one cares because this is a good.
[2:34:57.280 --> 2:35:08.280]  I imagine if aliens were in control and they were putting nano particles.
[2:35:08.280 --> 2:35:17.280]  Hell, there was a 1980s movie, pretty well done actually by Canon films that put on all the death wish movies.
[2:35:17.280 --> 2:35:19.280]  They spent a lot of good B movies.
[2:35:19.280 --> 2:35:22.280]  It was called invaders from Mars.
[2:35:22.280 --> 2:35:27.280]  And they grab you and inject you with a nano particle that controls your brain.
[2:35:27.280 --> 2:35:29.280]  And you're like, okay, that's invaders from Mars.
[2:35:29.280 --> 2:35:33.280]  We're literally living in invaders from Mars.
[2:35:33.280 --> 2:35:35.280]  But it's not invaders from Mars.
[2:35:35.280 --> 2:35:37.280]  It's our own humans doing it to us.
[2:35:37.280 --> 2:35:40.280]  Creating new life forms, which are alien.
[2:35:40.280 --> 2:35:45.280]  They're creating with computers, whole new viruses that would never been on earth before alien.
[2:35:45.280 --> 2:35:47.280]  That's what alien means.
[2:35:47.280 --> 2:35:51.280]  And they're putting it in us.
[2:35:51.280 --> 2:36:00.280]  And we're just accepting it because from a little dwarf dude.
[2:36:00.280 --> 2:36:04.280]  Fauci is telling us to take the injection.
[2:36:04.280 --> 2:36:09.280]  So I rewatched invaders from Mars was the remake of a 50s film.
[2:36:09.280 --> 2:36:11.280]  That's excellent as well.
