[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[01:40:08.961 --> 01:40:12.243]  Then you click the Share button at the bottom of the screen.
[01:40:12.243 --> 01:40:15.786]  When the menu comes up, you simply click Add to Home Screen.
[01:40:15.786 --> 01:40:18.028]  It will then ask you to name the app.
[01:40:18.028 --> 01:40:19.429]  I suggest Band.Video.
[01:40:20.109 --> 01:40:25.572]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[01:40:25.572 --> 01:40:34.057]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[01:40:34.057 --> 01:40:40.761]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[01:40:40.761 --> 01:40:43.583]  However you want, be sure and share BAN.VIDEO.
[01:40:52.512 --> 01:41:10.428]  You're listening to the Alex Jones Show.
[01:41:10.428 --> 01:41:15.993]  That is a live shot from Atlanta, Georgia, where Alex is rallying the troops again.
[01:41:15.993 --> 01:41:17.555]  Let's briefly pop in live.
[01:41:18.746 --> 01:41:29.671]  The fraud has been proven and we demand that Georgia and Michigan and others have a legislative emergency session.
[01:41:29.671 --> 01:41:34.473]  They have now said that Detroit is not certified and was a fraud.
[01:41:34.473 --> 01:41:36.754]  So are many counties in Georgia.
[01:41:36.754 --> 01:41:41.796]  We need the governor not to listen to the other operatives in the state.
[01:41:41.796 --> 01:41:45.297]  We demand the legislature start an emergency session.
[01:41:46.918 --> 01:41:49.862]  Emergency session now!
[01:41:49.862 --> 01:41:52.845]  Emergency session now!
[01:41:52.845 --> 01:41:55.829]  Emergency session now!
[01:41:55.829 --> 01:41:58.672]  Emergency session now!
[01:41:58.672 --> 01:42:04.439]  So again, this is in Atlanta, Georgia, where the Democrats are trying to steal the state of Georgia.
[01:42:05.547 --> 01:42:07.268]  Or I guess you could say already have stolen it.
[01:42:07.268 --> 01:42:08.209]  They declared it for Biden.
[01:42:08.209 --> 01:42:13.232]  He didn't win it, but... This is the tyranny we're in, folks.
[01:42:13.232 --> 01:42:19.235]  This is the corrupt establishment going for broke.
[01:42:19.235 --> 01:42:26.720]  And they're betting that we, the American people, will sit here and take it.
[01:42:26.720 --> 01:42:32.083]  And so far, they've been right.
[01:42:32.083 --> 01:42:34.805]  But the momentum is growing in our favor.
[01:42:35.981 --> 01:42:40.443]  But now it's just a race through time.
[01:42:40.443 --> 01:42:45.166]  Who can get to the point of no return first?
[01:42:45.166 --> 01:42:57.032]  Will it be them, the world government, enslavement, tyrannical forces, or will it be us, we, the people, for human freedom and liberty worldwide?
[01:42:57.032 --> 01:42:58.872]  Let's go back out to the phone lines.
[01:42:58.872 --> 01:43:00.453]  Jesse in Arizona.
[01:43:00.453 --> 01:43:01.414]  Jesse, you're on the air.
[01:43:01.414 --> 01:43:01.774]  Go ahead.
[01:43:03.092 --> 01:43:03.452]  Hi, Owen.
[01:43:03.452 --> 01:43:08.094]  I liked what you were saying earlier about Obama seeming pretty smug and you not liking that.
[01:43:08.094 --> 01:43:20.138]  And I've agreed this whole folks, or most of the way through, that Obama, Colbert, whoever it is, Gates and his wife, they seem awfully confident.
[01:43:20.138 --> 01:43:22.299]  And we gotta keep our eyes on the ball.
[01:43:22.299 --> 01:43:25.140]  I hear we gotta fight, we gotta stay in the fight.
[01:43:25.140 --> 01:43:27.941]  The fight's been won for 2,000 years.
[01:43:27.941 --> 01:43:31.223]  We gotta keep our eyes on the way, the truth, and the life that is Jesus Christ.
[01:43:31.223 --> 01:43:32.143]  Because at the end of the day,
[01:43:32.833 --> 01:43:44.799]  We're all going to be judged by God alone, and it doesn't matter whether we're bullhorning and we've got 12 years of food buried and guns up the wazoo, or whether we're Bill Gates.
[01:43:44.799 --> 01:43:54.685]  It's by faith alone and not of works, and I think people are missing that in this, because in order for biblical prophecy to be fulfilled, America must fall.
[01:43:54.685 --> 01:43:56.666]  The one world government system, whether it's
[01:43:57.106 --> 01:44:07.633]  You know, Biden gets in and it's a shoo-in, or whether Trump, you know, has his master plan for a few years, or whatever it is, or maybe Trump's unintentionally sophisticated controlled opposition program.
[01:44:07.633 --> 01:44:12.977]  No matter what, it comes down to Jesus Christ at the end of the day, or at the end of our lives.
[01:44:12.977 --> 01:44:19.722]  And it's not by anything we do or don't do, it's by faith alone, purely, and I don't hear that mentioned enough.
[01:44:19.722 --> 01:44:26.026]  I'm not putting a finger on anybody in particular, just in the world, because I think this is the message that people need to hear.
[01:44:27.987 --> 01:44:30.788]  Anything else, Jesse?
[01:44:30.788 --> 01:44:31.688]  Nope, that's it for now.
[01:44:31.688 --> 01:44:35.309]  Alright, thank you so much for the call.
[01:44:35.309 --> 01:44:45.032]  There's no doubt that when America lost its touch with God and its Christian roots, it definitely went in a bad direction.
[01:44:45.032 --> 01:44:55.795]  And you know, I was thinking about this actually really deeply last night, and I realized how Christianity is actually under such assault right now, and we don't even really see it.
[01:44:59.972 --> 01:45:11.080]  But, what happened was... So, there's this new thing I guess restaurants are doing, and it's LGBTQ friendly.
[01:45:11.080 --> 01:45:16.424]  And it's a whole new thing, you get a little patch, you get a little badge, they put it on your Google profile, LGBTQ friendly.
[01:45:16.424 --> 01:45:17.265]  It's like the new thing.
[01:45:17.265 --> 01:45:19.646]  Oh, okay.
[01:45:19.646 --> 01:45:27.332]  And, I went to pick up some carryout last night, and I had a shirt on that had Jesus Christ on it.
[01:45:30.908 --> 01:45:44.772]  And I'm ordering the food, and I see, oh, LGBTQ friendly, and I'm wearing my shirt that has Jesus on it, and I'm thinking, huh, would they deny me service because I'm a Christian?
[01:45:44.772 --> 01:45:48.514]  And it hit, like, the gears meshed right there.
[01:45:48.514 --> 01:45:55.136]  This whole tolerance, open sexuality, gay, you know, bisexual, transsexual, whatever, dolphin sexual,
[01:45:56.327 --> 01:46:05.611]  Just the total perversion of normal human behavior and biology, it's actually at its roots an attack on Christianity.
[01:46:05.611 --> 01:46:06.991]  These people know it's all bogus.
[01:46:06.991 --> 01:46:10.393]  They know it's all BS.
[01:46:10.393 --> 01:46:13.494]  99.9% of us won't even care whether you're gay, straight, bi, transsexual.
[01:46:13.494 --> 01:46:18.136]  We'll never even have any interaction with that other than what they're forcing on us.
[01:46:18.136 --> 01:46:21.357]  But I realize now that that whole
[01:46:22.886 --> 01:46:34.192]  LGBTQ and everything else is all really just an attack on Christianity, folks, because they want to be able to say, because you're a Christian, you're a bigot.
[01:46:34.192 --> 01:46:38.395]  They want to be able to say, because you love Jesus, you're a bigot.
[01:46:38.395 --> 01:46:40.095]  That's their plan.
[01:46:40.095 --> 01:46:42.117]  And so you bring in the tolerance.
[01:46:42.117 --> 01:46:43.517]  Oh, a tolerance of a gay guy.
[01:46:43.517 --> 01:46:44.578]  Oh, a tolerance of this.
[01:46:44.578 --> 01:46:45.939]  Oh, a tolerance of a transsexual.
[01:46:45.939 --> 01:46:48.100]  Oh, a tolerance of a pedophile.
[01:46:48.100 --> 01:46:49.961]  And entrench it and then corporatize it.
[01:46:51.001 --> 01:46:58.764]  So then you can't even go into a restaurant or a business with a crucifix on your neck or Jesus on your shirt because that's considered offensive.
[01:46:58.764 --> 01:47:00.765]  That's the attack on Christianity.
[01:47:00.765 --> 01:47:02.586]  That's what's really at the root of this.
[01:47:02.586 --> 01:47:09.169]  And if you can destroy that Christian ethos in the West, the West dies.
[01:47:09.169 --> 01:47:11.410]  So it's all an attack on Christianity, folks.
[01:47:12.970 --> 01:47:22.119]  And I predict if they get their way and they get Biden in within a year, wearing anything with Jesus on it or a crucifix will be considered hate speech.
[01:47:22.119 --> 01:47:23.360]  Mark my words.
[01:47:23.360 --> 01:47:24.641]  It'll be considered hate speech.
[01:47:24.641 --> 01:47:25.822]  You will see.
[01:47:25.822 --> 01:47:30.487]  Alex Jones has just gotten boots on the ground in front of the state capitol there in Georgia.
[01:47:30.487 --> 01:47:32.849]  Let's pop in real quick on a live feed.
[01:47:32.849 --> 01:47:34.771]  He's got Enrique Tarrio with him there.
[01:47:34.771 --> 01:47:35.652]  Fuentes is there.
[01:47:37.247 --> 01:47:43.010]  You have a bunch of people, the movement continues to grow and then ultimately tomorrow it's going to be the big one.
[01:47:43.010 --> 01:47:44.971]  And they're getting the big guy over the fence there.
[01:47:44.971 --> 01:47:47.132]  Not an easy task.
[01:47:47.132 --> 01:47:48.953]  But they got him on over the barrier there.
[01:47:48.953 --> 01:47:57.918]  So it looks like they've began to move on to the actual Capitol grounds where they weren't allowed before.
[01:47:57.918 --> 01:48:02.320]  And so I think Alex is probably about to get on a bullhorn there and make a statement.
[01:48:05.525 --> 01:48:06.686]  Guys, can I get that feedback up?
[01:48:26.365 --> 01:48:38.450]  The British Prime Minister, the Canadian Prime Minister, the German Chancellor, including John Kerry, the former Secretary of State, are all in the news today saying the COVID-19 lockdown
[01:48:40.504 --> 01:48:50.891]  Is designed to crush populism and to teach Americans and folks in the UK that won out of the New World War and out of the EU that we are their slaves.
[01:48:50.891 --> 01:49:00.497]  They are literally bragging now that they did the whole COVID exaggerated hoax as a pretext to crush us and make us submit.
[01:49:00.497 --> 01:49:10.104]  And I know that now that these arrogant bastards are out in the open, that we the people are awake and are not going to put up with it!
[01:49:11.138 --> 01:49:12.359]  There's a couple hundred people out there.
[01:49:12.359 --> 01:49:15.621]  There should be a couple hundred thousand people out there, folks.
[01:49:15.621 --> 01:49:16.201]  You understand?
[01:49:16.201 --> 01:49:22.125]  I mean, I know you understand this, but it's so hard because it's so overwhelming.
[01:49:22.125 --> 01:49:27.689]  They literally faked a worldwide pandemic to launch a great reset.
[01:49:27.689 --> 01:49:33.433]  Now look, everybody understands how corrupt things have become.
[01:49:33.433 --> 01:49:37.896]  The financial markets, the trade bubbles, the debt, the wars, all of it.
[01:49:37.896 --> 01:49:38.697]  It's out of control.
[01:49:39.676 --> 01:49:42.778]  And the only way to really fix it is to basically hit the reset button.
[01:49:42.778 --> 01:49:52.803]  The problem is, the Great Reset isn't hitting the reset button on all these bubbles and markets and nation-states and then collapsing them into a one-world government.
[01:49:52.803 --> 01:49:55.725]  No, that's the Great Enslavement.
[01:49:55.725 --> 01:49:59.267]  The Great Reset is arresting the criminals!
[01:50:01.741 --> 01:50:02.982]  That's the Great Reset.
[01:50:02.982 --> 01:50:05.103]  The Great Reset is Obama and Biden.
[01:50:05.103 --> 01:50:05.823]  Jail.
[01:50:05.823 --> 01:50:06.883]  The Bushes.
[01:50:06.883 --> 01:50:07.504]  Jail.
[01:50:07.504 --> 01:50:08.464]  The Clintons.
[01:50:08.464 --> 01:50:09.605]  Jail.
[01:50:09.605 --> 01:50:14.687]  Continue to jail the corrupt politicians in Argentina and Brazil.
[01:50:14.687 --> 01:50:15.548]  Merkel.
[01:50:15.548 --> 01:50:16.848]  Macron.
[01:50:16.848 --> 01:50:22.091]  Anybody who signed on to any global agenda, selling their nation-state down the drain.
[01:50:22.091 --> 01:50:22.791]  Jail.
[01:50:22.791 --> 01:50:24.852]  That's the Great Reset.
[01:50:24.852 --> 01:50:28.354]  But see, they make it all a game where everybody knows it has to be reset.
[01:50:29.261 --> 01:50:40.726]  But they reset it so that the big worldwide criminals who stole everything then are perched on top of us forever and then hide all their criminal behavior and make us all slaves.
[01:50:40.726 --> 01:50:43.548]  You see the Democrats now calling to put us in gulags.
[01:50:43.548 --> 01:50:50.611]  You see the Democrats now putting out their lists saying these are all the people we need to re-educate or kill.
[01:50:50.611 --> 01:50:57.174]  Of course, folks, if you commit crimes on a mass scale against the entire planet,
[01:50:57.677 --> 01:50:59.318]  What is your only out?
[01:50:59.318 --> 01:51:00.598]  To jail everybody!
[01:51:00.598 --> 01:51:01.779]  Throw everybody in jail!
[01:51:01.779 --> 01:51:04.180]  That's what they're doing!
[01:51:04.180 --> 01:51:05.341]  That's their plan!
[01:51:05.341 --> 01:51:07.942]  That's the alleged quote-unquote great reset!
[01:51:07.942 --> 01:51:09.523]  But no.
[01:51:09.523 --> 01:51:16.346]  If we are victorious and humanity is victorious, the great reset will mean all these corrupt world leaders that have been
[01:51:17.418 --> 01:51:22.946]  Robbing us blind and lying and deceiving and dividing us for decades all in jail.
[01:51:22.946 --> 01:51:24.347]  That's the Great Reset.
[01:51:24.347 --> 01:51:26.210]  Arrest the criminal cabal.
[01:51:26.210 --> 01:51:28.333]  Arrest the global criminal cabal.
[01:51:28.333 --> 01:51:29.775]  Arrest the deep state.
[01:51:29.775 --> 01:51:30.956]  Free humanity.
[01:51:30.956 --> 01:51:32.098]  Free the world.
[01:51:32.098 --> 01:51:34.942]  That is the real Great Reset.
[01:51:38.542 --> 01:51:45.146]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[01:51:45.146 --> 01:51:48.608]  As you age, your body can lose testosterone over time.
[01:51:48.608 --> 01:51:57.513]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[01:51:57.513 --> 01:52:05.618]  Alpha Power's incredible ingredients can help you boost your sport performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[01:52:06.278 --> 01:52:11.699]  Perfect by itself or with super male vitality in the True Alpha Male Path.
[01:52:11.699 --> 01:52:18.941]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[01:52:18.941 --> 01:52:22.622]  Let Alpha Power help bring you to the peak of your optimal health.
[01:52:22.622 --> 01:52:25.663]  Don't fall short on energy in the fight against tyranny.
[01:52:25.663 --> 01:52:29.724]  Show the world what a True Alpha Male looks like today with Alpha Power.
[01:52:29.724 --> 01:52:32.205]  Head to InfoWarsStore.com today.
[01:52:39.972 --> 01:52:41.453]  It's all on record.
[01:52:41.453 --> 01:52:56.623]  Yale, Harvard, Princeton, Stanford, they were all hired a year ago and then again six months ago to war game how to get the public to stay locked down during a pandemic and how to get the public to take inoculations.
[01:52:56.623 --> 01:52:59.345]  And they talk about calling people heroes that do it.
[01:52:59.345 --> 01:53:01.346]  They talk about shaming those that don't.
[01:53:01.346 --> 01:53:03.467]  This has all been psychologically tested.
[01:53:04.728 --> 01:53:06.431]  It's all been psychologically prepared.
[01:53:06.431 --> 01:53:10.777]  And once they get you locked down for 15 days, you notice now they say it's permanent.
[01:53:10.777 --> 01:53:11.438]  That's how it works.
[01:53:11.438 --> 01:53:13.802]  Oh, just put these handcuffs on.
[01:53:13.802 --> 01:53:17.087]  The serial killer says the woman in the parking lot and everything will be alright.
[01:53:17.904 --> 01:53:18.925]  No.
[01:53:18.925 --> 01:53:22.827]  Now we've already put the handcuffs on and we're in the serial killer's van.
[01:53:22.827 --> 01:53:27.329]  He's taking us to his shack in the woods to slowly torture us to death.
[01:53:27.329 --> 01:53:28.970]  That's the allegory.
[01:53:28.970 --> 01:53:30.431]  We gotta bust out of this thing now.
[01:53:30.431 --> 01:53:31.872]  We gotta say no now.
[01:53:31.872 --> 01:53:34.133]  We gotta make a run for it now while we still can.
[01:53:34.133 --> 01:53:37.475]  Once he gets us in that basement, it's gonna get a lot, lot worse, folks.
[01:53:37.475 --> 01:53:42.517]  So stop submitting.
[01:53:42.517 --> 01:53:45.159]  You're listening to the Alex Jones Show.
[01:53:58.513 --> 01:54:00.634]  We're into the third hour of the Alex Jones Show.
[01:54:00.634 --> 01:54:04.536]  I want to go back to your phone calls.
[01:54:04.536 --> 01:54:08.257]  Again, Alex is in Atlanta, Georgia at the Capitol at a Stop the Steal rally.
[01:54:08.257 --> 01:54:17.421]  Tomorrow at noon is the big one in Atlanta, but noon at every state capitol every Saturday until Trump is re-elected is the plan for now.
[01:54:17.421 --> 01:54:20.723]  I'll be out in Austin, Texas tomorrow at noon.
[01:54:20.723 --> 01:54:23.604]  Going back to the phone lines now.
[01:54:23.604 --> 01:54:25.245]  Sam in Indiana.
[01:54:25.245 --> 01:54:27.626]  Sam, you're on the Alex Jones Show.
[01:54:27.626 --> 01:54:27.946]  Go ahead.
[01:54:28.982 --> 01:54:36.906]  Yeah, first of all, I want to thank you for all your good work that you and Alex do, and the supplements you guys have are unbelievable.
[01:54:36.906 --> 01:54:39.047]  I use them for all the bodybuilding.
[01:54:39.047 --> 01:54:40.068]  It's unbelievable.
[01:54:40.068 --> 01:54:47.451]  My point quickly is, I heard you guys discuss a trucker strike, and I think that has a lot of merit.
[01:54:47.451 --> 01:54:58.097]  Also, something else that we could do is, the idea is called the Great Set Aside, and there's probably 80 to 100 million people out there that we know for sure that support President Trump.
[01:54:58.903 --> 01:55:07.785]  And the way you can get back without having any violence or anything like that is the ability to set all your tax money aside.
[01:55:07.785 --> 01:55:09.126]  You still file the forms.
[01:55:09.126 --> 01:55:11.246]  You still stay in compliance with the forms.
[01:55:11.246 --> 01:55:17.708]  But what you do as patriots, you have 1776, and you set the money aside and you defund the federal government.
[01:55:17.708 --> 01:55:20.869]  You keep the money locally, and that's how you fight back.
[01:55:20.869 --> 01:55:26.490]  Nonviolence, and that combined with a trucker strike, is a way to send a message to the globalists that, number one,
[01:55:27.205 --> 01:55:29.246]  You've weaponized the IRS.
[01:55:29.246 --> 01:55:31.727]  You've weaponized our Justice Department.
[01:55:31.727 --> 01:55:32.787]  You've weaponized our CIA.
[01:55:32.787 --> 01:55:35.208]  You've weaponized our FBI.
[01:55:35.208 --> 01:55:39.910]  You've taken away our ability to have a fair, transparent election.
[01:55:39.910 --> 01:55:51.594]  So now, what we do is, we simply turn the money off and we defund the federal government and set the money aside until we see structural changes and we can believe in what we're funding.
[01:55:52.364 --> 01:55:53.064]  That's simple.
[01:55:53.064 --> 01:55:54.705]  And that's with the trucker strike.
[01:55:54.705 --> 01:55:55.805]  I agree with that notion.
[01:55:55.805 --> 01:56:00.647]  The problem is we can't even get people to take off a mask, Sam.
[01:56:00.647 --> 01:56:03.708]  So you think they're going to be able to pull off something like that?
[01:56:03.708 --> 01:56:05.009]  I just don't see it being possible.
[01:56:05.009 --> 01:56:06.229]  They won't even take off the mask.
[01:56:06.229 --> 01:56:10.671]  But the trucker strike, I was told, I think it was like November 29th was the original date I saw.
[01:56:10.671 --> 01:56:16.693]  I don't know if anything's been cemented there, but the truckers are going to plan on shutting down D.C.
[01:56:16.693 --> 01:56:18.514]  if they don't announce Trump the winner soon.
[01:56:20.154 --> 01:56:33.486]  I appreciate everything you do, but now is the time that we have to fight, and if we could get some of the big media, the right-wing media, to band together, and if we all banded together, we could turn the system off and take control of it and defund it.
[01:56:33.486 --> 01:56:34.167]  I do agree.
[01:56:34.167 --> 01:56:36.288]  It's always kind of been a problem.
[01:56:36.288 --> 01:56:39.992]  It's like herding cats, but maybe we're on the way.
[01:56:39.992 --> 01:56:41.113]  Todd in California.
[01:56:41.113 --> 01:56:43.035]  Todd in California, and you're on the Alex Jones Show.
[01:56:43.035 --> 01:56:43.355]  Go ahead.
[01:56:44.622 --> 01:56:47.503]  Awesome Owen, really great to be able to talk to you man.
[01:56:47.503 --> 01:56:52.284]  Love listening to you on the show and I really enjoy all the products that you guys have.
[01:56:52.284 --> 01:56:56.346]  I take a couple of myself, the X2 iodine is really great.
[01:56:56.346 --> 01:57:06.529]  I just wanted to say, I really think that for one, I think that Trump might be hiding hopefully because he's thinking about enacting the Insurrection Act and
[01:57:07.355 --> 01:57:12.437]  You know, everything they do over there seems to get out to the wrong people within the Democratic Party.
[01:57:12.437 --> 01:57:16.859]  So, I mean, before we know about it, they're going to know about it, and they're going to be plotting.
[01:57:16.859 --> 01:57:23.762]  And if he's really thinking about doing that, they could be thinking about trying to kill him, especially with everything else that's been going on.
[01:57:23.762 --> 01:57:32.286]  Yeah, there's no doubt there's some strategic move here by President Trump to stay in the shadows and pretty much be the unseen president since the election.
[01:57:35.304 --> 01:57:44.691]  He used the words in the beginning, the calm before the storm, and I truly believe that he is... And he also said, hey, you may not be seeing me for a while.
[01:57:44.691 --> 01:57:45.672]  That's exactly right.
[01:57:45.672 --> 01:57:47.614]  That sounds strategic as hell.
[01:57:47.614 --> 01:57:49.535]  It really does.
[01:57:49.535 --> 01:58:02.145]  The main reason I was also calling is because the media and Facebook and all these other companies, they keep on trying to say that there's a president-elect when Congress issued a letter officially stating on November 13th
[01:58:03.464 --> 01:58:05.545]  That there is no president-elect.
[01:58:05.545 --> 01:58:07.406]  Congress did.
[01:58:07.406 --> 01:58:09.487]  And... I guess... It's fake news.
[01:58:09.487 --> 01:58:10.328]  Fake everything.
[01:58:10.328 --> 01:58:11.288]  They fake everything, man.
[01:58:11.288 --> 01:58:12.008]  You know that, Todd.
[01:58:12.008 --> 01:58:15.850]  They fake Russian collusion, fake hate crimes, fake pandemics, fake elections now.
[01:58:15.850 --> 01:58:17.972]  All they know is the fake.
[01:58:17.972 --> 01:58:21.013]  We need to go in with the... The president needs to go in with the military.
[01:58:21.013 --> 01:58:26.256]  And I just want to... I just want to cut him everything up by saying that maybe Trump should think about
[01:58:27.006 --> 01:58:31.308]  Investing in InfoWars because they're thinking about purchasing a news show.
[01:58:31.308 --> 01:58:32.129]  Well, you know what?
[01:58:32.129 --> 01:58:33.830]  It's time to invest in InfoWars.
[01:58:33.830 --> 01:58:35.611]  You guys are hard-hitting.
[01:58:35.611 --> 01:58:36.571]  You get the message out.
[01:58:36.571 --> 01:58:38.932]  You inspire other podcasts.
[01:58:38.932 --> 01:58:42.514]  Yeah, I think the way the White House looks at InfoWars is we're just like the wild dog.
[01:58:42.514 --> 01:58:45.536]  We're just off the chain, off the leash, and they just let this dog hunt.
[01:58:47.588 --> 01:58:49.270]  The games are over.
[01:58:49.270 --> 01:58:50.311]  The waiting is over.
[01:58:50.311 --> 01:58:51.773]  The fight is now out in the open.
[01:59:07.346 --> 01:59:14.875]  In the latter part of 2020, he's attempting to collapse the world economy, set up a global digital currency and AI surveillance system.
[01:59:14.875 --> 01:59:18.439]  And InfoWars, he's on the front lines fighting harder than ever.
[01:59:18.439 --> 01:59:26.830]  And we pledge to you to never back down and never give up in the face of this evil, because we know God is watching and God is in charge and God is on our side.
[01:59:27.490 --> 01:59:35.895]  InfoWars can only stay in the fight and continue to be the tip of the spear if you financially support us by getting great products at the same time at InfoWarsStore.com.
[01:59:35.895 --> 01:59:44.100]  And we have one of the biggest sales of the year, about to end, up to 60% off, Triple Patriot points and free shipping with the Stop the Steal Special at InfoWarsStore.com.
[02:00:08.610 --> 02:00:21.119]  Patriots continue to gather in Atlanta, Georgia ahead of the massive Stop the Steal rally that is coming tomorrow noon at the state capitol in Atlanta, Georgia.
[02:00:21.119 --> 02:00:25.462]  This will be happening nationwide at every state capitol tomorrow at noon.
[02:00:25.462 --> 02:00:30.585]  I will be at the state capitol here in Austin, Texas tomorrow at noon.
[02:00:30.585 --> 02:00:32.527]  I hope you can join me then.
[02:00:32.527 --> 02:00:36.630]  Let me just go back out to the phone lines here.
[02:00:37.722 --> 02:00:45.129]  Because if I start getting into this news and start covering it, folks, I just don't want to talk like that, okay?
[02:00:45.129 --> 02:00:46.790]  We all know what's going on.
[02:00:46.790 --> 02:00:50.694]  We all know that gut instinct.
[02:00:50.694 --> 02:00:54.177]  We all know how to scratch that itch.
[02:00:54.177 --> 02:00:55.778]  But it's just...
[02:00:56.934 --> 02:01:01.196]  Not really graceful or becoming here on air.
[02:01:01.196 --> 02:01:06.318]  So let me go back to the phone lines and go to Emmerich in FEMA Region 2.
[02:01:06.318 --> 02:01:07.818]  Emmerich, you're on the Alex Jones Show.
[02:01:07.818 --> 02:01:09.199]  Go ahead.
[02:01:09.199 --> 02:01:09.419]  Hi.
[02:01:09.419 --> 02:01:11.980]  First, I'd like to plug the X2.
[02:01:11.980 --> 02:01:13.321]  Great product.
[02:01:13.321 --> 02:01:14.881]  Great, great product.
[02:01:14.881 --> 02:01:24.385]  I find it very powerful, but I did it with a five-day cleanse and it was very, very powerful under that.
[02:01:24.385 --> 02:01:25.246]  It was a five-day
[02:01:27.028 --> 02:01:30.970]  Five day fasting cleanse and it gave me energy.
[02:01:30.970 --> 02:01:32.551]  Great product.
[02:01:32.551 --> 02:01:32.891]  You know what?
[02:01:32.891 --> 02:01:35.932]  I think I'm going to hit the X2 right now, actually.
[02:01:35.932 --> 02:01:38.754]  Thank you for reminding me.
[02:01:38.754 --> 02:01:46.958]  I want to talk about was, you know, hopefully we're going to win this, but you know, we need contingent plans.
[02:01:46.958 --> 02:01:55.062]  So we need to call on Patriots, especially from blue states to move to the swing states.
[02:01:55.062 --> 02:01:56.743]  And if that doesn't work,
[02:01:58.308 --> 02:02:09.252]  At the end, we're going to have to make a coalition of red states that is going to have to separate and just let the blue states collapse on their own.
[02:02:09.252 --> 02:02:23.918]  I think we have to come up, if we're going to do something like this, and quite frankly it's all kind of pipe dreamish, but I think the best way to handle that would be just to give the Democrats what they think is the greatest thing ever and just let them have Los Angeles and New York and Chicago and
[02:02:27.691 --> 02:02:31.692]  I mean, it's definitely going to be hard, but California alone, you cut the cancer, that's 55 electoral votes.
[02:02:56.735 --> 02:02:57.355]  Hey, I agree.
[02:02:57.355 --> 02:02:58.876]  Let them burn California to the ground.
[02:02:58.876 --> 02:02:59.776]  They're already doing it.
[02:02:59.776 --> 02:03:02.618]  Why should we all suffer?
[02:03:02.618 --> 02:03:03.258]  See, that's the problem.
[02:03:03.258 --> 02:03:07.240]  We've already passed the opportunity for all of these things to actually work.
[02:03:07.240 --> 02:03:09.021]  Now it's globalism.
[02:03:09.021 --> 02:03:10.481]  It's liberty or death at this point.
[02:03:10.481 --> 02:03:13.002]  There's no all these other plans.
[02:03:13.002 --> 02:03:14.843]  It's the final level, liberty or death.
[02:03:14.843 --> 02:03:16.064]  Do we have elections?
[02:03:16.064 --> 02:03:17.184]  Do we have a country?
[02:03:17.184 --> 02:03:18.145]  Do we have freedoms?
[02:03:18.145 --> 02:03:19.686]  I mean, that's everything.
[02:03:19.686 --> 02:03:22.647]  We can try to plan out all these other intricate plans and stuff.
[02:03:22.647 --> 02:03:23.807]  It's too late, Emmerich.
[02:03:23.807 --> 02:03:24.388]  I'm sorry to say.
[02:03:25.268 --> 02:03:26.428]  Again, I'd love to give them.
[02:03:26.428 --> 02:03:27.569]  Give them New York, California.
[02:03:27.569 --> 02:03:29.569]  Let them communist those states into the ground.
[02:03:29.569 --> 02:03:31.190]  So we can show how dumb it is.
[02:03:31.190 --> 02:03:32.310]  So we can show how destructive it is.
[02:03:32.310 --> 02:03:32.850]  It won't matter.
[02:03:32.850 --> 02:03:34.251]  Globalism squashes all of it.
[02:03:34.251 --> 02:03:35.491]  It's not even about communism.
[02:03:35.491 --> 02:03:36.371]  It's about globalism.
[02:03:36.371 --> 02:03:39.572]  It's about the one world government.
[02:03:39.572 --> 02:03:40.812]  It's very difficult.
[02:03:40.812 --> 02:03:44.694]  I mean, I'm in FEMA Region 2 myself.
[02:03:44.694 --> 02:03:48.134]  When you live here, you're bound to no liberal people.
[02:03:48.134 --> 02:03:51.655]  And they won't even listen.
[02:03:51.655 --> 02:03:53.016]  They say, oh, fake news.
[02:03:54.036 --> 02:03:55.797]  It's hard to get through to them.
[02:03:55.797 --> 02:03:58.618]  I try, but... Liberalism is a mental disorder.
[02:03:58.618 --> 02:03:59.418]  It is.
[02:03:59.418 --> 02:04:00.378]  It really is.
[02:04:00.378 --> 02:04:02.259]  And it's just brainwashing, is really what it is.
[02:04:02.259 --> 02:04:05.400]  I appreciate the time.
[02:04:05.400 --> 02:04:06.761]  It's great talking to you.
[02:04:06.761 --> 02:04:08.181]  Thank you for the call, Emrick.
[02:04:08.181 --> 02:04:10.642]  Let's go to Brian in New Hampshire.
[02:04:10.642 --> 02:04:11.582]  Brian, you're on the air.
[02:04:11.582 --> 02:04:12.943]  Go ahead.
[02:04:12.943 --> 02:04:13.523]  Hey, what's up?
[02:04:13.523 --> 02:04:15.764]  What's going on, man?
[02:04:15.764 --> 02:04:18.965]  Just wanted to talk real quick about...
