[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[2:08:50.000 --> 2:08:52.000]  I mean, look at this.
[2:08:52.000 --> 2:08:53.000]  Talk about evil.
[2:08:53.000 --> 2:08:56.000]  Actor Tom Arnold tells Candace Owens to suck racist.
[2:08:56.000 --> 2:08:57.000]  You know what?
[2:08:57.000 --> 2:09:10.000]  And he's just such a stupid, dumb, talentless clown.
[2:09:10.000 --> 2:09:13.000]  It's just crazy how they do all of this.
[2:09:13.000 --> 2:09:17.000]  It's crazy how they sit there and they attack people and they get away with it.
[2:09:17.000 --> 2:09:25.000]  And how the left can attack free speech at a free speech platform like Pin America, the Freedom to Right.
[2:09:25.000 --> 2:09:33.000]  And then Hillary calls for a war on free speech there claiming we're trying to take her speech when she's the one with the big tech giants doing it.
[2:09:33.000 --> 2:09:37.000]  So I got to tell you, I admire Kanye West for his courage.
[2:09:37.000 --> 2:09:46.000]  Remember, they locked him up when he came out and said he still supported Trump last year for almost two weeks in a mental ward saying that was crazy?
[2:09:46.000 --> 2:09:47.000]  That's on infowars.com.
[2:09:47.000 --> 2:09:51.000]  That's like the old Soviet Union.
[2:09:51.000 --> 2:10:01.000]  Meanwhile, why does the Google documents show and admit that they want infowars.com shut down?
[2:10:01.000 --> 2:10:08.000]  The number one reason was we exposed the chemical attacks were staged three times.
[2:10:08.000 --> 2:10:13.000]  Not once, not twice, but three times.
[2:10:13.000 --> 2:10:17.000]  And then they say, and Ron Pulse fake news too, he needs to be banned.
[2:10:17.000 --> 2:10:21.000]  And now you see us being delisted, being pushed down.
[2:10:21.000 --> 2:10:25.000]  All the fake news about us being put to the top.
[2:10:25.000 --> 2:10:27.000]  And again, CNN and others have aired this footage.
[2:10:27.000 --> 2:10:34.000]  We're showing for TV viewers of the guy that looks like a fake doctor, blinking, you know, winking, and then falling down.
[2:10:34.000 --> 2:10:35.000]  Oh, it's the worst acting.
[2:10:35.000 --> 2:10:39.000]  I mean, I'm a high school place, junior high place, elementary school plays are better.
[2:10:39.000 --> 2:10:42.000]  I've seen my daughters in better place, way better.
[2:10:42.000 --> 2:10:45.000]  And then the kids, they're laughing behind him.
[2:10:45.000 --> 2:10:47.000]  And they kind of forget to have their legs flopping.
[2:10:47.000 --> 2:10:49.000]  It doesn't mean chemical weapons attacks don't happen.
[2:10:49.000 --> 2:10:51.000]  It means they've caught the rebels.
[2:10:51.000 --> 2:10:53.000]  And now here's the New York Times.
[2:10:53.000 --> 2:10:56.000]  ISIS used chemical weapons at least 52 times in Syria.
[2:10:56.000 --> 2:11:03.000]  And Iraq report says chemical inspection team reaches Doma.
[2:11:03.000 --> 2:11:05.000]  Negates Russia cover up claim.
[2:11:05.000 --> 2:11:11.000]  That's the organization for the prohibition of chemical weapons that the U.S. backs.
[2:11:11.000 --> 2:11:13.000]  They said, no, we couldn't get out because the rebels hadn't left yet.
[2:11:13.000 --> 2:11:14.000]  We're still shooting at us.
[2:11:14.000 --> 2:11:16.000]  You know, it's the rebels, ISIS.
[2:11:16.000 --> 2:11:18.000]  And once we got there, they were still shooting at us.
[2:11:18.000 --> 2:11:22.000]  The Russians did not stop us, but Fox News, especially, man, and CNN.
[2:11:22.000 --> 2:11:24.000]  Oh, my gosh, the Russians.
[2:11:24.000 --> 2:11:28.000]  And I'm not backing the Russians, but they didn't do that.
[2:11:28.000 --> 2:11:32.000]  That zero hedge breaks it down with all the links to the organization's own documents.
[2:11:32.000 --> 2:11:37.000]  Germany's largest public TV news broadcaster goes to Syria.
[2:11:37.000 --> 2:11:43.000]  It goes to the hospitals, investigates, says chemical attack most likely staged.
[2:11:43.000 --> 2:11:48.000]  They don't know what to do.
[2:11:48.000 --> 2:11:51.000]  Does that mean every chemical attack is not real?
[2:11:51.000 --> 2:11:59.000]  No, like the 52 killed thousands that the rebels launched at ISIS launch that Saudi Arabia funded.
[2:11:59.000 --> 2:12:01.000]  Those were real.
[2:12:01.000 --> 2:12:05.000]  So the media will go, Jones claims there's no chemical attacks, but look at these.
[2:12:05.000 --> 2:12:07.000]  No, no.
[2:12:07.000 --> 2:12:10.000]  The rebels are doing real ones, but they play this bait and switch.
[2:12:10.000 --> 2:12:13.000]  Jones doesn't care about kids getting killed by chemicals.
[2:12:13.000 --> 2:12:15.000]  Did you hear Jones said nobody died in Syria?
[2:12:15.000 --> 2:12:17.000]  That's how they he doesn't care about Syrian kids.
[2:12:17.000 --> 2:12:19.000]  And I didn't start the war like Hillary.
[2:12:19.000 --> 2:12:20.000]  I didn't send in all the military.
[2:12:20.000 --> 2:12:21.000]  I didn't destabilize it.
[2:12:21.000 --> 2:12:24.000]  I know you're right.
[2:12:24.000 --> 2:12:27.000]  That's how they play these games.
[2:12:27.000 --> 2:12:32.000]  That's all coming up.
[2:12:32.000 --> 2:12:36.000]  It's powerful information.
[2:12:36.000 --> 2:12:40.000]  All right, we're going to go to break, come back with your calls.
[2:12:40.000 --> 2:12:50.000]  I'm going to stop right here and I'm going to ask the listeners if you believe in free speech, if you believe in the truth, if you believe in standing up to Soros and Hillary and these bullies and the DNC that's suing me and Trump and everybody else.
[2:12:50.000 --> 2:12:52.000]  It's total war.
[2:12:52.000 --> 2:12:53.000]  They want to break your will.
[2:12:53.000 --> 2:12:54.000]  You're flyover country.
[2:12:54.000 --> 2:12:56.000]  You're a bitter clear no matter where you live.
[2:12:56.000 --> 2:12:58.000]  If you're a good person.
[2:12:58.000 --> 2:13:01.000]  These are authoritarians that think we're weak that they're going to win.
[2:13:01.000 --> 2:13:11.000]  If you'll just spread the videos, the articles, sign up for the free podcast, send out the videos, post them to your own site, send them out in the email, hand out business cards with them for wars.
[2:13:11.000 --> 2:13:14.000]  It will change the world and pray for us.
[2:13:14.000 --> 2:13:15.000]  We're praying for you.
[2:13:15.000 --> 2:13:18.000]  We're in this together and I thank you for all your help.
[2:13:18.000 --> 2:13:19.000]  They're so mad.
[2:13:19.000 --> 2:13:20.000]  We have a connection.
[2:13:20.000 --> 2:13:21.000]  They're so mad that we're able to speak to you.
[2:13:21.000 --> 2:13:22.000]  They're so mad.
[2:13:22.000 --> 2:13:23.000]  We're here trying to get it right.
[2:13:23.000 --> 2:13:24.000]  Trying to tell the truth.
[2:13:24.000 --> 2:13:30.000]  It's a world different from the globalist and financially we've got supplements that are the best out there.
[2:13:30.000 --> 2:13:32.000]  Take X2.
[2:13:32.000 --> 2:13:37.000]  They tried to take away our really clean deep sea seaweed.
[2:13:37.000 --> 2:13:41.000]  Deep sea far out to ocean clean seaweed derivative of this.
[2:13:41.000 --> 2:13:42.000]  And they took that away.
[2:13:42.000 --> 2:13:48.000]  They hit us with the economic sabotage and they said, we're not going to supply you anymore with the cleanest organic group out there that had a lot weaker iodine.
[2:13:48.000 --> 2:13:50.000]  It wasn't atomic, but it was clean.
[2:13:50.000 --> 2:13:51.000]  It didn't make people feel bad.
[2:13:51.000 --> 2:13:53.000]  Instead of you get the store, I'll kill you.
[2:13:53.000 --> 2:13:54.000]  It's not real iodine.
[2:13:54.000 --> 2:13:55.000]  It's bound with chemicals.
[2:13:55.000 --> 2:13:56.000]  It's an alcohol.
[2:13:56.000 --> 2:14:03.000]  But research iodine deficiency and how sick it makes people and all the problems with it.
[2:14:03.000 --> 2:14:06.000]  And then realize we have the good iodine.
[2:14:06.000 --> 2:14:17.000]  We have the deep earth crystal source that nobody else has gotten in our search for better iodine that is in the palm oil organic infusion that feels great.
[2:14:17.000 --> 2:14:18.000]  Gives you the energy.
[2:14:18.000 --> 2:14:23.000]  Gives you the halogen you need, but doesn't eat holes in your stomach, at least in my case and everybody else's.
[2:14:23.000 --> 2:14:29.000]  They say, wow, I can finally take iodine in full or store.com in fours, life.com or triple eight, two, five, three, three, one, three, nine.
[2:14:29.000 --> 2:14:31.000]  I drink it in water when I forget to take it.
[2:14:31.000 --> 2:14:35.000]  I take it every couple of days when I forget to take it.
[2:14:35.000 --> 2:14:36.000]  I'm like, wow, where's my energy?
[2:14:36.000 --> 2:14:38.000]  Where's that sparkle in my mind?
[2:14:38.000 --> 2:14:42.000]  A libido because I get busy and I know this stuff all works and I use it.
[2:14:42.000 --> 2:14:44.000]  But we know we got 80 something supplements.
[2:14:44.000 --> 2:14:47.000]  I'm taking a lot of them every morning.
[2:14:47.000 --> 2:14:52.000]  But when I do take it, my wife's like, what's what's what's going on here?
[2:14:52.000 --> 2:14:57.000]  She's like, not, not just my libido, but it's like I'm 16 again.
[2:14:57.000 --> 2:15:00.000]  You know, it's a, it's a bigger day.
[2:15:00.000 --> 2:15:02.000]  And, and, and that's the whole thing.
[2:15:02.000 --> 2:15:05.000]  I had on without it, ladies and gentlemen, you die.
[2:15:05.000 --> 2:15:07.000]  I can't tell you how many doctors I've talked to.
[2:15:07.000 --> 2:15:11.000]  They go, no, we're diagnosing scurvy, but the hospitals don't want us to say it.
[2:15:11.000 --> 2:15:19.000]  There are people just with their skin opening up, old wounds opening up, teeth falling out because they're not eating leafy vegetables or they have bad malabsorption in their stomachs.
[2:15:19.000 --> 2:15:25.000]  Well, it's the same thing. This is not rocket science. You need oxygen, you need water, you need iodine, you need vitamin C.
[2:15:25.000 --> 2:15:27.000]  You will die without this stuff.
[2:15:27.000 --> 2:15:31.000]  We don't sell a vitamin C product because that's so readily available.
[2:15:31.000 --> 2:15:33.000]  You can get that, you know, pretty much anywhere.
[2:15:33.000 --> 2:15:38.000]  Glass of orange juice, cabbage, you know, broccoli, whatever.
[2:15:38.000 --> 2:15:42.000]  X2 though, the other iodine as we looked into it are all bound.
[2:15:42.000 --> 2:15:44.000]  You don't absorb, it goes right through you.
[2:15:44.000 --> 2:15:49.000]  Not X2, baby. It's pure atomic iodine.
[2:15:49.000 --> 2:16:15.000]  In FullWartStore.com, it's about to sell out.
[2:16:15.000 --> 2:16:23.000]  Our attorneys know every law, every tax break, and every possible opportunity to help you resolve and reduce your tax debt.
[2:16:23.000 --> 2:16:27.000]  And if you owe more than $20,000, you may be at the top of their hit list.
[2:16:27.000 --> 2:16:31.000]  So don't take your tax debt lightly because it will not go away on its own.
[2:16:31.000 --> 2:16:37.000]  The IRS can seize your bank accounts, your home, and even shut down your business.
[2:16:37.000 --> 2:16:46.000]  Call our tax experts today at 1-800-261-9818 and let us deal with the IRS while you focus on your business.
[2:16:46.000 --> 2:16:55.000]  That's 1-800-261-9818. Again, 800-261-9818.
[2:16:55.000 --> 2:16:58.000]  Water is the single most important thing your body needs.
[2:16:58.000 --> 2:17:01.000]  So you want to be sure it's the best for you and your family.
[2:17:01.000 --> 2:17:10.000]  Since 2005, thousands have depended on Berkey purified water. The Berkey guy provides the lowest price filtration systems in every size.
[2:17:10.000 --> 2:17:16.000]  For incredibly delicious water now and in an emergency, get to goberkey.com.
[2:17:16.000 --> 2:17:32.000]  Or call 877-886-3653. 877-886-3653. Goberkey.com.
[2:17:47.000 --> 2:18:07.000]  After years of research working with top developers here in the United States with the latest cutting-edge science, we are rolling out three new digestive gut aids.
[2:18:07.000 --> 2:18:15.000]  One of them is a powerful pro-digestive enzyme, carnivore, for being able to break down meat and other proteins better.
[2:18:15.000 --> 2:18:25.000]  And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolive advanced restoration.
[2:18:25.000 --> 2:18:30.000]  And we also have an everyday extremely affordable fluorolive everyday maintenance.
[2:18:30.000 --> 2:18:40.000]  But all of these are the very cutting-edge, top-of-the-line probiotics and digestive enzymes at an extremely affordable price.
[2:18:40.000 --> 2:18:46.000]  That is my goal here, is to bring you the very best at the lowest price.
[2:18:46.000 --> 2:18:56.000]  When you purchase it at mforestore.com, you know you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[2:18:56.000 --> 2:19:03.000]  The reason Mfore's Life has five star ratings on major third-party sites is because I want products I am going to use for my family.
[2:19:03.000 --> 2:19:09.000]  I take this, my family takes this, and then it funds the operation with the most hardcore, truthful information you are going to find anywhere.
[2:19:09.000 --> 2:19:14.000]  So what you find in our news is the same thing you find in our products at mfore'slife.com.
[2:19:14.000 --> 2:19:19.000]  If I ever forget to take them, I have a noticeable difference. I don't feel good.
[2:19:19.000 --> 2:19:23.000]  The nascent iodine is one of the ones that was life-changing for me.
[2:19:23.000 --> 2:19:31.000]  Yeah, I've actually just run out of my superfemale. I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[2:19:31.000 --> 2:19:38.000]  Very exciting, feeling great, looking good, and I know my hair is luxurious once again.
[2:19:38.000 --> 2:19:41.000]  So obviously the superfemale is amazing. I love it.
[2:19:41.000 --> 2:19:51.000]  Nascent iodine is essential. Survival Shield X2. If there's one product that I would say is life-changing that I would suggest it's nascent iodine Survival Shield X2.
[2:19:51.000 --> 2:19:55.000]  It's a five-star rating. It's a win-win at mfore'slife.com.
[2:20:22.000 --> 2:20:26.000]  It bullied a bunch of us into going along with you.
[2:20:26.000 --> 2:20:28.000]  I'd like reserve time.
[2:20:28.000 --> 2:20:30.000]  Now, I'm going to be willing to have a fight.
[2:20:30.000 --> 2:20:32.000]  Twenty-one at this point.
[2:20:32.000 --> 2:20:37.000]  And only the dumbest morons buying to your SJW Globalist, George Soros, dropping.
[2:20:37.000 --> 2:20:38.000]  Stabilize it.
[2:20:38.000 --> 2:20:39.000]  Emergency reserve.
[2:20:39.000 --> 2:20:42.000]  Hillary Clinton in the newer order of Michael Moore.
[2:20:42.000 --> 2:20:45.000]  Go back to where you came from.
[2:20:45.000 --> 2:20:49.000]  We're awake and you're not putting us back in the coma.
[2:20:49.000 --> 2:20:53.000]  You got that, Jack? You're done. It's over.
[2:20:53.000 --> 2:20:57.000]  Get him back. Get him back.
[2:20:57.000 --> 2:21:04.000]  Do you think there was more than one?
[2:21:04.000 --> 2:21:06.000]  For sure. I think you did.
[2:21:06.000 --> 2:21:11.000]  It sounds like it's confirmed there are at least two shooters with fully automatic weapons.
[2:21:11.000 --> 2:21:19.000]  All right. 16 lawsuits have been filed against Info Wars in the last year to shut down our free speech.
[2:21:19.000 --> 2:21:24.000]  Nine of them have been thrown out. Many of them with prejudice, meaning they can't bring them back.
[2:21:24.000 --> 2:21:28.000]  Meaning that it was fraudulent and that we could counter sue them.
[2:21:28.000 --> 2:21:33.000]  I just got a call. I got a text earlier. I called my lawyer during the break.
[2:21:33.000 --> 2:21:38.000]  The one in D.C., one of the top law firms in the country dealing with defamation and free speech.
[2:21:38.000 --> 2:21:42.000]  He's actually coming here Thursday, by the way, to give you guys a briefing.
[2:21:42.000 --> 2:21:47.000]  To give all the crew a briefing on how we're under the microscope and how they're trying to distort things.
[2:21:47.000 --> 2:21:53.000]  He just got noticed they're withdrawing their lawsuit in Georgetown.
[2:21:53.000 --> 2:21:57.000]  They're withdrawing their lawsuit tomorrow morning in Georgetown.
[2:21:57.000 --> 2:22:00.000]  Everything we said in the press conference was true.
[2:22:00.000 --> 2:22:03.000]  It was documented in D.C.
[2:22:03.000 --> 2:22:08.000]  And my lawyers were like, we don't think you should give them the strategy. This is so ridiculous.
[2:22:08.000 --> 2:22:12.000]  But if you want to do this, you just point out they're attacking your speech, that's fine.
[2:22:12.000 --> 2:22:18.000]  But we'll get this dismissed. This filing is unbelievable.
[2:22:18.000 --> 2:22:23.000]  Well, they withdrew, they let them know they're withdrawing the lawsuit tomorrow morning.
[2:22:23.000 --> 2:22:27.000]  Here's the problem. They're going to refile it.
[2:22:27.000 --> 2:22:30.000]  We just know they are.
[2:22:30.000 --> 2:22:35.000]  So that it'll be, oh, sued again by Georgetown.
[2:22:35.000 --> 2:22:38.000]  Why not sue me every day and then withdraw it again?
[2:22:38.000 --> 2:22:44.000]  You see how this works? To get the publicity, to say the white supremacist Jones said this man killed a woman.
[2:22:44.000 --> 2:22:47.000]  Never said it, no video, no nothing.
[2:22:47.000 --> 2:22:50.000]  It's summary judgment out of court.
[2:22:50.000 --> 2:22:55.000]  And the lawyers have just asked me, they said, Jones, just don't say what's wrong with the rest of it.
[2:22:55.000 --> 2:23:03.000]  Which I even, I'm not bragging, but I know the stuff well enough where I read these things and it's like...
[2:23:03.000 --> 2:23:07.000]  Owen Shroyer said this, which he didn't say, and then Kit Daniel said that.
[2:23:07.000 --> 2:23:12.000]  So we're suing Owen Shroyer and then they just put the wrong name in the lawsuit in Travis County.
[2:23:12.000 --> 2:23:15.000]  And my lawyers are just like, stop, don't say it, just leave it alone.
[2:23:15.000 --> 2:23:19.000]  But I just can't sit here while they file all this crap.
[2:23:19.000 --> 2:23:24.000]  And they're not pointing out that it's absolute abject bull, but that's what's even scarier.
[2:23:24.000 --> 2:23:34.000]  Why would they file things in the wrong courts with typos all over them and defame people putting the wrong names in it and stuff?
[2:23:34.000 --> 2:23:42.000]  I mean, it's, if they wanted to scare me, they've scared me in how inept they are.
[2:23:42.000 --> 2:23:45.000]  Because you want to think of your enemies as having their act together.
[2:23:45.000 --> 2:23:49.000]  These are servants of the globalist, servants of Soros.
[2:23:49.000 --> 2:23:53.000]  Who do you think they're going to get?
[2:23:53.000 --> 2:23:58.000]  And that's the thing about us that are strong and those that have will and those of us that love God.
[2:23:58.000 --> 2:24:04.000]  We just continue to beat these people, but not go on the offense.
[2:24:04.000 --> 2:24:09.000]  And we have to go on the offense and smoke them out of their holes, man.
[2:24:09.000 --> 2:24:15.000]  And they're going to call it vindictive. I mean, I already countersued them last week in Virginia.
[2:24:15.000 --> 2:24:22.000]  They withdrew the lawsuit because I mean, we had them like dead to rights, man.
[2:24:22.000 --> 2:24:25.000]  I didn't just believe my law firm. I checked with three others.
[2:24:25.000 --> 2:24:32.000]  They said, we've never seen things this ridiculous because they're not even thinking, look up at Georgetown.
[2:24:32.000 --> 2:24:35.000]  I love folks on the East Coast and all that.
[2:24:35.000 --> 2:24:39.000]  And that Vatican University over there has got its new pond of its new boss,
[2:24:39.000 --> 2:24:43.000]  but they think in Texas that we wipe our asses with corn cobs.
[2:24:43.000 --> 2:24:46.000]  And they think like we're just like married to our sister.
[2:24:46.000 --> 2:24:54.000]  We're like, they them them people and they say they didn't are dinged in dead to us.
[2:24:54.000 --> 2:24:59.000]  And then we like get them. They're like, alert, alert, alert.
[2:24:59.000 --> 2:25:04.000]  But here's the deal. When I counter stood them, we can have a go.
[2:25:04.000 --> 2:25:09.000]  ABC News was there. NBC CBS, no coverage, which is fine.
[2:25:09.000 --> 2:25:15.000]  We all had our own streams.
[2:25:15.000 --> 2:25:18.000]  But I told you, I said, I filed a lawsuit against Georgetown University.
[2:25:18.000 --> 2:25:21.000]  Well, how did they kill that lawsuit?
[2:25:21.000 --> 2:25:26.000]  That lawsuit was pursuant to their suit.
[2:25:26.000 --> 2:25:29.000]  And so now they just pulled the teeth out.
[2:25:29.000 --> 2:25:32.000]  And then who knows what they're going to cook up because we're not stupid.
[2:25:32.000 --> 2:25:36.000]  They're going to refile it. Why not get back on the merry-go-round, put a quarter in,
[2:25:36.000 --> 2:25:40.000]  say you're suing Alex Jones, get all over the news, defame him however you want,
[2:25:40.000 --> 2:25:44.000]  say whatever you want about him, put another quarter in, do it again.
[2:25:44.000 --> 2:25:47.000]  Yeah, mommy, I want to ride in the Ferris wheel again.
[2:25:47.000 --> 2:25:49.000]  Mommy, I want to ride on the big ship again.
[2:25:49.000 --> 2:25:53.000]  I want to ride on the little horsies again on the merry-go-round.
[2:25:53.000 --> 2:25:56.000]  Mommy, mommy, mommy, I want to lie about Alex again.
[2:25:56.000 --> 2:26:00.000]  I want to kick America in the head again because we see him as Americana
[2:26:00.000 --> 2:26:04.000]  and Daddy Soros squat and took a crap on him and he's God.
[2:26:04.000 --> 2:26:07.000]  Mommy, Alex didn't go away when Soros crapped on him.
[2:26:07.000 --> 2:26:10.000]  Soros is a good Nazi. He killed a lot of people.
[2:26:10.000 --> 2:26:13.000]  He's powerful. Why doesn't Alex go away?
[2:26:13.000 --> 2:26:17.000]  Haven't we threatened him? Doesn't he roll over and piss all over himself?
[2:26:20.000 --> 2:26:23.000]  You look, you go to a university now, you go to anywhere left to star.
[2:26:23.000 --> 2:26:28.000]  They look like dead zombies, hunchback, dead-eyed, faces all drooping
[2:26:28.000 --> 2:26:31.000]  because they have no soul. They are empty.
[2:26:31.000 --> 2:26:34.000]  I think people are being born without souls now and you see them
[2:26:34.000 --> 2:26:38.000]  and they're like these zombies everywhere and it's just like
[2:26:38.000 --> 2:26:41.000]  all I want to do is get away from them and the more I fight them, the better I feel.
[2:26:41.000 --> 2:26:44.000]  It's not about monetary. It's not about my life.
[2:26:44.000 --> 2:26:48.000]  They can have a global for the gun to my head saying deny freedom, deny Christ.
[2:26:48.000 --> 2:26:53.000]  Or we're going to blow your head off. I'd say pull your trigger
[2:26:53.000 --> 2:26:59.000]  because I am so fulfilled. I mean, it is just, and that's the frustration
[2:26:59.000 --> 2:27:03.000]  is that people just knew the power of liberty, the power of God.
[2:27:03.000 --> 2:27:06.000]  I don't mean the fake churches or fake preachers trying to act like men,
[2:27:06.000 --> 2:27:09.000]  but they won't criticize anything the globalists are doing.
[2:27:09.000 --> 2:27:12.000]  They won't criticize any other dehumanization operations.
[2:27:12.000 --> 2:27:15.000]  They just sit there in the church and talk about the Lord and how good they are
[2:27:15.000 --> 2:27:18.000]  and how you can be strong and how you can be upright.
[2:27:18.000 --> 2:27:23.000]  It's all a bunch of Pharisees that Christ talked about up there telling you
[2:27:23.000 --> 2:27:29.000]  how high and mighty they are.
[2:27:29.000 --> 2:27:31.000]  And they're frauds. They're the sellouts.
[2:27:31.000 --> 2:27:36.000]  They're the people that signed on to the globalist program to fill the place of the church
[2:27:36.000 --> 2:27:40.000]  so that they could bring down the whole system.
[2:27:40.000 --> 2:27:45.000]  So I'm going to break and go right to your call. Sean Darrell, Ian, Lauren Cameron
[2:27:45.000 --> 2:27:49.000]  and others, Pastor Sam Austin.
[2:27:49.000 --> 2:27:51.000]  Pastor Sam's call before. It's for some callers.
[2:27:51.000 --> 2:27:56.000]  We'll see. Katherine Craig, Jay, Marcus, Carol and others.
[2:27:56.000 --> 2:27:59.000]  So we will take your calls on the other side of this break.
[2:27:59.000 --> 2:28:07.000]  There's just so much more here, but...
[2:28:07.000 --> 2:28:12.000]  I just, I fear failure.
[2:28:12.000 --> 2:28:17.000]  But man, I look at George Soros as kids, and I'm not trying to be mean to George Soros just to be mean.
[2:28:17.000 --> 2:28:21.000]  I mean, the faces they make in every photo, you think, oh, that's just one photo.
[2:28:21.000 --> 2:28:26.000]  No, it's like Brian Stelter looks. It's like trying to act powerful.
[2:28:26.000 --> 2:28:31.000]  But it's not even like, like when I do it, I'm doing a joke, but it still looks crazy and dangerous.
[2:28:31.000 --> 2:28:35.000]  With them, it's like a trying to act powerful and forceful, but it's like fake.
[2:28:35.000 --> 2:28:38.000]  And it's like, you're doing all this to try to be powerful.
[2:28:38.000 --> 2:28:39.000]  You could have innately been powerful.
[2:28:39.000 --> 2:28:44.000]  Let me make one of the faces that Alexander Soros makes. It's more like a...
[2:28:44.000 --> 2:28:50.000]  I mean, it's just like, ugh, ugh, ugh, ugh.
[2:28:50.000 --> 2:29:14.000]  It's just like the faces Hillary makes. It's disgusting.
[2:29:20.000 --> 2:29:25.000]  Today at ReadyToEatBacon.com, ReadyToEatBacon.com.
[2:29:50.000 --> 2:29:55.000]  That's 1-877-99-B-E-R-K-E-Y.
[2:30:20.000 --> 2:30:24.000]  I've been using this myself the last few months, and from seeing my friends and family use it,
[2:30:24.000 --> 2:30:30.000]  that this new product is going to end up being the number one best-selling product at infowarslife.com because it works so well.
[2:30:30.000 --> 2:30:32.000]  This is a gift you want to give yourself.
[2:30:32.000 --> 2:30:38.000]  And then rest assured, you're finding the info war, so it's a total absolute sure win, no lose equation.
[2:30:38.000 --> 2:30:43.000]  Try Alpha Power, exclusively available at infowarslife.com for yourself.
[2:30:43.000 --> 2:30:45.000]  Ladies and gentlemen, it's non-GMO.
[2:30:45.000 --> 2:30:47.000]  It's for your brain. It's for sports. It's for activities.
[2:30:47.000 --> 2:30:52.000]  And it's made in the USA. Get your Alpha Power today at infowarslife.com.
[2:30:52.000 --> 2:31:17.000]  Everybody needs to try Alpha Power today.
[2:31:22.000 --> 2:31:29.000]  I want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine in it.
[2:31:29.000 --> 2:31:31.000]  You cannot beat that for children and adults.
[2:31:31.000 --> 2:31:34.000]  We've got the best mouthwash designed by Dr. Jones.
[2:31:34.000 --> 2:31:37.000]  That's my dad, with colloidal silver and iodine as well.
[2:31:37.000 --> 2:31:41.000]  infowarslife.com, or triple-A-2-5-3-3-1-3-9.
[2:31:41.000 --> 2:31:45.000]  And your purchase of the products stands with us, stands with America, stands with Trump,
[2:31:45.000 --> 2:31:48.000]  stands against the globalists and their satanic pedophile armies.
[2:31:48.000 --> 2:31:53.000]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[2:32:18.000 --> 2:32:22.000]  99.99% ultra-pure, deep-earth iodine crystals.
[2:32:22.000 --> 2:32:30.000]  This essential mineral is necessary in order to produce thyroid hormones, which influence every cell, tissue and organ in the body.
[2:32:30.000 --> 2:32:37.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[2:32:37.000 --> 2:32:43.000]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[2:32:43.000 --> 2:32:47.000]  Take control of your chemistry today with this super combo.
[2:32:47.000 --> 2:32:55.000]  Discover the power of Survival Shield X2 and BioTrue Selenium at infowarslife.com.
[2:33:17.000 --> 2:33:22.000]  He aligns himself with the truth, and it's time for you to choose a side.
[2:33:22.000 --> 2:33:25.000]  You're listening to Alex Jones.
[2:33:25.000 --> 2:33:28.000]  99.99% ultra-pure, deep-earth iodine crystals.
[2:33:28.000 --> 2:33:40.000]  99.99% ultra-pure, deep-earth iodine crystals.
[2:33:44.000 --> 2:33:48.000]  That is Shooter Jennings with one of his great songs, Summer Rage.
[2:33:48.000 --> 2:33:51.000]  Another word inspired by the info war.
[2:33:51.000 --> 2:33:54.000]  Police State. But that started getting derailed, didn't it?
[2:33:54.000 --> 2:33:56.000]  Hush. Hush.
[2:33:58.000 --> 2:34:00.000]  That's right. Can't stop.
[2:34:00.000 --> 2:34:02.000]  You can't stop.
[2:34:02.000 --> 2:34:04.000]  You can't stop.
[2:34:04.000 --> 2:34:06.000]  You can't stop.
[2:34:06.000 --> 2:34:08.000]  You can't stop.
[2:34:08.000 --> 2:34:10.000]  You can't stop.
[2:34:10.000 --> 2:34:12.000]  You can't stop.
[2:34:12.000 --> 2:34:14.000]  You can't stop.
[2:34:14.000 --> 2:34:16.000]  You can't stop.
[2:34:16.000 --> 2:34:18.000]  Your mother's life.
[2:34:22.040 --> 2:34:26.000]  That's right. Can't trust nothing but the love in your mother's eyes.
[2:34:26.000 --> 2:34:30.000]  The globalist claim they're trying to save the Earth with Jane Goodall and Earth's a GSHD Google.
[2:34:30.000 --> 2:34:32.000]  Oh about carbon dioxide and all this.
[2:34:32.000 --> 2:34:34.000]  It's the genetic engineering. It's the toxic waste.
[2:34:34.000 --> 2:34:36.000]  That's the real threat to the planet
[2:34:36.000 --> 2:34:38.000]  It's the nuclear reactors.
[2:34:38.000 --> 2:34:40.000]  But none of that from the left anymore.
[2:34:40.000 --> 2:34:43.000]  All about hating humans and banning plastic and that'll fix it all.
[2:34:43.000 --> 2:34:45.000]  Little sub issues.
[2:34:45.000 --> 2:34:51.120]  calls. But here's an announcement. We filed a week and a half ago in DC, as you
[2:34:51.120 --> 2:34:55.480]  know, a slapback suit on Georgetown University and the individual they got
[2:34:55.480 --> 2:34:59.600]  to file the suit claiming that I said that the person that filed the suit
[2:34:59.600 --> 2:35:03.520]  killed a woman that got killed. No, I said Soros funding Antifa, which is on
