[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[01:55:35.822 --> 01:55:37.303]  But also, agoodamerican.org.
[01:55:37.303 --> 01:55:38.464]  You can find the DVD there.
[01:55:38.464 --> 01:55:40.285]  We sell it at infowarstore.com.
[01:55:40.285 --> 01:55:48.231]  PGknowledge.eu is a plan to have these systems that are ethical and don't give individuals power over others, but actually targets real
[01:55:49.451 --> 01:55:54.392]  I don't feel worthy to even be at this platform level with somebody like him and so many others breaking so much of this.
[01:56:10.956 --> 01:56:16.718]  But it's that a little radio show out of Texas grew into this because other people won't do it.
[01:56:16.718 --> 01:56:20.540]  They say necessity is the mother of invention.
[01:56:20.540 --> 01:56:21.200]  And that's what it is.
[01:56:21.200 --> 01:56:25.042]  They won't do their job, so it's Alex Jones doing it.
[01:56:25.042 --> 01:56:31.845]  And it's the listeners then funding us to build organically the platform to get this out to millions of people because they wouldn't do it.
[01:56:31.845 --> 01:56:38.008]  They just took what they were told, said it, by the government and corporations as a bunch of yes-men and women and got us in this position.
[01:56:39.128 --> 01:56:41.871]  Again, I go back to the listeners and the heroes like William Benning.
[01:56:41.871 --> 01:56:43.132]  He doesn't want to be called that, but he is.
[01:56:43.132 --> 01:56:44.573]  He went through a lot.
[01:56:44.573 --> 01:56:48.016]  And a lot of other stuff that I know is off the record he probably didn't want to get into.
[01:56:48.016 --> 01:56:52.700]  He's a manly guy and everything, but they pull the stops out, I can tell you.
[01:56:52.700 --> 01:56:54.482]  So this is a real war.
[01:56:54.482 --> 01:56:55.983]  We need your financial support as well.
[01:56:56.764 --> 01:56:59.545]  We just sell the very best vitamins and minerals, like our turmeric.
[01:56:59.545 --> 01:57:06.327]  It's 400 plus milligrams, the strongest, 95% curcumin, and other stuff tested at Whole Foods is like 3%.
[01:57:06.327 --> 01:57:06.967]  It's a joke.
[01:57:06.967 --> 01:57:14.049]  Because they just, they put everything in marketing, mark it up seven times, and you know, a $30 bottle of something has like a dollar of product.
[01:57:14.049 --> 01:57:15.149]  Well, not with us.
[01:57:15.149 --> 01:57:16.590]  I mean, if it's something $60, it's got $30 in it.
[01:57:18.270 --> 01:57:20.011]  We mark it up 100%.
[01:57:20.011 --> 01:57:26.154]  We got CellForce right now with BioPQQ, CoQ10, other formulas similar, $200, $300, $400.
[01:57:26.154 --> 01:57:28.276]  It's a good deal normally at $100.
[01:57:28.276 --> 01:57:30.037]  It's $69.95 right now.
[01:57:30.037 --> 01:57:31.137]  Infowarrestore.com.
[01:57:31.137 --> 01:57:32.298]  It's about to sell out.
[01:57:32.298 --> 01:57:34.659]  It'll be called DNA Force Plus next time we run it, though.
[01:57:34.659 --> 01:57:35.800]  People like that name better.
[01:57:35.800 --> 01:57:39.322]  But CellForce is just DNA Force Plus.
[01:57:39.322 --> 01:57:39.882]  It's available.
[01:57:39.882 --> 01:57:41.563]  A lot of other specials are about to end.
[01:57:41.563 --> 01:57:42.623]  Infowarrestore.com.
[01:57:42.623 --> 01:57:43.964]  You built this operation.
[01:57:43.964 --> 01:57:45.145]  We praise you all.
[01:57:45.145 --> 01:57:47.106]  One final segment with Mr. Benny straight ahead.
[01:57:48.177 --> 01:57:52.879]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[01:57:52.879 --> 01:58:03.325]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:58:04.205 --> 01:58:09.006]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:58:09.006 --> 01:58:17.409]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:58:17.409 --> 01:58:25.131]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[01:58:25.131 --> 01:58:27.072]  Wake up refreshed and take on the day.
[01:58:27.572 --> 01:58:35.496]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:58:35.496 --> 01:58:39.198]  Get the sleep you deserve and experience the power of knockout.
[01:58:39.198 --> 01:58:43.560]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[01:58:43.560 --> 01:58:45.000]  That's InfoWarsLife.com
[01:58:48.900 --> 01:58:50.341]  You developed Living Defense for us.
[01:58:50.341 --> 01:58:51.662]  It took you over a year to do it.
[01:58:51.662 --> 01:58:52.883]  Why is this so good?
[01:58:52.883 --> 01:58:58.168]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:58:58.168 --> 01:59:11.721]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[01:59:11.721 --> 01:59:13.062]  Right now with all the refugees,
[01:59:13.843 --> 01:59:15.485]  Uh, spreading disease around.
[01:59:15.485 --> 01:59:18.067]  We have biological warfare going on everywhere.
[01:59:18.067 --> 01:59:19.369]  These are all parasites.
[01:59:19.369 --> 01:59:20.470]  Tell us about all the stuff that's in it.
[01:59:20.470 --> 01:59:21.811]  There's so many things that are in it.
[01:59:21.811 --> 01:59:26.316]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[01:59:26.316 --> 01:59:29.459]  I recommend doing a parasite cleanse at least twice a year.
[01:59:29.599 --> 01:59:32.640]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[01:59:32.640 --> 01:59:33.700]  It just came back in yesterday.
[01:59:33.700 --> 01:59:35.620]  Living Defense, Infowarslife.com.
[01:59:35.620 --> 01:59:36.641]  And folks, you can't lose.
[01:59:36.641 --> 01:59:39.341]  It's full of stuff that's great for your body, period.
[01:59:39.341 --> 01:59:42.622]  And you support the broadcast, Infowarslife.com.
[01:59:42.622 --> 01:59:44.863]  Thank you, Dr. Group from the Global Healing Center.
[01:59:44.863 --> 01:59:50.944]  Thank you so much for all your work, sir, on this great product.
[01:59:50.944 --> 01:59:53.545]  You're listening to the Alex Jones Show.
[02:00:03.663 --> 02:00:07.905]  All right, William Benny's with us for five more minutes, and each interview we do just gets more powerful.
[02:00:07.905 --> 02:00:10.066]  I don't know what you call the last 30 minutes.
[02:00:10.066 --> 02:00:12.126]  I mean, the memo's out.
[02:00:12.126 --> 02:00:14.427]  I'll cover that more in the next segment.
[02:00:14.427 --> 02:00:20.290]  It's an exact blueprint and sources, the document that Benny brought up last week that no one had covered.
[02:00:20.290 --> 02:00:22.611]  And, you know, if a tree falls in the forest, it doesn't make a sound.
[02:00:22.611 --> 02:00:25.452]  I mean, if nobody's there, does it make a sound?
[02:00:25.452 --> 02:00:28.713]  Yeah, that had been out from the Office of the Director of National Intelligence.
[02:00:28.713 --> 02:00:30.034]  No one was pointing it out.
[02:00:30.034 --> 02:00:30.654]  Benny did.
[02:00:31.354 --> 02:00:35.476]  And the media just went, oh, that's already been out, but no one covered it and you won't cover it.
[02:00:35.476 --> 02:00:38.678]  It's now the source of much of what's in the Nunes memo.
[02:00:38.678 --> 02:00:40.499]  Don't you feel stupid?
[02:00:40.499 --> 02:00:50.125]  So, Mr. Benning, in the four and a half minutes we have left, I've been asked a lot of questions here, but one point you wanted to make during the break that we were talking was, this lie that this is hurting the U.S.
[02:00:50.125 --> 02:00:53.187]  or hurting intelligence agencies or giving out methods.
[02:00:53.187 --> 02:00:55.508]  I'm not an expert like you, but I read the memo.
[02:00:55.508 --> 02:00:59.651]  There's nothing there but a bunch of Democrat operatives lying to get fake warrants.
[02:01:01.004 --> 02:01:10.090]  Yeah, what they're doing is they're trying to use national security issues as a way of covering up for the embarrassments to people or the crimes that people are committing.
[02:01:10.090 --> 02:01:23.458]  And I would also point out that there really wasn't any need to have the President declassify that under Executive Order 13526, Section 1.7, which governs all the classification of documents in the U.S.
[02:01:23.458 --> 02:01:23.778]  government.
[02:01:23.778 --> 02:01:27.541]  They are required to, they cannot, they cannot
[02:01:28.146 --> 02:01:41.281]  Classify and maintain classified or not declassify any documents that contain information about criminal activity or embarrassment or corruption or fraud or waste.
[02:01:41.281 --> 02:01:44.644]  They cannot use that classification to cover that.
[02:01:44.644 --> 02:01:49.630]  So, in other words, any evidence that they have of criminal activity must be declassified.
[02:01:53.007 --> 02:01:54.449]  And Trump's following that.
[02:01:54.449 --> 02:01:56.251]  He says national security has been violated.
[02:01:56.251 --> 02:01:57.953]  We have evidence of criminal activity.
[02:01:57.953 --> 02:01:59.595]  It is my duty to give this to the House.
[02:01:59.595 --> 02:02:02.899]  They have found as I have found and I'm ready to give more information to the committee.
[02:02:02.899 --> 02:02:06.184]  That has got to make the globalists and these corrupt networks crap their pants.
[02:02:07.365 --> 02:02:09.826]  It would, because they've been so criminal.
[02:02:09.826 --> 02:02:19.331]  I mean, they have been doing this against basically the entire population of the United States and the world since 2001, they've been doing this.
[02:02:19.331 --> 02:02:26.035]  And they've been using it in court of law and perjuring themselves to convict people and thousands of people are in jail because of this program.
[02:02:26.035 --> 02:02:28.656]  So, you know, they have a lot to account for.
[02:02:30.854 --> 02:02:35.035]  I would be ashamed spying on my wife or people if I had these systems.
[02:02:35.035 --> 02:02:37.976]  I would be, you know, there's just no honor.
[02:02:37.976 --> 02:02:39.856]  And I guess they're trying to recruit people who don't have honor.
[02:02:39.856 --> 02:02:42.697]  And then the good guys, I'm told, get kept low level.
[02:02:42.697 --> 02:02:53.520]  And then the bad people just get put at the top until you get people like Hayden and Clapper and Brennan, you know, before Congress saying we've never spot on one American.
[02:02:53.520 --> 02:02:54.820]  It's just it's unbelievable.
[02:02:56.178 --> 02:03:03.382]  Well, what they meant was we've never, we haven't spied on any, we have not spied on just one American.
[02:03:03.382 --> 02:03:05.063]  We've spied on them all.
[02:03:05.063 --> 02:03:06.544]  That's what it is.
[02:03:06.544 --> 02:03:08.184]  And they, they're so arrogant.
[02:03:08.184 --> 02:03:09.265]  They don't care what they say.
[02:03:09.265 --> 02:03:11.506]  They can lie to anybody or say anything they want to.
[02:03:11.506 --> 02:03:13.767]  And they don't think there's any consequence.
[02:03:13.767 --> 02:03:15.488]  This is why we have to look back.
[02:03:15.488 --> 02:03:20.471]  This is why we have to address these issues with those people and hold them accountable for what they did.
[02:03:22.503 --> 02:03:23.904]  Well, I think we've come a long way.
[02:03:23.904 --> 02:03:29.430]  We've got a long way to go, but they say the journey of a thousand miles starts with a single step.
[02:03:29.430 --> 02:03:32.453]  I think we've gone about a hundred miles into a thousand miles, and we're committed.
[02:03:32.453 --> 02:03:33.173]  We're going down the road.
[02:03:33.173 --> 02:03:34.555]  I think we're gaining speed.
[02:03:34.555 --> 02:03:36.296]  I think a lot of positive stuff's happening.
[02:03:36.296 --> 02:03:37.057]  Do you agree with that, A?
[02:03:37.057 --> 02:03:39.940]  And then, B, in closing, how does the deep state strike back, though?
[02:03:39.940 --> 02:03:42.803]  Because you were saying during the break, the FBI is kind of the scapegoat here.
[02:03:42.803 --> 02:03:43.964]  You were saying the NSA is behind it.
[02:03:45.370 --> 02:03:52.913]  Yeah, actually, I think we have a lot more to go than a thousand miles, but I think this is the break.
[02:03:52.913 --> 02:04:01.776]  And I think this break now is opening up the real rottenness in our government in Washington and in the agencies that make it up.
[02:04:01.776 --> 02:04:04.957]  And so this is where we really have to get to it.
[02:04:04.957 --> 02:04:07.557]  And it goes beyond like the FBI is the front.
[02:04:07.557 --> 02:04:11.739]  They take the flack from everybody because they figure they'll still survive because we need the FBI.
[02:04:12.566 --> 02:04:28.181]  But behind them are the supporting agencies like NSA and CIA and others who are actually helping them do and achieve what they want to do as a collective group of, I call them the Praetorian Guard, who will determine what our government does.
[02:04:28.801 --> 02:04:31.382]  And so that's why they think they have so much power.
[02:04:31.382 --> 02:04:46.490]  Now we have to shine the light on them and show them out for what they've been doing and hold those people who did it in those agencies accountable and make sure we carry through all the law and apply all the law equally to all of them.
[02:04:46.490 --> 02:04:48.791]  So Trump has to fire these people?
[02:04:48.791 --> 02:04:49.851]  I think so.
[02:04:49.851 --> 02:04:50.232]  All right.
[02:04:50.232 --> 02:04:51.812]  William Benny, thank you so much.
[02:04:51.812 --> 02:04:53.373]  Powerful information.
[02:04:53.373 --> 02:04:54.134]  Thank you so much, sir.
[02:04:54.134 --> 02:04:54.654]  We'll be right back.
[02:04:56.636 --> 02:05:02.622]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[02:05:02.622 --> 02:05:06.786]  For those who want to increase testosterone and energy levels.
[02:05:06.786 --> 02:05:13.031]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[02:05:14.813 --> 02:05:21.978]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[02:05:21.978 --> 02:05:27.802]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[02:05:27.802 --> 02:05:36.529]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including
[02:05:37.269 --> 02:05:40.632]  Eurycoma longifolia, originally from Malaysia.
[02:05:40.632 --> 02:05:46.936]  Macaru from Peru, horny goatweed from China, and tribulus from India.
[02:05:46.936 --> 02:05:50.879]  Reach your alpha male potential with Alpha Power.
[02:05:50.879 --> 02:05:56.083]  Get Alpha Power now at 50% off and secure your bottle today.
[02:06:10.003 --> 02:06:14.846]  Defending the Republic from enemies, foreign and domestic.
[02:06:14.846 --> 02:06:31.315]  It's Alex Jones, live from Austin, Texas, broadcasting worldwide from the InfoWars.com studios.
[02:06:31.315 --> 02:06:35.537]  Welcome back, ladies and gentlemen, to this historic Groundhog Day, February 2nd, 2018.
[02:06:40.720 --> 02:06:45.363]  I gotta tell you, that last 30-something minutes with William Benny was just unbelievable.
[02:06:45.363 --> 02:06:47.685]  I mean, this is history happening.
[02:06:47.685 --> 02:06:49.666]  We really are the good guys.
[02:06:49.666 --> 02:06:51.788]  We really are turning the country around.
[02:06:51.788 --> 02:07:01.254]  We really are standing up against globalism and the poison of its anti-family, transhumanist agenda.
[02:07:01.254 --> 02:07:08.059]  The telecoms, the big internet companies have already told Trump they're going to stop censoring.
[02:07:09.974 --> 02:07:16.860]  But they haven't quit, so he's going to start breaking them up next.
[02:07:16.860 --> 02:07:19.902]  And then Comey comes out, who's going to be teaching ethics.
[02:07:19.902 --> 02:07:26.108]  What a joke, when he leaked stuff to the media, lied about to Congress, was involved in this conspiracy.
[02:07:26.108 --> 02:07:27.829]  He's come out and made all these sickening statements.
[02:07:27.829 --> 02:07:29.170]  He says, that's it?
[02:07:29.170 --> 02:07:30.612]  Dishonest is a misleading memo?
[02:07:32.202 --> 02:07:40.788]  Wrecked the House Intel Committee, destroyed trust in the intelligence community, damaged relationship with FISA court, and inexplicably exposed classified information of an American citizen.
[02:07:40.788 --> 02:07:41.248]  For what?
[02:07:41.248 --> 02:07:44.510]  DOJ and FBI must keep doing their jobs.
[02:07:44.510 --> 02:07:46.632]  Which means stay behind networks.
[02:07:46.632 --> 02:07:58.740]  Doesn't matter we're all caught in memos and documents and emails and text messages admitting there's no Russian collusion and we gotta have an insurance policy and keep Trump out and on and on and on.
[02:07:58.740 --> 02:08:01.902]  Combing, arrogant, maybe
[02:08:04.136 --> 02:08:06.977]  Acromegaly or whatever causes you to have brain problems.
[02:08:06.977 --> 02:08:08.977]  They say it starts cutting into your brainstem.
[02:08:08.977 --> 02:08:10.417]  I mean, maybe something's going on with him.
[02:08:10.417 --> 02:08:15.759]  I feel sorry for his acromegaly, but other than that, he's still a person and a bad guy.
[02:08:15.759 --> 02:08:17.179]  And eight feet tall or whatever it is.
[02:08:17.179 --> 02:08:21.780]  I guess they made him the director to, like, scare people when he, like, toddles in, can hardly walk.
[02:08:21.780 --> 02:08:23.040]  It's kind of sad.
[02:08:23.040 --> 02:08:24.581]  The guy's bigger than Andre the Giant.
[02:08:24.581 --> 02:08:30.502]  I mean, he's a freak of political evil, not because of his acromegaly, but because of his arrogance.
[02:08:41.584 --> 02:09:00.678]  We now know, from the FISA document, you know, it hurt me last week when not the mainstream media, but even some of the liberty-based media said, oh, Jones just wanted to get a cheap shot in.
[02:09:01.790 --> 02:09:04.393]  And said that he'd released the secret FISA memo.
[02:09:04.393 --> 02:09:11.800]  When we said, here's the secret FISA memo declassified, there's 10% of it or so, I haven't added it all up, that's blocked out.
[02:09:11.800 --> 02:09:18.887]  But this is the illegal spying, and they say they were asked to illegally spy, and they block out who it was against and by who.
[02:09:18.887 --> 02:09:21.170]  But the word is, this is Nunes' memo.
[02:09:23.823 --> 02:09:32.385]  Nunes is going to use this as the roadmap to prove that they did it politically and didn't admit it was political and didn't admit it had been funded by the Democratic Party.
[02:09:32.385 --> 02:09:33.906]  Which is a big, big deal.
[02:09:33.906 --> 02:09:36.246]  It's perjury.
[02:09:36.246 --> 02:09:45.189]  And it hurt me that even though William Benny came on, and even though that was happening, that the media spun it, that I said this was the Nunes memo,
[02:09:47.622 --> 02:09:51.545]  Which is called the secret FISA memo, talking about the crimes.
[02:09:51.545 --> 02:09:54.586]  They had to give Nunes' memo a name.
[02:09:54.586 --> 02:10:01.911]  And the heart of it is the FISA testimony, and FISA putting a report out to the president, April 26, 2017.
[02:10:01.911 --> 02:10:06.894]  He'd only been in a couple months, and they're like, sir, this is highly classified.
[02:10:06.894 --> 02:10:09.096]  This is what they did to you.
[02:10:09.096 --> 02:10:09.936]  He wanted a report.
[02:10:09.936 --> 02:10:11.637]  He asked for a report.
[02:10:11.637 --> 02:10:13.699]  The FISA court gave him a report.
[02:10:14.758 --> 02:10:22.626]  And said there's three instances where they lied to us to get these warrants on you, Mr. President.
[02:10:22.626 --> 02:10:27.952]  And then the names of who they were surveilling and then who asked for the surveillance is blacked out.
[02:10:27.952 --> 02:10:28.713]  But this is it!
[02:10:32.452 --> 02:10:43.077]  No coverage other than Media Matters and then a few of the other publications that parrot their BS, George Soros' BS, saying Jones tried to hoax his audience.
[02:10:43.077 --> 02:10:50.261]  Well, I'm not going to get into behind-the-scenes stuff, but Benny was specifically contacted.
[02:10:50.261 --> 02:10:52.262]  And hey, we see you're on Jones' show.
[02:10:52.262 --> 02:10:53.522]  No one's covered this.
[02:10:53.522 --> 02:10:54.663]  This is part of the memo.
[02:10:54.663 --> 02:10:57.444]  This is the Rosetta Stone.
[02:10:57.444 --> 02:10:58.685]  This is what you want to look at.
[02:11:00.131 --> 02:11:01.592]  That was a few hours before Benny was on.
[02:11:01.592 --> 02:11:05.394]  He said, hey, I haven't read it all, but yeah, it's three instances of illegally doing it, blah, blah, blah.
[02:11:05.394 --> 02:11:12.537]  You had the former head of the NSA that knows all about that court telling you what was key, but what does he know?
[02:11:12.537 --> 02:11:14.078]  He's just a valiant whistleblower.
[02:11:14.078 --> 02:11:14.498]  Screw him.
[02:11:17.947 --> 02:11:23.330]  Alex Jones tries and fails to pass off publicly available document as White House GOP secret Russia memo.
[02:11:23.330 --> 02:11:23.990]  No.
[02:11:23.990 --> 02:11:34.035]  I said here's all of it that's not still classified and it's bombshell and no one had covered it except for Rob Duh and Michael Zimmerman a couple weeks before.
[02:11:34.035 --> 02:11:36.676]  Because it had been up there for a while and the White House wondered why no one saw it.
[02:11:36.676 --> 02:11:43.019]  Because they ordered the Director of National Intelligence to release almost all of it.
[02:11:43.019 --> 02:11:44.720]  Except who asked for it and who was being targeted.
[02:11:46.644 --> 02:11:49.207]  And Zimmerman's like, no, it is part of it, Alex.
[02:11:49.207 --> 02:11:50.128]  We didn't cover it weeks ago.
[02:11:50.128 --> 02:11:50.889]  And I'm like, great!
[02:11:50.889 --> 02:11:59.859]  I'm so proud of us that we're the only outlet that we know of that covered it, and I didn't even know we'd covered it because I missed that War Room episode.
[02:12:03.997 --> 02:12:05.318]  Where was Owen Schroyer then?
[02:12:05.318 --> 02:12:08.940]  He was out of town, so Zimmerman and Dude did the show.
[02:12:08.940 --> 02:12:10.701]  So, it doesn't matter.
[02:12:10.701 --> 02:12:17.686]  It's kind of like saying, how dare someone release this to WikiLeaks instead of what's in the WikiLeaks, all the crime.
[02:12:17.686 --> 02:12:18.947]  I mean, it's right here.
[02:12:18.947 --> 02:12:19.847]  It's the whole thing.
[02:12:19.847 --> 02:12:27.012]  Three times they came to us and lied, and we thought it was illegal, so we told them go back and get other orders, and then Obama told us to do it, so we did it.
[02:12:28.348 --> 02:12:45.023]  And now, we've got the actual House memo, and most of the evidence in it directly talks about the FISA court, word for word, and how they did it and how they went to the FISA court and lied to them.
[02:12:45.023 --> 02:12:45.163]  See?
[02:12:47.662 --> 02:12:48.602]  Here's the thing.
[02:12:48.602 --> 02:12:51.383]  When I'm wrong about something, I'll admit it.
[02:12:51.383 --> 02:12:55.184]  But I'm not wrong, like, three or four percent of the time.
[02:12:55.184 --> 02:13:03.706]  And then it's when I get dates upside down, or, you know, get confused, or say things wrong, or call McCabe, the director of the FBI, instead of the deputy director.
[02:13:03.706 --> 02:13:04.847]  I mean, I know he's the deputy director.
[02:13:04.847 --> 02:13:06.047]  I know it's Wray.
[02:13:06.047 --> 02:13:09.968]  I just, I don't have teleprompters, so I scramble stuff.
[02:13:09.968 --> 02:13:13.049]  Because I'll be listening to the show sometimes, and I'll go, no, that's a mistake right there.
[02:13:13.049 --> 02:13:14.189]  Five minutes later, that's a mistake.
[02:13:14.189 --> 02:13:16.210]  But it's not substantive, like,
[02:13:17.406 --> 02:13:22.770]  The boiling temperature of water or, you know, the color of the sky at high noon.
[02:13:22.770 --> 02:13:26.813]  It's just getting little factoids backwards.
[02:13:26.813 --> 02:13:30.215]  Kind of like I have informational dyslexia.
[02:13:30.215 --> 02:13:37.280]  But overall, we're dead on because we do the research and we're trying to tell the truth.
[02:13:37.280 --> 02:13:42.404]  So when I make a mistake, I'll run up and down the hallways telling you because I want you to know, hey, I didn't do that on purpose.
[02:13:42.404 --> 02:13:43.365]  But here it is.
[02:13:44.787 --> 02:13:46.008]  Enough about that.
[02:13:46.008 --> 02:13:48.490]  We've got Doug Hagman of the Hagman and Hagman.
[02:13:48.490 --> 02:13:49.872]  Always amazing sources coming up.
[02:13:49.872 --> 02:13:52.594]  He has a lot of good FBI sources that are more mid-level.
[02:13:52.594 --> 02:13:55.417]  And then he's got state police that are at the highest levels.
[02:13:55.417 --> 02:13:59.040]  And he doesn't mind us saying that because I know some of the same sources.
[02:13:59.040 --> 02:14:02.984]  I was in New York a couple years ago and had a... I'm not going to get it.
[02:14:02.984 --> 02:14:05.867]  A high-level individual and a parade walkover in uniform.
[02:14:05.867 --> 02:14:06.828]  And I was like, wow, that's the...
[02:14:08.442 --> 02:14:10.823]  That's the head of a major body.
[02:14:10.823 --> 02:14:11.523]  We're big listeners.
[02:14:11.523 --> 02:14:12.123]  Love the show.
[02:14:12.123 --> 02:14:13.523]  Doug Hagman's a great guy.
[02:14:13.523 --> 02:14:14.464]  We're buddies.
[02:14:14.464 --> 02:14:17.144]  Going back to college, and I'm just like, okay.
[02:14:17.144 --> 02:14:19.165]  That's kind of how you know Doug Hagman's really got those sources.
[02:14:19.165 --> 02:14:22.426]  Head of a police agency comes over to tell you about Doug Hagman.
[02:14:22.426 --> 02:14:28.928]  So Doug Hagman's coming up, and he can kind of get us the scuttlebutt in New Jersey and New York from the FBI and the state police.
[02:14:30.151 --> 02:14:39.657]  So he's got those sources, and he's got some judicial sources as well, but this is just such a crazy time to be alive right now.
[02:14:39.657 --> 02:14:41.418]  And anything could happen minute to minute.
[02:14:41.418 --> 02:14:43.999]  I'm not watching Netflix at night.
[02:14:43.999 --> 02:14:45.780]  I'm not even going to movies hardly.
[02:14:45.780 --> 02:14:48.522]  I'm not, because I always had a little bit of entertainment in my life.
[02:14:48.522 --> 02:14:59.188]  This is so entertaining, because it's so real and so dangerous, and I'm in it, and you're in it, and we got a bunch of jerks trying to block the recovery of the country.
[02:15:00.586 --> 02:15:04.433]  And just basic America getting control of the country again.
[02:15:04.433 --> 02:15:06.397]  Donald Trump's not a conservative.
[02:15:06.397 --> 02:15:12.468]  He's a pragmatist, libertarian, free market guy.
[02:15:12.468 --> 02:15:13.290]  He's a throwback.
[02:15:16.766 --> 02:15:18.366]  People go, oh, we want to move forward.
[02:15:18.366 --> 02:15:21.427]  America is the vanguard of free market and ideas.
[02:15:21.427 --> 02:15:24.968]  Even though we were a mix of bad things, we were the place that had that idea.
[02:15:24.968 --> 02:15:26.248]  That was something we were trying.
[02:15:26.248 --> 02:15:27.509]  So we were known for that.
[02:15:27.509 --> 02:15:29.729]  And so we're back to the future.
[02:15:29.729 --> 02:15:36.011]  Trump is the future because Trump grew up not wanting to screw people over.
[02:15:37.270 --> 02:15:40.593]  I mean, if you like to go gamble and be a fool and do whatever, he'll let you do that all day, too.
[02:15:40.593 --> 02:15:42.435]  He's certainly not an angel-tick.
[02:15:42.435 --> 02:15:47.580]  It's just, Trump doesn't like seeing poor people and unhappy people.
[02:15:47.580 --> 02:15:50.222]  He likes seeing hard-working, successful people.
[02:15:50.222 --> 02:15:53.966]  And that's why the globalists hate him, because they want a bunch of demoralized losers they can control.
[02:15:56.038 --> 02:15:58.000]  Heart disease is on the rise.
[02:15:58.000 --> 02:16:03.325]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:16:03.325 --> 02:16:04.907]  But the symptoms are there.
[02:16:04.907 --> 02:16:13.275]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:16:13.275 --> 02:16:18.961]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:16:19.341 --> 02:16:20.942]  My blood pressure has normalized.
[02:16:20.942 --> 02:16:23.203]  My diabetes has totally improved.
[02:16:23.203 --> 02:16:27.604]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:16:27.604 --> 02:16:29.785]  I recommend Heart and Body Extract to everyone.
[02:16:29.785 --> 02:16:37.608]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:16:37.708 --> 02:16:40.050]  Order your two-month supply today by calling 866-295-5305.
[02:16:40.050 --> 02:16:40.390]  That's 866-295-5305.
[02:16:40.390 --> 02:16:42.411]  Or order online at HBextract.com.
[02:16:42.411 --> 02:16:44.273]  Heart and Body Extract, 866-295-5305.
[02:16:44.273 --> 02:16:45.173]  Or HBextract.com.
[02:16:56.769 --> 02:16:58.590]  Could your house go into foreclosure?
[02:16:58.590 --> 02:17:00.350]  Are you behind on your mortgage payments?
[02:17:00.350 --> 02:17:03.672]  Does it seem like the bank has no interest in helping you save your home?
[02:17:03.672 --> 02:17:05.953]  And you feel like you have nowhere to turn for help?
[02:17:05.953 --> 02:17:07.834]  Then we have good news for you!
[02:17:07.834 --> 02:17:13.476]  Foreclosure Protection Services can help save your home as they specialize in foreclosure assistance.
[02:17:13.476 --> 02:17:14.917]  That's all they do.
[02:17:14.917 --> 02:17:21.700]  If you're behind on your mortgage payments, being threatened with foreclosure, have been denied a loan modification, or been the victim of a predatory loan,
[02:17:22.120 --> 02:17:25.564]  It's critical that you call Foreclosure Protection Services now at 800-667-9035.
[02:17:25.564 --> 02:17:32.512]  Their network of attorneys and their agents are available to speak to you now.
[02:17:32.512 --> 02:17:38.279]  If you're behind on your mortgage payments, Foreclosure Protection Services can help stop the foreclosure process.
[02:17:38.279 --> 02:17:40.441]  Call today before it's too late.
[02:17:40.441 --> 02:17:42.424]  New laws are in effect that may save your home.
[02:17:42.904 --> 02:17:44.947]  Call Foreclosure Protection Services now at 800-667-9035.
[02:17:44.947 --> 02:17:45.027]  800-667-9035.
[02:17:45.027 --> 02:17:45.247]  That's 800-667-9035.
[02:17:57.788 --> 02:18:00.390]  Matt in Ohio, you're on the air, another Matt, go ahead.
[02:18:00.390 --> 02:18:15.003]  Yeah, hey, listen, I just wanted to say real quick, I'm a long-time listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
