[00:00.000 --> 00:05.000]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[01:00:34.000 --> 01:00:56.000]  If you're not a fan of the GCI radio network, please visit us at www.RxDrugCard.com, or call us at 888-216-2461.
[01:00:56.000 --> 01:00:58.000]  Do it today!
[01:00:58.000 --> 01:01:01.000]  The possessing child pornography. Those stories end-
[01:01:01.000 --> 01:01:05.200]  This is the G.C.I. radio network.
[01:01:05.200 --> 01:01:07.040]  LBJ in Austin.
[01:01:07.040 --> 01:01:08.040]  It's five o'clock.
[01:01:08.040 --> 01:01:16.400]  USA Radio Network News, Richard Curtis reporting.
[01:01:16.400 --> 01:01:20.640]  Residents of the Northeast are bracing for a winter storm, a storm that has already caused
[01:01:20.640 --> 01:01:22.960]  havoc in the upper Midwest.
[01:01:22.960 --> 01:01:26.600]  National Weather Service meteorologist Mike Eckert says relief should be coming soon
[01:01:26.600 --> 01:01:31.080]  to the beleaguered citizens of Wisconsin, Michigan, Iowa, Indiana and other states.
[01:01:31.080 --> 01:01:36.040]  Center of low pressure is over southeastern Iowa and that low is continuing to move to
[01:01:36.040 --> 01:01:37.040]  the northeast.
[01:01:37.040 --> 01:01:41.520]  It should move into the Great Lakes by Sunday night and will continue the weekend on Monday.
[01:01:41.520 --> 01:01:46.680]  Some scary moments for Vice President Dick Cheney on a flight from Sydney, Australia.
[01:01:46.680 --> 01:01:50.800]  Australian Prime Minister John Howard says Air Force Two experienced a small electrical
[01:01:50.800 --> 01:01:51.800]  problem.
[01:01:51.800 --> 01:01:58.560]  A spokesman for the vice president says there was no danger.
[01:01:58.560 --> 01:02:04.040]  Iran's foreign minister says his country is ready for, quote, any possible option taken
[01:02:04.040 --> 01:02:08.480]  by America and, quote, the bravado comes ahead of a meeting involving the permanent members
[01:02:08.480 --> 01:02:11.600]  of the UN Security Council in Germany this week.
[01:02:11.600 --> 01:02:14.800]  Security Council members will be in London to talk about whether to increase sanctions
[01:02:14.800 --> 01:02:20.480]  on Iran following its failure to meet the February 21st deadline to end its enrichment
[01:02:20.480 --> 01:02:22.040]  of uranium.
[01:02:22.040 --> 01:02:26.160]  North Korea's chief nuclear negotiator plans to visit the U.S. within days for follow-up
[01:02:26.160 --> 01:02:28.880]  talks on a recent disarmament deal.
[01:02:28.880 --> 01:02:32.760]  And a massive manhunt away now in the dense jungles of India's troubled northeastern state
[01:02:32.760 --> 01:02:36.880]  of Manipur after 16 policemen were killed in a terrorist ambush.
[01:02:36.880 --> 01:02:38.880]  USA Radio Network News.
[01:02:38.880 --> 01:02:42.960]  Are you stressed out and tired of trying to make ends meet?
[01:02:42.960 --> 01:02:48.600]  Would you like to find a way to earn between $500 to $7,000 or more a month working from
[01:02:48.600 --> 01:02:54.320]  home with a company that gives you immediate and ongoing training, marketing, and support?
[01:02:54.320 --> 01:02:59.600]  HomeVis7.com would like to give you a free work at home information package and DVD that
[01:02:59.600 --> 01:03:03.680]  will show you how you could earn a full-time income by starting with just a few hours a
[01:03:03.680 --> 01:03:04.680]  week.
[01:03:04.680 --> 01:03:09.320]  In our first month we made over $1,000 and we've just completed our 12th month in the
[01:03:09.320 --> 01:03:13.320]  business and it looks like our check is going to be somewhere around $6,500.
[01:03:13.320 --> 01:03:18.280]  I actually made about $1,200 my very first month in the business.
[01:03:18.280 --> 01:03:20.280]  Every now and then it's well over 10 times that.
[01:03:20.280 --> 01:03:26.360]  For your free DVD and information package, please log on to HomeVis7.com.
[01:03:26.360 --> 01:03:27.360]  Shipping is not included.
[01:03:27.360 --> 01:03:30.040]  There is no cost or obligation.
[01:03:30.040 --> 01:03:33.280]  Just powerful information that could change your life.
[01:03:33.280 --> 01:03:36.160]  Log on now to HomeVis7.com.
[01:03:36.160 --> 01:03:40.760]  That's HomeVis7.com.
[01:03:40.760 --> 01:03:45.960]  The Virginia General Assembly has voted unanimously to apologize for the state's role in slavery.
[01:03:45.960 --> 01:03:51.000]  They've acknowledged the now female Native Americans, they've acknowledged the wrongs
[01:03:51.000 --> 01:03:55.120]  of slavery and expressed profound regret for both.
[01:03:55.120 --> 01:03:58.760]  Donald McKeechin is the delegate that introduced the resolution.
[01:03:58.760 --> 01:04:02.960]  Then for Broncos running back, Damien Nash has died following a charity basketball game
[01:04:02.960 --> 01:04:03.960]  in St. Louis.
[01:04:03.960 --> 01:04:05.960]  The cause of death is not immediately known.
[01:04:05.960 --> 01:04:07.960]  He was 24 years old.
[01:04:07.960 --> 01:04:11.080]  Nash is the second member of the Broncos to pass away this offseason.
[01:04:11.080 --> 01:04:16.320]  One cornerback, Darren Williams, was shot and killed January 1st while leaving a nightclub.
[01:04:16.320 --> 01:04:18.760]  Williams was also just 24.
[01:04:18.760 --> 01:04:22.760]  And a male Jaguar has killed a zookeeper at the Denver Zoo and employees had to put the
[01:04:22.760 --> 01:04:23.760]  animal down.
[01:04:23.760 --> 01:04:28.120]  The six-year-old Jaguar attacked the unidentified worker and cite its enclosure late yesterday
[01:04:28.120 --> 01:04:29.120]  morning.
[01:04:29.120 --> 01:04:32.960]  Armed employees entered the enclosure to retrieve the injured woman when the cat threatened
[01:04:32.960 --> 01:04:33.960]  them.
[01:04:33.960 --> 01:04:37.120]  The zoo was closed after the incident but the public was never in danger.
[01:04:37.120 --> 01:04:38.760]  USA Radio Network News.
[01:04:38.760 --> 01:04:45.000]  If you have an idea and need help protecting, marketing, and getting that idea to industry,
[01:04:45.000 --> 01:04:46.000]  call Synergy Consultants.
[01:04:46.000 --> 01:04:50.360]  We will give you a free invention kit that will help you understand how to protect and
[01:04:50.360 --> 01:04:53.480]  commercialize your idea so you can profit from it.
[01:04:53.480 --> 01:04:58.160]  Call for your free Inventor's Kit today, 800-557-5555.
[01:04:58.160 --> 01:05:04.240]  The Inventor's Kit is free and there is no obligation, 800-557-5555.
[01:05:04.240 --> 01:05:07.560]  Call now, 800-557-5555.
[01:05:07.560 --> 01:05:10.800]  Not available in our state.
[01:05:10.800 --> 01:05:16.040]  The UN Children's Fund says children account for half of the estimated 120,000 people
[01:05:16.040 --> 01:05:20.720]  made homeless by severe flooding in Central Mozambique and by cyclone Fabio.
[01:05:20.720 --> 01:05:25.320]  UNICEF spokesman Damian Personas says children are always the most vulnerable in situations
[01:05:25.320 --> 01:05:26.320]  of distress.
[01:05:26.320 --> 01:05:32.480]  When you have these kind of emergencies and heavy flooding, it means that the food distribution
[01:05:32.480 --> 01:05:40.080]  is totally disrupted, the lack of clean water, and the lack of proper sanitation without
[01:05:40.080 --> 01:05:44.720]  any doubt weaken their already weak body.
[01:05:44.720 --> 01:05:49.880]  And an Indonesian ferry that caught fire last week, killing at least 42 people, sank today
[01:05:49.880 --> 01:05:53.560]  as officials and journalists on board scrambled for safety.
[01:05:53.560 --> 01:05:57.840]  At least three people were missing after the incident of Jakarta and the TV television
[01:05:57.840 --> 01:06:01.320]  said one of its reporters had been killed on the twice-doomed boat.
[01:06:01.320 --> 01:06:04.040]  There's more news on USARadio.com.
[01:06:04.040 --> 01:06:08.120]  Richard Curtis reporting, USA Radio Network.
[01:06:08.120 --> 01:06:11.560]  We understand that decisions related to health can be overwhelming.
[01:06:11.560 --> 01:06:16.600]  That is why at researchderbs.com we take pride in offering you herbs whose safety and effectiveness
[01:06:16.600 --> 01:06:18.840]  have been proven time and time again.
[01:06:18.840 --> 01:06:23.760]  For example, did you know that LIV52, the top-selling natural herbal supplement for liver diseases
[01:06:23.760 --> 01:06:29.120]  since 1930, is backed by over 300 research studies and clinical trials and prescribed
[01:06:29.120 --> 01:06:32.360]  by more than 200,000 health professionals worldwide?
[01:06:32.360 --> 01:06:37.080]  In fact, the effectiveness of all the herbs featured on researchderbs.com, including those
[01:06:37.080 --> 01:06:42.480]  for cholesterol, blood pressure, diabetes, arthritis, cirrhosis, and hepatitis among
[01:06:42.480 --> 01:06:45.120]  others, is extremely well documented.
[01:06:45.120 --> 01:06:49.760]  Our website researchderbs.com was created to empower you with the information and answers
[01:06:49.760 --> 01:06:52.800]  you need to make the right health decisions.
[01:06:52.800 --> 01:07:00.880]  For more information, visit us online at researchderbs.com or call 1-800-845-3841 for
[01:07:00.880 --> 01:07:01.880]  more information.
[01:07:01.880 --> 01:07:02.880]  That's 1-800-845-3841.
[01:07:02.880 --> 01:07:26.360]  He stands for truth, he stands for justice, he stands for what's right, this is the Alex
[01:07:26.360 --> 01:07:44.400]  Jones show, call Alex now toll free at 877-590-5525, now live from Austin, Texas, here Alex Jones.
[01:07:44.400 --> 01:07:52.560]  Well last September, the North American Union government met in secret in Canada and now
[01:07:52.560 --> 01:07:57.400]  they've met again, but publicly putting out their propaganda before the show ends, I'll
[01:07:57.400 --> 01:08:03.320]  get into that news, ties into the toll roads, ties into the open borders, the amnesty, all
[01:08:03.320 --> 01:08:04.320]  of it.
[01:08:04.320 --> 01:08:05.320]  We're going to go to your calls now.
[01:08:05.320 --> 01:08:12.400]  The toll free number is 877-590-5525, that's 877-590-KLBJ, or locally in Central Texas
[01:08:12.400 --> 01:08:18.160]  836-0590, whether you're listening in Illinois or Northern Virginia or Kansas City or out
[01:08:18.160 --> 01:08:24.400]  in California or Tennessee, upstate New York, you're welcome to call in or anywhere on the
[01:08:24.400 --> 01:08:30.320]  internet, satellite or short way for that matter, but let me just recap, I can't put
[01:08:30.320 --> 01:08:32.080]  this in words how important the story is.
[01:08:32.080 --> 01:08:36.320]  We know the Oklahoma City bombing was an inside job, carried out to bring America into a police
[01:08:36.320 --> 01:08:39.360]  state and get the FBI and BATF more funding.
[01:08:39.360 --> 01:08:43.640]  We know most people in government weren't involved in it or good people, it's the criminals
[01:08:43.640 --> 01:08:47.160]  running it that are involved in it, and we know that McVeigh was a patsy, we know there
[01:08:47.160 --> 01:08:50.360]  were Iraqis involved, we know that there were white supremacists involved.
[01:08:50.360 --> 01:08:55.360]  But as patsy has been directed by the FBI, and now here comes the mainstream news, Nichols
[01:08:55.360 --> 01:09:02.560]  McVeigh had high level help, FBI help, Oklahoma City bombing conspirator Terry Nichols says
[01:09:02.560 --> 01:09:06.360]  a high-ranking FBI official apparently was directing Timothy McVeigh in the plot to blow
[01:09:06.360 --> 01:09:11.080]  up a government building and might have changed the original target of the attack according
[01:09:11.080 --> 01:09:14.160]  to a new affidavit following the U.S. District Court in Utah.
[01:09:14.160 --> 01:09:19.760]  Salt Lake City Tribune headline, Nichols McVeigh had high-level FBI help, and it goes on,
[01:09:19.760 --> 01:09:23.080]  the official and other conspirators are being protected by the federal government and a
[01:09:23.080 --> 01:09:28.040]  cover up to escape its responsibility for the loss of life in Oklahoma.
[01:09:28.040 --> 01:09:32.440]  The evidence points towards bombs inside the government running the op, others are saying
[01:09:32.440 --> 01:09:37.560]  well it was a sting gone bad, yeah where they cook the bomb and train everybody as usual.
[01:09:37.560 --> 01:09:42.160]  Documents that just supposedly help back up his allegations have been sealed to protect
[01:09:42.160 --> 01:09:45.840]  information in them such as social security numbers and dates of birth.
[01:09:45.840 --> 01:09:48.920]  The U.S. Attorney's office in Utah had no comment on the allegations.
[01:09:48.920 --> 01:09:54.520]  The FBI and Justice Department in Washington D.C. also declined comment and it goes on
[01:09:54.520 --> 01:09:58.040]  to say Nichols does not know the motive the government would have to be involved in the
[01:09:58.040 --> 01:09:59.040]  bombing.
[01:09:59.040 --> 01:10:02.800]  The affidavit was filed in a lawsuit brought by Salt Lake City Attorney Jesse Trinadu who
[01:10:02.800 --> 01:10:06.880]  believes his brother's death in federal prison was linked to the Oklahoma City bombing.
[01:10:06.880 --> 01:10:10.520]  The suit which seeks documents from the FBI under the Federal Freedom Information Act
[01:10:10.520 --> 01:10:14.640]  alleges that authorities mistook Kenneth Trinadu for a bombing conspirator who they also tortured
[01:10:14.640 --> 01:10:20.040]  to death and hung and that guards killed him in an interrogation that got out of hand and
[01:10:20.040 --> 01:10:23.920]  it goes on from there and that's how he got involved in this.
[01:10:23.920 --> 01:10:27.040]  Now they were able to see the documents before they were sealed.
[01:10:27.040 --> 01:10:32.080]  We now have gotten the documents when they were unsealed minus, and we're the only people
[01:10:32.080 --> 01:10:36.320]  that have these now, now you can get them at prisonplanet.com, minus the exhibits.
[01:10:36.320 --> 01:10:41.800]  He went back to the judge and got the basic filing unsealed and we have that up on the
[01:10:41.800 --> 01:10:44.480]  websites for you right now.
[01:10:44.480 --> 01:10:47.640]  This is so important but here is the desert news.
[01:10:47.640 --> 01:10:52.160]  The most shocking allegation in the 19 page signed declaration is that Nichols assertion
[01:10:52.160 --> 01:10:57.040]  that the whole bombing plot was an FBI operation that McVeigh let slip during a bout of anger
[01:10:57.040 --> 01:11:01.800]  that he was taking instruction from former FBI official Larry Potts.
[01:11:01.800 --> 01:11:08.440]  And going back to the Salt Lake City Tribune article, McVeigh told him, Nichols, he was
[01:11:08.440 --> 01:11:11.920]  recruited for underground missions while serving the military according to Nichols.
[01:11:11.920 --> 01:11:15.440]  He says he learned sometime in 95 that there had been a change in the bombing target and
[01:11:15.440 --> 01:11:17.960]  then McVeigh was very upset about that.
[01:11:17.960 --> 01:11:22.960]  It just goes on and on and on and the big news here is, this has been in two newspapers
[01:11:22.960 --> 01:11:27.800]  and on prisonplanet.com and infowars.com, has even been on the front page of Google
[01:11:27.800 --> 01:11:32.120]  News, if you type in Oklahoma City bombing, our stories are number one, meaning they're
[01:11:32.120 --> 01:11:36.920]  getting the most visitors and it's being accepted by Google as news, go through a vetting process
[01:11:36.920 --> 01:11:38.240]  because they went and researched it.
[01:11:38.240 --> 01:11:42.840]  It's been one of the number one stories on dig.com which is like 54 on the web, was 55
[01:11:42.840 --> 01:11:47.280]  last week, giving out a drudge, it's like 500 and something in ranking.
[01:11:47.280 --> 01:11:51.520]  This is a huge story in the underground media which is now becoming the dominant media because
[01:11:51.520 --> 01:11:54.920]  mainstream media refuses to report on this.
[01:11:54.920 --> 01:12:00.680]  Let's go ahead and talk to Tony in Arlington and you're on the air.
[01:12:00.680 --> 01:12:01.680]  Thanks for holding.
[01:12:01.680 --> 01:12:03.680]  Hey, Alex, where do I start?
[01:12:03.680 --> 01:12:04.680]  I'm sick.
[01:12:04.680 --> 01:12:05.680]  Yeah.
[01:12:05.680 --> 01:12:09.880]  Well, it's good thing the mainstream media is covering important stories like Britney
[01:12:09.880 --> 01:12:10.880]  Shaving Her Head.
[01:12:10.880 --> 01:12:12.360]  Oh, that's the cover of Newsweek.
[01:12:12.360 --> 01:12:17.040]  I was in a grocery store this morning, it's girls gone bad, girls gone wild, oh my, this
[01:12:17.040 --> 01:12:18.040]  is so important.
[01:12:18.040 --> 01:12:19.600]  Ann and Nicole Smith, who cares?
[01:12:19.600 --> 01:12:21.600]  Yeah, isn't that great?
[01:12:21.600 --> 01:12:23.560]  My question, couple of questions quickly, Alex.
[01:12:23.560 --> 01:12:27.720]  Well, let me just ask you, because I just spent an hour not taking calls trying to condense
[01:12:27.720 --> 01:12:28.720]  it all down.
[01:12:28.720 --> 01:12:30.840]  I mean, could you follow that?
[01:12:30.840 --> 01:12:32.840]  Was that put together well or?
[01:12:32.840 --> 01:12:33.840]  It was very cogent.
[01:12:33.840 --> 01:12:34.840]  No, it was very well put together.
[01:12:34.840 --> 01:12:35.840]  This is such a big issue.
[01:12:35.840 --> 01:12:40.080]  Well, here's the thing that's been living.
[01:12:40.080 --> 01:12:44.560]  It's not breaking in the US, the state, the Salt Lake City Tribune.
[01:12:44.560 --> 01:12:51.840]  My question is, when or how do you think the smoking down evidence, the part of the what
[01:12:51.840 --> 01:12:55.600]  is sealed, do you think that will ever see the light of day in the mainstream media?
[01:12:55.600 --> 01:12:59.840]  The second thing is, if it does, do you see this as a possible watershed?
[01:12:59.840 --> 01:13:02.040]  Okay, so it was bad enough.
[01:13:02.040 --> 01:13:05.600]  I'm not diminishing that, and I'm certainly not diminishing your work here.
[01:13:05.600 --> 01:13:10.840]  But it points towards 9-11, and if we can prove OKC was an inside job, then the logical
[01:13:10.840 --> 01:13:11.840]  extension is 9-11.
[01:13:11.840 --> 01:13:15.920]  Well, yeah, I mean, you know, A leads to B, and if they can do that, you know, what
[01:13:15.920 --> 01:13:16.920]  can't they do?
[01:13:16.920 --> 01:13:19.000]  I mean, what won't a rat do at that point?
[01:13:19.000 --> 01:13:22.800]  Well, let's go back to what you said earlier.
[01:13:22.800 --> 01:13:26.800]  And you know, basically, will this break, will this come out?
[01:13:26.800 --> 01:13:30.040]  There have been three separate lawsuits by insurance companies and others, and the feds
[01:13:30.040 --> 01:13:35.360]  would never release the surveillance video of the bombing happening.
[01:13:35.360 --> 01:13:39.560]  And we have newscasts, the documents, it's all in Rotority, where people can go to Google
[01:13:39.560 --> 01:13:44.120]  Video, type in the Rotority, watch my film for free, you can buy it on DVD, infoawards.com,
[01:13:44.120 --> 01:13:47.880]  if you want, but don't let that stop you, go watch it for free, and you'll see all the
[01:13:47.880 --> 01:13:51.360]  newscasts, you'll witness it all for yourselves.
[01:13:51.360 --> 01:13:52.980]  I mean, this is admitted.
[01:13:52.980 --> 01:13:57.560]  So we have FBI agents who went public and said, yeah, it's McVeigh with these Arabs.
[01:13:57.560 --> 01:14:01.280]  OK, and that fits in, and we know that they were there, but we know they were on federal
[01:14:01.280 --> 01:14:02.280]  payroll.
[01:14:02.280 --> 01:14:03.760]  This is all part of these black ops.
[01:14:03.760 --> 01:14:06.840]  So no, I don't think they're going to release these seal documents.
[01:14:06.840 --> 01:14:10.000]  The problem is, is that some lawyers out there have them, and who knows if they're going
[01:14:10.000 --> 01:14:11.000]  to be surfacing.
[01:14:11.000 --> 01:14:12.000]  Well, I'm just livid.
[01:14:12.000 --> 01:14:16.320]  Alice, I started this, you know, after 9-11, I was a skeptic, quite honestly, I heard of
[01:14:16.320 --> 01:14:19.400]  you, I did your website, I said, nah, just another cuckoo.
[01:14:19.400 --> 01:14:20.400]  Well, you know what?
[01:14:20.400 --> 01:14:25.920]  I did some research on my own, and I'm college educated, I've got a background that, you
[01:14:25.920 --> 01:14:31.560]  know, I'm very interested in 9-11 for personal reasons, and I've seen the light, I mean,
[01:14:31.560 --> 01:14:35.640]  you can't deny certain things, and I'll let you go, but I just wanted to say if there's
[01:14:35.640 --> 01:14:40.160]  any way this can see the light of day and hit the mainstream news just for a day or
[01:14:40.160 --> 01:14:43.200]  two, maybe it'll wake some more folks up.
[01:14:43.200 --> 01:14:44.200]  I hear you.
[01:14:44.200 --> 01:14:45.760]  I mean, frankly, I've got a family.
[01:14:45.760 --> 01:14:46.760]  I enjoy my life.
[01:14:46.760 --> 01:14:49.160]  I don't even like covering issues like this.
[01:14:49.160 --> 01:14:51.400]  This is dangerous, folks.
[01:14:51.400 --> 01:14:55.480]  And I mean, I'm here witnessing all this, I'm here covering this, Trinidad comes on
[01:14:55.480 --> 01:14:59.520]  the show and says, yeah, you really broke this three years ago.
[01:14:59.520 --> 01:15:02.120]  We laid this out a long time before that.
[01:15:02.120 --> 01:15:03.760]  And but they killed those people.
[01:15:03.760 --> 01:15:05.680]  They killed those children in that daycare.
[01:15:05.680 --> 01:15:09.880]  They did it to turn America into a police state, and somebody's got to stand up, somebody's
[01:15:09.880 --> 01:15:10.880]  got to fight this.
[01:15:10.880 --> 01:15:15.240]  Let's go ahead and talk to Robert, Ian Austin, Robert, you're on the air.
[01:15:15.240 --> 01:15:16.240]  Yes, Alex.
[01:15:16.240 --> 01:15:18.240]  How's it going?
[01:15:18.240 --> 01:15:19.240]  Good.
[01:15:19.240 --> 01:15:25.800]  About the OKC thing, I have a question later, but first on Foxnews.com today, if you go
[01:15:25.800 --> 01:15:30.400]  to the latest news, you'll see smart cams do flag suspicious behavior.
[01:15:30.400 --> 01:15:34.680]  Yeah, they're going to put cameras in all of the backs of the seats just to watch your
[01:15:34.680 --> 01:15:38.840]  every movement on the airplanes with computers analyzing it.
[01:15:38.840 --> 01:15:41.600]  It's more fraud than the lie detector ever was.
[01:15:41.600 --> 01:15:43.520]  It's just an excuse to totally surveil us.
[01:15:43.520 --> 01:15:44.520]  Let me give you one new.
[01:15:44.520 --> 01:15:46.760]  We're going to put them in all the new cars, but go ahead.
[01:15:46.760 --> 01:15:47.760]  OK.
[01:15:47.760 --> 01:15:48.760]  Get this.
[01:15:48.760 --> 01:15:55.000]  This is from the article surveillance cameras are common in many cities, monitoring tough
[01:15:55.000 --> 01:15:59.840]  street corners to deter crime, watching over sensitive government buildings, et cetera.
[01:15:59.840 --> 01:16:05.160]  Then it says the innovations could mean fewer people would be needed to watch what they record
[01:16:05.160 --> 01:16:10.160]  and make it easier to install more in public places and private homes.
[01:16:10.160 --> 01:16:11.400]  Well, that's right.
[01:16:11.400 --> 01:16:15.880]  The Houston police chief, and I'm not making this up, was in the Associated Press last year.
[01:16:15.880 --> 01:16:19.800]  Just type into Google, Houston police chief wants cameras in homes, and they didn't say
[01:16:19.800 --> 01:16:20.800]  criminals homes.
[01:16:20.800 --> 01:16:21.800]  That's how it will start.
[01:16:21.800 --> 01:16:24.560]  No, everybody's house needs cameras with the police watching you.
[01:16:24.560 --> 01:16:27.960]  Sir, they put cameras in thousands of school bathrooms.
[01:16:27.960 --> 01:16:28.960]  OK.
[01:16:28.960 --> 01:16:34.120]  I remember eight years ago, almost nine years ago in 1999, I guess eight years ago, seeing
[01:16:34.120 --> 01:16:38.680]  the Associated Press report that in Michigan, they put them in the stalls in highway stops.
[01:16:38.680 --> 01:16:44.800]  I mean, again, it's 1984, you've got a decadent, dumb-down public that has no idea what's being
[01:16:44.800 --> 01:16:45.800]  set up.
[01:16:45.800 --> 01:16:46.800]  Quickly, you're OK, C-Common.
[01:16:46.800 --> 01:16:47.800]  I've got to go to break.
[01:16:47.800 --> 01:16:48.800]  Yes.
[01:16:48.800 --> 01:16:53.480]  I was wondering, you've talked about this before, but the results of the bombing, was
[01:16:53.480 --> 01:16:57.200]  there any legislation passed, or did they try to pass anything, or is it just sort of
[01:16:57.200 --> 01:16:58.200]  a tie-off?
[01:16:58.200 --> 01:16:59.200]  Yes.
[01:16:59.200 --> 01:17:00.360]  Let me break that down when we get back.
[01:17:00.360 --> 01:17:01.360]  I appreciate your call.
[01:17:01.360 --> 01:17:02.360]  Stay with us.
[01:17:02.360 --> 01:17:03.360]  More calls, more news.
[01:17:03.360 --> 01:17:09.600]  Hey, Jane, how's it going?
[01:17:09.600 --> 01:17:12.080]  Gosh, I'm not doing so well.
[01:17:12.080 --> 01:17:16.040]  Even though I'm doing everything I'm supposed to do, my blood sugar is way out of control.
[01:17:16.040 --> 01:17:18.240]  Oh, Jane, I'm sorry to hear that.
[01:17:18.240 --> 01:17:22.960]  I have to monitor my blood sugar again if there was only something natural I could take
[01:17:22.960 --> 01:17:26.160]  that would help control my blood sugar that really works.
[01:17:26.160 --> 01:17:28.280]  Have you tried sucrablast?
[01:17:28.280 --> 01:17:32.440]  For millions of Americans who can't keep their high blood sugar levels off their minds,
[01:17:32.440 --> 01:17:34.520]  here's sucrablast.
[01:17:34.520 --> 01:17:38.840]  Sucrablast is the all-natural way to help keep your high blood sugar levels under control.
[01:17:38.840 --> 01:17:43.440]  For a limited time, you can get a free consultation from a sucrablast specialist.
[01:17:43.440 --> 01:17:53.280]  Call 1-800-99-HEALTHY, that's 1-800-99-HEALTHY, or visit them on the web at mybloodsugarbreakthrough.com.
[01:17:53.280 --> 01:17:55.320]  That's mybloodsugarbreakthrough.com.
[01:17:55.320 --> 01:17:57.880]  So, Jane, what do you think?
[01:17:57.880 --> 01:18:02.120]  I'm going to call sucrablast to set up a free consultation right now.
[01:18:02.120 --> 01:18:03.120]  Excellent, Jane.
[01:18:03.120 --> 01:18:06.720]  You'll be glad you did.
[01:18:06.720 --> 01:18:14.320]  Ted Anders for Midas, February 23rd, 2007, Gold 68310 oz. Gold coins are at 70492-35501
[01:18:14.320 --> 01:18:17.040]  for half, 17748 for quarter oz.
[01:18:17.040 --> 01:18:21.680]  That's 70492-35501-17748.
[01:18:21.680 --> 01:18:28.840]  On June 4th, 1963, an unknown presidential decree, Executive Order 11110, was signed
[01:18:28.840 --> 01:18:33.280]  with the authority to strip the Federal Reserve Bank of its power to lend money to the United
[01:18:33.280 --> 01:18:34.960]  States government in interest.
[01:18:34.960 --> 01:18:38.280]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[01:18:38.280 --> 01:18:42.740]  The November assassination quieted the production of the new currency, however, the Executive
[01:18:42.740 --> 01:18:45.080]  Order still stands unrepealed.
[01:18:45.080 --> 01:18:51.320]  Midas has the Kennedy v. Fed document, call 800-686-2237.
[01:18:51.320 --> 01:18:56.600]  Unlike your liberty, the paper is free, call 800-686-2237.
[01:18:56.600 --> 01:19:03.120]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[01:19:03.120 --> 01:19:05.120]  That's 800-686-2237.
[01:19:05.120 --> 01:19:15.120]  It's year after a year in production and traveling the distant lands, my new film Terror Storm
[01:19:15.120 --> 01:19:16.120]  is complete.
[01:19:16.120 --> 01:19:19.840]  Shocking, declassified government documents prove that Western governments are orchestrating
[01:19:19.840 --> 01:19:24.680]  terror attacks against their own populations as a pretext to enslave them.
[01:19:24.680 --> 01:19:29.560]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in
[01:19:29.560 --> 01:19:32.040]  London were carried out by British intelligence.
[01:19:32.040 --> 01:19:36.240]  Terror Storm Chronicles, the lies that took us to war in Iran, a White House program to
[01:19:36.240 --> 01:19:42.560]  disseminate fake news, NSA spying, secret police torture, the latest 9-11 information,
[01:19:42.560 --> 01:19:43.560]  and much, much more.
[01:19:43.560 --> 01:19:47.680]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:19:47.680 --> 01:19:49.920]  It's an anthology of government crimes.
[01:19:49.920 --> 01:19:54.440]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:19:54.440 --> 01:20:03.200]  Get your copy today on Infowars.com or PrisonPlanet.com, or by calling toll 3-1-888-2533139, or watch
[01:20:03.200 --> 01:20:07.680]  it right now online at PrisonPlanet.tv.
[01:20:07.680 --> 01:20:09.280]  Government is best, which governs least.
[01:20:09.280 --> 01:20:10.780]  Wake up and smell the fascism.
[01:20:10.780 --> 01:20:13.920]  Being in government means never having to say you're sorry.
[01:20:13.920 --> 01:20:17.160]  What part of unconstitutional do not understand, George?
[01:20:17.160 --> 01:20:21.920]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still
[01:20:21.920 --> 01:20:24.880]  have is our freedom of speech.
[01:20:24.880 --> 01:20:28.680]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty
[01:20:28.680 --> 01:20:33.200]  stickers from humorous to serious at LibertyStickers.com.
[01:20:33.200 --> 01:20:36.920]  LibertyStickers.com can even customize your own bumper stickers.
[01:20:36.920 --> 01:20:39.680]  It's time to stand up for what you believe.
[01:20:39.680 --> 01:20:40.760]  Invest in your freedom.
[01:20:40.760 --> 01:20:45.800]  Get your stickers at LibertyStickers.com for your family, friends and community.
[01:20:45.800 --> 01:20:56.360]  Go to LibertyStickers.com or call 877-873-9626, that's 877-873-9626 and express your freedom
[01:20:56.360 --> 01:20:57.920]  of speech today.
[01:20:57.920 --> 01:21:09.720]  Call 877-873-9626, that's 877-873-9626.
[01:21:09.720 --> 01:21:12.120]  Thank you for listening to GCN.
[01:21:12.120 --> 01:21:18.520]  Be sure to visit GCNLive.com today.
[01:21:18.520 --> 01:21:21.000]  Raging for the Truth.
[01:21:21.000 --> 01:21:22.480]  Exposing corruption.
[01:21:22.480 --> 01:21:26.240]  Dismantling the false left-right paradigm.
[01:21:26.240 --> 01:21:29.240]  He's Alex Jones.
[01:21:29.240 --> 01:21:37.660]  Alright, I just typed into Google Oklahoma bombing into the news and into their news
[01:21:37.660 --> 01:21:46.640]  area and it says, K-T-E-N-T-V at Oklahoma City did report on it, Oklahoma City bombing.
