[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[2:09:50.000 --> 2:09:55.000]  3.7 billion pounds a year spent at the BBC.
[2:09:55.000 --> 2:09:59.000]  They admit almost their whole mission is just online, BBC.com and infowarsteam.com.
[2:09:59.000 --> 2:10:01.000]  Only one small part of what we do is bigger than them.
[2:10:01.000 --> 2:10:04.000]  But this is not about a brag fest.
[2:10:04.000 --> 2:10:06.000]  It's about understanding why they're doing this.
[2:10:06.000 --> 2:10:07.000]  We're killing them.
[2:10:07.000 --> 2:10:10.000]  And so now they're going to the state saying, shut down our competition.
[2:10:10.000 --> 2:10:12.000]  I always talked about this perfect storm.
[2:10:12.000 --> 2:10:17.000]  That if we were able to focus and take action and put the truth out about the New World Order,
[2:10:17.000 --> 2:10:20.000]  and how they were establishing a corporate world government,
[2:10:20.000 --> 2:10:24.000]  and defeat their whole Stonewall operation, like they do on everything.
[2:10:24.000 --> 2:10:26.000]  Oh, we don't want your guns, but they do.
[2:10:26.000 --> 2:10:28.000]  Oh, Obama here is free, but it isn't.
[2:10:28.000 --> 2:10:32.000]  Oh, there's no IRS penalties, but there is.
[2:10:32.000 --> 2:10:38.000]  If we ever break them of their Stonewalling, then all the confidence disappears.
[2:10:38.000 --> 2:10:40.000]  Their strategy was an all or nothing.
[2:10:40.000 --> 2:10:43.000]  But when you hit that point of their collapse,
[2:10:43.000 --> 2:10:49.000]  they're going to then go for governmental censorship of real independent media.
[2:10:49.000 --> 2:10:53.000]  Doesn't matter whether it's left wing, right wing, anti-war, pro-war, it doesn't matter.
[2:10:53.000 --> 2:10:55.000]  They want centralized control.
[2:10:55.000 --> 2:11:01.000]  And the big issue is, whether it's the Pope or the Communist Chinese or the Saudi Arabians or the EU,
[2:11:01.000 --> 2:11:02.000]  the perfect storm is here.
[2:11:02.000 --> 2:11:04.000]  We're collapsing corrupt governments.
[2:11:04.000 --> 2:11:09.000]  And collapsing dinosaur media, pretty much already state run,
[2:11:09.000 --> 2:11:13.000]  is now openly preparing to fuse with government and the UN,
[2:11:13.000 --> 2:11:16.000]  as the Soros email showed via DC leaks and WikiLeaks,
[2:11:16.000 --> 2:11:19.000]  and trying to censor us and shut us down.
[2:11:19.000 --> 2:11:23.000]  And to do that, they're going to go to new levels of fake media
[2:11:23.000 --> 2:11:28.000]  and say and do things that are completely 100% untrue
[2:11:28.000 --> 2:11:34.000]  in a desperate attempt to get their flagging minion audience to support what they're doing.
[2:11:34.000 --> 2:11:37.000]  The problem is we have a Bill of Rights and Constitution to do process.
[2:11:37.000 --> 2:11:41.000]  And so good luck for you actually trying to totally censor us.
[2:11:41.000 --> 2:11:43.000]  Though they're going to delist our apps,
[2:11:43.000 --> 2:11:46.000]  though they're going to try to put filter systems on us,
[2:11:46.000 --> 2:11:47.000]  though they're going to lie about us,
[2:11:47.000 --> 2:11:50.000]  though they're going to try to block us out in Europe,
[2:11:50.000 --> 2:11:54.000]  they still will not be successful, especially if we point out what's happening
[2:11:54.000 --> 2:11:56.000]  while it's happening to the public.
[2:11:56.000 --> 2:11:59.000]  Because if we actually fight back resistance's victory,
[2:11:59.000 --> 2:12:03.000]  it'll build our political muscles and our free speech muscles
[2:12:03.000 --> 2:12:06.000]  like the example of the EU's trying to ban
[2:12:06.000 --> 2:12:10.000]  and France is trying to ban pro-life information online.
[2:12:10.000 --> 2:12:12.000]  I mean, that's just outrageous, folks.
[2:12:12.000 --> 2:12:14.000]  But again, the answer is resisted.
[2:12:14.000 --> 2:12:17.000]  Everybody who's pro-life start posting information.
[2:12:17.000 --> 2:12:18.000]  Start doing it globally.
[2:12:18.000 --> 2:12:20.000]  Because just as they attack us on a global scale,
[2:12:20.000 --> 2:12:22.000]  people that want freedom worldwide,
[2:12:22.000 --> 2:12:24.000]  we're also fighting on a global scale.
[2:12:24.000 --> 2:12:26.000]  Americans help fight for Brexit.
[2:12:26.000 --> 2:12:29.000]  Folks that were part of Brexit helped fight for Trump.
[2:12:29.000 --> 2:12:30.000]  Vice versa.
[2:12:30.000 --> 2:12:34.000]  We're going to help fight for Le Pen.
[2:12:34.000 --> 2:12:36.000]  We're going to help fight for the folks in Catalonia.
[2:12:36.000 --> 2:12:39.000]  We're going to help fight for the Russians to stay out of the New World Order.
[2:12:39.000 --> 2:12:42.000]  This is a global nationalistic awakening,
[2:12:42.000 --> 2:12:44.000]  what I call 1776 worldwide.
[2:12:44.000 --> 2:12:49.000]  But it is truly, truly.
[2:12:49.000 --> 2:12:51.000]  The reason I get so excited about all this
[2:12:51.000 --> 2:12:55.000]  and start even getting shortness of breath is it's so epic.
[2:12:55.000 --> 2:12:56.000]  It's so historical.
[2:12:56.000 --> 2:13:00.000]  Do you understand we have the political information that's real?
[2:13:00.000 --> 2:13:02.000]  We have the enemy battle plans.
[2:13:02.000 --> 2:13:05.000]  They've created a completely synthetic,
[2:13:05.000 --> 2:13:09.000]  false cultural, economic, and political system
[2:13:09.000 --> 2:13:13.000]  that's designed to not work and designed to disempower people.
[2:13:13.000 --> 2:13:17.000]  The system we are promoting, the American system,
[2:13:17.000 --> 2:13:20.000]  that I keep saying was the apple of the world's eye,
[2:13:20.000 --> 2:13:23.000]  I have thousands of articles I can be covering right now.
[2:13:23.000 --> 2:13:25.000]  But why am I going back to something I keep hammering?
[2:13:25.000 --> 2:13:27.000]  Because this is the central fight.
[2:13:27.000 --> 2:13:29.000]  We expose globalism.
[2:13:29.000 --> 2:13:31.000]  We expose it's unelected.
[2:13:31.000 --> 2:13:32.000]  We expose it's illegitimate.
[2:13:32.000 --> 2:13:35.000]  It's going to fall.
[2:13:35.000 --> 2:13:38.000]  But before it completely falls,
[2:13:38.000 --> 2:13:40.000]  it will try to shut us down
[2:13:40.000 --> 2:13:44.000]  in a desperate attempt to keep itself in power.
[2:13:44.000 --> 2:13:46.000]  And we're now reaching that point.
[2:13:46.000 --> 2:13:49.000]  First they ignore you, then they laugh at you,
[2:13:49.000 --> 2:13:52.000]  then they attack you, then you win, as Mahatma Gandhi said.
[2:13:52.000 --> 2:13:54.000]  And regardless of what you thought about Gandhi,
[2:13:54.000 --> 2:13:56.000]  he was dead right when it came to that.
[2:13:56.000 --> 2:14:00.000]  Self-determination and the free will driving it
[2:14:00.000 --> 2:14:02.000]  is basically unstoppable.
[2:14:02.000 --> 2:14:04.000]  So we've now reached the vortex point.
[2:14:04.000 --> 2:14:06.000]  We've now reached the critical juncture,
[2:14:06.000 --> 2:14:09.000]  the point of return where we have the president
[2:14:09.000 --> 2:14:12.000]  of the United States openly coming out
[2:14:12.000 --> 2:14:15.000]  and saying, censor the alternative media,
[2:14:15.000 --> 2:14:19.000]  the new media, and have propped up state-run media,
[2:14:19.000 --> 2:14:22.000]  and to watch the sycophantic mainstream media lap dogs
[2:14:22.000 --> 2:14:25.000]  perch in his lap and just sit there
[2:14:25.000 --> 2:14:29.000]  fondly loving him is the most pathetic thing in the world.
[2:14:29.000 --> 2:14:31.000]  And that's all the globalists have left
[2:14:31.000 --> 2:14:33.000]  is state-run media and control,
[2:14:33.000 --> 2:14:35.000]  and then of course staging events
[2:14:35.000 --> 2:14:37.000]  or hyping events to demonize their opposition.
[2:14:37.000 --> 2:14:42.000]  That's it. And that's why Anderson Cooper last night,
[2:14:42.000 --> 2:14:44.000]  and again, there's so many of these pieces,
[2:14:44.000 --> 2:14:45.000]  I can't even keep track of them,
[2:14:45.000 --> 2:14:47.000]  but what I should announce here is this,
[2:14:47.000 --> 2:14:52.000]  infowars.com and Stephen Bannon of Breitbart
[2:14:52.000 --> 2:14:55.000]  are the most attacked, of course, along with Drudge,
[2:14:55.000 --> 2:15:01.000]  just perpetually, are the most attacked organizations out there.
[2:15:01.000 --> 2:15:03.000]  It's not Rush Limbaugh anymore, it's not any of that.
[2:15:03.000 --> 2:15:04.000]  And another thing that's Rush,
[2:15:04.000 --> 2:15:07.000]  he's talking to a very old audience of great folks,
[2:15:07.000 --> 2:15:09.000]  but that's all moving on.
[2:15:09.000 --> 2:15:11.000]  The future, what's currently happening,
[2:15:11.000 --> 2:15:14.000]  the real election war, where we're gaining ground
[2:15:14.000 --> 2:15:18.000]  is drudgereport.com, infowars.com, Breitbart.com,
[2:15:18.000 --> 2:15:20.000]  and the direction Bannon's taking Breitbart,
[2:15:20.000 --> 2:15:23.000]  even more hardcore, more anti-globalists,
[2:15:23.000 --> 2:15:25.000]  more so than just anti-liberal, because liberalism,
[2:15:25.000 --> 2:15:27.000]  modern liberalism's only a small factor
[2:15:27.000 --> 2:15:31.000]  in that subset of its control arm, their fake liberals.
[2:15:31.000 --> 2:15:34.000]  And it's this paradigm shift that will overthrow them.
[2:15:34.000 --> 2:15:37.000]  They've got to keep us in a fake, false system,
[2:15:37.000 --> 2:15:41.000]  because that will keep people basically in a box
[2:15:41.000 --> 2:15:42.000]  and won't be able to get out of it.
[2:15:42.000 --> 2:15:46.000]  The minute you see the full system, it's game over, it's over.
[2:15:46.000 --> 2:15:49.000]  So again, we are on the verge of moves
[2:15:49.000 --> 2:15:52.000]  that will bring us to victory against this system.
[2:15:52.000 --> 2:15:54.000]  We'll still have problems, obviously,
[2:15:54.000 --> 2:15:56.000]  there's no perfect system, but true free market,
[2:15:56.000 --> 2:15:58.000]  compared to crony capitalism,
[2:15:58.000 --> 2:16:02.000]  using socialism and communism as control arms,
[2:16:02.000 --> 2:16:04.000]  there's no comparison.
[2:16:04.000 --> 2:16:07.000]  So I'm going to play a clip coming up here
[2:16:07.000 --> 2:16:11.000]  with Cooper breathlessly five times in one minute
[2:16:11.000 --> 2:16:13.000]  saying, will you denounce infowars
[2:16:13.000 --> 2:16:15.000]  to one of the Trump surrogates,
[2:16:15.000 --> 2:16:19.000]  one of the Trump administration people?
[2:16:19.000 --> 2:16:21.000]  And of course, the guy won't disavow,
[2:16:21.000 --> 2:16:24.000]  but I want to explain something in closing to mainstream media.
[2:16:24.000 --> 2:16:26.000]  I want you to listen very, very carefully,
[2:16:26.000 --> 2:16:28.000]  because you are the fake media,
[2:16:28.000 --> 2:16:30.000]  you follow talking points and teleprompters,
[2:16:30.000 --> 2:16:34.000]  but I want you and your bosses to understand something, dumbasses.
[2:16:34.000 --> 2:16:36.000]  It's very clear,
[2:16:36.000 --> 2:16:39.000]  there was a Washington Post article about this yesterday
[2:16:39.000 --> 2:16:42.000]  saying that Breitbart and infowars
[2:16:42.000 --> 2:16:46.000]  could end up being Trump's biggest enemies.
[2:16:46.000 --> 2:16:49.000]  And it says in there, when Trump doesn't 100% deliver,
[2:16:49.000 --> 2:16:51.000]  which is impossible to do,
[2:16:51.000 --> 2:16:54.000]  that we're all going to turn on him
[2:16:54.000 --> 2:16:56.000]  and that they can't wait till that happens
[2:16:56.000 --> 2:16:59.000]  and that they're going to prod us and manipulate us into that.
[2:16:59.000 --> 2:17:03.000]  Hey, guys, I could see that was your tactic months ago.
[2:17:03.000 --> 2:17:06.000]  I'm not stupid.
[2:17:06.000 --> 2:17:08.000]  As long as he tries to get things done
[2:17:08.000 --> 2:17:11.000]  and get some things done or dies trying,
[2:17:11.000 --> 2:17:13.000]  I'm going to support Trump 110%
[2:17:13.000 --> 2:17:15.000]  because he's not a globalist out to get the country
[2:17:15.000 --> 2:17:17.000]  and nobody's perfect.
[2:17:17.000 --> 2:17:20.000]  And so you tell everybody what you're really up to in that article,
[2:17:20.000 --> 2:17:22.000]  which I keep telling the listeners,
[2:17:22.000 --> 2:17:25.000]  if he brought Trump to where he is,
[2:17:25.000 --> 2:17:28.000]  infowars is the heart of the liberty,
[2:17:28.000 --> 2:17:31.000]  anti-globalist, populist awakening.
[2:17:31.000 --> 2:17:35.000]  So we don't need to be thanked or even recognized.
[2:17:35.000 --> 2:17:39.000]  That's all just some, you know, issue of ego.
[2:17:39.000 --> 2:17:42.000]  We are the movement, you are the movement, we're winning.
[2:17:42.000 --> 2:17:45.000]  So if Trump was to come out and denounce us,
[2:17:45.000 --> 2:17:47.000]  he would be denouncing himself,
[2:17:47.000 --> 2:17:49.000]  he would be giving the media power,
[2:17:49.000 --> 2:17:51.000]  he would be letting them set the parameters
[2:17:51.000 --> 2:17:54.000]  and set the systems of debate.
[2:17:54.000 --> 2:17:57.000]  That's what they're all about, labeling, names,
[2:17:57.000 --> 2:17:59.000]  political correctness, controlling paradigms.
[2:17:59.000 --> 2:18:02.000]  You give them that, you lose control of everything
[2:18:02.000 --> 2:18:04.000]  and Trump understands that.
[2:18:04.000 --> 2:18:07.000]  But we're not the average little dumb-down morons
[2:18:07.000 --> 2:18:09.000]  like their followers are,
[2:18:09.000 --> 2:18:11.000]  where you talk to us like we're three years old.
[2:18:11.000 --> 2:18:13.000]  Do you understand?
[2:18:13.000 --> 2:18:15.000]  We're going to continue our movement regardless of what Trump does.
[2:18:15.000 --> 2:18:17.000]  We're going to continue to expose how illegitimate
[2:18:17.000 --> 2:18:19.000]  the New World Order is.
[2:18:19.000 --> 2:18:21.000]  Whether it delivers or doesn't deliver.
[2:18:21.000 --> 2:18:23.000]  It's quite frankly a non-issue,
[2:18:23.000 --> 2:18:25.000]  because we're going to continue marching on.
[2:18:25.000 --> 2:18:27.000]  So understand that.
[2:18:27.000 --> 2:18:29.000]  We're sophisticated.
[2:18:29.000 --> 2:18:31.000]  We understood we were promoting ideas and systems
[2:18:31.000 --> 2:18:33.000]  well documented to work
[2:18:33.000 --> 2:18:36.000]  and well documented to create incredible freedom and choice.
[2:18:36.000 --> 2:18:38.000]  You understand?
[2:18:38.000 --> 2:18:40.000]  So we're promoting the Renaissance.
[2:18:40.000 --> 2:18:43.000]  We're promoting hardcore Americanism and nationalism.
[2:18:43.000 --> 2:18:46.000]  And we don't care what a bunch of globalist and corporations
[2:18:46.000 --> 2:18:48.000]  that have hijacked our country say or do about us,
[2:18:48.000 --> 2:18:50.000]  because we know it's nothing but political weapons
[2:18:50.000 --> 2:18:52.000]  you've got aimed at us
[2:18:52.000 --> 2:18:54.000]  and it's totally cold blooded and illegitimate.
[2:18:54.000 --> 2:18:56.000]  We are passionate. We do care.
[2:18:56.000 --> 2:18:58.000]  We do wear our emotions on our sleeves.
[2:18:58.000 --> 2:19:00.000]  But our analysis is cold and hard
[2:19:00.000 --> 2:19:02.000]  and understands who you are
[2:19:02.000 --> 2:19:04.000]  and will never back down and will never stop.
[2:19:04.000 --> 2:19:06.000]  And once we convert somebody
[2:19:06.000 --> 2:19:08.000]  to take the goggles off,
[2:19:08.000 --> 2:19:10.000]  the blinders off,
[2:19:10.000 --> 2:19:12.000]  actually see the world for themselves,
[2:19:12.000 --> 2:19:14.000]  there's no turning back.
[2:19:14.000 --> 2:19:16.000]  So that's the key to understand here
[2:19:16.000 --> 2:19:18.000]  this Trump operative on
[2:19:18.000 --> 2:19:20.000]  trying to get him to denounce me
[2:19:20.000 --> 2:19:22.000]  and twisting things I've said
[2:19:22.000 --> 2:19:24.000]  in some hope to take control of the narrative
[2:19:24.000 --> 2:19:26.000]  and to be the guy on the high hill
[2:19:26.000 --> 2:19:28.000]  dictating to everyone else down below
[2:19:28.000 --> 2:19:30.000]  who they can talk to,
[2:19:30.000 --> 2:19:32.000]  who they can be with, who can support them.
[2:19:32.000 --> 2:19:34.000]  They're trying to cut the anti-globalism movement
[2:19:34.000 --> 2:19:36.000]  out of the Trump presidency
[2:19:36.000 --> 2:19:38.000]  by going after Breitbart
[2:19:38.000 --> 2:19:40.000]  and by going after Info Wars
[2:19:40.000 --> 2:19:42.000]  and it's not working.
[2:19:42.000 --> 2:19:44.000]  Do you understand that?
[2:19:44.000 --> 2:19:46.000]  Do you have that through your stupid head?
[2:19:46.000 --> 2:19:48.000]  We don't need
[2:19:48.000 --> 2:19:50.000]  to be legitimized
[2:19:50.000 --> 2:19:52.000]  by Trump saying we're legitimate.
[2:19:52.000 --> 2:19:54.000]  We don't need to be legitimized
[2:19:54.000 --> 2:19:56.000]  by you saying we're legitimate.
[2:19:56.000 --> 2:19:58.000]  When CNN says we're not legitimate,
[2:19:58.000 --> 2:20:00.000]  that is a giant chevron
[2:20:00.000 --> 2:20:02.000]  or gold star on us
[2:20:02.000 --> 2:20:04.000]  for everyone to see that we are legitimate.
[2:20:04.000 --> 2:20:06.000]  And again, it is your final arrogance,
[2:20:06.000 --> 2:20:08.000]  not understanding that,
[2:20:08.000 --> 2:20:10.000]  that is bringing you down.
[2:20:10.000 --> 2:20:12.000]  I don't like to see him so hysterical though
[2:20:12.000 --> 2:20:14.000]  that he might lose his hubris
[2:20:14.000 --> 2:20:16.000]  and they might come up with a new plan
[2:20:16.000 --> 2:20:18.000]  and then we'll have to reassess that.
[2:20:18.000 --> 2:20:20.000]  But it's good to see
[2:20:20.000 --> 2:20:22.000]  that they're still completely arrogant.
[2:20:22.000 --> 2:20:24.000]  I just hope that arrogance doesn't falter
[2:20:24.000 --> 2:20:26.000]  or doesn't waver because that blindness,
[2:20:26.000 --> 2:20:28.000]  that hubris is absolutely essential
[2:20:28.000 --> 2:20:30.000]  to defeating these enemies.
[2:20:30.000 --> 2:20:32.000]  So let's go ahead and play this clip
[2:20:32.000 --> 2:20:34.000]  and then go back to the live transmission
[2:20:34.000 --> 2:20:36.000]  here with David Knight, Paul Watson coming up
[2:20:36.000 --> 2:20:38.000]  and so much more on this live worldwide
[2:20:38.000 --> 2:20:40.000]  Thursday edition.
[2:20:40.000 --> 2:20:42.000]  We have the ideology of truth.
[2:20:42.000 --> 2:20:44.000]  We have the ideology of history.
[2:20:44.000 --> 2:20:46.000]  We have the ideology of facts.
[2:20:46.000 --> 2:20:48.000]  It is incontrovertible
[2:20:48.000 --> 2:20:50.000]  that history has shown this over and over again.
[2:20:50.000 --> 2:20:52.000]  All we're doing is bringing common sense
[2:20:52.000 --> 2:20:54.000]  and salt and light
[2:20:54.000 --> 2:20:56.000]  back into the world ladies and gentlemen.
[2:20:56.000 --> 2:20:58.000]  And it's so simple what we're promoting.
[2:20:58.000 --> 2:21:00.000]  It's the winning ideology.
[2:21:00.000 --> 2:21:02.000]  It's the ideology that
[2:21:02.000 --> 2:21:04.000]  God empowered this nation to promote.
[2:21:04.000 --> 2:21:06.000]  It is the ideology that has given us
[2:21:06.000 --> 2:21:08.000]  the amazing providence that we've had
[2:21:08.000 --> 2:21:10.000]  and the enemy is screaming in fear.
[2:21:10.000 --> 2:21:12.000]  Everything they've done
[2:21:12.000 --> 2:21:14.000]  is to try to dismantle this nation,
[2:21:14.000 --> 2:21:16.000]  bankrupt this nation,
[2:21:16.000 --> 2:21:18.000]  and bankrupt the engine of freedom
[2:21:18.000 --> 2:21:20.000]  because they cannot compete with it.
[2:21:20.000 --> 2:21:22.000]  It is so good to see them panicking
[2:21:22.000 --> 2:21:24.000]  and engaging in all this disinformation
[2:21:24.000 --> 2:21:26.000]  and only intensifying what they've done
[2:21:26.000 --> 2:21:28.000]  because it is nothing but violent
[2:21:28.000 --> 2:21:30.000]  death rows of the most
[2:21:30.000 --> 2:21:32.000]  traitorous, anti-human,
[2:21:32.000 --> 2:21:34.000]  narcissistic, sociopathic,
[2:21:34.000 --> 2:21:36.000]  psychopathic, mercenary
[2:21:36.000 --> 2:21:38.000]  legions of filth
[2:21:38.000 --> 2:21:40.000]  that have absolute bad will
[2:21:40.000 --> 2:21:42.000]  towards the American people
[2:21:42.000 --> 2:21:44.000]  in every single one of you regardless of what color you are.
[2:21:44.000 --> 2:21:46.000]  So have that righteous
[2:21:46.000 --> 2:21:48.000]  righteous indignation.
[2:21:48.000 --> 2:21:50.000]  Have that true focus, not hatred,
[2:21:50.000 --> 2:21:52.000]  but the cold, hard, strong
[2:21:52.000 --> 2:21:54.000]  will in your chest to know
[2:21:54.000 --> 2:21:56.000]  we're gonna run these people over politically.
[2:21:56.000 --> 2:21:58.000]  We're gonna dominate them.
[2:21:58.000 --> 2:22:00.000]  We're gonna smash them. We're gonna crush them.
[2:22:00.000 --> 2:22:02.000]  Nothing's gonna stop us
[2:22:02.000 --> 2:22:04.000]  because we are standing for what's right
[2:22:04.000 --> 2:22:06.000]  and God cannot be stopped
[2:22:06.000 --> 2:22:08.000]  when his people take action
[2:22:08.000 --> 2:22:10.000]  and do it in his name, Jesus Christ.
[2:22:10.000 --> 2:22:12.000]  But this is a huge war and we're turning the tide
[2:22:12.000 --> 2:22:14.000]  and see how far we've come.
[2:22:14.000 --> 2:22:16.000]  I've always known this. I've always
[2:22:16.000 --> 2:22:18.000]  understood this. I've always told you
[2:22:18.000 --> 2:22:20.000]  we're here to win. We're here to take the planet back.
[2:22:20.000 --> 2:22:22.000]  We're here to defeat these people.
[2:22:22.000 --> 2:22:24.000]  And no amount of state-run
[2:22:24.000 --> 2:22:26.000]  churches and propaganda is gonna stop
[2:22:26.000 --> 2:22:28.000]  that and that's why these cowards hate us
[2:22:28.000 --> 2:22:30.000]  so much because they know
[2:22:30.000 --> 2:22:32.000]  we're the rightful heirs of Providence
[2:22:32.000 --> 2:22:34.000]  and they can't stand it
[2:22:34.000 --> 2:22:36.000]  because they're a barrel of snakes.
[2:22:36.000 --> 2:22:38.000]  Just look at Anderson Cooper.
[2:22:38.000 --> 2:22:40.000]  Just look at Charlie Rose.
[2:22:40.000 --> 2:22:42.000]  Just look at Janet Reno.
[2:22:42.000 --> 2:22:44.000]  Just look at Madeleine Albright.
[2:22:44.000 --> 2:22:46.000]  Just look at Obama. Just look at Michael Moore.
[2:22:46.000 --> 2:22:48.000]  Just look at these things.
[2:22:48.000 --> 2:22:50.000]  That's what they do, what they stand for.
[2:22:50.000 --> 2:22:52.000]  Simpering weasel-like snakes.
[2:22:52.000 --> 2:22:54.000]  Absolute abominations
[2:22:54.000 --> 2:22:56.000]  and monsters and everything they're involved in
[2:22:56.000 --> 2:22:58.000]  and all the horrible things they do
[2:22:58.000 --> 2:23:00.000]  behind the scenes. These are truly
[2:23:00.000 --> 2:23:02.000]  demonic people who are now falling
[2:23:02.000 --> 2:23:04.000]  in front of us all.
[2:23:13.000 --> 2:23:16.000]  This man who's going to be President of the United States
[2:23:16.000 --> 2:23:18.000]  going, you know, following Infowars
[2:23:18.000 --> 2:23:20.000]  talking about which it was
[2:23:20.000 --> 2:23:22.000]  an inside job. I don't know anything about
[2:23:22.000 --> 2:23:24.000]  Infowars. What I do know is this
[2:23:24.000 --> 2:23:26.000]  in 2014
[2:23:26.000 --> 2:23:28.000]  John Fund, whom many of us know here
[2:23:28.000 --> 2:23:30.000]  formerly with the Wall Street Journal and now with
[2:23:30.000 --> 2:23:32.000]  National Review Online
[2:23:32.000 --> 2:23:34.000]  wrote an article called Non-Citizens Are Voting
[2:23:34.000 --> 2:23:36.000]  in which I'll just read one sentence.
[2:23:36.000 --> 2:23:38.000]  In 2005, the U.S. Government Accountability
[2:23:38.000 --> 2:23:40.000]  Office found that up to
[2:23:40.000 --> 2:23:42.000]  3% of the 30,000 people
[2:23:42.000 --> 2:23:44.000]  called for jury duty from voter
[2:23:44.000 --> 2:23:46.000]  registration rolls over a two-year period
[2:23:46.000 --> 2:23:48.000]  in one of the 94 current U.S.
[2:23:48.000 --> 2:23:50.000]  district courts were non-citizens
[2:23:50.000 --> 2:23:52.000]  and he goes on at length here with other examples.
[2:23:52.000 --> 2:23:54.000]  My point is, clearly
[2:23:54.000 --> 2:23:56.000]  this is happening. Now, millions
[2:23:56.000 --> 2:23:58.000]  of people are voting.
[2:23:58.000 --> 2:24:00.000]  That doesn't say those people actually voted.
[2:24:00.000 --> 2:24:02.000]  Well, no, but there shouldn't be on registration rolls.
[2:24:02.000 --> 2:24:04.000]  There's dead people on registration rolls.
[2:24:04.000 --> 2:24:06.000]  We know registration rolls have like a problem.
[2:24:06.000 --> 2:24:08.000]  Right, but they shouldn't be there, period.
[2:24:08.000 --> 2:24:10.000]  Again, there's no evidence
[2:24:10.000 --> 2:24:12.000]  3 million people voted illegally.
[2:24:12.000 --> 2:24:14.000]  I understand that, but the answer is we don't know.
[2:24:14.000 --> 2:24:16.000]  We don't know. Clearly, we don't know.
[2:24:16.000 --> 2:24:18.000]  But does it scare you that the president elect
[2:24:18.000 --> 2:24:20.000]  is listening to Infowars?
[2:24:20.000 --> 2:24:22.000]  No, I think the answer is you listen to all kinds of people
[2:24:22.000 --> 2:24:24.000]  all over the place here.
[2:24:24.000 --> 2:24:26.000]  I've been for having
[2:24:26.000 --> 2:24:28.000]  friends who were members of the John Birch Society
[2:24:28.000 --> 2:24:30.000]  for heaven's sakes.
[2:24:30.000 --> 2:24:32.000]  They believe 9-11 was an inside job.
[2:24:32.000 --> 2:24:34.000]  Right, right, of course.
[2:24:34.000 --> 2:24:36.000]  They believe all Sandy Hook is all crisis actors.
[2:24:36.000 --> 2:24:38.000]  People I've interviewed,
[2:24:38.000 --> 2:24:40.000]  their followers
[2:24:40.000 --> 2:24:42.000]  terrorize the families of Infowars
[2:24:42.000 --> 2:24:44.000]  for Infowars.
[2:24:44.000 --> 2:24:46.000]  I don't listen to Infowars.
[2:24:46.000 --> 2:24:48.000]  But the president elect seems to.
[2:24:48.000 --> 2:24:50.000]  Right, right.
[2:24:50.000 --> 2:24:52.000]  There you go.
[2:24:52.000 --> 2:24:54.000]  The left, McCarthyism of the left.
[2:24:54.000 --> 2:24:56.000]  They're from Anderson Cooper.
[2:24:56.000 --> 2:24:58.000]  Yeah, we shouldn't
[2:24:58.000 --> 2:25:00.000]  question the idea that
[2:25:00.000 --> 2:25:02.000]  three buildings would fall down
[2:25:02.000 --> 2:25:04.000]  after being, after two of them were hit
[2:25:04.000 --> 2:25:06.000]  by a single plane. What about that third building?
[2:25:06.000 --> 2:25:08.000]  What about building seven? There's an article on
[2:25:08.000 --> 2:25:10.000]  Free Thought Project. Former NIST employee
[2:25:10.000 --> 2:25:12.000]  speaks out saying building seven investigation is bogus.
[2:25:12.000 --> 2:25:14.000]  Yeah.
[2:25:14.000 --> 2:25:16.000]  But that's what they keep hammering though.
[2:25:16.000 --> 2:25:18.000]  They believe that the government's story
[2:25:18.000 --> 2:25:20.000]  on 9-11 isn't true.
[2:25:20.000 --> 2:25:22.000]  We don't. And you know, Donald Trump
[2:25:22.000 --> 2:25:24.000]  wasn't fooled by that either. We've played over
[2:25:24.000 --> 2:25:26.000]  and over again the clip
[2:25:26.000 --> 2:25:28.000]  as it happened. It was either the same
[2:25:28.000 --> 2:25:30.000]  day or the day after and they asked him about it.
[2:25:30.000 --> 2:25:32.000]  He goes, you know, that's a very strong building.
[2:25:32.000 --> 2:25:34.000]  And he knows as a builder we've never had
[2:25:34.000 --> 2:25:36.000]  before or since.
[2:25:36.000 --> 2:25:38.000]  Any skyscrapers, steel
[2:25:38.000 --> 2:25:40.000]  skyscrapers that just fell
[2:25:40.000 --> 2:25:42.000]  down in their own footprint without being demolished.
[2:25:42.000 --> 2:25:44.000]  He says, planes aren't going to knock those down.
[2:25:44.000 --> 2:25:46.000]  They were designed to withstand
[2:25:46.000 --> 2:25:48.000]  a plane impact after a plane
[2:25:48.000 --> 2:25:50.000]  hit the Empire State Building.
[2:25:50.000 --> 2:25:52.000]  That's part of it. You've never seen anybody
[2:25:52.000 --> 2:25:54.000]  sue the state of, or the city
[2:25:54.000 --> 2:25:56.000]  of New York because they didn't
[2:25:56.000 --> 2:25:58.000]  inspect that building properly. Nobody ever
[2:25:58.000 --> 2:26:00.000]  sued the architects for that. And then
[2:26:00.000 --> 2:26:02.000]  you had a building that wasn't even hit by a plane
[2:26:02.000 --> 2:26:04.000]  that fell down. But you know, if you think
[2:26:04.000 --> 2:26:06.000]  there's something strange about that, you're kind of
[2:26:06.000 --> 2:26:08.000]  crazy, aren't you? And of course
[2:26:08.000 --> 2:26:10.000]  as we've seen this metastasize as a point
[2:26:10.000 --> 2:26:12.000]  out earlier today, we now have
[2:26:12.000 --> 2:26:14.000]  Bloomberg joining CNN
