[00:00.000 --> 00:10.000]  Live from Austin, Texas. Broadcasting Worldwide. It's Alex Jones.
[01:01:33.000 --> 01:01:36.000]  When we come back, I'm going to give the number out, not yet.
[01:01:36.000 --> 01:01:40.000]  I'm going to give the number out so that we can hear from people on Obamacare
[01:01:40.000 --> 01:01:43.000]  and have you been able to sign up and are you ready to be fined
[01:01:43.000 --> 01:01:46.000]  because you couldn't sign up because it's so diabolical
[01:01:46.000 --> 01:01:48.000]  the average person couldn't admit it to themselves.
[01:01:48.000 --> 01:01:52.000]  But we told you before it went through that it was designed to raise the prices,
[01:01:52.000 --> 01:01:56.000]  cut the quality of care, and then not let you even sign up or get it
[01:01:56.000 --> 01:01:58.000]  so that you get penalized.
[01:01:58.000 --> 01:02:01.000]  But so they have your address when you try to sign up to come
[01:02:01.000 --> 01:02:05.000]  and grab your bank account, which started a couple of weeks ago.
[01:02:05.000 --> 01:02:08.000]  So that is coming up.
[01:02:08.000 --> 01:02:14.000]  On the other side, thank you, brought me another article of this quick break.
[01:02:14.000 --> 01:02:18.000]  And then I have, finishing up with the Duck Dynasty situation,
[01:02:18.000 --> 01:02:23.000]  I saw a Mark Dice video today that I was going to play,
[01:02:23.000 --> 01:02:26.000]  but the interest of time, you can just go to his YouTube site
[01:02:26.000 --> 01:02:30.000]  and find that or we'll link it on Infowars.com called Gay False Flag.
[01:02:30.000 --> 01:02:34.000]  And what it is is a social engineering false flag.
[01:02:34.000 --> 01:02:36.000]  And we're going to get into that.
[01:02:36.000 --> 01:02:39.000]  And I went and pulled up the articles he has in his video, and it's certainly true.
[01:02:39.000 --> 01:02:43.000]  And you know, I'd forgotten how almost every time, and I'm actually glad this is the case
[01:02:43.000 --> 01:02:47.000]  because I want to believe that the Ku Klux Klan is on a popular organization
[01:02:47.000 --> 01:02:51.000]  that you hear about the Ku Klux Klan with a cross burning in some yard
[01:02:51.000 --> 01:02:55.000]  or doing something like that almost every time it's been staged.
[01:02:55.000 --> 01:02:58.000]  Remember all those black churches getting burned down?
[01:02:58.000 --> 01:03:03.000]  You never heard about that again? Turned out it was black groups doing it.
[01:03:03.000 --> 01:03:09.000]  And this is the culture, the systems built, and I don't blame people for false flagging.
[01:03:09.000 --> 01:03:14.000]  That's what the government and corporations do.
[01:03:14.000 --> 01:03:18.000]  They either create the crisis or make one up and then poses the solution.
[01:03:18.000 --> 01:03:21.000]  So we're going to get into Gay False Flags when we come back
[01:03:21.000 --> 01:03:25.000]  and the really big news of the radiation situation at Fukushima
[01:03:25.000 --> 01:03:31.000]  and more and give the phone number out to talk about obozo care
[01:03:31.000 --> 01:03:36.000]  and where all of that is going here today.
[01:03:36.000 --> 01:03:44.000]  Also, I just did an hour of the transmission and never even plugged any of the sponsors that we have.
[01:03:44.000 --> 01:03:47.000]  That's how we fund our operation, but more importantly, it's how we get the word out.
[01:03:47.000 --> 01:03:55.000]  Prismplanet.tv, we run it every December. You can get 5.3 months free.
[01:03:55.000 --> 01:03:57.000]  So instead of $59, it's $39.
[01:03:57.000 --> 01:04:01.000]  And astute folks will say, well, that's not 5 plus months free.
[01:04:01.000 --> 01:04:05.000]  No, the year is already discounted by a couple months when you sign up for it any time of the year.
[01:04:05.000 --> 01:04:07.000]  You already get a discount signing up for a year.
[01:04:07.000 --> 01:04:12.000]  But then when you sign up in December, you get even more months off.
[01:04:12.000 --> 01:04:22.000]  So it comes out to, on the full discount, 5.3 months free when you sign up for a year in December at prismplanet.tv.
[01:04:22.000 --> 01:04:27.000]  So there's the actual numbers. It's $54.95 for a year.
[01:04:27.000 --> 01:04:30.000]  If you add $5.95 together, 12 months, it's more than $54.
[01:04:30.000 --> 01:04:33.000]  So when you sign up for a year, it's usually $54.
[01:04:33.000 --> 01:04:36.000]  When you sign up now, it's $39.95. But this doesn't matter.
[01:04:36.000 --> 01:04:40.000]  The point is, get the word out. Support us. Get the first member out. Hardcore liberty issues out.
[01:04:40.000 --> 01:04:43.000]  And you can get 11 memberships. You're using them in passcode.
[01:04:43.000 --> 01:04:48.000]  11 people can sign in simultaneously with that username and passcode.
[01:04:48.000 --> 01:04:51.000]  So don't fight the crowds. Don't burn all that gas.
[01:04:51.000 --> 01:04:56.000]  Give prismplanet.tv memberships an e-card or write the username and passcode in a physical card
[01:04:56.000 --> 01:04:59.000]  and say, hey, here's a forbidden website for you.
[01:04:59.000 --> 01:05:01.000]  The facts are in. The studies are legion.
[01:05:01.000 --> 01:05:05.000]  Sodium fluoride and other toxic members of the fluoride family
[01:05:05.000 --> 01:05:09.000]  are devastating the health and cognitive ability of the American people.
[01:05:09.000 --> 01:05:12.000]  So why are the social engineers adding it to the water?
[01:05:12.000 --> 01:05:18.000]  Simple. Dumb down the host population that the parasitic technocracy is feeding on.
[01:05:18.000 --> 01:05:21.000]  We may not have been able to get fluoride out of the water supply yet,
[01:05:21.000 --> 01:05:23.000]  but we can help to get it out of our bodies.
[01:05:23.000 --> 01:05:29.000]  I am extremely excited to announce the exclusive InfoWarsLine fluoride shield formulation,
[01:05:29.000 --> 01:05:33.000]  fusing six of the best documented ingredients from around the world
[01:05:33.000 --> 01:05:37.000]  to help the body remove not just toxic fluoride residues from the body,
[01:05:37.000 --> 01:05:40.000]  but a whole host of toxic substances.
[01:05:40.000 --> 01:05:44.000]  Let's take a stand against the globalist by blocking their poisons with fluoride shield.
[01:05:44.000 --> 01:05:48.000]  I use fluoride shield every day. Secure your fluoride shield
[01:05:48.000 --> 01:05:52.000]  and other pioneering formulations at infowarslife.com today.
[01:05:52.000 --> 01:05:56.000]  Let's start cleansing our bodies now and support the InfoWars at the same time.
[01:05:56.000 --> 01:06:25.000]  That's infowarslife.com.
[01:06:26.000 --> 01:06:30.000]  Hitler took the guns, Stalin took the guns, Mal took the guns,
[01:06:30.000 --> 01:06:35.000]  but El Castro took the guns, Hugo Chavez took the guns.
[01:06:35.000 --> 01:06:41.000]  1776 will commence again if you try to take our firearms.
[01:06:41.000 --> 01:06:46.000]  The Republic will rise again when you attempt to take our guns.
[01:06:46.000 --> 01:06:58.000]  I am sworn upon the altar of God, internal hostility against every form of tyranny over the mind of man.
[01:06:58.000 --> 01:07:03.000]  The answer to 1984 is 1776.
[01:07:03.000 --> 01:07:09.000]  You're listening to the Alex Jones show.
[01:07:09.000 --> 01:07:13.000]  Told three members to join us. The mandate goes in in 24 hours, giant.
[01:07:13.000 --> 01:07:18.000]  Taxes on all the slaves who can't even buy the fraudulent overpriced insurance.
[01:07:18.000 --> 01:07:22.000]  That's all it was. It was written by insurance companies.
[01:07:22.000 --> 01:07:25.000]  But as long as it's liberal and trendy, it's okay.
[01:07:25.000 --> 01:07:28.000]  Destroy markets and have nothing but slave mandates.
[01:07:28.000 --> 01:07:31.000]  Stealing your wealth for private corporate taxes.
[01:07:31.000 --> 01:07:50.000]  877-789 Alex, 877-789-2539 is the toll free number to join us on this live 22nd day Sunday worldwide transmission.
[01:07:50.000 --> 01:07:55.000]  Again, toll free number to join us. 877-789-2539.
[01:07:55.000 --> 01:07:57.000]  We don't screen your calls usually.
[01:07:57.000 --> 01:08:04.000]  But if I say I want to hear about Obamacare and your take on it, or if you've seen this mystery illness, hurt your family, kill your family,
[01:08:04.000 --> 01:08:08.000]  all over the country, we're getting the reports, the emails of people's families dying.
[01:08:08.000 --> 01:08:12.000]  The doctors can't tell them if it's viral, if it's bacterial. That's unprecedented.
[01:08:12.000 --> 01:08:18.000]  I've lost family. I'm in the process of battling for my uncle's life right now.
[01:08:18.000 --> 01:08:25.000]  This is a serious issue. We reported it three weeks before it was in Houston and Dallas and other TV stations.
[01:08:25.000 --> 01:08:35.000]  So, big situation. We need your human intelligence out there on the ground to tell us what's happening in your area.
[01:08:35.000 --> 01:08:38.000]  So, 877-789-2539.
[01:08:38.000 --> 01:08:45.000]  If you're not calling an Obamacare or the mystery illness, I know folks won't talk about Duck Dynasty and the attack on the First Amendment.
[01:08:45.000 --> 01:08:47.000]  It is important.
[01:08:47.000 --> 01:08:55.000]  Quite frankly, compared to Oboso care, Obama saying Oboso, he's dominating and ruling and robbing us.
[01:08:55.000 --> 01:08:57.000]  Oh, tyrant care.
[01:08:57.000 --> 01:08:59.000]  Obamacare.
[01:08:59.000 --> 01:09:06.000]  So, bottom line, ladies and gentlemen, I want to get your take on all of that.
[01:09:06.000 --> 01:09:11.000]  Okay, that's coming up in the next segment. Let's get into this news here. Here's the New York Times.
[01:09:11.000 --> 01:09:17.000]  It says, mixed messages at anxiety as deadline nears in health act.
[01:09:17.000 --> 01:09:23.000]  Mixed messages? The law always said it would double quadruple prices over the next five years.
[01:09:23.000 --> 01:09:26.000]  It always said it would cut quality of care and set up death panels.
[01:09:26.000 --> 01:09:31.000]  It always said it would make you buy it, written by insurance companies, increasing the price.
[01:09:31.000 --> 01:09:37.000]  It always said it would garnish your wages and keep your tax return or your tax refund if you didn't buy it.
[01:09:37.000 --> 01:09:41.000]  So, of course, they're not going to let you sign up and not let you get it.
[01:09:41.000 --> 01:09:46.000]  Almost everyone who thinks they've signed up, as I told you months ago, didn't really sign up.
[01:09:46.000 --> 01:09:49.000]  They're showing up at hospitals and saying they did it.
[01:09:49.000 --> 01:09:56.000]  So, when you hear 10% were able to do it, those are idiots who believe their Lord and Savior, as Jamie Foxx said it,
[01:09:56.000 --> 01:09:58.000]  Barack Obama was going to give them something free.
[01:09:58.000 --> 01:10:02.000]  People don't believe he said that. We could have Lord and Savior, please. Thank you.
[01:10:02.000 --> 01:10:07.000]  So, I mean, at Christmas here, it's okay. You've got to take the Christmas trees down on the crosses,
[01:10:07.000 --> 01:10:10.000]  but it's okay to say our Lord and Savior, Barack Obama.
[01:10:10.000 --> 01:10:15.000]  And he just says it again like, can you believe that name? Barack Obama.
[01:10:15.000 --> 01:10:18.000]  Got to hand it to these foreign banks. They are geniuses.
[01:10:18.000 --> 01:10:25.000]  Put in that trendy guy, man, I tell you, they could literally barbecue babies on the White House lawn if you're not for it, you're racist.
[01:10:25.000 --> 01:10:31.000]  Here it is. Here's the trendiness. Democratic senator says Obamacare could have meltdown, hurt party.
[01:10:31.000 --> 01:10:33.000]  Well, why the Republican leadership?
[01:10:33.000 --> 01:10:36.000]  Boehner only wants to delay it for a year like Obama.
[01:10:36.000 --> 01:10:41.000]  The Republican leadership helped write it. Carl Rove, Mitt Romney.
[01:10:41.000 --> 01:10:47.000]  They're the same ones trying to shut down libertarian takeover of the Republican Party after Ted Cruz and Rand Paul.
[01:10:47.000 --> 01:10:51.000]  I mean, what's wrong, Democrats? I mean, you're all part of the club.
[01:10:51.000 --> 01:10:54.000]  Don't you want to hurt your constituents some more?
[01:10:54.000 --> 01:10:57.000]  What, didn't work to call them racists?
[01:10:57.000 --> 01:11:01.000]  Here, let's go on to the next article. Obama repeals Obamacare.
[01:11:01.000 --> 01:11:03.000]  That's on The Wall Street Journal.
[01:11:03.000 --> 01:11:07.000]  Under pressure from Senate Democrats, the president partly suspends the individual mandate.
[01:11:07.000 --> 01:11:09.000]  Let me tell you what's in all these articles, folks.
[01:11:09.000 --> 01:11:11.000]  I told you this months ago. I know how they work.
[01:11:11.000 --> 01:11:14.000]  They don't want you to know they openly cheated you and screwed you.
[01:11:14.000 --> 01:11:17.000]  So they act like it's a screw up and, oh, I'm incompetent.
[01:11:17.000 --> 01:11:19.000]  Give me more power, more funding.
[01:11:19.000 --> 01:11:23.000]  The main thing that the insurance companies wanted, the big ones,
[01:11:23.000 --> 01:11:27.000]  was to be able to shut down their competition, have more regulations against small operators,
[01:11:27.000 --> 01:11:30.000]  just like the stimulus act shuts down small banks and credit unions.
[01:11:30.000 --> 01:11:33.000]  That's down in the news. I told you at the time what it would do. I read the bill.
[01:11:33.000 --> 01:11:35.000]  That expert's on.
[01:11:35.000 --> 01:11:39.000]  This is big mega corporation mafia shutting down their competition.
[01:11:39.000 --> 01:11:47.000]  So they came out and they said the main thing they wanted was to be able to have any prices charged they want.
[01:11:47.000 --> 01:11:52.000]  And then as a group, they kicked everybody off and get rid of competition
[01:11:52.000 --> 01:11:58.000]  while you're busy looking at Obamacare and it allows them federally to suspend state laws
[01:11:58.000 --> 01:12:00.000]  fixing the prices of health insurance.
[01:12:00.000 --> 01:12:03.000]  And they're already lobbying to get rid of state laws on auto insurance
[01:12:03.000 --> 01:12:07.000]  because they know you can go to legislature and keep it competitive and keep prices down.
[01:12:07.000 --> 01:12:12.000]  That's all over. They're going to get really, they're already going to make you pay
[01:12:12.000 --> 01:12:16.000]  whatever they want on house insurance. That's a 21 and business insurance.
[01:12:16.000 --> 01:12:20.000]  You're not going to pay $100 a year for business insurance now. It's going to be $10,000.
[01:12:20.000 --> 01:12:22.000]  Whatever it takes to shut you down.
[01:12:22.000 --> 01:12:24.000]  Your hot dog cart's going to be $10,000 a year.
[01:12:24.000 --> 01:12:27.000]  They're going to charge you whatever they want on health insurance.
[01:12:27.000 --> 01:12:29.000]  Everything.
[01:12:29.000 --> 01:12:32.000]  These are foreign banks. These are mafias.
[01:12:32.000 --> 01:12:36.000]  It'll kill a million Iraqis for oil, folks. They hate you even more.
[01:12:36.000 --> 01:12:41.000]  You're about to find out what not having due process is like.
[01:12:41.000 --> 01:12:49.000]  So they go on here in the New York Times and the mixed messages had anxiety as deadline nears in health care.
[01:12:49.000 --> 01:12:55.000]  To admit that as the deadline approaches a series of decisions by Obama Administration
[01:12:55.000 --> 01:12:59.000]  to delay some of the law's most important provisions and to extend some deadlines
[01:12:59.000 --> 01:13:03.000]  has caused uncertainty among insurers and confusion among consumers.
[01:13:03.000 --> 01:13:07.000]  You see, this whole thing is falling apart right now. They've already kicked people off.
[01:13:07.000 --> 01:13:13.000]  They just want to say, oh, you might be able to get back on now and make people think it's been suspended.
[01:13:13.000 --> 01:13:18.000]  None of it's going to be suspended. This is a war game test to see what you'll put up with.
[01:13:18.000 --> 01:13:21.000]  And the media will never let you organize.
[01:13:21.000 --> 01:13:24.000]  They'll act like you're alone and call you conspiracy theorist.
[01:13:24.000 --> 01:13:30.000]  If you say you're a two-man, I went up in Texas 500 plus percent, 539 percent for families.
[01:13:30.000 --> 01:13:32.000]  That was reported on mainstream news.
[01:13:32.000 --> 01:13:34.000]  Well, just that's a conspiracy theory.
[01:13:34.000 --> 01:13:37.000]  You're like, but my bill says it. Shut up, racist.
[01:13:37.000 --> 01:13:41.000]  And you're going to just take that bill and go, I'm not racist. I'm going to pay it.
[01:13:41.000 --> 01:13:43.000]  Now, let's go to the next deal here.
[01:13:43.000 --> 01:13:46.000]  Talking about trendiness, the gay bars.
[01:13:46.000 --> 01:13:48.000]  Here's Politico.
[01:13:48.000 --> 01:13:52.000]  Obamacare outreach hits the clubs.
[01:13:52.000 --> 01:13:55.000]  And now they're going out to the gay bars.
[01:13:55.000 --> 01:13:56.000]  It reports here.
[01:13:56.000 --> 01:14:00.000]  Drudge got it right there with the headline on DrudgeReport.com.
[01:14:00.000 --> 01:14:02.000]  Has it right there.
[01:14:02.000 --> 01:14:04.000]  Now the outreach there in the left-hand corner.
[01:14:04.000 --> 01:14:07.000]  Obamacare pitched it gay clubs.
[01:14:07.000 --> 01:14:11.000]  And then it's they throw condoms out and go, Obama loves you.
[01:14:11.000 --> 01:14:12.000]  He loves you.
[01:14:12.000 --> 01:14:14.000]  I got a plan.
[01:14:14.000 --> 01:14:21.000]  Talk about oppressing people and using their goodwill for Obama.
[01:14:21.000 --> 01:14:26.000]  They admit with Obamacare they've got rock stars and music stars coming out promoting it.
[01:14:26.000 --> 01:14:29.000]  They've got children's shows promoting it.
[01:14:29.000 --> 01:14:34.000]  They're targeting under 20s and groups they think are totally dumb.
[01:14:34.000 --> 01:14:37.000]  These are corporations preying on you.
[01:14:37.000 --> 01:14:43.000]  I mean, I'm convinced that if you walked in a gay bar in a rainbow outfit and started killing people with a hatchet,
[01:14:43.000 --> 01:14:47.000]  they would literally open their shirts up and say, hit me in the chest with a hatchet.
[01:14:47.000 --> 01:14:49.000]  You're wearing a rainbow outfit.
[01:14:49.000 --> 01:14:57.000]  I mean, that's what's going on here, ladies and gentlemen, is absolute exploitation to a mega level.
[01:14:57.000 --> 01:15:00.000]  Mega level exploitation.
[01:15:00.000 --> 01:15:03.000]  And they are targeting the groups they think are the absolute dumbest.
[01:15:03.000 --> 01:15:04.000]  That's them.
[01:15:04.000 --> 01:15:05.000]  I'm not saying you're dumb.
[01:15:05.000 --> 01:15:06.000]  They think you're dumb.
[01:15:06.000 --> 01:15:08.000]  Here is a article out of New York Post.
[01:15:08.000 --> 01:15:11.000]  DC staff erred by NBC News.
[01:15:11.000 --> 01:15:14.000]  Yeah, they're going to get rid of all you prostitutes.
[01:15:14.000 --> 01:15:15.000]  They don't need you anymore.
[01:15:15.000 --> 01:15:18.000]  They use you long enough to try to push their agenda.
[01:15:18.000 --> 01:15:20.000]  Now you're discredited for carrying their water.
[01:15:20.000 --> 01:15:22.000]  And so they're done with you.
[01:15:22.000 --> 01:15:26.000]  They're going to go to straight press release on the White House with their own PR reporters.
[01:15:26.000 --> 01:15:27.000]  It's over for you.
[01:15:27.000 --> 01:15:30.000]  The Pentagon shifting gears to what's left of the real media.
[01:15:30.000 --> 01:15:35.000]  Media matters from the White House to shifting to blogs, my show, grudge report and others.
[01:15:35.000 --> 01:15:36.000]  They're coming after us now.
[01:15:36.000 --> 01:15:37.000]  They've destroyed you.
[01:15:37.000 --> 01:15:38.000]  They bought you off.
[01:15:38.000 --> 01:15:39.000]  You're discredited.
[01:15:39.000 --> 01:15:40.000]  You're done.
[01:15:40.000 --> 01:15:41.000]  They don't need you anymore.
[01:15:41.000 --> 01:15:42.000]  They're moving on to attack us.
[01:15:42.000 --> 01:15:44.000]  The pirates are trying to board us.
[01:15:44.000 --> 01:15:49.000]  Now I'm going to tell you about gay false flags in Duck Dynasty and the radiation levels from Fukushima
[01:15:49.000 --> 01:15:51.000]  10 times what they were previously.
[01:15:51.000 --> 01:15:56.000]  But first, your phone calls straight ahead on the other side of this quick break.
[01:15:56.000 --> 01:16:21.000]  We're going to give you the inside scoop on a lot more.
[01:16:26.000 --> 01:16:43.000]  This is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:16:43.000 --> 01:16:48.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed.
[01:16:48.000 --> 01:16:51.000]  Available in original or with our immune support infusion blend.
[01:16:51.000 --> 01:16:57.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[01:16:57.000 --> 01:16:59.000]  Available at infowarslife.com.
[01:16:59.000 --> 01:17:06.000]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine,
[01:17:06.000 --> 01:17:10.000]  a practice now banned in nations around the world.
[01:17:10.000 --> 01:17:12.000]  Guess what else is in a halogen family?
[01:17:12.000 --> 01:17:13.000]  Fluoride.
[01:17:13.000 --> 01:17:15.000]  Ladies and gentlemen, Alex Jones here.
[01:17:15.000 --> 01:17:22.000]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[01:17:22.000 --> 01:17:27.000]  It's the good halogen on the periodic table and the results are on record.
[01:17:27.000 --> 01:17:33.000]  Reports documented a 15 point IQ increase in areas that had previously been deficient in iodine.
[01:17:33.000 --> 01:17:35.000]  Bottom line iodine is important.
[01:17:35.000 --> 01:17:42.000]  Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[01:17:42.000 --> 01:17:47.000]  You will find survival shield nascent iodine exclusively at infowarslife.com.
[01:17:47.000 --> 01:17:52.000]  Info wars life survival shield nascent iodine isn't just for emergencies.
[01:17:52.000 --> 01:17:53.000]  I take it every day.
[01:17:53.000 --> 01:17:59.000]  That's infowarslife.com or call toll free 888-253-3139.
[01:17:59.000 --> 01:18:01.000]  Introducing pro one.
[01:18:01.000 --> 01:18:05.000]  All of your filtration in one system portable on the go.
[01:18:05.000 --> 01:18:09.000]  No more do you have two or three filters to just reduce sodium fluoride.
[01:18:09.000 --> 01:18:15.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilic acid.
[01:18:15.000 --> 01:18:22.000]  Advanced manufacturing technology combines silver impregnated white ceramic with new aqua medics advanced media.
[01:18:22.000 --> 01:18:26.000]  A removal of fluoride and other heavy metals all in one filter element.
[01:18:26.000 --> 01:18:29.000]  It is the only one that does it and out of the gates.
[01:18:29.000 --> 01:18:33.000]  We have it discounted at 10% off with promo code water.
[01:18:33.000 --> 01:18:44.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilic acid.
[01:18:44.000 --> 01:18:50.000]  The most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate.
[01:18:50.000 --> 01:18:59.000]  Get your pro purer with the new pro one filters today at infowarstore.com or by calling 888-253-3139.
[01:18:59.000 --> 01:19:02.000]  Alex Jones here with a message to fellow freedom lovers.
[01:19:02.000 --> 01:19:07.000]  The prognosis for the entire planetary economic system runs from bad to worse.
[01:19:07.000 --> 01:19:14.000]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[01:19:14.000 --> 01:19:20.000]  That's why we've assembled the most vital and important preparedness items at infowarshop.com.
[01:19:20.000 --> 01:19:24.000]  These are items that I did research on that I personally use.
[01:19:24.000 --> 01:19:29.000]  You've got the life straw so you can turn fetted water into safe water anywhere you go.
[01:19:29.000 --> 01:19:34.000]  The K-Tor hand crank generator to charge up key equipment during power outages or out in the field.
[01:19:34.000 --> 01:19:38.000]  Strategic relocation third edition by Joel Scalzen.
[01:19:38.000 --> 01:19:40.000]  When disaster strikes by Matthew Stein.
[01:19:40.000 --> 01:19:45.000]  They're a safe used by Homeland Security to protect yourself during any radiological event.
[01:19:45.000 --> 01:19:48.000]  Hand crank shortwave AMFM radios.
[01:19:48.000 --> 01:19:55.000]  Everything that we've researched and found to be the best is available at infowarshop.com and your purchase makes our info war possible.
[01:19:55.000 --> 01:19:59.000]  We're getting prepared. Are you infowarshop.com?
[01:20:01.000 --> 01:20:04.000]  Coast to coast direct from Austin.
[01:20:04.000 --> 01:20:09.000]  You're listening to the Alex Jones Broadcasting Network.
[01:20:12.000 --> 01:20:16.000]  Crashing through the lies and disinformation.
[01:20:16.000 --> 01:20:27.000]  It's Alex Jones on the GCN radio network.
[01:20:27.000 --> 01:20:31.000]  As for me and my kin, we wish you all a merry Christmas.
[01:20:31.000 --> 01:20:34.000]  We wish you more importantly liberty.
[01:20:34.000 --> 01:20:41.000]  And that your soul will be forever with the true light of God and not that of the New World Order.
[01:20:41.000 --> 01:20:44.000]  Nobody rides for free.
[01:20:44.000 --> 01:20:50.000]  We're not going to have a free society without standing up for liberty and defending it.
[01:20:50.000 --> 01:20:53.000]  If we don't defend it, we'll be usurped. We'll be overrun.
[01:20:53.000 --> 01:20:56.000]  We'll be enslaved by every evil that exists.
[01:20:56.000 --> 01:21:03.000]  Let's go to your phone calls. Jeff, Nick, Daniel, Ironhead and so many others that are patiently holding here tonight.
[01:21:03.000 --> 01:21:06.000]  I see the phone lines loaded up.
[01:21:06.000 --> 01:21:11.000]  Let's go to Nick in Philly. Nick, you're up first. Go ahead.
[01:21:11.000 --> 01:21:15.000]  Alex, how you doing, my friend? Long time no talk.
[01:21:15.000 --> 01:21:18.000]  Merry Christmas. Thank you, brother. You too.
[01:21:18.000 --> 01:21:22.000]  I just wanted to say I'm really, really concerned about your uncle.
[01:21:22.000 --> 01:21:30.000]  And I just wanted to ask you a few quick questions because I want to use every bit of scientific knowledge I have to try to help them.
[01:21:30.000 --> 01:21:33.000]  The first question I have is, do you know...
[01:21:33.000 --> 01:21:35.000]  Let me just be clear. My uncle, his son died.
[01:21:35.000 --> 01:21:40.000]  He took care of him of some mystery illness, not viral, not bacterial. They can't find out what it is.
[01:21:40.000 --> 01:21:44.000]  It's in the news now in Texas and other states, killing a lot of people.
[01:21:44.000 --> 01:21:47.000]  But the mainstream media, the national media is not covering it.
[01:21:47.000 --> 01:21:50.000]  You say on the board here that you're a, quote, scientist.
[01:21:50.000 --> 01:21:51.000]  Yes.
[01:21:51.000 --> 01:21:54.000]  What type of scientist? Are you an epidemiologist or what is it?
[01:21:54.000 --> 01:21:59.000]  Actually, no. I'm a pioneer research scientist like Gregor Mandel.
[01:21:59.000 --> 01:22:01.000]  That was my first question.
[01:22:01.000 --> 01:22:07.000]  If he had a blood test run for a bacterial culture, if he actually had that...
[01:22:07.000 --> 01:22:12.000]  They've done all that. That's the thing. That's why the media has been calling it a mystery illness.
[01:22:12.000 --> 01:22:15.000]  And then they've hijacked it and calling it flu.
[01:22:15.000 --> 01:22:19.000]  But I've called the hospitals because it's in the news, the hospital he's at as well.
[01:22:19.000 --> 01:22:23.000]  And I call them and they go, no, it's not. We don't know if it's flu. No.
[01:22:23.000 --> 01:22:25.000]  So the media finally doesn't want it to be a mystery.
[01:22:25.000 --> 01:22:29.000]  I mean, we know these different drug-resistant bacteria are killing people.
[01:22:29.000 --> 01:22:32.000]  We know, and that's probably what it is.
[01:22:32.000 --> 01:22:36.000]  Well, my other question is, did they do a fungal culture?
[01:22:36.000 --> 01:22:39.000]  No, I don't believe they did a fungal. And I guess that's the word.
[01:22:39.000 --> 01:22:42.000]  There's been a lot of people dying from funguses.
[01:22:42.000 --> 01:22:45.000]  In fact, who was that Hollywood star and then her boyfriend died too?
[01:22:45.000 --> 01:22:47.000]  And it wasn't drugs and it turned out it was...
[01:22:47.000 --> 01:22:49.000]  Yeah, Brittany Murphy. Fungus. Yeah.
[01:22:49.000 --> 01:22:53.000]  That's why it's important to see if you can try to have that done
[01:22:53.000 --> 01:22:58.000]  and also a complete blood count to see if there's possibly some type of parasite going on as well.
[01:22:58.000 --> 01:23:02.000]  Let me ask you this. Yeah, I know that hospitals only look at what they're supposed to look at.
[01:23:02.000 --> 01:23:07.000]  Let me ask you this. It sounds like you know what you're talking about because that's what we're looking at is fungus.
[01:23:07.000 --> 01:23:09.000]  And that's what other scientists are looking at.
[01:23:09.000 --> 01:23:12.000]  What's going on, though, with these fungal outbreaks?
[01:23:12.000 --> 01:23:15.000]  Because they are connected to death right now.
[01:23:15.000 --> 01:23:21.000]  Well, I think one of the things of why there's so much of a problem with fungus is two-fold, Alex.
[01:23:21.000 --> 01:23:30.000]  One, when a person is overaniobiotic with any bacterial agents, it kills the good bacteria.
[01:23:30.000 --> 01:23:36.000]  And when the good bacteria die, it causes a blossoming of fungus in the body,
[01:23:36.000 --> 01:23:39.000]  especially fungus that is harmful.
[01:23:39.000 --> 01:23:45.000]  Exactly. They put you on antibiotics, it removes the buffer, they're dead, now the bad guys can move in.
[01:23:45.000 --> 01:23:49.000]  And there's the headline, Brittany Murphy, Killed by Fungus.
[01:23:49.000 --> 01:23:53.000]  Again, mainstream news. Let's put that headline back on screen.
[01:23:53.000 --> 01:23:56.000]  Well, you really know what you're talking about. Yeah, I know.
[01:23:56.000 --> 01:24:00.000]  Alex, I wanted to say to you, I apologize for interrupting.
[01:24:00.000 --> 01:24:01.000]  No, go ahead.
[01:24:01.000 --> 01:24:05.000]  One of the most deadly, it's called Candida applicants.
[01:24:05.000 --> 01:24:08.000]  And you've got to be really, really careful with that.
[01:24:08.000 --> 01:24:11.000]  It even causes yeast infections in women.
[01:24:11.000 --> 01:24:18.000]  And when somebody's overaniobiotic, I call it Candida applicants to just spread throughout the body.
[01:24:18.000 --> 01:24:21.000]  It's not a good thing and there's, you know, other toxic funguses, too.
[01:24:21.000 --> 01:24:23.000]  So I think it would be a good idea.
[01:24:23.000 --> 01:24:29.000]  Sure. And the body gets infected by the intestines, and they've genetically engineered the wheat now,
[01:24:29.000 --> 01:24:35.000]  where it can survive these funguses, so it lives, the wheat should die, you shouldn't be eating it.
