[00:00:00.109 --> 00:00:04.291]  Pat Robertson, you've got to be... Folks, come on!
[00:51:11.725 --> 00:51:23.153]  Throwing it in our face, plus they can't hide everything so they have to inoculate us to it, just kind of later bring it out to give us a feeling of desperation and that they're omnipresent.
[00:51:23.153 --> 00:51:29.098]  I mean, the British lords of old would kill their family right out in the open, cut their wife's head off in front of a crowd of a thousand.
[00:51:29.098 --> 00:51:29.338]  Paul?
[00:51:30.118 --> 00:51:45.104]  Well, yeah, there's so much evidence that goes even deeper than what Diana revealed, that the London Mirror are in effect whitewashing things, but the caller mentioned that he was part of the unit which would respond immediately to circumstances such as Diana's car crash, and the fact is that
[00:51:45.644 --> 00:52:01.768]  Diana conflicting with the official reports was basically almost out of the car and the official explanation for the delay between getting her out of the car and to the hospital, the hour and a half delay, was that she was trapped within the vehicle but she was out of the car.
[00:52:01.768 --> 00:52:05.829]  So again that goes back to the response which was delayed.
[00:52:05.829 --> 00:52:07.610]  Yes, final comments Alan?
[00:52:08.188 --> 00:52:16.291]  Do you have any opinion about why the Mirror would actually put in our face about, um, Johanna's brother's statements?
[00:52:16.291 --> 00:52:19.172]  Well, here's the deal.
[00:52:19.172 --> 00:52:24.254]  They had to kill her because she was pregnant, she was going public, she was fighting landmines, she was a loose cannon.
[00:52:24.794 --> 00:52:34.637]  So, number one, they greater damage would have done by not killing her, and then later if it leaks out that they did kill her, there's nothing we can do, they say, so just let us know.
[00:52:34.637 --> 00:52:36.037]  It's like Dr. David Kelly.
[00:52:36.037 --> 00:52:36.937]  That's a message.
[00:52:36.937 --> 00:52:39.178]  They did it sloppy, so it's a message.
[00:52:39.178 --> 00:52:41.978]  Hey, you blow the whistle on us, we'll kill you.
[00:52:41.978 --> 00:52:43.419]  That's what the mafia does.
[00:52:43.419 --> 00:52:45.979]  A lot of times they'll kill somebody and let everybody know.
[00:52:45.979 --> 00:52:47.480]  It's a message, Paul.
[00:52:47.480 --> 00:52:48.560]  As with Jackie Kennedy.
[00:52:49.931 --> 00:52:59.012]  And Piers Morgan, the actual publisher of the Daily Mirror, came out the day of and the day after these revelations were revealed and said that
[00:52:59.958 --> 00:53:06.582]  While these stories are interesting, it doesn't prove that Diana was killed in anything other than an accident.
[00:53:06.582 --> 00:53:12.386]  So the actual publisher of the Daily Mirror is now giving interviews to CNN, whitewashing the whole thing right now.
[00:53:12.386 --> 00:53:26.195]  And a lot of this is, a great point Paul, and thanks for the call Alan, a lot of this is, they've got to report some corruption to quote, control the way the story's going against the alternative media, and to try to create some credibility there.
[00:53:26.195 --> 00:53:28.517]  Paul's got to go, but before he goes, Paul,
[00:53:29.138 --> 00:53:31.081]  Order out of chaos in a minute and a half.
[00:53:31.081 --> 00:53:32.122]  Describe the book.
[00:53:32.122 --> 00:53:33.745]  White folks should get your book that I published.
[00:53:35.046 --> 00:53:45.611]  Well, in all doubt and chaos, one of the things that I go into detail about, which is rarely covered in other books, is the way in which the New World Order choose to proceed in implementing their agenda.
[00:53:45.611 --> 00:53:51.153]  And in one sense, this is characterized by legislation is passed to further centralize power.
[00:53:51.153 --> 00:53:54.175]  We talked about the European National ID card earlier.
[00:53:54.175 --> 00:54:00.838]  And the European Union always advanced this federalist dictatorship by taking small baby steps.
[00:54:01.138 --> 00:54:01.498]  I don't
[00:54:17.759 --> 00:54:18.039]  We're good.
[00:54:34.094 --> 00:54:37.298]  And having a long-term memory is something that really hurts Big Brother.
[00:54:37.298 --> 00:54:46.350]  That's why they're trying to create a memory hole system where we now see them retroactively, months later, editing transcripts, editing news articles across the board.
[00:54:46.350 --> 00:54:48.773]  This shows that unseen hand becoming very visible.
[00:54:50.587 --> 00:54:51.168]  Absolutely.
[00:54:51.168 --> 00:54:52.949]  So folks, you need to get Order Out of Chaos.
[00:54:52.949 --> 00:54:59.714]  300-plus pages full of diagrams, documents, government-sponsored care, what the New World Order is, a lot of key stuff.
[00:54:59.714 --> 00:55:00.494]  $19.95 when you order one.
[00:55:00.494 --> 00:55:03.196]  Get a second copy for $11.95 to give as a gift.
[00:55:03.196 --> 00:55:08.460]  I hope you go to InfoWars.com or PrisonPlanet.com to order it and any of the other great films or books.
[00:55:09.240 --> 00:55:10.860]  The toll-free number to order is 1-888-253-3139.
[00:55:10.860 --> 00:55:11.140]  That's 888-253-3139.
[00:55:11.140 --> 00:55:14.661]  Or write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704.
[00:55:14.661 --> 00:55:17.842]  It's an impressive and important and scholarly but riveting work.
[00:55:17.842 --> 00:55:19.902]  Folks, help us move this thing.
[00:55:19.902 --> 00:55:21.142]  Help us get it out to the people.
[00:55:36.625 --> 00:55:42.309]  I mean, we're starting to have a few victories at the moment with the pro-life course, so it's definitely starting to pay off, and it's always a pleasure.
[00:56:05.090 --> 00:56:05.612]  I think so.
