[00:00:00.489 --> 00:00:05.791]  This will free up the relief organs due to those unable or not smart enough to prepare.
[00:57:51.356 --> 00:58:01.803]  I want to break down, then, over the next few years, what he thinks government's response will be to this, why he thinks it will push the people into open rebellion.
[00:58:01.803 --> 00:58:03.524]  Our guest is Gerald Salente.
[00:58:03.524 --> 00:58:04.344]  I'm Alex Jones.
[00:58:04.344 --> 00:58:05.665]  Our website's InfoWars.com.
[00:58:07.666 --> 00:58:17.752]  You're listening to Alex Jones with Congressman Ron Paul and trend forecaster Gerald Cilenti in this encore presentation of the Alex Jones Radio Show.
[00:58:20.603 --> 00:58:21.624]  Hi, this is Ted Anderson.
[00:58:21.624 --> 00:58:23.785]  Did you miss your favorite shows on GCN today?
[00:58:23.785 --> 00:58:31.810]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to bring the GCN audience a new and exciting way to listen called On Demand.
[00:58:31.810 --> 00:58:37.833]  Available on GCNlive.com, On Demand plays each show continuously until the next time the show goes live.
[00:58:37.833 --> 00:58:38.954]  It's simple to use.
[00:58:38.954 --> 00:58:43.657]  Just go to GCNlive.com, click on the On Demand button, and find your favorite shows.
[00:58:43.657 --> 00:58:44.637]  Don't get discouraged.
[00:58:44.637 --> 00:58:46.318]  Get On Demand, free!
[00:58:46.318 --> 00:58:48.940]  Thanks again to the listeners at GCNlive.com.
[00:58:51.438 --> 00:58:52.518]  Looking for profit?
[00:58:52.518 --> 00:58:54.579]  Looking for safety and security?
[00:58:54.579 --> 00:58:57.480]  The $10 Olympic commemorative gold coin offers both.
[00:58:57.480 --> 00:59:05.123]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:59:05.123 --> 00:59:08.804]  Falling dollar values and inflation make this likely to happen again.
[00:59:08.804 --> 00:59:10.705]  Secure your position today.
[00:59:10.705 --> 00:59:11.945]  Call Midas Resources at 1-800-686-2237.
[00:59:11.945 --> 00:59:12.245]  That's 1-800-686-2237.
[00:59:20.408 --> 00:59:26.132]  Lead from solder and copper pipes, mercury from fish, dental fillings, vaccines, arsenic in the water.
[00:59:26.132 --> 00:59:30.135]  These heavy metal toxins are difficult or even impossible to avoid.
[00:59:30.135 --> 00:59:34.118]  Even trace amounts of these heavy metals over time can impact your health.
[00:59:34.118 --> 00:59:42.824]  Many health problems have been suggested as being related to this heavy metal exposure, including memory loss, high blood pressure, depression, mood swings, speech disorders, neuropathy,
[00:59:42.824 --> 00:59:43.284]  We're good.
[01:00:00.259 --> 01:00:01.499]  This is the GCN Radio Network.
[01:00:28.675 --> 01:00:34.838]  Details on News Radio 590 KLB.
[01:00:34.838 --> 01:00:36.739]  IRN USA Radio News.
[01:00:36.739 --> 01:00:37.959]  I'm Jody Jordan.
[01:00:37.959 --> 01:00:49.705]  President-elect Barack Obama has pledged in a phone conversation with Afghan President Harmad Karzai that fighting terrorism in Afghanistan and the region would be one of his top priorities.
[01:00:49.705 --> 01:00:51.306]  Here's Jason Strasioso.
[01:00:51.306 --> 01:00:55.528]  Obama's pledged to fight terrorism in the region, an apparent pledge in Afghanistan,
[01:00:56.068 --> 01:00:58.229]  The hang up is, what are the terms going to be?
[01:01:23.934 --> 01:01:25.156]  This is IRN USA Radio News.
[01:01:31.477 --> 01:01:32.117]  It works.
[01:01:32.117 --> 01:01:32.798]  It works.
[01:01:32.798 --> 01:01:33.358]  It works.
[01:01:33.358 --> 01:01:34.199]  It works.
[01:01:34.199 --> 01:01:36.480]  And what's best is it works from home.
[01:01:36.480 --> 01:01:37.140]  Hi.
[01:01:37.140 --> 01:01:38.501]  How in the world are you anyway?
[01:01:38.501 --> 01:01:42.803]  This is Andy Willoughby from the 3stepplan.com home business system.
[01:01:42.803 --> 01:01:47.086]  The dramatic difference with 3stepplan.com is that it does work.
[01:01:47.086 --> 01:01:56.791]  And after almost five years, I think that even the most diehard skeptic would have to agree there must be something different about the 3stepplan.com home business system.
[01:01:57.051 --> 01:02:07.378]  You see, we operate more like a mini-franchise so you get the expertise of people who have actually been successful working at home to help and guide you in operating your home business.
[01:02:07.378 --> 01:02:11.802]  It's kind of like a McDonald's franchise without the teenagers and big startup expense.
[01:02:11.802 --> 01:02:13.723]  And of course, we don't sell hamburgers.
[01:02:13.983 --> 01:02:18.626]  You do get to work with some really nice people who share similar family values.
[01:02:18.626 --> 01:02:23.669]  To find out how you can make more money working from home, go to 3stepplan.com or call 800-480-2102.
[01:02:23.669 --> 01:02:23.709]  800-480-2102.
[01:02:31.573 --> 01:02:37.637]  Police are still looking for the man who opened fire inside a mall packed with shoppers near Seattle yesterday.
[01:02:37.637 --> 01:02:42.421]  One person was killed and another is listed in critical condition.
[01:02:42.421 --> 01:02:46.844]  Police say they expect to identify a suspect soon and make an arrest.
[01:02:46.844 --> 01:02:48.765]  Mike Murphy is a police spokesman.
[01:02:48.765 --> 01:02:51.927]  I'm confident we're going to get him at some point in the near future.
[01:02:51.927 --> 01:02:55.630]  And retailers are anxiously getting ready for this week's Black Friday.
[01:02:56.250 --> 01:02:59.792]  Stores will be pushing big-time discounts and specials.
[01:02:59.792 --> 01:03:04.435]  Though they worry shoppers will be too worried about their own economic futures to buy much.
[01:03:05.231 --> 01:03:12.453]  Shopper Carlos Colon of Bronx says retirement is allowing him to spend money and buy gifts without too much concern.
[01:03:12.453 --> 01:03:13.893]  I'm retired.
[01:03:13.893 --> 01:03:16.534]  So I don't have any problems economically.
[01:03:16.534 --> 01:03:18.274]  I have a good federal pension.
[01:03:18.274 --> 01:03:20.515]  And I get Social Security too now.
[01:03:20.515 --> 01:03:23.095]  So you're immune from some of this stuff?
[01:03:23.095 --> 01:03:24.096]  Practically.
[01:03:24.096 --> 01:03:24.636]  Practically.
[01:03:24.636 --> 01:03:29.357]  For more news and analysis, log on to IRNnews.com.
[01:03:31.238 --> 01:03:32.119]  My name is Jeannie.
[01:03:32.119 --> 01:03:34.300]  I'm able to work from home and be a full-time mom.
[01:03:34.300 --> 01:03:36.261]  Hi, how in the world are you anyway?
[01:03:36.261 --> 01:03:40.204]  This is Andy Willoughby with the 3-Step Plan home-based business system.
[01:03:40.204 --> 01:03:44.267]  Thousands of Americans are successfully working from home with the 3-Step Plan.
[01:03:44.267 --> 01:03:45.087]  My name is Bill.
[01:03:45.087 --> 01:03:47.569]  I've been able to quit my job, pay off all of my bills.
[01:03:47.569 --> 01:03:53.233]  To find out how you could work from home with your own home-based business, go to 3stepplan.com or call 800-897-0395.
[01:03:53.233 --> 01:03:53.273]  800-897-0395.
[01:04:01.627 --> 01:04:08.830]  This year's group of Rhodes Scholars includes a man who used to dish out punishing hits on the football field.
[01:04:08.830 --> 01:04:09.970]  Here's Bob Eller.
[01:04:09.970 --> 01:04:16.873]  When he created the scholarships that bear his name, diamond magnate Cecil Rhodes ordered that recipients not be merely bookworms.
[01:04:16.873 --> 01:04:18.874]  Myron Rolle certainly fits that bill.
[01:04:18.874 --> 01:04:27.757]  The Florida State Safety had started 32 straight games until last night, missing most of the first half against Maryland after his scholarship interview.
[01:04:27.757 --> 01:04:29.498]  Rolle plans to be a neurosurgeon.
[01:04:29.978 --> 01:04:35.203]  Byron White was a football star and Rhodes Scholar and went on to be a Supreme Court Justice.
[01:04:35.203 --> 01:04:37.925]  Tom McMillan and Bill Bradley were Rhodes Scholars.
[01:04:37.925 --> 01:04:41.308]  They played pro basketball before serving in Congress.
[01:04:41.308 --> 01:04:42.589]  Bob Eller, Washington.
[01:04:42.589 --> 01:04:45.491]  It isn't quite Big Brother, but it's close.
[01:04:45.491 --> 01:04:50.416]  The security precautions for President-elect Barack Obama will be like no other.
[01:04:50.996 --> 01:04:52.416]  Here's Bryant Thomas.
[01:04:52.416 --> 01:04:57.998]  Those attending the parade and ceremony can expect to be searched by either machines or security personnel or both.
[01:04:57.998 --> 01:05:05.440]  Precautions will range from magnetometers, like those used in airports, to counter snipers, undercover officers, and even bomb-sniffing dogs.
[01:05:05.440 --> 01:05:06.100]  And the U.S.
[01:05:06.100 --> 01:05:12.162]  Geological Survey says a moderate earthquake has struck before dawn off the coast of Puerto Rico.
[01:05:12.842 --> 01:05:15.183]  Randy Baldwin is a geophysicist.
[01:05:15.183 --> 01:05:21.766]  We have a preliminary magnitude of 5.1 at a depth of 6.2 miles.
[01:05:21.766 --> 01:05:26.828]  It was located approximately 61 miles north from San Juan.
[01:05:26.828 --> 01:05:30.569]  I'm Jody Jordan for IRN USA Radio News.
[01:05:30.569 --> 01:05:31.850]  I am so frustrated.
[01:05:31.850 --> 01:05:34.191]  I can't seem to remember anything anymore.
[01:05:34.191 --> 01:05:34.351]  What?
[01:05:34.751 --> 01:05:37.513]  Seriously, my memory and attention span is terrible.
[01:05:37.513 --> 01:05:38.934]  I read something and forget!
[01:05:38.934 --> 01:05:43.998]  I forget people's names, I hear all this great information on the radio and I want to tell people, but I forget!
[01:05:43.998 --> 01:05:45.739]  I- Okay, slow down.
[01:05:45.739 --> 01:05:48.301]  Poor attention and memory loss is not your fault.
[01:05:48.301 --> 01:05:55.446]  Factors like fluoride in the water, aluminum in deodorants, genetically modified foods, the way the education system taught you.
[01:05:55.446 --> 01:05:57.067]  It's all meant to dumb you down.
[01:05:57.067 --> 01:05:58.828]  You know, I can remember everything now!
[01:05:58.828 --> 01:05:59.729]  Even entire books!
[01:05:59.969 --> 01:06:00.249]  What?
[01:06:00.249 --> 01:06:00.810]  How?
[01:06:00.810 --> 01:06:04.072]  There is this website called School of Phenomenal Memory.
[01:06:04.072 --> 01:06:07.856]  Their online course is a real breakthrough in the field of memory improvement.
[01:06:07.856 --> 01:06:17.483]  In fact, they guarantee that every single person will be able to memorize any type of information, including entire books, after they complete just 60 lessons.
[01:06:17.483 --> 01:06:22.868]  And they offer a no-questions-asked, no-time-limit, money-back guarantee.
[01:06:22.868 --> 01:06:23.388]  Wow.
[01:06:23.388 --> 01:06:24.169]  What's the website?
[01:06:24.389 --> 01:06:27.871]  Now don't forget, it's pmemory.net.
[01:06:27.871 --> 01:06:30.593]  The letter P, memory dot net.
[01:06:30.593 --> 01:06:39.959]  Prepare yourself for a talk radio experience like no other.
[01:06:39.959 --> 01:06:42.721]  He stands for truth.
[01:06:42.721 --> 01:06:45.943]  He stands for justice.
[01:06:45.943 --> 01:06:48.384]  He stands for what's right.
[01:06:48.384 --> 01:06:51.667]  This is the Alex Jones Show.
[01:06:51.667 --> 01:06:53.468]  Call Alex now, toll free.
[01:06:54.526 --> 01:06:54.927]  At 877-590-5525.
[01:06:54.927 --> 01:06:58.970]  Now live from Austin, Texas, here's Alex Jones.
[01:07:24.443 --> 01:07:27.228]  Hey, I was just talking to Gerald Salente during the break.
[01:07:27.228 --> 01:07:35.002]  He didn't tell me not to say this, but he'll probably get a seat in the FEMA camp for it, probably already will, but I didn't know he was aware of our work and said it was, um...
[01:07:36.713 --> 01:07:38.974]  Well, interesting.
[01:07:38.974 --> 01:07:48.837]  Well, let's just get from Gerald Solente, because I'm interested, I really respect him, what he thinks of the work we're doing here, from the work of mine that he's seen.
[01:07:48.837 --> 01:07:50.097]  Mr. Solente?
[01:07:50.097 --> 01:07:56.399]  Yes, I've been following you for years, and I admire you as a man of courage.
[01:07:56.399 --> 01:08:00.160]  And in these times, not many people have it anymore.
[01:08:00.800 --> 01:08:05.842]  And they're always towing the party line or afraid of the implications of what they say.
[01:08:05.842 --> 01:08:11.225]  And you've been a man that speaks out, you speak your mind, and you're a man of your word and your conviction.
[01:08:11.225 --> 01:08:13.946]  So, you know, what's not to admire?
[01:08:13.946 --> 01:08:17.508]  Well, I admire you, but I mean, look, with me it's not even courage.
[01:08:17.508 --> 01:08:22.970]  And I would imagine it's the same with you, because I talk to other people that'll speak out and trailblaze.
[01:08:22.970 --> 01:08:24.111]  I mean, why would you lie?
[01:08:24.111 --> 01:08:26.392]  I mean, all you've got is who you are and the truth.
[01:08:27.273 --> 01:08:28.234]  I don't think so.
[01:08:46.773 --> 01:08:47.835]  Oh yeah, no listen, you know...
[01:09:06.596 --> 01:09:18.601]  It's funny, when we talked about the failings of the Bush administration, we were called Bush-bashers, now we're being called Obama-bashers, you know, but it's the price that you pay.
[01:09:18.601 --> 01:09:20.522]  And you said it, but what's more than your word?
[01:09:20.522 --> 01:09:26.704]  I mean, for me, my belief is that when I take that last breath, I want to know that I was true to myself.
[01:09:26.704 --> 01:09:36.148]  There's a great saying, you know, that whether it's the Koran, the Bible, Jesus, Muhammad, or Buddha, there is no salvation for the hypocrite.
[01:09:36.988 --> 01:09:40.869]  You know, what's the sense of living if you're going to be a hypocrite?
[01:09:40.869 --> 01:09:51.653]  But it really is a time for people, as they say, now is the time for all good men to come to the aid of their country.
[01:09:51.653 --> 01:09:54.594]  And this is that time, and we've never seen it more than this.
[01:09:55.194 --> 01:09:59.998]  Because there is going to be that period following.
[01:09:59.998 --> 01:10:07.884]  When the crime rates start going up, the first reaction is going to be, send more police out into the streets.
[01:10:07.884 --> 01:10:11.527]  And so they're going to build up more and more of this.
[01:10:11.527 --> 01:10:18.252]  Again, you can call what's going on now, with the government now controlling the world's largest insurance company.
[01:10:18.914 --> 01:10:30.337]  The world's largest mortgage brokerage, and now they're talking about taking over one of the largest auto companies, and of course now they're buying into the banks.
[01:10:30.337 --> 01:10:38.340]  You could call this either socialism, communism, or fascism, but you cannot call it free enterprise or democracy.
[01:10:38.340 --> 01:10:48.603]  That's right, it's total command and control, and the break in a refugee, you were continuing to go through how you see this unfolding, and just how bad it's going to get.
[01:10:50.606 --> 01:10:51.207]  We're good.
[01:11:01.443 --> 01:11:13.808]  That'll be another thing, because we're already hearing from the G20 members to reinstitute some format of the Brenton Woods Agreement, which, of course, gold was the standard.
[01:11:13.808 --> 01:11:22.011]  But, of course, there's too much money out there, so that means gold would probably be $6,000 or $60,000 an ounce.
[01:11:22.011 --> 01:11:24.752]  It would have a really, really high value.
[01:11:24.752 --> 01:11:28.053]  So we think that there's going to be that kind of confiscation.
[01:11:28.053 --> 01:11:29.734]  We think also that they're going to
[01:11:30.604 --> 01:11:36.412]  They're doing it already, they're squeezing the little people and this is what is going to be a revolt.
[01:11:36.412 --> 01:11:47.328]  You look at, go around the country Alex, state after state, city after city, locality after locality, they're raising taxes to make up for lost revenues.
[01:11:48.148 --> 01:11:54.851]  How are the people going to pay these things when their median household income is well below $19.99 levels?
[01:11:54.851 --> 01:11:56.531]  Wages are falling behind.
[01:11:56.531 --> 01:11:58.572]  How are they losing their jobs?
[01:11:58.572 --> 01:11:59.733]  That's number one.
[01:11:59.733 --> 01:12:16.339]  Here in New York, what they're doing in the city is they just hired several hundred new traffic enforcement officers so that when you're driving in New York City and if your car goes into that white space between the lines where the pedestrian walks,
[01:12:16.999 --> 01:12:21.202]  Yeah, what they're doing is white-gloving everyone now.
[01:12:21.202 --> 01:12:24.364]  Everywhere I drive in Austin, there's a cop every half mile.
[01:12:24.364 --> 01:12:27.506]  Now if you go a couple miles over the speed limit, they give you a ticket.
[01:12:27.506 --> 01:12:33.629]  Everything's being watched, but then they admit in major Texas papers that illegal aliens are above the law.
[01:12:33.629 --> 01:12:37.031]  They don't have to have any driver's license, insurance, nothing.
[01:12:37.031 --> 01:12:38.732]  Only the citizens.
[01:12:38.732 --> 01:12:43.375]  And then meanwhile, traffic enforcement cops in New York have gotten in trouble because they drive the worst.
[01:12:43.375 --> 01:12:44.816]  They park wherever they want.
[01:12:44.816 --> 01:12:45.997]  They do whatever they want.
[01:12:49.241 --> 01:12:51.802]  Well, this is why the revolt is going to take place.
[01:12:51.802 --> 01:12:52.882]  You know, there's another one, too.
[01:12:52.882 --> 01:12:57.803]  They've unleashed all the people from the sales tax people, you know, going to all the small shops, the pizza shops.
[01:13:13.946 --> 01:13:22.213]  You know, the liquor stores, all the small people, and they're cracking down on them, making them pay more sales tax.
[01:13:22.213 --> 01:13:29.980]  IRS is going to go after more of the small people, because the too-big-to-fails, the too-big-to-control, and too-big-to-monitor.
[01:13:29.980 --> 01:13:33.543]  So, this is where the revolution starts taking place.
[01:13:33.543 --> 01:13:41.450]  Because when you're hungry, and when you're out of a job, and when you're out on the streets, you don't want to hear, yes, we can anymore.
[01:13:42.547 --> 01:13:45.231]  And that's what's going to happen.
[01:13:45.231 --> 01:13:47.755]  And the other thing that's going to happen as well...
[01:13:48.681 --> 01:14:01.868]  And we believe that there's going to be a new third party formed around the same reasons the third parties were formed in the 19th century against the central bankers taking over the country.
[01:14:01.868 --> 01:14:08.151]  And if anybody's not old enough to see what's happening or too blind to look, they better wake up.
[01:14:08.151 --> 01:14:12.013]  As we said in our trend alert recently, it was a D.C.
[01:14:12.013 --> 01:14:12.453]  heist.
[01:14:12.453 --> 01:14:14.274]  They hijacked Washington.
[01:14:15.038 --> 01:14:17.919]  And you have Henry Paulson in there from Goldman Sachs.
[01:14:17.919 --> 01:14:18.939]  I love it, you know.
[01:14:18.939 --> 01:14:22.241]  The liberals, you know, they bash Bush and Cheney.
[01:14:22.241 --> 01:14:25.142]  You know that Cheney has ties to Halliburton.
[01:14:25.142 --> 01:14:32.944]  Yeah, how about, you know, who did Obama bring in as his new team, his transition team in there to look for the economy?
[01:14:32.944 --> 01:14:35.985]  Robert Rubin and Larry Summers.
[01:14:35.985 --> 01:14:39.507]  They're the guys that changed the rules to do all of this.
[01:14:39.507 --> 01:14:40.187]  Exactly.
[01:14:40.979 --> 01:14:58.416]  They're the ones that put the nail in the glass steagle act, that allowed the banksters to be running wild as they are now, and also to put all these phony little gambling games like derivatives... Well, here's the $64 million question, then.
[01:14:58.416 --> 01:15:04.381]  Why did Kashkari even go up before the House and basically admit they took the $5 trillion, not $700 billion?
[01:15:04.381 --> 01:15:06.003]  They're not telling anybody where it went.
[01:15:06.750 --> 01:15:08.731]  And then he started laughing at them.
[01:15:08.731 --> 01:15:22.855]  I mean, I've never even in modern history, or even in Rome, with Caligula, you know, marrying his horse, seen this type of craziness where it's like they're wanting to push us into rebellion.
[01:15:22.855 --> 01:15:23.656]  Exactly.
[01:15:23.656 --> 01:15:24.856]  And this is the same thing.
[01:15:24.856 --> 01:15:27.997]  I mean, the same thing happened in France, you know.
[01:15:27.997 --> 01:15:30.658]  If they don't stay, they are living
[01:15:31.839 --> 01:15:46.833]  In a world that is... I was on MSNBC one time recently during the elections and Mitt Romney was still in the race and he came out with his shining city on the hill kind of thing, trying to mimic Reagan.
[01:15:46.833 --> 01:15:52.118]  And the host said to me, well isn't Governor Romney correct in what he's saying?
[01:15:52.118 --> 01:15:53.399]  Shouldn't we be more hopeful?
[01:15:54.200 --> 01:16:03.369]  This was, you know, last year, and I said, this year actually, but earlier, and I said, you know, I said, this guy doesn't go to the gas station and pump his own gas.
[01:16:03.369 --> 01:16:09.295]  He doesn't go shopping and stop and shop and watch the prices of cut coupons.
[01:16:09.295 --> 01:16:11.598]  They don't have a clue what's going on.
[01:16:11.598 --> 01:16:13.520]  And that's what's going on over here.
[01:16:13.520 --> 01:16:14.381]  Let them eat cake.
[01:16:14.941 --> 01:16:25.048]  You're listening to Alex Jones with Congressman Ron Paul and Trend Forecaster Gerald Cilenti in this encore presentation of the Alex Jones Radio Show.
[01:16:30.595 --> 01:16:34.056]  Silver is mankind's oldest natural antibiotic.
[01:16:34.056 --> 01:16:38.297]  This very special mineral has been used for centuries by most cultures throughout the world.
[01:16:38.297 --> 01:16:49.960]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[01:16:49.960 --> 01:16:55.782]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[01:16:56.022 --> 01:16:56.662]  We're good to go.
[01:17:16.288 --> 01:17:18.189]  Imagine feeling totally helpless.
[01:17:18.189 --> 01:17:22.893]  Imagine thinking and hearing clearly, but unable to move as the ground rises to meet you.
[01:17:22.893 --> 01:17:25.635]  Imagine the pain of a thousand needles as your body is invaded, locked,
[01:17:43.949 --> 01:17:48.512]  And hammered by 50,000 volts of the latest in Taser technology.
[01:17:48.512 --> 01:17:56.317]  If this sounds scary, imagine how it would feel for anyone attempting to victimize a friend, loved one, or even yourself.
[01:17:56.317 --> 01:18:02.481]  FortressTactical.com offers you the same technology trusted by police departments from around the world.
[01:18:02.481 --> 01:18:12.927]  Specializing in less lethal defense, Fortress Tactical carries only the best in U.S.-built protection equipment, like the new Taser C2, which includes a holster, two extra cartridges,
[01:18:12.927 --> 01:18:13.027]  Two!
[01:18:30.740 --> 01:18:36.464]  With Christmas right around the corner and an unstable economy looming, finding the right gift can be tough.
[01:18:36.464 --> 01:18:39.187]  Why not give the gift of an Excalibur dehydrator?
[01:18:39.187 --> 01:18:44.050]  The Excalibur dehydrator is not only economical, but also fun for the whole family.
[01:18:44.050 --> 01:18:47.933]  Save hundreds of dollars by drying your own fruits, vegetables, and meats.
[01:18:47.933 --> 01:18:55.099]  Make your own healthy snacks or start storing your own healthy food in case of emergencies, all with no added salts, fats, and preservatives.
[01:18:55.359 --> 01:19:02.925]  What a perfect gift for the health-conscious person in your family, or for a friend who vows to eat healthier this coming year, even if that friend is you.
[01:19:02.925 --> 01:19:09.230]  For a limited time, receive the book Preserve It Naturally, filled with amazing, easy recipes.
[01:19:09.230 --> 01:19:11.052]  A $25 value, free with your order.
[01:19:11.052 --> 01:19:11.572]  Just call 1-800-875-4254.
[01:19:11.572 --> 01:19:11.872]  That's 1-800-875-4254.
[01:19:11.872 --> 01:19:12.353]  Or go to drying123.com.
[01:19:12.353 --> 01:19:12.993]  That's D-R-Y-I-N-G-123.com.
[01:19:25.143 --> 01:19:29.625]  Excalibur Dehydrator wishes you and yours health and wellness for the new year.
[01:19:29.625 --> 01:19:33.427]  The holidays are right around the corner.
[01:19:33.427 --> 01:19:40.950]  The crowds, the countless hours in traffic, finding a parking spot just to buy a gift you're worried they might not like anyway.
[01:19:40.950 --> 01:19:45.992]  How about surprising your loved ones with a gift they can use every day of the year?
[01:19:45.992 --> 01:19:48.873]  Give the gift of safety with security products from
[01:19:49.053 --> 01:19:50.394]  Pepperspray.com.
[01:19:50.394 --> 01:20:00.161]  Pepperspray.com carries the largest assortment of pepper spray and other personal safety devices on the web for your spouse, your children, your co-workers, and more!
[01:20:00.161 --> 01:20:08.246]  When you purchase the perfect gift from Pepperspray.com, you'll receive 10% off just by using the coupon code GCN.
[01:20:08.246 --> 01:20:14.851]  What better way to say Merry Christmas than giving the priceless gift of safety and security from Pepperspray.com?
[01:20:15.231 --> 01:20:20.055]  Shop now at Pepperspray.com or call 1-800-908-9988.
[01:20:20.055 --> 01:20:24.979]  That's 1-800-908-9988.
[01:20:24.979 --> 01:20:34.427]  Pepperspray.com wishes you and yours a safe and happy holiday season.
[01:20:34.427 --> 01:20:38.551]  You're listening to GCN, the Genesis Communications Radio Network.
[01:20:40.194 --> 01:20:41.276]  How bad is it going to get?
[01:20:52.365 --> 01:20:56.889]  So we think the first cracks are going to become very evident in February.
[01:20:56.889 --> 01:21:00.973]  When the cold winter sets in, people are going to feel the hardship.
[01:21:00.973 --> 01:21:04.316]  From then on, it's going to go downhill from there.
[01:21:04.316 --> 01:21:13.964]  We're going to see the real estate markets going to bust out completely, and again, the next big shoe to fall, here they come, is going to be the commercial real estate sector.
[01:21:14.757 --> 01:21:18.540]  This is what we wrote in the Trends Journal last year before this all happened.
[01:21:18.540 --> 01:21:22.904]  We said the subprime problem was merely the cracks at the bottom of the foundation.
[01:21:22.904 --> 01:21:31.630]  Matter of fact, you can see that on a clip that I did in December of 2007, when we said, you know, this stuff about the subprime.
[01:21:31.630 --> 01:21:44.340]  Wait till all these hedge funds, and how about these leveraged buyout firms, like Sibiris and Carlyle Group and Blackstone, that were buying up multi-billion dollar companies with no money down.
[01:21:44.600 --> 01:21:46.681]  How about all these real estate developers?
[01:21:46.681 --> 01:21:50.443]  And credit default swaps, and credit cards, and just everything.
[01:21:50.443 --> 01:21:51.143]  Exactly.
[01:21:51.143 --> 01:21:59.667]  So now you look at the commercial sector, as I said, you're seeing now after the retail hit comes, you're going to start seeing ghost malls.
[01:21:59.667 --> 01:22:01.587]  Who's going to occupy these things?
[01:22:01.587 --> 01:22:05.189]  But here's the positive end, and I want to make this very clear.
[01:22:06.292 --> 01:22:12.935]  As the giants fall, they're going to leave big gaps left behind.
[01:22:12.935 --> 01:22:16.156]  And that's for the entrepreneurs to move into these slots.
[01:22:16.156 --> 01:22:22.739]  You see, what's happening, Alex, is this is, by the way, more than just the collapse of the markets.
[01:22:22.739 --> 01:22:24.020]  This is the decline of Empire America.
[01:22:26.941 --> 01:22:31.206]  This whole corporate model is built upon growth and expansion.
[01:22:31.206 --> 01:22:34.289]  Let's take first the retail sector.
[01:22:34.289 --> 01:22:42.157]  They get their money and their stock, people to buy stock in them, by the amount of new stores they're building each year, their expansion.
[01:22:42.157 --> 01:22:43.799]  Now they're in decline.
[01:22:43.799 --> 01:22:47.823]  It's not as though these are brilliant managers and increasing in-store sales.
[01:22:48.183 --> 01:22:49.203]  That's not happening.
[01:22:49.203 --> 01:22:53.505]  You're saying we've got to switch to innovation, not just growth and expansion.
[01:22:53.505 --> 01:22:55.686]  Exactly, and they don't know how to do that.
[01:22:55.686 --> 01:23:01.588]  As we were talking earlier, why, you know, I get frustrated working with large corporations.
[01:23:01.588 --> 01:23:04.530]  The innovation is not part of their DNA.
[01:23:04.530 --> 01:23:05.730]  If they were, they wouldn't be them.
[01:23:05.730 --> 01:23:08.271]  All they know how to do is make money.
[01:23:08.271 --> 01:23:11.592]  That doesn't make you smart, it makes you shrewd.
[01:23:11.592 --> 01:23:13.333]  You know, so there are very different things here.
[01:23:16.588 --> 01:23:16.928]  I think?
[01:23:37.998 --> 01:23:38.639]  I don't
[01:23:58.848 --> 01:24:00.008]  I don't want to pay for this stupidity!
[01:24:20.547 --> 01:24:24.368]  So this is where we're going, and then we're going to start seeing the tax revolts.
[01:24:24.368 --> 01:24:30.211]  You can't raise taxes when people are out of work and their incomes are declining.
[01:24:30.211 --> 01:24:31.711]  Who do these people think they are?
[01:24:31.711 --> 01:24:35.773]  Well, what you said earlier is happening already.
[01:24:35.773 --> 01:24:44.796]  Bush tripled the size of government, Obama's promising to expand it even more, and they're hiring more cops, more bureaucrats, more, more, more, and we just don't have it!
[01:24:44.796 --> 01:24:46.056]  What is it you don't understand?
[01:24:46.056 --> 01:24:46.656]  Exactly!
[01:24:54.462 --> 01:24:54.562]  We're
[01:25:20.476 --> 01:25:25.282]  For anybody to think that these people in Washington are intelligent...
[01:25:27.220 --> 01:25:36.644]  Well, Mr. Sollente, a lot of them are people worth billions of dollars that I know that live in Austin that I've met personally.
[01:25:36.644 --> 01:25:52.912]  They have fled the country in the last three years, and their inside info, and I was saying this three years ago, the United States, quote, won't be here economically, and that's the term you're using is a post-industrial, a post-first world nation.
[01:25:52.912 --> 01:25:55.513]  Yeah, and we call it an underdeveloping nation.
[01:25:56.233 --> 01:26:04.538]  And they're gonna do the things that they do in other underdeveloping nations, for example, like in Argentina, when the currency busts out.
[01:26:04.538 --> 01:26:06.860]  You can't get your money out of the bank.
[01:26:06.860 --> 01:26:12.043]  And they'll do a fake flag thing, you know, they'll blame something else for the problem.
[01:26:12.043 --> 01:26:16.265]  I mean, I love this Obama and his speech, you know, how, you know, yes, we can.
[01:26:16.265 --> 01:26:17.606]  We don't count.
[01:26:17.606 --> 01:26:18.967]  If they were listening to the we,
[01:26:19.767 --> 01:26:25.190]  Well, let's stop right there.
[01:26:25.190 --> 01:26:26.650]  Let's stop right there.
[01:26:26.650 --> 01:26:35.474]  You talk about a false flag, some type of staged event or group of staged events to keep the slaves rallied around the bankers while they slit our throats?
[01:26:35.854 --> 01:26:36.734]  You got it.
[01:26:36.734 --> 01:26:40.476]  You know, look, there's nothing that they say that I believe.
