[00:00:04.924 --> 00:00:08.126]  It's Wednesday, July 21st.
[01:50:43.155 --> 01:50:44.676]  They're disgraceful people.
[01:50:44.676 --> 01:50:47.398]  George Washington pisses on them, and I hope they burn in hell.
[01:50:47.398 --> 01:50:49.178]  I mean, look at these guys.
[01:50:49.178 --> 01:50:50.419]  Looks like Brian Steltz.
[01:50:50.419 --> 01:50:53.021]  I mean, these are people who are fake conservatives.
[01:50:53.021 --> 01:51:06.948]  They think they put some chicks with bikinis on and pretend to be tough guys, and they got almost all of their monetary support from conservatives, and now they turn around after they've gotten rich off those conservatives and slap them in the face and attack a kid.
[01:51:07.388 --> 01:51:13.733]  Anybody who's going to attack a kid like Kyle Rittenhouse is a business that doesn't belong in business on the political side of the aisle.
[01:51:13.733 --> 01:51:15.875]  So they've been a total disgrace.
[01:51:15.875 --> 01:51:17.676]  There's no excuse for what they did.
[01:51:17.676 --> 01:51:22.960]  Well, what they are is cowards because they grovel to the left, they grovel to the New York Times, and I guarantee you they're not happy now.
[01:51:22.960 --> 01:51:27.564]  I've got people calling me family that never even calls me saying, I don't like that black rival coffee company.
[01:51:27.564 --> 01:51:28.384]  You know them?
[01:51:28.384 --> 01:51:29.485]  You're not with them, are you?
[01:51:29.485 --> 01:51:31.627]  And I'm like, no, no, the guy we had on used to be with them.
[01:51:31.627 --> 01:51:33.949]  I have family threatening me to not be associated with them.
[01:51:35.325 --> 01:51:37.366]  They like pissed off Hillbilly.
[01:51:37.366 --> 01:51:40.468]  They pissed off my Hillbilly family.
[01:51:40.468 --> 01:51:49.294]  What I told them was all they have to do is issue an apology and a correction and retraction and quit smearing Kyle Rittenhouse and his family and they refuse to.
[01:51:49.294 --> 01:51:54.577]  Instead they have these, you know, conservatives put them on and soft pedal what they said and what they did.
[01:51:54.577 --> 01:51:57.259]  If you're not with Kyle Rittenhouse, you're not a conservative.
[01:51:57.259 --> 01:52:02.442]  If you're not with Kyle Rittenhouse, you're not with the Second Amendment, you're not with America, you're a piece of crap.
[01:52:03.752 --> 01:52:04.413]  Precisely.
[01:52:04.413 --> 01:52:07.875]  And these people have gone out of their way to attack a kid repeatedly.
[01:52:07.875 --> 01:52:22.526]  So if you're a Black Rifle Coffee customer, today is the day to send them your cancellation order, because they decided to cancel Kyle Rittenhouse, cancel the self-defense, cancel the Second Amendment, cancel Americana at its core.
[01:52:22.526 --> 01:52:25.708]  And by the way, we're not trying to pitch this against Black Rifle.
[01:52:25.708 --> 01:52:26.628]  I've promoted them.
[01:52:26.628 --> 01:52:27.629]  I've been nice.
[01:52:27.629 --> 01:52:29.290]  They say, quote, plan their pro-Second Amendment.
[01:52:29.290 --> 01:52:29.611]  They're not.
[01:52:30.231 --> 01:52:33.693]  We've had the highest quality, people make jokes about it, well what, it's from Chiapas?
[01:52:33.693 --> 01:52:35.314]  That's where comics are.
[01:52:35.314 --> 01:52:38.536]  That's where great coffee is, we buy it from villagers in Chiapas.
[01:52:38.536 --> 01:52:40.618]  It's basically almost Guatemalan coffee, but it's better.
[01:52:41.678 --> 01:52:42.379]  It's high-end.
[01:52:42.379 --> 01:52:46.122]  The same stuff sells for $10 more a pound at Whole Foods.
[01:52:46.122 --> 01:52:49.044]  I found a distributor for it more than 10 years ago.
[01:52:49.044 --> 01:52:50.365]  It is very high-end coffee.
[01:52:50.365 --> 01:52:50.886]  People drink it.
[01:52:50.886 --> 01:52:51.986]  They can't believe how good it is.
[01:52:51.986 --> 01:52:54.449]  We've never raised prices in 10 years.
[01:52:54.449 --> 01:52:55.750]  Coffee prices are exploding.
[01:52:55.750 --> 01:52:58.312]  In the new year, it's going to go up 25%.
[01:52:58.312 --> 01:53:01.334]  But we've got two different varieties of it at InfoWareStore.com.
[01:53:02.515 --> 01:53:09.958]  I mean, I've had Kyle's family on, we've done fundraisers for him, but I'm not some person that sits up there and says, buy my stuff, I'm going to support Kyle Rittenhouse.
[01:53:09.958 --> 01:53:11.718]  I'm going to support him no matter what.
[01:53:11.718 --> 01:53:15.360]  We got it with the reishi mushrooms for your immune system, we have it without.
[01:53:15.360 --> 01:53:19.221]  At $19.95 for a package this big, it is an amazing deal.
[01:53:19.221 --> 01:53:24.643]  But I will say, because they don't want Kyle having support, that's going to make me support him even more.
[01:53:24.643 --> 01:53:27.364]  I guess his trial's coming up, what, in October or November?
[01:53:27.364 --> 01:53:27.724]  When is it?
[01:53:28.935 --> 01:53:29.896]  The first week of November.
[01:53:53.028 --> 01:53:55.730]  FreeKyleUSA.com.
[01:53:55.730 --> 01:53:58.451]  FreeKyleUSA.com.
[01:53:58.451 --> 01:54:00.993]  That's where people can go to support Kyle's defense.
[01:54:00.993 --> 01:54:03.714]  And by the way, none of this goes to me.
[01:54:03.714 --> 01:54:06.076]  I've delayed a deferred receipt of any payment.
[01:54:06.076 --> 01:54:07.457]  I've been doing all of this pro bono.
[01:54:07.457 --> 01:54:08.517]  No, I know that.
[01:54:08.517 --> 01:54:11.759]  You're not like Black Rival Coffee Company claiming you're these big patriots while you piss on America.
[01:54:11.759 --> 01:54:12.339]  We get it.
[01:54:12.339 --> 01:54:14.461]  This all goes to Kyle, who has no money.
[01:54:14.461 --> 01:54:15.201]  They've lost everything.
[01:54:15.201 --> 01:54:18.363]  They've got the whole DA and Soros group against them.
[01:54:18.363 --> 01:54:20.804]  Everybody needs to donate right now.
[01:54:20.804 --> 01:54:21.745]  One more time, the website.
[01:54:22.881 --> 01:54:25.542]  FreeKyleUSA.com.
[01:54:25.542 --> 01:54:28.223]  FreeKyleUSA.com.
[01:54:28.223 --> 01:54:31.545]  And I gotta say, I'm really ashamed of Black Rifle Pussy Company.
[01:54:31.545 --> 01:54:33.006]  I don't want to insult women.
[01:54:33.006 --> 01:54:33.986]  Women are incredible.
[01:54:33.986 --> 01:54:35.427]  Why compare them to pussies?
[01:54:35.427 --> 01:54:36.327]  I love pussy.
[01:54:36.327 --> 01:54:39.889]  These are traitors, and these are cowards, and these are un-American scum.
[01:54:39.889 --> 01:54:40.769]  And you know what?
[01:54:40.769 --> 01:54:42.270]  They got God to deal with.
[01:54:42.270 --> 01:54:43.991]  Burn in hell, Black Rifle!
[01:54:43.991 --> 01:54:44.691]  Burn in hell!
[01:54:46.400 --> 01:54:48.703]  Mike Lindell is a man in the arena.
[01:54:48.703 --> 01:54:51.106]  A man after Teddy Roosevelt so hard.
[01:54:51.106 --> 01:54:55.111]  People demonize him, they laugh at him, they attack him, but he's been proven right.
[01:54:55.111 --> 01:55:01.238]  The audits are coming out and there was total, absolute election fraud against President Trump and against the American people.
[01:55:01.238 --> 01:55:01.699]  That is
[01:55:02.259 --> 01:55:03.599]  The bottom line.
[01:55:03.599 --> 01:55:09.581]  And Mike Lindell is getting sued by all these big powerful globalist institutions trying to shut him down.
[01:55:09.581 --> 01:55:18.283]  That's why it's so important to support MyFellow.com and all the great products he's got and all the thousands of employees he has hired in America.
[01:55:18.283 --> 01:55:20.483]  Because he's doing God's work.
[01:55:20.483 --> 01:55:22.504]  And at the same time, he's funding InfoWars.
[01:55:22.504 --> 01:55:22.904]  That's right.
[01:55:22.944 --> 01:55:23.284]  That's right.
[01:55:23.284 --> 01:55:35.094]  When you use promo code ALEX at checkout, up to 60% off on the best-selling sheets and towels and the new beds he's got and the pillows, of course, everything.
[01:55:35.094 --> 01:55:39.878]  Up to 60% off with promo code ALEX at checkout at MyPillow.com.
[01:55:39.878 --> 01:55:43.481]  Then you fund his great work and our great work at InfoWards, a 360 win.
[01:55:43.481 --> 01:55:44.822]  MyPillow.com, promo code ALEX.
[01:55:46.798 --> 01:55:49.261]  The world is awakening.
[01:55:49.261 --> 01:55:52.765]  The world is beginning to understand the globalist paradigm.
[01:55:52.765 --> 01:56:04.058]  They are discovering the globalists, the elites, the manipulation, the CFR, the Trilateral Commission, the Bilderberg Group, the Bohemian Grove, the Club of Rome.
[01:56:04.058 --> 01:56:06.681]  And so, even though it seems like the globalists are winning,
[01:56:07.867 --> 01:56:13.829]  The truth is, they've had to come out in the open to attack human freedom because they're actually losing.
[01:56:13.829 --> 01:56:16.971]  We have forced them out in the open.
[01:56:16.971 --> 01:56:22.793]  So as bad as these times are, and a lot of negative things are about to happen, realize humanity is winning.
[01:56:22.793 --> 01:56:24.734]  You've got to trust in the plan of God.
[01:56:24.974 --> 01:56:26.615]  You're listening to the Alex Jones Show.
[01:57:02.435 --> 01:57:09.117]  We've seen secret forced inoculations of children in the UK and now Australia.
[01:57:09.117 --> 01:57:14.598]  We've seen the Governor of New York say we're going to take kids and give them shots no matter what their parents say.
[01:57:14.598 --> 01:57:19.759]  California passed a law where 12-year-olds and up can do it without their parents' consent.
[01:57:19.759 --> 01:57:24.080]  And in places like Toronto, Canada and Seattle, Washington and Portland, Oregon, they have
[01:57:25.180 --> 01:57:26.560]  Ice cream trucks, I'm not joking.
[01:57:26.560 --> 01:57:27.380]  Look it up.
[01:57:27.380 --> 01:57:30.541]  Drive around and give the kids shots without their parents even knowing.
[01:57:30.541 --> 01:57:33.182]  This is a criminal revolution.
[01:57:33.182 --> 01:57:33.882]  A new world order.
[01:57:33.882 --> 01:57:47.985]  And Robert Barnes, constitutional lawyer, is working with Robert Kennedy Jr., who's doing an amazing job fighting all of this, on attempts to inject District of Columbia children without parental consent.
[01:57:47.985 --> 01:57:49.125]  Barnes, tell us about that.
[01:57:50.407 --> 01:57:51.508]  So two things have happened.
[01:57:51.508 --> 01:57:52.449]  Essentially, D.C.
[01:57:52.449 --> 01:58:02.717]  passed a law and then put in procedures, first to use the COVID vaccine on public school children without their parents knowing about it, but then they took it a step further.
[01:58:02.717 --> 01:58:07.161]  They instructed doctors and medical staff to falsify documents.
[01:58:07.581 --> 01:58:16.970]  So that parents, so that they lied to parents and they created fake medical records for parents with a different set of medical records secretly being kept by the state and the school.
[01:58:16.970 --> 01:58:33.045]  So that parents who already had religious exemptions under the law, already had medical exemptions under the law, were not going to know that their kid had been secretly vaccinated against their will without any aspects of informed consent taking place at all.
[01:58:33.545 --> 01:58:47.596]  And what the striking thing about this was not just that aspect, but was that other aspect of having doctors forge documents to lie to parents so that parents don't know what their own children's health treatment actually is because of the school.
[01:58:47.596 --> 01:59:00.406]  So Bobby Kennedy has brought suit against the District of Columbia, challenging all of it, noting that it not only violates parental rights under the Constitution, certain privacy rights under the Constitution, informed consent rules under the Constitution,
[01:59:00.746 --> 01:59:06.708]  But also it violates religious rights under the religious statutes that were passed in 2000 by Congress.
[01:59:06.708 --> 01:59:14.672]  Because this is deliberately, their primary target are religious kids, religious parents who have religious exemptions.
[01:59:14.672 --> 01:59:22.575]  For example, there's people that have exemptions, that have a religious exemption to this particular vaccine because some of it was used with stem cell research.
[01:59:22.575 --> 01:59:28.557]  And so people that oppose stem cell research don't want to support this vaccine, so some of them have used that as a religious exemption.
[01:59:28.897 --> 01:59:44.429]  They're deliberately targeting religious exempt kids, so they're going to secretly vaccinate them without the parents knowing, then lie to the parents by having doctors forge documents and the schools forge documents, create fraudulent documents to lead them to believe it didn't happen.
[01:59:44.429 --> 01:59:54.698]  And this is a big suit being brought by Bobby Kennedy against the District of Columbia, exposing all of this first and foremost, but also challenging it on constitutional and federal statutory grounds.
[01:59:54.698 --> 01:59:56.339]  And it has an excellent chance of winning.
[01:59:56.759 --> 02:00:06.469]  And then we see the sitting president of the United States, and we see the press spokesperson, Jen Psaki, saying, we've got to stop this person.
[02:00:06.469 --> 02:00:12.495]  I mean, since when does government go to big tech and say stop a person when all they're doing is telling the truth?
[02:00:12.495 --> 02:00:15.278]  I mean, this is a perfect storm of evil, Barnes.
[02:00:15.278 --> 02:00:19.563]  I shudder to think if we don't stop this, and we don't fight back, what they're going to do next.
[02:00:21.015 --> 02:00:21.575]  Yeah, exactly.
[02:00:21.575 --> 02:00:25.057]  That's why Bobby Kennedy's also brought suit in federal court in California.
[02:00:25.057 --> 02:00:33.482]  It's going to go up to the Ninth Circuit because he was one of the first targets by Fauci and Crewe for removal from the Internet, for removal from big tech.
[02:00:33.482 --> 02:00:50.372]  This is a guy who when he simply cited the VAERS data we were talking about earlier, Facebook and Instagram completely banned his account overnight and then libeled him to the world, said he was spreading misinformation when all he was spreading was the government's own information from the government's own database.
[02:00:50.792 --> 02:00:52.895]  That is how insane this environment has got.
[02:00:52.895 --> 02:01:00.883]  When a guy as famous as Bobby Kennedy, a guy on the left, can't even cite a government database without being banned by big tech.
[02:01:00.883 --> 02:01:03.746]  That shows how dangerous and perilous this is.
[02:01:03.746 --> 02:01:04.547]  Let me say this.
[02:01:04.547 --> 02:01:10.534]  I've never been able to get him on the air, but I've had a huge whisper campaigns against him telling me don't interview him, he's bad.
[02:01:10.874 --> 02:01:11.834]  No, he's great.
[02:01:11.834 --> 02:01:12.675]  He's done great work.
[02:01:12.675 --> 02:01:13.715]  He's a great person.
[02:01:13.715 --> 02:01:15.556]  His father died for freedom.
[02:01:15.556 --> 02:01:17.017]  And I support Robert Kennedy Jr.
[02:01:17.017 --> 02:01:18.377]  I think he's doing amazing work.
[02:01:18.377 --> 02:01:23.860]  But there is major whisper campaigns against him because he's the real deal and he's a hero.
[02:01:23.860 --> 02:01:26.661]  Robert Barnes, thank you so much for the time.
[02:01:26.661 --> 02:01:27.881]  Incredible interview.
[02:01:27.881 --> 02:01:33.424]  I'm going to air a clip of him talking about Gates and Fauci and their financial corruption when we come back.
[02:01:33.424 --> 02:01:36.105]  But real quick again, I love coming on your big show.
[02:01:36.625 --> 02:01:47.538]  But that great French lawyer, our Canadian lawyer, tell us about that real briefly, how people find you and the great show you're doing with other folks.
[02:01:47.538 --> 02:01:53.705]  VivaBarnesLaw.Locals.com VivaBarnesLaw.Locals.com Beautiful.
[02:01:58.015 --> 02:01:59.257]  Jacob in Ohio.
[02:01:59.257 --> 02:01:59.657]  Welcome.
[02:01:59.657 --> 02:02:00.098]  Go ahead.
[02:02:00.098 --> 02:02:01.400]  Hey, how's it going, Alex?
[02:02:01.400 --> 02:02:01.961]  Good, brother.
[02:02:01.961 --> 02:02:03.062]  Great last caller.
[02:02:03.062 --> 02:02:06.126]  I just wanted to start with plugging your sleep supplement.
[02:02:06.126 --> 02:02:11.834]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[02:02:11.834 --> 02:02:13.597]  It's like we're living out of Twilight Zone, man.
[02:02:13.917 --> 02:02:15.598]  All right, Eric in New Hampshire.
[02:02:15.598 --> 02:02:16.538]  Eric, thanks for calling.
[02:02:16.538 --> 02:02:16.918]  Go ahead.
[02:02:16.918 --> 02:02:17.338]  Hey, Alex.
[02:02:17.338 --> 02:02:18.458]  Thanks for taking my call.
[02:02:18.458 --> 02:02:21.479]  If I could, I just want to throw a quick plug out for one of the products.
[02:02:21.479 --> 02:02:23.160]  The X2 does wonders.
[02:02:23.160 --> 02:02:24.360]  I recommend it to everybody.
[02:02:24.360 --> 02:02:25.481]  You're on the fence about it.
[02:02:25.481 --> 02:02:26.261]  Get off the fence.
[02:02:26.261 --> 02:02:26.981]  Get the product.
[02:02:26.981 --> 02:02:28.341]  Support the InfoWars.
[02:02:28.341 --> 02:02:29.642]  Tyler in Maine.
[02:02:29.642 --> 02:02:30.302]  You're on the air.
[02:02:30.302 --> 02:02:30.862]  Thanks for holding.
[02:02:30.862 --> 02:02:31.222]  Go ahead.
[02:02:31.222 --> 02:02:31.862]  Hey, Alex.
[02:02:31.862 --> 02:02:33.003]  It's great to be on with you.
[02:02:33.003 --> 02:02:33.503]  It's an honor.
[02:02:33.683 --> 02:02:34.603]  Honored to talk to you.
[02:02:34.603 --> 02:02:35.643]  Awesome.
[02:02:35.643 --> 02:02:41.064]  So, first thing I wanted to do is to say I love the product, Alpha Power, even at 29.
[02:02:41.064 --> 02:02:45.165]  If you ask my better half, she loves it, and it helps in the bedroom.
[02:02:45.165 --> 02:02:46.746]  So, just number one for a few reasons.
[02:02:46.746 --> 02:02:47.826]  Well, it definitely works.
[02:02:47.826 --> 02:02:49.446]  It's not a joke.
[02:02:49.446 --> 02:02:59.368]  Absolutely.
[02:02:59.368 --> 02:03:03.309]  You are listening to an InfoWars.com Frontline Report.
[02:03:05.939 --> 02:03:17.471]  If you are receiving this transmission, you are the resistance.
[02:03:17.471 --> 02:03:26.120]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[02:03:27.111 --> 02:03:29.352]  Well, evil is flexing its muscles.
[02:03:29.352 --> 02:03:32.633]  It's making its big run against humanity.
[02:03:32.633 --> 02:03:36.914]  It's taking over every major institution we've learned to trust and love.
[02:03:36.914 --> 02:03:38.655]  The Antichrist is amongst us.
[02:03:38.655 --> 02:03:46.217]  Leo Zegami will join us, Vatican expert, to talk about the war on conservative true Catholics in a moment.
[02:03:46.217 --> 02:03:46.657]  But first,
[02:03:48.493 --> 02:03:51.296]  We have a very important clip of Robert Kennedy Jr.
[02:03:51.296 --> 02:03:52.737]  with Naomi Wolf.
[02:03:52.737 --> 02:03:54.038]  He's laying out total truth here.
[02:03:54.038 --> 02:03:57.842]  I've researched it all, but he's saying it's true about Fauci and Gates.
[02:03:57.842 --> 02:03:58.283]  Here it is.
[02:03:58.945 --> 02:04:02.746]  I mean, that's what we've been talking about from the beginning.
[02:04:02.746 --> 02:04:16.291]  Gates has these incestuous relationships with Anthony Fauci that go back 20 years where he's paying Fauci and they have all kinds of really corrupt financial entanglements with each other.
[02:04:16.291 --> 02:04:20.853]  He brought Fauci to his house in 2000 and his $189 million house in Seattle brought him into the den.
[02:04:27.259 --> 02:04:30.462]  Sat him down and said, I want to have a partnership with you.
[02:04:30.462 --> 02:04:47.756]  The way that Fauci explains it is that Fauci would develop the drugs and then pass them on to the drug companies, to Merck, Sanofi, Gilead, Johnson & Johnson.
[02:04:47.756 --> 02:04:53.301]  Gates would then guarantee markets in Africa through his control of WHO.
[02:04:53.301 --> 02:04:53.842]  Wow!
[02:04:56.233 --> 02:05:00.697]  And those companies don't want to give vaccines after because it's very uncertain.
[02:05:00.697 --> 02:05:04.920]  You know, Botswana has a government this year that says, yeah, we want them and not next year.
[02:05:04.920 --> 02:05:20.811]  And Gates, because he controls WHO, he controls those companies, those countries, because WHO pays for their health ministries and supplies all their HIV medications.
[02:05:20.811 --> 02:05:23.693]  And they have to do what WHO tells them to do.
[02:05:25.396 --> 02:05:36.102]  He can require those companies, those countries, to buy the vaccines from these companies and he then is invested in the companies, in Merck.
[02:05:36.102 --> 02:05:45.087]  He owns, you know, and by the way, Gates has no pretension that he gives a crap about public health.
[02:05:45.087 --> 02:05:52.571]  His other investments are in tobacco companies, in processed foods, in Coca-Cola, in Cargill, in Monsanto.
[02:05:53.720 --> 02:05:54.901]  Leo Zegami.
[02:06:21.004 --> 02:06:21.624]  He joins us.
[02:06:21.624 --> 02:06:23.505]  I went to Rome five years ago.
[02:06:23.505 --> 02:06:25.145]  I've been interviewing Zagami for years.
[02:06:25.145 --> 02:06:26.946]  I've read several of his books.
[02:06:26.946 --> 02:06:34.868]  He said that Pope Jorge Francis would be the pope.
[02:06:34.868 --> 02:06:36.489]  He said he'll have a Jesuit pope.
[02:06:36.489 --> 02:06:37.629]  Then they'll have the other pope step down.
[02:06:37.629 --> 02:06:39.830]  They'll have two popes at once.
[02:06:39.830 --> 02:06:42.311]  And he said then they'll start having rotating popes.
[02:06:42.311 --> 02:06:44.251]  And I thought, well, this guy's smart.
[02:06:44.251 --> 02:06:45.292]  I don't think he's lying.
[02:06:45.292 --> 02:06:46.352]  But then it all came true.
[02:06:46.352 --> 02:06:48.413]  Never happened before in 2,000 years of popes.
[02:06:50.984 --> 02:06:51.965]  So he knows what he's talking about.
[02:06:51.965 --> 02:06:53.726]  Let me just put that out front for you.
[02:06:53.726 --> 02:07:02.774]  And there I was at the Vatican with him at night as thunderstorms were lightning striking the main dome.
[02:07:02.774 --> 02:07:03.715]  It was twilight zone.
[02:07:04.605 --> 02:07:07.227]  And they had armored vehicles drive by and point machine guns at us.
[02:07:07.227 --> 02:07:09.329]  We have footage of this.
[02:07:09.329 --> 02:07:10.550]  You cannot make this up.
[02:07:10.550 --> 02:07:15.874]  So Leo Zagami, best-selling author, researcher, and also he's an aristocrat.
[02:07:15.874 --> 02:07:21.839]  He's all part of the inside groups in Italy, but he was arrested and ran out of the country for exposing this.
[02:07:21.839 --> 02:07:29.785]  And he joins us now from the United States, where he is in exile, to talk about
[02:07:31.069 --> 02:07:41.838]  This big stack of news I have here outlawing, which you said they would do years ago, the Latin Mass and getting rid of any of the Christian tenants in the Catholic Church.
[02:07:41.838 --> 02:07:53.669]  So, to talk about where the world is today, what's happening, the Vatican basically declaring war on Christianity, the schism that's happening, and what this tells us about where we are in end times.
[02:07:53.669 --> 02:07:54.970]  Leo Zagami, thank you so much.
[02:07:56.087 --> 02:07:58.849]  Hello Alex and hello everybody at InfoWars.
[02:07:58.849 --> 02:08:17.765]  Well, first of all, we had also a press conference at the Vatican earlier in July with an important statement of the International Academy of the Vatican, which was addressed to all the scientists and the medical associations regarding the vaccine hesitancy.
[02:08:17.765 --> 02:08:22.049]  So they are actually directly involved in what you've been speaking up until now.
[02:08:22.049 --> 02:08:24.171]  Regarding instead the topic of the day, of course,
[02:08:24.691 --> 02:08:45.999]  The war has been on the traditional mass, the traditional mass which has been put into question since the middle of the 60s, after the end of the Second Vatican Council, which ended up in December 1965, in time for year zero of satanism, of modern satanism, 1966.
[02:08:47.660 --> 02:09:02.652]  From that moment onwards, they started to abolish gradually the practice of Latin in masses, the classic Tridentine Mass, which was basically in place for hundreds of years.
[02:09:03.292 --> 02:09:14.519]  And this has been, obviously, then presented by the Pope back then, who was a Freemason, Paul VI, his own version of the Mass.
[02:09:14.519 --> 02:09:27.206]  I have an image here of Papa Montini, which I included in one of my books, because it actually, this image proves, with his own signing, that he was a Freemason.
[02:09:27.206 --> 02:09:28.727]  He actually dedicated this
[02:09:29.207 --> 02:09:29.887]  We're good to go.
[02:09:48.212 --> 02:09:58.199]  From 1970 we have the presentation of the Mass that is practiced these days in most churches, the Mass in your ordinary language.
[02:09:58.199 --> 02:10:06.344]  But there was still a number of priests that were, of course, still practicing the old school Mass in Latin.
[02:10:06.904 --> 02:10:26.284]  And in 2007, Pope Ratzinger actually supported the idea that these communities could still practice the Mass in Latin, the traditional Mass, because, of course, the new Mass is called Novo Ordo Mise, which goes in line with Novo Ordo Secularum.
[02:10:26.864 --> 02:10:27.225]  I think?
[02:10:43.862 --> 02:10:50.986]  So what does it signify?
[02:10:50.986 --> 02:10:59.992]  It's got a lot of conservative Catholics angry.
[02:10:59.992 --> 02:11:01.973]  What does it signify?
[02:11:01.973 --> 02:11:05.075]  I'm embarrassed about Europe's Christian past two years ago.
[02:11:05.075 --> 02:11:07.476]  He said all these abominations, obviously.
[02:11:07.476 --> 02:11:09.037]  I mean, what does it mean now?
[02:11:09.037 --> 02:11:10.778]  Ban the original Latin Mass?
[02:11:11.568 --> 02:11:14.969]  Okay, it means a lot for non-Catholics.
[02:11:14.969 --> 02:11:19.751]  The practice of Latin is essential also for the exorcism.
[02:11:19.751 --> 02:11:23.292]  A Mass is in itself a form of exorcism.
[02:11:23.292 --> 02:11:32.995]  The fact that Pope Francis has prohibited the use of the traditional Latin Mass inside the house... That sounds like a demon!
[02:11:32.995 --> 02:11:34.115]  A demon wouldn't want to hear that!
[02:11:35.160 --> 02:11:35.600]  Yes.
[02:11:35.600 --> 02:11:44.485]  In fact, the first thing he did a few months ago was to prohibit such mass within the Vatican walls, and now he's going after all those who practice it.
[02:11:44.485 --> 02:11:54.489]  And like I've been saying also in this book, Volume 6.66, I underline the importance of the Latin language.
[02:11:54.489 --> 02:11:59.592]  By the way, you predicted on my show like six years ago, you said they'd ban the Latin mass.
[02:11:59.592 --> 02:12:00.152]  That's happening.
[02:12:00.152 --> 02:12:01.032]  That happened.
[02:12:01.032 --> 02:12:01.753]  That's why you're here.
[02:12:02.572 --> 02:12:03.192]  Absolutely!
[02:12:03.192 --> 02:12:09.755]  They are actually going after those people and those priests who still support this form of mass.
[02:12:09.755 --> 02:12:31.284]  They say that, basically, the document that Pope Francis has issued says that Pope Ratzinger in 2007 wanted to reopen the possibility for the celebration of the Latin Mass only because of the Lefebvrians, of the schismatic groups that wanted more tradition after the Second Vatican Council.
[02:12:31.624 --> 02:12:40.148]  Alright, so let's talk about what this means and who this current Pope is and where you see this going because obviously big changes are happening right now.
[02:12:40.148 --> 02:12:44.150]  Leo Zegami is our guest expert on the Vatican, big insider.
[02:12:44.150 --> 02:12:46.191]  He went public about it all.
[02:12:46.191 --> 02:12:47.392]  He was a big Mason.
[02:12:47.392 --> 02:12:50.673]  He's a member of the Illuminati, like the original Illuminati.
[02:12:50.673 --> 02:12:51.994]  He'll tell us about that when he comes back.
[02:12:51.994 --> 02:12:52.394]  Stay with us.
[02:12:54.926 --> 02:13:01.690]  There's one central fact of criminal psychology that criminologists all agree on.
[02:13:01.690 --> 02:13:05.272]  And that is criminals are extremely pathological.
[02:13:05.272 --> 02:13:08.774]  Even more than the general public, they do the same things over and over again.
[02:13:08.774 --> 02:13:14.377]  And criminals like to commit the same types of crimes over and over again.
[02:13:14.377 --> 02:13:15.237]  Well, guess what?
[02:13:15.237 --> 02:13:19.039]  It was Anthony Fauci and Eugenicist Globalist that
[02:13:20.379 --> 02:13:35.211]  Ran the rollout of HIV and the mistreatment of it with ACT and other chemicals that actually killed more people than HIV and they were the ones involved in viral research of viruses that would actually go attack the T lymphocytes in the body and create autoimmune disorders.
[02:13:35.911 --> 02:13:42.277]  The problem for them was, the viruses would then break down and would be non-lethal down the road.
[02:13:42.277 --> 02:13:51.586]  That's why they need to roll out the COVID-19 and the vaccine, because now they admit the COVID-19 vaccine destroys your immune system, basically giving you the equivalent of HIV.
[02:13:51.586 --> 02:13:52.647]  That's right, ladies and gentlemen.
[02:13:53.968 --> 02:13:57.650]  As we predicted, the globalists are now launching a new lockdown.
[02:13:57.650 --> 02:14:07.157]  The first one has already destroyed the third world, already caused over 20 million extra people to starve to death, and it's caused massive supply chain problems across the Western world.
[02:14:07.157 --> 02:14:13.821]  Ladies and gentlemen, now is the time for you to get high-quality, storable food that's ready to ship while you still can at 20-20 prices.
[02:14:13.821 --> 02:14:17.363]  We have the biggest, best company in the United States as our supplier.
[02:14:17.363 --> 02:14:19.785]  Their entire catalog is at InfoWareStore.com.
[02:14:19.785 --> 02:14:22.707]  You get an additional 10% off at InfoWareStore.com.
[02:14:23.007 --> 02:14:25.089]  But only for one more week.
[02:14:25.089 --> 02:14:28.571]  They've told us you can extend it one more week, Alex, but that's it.
[02:14:28.571 --> 02:14:33.194]  They won't do this sale again until November, and then the food prices go up in 2022.
[02:14:33.194 --> 02:14:35.176]  This is insurance you can eat.
[02:14:35.176 --> 02:14:45.763]  It's the highest quality, hundreds of high quality foods, three month, six month, your supplies, all ready for you at InfoWarsTore.com or call toll free, 888-253-3139.
[02:14:45.763 --> 02:14:49.906]  Again, InfoWarsTore.com, 10% off on high quality, storable food, ready to ship.
[02:14:50.186 --> 02:14:56.561]  But it ends in just one week, so take action now while you still can.
[02:14:56.561 --> 02:14:59.167]  You're listening to the Alex Jones Show.
[02:15:08.834 --> 02:15:10.355]  Welcome back to the Alex Jones Show.
[02:15:10.355 --> 02:15:11.396]  I'm Alex Jones, your host.
[02:15:11.396 --> 02:15:13.438]  Leo Zegami is our guest.
[02:15:13.438 --> 02:15:16.421]  Best-selling author, researcher, Vatican insider.
[02:15:16.421 --> 02:15:17.582]  Big top Freemason.
[02:15:17.582 --> 02:15:18.423]  Got recruited to it.
[02:15:18.423 --> 02:15:20.025]  Became even more Christian.
[02:15:20.025 --> 02:15:21.146]  Broke away from it.
[02:15:21.146 --> 02:15:22.968]  You know, you'll do to flee.
