[00:00.000 --> 00:14.000]  Waging War on Corruption, it's Alex Jones
[1:02:53.300 --> 1:02:55.780]  The Democrats are trying to block it, but it's gotten so good though
[1:02:55.780 --> 1:03:00.980]  Even Governor Cuomo is trying to ask him for help now in New York with some deals because I mean Trump's getting investment in
[1:03:00.980 --> 1:03:05.060]  Look at the Secretary of State and look at the
[1:03:08.660 --> 1:03:12.740]  We'll look at Wilbur Ross and look at all these people dancing with the swords
[1:03:12.740 --> 1:03:16.620]  I mean when you know when you're in Rome do as the Romans do you wouldn't be seeing
[1:03:18.620 --> 1:03:20.620]  You wouldn't be seeing Obama going that far
[1:03:22.620 --> 1:03:26.780]  So it's one thing it is is entertaining so here's the toll-free number
[1:03:26.780 --> 1:03:32.380]  You think you sold us out? You think it's a stroke of genius too early to tell? What do you think of the so-called peace still?
[1:03:32.380 --> 1:03:36.860]  He's pushing what do you think of the FBI? We're on topic today folks a couple different big topics
[1:03:36.860 --> 1:03:38.860]  We're thinking the FBI memo
[1:03:39.060 --> 1:03:42.860]  Two months before he gives testimony saying
[1:03:44.180 --> 1:03:49.300]  There was no obstruction of justice nobody tried to get him to stop his investigation from the Trump administration
[1:03:49.700 --> 1:03:53.740]  Isn't that big? We're like four days in info wars breaking this big
[1:03:53.740 --> 1:04:01.500]  And the media is so controlled they're trying to spend it that we're lying. Well, I mean it's like saying no, I mean
[1:04:02.180 --> 1:04:04.180]  then January or
[1:04:04.700 --> 1:04:11.260]  February comes earlier than May because I'm not lying if that's the case and I last time I checked may may comes after
[1:04:11.820 --> 1:04:13.820]  February right
[1:04:14.700 --> 1:04:18.420]  Okay, and then they said that I didn't mention this the Justice Department part
[1:04:19.060 --> 1:04:22.060]  But that I played that clip. That's that's what's in our article. What?
[1:04:22.060 --> 1:04:26.660]  So that they just think you're not paying attention and think you're dumb. I don't think you are
[1:04:27.580 --> 1:04:33.300]  The toll-free number is 877-789-2539. I sure hope the public hidden because we're screwed if we're not
[1:04:34.020 --> 1:04:40.580]  877-789-ALEX 877-789-ALEX a different number than the weekdays when we're syndicated through GCN
[1:04:40.580 --> 1:04:45.740]  I have my own number here on Sundays 877-789-ALEX and we will
[1:04:46.540 --> 1:04:49.940]  Take your calls in about 10 seconds. We go to break. We will
[1:04:49.940 --> 1:04:56.820]  Come back on the other side and again take your phone calls on this live global Sunday transmission. Please stay with us
[1:04:58.860 --> 1:05:02.660]  Trump put out a statement saying what you are seeing is
[1:05:03.340 --> 1:05:09.460]  Sabotage the fake news media is working hand-in-hand with Washington's corrupt
[1:05:09.900 --> 1:05:13.460]  bureaucracy to try to slow and block out our
[1:05:13.460 --> 1:05:22.060]  America first agenda with so many forces out to ruin us. We are turning to you and our most trusted supporters at this
[1:05:22.340 --> 1:05:27.580]  Critical moment on Trump's website. He has set up a drain the swamp campaign
[1:05:28.300 --> 1:05:34.940]  Asking for contributions to help in the swamp draining process. He says we have no choice
[1:05:34.940 --> 1:05:39.860]  But to completely drain the swamp. I have already started cleaning house
[1:05:39.860 --> 1:05:44.140]  But every day from here on out will be an uphill battle
[1:05:44.140 --> 1:05:50.140]  And we need to be prepared to go into the trenches to fight back for more reports
[1:05:50.140 --> 1:06:19.380]  Let's go to info wars.com. I'm Millie Weaver reporting. We now take you live to the central Texas
[1:06:19.380 --> 1:06:24.180]  Commence Center in the heart of the resistance. It's Alex Jones
[1:06:24.700 --> 1:06:27.260]  Well, nobody said it would be easy, but it sure been fun
[1:06:27.260 --> 1:06:33.700]  We have built the number one opposition platform to unelected corporate global government on the planet. It's called info wars
[1:06:34.220 --> 1:06:39.620]  And it's under unprecedented incredible attacks and lies from corporate media at the Federal Reserve Board
[1:06:40.180 --> 1:06:46.420]  Foreign governments you name it because we are here speaking out for common sense and an open free market society because we believe
[1:06:46.420 --> 1:06:50.740]  It's better for everybody to live in a free open society. I've given the number out
[1:06:51.740 --> 1:06:55.660]  The phones have loaded the number to say seven seven seven eight nine Alex
[1:06:55.780 --> 1:07:02.260]  Do you think Trump went and bowed to radical Islam to the fount for the birthplace to the spigot of
[1:07:03.380 --> 1:07:06.180]  Where the orthodox slave trading women or slaves
[1:07:07.420 --> 1:07:11.540]  System comes from or did he go there as an ultimatum in their face saying?
[1:07:11.540 --> 1:07:16.260]  Terrorism will be destroyed radicalism will be stopped you better roll over against it
[1:07:16.260 --> 1:07:22.020]  You better stop playing both sides of it during your shooting Sunni Shiite Civil War or
[1:07:22.540 --> 1:07:28.620]  You're not gonna have any future for you and your families. I think it was bold to go say to their face inside the big
[1:07:29.660 --> 1:07:36.340]  Saudi Arab United Nations Muslim United Nations building they've got where everybody from the Muslim nations
[1:07:36.340 --> 1:07:41.420]  Because notice you're either from a Muslim nation or you're not nobody else gets invited and
[1:07:42.260 --> 1:07:45.420]  The women can't drive cars and wear hoods over their heads and millennia
[1:07:45.740 --> 1:07:51.420]  Trump goes to some factory that's got 200 women working at it and she's got there with her sexy dress on saying well
[1:07:51.420 --> 1:07:53.420]  We're hoping for balance and some progress
[1:07:55.220 --> 1:07:58.220]  Well, I mean Trump's got to go you know negotiate
[1:07:58.860 --> 1:08:01.300]  He just better not sell us out the Saudi Arabian
[1:08:01.300 --> 1:08:07.180]  And he's got reported concessions from Israel on some new peace deal with Palestine
[1:08:07.180 --> 1:08:12.300]  So if he can be the big deal maker, this is really about Trump trying to show the world that he can bring peace
[1:08:14.420 --> 1:08:18.140]  Well more power to him if he can get the Saudi Arabians to stop finding funding ISIS
[1:08:18.700 --> 1:08:21.500]  The more power to him as well. I'm gonna your phone calls here in just a few minutes
[1:08:21.500 --> 1:08:25.860]  But here's the end of the speech that I agree with CJ's some of the more powerful parts of it
[1:08:25.860 --> 1:08:28.980]  But the full 34 minute speeches on info wars calm
[1:08:28.980 --> 1:08:30.980]  I mean, let me tell you
[1:08:31.980 --> 1:08:33.980]  it's head-turning
[1:08:34.420 --> 1:08:36.420]  because
[1:08:36.540 --> 1:08:42.100]  You got to come with a stick first to look strong and be strong within your concessions from the Islamists
[1:08:42.100 --> 1:08:47.060]  You don't come acting weak in the concessions. We didn't get that with Obama. We saw the spread of radical Islam everywhere
[1:08:47.140 --> 1:08:51.980]  So overall, I like what Trump's doing. It takes a lot of wavos to go and do what he's doing
[1:08:51.980 --> 1:08:59.500]  But I'm cautiously supportive at this point and maybe when I hear your calls, you'll bring up points that make me think
[1:08:59.500 --> 1:09:03.660]  I'm wrong because we don't censor your calls. Don't worry about disagreeing with me or agreeing
[1:09:03.820 --> 1:09:09.340]  Just call in and then tell what you really think we'll be going to Michael and Chris and Mark and many others
[1:09:09.340 --> 1:09:12.140]  We go to your calls. Don't hang up. We got like 20 phone lines
[1:09:12.140 --> 1:09:16.340]  We got to go through each person one at a time and get your name where you're calling from and we'll go to you
[1:09:16.340 --> 1:09:22.300]  But I know this if I'm a Christian, which I am I can't go to Saudi Arabian preach it
[1:09:22.700 --> 1:09:25.220]  So I shouldn't have to take a bunch of Saudi Arabians here
[1:09:25.900 --> 1:09:28.340]  Because you don't comply with our open society
[1:09:28.340 --> 1:09:33.220]  You can have your country and put women in cages and hoods over their heads. I guess living like live, huh?
[1:09:33.820 --> 1:09:39.020]  That's how your culture is just don't come here with the leftist and then you know try to sue everybody
[1:09:39.140 --> 1:09:45.420]  So we open the borders up and you know have genital mutilation like in my Abedin's mama pushes and you know legalized
[1:09:45.420 --> 1:09:47.420]  pedophilia like they have in Saudi Arabia and
[1:09:47.860 --> 1:09:51.780]  No, oh, by the way, Anthony Weiner just pled guilty and we first broke the
[1:09:52.380 --> 1:09:58.060]  Sexting in the 15 year old girl. That was just the tip of the iceberg. Oh, that was our fake news reported back in early November
[1:09:59.620 --> 1:10:05.100]  So there you go, that's all of course happening as we told you it would but we're gonna go ahead and play a few minutes of Trump
[1:10:05.100 --> 1:10:06.140]  Here it is
[1:10:06.140 --> 1:10:08.140]  The decisions we make
[1:10:08.460 --> 1:10:10.740]  Will affect countless lives
[1:10:10.740 --> 1:10:22.060]  King Solomon I thank you for the creation of this great moment in history and for your massive investments in
[1:10:22.940 --> 1:10:27.100]  America and its industries and its jobs. I
[1:10:28.140 --> 1:10:33.460]  Also, thank you for investing in the future of this part of the world
[1:10:34.460 --> 1:10:37.860]  the fertile region and it is so fertile has
[1:10:38.820 --> 1:10:40.420]  all
[1:10:40.420 --> 1:10:44.180]  the ingredients for extraordinary success a
[1:10:45.300 --> 1:10:47.300]  rich history and culture a
[1:10:47.860 --> 1:10:50.180]  young and vibrant people a
[1:10:51.100 --> 1:10:52.180]  thriving
[1:10:52.180 --> 1:10:59.340]  Spirit of enterprise that's a good point, but you can only unlock this future if the citizens of the Middle East are freed from
[1:10:59.860 --> 1:11:04.940]  Extremism look at that fabulous wealth and violence. How about a meeting room?
[1:11:04.940 --> 1:11:12.340]  Are the leaders of our peoples that are pimps trump. They look to us for answers and for action
[1:11:12.340 --> 1:11:15.020]  And when we look back at their faces
[1:11:15.620 --> 1:11:18.660]  behind every pair of eyes is a soul
[1:11:19.620 --> 1:11:23.220]  That yearns for justice and yearns for peace
[1:11:24.420 --> 1:11:28.140]  Today billions of faces are now looking at us
[1:11:28.980 --> 1:11:33.860]  Waiting for us to act on the great question of our time
[1:11:33.860 --> 1:11:38.380]  Will we be indifferent in the presence of evil?
[1:11:39.460 --> 1:11:44.860]  Will we protect our citizens from its violent ideology?
[1:11:46.260 --> 1:11:53.420]  Think about this. He's in the heart of radical orthodox Islam where they use it to project power outward but are scared of it inward
[1:11:54.460 --> 1:11:59.620]  Actually trying to get them to stop it and saying they'll be big war if you don't there'll be a carpet of
[1:12:00.260 --> 1:12:02.420]  Bombs if you don't or carpet of gold if you do
[1:12:02.420 --> 1:12:07.780]  You look at the king of Saudi Arabia. He's acting actually scared of Trump. I've actually watched the other stuff with Obama
[1:12:08.100 --> 1:12:11.700]  He never addressed the Muslims like this. He never got them together to sign a deal
[1:12:11.700 --> 1:12:17.020]  He never actually tried to go in there and bring them to the table. It was all just pat them on the head and then
[1:12:18.220 --> 1:12:20.740]  Make some deal to turn al-qaeda an ISIS list
[1:12:21.780 --> 1:12:25.140]  and see I wouldn't be trusting Trump here if he hadn't had this the
[1:12:25.940 --> 1:12:29.260]  Vice president come out and say the UN had met double the murder of Christians
[1:12:29.260 --> 1:12:34.060]  We're gonna stand up for Christians. It's wrong for Muslim countries to be killing Christians. Saudi Arabia shouldn't be on the
[1:12:34.580 --> 1:12:37.580]  human rights women's board Saudi Arabia should should
[1:12:38.660 --> 1:12:40.660]  reform itself
[1:12:41.060 --> 1:12:47.500]  So the sticks brought in Trump flies into the middle of it see Obama would kiss butt and then go into the middle of it
[1:12:47.500 --> 1:12:53.140]  Trump comes with a stick beats them over the head with it then flies right in the middle of the hornet's nest to address them
[1:12:53.140 --> 1:12:56.940]  They really respect that he's getting their attention right here. They look completely freaked out
[1:12:56.940 --> 1:13:01.340]  I mean Donald Trump the Muslim hater is now right in the middle of him what she isn't the Muslim hater
[1:13:01.340 --> 1:13:04.980]  He doesn't like the part about you know blowing everything up. Here it is
[1:13:06.340 --> 1:13:09.340]  Will we let its venom spread?
[1:13:10.180 --> 1:13:15.620]  Through our societies back to the snake will we let it destroy the most holy sites?
[1:13:17.140 --> 1:13:18.660]  on earth
[1:13:18.660 --> 1:13:21.380]  If we do not confront this deadly terror
[1:13:21.380 --> 1:13:27.700]  We know what the future will bring more suffering more death and more despair
[1:13:28.700 --> 1:13:30.700]  But if we act
[1:13:31.260 --> 1:13:39.380]  If we leave this magnificent room unified and determined to do what it takes to destroy the terror
[1:13:40.380 --> 1:13:42.380]  That threatens the world
[1:13:42.900 --> 1:13:48.380]  Then there is no limit to the great future our citizens
[1:13:48.380 --> 1:13:50.380]  Will have
[1:13:51.380 --> 1:13:53.380]  The birthplace of civilization
[1:13:54.380 --> 1:13:57.380]  Is waiting to begin a new
[1:13:58.380 --> 1:13:59.380]  Renaissance
[1:14:00.380 --> 1:14:03.380]  Just imagine what tomorrow could bring over that word
[1:14:03.380 --> 1:14:05.380]  glorious wonders of science
[1:14:06.380 --> 1:14:09.380]  Art medicine and commerce to inspire
[1:14:10.380 --> 1:14:12.380]  Mankind
[1:14:12.380 --> 1:14:14.380]  Great cities built on the ruins
[1:14:14.380 --> 1:14:18.380]  Great cities built on the ruins of shattered towns
[1:14:19.380 --> 1:14:26.380]  New jobs and industries that will lift up millions and millions of people and by the way parents who no longer
[1:14:28.380 --> 1:14:30.380]  Oh Trump's full of bull
[1:14:30.380 --> 1:14:34.380]  He said all this about America and then we got three and a half trillion dollars in the stock market and
[1:14:35.380 --> 1:14:39.380]  300 billion of new jobs and over half a million new jobs now. It's a million everybody moving back
[1:14:39.380 --> 1:14:44.380]  Oh, but don't worry. The media is attacked it and now it's starting to fall apart. The confidence is gone
[1:14:44.380 --> 1:14:46.380]  We can do anything now with the technology we have
[1:14:48.380 --> 1:14:52.380]  You look back at a human 2,000 years ago. We're like a god compared to them technologically not culturally
[1:14:54.380 --> 1:14:58.380]  We are only a few steps away from just unlimited potential
[1:14:59.380 --> 1:15:01.380]  And Trump knows this and wants to bring in a new Renaissance
[1:15:02.380 --> 1:15:06.380]  I told you before his inauguration he would talk about Renaissance invoking God
[1:15:06.380 --> 1:15:10.380]  The birthright and secret technologies unlocking the secrets of the universe
[1:15:12.380 --> 1:15:14.380]  See there are some people that actually want to empower you
[1:15:15.380 --> 1:15:17.380]  And is Donald Trump perfect? No
[1:15:18.380 --> 1:15:20.380]  But he does not want to enslave you
[1:15:21.380 --> 1:15:26.380]  He does not feel better when you fall down and you're poor the globalist austerity model wants to make you poor
[1:15:27.380 --> 1:15:31.380]  Just like in Latin America just like in Africa just like in Asia on purpose
[1:15:31.380 --> 1:15:36.380]  You don't think Latin America doesn't have rich culture and money and resources the elites want you poor
[1:15:37.380 --> 1:15:40.380]  They do it on purpose because they're so stingy they can't help it
[1:15:41.380 --> 1:15:44.380]  Trump's trying to shatter that and that's why the elites are panicking
[1:15:44.380 --> 1:15:48.380]  We're gonna come back with your phone calls and a lot more of Trump's speech. I'm Alex Jones
[1:15:48.380 --> 1:15:50.380]  It's a revolutionary act to spread the link
[1:15:51.380 --> 1:15:52.380]  infowars.com
[1:15:52.380 --> 1:15:55.380]  infowars.com forward slash show take action
[1:15:55.380 --> 1:16:02.380]  infowars is partnered with defender body armor to bring you a new state-of-the-art line of advanced highly tested body armor
[1:16:02.380 --> 1:16:03.380]  from infowars.com
[1:16:03.380 --> 1:16:10.380]  Defender body armor to certify to protect against all handgun rounds and even armor piercing FN 5.7 pistol rounds
[1:16:10.380 --> 1:16:12.380]  the secret to defender body armor
[1:16:12.380 --> 1:16:19.380]  It's a proprietary process and technology that disperses more kinetic energy at a rate higher than any other traditional body armor
[1:16:19.380 --> 1:16:26.380]  Using one of the strongest synthetic materials ever created called ultra high molecular weight polyethylene
[1:16:26.380 --> 1:16:29.380]  Defender armor is also super compact and lightweight
[1:16:29.380 --> 1:16:35.380]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor
[1:16:35.380 --> 1:16:36.380]  It works
[1:16:36.380 --> 1:16:44.380]  Defender body armor is made right here in America and has received the highest level ballistic resistance certification from an authorized NIJ ballistic laboratory
[1:16:44.380 --> 1:16:48.380]  Defender body armor is now available through infowars.com
[1:16:48.380 --> 1:16:56.380]  So you can defend yourself your family and finance the info war against the globalist all at the same time a total 360 win
[1:16:56.380 --> 1:17:00.380]  Alex Jones here to tell you about how you can help spread liberty worldwide
[1:17:00.380 --> 1:17:07.380]  I'm also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade
[1:17:07.380 --> 1:17:13.380]  My favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade grown
[1:17:13.380 --> 1:17:19.380]  Arabica beans we have now managed to secure the sought after beans in a highly customized blend
[1:17:19.380 --> 1:17:26.380]  Discover and try a bag of the patriot blend 100% organic coffee at infowarslife.com
[1:17:26.380 --> 1:17:33.380]  This coffee gives you a long smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally
[1:17:33.380 --> 1:17:40.380]  Hands down this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers
[1:17:40.380 --> 1:17:44.380]  Drop by the site today order a bag or two and I don't think you're going to be disappointed
[1:17:44.380 --> 1:17:48.380]  Available in original or with our immune support infusion blend
[1:17:48.380 --> 1:17:54.380]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee
[1:17:54.380 --> 1:18:20.380]  Available at infowarslife.com
[1:18:20.380 --> 1:18:26.380]  In the history of infowars life we brought out a lot of amazing products like survival shield x2
[1:18:26.380 --> 1:18:34.380]  Super male vitality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects
[1:18:34.380 --> 1:18:40.380]  This formula is the platinum standard of multivitamin mineral products and this part is most important
[1:18:40.380 --> 1:18:47.380]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard
[1:18:47.380 --> 1:18:52.380]  That means it's clean, that means it's pure and rest secured you're finding the tip of the spear in the info war
[1:18:52.380 --> 1:18:55.380]  That's infowarslife.com and vitamin mineral fusion
[1:18:55.380 --> 1:18:57.380]  Take action now before we sell out
[1:18:57.380 --> 1:19:03.380]  After being sold out for months our best selling super blue fluoride toothpaste is now back in stock at infowarsstore.com
[1:19:03.380 --> 1:19:08.380]  The first shipment of super blue sold out in one week I thought it would be a six month supply for listeners
[1:19:08.380 --> 1:19:13.380]  And since then people are beating down our doors wanting to be able to resupply their super blue
[1:19:13.380 --> 1:19:15.380]  Research across the board is clear
[1:19:15.380 --> 1:19:19.380]  In fact it's certified. When bacteria infect your gums it can enter your bloodstream
[1:19:19.380 --> 1:19:21.380]  And even contribute to blood clots and heart attacks
[1:19:21.380 --> 1:19:28.380]  That's why the last surgeon general's report on oral health warns that your oral health can have a serious impact on your entire body
[1:19:28.380 --> 1:19:31.380]  Super blue fluoride free toothpaste is a groundbreaking new formula
[1:19:31.380 --> 1:19:35.380]  It's loaded with good halogen iodine some of the bad halogen fluoride
[1:19:35.380 --> 1:19:42.380]  Super blue contains natural oils and ingredients used its biblical times to help wipe out bad bacteria and eliminate bad breath
[1:19:42.380 --> 1:19:49.380]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more
[1:19:49.380 --> 1:19:54.380]  Learn more about infowarslife super blue toothpaste at infowarslife.com
[1:19:54.380 --> 1:19:57.380]  And support the info war while you support healthy gums and teeth
[1:19:57.380 --> 1:20:08.380]  You're listening to the Alex Jones show
[1:20:28.380 --> 1:20:32.380]  We play the songs that sound more like everyone else than anyone else
[1:20:32.380 --> 1:20:35.380]  That's right, but we're breaking into this transmission right now
[1:20:35.380 --> 1:20:40.380]  Hitler took the guns, Stalin took the guns, Mal took the guns, but El Castro took the guns
[1:20:40.380 --> 1:20:41.380]  Dominique
[1:20:41.380 --> 1:20:42.380]  You though Chavez took the guns
[1:20:44.380 --> 1:20:48.380]  1776 will commence again if you try to take our firearms
[1:20:48.380 --> 1:20:55.380]  The Republic will rise again when you attempt to take our guns
[1:21:07.380 --> 1:21:12.380]  The answer to 1984 is 1776
[1:21:12.380 --> 1:21:17.380]  You're listening to the Alex Jones show
[1:21:17.380 --> 1:21:21.380]  All right, I've tried to put a good face on this whole Trump thing, because I hope that's the case
[1:21:21.380 --> 1:21:24.380]  But I don't like seeing him curtsy when he said Obama bowed
[1:21:24.380 --> 1:21:27.380]  Obama did bow from the stomach, but we can show that again for TV viewers
[1:21:27.380 --> 1:21:30.380]  A lot of folks are watching us at infowars.com for our show
[1:21:30.380 --> 1:21:33.380]  And some cable and TV systems across the United States
[1:21:33.380 --> 1:21:35.380]  I want to thank all those great folks that are tuning in right now
[1:21:35.380 --> 1:21:42.380]  But I also don't like seeing stories about oh Melania Trump and Ivanka or all the rage and the Saudi press
[1:21:42.380 --> 1:21:48.380]  Women love watching him because women can't go outside without their husband and wear hoods over their heads
[1:21:50.380 --> 1:21:52.380]  But I got to give it to him bringing his wives there
[1:21:52.380 --> 1:21:57.380]  You know Bush didn't used to do that and having her call for reform before she left
[1:21:57.380 --> 1:21:58.380]  It's still crazy
[1:21:58.380 --> 1:22:00.380]  Your soul will be fully condemned
[1:22:00.380 --> 1:22:07.380]  Trump's Saudi Arabian speech warns terrorists their days are numbered as he implores Arab leaders to stamp out Islamic terror groups
[1:22:07.380 --> 1:22:09.380]  And drive them out of your places of worship
[1:22:09.380 --> 1:22:13.380]  Next stop for Trump is Israel in pursuit of ultimate deal
[1:22:13.380 --> 1:22:15.380]  Let's see presidents always go to Israel first
[1:22:15.380 --> 1:22:19.380]  He did this as a respect thing to the Muslims to try to get a deal with them
[1:22:19.380 --> 1:22:20.380]  We'll see what happens
[1:22:20.380 --> 1:22:23.380]  The latest Israel makes concessions ahead of Trump visit
[1:22:23.380 --> 1:22:27.380]  Saudi King slams Iran as spearhead of global terrorism
[1:22:27.380 --> 1:22:31.380]  Look, I'm not a fan of Iran and the Mullahs, neither are the Iranian people, they want them out
[1:22:31.380 --> 1:22:36.380]  But they're not the 80% of Islam Sunniism that you guys are running and taking over
[1:22:36.380 --> 1:22:40.380]  I mean Al Qaeda and ISIS are Sunnis, they're not Shiite, bro
[1:22:40.380 --> 1:22:44.380]  And women have a lot more rights in Shiite areas than they do
[1:22:44.380 --> 1:22:47.380]  I don't want to get the middle of the Muslims killing each other
[1:22:47.380 --> 1:22:50.380]  I don't hate you, just please stop trying to make me live like you
[1:22:50.380 --> 1:22:56.380]  And then having weird liberals run around behind you worshipping you and wearing hijabs and wanting to chop their daughters genitals off
[1:22:56.380 --> 1:22:59.380]  So that's just some of the news right there
[1:22:59.380 --> 1:23:00.380]  Let's go to your phone calls
[1:23:00.380 --> 1:23:03.380]  You know, I've always said if you disagree, I'll go to you first
[1:23:03.380 --> 1:23:06.380]  You don't need to preface it, just go right into it
[1:23:06.380 --> 1:23:10.380]  Michael in Florida says he disagrees with me strongly
[1:23:10.380 --> 1:23:13.380]  Maybe he thinks I'm being pro Saudi Arabia or pro what Trump's doing
[1:23:13.380 --> 1:23:15.380]  I hope this turns out good
[1:23:15.380 --> 1:23:18.380]  I don't know, I don't like a lot of what I'm seeing
[1:23:18.380 --> 1:23:21.380]  So let me be clear, I'm not endorsing what Saudi Arabia does
[1:23:21.380 --> 1:23:24.380]  But the more weapons we sell, it doesn't even cause new wars
[1:23:24.380 --> 1:23:28.380]  In the case of Saudi Arabia, they're fighting a war with Shiites that was already going on
[1:23:28.380 --> 1:23:33.380]  So selling them $350 billion, that's a tongue twister
[1:23:33.380 --> 1:23:35.380]  I mean, what are we supposed to do? That's our main export
[1:23:35.380 --> 1:23:39.380]  Trump is delivering on bringing jobs back to the US, go ahead
[1:23:39.380 --> 1:23:42.380]  Well, it was the best positive news we heard all day yesterday
[1:23:42.380 --> 1:23:44.380]  What are you talking about?
[1:23:44.380 --> 1:23:47.380]  Getting together with Saudi Arabia is absolutely fantastic
[1:23:47.380 --> 1:23:50.380]  Michael, I thought you disagreed with me massively
[1:23:50.380 --> 1:23:52.380]  No, no, no, not at all
[1:23:52.380 --> 1:23:57.380]  I've disagreed with you the way you responded yesterday to the gentleman that's been making fun of you
[1:23:57.380 --> 1:24:00.380]  I think that you're going at this totally the wrong way
[1:24:00.380 --> 1:24:03.380]  You need to change the way you look at things and the things you look at change
[1:24:03.380 --> 1:24:05.380]  You've got to act as if nothing happened
[1:24:05.380 --> 1:24:08.380]  You've got to find your happy place like Adam Sandler
[1:24:08.380 --> 1:24:10.380]  You know, remember the movie Happy Gilmore?
[1:24:10.380 --> 1:24:14.380]  And you've got to get together with Steven Crowder and do skits against these guys
[1:24:14.380 --> 1:24:16.380]  And make fun of them
[1:24:16.380 --> 1:24:20.380]  But stop getting angry and screaming and yelling and hurting yourself
[1:24:20.380 --> 1:24:24.380]  You're making yourself sick and we don't want to see you have a heart attack or a stroke
[1:24:24.380 --> 1:24:28.380]  No, I hear you, but I mean, look, they say that I put out a fake Comey clip
[1:24:28.380 --> 1:24:30.380]  I didn't put out a fake Comey clip
[1:24:30.380 --> 1:24:32.380]  No, you didn't and you're absolutely correct
[1:24:32.380 --> 1:24:33.380]  You're right on that
[1:24:33.380 --> 1:24:35.380]  You were absolutely right on everything they did
[1:24:35.380 --> 1:24:37.380]  You've got to stop responding to them
[1:24:37.380 --> 1:24:39.380]  They're trying to get you upset
[1:24:39.380 --> 1:24:41.380]  They're trying to make you look silly
[1:24:41.380 --> 1:24:43.380]  You've got to be strong for us
[1:24:43.380 --> 1:24:45.380]  We need you more than ever
[1:24:45.380 --> 1:24:48.380]  You've got to give them a dose of their own medicine
[1:24:48.380 --> 1:24:49.380]  No, I hear you, but I've always been real
[1:24:49.380 --> 1:24:50.380]  So people get to me, I'll show it
[1:24:50.380 --> 1:24:51.380]  I'm just
[1:24:51.380 --> 1:24:52.380]  No, we appreciate that
[1:24:52.380 --> 1:24:54.380]  We really do, man, listen
[1:24:54.380 --> 1:24:56.380]  My dad was just like, he's so passionate
[1:24:56.380 --> 1:24:57.380]  I am
[1:24:57.380 --> 1:24:59.380]  I get so angry and screaming yelling at people
[1:24:59.380 --> 1:25:01.380]  It gets me nowhere, Alex
[1:25:01.380 --> 1:25:05.380]  But when I give them love and I twist it in a sarcastic way to them
[1:25:05.380 --> 1:25:08.380]  And I make them laugh, they change the way they think
[1:25:08.380 --> 1:25:09.380]  Okay, well, I'm listening
[1:25:09.380 --> 1:25:10.380]  You're making good points
[1:25:10.380 --> 1:25:12.380]  So you think it's smart to go to Saudi Arabia
[1:25:12.380 --> 1:25:14.380]  I think it's a total masterstroke
[1:25:14.380 --> 1:25:17.380]  No US presidents ever done that first or even tenth
[1:25:17.380 --> 1:25:19.380]  I think the trip is going to be perfect
[1:25:19.380 --> 1:25:21.380]  I think all the bullshit
[1:25:21.380 --> 1:25:23.380]  I'm sorry, all the bull that's going on
[1:25:23.380 --> 1:25:25.380]  That they're saying over on the news right now
[1:25:25.380 --> 1:25:27.380]  All the crap that they came up with
[1:25:27.380 --> 1:25:29.380]  The moment he took off in his plane
[1:25:29.380 --> 1:25:30.380]  Everybody knows it's bull
[1:25:30.380 --> 1:25:32.380]  Everyone
[1:25:32.380 --> 1:25:35.380]  Even the people on the reverse side
[1:25:35.380 --> 1:25:39.380]  Listen, we got Soros paying for all these people to be in the streets
[1:25:39.380 --> 1:25:42.380]  They're not getting to these places for free
[1:25:42.380 --> 1:25:45.380]  They're going and they're getting money and financing
[1:25:45.380 --> 1:25:48.380]  We need to start our own way to start raising money
[1:25:48.380 --> 1:25:50.380]  For all of us to go out
[1:25:50.380 --> 1:25:51.380]  Well, let me ask you this
[1:25:51.380 --> 1:25:52.380]  I agree with you
[1:25:52.380 --> 1:25:55.380]  Soros doubled the money he's given to these agitator groups
[1:25:55.380 --> 1:25:57.380]  And if you want to finance groups that expose bad police
[1:25:57.380 --> 1:25:58.380]  More power to you
[1:25:58.380 --> 1:26:01.380]  You want to finance groups that go out and kill police randomly
[1:26:01.380 --> 1:26:02.380]  I'm totally against you
[1:26:02.380 --> 1:26:05.380]  Soros doubled the amount of money for this
[1:26:05.380 --> 1:26:06.380]  As soon as Trump won
[1:26:06.380 --> 1:26:10.380]  They're planning they admit to burn down major cities in July
[1:26:10.380 --> 1:26:12.380]  As their new July 4th
[1:26:12.380 --> 1:26:13.380]  Are we going to pull it up with this?
[1:26:13.380 --> 1:26:14.380]  What do we do?
[1:26:14.380 --> 1:26:16.380]  No, we get the new crowdfunding source together
[1:26:16.380 --> 1:26:17.380]  We start raising money
[1:26:17.380 --> 1:26:20.380]  And we get the bikers for Trump to get out there
[1:26:20.380 --> 1:26:21.380]  We get the guys that support it
