[00:00.000 --> 00:15.600]  It's Mother's Day, and here comes the Valkyries.
[59:12.000 --> 59:14.000]  like trans fats, GMOs, or MSG.
[59:14.000 --> 59:16.000]  This food is nutrient dense
[59:16.000 --> 59:18.000]  and tastes great. It's simple to make,
[59:18.000 --> 59:20.000]  portable, and has a shelf life of up to 25 years.
[59:20.000 --> 59:22.000]  Now with e-foods direct,
[59:22.000 --> 59:24.000]  you'll get the most affordable,
[59:24.000 --> 59:26.000]  best tasting food you can buy.
[59:26.000 --> 59:28.000]  And the new products and pricing will blow you away.
[59:28.000 --> 59:30.000]  Compared to other food sources,
[59:30.000 --> 59:32.000]  including home-cooked meals,
[59:32.000 --> 59:34.000]  you can cut your food cost in half.
[59:34.000 --> 59:36.000]  You just can't afford to ignore this.
[59:36.000 --> 59:38.000]  Call 800-409-5633
[59:38.000 --> 59:40.000]  or go to e-foodsdirect.com
[59:40.000 --> 59:42.000]  for specials.
[59:42.000 --> 59:44.000]  Don't let this offer pass you by.
[59:44.000 --> 59:46.000]  Call 800-409-5633
[59:46.000 --> 59:48.000]  or e-foodsdirect.com
[59:48.000 --> 59:50.000]  for specials.
[59:50.000 --> 59:52.000]  Coast to coast,
[59:52.000 --> 59:54.000]  direct from Austin.
[59:54.000 --> 59:56.000]  You're listening to the Alex Jones
[59:56.000 --> 01:00:22.000]  Broadcasting Network.
[01:00:26.000 --> 01:00:28.000]  All I ever wanted
[01:00:28.000 --> 01:00:30.000]  All I ever needed
[01:00:30.000 --> 01:00:32.000]  was to inject you
[01:00:32.000 --> 01:00:34.000]  with cancer viruses
[01:00:34.000 --> 01:00:36.000]  My name is
[01:00:36.000 --> 01:00:38.000]  David Rockefeller
[01:00:40.000 --> 01:00:42.000]  It's eugenics sing along
[01:00:44.000 --> 01:00:46.000]  All I ever needed
[01:00:46.000 --> 01:00:48.000]  Crank it up, I like this part
[01:00:48.000 --> 01:00:50.000]  My world
[01:00:50.000 --> 01:00:52.000]  I know he said my life
[01:00:52.000 --> 01:00:54.000]  but you noticed earlier
[01:00:54.000 --> 01:00:56.000]  crashing into my little world
[01:00:58.000 --> 01:01:00.000]  Words can only do harm
[01:01:00.000 --> 01:01:02.000]  to the
[01:01:02.000 --> 01:01:04.000]  New World Order.
[01:01:04.000 --> 01:01:06.000]  Hey, I like that liner there at the end, that's awesome.
[01:01:06.000 --> 01:01:08.000]  Yeah.
[01:01:08.000 --> 01:01:10.000]  Live from Austin, Texas
[01:01:10.000 --> 01:01:12.000]  Alex Jones
[01:01:12.000 --> 01:01:14.000]  But no, my friends,
[01:01:14.000 --> 01:01:16.000]  we are not live
[01:01:16.000 --> 01:01:18.000]  from Austin, Texas with the Depeche Mode
[01:01:18.000 --> 01:01:20.000]  and the Imperial Battle March.
[01:01:20.000 --> 01:01:22.000]  No, we are taping this
[01:01:22.000 --> 01:01:24.000]  and I want to thank the crew,
[01:01:24.000 --> 01:01:26.000]  Chris and others for doing a fabulous job
[01:01:26.000 --> 01:01:28.000]  on holidays like Mother's Day
[01:01:28.000 --> 01:01:30.000]  when they take some of the
[01:01:30.000 --> 01:01:32.000]  nightly news reports and speeches and things
[01:01:32.000 --> 01:01:34.000]  that haven't yet been on the radio
[01:01:34.000 --> 01:01:36.000]  and bring them to you like we just heard in the last hour
[01:01:36.000 --> 01:01:38.000]  with Rand Paul and Ron Paul
[01:01:38.000 --> 01:01:40.000]  and you cannot doubt that the revolution
[01:01:40.000 --> 01:01:42.000]  is really centered in Texas and many other areas
[01:01:42.000 --> 01:01:44.000]  but Texas should be proud
[01:01:44.000 --> 01:01:46.000]  that so much good is coming out of the state also
[01:01:46.000 --> 01:01:48.000]  so much bad isn't that the way it always is
[01:01:48.000 --> 01:01:50.000]  so much good coming out of America
[01:01:50.000 --> 01:01:52.000]  but also so much bad the globalist
[01:01:52.000 --> 01:01:54.000]  captured our country through fraud
[01:01:54.000 --> 01:01:56.000]  and now we get the blame for their world
[01:01:56.000 --> 01:01:58.000]  government while we finance it and while
[01:01:58.000 --> 01:02:00.000]  they shut down and basically
[01:02:00.000 --> 01:02:02.000]  assanguate our republic.
[01:02:02.000 --> 01:02:04.000]  Coming up
[01:02:04.000 --> 01:02:06.000]  we're going to interview Doug Hagman
[01:02:06.000 --> 01:02:08.000]  who has a lot of really
[01:02:08.000 --> 01:02:10.000]  interesting sources
[01:02:10.000 --> 01:02:12.000]  in the next hour. I've talked to him last
[01:02:12.000 --> 01:02:14.000]  Wednesday and I think this interview needs to be
[01:02:14.000 --> 01:02:16.000]  heard again so here's some of the most
[01:02:16.000 --> 01:02:18.000]  important excerpts
[01:02:18.000 --> 01:02:20.000]  as we come back from break
[01:02:20.000 --> 01:02:22.000]  and I have to also again mention
[01:02:22.000 --> 01:02:24.000]  that in the last week or so
[01:02:24.000 --> 01:02:26.000]  the Army has now admitted
[01:02:26.000 --> 01:02:28.000]  reeducation camp manual not intended
[01:02:28.000 --> 01:02:30.000]  for public
[01:02:30.000 --> 01:02:32.000]  release. Public Affairs Director
[01:02:32.000 --> 01:02:34.000]  falsely claims document does not apply to
[01:02:34.000 --> 01:02:36.000]  US citizens even though it talks about
[01:02:36.000 --> 01:02:38.000]  applying to US citizens and getting social
[01:02:38.000 --> 01:02:40.000]  security numbers and they admit brigade
[01:02:40.000 --> 01:02:42.000]  homeland and checkpoints and TSA
[01:02:42.000 --> 01:02:44.000]  and military drills
[01:02:44.000 --> 01:02:46.000]  and NDAA
[01:02:46.000 --> 01:02:48.000]  the Emergency Centers Establishment
[01:02:48.000 --> 01:02:50.000]  Act and the Model
[01:02:50.000 --> 01:02:52.000]  States Health Emergency Powers Act
[01:02:52.000 --> 01:02:54.000]  were forced inoculations. This is all pretty
[01:02:54.000 --> 01:02:56.000]  much public but it's in this
[01:02:56.000 --> 01:02:58.000]  document that document we're connecting
[01:02:58.000 --> 01:03:00.000]  the dots here and it's a big deal
[01:03:00.000 --> 01:03:02.000]  that the Army admits this is a
[01:03:02.000 --> 01:03:04.000]  document that was not intended
[01:03:04.000 --> 01:03:06.000]  for public release.
[01:03:06.000 --> 01:03:08.000]  That's what the Public Affairs Director
[01:03:08.000 --> 01:03:10.000]  Tiffany Wood said
[01:03:10.000 --> 01:03:12.000]  from Fort Leonard Wood and we've
[01:03:12.000 --> 01:03:14.000]  got her phone number there in the article
[01:03:14.000 --> 01:03:16.000]  by Paul Joseph Watson
[01:03:16.000 --> 01:03:18.000]  Army admits
[01:03:18.000 --> 01:03:20.000]  reeducation camp manual not intended for
[01:03:20.000 --> 01:03:22.000]  public release
[01:03:22.000 --> 01:03:24.000]  just like people said the NDAA
[01:03:24.000 --> 01:03:26.000]  wasn't real for a few weeks
[01:03:26.000 --> 01:03:28.000]  trying to stall the public so we couldn't build
[01:03:28.000 --> 01:03:30.000]  opposition to beat it and then that it was real
[01:03:30.000 --> 01:03:32.000]  but said Obama was going to veto it
[01:03:32.000 --> 01:03:34.000]  so that would kill opposition. I told you
[01:03:34.000 --> 01:03:36.000]  he would sign it and he did
[01:03:36.000 --> 01:03:38.000]  turned out he pressured Congress
[01:03:38.000 --> 01:03:40.000]  to add them to the draconian
[01:03:40.000 --> 01:03:42.000]  provisions. Same thing here
[01:03:42.000 --> 01:03:44.000]  in FOS saying it doesn't affect citizens
[01:03:44.000 --> 01:03:46.000]  even though the 327-page document
[01:03:46.000 --> 01:03:48.000]  is absolutely clear on that
[01:03:48.000 --> 01:03:50.000]  front. They do this over
[01:03:50.000 --> 01:03:52.000]  and over and over
[01:03:52.000 --> 01:03:54.000]  and over again playing psych warfare
[01:03:54.000 --> 01:03:56.000]  games and as long as you're not aware
[01:03:56.000 --> 01:03:58.000]  of these games they're very effective
[01:03:58.000 --> 01:04:00.000]  on you. It's kind of like leading a
[01:04:00.000 --> 01:04:02.000]  blind man off a cliff but once you have
[01:04:02.000 --> 01:04:04.000]  the sight of discernment
[01:04:04.000 --> 01:04:06.000]  and understanding and you just learn more and more
[01:04:06.000 --> 01:04:08.000]  these tricks just become irritants
[01:04:08.000 --> 01:04:10.000]  to spur you to stand
[01:04:10.000 --> 01:04:12.000]  up against the tyranny and crush it
[01:04:12.000 --> 01:04:14.000]  with the weapon that is so effective
[01:04:14.000 --> 01:04:16.000]  truth. So many
[01:04:16.000 --> 01:04:18.000]  people say well what are the solutions
[01:04:18.000 --> 01:04:20.000]  exposing the evil as a big part of it
[01:04:20.000 --> 01:04:22.000]  and then taking action against it
[01:04:22.000 --> 01:04:24.000]  and calling it out and saying
[01:04:24.000 --> 01:04:26.000]  no and running for office and
[01:04:26.000 --> 01:04:28.000]  getting involved and fighting for private
[01:04:28.000 --> 01:04:30.000]  property and realizing what's valuable
[01:04:30.000 --> 01:04:32.000]  family motherhood fatherhood
[01:04:32.000 --> 01:04:34.000]  all of it recognizing
[01:04:34.000 --> 01:04:36.000]  good from evil and standing
[01:04:36.000 --> 01:04:38.000]  for good that is
[01:04:38.000 --> 01:04:40.000]  the solution.
[01:04:40.000 --> 01:04:42.000]  1776 worldwide
[01:04:42.000 --> 01:04:44.000]  is the solution
[01:04:44.000 --> 01:04:46.000]  putting out the alternative of liberty versus
[01:04:46.000 --> 01:04:48.000]  tyranny so people can make a decision
[01:04:48.000 --> 01:04:50.000]  that is the solution
[01:04:50.000 --> 01:04:52.000]  alright we'll be right back
[01:04:52.000 --> 01:04:54.000]  with our next guest stay with us
[01:05:00.000 --> 01:05:02.000]  Sick of the globalist eugenesis
[01:05:02.000 --> 01:05:04.000]  control freaks adding poison to your water
[01:05:04.000 --> 01:05:06.000]  and laughing as you get sick and die
[01:05:06.000 --> 01:05:08.000]  start purifying your water with pro pure
[01:05:08.000 --> 01:05:10.000]  my friends I've done a lot of research
[01:05:10.000 --> 01:05:12.000]  and the best gravity filter
[01:05:12.000 --> 01:05:14.000]  out there bar none is pro pure
[01:05:14.000 --> 01:05:16.000]  and it's available discounted
[01:05:16.000 --> 01:05:18.000]  at info wars dot com
[01:05:18.000 --> 01:05:20.000]  its filters are silver and pregnant
[01:05:20.000 --> 01:05:22.000]  to prevent bacterial growth there's no priming
[01:05:22.000 --> 01:05:24.000]  required it's NSF
[01:05:24.000 --> 01:05:26.000]  42 certified optional fluoride filters
[01:05:26.000 --> 01:05:28.000]  can reduce fluoride up to 95%
[01:05:28.000 --> 01:05:30.000]  easy to set up and use
[01:05:30.000 --> 01:05:32.000]  doesn't require electricity purify
[01:05:32.000 --> 01:05:34.000]  water from lake streams ponds and wells
[01:05:34.000 --> 01:05:36.000]  this filter system leaves
[01:05:36.000 --> 01:05:38.000]  in beneficial minerals which is key
[01:05:38.000 --> 01:05:40.000]  save money by not buying bottled water
[01:05:40.000 --> 01:05:42.000]  and avoid BPA that leaches from the plastic
[01:05:42.000 --> 01:05:44.000]  pro pure is the best gravity fed filter
[01:05:44.000 --> 01:05:46.000]  out there it's what my family uses
[01:05:46.000 --> 01:05:48.000]  info wars dot com already
[01:05:48.000 --> 01:05:50.000]  has the lowest price on pro pure
[01:05:50.000 --> 01:05:52.000]  but if you add the promo code water at checkout
[01:05:52.000 --> 01:05:54.000]  you get an additional 10% off
[01:05:54.000 --> 01:05:56.000]  at info wars dot com
[01:05:56.000 --> 01:06:04.000]  so call to order 888-253-3139
[01:06:04.000 --> 01:06:06.000]  he's the t-rex of political talk
[01:06:06.000 --> 01:06:08.000]  Alex Jones on the GCN radio network
[01:06:08.000 --> 01:06:10.000]  alright
[01:06:10.000 --> 01:06:12.000]  for the rest of this
[01:06:12.000 --> 01:06:14.000]  hour a little bit into the next hour
[01:06:14.000 --> 01:06:16.000]  Doug Hagman
[01:06:16.000 --> 01:06:18.000]  is going to be our guest
[01:06:18.000 --> 01:06:20.000]  he has a long bio but the best thing to do
[01:06:20.000 --> 01:06:22.000]  is to go over to his website
[01:06:22.000 --> 01:06:24.000]  we'll put that up on screen
[01:06:24.000 --> 01:06:26.000]  for the rest of this hour
[01:06:26.000 --> 01:06:28.000]  it's not just radio listeners
[01:06:28.000 --> 01:06:30.000]  Douglas J. Hagman is a
[01:06:30.000 --> 01:06:32.000]  founder and director of the northeast intelligence
[01:06:32.000 --> 01:06:34.000]  network and CEO of a multi-state
[01:06:34.000 --> 01:06:36.000]  licensed private investigative agency
[01:06:36.000 --> 01:06:38.000]  serving more than many fortunate
[01:06:38.000 --> 01:06:40.000]  owner clients
[01:06:40.000 --> 01:06:42.000]  a 27 year veteran of conducting investigations
[01:06:42.000 --> 01:06:44.000]  in the private sector
[01:06:44.000 --> 01:06:46.000]  he has logged over 50,000 hours of covert surveillance
[01:06:46.000 --> 01:06:48.000]  in his career and is the author
[01:06:48.000 --> 01:06:50.000]  of tactical surveillance
[01:06:50.000 --> 01:06:52.000]  he is a member of the international counter
[01:06:52.000 --> 01:06:54.000]  organization and possesses many law enforcement
[01:06:54.000 --> 01:06:56.000]  training certifications
[01:06:56.000 --> 01:06:58.000]  he has been used as an operational asset
[01:06:58.000 --> 01:07:00.000]  by the US Department of Justice
[01:07:00.000 --> 01:07:02.000]  the FBI as well as the Pennsylvania
[01:07:02.000 --> 01:07:04.000]  New York state police agencies
[01:07:04.000 --> 01:07:06.000]  Hagman has performed over 8,000 civil and criminal investigations
[01:07:06.000 --> 01:07:08.000]  throughout the United States
[01:07:08.000 --> 01:07:10.000]  and is also certified in forensic discipline
[01:07:10.000 --> 01:07:12.000]  of bloodstained pattern analysis
[01:07:12.000 --> 01:07:14.000]  during his career Hagman has developed numerous federal
[01:07:14.000 --> 01:07:16.000]  enforcement contacts and
[01:07:16.000 --> 01:07:18.000]  has become aware of irregularities
[01:07:18.000 --> 01:07:20.000]  within the US government
[01:07:20.000 --> 01:07:22.000]  the public of what is taking place inside the government
[01:07:22.000 --> 01:07:24.000]  through his regular appearances
[01:07:24.000 --> 01:07:26.000]  on coast to coast to him and numerous other
[01:07:26.000 --> 01:07:28.000]  radio talk shows across the US
[01:07:28.000 --> 01:07:30.000]  in addition to his website
[01:07:30.000 --> 01:07:32.000]  he is senior contributor to Canada's
[01:07:32.000 --> 01:07:34.000]  free press and he also is routinely
[01:07:34.000 --> 01:07:36.000]  on with Neil Cavito on Fox
[01:07:36.000 --> 01:07:38.000]  and I'll just leave it at that
[01:07:38.000 --> 01:07:40.000]  he's also the co-host of the Hagman and Hagman
[01:07:40.000 --> 01:07:42.000]  report and I saw this article last
[01:07:42.000 --> 01:07:44.000]  week and I keep meaning to get him on
[01:07:44.000 --> 01:07:46.000]  but just years go by like seconds now as everybody
[01:07:46.000 --> 01:07:48.000]  knows
[01:07:48.000 --> 01:07:50.000]  it's been weeks basically to be technical
[01:07:50.000 --> 01:07:52.000]  it's just amazing but I saw this article
[01:07:52.000 --> 01:07:54.000]  we are preparing for mass civil wars as DHS
[01:07:54.000 --> 01:07:56.000]  informant
[01:07:56.000 --> 01:07:58.000]  and I saw that
[01:07:58.000 --> 01:08:00.000]  and then read some
[01:08:00.000 --> 01:08:02.000]  other reports coming out
[01:08:02.000 --> 01:08:04.000]  from Mr. Hagman
[01:08:04.000 --> 01:08:06.000]  I wanted to get him on to break this
[01:08:06.000 --> 01:08:08.000]  down
[01:08:08.000 --> 01:08:10.000]  for us and tell us what his sources
[01:08:10.000 --> 01:08:12.000]  are telling him
[01:08:12.000 --> 01:08:14.000]  I mean we obviously see
[01:08:14.000 --> 01:08:16.000]  450 million 40 cal bullets
[01:08:16.000 --> 01:08:18.000]  bought hundreds of millions of others
[01:08:18.000 --> 01:08:20.000]  agencies that shouldn't even be armed
[01:08:20.000 --> 01:08:22.000]  getting riot shotguns
[01:08:22.000 --> 01:08:24.000]  police stations being hardened in government documents
[01:08:24.000 --> 01:08:26.000]  ahead of civil unrest
[01:08:26.000 --> 01:08:28.000]  the military's training even mechanics
[01:08:28.000 --> 01:08:30.000]  in civil unrest in every branch
[01:08:30.000 --> 01:08:32.000]  military checkpoints TSA checkpoints
[01:08:32.000 --> 01:08:34.000]  admissions for
[01:08:34.000 --> 01:08:36.000]  preparations for civil unrest
[01:08:36.000 --> 01:08:38.000]  massive drills everywhere to acclimate
[01:08:38.000 --> 01:08:40.000]  and then you have the NDAA
[01:08:40.000 --> 01:08:42.000]  signal disappear citizens
[01:08:42.000 --> 01:08:44.000]  we have this new FEMA camp
[01:08:44.000 --> 01:08:46.000]  document that the army now confirms
[01:08:46.000 --> 01:08:48.000]  today is real
[01:08:48.000 --> 01:08:50.000]  folks it's real
[01:08:50.000 --> 01:08:52.000]  and we have army sources that said
[01:08:52.000 --> 01:08:54.000]  it's in there it says it's classified
[01:08:54.000 --> 01:08:56.000]  but then we have people calling them saying
[01:08:56.000 --> 01:08:58.000]  well it's actually posted here
[01:08:58.000 --> 01:09:00.000]  if you had the classification
[01:09:00.000 --> 01:09:02.000]  to log in and get it
[01:09:02.000 --> 01:09:04.000]  so all of that's going on
[01:09:04.000 --> 01:09:06.000]  Doug tell us about your website a little bit
[01:09:06.000 --> 01:09:08.000]  and how folks go to that
[01:09:08.000 --> 01:09:10.000]  and then tell us about yourself and then you're awakening
[01:09:10.000 --> 01:09:12.000]  to the progression of what's happened in this
[01:09:12.000 --> 01:09:14.000]  country and of course the big news
[01:09:14.000 --> 01:09:16.000]  what are they gearing up for
[01:09:16.000 --> 01:09:18.000]  well thanks Alex
[01:09:18.000 --> 01:09:20.000]  thank you very much for that fine introduction
[01:09:20.000 --> 01:09:22.000]  most of all I'm very proud
[01:09:22.000 --> 01:09:24.000]  I guess my proudest accomplishment is to be
[01:09:24.000 --> 01:09:26.000]  an info warrior classified myself
[01:09:26.000 --> 01:09:28.000]  as an info warrior follow your website
[01:09:28.000 --> 01:09:30.000]  follow your information you are 100% right
[01:09:30.000 --> 01:09:32.000]  on all the time my website
[01:09:32.000 --> 01:09:34.000]  is homelandsecurityus.com
[01:09:34.000 --> 01:09:36.000]  not affiliated with any government agency
[01:09:36.000 --> 01:09:38.000]  we are a private independent
[01:09:38.000 --> 01:09:40.000]  investigative agency
[01:09:40.000 --> 01:09:42.000]  that's who we are
[01:09:42.000 --> 01:09:44.000]  we also have a
[01:09:44.000 --> 01:09:46.000]  nightly radio broadcast called The Hagman
[01:09:46.000 --> 01:09:48.000]  and The Hagman Report
[01:09:48.000 --> 01:09:50.000]  to emulate you Alex
[01:09:50.000 --> 01:09:52.000]  in the attempt to spread the information
[01:09:52.000 --> 01:09:54.000]  that we've been finding out lately
[01:09:54.000 --> 01:09:56.000]  about what is going on
[01:09:56.000 --> 01:09:58.000]  what is taking place in our case
[01:09:58.000 --> 01:10:00.000]  behind FEMA Region 3
[01:10:00.000 --> 01:10:02.000]  we'll say deep inside
[01:10:02.000 --> 01:10:04.000]  FEMA Region 3
[01:10:04.000 --> 01:10:06.000]  but educate the population as to what's taking place
[01:10:06.000 --> 01:10:08.000]  with respect to our government
[01:10:08.000 --> 01:10:10.000]  it's just totally gone berserk now
[01:10:10.000 --> 01:10:12.000]  I mean we have
[01:10:12.000 --> 01:10:14.000]  Alex everything that you have said in your programs
[01:10:14.000 --> 01:10:16.000]  over the last several years
[01:10:16.000 --> 01:10:18.000]  since I've started listening has come to pass
[01:10:18.000 --> 01:10:20.000]  when people were calling you
[01:10:20.000 --> 01:10:22.000]  crazy for what you were saying
[01:10:22.000 --> 01:10:24.000]  and people were saying no
[01:10:24.000 --> 01:10:26.000]  it can't be
[01:10:26.000 --> 01:10:28.000]  it's coming to pass right now
[01:10:28.000 --> 01:10:30.000]  we're seeing it, we're verifying it
[01:10:30.000 --> 01:10:32.000]  we've got people talking to us saying hey
[01:10:32.000 --> 01:10:34.000]  listen to Alex, listen to what Alex is saying
[01:10:34.000 --> 01:10:36.000]  and people coming to us saying look
[01:10:36.000 --> 01:10:38.000]  here it is
[01:10:38.000 --> 01:10:40.000]  and here's what's taking place
[01:10:40.000 --> 01:10:42.000]  the United States government
[01:10:42.000 --> 01:10:44.000]  the Department of Homeland Security is turning inward
[01:10:44.000 --> 01:10:46.000]  on the American people
[01:10:46.000 --> 01:10:48.000]  they are declaring war on the American people
[01:10:48.000 --> 01:10:50.000]  and that's what it is
[01:10:50.000 --> 01:10:52.000]  Alex that's exactly what it is
[01:10:52.000 --> 01:10:54.000]  people wonder why
[01:10:54.000 --> 01:10:56.000]  the NDEA was passed
[01:10:56.000 --> 01:10:58.000]  people wonder why
[01:10:58.000 --> 01:11:00.000]  the various executive orders
[01:11:00.000 --> 01:11:02.000]  were passed
[01:11:02.000 --> 01:11:04.000]  people wonder why the ammunition
[01:11:04.000 --> 01:11:06.000]  was purchased
[01:11:06.000 --> 01:11:08.000]  people have a tendency to look at things in vacuums
[01:11:08.000 --> 01:11:10.000]  but when you start connecting the dots
[01:11:10.000 --> 01:11:12.000]  you can see what's taking place
[01:11:12.000 --> 01:11:14.000]  mobile armored pill boxes
[01:11:14.000 --> 01:11:16.000]  yes, yes
[01:11:16.000 --> 01:11:18.000]  and you've pointed this out
[01:11:18.000 --> 01:11:20.000]  and you've been at the tip of the spear
[01:11:20.000 --> 01:11:22.000]  pointing this out
[01:11:22.000 --> 01:11:24.000]  and I gotta tell you frankly
[01:11:24.000 --> 01:11:26.000]  as an investigator for 27 years
[01:11:26.000 --> 01:11:28.000]  I've had a lot of doubts
[01:11:28.000 --> 01:11:30.000]  about the legitimacy of this information
[01:11:30.000 --> 01:11:32.000]  and I fell for that right left paradigm
[01:11:32.000 --> 01:11:34.000]  now I've seen
[01:11:34.000 --> 01:11:36.000]  look
[01:11:36.000 --> 01:11:38.000]  it's all been a farce
[01:11:38.000 --> 01:11:40.000]  first of all TSA is nothing more than
[01:11:40.000 --> 01:11:42.000]  in a security theater
[01:11:42.000 --> 01:11:44.000]  at this point
[01:11:44.000 --> 01:11:46.000]  we are living in an Orwellian dream
[01:11:46.000 --> 01:11:48.000]  at this point
[01:11:48.000 --> 01:11:50.000]  and this has
[01:11:50.000 --> 01:11:52.000]  nothing to do with security
[01:11:52.000 --> 01:11:54.000]  everything to do about control
[01:11:54.000 --> 01:11:56.000]  of the American populace
[01:11:56.000 --> 01:11:58.000]  and conditioning of the American populace
[01:11:58.000 --> 01:12:00.000]  everything you've been talking about in your program
[01:12:00.000 --> 01:12:02.000]  this is coming to pass
[01:12:02.000 --> 01:12:04.000]  thank you for supporting the broadcast
[01:12:04.000 --> 01:12:06.000]  I just ran into the information firsthand
[01:12:06.000 --> 01:12:08.000]  by going to some drills
[01:12:08.000 --> 01:12:10.000]  15, 16 years ago and then discovered all this
[01:12:10.000 --> 01:12:12.000]  but getting into all of your
[01:12:12.000 --> 01:12:14.000]  context because you brought out a lot of amazing information
[01:12:14.000 --> 01:12:16.000]  on a routine basis
[01:12:16.000 --> 01:12:18.000]  what are your contacts telling you now
[01:12:18.000 --> 01:12:20.000]  about the acceleration of all of this
[01:12:20.000 --> 01:12:22.000]  I've got one contact in particular
[01:12:22.000 --> 01:12:24.000]  that I've been in contact with
[01:12:24.000 --> 01:12:26.000]  I've known since 1979
[01:12:26.000 --> 01:12:28.000]  good friend of mine
[01:12:28.000 --> 01:12:30.000]  he works well
[01:12:30.000 --> 01:12:32.000]  he works very close to the
[01:12:32.000 --> 01:12:34.000]  he works within the complex of the DHS
[01:12:34.000 --> 01:12:36.000]  under the umbrella of the DHS
[01:12:36.000 --> 01:12:38.000]  let's put it that way
[01:12:38.000 --> 01:12:40.000]  and he's aware of information that has been developing
[01:12:40.000 --> 01:12:42.000]  over the last
[01:12:42.000 --> 01:12:44.000]  we'll say two years
[01:12:44.000 --> 01:12:46.000]  but has been accelerating over the last several months
[01:12:46.000 --> 01:12:48.000]  to the extent that
[01:12:48.000 --> 01:12:50.000]  what Obama is planning on doing
[01:12:50.000 --> 01:12:52.000]  Obama can see the writing on the wall
[01:12:52.000 --> 01:12:54.000]  there's dissatisfaction, there's unemployment
[01:12:54.000 --> 01:12:56.000]  there's people that are going hungry in this country
[01:12:56.000 --> 01:12:58.000]  there's civil discord
[01:12:58.000 --> 01:13:00.000]  all of this is taking place
[01:13:00.000 --> 01:13:02.000]  you can see the writing on the wall
[01:13:02.000 --> 01:13:04.000]  it doesn't look good for his election
[01:13:04.000 --> 01:13:06.000]  but these people have no plans on leaving
[01:13:06.000 --> 01:13:08.000]  Alex, and I'm telling you right now
[01:13:08.000 --> 01:13:10.000]  the people who ride it in the 1960s
[01:13:10.000 --> 01:13:12.000]  the Bill Ayers
[01:13:12.000 --> 01:13:14.000]  the Bernadine Dorns
[01:13:14.000 --> 01:13:16.000]  who were actually the protesters in the 60s
[01:13:16.000 --> 01:13:18.000]  in the early 70s
[01:13:18.000 --> 01:13:20.000]  the Weather Underground
[01:13:20.000 --> 01:13:22.000]  these are the people who Obama has by his side right now
[01:13:22.000 --> 01:13:24.000]  these are the people who are my sources saying
[01:13:24.000 --> 01:13:26.000]  what these people are doing
[01:13:26.000 --> 01:13:28.000]  for example, Trayvon Martin
[01:13:28.000 --> 01:13:30.000]  they're using this as a catalyst
[01:13:30.000 --> 01:13:32.000]  for racial unrest
[01:13:32.000 --> 01:13:34.000]  NBC edited the tape
[01:13:34.000 --> 01:13:36.000]  to make it sound racist and the Justice Department
[01:13:36.000 --> 01:13:38.000]  got caught with moles
[01:13:38.000 --> 01:13:40.000]  fomenting
[01:13:40.000 --> 01:13:42.000]  the new Black Panthers and people
[01:13:42.000 --> 01:13:44.000]  they really are trying to get a race for
[01:13:44.000 --> 01:13:46.000]  exactly, they are
[01:13:46.000 --> 01:13:48.000]  they're working toward that goal
[01:13:48.000 --> 01:13:50.000]  but they're also looking
[01:13:50.000 --> 01:13:52.000]  toward the economic factors
[01:13:52.000 --> 01:13:54.000]  this is something that's so important
[01:13:54.000 --> 01:13:56.000]  that people really need to understand
[01:13:56.000 --> 01:13:58.000]  what's going on in Europe right now today
[01:13:58.000 --> 01:14:00.000]  is coming to America
[01:14:00.000 --> 01:14:02.000]  we're facing this massive hyper
[01:14:02.000 --> 01:14:04.000]  inflation or this massive economic collapse
[01:14:04.000 --> 01:14:06.000]  in this country
[01:14:06.000 --> 01:14:08.000]  I mean your guest Gerald Salenti
[01:14:08.000 --> 01:14:10.000]  right on the money with his information
[01:14:10.000 --> 01:14:12.000]  this is coming to America
[01:14:12.000 --> 01:14:14.000]  and I'll tell you what
[01:14:14.000 --> 01:14:16.000]  DHS knows that they know that they can't stop this
[01:14:16.000 --> 01:14:18.000]  they know that the dollar is going to collapse
[01:14:18.000 --> 01:14:20.000]  they know that because of this
[01:14:20.000 --> 01:14:22.000]  it's going to be class warfare
[01:14:22.000 --> 01:14:24.000]  and that's the other leg of the table
[01:14:24.000 --> 01:14:26.000]  so when you have the racial component
[01:14:26.000 --> 01:14:28.000]  combined with the economic component
[01:14:28.000 --> 01:14:30.000]  the class warfare
[01:14:30.000 --> 01:14:32.000]  they're expecting riots
[01:14:32.000 --> 01:14:34.000]  they're expecting
[01:14:34.000 --> 01:14:36.000]  not only expecting it
[01:14:36.000 --> 01:14:38.000]  but they're seeding it
[01:14:38.000 --> 01:14:40.000]  they're actually seeding it
[01:14:40.000 --> 01:14:42.000]  for example, my source is telling me
[01:14:42.000 --> 01:14:44.000]  according to the information that he's found
[01:14:44.000 --> 01:14:46.000]  for example, Lewis Farrakhan
[01:14:46.000 --> 01:14:48.000]  and others
[01:14:48.000 --> 01:14:50.000]  but others are on the payroll of the CIA
[01:14:50.000 --> 01:14:52.000]  this is what my source is saying
[01:14:52.000 --> 01:14:54.000]  allegedly Farrakhan
[01:14:54.000 --> 01:14:56.000]  is on the payroll of the CIA
[01:14:56.000 --> 01:14:58.000]  why? for what purpose?
[01:14:58.000 --> 01:15:00.000]  well, to enhance
[01:15:00.000 --> 01:15:02.000]  and to facilitate
[01:15:02.000 --> 01:15:04.000]  the discord
