[00:00:00.209 --> 00:00:03.151]  What I do is I wait and I watch.
[01:37:07.937 --> 01:37:08.557]  I would love that.
[01:37:08.557 --> 01:37:09.158]  Thank you.
[01:37:09.158 --> 01:37:13.202]  Okay, I'll try to wrap this up in two minutes.
[01:37:13.202 --> 01:37:19.368]  The psychic space, the astral realm, the ether, whatever you want to call it, the spirit world,
[01:37:20.220 --> 01:37:25.565]  This is an area that is like a dimension of space and time that is very real and existent.
[01:37:25.565 --> 01:37:35.133]  And things like fluoride in the water, and the pollutants in the ecosystem, the vaccines, the propaganda, it's all designed to shut your third eye.
[01:37:35.133 --> 01:37:38.616]  It's all designed to keep you shut out of these higher level dimensions, okay?
[01:37:39.196 --> 01:37:47.267]  Now, I understand that there's a lot of people within the Christian community that look at all this and they say, oh well that sounds satanic, when no, it's not, okay?
[01:37:47.267 --> 01:37:50.932]  How do you think Jesus was able to know and see these evil spirits?
[01:37:50.932 --> 01:37:57.240]  It's because he had this open pineal gland, he had this open third eye, he was able to literally see into these other dimensions, okay?
[01:37:57.840 --> 01:38:17.935]  That's kind of what shamanism is all about, is learning to see into these other dimensions, learning the role of sound, frequency, vibration, energy, learning about the ecosystem, learning about vortexes, learning about the ley lines, learning about the role of the spirit world and how the physical world and the spirit world are merged and how they are actually one.
[01:38:17.935 --> 01:38:23.639]  And I want you to kind of view all of this knowledge and the ether, astral projection and all that stuff kind of like this.
[01:38:24.546 --> 01:38:26.908]  Look at it like a really high level hill.
[01:38:26.908 --> 01:38:28.589]  Look at it like a high hill.
[01:38:28.589 --> 01:38:31.711]  And you, in battle, you want the high ground, okay?
[01:38:31.711 --> 01:38:46.242]  Well, simply because people are afraid of what they don't know and don't understand and have been told is bad by a Catholic or Christian church that is largely co-opted, by the way, and has Satanists in their ranks, you know, look at the Vatican for God's sake.
[01:38:48.416 --> 01:39:00.610]  Think of it like this, the Satanists have taken that high etheric hill, they have taken the spirit world hill, and they are using that as an opportunity to dominate everybody in the valley.
[01:39:02.874 --> 01:39:08.778]  What you've got to realize is that just because something is unfamiliar or unknown doesn't mean it's wrong or doesn't mean it's evil.
[01:39:08.778 --> 01:39:11.760]  What it means is that you just don't know or understand it.
[01:39:11.760 --> 01:39:12.240]  Okay?
[01:39:12.240 --> 01:39:14.061]  And Christ knew and understood these things.
[01:39:14.061 --> 01:39:16.663]  I would recommend people read The Yoga of Jesus.
[01:39:16.663 --> 01:39:22.507]  I would recommend people read John Allegro's book, The Sacred Mushroom and the Cross.
[01:39:22.507 --> 01:39:26.109]  I would recommend people look into Greg Brayden's work in The Lost Mode of Prayer.
[01:39:26.109 --> 01:39:27.470]  I believe in Jesus.
[01:39:27.470 --> 01:39:29.291]  Jesus is my role model.
[01:39:29.291 --> 01:39:29.611]  Alright?
[01:39:31.881 --> 01:39:36.985]  I'm trying to walk in the footsteps of Christ, and I believe that Christ was the ultimate shaman.
[01:39:36.985 --> 01:39:44.591]  He called out the Pharisees and the Sadducees for practicing all of this evil Babylonian black magic BS, and he did so in public.
[01:39:44.591 --> 01:39:49.635]  He saw what they were doing and he called them out in the temple, dispelling evil spirits from the temple.
[01:39:49.635 --> 01:39:50.596]  Okay?
[01:39:50.596 --> 01:39:55.320]  He overturned the money changers and their tables outside the temple.
[01:39:55.320 --> 01:39:55.600]  Okay?
[01:39:57.373 --> 01:40:10.362]  What we're talking about here is the same nefarious forces, the same dark and evil occultic forces that have been trying to rule and control the planet for thousands of years, now they actually have the technologies and the tools capable of doing so.
[01:40:10.362 --> 01:40:15.666]  And the only thing that's going to stop them is if we awaken spiritually to these other dimensions.
[01:40:15.666 --> 01:40:19.869]  If we awaken spiritually and we take that hill and we take it for God.
[01:40:20.524 --> 01:40:36.484]  Okay, so, and the only way we can do that is through attaining a certain level of inner peace, love, forgiveness, unity, okay, and pray, meditation, and in many ways also, and this is the final point that I'll make,
[01:40:37.788 --> 01:40:41.270]  I advocate every Saturday and I'm about to go do it now.
[01:40:41.270 --> 01:40:50.654]  I go down to the Arizona State Capitol every Saturday at noon because it's built on the ley lines and there are no politicians in the buildings.
[01:40:50.654 --> 01:40:52.695]  So there's nobody controlling the ley lines.
[01:40:53.335 --> 01:40:54.296]  On Saturdays.
[01:40:54.296 --> 01:41:12.667]  So me and some people that are here in Arizona that understand my vision, we go down to the Capitol, we go down to the ley lines, we do a guided meditation where we say a prayer, number one, and number two, we envision the future that we want to create and we plug it into the ley line grid system.
[01:41:12.667 --> 01:41:14.508]  We envision Tesla Tower technology.
[01:41:14.508 --> 01:41:16.129]  So you're literally trying to hack into it.
[01:41:16.129 --> 01:41:19.030]  Well, regardless what people think about this, this is how the globalists operate.
[01:41:19.030 --> 01:41:19.811]  It's what they believe.
[01:41:20.531 --> 01:41:27.219]  And it's a very important cultural experiment to have you here, and you're a very interesting fellow.
[01:41:27.219 --> 01:41:29.141]  We'll talk to you again very soon.
[01:41:29.141 --> 01:41:35.207]  Jake Tansley and your American Shaman on Twitter, ForbiddenTruthAcademy.com.
[01:41:35.207 --> 01:41:36.348]  We'll talk to you very, very soon.
[01:41:36.348 --> 01:41:38.631]  Thank you for joining us.
[01:41:38.631 --> 01:41:39.291]  Thank you for having me.
[01:41:39.291 --> 01:41:39.672]  God bless.
[01:41:40.120 --> 01:41:42.301]  Well, that was very interesting and informative.
[01:41:42.301 --> 01:41:43.981]  We just did an hour and 40 minutes.
[01:41:43.981 --> 01:41:46.142]  Our special guest has been holding for 10 minutes.
[01:41:46.142 --> 01:41:46.782]  I appreciate him.
[01:41:46.782 --> 01:41:47.963]  I'm going to take a break.
[01:41:47.963 --> 01:41:49.243]  I'm going to air a couple of special reports.
[01:41:49.243 --> 01:42:03.568]  We'll come right back to Scott Bennett, former Army officer, psychological warfare expert, special operations officer, psychological warfare analyst, who is one of the smartest people out there about this escalating war, the persecution of Trump, what the deep state's planning.
[01:42:03.568 --> 01:42:05.029]  I cannot wait to pick his brain.
[01:42:05.029 --> 01:42:07.470]  Commercial free for an hour, if he'll do it.
[01:42:07.470 --> 01:42:08.090]  Straight ahead.
[01:42:08.977 --> 01:42:11.959]  He's got an amazing website and outreach that he's doing.
[01:42:11.959 --> 01:42:15.501]  GlobalFreedomTV.com.
[01:42:15.501 --> 01:42:17.642]  GlobalFreedomTV.com.
[01:42:17.642 --> 01:42:18.323]  Bookmark it.
[01:42:18.323 --> 01:42:19.003]  Check it out.
[01:42:19.003 --> 01:42:20.224]  So I appreciate him letting me go.
[01:42:20.224 --> 01:42:20.864]  Tim, it's over.
[01:42:20.864 --> 01:42:22.025]  I got things going late today.
[01:42:22.025 --> 01:42:23.325]  We're very honored to have him.
[01:42:23.325 --> 01:42:24.126]  We're going to take a break.
[01:42:25.203 --> 01:42:29.364]  Air this special report on them setting up foreigners to be our police, part of the U.N.
[01:42:29.364 --> 01:42:30.044]  plan.
[01:42:30.044 --> 01:42:31.424]  State Department memorandum 7277.
[01:42:31.424 --> 01:42:33.985]  Remember, everything I say is not just made-up stuff.
[01:42:33.985 --> 01:42:35.905]  You can write down everything I say and look it up.
[01:42:35.905 --> 01:42:38.625]  When I say memorandum 7277, when I say U.N.
[01:42:38.625 --> 01:42:40.606]  takeover, they're not going to show up in blue helmets.
[01:42:40.606 --> 01:42:44.427]  They're going to do it covertly, defunding the police and putting their own people in.
[01:42:44.427 --> 01:42:52.308]  We're going to talk about all that, but I got to do a short plug or we won't be here because I'm about to re-air this until tomorrow night, and we're going to re-air all this again.
[01:42:53.886 --> 01:42:56.089]  We sell products that will enrich and power your life.
[01:42:56.089 --> 01:43:00.876]  Just like our information is game-changing and scares the hell out of the New World Order, our products do.
[01:43:00.876 --> 01:43:02.478]  Sold out for almost six months.
[01:43:02.478 --> 01:43:06.343]  Vitamin Mineral Fusion, all the vitamins, all the minerals that are essential, means you need them.
[01:43:06.343 --> 01:43:10.329]  You die in four minutes with no oxygen, four or five days without water, a month without food.
[01:43:11.454 --> 01:43:14.675]  People are slowly dying from lack of vitamins, minerals, amino acids.
[01:43:14.675 --> 01:43:16.275]  Everything in one container.
[01:43:16.275 --> 01:43:16.875]  It's amazing.
[01:43:16.875 --> 01:43:19.156]  Back in stock, 30 plus percent off.
[01:43:19.156 --> 01:43:25.598]  Also, the strongest CBD oil out there, made right here outside Austin, Texas.
[01:43:25.598 --> 01:43:26.878]  Doesn't get you high.
[01:43:26.878 --> 01:43:28.438]  Incredible stuff for joint pain.
[01:43:28.438 --> 01:43:31.619]  I got tendinitis in my left shoulder, my knee.
[01:43:31.619 --> 01:43:32.859]  Achilles haven't gotten fixed.
[01:43:32.859 --> 01:43:34.280]  It's 80 percent torn.
[01:43:34.280 --> 01:43:35.860]  Incredible pain relief.
[01:43:35.860 --> 01:43:37.681]  You need this CBD oil, 3,000 milligram.
[01:43:40.349 --> 01:43:42.150]  3,000 milligram under the tongue.
[01:43:42.150 --> 01:43:44.052]  Doesn't make you tired.
[01:43:44.052 --> 01:43:45.553]  It just makes you smooth and clean.
[01:43:45.553 --> 01:43:46.774]  When I forget to take it, I feel it.
[01:43:46.774 --> 01:43:48.015]  I'm on it right now.
[01:43:48.015 --> 01:43:49.957]  This is amazing.
[01:43:49.957 --> 01:43:52.158]  It's 30% off what this top company has.
[01:43:52.158 --> 01:43:53.700]  I've twisted their arm to do it.
[01:43:53.700 --> 01:43:56.102]  Over five months of negotiations.
[01:43:56.102 --> 01:43:58.243]  CBD full spectrum.
[01:43:58.243 --> 01:43:58.904]  3,000 milligram.
[01:43:58.904 --> 01:44:00.185]  We got 1,000 milligram too.
[01:44:00.185 --> 01:44:04.729]  This is the strongest 3,000 there is out there for your neurological systems, for everything.
[01:44:04.729 --> 01:44:06.830]  Look into what CBD oil does.
[01:44:06.830 --> 01:44:08.192]  Infowarrestore.com.
[01:44:08.192 --> 01:44:08.512]  Also,
[01:44:10.086 --> 01:44:12.367]  Again, our private label name is Rebel Zen.
[01:44:12.367 --> 01:44:25.191]  Then we've also got 30 parts per million, top lab of the country, we're a private label, coital silver back in stock, silver bullet, topical or taken out of the tongue, infowarestore.com, and that's how we fund the operation.
[01:44:25.191 --> 01:44:27.512]  Get a book, get a film, get a t-shirt.
[01:44:27.512 --> 01:44:29.132]  That's how we stay on air.
[01:44:29.132 --> 01:44:33.033]  It takes money to fight the globalists, and we are in the black.
[01:44:33.033 --> 01:44:34.814]  I want to expand, hire more reporters,
[01:44:35.510 --> 01:44:37.692]  In this coming election, and just go wild.
[01:44:37.692 --> 01:44:44.540]  If you get excited, if you decide to support us, if you decide to make a donation, there's a donation button at fullworthstore.com, that's great as well.
[01:44:44.540 --> 01:44:47.202]  So we get 95% of it, instead of, you know, making 30-40%.
[01:44:47.202 --> 01:44:50.666]  On the water filters, highest rated.
[01:44:50.666 --> 01:44:52.428]  On the storable food, highest rated.
[01:44:53.439 --> 01:44:53.840]  We're good to go.
[01:45:13.782 --> 01:45:16.124]  That sale has to end in a couple days.
[01:45:16.124 --> 01:45:18.446]  These other sales go out throughout the month.
[01:45:18.446 --> 01:45:20.007]  Christmas comes in August.
[01:45:20.007 --> 01:45:23.549]  So, InfoWarStore.com, thank you for your backing and support.
[01:45:23.549 --> 01:45:24.270]  I appreciate you.
[01:45:24.270 --> 01:45:26.652]  We'll go to break and come back with Scott Bennett.
[01:45:26.652 --> 01:45:27.873]  We really appreciate Scott Bennett.
[01:45:27.873 --> 01:45:28.353]  We'll be right back.
[01:45:37.188 --> 01:45:41.993]  It's been a busy 72 hours for Chicago police and first responders.
[01:45:41.993 --> 01:45:47.599]  At least four people are dead, ten others injured in shootings all across the city.
[01:45:47.599 --> 01:45:48.900]  Chicago, Illinois.
[01:45:48.900 --> 01:45:57.149]  It's just one of the United Nations' many subverted blue cities feeling the self-inflicted pain of kowtowing to Agenda 2030.
[01:45:58.090 --> 01:46:08.758]  The UN Agenda would have you believe that immigrants bring significant benefits in the form of skills, strengthening the labor force, investment, and cultural diversity.
[01:46:08.758 --> 01:46:19.285]  The commitment by member states to the Global Compact for Safe, Orderly, and Regular Migration crystallized three core truths.
[01:46:19.285 --> 01:46:27.471]  First, that migration is a fact of life, a defining feature of humanity, and our world, and above all,
[01:46:28.706 --> 01:46:33.909]  With a positive phenomenon enriching societies and economies.
[01:46:33.909 --> 01:46:50.801]  NBC reported, according to a city spokesperson, 10,019 migrants have arrived in Chicago over the past nine months, half of those by bus, with 4,151 migrants currently residing in temporary city shelters.
[01:46:50.801 --> 01:46:54.223]  So it's no big surprise that the residents aren't happy.
[01:46:54.778 --> 01:46:57.121]  Let them talk so they have a voice.
[01:46:57.121 --> 01:47:01.467]  A call for order during a heated meeting at Woodlawn's Apostolic Church of God.
[01:47:01.467 --> 01:47:02.368]  The focus?
[01:47:02.368 --> 01:47:05.692]  This migrant shelter in the old Wadsworth Elementary School.
[01:47:05.692 --> 01:47:12.901]  I would ask you all to go out there, go out there at night, in the middle of the night, and see what goes on.
[01:47:13.462 --> 01:47:22.596]  What's going on, according to community members, is loitering, late-night partying, littering, prostitution, and at least one fight between migrants and residents.
[01:47:22.596 --> 01:47:28.344]  They disrespect us, they rob us, they harass us, and they're patiently waiting.
[01:47:29.185 --> 01:47:35.069]  They use us to fill prisons and graveyards.
[01:47:35.069 --> 01:47:41.514]  For city leaders who came looking for a conversation over opening the doors of a shuttered South Shore high school to migrants.
[01:47:41.514 --> 01:47:48.659]  What's important is that we really establish that this is a humanitarian crisis and we're here.
[01:47:48.659 --> 01:47:52.081]  South Shore residents responded with resounding rejection.
[01:47:54.165 --> 01:48:03.190]  While this crisis may constitute an emergency for the city of Chicago, it does not constitute an emergency for the South Shore community.
[01:48:04.804 --> 01:48:09.125]  Incoming migrants have overwhelmed district police stations by the hundreds.
[01:48:09.125 --> 01:48:10.585]  It's my turn!
[01:48:10.585 --> 01:48:11.625]  It's my turn!
[01:48:11.625 --> 01:48:12.646]  Hello!
[01:48:12.646 --> 01:48:19.947]  But city leaders could barely eke out a word of the details about a proposed respite center at the former South Shore High School.
[01:48:19.947 --> 01:48:25.628]  When it comes to the total number of people at South Shore at any given point in time, it is fluid.
[01:48:25.628 --> 01:48:26.309]  We'd start with 250, 500.
[01:48:28.809 --> 01:48:31.731]  How could you do that without consulting us?
[01:48:31.731 --> 01:48:35.234]  In his infinite stupidity, Illinois Governor J.B.
[01:48:35.234 --> 01:48:53.549]  Pritzker responded to the exponential numbers of migrants flooding Illinois by signing off on HB 3751, a controversial bill allowing foreign nationals to become law enforcement officers, a move that critics blasted as madness.
[01:48:53.549 --> 01:48:57.792]  We can now expect thousands of similar tragedies like this one.
[01:48:58.212 --> 01:49:05.378]  A former Minneapolis police officer could face more than 15 years in prison for shooting and killing an unarmed yoga teacher.
[01:49:05.378 --> 01:49:09.902]  Mohammed Noor was found guilty yesterday of murdering Justine Damon.
[01:49:10.527 --> 01:49:16.192]  Noor was responding to Damon's 911 call nearly two years ago when he opened fire.
[01:49:16.192 --> 01:49:19.614]  Illinois Governor Pritzker has crossed the Rubicon.
[01:49:19.614 --> 01:49:27.140]  What message does this legislation send when it allows people who do not have legal status to become the officers of our laws?
[01:49:27.140 --> 01:49:35.087]  This is a potential crisis of confidence in law enforcement at a time when our officers need all the public confidence they can get.
[01:49:35.687 --> 01:49:44.737]  Pritzker is forcing Americans to reclaim their streets in what will explode into the civil war the left insists on fomenting.
[01:49:44.737 --> 01:49:49.583]  They got one more time to deal with it because otherwise next time they deal with it they're gonna deal with it from the streets.
[01:49:49.583 --> 01:49:51.124]  We're gonna take over.
[01:49:51.124 --> 01:49:54.208]  Nobody's gonna be able to stop us from what we're gonna do to them.
[01:49:54.208 --> 01:49:55.349]  John Bowne reporting.
[01:50:09.719 --> 01:50:15.326]  Tell us about the products, how we support you, how we support all of ourselves, and the big event coming up.
[01:50:16.445 --> 01:50:17.946]  Well, yeah, that's the first one.
[01:50:17.946 --> 01:50:25.570]  You obviously can go to MyPillow.com, use that promo code, Alex, and you can get all these great discounts on all of our products.
[01:50:25.570 --> 01:50:31.353]  And just by visiting this site, you're going to get a $20 free gift emailed to you immediately.
[01:50:31.353 --> 01:50:38.796]  And there's the biggest special we have right now, the 20 year anniversary MyPillow for $19.98 for the queen size, normally $69.98.
[01:50:40.217 --> 01:50:47.019]  We're celebrating our anniversary with what my employees don't love to invest, producing and making the MyPillow.
[01:50:47.019 --> 01:50:56.542]  And the model of businessmen and women with can-do know-how using the money for Americana freedom to fight the globalists is what they fear.
[01:50:56.542 --> 01:50:58.042]  That's what the deep banking is about.
[01:50:58.042 --> 01:50:59.863]  That's what the financial attacks are about.
[01:50:59.863 --> 01:51:07.485]  That's why we've got to rush to support MyPillow.com and InfoWars.com, plus their great products at both places, because we are the tip of the spear.
[01:51:10.787 --> 01:51:20.377]  And the Republicans better get tough and they better get smart because most of them look like a bunch of weak jerks right now.
[01:51:20.377 --> 01:51:25.942]  And you gotta get tough and smart and you have to fight fire with fire.
[01:51:25.942 --> 01:51:27.624]  You can't allow this to go on.
[01:51:28.351 --> 01:51:29.652]  The USA is a mess.
[01:51:29.652 --> 01:51:31.574]  Our economy is crashing.
[01:51:31.574 --> 01:51:33.675]  Inflation is out of control.
[01:51:33.675 --> 01:51:41.361]  China, Russia, Iran, North Korea have formed together as a menacing and destructive coalition.
[01:51:41.361 --> 01:51:45.044]  Our currency is crashing and will soon no longer be the world standard.
[01:51:45.044 --> 01:51:53.290]  The way it's going, we're going to lose our currency as the world standard, which will be the single greatest defeat for this country in 200 years.
[01:51:53.290 --> 01:51:55.292]  That will be catastrophe.
[01:51:56.258 --> 01:51:58.360]  It won't happen with me, not even a chance.
[01:51:58.360 --> 01:52:05.705]  Just like Russia would never have invaded Ukraine and China would not have even thought about Taiwan, as I said.
[01:52:05.705 --> 01:52:20.416]  If you took the five worst presidents in the history of the United States and added them up, they would have never done the destruction to our country as crooked Joe Biden and the Biden administration have done.
[01:52:20.416 --> 01:52:22.717]  Nobody's done damage to this country like this.
[01:52:22.717 --> 01:52:23.278]  Our country is
[01:52:27.875 --> 01:52:32.239]  Well, you don't need me to tell you we're at a historic inflection point.
[01:52:32.239 --> 01:52:36.582]  The war in Ukraine has escalated to new heights.
[01:52:36.582 --> 01:52:39.085]  The dollar is being devalued.
[01:52:39.085 --> 01:52:42.988]  Gold is becoming the world reserve currency.
[01:52:42.988 --> 01:52:44.289]  Interest rates are going up.
[01:52:44.289 --> 01:52:46.431]  The borders are wide open.
[01:52:46.431 --> 01:52:53.497]  The super frontrunner, Trump, no president in modern history has had numbers like this, has been indicted again by the deep state in DC.
[01:52:53.497 --> 01:52:54.578]  The most serious indictment.
[01:52:56.181 --> 01:52:56.581]  The U.S.
[01:52:56.581 --> 01:52:58.382]  has been downgrading its credit rating.
[01:52:58.382 --> 01:53:01.083]  I'm going to really try to give our guests the floor.
[01:53:01.083 --> 01:53:03.184]  They'll all want to jump in a lot because you make so many great points.
[01:53:03.184 --> 01:53:04.645]  I want to back up.
[01:53:04.645 --> 01:53:09.747]  But Scott Bennett is a Ph.D.
[01:53:09.747 --> 01:53:10.047]  U.S.
[01:53:10.047 --> 01:53:18.691]  Army Special Operations Officer, a psychological warfare analyst, was unlawfully imprisoned on trumped-up charges by the Obama administration.
[01:53:19.355 --> 01:53:20.115]  We're good to go.
[01:53:49.733 --> 01:53:50.253]  We're good to go.
[01:54:12.125 --> 01:54:15.007]  I'm going to try to give you the floor to go wherever you want first.
[01:54:15.007 --> 01:54:16.648]  But man, what a time we're living in right now.
[01:54:40.523 --> 01:54:41.963]  Well, God bless you, Alex.
[01:54:41.963 --> 01:54:48.905]  You're the guidon bearer for the patriots of America, and I applaud you, and I know God is pleased by you.
[01:54:48.905 --> 01:54:57.207]  Well, let me just say, as you open this up with regards to Trump and his speech, let me give you some good news.
[01:54:57.207 --> 01:55:06.869]  There's an amicus brief, and a few of them actually that are being filed, and an amicus brief in support of President Trump, and this is one of the exhibits that's going to be put in there.
[01:55:07.589 --> 01:55:18.291]  And this is also a memo that I sent to Trump, which I also gave a deposition about when I was back in Washington in November of 2020.
[01:55:18.291 --> 01:55:30.994]  And in this memo, it's in the book Shell Game, but the memo outlines for President Trump all of the deep state operations they were doing under the Obama-Biden, Clinton Foundation, Clinton State Department regime.
[01:55:32.375 --> 01:55:47.646]  McCabe, details McCabe and how his wife was picked by Terry McAuliffe and Hillary Clinton to run against Senator Dick Black because Senator Dick Black is one of the great Americans that exposed the fraud in Syria and other things.
[01:55:47.646 --> 01:55:52.590]  So this memo is one of the exhibits that is going to go to President Trump in an amicus brief.
[01:55:53.200 --> 01:55:54.961]  Since they filed this third indictment.
[01:55:54.961 --> 01:55:58.402]  This is another document that's going to be submitted.
[01:55:58.402 --> 01:56:04.204]  And this is, I don't know if you can see it on the TV, but this is the election fraud.
[01:56:04.204 --> 01:56:12.848]  And this was a compilation of everything that Sidney Powell and Pat Byrne and Joe Flynn and General Flynn and myself and many others that were working back there.
[01:56:13.528 --> 01:56:14.388]  Uh, put together.
[01:56:14.388 --> 01:56:21.991]  So, when they try and say, uh, President Trump was, uh, you know, planning and doing all sorts of things, he wasn't.
[01:56:21.991 --> 01:56:27.712]  He was being advised and given information which detailed massive election fraud.
[01:56:27.712 --> 01:56:32.434]  So, uh, people can, can see some of these things at shellgamewhistleblower.com.
[01:56:33.514 --> 01:56:35.796]  And, of course, I have the Book of Exhibits.
[01:56:35.796 --> 01:56:45.362]  This was another book of all of the letters and documents that went to all of the usual suspects in Washington, D.C.
[01:56:45.362 --> 01:56:54.588]  that were senators and congressmen, various committees, Jason Chavits, Saxby Chambliss, Jeff Sessions, Mike Pompeo.
[01:56:54.588 --> 01:56:57.190]  I've got all their letters in this Book of Exhibits.
[01:56:57.190 --> 01:57:00.332]  This will also be part of the amicus brief that goes to President Trump.
[01:57:00.932 --> 01:57:07.557]  And of course we may also throw in the 9-11 truth book that I put together with Robert David Steele and a host of other experts on 9-11.
[01:57:08.658 --> 01:57:20.640]  So this will be an amicus brief that exculpates, exonerates, and demonstrates to the American people in the court and the judge that Donald Trump is not guilty of any of the charges that they've alleged.
[01:57:20.640 --> 01:57:32.863]  But they have opened up a Pandora's box and all of these exhibits and other items and testimony from myself and many others that were back in Washington can be admitted as evidence and the expert testimony.
[01:57:33.423 --> 01:57:47.353]  That I think will shake the very foundations of the Deep State and cause it to come crumbling down as Samson pushed the towers and crumbled that Citadel of Dagon, if you remember the Old Testament story.
[01:57:47.353 --> 01:57:51.716]  So, I think this is an exciting time because they've opened up a Pandora's box.
[01:57:52.296 --> 01:58:06.447]  And what they are trying to do to Trump is going to come back upon them, and I have no doubt he will be completely exonerated, but in these legal filings, you're going to see the American people wake up like never before.
[01:58:06.447 --> 01:58:08.489]  Why are they so desperate to try something like this?
[01:58:10.874 --> 01:58:17.295]  Well, as we've chatted before, they're delusional, they're narcissistic, they're hypnotized in their own reflection.
[01:58:17.295 --> 01:58:30.817]  They are consumed with humanism and their own sense of bulletproof anointing, as Thomas Sowell wrote in his book, Vision of the Anointed.
[01:58:30.817 --> 01:58:39.839]  The Democrat, leftist, atheist, God-hating, family-hating individual has this
[01:58:40.519 --> 01:58:50.208]  This obsession with power and control over other people and it's rooted in their own spiritual self-hatred and impulse to annihilation.
[01:58:50.208 --> 01:59:00.297]  So Donald Trump represents the awakening of the American people, the enlightenment of the American people, the separation from the establishment.
[01:59:00.297 --> 01:59:04.761]  That's why he was hated by Paul Ryan and hated by Newt Gingrich in many ways.
[01:59:04.761 --> 01:59:06.022]  They'll never admit it fully.
[01:59:06.623 --> 01:59:10.558]  Hated by people like Mike Pence who was his Judas stabbed him in the back.
[01:59:10.558 --> 01:59:11.582]  He's a complete liar
[01:59:12.636 --> 01:59:19.058]  Hated by Romney and all these other Tom, you know, John Thune and Mitch McConnell.
[01:59:19.058 --> 01:59:26.779]  All of these castrated hypocrites and parasites represent nothing but a bureaucracy of idiots in Washington, D.C.
[01:59:26.779 --> 01:59:29.120]  And Donald Trump represents the opposite.
[01:59:29.120 --> 01:59:37.122]  You know, he's a successful businessman, he's a handsome man, he's a good talker, he's a tough guy, beautiful wife, beautiful family.
[01:59:38.182 --> 01:59:46.008]  They have existential envy because they hate themselves and Trump loves himself and he loves America and they just can't stand it.
[01:59:46.008 --> 01:59:46.508]  That's right.
[01:59:46.508 --> 01:59:49.911]  That nails it right there like you just described.
[01:59:49.911 --> 01:59:52.412]  The envy and the self-loathing and the hatred.
[01:59:52.412 --> 02:00:00.018]  They see him and they gnash on their teeth like the Pharisees gnashed on their teeth when they saw Christ.
[02:00:00.888 --> 02:00:03.049]  And it's something to behold.
[02:00:03.049 --> 02:00:06.291]  But Donald Trump, this is a big tug-of-war.
[02:00:06.291 --> 02:00:13.676]  And what they're trying to do to Donald Trump, the American people are going to be witnessing them trying to do it to them.
[02:00:13.676 --> 02:00:21.941]  This is why you're going to see all of the Republicans, all of the Conservatives, all of the Libertarians, all of the moderate Reagan Democrat types.
[02:00:22.541 --> 02:00:46.185]  The sensible people coming to Donald Trump's side, not because they like him, not because they like Republican politics, but because they hate the danger of a tyrannical government police state being weaponized against their PTAs, weaponized against their mothers and their wives, weaponized against their children, trying to castrate their children and send them into transgender brainwashing MKUltra programs.
[02:00:46.785 --> 02:00:59.540]  The American people of every tribe, ethnicity, and color recognize this terrible tsunami of police state that is trying to, you know, engulf Donald Trump.
[02:00:59.540 --> 02:01:01.141]  And they have to be the breaker.
[02:01:01.141 --> 02:01:03.264]  They have to be the shield, the wall.
[02:01:04.150 --> 02:01:05.371]  To defend Donald Trump.
[02:01:05.371 --> 02:01:06.351]  He is the light.
[02:01:06.351 --> 02:01:09.072]  And if he's extinguished, they're all extinguished.
[02:01:09.072 --> 02:01:12.974]  That's why this is becoming an existential American issue.
[02:01:12.974 --> 02:01:18.057]  And it's even being recognized by people like Zakharova in Russia, when they've had their St.
[02:01:18.057 --> 02:01:20.398]  Petersburg conferences.
[02:01:20.398 --> 02:01:21.319]  She's a brilliant woman.
[02:01:22.479 --> 02:01:28.625]  He has championed the trials and the police state of persecutions of American patriots.
[02:01:28.625 --> 02:01:29.766]  And so has Lavrov.
[02:01:29.766 --> 02:01:34.911]  They've called American Trump-supporting conservatives and traditionals patriots.
[02:01:35.672 --> 02:01:50.288]  And yet the Biden administration, the FBI under under Garland and Ray and, you know, ATF and all of these Gestapo agencies have come against the American public, you know, anti-Catholic bias.
[02:01:50.288 --> 02:01:55.033]  We've seen the hearings with Jordan and Gates and all of these, and they're very powerful and Monica Taylor Greene.
[02:01:55.791 --> 02:01:59.793]  So the international community recognizes the police state is rising.
[02:01:59.793 --> 02:02:02.595]  The American public as a whole recognize it.
[02:02:02.595 --> 02:02:04.496]  Donald Trump recognizes it.
[02:02:04.496 --> 02:02:09.398]  And I think this is only going to get bigger and louder after Labor Day.
[02:02:09.398 --> 02:02:17.962]  That's when all the fireworks start going off, including amicus briefs like this, that will come riding into the defense of Donald Trump like the cavalry.
[02:02:17.962 --> 02:02:24.846]  And I'm happy to blow that bugle call and let him come pick a fight with me because I've fought with him before and I will destroy anyone.
[02:02:25.226 --> 02:02:29.128]  That comes into a rhetorical, legal debate argument with me.
[02:02:29.128 --> 02:02:33.890]  And I look forward to marching into that court with my amicus briefs because I was an officer.
[02:02:33.890 --> 02:02:35.351]  I held the top secret clearance.
[02:02:35.351 --> 02:02:36.931]  I was at the State Department.
[02:02:36.931 --> 02:02:39.172]  I had CIA officers come up to me.
[02:02:39.172 --> 02:02:40.453]  I exposed Obama.
[02:02:40.453 --> 02:02:41.774]  I exposed Biden.
[02:02:41.774 --> 02:02:43.434]  I exposed Hillary Clinton.
[02:02:43.434 --> 02:02:49.137]  There are 19,000 Swiss bank accounts from Union Bank of Switzerland that was financing the various terrorist operations.
