[00:00:05.635 --> 00:00:06.136]  Stand by.
[02:02:26.642 --> 02:02:31.184]  And put it out on the air, put it out in print, and see what happens from this.
[02:02:31.184 --> 02:02:37.145]  Well, we've had a few of them on here, like Walter Jones, and it says Saudi Arabia consciously at the highest levels ran the attacks.
[02:02:37.145 --> 02:02:41.187]  Our government knew from the beginning, stood down on purpose, basically complicit.
[02:02:41.187 --> 02:02:43.027]  It is bombshell information.
[02:02:43.027 --> 02:02:44.528]  It is treason proven.
[02:02:44.528 --> 02:02:46.088]  And people say, oh, it's worse than that.
[02:02:46.088 --> 02:02:49.369]  We know, but we have them in their own report.
[02:02:49.369 --> 02:02:51.230]  I mean, so if that comes out, it all comes out.
[02:02:52.486 --> 02:02:53.887]  Yeah, and they've got to start doing this.
[02:02:53.887 --> 02:03:02.551]  I mean, you had Dennis Kucinich who would question this, but he's been gerrymandered out of Congress by the Democrat branch of the Permanent Party.
[02:03:02.551 --> 02:03:13.016]  And the people we've got in the past, for example, we had the Church Report that really went to town on the intelligence services, and we need people like that again.
[02:03:14.295 --> 02:03:18.900]  Well, this time it's our own intelligence services coming out saying it's all a fraud, our military saying it.
[02:03:18.900 --> 02:03:22.485]  It's not usually the military, you know, having to try to stop wars.
[02:03:22.485 --> 02:03:24.527]  Usually they're trying to start it, at least in the past.
[02:03:24.527 --> 02:03:30.014]  That shows how corrupt our elite are that we actually have a lot of generals doing the right thing now, which is unprecedented.
[02:03:30.014 --> 02:03:30.815]  Yeah, it is.
[02:03:30.815 --> 02:03:33.698]  I mean, we need more people like Smedley Butler from the 1930s.
[02:03:36.021 --> 02:03:43.390]  Well, I mean, the folks running the show there need to know that all these yes men and women are really creating a climate of absolute and complete tyranny.
[02:03:43.390 --> 02:03:45.152]  MichaelSpringman.com.
[02:03:45.152 --> 02:03:46.674]  Briefly, tell folks about the book.
[02:03:46.674 --> 02:03:47.876]  I mean, I read the book.
[02:03:47.876 --> 02:03:48.997]  It's extremely powerful.
[02:03:48.997 --> 02:03:50.178]  You learn a lot.
[02:03:50.178 --> 02:03:54.304]  Everybody should buy it and donate it after they read it to the library so that more people read it.
[02:03:55.179 --> 02:03:57.260]  Yeah, great, thank you.
[02:03:57.260 --> 02:04:24.612]  The basis of the book is it's 250 pages of my own personal experience with the Department of State and with the legal system trying to find out why I have been fired, coupled with two years of research on what I call the Arab-Afghan Legion, the terrorists that the United States recruited for the war in Afghanistan against the Soviet Union, who were then transformed or rebranded into Al-Qaeda
[02:04:25.515 --> 02:04:28.878]  And when that got old, they turned him into ISIL.
[02:04:28.878 --> 02:04:31.500]  And it's the same crowd of fanatics.
[02:04:31.500 --> 02:04:34.202]  I talked to Colonel Anthony Schaffer, U.S.
[02:04:34.202 --> 02:04:36.344]  Army, retired.
[02:04:36.344 --> 02:04:43.991]  He said that, yeah, the same guys that are in Iraq now fighting are the same people we recruited for Afghanistan.
[02:04:44.551 --> 02:04:46.494]  Former Senator Mike Gravel from Alaska.
[02:04:46.494 --> 02:04:48.416]  You've got a lot of amazing people.
[02:04:48.416 --> 02:04:49.177]  We're out of time.
[02:04:49.177 --> 02:04:51.581]  Michael Springman, have a great holiday and Christmas coming up.
[02:04:51.581 --> 02:04:52.682]  MichaelSpringman.com.
[02:04:52.682 --> 02:04:56.748]  The book, Pieces for Al Qaeda, available at InfowarsStore.com.
[02:04:56.748 --> 02:04:57.489]  Get it today.
[02:04:57.489 --> 02:04:57.929]  We'll be back.
[02:04:59.835 --> 02:05:05.539]  A New York City principal has banned Christmas and the Pledge of Allegiance, reports EAG News.
[02:05:05.539 --> 02:05:14.986]  The new principal has also eliminated Thanksgiving, despite clear notice from the city's Department of Education allowing for holiday themes and symbols, the New York Post writes.
[02:05:14.986 --> 02:05:17.268]  We definitely can't say Christmas.
[02:05:17.268 --> 02:05:18.709]  Nothing with Christmas on it.
[02:05:18.709 --> 02:05:22.611]  Nothing with Santa, a local PTA president told the news site.
[02:05:22.611 --> 02:05:23.772]  No angels.
[02:05:23.772 --> 02:05:28.576]  We can't even have a star because it can represent a religious system, like the Star of David.
[02:05:29.196 --> 02:05:37.040]  The report states that about 95% of the students at Brooklyn's PS169 are either Hispanic or Asian.
[02:05:37.040 --> 02:05:45.384]  And the assistant principal announced last month that the school is changing its holiday traditions to be sensitive to the diversity of our families.
[02:05:45.384 --> 02:05:48.926]  Not all children celebrate the same holidays, he added.
[02:05:48.926 --> 02:05:53.088]  And the Pledge of Allegiance was also ditched when the principal took office.
[02:05:53.088 --> 02:05:55.369]  You can find more reports on InfoWars.com.
[02:05:59.717 --> 02:06:00.778]  I love my candy!
[02:06:00.778 --> 02:06:01.478]  I want my baby again!
[02:06:01.478 --> 02:06:02.759]  Mine!
[02:06:02.759 --> 02:06:02.899]  Mine!
[02:06:02.899 --> 02:06:02.999]  Mine!
[02:06:29.517 --> 02:06:30.337]  We're good to go.
[02:06:57.406 --> 02:06:59.327]  At Infowarslife.com.
[02:06:59.327 --> 02:07:02.627]  We have been fighting this war tirelessly with you at our side.
[02:07:02.627 --> 02:07:03.968]  Day in and day out.
[02:07:03.968 --> 02:07:07.669]  Exposing the ludicrous lies and criminal operations of the globalists.
[02:07:07.669 --> 02:07:09.989]  And we're starting to see big effects.
[02:07:09.989 --> 02:07:11.870]  And the word is getting out.
[02:07:11.870 --> 02:07:13.951]  The globalists want to make us dependent.
[02:07:13.951 --> 02:07:17.692]  And as Napoleon famously said, an army marches on its stomach.
[02:07:17.692 --> 02:07:21.513]  Ammunition, food and supplies form the backbone of any offensive.
[02:07:21.513 --> 02:07:23.193]  Including the Infowar.
[02:07:23.193 --> 02:07:26.114]  And our enemies admit they're losing the Infowar.
[02:07:26.374 --> 02:07:30.137]  We are in an information war, and we are losing that war.
[02:07:30.137 --> 02:07:36.643]  With this in mind, we have held strong to our principles and the decision to refuse any money from globalists or government.
[02:07:36.643 --> 02:07:43.649]  We are funding our crusade against tyranny the old-fashioned way, with pure free-market, free-will capitalism.
[02:07:43.649 --> 02:07:45.891]  Visit Infowarsstore.com today, or call 888-253-3139.
[02:07:48.453 --> 02:07:53.358]  And take advantage of free shipping right through December 18th and get your order before Christmas.
[02:07:53.358 --> 02:08:02.246]  May God bless you and your family and keep us strong as we forge ahead in this battle for humanity.
[02:08:02.246 --> 02:08:04.087]  We are on the march.
[02:08:04.087 --> 02:08:07.250]  The Empire is on the run.
[02:08:07.250 --> 02:08:10.934]  Alex Jones and the GCN Radio Network.
[02:08:26.112 --> 02:08:27.496]  I know we have a lot of phone lines.
[02:08:27.496 --> 02:08:28.699]  The toll free number to join us is 800-259-9231.
[02:08:32.455 --> 02:08:37.776]  We're going to go to Kevin, James, and a few who have been holding the longest, then we're getting Wayne Madsen Investigative Journals on the line.
[02:08:37.776 --> 02:08:46.158]  He'll be with us in about five minutes to break down major breaking news on campaign 2016 that he's been ferreting into.
[02:08:46.158 --> 02:08:51.099]  Also, the open funding of radical jihad groups.
[02:08:51.099 --> 02:08:55.260]  He has written about that for Infowars.com and a lot more.
[02:08:55.260 --> 02:09:01.482]  And we've really reached that dam breaking moment when you've got the former head of CENTCOM and other generals and
[02:09:03.126 --> 02:09:11.411]  Inspector General investigations in the Pentagon, not about fixed intelligence, that's what the media is spinning.
[02:09:11.411 --> 02:09:18.136]  It's about the fact that our government is backing Al-Qaeda, Al-Nusra, ISIS, same group, same organization, same culture.
[02:09:19.332 --> 02:09:25.456]  It's kind of like we have the Army, Navy, Marines, and Air Force, while they have Al-Nusra, Al-Qaeda, ISIS, IS.
[02:09:25.456 --> 02:09:36.104]  It's all the same black flags, same Saudi Arabian garbage, same crazed, radical Sunni trash that kills other Sunni, Shiites, Alawites, Christians.
[02:09:36.104 --> 02:09:40.067]  I mean, it is the expansionist, fascist version of Islam.
[02:09:40.067 --> 02:09:42.729]  Hands down, no debate.
[02:09:42.729 --> 02:09:46.152]  So, why does our elite think they can use them to come in and take over?
[02:09:47.102 --> 02:09:50.665]  Let him come in and attack us here and then take our freedoms.
[02:09:50.665 --> 02:09:54.748]  So Wayne Madsen is going to get into all of that and other breaking news that he's been investigating.
[02:09:54.748 --> 02:10:00.592]  He does also report for Infowars.com and two of his reports are on the site today.
[02:10:00.592 --> 02:10:03.694]  But let's go to Kevin in West Virginia and then James in Canada.
[02:10:03.694 --> 02:10:06.696]  Kevin in West Virginia, thanks for holding her on the air.
[02:10:06.696 --> 02:10:07.837]  Hey Alex, how are you doing?
[02:10:07.837 --> 02:10:08.658]  Good my friend, go ahead.
[02:10:08.658 --> 02:10:11.820]  This is my thoughts.
[02:10:11.820 --> 02:10:15.022]  Mr. Obama, step down.
[02:10:15.022 --> 02:10:16.043]  Step down.
[02:10:16.579 --> 02:10:24.140]  Quit being a criminal and face the American public and take it like a man.
[02:10:24.140 --> 02:10:31.982]  Well, if Obama falls, then all the criminals around him fall, including all the neocon Republicans that have been working with him as well.
[02:10:31.982 --> 02:10:41.784]  But we have reached that point where how far can they go to come into 30 states and say we're going to bring in radical, dangerous refugees, many of them foreign fighters,
[02:10:42.304 --> 02:10:54.968]  We're not going to even let them have IDs or passports and they can just disappear and we won't tell state homeland security or local police or state police where they are, but oh we're following everything you do as citizens and watching you.
[02:10:54.968 --> 02:10:59.170]  I mean this is really showing America that the police state is for us.
[02:11:00.270 --> 02:11:03.871]  Not for actual threats that are outside the country.
[02:11:03.871 --> 02:11:07.592]  It does show the war on terror is a complete fraud.
[02:11:07.592 --> 02:11:09.713]  New headline, Infowars.com.
[02:11:09.713 --> 02:11:14.674]  Feds ignore Islamic terror threat before San Bernardino to focus on right-wing radicals.
[02:11:14.674 --> 02:11:23.097]  Had the Justice Department group tried to prosecute, investigate the FBI agents and others that were investigating the husband and wife team.
[02:11:23.097 --> 02:11:25.138]  So, pretty amazing.
[02:11:25.138 --> 02:11:26.218]  What else do you have to say, Kevin?
[02:11:27.506 --> 02:11:30.529]  Um, I agree with you 100%.
[02:11:30.529 --> 02:11:33.932]  I just feel that Obama needs to step down as well.
[02:11:36.184 --> 02:11:38.966]  I agree.
[02:11:38.966 --> 02:11:58.543]  Every group, that means Lindsey Graham, that means people like John McCain, that means people like Jeb Bush that's been supporting it but not actually in government, and others need to be investigated, and we've got Hillary
[02:11:58.843 --> 02:12:10.670]  Quarterbacking it at the State Department, Obama heavily involved, there is a larger master strategy, and it hinges on us being completely mindless, completely ignorant geopolitically, culturally, and not knowing.
[02:12:10.670 --> 02:12:12.111]  It's just like 9-11.
[02:12:12.111 --> 02:12:16.394]  The Saudis are involved, our government covers up, we blame Iraq, their archenemy.
[02:12:16.394 --> 02:12:20.296]  Now we blame Syria for the refugees that our attack caused.
[02:12:20.296 --> 02:12:22.418]  I mean, it's just incredibly cut and dry.
[02:12:23.720 --> 02:12:31.713]  And only someone with their eyeballs gouged out, their ears drums gouged out, and their tongue cut out could not see what's happening or smell what's happening.
[02:12:31.713 --> 02:12:32.654]  Thank you, Kevin.
[02:12:32.654 --> 02:12:34.317]  James in Canada, you're on the air.
[02:12:34.317 --> 02:12:36.300]  Welcome.
[02:12:36.300 --> 02:12:36.781]  Uh, hi.
[02:12:36.781 --> 02:12:37.262]  Hello?
[02:12:37.262 --> 02:12:37.562]  Yes, sir.
[02:12:37.562 --> 02:12:37.863]  Go ahead.
[02:12:39.048 --> 02:12:46.753]  Okay, hey, just quickly for all the Minnesotans, we got about six inches of ice up here in Winnipeg on the Red River, and Lake Winnipeg's almost frozen, so you can fish right away.
[02:12:46.753 --> 02:12:48.254]  Just two points.
[02:12:48.254 --> 02:12:50.836]  I think you guys should really check out the new season of South Park.
[02:12:50.836 --> 02:12:53.218]  You had that snippet of the Family Guy episode.
[02:12:53.218 --> 02:12:56.040]  South Park season totally destroyed the PC narrative.
[02:12:56.040 --> 02:12:57.260]  It was really great television.
[02:12:57.260 --> 02:13:03.405]  I don't normally watch South Park, though I've got to admit that the Cayenne West gay fish thing is pretty good.
[02:13:04.165 --> 02:13:08.048]  I like a little bit of cayenne pepper on my eggs, so I do watch that.
[02:13:08.048 --> 02:13:10.711]  Folks, I know his name's not Cayenne, it's a joke.
[02:13:10.711 --> 02:13:12.192]  People say, it's Kanye.
[02:13:12.192 --> 02:13:12.872]  Oh, really?
[02:13:12.872 --> 02:13:15.415]  I butcher names on purpose.
[02:13:15.415 --> 02:13:18.597]  So expanding on that, it's one of my little jokes I do.
[02:13:18.597 --> 02:13:19.998]  I have seen a couple episodes of it.
[02:13:19.998 --> 02:13:22.961]  I mean, there's so much cussing, I can't let my kids watch it.
[02:13:22.961 --> 02:13:25.903]  But still, they kind of act like it's okay at the end.
[02:13:26.804 --> 02:13:30.385]  So I think it's kind of a mixed message, but yes, it is pretty hilarious.
[02:13:30.385 --> 02:13:44.308]  I've seen two episodes where Caitlyn Jenner is always running people over, and it's beautiful, and it's stunning, and it's brave, and you've got the PC police principal that's beating everyone up, and a total tyrant, and you know, totally oppressive, and they're using it to oppress people.
[02:13:44.308 --> 02:13:50.049]  So yes, it is dead on when it comes to that, but it's not strong enough in how dangerous it is.
[02:13:50.049 --> 02:13:52.550]  I appreciate your point on it.
[02:13:52.550 --> 02:13:52.930]  Anything else?
[02:13:54.426 --> 02:13:57.427]  Uh, well yeah, just the last episode I think really codifies what you were saying.
[02:13:57.427 --> 02:14:04.269]  But yeah, my last point is, um, for all the Americans, get on the conservative bandwagon like your former guest from yesterday, Tommy, said.
[02:14:04.269 --> 02:14:07.110]  Uh, we totally missed the conservative bandwagon up in Canada.
[02:14:07.110 --> 02:14:10.832]  We elected the son of the worst socialist to ever get into our government.
[02:14:10.832 --> 02:14:13.713]  You know, Pierre Elliott Trudeau was just a total bad person.
[02:14:13.713 --> 02:14:14.133]  Look him up.
[02:14:14.133 --> 02:14:15.913]  But yeah, get on this conservative bandwagon.
[02:14:15.913 --> 02:14:21.815]  Trump won't be a constitutionally libertarian president, but he is damn better than anything else you guys are gonna have.
[02:14:21.815 --> 02:14:22.996]  I appreciate your call, James.
[02:14:24.423 --> 02:14:33.427]  When Bush was in power and the Patriot Act and the tyranny and the NSA, I was constantly attacking him and the Democrats coming after our guns.
[02:14:33.427 --> 02:14:38.089]  Now, if the Democrats were in power now doing all this, which they are, I would be against them.
[02:14:38.089 --> 02:14:42.450]  If the Republicans were in power, which they're not right now, I would be against them.
[02:14:42.450 --> 02:14:46.412]  And I'm against all the rhinos and neocons and, you know, John Boehner types.
[02:14:48.288 --> 02:14:51.370]  But the system is coming after the Tea Party.
[02:14:51.370 --> 02:14:53.252]  The system is coming after the real Tea Party.
[02:14:53.252 --> 02:14:54.493]  They tried to co-opt it.
[02:14:54.493 --> 02:14:55.473]  They tried to demonize it.
[02:14:55.473 --> 02:14:58.175]  They say Homeland Security is for it.
[02:14:58.175 --> 02:15:06.222]  They are afraid of a libertarian movement at least getting some type of debate going in the House and in the Senate, in the Congress.
[02:15:06.222 --> 02:15:15.749]  And their entire defense is set around Republicans and Democratic donors at the top giving money to defeat basically the Ron Paul type movement in Congress.
[02:15:17.090 --> 02:15:20.651]  And you got a Rand Paul, you got a Ted Cruz trying to act like they're the heirs to that.
[02:15:20.651 --> 02:15:21.512]  I hope they are.
[02:15:21.512 --> 02:15:22.432]  They're better than Hillary Clinton.
[02:15:22.432 --> 02:15:23.432]  They're not perfect.
[02:15:23.432 --> 02:15:29.334]  You got a Donald Trump who I don't completely trust, but overall has one of the better shots of winning.
[02:15:29.334 --> 02:15:31.695]  He's being demonized for saying things that Jimmy Carter did.
[02:15:31.695 --> 02:15:38.478]  Jimmy Carter stopped certain Muslim groups from coming in and kicked people out of the country during that whole situation.
[02:15:38.478 --> 02:15:42.839]  Until they fix the problem with the visas and the rest of it, he's right, in my view.
[02:15:42.839 --> 02:15:44.180]  It's not that radical of a statement.
[02:15:45.236 --> 02:15:52.194]  What is radical is not screening any of these people, letting them come in, knowing they're going to have some attackers, then taking our freedoms.
[02:15:52.194 --> 02:15:53.297]  That is a false flag.
[02:15:54.952 --> 02:16:01.093]  And joining us to discuss this is Wayne Madsen, one of the longest NSA whistleblowers out there.
[02:16:01.093 --> 02:16:04.634]  He did it back when they didn't lock you up for it, like Obama does.
[02:16:04.634 --> 02:16:17.616]  He's also written for some of the biggest publications in the country, and he formerly was in anti-submarine warfare in the Navy, then in the National Security Agency, running actually a whole division of internal security.
[02:16:17.616 --> 02:16:21.317]  And he's exposed the fact that they now use the NSA mainly to spy on government
[02:16:22.537 --> 02:16:26.938]  Employees who might blow the whistle, and on journalists.
[02:16:26.938 --> 02:16:29.039]  And believe me, we've experienced that here.
[02:16:29.039 --> 02:16:37.762]  I can be anywhere, and the cops just call me up, or my reporters get called up, and they know exactly where we are, where we're driving, through the cell phones.
[02:16:37.762 --> 02:16:38.422]  Without a warrant.
[02:16:38.422 --> 02:16:42.263]  You know, what are you doing up there investigating Islamaburg?
[02:16:42.263 --> 02:16:44.164]  We know you're at the corner of such and such and such.
[02:16:44.164 --> 02:16:44.744]  How do you know that?
[02:16:44.744 --> 02:16:46.904]  We just know.
[02:16:46.904 --> 02:16:48.745]  There's some concerns you might be violent.
[02:16:49.952 --> 02:16:54.058]  Oh, but the Jihadville openly connected in the past to serious stuff.
[02:16:54.058 --> 02:16:55.580]  They're okay, you see.
[02:16:55.580 --> 02:16:57.122]  And oh, nobody can track them.
[02:16:57.122 --> 02:16:59.325]  And oh, the governors don't know where they're going.
[02:16:59.325 --> 02:17:01.328]  They just release them.
[02:17:01.328 --> 02:17:02.690]  I'm going to skip this network break here.
[02:17:02.690 --> 02:17:05.314]  This only one, because I want to be able to...
[02:17:06.158 --> 02:17:07.679]  Give Wayne Madsen more time.
[02:17:07.679 --> 02:17:10.740]  Wayne, there's a lot of big news you're about to break today on 2016.
[02:17:10.740 --> 02:17:11.780]  A lot of big stuff happening.
[02:17:11.780 --> 02:17:14.641]  But overall, what do you think the big strategy is?
[02:17:14.641 --> 02:17:22.085]  Flooding Europe, flooding the U.S., doing no screening, letting plane loads of people from Latin America land and just walk through in front of everyone?
[02:17:22.085 --> 02:17:26.066]  I mean, is this just rubbing our noses in it?
[02:17:26.066 --> 02:17:27.287]  This la-la land?
[02:17:27.287 --> 02:17:29.588]  Or is it the breakdown of government?
[02:17:29.588 --> 02:17:34.550]  What is Obama thinking for two days ordering the FBI to say San Bernardino wasn't terror
[02:17:35.530 --> 02:17:36.791]  It finally blows up in his face.
[02:17:36.791 --> 02:17:38.832]  He's got to go on TV.
[02:17:38.832 --> 02:17:42.775]  The Russians are exposing the whole narrative that our government and others are running ISIS.
[02:17:42.775 --> 02:17:44.836]  That's blowing up.
[02:17:44.836 --> 02:17:51.300]  I mean, are we seeing the collapse of the narrative here with top generals coming out saying we were ordered to run al-Qaeda and ISIS?
[02:17:51.300 --> 02:17:59.985]  I mean, these are devastating announcements being made and huge investigations in Congress starting up and inspector general investigations.
[02:17:59.985 --> 02:18:03.588]  This looks like something that could really bring down a large wing of the globalists
[02:18:04.028 --> 02:18:04.928]  Where do you see this going?
[02:18:04.928 --> 02:18:09.030]  What's the inside baseball up on Capitol Hill, Wayne Madsen?
[02:18:09.030 --> 02:18:27.197]  Well, I think what's going on, and you mentioned what's going on on the southern border with, again, it's this George Soros-led operation to basically destabilize not only Europe, but also now Central America, the Caribbean.
[02:18:27.197 --> 02:18:31.039]  Soros' social media that he has a lot of say in,
[02:18:31.659 --> 02:18:36.620]  Is now being used to convince a lot of Cubans, look, there's relations with the U.S.
[02:18:36.620 --> 02:18:40.881]  Go to Ecuador, go to Central America and make your way to the United States.
[02:18:40.881 --> 02:18:52.564]  Guys like Marco Rubio, of course, will welcome you with open arms and you'll get, you know, a credit card, food stamps, driver's license, you know, nirvana in America.
[02:18:52.564 --> 02:18:58.705]  The same thing is playing out in Europe, of course, where Angela Merkel, the German Chancellor,
[02:18:59.085 --> 02:18:59.746]  We're good to go.
[02:19:17.742 --> 02:19:26.391]  And has been for a long time, has been a CIA operation, going back to the mighty Wurlitzer days of Frank Wisner.
[02:19:26.391 --> 02:19:29.054]  Let me briefly inject and just back you up on that.
[02:19:29.054 --> 02:19:34.460]  They admit that the Nobel Prize is now a joke, giving Henry Kissinger and Al Gore and others it.
[02:19:34.460 --> 02:19:36.582]  Even the committee admits they've made mistakes.
[02:19:36.582 --> 02:19:37.323]  It's too late.
[02:19:37.323 --> 02:19:38.805]  You've now used it as toilet paper.
[02:19:38.805 --> 02:19:39.686]  It is now a joke.
[02:19:40.146 --> 02:19:45.287]  It's like giving a Pulitzer Prize to, you know, an Obama speech writer about Obamacare being free.
[02:19:45.287 --> 02:19:46.507]  It's a fraud.
[02:19:46.507 --> 02:19:50.468]  And so, yeah, Time Magazine is an admitted fraud with almost no circulation.
[02:19:50.468 --> 02:19:54.109]  So aren't they just putting final nails in their own coffin?
[02:19:54.109 --> 02:19:55.189]  I would hope so.
[02:19:55.189 --> 02:20:05.851]  I mean, as far as Merkel wearing that as a badge of honor, being named Person of the Year by Time, Adolf Hitler was named twice Man of the Year by Time Magazine.
[02:20:05.851 --> 02:20:08.512]  So I wouldn't, I wouldn't, if I were
[02:20:09.894 --> 02:20:16.795]  Frau Merkel, I call her House Frau Merkel because this lady, you know, I mean, she's obviously been inserted.
[02:20:16.795 --> 02:20:22.877]  She's not qualified to run a German beer hall, let alone a country.
[02:20:22.877 --> 02:20:34.319]  But these are the kinds of people, the Soroses of the world, and these other democracy engineers, quote-unquote, they like to see, the people that carry their water.
[02:20:35.589 --> 02:20:38.611]  And she's declared civil emergency and banned protests all over Germany.
[02:20:38.611 --> 02:20:41.033]  I mean, she is kind of Hitler.
[02:20:41.033 --> 02:20:47.178]  Yeah, not only that, but you know, remember we were told that there was no such thing as Sharia zones.
[02:20:47.178 --> 02:20:55.165]  You know, and they said, oh, that's a fantasy that that fake site called Snopes.com said, oh, no, that's that's a fake story.
[02:20:55.165 --> 02:20:56.546]  Well, in Germany, there are.
[02:20:57.106 --> 02:21:08.193]  Sharia police zones now where these Sharia cops are coming up to Germans on the street, native Germans, and telling them how to dress, women how to dress.
[02:21:08.193 --> 02:21:13.516]  And there was a big brouhaha, you know, during Oktoberfest.
[02:21:14.256 --> 02:21:22.866]  In Munich with some of these Sharia guys telling Germans to not drink in their presence.
[02:21:22.866 --> 02:21:29.414]  So who gets in trouble when a beer mug goes over the head of one of these Sharia boys?
[02:21:29.414 --> 02:21:34.900]  You find the Germans are charged with hooliganism and xenophobia.
[02:21:35.600 --> 02:21:39.042]  And that's what's playing out all through Europe now.
[02:21:39.042 --> 02:21:40.844]  They've got a huge problem over there.
[02:21:40.844 --> 02:21:45.706]  A public health problem.
[02:21:45.706 --> 02:21:47.988]  They've got these radical cells.
[02:21:47.988 --> 02:21:56.493]  I have a story up today about 10 towns in Albania and the radical mosques have under the nose of NATO.
[02:21:56.493 --> 02:21:57.914]  Albania is a NATO country.
[02:21:58.434 --> 02:22:08.265]  And under the nose of the Turks, another NATO country had been recruiting jihadists to go fight in Syria and Iraq.
[02:22:08.265 --> 02:22:11.729]  And this is all done from NATO countries.
[02:22:11.729 --> 02:22:13.131]  So here we go.
[02:22:13.131 --> 02:22:14.132]  This is what's going on.
[02:22:17.728 --> 02:22:26.785]  What is it about the kleptocratic left and the right wing that works with them that they really do seem like they want to bankrupt and wreck the West?
[02:22:26.785 --> 02:22:28.108]  I mean, why would you want to bring in
[02:22:29.781 --> 02:22:34.163]  Third world, radical, Sunni populations that can't even get along with each other.
[02:22:34.163 --> 02:22:39.604]  I mean, they're not bringing in non-radical Muslim groups that integrate quite nicely.
[02:22:39.604 --> 02:22:47.447]  Our government has a long-term policy of wrecking secular governments, whether it be Mohammed Mosaddegh or Gaddafi or Saddam Hussein.
[02:22:47.447 --> 02:22:52.669]  They demonize them and then lionize the most demonic groups you can imagine, like Saudi Arabia.
[02:22:53.646 --> 02:22:54.146]  That's right.
[02:22:54.146 --> 02:23:09.330]  We've already had, in German migrant camps, rioting breaking out between Afghans, who have been really radicalized with the Taliban and Al-Qaeda, and more moderate Syrian refugees.
[02:23:09.330 --> 02:23:17.833]  You know, moderate, as in quotes, because there's degrees of moderation among these migrants coming from these countries.
[02:23:18.433 --> 02:23:19.694]  Yeah, we're seeing it play out.
[02:23:19.694 --> 02:23:29.961]  So, I mean, Syrians and Afghans have never really had to mix in their own countries, but they're being forced to live with each other in these camps in Germany.
[02:23:29.961 --> 02:23:40.288]  And, of course, rioting is breaking out because the Syrians don't really think the real radical Afghans are their cup of tea.
[02:23:40.288 --> 02:23:43.090]  Why are we seeing so many leftists and feminist groups and others
[02:23:44.247 --> 02:23:54.259]  Worshipping and making it sexy, radical Islam and MSNBC having more and more of their pundits wearing headdresses, hijabs on television.
[02:23:54.259 --> 02:23:59.345]  What's the whole point of that when radical Islam is the most oppressive force against women I think we've ever seen?
[02:24:00.296 --> 02:24:02.617]  Yes, to push this multiculturalism.
[02:24:02.617 --> 02:24:11.520]  You know, the idea is that the migrants shouldn't become like Germans or French or Danes or Swedes or Norwegians.
[02:24:11.520 --> 02:24:27.325]  That those countries should respect these 13th century rituals and this culture that these migrants are bringing into these democratically advanced countries in Europe and also in North America.
[02:24:27.745 --> 02:24:29.105]  But yeah, you're right.
[02:24:29.105 --> 02:24:37.708]  It's part of the Soros and this other agenda, because what Soros does is he actually thrives on chaos.
[02:24:37.708 --> 02:24:39.008]  Chaos is good for him.
[02:24:39.008 --> 02:24:40.769]  I've written this.
[02:24:40.769 --> 02:24:45.570]  He'd make the perfect James Bond villain, because he's everywhere around the world.
[02:24:45.570 --> 02:24:57.214]  And so when he backs somebody like this Eurovision winner, this Conchita Wurst, which is an Austrian crossdresser,
[02:24:57.754 --> 02:25:02.696]  With a beard and breasts.
[02:25:02.696 --> 02:25:08.618]  I mean, this is the type of person that people like Soros hold up as examples.
[02:25:08.618 --> 02:25:14.440]  That and Femin and this other group of women and I won't mention their name.
[02:25:14.440 --> 02:25:19.082]  Again, they talk about women's rights, yet one of their
[02:25:19.642 --> 02:25:24.966]  Their most hallowed singing groups is this group of women.
[02:25:24.966 --> 02:25:35.733]  They were really trollops who used as part of their name a crude and crass name for female anatomy.
[02:25:35.733 --> 02:25:38.075]  Well, it's purely to destabilize culture.
[02:25:38.075 --> 02:25:39.676]  Soros admits that.
[02:25:39.676 --> 02:25:46.260]  He told 60 Minutes 15 years ago, he said, I'm not ashamed of what I did, rounding people up for Nazi Germany.
[02:25:46.260 --> 02:25:47.061]  It made me survive.
[02:25:49.603 --> 02:25:56.189]  Yes, and he's been backing all of Obama's initiatives, and he's backing Hillary.
[02:25:56.189 --> 02:26:10.022]  He was behind the scenes during Bill Clinton's administration, and he's there under Obama, and if Hillary Clinton's elected president, he'll be right there still, practicing his political alchemy.
[02:26:11.345 --> 02:26:13.627]  Wayne Madsen, WayneMadsenReport.com, joins us.
[02:26:13.627 --> 02:26:14.468]  He's also an author.
[02:26:14.468 --> 02:26:15.789]  You can find his books there.
[02:26:15.789 --> 02:26:20.554]  He also is a reporter, roving reporter for InfoWars.com.
[02:26:20.554 --> 02:26:23.376]  Now, I want to go to phone calls in the next segment, cover some other issues.
[02:26:23.376 --> 02:26:26.920]  800-259-9231 is the number.
[02:26:26.920 --> 02:26:29.062]  Any subject's fine because Wayne can speak to all of them.
[02:26:30.532 --> 02:26:33.354]  Other areas you're looking into, some of the other stories.
[02:26:33.354 --> 02:26:36.917]  I know you're looking at some of the latest sex scandals with some of the candidates.
[02:26:36.917 --> 02:26:38.559]  You're looking at some other big issues.
[02:26:38.559 --> 02:26:41.201]  What are some of those topics you're about to tell us about?
[02:26:41.960 --> 02:27:00.235]  Well, Marco Rubio has got to be one of the luckiest guys in the world because just as it was getting ready to break about his extramarital affair with a lobbyist, a well-known lobbyist in Washington, Donald Trump, of course, makes this comment about Muslims and it's all over, of course.
