[00:00.000 --> 00:11.000]  We are on the March. The Empire is on the run. Alex Jones and the GCN Radio Network.
[53:03.000 --> 53:05.000]  and not just believe
[53:05.000 --> 53:07.000]  that, oh, there's no good. Alex is really
[53:07.000 --> 53:09.000]  this or blah, blah, blah.
[53:09.000 --> 53:11.000]  Or we got to have war with Russia.
[53:11.000 --> 53:13.000]  They're our enemy. We'll get ahead by defeating Russia.
[53:13.000 --> 53:15.000]  No, we won't. The globalists
[53:15.000 --> 53:17.000]  are playing us off against each other.
[53:17.000 --> 53:19.000]  And the Russians and the Chinese
[53:19.000 --> 53:21.000]  and others have their own serious
[53:21.000 --> 53:23.000]  problems. And China's in bed with the globalists.
[53:23.000 --> 53:25.000]  They're ultra-maximum evil.
[53:25.000 --> 53:27.000]  Not the Chinese people, but I mean,
[53:27.000 --> 53:29.000]  the Chinese government is
[53:29.000 --> 53:31.000]  double-dealing, absolutely
[53:31.000 --> 53:33.000]  one-child policies, forced abortion,
[53:33.000 --> 53:35.000]  new order model. They adopted it.
[53:35.000 --> 53:37.000]  The CIA put Mao Zedong in in
[53:37.000 --> 53:39.000]  49. That was declassified 10 years ago.
[53:39.000 --> 53:41.000]  It's even on History Channel.
[53:41.000 --> 53:43.000]  I mean, I heard that from the John Burt
[53:43.000 --> 53:45.000]  Society when I was six years old.
[53:47.000 --> 53:49.000]  They know. They killed the CIA
[53:49.000 --> 53:51.000]  operative who wouldn't go along with it, John Burtz.
[53:51.000 --> 53:53.000]  He tried to lead a group against it
[53:53.000 --> 53:55.000]  and they killed him and a bunch of other operatives.
[53:55.000 --> 53:57.000]  There were rebellions then against doing this.
[53:57.000 --> 53:59.000]  Mao killed 84 million people.
[53:59.000 --> 54:01.000]  See, our government put Mao
[54:01.000 --> 54:03.000]  in. Our government put Pol Pot
[54:03.000 --> 54:05.000]  in. It's criminals
[54:05.000 --> 54:07.000]  in our government. It's chaos.
[54:07.000 --> 54:09.000]  It's Hydra. It's
[54:09.000 --> 54:11.000]  Specter. Why in all these movies is it
[54:11.000 --> 54:13.000]  an octopus symbol that's manipulating
[54:13.000 --> 54:15.000]  all the sides? Because they're telling you.
[54:15.000 --> 54:17.000]  Because anyone that knows how this really works
[54:17.000 --> 54:19.000]  understands the octopus is the big
[54:19.000 --> 54:21.000]  private banks that control the issuance
[54:21.000 --> 54:23.000]  of currency and credit.
[54:23.000 --> 54:25.000]  It's the Hydra
[54:27.000 --> 54:29.000]  of Greek mythology, the multi-headed beast
[54:29.000 --> 54:31.000]  or the multi-legged beast, ladies
[54:31.000 --> 54:33.000]  and gentlemen, okay? And it only
[54:33.000 --> 54:35.000]  wins by being in the dark and not being
[54:35.000 --> 54:37.000]  exposed.
[54:37.000 --> 54:39.000]  And it feeds on human suffering
[54:39.000 --> 54:41.000]  and no-bid weapons contracts.
[54:41.000 --> 54:43.000]  Well, why do they
[54:43.000 --> 54:45.000]  want to fund Al-Qaeda to take over
[54:45.000 --> 54:47.000]  Afghanistan so we can invade to get
[54:47.000 --> 54:49.000]  trillions in OPM and trillions
[54:49.000 --> 54:51.000]  in no-bid weapons contracts?
[54:51.000 --> 54:53.000]  Why?
[54:53.000 --> 54:55.000]  Hail Hydra.
[54:55.000 --> 54:57.000]  I mean, you go see
[54:57.000 --> 54:59.000]  the new Captain America, folks.
[54:59.000 --> 55:01.000]  That's
[55:01.000 --> 55:03.000]  basically what you're dealing with, right there.
[55:03.000 --> 55:05.000]  I mean, this is the
[55:05.000 --> 55:07.000]  real deal, people,
[55:07.000 --> 55:09.000]  okay? And the globalists
[55:09.000 --> 55:11.000]  have underground bases. They have all the
[55:11.000 --> 55:13.000]  mitigation plans. They're ready to
[55:13.000 --> 55:15.000]  have a war with Russia.
[55:15.000 --> 55:17.000]  The Rand Corporation three years ago came out
[55:17.000 --> 55:19.000]  with a story about it on infowar.com
[55:19.000 --> 55:21.000]  and said to bring in the world government
[55:21.000 --> 55:23.000]  there needs to be something bigger than a regional war,
[55:23.000 --> 55:25.000]  a new world war.
[55:25.000 --> 55:27.000]  Maybe they've got back room deals with the Russians
[55:27.000 --> 55:29.000]  and the Chinese and it's staged. I don't know.
[55:29.000 --> 55:31.000]  But this stuff can get out
[55:31.000 --> 55:33.000]  of hand, ladies and gentlemen.
[55:35.000 --> 55:37.000]  You can look up different
[55:37.000 --> 55:39.000]  transcripts and letters from British kings
[55:39.000 --> 55:41.000]  to Norman kings
[55:41.000 --> 55:43.000]  in France going back
[55:43.000 --> 55:45.000]  700 years ago where they say, I'm having
[55:45.000 --> 55:47.000]  uprisings, cousin.
[55:47.000 --> 55:49.000]  We need to have a war and staging
[55:49.000 --> 55:51.000]  a war against each other
[55:51.000 --> 55:53.000]  to kill off their own population.
[55:53.000 --> 55:55.000]  This has been going on forever
[55:55.000 --> 55:57.000]  and
[55:57.000 --> 55:59.000]  we better transcend it or we don't
[55:59.000 --> 56:01.000]  have any future. We're going to start the next
[56:01.000 --> 56:03.000]  hour, go to your phone calls, but
[56:03.000 --> 56:05.000]  they force the world into trying to
[56:05.000 --> 56:07.000]  leave the dollar
[56:07.000 --> 56:09.000]  as the private fellow reserve
[56:09.000 --> 56:11.000]  devalues the dollar
[56:11.000 --> 56:13.000]  and gets outside countries first.
[56:13.000 --> 56:15.000]  Then when Russia and others try to move away from the
[56:15.000 --> 56:17.000]  dollar, as they're under sanctions, they go
[56:17.000 --> 56:19.000]  uh-uh-uh because they want the dollar
[56:19.000 --> 56:21.000]  to die slowly,
[56:21.000 --> 56:23.000]  not have a competing economic system
[56:23.000 --> 56:25.000]  and then bring in the SDR
[56:25.000 --> 56:27.000]  IMF World Bank model.
[56:27.000 --> 56:29.000]  Joseph Stiklitz exposed that when the documents came
[56:29.000 --> 56:31.000]  out in 2002.
[56:31.000 --> 56:33.000]  So they want to kill the old
[56:33.000 --> 56:35.000]  unipolar financial system
[56:35.000 --> 56:37.000]  and bring in a new
[56:37.000 --> 56:39.000]  Europe
[56:39.000 --> 56:41.000]  unipolar
[56:41.000 --> 56:43.000]  or one.
[56:43.000 --> 56:45.000]  So let's continue here.
[56:45.000 --> 56:47.000]  This is what it's really all about
[56:47.000 --> 56:49.000]  is the BRICS summit
[56:49.000 --> 56:51.000]  happening right now in Brazil, the 6th
[56:51.000 --> 56:53.000]  BRICS summit
[56:53.000 --> 56:55.000]  in Brazil
[56:55.000 --> 56:57.000]  here's the headline AFP, BRICS
[56:57.000 --> 56:59.000]  Shake Up Global Economic
[56:59.000 --> 57:01.000]  Architecture, a system
[57:01.000 --> 57:03.000]  outside of the IMF and World Bank, the Federal Reserve
[57:03.000 --> 57:05.000]  is the
[57:05.000 --> 57:07.000]  US name of the European arm.
[57:07.000 --> 57:09.000]  Here's another one, OECD
[57:09.000 --> 57:11.000]  that's the Organization of Economic Cooperative Development
[57:11.000 --> 57:13.000]  that was the Marshall Plan emergency
[57:13.000 --> 57:15.000]  system they now want for the new European war
[57:15.000 --> 57:17.000]  fears middle-class civil unrest
[57:17.000 --> 57:19.000]  is coming, zero
[57:19.000 --> 57:21.000]  hedge preparing to suppress
[57:21.000 --> 57:23.000]  the population. See, they're not
[57:23.000 --> 57:25.000]  just going to hit Russia, they're not just going to destabilize
[57:25.000 --> 57:27.000]  the Middle East and put al-Qaeda and ISIS
[57:27.000 --> 57:29.000]  in charge, they're going to implode
[57:29.000 --> 57:31.000]  our borders, flood our borders
[57:31.000 --> 57:33.000]  and use that crisis to bring in civil emergency.
[57:33.000 --> 57:35.000]  You know it is Marshall law as well.
[57:35.000 --> 57:37.000]  Hydro
[57:37.000 --> 57:39.000]  Specter, the New World Order
[57:39.000 --> 57:41.000]  the private megabanks, the 6 megabanks
[57:41.000 --> 57:43.000]  are moving against humanity
[57:43.000 --> 57:45.000]  they've taken over our government
[57:45.000 --> 57:47.000]  they're like the V.C. French, second hour
[57:47.000 --> 58:07.000]  coming up, stay with us.
[58:47.000 --> 58:49.000]  From the water table
[58:49.000 --> 58:51.000]  to our soils
[58:51.000 --> 58:53.000]  to the atmosphere itself
[58:53.000 --> 58:55.000]  our world is becoming more and more toxic
[58:55.000 --> 58:57.000]  each and every day
[58:57.000 --> 58:59.000]  but it's not just the air outside that's toxic
[58:59.000 --> 59:01.000]  indoor air has been shown to have
[59:01.000 --> 59:03.000]  two to five times higher concentrations
[59:03.000 --> 59:05.000]  of pollutants than even outdoor air
[59:05.000 --> 59:07.000]  and most Americans spend 90% of their time
[59:07.000 --> 59:09.000]  inside using toxic chemicals
[59:09.000 --> 59:11.000]  within their homes. There are more than
[59:11.000 --> 59:13.000]  42 million smokers in the United States
[59:13.000 --> 59:15.000]  well over a thousand types of
[59:15.000 --> 59:17.000]  mold and mildew linked to numerous conditions
[59:17.000 --> 59:19.000]  and don't forget the fact that
[59:19.000 --> 59:21.000]  6 million Americans live with pets
[59:21.000 --> 59:23.000]  they're allergic to as well. When I began to research
[59:23.000 --> 59:25.000]  these statistics it was clear to me
[59:25.000 --> 59:27.000]  it was time to start cleansing my lungs
[59:27.000 --> 59:29.000]  in order to combat the toxic
[59:29.000 --> 59:31.000]  environment that we cannot escape
[59:31.000 --> 59:33.000]  but that we can fight back against. Made with organic
[59:33.000 --> 59:35.000]  and wild cultivated herbs
[59:35.000 --> 59:37.000]  and manufactured in the U.S.A.
[59:37.000 --> 59:39.000]  The new Info Wars live lung cleanse is here
[59:39.000 --> 59:41.000]  in a convenient spray bottle that can be brought
[59:41.000 --> 59:43.000]  with you throughout any toxic environment
[59:43.000 --> 59:45.000]  now available exclusively at InfoWarsLive.com
[59:45.000 --> 59:47.000]  or by calling toll-free
[59:47.000 --> 59:49.000]  888-253-3139
[59:51.000 --> 59:53.000]  Coast to coast
[59:53.000 --> 59:55.000]  direct from Austin
[59:55.000 --> 59:57.000]  you're listening to the Alex Jones
[59:57.000 --> 59:59.000]  Broadcasting Network
[01:00:02.000 --> 01:00:04.000]  From his Central Texas Command Center
[01:00:04.000 --> 01:00:06.000]  deep behind enemy lines
[01:00:06.000 --> 01:00:08.000]  the information war continues
[01:00:08.000 --> 01:00:10.000]  it's Alex Jones and
[01:00:10.000 --> 01:00:13.000]  the GCN Radio Network
[01:00:16.000 --> 01:00:17.000]  there's about 7
[01:00:17.000 --> 01:00:19.000]  billion 300 million people
[01:00:19.000 --> 01:00:22.000]  on this planet and I am the organic response
[01:00:22.000 --> 01:00:24.000]  you are the organic response
[01:00:24.000 --> 01:00:26.000]  to this tyranny
[01:00:26.000 --> 01:00:28.000]  I'm not just going to just be programmed by television
[01:00:28.000 --> 01:00:30.000]  and think I watch ESPN all day
[01:00:30.000 --> 01:00:32.000]  our own government funds Al Qaeda
[01:00:32.000 --> 01:00:34.000]  and ISIS worldwide and tries to start a war
[01:00:34.000 --> 01:00:36.000]  with Russia as they devalue the dollar
[01:00:37.000 --> 01:00:39.000]  I saw them coming at the Second Amendment
[01:00:39.000 --> 01:00:41.000]  taking farmers property
[01:00:41.000 --> 01:00:43.000]  that I knew outside Austin
[01:00:43.000 --> 01:00:45.000]  to turn it over to groups
[01:00:45.000 --> 01:00:47.000]  to then build on it later under the guise
[01:00:47.000 --> 01:00:49.000]  of environmentalism I got angry
[01:00:49.000 --> 01:00:51.000]  and I'd already studied so much history
[01:00:53.000 --> 01:00:55.000]  that I recognized
[01:00:55.000 --> 01:00:57.000]  exactly what it was when I saw it
[01:00:57.000 --> 01:00:59.000]  flaming totalitarian
[01:00:59.000 --> 01:01:01.000]  scientific
[01:01:01.000 --> 01:01:03.000]  anti-human garbage
[01:01:03.000 --> 01:01:05.000]  scientifically deployed
[01:01:05.000 --> 01:01:07.000]  and you can just see
[01:01:07.000 --> 01:01:09.000]  the total preparation
[01:01:09.000 --> 01:01:11.000]  for an authoritarianism
[01:01:11.000 --> 01:01:13.000]  as William Benny
[01:01:13.000 --> 01:01:15.000]  number four at the NSA blew the whistle
[01:01:15.000 --> 01:01:17.000]  just last Sunday
[01:01:17.000 --> 01:01:19.000]  in fact I want to reprint that article
[01:01:21.000 --> 01:01:23.000]  I'm doing a taped interview after I want to bring it up
[01:01:23.000 --> 01:01:25.000]  with the person that's going to be in there after the show with me
[01:01:25.000 --> 01:01:27.000]  for a taped interview
[01:01:27.000 --> 01:01:29.000]  very interesting talk we're going to have
[01:01:29.000 --> 01:01:31.000]  I'm not going to announce it until later
[01:01:31.000 --> 01:01:33.000]  but
[01:01:33.000 --> 01:01:35.000]  he said no it's a total plan for total social control
[01:01:35.000 --> 01:01:37.000]  for total totalitarianism
[01:01:37.000 --> 01:01:39.000]  total domination
[01:01:39.000 --> 01:01:41.000]  I kept using the word total
[01:01:41.000 --> 01:01:43.000]  total population control
[01:01:43.000 --> 01:01:45.000]  totalitarian mentality
[01:01:47.000 --> 01:01:49.000]  I mean
[01:01:49.000 --> 01:01:51.000]  look bad guys are in control
[01:01:53.000 --> 01:01:55.000]  and they always want world domination
[01:01:55.000 --> 01:01:57.000]  don't they they always
[01:01:57.000 --> 01:01:59.000]  they're going to make it this time why they've got the NSA
[01:01:59.000 --> 01:02:01.000]  they've got the predator drones
[01:02:01.000 --> 01:02:03.000]  they've got the social engineering
[01:02:03.000 --> 01:02:05.000]  they've got ESPN
[01:02:05.000 --> 01:02:07.000]  I want to go to your phone calls right now
[01:02:07.000 --> 01:02:09.000]  Margaret, Anonymous, David
[01:02:09.000 --> 01:02:11.000]  Brian, Richard, Joseph, Zach
[01:02:11.000 --> 01:02:13.000]  Matt, Bruce, Bob we're going to all of you
[01:02:13.000 --> 01:02:15.000]  Margaret you're the first caller today
[01:02:15.000 --> 01:02:17.000]  from North Dakota
[01:02:17.000 --> 01:02:19.000]  welcome to the airwaves
[01:02:19.000 --> 01:02:21.000]  hi Alex
[01:02:21.000 --> 01:02:23.000]  I wanted to talk
[01:02:23.000 --> 01:02:25.000]  about everything that's going on
[01:02:25.000 --> 01:02:27.000]  in Russia
[01:02:27.000 --> 01:02:29.000]  and
[01:02:29.000 --> 01:02:31.000]  my brother is married
[01:02:31.000 --> 01:02:33.000]  to a
[01:02:33.000 --> 01:02:35.000]  lady from Ukraine
[01:02:35.000 --> 01:02:37.000]  and her family
[01:02:37.000 --> 01:02:39.000]  her family's all still back there
[01:02:39.000 --> 01:02:41.000]  and
[01:02:41.000 --> 01:02:43.000]  I agree with you about a lot of things
[01:02:43.000 --> 01:02:45.000]  but I know a lot about
[01:02:45.000 --> 01:02:47.000]  what's going on in the ground in Ukraine
[01:02:47.000 --> 01:02:49.000]  and
[01:02:49.000 --> 01:02:51.000]  the people that rose up
[01:02:51.000 --> 01:02:53.000]  when this all first started
[01:02:53.000 --> 01:02:55.000]  they rose up
[01:02:55.000 --> 01:02:57.000]  to get rid of
[01:02:57.000 --> 01:02:59.000]  the coronavirus
[01:02:59.000 --> 01:03:01.000]  because
[01:03:01.000 --> 01:03:03.000]  he was one of them people
[01:03:03.000 --> 01:03:05.000]  that was stealing
[01:03:05.000 --> 01:03:07.000]  money at people's bank accounts
[01:03:07.000 --> 01:03:09.000]  he was also
[01:03:09.000 --> 01:03:11.000]  pushing them
[01:03:11.000 --> 01:03:13.000]  towards Russia rule
[01:03:13.000 --> 01:03:15.000]  and they wanted
[01:03:15.000 --> 01:03:17.000]  freedom, they wanted what
[01:03:17.000 --> 01:03:19.000]  ma'am I try to
[01:03:19.000 --> 01:03:21.000]  get that the issue is George Soros
[01:03:21.000 --> 01:03:23.000]  is capitalizing
[01:03:23.000 --> 01:03:25.000]  I know all the different parties involved
[01:03:25.000 --> 01:03:27.000]  the West
[01:03:27.000 --> 01:03:29.000]  sees themselves as Europeans
[01:03:29.000 --> 01:03:31.000]  Western Ukraine, mainly Catholic
[01:03:31.000 --> 01:03:33.000]  they were pro-Nazi
[01:03:33.000 --> 01:03:35.000]  they're bad people today
[01:03:35.000 --> 01:03:37.000]  but they were allies of the Nazis
[01:03:37.000 --> 01:03:39.000]  the East is mainly Russians
[01:03:39.000 --> 01:03:41.000]  and historically has been part of Russia
[01:03:41.000 --> 01:03:43.000]  and so both sides have bad past
[01:03:43.000 --> 01:03:45.000]  one of them is Stalinist
[01:03:45.000 --> 01:03:47.000]  the other is Hitlerian
[01:03:47.000 --> 01:03:49.000]  and the State Department
[01:03:49.000 --> 01:03:51.000]  spent $5 billion
[01:03:51.000 --> 01:03:53.000]  I can play the State Department
[01:03:53.000 --> 01:03:55.000]  a few months ago
[01:03:55.000 --> 01:03:57.000]  saying they spent $5 billion
[01:03:57.000 --> 01:03:59.000]  to destabilize Ukraine
[01:03:59.000 --> 01:04:01.000]  so I'm not saying there's not real beefs here
[01:04:01.000 --> 01:04:03.000]  the issue is
[01:04:03.000 --> 01:04:05.000]  it's part of a larger destabilization
[01:04:05.000 --> 01:04:07.000]  program of the entire world
[01:04:07.000 --> 01:04:09.000]  do you see what I'm saying?
[01:04:09.000 --> 01:04:11.000]  I've also heard that
[01:04:11.000 --> 01:04:13.000]  the Ukrainian
[01:04:13.000 --> 01:04:15.000]  military
[01:04:15.000 --> 01:04:17.000]  is the one going over the border
[01:04:17.000 --> 01:04:19.000]  into Russia
[01:04:19.000 --> 01:04:21.000]  and that's not true
[01:04:21.000 --> 01:04:23.000]  it's the Russian military
[01:04:23.000 --> 01:04:25.000]  from the very beginning
[01:04:25.000 --> 01:04:27.000]  has been coming over into Ukraine
[01:04:27.000 --> 01:04:29.000]  well wait a minute
[01:04:29.000 --> 01:04:31.000]  the Russians did grab their military base
[01:04:31.000 --> 01:04:33.000]  their gas lines
[01:04:33.000 --> 01:04:35.000]  and any government would do that
[01:04:35.000 --> 01:04:37.000]  it's only Crimea though
[01:04:37.000 --> 01:04:39.000]  but we've seen the Ukraine
[01:04:39.000 --> 01:04:41.000]  shelling into Russia
[01:04:41.000 --> 01:04:43.000]  so what I'm explaining man is
[01:04:43.000 --> 01:04:45.000]  it's different perspectives here
[01:04:45.000 --> 01:04:47.000]  but the globalists are behind it
[01:04:47.000 --> 01:04:49.000]  exacerbating it
[01:04:49.000 --> 01:04:51.000]  I don't like two roosters
[01:04:51.000 --> 01:04:53.000]  I know the two roosters don't like each other
[01:04:53.000 --> 01:04:55.000]  I get that
[01:04:55.000 --> 01:04:57.000]  but there's a ring with a rooster handler
[01:04:57.000 --> 01:04:59.000]  that's who I'm talking about
[01:04:59.000 --> 01:05:01.000]  see who's running the show
[01:05:01.000 --> 01:05:03.000]  city of Austin tap water
[01:05:03.000 --> 01:05:05.000]  versus filtered city of Austin tap water
[01:05:05.000 --> 01:05:07.000]  I can taste dirt in it
[01:05:07.000 --> 01:05:09.000]  God knows what's in there
[01:05:09.000 --> 01:05:11.000]  these people just sampled city of Austin tap water
[01:05:11.000 --> 01:05:13.000]  straight from the faucet
[01:05:13.000 --> 01:05:15.000]  next we had them try a sample of tap water
[01:05:15.000 --> 01:05:17.000]  filtered with a propure G2.0 filtration system
[01:05:17.000 --> 01:05:19.000]  tastes like nothing
[01:05:19.000 --> 01:05:21.000]  I know what good water tastes like
[01:05:21.000 --> 01:05:23.000]  most tap water contains added substances
[01:05:23.000 --> 01:05:25.000]  like fluoride, chlorine, glyphosate
[01:05:25.000 --> 01:05:27.000]  and many others
[01:05:27.000 --> 01:05:29.000]  studies prove that these substances are linked
[01:05:29.000 --> 01:05:31.000]  to an assortment of major health issues
[01:05:31.000 --> 01:05:33.000]  including tooth decay, lower IQ and even cancer
[01:05:33.000 --> 01:05:35.000]  it tastes like you're drinking out of the lake
[01:05:35.000 --> 01:05:37.000]  when you're in tap water
[01:05:37.000 --> 01:05:39.000]  the propure G2.0 filtration system
[01:05:39.000 --> 01:05:41.000]  removes these deadly substances
[01:05:41.000 --> 01:05:43.000]  leaving only fresh tasting
[01:05:43.000 --> 01:05:45.000]  deliciously clean water
[01:05:45.000 --> 01:05:47.000]  very tasty
[01:05:47.000 --> 01:05:49.000]  it's good water, refreshing
[01:05:49.000 --> 01:05:51.000]  it's good
[01:05:51.000 --> 01:05:53.000]  go to infowarsstore.com today
[01:05:53.000 --> 01:05:55.000]  use promo code water and save 10%
[01:05:55.000 --> 01:05:57.000]  off your propure purchase
[01:05:57.000 --> 01:06:25.000]  3 3 1 3 9
[01:06:25.000 --> 01:06:27.000]  1
[01:06:27.000 --> 01:06:29.000]  1
[01:06:29.000 --> 01:06:31.000]  1
[01:06:31.000 --> 01:06:33.000]  1
[01:06:33.000 --> 01:06:35.000]  1
[01:06:35.000 --> 01:06:37.000]  1
[01:06:37.000 --> 01:06:39.000]  1
[01:06:39.000 --> 01:06:41.000]  1
[01:06:41.000 --> 01:06:43.000]  1
[01:06:43.000 --> 01:06:45.000]  1
[01:06:45.000 --> 01:06:47.000]  1
[01:06:47.000 --> 01:06:49.000]  1
[01:06:49.000 --> 01:06:51.000]  1
[01:06:51.000 --> 01:06:53.000]  1
[01:06:53.000 --> 01:06:55.000]  1
[01:06:55.000 --> 01:06:57.000]  1
[01:06:57.000 --> 01:06:59.000]  1
[01:06:59.000 --> 01:07:01.000]  1
[01:07:01.000 --> 01:07:03.000]  1
[01:07:03.000 --> 01:07:05.000]  1
[01:07:05.000 --> 01:07:07.000]  1
[01:07:07.000 --> 01:07:09.000]  1
[01:07:09.000 --> 01:07:11.000]  1
[01:07:11.000 --> 01:07:13.000]  1
[01:07:13.000 --> 01:07:15.000]  1
[01:07:15.000 --> 01:07:17.000]  1
[01:07:17.000 --> 01:07:19.000]  1
[01:07:19.000 --> 01:07:21.000]  1
[01:07:21.000 --> 01:07:23.000]  1
[01:07:23.000 --> 01:07:25.000]  1
[01:07:25.000 --> 01:07:27.000]  1
[01:07:27.000 --> 01:07:29.000]  1
[01:07:29.000 --> 01:07:31.000]  1
[01:07:31.000 --> 01:07:33.000]  1
[01:07:33.000 --> 01:07:35.000]  1
[01:07:35.000 --> 01:07:37.000]  1
[01:07:37.000 --> 01:07:39.000]  1
[01:07:39.000 --> 01:07:41.000]  1
[01:07:41.000 --> 01:07:43.000]  1
[01:07:43.000 --> 01:07:45.000]  1
[01:07:45.000 --> 01:07:47.000]  1
[01:07:47.000 --> 01:07:49.000]  1
[01:07:49.000 --> 01:07:51.000]  1
[01:07:51.000 --> 01:07:53.000]  1
[01:07:53.000 --> 01:07:55.000]  1
[01:07:55.000 --> 01:07:57.000]  1
[01:07:57.000 --> 01:07:59.000]  1
[01:07:59.000 --> 01:08:01.000]  1
[01:08:01.000 --> 01:08:03.000]  1
[01:08:03.000 --> 01:08:05.000]  1
[01:08:05.000 --> 01:08:07.000]  1
[01:08:07.000 --> 01:08:09.000]  1
[01:08:09.000 --> 01:08:11.000]  1
[01:08:11.000 --> 01:08:13.000]  1
[01:08:13.000 --> 01:08:15.000]  1
[01:08:15.000 --> 01:08:17.000]  1
[01:08:17.000 --> 01:08:19.000]  1
[01:08:19.000 --> 01:08:21.000]  1
[01:08:21.000 --> 01:08:23.000]  1
[01:08:23.000 --> 01:08:25.000]  1
[01:08:25.000 --> 01:08:27.000]  1
[01:08:27.000 --> 01:08:29.000]  1
[01:08:29.000 --> 01:08:31.000]  1
[01:08:31.000 --> 01:08:33.000]  1
[01:08:33.000 --> 01:08:35.000]  1
[01:08:35.000 --> 01:08:37.000]  1
[01:08:37.000 --> 01:08:39.000]  1
[01:08:39.000 --> 01:08:41.000]  1
[01:08:41.000 --> 01:08:43.000]  1
[01:08:43.000 --> 01:08:45.000]  1
[01:08:45.000 --> 01:08:47.000]  1
[01:08:47.000 --> 01:08:49.000]  1
[01:08:49.000 --> 01:08:51.000]  1
[01:08:51.000 --> 01:08:53.000]  1
[01:08:53.000 --> 01:08:55.000]  1
[01:08:55.000 --> 01:08:57.000]  1
[01:08:57.000 --> 01:08:59.000]  1
[01:08:59.000 --> 01:09:01.000]  1
[01:09:01.000 --> 01:09:03.000]  1
[01:09:03.000 --> 01:09:05.000]  1
[01:09:05.000 --> 01:09:07.000]  1
[01:09:07.000 --> 01:09:09.000]  1
[01:09:09.000 --> 01:09:11.000]  1
[01:09:11.000 --> 01:09:13.000]  1
[01:09:13.000 --> 01:09:15.000]  1
[01:09:15.000 --> 01:09:17.000]  1
[01:09:17.000 --> 01:09:19.000]  1
[01:09:19.000 --> 01:09:21.000]  1
[01:09:21.000 --> 01:09:23.000]  1
[01:09:23.000 --> 01:09:25.000]  1
[01:09:25.000 --> 01:09:27.000]  1
[01:09:27.000 --> 01:09:29.000]  1
[01:09:29.000 --> 01:09:31.000]  1
[01:09:31.000 --> 01:09:33.000]  1
[01:09:33.000 --> 01:09:35.000]  1
[01:09:35.000 --> 01:09:37.000]  1
[01:09:37.000 --> 01:09:39.000]  1
[01:09:39.000 --> 01:09:41.000]  1
[01:09:41.000 --> 01:09:43.000]  1
[01:09:43.000 --> 01:09:45.000]  1
[01:09:45.000 --> 01:09:47.000]  1
[01:09:47.000 --> 01:09:49.000]  1
[01:09:49.000 --> 01:09:51.000]  1
[01:09:51.000 --> 01:09:53.000]  1
[01:09:53.000 --> 01:09:55.000]  1
[01:09:55.000 --> 01:09:57.000]  1
[01:09:57.000 --> 01:09:59.000]  1
[01:09:59.000 --> 01:10:01.000]  1
[01:10:01.000 --> 01:10:03.000]  1
[01:10:03.000 --> 01:10:05.000]  1
[01:10:05.000 --> 01:10:07.000]  1
[01:10:07.000 --> 01:10:09.000]  1
[01:10:09.000 --> 01:10:11.000]  1
[01:10:11.000 --> 01:10:13.000]  1
[01:10:13.000 --> 01:10:15.000]  1
[01:10:15.000 --> 01:10:17.000]  1
[01:10:17.000 --> 01:10:19.000]  1
[01:10:19.000 --> 01:10:21.000]  1
[01:10:21.000 --> 01:10:23.000]  1
[01:10:23.000 --> 01:10:25.000]  1
[01:10:25.000 --> 01:10:27.000]  1
[01:10:27.000 --> 01:10:29.000]  1
[01:10:29.000 --> 01:10:31.000]  1
[01:10:31.000 --> 01:10:33.000]  1
[01:10:33.000 --> 01:10:35.000]  1
[01:10:35.000 --> 01:10:37.000]  1
[01:10:37.000 --> 01:10:39.000]  1
[01:10:39.000 --> 01:10:41.000]  1
[01:10:41.000 --> 01:10:43.000]  1
[01:10:43.000 --> 01:10:45.000]  1
[01:10:45.000 --> 01:10:47.000]  1
[01:10:47.000 --> 01:10:49.000]  1
[01:10:49.000 --> 01:10:51.000]  1
[01:10:51.000 --> 01:10:53.000]  1
[01:10:53.000 --> 01:10:55.000]  1
[01:10:55.000 --> 01:10:57.000]  1
[01:10:57.000 --> 01:10:59.000]  1
[01:10:59.000 --> 01:11:01.000]  1
[01:11:01.000 --> 01:11:03.000]  1
[01:11:03.000 --> 01:11:05.000]  1
[01:11:07.000 --> 01:11:09.000]  1
[01:11:09.000 --> 01:11:11.000]  1
[01:11:11.000 --> 01:11:13.000]  1
[01:11:13.000 --> 01:11:15.000]  1
[01:11:15.000 --> 01:11:17.000]  1
[01:11:17.000 --> 01:11:19.000]  1
[01:11:19.000 --> 01:11:21.000]  1
[01:11:21.000 --> 01:11:23.000]  1
[01:11:23.000 --> 01:11:25.000]  1
[01:11:25.000 --> 01:11:27.000]  1
[01:11:27.000 --> 01:11:29.000]  1
[01:11:29.000 --> 01:11:31.000]  1
[01:11:31.000 --> 01:11:33.000]  1
[01:11:33.000 --> 01:11:35.000]  1
[01:11:35.000 --> 01:11:37.000]  1
[01:11:37.000 --> 01:11:39.000]  1
[01:11:39.000 --> 01:11:41.000]  1
[01:11:41.000 --> 01:11:43.000]  1
[01:11:43.000 --> 01:11:45.000]  1
[01:11:45.000 --> 01:11:47.000]  1
[01:11:47.000 --> 01:11:49.000]  1
[01:11:49.000 --> 01:11:51.000]  1
[01:11:51.000 --> 01:11:53.000]  1
[01:11:53.000 --> 01:11:55.000]  1
[01:11:55.000 --> 01:11:57.000]  1
[01:11:57.000 --> 01:11:59.000]  1
