[00:00.000 --> 00:18.480]  Today, that's 1-800-426-6186.
[52:56.120 --> 52:58.120]  Go ahead, evil caller.
[52:58.120 --> 53:00.120]  Okay.
[53:00.120 --> 53:02.120]  Be strong in the Lord and his mighty power.
[53:02.120 --> 53:06.120]  Put on the full armor of God for you to stand against the devil's schemes.
[53:06.120 --> 53:09.120]  For our power is not against flesh and blood,
[53:09.120 --> 53:13.120]  but against the rulers, against authorities, against the powers of this dark world,
[53:13.120 --> 53:16.120]  and against the spiritual forces of evil and heavenly realms.
[53:16.120 --> 53:21.120]  Therefore, put on the full armor of God so that when the day of evil comes,
[53:21.120 --> 53:27.120]  you may be able to stand your ground after what you have done everything.
[53:27.120 --> 53:29.120]  Day of evil? I'm going to be raptured.
[53:29.120 --> 53:31.120]  I don't have to fight evil.
[53:31.120 --> 53:35.120]  Of course, there's nowhere in the Bible that there'll be a pre-rapture, but so what?
[53:35.120 --> 53:39.120]  I'm supposed to lay down. Stop reading that Bible. It's evil.
[53:39.120 --> 53:42.120]  The churches say that we should bow down to the leaders of the world.
[53:42.120 --> 53:45.120]  Continue, heretic.
[53:45.120 --> 53:49.120]  Stand firm then with the belt of truth buckled around your waist.
[53:49.120 --> 53:52.120]  Breast faith of righteousness.
[53:52.120 --> 53:57.120]  Stand with your feet fitted with the readiness that comes with the gospel of peace.
[53:57.120 --> 54:04.120]  Take up the shield of faith and extinguish all flaming arrows of the evil ones.
[54:04.120 --> 54:10.120]  Take the helmet of salvation and the spirit which is the word of God.
[54:10.120 --> 54:15.120]  No, no, don't do it. Romans 13, submit to the government.
[54:15.120 --> 54:19.120]  Do what they say. Don't listen to Matt.
[54:19.120 --> 54:22.120]  And the devil, and this is Luke 4 verses 5.
[54:22.120 --> 54:24.120]  Oh, not another one.
[54:24.120 --> 54:25.120]  Go ahead.
[54:25.120 --> 54:30.120]  The devil led him up to a high place and showed him in an instant all the kingdoms of the world.
[54:30.120 --> 54:37.120]  And he said to him, I will give you all the authority and splendor for it has been given to me
[54:37.120 --> 54:40.120]  and I can give it to anyone who I want.
[54:40.120 --> 54:46.120]  So if you worship me, it shall all be yours.
[54:46.120 --> 54:49.120]  Why not turn this bread into stones into bread?
[54:49.120 --> 54:53.120]  Why not jump off and have the angels lift you up?
[54:53.120 --> 54:56.120]  Do not tempt the Lord that God get behind me, Satan.
[54:56.120 --> 54:59.120]  But see, according to Romans 13, misinterpretation, he should have hit his knees
[54:59.120 --> 55:02.120]  and said all government is by the authority of God.
[55:02.120 --> 55:05.120]  Hence, he should have hit his knees and Jesus should have held Satan.
[55:05.120 --> 55:09.120]  But see, that's how blasphemous Romans 13 is if you're a Christian.
[55:09.120 --> 55:12.120]  But even if you're not a Christian, folks, just a sociologist,
[55:12.120 --> 55:16.120]  you understand that all the major churches of the world are now under government finance,
[55:16.120 --> 55:21.120]  government payoffs, or government 501c3 status,
[55:21.120 --> 55:26.120]  and they literally get up there and spew under the clergy response teams,
[55:26.120 --> 55:29.120]  pure government propaganda when the First Amendment says
[55:29.120 --> 55:33.120]  Congress shall make no law respecting an establishment of religion
[55:33.120 --> 55:35.120]  or prohibiting the free exercise thereof.
[55:35.120 --> 55:40.120]  We were the first country to say the government isn't going to run religion,
[55:40.120 --> 55:42.120]  which is exactly what Jesus said.
[55:42.120 --> 55:44.120]  So they twist all of this.
[55:44.120 --> 55:47.120]  I appreciate your call. It's good to hear from you, my friend.
[55:47.120 --> 55:49.120]  And of course, I'm being sarcastic through all of that.
[55:49.120 --> 55:52.120]  I mean, to say that we should go along with whatever government says
[55:52.120 --> 55:56.120]  is a giant, stinking lie.
[55:56.120 --> 55:58.120]  Look at the Christians in Rome and the Colosseum.
[55:58.120 --> 56:01.120]  Look at all the prophets being killed or imprisoned.
[56:01.120 --> 56:03.120]  Look at Jesus.
[56:03.120 --> 56:06.120]  But again, the salt of the earth Christians are supposed to be involved.
[56:06.120 --> 56:10.120]  You know, the government said slavery was the law in 1800,
[56:10.120 --> 56:13.120]  and Christians with the abolitionists wouldn't go along with it,
[56:13.120 --> 56:16.120]  and they broke the law to save blacks and others.
[56:16.120 --> 56:20.120]  They broke the law, you know, when it was illegal to protect slaves,
[56:20.120 --> 56:22.120]  and they went and said, no to the government.
[56:22.120 --> 56:24.120]  We're going to change this, but not according to Romans 13.
[56:24.120 --> 56:27.120]  We should still have blacks pulling plows out there right now.
[56:27.120 --> 56:30.120]  This is how sick you are to go to these devil churches.
[56:30.120 --> 56:35.120]  With their big mollusks, steeples in there, and their fallacies to, you know,
[56:35.120 --> 56:37.120]  to the sun out there.
[56:37.120 --> 56:39.120]  Just go worship your son.
[56:39.120 --> 56:41.120]  Your 666.
[56:41.120 --> 56:44.120]  Look, he with understanding, let him reckon the number.
[56:44.120 --> 56:45.120]  Captain Cook.
[56:45.120 --> 56:53.120]  Captain Cook, did you, did you sail and discover the botany bay there, Captain?
[56:53.120 --> 56:56.120]  You're on the air, sir. Go ahead.
[56:56.120 --> 56:58.120]  Actually, sir, that's Captain Cook,
[56:58.120 --> 57:00.120]  an American politically incorrect superhero,
[57:00.120 --> 57:06.120]  and a fight in the New World odor since 1989.
[57:06.120 --> 57:09.120]  And I just wanted to say that, you know, Archie Bunker,
[57:09.120 --> 57:12.120]  being portrayed as a bad guy when early he's the good guy,
[57:12.120 --> 57:16.120]  is just a small sample of the cancer that started back in the 70s,
[57:16.120 --> 57:19.120]  and this worked its way up to being a big cancer.
[57:19.120 --> 57:23.120]  No, the government's good. Oh, please.
[57:23.120 --> 57:25.120]  Sir, you want to be damned to hell?
[57:25.120 --> 57:28.120]  You better worship government, boy, you'll lose your salvation.
[57:28.120 --> 57:31.120]  I know, I'm al-Qaeda. You know what can I say?
[57:31.120 --> 57:35.120]  I don't, I think the government's a bunch of rogue criminals.
[57:35.120 --> 57:39.120]  Oh, no, don't say it.
[57:39.120 --> 57:41.120]  I'm sorry, go ahead.
[57:41.120 --> 57:44.120]  No, it's okay. No, I think the government's a bunch of rogue criminals.
[57:44.120 --> 57:46.120]  No, I don't think it. Alex, I know it.
[57:46.120 --> 57:51.120]  I think what we call television nowadays is a great waste of time.
[57:51.120 --> 57:53.120]  No, it's good for your brain.
[57:53.120 --> 57:58.120]  Don't Google television, television Alzheimer's with all the thousands of studies
[57:58.120 --> 58:01.120]  that it literally rots your brain. It's good. Watch more.
[58:01.120 --> 58:04.120]  Drink more fluoride water. Take more flu shots.
[58:04.120 --> 58:07.120]  No, no, Captain Cook, you are a cook.
[58:07.120 --> 58:13.120]  Turn your firearms in. The founding fathers were against firearms.
[58:13.120 --> 58:17.120]  Anything else, Captain Crunch, or Cook, or whatever your name is?
[58:17.120 --> 58:19.120]  Cook, uh, what do you call him?
[58:19.120 --> 58:23.120]  Great superhero. Well, your phone's cutting out, Captain Cook.
[58:23.120 --> 58:52.120]  We'll be right back.
[58:53.120 --> 58:57.120]  We, the people, grow cotton, weave fabric, engrave ink, embed strips and fibers
[58:57.120 --> 59:01.120]  to protect from counterfeit and carting to a private bank, having it led back at interest,
[59:01.120 --> 59:03.120]  forcing taxes to serve as debt.
[59:03.120 --> 59:06.120]  This capitalism, or was Jefferson correct when stating a central bank
[59:06.120 --> 59:10.120]  issuing the public currency as a greater menace to the liberties of the people than a standing army?
[59:10.120 --> 59:14.120]  Hi, Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[59:14.120 --> 59:17.120]  Call for your copy, 800-686-2237.
[59:17.120 --> 59:24.120]  It's time to understand the system. Call 800-686-2237. That's 800-686-2237.
[59:24.120 --> 59:29.120]  Here we go.
[59:29.120 --> 59:34.120]  Have you ever noticed that celebrities are endorsing weight loss products and health aids?
[59:34.120 --> 59:37.120]  Do you think they endorse these products for free?
[59:37.120 --> 59:43.120]  I don't think so. I'm here to tell you, I'm not a celebrity, and life change tea doesn't need one.
[59:43.120 --> 59:48.120]  Think about this. The product speaks for itself. What a concept!
[59:48.120 --> 59:52.120]  Our product works. You get healthy, and you'll lose weight.
[59:52.120 --> 59:56.120]  Summer's coming. Look and feel good. Order now.
[59:56.120 --> 1:00:00.120]  928-308-0408.
[1:00:00.120 --> 1:00:04.120]  Write this down. 928-308-0408.
[1:00:04.120 --> 1:00:08.120]  Or you can order online. It's easy. Getthetea.com.
[1:00:08.120 --> 1:00:13.120]  That's getthetea.com. You have nothing to lose.
[1:00:13.120 --> 1:00:19.120]  But the excess around your... anyway, life change tea. It speaks for itself.
[1:00:19.120 --> 1:00:23.120]  That's getthetea.com.
[1:00:23.120 --> 1:00:27.120]  And the city of San Marcos implements new rules.
[1:00:27.120 --> 1:00:32.120]  This is the GCN Radio Network. Home to hard-hitting talk radio.
[1:00:32.120 --> 1:00:36.120]  Radio 590-KLBJ Austin.
[1:00:36.120 --> 1:00:40.120]  Fox News Radio. I'm Ron Flatter.
[1:00:40.120 --> 1:00:44.120]  Pomp and Circumstance. Caps and gowns. Protests and arrests.
[1:00:44.120 --> 1:00:50.120]  The scene at the University of Notre Dame today where President Obama became a lightning rod just for being there.
[1:00:50.120 --> 1:00:54.120]  The Bones of Contention. Abortion and stem cell research.
[1:00:54.120 --> 1:00:58.120]  We get this live report from South Bend, Indiana. Fox News Radio's Jennifer Kuiper.
[1:00:58.120 --> 1:01:03.120]  Ron, the president jokes about one controversial issue. Honorary degrees saying he's only one for two as president.
[1:01:03.120 --> 1:01:06.120]  But a more serious tone on the subject of abortion.
[1:01:06.120 --> 1:01:15.120]  When we open up our hearts and our minds to those who may not think precisely like we do or believe precisely what we believe.
[1:01:15.120 --> 1:01:19.120]  That's when we discover at least the possibility of common ground.
[1:01:19.120 --> 1:01:26.120]  He also mentioned embryonic stem cell research. Some non-student hecklers in the crowd were quickly escorted out of the Joyce Center arena.
[1:01:26.120 --> 1:01:30.120]  A couple dozen protesters have been arrested on campus for trespassing. Ron?
[1:01:30.120 --> 1:01:36.120]  A call for President Obama to reconsider his plans to close the prison at Guantanamo Bay, Cuba.
[1:01:36.120 --> 1:01:40.120]  Especially if it means moving terrorist suspects where they're not wanted.
[1:01:40.120 --> 1:01:45.120]  It's been a position stated by some in the administration that there's no problem in incarcerating terrorists here.
[1:01:45.120 --> 1:01:51.120]  It is a problem. It makes whatever town that has the terrorist a potential target for terrorists.
[1:01:51.120 --> 1:01:54.120]  Senate Minority Leader Mitch McConnell on Fox News Sunday.
[1:01:54.120 --> 1:01:59.120]  Democratic Congressman Peter King of New York concedes the shutdown of Guantanamo should at least wait.
[1:01:59.120 --> 1:02:02.120]  There's going to be other cases. I don't even know if the tribunals are working.
[1:02:02.120 --> 1:02:09.120]  That's why the reports coming out of the administration, there could be up to 50 of these detainees who are very violent, very dangerous,
[1:02:09.120 --> 1:02:14.120]  but there may not be enough evidence and the government may be looking for a form of preventive detention.
[1:02:14.120 --> 1:02:22.120]  King today on CBS's Face the Nation, Attorney General Eric Holder last week said dangerous prisoners would not be released in the United States.
[1:02:22.120 --> 1:02:31.120]  The price of gasoline rising 25 cents a gallon the past three weeks. The Lundberg survey saying unleaded averaging 230 a gallon nationwide.
[1:02:31.120 --> 1:02:34.120]  You're listening to Fox News Radio, fair and balanced.
[1:02:37.120 --> 1:02:43.120]  News Radio 590 KLBJ, it's 502. I'm Sarah Hutterberg, topping Austin's news.
[1:02:43.120 --> 1:02:53.120]  Austin Police Chief Art Acevedo tells East Austin residents during a community meeting that the department continues to investigate Monday's police-involved fatal shooting of an 18-year-old.
[1:02:53.120 --> 1:03:01.120]  Officer Lenny Contano was the shooter in the incident, saying the two men, Nathaniel Saunders and Sir Smith, made threatening moves toward him.
[1:03:01.120 --> 1:03:10.120]  However, he did not turn on his dashcam video at the scene. Chief Acevedo says he is taking that into consideration during the ongoing investigation.
[1:03:10.120 --> 1:03:18.120]  Maybe he screwed up completely. Maybe he didn't. I can tell you that he screwed up with that camera. I wasn't on and I got a problem with that.
[1:03:18.120 --> 1:03:24.120]  Chief Acevedo says the investigation will take between 60 to 90 days. Emily Trubb News Radio 590 KLBJ.
[1:03:24.120 --> 1:03:29.120]  The city of San Marcos is implementing new rules for noise in their city's neighborhoods.
[1:03:29.120 --> 1:03:35.120]  Assistant Police Chief Lisa Dvorak says the new rules are a response to 2,700 noise complaints last year.
[1:03:35.120 --> 1:03:46.120]  You're going to have a gathering. There are things that you can do to keep the noise down and still have a really great time and have your friends over and enjoy being able to socialize and have people at your house.
[1:03:46.120 --> 1:03:54.120]  Dvorak says the new rules allow officers to use their judgment about whether the level of noise at neighborhood parties or gatherings is excessive.
[1:03:54.120 --> 1:04:00.120]  Some federal tax hikes under consideration are raising the ire of the Chairman of the Texas Workforce Commission.
[1:04:00.120 --> 1:04:06.120]  Tom Pawkin is calling the proposed tax hikes on the U.S. energy industry a job killer for Texas.
[1:04:06.120 --> 1:04:19.120]  More than 100,000 Texans are currently employed in energy-related fields as oil and gas extraction, petroleum and coal products manufacturing, along with pipeline transportation.
[1:04:19.120 --> 1:04:27.120]  Pawkin says the energy industry can help lead Texas out of the economic recession, but not if taxes are raised that push those employers out of business.
[1:04:27.120 --> 1:04:30.120]  Diane Hodgeson is Radio 590 KLBJ.
[1:04:30.120 --> 1:04:38.120]  The KLBJ radar weather watch calls for lows dropping to 54 tonight. Right now, 75 degrees. I'm Sarah Hudaberg.
[1:04:38.120 --> 1:04:40.120]  KLBJ news time is 504.
[1:04:40.120 --> 1:04:45.120]  Through the rest of the day, we'll continue with clouds and 77 tonight clear, 54.
[1:04:45.120 --> 1:04:58.120]  Belly up to the bar and let's talk. Jeff Ward, three to seven on News Radio 590 KLBJ.
[1:04:58.120 --> 1:05:06.120]  Do you trust electronic payments? If not, you should. For years, writing checks was considered the safest way to send and receive payments.
[1:05:06.120 --> 1:05:20.120]  But every check you write has your name, address and account number printed right on it. With an average of eight people touching your checks during the clearing process and identity theft on the rise, it's time to reconsider the way you pay and get paid.
[1:05:20.120 --> 1:05:30.120]  Direct deposit and direct payment are safe and reliable. Payments are made automatically on a predetermined date and flow through a secure encrypted network and they're environmentally friendly too.
[1:05:30.120 --> 1:05:34.120]  Ask for direct deposit at work if it's not currently offered.
[1:05:34.120 --> 1:05:46.120]  HempUSA.org is now offering free shipping worldwide to better serve our customers. Our goal is to get these fine hemp products to you in the least amount of time so you can enjoy what the powder seeds and oil can do for you.
[1:05:46.120 --> 1:05:55.120]  HempUSA.org has a warning that the U.S. food supplies are dangerously low and we urge you to protect your family with hemp-storable foods today. Tomorrow may be too late.
[1:05:55.120 --> 1:06:04.120]  Call 908-6912608 or visit hempUSA.org. This incredible food source is loaded with enzymes so your body can digest the food you eat.
[1:06:04.120 --> 1:06:12.120]  And it creates an alkaline environment where cancer can't grow and parasites cannot live and brings funguses, viruses and bacterial levels down into a halt.
[1:06:12.120 --> 1:06:18.120]  Try our powder seeds and oil today. Call 908-6912608 or visit hempUSA.org.
[1:06:18.120 --> 1:06:25.120]  If the body has the proper nutrition it will heal itself. Ask yourself, why does our government not allow this crop to grow in the U.S.?
[1:06:25.120 --> 1:06:33.120]  This product is also great for pets and animals. Call 908-6912608 or go to hempUSA.org today.
[1:06:33.120 --> 1:06:40.120]  Call 908-6912608 or visit hempUSA.org. This incredible food source is loaded with enzymes so your body can digest the food you eat.
[1:06:40.120 --> 1:07:03.120]  Call 908-6912608 or visit hempUSA.org. This incredible food source is loaded with enzymes so your body can digest the food you eat.
[1:07:10.120 --> 1:07:25.120]  Alright, this is going to be a very serious second hour. We'll continue to focus on your phone calls at 877-590-5525.
[1:07:25.120 --> 1:07:29.120]  877-590-5525.
[1:07:29.120 --> 1:07:40.120]  We're going to get into the Gilderberg group and what their agenda. We'll learn more over the weekend from Greece, suburb of Athens. They're on the coastline. We're the world leaders met.
[1:07:40.120 --> 1:07:46.120]  We'll give you the boil down of that. Coming up at the bottom of the hour.
[1:07:46.120 --> 1:07:52.120]  Don't forget my websites are infowars.com, prisonplanet.com, prisonplanet.tv.
[1:07:52.120 --> 1:07:59.120]  Prisonplanet.tv is our member site and was five years up and running all of my films.
[1:07:59.120 --> 1:08:08.120]  And then, of course, we simulcast with my live TV show during the radio show during the weekday transmission.
[1:08:08.120 --> 1:08:20.120]  And my book, Paul Watson's book, a bunch of other films are posted there at prisonplanet.tv and your prisonplanet.tv membership also makes much of what we do here in my media organization possible.
[1:08:20.120 --> 1:08:23.120]  So I want to thank all the prisonplanet.tv members out there.
[1:08:23.120 --> 1:08:31.120]  Also, I'm going to start every month churning out DVDs that are more presentations, not films.
[1:08:31.120 --> 1:08:38.120]  I'm going to try to make three films a year instead of two films a year and every month or two, probably stagger it.
[1:08:38.120 --> 1:08:42.120]  I'd say every five, six weeks on average, a presentation.
[1:08:42.120 --> 1:08:51.120]  And one of those is the Aaron Russo interview I did shortly before he died in 2007, the last videotaped interview that we know of that's out there.
[1:08:51.120 --> 1:08:53.120]  Most of it's on the web for free. We put it out.
[1:08:53.120 --> 1:09:02.120]  But this is an updated version with some commentary by myself with the latest developments and some of the interview that we didn't put out on the Internet.
[1:09:02.120 --> 1:09:07.120]  That is now available on DVD at infowars.com and everybody's library needs to have it.
[1:09:07.120 --> 1:09:20.120]  Also, every month we're going to have a best of from the TV show we do while we simulcast the radio show with the ads cut out and any extra stuff cut out, shot in high def, burned to one high quality DVD.
[1:09:20.120 --> 1:09:26.120]  This month's has Alan Watt, police chief in Austin, Art Acevedo.
[1:09:26.120 --> 1:09:34.120]  Of course, the UFC host and movie star and TV host in his own right, Joe Rogan.
[1:09:34.120 --> 1:09:40.120]  It's got folks in it like Mr. David Ike and a lot more.
[1:09:40.120 --> 1:09:42.120]  So the first month of that is now out.
[1:09:42.120 --> 1:09:44.120]  I'm going to have a best of every month.
[1:09:44.120 --> 1:09:52.120]  We call it the DVD arsenal also available there at the online video and bookstore at infowars.com.
[1:09:52.120 --> 1:09:55.120]  Okay, let me just stop right there and get focused.
[1:09:55.120 --> 1:10:03.120]  I tend to psychologically shy away from getting into this because it's such a upsetting subject and so real.
[1:10:03.120 --> 1:10:11.120]  I want to start out with the audio of the one minute government paid for video that we have up on infowars.com.
[1:10:11.120 --> 1:10:17.120]  This is AmeriCorps paramilitary propaganda ad.
[1:10:17.120 --> 1:10:24.120]  And when you watch this ad and you study it, it's absolutely horrifying when you have the background knowledge of what you're witnessing.
[1:10:24.120 --> 1:10:32.120]  It's even more horrifying, but anybody can watch this and say, what is this straight out of Soviet Russia or communist China?
[1:10:32.120 --> 1:10:37.120]  I would say it's more akin to communist China or Cuba, communist Cuba.
[1:10:37.120 --> 1:10:41.120]  Now this uniform they're wearing, I saw different bills.
[1:10:41.120 --> 1:10:45.120]  Bill Clinton got passed to start this in 1997.
[1:10:45.120 --> 1:10:52.120]  I talked about it in my film, Police State 2000 in 1998, 99.
[1:10:52.120 --> 1:11:00.120]  But in some of the legislation they've passed, it says gray uniforms and we have seen those and that's going to be for more of the paramilitaries.
[1:11:00.120 --> 1:11:04.120]  They're the cream of the youth course.
[1:11:04.120 --> 1:11:19.120]  Then the next category are going to wear red jackets with khaki shirts and khaki pants that looks like something out of a science fiction dystopia.
[1:11:19.120 --> 1:11:23.120]  And I know this because in the U.S. we first learned this about seven, eight years ago.
[1:11:23.120 --> 1:11:25.120]  In England we learned this two years ago.
[1:11:25.120 --> 1:11:30.120]  We're also doing it in Japan, in Germany, in the Netherlands, in Ireland.
[1:11:30.120 --> 1:11:35.120]  And they're doing it with the Boy Scouts overseas, the Boy Scouts here.
[1:11:35.120 --> 1:11:38.120]  They're doing it with Secure Corps, Division of AmeriCorps.
[1:11:38.120 --> 1:11:46.120]  They're doing it with public school children putting them in uniforms,
[1:11:46.120 --> 1:11:55.120]  but only on the weekends when they take part in federally funded, under BATF, FBI grants, you name it.
[1:11:55.120 --> 1:12:00.120]  And so when I saw this video this morning put out by the federal government with taxpayer money,
[1:12:00.120 --> 1:12:09.120]  it shows them doing push-ups and squat thrust and basic military maneuvers out in a military training field with officers in front of them
[1:12:09.120 --> 1:12:16.120]  and their new fascist uniforms with arm patches, arm bands. I mean it doesn't get any worse than this.
[1:12:16.120 --> 1:12:22.120]  And it horrified me because I keep seeing this same uniform pop up worldwide. This is global.
[1:12:22.120 --> 1:12:26.120]  So ladies and gentlemen, here is the audio of the video.
[1:12:26.120 --> 1:12:43.120]  We are Scouts Club. I am changed. I've been around since the beginning of time.
[1:12:43.120 --> 1:12:52.120]  Over the years I've had many faces. Over the years I've had many looks.
[1:12:52.120 --> 1:13:01.120]  But I've always had the same goals. To make this world a better place by helping those who need it most.
[1:13:01.120 --> 1:13:10.120]  To never turn my back when things get tough. And to show that positive can always overpower negative.
[1:13:10.120 --> 1:13:17.120]  That's enough. I can't listen anymore of it. Yeah, positive. That means I don't think I'm just positive and follow orders.
[1:13:17.120 --> 1:13:23.120]  And they show pictures of Martin Luther King and Gandhi. Martin Luther King and Gandhi would have fought against what's happening right now.
[1:13:23.120 --> 1:13:30.120]  You better believe it. So this is almost like if the Nazis rolled themselves in happy, lovey, liberal packaging.
[1:13:30.120 --> 1:13:38.120]  But when you study what the actual training is, it's to spy on neighbors. It's to have a national security force as big and strong as our military.
[1:13:38.120 --> 1:13:43.120]  And then you read specifically what the White House says. It's going to be compulsory at military camps.
[1:13:43.120 --> 1:13:52.120]  Rahm Emanuel is on record. It's been at change.gov. But they're in uniforms chanting and marching and with flags and out there drilling.
[1:13:52.120 --> 1:14:02.120]  I mean, it's a field marshal basically running it. All of this going on. And this is just the public face of it to sell the population.
[1:14:02.120 --> 1:14:06.120]  When you get down to the nitty gritty, it's what the New York Times reported on.
[1:14:06.120 --> 1:14:14.120]  But again, they reported it with a positive light as well with showing big color photos of 14 to 17-year-old Cub Scouts, Boy Scouts,
[1:14:14.120 --> 1:14:21.120]  marching around with MP5 submachine guns, practicing, quote, taking on U.S. veterans.
[1:14:21.120 --> 1:14:28.120]  And then you see all the mainstream articles over the last few years about how they're training every local department in the country, the feds are,
[1:14:28.120 --> 1:14:36.120]  to prepare for improvised explosive devices and they're telling local police, harden your local facilities, get ready for terrorism.
[1:14:36.120 --> 1:14:40.120]  The number one threat is in Al Qaeda now. It's former military people and gun owners.
[1:14:40.120 --> 1:14:48.120]  And the DHS report says that and libertarians and don't tread on me people and folks that won't turn their guns in.
[1:14:48.120 --> 1:14:55.120]  And then you find out that under Secure Corps, and I first saw this seven years ago in the Philadelphia Daily News,
[1:14:55.120 --> 1:15:03.120]  it said, a division of AmeriCorps that you just heard the ad from, well, they're not marching around in red uniforms.
[1:15:03.120 --> 1:15:10.120]  You know, what is this, Mortal Kombat or something? And they're almost dressed like the bad guy from Mortal Kombat.
[1:15:10.120 --> 1:15:16.120]  I mean, this is really, these are actual commie outfits. I mean, talk about, this is unbelievable.
[1:15:16.120 --> 1:15:19.120]  I mean, I was a little like leather jackets and leather ball caps or something.
[1:15:19.120 --> 1:15:26.120]  I mean, it's just out of control. Armbands, a whole nine yards. And the young, stupid kids love this, folks.
[1:15:26.120 --> 1:15:32.120]  They love playing with guns. They love being able to march around and drill. They love being made to feel important.
[1:15:32.120 --> 1:15:36.120]  And so they're now launching this with millions of youth nationwide.
[1:15:36.120 --> 1:15:41.120]  That means within two years they'll be ready to move against the population. Four years, really ready to move.
[1:15:41.120 --> 1:15:46.120]  And you watch when Barack Obama leaves in four to eight years, the next president, whether it's a Republican or Democrat,
[1:15:46.120 --> 1:15:53.120]  they're going to expand it because the presidents are now just frontmen and puppets.
[1:15:53.120 --> 1:15:58.120]  So I want to give you some of the background of this, but have you noticed it's not ITT technical anymore?
[1:15:58.120 --> 1:16:04.120]  It's ITT law enforcement, security guards training. It's not how to fix computers. It's not how to make computers.
[1:16:04.120 --> 1:16:11.120]  It's how to be a cop or a rena cop. And the public schools have these law enforcement semesters in high school and junior high
[1:16:11.120 --> 1:16:17.120]  where they train them to write dossiers on their parents. And now the New York Times reports as if it's a good thing
[1:16:17.120 --> 1:16:22.120]  that children are telling their parents to turn the faucet off and don't water the yard and bossing their parents around
[1:16:22.120 --> 1:16:28.120]  and paddling on their parents. Oh, isn't it cute? No, it's not cute. It's hardcore scientific tyranny.
[1:16:28.120 --> 1:16:33.120]  Stay with us. We'll break it down and take your calls on the other side.
[1:16:33.120 --> 1:16:41.120]  Would you give someone $100 for a $10 bill if you're taking vitamins and minerals in a pill form? That's exactly what you're doing.
[1:16:41.120 --> 1:16:50.120]  Hello, my name is Dr. David Friedman. According to the physician's desk reference, many vitamins and minerals in a pill form are 10% absorbed.
[1:16:50.120 --> 1:16:57.120]  It doesn't take a mathematician to figure out for every $100 you spend on these pills, you're flushing $90 down the toilet.
[1:16:57.120 --> 1:17:05.120]  Start absorbing the nutrients you swallow. Introducing Chews for Health, a delicious tasting chewable containing 16 super fruits,
[1:17:05.120 --> 1:17:13.120]  sea vegetables and antioxidants. You know, you work hard for your money. Isn't it time to start getting what you pay for? Order today.
[1:17:13.120 --> 1:17:20.120]  1-800-210-1922. With Chews for Health, your body gets to keep the nutrients you swallow.
[1:17:20.120 --> 1:17:26.120]  The first 300 callers are going to receive a free copy of my best-selling CD, America's Unbalanced Diet.
[1:17:26.120 --> 1:17:32.120]  1-800-210-1922. Or go to orderchews.com.
[1:17:56.120 --> 1:18:03.120]  It comes with a whopping 6,000 healthy vegetable seeds from 20 varieties that will grow anywhere in the USA unless you trust the government.
[1:18:03.120 --> 1:18:08.120]  The heirloom garden seed time capsule and heirloom seeds from survivalistseeds.com is your long-term food solution.
[1:18:08.120 --> 1:18:13.120]  Our competition charges 10 cents to $1.25 per seed for these same heirloom varieties.
[1:18:13.120 --> 1:18:19.120]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon and 16 other varieties.
[1:18:19.120 --> 1:18:27.120]  For about a penny a seed each, be prepared. Buy your heirloom seeds today from survivalistseeds.com and have food insurance for your family forever.
[1:18:27.120 --> 1:18:29.120]  Visit survivalistseeds.com.
[1:18:29.120 --> 1:18:33.120]  Survivalistseeds.com is owned by Big John Lipscomb, host of the Don't Tread on Me radio show.
[1:18:33.120 --> 1:18:38.120]  Have you ever felt like the United States government knows way too much about your financial affairs?
[1:18:38.120 --> 1:18:44.120]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[1:18:44.120 --> 1:18:50.120]  It makes me wonder if the U.S. citizen will ever again have the right to life, liberty and the pursuit of happiness.
[1:18:50.120 --> 1:19:00.120]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue ruling 6045 of 1984 and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933,
[1:19:00.120 --> 1:19:04.120]  some precious metal holdings are subject to government intervention.
[1:19:04.120 --> 1:19:09.120]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[1:19:09.120 --> 1:19:16.120]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[1:19:16.120 --> 1:19:19.120]  Call for your free copy at 1-800-686-2237.
[1:19:19.120 --> 1:19:22.120]  When investing, always proceed with caution.
[1:19:22.120 --> 1:19:26.120]  Again, call 1-800-686-2237.
[1:19:26.120 --> 1:19:33.120]  Exercise your legal right to trade metals privately at 1-800-686-2237.
[1:19:33.120 --> 1:19:39.120]  HazerRid Total Protection Kits quickly complete any size job by applying a top quality disinfectant,
[1:19:39.120 --> 1:19:44.120]  viruside, fungicide, mildew stat and deodorizer in the form of an effective yet gentle fog.
[1:19:44.120 --> 1:19:53.120]  Our portable fogging device can conquer normal chores plus provide unmatched protection for your family and workplace from viruses, bacteria, mold and more.
[1:19:53.120 --> 1:20:00.120]  The HazerRid kits' hospital-approved ingredients come in a highly concentrated form and each kit can make up to 32 gallons of protection,
[1:20:00.120 --> 1:20:07.120]  reduced labor cost, outstanding product savings and professional quality performance all save you more than the cost of this kit.
