[00:00.000 --> 00:26.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[2:01:04.000 --> 2:01:13.000]  I am a positive at the four minutes we have left. Bill Mitchell. You're Mr. Positive. And I agree. Trump's got the same philosophy. I do as well. It's happening.
[2:01:13.000 --> 2:01:22.000]  I was very negative back before. I'm very positive now because we've turned the worm. But in three, four minutes, what are the bad scenarios that we don't stay active and we're not involved?
[2:01:22.000 --> 2:01:24.000]  How could this go bad?
[2:01:24.000 --> 2:01:30.000]  Oh, yeah. Well, you know how it is in football. On any given Sunday, the worst team in the league can beat the best team in the league.
[2:01:30.000 --> 2:01:35.000]  If the best team doesn't take it seriously and doesn't bring their A game, we need to bring our A game.
[2:01:35.000 --> 2:01:45.000]  We need to get motivated as the Trump base to get out there and vote and not only for us to get out and vote, but to get other people of like mind to go out and vote.
[2:01:45.000 --> 2:01:51.000]  And we need to emphasize in these congressional elections, okay? For instance, the one in PA 16, okay?
[2:01:51.000 --> 2:02:06.000]  Sikoni wasn't a sexy candidate. He wasn't a candidate that thrilled or inspired, but I tell you what, he was a vote for the Trump agenda. And Lam was a vote against the Trump agenda. They kind of sold him a pig in a poke out there to the good people of Pennsylvania A team.
[2:02:06.000 --> 2:02:16.000]  But we need to say to people, even if you don't know the name of the person who's running in your district, find it out. But if you get to the voting booth and you're like, who should I vote for?
[2:02:16.000 --> 2:02:19.000]  Vote for the R because it's going to be a vote for the Trump.
[2:02:19.000 --> 2:02:26.000]  Absolutely. But it shows we're winning that the leftist candidates, they're trying to get rid of Pelosi, they're trying to get rid of all these other deadwood.
[2:02:26.000 --> 2:02:36.000]  And now they're trying to get rid of Hillary. And now you look at the CIA leftist arm is running like 50 candidates for Congress. And they're all little pretty boy trying to sound like Trump.
[2:02:36.000 --> 2:02:44.000]  I mean, these are spies in our government, globalist operatives, trying to pose as patriots with no bona fides, no history.
[2:02:44.000 --> 2:02:49.000]  So absolutely vote for no Democrats, period.
[2:02:49.000 --> 2:02:59.000]  It's the beauty of a guy like putting a guy like Lam up. He's got he's got no track record, no voting record. He's a clean slate so people can write on whatever they want.
[2:02:59.000 --> 2:03:01.000]  And that's what they do with Barack Obama.
[2:03:01.000 --> 2:03:06.000]  But you can see the smart look on his face and how he is such a little arrogant Eddie Haskell.
[2:03:06.000 --> 2:03:14.000]  Yeah, yeah, well, this is this is what they do. You know, they like to bring their their messiahs, their savers along. But we need to outwork these guys.
[2:03:14.000 --> 2:03:18.000]  We need to outwork these guys and we need to be on the phones.
[2:03:18.000 --> 2:03:25.000]  Find out who your local representatives are, volunteer, donate, go out there and knock on doors, but put door hangers out there.
[2:03:25.000 --> 2:03:32.000]  We need to outwork them on exactly because in 14 months, we've already seen things turn around a lot, but we've got to now save this win.
[2:03:32.000 --> 2:03:37.000]  Because this is the counterattack. The motivated arrogant slugs are now motivated.
[2:03:37.000 --> 2:03:41.000]  Yeah, well, they're, you know, they're it's like I said, it's an extinction level event.
[2:03:41.000 --> 2:03:52.000]  I mean, if we can take a super majority in the Senate and it's possible because we have at least 10 senators that are in the states that Trump won easily and Trump is pulling very well in those states right now.
[2:03:52.000 --> 2:04:01.000]  Okay, a lot of those are big time risk. As a matter of fact, you have Democrats senators right now in some of these states who all voted against tax reform, which is a tremendous strategic mistake on their part.
[2:04:01.000 --> 2:04:05.000]  And they're actually running 10 to 15 points behind an unnamed candidate.
[2:04:05.000 --> 2:04:10.000]  It's like, you know, they haven't named a candidate yet and the Democrat is already running behind.
[2:04:10.000 --> 2:04:16.000]  So yeah, this thing with the PA 15, PA 18, I'm sorry, they're not going to be able to replicate that elsewhere.
[2:04:16.000 --> 2:04:21.000]  If the Democrats were full of guys like Lam, they'd be in better shape, but they're not.
[2:04:21.000 --> 2:04:28.000]  Also, they could take a few special elections and target everything. They can't when there's hundreds of them happening like they'll be.
[2:04:28.000 --> 2:04:39.000]  They're not raising money. They're dead in the water. And I'll go further, Bill. You know, the Republicans have found they flipped a bunch of machines, thousands of votes.
[2:04:39.000 --> 2:04:44.000]  He only lost by 600. So I don't think we should give this up. We should point out the election fraud.
[2:04:44.000 --> 2:04:49.000]  Oh yeah, we should point out the election fraud. In this case, you know what? I think the GOP wants to win that race.
[2:04:49.000 --> 2:04:53.000]  I think in Alabama, I think they didn't want more. And I think we saw tremendous election.
[2:04:53.000 --> 2:04:55.000]  Bill, we're out of time. Thank you. Amazing.
[2:04:55.000 --> 2:05:00.000]  Thanks. Oh, I think cell force by Info Wars Life.
[2:05:00.000 --> 2:05:04.000]  Cell force focuses on mitochondria efficiency and protection.
[2:05:04.000 --> 2:05:07.000]  Mitochondria produce over 95% of your energy.
[2:05:07.000 --> 2:05:09.000]  Thanks. Okay.
[2:05:09.000 --> 2:05:17.000]  Cell force helps promote your cellular energy production by supporting mitochondria, much like a cellular engine overhaul.
[2:05:17.000 --> 2:05:24.000]  Because when your mitochondria don't run at 100% efficiency, then they start producing reactive oxygen species.
[2:05:24.000 --> 2:05:32.000]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[2:05:32.000 --> 2:05:37.000]  The antioxidants found in cell force are some of the most powerful available on the market.
[2:05:37.000 --> 2:05:45.000]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[2:05:45.000 --> 2:05:56.000]  Boost, protect and adapt with cell force from Info Wars Life. Head to InfoWarsLife.com or call 1-888-253-3139.
[2:06:16.000 --> 2:06:22.000]  It's Alex Jones on the GCN Radio Network.
[2:06:22.000 --> 2:06:30.000]  All right. Ted Malick is going to be joining us. Former head of the Davos Group, on the board of the Davos Group.
[2:06:30.000 --> 2:06:35.000]  Last minute you name it, but a patriot. An anti-globalist inside the globalist camp.
[2:06:35.000 --> 2:06:37.000]  We're going to break down Trump, what's currently happening.
[2:06:37.000 --> 2:06:43.000]  We're also going to open the phones up and take some of your phone calls.
[2:06:43.000 --> 2:06:48.000]  And is that from Space Command? Is that going to be joining us?
[2:06:48.000 --> 2:06:53.000]  I wasn't sure if we was coming on today. If not, it'll be tomorrow.
[2:06:53.000 --> 2:06:57.000]  Okay, yeah. All right, so I'm going to get what's happening with the Pentagon there.
[2:06:57.000 --> 2:07:02.000]  We're going to go to Ted Malick right now, and then we're getting Roger Stone on the phone.
[2:07:02.000 --> 2:07:11.000]  He texted me about 10 minutes ago with huge breaking news dealing with Fiona Hill, the George Soros operative,
[2:07:11.000 --> 2:07:15.000]  that we exposed last year that is involved with McMaster and everybody.
[2:07:15.000 --> 2:07:21.000]  And just as Roger said in January that basically Rex Tillerson had already been fired
[2:07:21.000 --> 2:07:24.000]  and a lot of his duties and power stripped by the president,
[2:07:24.000 --> 2:07:27.000]  that he would be removed in March. You saw that happen exactly as we said.
[2:07:27.000 --> 2:07:30.000]  We also broke it was a pressure bomb, very primitive bombs.
[2:07:30.000 --> 2:07:33.000]  You used a bomb in Austin yesterday. That's now in the news today.
[2:07:33.000 --> 2:07:35.000]  So I'm just telling you, we have the real sources.
[2:07:35.000 --> 2:07:42.000]  And this Fiona Hill individual is the Soros operative in the White House with McMaster,
[2:07:42.000 --> 2:07:49.000]  and that Trump is really angry and is looking to remove them both.
[2:07:49.000 --> 2:07:56.000]  POTUS has pissed at McMaster for speaking to Susan Rice and defending her public ally,
[2:07:56.000 --> 2:07:58.000]  reported on Info Wars at the time.
[2:07:58.000 --> 2:08:01.000]  I just learned that the, and I can't read this part,
[2:08:01.000 --> 2:08:06.000]  is none other than the deputy Fiona Hill towards Soros Info Wars exposed
[2:08:06.000 --> 2:08:10.000]  and how bad she was and how terrible it was that she was in the White House working for McMaster.
[2:08:10.000 --> 2:08:12.000]  So Trump is really cleaning house.
[2:08:12.000 --> 2:08:15.000]  And now Roger has got a chance to talk to the White House
[2:08:15.000 --> 2:08:20.000]  and find out exactly why the president is accelerating the purge right now.
[2:08:20.000 --> 2:08:23.000]  Ted Malik's always got his hair to the ground.
[2:08:23.000 --> 2:08:27.000]  Let's find out from Ted what he thinks of the purges and all the things that are going on.
[2:08:27.000 --> 2:08:31.000]  And the deputy director who wasn't the director McCabe as we knew,
[2:08:31.000 --> 2:08:35.000]  but now out covering up for Hillary, lying to Congress,
[2:08:35.000 --> 2:08:38.000]  lying to the FBI director, lying to the Justice Department head.
[2:08:38.000 --> 2:08:42.000]  And now they're looking to fire him, I guess, ahead of criminal charges.
[2:08:42.000 --> 2:08:46.000]  So we're going to Roger here in just a moment as soon as we get him.
[2:08:46.000 --> 2:08:49.000]  Ted Malik, at this point in history, what's your intel?
[2:08:49.000 --> 2:08:53.000]  I know you've got a lot of high-level sources.
[2:08:53.000 --> 2:09:00.000]  Well, I think what we have is the globalists coming to power finally in the White House.
[2:09:00.000 --> 2:09:05.000]  So Steve Bannon's admission to the original sin of bringing in the establishment
[2:09:05.000 --> 2:09:11.000]  and the globalist part of the Republican Party has proven problematic.
[2:09:11.000 --> 2:09:14.000]  And now finally Trump is taking it back.
[2:09:14.000 --> 2:09:19.000]  And he's removing those people, excising those people from his administration.
[2:09:19.000 --> 2:09:23.000]  I think that's very clear in the case of the Secretary of State,
[2:09:23.000 --> 2:09:25.000]  which many of us predicted three, four months ago.
[2:09:25.000 --> 2:09:28.000]  I did when I was on your show.
[2:09:28.000 --> 2:09:33.000]  We have Pompeo who is certainly completely aligned with the president.
[2:09:33.000 --> 2:09:38.000]  You know, it's basically a Tea Party congressman coming in as Secretary of State.
[2:09:38.000 --> 2:09:43.000]  We've got a woman who's tough on terror coming in to head the CIA.
[2:09:43.000 --> 2:09:47.000]  We should be very pleased by Pompeo.
[2:09:47.000 --> 2:09:49.000]  We should be very pleased, he's the real thing.
[2:09:49.000 --> 2:09:53.000]  And on the economic side, which is my normal beat, we've got Larry Kudlow,
[2:09:53.000 --> 2:09:59.000]  who is very well known, you know, a Reagan supply side economist.
[2:09:59.000 --> 2:10:04.000]  I'm obviously more free trade than some people in the White House like Peter Navarro,
[2:10:04.000 --> 2:10:07.000]  but he's coming around even on that position.
[2:10:07.000 --> 2:10:09.000]  And I think that's going to be a lovely relationship.
[2:10:09.000 --> 2:10:12.000]  Well, yeah, because I'm for free trade, but not when it's unfair.
[2:10:12.000 --> 2:10:16.000]  Wow, let's bring Roger Stone and we'll continue with Ted Malik joining us from London.
[2:10:16.000 --> 2:10:21.000]  People are saying, oh my gosh, you know, Pompeo and this lady, the first woman head.
[2:10:21.000 --> 2:10:24.000]  Under orders of Obama, she ran black sites.
[2:10:24.000 --> 2:10:27.000]  She got to arrest Obama if you're going to arrest her for this.
[2:10:27.000 --> 2:10:28.000]  Just grow up, folks.
[2:10:28.000 --> 2:10:29.000]  I'm against the torture.
[2:10:29.000 --> 2:10:31.000]  Ron Paul's against it.
[2:10:31.000 --> 2:10:32.000]  Rand Paul.
[2:10:32.000 --> 2:10:35.000]  Trump was openly for it because that's what goes on.
[2:10:35.000 --> 2:10:38.000]  Now he doesn't because the Secretary of Defense says it doesn't work well,
[2:10:38.000 --> 2:10:39.000]  more problems than it solves.
[2:10:39.000 --> 2:10:40.000]  I agree.
[2:10:40.000 --> 2:10:44.000]  But don't sit there on a high horse when Obama expanded torture,
[2:10:44.000 --> 2:10:46.000]  hitting it red of it and pointed this lady.
[2:10:46.000 --> 2:10:47.000]  But that's a side issue.
[2:10:47.000 --> 2:10:49.000]  You just heard what Ted Malik was saying.
[2:10:49.000 --> 2:10:50.000]  You've got big breaking news.
[2:10:50.000 --> 2:10:55.000]  We'll send you for a few minutes, Roger, about what the shakeup in the White House is really about
[2:10:55.000 --> 2:10:59.000]  and that the president is finally on the war path.
[2:10:59.000 --> 2:11:05.000]  Well, Alex, as you know, we reported exclusively here at Info Wars last year
[2:11:05.000 --> 2:11:14.000]  that the president was very unhappy with his National Security Director General H.R. McMaster's
[2:11:14.000 --> 2:11:16.000]  meeting with Susan Rice.
[2:11:16.000 --> 2:11:21.000]  And subsequently, by McMaster's public comments, appearing to absolve Rice.
[2:11:21.000 --> 2:11:23.000]  And you broke that three months before.
[2:11:23.000 --> 2:11:24.000]  In fact, give us the date.
[2:11:24.000 --> 2:11:27.000]  You broke here at the very place he was, who he was having dinner with.
[2:11:27.000 --> 2:11:30.000]  He was drunk talking tracks about the president.
[2:11:30.000 --> 2:11:31.000]  The New York Post was giving it.
[2:11:31.000 --> 2:11:32.000]  It didn't run it.
[2:11:32.000 --> 2:11:33.000]  You broke it here three months later.
[2:11:33.000 --> 2:11:34.000]  It did break.
[2:11:34.000 --> 2:11:35.000]  That's right.
[2:11:35.000 --> 2:11:36.000]  Work for war, what you said.
[2:11:36.000 --> 2:11:37.000]  So expand on that.
[2:11:37.000 --> 2:11:44.000]  So now we know, we also reported exclusively last year that H.R. McMaster's top aide was
[2:11:44.000 --> 2:11:51.000]  a globalist named Fiona Hill, who we traced directly to George Soros and the Open and
[2:11:51.000 --> 2:11:53.000]  his Open Society Institute.
[2:11:53.000 --> 2:12:00.000]  Now we have learned that it was Hill who facilitated the conversation between McMaster
[2:12:00.000 --> 2:12:04.000]  and Rice that has gotten McMaster fired.
[2:12:04.000 --> 2:12:06.000]  McMaster is on his way out.
[2:12:06.000 --> 2:12:10.000]  This has been reported publicly, but we now know the reasons.
[2:12:10.000 --> 2:12:17.000]  Trump is furious about McMaster's conversation with Rice, but even matter that McMaster publicly
[2:12:17.000 --> 2:12:21.000]  absolved Rice in the unmasking scandal.
[2:12:21.000 --> 2:12:32.000]  Again, we here at Info Wars first identified Fiona Hill, the globalist leftist Soros insider
[2:12:32.000 --> 2:12:34.000]  who had infiltrated McMaster.
[2:12:34.000 --> 2:12:38.000]  And that's why there's so panic to get us off YouTube, off Google, off Twitter, openly
[2:12:38.000 --> 2:12:43.000]  suing us, Georgetown, Soros back, all of it, because put the article on screen for TV viewers,
[2:12:43.000 --> 2:12:44.000]  please.
[2:12:44.000 --> 2:12:48.000]  We broke this word for word in May 31, 2017.
[2:12:48.000 --> 2:12:52.000]  Bombshell, Soros insider infiltrates Trump administration.
[2:12:52.000 --> 2:12:56.000]  Then it was picked up by Newsmax and then it was hand delivered to the president at
[2:12:56.000 --> 2:13:00.000]  Mar-Lago, we can now reveal, back in the summer of last year.
[2:13:00.000 --> 2:13:03.000]  I mean, that's why they hate us, Roger.
[2:13:03.000 --> 2:13:04.000]  Go ahead.
[2:13:04.000 --> 2:13:05.000]  You're absolutely right, Alex.
[2:13:05.000 --> 2:13:11.000]  You see, when McMaster spoke publicly absolving Rice, somehow those stories and clippings never
[2:13:11.000 --> 2:13:13.000]  got to the president.
[2:13:13.000 --> 2:13:16.000]  Well, when he did see them, he hit the roof.
[2:13:16.000 --> 2:13:22.000]  There's one thing Donald Trump despises above all else and that's disloyalty, and he's clearly
[2:13:22.000 --> 2:13:24.000]  doing house cleaning here.
[2:13:24.000 --> 2:13:25.000]  Now, I like Mike Pompeo.
[2:13:25.000 --> 2:13:32.000]  I don't understand his ongoing criticism of Julian Assange and WikiLeaks, but that aside,
[2:13:32.000 --> 2:13:37.000]  I do think he is more of an anti-interventionist than McMaster clique.
[2:13:37.000 --> 2:13:41.000]  Well, he's an American first and is in line with the president.
[2:13:41.000 --> 2:13:42.000]  That's what matters.
[2:13:42.000 --> 2:13:46.000]  Well, he was a member of the Freedom Caucus when he was in the house.
[2:13:46.000 --> 2:13:52.000]  He was tearing WikiLeaks on during the campaign largely because of their exposure of the corruption
[2:13:52.000 --> 2:13:53.000]  of Hillary Clinton.
[2:13:53.000 --> 2:13:54.000]  This is all about to turn.
[2:13:54.000 --> 2:14:02.000]  Let me remind you that Chairman Nunes sent a letter to Brennan, Clapper, Rice, and others
[2:14:02.000 --> 2:14:08.000]  with a deadline of March 2nd to answer questions about their involvement with the dossier.
[2:14:08.000 --> 2:14:14.000]  We don't know what they have responded, but I think we are about to have a volcanic eruption.
[2:14:14.000 --> 2:14:15.000]  How big is it, McCabe?
[2:14:15.000 --> 2:14:18.000]  The word is they're getting ready for criminal charges.
[2:14:18.000 --> 2:14:27.000]  McCabe is the centerpiece of the criminal conspiracy to utilize the fake dossier fabricated
[2:14:27.000 --> 2:14:34.000]  by a foreign agent in league with a bunch of Russians and utilize it as evidence.
[2:14:34.000 --> 2:14:36.000]  McCabe is the chief perp.
[2:14:36.000 --> 2:14:43.000]  He's the guy who directed and approved the use of our tax dollars for payments to GPS
[2:14:43.000 --> 2:14:44.000]  viewers.
[2:14:44.000 --> 2:14:49.000]  Is there any evidence that people are building that Mueller has rolled over to the president
[2:14:49.000 --> 2:14:53.000]  and we see some of these new indictments and these new files looking at Democrats?
[2:14:53.000 --> 2:14:57.000]  I don't think Mueller was with the president all along like something, but I think there's
[2:14:57.000 --> 2:15:01.000]  signs that he's starting to hedge his bets because no evidence was found enrolling.
[2:15:01.000 --> 2:15:06.000]  Well, it's possible that Mueller will bring a few relatively low level indictments against
[2:15:06.000 --> 2:15:10.000]  Democrats, but we don't know that Mueller is McCabe's target.
[2:15:10.000 --> 2:15:13.000]  We don't know that McCabe has been targeted by Mueller.
[2:15:13.000 --> 2:15:18.000]  McCabe may be targeted by the Trump Justice Department and not the special.
[2:15:18.000 --> 2:15:21.000]  I think that's far more likely.
[2:15:21.000 --> 2:15:23.000]  Well, they're talking about that right now.
[2:15:23.000 --> 2:15:26.000]  Wow, Roger Stone, bombshell information.
[2:15:26.000 --> 2:15:30.000]  I'm going to come back from break and get Ted Malik's take on this, but just briefly with
[2:15:30.000 --> 2:15:32.000]  me, what do we expect to happen with Fiona Hill?
[2:15:32.000 --> 2:15:33.000]  How long till she's out?
[2:15:33.000 --> 2:15:40.000]  How long until McMaster, the reported alcoholic nincompoop, reportedly he is just a total
[2:15:40.000 --> 2:15:46.000]  nincompoop controlled by the neocons who can't find his ass with both hands?
[2:15:46.000 --> 2:15:49.000]  How long until these idiots are out of the White House?
[2:15:49.000 --> 2:15:53.000]  We'll be back infowars.com, newswars.com, Ted Malik.com.
[2:15:53.000 --> 2:15:55.000]  Stay with us.
[2:15:55.000 --> 2:16:01.000]  Fully cooked, ready to eat bacon, I'm talking thick meaty, center cut, presidential bacon,
[2:16:01.000 --> 2:16:02.000]  savory and delicious.
[2:16:02.000 --> 2:16:03.000]  I buy some.
[2:16:03.000 --> 2:16:04.000]  I use some.
[2:16:04.000 --> 2:16:05.000]  I store some.
[2:16:05.000 --> 2:16:06.000]  Awesome.
[2:16:06.000 --> 2:16:12.000]  No refrigeration needed with a 10 year shelf life, NASA pack technology, bacon, fully cooked,
[2:16:12.000 --> 2:16:17.000]  fully hydrated, ready to eat right from the pack bacon, or warm and served.
[2:16:17.000 --> 2:16:24.000]  Life saving, ready to eat bacon, 10 year shelf life bacon, ships free at fullycookedbacon.com,
[2:16:24.000 --> 2:16:26.000]  this is Dan Pilla.
[2:16:26.000 --> 2:16:28.000]  Do you have the IRS money you can't pay?
[2:16:28.000 --> 2:16:30.000]  Are tax debts crippling you?
[2:16:30.000 --> 2:16:33.000]  I've defended people from the IRS for over 30 years.
[2:16:33.000 --> 2:16:35.000]  I've helped thousands and I can help you too.
[2:16:35.000 --> 2:16:39.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[2:16:39.000 --> 2:16:43.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[2:16:43.000 --> 2:16:47.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[2:16:47.000 --> 2:16:54.000]  Call 800-34-NO-TAX, that's 800-34-NO-TAX or my website, danpilla.com.
[2:17:18.000 --> 2:17:22.000]  My blood pressure has normalized, my diabetes has totally improved.
[2:17:22.000 --> 2:17:27.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[2:17:27.000 --> 2:17:29.000]  I recommend heart and body extract to everyone.
[2:17:29.000 --> 2:17:48.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[2:17:48.000 --> 2:17:54.000]  Heart and Body Extract 866-295-5305 or hbextract.com
[2:18:19.000 --> 2:18:24.000]  We do the super mail and the super female vitality, big changes, a lot of energy.
[2:18:24.000 --> 2:18:49.000]  We've gotten off to the cheap energy drinks, energy shots, they've got a ton of money there.
[2:18:49.000 --> 2:18:56.000]  Call 800-34-NO-TAX to secure your super male vitality and other powerful products from InfoWarsLife.
[2:18:59.000 --> 2:19:02.000]  Let's go to Devin and Florida. Devin and Florida, you're on the air.
[2:19:02.000 --> 2:19:09.000]  Great, hey, thank you so much. Listen, I have bought your product and I gotta say they're amazing.
[2:19:09.000 --> 2:19:18.000]  Anyone who's on the fence, buy it because I've got caveman, super male vitality, secret swell, five minute infusion, I've got the body armor.
[2:19:18.000 --> 2:19:23.000]  Wow, thank you. You're the type of listener that makes it all possible. Which dude for surgical does you like best?
[2:19:23.000 --> 2:19:28.000]  I really like the vitamin mineral fusion to be honest. That's amazing.
[2:19:28.000 --> 2:19:34.000]  I drank it in the morning and I swear to you, I felt incredible. My morning was fantastic.
[2:19:34.000 --> 2:19:43.000]  I love the guys, I love the InfoWars through and I just want to take this opportunity to tell anybody out there who's on the fence.
[2:19:43.000 --> 2:19:47.000]  Just buy it, we'll love it. I've never bought a bad product.
[2:19:47.000 --> 2:19:52.000]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[2:19:52.000 --> 2:20:18.000]  It's the win-win InfoWarsLife.com.
[2:20:22.000 --> 2:20:36.000]  If you are receiving this transmission, you are the Resistance. It's Alex Jones.
[2:20:36.000 --> 2:20:49.000]  Alright, we're going to do the Battle of the Hour with Ted Malick. I've been inside Davos, been on the board of directors of it, can really flesh out the battle between the globalists in America and where it's going and Trump throwing globalists overboard now and really making this big turn.
[2:20:49.000 --> 2:21:07.000]  I'm watching out with Roger Stone with this big breaking news. The president learned that the moles were through a Soros operative inside of the White House through McMaster and has now culling the whole thing out.
[2:21:07.000 --> 2:21:22.000]  In two minutes, Roger, break down why these people are departing, why he's gotten rid of Cone, why is the Secretary of State all of it and get into this Soros operative lady that's the lynchpin do it all and again you were saying the word is that McMaster is about to be toast.
[2:21:22.000 --> 2:21:33.000]  He's clearly next on the hit list, Alex. First of all, we cannot underestimate the importance of the appointment of Larry Kudlow as the President's Chief Economic Advisor.
[2:21:33.000 --> 2:21:42.000]  Many believe Kudlow should have had this appointment from the very beginning, but the globalists working internally were able to block him.
[2:21:42.000 --> 2:21:47.000]  Well, let's be clear, you told me early on when he was President-elect that you were pushing Larry Kudlow.
[2:21:47.000 --> 2:22:00.000]  I was among those definitely pushing Larry. Larry Kudlow was the individual who helped the President formulate what was clearly the most dynamic and pro-growth of any of the Republican candidates.
[2:22:00.000 --> 2:22:07.000]  In the tax cut, the President is following the advice and game plan laid out by Kudlow.
[2:22:07.000 --> 2:22:28.000]  Now, the President has finally thrown the globalist Goldman Sachs insider, Gary Cone, who boasted, by the way, that he could have had the same job under Hillary Clinton had she been elected to the curb and has brought in a real Trump supporter, a real Reaganite, someone who is committed to economic growth.
[2:22:28.000 --> 2:22:31.000]  This cannot be underestimated in terms of its importance.
[2:22:31.000 --> 2:22:58.000]  Now in the foreign policy realm, if the President cashiers McMaster, who is always an odd fit given the fact that he came from a nonprofit financed by the Rockefeller Foundation, the Ford Foundation, and yes, George Soros, prior to his position in the White House, and replace him with someone who is a non-interventionist, more aligned with Pompeo and the President,
[2:22:58.000 --> 2:23:11.000]  this will be a major, major internal coup. The President has the right to reassemble his hand, and he's doing so with so much, much better people.
[2:23:11.000 --> 2:23:20.000]  So, it took months for this to come to a head. How long do you think McMaster and Fiona Hill can stay in, and who else seems to be thrown overboard?
[2:23:20.000 --> 2:23:38.000]  Well, we know that the President first took note of Fiona Hill because of our reporting here at Info Force. Now he's put two and two together and figured out, and we've confirmed this this morning, that Fiona Hill was the one who engineered his communications with Susan Rice,
[2:23:38.000 --> 2:23:51.000]  the former National Security Advisor for Barack Obama, and the woman who ran the criminal unmasking operation and is knee-heat deep in the entire dossier fiasco.
[2:23:51.000 --> 2:24:00.000]  I believe McMaster's days are literally numbered. The real question will be whether or not he is replaced by somebody better.
[2:24:00.000 --> 2:24:11.000]  There is a major report by Jack Pasobeck about a longtime John McCain associate who is maneuvering for this job. This is Washington intrigue at its very best.
[2:24:11.000 --> 2:24:23.000]  That's right, but now a direct pipeline to the Obama operatives that did the unmasking, the criminal spying, the lying, all of it, setting up the PP gate, all of it, the stay-behind network and the up-behind Justice Department,
[2:24:23.000 --> 2:24:34.000]  a direct pipeline to them through McMaster and Fiona Hill right back to Obama, still trying to control policy from his office two miles away. Incredible.
[2:24:34.000 --> 2:24:38.000]  We'll get all of tomorrow's news today. Thanks to Roger Stone. Thank you, Roger.
[2:24:38.000 --> 2:24:42.000]  I'll be on the War Room at 5th Eastern today with an update.
[2:24:42.000 --> 2:24:49.000]  All right, let's go back to Ted Mountain for the rest of the hour. Ted, thanks for sitting there. We have that breaking news, but I'm sure you can dial into all that.
[2:24:49.000 --> 2:24:53.000]  We'll get us some other subjects in the next segment, but you're taking what you just heard.
[2:24:53.000 --> 2:25:04.000]  Well, as usual, Roger is absolutely spot on. I can tell you that it looks like Attorney General Sessions is actually going to fire McCabe tomorrow,
[2:25:04.000 --> 2:25:12.000]  and that will mean that McCabe will not get his large U.S. government pension. In other words, he'll get the justice he deserves.
[2:25:12.000 --> 2:25:22.000]  Fiona Hill is likely to be out on her ass in the next day or two. McMaster may have 30 days left. We all know his time is like the clock.
[2:25:22.000 --> 2:25:30.000]  It's ticking away. Trump is actually interviewing, as Roger suggests, people for that position until he's talked to a couple of generals,
[2:25:30.000 --> 2:25:35.000]  and I know personally he's talking and has talked to John Bolton, among others.
[2:25:35.000 --> 2:25:46.000]  So this is really a period of deep change in the White House. I don't think this is ever going to end until Trump gets what he wants and the people he wants in those slots.
[2:25:46.000 --> 2:25:53.000]  But we can't be too confident. How will the global strike back with all this stormy Daniels crap?
[2:25:53.000 --> 2:26:07.000]  Well, I think that can be put to the side. That's just a kind of a fatuation of CNN. I guess it's now a pornography network as well as a so-called fake news network.
[2:26:07.000 --> 2:26:15.000]  I mean, the bigger story for me, Alex, and one I know you and your readers and listeners are very keen on, is this story of the dossier,
[2:26:15.000 --> 2:26:23.000]  where I call the plot to destroy Trump. And indeed, I have a book coming out on that. It'll be out in the next 30 or 45 days.
[2:26:23.000 --> 2:26:34.000]  It basically puts all the dots together to tell the story about how the Democrats fashion, in fact, nothing less than a coup d'etat of our President Donald Trump.
[2:26:34.000 --> 2:26:40.000]  And I read some excerpts and know what you're doing. This book is key for Congress and the media and everybody have a blueprint for prosecution.
[2:26:40.000 --> 2:26:43.000]  This is way beyond the Nunez memo.
[2:26:43.000 --> 2:26:59.000]  Oh, yeah. No, this is the big 30,000-foot view. It connects all of the dots. I've been researching it very confidentially and talking to all kinds of people for the better part of 60 to 90 days.
[2:26:59.000 --> 2:27:11.000]  And we have been pulling it together. And I'm very happy to say I just saw the final type print and it's going to press.
[2:27:11.000 --> 2:27:18.000]  You know, I also know you're a theologian amongst your other degrees. What's the Bible verse? We'll look it up where you dig a pit for your brother, you fall into it.
[2:27:18.000 --> 2:27:30.000]  I mean, you can really see how they built this whole thing to destroy Trump, but basically just mirrored it off what they'd actually done, and now they've stepped in a bear trap.
[2:27:30.000 --> 2:27:45.000]  Well, indeed, and this GPS fusion firm, of course, the one that had the nefarious ideas hired the Christopher Steele. In fact, what I disclosed in this book that this has not been, I think, discussed anywhere else,
[2:27:45.000 --> 2:27:56.000]  GPS fusion also did work for one President, Barack Obama, when he was looking for opposition research on Mitt Romney.
[2:27:56.000 --> 2:28:02.000]  That's right. And we're going to break and talk about this. I want to get something to Russia.
[2:28:02.000 --> 2:28:09.000]  What do you think about Trump going for this thing out of England? And you're over there in England when we come back. Is there any truth to the Russians, nerve-gassing?
