[00:00.000 --> 00:05.160]  Look at that.
[1:58:09.460 --> 1:58:17.460]  Some people get 15 hours out of some people get about eight hours but people take this people taking sports people cannot believe it's the best they've ever had because it's not high.
[1:58:17.460 --> 1:58:28.460]  It puts as much product into their pre workouts their post workouts you can call us whatever you want it's it's a it's a total solution all around the best you're going to find turbo force without you.
[1:58:28.460 --> 1:58:39.460]  We don't roll with you we search forward together it's like the bulldozer without the diesel fuel if we don't have your financial support we will be defeated you support us again products you already need that literally fuel your body your mind.
[1:58:39.460 --> 1:59:03.460]  When 360 together info or store dot com or triple a two five three three one three nine info wars life dot com info wars life dot com info wars life dot com you go to that URL it takes you to the subsection of info wars store dot com where you find the 60 plus products where we've gone out and researched what is the best.
[1:59:03.460 --> 1:59:10.460]  It gives people the best results we either private label it or we develop our own with top developers and folks I'm telling you.
[1:59:10.460 --> 1:59:24.460]  You can see the difference in me my energy my focus I've lost almost 40 pounds in less than four months it's incredible so do yourself a favor try out the products if you've been on the fence you can't lose except if you don't take action.
[1:59:24.460 --> 1:59:46.460]  Because when you buy the products you're funding the operation that is always delivering thanks to your support and God's grace and our action but you need these products that's the real reason you want to get them is because they're amazing and then when you get great results please tell others about it word of mouth that's how we expand in the face of the NWO instead of imploding we're fighting to win and we are winning thanks to you.
[1:59:55.460 --> 2:00:06.460]  Yeah.
[2:00:06.460 --> 2:00:10.460]  The spirit.
[2:00:10.460 --> 2:00:27.460]  It's pathetic and weak but many are falling to it now in 2020 the numbers of the undead.
[2:00:27.460 --> 2:00:41.460]  Therapists in the U.S. say they are seeing increasing numbers of patients with what they call Donald Trump anxiety disorder Trump anxiety disorder Trump derangement syndrome.
[2:00:41.460 --> 2:00:58.460]  Trump derangement syndrome is clinically real doesn't merely affect individuals but entire political parties rendering them unrecognizable one minute they're perfectly normal.
[2:00:58.460 --> 2:01:12.460]  The veneer of civilization is evaporating quickly families and culture are collapsing and Godless leftist are behaving just like zombies of modern law.
[2:01:12.460 --> 2:01:17.460]  You can't trust your mother.
[2:01:17.460 --> 2:01:22.460]  Your best friend.
[2:01:22.460 --> 2:01:32.460]  For his clients it started the morning after the election doctors are seeing patients suffering from Trump anxiety disorder.
[2:01:32.460 --> 2:01:38.460]  A number of people are manifesting what I would post Trumpmatic stress disorder.
[2:01:38.460 --> 2:01:48.460]  An overpowering fear that President Trump represents the end of the world.
[2:01:48.460 --> 2:01:55.460]  Pray it doesn't happen to you.
[2:01:55.460 --> 2:02:24.460]  How white male.
[2:02:24.460 --> 2:02:27.460]  John Carpenter is Halloween.
[2:02:27.460 --> 2:02:29.460]  Now not just a movie.
[2:02:29.460 --> 2:02:31.460]  David Cronenberg's rabbit.
[2:02:31.460 --> 2:02:36.460]  Now Democrats and leftist in 2020.
[2:02:36.460 --> 2:02:43.460]  All right the caller brought up an incredibly important question and I will ask.
[2:02:43.460 --> 2:02:52.460]  The listeners to add that Luke and Jason and Chase and Gary and Derek and Mike and Danny and everybody we're going to go to Dave and others.
[2:02:52.460 --> 2:03:01.460]  We shouldn't make all this about Trump because they assassinate the Trump they set him up they frame him then the whole liberty movement and anti-globalism is tied to Trump.
[2:03:01.460 --> 2:03:05.460]  We already have populism exploding anti-globalism exploding.
[2:03:05.460 --> 2:03:07.460]  Trump's great.
[2:03:07.460 --> 2:03:15.460]  And we should support Trump and boy they've tried to take him out we need to stay on him know to do the right thing and put pressure on him because he's being precious from other sides you got to keep reminding.
[2:03:15.460 --> 2:03:18.460]  That's one thing about Trump is he's got a lot going on.
[2:03:18.460 --> 2:03:26.460]  I try to get stuff done all the time and I'm nothing compared to Trump busy wise and you know you think oh I'm glad one of his callers remind me of stuff that I was already thinking.
[2:03:26.460 --> 2:03:29.460]  That's why I love taking your calls like Trump loves talking to the public as well.
[2:03:29.460 --> 2:03:31.460]  So let him hear from you go bullhorning.
[2:03:31.460 --> 2:03:40.460]  Take the kids go to DC just get out of your shell and you walk right up and bullhorn real loud right into there and Mr. President this is what we want for 10 minutes.
[2:03:40.460 --> 2:03:42.460]  It'll always end up getting on the news.
[2:03:42.460 --> 2:03:44.460]  I mean it's right there.
[2:03:44.460 --> 2:03:52.460]  But if you don't they're coming for us in our homes and our churches and our businesses they're not going to leave us alone.
[2:03:52.460 --> 2:03:59.460]  Believe me I don't like doing this all the time except I do I make the decision to fight it so now I'm going hog wild.
[2:03:59.460 --> 2:04:03.460]  It's like playing football and I was never that good with football player.
[2:04:03.460 --> 2:04:09.460]  I was good enough when I was a freshman they put me on varsity and I got run over a bunch they were like see how good this guy gets but.
[2:04:09.460 --> 2:04:16.460]  If you're not having fun going 110% you need to get off the field because I'm not saying get out there and be perfect.
[2:04:16.460 --> 2:04:18.460]  I mean enjoy it.
[2:04:18.460 --> 2:04:20.460]  I enjoy going into a crowd of Antifa.
[2:04:20.460 --> 2:04:23.460]  They're totally freaked out and can't believe we'll go in there.
[2:04:23.460 --> 2:04:26.460]  Security people are freaked out but you know what we got to do this.
[2:04:26.460 --> 2:04:31.460]  I enjoy it when they lie about me and attack me because it means I'm in their head.
[2:04:31.460 --> 2:04:36.460]  They're literally freaked out.
[2:04:36.460 --> 2:04:39.460]  What's the term?
[2:04:39.460 --> 2:04:41.460]  You know I'm written space inside their head.
[2:04:41.460 --> 2:04:43.460]  That's where I want to be.
[2:04:43.460 --> 2:04:50.460]  I want the globals looking over their shoulder because they know our audience of activists are not the foundation of Impal Wars.
[2:04:50.460 --> 2:04:51.460]  They're the foundation.
[2:04:51.460 --> 2:04:52.460]  They're the walls.
[2:04:52.460 --> 2:04:53.460]  They're the roof.
[2:04:53.460 --> 2:04:54.460]  They're the superstructure.
[2:04:54.460 --> 2:04:57.460]  They're the furniture.
[2:04:57.460 --> 2:04:59.460]  They're the whole nine yards.
[2:04:59.460 --> 2:05:01.460]  Yes.
[2:05:01.460 --> 2:05:06.460]  Old friends are forgotten 2020 and old friends are not forgotten.
[2:05:06.460 --> 2:05:09.460]  You the Patriots have kept him for wars on the air.
[2:05:09.460 --> 2:05:10.460]  Thank you so much.
[2:05:10.460 --> 2:05:17.460]  I don't want the globalists to win for my children's future for your children's future but also I just personally don't want them to be able to shut us down.
[2:05:17.460 --> 2:05:19.460]  And thanks to you spread the word by the products.
[2:05:19.460 --> 2:05:21.460]  We are able to stay on air.
[2:05:21.460 --> 2:05:25.460]  We have huge end of Christmas end of the year sales the biggest ever.
[2:05:25.460 --> 2:05:29.460]  Clarence sales up to 75% off free shipping double patriot points.
[2:05:29.460 --> 2:05:31.460]  The new year is here.
[2:05:31.460 --> 2:05:33.460]  It's a great way to get healthy and fund the info war.
[2:05:33.460 --> 2:05:41.460]  So go to infowarslife.com and stock up on all the great products like brain force plus super mail vitality and X2 and X3.
[2:05:41.460 --> 2:05:42.460]  All of it is amazing.
[2:05:42.460 --> 2:05:48.460]  The real red pill plus the real red pill find out about these great products at infowarslife.com and fund the info war.
[2:05:48.460 --> 2:06:05.460]  Whatever you do remember 2020 is a critical year so everybody get the word out and fight for freedom.
[2:06:05.460 --> 2:06:10.460]  Defending the Republic from enemies born and domestic.
[2:06:10.460 --> 2:06:12.460]  It's Alex Jones.
[2:06:12.460 --> 2:06:22.460]  Okay I've got nine stacks of news I prepared with three or four other stacks that are all just insane but I'm not covering any of these till at least this board of callers is off.
[2:06:22.460 --> 2:06:27.460]  I'm gonna take more 8777892539877789 hours.
[2:06:27.460 --> 2:06:30.460]  Smart camera data leak.
[2:06:30.460 --> 2:06:35.460]  Exposed personal data of 2.4 million users that that's all done on purpose.
[2:06:35.460 --> 2:06:39.460]  We're gonna look at all of that.
[2:06:39.460 --> 2:06:48.460]  Trump blames Iran at the protest or storm U.S. Embassy in Baghdad.
[2:06:48.460 --> 2:06:52.460]  Paul Watts has got a new report the stupidest time in human history.
[2:06:52.460 --> 2:06:59.460]  Like water water everywhere on a drop to drink rhyme of the ancient mariner.
[2:06:59.460 --> 2:07:03.460]  We'll go to Luke we're gonna go to Mike Luke thank you for holding your awesome.
[2:07:03.460 --> 2:07:14.460]  The final transmission of info wars are my show in 2019 thanks for calling as your army veteran and says that info wars is vindicated please please tell us more.
[2:07:14.460 --> 2:07:16.460]  Absolutely Alex.
[2:07:16.460 --> 2:07:30.460]  So first reason I wanted to call is let the callers know that info wars is totally on in their Intel I just recently got out of military was part of the special operations community.
[2:07:30.460 --> 2:07:41.460]  And we were getting ready to invade North Korea and you were right on with your timelines I was listening to you the entire time and I was just blown away that.
[2:07:41.460 --> 2:07:49.460]  Like I don't know where you were getting your intel from but when I was listening to you it was like I was hearing and I was hearing.
[2:07:49.460 --> 2:07:56.460]  Other information privileged information that I thought was totally top secret but somehow you got it out.
[2:07:56.460 --> 2:08:08.460]  Anyway and so it wouldn't surprise me if all these different international entities are are listening to you constantly for what's going on in the world.
[2:08:08.460 --> 2:08:15.460]  But my brother he recently almost got he was almost murdered out in Vegas with that shooter.
[2:08:15.460 --> 2:08:24.460]  And I wanted to hear what if there's ever been any intel from you guys I know that you when I was listening to you back when that happened there was a lot of stuff that you had.
[2:08:24.460 --> 2:08:33.460]  You'd gotten a lot of tips and different things that had happened and I wanted to hear if there's anything that that actually came from that what what's going on with the I know they're trying to take our guns.
[2:08:33.460 --> 2:08:41.460]  I want to know what what's going on with the the whole investigation out in Vegas.
[2:08:41.460 --> 2:08:43.460]  Well we know what happened in Vegas.
[2:08:43.460 --> 2:08:54.460]  The Saudi Arabians were having a military Air Force will joint services convention.
[2:08:54.460 --> 2:09:10.460]  There were more than 10,000 Saudi nationals in the city of Las Vegas, Nevada, and they use that to bring in some al-Qaeda slash ISIS al-Nusra types to embarrass Trump and create a mass shooting.
[2:09:10.460 --> 2:09:14.460]  That would then be blamed on Trump and the American gun owner community.
[2:09:14.460 --> 2:09:23.460]  They had the brother who was working for deep state he wasn't in the CIA but he was contracting with with NATO.
[2:09:23.460 --> 2:09:27.460]  He'd been involved reportedly flying guns down during fast and furious.
[2:09:27.460 --> 2:09:29.460]  It wasn't just guns out of gun shops.
[2:09:29.460 --> 2:09:31.460]  The ATF was tracking that was a cover.
[2:09:31.460 --> 2:09:50.460]  It was weapons being shipped by Obama into Mexico to the cartels and then being shipped into the Middle East for the invasion of Libya and then Syria and the attempted complete overthrow of what happened in other areas like Kenya and Egypt.
[2:09:50.460 --> 2:10:05.460]  And so those weapons were brought into there and he had been involved in that and so he thought he was making a weapons deal and that's why it happened on the floors owned by the crown prince.
[2:10:05.460 --> 2:10:13.460]  And then that's why you saw Trump going to Saudi Arabia and a third of the royal family arrested a bunch of them secretly executed hung up.
[2:10:13.460 --> 2:10:14.460]  I'm not defending all this is what happened.
[2:10:14.460 --> 2:10:21.460]  You know they took over the fancy hotels and literally tortured thousands of them to find out who was involved in the coup.
[2:10:21.460 --> 2:10:25.460]  And then Trump said we're going to basically overthrow the House of Saud if you don't stop this.
[2:10:25.460 --> 2:10:31.460]  The House of Saud said oh we promise it's an attempt on us as well and then there's been a total regime change of those groups out of there.
[2:10:31.460 --> 2:10:34.460]  That's why you've seen a lot of Al Qaeda and ISIS stop their operations.
[2:10:34.460 --> 2:10:41.460]  Why you've seen their support and now we were able to get rid of al-Baghdadi and the rest of them because Trump said we're not funding radical Islam anymore.
[2:10:41.460 --> 2:10:45.460]  We're not blowing the doors off Europe. We're not going to flood Turkey with them. We're done.
[2:10:45.460 --> 2:10:47.460]  We're not doing all this crazy destabilization crap.
[2:10:47.460 --> 2:10:56.460]  That's why they call him incompetent and crazy is because he doesn't like to destabilize things from a sick globalist strategy of tension position.
[2:10:56.460 --> 2:11:02.460]  And so that's why they're so mad at Trump.
[2:11:02.460 --> 2:11:04.460]  And so that's why they said we don't know what happened in Vegas.
[2:11:04.460 --> 2:11:08.460]  So that's why people saw Middle Eastern men shooting people in other hotels.
[2:11:08.460 --> 2:11:14.460]  That's why there were dead bodies all over the place because the Saudi terrorists went crazy.
[2:11:14.460 --> 2:11:21.460]  But they didn't have a way getting past diplomatic security other than a few diplomats to get into the country with enough weapons.
[2:11:21.460 --> 2:11:25.460]  They didn't want weapons that could be traced back to the group in Saudi Arabia.
[2:11:25.460 --> 2:11:29.460]  And of course it was working with deep state, you know, the same crowd trying to embarrass Trump.
[2:11:29.460 --> 2:11:33.460]  The same ones trying to get the Iranians to attack the U.S. to get Trump into an embarrassing situation.
[2:11:33.460 --> 2:11:45.460]  The same group that just tried to take hostages. I know that's Shiites, but at that level, the Shiites and some arms of the Wahhabist Sunni are working with the Kerry Clinton Obama deep state.
[2:11:45.460 --> 2:11:59.460]  That's all admitted to again try to destabilize things, keep us in the Middle East and embarrass Trump just like the Bay of Pigs or just like the hostage crisis in 1979, 1980 with Jimmy Carter.
[2:11:59.460 --> 2:12:10.460]  And so they've got all these multiple paths going, but despite the stand down being ordered, the Iraqi military came in and stopped things even though SOC was ordered to stand down.
[2:12:10.460 --> 2:12:16.460]  They weren't able to get the hostages they wanted to start that whole fiasco with Trump and make him look weak.
[2:12:16.460 --> 2:12:21.460]  And so now that's why I said Trump's got to massively increase security at those embassies or leave them.
[2:12:21.460 --> 2:12:32.460]  And the green zone, as you know, is a giant armored mini city within Baghdad and they've got to give the normal orders that somebody crosses the line with a battering ram or a weapon or trying to knock down the walls.
[2:12:32.460 --> 2:12:36.460]  You kill them. And because it's not a war, you're stopping a war by doing that.
[2:12:36.460 --> 2:12:43.460]  So that's what I see going on. And you won't ever really hear what really happened with Saudi Arabia because you saw what Trump did.
[2:12:43.460 --> 2:12:49.460]  He went in there and took it over and killed thousands of people.
[2:12:49.460 --> 2:12:55.460]  Alex, all roads lead back to Saudi Arabia.
[2:12:55.460 --> 2:13:00.460]  Well, without getting into the stuff you saw or heard that was classified, give us your as a view, your citizen on that.
[2:13:00.460 --> 2:13:02.460]  Say that again.
[2:13:02.460 --> 2:13:05.460]  Give us as a citizen your view on that statement.
[2:13:05.460 --> 2:13:16.460]  So being in the military, I had a, all my superiors had top 25 books you should read.
[2:13:16.460 --> 2:13:22.460]  Guess how many soldiers actually read those books about zero to none with the exception of yours truly.
[2:13:22.460 --> 2:13:32.460]  And after going through all those different books and going through what what is really going on in the Middle East, all roads lead back to Saudi Arabia.
[2:13:32.460 --> 2:13:43.460]  And if you go into the deals that we made in the early late 70s after OPEC, we made a big deal with Saudi Arabia.
[2:13:43.460 --> 2:13:54.460]  And the whole idea was that we were going to use that deal to take over the resources and continually pull all those resources out of Saudi Arabia.
[2:13:54.460 --> 2:13:57.460]  And we were in the exchange was we were going to give them technology.
[2:13:57.460 --> 2:14:09.460]  But we what we didn't count on was that that Saudi Arabia was sitting on the biggest oil cash known to man and that we were going to still be pulling oil out of out of there 50 years later.
[2:14:09.460 --> 2:14:26.460]  And so then it's gotten to the point where it's hand and glove that the Saudis and the United States are so indistinguishable from one another because we've been doing business with each other for so long that now the United States is the Saudi Arabians attack dog in the Middle East.
[2:14:26.460 --> 2:14:39.460]  Literally anybody that is a against the House of Saud's agenda, those are the people that are going to be our next enemy.
[2:14:39.460 --> 2:14:41.460]  And that's why we're going after Iran.
[2:14:41.460 --> 2:14:47.460]  It's because it's not because of all these different, you know, Iran is a threat or whatever.
[2:14:47.460 --> 2:14:50.460]  It's because Saudi Arabia sees Iran as a threat.
[2:14:50.460 --> 2:15:00.460]  Well, I mean, I agree with you and then Israel usually gets the blame for being against Iran. They are as well. But I think Saudi Arabia, even more than Israel is who's pushing for confrontation.
[2:15:00.460 --> 2:15:01.460]  Exactly.
[2:15:01.460 --> 2:15:04.460]  All roads lead back to Saudi Arabia.
[2:15:04.460 --> 2:15:10.460]  So in 30 seconds, in 30 seconds, sir, what do you think Trump should do policy wise?
[2:15:10.460 --> 2:15:26.460]  I think that he should get off the old oil understanding, move into a new technology where we leave the dependency model of oil and we move into we release the technology that we already have existing.
[2:15:26.460 --> 2:15:37.460]  It's a hundred year old technology, Alex. Let's get rid of oil. Let's move into the future. Let's do what the United States is known for, which is innovating.
[2:15:37.460 --> 2:15:43.460]  Beautifully said. Wow. Look, thank you. These are the best calls we've ever had and more of them on the other side.
[2:15:43.460 --> 2:16:11.460]  There's just no way to cut these colors off. I'm like doing one color per segment, but it's dynamite. Stay with us.
[2:16:13.460 --> 2:16:33.460]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house. I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[2:16:33.460 --> 2:16:40.460]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved. I can help you too.
[2:16:40.460 --> 2:16:45.460]  If you have no taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case.
[2:16:45.460 --> 2:17:11.460]  Call 800-34-NO-TAX or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[2:17:11.460 --> 2:17:16.460]  Heart and body extract is making a difference in thousands of people's lives across America.
[2:17:16.460 --> 2:17:20.460]  My blood pressure has normalized. My diabetes has totally improved.
[2:17:20.460 --> 2:17:27.460]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[2:17:27.460 --> 2:17:35.460]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[2:17:35.460 --> 2:17:46.460]  Order your two-month supply today by calling 866-295-5305, that's 866-295-5305 or order online, hbextract.com.
[2:17:46.460 --> 2:17:54.460]  Heart and body extract, 866-295-5305 or hbextract.com.
[2:17:54.460 --> 2:18:05.460]  In the year 2020, crazed leftists are literally crawling out of their political graves and attacking Americans that dare not submit to their bullying.
[2:18:05.460 --> 2:18:16.460]  2020 is here and despite all the globalist efforts, thanks to you the listeners and viewers, Info Wars is still on the air in 2020.
[2:18:16.460 --> 2:18:25.460]  So remember, it's a great way to get healthy and get in shape and focus your mind with the products at infowarslife.com and fund the Info War.
[2:18:25.460 --> 2:18:31.460]  It's a total 360 win. All you've got to do is take action. The only way we fail is if you don't take action.
[2:18:31.460 --> 2:18:43.460]  These are amazing products. InfoWarsLife.com is more essential than ever to get high quality products to boost your mental and physical lifestyle clarity and so much more.
[2:18:43.460 --> 2:18:48.460]  And it funds the Info War. InfoWarsLife.com. InfoWarsLife.com.
[2:18:48.460 --> 2:18:54.460]  Into the year 2020, 2020 and InfoWarsLife.com. Take action now.
[2:18:54.460 --> 2:18:59.460]  A little less than four months ago, I made the announcement on air.
[2:18:59.460 --> 2:19:09.460]  I said, hey, I have a tendency to take the high quality supplements from InfoWarsLife for a while, get great results and then slowly I stop using them.
[2:19:09.460 --> 2:19:18.460]  I forget to religiously take them. I'm going to religiously take the supplements for the next few months and I've lost almost 40 pounds now.
[2:19:18.460 --> 2:19:23.460]  Everybody can see it on air. My energy is off the charts. Everything is amazing.
[2:19:23.460 --> 2:19:30.460]  And it's because I am taking the InfoWarsLife products, the Krill Oil. I'm taking the X2 and the X3.
[2:19:30.460 --> 2:19:34.460]  I'm taking the Brain Force Plus when I work out, when I have to work really late.
[2:19:34.460 --> 2:19:42.460]  I'm taking half a pack of Turbo Force. It is clean energy. It is really making my whole life so much more enjoyable.
[2:19:42.460 --> 2:19:45.460]  It's making the shows more focused. I've got more energy.
[2:19:45.460 --> 2:19:49.460]  We have huge sales going right now for the new year at InfoWarsLife.com.
[2:19:49.460 --> 2:20:05.460]  A big clearance sale. Take advantage of it all at InfoWarsLife.com.
[2:20:19.460 --> 2:20:26.460]  Another world. Another time.
[2:20:26.460 --> 2:20:33.460]  I never got to a screen and pod until the first day or I haven't gotten to it yet.
[2:20:33.460 --> 2:20:37.460]  If you are receiving this transmission, you are the Resistance.
[2:20:37.460 --> 2:20:43.460]  Live from Austin, Texas. Broadcasting worldwide. It's Alex Jones.
[2:20:43.460 --> 2:20:54.460]  And that's the big V-craft line over New York. And of course, those are U.S. spacecraft.
[2:20:54.460 --> 2:21:03.460]  And you heard the caller earlier talking about how we need to just come out with the technology we've got.
[2:21:03.460 --> 2:21:15.460]  The Air Force and others have had little leaks on purpose for foreign governments to know about in the past, but they've got anti-matter weapons, anti-matter extraction.
[2:21:15.460 --> 2:21:19.460]  And we're lucky we haven't blown ourselves up. I mean, this is really Atlantis-type stuff.
[2:21:19.460 --> 2:21:26.460]  So whether Atlantis was real or not, they got some secret technology that blew up the continent.
[2:21:26.460 --> 2:21:34.460]  Or whether the theoretical of Atlantis is possible, well, we now know it is.
[2:21:34.460 --> 2:21:40.460]  So that's what's going on. And we need to let the public know about this.
[2:21:40.460 --> 2:21:44.460]  The public needs to demand to know about these type of things.
[2:21:44.460 --> 2:21:49.460]  And that you're seeing right there is a hologram projection.
[2:21:49.460 --> 2:21:56.460]  Now, I really know a lot about this stuff just from real research and a few other things.
[2:21:56.460 --> 2:22:00.460]  But I never really get into it because there's so many other big things to deal with.
[2:22:00.460 --> 2:22:03.460]  But remember, a few months ago I was going to play it. It was on the news.
[2:22:03.460 --> 2:22:08.460]  Maybe dig around the computer to see if we have it. It's Iranians Fire at UFO.
[2:22:08.460 --> 2:22:17.460]  And clearly, it's a hologram. And so on a clear night, all it takes is a few aircraft that can be at 50,000 feet or it can be drones doing it.
[2:22:17.460 --> 2:22:24.460]  They can project a hologram. And the Iranians are going crazy with just hundreds of machine guns firing at it.
[2:22:24.460 --> 2:22:26.460]  It's pretty spectacular with their tracers.
[2:22:26.460 --> 2:22:32.460]  So a lot of what you see is holograms.
[2:22:32.460 --> 2:22:41.460]  But the really high-up stuff is blimps that they're using with a lot of different arrays and surveillance grids on them.
[2:22:41.460 --> 2:22:45.460]  And then there are obviously a lot of other satellites and things up in space.
[2:22:45.460 --> 2:22:50.460]  And Trump wants to start bringing all this out and show America the superiority while we still have it
[2:22:50.460 --> 2:22:55.460]  and then innovate and not transfer it to China and others and build the new economies going forward.
[2:22:55.460 --> 2:23:00.460]  The globalists want a post-industrial world where we get iPhones that spy on us and stuff like that.
[2:23:00.460 --> 2:23:06.460]  But that's the only real innovation and electric cars that take more carbon to operate than regular gas cars.
[2:23:06.460 --> 2:23:15.460]  There's footage of the Iranians firing at clearly what is a hologram when you slow it down and watch the HD video.
[2:23:15.460 --> 2:23:19.460]  That gives new meaning to cat-chasing a red laser.
[2:23:19.460 --> 2:23:22.460]  Oh man, it's hilarious.
[2:23:22.460 --> 2:23:30.460]  In fact, turn up the audio. It's fun to hear them talking in the background in Persian.
[2:23:30.460 --> 2:23:37.460]  That's clearly a hologram.
[2:23:37.460 --> 2:23:40.460]  And they're just like, oh, we can't seem to hit it.
[2:23:40.460 --> 2:23:43.460]  Can we now show a cat-chasing a red laser?
[2:23:43.460 --> 2:23:49.460]  It's the same concept.
[2:23:49.460 --> 2:23:55.460]  And of course, ABC News will probably repurpose that and claim it's Trump shooting down Kurdish airlines or something.
[2:23:55.460 --> 2:24:01.460]  Like ABC News said he was blowing up cities. Enough of me! Enough of me!
[2:24:01.460 --> 2:24:05.460]  By the way, this is set for a radio TV format with 15 minutes of ads an hour. That's the standard.
[2:24:05.460 --> 2:24:07.460]  But I am going to start a new show soon.
[2:24:07.460 --> 2:24:16.460]  There's hours a day at least with basically only commercials at the middle and start of the hour on top of this show in 2020.
[2:24:16.460 --> 2:24:19.460]  So that'll be announced in about two weeks.
[2:24:19.460 --> 2:24:22.460]  There you can see the cat-chasing, the UFO.
[2:24:22.460 --> 2:24:29.460]  Now, it doesn't know that that's a red laser. Its concept and all of its instincts and development is that if it sees something, it must be real.
[2:24:29.460 --> 2:24:35.460]  There you go. And you can see the same concept for the Iranians or anybody else for that matter.
[2:24:35.460 --> 2:24:43.460]  Because technology, to someone that doesn't know what it is, is magic and is indistinguishable, as Arthur C. Clarke once said.
[2:24:43.460 --> 2:24:46.460]  All projections of light.
[2:24:46.460 --> 2:24:50.460]  All right, let's go ahead and take another ring of dinghy.
[2:24:50.460 --> 2:24:54.460]  Mike in New Jersey, thank you. You're awesome for holding.
[2:24:54.460 --> 2:24:58.460]  We appreciate you. What are your predictions for 2020, my friend?
[2:24:58.460 --> 2:25:01.460]  Hey, Alex, how you doing? Happy New Year. God bless you.
[2:25:01.460 --> 2:25:02.460]  Thank you.
[2:25:02.460 --> 2:25:06.460]  Third-time caller. I've been a long-time listener. I've spent thousands of dollars on the products.
[2:25:06.460 --> 2:25:10.460]  Well, we wouldn't be here if it wasn't for you. And let me tell you, it's important, so thank you.
[2:25:10.460 --> 2:25:15.460]  Let me tell you, I'm on board. I'm listening every single day. I don't miss the day.
[2:25:15.460 --> 2:25:19.460]  So don't ever feel alone, brother, because I am on board listening to you every single day.
[2:25:19.460 --> 2:25:24.460]  I just bought the shirt with your laser eyes saying, don't dare listen to Alex Jones.
[2:25:24.460 --> 2:25:29.460]  And me and my daughter are going to try the whitening toothpaste, so that should be coming in the mail.
[2:25:29.460 --> 2:25:30.460]  Thank you, brother.
[2:25:30.460 --> 2:25:34.460]  Thank you. God bless you. So anyways, thanks for taking my call.
[2:25:34.460 --> 2:25:47.460]  What happened was maybe about a week ago, I was listening to the rebroadcast and you let the doors, riders on the storm, just play on the intro.
[2:25:47.460 --> 2:25:54.460]  And you kind of were analyzing the lyrics. And I'm a big doors fan, so I was like thinking about some of the other lyrics.
[2:25:54.460 --> 2:26:05.460]  And I had kind of a hindsight 2020 moment where I was thinking, you know, look at how Jim, back even in the 60s, was talking about the danger of TV.
[2:26:05.460 --> 2:26:16.460]  Like he says, I'm sick of dour faces staring at me from the TV tower. And he says, you know, she's got the world locked up inside a plastic box.
[2:26:16.460 --> 2:26:20.460]  You know, so he was 20th Century Fox.
[2:26:20.460 --> 2:26:24.460]  She's a 20th Century Fox, right? So he was already talking about.
[2:26:24.460 --> 2:26:28.460]  She don't waste time with elemental talk.
[2:26:28.460 --> 2:26:39.460]  That's right. That's right. And that's, you know, in that whole, that whole idea got me thinking about how we got this mess in a spiritual sense.
[2:26:39.460 --> 2:26:54.460]  So, you know, what I think has taken place over the last 50, 60 years in this country is we replaced God and Jesus Christ with a TV media God that was set up by Satan and that TV.
[2:26:54.460 --> 2:26:58.460]  And it got us hooked with gun smoke and all this stuff that seemed good. That's the worm on the hook.
[2:26:58.460 --> 2:27:03.460]  And then now it's like, by the way, we're going to teach your children how to die.
[2:27:03.460 --> 2:27:07.460]  And now it's hit the clown reasons with the TV.
[2:27:07.460 --> 2:27:19.460]  Basically, the way I look at it is we kind of that we deserve what we're getting right now, because if you look at the Bible, I mean, the TV, we have a symbol of an angler fish, a really scary deep sea fish.
[2:27:19.460 --> 2:27:27.460]  And the light on the end of its of its wand is a little TV. And then you zoom in and a little children are up close watching it.
[2:27:27.460 --> 2:27:30.460]  And that's the perfect allegory.
[2:27:30.460 --> 2:27:39.460]  Yeah. And like you're like your caller was talking about earlier with the chickens and the hawk, you know, like, you know, basically, we just get desensitized and just allow evil.
[2:27:39.460 --> 2:27:44.460]  Hey, guys, get Hillary off the screen. Don't just be randomly putting Hillary up on screen. Come on, crew.
[2:27:44.460 --> 2:27:48.460]  I was just screwed up. Just randomly put Hillary on screen.
[2:27:48.460 --> 2:27:59.460]  Maybe I'm going to get our incited from this call. But anyway, I was just thinking, you know, in terms of this being a spiritual war, my point was was thinking about Jim, you know, is like even going all the way back to
[2:27:59.460 --> 2:28:11.460]  then we were replacing Jesus and Christian values in this country with this new media God that was ushering in this new era of godlessness.
[2:28:11.460 --> 2:28:24.460]  And if you look in the Bible, like if you read the books of kings, you can see that every time that the Israelites disobeyed God, he always allowed like the Philistines or some other enemy to just rise up against them and start attacking them.
[2:28:24.460 --> 2:28:27.460]  That's right. Every time they threw God out the window, they got enslaved.
[2:28:27.460 --> 2:28:36.460]  And that's what's happening with us. And so you were saying, hey, you know, tell us what you think is going to happen going forward.
[2:28:36.460 --> 2:28:42.460]  And like the other caller was saying, what's going to happen when Trump's out of office? Well, I think you made a good point.
