[00:00:13.206 --> 00:00:15.328]  He is a very, very busy man.
[02:13:38.636 --> 02:13:43.718]  That's how long, Alex, they expect this uprising, quote, their word, not mine, to take place.
[02:13:44.298 --> 02:13:56.909]  And again, listen, we've been told by sources deep in the military that for the law enforcement officials that their families are going to be supposedly held in a safe place while they are deployed, but that they're not.
[02:13:56.909 --> 02:14:04.435]  They're going to be held almost as hostages and pawns to basically force the cops to do what they normally wouldn't do.
[02:14:04.795 --> 02:14:17.686]  Now, this is coming from inside military, and, you know, the whole event is to basically put our law enforcement out there as the first line of enforcement, and then get them all the way.
[02:14:17.686 --> 02:14:19.747]  This is exactly what Hitler did.
[02:14:19.747 --> 02:14:27.153]  And so, we've got Israel and Iran on the wild cards, we've got Russians and Chinese subs, and we don't have the P3 Orion
[02:14:30.796 --> 02:14:31.716]  Yes, I saw that.
[02:14:59.706 --> 02:15:01.247]  Why is that important?
[02:15:01.247 --> 02:15:09.429]  Because these are the people that are dismantling the United States to turn it into their happy hunting ground for the global elitist.
[02:15:09.429 --> 02:15:22.152]  And so when I hear that someone high in the intelligence community has just defected and he said that he will not be responsible for the death of 25 to 50 million Americans, if that doesn't get through, then Alex, I don't know how to talk.
[02:15:22.152 --> 02:15:23.253]  I don't know how to communicate.
[02:15:24.625 --> 02:15:27.507]  The globalists want to re-engineer America.
[02:15:27.507 --> 02:15:30.729]  They want to, once and for all, break the back of the country.
[02:15:30.729 --> 02:15:32.930]  They need a massive culling.
[02:15:32.930 --> 02:15:36.052]  They need something like Stalin or Lenin did or Mao did.
[02:15:36.052 --> 02:15:45.297]  And to do that, they're going to need a cover, like flu, to get their people in place and to get the troops and military to go along with it to set that precedent.
[02:15:45.297 --> 02:15:50.360]  Why, for several years we've confirmed, in and around a flu outbreak,
[02:15:52.324 --> 02:15:59.149]  How, I mean, are the troops that stupid that when the feds come and say gun owner militias are going to attack you at checkpoints?
[02:15:59.149 --> 02:16:02.851]  Well, yeah, because they're going to be at checkpoints breaking families up.
[02:16:02.851 --> 02:16:04.312]  I've been to these drills.
[02:16:04.312 --> 02:16:08.375]  Now they're doing live action drills with real checkpoints in Missouri.
[02:16:08.375 --> 02:16:11.537]  I just showed the mainstream news article earlier on screen.
[02:16:11.537 --> 02:16:14.439]  How do they plan on fomenting this uprising?
[02:16:14.439 --> 02:16:18.142]  Don't the military and police realize they're going to corner the American people?
[02:16:18.951 --> 02:16:28.243]  The people are going to riot because of starvation or not taking shots or whatever the case is and then that sets the precedent to use the troops against us?
[02:16:28.971 --> 02:16:29.851]  Well, right.
[02:16:29.851 --> 02:16:35.792]  Listen, I would not put it past them, and I'm sure they've got too many scenarios, as relayed to me years ago.
[02:16:35.792 --> 02:16:45.154]  They will set up the ideal situation where they will force specific people to fight for their lives, and then they're going to blame it as an ambush on the right wing.
[02:16:45.154 --> 02:16:56.816]  It'll only be paid international mercenaries attacking, you know, well-meaning, and I don't mean this with any disrespect, but really not that aware police, and probably not that aware
[02:16:57.696 --> 02:16:58.737]  No, absolutely.
[02:16:58.737 --> 02:17:02.918]  Operation Northwood says attack our own police inside the country.
[02:17:02.918 --> 02:17:09.280]  They're going to murder police on camera and put it on the news to get the cops hyped up to wage war with the people.
[02:17:09.280 --> 02:17:10.100]  Right.
[02:17:10.100 --> 02:17:14.661]  They want to get a civil war kicked off in this country to wreck everything.
[02:17:14.661 --> 02:17:17.382]  And just like Argentina, I've had their economist on.
[02:17:17.382 --> 02:17:20.883]  In a year, year and a half, people won't rebel anymore.
[02:17:20.883 --> 02:17:23.304]  They'll just be glad to have the electricity turned back on.
[02:17:23.704 --> 02:17:24.325]  Absolutely.
[02:17:24.325 --> 02:17:25.986]  That was what Khrushchev said.
[02:17:25.986 --> 02:17:28.569]  Americans would cave in six days without electricity.
[02:17:28.569 --> 02:17:29.650]  Maybe six or seven days.
[02:17:29.650 --> 02:17:31.412]  So here's the deal, though.
[02:17:31.412 --> 02:17:33.374]  It's going to be important.
[02:17:33.374 --> 02:17:35.376]  You're saying, how can it be screwed up?
[02:17:35.376 --> 02:17:42.183]  They will have to play their hand if everybody in local law enforcement, the National Guard, just simply balks at it.
[02:17:42.183 --> 02:17:45.326]  And listen, if they're given an order to kill their fellow countrymen,
[02:17:45.706 --> 02:17:49.067]  At that point, they've got to consider who gave the order.
[02:17:49.067 --> 02:17:51.767]  Here's something, Alex, that will really help everybody understand.
[02:17:51.767 --> 02:17:54.108]  This is as specific as I can make it.
[02:17:54.108 --> 02:17:55.468]  You first... Here's what they're doing.
[02:17:55.468 --> 02:17:56.088]  The PSYOPs.
[02:17:56.088 --> 02:17:57.768]  They're identifying a group.
[02:17:57.768 --> 02:17:59.289]  Now they're vilifying that group.
[02:17:59.289 --> 02:18:01.249]  Gun owners, militia, you name it.
[02:18:01.249 --> 02:18:02.369]  Whatever they fill in the blank.
[02:18:02.369 --> 02:18:05.210]  Constitutionals, patriots, radio talk show hosts.
[02:18:05.210 --> 02:18:06.310]  Then they nullify them.
[02:18:06.310 --> 02:18:07.990]  Well, those people are no good.
[02:18:07.990 --> 02:18:10.791]  That's what Obama's acorn is all about.
[02:18:10.791 --> 02:18:12.331]  And all of his grassroots movement.
[02:18:12.671 --> 02:18:25.303]  The fact that they have to put the National Security Agency, 1,000 people on the internet to try and debunk 9-11, hello people, would you do that if there wasn't anything to it?
[02:18:25.303 --> 02:18:33.431]  And by the way, they admit now the Pentagon is hiring private contractors and has their own people out there countering us, countering the in the Fed groups.
[02:18:33.891 --> 02:18:44.954]  I mean they're openly listing us as the enemy when obviously NORTHCOM is owned and run by foreign offshore banks that are engaged in a criminal, illegitimate corporate takeover of this country, Steve.
[02:18:44.954 --> 02:18:57.156]  I mean, I think the solution is you get the word out to the military, you get it out to the police, you point out that we've been right in the past, you give them the materials, I'm talking to listeners, like your lives and the future depends on it.
[02:18:57.156 --> 02:18:59.557]  Because I believe if we get the word out about this,
[02:19:00.077 --> 02:19:04.644]  And we show people and educate them and go, look police, they built all this up.
[02:19:04.644 --> 02:19:10.952]  We know you got training for a flu outbreak in the last year before they even launched this.
[02:19:10.952 --> 02:19:15.499]  Don't you see how they built the infrastructure and right as it was complete,
[02:19:15.959 --> 02:19:20.043]  As the paint was drying, they launched this because they're behind schedule.
[02:19:20.043 --> 02:19:21.605]  This is staged.
[02:19:21.605 --> 02:19:23.627]  The flu shot doesn't protect you.
[02:19:23.627 --> 02:19:24.628]  It's deadly.
[02:19:24.628 --> 02:19:28.973]  The government's been caught putting chemical and biologicals in shots before.
[02:19:28.973 --> 02:19:30.294]  They're eugenicists.
[02:19:30.294 --> 02:19:31.596]  They have a plan for this.
[02:19:33.231 --> 02:19:35.953]  The globalists are trying to take down America.
[02:19:35.953 --> 02:19:36.854]  This is real.
[02:19:36.854 --> 02:19:38.595]  It's really happening.
[02:19:38.595 --> 02:19:41.158]  You've got to stand with the people and spread the word.
[02:19:41.158 --> 02:19:44.180]  If we don't do that, it's going to be bad.
[02:19:44.180 --> 02:19:57.191]  And we may not even completely stop them, but at least we can weaken what they do and hope they just fearmonger and settle for getting some soft-kill cancer viruses and sterilants implanted in 20-30 million idiots to take the shots.
[02:19:58.717 --> 02:20:00.878]  The world appears to be on the brink of collapse.
[02:20:00.878 --> 02:20:08.022]  Experts say a pinch of heirloom vegetable seed could soon be the most valuable resource on earth because it will provide healthy food now and every year after.
[02:20:08.022 --> 02:20:13.865]  Survivalistseeds.com now has the heirloom garden seed time capsule, allowing you to store your seeds for the future anywhere.
[02:20:13.985 --> 02:20:14.225]  We're good.
[02:20:34.088 --> 02:20:38.713]  Our competition charges $0.10 to $1.25 per seed for these same heirloom varieties.
[02:20:38.713 --> 02:20:46.400]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon, and 16 other varieties for about a penny a seed each!
[02:20:46.400 --> 02:20:47.201]  Be prepared!
[02:20:47.201 --> 02:20:52.446]  Buy your heirloom seeds today from SurvivalistSeeds.com and have food insurance for your family forever!
[02:20:52.446 --> 02:20:54.268]  Visit SurvivalistSeeds.com.
[02:20:54.268 --> 02:20:56.450]  SurvivalistSeeds.com is owned by Big John Lipscomb.
[02:20:58.106 --> 02:20:58.687]  Good day.
[02:20:58.687 --> 02:21:00.309]  Jim Newcomer from Midas Resources.
[02:21:00.309 --> 02:21:00.589]  August 19, 2009.
[02:21:00.589 --> 02:21:01.571]  Gold opened this morning at $9.3340.
[02:21:01.571 --> 02:21:04.614]  A 1-ounce gold coin can be purchased for $9.6023, $4.8011 for the half-ounce, or $2.4006 for a quarter-ounce.
[02:21:04.614 --> 02:21:05.215]  That's $9.6023, $4.8011, and $2.4006.
[02:21:15.692 --> 02:21:26.620]  On June 4th, 1963, Executive Order 11110 was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[02:21:26.620 --> 02:21:29.982]  With a stroke of a pen, Kennedy would have put the Fed out of business.
[02:21:29.982 --> 02:21:33.505]  The November assassination quieted the production of the new currency.
[02:21:33.505 --> 02:21:36.387]  However, the Executive Order still stands unrepealed.
[02:21:36.607 --> 02:21:39.509]  Midas has the Kennedy vs. Fed document.
[02:21:39.509 --> 02:21:42.572]  Call 800-686-2237.
[02:21:42.572 --> 02:21:44.993]  Unlike your liberty, the paper is free.
[02:21:44.993 --> 02:21:48.016]  Call 800-686-2237.
[02:21:48.016 --> 02:21:51.879]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[02:21:51.879 --> 02:21:52.059]  That's 800-686-2237.
[02:21:58.368 --> 02:22:04.410]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:22:04.410 --> 02:22:10.291]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[02:22:10.291 --> 02:22:16.433]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:22:16.773 --> 02:22:18.734]  Well, Obama's already fudging.
[02:22:18.734 --> 02:22:21.214]  He's fudged since day one in this election.
[02:22:21.214 --> 02:22:34.399]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[02:22:34.399 --> 02:22:36.079]  It's not about left or right.
[02:22:36.079 --> 02:22:37.940]  It's about a one-world government.
[02:22:37.940 --> 02:22:44.182]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:22:44.841 --> 02:22:53.106]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:22:53.106 --> 02:22:54.687]  The Obama Deception.
[02:22:54.687 --> 02:22:55.868]  The people strike back!
[02:22:58.146 --> 02:23:04.449]  If you'd like to replace the ineffective and toxic cleaning products under your sink, you need to visit BioGreenClean.com.
[02:23:04.449 --> 02:23:11.812]  BioGreenClean is the first heavy-duty, all-natural, multi-purpose cleaner that outperforms every other competitive cleaning product on the market today.
[02:23:11.812 --> 02:23:20.495]  BioGreenClean is tough enough to take on the kitchen, the bathroom, your outdoor grill, and virtually anything in your car, home, boat, or office, yet is safe enough for your children and pets.
[02:23:20.495 --> 02:23:27.318]  BioGreenClean does not contain harmful chemical solvents, such as commonly used chemicals, butoxethanol, petroleum products,
[02:23:27.478 --> 02:23:28.118]  We're good to go.
[02:24:10.828 --> 02:24:12.049]  He just quit doing his radio show.
[02:24:12.049 --> 02:24:14.171]  The only two shows he'll do are this one and George Norris.
[02:24:14.171 --> 02:24:15.352]  We're honored to have him.
[02:24:15.352 --> 02:24:17.414]  He's going to pop back in next week with us.
[02:24:17.414 --> 02:24:19.216]  I want to go to your calls in this segment and the next.
[02:24:19.216 --> 02:24:24.460]  Before he leaves us, I want to get his take on Holdren's eugenics Bible, White House science czar.
[02:24:24.460 --> 02:24:27.043]  I mean, they have a history of this.
[02:24:27.043 --> 02:24:33.568]  They've been caught doing it, and clearly this flu is just a hoax unless they release something more deadly.
[02:24:34.448 --> 02:24:34.928]  Yes, Alex and Steve.
[02:24:48.928 --> 02:24:56.755]  I don't know if you followed it, but Mutual Bank, that was a local chain with branches in Texas, was closed in the Chicago area.
[02:24:56.755 --> 02:25:02.800]  Significance is that they originated through Tony Resco, Obama's mortgage.
[02:25:02.800 --> 02:25:05.062]  So they announced it at 6 o'clock on Friday.
[02:25:05.062 --> 02:25:06.263]  I have money there as a deposit.
[02:25:06.263 --> 02:25:07.123]  I'm going to let you go.
[02:25:07.123 --> 02:25:09.025]  I'm going to let you go, Steve.
[02:25:09.025 --> 02:25:11.147]  I expressly ask callers to call and ask.
[02:25:11.147 --> 02:25:14.750]  You know, we're hurtling towards September and October and November and December.
[02:25:15.711 --> 02:25:22.176]  They're openly saying lockdown, troops on the streets, forced inoculation on CNN.
[02:25:22.176 --> 02:25:23.317]  Obama is a puppet.
[02:25:23.317 --> 02:25:24.998]  He's dropping like a stone.
[02:25:24.998 --> 02:25:26.900]  That's why they're going to stage something.
[02:25:26.900 --> 02:25:30.203]  And I just asked you to call in about the big, serious issue.
[02:25:30.203 --> 02:25:32.324]  Okay?
[02:25:32.324 --> 02:25:33.365]  No more of this, callers.
[02:25:33.365 --> 02:25:39.470]  When I have a special guest on and we're covering a specific issue and I open the phones up, I'm not going to do it.
[02:25:39.470 --> 02:25:40.991]  Stan in Missouri, you're on the air.
[02:25:40.991 --> 02:25:42.112]  Go ahead.
[02:25:42.112 --> 02:25:43.153]  Hello, Steve and Alex.
[02:25:44.179 --> 02:25:48.409]  I believe that our own worst enemy is going to be in our own home, because I'm going to tell you why.
[02:25:48.409 --> 02:25:54.722]  I believe a lot of your relatives are going to try to coerce you into taking these flu vaccinations, and I want Steve's take on this.
[02:25:55.598 --> 02:26:01.463]  Well, I mean, I believe the literal scripture that says the enemy of a man's life are going to be those of his own household.
[02:26:01.463 --> 02:26:03.525]  What happens when a husband won't, a wife will?
[02:26:03.525 --> 02:26:05.987]  What happens when the kids can't go to school?
[02:26:05.987 --> 02:26:14.554]  Because, and let me make the plea to everyone, do not sacrifice your family or your children or any loved ones for convenience.
[02:26:14.554 --> 02:26:19.518]  Get out of the necessity to be where you're not going to be able to be if you don't get the flu shot.
[02:26:21.459 --> 02:26:31.543]  Well, they know how to scare people.
[02:26:31.543 --> 02:26:33.063]  They know how to create hysteria.
[02:26:33.063 --> 02:26:34.284]  They know how to create fear.
[02:26:34.284 --> 02:26:35.124]  Thank you, Stan.
[02:26:35.124 --> 02:26:36.545]  Great point.
[02:26:36.545 --> 02:26:42.887]  And to create that stampeding, that herding the people over the edge of the cliff.
[02:26:42.887 --> 02:26:49.270]  That's why, before we get into that area, and Steve's right, it's happening now, the fear-mongering, the hype by the enemy.
[02:26:49.790 --> 02:26:52.993]  We're saying be scared because we know their shots have been deadly.
[02:26:52.993 --> 02:26:57.477]  We know they engineered the swine flu outbreak from the military base with inoculations in 76.
[02:26:57.477 --> 02:27:00.040]  I mean, even 60 Minutes admits that.
[02:27:00.040 --> 02:27:02.362]  I mean, what we're telling you is a fact.
[02:27:02.362 --> 02:27:04.944]  Don't take the shots, folks.
[02:27:04.944 --> 02:27:08.007]  I mean, what happens when real flu deaths start by the tens of thousands?
[02:27:08.007 --> 02:27:09.068]  They're gonna hype it.
[02:27:09.068 --> 02:27:13.292]  If they almost had total lockdown over a couple deaths, what's gonna happen with thousands, Steve?
[02:27:13.712 --> 02:27:15.013]  Well, here's the deal, too, Alex.
[02:27:15.013 --> 02:27:34.509]  I don't think people understand that in the chemtrail spraying that's been going on, which is not BS, it's real, and there are multiple factions incorporating multiple projects within the chemtrail spraying, is that would be the preliminary, if you will, poison to be followed by a secondary or a tertiary injection.
[02:27:34.509 --> 02:27:38.813]  People have got to ask yourself, why are they saying that some kids will have to have four different shots
[02:27:39.364 --> 02:27:53.293]  I absolutely am appalled and it's abhorrent to me as a human being that these devils, these monsters would use children as guinea pigs and not just your kids or my kids or my grandkids, but everybody's kids.
[02:27:53.293 --> 02:27:59.538]  And we are not fit to be called human beings and we are not fit to be called parents if we sit by and do nothing.
[02:27:59.538 --> 02:28:03.900]  Now if the kids are old and they take that against our counsel, then that's in God's hands.
[02:28:03.900 --> 02:28:07.423]  But the bottom line is, Alex, this is not just the flu.
[02:28:07.423 --> 02:28:09.144]  Here's what I want everyone to start thinking of.
[02:28:09.624 --> 02:28:14.785]  Think of the word viral cocktail and it will be more accurate than H1N1 or H1N5.
[02:28:14.785 --> 02:28:16.426]  Well think about this.
[02:28:16.426 --> 02:28:19.167]  They're saying they want to give people all these experimental shots.
[02:28:19.167 --> 02:28:20.227]  It's already going on.
[02:28:20.227 --> 02:28:21.107]  Already killing people.
[02:28:21.107 --> 02:28:22.787]  Already causing adverse reactions.
[02:28:22.787 --> 02:28:24.368]  The Gardasil's killing a bunch of people.
[02:28:24.368 --> 02:28:25.308]  They don't care.
[02:28:25.308 --> 02:28:27.109]  Bayer's shipping out HIV in shots.
[02:28:27.109 --> 02:28:27.529]  Killing people.
[02:28:27.529 --> 02:28:28.309]  They don't care.
[02:28:28.309 --> 02:28:29.349]  Bird flu vaccines.
[02:28:29.349 --> 02:28:30.569]  Killing people in mass.
[02:28:30.569 --> 02:28:31.450]  Mainstream news.
[02:28:31.450 --> 02:28:33.270]  The media goes, oh that's no big deal.
[02:28:33.270 --> 02:28:35.471]  That's acceptable losses.
[02:28:35.471 --> 02:28:36.111]  Meanwhile,
[02:28:37.594 --> 02:28:39.616]  I mean, this is just so incredible to see.
[02:28:39.616 --> 02:28:43.920]  They admit it's mutating in the people and could create something.
[02:28:43.920 --> 02:28:47.143]  Do they know this is designed to mutate into something deadly?
[02:28:47.143 --> 02:28:50.646]  Because normally a virus mutates into something harmless or less harmful.
[02:28:50.646 --> 02:28:55.171]  How can they be saying for a certainty it's going to be devastating?
[02:28:55.171 --> 02:28:56.552]  I mean, that shows it's engineered.
[02:28:56.892 --> 02:28:58.093]  It does show it's engineered.
[02:28:58.093 --> 02:28:59.854]  Let me just put everyone into perspective.
[02:28:59.854 --> 02:29:08.018]  Historically, when mad cow disease first became of any concern to anyone, I started saying, listen, it's a bio-weapon.
[02:29:08.018 --> 02:29:09.319]  Here's the history.
[02:29:09.319 --> 02:29:15.482]  It was basically designed from something in New Guinea called Kuru.
[02:29:15.482 --> 02:29:18.744]  They had hunters who would eat their fallen enemies.
[02:29:18.744 --> 02:29:21.906]  They were developing a form of spongiform encephalopathy.
[02:29:21.906 --> 02:29:23.847]  That was taken to the U.S.
[02:29:23.847 --> 02:29:26.068]  military's bio-weapons development program.
[02:29:26.448 --> 02:29:38.275]  The bottom line is, Alex, what they're going to pour out on people, and literally pour out in whatever manner, way, shape, or form, is going to be a viral cocktail, and it's going to be so horrifically lethal that it would not surprise me.
[02:29:38.275 --> 02:29:41.017]  Well, look, it's also gonna be soft kill, a lot of it.
[02:29:41.017 --> 02:29:45.319]  People are dying of cancer at age 5 now, they're getting Alzheimer's when they're 30.
[02:29:45.319 --> 02:29:47.020]  I mean, people are dying left and right.
[02:29:47.020 --> 02:29:49.722]  They are doing- We're on the march.
[02:29:49.722 --> 02:29:51.383]  The Empire's on the run.
[02:29:51.383 --> 02:29:54.945]  Alex Jones and the GCN Radio Network.
[02:29:57.841 --> 02:30:02.082]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[02:30:02.082 --> 02:30:04.082]  Do you really know what's in your tap water?
[02:30:04.082 --> 02:30:12.604]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[02:30:12.604 --> 02:30:18.146]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[02:30:18.146 --> 02:30:19.766]  Now, what are you going to do about it?
[02:30:20.006 --> 02:30:26.530]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[02:30:26.530 --> 02:30:37.577]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[02:30:37.577 --> 02:30:38.037]  That's right.
[02:30:38.337 --> 02:30:40.898]  Clean water, right from the air you breathe.
[02:30:40.898 --> 02:30:42.718]  Order today by calling 1-800-691-6043.
[02:30:42.718 --> 02:30:42.978]  That's 1-800-691-6043.
[02:30:42.978 --> 02:30:45.559]  Or visit Ecolablue on the web at www.ecoloble.com today.
[02:30:45.559 --> 02:30:46.179]  That's Ecolablue.com.
[02:30:57.790 --> 02:30:59.172]  This is Alex Jones.
[02:30:59.172 --> 02:31:01.174]  Have you heard of the Millionaire Patriot?
[02:31:01.174 --> 02:31:02.155]  Well, you should.
[02:31:02.155 --> 02:31:06.640]  He has a free handgun and five days of firearms training waiting for you.
[02:31:06.640 --> 02:31:07.461]  That's right.
[02:31:07.461 --> 02:31:16.131]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[02:31:16.131 --> 02:31:17.472]  All for pennies on the dollar.
[02:31:17.472 --> 02:31:18.634]  Plus, if you act fast.
[02:31:18.814 --> 02:31:24.799]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[02:31:24.799 --> 02:31:31.704]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[02:31:31.704 --> 02:31:37.228]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[02:31:37.228 --> 02:31:38.689]  This is real.
[02:31:38.689 --> 02:31:39.730]  Don't miss out.
[02:31:39.730 --> 02:31:46.615]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[02:31:46.835 --> 02:31:48.278]  And get your free handgun.
[02:31:48.278 --> 02:31:50.643]  Go to FrontSight.com today.
[02:31:50.643 --> 02:31:54.351]  That's F-R-O-N-T-S-I-G-H-T dot com.
[02:31:54.351 --> 02:31:57.277]  Go to FrontSight.com for your training and free gun.
[02:31:58.137 --> 02:32:03.340]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[02:32:03.340 --> 02:32:07.363]  Number one, new climate legislation could easily double or triple your electric bill.
[02:32:07.363 --> 02:32:13.266]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[02:32:13.266 --> 02:32:18.330]  It's true, total government control of electricity in the name of smart grid technology is coming.
[02:32:18.330 --> 02:32:18.790]  Number three,
[02:32:19.250 --> 02:32:25.538]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[02:32:25.538 --> 02:32:28.442]  The hurricane and dangerous summer storm season is here again.
[02:32:28.442 --> 02:32:32.967]  Every year, thousands of families lose their power from weather-related outages.
[02:32:32.967 --> 02:32:36.592]  A solar power generator provides powerful backup insurance and peace of mind.
[02:32:36.812 --> 02:32:42.536]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[02:32:42.536 --> 02:32:47.239]  You can get more information at www.mysolarbackup.com.
[02:32:47.239 --> 02:32:49.020]  That's mysolarbackup.com.
[02:32:49.020 --> 02:32:51.582]  Remember, the government doesn't own the sun yet.
[02:32:51.582 --> 02:32:54.283]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[02:32:54.283 --> 02:32:55.184]  Day after day, alone on the
[02:33:07.941 --> 02:33:15.248]  Ladies and gentlemen, Steve Quayle will be joining us next Wednesday at High Noon Central Standard Time, 11am his time, Mountain.
[02:33:15.248 --> 02:33:17.790]  SteveQuayle.com is the website.
[02:33:17.790 --> 02:33:20.272]  SteveQuayle.com, we'll give you that spelling here in a moment.
[02:33:20.272 --> 02:33:25.036]  We also have a link to it up on InfoWars.com, and he's not pumping it, but he should be.
[02:33:25.036 --> 02:33:29.100]  We'll talk about some of his books that he has written specifically on all this.
[02:33:30.751 --> 02:33:34.473]  Holdren is proposing chemtrailing to save the Earth's atmosphere.
[02:33:34.473 --> 02:33:36.534]  They're already doing it, and that's what's causing the droughts.
[02:33:36.534 --> 02:33:37.514]  That's been proven.
[02:33:37.514 --> 02:33:40.155]  I've had the father of weather weapons on.
[02:33:40.155 --> 02:33:44.177]  The father of weather weapons that AP and Reuters has met is the father of weather weapons.
[02:33:44.177 --> 02:33:45.798]  Documenting what they're really doing.
[02:33:45.798 --> 02:33:51.100]  I want to go back to your calls, Mark, Andy, Tim, Rich, Mike, and others here in just a moment.
[02:33:52.267 --> 02:34:03.835]  Before I do that, speaking of race-specific bioweapon, and how they've been caught putting them in vaccines, that is covered in Holdren's own White House Science Czar battle plan.
[02:34:03.835 --> 02:34:05.176]  Ecoscience.
[02:34:05.176 --> 02:34:11.420]  That we broke here, pushed out in the national news, thanks to you, the listeners, that now has been covered by CNN, AP, you name it.
[02:34:11.420 --> 02:34:16.923]  But they say, oh, maybe it is good to forcibly sterilize and take all kids at birth and raise them in CPS facilities.
[02:34:16.923 --> 02:34:21.847]  And the British News yesterday said 20,000 homes to get cameras to watch their kids with CPS.
[02:34:22.607 --> 02:34:24.168]  I mean, this is 1984.
[02:34:24.168 --> 02:34:28.111]  They really are announcing troops on the streets of America.
[02:34:28.111 --> 02:34:38.318]  But I had the former CNN producers and reporters, writers for Rolling Stone, writers for Harper's on last week, their film, Anthrax War, that we sell at InfoWars.com.
[02:34:38.318 --> 02:34:42.701]  They interviewed the head of South African Bioweapons, who sold to the U.S.
[02:34:42.701 --> 02:34:49.606]  and to England and to Israel, race-specific bioweapons that are put in vaccines to sterilize you.
[02:34:51.636 --> 02:34:53.417]  This is not a game.
[02:34:53.417 --> 02:34:57.860]  This is not a joke.
[02:34:57.860 --> 02:35:03.904]  This is so important, ladies and gentlemen, to get anthrax war, to show it to friends and family.
[02:35:03.904 --> 02:35:07.707]  My point is, everybody we talk to that's researching finds the same thing.
[02:35:07.707 --> 02:35:09.168]  They're doing it!
[02:35:09.168 --> 02:35:10.709]  It's real!
[02:35:10.709 --> 02:35:16.113]  It's not just my film, Endgame, or Holder and the Science Czar's book, or the United Nations Biological Diversity Assessment.
[02:35:17.039 --> 02:35:20.241]  In fact, we're going to cover the eugenics angle now and then go back to your calls with Steve Quayle.
[02:35:20.241 --> 02:35:28.965]  Before I do that, one other sponsor that I wanted to thank here, if I had the sponsor folder, here it is.
[02:35:28.965 --> 02:35:33.407]  It is the sponsors that make this show possible, and I just want to thank all of our great sponsors.
[02:35:33.407 --> 02:35:36.629]  I've been forgetting to plug our sponsors lately, so I'm catching up today.
[02:35:38.274 --> 02:35:40.315]  Please take note of the sponsors.
[02:35:40.315 --> 02:35:44.737]  You just heard Steve Quayle separately saying, get prepared, get storable foods, get ready.
[02:35:44.737 --> 02:35:53.122]  Well, the J. Michael Stevens Group, efoodsdirect.com, high quality, non-hybrid, non-GMO, triple enamel cans, recently packaged.
[02:35:53.122 --> 02:35:54.823]  They package it every month.
[02:35:54.823 --> 02:35:57.564]  One of the biggest outfits out there, great people.
[02:35:57.564 --> 02:36:05.568]  This is who we believe in, where I've got my storable food, efoodsdirect.com, free videos online, brochures, water filters, cook stoves.
[02:36:05.568 --> 02:36:06.829]  They've got boogie packs.
[02:36:07.549 --> 02:36:14.856]  Getaway Packs, 800-409-5633, 800-409-5633 or efoodsdirect.com.
[02:36:14.856 --> 02:36:16.278]  Take action today.
[02:36:16.278 --> 02:36:20.962]  Give them a call at 800-409-5633 or efoodsdirect.com.
[02:36:20.962 --> 02:36:22.444]  I believe in all this.
[02:36:22.444 --> 02:36:26.548]  I mean, you know, I'm trying to find a little piece of property, but I can't really afford anything.
[02:36:26.548 --> 02:36:28.770]  So we've got an East Texas ranch I can try to run to.
[02:36:28.770 --> 02:36:30.371]  I don't know about negative to the checkpoints.
[02:36:31.301 --> 02:36:34.782]  You gotta kind of move your family out before this happens.
[02:36:34.782 --> 02:36:37.323]  I've got storable food.
[02:36:37.323 --> 02:36:38.683]  Folks, I know this is real.
