[00:00.000 --> 00:09.000]  This is an emergency transmission from FEMA Region 6 in occupied North America.
[02:00:12.600 --> 02:00:15.600]  This is the heart of 1776.
[02:00:15.600 --> 02:00:20.600]  Yes, I have thought an awful lot about growing up the White House.
[02:00:20.600 --> 02:00:27.600]  Huge nationwide protests erupted once again on President Donald Trump's second weekend in office.
[02:00:32.600 --> 02:00:38.600]  When you open your heart to patriotism, there is no room for prejudice.
[02:00:38.600 --> 02:00:44.600]  When America is united, America is totally unstoppable.
[02:00:44.600 --> 02:00:48.600]  Donald J. Trump is now president of the United States.
[02:00:48.600 --> 02:00:54.600]  And most importantly, we will be protected by God.
[02:00:54.600 --> 02:00:59.600]  From the front lines of the info wheel, it's Alex Jones.
[02:01:09.600 --> 02:01:15.600]  Welcome to the beginning of the third hour of the first transmission of 2018.
[02:01:15.600 --> 02:01:19.600]  That's going to take some getting used to.
[02:01:19.600 --> 02:01:22.600]  The globalists don't want us to build our own economy.
[02:01:22.600 --> 02:01:25.600]  But when you fund the info war, you fund your own future.
[02:01:25.600 --> 02:01:28.600]  You've seen the dividends just in the tax cuts, the sovereignty,
[02:01:28.600 --> 02:01:31.600]  our borders getting secure that supporting info war has already brought you.
[02:01:31.600 --> 02:01:36.600]  So get free shipping and 50% off on mycozx and fluorolife that go great together for gut health.
[02:01:36.600 --> 02:01:40.600]  Right now at infowarstore.com, this special is about to end.
[02:01:40.600 --> 02:01:44.600]  But let's also look at the victims of globalism and how welfare is used to control them.
[02:01:44.600 --> 02:01:50.600]  I know people, they work three jobs and they live next to somebody who doesn't work at all.
[02:01:50.600 --> 02:01:55.600]  And the person who's not working at all and has no intention of working at all
[02:01:55.600 --> 02:02:03.600]  is making more money and doing better than the person that's working his and her ass off.
[02:02:03.600 --> 02:02:07.600]  And it's not going to happen. Not going to happen.
[02:02:07.600 --> 02:02:11.600]  Give me my food stamps.
[02:02:11.600 --> 02:02:14.600]  Do you really want to work or do you just want to get a free check?
[02:02:14.600 --> 02:02:17.600]  I just want to get a free check.
[02:02:17.600 --> 02:02:19.600]  There's a sign behind you that says Waverly Job Center.
[02:02:19.600 --> 02:02:24.600]  Do you have any intention of going in to get a job or are you just going to get the food stamps?
[02:02:24.600 --> 02:02:27.600]  I'm not looking for a job.
[02:02:27.600 --> 02:02:32.600]  Why should I have to go work at retail and deal with snobby customers?
[02:02:32.600 --> 02:02:38.600]  Why? Why should I have to dare choose to do that?
[02:02:38.600 --> 02:02:42.600]  We call the Department of Children and Families to see what they've been doing to help.
[02:02:42.600 --> 02:02:49.600]  DCF says Hillsborough Kids Incorporated has been helping by paying Adam's rent, even providing her furniture.
[02:02:49.600 --> 02:02:52.600]  Adam says it isn't enough.
[02:02:52.600 --> 02:02:56.600]  Somebody needs to pay for all my children.
[02:02:56.600 --> 02:02:59.600]  And my and Gary all are suffering.
[02:02:59.600 --> 02:03:03.600]  Somebody needs to be held accountable and they need to pay.
[02:03:03.600 --> 02:03:12.600]  I honestly don't want to work and I'm not going to.
[02:03:12.600 --> 02:03:13.600]  Can't force me.
[02:03:13.600 --> 02:03:16.600]  I need my food stamps. I need them.
[02:03:16.600 --> 02:03:21.600]  Okay, this is not a joke. Just give me my food stamps. It's all I'm asking for.
[02:03:21.600 --> 02:03:31.600]  They are not incapacitated in any way or they don't have a mental or physical disability that's documented and or could be observable.
[02:03:31.600 --> 02:03:39.600]  More counties will join them as federal exemptions to the requirements expire now that unemployment is below 10% for each affected county.
[02:03:39.600 --> 02:03:44.600]  I felt really bad about being on food stamps for a while. They're just for people who really, really need it.
[02:03:44.600 --> 02:03:47.600]  I thought and I'm like living this flippant lifestyle in San Francisco.
[02:03:47.600 --> 02:03:49.600]  Do you think you really, really need it?
[02:03:49.600 --> 02:03:55.600]  Well, yeah. And eventually I just sort of realized that even though I'm 24, I still have responsibilities.
[02:03:55.600 --> 02:04:01.600]  I still have like hopes for my future and if I need to be on food stamps to make that happen, then maybe I do really need it.
[02:04:01.600 --> 02:04:02.600]  Are you employed?
[02:04:02.600 --> 02:04:03.600]  No.
[02:04:03.600 --> 02:04:05.600]  How do you feel about that?
[02:04:05.600 --> 02:04:13.600]  I'm comfortable with it and I feel like I don't need to work for one because I get a check from the government every month.
[02:04:13.600 --> 02:04:18.600]  Do you feel guilty about using your food stamp card when you have $850,000 in the bank?
[02:04:18.600 --> 02:04:29.600]  No. No, I don't. I'm going by the rules and if they need to change their rules, they can change their rules.
[02:04:29.600 --> 02:04:31.600]  But I don't see I'm doing anything wrong.
[02:04:31.600 --> 02:04:33.600]  How much do you collect and benefits?
[02:04:33.600 --> 02:04:40.600]  I give $780 in food stamps, $550 in tenants and I get Medicaid and WIC.
[02:04:40.600 --> 02:04:44.600]  Give me my food stamps.
[02:04:44.600 --> 02:04:52.600]  If you are receiving this transmission, you are the resistance.
[02:04:52.600 --> 02:04:56.600]  Welfare reform. Does anybody want welfare reform?
[02:04:56.600 --> 02:05:07.600]  I'm so excited. The new product at m4warslife.com in a glass bottle, two month servings filled to the brim, filled to the absolute top, the real red pill.
[02:05:07.600 --> 02:05:16.600]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it, but boy does it stimulate because it's beyond that.
[02:05:16.600 --> 02:05:28.600]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200 for the formulae
[02:05:28.600 --> 02:05:37.600]  and I came up with our own formulae working with scientists and developers, non-GMO, made right here in America, 120 capsules.
[02:05:37.600 --> 02:05:46.600]  And ladies and gentlemen, you add the preglinone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[02:05:46.600 --> 02:05:49.600]  It is amazing.
[02:05:49.600 --> 02:05:59.600]  Red pill now available at m4warsstore.com and your purchase fugs the operation.
[02:06:19.600 --> 02:06:36.600]  Nobody is untouchable. No one is invincible. No one's untouchable by other men, much less God.
[02:06:36.600 --> 02:06:51.600]  And God is beginning to cut down the globalists like rats, the corrupt evil communist pope, the communist Chinese, the biggest mass murders in history, Saudi Arabians that oppress women and murder people worldwide.
[02:06:51.600 --> 02:06:57.600]  They're all panicking against our new president, Donald John Trump.
[02:06:57.600 --> 02:07:07.600]  I got told me two years ago to get behind Trump, but Ted Cruz had better rhetoric. So I was for him the first few months, but then I saw some things I didn't like.
[02:07:07.600 --> 02:07:14.600]  And even before the dirty tricks in Iowa and places, I went for Trump and I said, my guts never wrong.
[02:07:14.600 --> 02:07:18.600]  And as I get older, I learned to always follow. When I was young, I wouldn't prove me right.
[02:07:18.600 --> 02:07:34.600]  And man, I am humbled by President Trump. I am humbled by his discernment, his knowledge, his piercing discernment and analysis.
[02:07:34.600 --> 02:07:47.600]  Now, in this first hour, I'm going to air 20 plus minutes of the entire inaugural speech. Some of it is him thanking the Clintons and other presidents, but it's all backhanded because then he says,
[02:07:47.600 --> 02:07:53.600]  you did a great job doing all this horrible stuff, but now that all comes to an end.
[02:07:53.600 --> 02:08:11.600]  And there are Ted Brits in there. And again, I was there just two days ago, just right below the podium, witnessing it and the rebirth of America.
[02:08:11.600 --> 02:08:19.600]  And the biggest piece of news, the biggest Trump secret I'm going to give out here, and you're going to say, oh, I've heard this a bunch the last year on your show. Yes.
[02:08:19.600 --> 02:08:26.600]  Trump, but you notice what you hear on the show, and even the New York Times and a bunch of other publications had to admit this.
[02:08:26.600 --> 02:08:34.600]  What you hear here, you then hear from Trump, but not because Trump's getting it from me. This is the spirit of America and the truth.
[02:08:34.600 --> 02:08:45.600]  Do you understand that it's admitted in congressional hearings that they call it disruptive technologies, a 200 mile to the gallon carburetor they had 25 years ago.
[02:08:45.600 --> 02:08:57.600]  Hell, 40 years ago, they had 100 something mile solar panels that basically never break, never go out and that have five times the gathering capacity of the very best systems today, things like that.
[02:08:57.600 --> 02:09:08.600]  They're slowly doling out the technology. The elites are on incredible power trips, sequestering it for a breakaway civilization. The future is here. It's just not evenly distributed.
[02:09:08.600 --> 02:09:23.600]  Trump intends to flood the entire planet with true globalism with America as the operating system, the true America, not the modern liberal globalist eugenics America,
[02:09:23.600 --> 02:09:39.600]  but really working with people, really standing up for cultures that have good societies, crushing radical Islam and transferring to the public and transferring and ordering the pharmaceutical companies to know we're not going to treat all these cancers.
[02:09:39.600 --> 02:09:47.600]  You're going to give them the cures. And when I say cures, some people individually won't respond, but they've got stuff that's 99% effective.
[02:09:47.600 --> 02:09:54.600]  The elites are getting and it's how they're living 110, 150.
[02:09:54.600 --> 02:10:04.600]  So if you're educated and informed, you know all this and a lot of people under the old globalist model were clamoring to be part of the new civilization that they thought would be separate from humanity.
[02:10:04.600 --> 02:10:16.600]  And if they groveled with the new world order, they would get the cancer treatments. They would get the life extension. They could be part of the secret programs and projects.
[02:10:16.600 --> 02:10:24.600]  I guess those on Elysium would have access to. That's not happening now.
[02:10:24.600 --> 02:10:42.600]  If Trump has his way, the biggest secret of Trump is that he intends to turn loose all these disruptive technologies and to actually let partners have them and to work with Russia and others that also have advanced technologies
[02:10:42.600 --> 02:10:52.600]  because he knows a deal was made to let China take over with economic warfare and let them control the system because they'd proven themselves evil, killing over 100 million of their own people.
[02:10:52.600 --> 02:11:01.600]  So our elite went to work with China just like they had meant in the last month. I told you months ago, they'll plan on China propping up world government, China to save this collapsing system.
[02:11:01.600 --> 02:11:07.600]  And then they come out in the news in hundreds of publications, communist China to save the new world order and to defeat Trump.
[02:11:07.600 --> 02:11:17.600]  See, our own media siding with people that oppress their own population. People ask, especially intelligence agencies and military and others, they go, how does Jones know this?
[02:11:17.600 --> 02:11:30.600]  I had the New York Times walk into me and say, you had to talk to Trump. I talked to you. I said, yeah, you tweeted that Trump is going to declare the new American century and godly providence and invoke God and take the birthright.
[02:11:30.600 --> 02:11:40.600]  Did you talk to him? I said, I said, I'm not going to comment because I just talked to him that week. I said, I didn't talk to him about that.
[02:11:40.600 --> 02:11:50.600]  I listed that New York Times guy who was just empty sold an intellectual smart but empty sold. And I said, it's the spirit, like the sixth sense, the ether, the brain's internet.
[02:11:50.600 --> 02:12:01.600]  I said, this is the destiny of America that people 500 years ago in England and Germany and the Netherlands in France envisioned in their minds this whole future.
[02:12:01.600 --> 02:12:09.600]  Hell, 200 years ago they were envisioning biometrics computers. They drew the double helix before an electron microscope was invented. They knew it.
[02:12:09.600 --> 02:12:29.600]  That's how beautiful humans are. And Trump knows that and wants to empower people, not enslave them. He feels small when you're small. The elite are so small, they feel good when you're down on the ditch, poor, a peon.
[02:12:29.600 --> 02:12:40.600]  So they're all over the news saying he's destroying the American run world government, the new world order. It's not American run. They used our power, our ingenuity, our system to build it and to destroy it.
[02:12:40.600 --> 02:12:54.600]  They build their world government while they destroy us and they don't deliver any of the promises of the new global Atlantis that they got all the loving smart, hardworking people to join them.
[02:12:54.600 --> 02:13:12.600]  They got so many members of my family in the last 60 years who are all tops of their classes or the best in the army or the best of what they did to join them believing they were there to help poor people, believing they were there to deliver technology, believing they were there to really do all this and it was all a lie.
[02:13:12.600 --> 02:13:24.600]  Well, Trump knows about all this and this is now not a lie, ladies and gentlemen, and that's why the enemy of humanity is freaking out, pulling out every stop, having convulsions.
[02:13:24.600 --> 02:13:42.600]  Next hour, I'm going to show you what has just recently been re-released from 60 Minutes in 1964, Gloria Steinem of Miss Magazine and the whole feminist movement admitting she worked for the CIA and the whole plan was to get women to work for the government and to basically end the family.
[02:13:42.600 --> 02:13:49.600]  They are so arrogant. They are so evil. This is all coming up in the next hour.
[02:13:49.600 --> 02:14:01.600]  Donald Trump's new world order puts nation over globe. Trump challenge the world order. Trump's new world disorder. Will Trump be the end of the Pax Americana?
[02:14:01.600 --> 02:14:15.600]  Trump's taking off the spells end of the world for 20th century German FM Steinmeier, the end of liberal world order. The liberal world order? I saw this weekend going. It's the end of the liberal world order.
[02:14:15.600 --> 02:14:31.600]  China will save it. He'll save the democratic order as the Chinese president spoke at Davos. China's unelected. China enslaves its people. Trump was elected.
[02:14:31.600 --> 02:14:44.600]  Their world government's anti-human, anti-nation state, anti-prosperity. Let me tell you what Russia's involved in. Russia kicked the oligarchs out about 17 years ago and I wasn't sure if it was real for a while.
[02:14:44.600 --> 02:14:55.600]  They were teaching Christianity and family and paying people to have kids and paying people to not eat GMO and they say they're stopping the vaccines and they're going to be the world distributor of non-GMO food.
[02:14:55.600 --> 02:15:05.600]  And the light came back in the Russians' eyes all of a sudden. That was an example of the world. I was already doing this before Russia did it. But they didn't get it from me. They just were rediscovering their humanity.
[02:15:05.600 --> 02:15:20.600]  And now Trump and everybody else and Brexit and Spain and Italy pulling out of the Euro. It's happening everywhere. They're in crisis because their world government was admittedly about austerity and starving people and eugenics and anti-human.
[02:15:20.600 --> 02:15:31.600]  And it was a breakaway civilization where they steal all the treasure of humanity and give it to themselves, not us.
[02:15:31.600 --> 02:15:41.600]  So does Trump take me serious? When his top advisors, his generals, unanimous listeners, he damn well he does. But his discernment spirit already believes it and knows it and loves it.
[02:15:41.600 --> 02:15:50.600]  So people ask why I talk to Donald Trump. Talk to him every day. Right here on the air. So get that through your heads, folks. We're freaking out, yeah.
[02:15:50.600 --> 02:16:15.600]  We talk to Donald Trump, the president, every day, and you too.
[02:16:15.600 --> 02:16:22.600]  You're getting soap products twice as good as what you're using now. Earth-friendly and natural soaps. Your family deserves the best.
[02:16:22.600 --> 02:16:34.600]  Happiness is 5starsoap.com. Why not put your money up the drain for a change? See them at 5starsoap.com or call 1-800-340-7091 for a catalog.
[02:16:34.600 --> 02:16:45.600]  Now, Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated. Soaps made from vegetable and coconut oils.
[02:16:45.600 --> 02:16:55.600]  See their full selection of soaps at 5starsoap.com or call 1-800-340-7091 for a catalog.
[02:16:55.600 --> 02:17:05.600]  Soaps ready to eat bacon. I'm talking thick meaty, center-cut, presidential bacon. Savory and delicious. I buy some. I use some. I store some. Awesome.
[02:17:05.600 --> 02:17:16.600]  No refrigeration needed with a 10-year shelf-life NASA PAC technology. Bacon, fully cooked, fully hydrated, ready to eat right from the PAC bacon, or warm and served.
[02:17:16.600 --> 02:17:24.600]  Lifesaving ready to eat bacon. 10-year shelf-life bacon. Ships free at fullycookedbacon.com. Fullycookedbacon.com.
[02:17:24.600 --> 02:17:35.600]  The answer to being in control of your own healthcare is freedom from insurance. Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[02:17:35.600 --> 02:17:42.600]  Individual share amounts begin at $107 a month and $347 for families. Choose from three health sharing programs.
[02:17:42.600 --> 02:17:49.600]  Holistic treatments may be eligible for sharing. See guidelines. Discount programs available for dental, vision, and pharmacy.
[02:17:49.600 --> 02:17:54.600]  Go to libertyoncall.org. That's libertyoncall.org.
[02:18:20.600 --> 02:18:27.600]  Brainforce Plus is the next generation of advanced neural activation and new tropics.
[02:18:27.600 --> 02:18:35.600]  And now we've added a brand new ingredient called black pepper fruit extract that gives you an added kick.
[02:18:35.600 --> 02:18:48.600]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[02:18:48.600 --> 02:18:59.600]  It's the real deal. Brainforce Plus. Secure your bottle right now at infostore.com.
[02:18:59.600 --> 02:19:06.600]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[02:19:06.600 --> 02:19:15.600]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[02:19:15.600 --> 02:19:22.600]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[02:19:22.600 --> 02:19:31.600]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[02:19:31.600 --> 02:19:36.600]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[02:19:36.600 --> 02:19:42.600]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[02:19:42.600 --> 02:19:48.600]  Secret 12 is an easy way to increase your vitamin B12 intake.
[02:19:48.600 --> 02:19:53.600]  Head to infowarslife.com and support optimal brain and body function with Secret 12.
[02:19:53.600 --> 02:20:18.600]  That's infowarslife.com.
[02:20:18.600 --> 02:20:29.600]  Live from the Infowars.com studios, it's Alex Jones.
[02:20:29.600 --> 02:20:33.600]  So, don't believe me. Just listen to Trump's speech.
[02:20:33.600 --> 02:20:41.600]  We're about to discover the keys to ending disease and death. The keys to hell and death.
[02:20:41.600 --> 02:20:48.600]  All of it now manifesting. We're about to discover the secrets of energy in the universe and space travel.
[02:20:48.600 --> 02:20:53.600]  Look at his face. He just looks happy but disgusting as he's getting the briefings.
[02:20:53.600 --> 02:20:57.600]  Everything he was already told by the top generals and the patriots, sir, we've got everything.
[02:20:57.600 --> 02:21:00.600]  They've already got it. They don't know how to deliver it to people.
[02:21:00.600 --> 02:21:04.600]  Well, the answer is export the excess population to space.
[02:21:04.600 --> 02:21:07.600]  Give people the technology. Give them the life extension.
[02:21:07.600 --> 02:21:12.600]  Let them know how magic the universe is. Don't keep them diverted with a bunch of NFL and fake culture.
[02:21:12.600 --> 02:21:18.600]  You've artificially fed them. Put wind into humanity's sails.
[02:21:18.600 --> 02:21:23.600]  And America is not going to just shrink away and not be strong. We're going to be stronger than ever.
[02:21:23.600 --> 02:21:26.600]  We've been used to empower the world government.
[02:21:26.600 --> 02:21:30.600]  Let me actually start getting to the speech. It'll take the rest of the hour to get to.
[02:21:30.600 --> 02:21:33.600]  And then the next hour, guess who was funding?
[02:21:33.600 --> 02:21:37.600]  I mean, I already knew this as I checked a few of the groups. I didn't know...
[02:21:37.600 --> 02:21:42.600]  I didn't know that 40 of the 52 groups were Soros funded. I said it was obviously Soros.
[02:21:42.600 --> 02:21:50.600]  A bunch of women in little pink, purple, color-revolution hats, screaming,
[02:21:50.600 --> 02:21:54.600]  F-U, white, male, Alex Jones, go to hell, hope you die.
[02:21:54.600 --> 02:22:00.600]  And then saying, but we love you, love Trump's hate.
[02:22:00.600 --> 02:22:06.600]  And I'm sorry, I said 40 for memory. It's 50 partners of the Women's March on Washington, which is almost every group.
[02:22:06.600 --> 02:22:09.600]  The other major group is funded by the Islamic jihad.
[02:22:09.600 --> 02:22:16.600]  And I saw all these women, including American women, Hispanic, black, white, Ian Hajib saying,
[02:22:16.600 --> 02:22:22.600]  this is how we empower women. You're bullying Muslims. We're going to put hoods on and go under Islam.
[02:22:22.600 --> 02:22:26.600]  Talk about being cuckold. Talk about Stockholm syndrome.
[02:22:26.600 --> 02:22:31.600]  Women's March organizer recently met ex-Hamas operative, family as ties of terror group.
[02:22:31.600 --> 02:22:36.600]  Yeah, the leader of it is a woman that promotes, just like Uma Abadi's mother did, genital mutilation.
[02:22:36.600 --> 02:22:40.600]  She's the leading person pushing it.
[02:22:40.600 --> 02:22:45.600]  And that's how women are empowered as wearing hoods, not being able to drive cars, being stoned to death
[02:22:45.600 --> 02:22:48.600]  if they go outside and don't follow their husband's orders.
[02:22:48.600 --> 02:22:55.600]  And I'd bring this up to them. We have a clip coming up next hour where one of our reporters brings it up.
[02:22:55.600 --> 02:22:59.600]  And the women go, that's a lie. Trump was funded by Saudi Arabia.
[02:22:59.600 --> 02:23:04.600]  Trump got zero money from Saudi Arabia, zero money from Goldman Sachs, zero money from the big globalists.
[02:23:04.600 --> 02:23:12.600]  But it doesn't matter. They should scream and spit at us and say he did.
[02:23:12.600 --> 02:23:17.600]  And it's just a bunch of weird corporate-owned, I mean, I love drudgereport.com. Can we punch that up?
[02:23:17.600 --> 02:23:24.600]  I'm a woman, hear me roar. It's glorious style. I've had a bunch of kids, but she says you shouldn't have a kid.
[02:23:24.600 --> 02:23:27.600]  She's proud of abortion, says that's how you prove your woman's kill your baby.
[02:23:27.600 --> 02:23:30.600]  I'm not attacking you if you had abortion. The point is she makes it a sacrament.
[02:23:30.600 --> 02:23:37.600]  And then she's admittedly CIA funded to break up the family, turn men into betas, and make us easy to assimilate.
[02:23:37.600 --> 02:23:44.600]  And she admits that in a book she wrote and interviews, and there she is out there smiling with her victims.
[02:23:44.600 --> 02:23:50.600]  This is how you kill cultures in society. This isn't my opinion. This is declassified.
[02:23:50.600 --> 02:23:57.600]  It's all coming up in a second hour. But let's start with the beginning.
[02:23:57.600 --> 02:24:04.600]  Let's start with the beginning of the speech with a star-spangled banner because I was watching the Jumbotron,
[02:24:04.600 --> 02:24:09.600]  because I couldn't see the Obama's. They were kind of back because I was so close. I was looking up at the podium.
[02:24:09.600 --> 02:24:14.600]  I could only see people who were up speaking at it. There was just the top of Donald's head.
[02:24:14.600 --> 02:24:21.600]  I could see the rabbi and the preachers, you know, just the top of them. I could see them on the Jumbotron.
[02:24:21.600 --> 02:24:29.600]  And they just looked so pissed off the whole time. And so entitled because they never worked for this.
[02:24:29.600 --> 02:24:36.600]  They were just given it as minions of this corporate takeover.
[02:24:36.600 --> 02:24:40.600]  America on its deathbed finally awakened to globalism and said no to it.
[02:24:40.600 --> 02:24:44.600]  And you could feel the title resistance surging. They're so scared.
[02:24:44.600 --> 02:24:49.600]  So let's just play the intro and him being nice. But I love how he wrote this himself.
[02:24:49.600 --> 02:24:56.600]  No president since Kennedy has written a speech himself. They admit this. I love it.
[02:24:56.600 --> 02:25:20.600]  Music
[02:25:20.600 --> 02:25:27.600]  Again, there's also a Star Spangled Banner. We're going to play later. A lot of stations cut away from that.
[02:25:27.600 --> 02:25:32.600]  Music
[02:25:32.600 --> 02:25:37.600]  So again, here they are singing.
[02:25:37.600 --> 02:25:50.600]  Talking about America the Free.
[02:25:50.600 --> 02:25:53.600]  Here they are singing America the Free.
[02:25:53.600 --> 02:25:58.600]  And then Trump comes up and he says, oh, you've done an exceptional job. Yeah, raping the country.
[02:25:58.600 --> 02:26:03.600]  But now all that is. And then he gets into the real meat and potatoes.
[02:26:03.600 --> 02:26:14.600]  And there aren't words to describe how ultra, how ultra over the top cool this is.
[02:26:14.600 --> 02:26:21.600]  Everything he says is dialed into truth. It countermands how America was used to build the tyrannical world government.
[02:26:21.600 --> 02:26:29.600]  It was designed to fall after it was set up with all this internal strife and racial strife and strife in the family.
[02:26:29.600 --> 02:26:34.600]  And all of that against declassified. All that is admitted. My film Endgame breaks it down.
[02:26:34.600 --> 02:26:37.600]  The plan to break down the family. The plan to turn this against each other.
[02:26:37.600 --> 02:26:41.600]  The plan to say, don't say you have a mother and father. Somebody else might not have it.
[02:26:41.600 --> 02:26:48.600]  The plan to destroy free speech. America's not perfect, but the ideal of it changed the world, empowered the planet,
[02:26:48.600 --> 02:26:53.600]  invented most of the technologies we have. Because the idea of empowering humanity and innovation.
[02:26:53.600 --> 02:26:59.600]  The American dream just being 10% realized. Created the modern world we have.
[02:26:59.600 --> 02:27:04.600]  And then it was hijacked. And turned into a system of total control.
[02:27:04.600 --> 02:27:11.600]  And the technologies were hidden. They were twisted. They were given to people like the smart phones and other things.
[02:27:11.600 --> 02:27:22.600]  With back doors and Trojan horse control systems. Think about that.
[02:27:22.600 --> 02:27:26.600]  And they dumb the public down to where they say, he's rich. He wants to be poor.
[02:27:26.600 --> 02:27:31.600]  No, America's about wealth and empowerment and individual liberty and free association.
[02:27:31.600 --> 02:27:38.600]  And that creates incredible wealth. The problem is it then creates a decadence.
[02:27:38.600 --> 02:27:43.600]  Now, they come back from break. We're going to go right to Trump's speech.
[02:27:43.600 --> 02:27:48.600]  And I'm even going to skip the part at the intro to it.
[02:27:48.600 --> 02:27:52.600]  He says she chefs Roberts and Carter and Clinton and all the rest of them.
[02:27:52.600 --> 02:27:58.600]  We the citizens of America are now joining a great nation effort to build our country and restore its promise for all our people.
[02:27:58.600 --> 02:28:02.600]  Together we will determine the course of America and the world for years to come. That's true.
[02:28:02.600 --> 02:28:09.600]  We will face challenges. We will confront hardships. But we will get the job done.
[02:28:09.600 --> 02:28:16.600]  Every four years we gather on these steps to carry out the orderly and peaceful transition of power.
[02:28:16.600 --> 02:28:25.600]  And we are grateful to President Obama and First Lady Michelle Obama for their gracious and throughout the transition.
[02:28:25.600 --> 02:28:31.600]  They have been magnificent. Today's ceremony, however, has very special meaning.
[02:28:31.600 --> 02:28:37.600]  We're going to start there, there. When we come back on the other side, I'm Alex Jones.
[02:28:37.600 --> 02:28:43.600]  This is the Info War. We're breaking down the secrets that are now being revealed of the real national treasure.
[02:28:43.600 --> 02:28:50.600]  On a Hollywood movie, what is the American dream? I will break it all down straight ahead.
[02:28:50.600 --> 02:28:55.600]  For I alone am your chronicler. Stay with us.
[02:28:55.600 --> 02:29:00.600]  Fully cooked, ready to eat bacon. I'm talking thick meaty, center cut, presidential bacon.
[02:29:00.600 --> 02:29:05.600]  Savory and delicious. I buy some. I use some. I store some. Awesome.
[02:29:05.600 --> 02:29:08.600]  No refrigeration needed with a 10-year shelf life.
[02:29:08.600 --> 02:29:14.600]  NASA pack technology. Bacon. Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[02:29:14.600 --> 02:29:18.600]  Or warm and serve. Life saving, ready to eat bacon.
[02:29:18.600 --> 02:29:25.600]  10-year shelf life bacon. Ships free at fullycookedbacon.com. Fullycookedbacon.com.
[02:29:25.600 --> 02:29:29.600]  This is Dan Pilla. Do you have the IRS money you can't pay? Are tax debts crippling you?
[02:29:29.600 --> 02:29:34.600]  I've defended people from the IRS for over 30 years. I've helped thousands and I can help you too.
[02:29:34.600 --> 02:29:39.600]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[02:29:39.600 --> 02:29:43.600]  Call 800-34-NO-TAX to finally get free of IRS debt.
[02:29:43.600 --> 02:29:47.600]  With the IRS's new programs, there's never been a better time to solve your problem.
[02:29:47.600 --> 02:30:05.600]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[02:30:18.600 --> 02:30:25.600]  Our amazing mouthwash features natural oils and ancient ingredients used since Aboriginal and Biblical times.
[02:30:25.600 --> 02:30:30.600]  Instead of containing fluoride, our super blue line is floated with the good halogen iodine
[02:30:30.600 --> 02:30:35.600]  and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[02:30:35.600 --> 02:30:42.600]  Super blue, fluoride-free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[02:30:42.600 --> 02:30:49.600]  Xylitol, nano-silver and iodine. Notice the difference with our super blue, fluoride-free products.
[02:30:49.600 --> 02:30:54.600]  Refresh your breath and invigorate your oral health routine at infowarstore.com.
[02:30:54.600 --> 02:31:12.600]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war. A 360 win.
[02:31:12.600 --> 02:31:20.600]  Number two, you're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers.
[02:31:20.600 --> 02:31:25.600]  Number three, we're giving you free shipping on all orders above $50.
[02:31:25.600 --> 02:31:31.600]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[02:31:31.600 --> 02:31:39.600]  Just go to infowarstore.com, select your favorite product or products, click on auto ship and choose how often you want us to send you another order.
[02:31:39.600 --> 02:31:46.600]  As you know, I coined the term 360 win and with the new auto ship feature at infowarslife.com, this is a sure win.
[02:31:46.600 --> 02:31:51.600]  10% off on auto ship. Win, win, win at infowarslife.com. Free shipping on orders above $50.
[02:31:51.600 --> 02:31:56.600]  And all out of stock items are never out of stock when you sign up for auto ship.
[02:31:56.600 --> 02:32:01.600]  Introducing fluorolife, the new probiotic line developed exclusively by infowarslife.
[02:32:01.600 --> 02:32:06.600]  After years of research on the human microbiome, not all probiotics are made the same.
[02:32:06.600 --> 02:32:15.600]  Fluorolife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[02:32:15.600 --> 02:32:24.600]  This is critical because stomach acid kills most probiotics, so if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[02:32:24.600 --> 02:32:31.600]  Fluorolife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining and metabolism.
