[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[01:53:23.363 --> 01:53:25.724]  But that's really what they're now externalizing.
[01:53:25.724 --> 01:53:31.588]  They're now taking what was in their textbooks and white papers 30 years ago and actually openly announcing it everywhere.
[01:53:32.048 --> 01:53:34.529]  They're going from beta to operational.
[01:53:34.529 --> 01:53:36.230]  And think about all these major corporations.
[01:53:36.230 --> 01:53:37.590]  They tell you humans are harmful.
[01:53:37.590 --> 01:53:38.931]  They tell you humans are a parasite.
[01:53:38.931 --> 01:53:41.032]  They tell you that we've all got to be gotten rid of.
[01:53:41.032 --> 01:53:46.114]  And then they won't let people see their old folks in nursing homes and then ship in COVID to kill them.
[01:53:46.114 --> 01:53:49.816]  That's all organizing as a beta test for larger operations.
[01:53:49.816 --> 01:53:57.239]  And everything is a microcosm and a laboratory test of larger scalability of what they are now beginning to roll out.
[01:53:57.679 --> 01:54:04.802]  Look at how they're banning medical doctors from promoting therapeutics that are absolutely essential to stop viral infections like COVID-19.
[01:54:04.802 --> 01:54:07.643]  This is all absolute information control.
[01:54:07.643 --> 01:54:12.406]  This is beyond 1984.
[01:54:12.406 --> 01:54:15.047]  You're listening to the Alex Jones Show.
[01:54:33.897 --> 01:54:59.174]  Ghost riders in the sky An old cowpoke went riding out one dark and windy day Upon a ridge he rested as he went along his way When all at once a mighty bunch of red-eyed cows he saw Plowing through the ragged sky
[01:55:05.308 --> 01:55:11.629]  All right, some stations don't carry this first five minutes, so I'm going to go to her in about five minutes.
[01:55:11.629 --> 01:55:13.290]  We got a break.
[01:55:13.290 --> 01:55:17.630]  Dr. Sherry Tinfany, look at her beautiful face right there for TV viewers.
[01:55:17.630 --> 01:55:21.551]  I have been interviewing her for 25 years.
[01:55:21.551 --> 01:55:26.032]  And I tell you, it's been one hell of a fight.
[01:55:26.032 --> 01:55:31.053]  But I tell you, she was somebody back when it was not popular as a medical doctor to come out against vaccines.
[01:55:31.053 --> 01:55:31.613]  She was there.
[01:55:32.853 --> 01:55:34.975]  And so I am very pleased to have her.
[01:55:34.975 --> 01:55:36.656]  She doesn't do a lot of interviews.
[01:55:36.656 --> 01:55:45.723]  She has a very busy life, but she's coming on to talk about all the things that have happened with COVID-19 and where it's going and just her observations.
[01:55:45.723 --> 01:55:51.708]  And I'm going to try to shut up and give her the floor, but I will intersperse some of these articles.
[01:55:51.708 --> 01:55:57.833]  Federal Judge Rules Pennsylvania Governor Tom Wolf's COVID Lockdowns Unconstitutional.
[01:55:57.833 --> 01:55:59.895]  WHO Director and Chinese Puppet.
[01:56:00.720 --> 01:56:05.805]  Assists Biden campaign in attempt to keep COVID hysteria alive.
[01:56:05.805 --> 01:56:09.008]  Trump defends indoor rally, but aides express concern.
[01:56:09.008 --> 01:56:13.772]  The BLM, the studies say, helped COVID.
[01:56:13.772 --> 01:56:14.893]  Bill Gates slams FDA.
[01:56:16.667 --> 01:56:17.927]  What's going on with that vaccine fight?
[01:56:17.927 --> 01:56:19.568]  I actually know the inside baseball.
[01:56:19.568 --> 01:56:21.668]  I'm going to ask Dr. Sheridan to put in his deal.
[01:56:21.668 --> 01:56:23.909]  Trump doesn't want Gates' vaccine.
[01:56:23.909 --> 01:56:27.749]  They want to hold it up, have hysteria until Trump's out, then Gates has his dangerous vaccine.
[01:56:27.749 --> 01:56:30.570]  Trump says, oh yeah, we'll have one to take the power from Gates.
[01:56:30.570 --> 01:56:34.211]  And I was told that from sources with the President, so I wouldn't get mad.
[01:56:34.211 --> 01:56:35.891]  I was told the same thing with the Second Amendment.
[01:56:35.891 --> 01:56:36.451]  He said, let him.
[01:56:36.451 --> 01:56:38.812]  He's going to tell Pelosi, you can have whatever you want.
[01:56:38.812 --> 01:56:40.372]  She goes, fine, ban all the guns.
[01:56:40.372 --> 01:56:41.572]  And it killed it all.
[01:56:41.572 --> 01:56:42.873]  I don't do Machiavellian stuff.
[01:56:42.873 --> 01:56:43.673]  Trump is doing that.
[01:56:44.473 --> 01:56:46.435]  And it's black magic, and I don't think it's good.
[01:56:46.435 --> 01:56:48.757]  I mean, I'm just being honest with you.
[01:56:48.757 --> 01:56:52.501]  And by black magic, I mean, it's like the Ring of Mordor.
[01:56:52.501 --> 01:56:56.384]  You can win the war with the ring, but you become evil the longer you wear it.
[01:56:56.384 --> 01:56:58.466]  I mean, I don't do stuff like that.
[01:56:58.466 --> 01:57:00.668]  I mean, I know how.
[01:57:00.668 --> 01:57:03.431]  And I'm actually criticizing Trump here, but that's what he's doing.
[01:57:03.431 --> 01:57:07.014]  We predicted that, from what I was told, the White House, this is what happened.
[01:57:07.014 --> 01:57:07.495]  He's done it.
[01:57:07.495 --> 01:57:09.356]  He's gotten the left to come out against vaccines.
[01:57:10.828 --> 01:57:12.008]  We'll talk about it in a minute.
[01:57:12.008 --> 01:57:14.129]  I guess I do want to roar the rigor mordor.
[01:57:14.129 --> 01:57:17.810]  I guess when you're this desperate, you do start wearing it, but then you turn into Gollum.
[01:57:17.810 --> 01:57:19.711]  Schmeagle.
[01:57:19.711 --> 01:57:30.455]  Trump administration pushes to expand, extend coronavirus immigration limits, so the UN's flooding us with illegals and bankrupt the country, so at least Trump's making lemonade with the lemons.
[01:57:30.455 --> 01:57:33.996]  Australia's full-scale pilot test for the new world order.
[01:57:33.996 --> 01:57:36.457]  Just incredible police state, they admit, under UN control.
[01:57:38.510 --> 01:57:39.370]  That's all coming up.
[01:58:09.395 --> 01:58:13.276]  NBC News highlights UV lights sanitizing against coronavirus.
[01:58:13.276 --> 01:58:17.056]  Trump said that six months ago, and they said he was the biggest devil on earth.
[01:58:17.056 --> 01:58:20.377]  Now it's NBC News!
[01:58:20.377 --> 01:58:24.958]  Meanwhile, Trump offered to help Xi Jinping with COVID, but he didn't want Trump to send U.S.
[01:58:24.958 --> 01:58:28.378]  support because they wanted to cover up what was really happening.
[01:58:28.378 --> 01:58:34.499]  Meanwhile, in Wuhan, they're having giant pool parties with 50,000 people, but they say it's okay for them to gather.
[01:58:34.499 --> 01:58:35.459]  China's open for business.
[01:58:35.459 --> 01:58:36.740]  You just can't gather.
[01:58:36.740 --> 01:58:38.520]  See how that economic weapon works?
[01:58:43.061 --> 01:58:53.445]  So, Dr. Sherry Tenpenny will lay it all out with us on the other side of the 60-second break, but I'm going to ask our beautiful, our amazing listeners and viewers.
[01:58:53.445 --> 01:58:56.326]  You know what happens with a million of you tuned in right now, conservatively?
[01:58:56.326 --> 01:59:08.650]  If you just go on Facebook, go on Twitter, go on your email, go on your text messages, and send the live link to the show on InfoWars.com to the live feed, InfoWars.com forward slash show, or NewsWars.com forward slash show, or the live feed.
[01:59:08.650 --> 01:59:10.691]  Send it to people and ask them to share it.
[01:59:10.691 --> 01:59:12.472]  It causes that chain reaction.
[01:59:13.813 --> 01:59:14.913]  The truth's on right now.
[01:59:14.913 --> 01:59:15.434]  Share it.
[01:59:15.434 --> 01:59:18.055]  Be right back.
[01:59:18.055 --> 01:59:21.378]  Remember 15 days to flatten the curve because the hospitals were so full?
[01:59:21.378 --> 01:59:22.438]  Of course, all that was a lie.
[01:59:22.438 --> 01:59:23.739]  All that was a fraud.
[01:59:23.739 --> 01:59:26.201]  The Rockefeller and Bill Gates documents from the beginning are on record.
[01:59:26.201 --> 01:59:28.963]  They said the mask wearing will never end.
[01:59:28.963 --> 01:59:30.524]  The social distancing will never end.
[01:59:30.524 --> 01:59:32.365]  The forced inoculations will never end.
[01:59:32.365 --> 01:59:38.249]  The social tracking through your cell phones and the global social credit score will never end if you put up with it.
[01:59:38.249 --> 01:59:39.430]  This is the rollout.
[01:59:39.990 --> 01:59:41.011]  Of the post-human world.
[01:59:41.011 --> 01:59:50.097]  I know you know that, but I've seen National Democrat Party statements and I've seen CNN and others point out that Jones says that COVID is a hoax.
[01:59:50.097 --> 01:59:51.838]  What I'm saying is it's an overblown fraud.
[01:59:51.838 --> 01:59:52.719]  It's a scam.
[01:59:52.719 --> 01:59:55.501]  But he sells InfoWars.com masks.
[01:59:56.061 --> 02:00:03.963]  Yes, if you're going to be made to do it to fly in an airport, or by the police on a train, then fight back with information warfare, have a walking billboard.
[02:00:03.963 --> 02:00:08.225]  That way, that's hypocrisy to be able to hold two different ideas in your head at the same time.
[02:00:08.225 --> 02:00:11.846]  If you're going to be raped by these people, they're going to put the burqa over your head.
[02:00:11.846 --> 02:00:15.147]  Might as well advertise it with InfoWars.com.
[02:00:15.147 --> 02:00:16.327]  It's that simple, ladies and gentlemen.
[02:00:16.327 --> 02:00:19.868]  Fight back.
[02:00:19.868 --> 02:00:22.829]  The only two things in life that make it worth living,
[02:00:24.377 --> 02:00:29.501]  These guitars are too good and firm for feeling women.
[02:00:29.501 --> 02:00:33.625]  I don't need my name in the marquee lights.
[02:00:33.625 --> 02:00:38.048]  I got my song and I got you with me tonight.
[02:00:38.048 --> 02:00:44.834]  Maybe it's time we got back to the basics of love.
[02:00:44.834 --> 02:00:45.515]  Let's go!
[02:00:45.515 --> 02:00:50.479]  Let's go to Luke in Bottexas, with Waylon and William.
[02:00:53.390 --> 02:00:59.755]  You know, I've gotten to hang out with Willie Nelson and Lukenbach, but nobody was there.
[02:00:59.755 --> 02:01:05.959]  He's got a place out there, right outside of Fredericksburg.
[02:01:05.959 --> 02:01:16.827]  And I'm not dropping names here, I'm just saying, fighting tyranny has taken me on an incredible journey.
[02:01:16.827 --> 02:01:19.609]  Ain't nobody feeling no pain.
[02:01:19.609 --> 02:01:21.170]  Listen to a little bit more of this song with our guest.
[02:01:28.298 --> 02:01:38.607]  Dr. Sherry Tinpenny is a osteopathic medical doctor, board certified in three specialties.
[02:01:38.607 --> 02:01:40.728]  She is the founder of Tinpenny
[02:01:59.261 --> 02:02:04.362]  Medical Center and a integrative medical clinic located near Cleveland, Ohio.
[02:02:04.362 --> 02:02:07.422]  She's been running that clinic since 1996.
[02:02:07.422 --> 02:02:12.903]  Her company provides a natural, holistic approach to getting well without prescription medications.
[02:02:12.903 --> 02:02:19.525]  The medical clinic's primary focus is thyroid conditions, breast health, and resolving problems associated with allergies and pain.
[02:02:19.525 --> 02:02:26.046]  Her approaches have attracted patients from all over the 50 states and 17 countries.
[02:02:26.046 --> 02:02:27.106]  Dr. Sherry Tinpenny has
[02:02:28.737 --> 02:02:38.720]  Invested more than 17 years, this is an old bio, and over 20,000 hours documenting the problems associated with vaccines, and an internationally known speaker and author.
[02:02:38.720 --> 02:02:41.981]  Her many articles have been translated into more than 12 languages.
[02:02:41.981 --> 02:02:45.983]  Her book, Say No to Vaccines, a resource guide to all ages.
[02:02:45.983 --> 02:02:47.123]  And she joins us.
[02:02:47.123 --> 02:02:48.443]  Wow, where do you want to start?
[02:02:48.443 --> 02:02:50.184]  Great to have you with us.
[02:02:50.184 --> 02:02:55.406]  So crazy to have Bill Gates on the left now, not wanting Trump's vaccine, having these
[02:02:57.349 --> 02:03:05.780]  These vaccines that change the DNA of the cell, a new type of vaccine, the trials causing 80% sick, 20% hospitalizations.
[02:03:05.780 --> 02:03:06.921]  There's so many angles.
[02:03:06.921 --> 02:03:08.843]  The lockdown, you've got the floor.
[02:03:08.843 --> 02:03:09.825]  Thank you so much for joining us.
[02:03:11.295 --> 02:03:13.136]  Oh, thank you so much for having me, Alex.
[02:03:13.136 --> 02:03:16.578]  Yes, we've been on a journey for a really long time.
[02:03:16.578 --> 02:03:36.007]  I've been doing this for 20 years, and so I think that early on, I was on your show very, very early on, and I think it's pretty interesting how all of the things that you've been saying all these 20 years that you and I have been together and all the work that you've done between Infowars and Prison Planet, here we are now on an inflammation war and stuck in a prisoner planet.
[02:03:36.525 --> 02:03:42.107]  So, you know, you've been prophetic for a lot of years, so thank you for having me on your show again.
[02:03:42.107 --> 02:03:47.328]  Well, I was just reading what the Rockefeller Foundation said they were planning, and I knew they were in charge, so I figured we might want to oppose it.
[02:03:47.328 --> 02:03:49.609]  It had a good chance of happening, and now we're here.
[02:03:49.609 --> 02:03:51.449]  So, I threw out the laundry list there.
[02:03:51.449 --> 02:03:52.189]  Where do you want to start?
[02:03:52.189 --> 02:03:57.531]  Just take over, Doctor, because I know you run big clinics and speak to huge groups all over the world.
[02:03:57.531 --> 02:03:58.711]  Give us your report here, Doctor.
[02:03:59.724 --> 02:04:07.609]  Well, I started this back in February when I took a look around the horizon and said, why is everybody making such a big deal about this?
[02:04:07.609 --> 02:04:16.394]  We're going to find out in about four to six months that this was a big fat nothing burger virus and it's going to be no worse than a bad flu season.
[02:04:16.394 --> 02:04:24.159]  And what we've actually found out is it's not even as bad as a bad flu season with a survival rate of 99.96% yet we've shut down the entire world.
[02:04:28.041 --> 02:04:32.803]  And when I, I kind of took a step back at the beginning and said, what are we, what's happening here?
[02:04:32.803 --> 02:04:33.863]  And then I said, oh, I get it.
[02:04:33.863 --> 02:04:36.464]  This is the same playbook, different virus, right?
[02:04:36.464 --> 02:04:40.286]  We did SARS and we did in 2002, we did MERS.
[02:04:40.286 --> 02:04:42.046]  We did bird flu in 2005.
[02:04:42.046 --> 02:04:43.767]  We did H1N1 in 2009.
[02:04:43.767 --> 02:04:54.511]  And so now here we are again, except they've had 50 years, five, zero, 50 years to perfect their ability to shut down the entire world all at the same time.
[02:04:54.511 --> 02:04:54.891]  They have,
[02:04:55.570 --> 02:04:59.552]  They laid a lot of groundwork in the backdrop to be able to make this happen.
[02:04:59.552 --> 02:05:06.754]  Like the one thing that has stood out, and I've talked a lot about this over the last several months, is the 2005 PREP Act.
[02:05:06.754 --> 02:05:18.059]  The Public Readiness and Emergency Preparedness Act passed in 2005 in the dead of night on a Saturday night by a Republican and a Republican President who signed it into law.
[02:05:18.564 --> 02:05:38.343]  And the PrEP Act gives them 100% a complete immunity for any covered countermeasure, which means that anything that is that is now made for COVID-19, whether it's a drug, a biologic, a vaccine, a technology, a software, anything between March 17th of 2020,
[02:05:41.181 --> 02:05:43.863]  And this goes through 2024.
[02:05:43.863 --> 02:05:52.868]  Anything that's made during that period of time that is under the umbrella of COVID is now given 100% liability protection and immunity.
[02:05:52.868 --> 02:06:00.593]  And the only way you can have any recourse if anything goes awry, which it will, is to be able to convince the U.S.
[02:06:00.593 --> 02:06:02.174]  Attorney General that
[02:06:02.779 --> 02:06:11.166]  The people had manufactured this particular product under an act of willful misconduct, which absolutely cannot happen according to law.
[02:06:11.166 --> 02:06:13.568]  It's so nearly impossible to prove.
[02:06:13.568 --> 02:06:16.790]  For all intents and purposes, it doesn't exist.
[02:06:16.790 --> 02:06:20.674]  So we've got, you know, same playbook, different virus.
[02:06:20.674 --> 02:06:22.255]  We have the PREP Act in place.
[02:06:22.779 --> 02:06:25.922]  And then they started doing all this nonsense with testing.
[02:06:25.922 --> 02:06:32.449]  And Alex, when I wrote an article on Vaxxer about testing, like this testing, what are we doing and what does it mean?
[02:06:32.449 --> 02:06:41.979]  I spent about 20 hours just reading the CDC and the FDA website trying to figure out if they had a definition for what it meant to be positive.
[02:06:42.591 --> 02:06:45.332]  Because if it's positive, does that mean you're infectious?
[02:06:45.332 --> 02:06:49.734]  Well, if you're asymptomatic and you don't have a fever or cough or any of those things, no.
[02:06:49.734 --> 02:06:56.037]  Positive means you've been exposed to this virus somewhere along the line and now you are a healthy person.
[02:06:56.037 --> 02:06:57.457]  Does that mean you're immune?
[02:06:57.457 --> 02:06:58.618]  Does that mean you're safe?
[02:06:58.618 --> 02:07:03.120]  Or does that mean if you're positive and you're a case, now you need to self-quarantine?
[02:07:03.697 --> 02:07:04.998]  What does it mean if you're negative?
[02:07:04.998 --> 02:07:06.399]  Does that mean you're susceptible?
[02:07:06.399 --> 02:07:08.000]  You need to stay in the house?
[02:07:08.000 --> 02:07:11.983]  Or does it mean that you're healthy because you have a negative test?
[02:07:11.983 --> 02:07:16.026]  And they've intentionally left it with a lot of ambiguity, haven't they?
[02:07:16.026 --> 02:07:17.888]  Oh, absolutely.
[02:07:17.888 --> 02:07:29.817]  And so that's why we went from, you know, now everything is all this public policy, all these changes, all these things that are happening inside of industry, and shutting down travel industry, shutting down hotels and restaurants,
[02:07:30.490 --> 02:07:35.473]  And the hairdressers and all of these things based on cases, and the cases mean absolutely nothing.
[02:07:35.473 --> 02:07:41.818]  It means you've been exposed to that virus somewhere along the line, and if you're asymptomatic, it has no validity whatsoever.
[02:07:41.818 --> 02:07:57.648]  And when you've got a test that has up to a 30% false negative rate, and in the 40 or some labs that we've saw where they had, where every one of their samples tested positive, so they have a 100% positivity rate, which is statistically impossible.
[02:07:57.648 --> 02:07:59.209]  So now on the one hand, you have a 30% false negative,
[02:08:00.632 --> 02:08:09.379]  And up to a 100% false positive rate, you've got a PCR test that was never intended to be used in terms of diagnostic control.
[02:08:09.379 --> 02:08:13.322]  It was really designed for DNA viruses, not RNA viruses.
[02:08:13.322 --> 02:08:24.891]  The entire testing stuff is nothing more than harvesting your DNA to be able to collect it into a database, which now they passed a law... So that's what this really is, is a giant DNA database harvesting operation.
[02:08:25.632 --> 02:08:36.317]  And they just and in 2000 September 10th, they just passed a law in the UK that says that any sample that's now collected in the UK beginning October the 1st for the next six months.
[02:08:36.667 --> 02:08:40.350]  We'll be held and put into a database for national security.
[02:08:40.350 --> 02:08:46.136]  So your first approximation six months ago has been proven dead on as a medical doctor in your wide knowledge of this.
[02:08:46.136 --> 02:08:48.378]  When we come back, I want to tell you what you think is coming next.
[02:08:48.378 --> 02:08:56.605]  But clearly, a giant liability protection act, a license to steal, a get out of jail card, just like the 1985-86 act.
[02:08:56.605 --> 02:08:59.088]  I mean, this, this, but this is an emergence.
[02:08:59.808 --> 02:09:08.031]  A big pharma, instead of the UN coming out and admitting that vaccines are causing problems, which they did, instead of giving up, they're doubling down with a giant power grab.
[02:09:08.031 --> 02:09:16.114]  Then I want to ask you, what do you make of Trump saying, okay, fine, and the Russians too, oh, we have ours, we don't want Bill Gates's, probably sugar water.
[02:09:16.114 --> 02:09:17.555]  That's what I think's going on.
[02:09:17.555 --> 02:09:19.756]  I was told Trump's taking control of Fauci.
[02:09:19.756 --> 02:09:21.196]  I still think it's a dangerous game.
[02:09:21.196 --> 02:09:23.217]  We'll ask your point of view on that.
[02:09:23.217 --> 02:09:25.798]  But just briefly, the minute we have, what else do you want to get into?
[02:09:27.187 --> 02:09:34.101]  I want to talk about masks, I want to talk about social distancing, I want to talk about hydroxychloroquine, and I want to talk about the vaccine.
[02:09:35.546 --> 02:09:41.109]  Wow, Dr. Sherry Chinpinney, V-A-X-X-T-E-R, vaxter.com.
[02:09:41.109 --> 02:09:45.111]  You want to visit it, you want to read it, you want to share it.
[02:09:45.111 --> 02:09:47.232]  And then, I'm going to ask her this, I'm writing this down.
[02:09:47.232 --> 02:09:48.293]  What do you make of Fauci?
[02:09:48.293 --> 02:09:50.974]  First thing, oh no, vitamins, minerals don't help you.
[02:09:50.974 --> 02:09:53.155]  You don't need D3, you don't need zinc.
[02:09:53.155 --> 02:09:55.837]  Blew up in his face so bad, now he's like, no, you do need it.
[02:09:55.837 --> 02:09:57.418]  Now, we don't need him to tell us that, but
[02:09:58.271 --> 02:09:59.032]  Let's think.
[02:09:59.032 --> 02:10:00.593]  Plants need sunlight.
[02:10:00.593 --> 02:10:01.934]  No, you don't need sunlight.
[02:10:01.934 --> 02:10:03.395]  We're like, okay, you're an idiot.
[02:10:03.395 --> 02:10:04.696]  Plants do need sunlight.
[02:10:04.696 --> 02:10:08.579]  I mean, I'm trying to imitate his voice, but it's just ridiculous.
[02:10:08.579 --> 02:10:10.121]  That blew up in his face, so he had to admit it.
[02:10:10.121 --> 02:10:11.222]  We'll be right back in a few minutes.
[02:10:11.222 --> 02:10:12.242]  Dr. Sherrington.
[02:10:12.242 --> 02:10:12.783]  Penny, stay with us.
[02:10:15.928 --> 02:10:20.254]  The trick that social engineers use is very, very simple.
[02:10:20.254 --> 02:10:31.028]  They just teach us that the architecture of civilization, that the trajectory of a species is designed by these ever-knowing, loving, liberal technocrats.
[02:10:32.129 --> 02:10:34.830]  And then if we just sit back and enjoy the ride, everything will be great.
[02:10:34.830 --> 02:10:40.832]  But then they tell us that humans are obsolete, non-essential, that we're bad for the Earth, and we need to be phased out.
[02:10:40.832 --> 02:10:50.976]  So, they're very open about what they're doing, and they count on us just being very passive, living in the Matrix-like system that they're building.
[02:10:51.676 --> 02:10:58.883]  But what defines humans more than anything from the rest of the quote animal kingdom is that we control our environment.
[02:10:58.883 --> 02:11:01.005]  We build our own environments.
[02:11:01.005 --> 02:11:02.346]  We create our own systems.
[02:11:02.346 --> 02:11:08.852]  We really geoengineer and terraform the planet and its systems towards our aims.
[02:11:08.852 --> 02:11:10.674]  But instead, we're acting like animals.
[02:11:10.674 --> 02:11:13.537]  The globalists play the part of humans and us as cattle.
[02:11:13.537 --> 02:11:14.358]  And that's the trick.
[02:11:15.911 --> 02:11:19.114]  It couldn't have been scripted any better.
[02:11:19.114 --> 02:11:30.104]  That's because it was completely scripted, and we even know the names of the United Nations, Rockefeller Foundation, Bill & Melinda Gates, and John Hopkins documents.
[02:11:30.104 --> 02:11:32.746]  We have the script, just like you'd have for a Hollywood movie.
[02:11:32.746 --> 02:11:39.612]  And it's designed to free civilization and have a post-Renaissance
[02:11:40.842 --> 02:11:48.967]  Stagnation or New Dark Age and a total consolidation of all wealth and power in the hands of the kleptocratic post-humanist.
[02:11:48.967 --> 02:11:51.108]  The magnitude of this is unfathomable.
[02:11:51.108 --> 02:11:57.091]  As you can see, all the checkboxes of tyranny are being marked carefully, every I dotted, every T crossed.
[02:11:57.091 --> 02:12:02.414]  A total societal vertical integration, takeover, medical tyranny, total surveillance.
[02:12:02.414 --> 02:12:06.757]  The big tech heads, on average, have had their wealth clip up 35% in the last eight months.
[02:12:06.757 --> 02:12:08.758]  And of course, Jeff Bezos has basically doubled his.
[02:12:09.559 --> 02:12:13.065]  Everyone is being forced out of their system to post human robot takeover.
[02:12:13.065 --> 02:12:18.414]  You're being made obsolete.
[02:12:18.414 --> 02:12:21.018]  You're listening to the Alex Jones Show!
[02:12:40.167 --> 02:12:44.589]  It's not something that you can recommend.
[02:12:44.589 --> 02:12:48.211]  But there are two vitamins that you should consider.
[02:12:48.211 --> 02:12:56.015]  For example, if you are deficient in vitamin D, that does have an impact on your susceptibility to infection.
[02:12:56.015 --> 02:13:02.518]  So I would not mind recommending, and I do it myself, taking vitamin D supplements.
[02:13:03.078 --> 02:13:08.344]  The other vitamin that people take is vitamin C because it's a good antioxidant.
[02:13:08.344 --> 02:13:14.690]  So if people want to take a gram or two at the most of vitamin C, that would be fine.
[02:13:14.690 --> 02:13:17.193]  So vitamin C and vitamin D, okay.
[02:13:17.193 --> 02:13:19.315]  So Fauci says...
[02:13:24.585 --> 02:13:29.867]  I mean, people got a SWAT team by the FBI for giving out-of-the-sea their patients as a preventative.
[02:13:29.867 --> 02:13:31.207]  Medical doctors did.
[02:13:31.207 --> 02:13:32.368]  And Fauci said it wouldn't help you.
[02:13:32.368 --> 02:13:32.768]  The U.N.
[02:13:32.768 --> 02:13:38.510]  said, what do you make of that, Dr. Sherry Tinpenny, medical doctor, trailblazer, exposing the dangers of vaccines?
[02:13:38.510 --> 02:13:41.051]  I'm wanting safer ones.
[02:13:41.051 --> 02:13:43.491]  Or no vaccines now, I guess, in your deep research.
[02:13:43.491 --> 02:13:44.332]  Give us your own view on that.
[02:13:44.332 --> 02:13:44.972]  I'm going from memory.
[02:13:46.325 --> 02:14:02.652]  What do you make of the Hoover Institute and Stanford University having their videos banned by YouTube because professors came out and said the UN lied to us about COVID, exaggerated it, and that they blocked therapeutics and that they shouldn't be in control of speech, and then Big Tech blocked Stanford.
[02:14:02.652 --> 02:14:05.853]  I mean, when is Congress going to act on this censorship?
[02:14:05.853 --> 02:14:14.097]  That's a whole other subject of all these medical doctors and scientists being censored by Big Tech as a consortium, as a racketeering cartel.
[02:14:16.549 --> 02:14:18.010]  Yes, to all of it.
[02:14:18.010 --> 02:14:19.930]  I mean, when are they going to act?
[02:14:19.930 --> 02:14:23.551]  And when are they going to shut down this whole idea of censorship?
[02:14:23.551 --> 02:14:26.692]  And when are the physicians going to get brave enough to step forward?
[02:14:26.692 --> 02:14:34.875]  You know, there was a lawsuit that was just filed this week in Kansas by a group of physicians who said, we must end this mask mandate for healthy people.
[02:14:34.875 --> 02:14:37.156]  So finally, physicians are starting to step forward.
[02:14:37.156 --> 02:14:44.058]  You know, when Dr. Simone Gold, you know, stepped forward and said, hey, hydroxychloroquine saves people's lives and got fired from her job the next day.
[02:14:44.622 --> 02:14:46.886]  I mean, this whole thing is in.
[02:14:46.886 --> 02:14:48.950]  It's just every day it changes, Alex.
[02:14:48.950 --> 02:14:52.977]  You know, people ask me, how are you doing today, Dr. Tenpenny, with all this craziness going on?
[02:14:54.244 --> 02:14:56.946]  Today, this part of the matrix seems to be pretty good.
[02:14:56.946 --> 02:14:58.947]  Because every day it's a big flip-flop.
[02:14:58.947 --> 02:15:00.408]  Don't wear the mask, wear the mask.
[02:15:00.408 --> 02:15:02.010]  Social distance, don't social distance.
[02:15:02.010 --> 02:15:03.911]  Hydroxychloroquine is horrible.
[02:15:03.911 --> 02:15:09.055]  And then in the state of Ohio, within 24 hours, they turned it around and said, no, you can prescribe it for anything you want.
[02:15:09.055 --> 02:15:11.096]  You don't have to put down a diagnosis.
[02:15:11.096 --> 02:15:12.597]  So it's every day.
[02:15:12.597 --> 02:15:14.959]  You don't need D3, now you gotta have it to live.
[02:15:15.831 --> 02:15:16.371]  Exactly.
[02:15:16.371 --> 02:15:36.125]  And this should be such a clue to everybody to say, if this doesn't just tell you it's all about a power grab and control, it has nothing to do with health, nothing to do with sickness, nothing to do with protection from a a measly little infection that really for the vast majority of people means nothing.
[02:15:36.125 --> 02:15:39.707]  That people don't understand that masks are just the first step towards
[02:15:40.051 --> 02:15:46.532]  Tyrannical control of society and dehumanization and social engineering.
[02:15:46.532 --> 02:15:53.354]  If we can't get people, Alex, to stop wearing a mask, how are we ever going to get them to say no to this vaccine?
[02:15:53.354 --> 02:15:54.454]  Well, that's what it's all about.
[02:15:54.454 --> 02:16:01.856]  They admit it's an archetypal symbol, a luxury, a law for men and women, a muzzle, a literal gag that we're prisoners who've been silenced by them.
[02:16:03.799 --> 02:16:04.559]  Exactly.
[02:16:04.559 --> 02:16:05.860]  And that's exactly what it is.
[02:16:05.860 --> 02:16:11.321]  Now that we know that masks, I mean, I put together on Vaxxer, I wrote an article about masks don't work.
[02:16:11.321 --> 02:16:23.104]  And inside of there, there's a document that I put together that has almost 50 links to text from PubMed that shows that masks do nothing but harm the person who wears them.
[02:16:23.104 --> 02:16:26.924]  And tell us about the title of that article at your great website so everybody can share it.
[02:16:29.750 --> 02:16:32.212]  Masks don't work.
[02:16:32.212 --> 02:16:33.353]  It's pretty directly.
[02:16:33.353 --> 02:16:35.634]  And that's V-A-X-X-T-E-R.
[02:16:35.634 --> 02:16:38.456]  And again, listeners, I know you know all this.
[02:16:38.456 --> 02:16:50.424]  We're here to get you active to warn people because if folks will just take their D3, if they'll just take their C, if they'll just take their zinc, not just this, but the flu, pneumonia, all the... Am I wrong, Dr. Tim Penney?
[02:16:50.424 --> 02:16:54.327]  Even the NIH website says that almost all this disease is a deficiency of those.
[02:16:55.796 --> 02:17:08.784]  Well, it's either, you know, any disease in any category, whether it's an infection or heart disease, diabetes, obesity, it's either a deficiency of something or an excess of something.
[02:17:08.784 --> 02:17:11.245]  And it's the doctors are supposed to figure out what that is.
[02:17:11.245 --> 02:17:22.192]  The doctors were never intended to be just glorified drug reps, writing words on a piece of paper and handing them out for a living, which is, you know, just absolutely just, you know, being a minion of the drug reps.
