[00:00.000 --> 00:01.020]  In the conditioning!
[02:14:00.020 --> 02:14:06.900]  the documents declassify this information exposed to the american public start the prosecution and
[02:14:06.900 --> 02:14:12.660]  they'll fall like dominoes yeah these are traders there's no other these are genuine traders people
[02:14:12.660 --> 02:14:18.260]  like jim clapper john brennan they are absolute traders they were engaged with sedition and they
[02:14:18.260 --> 02:14:24.340]  tried to disrupt a legitimately elected president simply because they didn't like his politics or
[02:14:24.340 --> 02:14:29.620]  his policies but he was voted for by the american people not you know you you're a you're a but
[02:14:29.620 --> 02:14:33.620]  when i say conservative what you say is conservative and watch you on the air for six seven eight years
[02:14:34.180 --> 02:14:39.620]  and you did accurately all this out and i know you got to go but you just saying they're traders
[02:14:39.620 --> 02:14:44.340]  this is absolute traders we've got to do something you're totally right and i just can't believe we've
[02:14:44.340 --> 02:14:50.980]  gotten in this position yeah it's you know this is this is the stuff that civil wars are made of
[02:14:50.980 --> 02:14:56.900]  and uh the you know what what has made america you know america's had its flaws and they've
[02:14:56.900 --> 02:15:01.780]  been mistakes over the years you know we saw it with the hollywood blacklist period and i never
[02:15:01.780 --> 02:15:08.820]  thought we would see the democratic left engage in the same tactics that they accuse and uh the
[02:15:08.820 --> 02:15:14.740]  republicans of doing in the 1940s and early 50s but here we are with the democrats being
[02:15:14.740 --> 02:15:19.060]  more mccarthyite than anything that joseph mccarthy did back in it all right well listen
[02:15:19.060 --> 02:15:23.300]  larry c johnson i want to invite you to fly to austin i'll fly here i love to have you in studio
[02:15:23.300 --> 02:15:27.540]  i know you've got to go you've been very gracious but since you bring up civil war that's what other
[02:15:27.540 --> 02:15:31.780]  former cga and fb is saying they've now gotten into antifa groups they're actually planning this as
[02:15:31.780 --> 02:15:35.460]  their overthrow of trump do three more minutes with us on the other side then i'll let you go
[02:15:35.460 --> 02:15:39.620]  about you keep bringing up civil war you keep bringing up this climate that's how i think
[02:15:39.620 --> 02:15:42.180]  they're going to strike back and i think that's how they're saying they're going to strike back
[02:15:42.180 --> 02:15:46.180]  so just briefly on the side put bookends on this about the clear and present danger because i don't
[02:15:46.180 --> 02:15:49.220]  think they're going to give up and i think you're saying the same thing that's where i was going
[02:15:49.220 --> 02:15:52.340]  next even though you were going to leave us so please tell us your view on that sir thank you so
[02:15:52.340 --> 02:15:56.900]  much we'll be right back folks stay with us stocks and options trading involves financial
[02:15:56.900 --> 02:16:01.860]  risk and is not suitable for all investors hey guys it's scott power here ceo prosper trading
[02:16:01.860 --> 02:16:06.340]  academy are you looking for a super hot stock tip here at prosper we are always looking for
[02:16:06.340 --> 02:16:10.980]  exciting opportunities in the markets and right now all my students are salivating over the stock
[02:16:10.980 --> 02:16:16.580]  we are watching in fact i've got this hot stock written down right here and i'm about to text it
[02:16:16.580 --> 02:16:25.060]  to you for free i just need to know where to send it simply text hot to 48542 and i'll text it to you
[02:16:25.060 --> 02:16:31.300]  instantly how do i know this stock is so hot well i'm a former cboe market maker for amazon options
[02:16:31.300 --> 02:16:37.300]  former vice president of goldman sacks and i have over 25 years of professional trading experience
[02:16:37.300 --> 02:16:42.180]  i'm telling you this stock is hot but be warned the stock may move soon so you need to claim it
[02:16:42.180 --> 02:16:51.140]  before it does text hot to 48542 and i'll text you this hot stock instantly text hot to 48542
[02:16:51.140 --> 02:16:56.020]  and i'll text you this hot stock instantly message and data rates may apply know someone with a
[02:16:56.020 --> 02:17:01.540]  drinking or drug problem learn how to get sober after we share these stories i was 35 with two
[02:17:01.540 --> 02:17:06.580]  beautiful children when my life and addiction started to spiral out of control after my divorce
[02:17:06.580 --> 02:17:12.500]  i went into a depression cycle and started drinking more often and using prescription drugs
[02:17:12.500 --> 02:17:17.620]  after my second dwi and arrest my ex-husband threatened to take our children away from me
[02:17:17.620 --> 02:17:24.340]  i was 17 when i became addicted to heroin and meth i thought i could quit on my own but i couldn't
[02:17:24.340 --> 02:17:31.140]  it hit me when i was arrested get sober now your private insurance may cover costs and we'll
[02:17:31.140 --> 02:17:37.700]  get you here it's simple just call elite rehab placement right now please don't wait your life
[02:17:37.700 --> 02:17:53.140]  matters to us 800 213 9264 800 213 9264 800 213 9264 call right now before it's too late 800 213
[02:17:53.140 --> 02:18:00.100]  92 64 our grandparents the great grandparents knew that they canned food during the fall so
[02:18:00.100 --> 02:18:06.580]  you have it during the winter and that's what i'm talking about at m4store.com with m4 select
[02:18:06.580 --> 02:18:12.420]  it's the full spectrum of my patriot supply one of the top most respected companies out there but
[02:18:12.420 --> 02:18:19.060]  because i private label it i'm able to go below cost on contracts that all their other distributors
[02:18:19.060 --> 02:18:23.780]  aren't able to do but i want to be a market leader and i want you to have storeable food
[02:18:23.780 --> 02:18:30.500]  so it's a total win-win we have those incredible sell prices back m4store.com on m4 select storeable
[02:18:30.500 --> 02:18:36.020]  foods they've got special diet foods they've got three month supplies your supplies weak emergency
[02:18:36.020 --> 02:18:40.980]  supplies they've got so many great products there maybe you got a three-year supply if stuff happens
[02:18:40.980 --> 02:18:46.580]  you can feed your whole block it's up to us to be self-sufficient you're buying war bonds bringing
[02:18:46.580 --> 02:18:52.340]  great products and together with god's health we are unstoppable m4store.com and m4 select
[02:18:52.340 --> 02:18:58.580]  high-quality storeable foods powered by my patriot supply brain force plus is a top tier
[02:18:58.580 --> 02:19:06.420]  new tropic focused clarity energy but instead of having a seven times markup we have a hundred
[02:19:06.420 --> 02:19:13.140]  and fifty percent markup right now it's massively discounted and when you get a bottle of it and
[02:19:13.140 --> 02:19:19.060]  25 percent off you get a free bottle of what is our total best seller it's not very profitable
[02:19:19.060 --> 02:19:23.780]  because we give it at such a low price but it's amazing and that of course is knockout the ultimate
[02:19:23.780 --> 02:19:28.420]  sleep aid so we've got a way to energize you ramp you up in a healthy way during the day
[02:19:28.420 --> 02:19:34.340]  and put you deep into that restful healthy sleep at night it's the brain force and knockout combo
[02:19:34.340 --> 02:19:39.940]  deal 25 percent off brain force and a free bottle of knockout together right now get the
[02:19:39.940 --> 02:19:44.900]  combo and experience both these great products today take advantage of it and fund the m4
[02:19:44.900 --> 02:19:51.620]  m4slife.com or m4store.com the brain force plus knockout combo right now get your free bottle
[02:19:51.620 --> 02:20:04.980]  today at m4store.com you're listening to the alex jones show
[02:20:04.980 --> 02:20:22.340]  all right final segment with our guests and we're getting Millie Weaver on about the Joe
[02:20:22.340 --> 02:20:29.620]  Biden rally last night and more Larry C. Johnson's a highly decorated respected former CIA
[02:20:29.620 --> 02:20:36.740]  operative commander counterterrorism specialist i'm going to go over his whole awards and
[02:20:36.740 --> 02:20:41.460]  decorated past but he's one of the most cogent focused accurate people the last two plus years
[02:20:41.460 --> 02:20:46.820]  that i was watching saying what was really going on was going to come out and again i'm not one of
[02:20:46.820 --> 02:20:51.620]  these people that dreams of civil war and going out and getting the left the lefties i mean i'm
[02:20:51.620 --> 02:20:58.020]  not even a right winger i'm just a populist but when i go out in public sometimes in austin
[02:20:58.020 --> 02:21:01.060]  most people shake my hand but others say we're going to kill you we're going to get you they
[02:21:01.060 --> 02:21:06.260]  they attack me they think they're allowed to do that they're at a crazed level and then i get all
[02:21:06.260 --> 02:21:11.140]  these fbi reports i don't just believe fbi reports some are true some aren't i've well i'll just say
[02:21:11.140 --> 02:21:16.020]  it we've infiltrated anti-fagrobe showbiz knows that well they're like we're going to put people
[02:21:16.020 --> 02:21:20.340]  in camps and we're going to have a race war and we're going to link up with ms-13 i said that
[02:21:20.340 --> 02:21:24.740]  over a year ago the media freaked out and then now you've got other cia former analysts like
[02:21:24.740 --> 02:21:29.060]  kevin schipp basically saying everything that our guest larry c johnson's saying that they're
[02:21:29.060 --> 02:21:34.740]  planning a violent overthrow they want it they're buying full-page ads saying and i don't think
[02:21:34.740 --> 02:21:39.380]  antifa is going to lead this overthrow of trump but i think they could be the trigger for real
[02:21:39.380 --> 02:21:44.260]  civil unrest and i just think if we know this is coming we have a duty to stop it this isn't free
[02:21:44.260 --> 02:21:48.980]  speech so you talk about the climate being perfect for a civil war can you speak to that and how you
[02:21:48.980 --> 02:21:57.940]  think we can stop it well this this division that's being propagated by the media um i i've never
[02:21:57.940 --> 02:22:02.500]  you know i've been involved with doing media talking at stuff since it started like well
[02:22:02.500 --> 02:22:10.820]  1995 94 you've been on every chapter carls the jackal and i was on abc cbs nbc ms nbc
[02:22:10.820 --> 02:22:15.620]  i see you on nightline i think like 20 years ago so yeah you've been everywhere i did nightline
[02:22:15.620 --> 02:22:21.940]  probably eight or nine times so and then am i in this so going back almost 30 years i have never seen
[02:22:22.580 --> 02:22:29.940]  such a dishonest display i mean deliberate dishonesty on the part of media types uh and
[02:22:29.940 --> 02:22:36.580]  particularly at msnbc and at cnn but it's it's really going throughout the media no one's actually
[02:22:36.580 --> 02:22:42.980]  trying to be honest about covering the stories now the saving grace is this talk radio like your show
[02:22:42.980 --> 02:22:49.460]  and like rush limbaugh show if you if you compare rush limbaugh show to all the major media as many
[02:22:49.460 --> 02:22:57.940]  people listen to rush limbaugh as watch abc cbs nbc cnn ms nbc and fox news on any given night
[02:22:57.940 --> 02:23:03.780]  think about that the total numbers that that are just listening to rush as an example are
[02:23:04.420 --> 02:23:08.500]  comparable to what's going on the television by the way before they censored us we were at that same
[02:23:08.500 --> 02:23:15.380]  level yeah so that's what i see your show and other shows it gets out there and it counters
[02:23:15.380 --> 02:23:19.700]  the argument they can't control it they want to try to control it the way they try to control it
[02:23:19.700 --> 02:23:24.980]  just by destroying you by destroying your reputation and by trying to characterize you as a complete
[02:23:24.980 --> 02:23:29.780]  crank so i mean that's that's how they do i've been called a complete conspiracy theorist and
[02:23:29.780 --> 02:23:33.380]  no i saw you've been totally vindicated so what does the corporate media do as they lose all
[02:23:33.380 --> 02:23:37.940]  credibility now they they're losing the little bit of ratings they had or gone well and then they
[02:23:37.940 --> 02:23:44.740]  ignore you so they ignore this story and it's just but it's what what's important in all of this is
[02:23:44.740 --> 02:23:49.460]  that we continue to hammer on the truth get the truth out there get the facts out there get the
[02:23:49.460 --> 02:23:54.660]  documents out there because at the core in america there are people who are willing to be persuaded
[02:23:54.660 --> 02:23:59.540]  by facts but they need to be educated and they need to be taught and i don't think i totally agree
[02:23:59.540 --> 02:24:03.700]  let me say this in closing here's my concern i think you have criminal elements because people
[02:24:03.700 --> 02:24:08.340]  say well you got the CIA on you say the CIA is bad no it's like anything there's good people bad people
[02:24:08.340 --> 02:24:13.620]  do you follow the constitution do you not it's what sides you're on i think you're on the americana
[02:24:13.620 --> 02:24:16.900]  side just on the free market side on on the constitution side and correct me if i'm wrong
[02:24:17.620 --> 02:24:24.500]  yes but people don't seem to understand if the deep state criminal elements continue to be this
[02:24:24.500 --> 02:24:29.620]  wild they're going to lead into something where people are forced to do really drastic things
[02:24:29.620 --> 02:24:34.420]  and i think they've taken our our calmness and our restraint as witness and i've studied history
[02:24:34.420 --> 02:24:39.380]  look at all the tea leaves here larry i i i mean i say to the establishment the corrupt elements of
[02:24:39.380 --> 02:24:44.740]  it this way leads doom i mean i what do you see in your crystal ball in closing if they're able to
[02:24:44.740 --> 02:24:48.820]  trigger the race war the civil war that are in wiki leaks that the democrats are dreaming of that
[02:24:48.820 --> 02:24:53.220]  that netflix is pushing that they that they think is going to turn all this around i don't think they
[02:24:53.220 --> 02:24:57.860]  can put humpy dump me back together again i think they can only summon the whirlwind that will
[02:24:57.860 --> 02:25:03.060]  destroy them and i don't want to be in the middle of that yeah well unfortunately i think if history
[02:25:03.060 --> 02:25:08.820]  teaches us anything it's going to require some sort of external prices to bring us back together
[02:25:08.820 --> 02:25:14.100]  and at this point we're we're still on a collision course where the divisions that are being
[02:25:14.100 --> 02:25:19.860]  encouraged and promoted by many in the media many win hollywood uh that uh they're they're creating
[02:25:19.860 --> 02:25:25.220]  a mem of of a deep dark division in america and yet as a core in america there's a good heart
[02:25:25.220 --> 02:25:29.540]  there is and there are people who are willing to come together and i i still believe in and
[02:25:29.540 --> 02:25:36.100]  trust that that element can be touched and and coalesce and plus the reality is most of them
[02:25:36.100 --> 02:25:40.420]  have guns and the folks advocating this other don't so well here's my final question i really
[02:25:40.420 --> 02:25:44.020]  appreciate your time and i hope you write a book so we can plug it you're really a selfless patriot
[02:25:44.020 --> 02:25:48.980]  out there i guess for everybody's own interest but you saw brennan clapper i'm sure three weeks ago
[02:25:48.980 --> 02:25:54.100]  do the tour saying okay we did watch trump because you know he's a russian or whatever we're still
[02:25:54.100 --> 02:26:00.660]  putting that lie on we were ordered by obama declaring executive privilege executive operation
[02:26:00.660 --> 02:26:05.140]  i think that shows that they know they're caught and they're desperate now i think that's a big deal
[02:26:05.940 --> 02:26:11.300]  yeah it's a very big deal clapper was sort of the range in chief on the intel side behind
[02:26:11.300 --> 02:26:17.300]  this not brennan but brennan was a willing participant and was an enthusiastic participant
[02:26:17.300 --> 02:26:22.500]  the brennan's failing is just not very bright he's sort of a dummy and always has been just a
[02:26:22.500 --> 02:26:28.580]  mediocre intellect but likes to think that he's really smart but clapper was over all 17 agencies
[02:26:28.580 --> 02:26:35.460]  he was really able to yeah clapper clapper is a much more devious devious character and i was
[02:26:36.500 --> 02:26:42.100]  excuse me instrumental in in helping who does he work for from your sources or what makes him tick
[02:26:42.740 --> 02:26:47.220]  i mean i mean we know that brennan's a communist and just as an idiot well what makes clapper tick
[02:26:47.220 --> 02:26:52.980]  clapper is just a very much a self-server and then serving his own own interests
[02:26:52.980 --> 02:26:57.620]  and he figured that there was some political benefit to be derived by hitching his wagon
[02:26:57.620 --> 02:27:03.540]  to the hillard clinton train uh but that has that's failed him it's how could they get themselves
[02:27:03.540 --> 02:27:07.860]  out of this i keep seeing last question you're a smart guy though how do they couldn't they sue
[02:27:07.860 --> 02:27:12.420]  for peace with trump but i guess they can't be trusted no they will soon for peace won't be an
[02:27:12.420 --> 02:27:16.660]  option what they're gonna try to do is claim that all of that if trump goes forward with this he's
[02:27:16.660 --> 02:27:21.780]  going to damage us intelligence and us security by exposing intelligence sources and methods
[02:27:21.780 --> 02:27:27.220]  they're going to try to hide hide behind that and play that card so bottom line we're in for some
[02:27:27.220 --> 02:27:31.700]  major fireworks i would call this the most critical time in us history since its founding
[02:27:31.700 --> 02:27:36.980]  that's accurate statement yeah no i think so the next three months are going to be extremely crucial
[02:27:36.980 --> 02:27:42.260]  because the report from the inspector general horowitz is coming out and then trump is supposed
[02:27:42.260 --> 02:27:47.540]  to start to classify in all of this information and when it comes it's going to be a fly all right
[02:27:47.540 --> 02:27:52.100]  larry c johnson i wish you i mean i know you like to subscribe to have your work how do people
[02:27:52.100 --> 02:27:58.660]  find you you're a smart guy yeah i blog at pat lang's blog uh six emperor tyrannous as you pointed
[02:27:58.660 --> 02:28:04.020]  out pat used to be the head of the defense intelligence agencies middle east division
[02:28:04.020 --> 02:28:09.060]  he set up the arabic program at west point he is really one of the leading scholars in the united
[02:28:09.060 --> 02:28:15.620]  states on us Arab relations and uh so i'm just proud to be able to write at his so six emperor
[02:28:15.620 --> 02:28:20.660]  tyrannous six emperor tyrannous that's latin folks larry c johnson thank you for all the time sir
[02:28:20.660 --> 02:28:26.420]  god bless you okay thank you alex by the way thank you there there's no doubt folks we're all in this
[02:28:26.420 --> 02:28:35.940]  together now this is crazy town crazy town crazy town they all went on the news and said two and a
[02:28:35.940 --> 02:28:39.380]  half years ago they spied on trump they had the proof is a russian then they said they didn't do it
[02:28:39.380 --> 02:28:44.660]  they've been spying on me came out in the news and again i go back to it when you get around
[02:28:44.660 --> 02:28:52.260]  their operatives they're like mental patients they're like sjw with guns well they're not back
[02:28:52.260 --> 02:28:59.860]  stay with us if you're trying to quit drinking or doing too many drugs listen to me you don't
[02:28:59.860 --> 02:29:05.460]  know me and we'll never meet i had a problem like you once i drank and used to party a little too
[02:29:05.460 --> 02:29:12.660]  much till it got out of control and almost ruined my life i realized i needed help to fix my problem
[02:29:12.660 --> 02:29:18.340]  before it totally destroyed me if you've tried to fix your drinking and drug problem and you know
[02:29:18.340 --> 02:29:25.060]  you can't do it alone you need to call the national treatment advisors they'll immerse you into a 30
[02:29:25.060 --> 02:29:30.740]  day program to replace your old habits with new habits and totally change your life and if you
[02:29:30.740 --> 02:29:36.980]  have ppo private health insurance the entire program may be covered fix your problem right now
[02:29:36.980 --> 02:29:52.340]  before it gets any worse get clean call now and learn more 800 506 6740 800 506 6740 that's 800 506
[02:29:52.340 --> 02:30:00.260]  6740 it's time to show them what a real alpha male looks like with one of our most powerful
[02:30:00.260 --> 02:30:06.420]  products ever made alpha power as you age your body can lose testosterone over time with the
[02:30:06.420 --> 02:30:11.140]  incredible ingredients in this formula we can help you beat the test of time and assist in
[02:30:11.140 --> 02:30:16.820]  restoring that lost energy and mood that comes with time and age alpha powers incredible ingredients
[02:30:16.820 --> 02:30:21.700]  can help you boost your sport performance or enhance your day to day life with ease while
[02:30:21.700 --> 02:30:28.500]  encouraging hormonal balance perfect by itself or with super male vitality in the true alpha male
[02:30:28.500 --> 02:30:34.660]  path alpha power can help lose performance help maintain normal testosterone levels support healthy
[02:30:34.660 --> 02:30:40.660]  cholesterol and more let alpha power help bring you to the peak of your optimal health don't fall
[02:30:40.660 --> 02:30:46.100]  short on energy in the fight against tyranny show the world what a true alpha male looks like today
[02:30:46.100 --> 02:30:58.180]  with alpha power head to infowarstore.com today we all know that the outside toxins in the water
[02:30:58.180 --> 02:31:03.300]  is a serious health issue info wars is proud to sell incredible filters but it's almost impossible
[02:31:03.300 --> 02:31:08.420]  to keep up with every faucet shower and sink in your home that's why we're bringing you something
[02:31:08.420 --> 02:31:14.260]  to provide clean water for your whole house with one system the pro pure whole house water filtration
[02:31:14.260 --> 02:31:20.740]  system is an advanced four stage compact filtration system that will provide water filtration for
[02:31:20.740 --> 02:31:27.460]  your entire home removing 220 plus contaminants from your water it's compact in size easy to install
[02:31:27.460 --> 02:31:32.340]  and maintain and keeps fluoride and other dangerous toxins out of your water supply
[02:31:32.340 --> 02:31:37.380]  and away from you and your family with its broad spectrum contaminant reduction you'll
[02:31:37.380 --> 02:31:44.420]  only need this one filter for clean and refreshing water all over your home head to infowarstore.com
[02:31:44.420 --> 02:31:48.340]  and whether it's your first water filtration purchase or you're looking to replace your
[02:31:48.340 --> 02:31:54.260]  current rundown systems it's time to go big and go home with the pro pure whole house filtration
[02:31:54.260 --> 02:32:00.900]  system today i want to salute and commend every man woman and child that has supported this
[02:32:00.900 --> 02:32:05.860]  broadcast over the years and that has stood with us and i want to thank all of our sponsors and all
[02:32:05.860 --> 02:32:11.220]  of our affiliates but i'll tell you like it is you've seen the unmitigated attack we've been under
[02:32:11.220 --> 02:32:16.820]  you're our only sponsors and when you don't buy the products they're absolutely the best out there
[02:32:16.820 --> 02:32:23.460]  we aren't able to continue on so remember you are the info war i'm not the leader you are the leader
[02:32:23.460 --> 02:32:29.300]  when you take action nothing stops you we've got giant specials running right now at infowarstore.com
[02:32:29.300 --> 02:32:34.420]  that are unprecedented and if you go there and buy great products that you already need from
[02:32:34.420 --> 02:32:39.300]  across the board get funds the second american revolution worldwide so i want to thank you for
[02:32:39.300 --> 02:32:45.620]  your support i want to encourage you again go to infowarstore.com for whatever the product
[02:32:45.620 --> 02:32:50.660]  is you need we have thousands of them and it makes this all possible thank you for making
[02:32:50.660 --> 02:32:55.140]  it for as possible god bless you
[02:32:59.620 --> 02:33:13.140]  you're listening to the alex jones show
[02:33:13.140 --> 02:33:27.380]  live from austin texas it's alex jones
[02:33:28.660 --> 02:33:38.340]  i'm high as a kite on freedom we are in a real war folks not some chicken you know what war
[02:33:38.340 --> 02:33:44.900]  not some garbage globalist war but a real war to restore the republic and all my bones all my
[02:33:44.900 --> 02:33:53.620]  ancestors all my spirit says you're doing good boy we want more we want it now here's all the power
[02:33:56.820 --> 02:34:01.060]  everything these little chicken crap globalists seek they'll never have because they're trash
[02:34:01.060 --> 02:34:07.540]  they're not going to get power because they don't deserve it and i don't want the power and neither do you
[02:34:08.500 --> 02:34:13.300]  but you're not going to let them run your life for you they think they control you
[02:34:13.300 --> 02:34:17.140]  that you're going to tell you what to think and what to do but they're not let's crank up some more
[02:34:17.140 --> 02:34:20.020]  of this great classical music i see it as possible
[02:34:23.700 --> 02:34:27.700]  are we getting any weaver on i got stacks of incredible news and information and so much more
[02:34:27.700 --> 02:34:33.300]  but let me tell you the real joy of this sucker that's staying on the air in the face of the
[02:34:33.300 --> 02:34:38.260]  globalist you know if i went over all the things they've done to us and all the things i haven't
[02:34:38.260 --> 02:34:45.860]  told you about this week and all the stuff that happens i just always see one door closes another
[02:34:45.860 --> 02:34:52.180]  door opens and i it's our mission to stay in the 2020 election and to get trump back in to keep his
[02:34:52.180 --> 02:34:56.340]  feet to the fire to restore the republic and i tend to keep invoars going after that because it'll
[02:34:56.340 --> 02:35:04.820]  always be work to do but i i would love to retire like bill bow backins uh the ring of mordor carrying
[02:35:04.820 --> 02:35:10.740]  around in my pocket is not a very fun thing today let's just leave it at that uh and i just i just
[02:35:10.740 --> 02:35:17.540]  want to halfway get the country back on even keel so it's not total crisis mode but i can't recede
[02:35:17.540 --> 02:35:23.620]  into the shadows even though i've done 25 years of this because they are literally trying to destroy
[02:35:23.620 --> 02:35:30.180]  me every minute every second now listen and i've said this a hundred times i'll say it again do you
[02:35:30.180 --> 02:35:37.380]  understand that i would never sell you something that i didn't think was the best and that i don't
[02:35:37.380 --> 02:35:43.700]  use yes i'm a very superstitious person i'm so superstitious it's not like something i
[02:35:44.660 --> 02:35:52.660]  have in an external capacity like oh i i read books on superstition or uh i i study superstition
[02:35:52.660 --> 02:36:01.140]  i don't study anything in books i'm superstitious i've never started to fight i've never stolen
[02:36:01.140 --> 02:36:05.700]  from anybody other than beer out of golf carts when i was a teenager and i'm the same with that
[02:36:06.340 --> 02:36:08.740]  and i've never gotten off on screwing someone over
[02:36:11.940 --> 02:36:15.620]  but i have enjoyed it when somebody's beaten that lot of me to get that left hook in and
[02:36:15.620 --> 02:36:22.580]  and break their jaw and get them off me the joy of victory the joy of defense but i just want
[02:36:22.580 --> 02:36:28.100]  listeners to understand something we are the center of the storm you are you're the americans
[02:36:28.100 --> 02:36:32.180]  they fear you're the people that through the thousands of choices tens of thousands of choices
[02:36:32.180 --> 02:36:39.780]  hell millions of choices online you chose info wars you you you've dialed in and now you see the
[02:36:39.780 --> 02:36:46.580]  proofs in the pudding and it's just like our products i mean i'll tell you the one product
[02:36:46.580 --> 02:36:51.620]  we have that is not the best there is i'll tell you it because i'm just not that skilled at it
[02:36:51.620 --> 02:37:00.260]  it's our t-shirts some of our t-shirts are really good some of our t-shirts are okay
[02:37:01.060 --> 02:37:07.300]  a lot of t-shirts i designed suck and that's because i can't figure out how to come up with
[02:37:07.300 --> 02:37:12.660]  good ideas like mark dice these t-shirts are awesome go buy some seriously support it they're all
[02:37:12.660 --> 02:37:18.820]  genius but everything else i can go to the top scientists top companies top reviews and i can
[02:37:18.820 --> 02:37:26.660]  bring you the best supplements my t-shirts are not the best some have really nice fabric and are
[02:37:26.660 --> 02:37:33.140]  you know the top five percent but they're not the best our turmeric bodies is the best our
[02:37:33.140 --> 02:37:40.100]  fish oil is the best you're gonna find out there our ultimate bone broth formula is the best our
[02:37:41.220 --> 02:37:47.060]  neutropic is the best unless you spend two hundred dollars a bottle the industry when i put out
[02:37:47.060 --> 02:37:53.140]  brain force four years ago got so angry because it's it's a copy of some of the top brands out
[02:37:53.140 --> 02:37:57.060]  there i mean not a total copy but we made it stronger and better they were selling it for
[02:37:57.060 --> 02:38:02.980]  a hundred dollars eighty dollars a bottle i made the industry drop brain pill neutropics like turbo
[02:38:02.980 --> 02:38:07.380]  force from an average of eighty bucks down to about sixty because we offered it forty always
[02:38:07.380 --> 02:38:13.060]  discounted twenty nine ninety five nobody puts ten dollars a product in something like this they
[02:38:13.060 --> 02:38:18.420]  put two dollars in it and mark it up seven times i don't do that i tell you exactly what's going on
[02:38:19.620 --> 02:38:26.020]  so that's what i'm getting at here is everyone needs to understand that the water filtration
[02:38:26.020 --> 02:38:29.620]  people say well you see you have the best water filtration you sell five different types
[02:38:29.620 --> 02:38:34.740]  well one is the best shower one is the best bath there are two or three gravity feds that you
[02:38:34.740 --> 02:38:39.460]  could argue one's better at this one better at that i sit there and look at the big toxicity studies
[02:38:39.460 --> 02:38:43.220]  and you know one's better at this and one's better at that but it's all nine nine nine nine
[02:38:43.220 --> 02:38:50.100]  nine percent reduction so alexa pure pro is great pro pure is great we've got the biggest
[02:38:50.100 --> 02:38:55.700]  sales ever going on alexa pure pro right now so if it's air filtration here's how my brain works
[02:38:55.700 --> 02:39:02.500]  you can buy a six stage ion electrical filter that's a thousand dollars you can buy four stages all
[02:39:02.500 --> 02:39:06.900]  day long for five hundred bucks they used to be six hundred seven hundred alexa pure breeze is
[02:39:06.900 --> 02:39:12.020]  normally two fifty that's a great deal i make fifty sixty bucks they make fifty sixty bucks
[02:39:12.020 --> 02:39:17.780]  when they discount it i make like thirty bucks they make nothing at one hundred ninety nine
[02:39:17.780 --> 02:39:22.260]  dollars i'm making like forty bucks they're making like twenty bucks now we sell a lot more of them
[02:39:22.260 --> 02:39:26.740]  because you know it's a great deal it's a four stage ion filter could you spend a thousand and get
[02:39:26.740 --> 02:39:34.580]  better yeah not much better so that's what i'm getting at here is my philosophy and what i stand for
[02:39:34.580 --> 02:39:42.180]  and how we fund ourselves and what we do that the only thing we produce that is not the best on the
[02:39:42.180 --> 02:39:49.700]  market at a lower price is the t-shirts i mean technically shortwave radios go up and down in
[02:39:49.700 --> 02:39:54.580]  price all the time so maybe we don't last time a year ago i set deals on seeds we had the best
[02:39:54.580 --> 02:39:59.940]  deals in the industry maybe they're not now the point is i'm trying hard here and i make it easy
[02:39:59.940 --> 02:40:05.460]  to support us if i was selling a coffee cup for a hundred bucks like a mug club like like uh
[02:40:05.460 --> 02:40:09.540]  steven crowder buy the damn thing it doesn't matter it costs you make bucks like mug he's got to pay
[02:40:09.540 --> 02:40:17.060]  that old crew we sell mugs for fifteen bucks and i'm not in competition with crowder i'm saying
[02:40:17.060 --> 02:40:24.660]  i can't stop neurotically giving you the best deal i can because i can't not do it and i got
[02:40:24.660 --> 02:40:30.340]  warned by marketers they said listen you keep discounting stuff 40 50 percent people are gonna
[02:40:30.340 --> 02:40:35.700]  only buy when you do that and it's fine if you mark up stuff seven times but you don't mr jones
[02:40:36.500 --> 02:40:43.460]  you're not gonna run this operation making 10 20 on the product and it's true and i've walked
[02:40:43.460 --> 02:40:50.580]  myself into that situation and i don't know how to unwalk it with the audience so there is no
[02:40:50.580 --> 02:40:55.140]  marketing here there is no advisors there i've tried to have meetings i've tried to figure it out i
[02:40:55.140 --> 02:41:00.660]  just can't stop what i'm doing i just believe in you and i know they even had vice magazine do a big
[02:41:00.660 --> 02:41:04.820]  study and i knew they'd always pick one product say was good look reasonable and attack all the
[02:41:04.820 --> 02:41:09.620]  others it was all bs except what they said god this is like the best coffee we ever drank well i
[02:41:09.620 --> 02:41:14.260]  mean i went out and found the top rated coffee from southern mexico and chiapas that's that's
[02:41:14.260 --> 02:41:20.500]  beyond organic it's handcrafted handpicked and i love it and then i discounted ten dollars less
[02:41:20.500 --> 02:41:26.820]  a pound than whole food sells it that's what we're doing and so right now you can get x3
[02:41:29.220 --> 02:41:33.780]  for free the great iodine supplement the missing link when you get a bottle of x2
[02:41:33.780 --> 02:41:39.780]  25 off and listen i couldn't get the deep earth mining operations to give us to us anymore they
[02:41:39.780 --> 02:41:43.860]  found who we were they wanted like you know equivalent like 30 bucks a bottle to do it instead
[02:41:43.860 --> 02:41:48.580]  of like 10 bucks a bottle we couldn't do it so i played guts ball and said screw you i finally
[02:41:48.580 --> 02:41:53.140]  found another company they could get the very same deep earth crystals but then they convinced me
