[00:00.000 --> 00:05.120]  From the front lines of the information war, it's Alex Jones
[01:01:29.560 --> 01:01:34.000]  Now, this is kind of a no man's land, some stations don't care this little first five
[01:01:34.000 --> 01:01:38.120]  minute segment, but you notice I did about a 30-second plug at the end of the last hour.
[01:01:38.120 --> 01:01:42.800]  I really should hype this more because you are the power.
[01:01:42.800 --> 01:01:43.800]  You are the answer.
[01:01:43.800 --> 01:01:46.000]  You are the engine of infowars.
[01:01:46.000 --> 01:01:50.800]  You resonate with our message of truth and freedom and justice and trying to not be played
[01:01:50.800 --> 01:01:53.220]  like a fiddle by the establishment.
[01:01:53.220 --> 01:01:57.480]  It is you telling friends and family about the broadcast that makes it possible.
[01:01:57.480 --> 01:02:02.760]  It is you getting friends to download the free iPhone, Android apps, and to tell folks
[01:02:02.760 --> 01:02:04.120]  how they can tune in.
[01:02:04.120 --> 01:02:06.640]  That's how this happens.
[01:02:06.640 --> 01:02:12.600]  It is you who have prismplanet.tv memberships to see all the films and the ebooks and other
[01:02:12.600 --> 01:02:16.320]  documentaries and the nightly news and special live reports.
[01:02:16.320 --> 01:02:21.120]  You are the ones that pay to let us give a free feed of the Daily Radio show that cost
[01:02:21.120 --> 01:02:24.480]  me tens of thousands of months just in bandwidth.
[01:02:24.480 --> 01:02:30.760]  It is you that allows us to say 20 people can use each membership so you can get friends
[01:02:30.760 --> 01:02:32.760]  and family to tune in.
[01:02:32.760 --> 01:02:34.360]  That is where the real war is.
[01:02:34.360 --> 01:02:35.680]  We cover the big news.
[01:02:35.680 --> 01:02:37.520]  We have the hardcore guest on.
[01:02:37.520 --> 01:02:42.560]  We give people a deep analysis of what's happening and they're hungry for it, but if a tree falls
[01:02:42.560 --> 01:02:47.160]  in the forest and nobody is there to hear it, it doesn't make a sound.
[01:02:47.160 --> 01:02:48.160]  Perception is reality.
[01:02:48.160 --> 01:02:53.520]  So commit this Christmas and this new year to talk about world government, to talk about
[01:02:53.520 --> 01:03:00.440]  the new world order, to get friends and family, to tune in to this radio show and to spread
[01:03:00.440 --> 01:03:03.160]  the word because we are growing.
[01:03:03.160 --> 01:03:07.920]  But we've hit, I knew we'd hit more resistance from the establishment and dirty tricks, but
[01:03:07.920 --> 01:03:12.520]  we've hit major resistance on a bunch of fronts and they politically kicked us off XM and
[01:03:12.520 --> 01:03:18.120]  serious and there's campaigns to remove us off AM and FM around the country and some
[01:03:18.120 --> 01:03:19.200]  of it's successful.
[01:03:19.200 --> 01:03:25.640]  We're growing fast enough that it's not taking us down, but we're moving forward in the battle,
[01:03:25.640 --> 01:03:28.440]  but it's having an effect and we expect that.
[01:03:28.440 --> 01:03:31.240]  I've been crushed before.
[01:03:31.240 --> 01:03:36.520]  We're not even being pushed back right now, though it's slowing us down.
[01:03:36.520 --> 01:03:40.920]  I've been hammered down to like 20% of what I was audience wise for telling the truth
[01:03:40.920 --> 01:03:47.800]  before, but we always after that happens and we don't compromise, we just explode afterwards.
[01:03:47.800 --> 01:03:51.400]  So we're being hit with, I'm not going to belabor it and get into all of it, but there's
[01:03:51.400 --> 01:03:55.600]  all sorts of just an incredible, I mean, can you imagine what the system is trying to do
[01:03:55.600 --> 01:03:59.400]  to shut us down, but where they don't get to blame because if they do it wrong and get
[01:03:59.400 --> 01:04:03.760]  caught doing it like media matters got caught in those memos four years ago saying we're
[01:04:03.760 --> 01:04:07.240]  going to infiltrate alternative conservative media and destroy it from within.
[01:04:07.240 --> 01:04:10.960]  We're going to infiltrate the tea party and pull dirty tricks and blaming on them.
[01:04:10.960 --> 01:04:13.160]  That's false flags.
[01:04:13.160 --> 01:04:20.760]  And by the grace of God, we've discovered operators, activities, it is Providence.
[01:04:20.760 --> 01:04:24.520]  The stuff that happens around here, how we learn about what people are doing.
[01:04:24.520 --> 01:04:26.600]  It's like fight club.
[01:04:26.600 --> 01:04:30.360]  The only problem is I have no way to even reach out to our listeners, our fans, our
[01:04:30.360 --> 01:04:34.640]  supporters and get one tense of their intel, but they just stopped the enemy operations
[01:04:34.640 --> 01:04:36.560]  on their own.
[01:04:36.560 --> 01:04:45.720]  Most citizens, hairdressers, bookstore owners, police, school teachers, you name it, they
[01:04:45.720 --> 01:04:48.080]  are there like fight club.
[01:04:48.080 --> 01:04:49.080]  It's like fight club.
[01:04:49.080 --> 01:04:53.040]  My life is like fight club where we've got so many listeners now.
[01:04:53.040 --> 01:04:55.040]  We've got human everywhere.
[01:04:55.040 --> 01:04:59.040]  The establishment better be worried than they are.
[01:04:59.040 --> 01:05:03.560]  Sold out for weeks through the difficult and extensive proprietary process behind its creation.
[01:05:03.560 --> 01:05:09.200]  The exclusive infowars life secret 12 formulation is now back in stock in the last limited shipment
[01:05:09.200 --> 01:05:10.200]  of 2014.
[01:05:10.200 --> 01:05:15.000]  The most bioactive form that has been created with our proprietary process, this ultra clean
[01:05:15.000 --> 01:05:19.520]  vitamin B12 nutraceutical has been carefully crafted and developed over the last two years
[01:05:19.520 --> 01:05:24.680]  and is based on cellular science of how your body actively absorbs essential nutrients.
[01:05:24.680 --> 01:05:29.320]  Secret 12 is taken by mouth right on the tongue and then swallowed no needles, no injections.
[01:05:29.320 --> 01:05:35.200]  Vitamin B12 deficiency is linked to scores of serious problems and secret 12 is a fusion
[01:05:35.200 --> 01:05:41.600]  of two organic proprietary forms of vitamin B12 bringing you a true nutraceutical quality
[01:05:41.600 --> 01:05:44.280]  vitamin B12 secret 12.
[01:05:44.280 --> 01:05:50.040]  Secret 12 is an excellent Christmas gift and is tailor made to boost your New Year's resolutions.
[01:05:50.040 --> 01:05:52.360]  Supplies of secret 12 are very limited.
[01:05:52.360 --> 01:05:59.360]  For yours today at infowarslife.com or by calling toll-free 888-253-3139.
[01:06:22.360 --> 01:06:29.360]  I am sworn upon the order of God, internal hostility against every form of death.
[01:06:52.360 --> 01:07:10.360]  The answer to 1984 is 1776, you're listening to the Alex Jones show.
[01:07:10.360 --> 01:07:23.160]  What are your worst cases of political correctness or do you support a North Korean society here
[01:07:23.160 --> 01:07:41.560]  in America?
[01:07:41.560 --> 01:07:58.440]  What are your worst cases of political correctness or do you support a North Korean society here
[01:07:58.440 --> 01:07:59.440]  in America?
[01:07:59.440 --> 01:08:17.200]  What are your worst cases of political correctness or do you support a North Korean society here
[01:08:17.200 --> 01:08:18.200]  in America?
[01:08:18.200 --> 01:08:22.200]  What are your worst cases of political correctness or do you support a North Korean society here
[01:08:22.200 --> 01:08:23.200]  in America?
[01:08:23.200 --> 01:08:37.880]  What are your worst cases of political correctness or do you support a North Korean society here
[01:08:37.880 --> 01:08:38.880]  in America?
[01:08:38.880 --> 01:08:41.840]  What are your worst cases of political correctness or do you support a North Korean society here
[01:08:41.840 --> 01:08:42.840]  in America?
[01:08:42.840 --> 01:08:49.560]  a doctor on who manages three hospitals. I've talked to other medical doctors. They are saying
[01:08:49.560 --> 01:08:57.000]  Ebola is being covered up. Incredible. Fox investigation. CDC may be hiding Ebola cases.
[01:08:57.000 --> 01:09:04.600]  Further priv services of widespread cover up infowars.com. Red linked article right now
[01:09:05.560 --> 01:09:12.120]  on infowars.com. In fact, I see that's blue linked. Can we red link that? Thank you,
[01:09:12.120 --> 01:09:17.320]  Michele Phelan. She's up here working right now on Sunday night with us doing a great job.
[01:09:18.840 --> 01:09:22.440]  So I want to get your take on that little piece of news.
[01:09:25.160 --> 01:09:32.600]  Now a 10 billion dollar UN linked climate change fund wants immunity from prosecution.
[01:09:34.120 --> 01:09:38.280]  Remember, they already wanted to get UN divided by the community for the climate
[01:09:38.280 --> 01:09:42.360]  training fund. It's been involved in so much serious corruption. This is Fox News as well.
[01:09:43.160 --> 01:09:46.760]  Al Gore and others are involved. Well, now United Nations affiliated piggy bank intended
[01:09:46.760 --> 01:09:50.760]  to finance climate change projects around the world is determined to win sweeping UN style
[01:09:50.760 --> 01:09:54.680]  immunities for prosecutions for its global operations. Even though the US, its biggest
[01:09:54.680 --> 01:09:59.400]  contributor opposes the idea and the UN itself says its own diplomatic community
[01:09:59.400 --> 01:10:04.200]  can't cover the outfit. They want that over all their pump and dump type activities.
[01:10:04.200 --> 01:10:09.000]  And they're full of taxpayer money.
[01:10:11.960 --> 01:10:15.800]  Continuing, ladies and gentlemen, with the news that I've got here
[01:10:17.800 --> 01:10:23.960]  in the stack, speaking of global governance, majority, this is RT, majority of Brits want
[01:10:23.960 --> 01:10:28.680]  to quit EU poll shows. Among the six European states participating in a poll questioning
[01:10:28.680 --> 01:10:32.840]  EU membership, the British appeared most certain of all they want to leave the union
[01:10:32.840 --> 01:10:39.080]  with only 37 percent against breaking ties. Again, they were never given a chance to vote
[01:10:39.080 --> 01:10:46.120]  on the EU setting 83 percent of British or UK laws. The French opinion way polls showed 40 percent
[01:10:46.120 --> 01:10:51.160]  of British respondents want to leave the EU while 37 percent say they're staying in the union
[01:10:51.160 --> 01:10:55.480]  and 21 percent are not sure of the answer. A figure reported on Wednesday, the numbers are
[01:10:55.480 --> 01:11:05.240]  much higher. I see British polls like 90 percent went out and it goes on. So that's what globalism
[01:11:05.240 --> 01:11:13.960]  is where groups you didn't even vote to join are controlling what you do inside your own country,
[01:11:13.960 --> 01:11:19.480]  like trying to ban fireplaces and water wells. That's going on in Europe. Now they're trying it in
[01:11:19.480 --> 01:11:26.840]  England. This is the true tyranny that we're dealing with. Imagine living in Chicago. We got
[01:11:26.840 --> 01:11:32.040]  two great affiliates in Chicago. Imagine living in Chicago. That's a great city in many areas,
[01:11:32.040 --> 01:11:37.480]  but in the south side, Mayor Emmanuel Sun, though, who lives in the wealthy area, not safe.
[01:11:38.040 --> 01:11:44.360]  Sun robbed outside family's Lakeview home. CBS News reports the guy that wants total
[01:11:44.360 --> 01:11:50.600]  ban for citizens who has bodyguards. Well, his son wasn't immune, was he? The teenage son of
[01:11:50.600 --> 01:11:55.320]  Mayor Rahm Emanuel was the victim of a robbery outside the mayor's Lakeview home Friday night.
[01:11:55.320 --> 01:12:01.960]  A spokesman for the mayor's office confirms police were called the 4,200 block of hermitage
[01:12:01.960 --> 01:12:08.120]  at 10.05 p.m. Friday for a report of a robbery on the street where they would normally already
[01:12:08.120 --> 01:12:12.200]  be a police presence. Oh yeah, they normally keep there to guard the mayor because he doesn't live
[01:12:12.200 --> 01:12:19.480]  like everybody else. He has armed bodyguards, taxpayer pay. Just like the disgraced CNN red
[01:12:19.480 --> 01:12:24.280]  coat who he destroyed, and they admit even in the LA Times, it was the beginning and the end of his
[01:12:24.280 --> 01:12:31.640]  ratings. Pierce Morgan, he had armed bodyguards at his house, a little hypocritic turd. Emmanuel's
[01:12:31.640 --> 01:12:37.240]  17-year-old son went out to make a phone call when he was jumped by two men who stole the teen's
[01:12:37.240 --> 01:12:44.440]  cell phone. A police report obtained by the Chicago Tribune says that he was put in a
[01:12:44.440 --> 01:12:49.960]  chokehold, that's the classic mugging, by one of the suspects and punched the face by another.
[01:12:49.960 --> 01:12:56.200]  Emanuel reportedly suffered a fat lip and chipped tooth. Oh, well taxpayer money will pay for that.
[01:12:56.200 --> 01:13:02.040]  Emanuel spokesperson Kelly Quinn released a statement saying yesterday evening Mayor Emanuel's
[01:13:02.040 --> 01:13:08.680]  son Zach was assaulted in a robbery during which his phone was stolen. He sustained injuries and
[01:13:08.680 --> 01:13:13.240]  required medical treatment but was able to join the family for a long planned trip. The mayor's
[01:13:13.240 --> 01:13:17.800]  focus is on his son's well-being and his parents. He and Amy asked the media to respect the family's
[01:13:17.800 --> 01:13:24.920]  privacy at this time. Oh, what about the 15 people killed a week, the 40-something shot?
[01:13:24.920 --> 01:13:30.760]  What about all the racially motivated attacks you cover up? Oh, and I bet money this one was.
[01:13:32.360 --> 01:13:37.960]  But that's okay because they're going to post more police at your house until everything
[01:13:37.960 --> 01:13:42.840]  collapses and the city's burning and the police have to go take care of their families and then
[01:13:42.840 --> 01:13:48.200]  no one's going to protect you. I know, Rom, you'll jump on an airplane and head out to Switzerland.
[01:13:48.200 --> 01:13:56.360]  Job complete, America destroyed. Don't let a good crisis go to waste, Tom Mayor.
[01:14:01.240 --> 01:14:05.080]  We're going to go to break and come back and start taking your phone calls and then I'm going
[01:14:05.080 --> 01:14:13.080]  to get into a bunch of other news that I haven't even covered yet but there is a lot to get into.
[01:14:13.080 --> 01:14:21.400]  You've got a gunman executing cops as revenge for another jurisdiction, somebody being choked to
[01:14:21.400 --> 01:14:26.760]  death and that's how it works, just mindless killing on the streets
[01:14:30.360 --> 01:14:34.600]  and it's going to only make race and police relations that much worse.
[01:14:34.600 --> 01:14:37.320]  We'll talk about that coming up as well.
[01:14:37.320 --> 01:14:44.360]  Thousands of protesters storm all of America. It's really class warfare
[01:14:47.800 --> 01:14:53.960]  saying that again, it's racism. Why don't people protest against the banking cartels
[01:14:53.960 --> 01:14:57.160]  that have hijacked the nation? That's another question I have for everybody.
[01:14:57.160 --> 01:15:02.200]  Now, I'm really hammering this today because if you order stuff at infowarstore.com,
[01:15:02.200 --> 01:15:05.800]  you're not going to get it by Christmas by now. We appreciate everybody's patronage
[01:15:05.800 --> 01:15:11.320]  of infowarstore.com and the great nutraceuticals and pro-gun t-shirts and books and films and
[01:15:11.320 --> 01:15:17.000]  all the rest of it and great water filtration systems and the Molan Lombay silver coins and
[01:15:17.000 --> 01:15:20.920]  the commemorative belt buckles and all of it. We don't get taxpayer money, we're funded by your
[01:15:20.920 --> 01:15:28.600]  support but you can go until Christmas morning and get a prisonplanet.tv membership in about 60
[01:15:28.600 --> 01:15:36.120]  seconds and 20 people can then use your username to log in simultaneously, so more than that. But
[01:15:36.120 --> 01:15:40.840]  20 people, you can give to friends and family that username and passcode that's unique to this,
[01:15:40.840 --> 01:15:45.000]  make sure it's unique to this, so it's safe and give it to friends and family to watch
[01:15:45.000 --> 01:15:49.560]  and download the films and so much more and it supports the infowar. So I want to thank all of
[01:15:49.560 --> 01:15:59.720]  you this Christmas for your support, for my family and yours, to all the prisonplanet.tv members.
[01:15:59.720 --> 01:16:04.360]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation,
[01:16:04.360 --> 01:16:10.040]  the exclusive infowars life secret 12 formulation is now back in stock in the last limited shipment
[01:16:10.040 --> 01:16:14.840]  of 2014, the most bioactive form that has been created with our proprietary process.
[01:16:14.840 --> 01:16:19.800]  This ultra clean vitamin B12 nutraceutical has been carefully crafted and developed over the last
[01:16:19.800 --> 01:16:25.240]  two years and is based on cellular science of how your body actively absorbs essential nutrients.
[01:16:25.240 --> 01:16:29.800]  Secret 12 is taken by mouth, right on the tongue and then swallowed, no needles, no ejections.
[01:16:29.800 --> 01:16:36.360]  Vitamin B12 deficiency is linked to scores of serious problems and secret 12 is a fusion of
[01:16:36.360 --> 01:16:42.840]  food, organic, proprietary forms of vitamin B12 bringing you a true nutraceutical quality vitamin
[01:16:42.840 --> 01:16:49.560]  B12. Secret 12. Secret 12 is an excellent Christmas gift and is tailor made to boost your New Year's
[01:16:49.560 --> 01:16:55.640]  resolutions. Supplies of secret 12 are very limited. Secure yours today and infowarslife.com
[01:16:55.640 --> 01:17:03.080]  are by calling toll free 888-253-3139. From the water table to our soils to the atmosphere itself,
[01:17:03.080 --> 01:17:08.040]  our world is becoming more and more toxic each and every day but it's not just the air outside
[01:17:08.040 --> 01:17:13.080]  that's toxic. Indoor air has been shown to have two to five times higher concentrations of pollutants
[01:17:13.080 --> 01:17:18.440]  than even outdoor air and most Americans spend 90% of their time inside using toxic chemicals
[01:17:18.440 --> 01:17:23.720]  within their homes. There are more than 42 million smokers in the United States. Well over a thousand
[01:17:23.720 --> 01:17:28.200]  types of mold and mildew linked to numerous conditions and don't forget the fact that six
[01:17:28.200 --> 01:17:32.920]  million Americans live with pets they're allergic to as well. When I began to research these statistics
[01:17:32.920 --> 01:17:38.680]  it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment
[01:17:38.680 --> 01:17:43.560]  that we cannot escape but that we can fight back against. Made with organic and wild cultivated
[01:17:43.560 --> 01:17:48.920]  herbs and manufactured in the USA the new info wars life lung cleanse is here in a convenient
[01:17:48.920 --> 01:17:52.840]  spray bottle that can be brought with you throughout any toxic environment. Now available
[01:17:52.840 --> 01:18:01.400]  exclusively at infowarslife.com or by calling toll free 888-253-3139. 2015 is almost here and with
[01:18:01.400 --> 01:18:07.080]  it comes those New Year's resolutions to finally transform your body the way you want it. There's
[01:18:07.080 --> 01:18:13.480]  a reason over 88% of New Year's resolutions fail make this year different by equipping yourself
[01:18:13.480 --> 01:18:19.800]  with oxy powder the next level in cleansing the body naturally using super oxygenation oxy powder
[01:18:19.800 --> 01:18:25.480]  available through infowarslife.com gently cleanses the body while you sleep with easy capsules.
[01:18:25.480 --> 01:18:30.360]  Tens of thousands of individuals have used oxy powder to cleanse their bodies and aid in their
[01:18:30.360 --> 01:18:35.880]  transformations even info wars nightly news director Rob do has been using oxy powder with
[01:18:35.880 --> 01:18:40.200]  incredible success took it that first day that took it for six more days after that 12 pounds
[01:18:40.200 --> 01:18:45.960]  melted off in about a week i'd say a week seven days 2015 can be different diet and exercise
[01:18:45.960 --> 01:18:51.320]  are important but a lot of us have already tried that oxy powder flushes it out secure your oxy
[01:18:51.320 --> 01:19:00.280]  powder at infowarslife.com that's infowarslife.com or 888-253-3139. The government's department
[01:19:00.280 --> 01:19:05.480]  of homeland security is buying up loads of ammo at the same time the restricting civilians rights
[01:19:05.480 --> 01:19:11.160]  to own and purchase firearms can you put two and two together infidel body armor can stop every
[01:19:11.160 --> 01:19:16.920]  round including hollow points and 308 sniper rounds is reasonably priced and fully legal
[01:19:16.920 --> 01:19:24.680]  but for how long go to infidel body armor dot com spelled i-n-f-i-d-e-l body armor dot com
[01:19:24.680 --> 01:19:33.080]  infidel body armor just won't quit the average person's life is filled with unexpected challenges
[01:19:33.720 --> 01:19:39.320]  unlock the energy it takes to defeat these daily beasts with super male or super female
[01:19:39.320 --> 01:19:45.880]  vitality specifically designed to assist the body in regulating proper hormone balance to create
[01:19:45.880 --> 01:19:54.440]  superior vitality in males and females supercharge and conquer your world at infowarslife.com or call
[01:19:54.440 --> 01:19:57.480]  1-88-253-3139
[01:19:57.480 --> 01:20:23.400]  you're listening to the alex jones show
[01:20:23.400 --> 01:20:31.880]  if you are receiving this transmission you are the resistance live from the info wars dot com
[01:20:31.880 --> 01:20:43.400]  studios it's alex jones revolution in their minds the children start to march but what are they
[01:20:43.400 --> 01:20:50.280]  promoting oh revolution's about going after white people going after the cops instead of
[01:20:50.280 --> 01:20:56.760]  selling the police on the idea of freedom selling the public on the idea of freedom and justice
[01:20:58.280 --> 01:21:03.000]  and standing up against bad cops and standing up for good cops and standing up for good citizens
[01:21:03.000 --> 01:21:09.320]  and standing up against bad citizens and promoting what works and what is common sense not being
[01:21:09.320 --> 01:21:15.640]  played off against each other the white house is starting a race war we predicted months ago
[01:21:15.640 --> 01:21:21.000]  media matters attacked us we can pull the articles up i think the headline is alex jones's most
[01:21:21.000 --> 01:21:27.800]  insane deranged theory obama trying to cause a race war and cops getting killed well i mean i
[01:21:27.800 --> 01:21:33.960]  see what's going on i can see which way the wind blows that's what we're talking about
[01:21:34.680 --> 01:21:41.640]  we're gonna go to alex sam victor patrick christine andrew richard john and many many others
[01:21:41.640 --> 01:21:48.920]  let's go ahead and talk to alex in california we're talking about wild examples a political
[01:21:48.920 --> 01:21:54.600]  correctness that is really political tyranny go ahead yes sir mr. jones thank you for taking
[01:21:54.600 --> 01:22:00.360]  my call today on this sunday when i was a young man here in california about nine years ago i was
[01:22:00.360 --> 01:22:06.920]  a police cadet and i experienced many types of racism uh not only within the department i was in
[01:22:06.920 --> 01:22:14.840]  but with the people i was around growing up uh when i was a young man i actually liked rap music i
[01:22:14.840 --> 01:22:22.120]  liked a lot of the culture of african-americans and when i was a young man i got a lot of black
[01:22:22.120 --> 01:22:29.160]  for that being called i was um uh that i wanted to be black and that was never the case i never
[01:22:29.160 --> 01:22:36.200]  told you that white people are black people everybody did um and it really affected me
[01:22:36.200 --> 01:22:41.320]  as a young man and i ended up not becoming a police cadet and then what was weird is you always
[01:22:41.320 --> 01:22:47.640]  talk about the uh the recruitment and the police training and i went through riot training as a
[01:22:47.640 --> 01:22:52.920]  cadet i went through the ui checkpoint training i mean i've done all this and then i hear you're
[01:22:52.920 --> 01:22:58.120]  talking about it eight years later so it hit me today so that's why i called in well what i talk
[01:22:58.120 --> 01:23:03.400]  about is when they're training girl scouts and boy and boy scouts for future gun confiscation
[01:23:03.400 --> 01:23:10.840]  yeah they're 14 when they're doing the training it's that new york times headline uh scouts trained
[01:23:10.840 --> 01:23:17.880]  to fight terrorists and more and it was showing like 20 photos of them training to quote fight
[01:23:17.880 --> 01:23:22.840]  at this grunold vet who wouldn't turn his guns in my point was they're trying to create a hitler
[01:23:22.840 --> 01:23:29.400]  youth i wasn't criticizing the boy scouts or the girl scouts uh or the brownies i was saying don't
[01:23:29.400 --> 01:23:37.240]  let them be overtaken i appreciate your call listen i don't look at black people say jacari
[01:23:37.240 --> 01:23:42.040]  jackson is a great smart wonderful guy love hanging out with him going to dinner or whatever
[01:23:43.960 --> 01:23:49.720]  i don't look at him and think he's a black guy i think he's a smart handsome guy with a lot of
[01:23:49.720 --> 01:23:54.840]  integrity a friend of mine just like darin mcbrain i don't look at darin mcbrain a smart handsome
[01:23:54.840 --> 01:24:00.280]  you know friend of mine and think he's a white guy he's an irish guy i just think he's a guy i don't
[01:24:00.280 --> 01:24:04.840]  look at john bowne and you know think oh that's you know that's a guy with an english last name and
[01:24:04.840 --> 01:24:11.000]  you know he's a it's i don't look at paul watson i think he's a brit from the uk he's my great reporter
[01:24:12.760 --> 01:24:16.920]  so it's very very i don't look at robert jackson who's worked here the longest anybody like ten
[01:24:16.920 --> 01:24:21.640]  years he's jewish he's just a great guy i love robert he's been to thanksgiving with me
[01:24:21.640 --> 01:24:28.040]  and christmas this family lives in brooklyn it's like marlon luther king said i look at
[01:24:28.040 --> 01:24:32.840]  what you stand for what you do if i love a musician i don't care if they're black white
[01:24:32.840 --> 01:24:42.920]  hispanic asian i i care that i like what they play it touches me they want to make you actually
[01:24:42.920 --> 01:24:48.360]  only see what race somebody is so they can control you so you never get to real issues the left
[01:24:48.360 --> 01:24:52.600]  are the race payers they're disgusting they're not the left
[01:24:55.640 --> 01:24:58.920]  i've said this about 5 000 times thomas jefferson was a liberal
[01:25:01.240 --> 01:25:07.080]  the democratic party today is a criminal mafia looting the country with their accomplice the
[01:25:07.080 --> 01:25:12.840]  republican leadership and they are using weaponized media systems to dumb us down and control us
[01:25:12.840 --> 01:25:17.480]  now my question is and you can say whatever you want after that what is your examples of
[01:25:17.480 --> 01:25:24.760]  political correctness out of control or do you like it john is calling from fema region five
[01:25:24.760 --> 01:25:34.280]  what former um state are you calling from yeah i watch merry christmas sorry um when i was growing
[01:25:34.280 --> 01:25:39.880]  up in chicago we had a precinct camp that come to our house and pretty much threatened my my
[01:25:39.880 --> 01:25:48.360]  father's job if he didn't vote for daily okay and i don't know why all the corrupt politicians
[01:25:48.360 --> 01:25:55.080]  come from the south side because the south side's a pretty good place really but uh i hope these
[01:25:55.960 --> 01:26:01.480]  these black leaders and all these other people that it's not ever going to occur to them the
[01:26:01.480 --> 01:26:08.280]  ones the globalists have control they don't need them anymore oh they already don't need black
[01:26:08.280 --> 01:26:12.280]  voters they've got the illegal vote now they're done that's why black unemployment doubled they're
[01:26:12.280 --> 01:26:17.400]  done they're cutting the money off to the black folks it's it's it's and then then it's going to
[01:26:17.400 --> 01:26:22.040]  blow up just like they knew the arab spring was coming google admits they helped run it
[01:26:22.040 --> 01:26:27.720]  they knew when food prices went up 20 it would trigger riots so they were there to steer it
[01:26:27.720 --> 01:26:33.560]  and put radical islamists in i mean how sick is that so they're cutting the money off the black
[01:26:33.560 --> 01:26:40.120]  community what do you think is going to happen well the same thing you know back in the 60s
[01:26:40.120 --> 01:26:46.840]  when i was growing up before the um before 68 and that martin lucid king was marching through my
[01:26:46.840 --> 01:26:54.280]  neighborhood for his demonstrations at market park there were times that i was that he didn't go
[01:26:54.280 --> 01:27:00.440]  through in my neighborhood an hour later i saw i see george minkin wrap all in america not the party
[01:27:00.440 --> 01:27:08.200]  and his group marked into their neighborhood to protest the same day i mean it's insane i
[01:27:10.440 --> 01:27:14.200]  it's all coordinated balkanization god bless you i appreciate your call
[01:27:15.640 --> 01:27:21.080]  it really is coordinated balkanization it's just that simple let's get one more before
[01:27:21.080 --> 01:27:27.640]  we got a break richard in rhode island richard you're on the air yeah hi alex uh i wanted to
[01:27:27.640 --> 01:27:33.000]  say uh first we're conspiracy realists not conspiracy theorists sure we're not chumps that
[01:27:33.000 --> 01:27:38.760]  believe known liars we figured out how the basic world works and we don't believe known liars but
[01:27:38.760 --> 01:27:45.640]  but onto this uh this deputy from spokane i believe we committed political correctness against him in
[01:27:45.640 --> 01:27:53.960]  reverse uh we heard him say about uh constitutionalists like guns and ammo and then he said i don't
[01:27:53.960 --> 01:28:01.560]  believe i believe 99.9 of them are all right well it appears the splc has deceived this man and
[01:28:01.560 --> 01:28:06.520]  they're thinking they're going to go against the kkk and the arian brotherhood who are not
[01:28:06.520 --> 01:28:11.560]  constitutionalist they're terrorists so well yeah i mean the kkk and the arian brotherhood are on
[01:28:11.560 --> 01:28:17.800]  record fed justice department run to be tied to the liberty movement uh and are protected and are
[01:28:17.800 --> 01:28:26.120]  national socialist so what all i'm saying is that i i think we shouldn't jump on this guy i i i don't
[01:28:26.120 --> 01:28:31.960]  certainly don't like his boss that's for sure but uh i think this guy looked like an approachable
[01:28:31.960 --> 01:28:37.480]  police officer he didn't look like the front bully that that jumped on hold on i'm not going to cut
[01:28:37.480 --> 01:28:42.360]  you off i want you to finish your point i hear you he just said we got a lot of gun owners got
[01:28:42.360 --> 01:28:46.840]  a lot of ammo constitutionalists we're gonna be taking enemy fire and so we know that training's
[01:28:46.840 --> 01:28:52.920]  going on so we're just using this as a focal point it's bigger than him but he might be a great guy
[01:28:52.920 --> 01:28:57.480]  i hear you i'm gonna come back let you finish up i'm alex shown stay with us news break coming up
[01:28:59.640 --> 01:29:06.760]  info wars life dot com check it out today i have set out to bring you the most hardcore cutting
[01:29:06.760 --> 01:29:11.480]  edge supplements and nutraceuticals bar none and that's what you'll find in info wars life
[01:29:11.480 --> 01:29:17.560]  dot com we have rejected literally hundreds of products from the info wars lifeline because
[01:29:17.560 --> 01:29:23.160]  they are not of the very highest quality or because they're not 100 organic or because they don't
[01:29:23.160 --> 01:29:28.920]  ask all of the strictest toxicology tests there are that we have listed at info wars life dot com
[01:29:28.920 --> 01:29:35.640]  whether it's survival shield nascent iodine or dna force super male vitality super female vitality
[01:29:35.640 --> 01:29:43.080]  lung cleanse fluoride shield oxy powder i believe that all of these products will blow you away
[01:29:43.080 --> 01:29:47.880]  like they've done the thousands of other customers that have visited info wars life dot com and
[01:29:47.880 --> 01:29:54.120]  believed in us and tried the products folks check out info wars life dot com today and the entire line
[01:29:54.120 --> 01:30:01.640]  of groundbreaking cutting edge hardcore products the government's department of homeland security
[01:30:01.640 --> 01:30:06.680]  is buying up loads of ammo at the same time the restricting civilians rights to own and purchase
[01:30:06.680 --> 01:30:12.680]  firearms can you put two and two together infidel body armor can stop every round including hollow
[01:30:12.680 --> 01:30:19.160]  points and 308 sniper rounds is reasonably priced and fully legal but for how long go to infidel
[01:30:19.160 --> 01:30:27.880]  body armor dot com spelled i n f i d e l body armor dot com infidel body armor just won't quit
[01:30:27.880 --> 01:30:35.240]  it the average person's life is filled with unexpected challenges unlock the energy it
[01:30:35.240 --> 01:30:41.160]  takes to defeat these daily beasts with super male or super female vitality specifically
[01:30:41.160 --> 01:30:47.880]  designed to assist the body in regulating proper hormone balance to create superior vitality in
