[00:00.000 --> 00:10.000]  It's Sunday, January 22nd, 2023.
[01:04:36.000 --> 01:04:41.000]  And as a result, Permanent Washington remains in charge of our political system.
[01:04:41.000 --> 01:04:49.000]  Unelected lifers in the federal agencies make the biggest decisions in American government and crush anyone who tries to rein them in.
[01:04:49.000 --> 01:04:53.000]  Permanent? Permanent dictatorship.
[01:04:53.000 --> 01:04:56.000]  We'll be right back, ladies and gentlemen, with so much more.
[01:04:56.000 --> 01:05:02.000]  In hour number two, stay with us.
[01:05:27.000 --> 01:05:35.000]  I also need you to wear masks and I also need you to only shop at mega corporations.
[01:05:35.000 --> 01:05:44.000]  That way we can consolidate control and bankrupt the world economy, leaving companies that only I own.
[01:05:44.000 --> 01:05:48.000]  Proud of us, you will then be my slaves.
[01:05:48.000 --> 01:05:59.000]  And then you'll get that special shot of freedom from Cobra, it will remove your immune system, so you'll be dependent on me for the rest of your miserable lives.
[01:06:18.000 --> 01:06:26.000]  I'm proud of about four and a half, 5,000 people, just a few hundred yards away where the British Prime Minister was meeting with the real leaders of the world.
[01:06:26.000 --> 01:06:34.000]  And I looked at those mainly English people, those British people, and I said to them, this is very important, please listen to me.
[01:06:34.000 --> 01:06:37.000]  I said, you know where 1776 came from?
[01:06:37.000 --> 01:06:45.000]  Do you know why America and the 13 colonies was able to be born out of the 13 colonies?
[01:06:45.000 --> 01:07:00.000]  It was because early in the beginning of the war, for at least a year, the British Parliament voted against the war, because they'd already had a similar revolution there that George Washington's grandfather and others had been involved in,
[01:07:00.000 --> 01:07:07.000]  that had spilled over to the colonies of that we the people had a right to be free.
[01:07:07.000 --> 01:07:22.000]  And so America was founded by predominantly Englishmen and also Germans and Dutch and Irish and the rest of it who wanted freedom.
[01:07:22.000 --> 01:07:29.000]  Doesn't mean they moved the ball way down the field, but they certainly began to move it down the field to where we are today.
[01:07:29.000 --> 01:07:39.000]  And I got that crowd of almost 5,000 people, the local police estimated, to chant the answer in 1984, 1776.
[01:07:39.000 --> 01:07:47.000]  It was not an anti-English slogan, it was an anti-King George III of the Saxe-Coburg-Gotha who wasn't even English slogan.
[01:07:47.000 --> 01:07:51.000]  So they understood that and they knew that, and that's why this is so important.
[01:07:51.000 --> 01:07:57.000]  Listen to me carefully while I'm explaining this little historical piece.
[01:07:57.000 --> 01:08:03.000]  The main reason, and George Washington wrote about this in letters and speeches he gave before he died,
[01:08:03.000 --> 01:08:12.000]  that the colonies and the new country America, the United States of America and those 13 stars, were able to succeed,
[01:08:12.000 --> 01:08:19.000]  he said was the courage and the will of the soldiers and that minority of Americans, less than 4% at the start, that supported the rebellion.
[01:08:19.000 --> 01:08:27.000]  And that they had the cause of right on their side and that God oversees battles and revolutions and those are his famous speeches.
[01:08:27.000 --> 01:08:38.000]  But he said if it wasn't for three groups he listed the French that were supporting a war against their enemies,
[01:08:38.000 --> 01:08:42.000]  they were in a current war with the British, and then he said,
[01:08:42.000 --> 01:08:50.000]  English soldiers that knew our fight was right and gave us intel and joined us, either openly or covertly,
[01:08:50.000 --> 01:08:57.000]  and German, Prussian, Hessian trained from birth soldiers.
[01:08:57.000 --> 01:09:03.000]  And so it was George Washington in letters to different commanders and others and the British were able to infiltrate his command
[01:09:03.000 --> 01:09:07.000]  and get Benedict Arnold to turn against him in the last few months of the war as well.
[01:09:07.000 --> 01:09:12.000]  This was going both ways. There was an ideological communication between both sides of,
[01:09:12.000 --> 01:09:15.000]  why don't you join us, we really are the good people.
[01:09:15.000 --> 01:09:24.000]  That's what George Washington was saying to the British soldiers and to the German soldiers.
[01:09:24.000 --> 01:09:31.000]  And the British were coming back and saying, we'll give you a thousand pounds, ten thousand pounds,
[01:09:31.000 --> 01:09:38.000]  equivalent of millions of dollars, join us, you can move back to London to Benedict Arnold, he took the money.
[01:09:38.000 --> 01:09:44.000]  So the British offered money, the British government, the globalist government, the empire of the time,
[01:09:44.000 --> 01:09:50.000]  but George Washington offered honor and he said, this is wrong, you fought for this in England,
[01:09:50.000 --> 01:09:53.000]  join us, report what's happening, help us win.
[01:09:53.000 --> 01:10:00.000]  And it was British soldiers and officers that gave us the intel to win after five years of us losing.
[01:10:00.000 --> 01:10:08.000]  They believed in our cause. They saw the atrocities committed against the colonies, against the fledgling Americans.
[01:10:08.000 --> 01:10:12.000]  That's what George Washington executed a lot of troops.
[01:10:12.000 --> 01:10:16.000]  If you raped somebody, you were dead. If you pillaged, you were dead.
[01:10:16.000 --> 01:10:22.000]  He told them every day when they had a chance, it wasn't every day, but every time they had a chance to have formations,
[01:10:22.000 --> 01:10:27.000]  he told them, you do one thing unbecoming, I'm going to hang your ass.
[01:10:27.000 --> 01:10:33.000]  I don't care if the British are burning down churches and raping women, I don't care what they're doing, we don't do that.
[01:10:33.000 --> 01:10:36.000]  That's not who we are, God's watching.
[01:10:36.000 --> 01:10:43.000]  We have the moral superiority and that got the British officers and others to give us the intel to win
[01:10:43.000 --> 01:10:47.000]  and it was even worse with the Hessians, the defection.
[01:10:47.000 --> 01:10:53.000]  Some estimates are half the Hessians trained from birth be war soldiers, way more vicious than the British,
[01:10:53.000 --> 01:10:59.000]  seen as the pit bulls, the attack dogs. They came here and saw this freedom and saw these Germans that were there
[01:10:59.000 --> 01:11:06.000]  with these farms and ranches and the women and other families and they said, I want to be, why are we attacking you?
[01:11:06.000 --> 01:11:10.000]  And they defected.
[01:11:10.000 --> 01:11:16.000]  So I'm going to say to the bureaucrats and the government and the media people and the intelligence agencies
[01:11:16.000 --> 01:11:20.000]  and the FBI and the Justice Department and the academics and all of you,
[01:11:20.000 --> 01:11:27.000]  you signed on to pure destruction and having our power cut off and our borders collapsed in total hell.
[01:11:27.000 --> 01:11:35.000]  I know George Washington had a little bit harder sell to those leaders and those soldiers, my sale is so easy.
[01:11:35.000 --> 01:11:39.000]  You should go against this pure evil. This isn't even a choice.
[01:11:39.000 --> 01:11:43.000]  It's a death cult. It's a circular firing squad.
[01:11:43.000 --> 01:11:52.000]  It's a purposeful sell out to pure destruction to not join us.
[01:11:52.000 --> 01:11:59.000]  This isn't just the second American Revolution we're involved in. This is 1776 worldwide and it belongs to people in Mexico
[01:11:59.000 --> 01:12:04.000]  and people in Africa in Nigeria and South Africa and the Congo.
[01:12:04.000 --> 01:12:09.000]  It belongs to people in Brazil. It belongs to people in Japan and Russia and Germany and France and the Netherlands
[01:12:09.000 --> 01:12:14.000]  and everywhere else of being free. We will win, guys.
[01:12:14.000 --> 01:12:20.000]  Some of us on the front lines aren't going to make it, but that's okay. God's watching. It's eternal.
[01:12:20.000 --> 01:12:24.000]  I'll wake up next level just like that. God's already rewarded me so much.
[01:12:24.000 --> 01:12:30.000]  It's a personal relationship and I'm going to get into it, but I'm at a whole other level and it's just such a blessing
[01:12:30.000 --> 01:12:36.000]  and all God gets all the glory and everything else, but I just want all of you to still have a feeling of liberty in your heart
[01:12:36.000 --> 01:12:40.000]  and still are even listening to me because if you work for the system as an analyst watching us right now
[01:12:40.000 --> 01:12:45.000]  and deep inside you feel excited. You feel a tickle in your spine. You get tears in your eyes.
[01:12:45.000 --> 01:12:50.000]  You want to join us. It's a spiritual decision. You don't have to send us intel on the end.
[01:12:50.000 --> 01:12:54.000]  I mean, you don't have to do any of that. You just got to say to God, I repent. I'm sorry.
[01:12:54.000 --> 01:13:00.000]  I paid for abortions, folks. I've killed my children. I've done stuff far worse than most of the evil operatives watching have done.
[01:13:00.000 --> 01:13:07.000]  I don't tell those stories. The left always goes, why does he admit that it was anti-abortion? That's the whole point is I know it's wrong.
[01:13:07.000 --> 01:13:16.000]  It's the same thing to you. I've done more bad things to people than most of the bad people tuning in have done.
[01:13:16.000 --> 01:13:21.000]  I didn't just kill my children and I never started a fight, but I did enjoy it when I was younger.
[01:13:21.000 --> 01:13:27.000]  And if you did hit me, I would beat you to death. I'd beat you till you were in a coma and I repent of that now.
[01:13:27.000 --> 01:13:31.000]  I don't do that dark side stuff. As I get older, I pull further and further away from it.
[01:13:31.000 --> 01:13:37.000]  It's a good thing, but I'm here telling you I've been evil. I've been influenced by evil.
[01:13:37.000 --> 01:13:44.000]  I have been an unwilling minion of Satan, but I have been reprieved of that.
[01:13:44.000 --> 01:13:51.000]  And I'm here just simply telling you your ancestors and all the good people in your lineage and all of us and the current people alive
[01:13:51.000 --> 01:13:59.000]  and the generations are waiting for you with our arms out and our hands out just saying, join us like the British officers and soldiers.
[01:13:59.000 --> 01:14:06.000]  Join us like the Hessian soldiers. Join us. Just come. Join us. Come on.
[01:14:06.000 --> 01:14:11.000]  You know the new world order is evil. You know it's bad. You know it's pedophilic. You know it's destructive.
[01:14:11.000 --> 01:14:18.000]  You know it's a dead end. So don't pretend like that's not the case and just repent.
[01:14:18.000 --> 01:14:24.000]  Just say, I'm sorry. I don't want to be part of this and God will leave God and direct you with the Holy Spirit.
[01:14:24.000 --> 01:14:27.000]  You don't need me to do it. You don't need to have all the answers.
[01:14:27.000 --> 01:14:35.000]  You've just got to say, yes, I don't want a back of vaccine that isn't a vaccine that causes math, death and destruction as the wheels come off.
[01:14:35.000 --> 01:14:41.000]  Because the devil's plan is to get people to do evil stuff and then deny they've done it and double down.
[01:14:41.000 --> 01:14:47.000]  This was a corruption. This was to get the medical system and the lawyers and the government and the media and all of it on board with this
[01:14:47.000 --> 01:14:52.000]  so that imagine the next evil you're going to have to support and go along with.
[01:14:52.000 --> 01:15:00.000]  There isn't much time though. If you don't take on the Holy Spirit, if you don't say, God, help me. I'm weak. I love you.
[01:15:00.000 --> 01:15:06.000]  I want to be good. Show me you're real. If you don't literally, tonight, turn the lights off in your room or do it with the lights on.
[01:15:06.000 --> 01:15:11.000]  Just by yourself. Just say, God, I love you. I'm reaching out to you. Show me you're real. You won't believe the dreams you'll have.
[01:15:11.000 --> 01:15:16.000]  You won't believe the experiences you have. You won't believe what you might even manifestly see if you're that blessed.
[01:15:16.000 --> 01:15:19.000]  You've got to reach out, though, because God's a free will God.
[01:15:19.000 --> 01:15:23.000]  And I'm telling you, your heart's going to be hardened very soon. You'll be given over to total delusion.
[01:15:23.000 --> 01:15:29.000]  Like so many people, these zombies of evil you see everywhere, those of you that can still hear my voice and I can still get to you.
[01:15:29.000 --> 01:15:34.000]  You've still got receptors in your soul that I can reach to.
[01:15:34.000 --> 01:15:41.000]  This is only you can let yourself out of this trap. Only you can get out of this cage. Only God can unlock it.
[01:15:41.000 --> 01:15:48.000]  You have to say, God, unlock it. Let me out. Be like the British officers. Be like the Hessian officers. Join us.
[01:15:48.000 --> 01:15:56.000]  Be part of the future. Be pro-human. We're here waiting for you. My hand is out to you. Take my hand. Take my hand.
[01:15:56.000 --> 01:16:12.000]  We'll be right back.
[01:16:26.000 --> 01:16:31.000]  Now, the greatest victories in the fight against the new order you've ever had.
[01:16:31.000 --> 01:16:40.000]  We are now entering the final mile of the marathon. And that's why today it's more important than ever to realize how important you've been in this fight
[01:16:40.000 --> 01:16:44.000]  and to continue in the efforts you've been carrying out and to intensify them.
[01:16:44.000 --> 01:16:54.000]  God bless you all. I salute you. I thank you. And I beg you to intensify what you're doing now, because we are over the target and history is happening.
[01:16:54.000 --> 01:16:58.000]  The fight is my fight. It's your fight. It's our fight. God bless you all.
[01:17:24.000 --> 01:17:36.000]  And by the time they launched their attack in 2020, Alex Jones's Info Wars and our audience were there to warn the people of the deadly vaccines that we knew were coming.
[01:17:36.000 --> 01:17:44.000]  This is why they attack us. This is why we need your support. Because we tell the truth, Alex Jones was right.
[01:17:44.000 --> 01:17:55.000]  Join the resistance. Buy products. Donate to the cause. Share the links. Join us in the fight for freedom and help us defeat the new world order.
[01:18:15.000 --> 01:18:32.000]  Now that was a three coin series, the founding member coin. The final coin that we're putting out for a long time is the Teddy Roosevelt Man in the Arena coin, exclusively available at 1776coin.com.
[01:18:32.000 --> 01:18:39.000]  There are only a few thousand of the coins left. And yes, there's a markup on the coins because that's why it's a fundraiser.
[01:18:39.000 --> 01:18:47.000]  The coin is a collector's item momento of your support during the Second American Revolution. So if you want to get one of these coins, they're going fast.
[01:18:47.000 --> 01:18:58.000]  And you can get $30 off on the coin with promo code 1776 at 1776coin.com. Thanks for keeping us on the air.
[01:18:58.000 --> 01:19:10.000]  What are the fantastic stuff?
[01:19:29.000 --> 01:19:38.000]  InfoWarsStore.com. X7 Diet Force.
[01:19:38.000 --> 01:19:43.000]  We're cutting that call into an ad. I can guarantee you that. Thank you so much for the call.
[01:19:43.000 --> 01:19:59.000]  God bless Australia. We'll be right back, folks. Don't go anywhere. InfoWarsStore.com. Diet Force. Get it now.
[01:20:13.000 --> 01:20:37.000]  We're very late in the game. There's not much time. I want to finish up what I said. I was going to get into it and then go to the rest of the news.
[01:20:37.000 --> 01:20:48.000]  What I'm quantifying here is you've been serving the New World Order many of you. I know the general audience has them, but I'm talking to those lost sheep out there that have tuned in.
[01:20:48.000 --> 01:20:58.000]  And there's a real chance for you to make the right decision to spiritually break with the globalists and say, I don't like what's happening. I think it's wrong.
[01:20:58.000 --> 01:21:09.000]  And I'm going to start thinking and praying and researching what I should do. I'm not telling you what to do. I'm not George Washington asking you to give me troop movements or do this or that.
[01:21:09.000 --> 01:21:16.000]  I'm just saying, do what Elon Musk has done and said, OK, it really made me sick six months ago and almost killed my family member. It's really bad.
[01:21:16.000 --> 01:21:24.000]  Oh, my God, these people are horrible. Whether he's really a good person or not, he knows we're winning. I don't get up here and tell you we're winning for no reason.
[01:21:24.000 --> 01:21:34.000]  I told you 10 years ago we were losing. I told you 25 years ago we were losing. People said, man, this guy is depressing people. No, I don't lie to people.
[01:21:34.000 --> 01:21:45.000]  I make mistakes, but not often when it comes to the big themes. And so when things are down, I want you to know you're down because when you're down is when you can really fire up.
[01:21:45.000 --> 01:21:51.000]  And we're still down, but we are beginning to climb out of this thing and we're moving faster and faster and faster.
[01:21:51.000 --> 01:21:59.000]  And I'm just saying, why would anybody want to serve something that destroys your own future? Even if you're a sociopath, this thing is not going to help you. This thing is going to destroy you.
[01:21:59.000 --> 01:22:11.000]  And so we're seeing record defections to our side everywhere. We're really turning the tide here. The enemy is going to launch bigger wars.
[01:22:11.000 --> 01:22:24.000]  They're committing leopard two tanks, 2,000 amount of Germany. They've almost agreed. And more is going to go. And so that's all going on.
[01:22:24.000 --> 01:22:32.000]  And they're getting ready. The FTC, a month ago, admitted again on Friday, said, yes, we are going to do bail ins. We just don't know the time.
[01:22:32.000 --> 01:22:36.000]  That means take money out of your bank account. I mean, a lot of it. They're already beta testing it.
[01:22:36.000 --> 01:22:43.000]  So things are going to get rough, folks. All I can tell you is going along with this is going to make things a lot worse.
[01:22:43.000 --> 01:22:50.000]  And my job is to tell you what's going on and lay it out and believe in you because the globalists don't believe in you.
[01:22:50.000 --> 01:22:55.000]  I do believe in you. God believes in you. And I believe in myself and I believe in good people.
[01:22:55.000 --> 01:23:02.000]  And I'll be damned. I'll speak quite frankly with you if I'm going to ever not bet on you.
[01:23:02.000 --> 01:23:09.000]  The New World Order betting against you, the people that serve evil, bet against themselves because we were made by God.
[01:23:09.000 --> 01:23:16.000]  And I'm not going to bet against my maker. I'm not going to bet against my grandparents or their parents or their parents.
[01:23:16.000 --> 01:23:23.000]  I come from good, hardworking, strong people and I'm not about to turn my back on who they were either.
[01:23:23.000 --> 01:23:27.000]  And I'm pissed off at myself that I haven't been stronger in the mistakes I've made.
[01:23:27.000 --> 01:23:33.000]  But I'm telling you, folks, I've swung for the fences every time. Every damn time.
[01:23:33.000 --> 01:23:37.000]  But as flawed and as failed as I am, we've had incredible victory together.
[01:23:37.000 --> 01:23:43.000]  And I tell you that because I know how good people are and they don't want to make a mistake and you're humble
[01:23:43.000 --> 01:23:48.000]  and you don't want to go to the city council and you don't want to go to the commissioner court or the school board to speak out
[01:23:48.000 --> 01:23:51.000]  because it's like you're being uppity and you're being arrogant. You're being a loudmouth.
[01:23:51.000 --> 01:23:57.000]  No, you're not. You're doing your job when we're under attack.
[01:23:57.000 --> 01:24:04.000]  And the children are counting on you. And I can tell you, I remember 26 years ago, 27 years ago,
[01:24:04.000 --> 01:24:08.000]  I've been on the air a couple of years and I'd been done a marathon video editing of a film.
[01:24:08.000 --> 01:24:12.000]  I just put it out. I've just done three hours of broadcasting and I was about to drive home.
[01:24:12.000 --> 01:24:15.000]  I wasn't even married yet. I hadn't even had children yet.
[01:24:15.000 --> 01:24:24.000]  And I pulled into a place, a waterloo ice house. I got a chicken fried steak and a beer and I'm sitting there in that restaurant.
[01:24:24.000 --> 01:24:32.000]  But I'm like 23 years old and the whole future opened up.
[01:24:32.000 --> 01:24:36.000]  And it was this feeling, not a fear, but of awesomeness.
[01:24:36.000 --> 01:24:41.000]  And that kind of gave me a little like, not what you call fear, more like, whoa.
[01:24:41.000 --> 01:24:50.000]  And the Holy Spirit was so strong and it was, you're going to create the new generation of resistors.
[01:24:50.000 --> 01:24:55.000]  And you're going to be destroyed in the end. You have to be ready for this.
[01:24:55.000 --> 01:24:59.000]  I've told you this story for over 15 years and you're going to change the whole world.
[01:24:59.000 --> 01:25:04.000]  But you've got to be fully committed to this and you see what it's going to look like.
[01:25:04.000 --> 01:25:10.000]  But before they destroy you, you're going to get to see all the people you've encouraged
[01:25:10.000 --> 01:25:16.000]  and all the people you've spurred to wake up and they're going to be people even more effective than you
[01:25:16.000 --> 01:25:19.000]  that are going to help us smash this. Do you understand that?
[01:25:19.000 --> 01:25:24.000]  Do you take this mission right now and let me just give you an imprint of the knowledge?
[01:25:24.000 --> 01:25:29.000]  Do you want this information? Yes, I want the information. Bam! You got the information now.
[01:25:29.000 --> 01:25:34.000]  And it was just, boom, my intellect the next week, my dreams, everything.
[01:25:34.000 --> 01:25:38.000]  I was just downloading stuff I can't even describe at that point.
[01:25:38.000 --> 01:25:41.000]  They had three other downloads like that. I got one about six months ago.
[01:25:41.000 --> 01:25:46.000]  And it is some of this stuff I can't even understand. It is like literally I'm being beamed directly.
[01:25:46.000 --> 01:25:51.000]  The resistance, how to do it, all the operations, how what the enemy is going to do, how to stop them.
[01:25:51.000 --> 01:25:57.000]  God is so real, ladies and gentlemen. This is not coming from me. This is literally interdimensional.
[01:25:57.000 --> 01:26:01.000]  Why would you not want to dial into that? Our enemies are dialed into their satanic force.
[01:26:01.000 --> 01:26:04.000]  They look like zombies. They're demons. They're unhappy. They're unhealthy.
[01:26:04.000 --> 01:26:09.000]  They're being destroyed, but they are jacked in and don't know how to unplug themselves.
[01:26:09.000 --> 01:26:13.000]  Like if you were sitting there with your hand in the sink, brushing your teeth,
[01:26:13.000 --> 01:26:18.000]  and you forgot to turn the hair dryer off, and it falls into the sink, you're like...
[01:26:18.000 --> 01:26:23.000]  You know, one time when I was about ten years old, I got out of the shower, didn't dry my feet off.
[01:26:23.000 --> 01:26:29.000]  My mom said, breakfast is ready, you're late. I kind of threw on my clothes, but didn't put my shoes on
[01:26:29.000 --> 01:26:35.000]  and ran down with wet feet, and the toast popped out, and I put my hand on the toaster,
[01:26:35.000 --> 01:26:40.000]  and it went... And I remember my dad telling me, if you ever touch an appliance,
[01:26:40.000 --> 01:26:44.000]  and you're locked in by... If you have a heart attack, just kick your feet and fall back.
[01:26:44.000 --> 01:26:50.000]  And I fell back. I'm sure most of you have that experience of beginning to be electrocuted.
[01:26:50.000 --> 01:26:55.000]  And it's the same thing, ladies and gentlemen. You're being electrocuted by the New World Order.
[01:26:55.000 --> 01:27:00.000]  You're being killed by it, and all you got to do is just push away and fall back.
[01:27:00.000 --> 01:27:05.000]  You got to get off the electricity, get off the satanic force, and just push it off,
[01:27:05.000 --> 01:27:12.000]  and get off that son of a bitch. Or it's going to fry your ass forever.
[01:27:12.000 --> 01:27:16.000]  And people jacked into it, go, man, this is kind of cool.
[01:27:16.000 --> 01:27:20.000]  You're being fried by evil, and people are like, oh man, I'm on a power trip.
[01:27:20.000 --> 01:27:25.000]  This is really crazy. I feel like I'm on fire. I'm demon influenced.
[01:27:25.000 --> 01:27:30.000]  I'm dialed into this evil. This feels really crazy. I must be getting some power.
[01:27:30.000 --> 01:27:41.000]  No, you're being spiritually electrocuted. You're being spiritually fried.
[01:27:41.000 --> 01:27:47.000]  Push off. And you know how you push off? You say, Jesus, help me.
[01:27:47.000 --> 01:27:52.000]  God help me, please. Just take this out of my life. And that's the first step.
[01:27:52.000 --> 01:27:56.000]  I said I'd cover news, and I will. But these are the times that travel in souls.
[01:27:56.000 --> 01:28:04.000]  This is a spiritual fight. And everybody needs to understand that 110%, that's what this is,
[01:28:04.000 --> 01:28:09.000]  and you can't beat it without God. That's why they want to tell you God doesn't exist.
[01:28:09.000 --> 01:28:13.000]  They're throwing you overboard without a lifeboat, without a life raft.
[01:28:13.000 --> 01:28:18.000]  God is that life raft, and they're on a sinking ship. They want you to go down with them
[01:28:18.000 --> 01:28:23.000]  thinking there's no other way, but there is. Just decide you don't like the New World Order.
[01:28:23.000 --> 01:28:27.000]  Just decide you don't like being poor. Just decide you don't want to be a slave.
[01:28:27.000 --> 01:28:31.000]  Just decide you want to control your own body. Just decide you want to protect children.
[01:28:31.000 --> 01:28:37.000]  Just decide you want peace and security. Just decide that, and you will get it.
[01:28:37.000 --> 01:28:47.000]  You got free will. You got to say, I want that. And tell me, God, what I got to do to get that for everybody.
[01:28:47.000 --> 01:28:51.000]  Alright, I'm going to shut up about this, but that's just defect to God.
[01:28:51.000 --> 01:28:55.000]  Leave the New World Order. Leave Satan. Break with it. That's all my message to you.
[01:28:55.000 --> 01:29:07.000]  We'll be right back.
[01:29:26.000 --> 01:29:31.000]  We're having now the greatest victories in the fight against the New World Order you've ever had.
[01:29:31.000 --> 01:29:38.000]  We are now entering the final mile of the marathon, and that's why today it's more important than ever
[01:29:38.000 --> 01:29:43.000]  to realize how important you've been in this fight and to continue in the efforts you've been carrying out
[01:29:43.000 --> 01:29:51.000]  and to intensify them. God bless you all. I salute you. I thank you, and I beg you to intensify what you're doing now
[01:29:51.000 --> 01:29:57.000]  because we are over the target, and history is happening. The fight is my fight. It's your fight. It's our fight.
[01:29:57.000 --> 01:30:00.000]  God bless you all.
[01:30:00.000 --> 01:30:04.000]  Ladies and gentlemen, a very exciting development has just taken place.
[01:30:04.000 --> 01:30:13.000]  I want to encourage you all to go to m4warstore.com and check it out for yourself because it is a very strong, high quality formula.
[01:30:13.000 --> 01:30:18.000]  Gallon Out Sleep Support Liquid is very fast acting, taking out of the tongue.
[01:30:18.000 --> 01:30:26.000]  It's got a very good dose of melatonin, passionflower, valerian root extract, lemon balm, and German chamomile.
[01:30:26.000 --> 01:30:32.000]  All of these compounds are documented on record to help give you deeper, cleaner, healthier sleep,
[01:30:32.000 --> 01:30:37.000]  and that is one of the biggest game changers out there with all the stress we have in this world.
[01:30:37.000 --> 01:30:41.000]  And we've got some other great sleep eggs as well, and they're excellent. They're all different formulas.
[01:30:41.000 --> 01:30:45.000]  But this one is particularly the strongest one we have.
[01:30:45.000 --> 01:30:50.000]  So, Gallon Out sold out for more than five months. It's now back available at m4warstore.com.
[01:30:50.000 --> 01:30:59.000]  So get better, deeper rest, boost your immune system, and support the m4war with Gallon Out Sleep Support at m4warstore.
[01:30:59.000 --> 01:31:06.000]  Ladies and gentlemen, m4war's live products have always been the highest quality, triple tested, and you've seen the rave reviews.
[01:31:06.000 --> 01:31:11.000]  But doing deep research, we made contact with the top company in the United States,
[01:31:11.000 --> 01:31:17.000]  and it turned out they were supplying almost all the raw materials to the companies that we were already using.
[01:31:17.000 --> 01:31:24.000]  So we've gone directly to the source, and that means we can give you lower prices on the very same high quality supplements,
[01:31:24.000 --> 01:31:26.000]  and in some cases even better.
[01:31:26.000 --> 01:31:32.000]  Introducing m4war's MD at m4warstore.com.
[01:31:32.000 --> 01:31:37.000]  m4war's MD exclusively at m4warstore.com has 10 new products.
[01:31:37.000 --> 01:31:44.000]  Tumeric 95, libido RX, better mood, nitric boost, much room max, and atropic,
[01:31:44.000 --> 01:31:49.000]  Angel's Vitality Collagen, superfood greens, and more. Just taking superfood greens.
[01:31:49.000 --> 01:31:57.000]  This is the highest quality greens out there, and it's at a price way, way lower than the same product on store shelves for twice the cost.
[01:31:57.000 --> 01:31:59.000]  Find m4war's MD at m4warstore.
[01:31:59.000 --> 01:32:05.000]  Look, it's not hype when you've delivered, and m4war's has been the tip of spear against tyranny.
[01:32:05.000 --> 01:32:10.000]  And when it comes to the products we sell to fund our operation, they're just like our news and information.
[01:32:10.000 --> 01:32:13.000]  They are powerful, and they change the world.
[01:32:13.000 --> 01:32:19.000]  The real Red Pill Plus is one of our top sellers, but for over two years it's been sold out because of supply chain breakdowns.
[01:32:19.000 --> 01:32:24.000]  It's finally back at stock for 50% off at m4warstore.com.
[01:32:24.000 --> 01:32:29.000]  Now in the limited time we have, I can't get into all the ingredients that are in it, but this sucker is amazing.
[01:32:29.000 --> 01:32:34.000]  Look for yourself at how loaded each bottle is, ladies and gentlemen.
[01:32:34.000 --> 01:32:39.000]  Every one of these will supercharge your day and everything you do.
[01:32:39.000 --> 01:32:42.000]  Just look at the preglenone that we've got that's in this product.
[01:32:42.000 --> 01:32:52.000]  Get your real Red Pill Plus, a proprietary product nobody else has, exclusively back at stock for 50% off at infowarstore.com.
[01:32:52.000 --> 01:32:55.000]  This is as close as the Matrix Red Pill as you're going to get.
[01:32:55.000 --> 01:33:10.000]  Red Pill Plus, 50% off at infowarstore.com.
[01:33:26.000 --> 01:33:29.000]  Let's plow through all this news I've got now.
[01:33:29.000 --> 01:33:32.000]  I'm going to go into the next hour as well.
[01:33:32.000 --> 01:33:37.000]  So why do you think Elon Musk is coming out and saying that the shot's deadly poison?
[01:33:37.000 --> 01:33:41.000]  Does he know which way the wind's blowing, or is he really saying and hurting?
[01:33:41.000 --> 01:33:43.000]  It doesn't matter.
[01:33:43.000 --> 01:33:46.000]  The truth's coming out, and it's all over the place.
[01:33:46.000 --> 01:33:50.000]  That's my message is there's not much time to choose.
[01:33:50.000 --> 01:33:58.000]  Mark Twain said it, and I love the quote, in the beginning a patriot is a scarce man, hated, feared, and scorned.
[01:33:58.000 --> 01:34:08.000]  But in time, when his cause succeeds, the timid join him because then it costs nothing to be a patriot.
[01:34:08.000 --> 01:34:14.000]  You want freedom, you want empowerment, you want a destiny, you want to be fulfilled, join the good side.
[01:34:14.000 --> 01:34:21.000]  And if it didn't clear, we're the good side, then you have no discernment, you're already too far gone.
[01:34:21.000 --> 01:34:24.000]  Doesn't mean we're perfect, but we want to be good.
[01:34:24.000 --> 01:34:26.000]  We want to be aligned with God.
[01:34:26.000 --> 01:34:27.000]  I want to be honest.
[01:34:27.000 --> 01:34:29.000]  I want to tell the truth.
[01:34:29.000 --> 01:34:31.000]  I want to know the truth.
[01:34:31.000 --> 01:34:36.000]  And the more you don't lie, the more you neurotically never do it.
[01:34:36.000 --> 01:34:40.000]  The more you get dulled into God because God doesn't lie.
[01:34:40.000 --> 01:34:44.000]  All right, so Elon Musk says I was dying.
[01:34:44.000 --> 01:34:46.000]  Trash is covered boosters.
[01:34:46.000 --> 01:34:48.000]  Says it almost killed his cousin with microcarditis.
[01:34:48.000 --> 01:34:49.000]  It goes on and on.
[01:34:49.000 --> 01:34:51.000]  Already covered that.
[01:34:51.000 --> 01:35:01.000]  But what does that signify to all you people that serve the system, thinking that you are going to escape and that you're on the winning side.
[01:35:01.000 --> 01:35:08.000]  And I know listeners will tell me, and I do on the street and I get it emails and text messages and calls and everywhere.
[01:35:08.000 --> 01:35:12.000]  You care so much about people that are on the devil's side.
[01:35:12.000 --> 01:35:15.000]  Why do you keep talking to them instead of us?
[01:35:15.000 --> 01:35:19.000]  Well, go read The Prodigal Son and you'll know why.
[01:35:19.000 --> 01:35:21.000]  God already loves you.
[01:35:21.000 --> 01:35:23.000]  You already know what's going on.
