[00:00.000 --> 00:25.000]  Yeah! Praise God America is Awakening! Humanity is Awakening! And Jesus Christ is King!
[1:02:44.000 --> 1:02:51.000]  Get your orders in by the 18th. You'll get them before Christmas. infowarstore.com.
[1:02:51.000 --> 1:03:09.000]  Thank you so much for your support.
[1:03:09.000 --> 1:03:18.000]  All right, welcome back to our number two. I don't want to jump the gun here because the media will misrepresent what I've said and said that I said Julian Assange has been pardoned.
[1:03:18.000 --> 1:03:28.000]  I'm not saying that. Cassandra Fairbanks is one of the few people that is able to see him whenever he's allowed to see just a few visitors every three or four months.
[1:03:28.000 --> 1:03:35.000]  She's a wonderful lady that works at Gateway Pundit. I've known her for years, had dinner with her, hung out. She's an amazing person, has a lot of courage.
[1:03:35.000 --> 1:03:43.000]  She's been harassed and had a lot of threats because of her support of Assange. She's saying the word is Trump is set to announce his pardon imminently.
[1:03:43.000 --> 1:03:48.000]  So we're going to see what happens with that. That's what's coming out of a lot of sources.
[1:03:48.000 --> 1:03:54.000]  Now, here's what happens. Trump will make a decision and then people hear about it and they all start leaking instantly.
[1:03:54.000 --> 1:04:06.000]  So he's made decisions before that have been reversed, but this is unfolding right now. Certainly it's the right thing to do.
[1:04:06.000 --> 1:04:15.000]  Of the bad things Trump's done, he got snuckered into the vaccine stuff and I know why and I know the inside baseball and I've told you.
[1:04:15.000 --> 1:04:23.000]  I didn't mean I agreed with it. And not pardoning Assange earlier on, firing General Flynn who did nothing wrong.
[1:04:23.000 --> 1:04:25.000]  They were scared of Flynn because he was a patriot.
[1:04:25.000 --> 1:04:31.000]  He was going to go out of the deep state and understood the CHICOM takeover and was advising Trump of the Chinese, which is all confirmed now.
[1:04:31.000 --> 1:04:38.000]  General Flynn is a hero and a patriot and an amazing person.
[1:04:38.000 --> 1:04:47.000]  And you notice, though, he got a pardon and the federal judge said for the first time in US history, I don't care.
[1:04:47.000 --> 1:04:53.000]  The indictment continues on. We're going to have a panel of judges look at whether we continue to try you.
[1:04:53.000 --> 1:04:57.000]  That's not the Constitution.
[1:04:57.000 --> 1:05:11.000]  It's the Constitution that the president can pardon whoever he wants and that that is a check on out of control courts and the judiciary.
[1:05:11.000 --> 1:05:16.000]  But we're going to continue to watch this as it unfolds.
[1:05:16.000 --> 1:05:23.000]  But that's why Flynn and others are still having a lot of butterflies is because this is dangerous.
[1:05:23.000 --> 1:05:29.000]  And, you know, Flynn's saying Trump's going to win 100 percent. He's really pushing the resistance and fighting the globalist.
[1:05:29.000 --> 1:05:36.000]  And he knows that he's a major target and that they want to demonize him further.
[1:05:36.000 --> 1:05:48.000]  Speculations arrived. Donald Trump will pardon Winky Leeks, founder Julian Assange, activist, currently lodged at British prison, lodged in solitary confinement.
[1:05:48.000 --> 1:05:56.000]  Now, let's look at some of the other big news here that we're going to be covering next hour when Joe Hoft joins us.
[1:05:56.000 --> 1:06:05.000]  Feds issue emergency cybersecurity warning on company linked to Dominion.
[1:06:05.000 --> 1:06:12.000]  Ex-intelligence operators say many machines intentionally and purposely flipped votes to Biden.
[1:06:12.000 --> 1:06:20.000]  In the John Bound report we just heard earlier, disqualify criminal Biden before it's too late. Very important to get that out.
[1:06:20.000 --> 1:06:26.000]  Ron Paul's made a good point. Congress, again, proves that the business of Washington is war.
[1:06:26.000 --> 1:06:34.000]  They had the Pentagon ignoring Trump, the Pentagon brass on getting troops out of the Middle East and other places.
[1:06:34.000 --> 1:06:44.000]  So we're going to do this white people are racist training, radical race theory training, which is ongoing.
[1:06:44.000 --> 1:06:49.000]  The Secretary of Defense said it continues and Trump fired him over it.
[1:06:49.000 --> 1:06:55.000]  But my good friend, who's a green beret and a patriot, I'm not going to say his name. He's been on the show before.
[1:06:55.000 --> 1:07:03.000]  He is in Utah right now and they are literally teaching him that heterosexuality is bad, that we're going to mention where red high heels put lipstick on.
[1:07:03.000 --> 1:07:08.000]  And this is just how you sabotage a country, folks. Period.
[1:07:08.000 --> 1:07:19.000]  And here it is in the news. Major transgender groups and major transgender activists say all children should be put on puberty blockers until they decide they're gender.
[1:07:19.000 --> 1:07:26.000]  And you're like, well, that's ridiculous. Well, no, that's the globalist plan. That's how you destroy people as you go after their sons.
[1:07:26.000 --> 1:07:34.000]  If you laugh at it, I laugh too. It's so absurd, but it's happening like keeping babies alive that you don't abort at nine months.
[1:07:34.000 --> 1:07:40.000]  So you go, well, we're going to keep it alive and extend it past because we're going to harvest its organs.
[1:07:40.000 --> 1:07:47.000]  But we're going to say under bioethics rules, we call it non resuscitation, not meaning resuscitating a heart or lungs that have stopped.
[1:07:47.000 --> 1:07:53.000]  But we legally say you are not a human. We wave a wand and you lose your rights at that point.
[1:07:53.000 --> 1:08:00.000]  That's where the bioethics is gone with PETA and Dr. Peter Singer and all these eugenics organizations.
[1:08:00.000 --> 1:08:03.000]  Simply amazing.
[1:08:03.000 --> 1:08:10.000]  And that ties into Michigan judge allows release of report from Dominion voting equipment forensic audit.
[1:08:10.000 --> 1:08:16.000]  Confirming that it's designed for fraud.
[1:08:16.000 --> 1:08:24.000]  The judge, the testimony, all of it, they say it's designed for fraud.
[1:08:24.000 --> 1:08:29.000]  That is coming up next hour.
[1:08:29.000 --> 1:08:32.000]  All right, let me do this.
[1:08:32.000 --> 1:08:42.000]  I got deeply into the big picture last hour, but I strewn it out over an hour because it's very complex.
[1:08:42.000 --> 1:08:51.000]  And so if you don't say things exactly right, and if you don't explain all the nuances to something, it can be turned against the truth.
[1:08:51.000 --> 1:08:53.000]  If you don't say it exactly right.
[1:08:53.000 --> 1:09:00.000]  So I'm somebody that's so truthful that it's hard to say certain things because I have trouble finding the words to explain it.
[1:09:00.000 --> 1:09:01.000]  Does that make sense?
[1:09:01.000 --> 1:09:07.000]  But more important, you get discernment and a spiritual understanding and God has perfect knowledge.
[1:09:07.000 --> 1:09:14.000]  You should pray for discernment. You should pray for sight.
[1:09:14.000 --> 1:09:17.000]  You should pray for vision.
[1:09:17.000 --> 1:09:23.000]  I want to warn you, though, the Bible says that with knowledge comes great sorrow.
[1:09:23.000 --> 1:09:33.000]  We should put the quote, there's a lot of quotes, but the beginning of knowledge is great sorrow with great knowledge comes deep sorrow.
[1:09:33.000 --> 1:09:39.000]  Because you won't have the Satanist enjoyment raping and killing children, but you will have to look into that.
[1:09:39.000 --> 1:09:40.000]  You will feel that.
[1:09:40.000 --> 1:09:44.000]  You will be in the ether.
[1:09:44.000 --> 1:09:50.000]  And everyone is already there, but God isn't going to do something to you that you don't ask for.
[1:09:50.000 --> 1:09:57.000]  And so if you ask to have pain, if you ask to feel what's happening in the psychic screen, it's there.
[1:09:57.000 --> 1:10:01.000]  God will test it out and give you a little bit at first to see if you can handle it.
[1:10:01.000 --> 1:10:03.000]  People ask, man, why have you aged so much?
[1:10:03.000 --> 1:10:06.000]  I'd be dead if I hadn't taken all these supplements and everything.
[1:10:06.000 --> 1:10:17.000]  I have prayed, and I understood this more than 20 years ago, but it's been very intense, that I have be given discernment.
[1:10:17.000 --> 1:10:21.000]  And it's rough, folks. It's bad.
[1:10:21.000 --> 1:10:24.000]  And I have to make myself look into it.
[1:10:24.000 --> 1:10:26.000]  I have to make myself look at the enemy.
[1:10:26.000 --> 1:10:31.000]  I would describe it like Lord of the Rings, and he was a big Christian, a very deep guy.
[1:10:31.000 --> 1:10:36.000]  I was in World War I, J.R.R. Tolkien, and he wrote some books about that and the allegories for it.
[1:10:36.000 --> 1:10:42.000]  And that was his allegory of Satan versus God and the way it plays out here and angels and the rest of it.
[1:10:42.000 --> 1:10:48.000]  And he explained that, you know, it's like when you put the ring on, you can see all the bad stuff, but it sees you.
[1:10:48.000 --> 1:10:57.000]  So Frodo, or later Bilbo, Bilbo and then Frodo puts the ring on, it's like, I see you.
[1:10:57.000 --> 1:11:03.000]  Because that's what happens. You put on the spiritual understanding, or God gives it to you because you pray for it,
[1:11:03.000 --> 1:11:09.000]  and then you give it to you in little doses here, learn to take this way, learn to take that way, learn to take this way.
[1:11:09.000 --> 1:11:16.000]  Then finally, it's like, okay, if I do much more of this, you can really hurt yourself. You sure you want this?
[1:11:16.000 --> 1:11:22.000]  And if God thinks you're doing it for the right reason, I'll give you the discernment.
[1:11:22.000 --> 1:11:30.000]  But all I'm telling you is that people need to understand this is not a game.
[1:11:30.000 --> 1:11:32.000]  And this is good versus evil.
[1:11:32.000 --> 1:11:42.000]  And so that's one reason that I look so old and I look so exhausted is that everything becomes so much more intense
[1:11:42.000 --> 1:11:47.000]  when you actually begin to seek truth and then don't lie to yourself and realize the truth.
[1:11:47.000 --> 1:11:52.000]  Then it just opens up more and more and you see beauty, beauty is more beautiful.
[1:11:52.000 --> 1:11:56.000]  And goodness makes more sense and there's all these good things too.
[1:11:56.000 --> 1:12:03.000]  But then you are also aware of all the evil and you're not able to turn away from it or deny it.
[1:12:03.000 --> 1:12:11.000]  So it's the opposite of reveling in a sin. You become tortured by it and you experience it.
[1:12:11.000 --> 1:12:18.000]  The aloneness, the desperation, the people calling out for God to save them.
[1:12:18.000 --> 1:12:21.000]  And then you hear their voices.
[1:12:21.000 --> 1:12:24.000]  God's letting, oh, you want to hear this?
[1:12:24.000 --> 1:12:26.000]  These children begging to be let out of dungeons.
[1:12:26.000 --> 1:12:29.000]  You want to hear what it's like people starving to death, being killed?
[1:12:29.000 --> 1:12:32.000]  Mothers dying because their kid was given a tainted vaccine?
[1:12:32.000 --> 1:12:36.000]  Here, you want to be a superhero? You want to feel evil? I'll let you.
[1:12:36.000 --> 1:12:41.000]  And then you open yourself up and then what are you going to do about it?
[1:12:41.000 --> 1:12:44.000]  And that's why evil knows to come in and you corrupt things.
[1:12:44.000 --> 1:12:47.000]  Knowing we don't want to face it, we'll just turn things over to them.
[1:12:47.000 --> 1:12:51.000]  It's like taking a dump right in the middle of the Christmas dinner.
[1:12:51.000 --> 1:12:55.000]  Our entire modern system has been built to track and trace us.
[1:12:55.000 --> 1:12:59.000]  Not because we're doing anything wrong, but so we can be socially engineered and controlled.
[1:12:59.000 --> 1:13:01.000]  And now that's out of the open.
[1:13:01.000 --> 1:13:06.000]  One way to take back a lot of your power is to put your so-called smart phone in a privacy pocket
[1:13:06.000 --> 1:13:08.000]  when you're not using it that way.
[1:13:08.000 --> 1:13:11.000]  Hackers, Illumina Gates, and the Clinton's contact tracers,
[1:13:11.000 --> 1:13:16.000]  and all these big corporations that are setting up this tracking and control grid in the name of fighting COVID.
[1:13:16.000 --> 1:13:20.000]  They admit their internal documents are truly about a castle society control system.
[1:13:20.000 --> 1:13:22.000]  Don't have that power over you.
[1:13:22.000 --> 1:13:26.000]  They protect their locations. They protect where they're going and what they're doing.
[1:13:26.000 --> 1:13:31.000]  I can tell you, I was the first person 20 years ago said cover up the cameras on your computer.
[1:13:31.000 --> 1:13:34.000]  And now, of course, Bill Gates and all of them admit they're doing that.
[1:13:34.000 --> 1:13:37.000]  Mark Zuckerberg, show get your privacy pockets.
[1:13:37.000 --> 1:13:39.000]  They make great stocking stuffers and great gifts.
[1:13:39.000 --> 1:13:42.000]  They've been sold out for months at little Faraday cages in only $19.95.
[1:13:42.000 --> 1:13:44.000]  You're back in stock at infowarstore.com.
[1:13:44.000 --> 1:13:49.000]  Give the gift of privacy and security and safety with Privacy Pockets at infowarstore.com.
[1:13:49.000 --> 1:13:58.000]  It's been said that you should strike while the iron is hot.
[1:13:58.000 --> 1:14:01.000]  Well, Info Wars is white hot right now.
[1:14:01.000 --> 1:14:06.000]  World government, globalist forces, trying to take over the United States is mainstream news.
[1:14:06.000 --> 1:14:09.000]  And Info Wars credibility has gone through the roof.
[1:14:09.000 --> 1:14:14.000]  That's why now is the time to contact local radio, TV, and cable stations.
[1:14:14.000 --> 1:14:20.000]  If you don't have an affiliate in your area already, and to send them to infowars.com forward slash affiliates.
[1:14:20.000 --> 1:14:25.000]  And say, pick up Alex Jones, pick up Omar Shroyer, pick up David Knight, pick up our other great programs.
[1:14:25.000 --> 1:14:26.000]  They're free to air.
[1:14:26.000 --> 1:14:30.000]  If you're on TV or you're on cable, you can cover up all the commercials for yourself.
[1:14:30.000 --> 1:14:31.000]  No contracts needed.
[1:14:31.000 --> 1:14:33.000]  This is your authorization stations.
[1:14:33.000 --> 1:14:35.000]  Pick up the Info Wars feed right now.
[1:14:35.000 --> 1:14:41.000]  All the affiliates, the satellites, it's all linked at infowars.com forward slash affiliates.
[1:14:41.000 --> 1:14:47.000]  Go to the local stations, call them, email them, and send them the link to infowars.com forward slash affiliate.
[1:14:47.000 --> 1:14:50.000]  And tell them we're free to air, no contracts, just pick us up.
[1:14:50.000 --> 1:15:14.000]  You're listening to the Alex Jones show.
[1:15:14.000 --> 1:15:20.000]  Monday through Friday from 11 a.m. to 3 p.m. Central, we're here live.
[1:15:20.000 --> 1:15:23.000]  I said he's got his biggest announcement ever in the fourth hour today when he's hosting.
[1:15:23.000 --> 1:15:25.000]  So I'll definitely be tuned in for that.
[1:15:25.000 --> 1:15:30.000]  I went to Shroyer, described it like a basketball injury where his hamstring tore.
[1:15:30.000 --> 1:15:36.000]  And all of a sudden you're playing basketball and then bloop, you feel your hamstring tear and you can't walk very well.
[1:15:36.000 --> 1:15:39.000]  You had the same thing happen to me that first happened 25 years ago or so.
[1:15:39.000 --> 1:15:42.000]  Screaming really loud in a rally.
[1:15:42.000 --> 1:15:45.000]  All of a sudden you feel something tear, it's your larynx.
[1:15:45.000 --> 1:15:48.000]  And it's like, you can't talk anymore.
[1:15:48.000 --> 1:15:53.000]  I actually tore my larynx again seven, eight years ago at that big Alamo speech that was so powerful.
[1:15:53.000 --> 1:15:56.000]  That was a great day down in San Antonio.
[1:15:56.000 --> 1:16:00.000]  I got up like, we'll never stop.
[1:16:00.000 --> 1:16:02.000]  And so that happened to Owen.
[1:16:02.000 --> 1:16:06.000]  And I guarantee you he'll be have a little bit deeper voice after this.
[1:16:06.000 --> 1:16:09.000]  It's like piano strings just tearing your larynx.
[1:16:09.000 --> 1:16:16.000]  And then you just get this big armored blob that sounds like you're 80 years old.
[1:16:16.000 --> 1:16:19.000]  Okay, let me, I'm not choking.
[1:16:19.000 --> 1:16:22.000]  It's the opposite.
[1:16:22.000 --> 1:16:33.000]  This news is so big and so out of control and so huge that I don't feel worthy to be covering.
[1:16:33.000 --> 1:16:34.000]  And I know you're the same way.
[1:16:34.000 --> 1:16:36.000]  And that's the problem.
[1:16:36.000 --> 1:16:38.000]  So many good men and women.
[1:16:38.000 --> 1:16:43.000]  They're black, they're Hispanic, they're white, they're Asian, they're male, they're female, they're straight, they're gay.
[1:16:43.000 --> 1:16:49.000]  There's everybody out there of all different types that want freedom and want life and want justice.
[1:16:49.000 --> 1:16:54.000]  And they just don't know how to say it.
[1:16:54.000 --> 1:17:02.000]  And they don't know how to describe all the ideas they have and everything that comes together with the knowledge they have.
[1:17:02.000 --> 1:17:05.000]  And so they don't say anything.
[1:17:05.000 --> 1:17:13.000]  And so I get that point of, if you can't say something absolutely perfectly accurate, you don't say anything.
[1:17:13.000 --> 1:17:18.000]  Well, the problem is the globalist is going to lie all day and put out their disinfo and they love to lie on purpose.
[1:17:18.000 --> 1:17:19.000]  They're the opposite.
[1:17:19.000 --> 1:17:21.000]  You don't want to say anything wrong.
[1:17:21.000 --> 1:17:23.000]  You don't want to make a mistake.
[1:17:23.000 --> 1:17:29.000]  All they want to do is say stuff that's wrong because it's a spiritual thing.
[1:17:29.000 --> 1:17:35.000]  So I was so ready before the show and I was so zoned.
[1:17:35.000 --> 1:17:44.000]  And I think we said a lot of important things.
[1:17:44.000 --> 1:17:46.000]  I mean, I've got hundreds of articles here, hundreds of clips.
[1:17:46.000 --> 1:17:48.000]  It's all insane.
[1:17:48.000 --> 1:17:54.000]  Total proof of fraud, top forensic firms all over the US, Texas, Michigan, everywhere.
[1:17:54.000 --> 1:17:55.000]  There's fraud everywhere.
[1:17:55.000 --> 1:17:56.000]  The globalists are complete criminals.
[1:17:56.000 --> 1:17:58.000]  I mean, they're killing babies.
[1:17:58.000 --> 1:18:00.000]  They keep babies alive after they're born, folks.
[1:18:00.000 --> 1:18:02.000]  I mean, in harvest of damn organs.
[1:18:02.000 --> 1:18:04.000]  Yes, of course, we're in trouble.
[1:18:04.000 --> 1:18:06.000]  Of course, they've got human animal clones in China.
[1:18:06.000 --> 1:18:08.000]  People thought I made that up 20 years ago.
[1:18:08.000 --> 1:18:11.000]  It was in the fricking literature.
[1:18:11.000 --> 1:18:13.000]  The bottom has fallen out.
[1:18:13.000 --> 1:18:21.000]  Here, let me say it this way.
[1:18:21.000 --> 1:18:26.000]  It really doesn't matter if Trump gets reelected.
[1:18:26.000 --> 1:18:33.000]  Because we keep thinking, see, this is very complex.
[1:18:33.000 --> 1:18:34.000]  It's good that Trump's in there.
[1:18:34.000 --> 1:18:35.000]  We shouldn't want to steal the election.
[1:18:35.000 --> 1:18:37.000]  We need to get Trump in there.
[1:18:37.000 --> 1:18:42.000]  But if Trump gets in there, everybody goes back to sleep.
[1:18:42.000 --> 1:18:47.000]  And then he just battles a swamp and nothing gets done.
[1:18:47.000 --> 1:18:52.000]  But you put Joe Biden, the new world order in, which I do not want, by the way.
[1:18:52.000 --> 1:18:54.000]  But I can see where that leads.
[1:18:54.000 --> 1:18:56.000]  It's going to destroy them.
[1:18:56.000 --> 1:18:59.000]  There's no way they ever get out of this.
[1:18:59.000 --> 1:19:01.000]  I don't care how many wars they start.
[1:19:01.000 --> 1:19:03.000]  I don't care if they release bio weapons again.
[1:19:03.000 --> 1:19:08.000]  I don't care what they do, where the mask, all their little followers groveling.
[1:19:08.000 --> 1:19:09.000]  It's not going to work.
[1:19:09.000 --> 1:19:11.000]  Everything they do is going to blow up and explode.
[1:19:11.000 --> 1:19:22.000]  And it's disintegrating in front of our eyes like a vampire who's been drug out in the middle of the Sahara Desert at High Noon.
[1:19:22.000 --> 1:19:30.000]  I think that's really my message to you is it's in God's hands.
[1:19:30.000 --> 1:19:34.000]  But you can't then just say, well, it's in God's hands.
[1:19:34.000 --> 1:19:36.000]  I'm going to do nothing.
[1:19:36.000 --> 1:19:40.000]  No, no, God has to work through you.
[1:19:40.000 --> 1:19:48.000]  And this really just goes back to God because, I mean, here's an example, folks.
[1:19:48.000 --> 1:19:51.000]  They created COVID-19.
[1:19:51.000 --> 1:19:54.000]  It's got five viruses.
[1:19:54.000 --> 1:19:57.000]  I figured out what it is.
[1:19:57.000 --> 1:20:04.000]  And I know what's going to happen next.
[1:20:04.000 --> 1:20:08.000]  We have to understand.
[1:20:08.000 --> 1:20:12.000]  I know I'm right.
[1:20:12.000 --> 1:20:18.000]  But I really don't want to tell you this.
[1:20:18.000 --> 1:20:27.000]  But I'm going to go ahead and tell you.
[1:20:27.000 --> 1:20:31.000]  COVID-19 is a binary weapon.
[1:20:31.000 --> 1:20:37.000]  It has five attacks it can launch.
[1:20:37.000 --> 1:20:51.000]  But what it does is unlock the five viruses they've already put into you.
[1:20:51.000 --> 1:20:55.000]  That when your hormone level hits a certain point, one of them activates.
[1:20:55.000 --> 1:20:59.000]  When it's hit by a certain electromagnetic field, another one activates.
[1:20:59.000 --> 1:21:02.000]  This is so sophisticated.
[1:21:02.000 --> 1:21:10.000]  When you take another vaccine, another one activates.
[1:21:10.000 --> 1:21:20.000]  And the taking of the vaccine itself, again, unlocks so many different levels to this.
[1:21:20.000 --> 1:21:23.000]  And this is so diabolically thought out.
[1:21:23.000 --> 1:21:30.000]  Because, again, I mean, you understand, you're getting the enemy operation right now.
[1:21:30.000 --> 1:21:33.000]  This is disgusting.
[1:21:33.000 --> 1:21:38.000]  If they hit you with one side effect from the vaccine, you'll catch them.
[1:21:38.000 --> 1:21:41.000]  If it's just sterilization or it's just cancer.
[1:21:41.000 --> 1:21:45.000]  That's what that Ben Garrison graph he made is just pure genius.
[1:21:45.000 --> 1:21:47.000]  Because you spin the wheel.
[1:21:47.000 --> 1:21:49.000]  But it's a little bit more than that.
[1:21:49.000 --> 1:21:58.000]  They've already tested five vaccines for sterilization, cancer, toxicity,
[1:21:58.000 --> 1:22:02.000]  turning your immune system off, a cytokine storm, turning it up.
[1:22:02.000 --> 1:22:07.000]  Those are the five things.
[1:22:07.000 --> 1:22:09.000]  Your kid, you spin the wheel.
[1:22:09.000 --> 1:22:11.000]  Your kid gets autism.
[1:22:11.000 --> 1:22:12.000]  You get cancer.
[1:22:12.000 --> 1:22:13.000]  Your kid dies.
[1:22:13.000 --> 1:22:15.000]  Three free spins.
[1:22:15.000 --> 1:22:17.000]  You're tracked.
[1:22:17.000 --> 1:22:19.000]  Oh, you get death.
[1:22:19.000 --> 1:22:23.000]  Oh, you're sterilized.
[1:22:23.000 --> 1:22:25.000]  And you're like, why is this happening?
[1:22:25.000 --> 1:22:28.000]  Because we didn't stand up for our children.
[1:22:28.000 --> 1:22:31.000]  And God said, OK, you didn't stand up for babies.
[1:22:31.000 --> 1:22:33.000]  You think God likes that?
[1:22:33.000 --> 1:22:43.000]  And God goes, release the kraken when the gate opens and in comes Satan.
[1:22:43.000 --> 1:22:44.000]  That's it.
[1:22:44.000 --> 1:22:46.000]  Real simple.
[1:22:46.000 --> 1:22:48.000]  We deserve it.
[1:22:48.000 --> 1:22:50.000]  I deserve it.
[1:22:50.000 --> 1:22:53.000]  Now we're going to get it.
[1:22:53.000 --> 1:22:57.000]  And now the public and mass Stockholm syndrome, while the state is moon
[1:22:57.000 --> 1:23:02.000]  chosen by proxy poisoning everybody, everyone will then commit to it and
[1:23:02.000 --> 1:23:06.000]  cover it up because they all got in line with the great corruption.
[1:23:06.000 --> 1:23:14.000]  And then that begins the next chapters of what is going to unfold.
[1:23:14.000 --> 1:23:22.000]  So Bill Gates is sending five plagues upon the earth that will kill billions.
[1:23:22.000 --> 1:23:26.000]  This is the four horsemen, folks.
[1:23:26.000 --> 1:23:30.000]  You know the horse of plague, the green horse.
[1:23:30.000 --> 1:23:32.000]  The green movement, they told you this was a new green deal.
[1:23:32.000 --> 1:23:34.000]  This is the lower the carbon footprint.
[1:23:34.000 --> 1:23:38.000]  The green horse, whether you call it a precursor, a beta test or the big one,
[1:23:38.000 --> 1:23:41.000]  the green horse of the antichrist has been released.
[1:23:41.000 --> 1:23:42.000]  This is it.
[1:23:42.000 --> 1:23:44.000]  So Merry Christmas.
[1:23:44.000 --> 1:23:46.000]  Kiss your ass goodbye.
[1:23:46.000 --> 1:23:49.000]  We'll be right back.
[1:23:49.000 --> 1:23:53.000]  The project for world government developed by the British Empire via Cecil Rhodes
[1:23:53.000 --> 1:23:56.000]  then picked up by the Rockefeller family and the major Robert Barons,
[1:23:56.000 --> 1:24:00.000]  the planet by the 1920s, is all about corporate global governance.
[1:24:00.000 --> 1:24:02.000]  And now you're seeing it.
[1:24:02.000 --> 1:24:05.000]  Not just the blue states, the blue cities, the communists and socialist nations
[1:24:05.000 --> 1:24:10.000]  all working in unison under UN control established a medical planetary dictatorship.
[1:24:10.000 --> 1:24:15.000]  At the core of it is the Fortune 100 corporations themselves funded by
[1:24:15.000 --> 1:24:18.000]  a handful of private central banking families.
[1:24:18.000 --> 1:24:23.000]  The Rothschilds, the Rockefellers, the Dutch and British royalty being at the very heart of that.
[1:24:23.000 --> 1:24:27.000]  Then you learn the Dutch and British royalty aren't even Dutch or British at the same time.
[1:24:27.000 --> 1:24:34.000]  But they go back to the literal count Dracula and the wars in between Christendom and Islam.
[1:24:34.000 --> 1:24:38.000]  Those that don't know history really are doomed to repeat it.
[1:24:38.000 --> 1:24:40.000]  They're involved in plotting the world economy.
[1:24:40.000 --> 1:24:43.000]  That's what the social distancing the masks are all about.
[1:24:43.000 --> 1:24:45.000]  It's about bankrupting local small businesses.
[1:24:45.000 --> 1:24:48.000]  Those that comply are complying with your own destruction. Wake up.
[1:24:48.000 --> 1:24:51.000]  The globalists have always been at war with the family and small businesses.
[1:24:51.000 --> 1:24:54.000]  They want control. They want domesticated slaves.
[1:24:54.000 --> 1:24:57.000]  That's the process that is taking place right now.
[1:24:57.000 --> 1:25:01.000]  And when you shop at the big box stores and when you shop with Amazon,
[1:25:01.000 --> 1:25:05.000]  remember that they are creating monopolies and they are the globalists
[1:25:05.000 --> 1:25:10.000]  that are pushing the lockdowns, gun control, abortion, world government, all of it.
[1:25:10.000 --> 1:25:12.000]  If you want to do that, go ahead and shop there.
[1:25:12.000 --> 1:25:16.000]  We'll shop at InfoWars where we have thousands of products made right here in America
[1:25:16.000 --> 1:25:18.000]  with our warehouses and our crew.
[1:25:18.000 --> 1:25:21.000]  It's incredible and it changes the whole world.
[1:25:21.000 --> 1:25:24.000]  So do your shopping if you want to fund the InfoWars.
[1:25:24.000 --> 1:25:27.000]  If you want to stop the globalist at InfoWarsStore.com
[1:25:27.000 --> 1:25:29.000]  and tell others to do their shopping at InfoWarsStore.com.
[1:25:29.000 --> 1:25:35.000]  We have amazing products. We can get everything delivered to you by Christmas if you order by the 18th.
[1:25:35.000 --> 1:25:37.000]  So again, I want to thank you all for your support.
[1:25:37.000 --> 1:25:40.000]  I want to thank you for thinking through what you do and where you spend your money
[1:25:40.000 --> 1:25:43.000]  and do your shopping and get great products at InfoWarsStore.com.
[1:26:10.000 --> 1:26:12.000]  Thank you.
[1:26:41.000 --> 1:26:43.000]  Whether it's interdimensional, whether it's little green men,
[1:26:43.000 --> 1:26:47.000]  the globalists are acting like another species that's overtaking us and overriding us.
[1:26:47.000 --> 1:27:13.000]  That's all the same in the end.
[1:27:17.000 --> 1:27:36.000]  Let me roll into the news here and the big picture and where the globalists are going
[1:27:36.000 --> 1:27:38.000]  and how we stop them and what we're facing.
[1:27:38.000 --> 1:27:40.000]  But I just go back to the same message.
[1:27:40.000 --> 1:27:42.000]  We have given up on each other.
[1:27:42.000 --> 1:27:43.000]  We've given up on life.
[1:27:43.000 --> 1:27:45.000]  We've stopped standing up for ourselves.
[1:27:45.000 --> 1:27:48.000]  And that doesn't mean you or I specifically, but none of us are perfect.
[1:27:48.000 --> 1:27:50.000]  We've all fallen short. You know that.
[1:27:50.000 --> 1:27:54.000]  But imagine there are people that love reveling in evil.
[1:27:54.000 --> 1:27:57.000]  They love reveling in destruction.
[1:27:57.000 --> 1:28:00.000]  They're lazy. They have no cares.
[1:28:00.000 --> 1:28:05.000]  And with them death follows.
[1:28:05.000 --> 1:28:10.000]  The fourth seal, the pale green horse.
[1:28:10.000 --> 1:28:17.000]  When the lamb opened the fourth seal, I heard the voice of the fourth living creature say, go.
[1:28:17.000 --> 1:28:20.000]  I looked and there was a pale green horse.
[1:28:20.000 --> 1:28:24.000]  Its rider's name was Death and Hades followed him.
[1:28:24.000 --> 1:28:28.000]  They were given authority over one fourth of the earth, each horse,
[1:28:28.000 --> 1:28:35.000]  to kill people using wars, famines, plagues, and the wild animals of the earth.
[1:28:35.000 --> 1:28:42.000]  And that means humans that are no longer with God, zombies.
[1:28:42.000 --> 1:28:49.000]  Hear death and the world of death are personified.
[1:28:49.000 --> 1:28:55.000]  Go through the horses, pale horse.
[1:28:55.000 --> 1:28:58.000]  Death rides the green horse.
[1:28:58.000 --> 1:29:01.000]  The world of death rides the fifth horse.
[1:29:01.000 --> 1:29:04.000]  Death.
[1:29:04.000 --> 1:29:11.000]  No doubt refers to great pestilence following the wars and famines of the first three seals.
[1:29:11.000 --> 1:29:15.000]  Tribulation.
[1:29:15.000 --> 1:29:19.000]  The sixth trumpet causes only a third of the men to be killed.
[1:29:19.000 --> 1:29:25.000]  The reference of the war is the first two seals.
[1:29:25.000 --> 1:29:27.000]  But you understand something.
[1:29:27.000 --> 1:29:31.000]  This is only the readying of the green horse.
[1:29:31.000 --> 1:29:36.000]  This is the beta test. They've got the gun out of the shooting range right now.
[1:29:36.000 --> 1:29:44.000]  And the vaccine is the implanting of the detonator switch in your DNA.
