[00:00.000 --> 00:11.000]  There is a lot of controversy around this network about Alex Jones, for example.
[2:11:58.000 --> 2:12:06.000]  But it's clear that he will tomorrow night in this address at 9 o'clock, make the argument from a national security standpoint that the money is needed for the wall.
[2:12:06.000 --> 2:12:14.000]  The president tweeting, quote, I am pleased to inform you that I will address the nation on the humanitarian and national security crisis.
[2:12:14.000 --> 2:12:26.000]  The president will also travel to the southern border on Thursday to promote the need for billions of dollars to build a steel barrier along some parts of the border.
[2:12:26.000 --> 2:12:32.000]  He is going to be going, we have confirmed through law enforcement sources, to the McCallan, Texas area.
[2:12:32.000 --> 2:12:43.000]  Now, what's interesting is there's about four miles of steel barricade at the border crossing there between the area south of McCallan and Rainosa in Texas.
[2:12:43.000 --> 2:12:51.000]  But that's an area where it's very difficult to build a wall because you've got the Rio Grande meandering its way all the way west to El Paso and all the way east to Brownsville.
[2:12:51.000 --> 2:12:58.000]  And you have a lot of private landowners there who do not want to be cut off from the river by a border fence.
[2:12:58.000 --> 2:13:02.000]  So it's likely that his plans for a border fence would not be applicable to that area.
[2:13:02.000 --> 2:13:07.000]  But of course, there are large swaths of New Mexico, Arizona and California where it would.
[2:13:07.000 --> 2:13:14.000]  In a letter to the Senate Appropriations Committee Chairman Richard Shelby, the president adding some detail to what he wants, saying, quote,
[2:13:14.000 --> 2:13:20.000]  the president requests $5.7 billion for construction of a steel barrier for the southwest border.
[2:13:20.000 --> 2:13:22.000]  A physical barrier wall creates an interrogation.
[2:13:22.000 --> 2:13:26.000]  OK, so that's from Fox News just literally like 10, 12 minutes ago.
[2:13:26.000 --> 2:13:31.000]  I'm in the break room and I see the president say because this country is in an emergency.
[2:13:31.000 --> 2:13:33.000]  Well, I know that's the action he's got to take.
[2:13:33.000 --> 2:13:34.000]  I know he's been mulling it.
[2:13:34.000 --> 2:13:38.000]  We first told you this over a year ago, another global exclusive and you watch.
[2:13:38.000 --> 2:13:47.000]  And sometimes he changes plans, but 95 percent chance tomorrow Trump will declare a national emergency.
[2:13:47.000 --> 2:13:50.000]  So this is this is this is happening.
[2:13:50.000 --> 2:13:58.000]  And I did a special report on Saturday saying the president is preparing a national emergency.
[2:13:58.000 --> 2:14:04.000]  He's preparing to introduce a national emergency to the public.
[2:14:04.000 --> 2:14:09.000]  And then if the globalists try to block securing it and activate their anti for other terror groups.
[2:14:09.000 --> 2:14:12.000]  There's the Mike Adams article we were talking about from a few months ago.
[2:14:12.000 --> 2:14:15.000]  The president is set to deal with that.
[2:14:15.000 --> 2:14:18.000]  So Trump says declared national emergency to stop the deep state.
[2:14:18.000 --> 2:14:28.000]  January 4th, January 5th article, President Trump is preparing the public for the introduction of national emergency.
[2:14:28.000 --> 2:14:31.000]  In fact, we probably should just get my special report.
[2:14:31.000 --> 2:14:43.000]  It's pretty powerful from this weekend and air that in some of the segments because I was particularly focused and I really laid out why the president needs to do this and the reasons for it.
[2:14:43.000 --> 2:14:50.000]  And so what we'll do is I'm going to open the phones up on this subject and others, but particularly this one.
[2:14:50.000 --> 2:15:00.000]  And then I think Gerald Salente, who always does a great job, will be fine with me taking a couple segments of the start of the next hour before he comes on to air my piece on that.
[2:15:00.000 --> 2:15:04.000]  But I want to be extremely focused and clear here.
[2:15:04.000 --> 2:15:07.000]  We're already under Obama's emergency.
[2:15:07.000 --> 2:15:14.000]  He has stayed behind embedded networks working against the country. That's now been admitted. I told you that two and a half years ago, but when he was leaving, he pulled that.
[2:15:14.000 --> 2:15:16.000]  And then he did.
[2:15:16.000 --> 2:15:18.000]  We know how this stuff works.
[2:15:18.000 --> 2:15:31.000]  And so the way it operates is they built this whole infrastructure around COG, continuity of government and other systems where the president can't change any of this unless he exercises his power to remove it.
[2:15:31.000 --> 2:15:40.000]  So if you're cutting the kid out of a car, it's the car wreck that put him in the car all hurt. You're cutting him out. That's the emergency, but the wrecks already happened.
[2:15:40.000 --> 2:15:44.000]  So they're going to spend this as martial law. That's not what it is.
[2:15:44.000 --> 2:15:50.000]  It's the president having to exercise executive power to get back control of the bureaucracy.
[2:15:50.000 --> 2:16:02.000]  We'll give the number out when we come back. Stay with us.
[2:16:21.000 --> 2:16:27.000]  You may need this herbal tea for relief right away.
[2:16:27.000 --> 2:16:28.000]  So write this down.
[2:16:28.000 --> 2:16:32.000]  D-R-M-I-L-L-E-R-S clinic dot com.
[2:16:32.000 --> 2:16:38.000]  If you take meds, then suffer stomach distress, constipation, indigestion, acid reflux, or bloating, and nothing else helps.
[2:16:38.000 --> 2:16:46.000]  Get Dr. Miller's Holy Tea or Super Holy Tea, a cleansing, detoxifying herbal tea now available at great rates direct from Dr. Miller's office.
[2:16:46.000 --> 2:16:54.000]  Call or click 888-660-7039 or DR-M-I-L-L-E-R-S clinic dot com.
[2:16:54.000 --> 2:17:01.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house. I sued the IRS in one.
[2:17:01.000 --> 2:17:04.000]  I beat the IRS then and I've been beating them ever since.
[2:17:04.000 --> 2:17:11.000]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved. I can help you too.
[2:17:11.000 --> 2:17:16.000]  If you owe taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case.
[2:17:16.000 --> 2:17:42.000]  Call 834-no-tax or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[2:17:46.000 --> 2:17:53.000]  Visit wolfhillamo.com to see our great prices on these combo packs and other specialty shotgun ammo rounds.
[2:17:53.000 --> 2:18:20.000]  Visit wolfhillamo.com to see our great prices on these combo packs and other specialty shotgun ammo rounds.
[2:18:20.000 --> 2:18:25.000]  I want to be a market leader and I want you to have storeable food so it's a total win-win.
[2:18:25.000 --> 2:18:31.000]  We have those incredible sell prices back at m4store.com on m4, select storeable foods.
[2:18:31.000 --> 2:18:36.000]  They've got special diet foods, they've got three month supplies, your supplies, weak emergency supplies.
[2:18:36.000 --> 2:18:39.000]  They've got so many great products there.
[2:18:39.000 --> 2:18:42.000]  If you've got a three year supply, if stuff happens you can feed your whole block.
[2:18:42.000 --> 2:18:45.000]  It's up to us to be self-sufficient.
[2:18:45.000 --> 2:18:50.000]  You're buying war bonds, bringing great products and together with God's help we are unstoppable.
[2:18:50.000 --> 2:19:19.000]  m4store.com and m4 select high quality storeable foods powered by my Patriot supply.
[2:19:19.000 --> 2:19:27.000]  m4 is the same great formula that supports your heart, brain, healthy aging process with an all-new natural caffeine boost included.
[2:19:27.000 --> 2:19:33.000]  A powerful, pregnant-owned base, the real red pill, it could become one of our fellow m4's favorite products.
[2:19:33.000 --> 2:19:44.000]  Now with an extra proprietary energy blend inside including reed de extract and remmate leaf extract and more you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[2:19:44.000 --> 2:19:46.400]  Got all the great stuff that Real Red Pill has,
[2:19:46.400 --> 2:19:48.400]  but it's also got the most in it.
[2:19:48.400 --> 2:20:13.040]  Get the Real Red Pill Plus at InfoWarsStore.com You're listening to the Alex Jones show.
[2:20:18.400 --> 2:20:28.400]  Get the Real Red Pill Plus at InfoWarsStore.com
[2:20:48.720 --> 2:20:52.320]  You know, most men spend their time studying how football works or how to
[2:20:53.920 --> 2:20:57.600]  act cool. And then that's okay, or how to have a bigger truck, which I've got a big truck,
[2:20:57.600 --> 2:21:01.280]  I like that too. But you know, I've spent my time studying how the world works.
[2:21:02.080 --> 2:21:07.680]  And when I went and saw the movie Vice, which has got some disinfo and it was very well done
[2:21:07.680 --> 2:21:14.800]  overall, it's stichety obsessed with COG and continuity of government and the power of the
[2:21:14.800 --> 2:21:19.600]  executive. And by the president letting him operate as a co-executive,
[2:21:21.360 --> 2:21:26.240]  he then was able to create a fourth branch of government. That's how powerful the executive is
[2:21:26.240 --> 2:21:33.840]  if it's unopposed. Now, they've been using the executive to transfer power away from Congress,
[2:21:33.840 --> 2:21:38.800]  the courts and the people. Trump is using it to claw it back and doing it under constitutional
[2:21:38.800 --> 2:21:44.880]  emergency. So just as I said at the beginning of the show today, all indicators are Trump is
[2:21:44.880 --> 2:21:55.760]  taking the gloves off and putting the big boy pants on. And he's firing the CHICOM World Bank
[2:21:55.760 --> 2:22:00.000]  Head who was working with the Chinese to give them all our tax money to take over Africa mainly
[2:22:00.560 --> 2:22:05.360]  in Latin America. I mean, what treason and Trump called out a year ago and just sacked the guy.
[2:22:05.360 --> 2:22:13.760]  And this all indicates the national emergency as I said back in October has already been declared.
[2:22:15.600 --> 2:22:22.480]  And they're going to send an emissary from the White House Wednesday morning
[2:22:23.680 --> 2:22:28.800]  to the session of Congress. And as you're going to declare, I'm going from memory, we need to look
[2:22:28.800 --> 2:22:34.800]  this up, it's declared to the House. Sometimes they send an emissary to both. Sometimes they
[2:22:34.800 --> 2:22:38.880]  have the vice president do it, but that gives too much fanfare. Usually they slip it under the rug
[2:22:39.600 --> 2:22:45.600]  under the door because it can get a little sticky if they're using it to transfer trillions to foreign
[2:22:45.600 --> 2:22:50.480]  banks or they're using it to do things like that. But this is the president announcing an
[2:22:50.480 --> 2:22:55.840]  emergency generally for war or famine or calamity and our borders, the left keep saying, oh, there's
[2:22:55.840 --> 2:23:02.240]  no border problem. Oh, yeah, look at Europe. Look at here. Give me a break. So they're going to spend
[2:23:02.240 --> 2:23:08.240]  this is martial law. This is the opposite. The country has been crashed. The globalists are
[2:23:08.240 --> 2:23:11.840]  trying to bring it down. I'm going to explain this again because the media is going to misrepresent it.
[2:23:12.720 --> 2:23:19.760]  Obama declared new emergencies. Six of the eight years he was in office, by the way,
[2:23:19.760 --> 2:23:25.120]  the emergencies were extended. So he only had to do it six times because he wanted to change
[2:23:25.120 --> 2:23:30.800]  something and why he said there was an emergency. So you're going to learn that the president in
[2:23:30.800 --> 2:23:38.720]  October declared a classified national emergency to the executive. And now he's either going to have
[2:23:38.720 --> 2:23:45.520]  a deal by tomorrow night that Pelosi says that they're going to do the wall and all the rest of it,
[2:23:45.520 --> 2:23:49.760]  or he'll declare the national emergency. But it's already been done. So it doesn't matter.
[2:23:49.760 --> 2:23:54.160]  You understand how that works? He just hasn't declared it to Congress to let him know that
[2:23:54.160 --> 2:23:58.560]  he's overriding them. And the only way you could override the president and emergency
[2:23:58.560 --> 2:24:04.400]  is impeachment or assassination. It is its own separate branch of government. But you have just
[2:24:04.400 --> 2:24:12.800]  as state legislatures used to until 1913 and the 16th Amendment, they could recall U.S. senators.
[2:24:13.360 --> 2:24:17.440]  They were creatures of the state to balance out the federal government. House members are
[2:24:17.440 --> 2:24:23.680]  generally elected. Senate members were voted for by the legislature to create a parliamentary
[2:24:23.680 --> 2:24:29.520]  check and balance. The same year we got the Federal Reserve Act, the income tax, we got the senators
[2:24:29.520 --> 2:24:37.360]  becoming federal creatures. Well, that was a major loss of states' rights and states' powers.
[2:24:38.000 --> 2:24:41.440]  And I believe we should bring back where we were before the 16th Amendment.
[2:24:42.080 --> 2:24:46.400]  So things have gotten way out of balance and before the executive had too much power.
[2:24:46.400 --> 2:24:50.720]  But everything Trump's doing with executive power is very judicious. The Supreme Court's been
[2:24:50.720 --> 2:24:55.600]  saying he's right on this stuff. And that's where we're headed here. That's why the Democrats
[2:24:55.600 --> 2:24:59.360]  are so scared. They're not worried about the future of the court. They think they're going to show
[2:24:59.360 --> 2:25:04.640]  this up. But if the Supreme Court stands with Trump, during all of this is coming up,
[2:25:06.560 --> 2:25:11.680]  it's going to be a big problem. You see, the House indites. The Senate tries.
[2:25:13.280 --> 2:25:17.280]  And it's not going to go there because Trump has all the Trump cards.
[2:25:17.280 --> 2:25:23.360]  The ace of spades. The Clintons and the Obamas were heavily involved with Saudi Arabia on 9-11.
[2:25:24.080 --> 2:25:28.400]  And he has a bunch of other ace cards. He's got a handful of ace of spades.
[2:25:29.120 --> 2:25:35.440]  This isn't like a regular card game. He's probably got 20 ace of spades, 20 ace of clubs.
[2:25:36.160 --> 2:25:39.440]  It just goes down the line from there. It just gets better. It gets more sickening.
[2:25:40.000 --> 2:25:45.920]  And this is just an epic time to be alive, ladies and gentlemen. You need to understand that.
[2:25:45.920 --> 2:25:51.520]  And I'm proud of Infowars. I'm proud of our audience because you have lobbied the president
[2:25:51.520 --> 2:25:55.840]  to declare the national emergency. Quite frankly, he's never given an Oval Office address.
[2:25:57.280 --> 2:26:00.000]  They're all saying, oh, we don't know if it'll be in the Oval Office. We don't know.
[2:26:00.000 --> 2:26:04.320]  It's going to be in the Oval Office if he declares the national emergency. And I'm saying
[2:26:04.320 --> 2:26:09.760]  the national emergency has already been declared, but it will be officially declared.
[2:26:09.760 --> 2:26:14.640]  And even if Pelosi agrees to pass the border funding and back off,
[2:26:14.640 --> 2:26:19.520]  Trump will say to speed it up and to hurry it up and to make it work better.
[2:26:21.840 --> 2:26:25.360]  I'm going to go ahead and declare the emergency. Oh, look, now Schiff's saying it. There it is.
[2:26:26.640 --> 2:26:32.400]  Trump may declare a national emergency. And then Schiff comes out and says he has the power to,
[2:26:34.240 --> 2:26:40.720]  but I really hope he doesn't. Look how scared he looks. These criminals that have used old executive
[2:26:40.720 --> 2:26:46.160]  power left behind by Obama, hoping Trump didn't figure this out, hoping Trump didn't remove it.
[2:26:47.120 --> 2:26:52.000]  But see, even Schiff can't lie. I forgot I saw that video this morning.
[2:26:53.360 --> 2:26:56.400]  And because he knows that it's in the Constitution, it's in the law,
[2:26:56.400 --> 2:26:58.640]  he says, well, he has that power, but I hope he doesn't.
[2:27:00.880 --> 2:27:07.040]  It's not about the wall. The wall's only part of it. It's about checkmating these creatures.
[2:27:07.040 --> 2:27:13.200]  So again, Obama put executive powers in an emergency that are still operating.
[2:27:14.000 --> 2:27:17.520]  Trump has to reverse it. He has to fire the head of the Federal Reserve,
[2:27:17.520 --> 2:27:21.200]  fire the head of the World Bank. Oops, just happened. But for face saving, he resigned.
[2:27:21.760 --> 2:27:29.360]  He's going to fire them all. It's like the globalist or Tokyo and Godzilla's Trump.
[2:27:29.920 --> 2:27:32.640]  And he just came out of the water and he's passed.
[2:27:32.640 --> 2:27:37.680]  Then we should play Blue Waste or Cold Godzilla when we come back.
[2:27:40.400 --> 2:27:45.920]  Because if they want to fight, you better believe they're going to get one.
[2:27:46.480 --> 2:27:51.840]  This is the joy of information war. The only thing better would be, I guess,
[2:27:53.920 --> 2:27:59.440]  the hors d'oeuvres of the physical dainties. But this is what it's all about, ladies and gentlemen.
[2:27:59.440 --> 2:28:02.880]  And the country's been on its deathbed. China's threatened in war.
[2:28:02.880 --> 2:28:05.280]  Where the rest of the Chinese spies, they're rolling them up.
[2:28:05.280 --> 2:28:09.360]  And that's why the rest of the deep state is flipping out because they are complicit traders
[2:28:09.360 --> 2:28:13.520]  and they're fighting for their dirty political and physical lives.
[2:28:13.520 --> 2:28:19.680]  General McChrystal and all this other trash, all these corrupt billionaires on the Chai-Kong payroll
[2:28:19.680 --> 2:28:26.320]  look scared, don't they? Because they're un-American scum. Their army is a bunch of Antifa Professor
[2:28:26.320 --> 2:28:34.640]  Professor Methheads and other ass wipes. 877-789, Alex. I want to talk about the national emergency.
[2:28:34.640 --> 2:28:40.800]  You think Trump's right? You know it's coming. What's how the enemy hit back? 877-789-2539.
[2:28:40.800 --> 2:28:44.160]  Trump gave us a prelude to this last week. He said it's going to be a hell of a year.
[2:28:44.800 --> 2:28:47.680]  So strap yourselves in and get ready for a wild ride.
[2:28:47.680 --> 2:28:52.960]  Woohoo! Yeah! Yeah! 877-789-2539.
[2:28:52.960 --> 2:29:01.440]  The United States of Empire is a book that claims the United States is the empire of the world.
[2:29:01.440 --> 2:29:06.960]  George Washington had warned us against foreign wars. The United States of Empire shows that
[2:29:06.960 --> 2:29:14.160]  World Wars I and II left England broken. Its former colony, the U.S., had to save the empire.
[2:29:14.160 --> 2:29:19.680]  Was there ever a vote? Who do we fight for? The deep state began with World War I.
[2:29:19.680 --> 2:29:24.480]  The United States of Empire by James Dunn, available at Amazon Books.
[2:29:49.920 --> 2:30:00.320]  We are kept afloat only by your loyal patronage.
[2:30:00.320 --> 2:30:04.080]  And that's why we need you to go to the site now. If you're not in the market for
[2:30:04.080 --> 2:30:10.720]  one of our greatest nutraceuticals, please consider a contribution. 25, 50, 100,
[2:30:10.720 --> 2:30:18.320]  250, or even $500 would be a godsend to our important work here to beat back the globalists
[2:30:18.320 --> 2:30:24.960]  and to destroy their campaign of censorship in which they want to strangle our first amendment rights.
[2:30:48.320 --> 2:31:01.440]  Stress is a natural part of life. Worth, family, friends, and everyday
[2:31:01.440 --> 2:31:07.280]  accidents can put a lot of strain on the body and your mood. Don't let life weigh you down.
[2:31:07.280 --> 2:31:12.720]  Happies is a powerful mood and stress support formula that has your back against life's daily
[2:31:12.720 --> 2:31:18.960]  inconveniences. Made with ancient ingredients used for thousands of years, Happies can help you take
[2:31:18.960 --> 2:31:25.440]  back the day. With our powerhouse formula, Happies can be an important part of your daily supplement
[2:31:25.440 --> 2:31:30.960]  routine. With poor diet and the constant on and off of your work life, it's more important than
[2:31:30.960 --> 2:31:36.960]  ever to support your body in the fight against stress. With powerful ingredients combined to
[2:31:36.960 --> 2:31:43.360]  help support the mind and body, Happies helps support during stress, promotes overall well-being,
[2:31:43.360 --> 2:31:49.280]  and helps support your mood. Don't let your life bogged down. Help your body overcome the effects
[2:31:49.280 --> 2:31:54.240]  of daily stress and pressure today with Happies from InfowarsStore.com.
[2:31:56.800 --> 2:32:03.680]  You deserve a deep restful sleep with knockout by InfowarsLife. Our organic formula is made from
[2:32:03.680 --> 2:32:11.120]  high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract,
[2:32:11.120 --> 2:32:16.960]  and melatonin. Knockout packs a powerful punch to get you through the night and achieve proper
[2:32:16.960 --> 2:32:22.720]  sleep. Millions of people around the world experience daytime drowsiness, but with the rapid
[2:32:22.720 --> 2:32:28.800]  speed of life, we need to be able to keep up the pace. Our natural mixture harnesses the power of
[2:32:28.800 --> 2:32:34.960]  10 known ingredients to let your body relax and get the sleep you need. Wake up refreshed and
[2:32:34.960 --> 2:32:41.200]  take on the day. InfowarsLife wants to bring you a sleep support formula that goes above and beyond
[2:32:41.200 --> 2:32:46.880]  other leading brands at an affordable price. Get the sleep you deserve and experience the power
[2:32:46.880 --> 2:32:54.480]  of knockout. Head on over to InfowarsLife.com and say goodbye to fatigue. That's InfowarsLife.com.
[2:32:54.480 --> 2:33:01.280]  You're listening to the Alex Jones show.
[2:33:54.640 --> 2:34:01.280]  You're listening to the Alex Jones show.
[2:34:11.760 --> 2:34:17.280]  You're listening to the Alex Jones show.
[2:34:47.280 --> 2:35:07.080]  We are back live, the most demonized, most lied about, most attacked, most feared broadcast
[2:35:07.080 --> 2:35:09.600]  in the world by the globalists.
[2:35:09.600 --> 2:35:15.920]  They see us a little bit like Godzilla tearing down their pedophile rings, their radical
[2:35:15.920 --> 2:35:21.160]  Islamic invasion operations, their attack on the family, their tainted vaccines, their
[2:35:21.160 --> 2:35:22.160]  GMO crap.
[2:35:22.160 --> 2:35:28.840]  We knew Godzilla would tear down Trump's 5G, but he just hears it'll create 5 million
[2:35:28.840 --> 2:35:30.320]  jobs and goes, oh, let's do it.
[2:35:30.320 --> 2:35:32.000]  We're going to get him educated on that.
[2:35:32.000 --> 2:35:33.000]  He's not perfect.
[2:35:33.000 --> 2:35:34.520]  All right, we're taking your phone calls.
[2:35:34.520 --> 2:35:37.960]  Trump is set to declare a national emergency, not just a normal, oh, we're in an emergency
[2:35:37.960 --> 2:35:42.240]  here or there, but in the federal government to circumvent the bureaucracies and things
[2:35:42.240 --> 2:35:43.400]  that are holding back America.
[2:35:43.400 --> 2:35:48.720]  You see the firing, it's not a resignation of the CHICOM operative that transferred hundreds
[2:35:48.720 --> 2:35:52.800]  of billions of our money to the CHICOMs, as if they didn't need more of it.
[2:35:52.800 --> 2:35:58.840]  America is now taking control of all the international systems that it helped create, and what we
[2:35:58.840 --> 2:36:03.320]  claimed was for promoting democracy worldwide, but it's really been for promoting globalism
[2:36:03.320 --> 2:36:09.280]  on the New World Order, and croning capitalism, and Trump is taking control of the bureaucracy
[2:36:09.280 --> 2:36:15.440]  and accelerated rate as we enter hard to believe the third year of this term, and the battle
[2:36:15.440 --> 2:36:16.440]  is joined.
[2:36:16.440 --> 2:36:18.800]  All right, we're going to your phone calls right now.
[2:36:18.800 --> 2:36:24.840]  A lot of people probably noticed I haven't plugged today one time, get a t-shirt, get
[2:36:24.840 --> 2:36:27.280]  a book, get some great supplements, help funder operation.
[2:36:27.280 --> 2:36:31.120]  I'm so focused on all these developments, I'm not doing it, but just know this, without
[2:36:31.120 --> 2:36:34.800]  you supporting us at m4store.com, we wouldn't be here.
[2:36:34.800 --> 2:36:39.280]  And you know, the Democrats and Soros have tried to run off all our sponsors over the
[2:36:39.280 --> 2:36:42.880]  years, and then they try to take our banking away and brag about that, getting some of
[2:36:42.880 --> 2:36:43.880]  our payment processors.
[2:36:43.880 --> 2:36:48.600]  I mean, this is the criminal garbage, and now they're trying to take Franklin Graham's
[2:36:48.600 --> 2:36:52.000]  credit card process, the other one from Mainline NRA credit card processing.
[2:36:52.000 --> 2:36:55.760]  It's all out of San Francisco, man.
[2:36:55.760 --> 2:36:59.800]  That's why we've now found bulletproof sponsors that are some of the biggest in the country,
[2:36:59.800 --> 2:37:03.520]  where they build a whole new website, private label it, they're not even afraid of being
[2:37:03.520 --> 2:37:08.520]  attacked, but I said, let's just, let's just build these sites, have it be a private label
[2:37:08.520 --> 2:37:12.520]  that you run that's highest quality, I know it's the best because of all the studies and
[2:37:12.520 --> 2:37:17.000]  all the awards, we put it out, and we have all the benefits, again, people, great products,
[2:37:17.000 --> 2:37:22.640]  funding or operations, you fund your operation, and they can pound sand trying to harass
[2:37:22.640 --> 2:37:23.640]  you and your employees.
[2:37:23.640 --> 2:37:31.520]  And so the first one is Washington's Reserve, washingtonreserve.com, there's big banners
[2:37:31.520 --> 2:37:42.160]  up on infowars.com and prisonplanet.com, I don't like marijuana, we still fly all glory
[2:37:42.160 --> 2:37:43.360]  down at the courthouse.
[2:37:43.360 --> 2:37:49.360]  No, to get serious, we had a magazine years ago, it was successful, but time-wise, it
[2:37:49.360 --> 2:37:54.600]  was successful, but not successful enough, so quit doing it, and we got a CBD oil advertiser
[2:37:54.600 --> 2:38:01.160]  in it that was from him, had no THC, none, but just the really good organic hip that
[2:38:01.160 --> 2:38:05.000]  has the good properties, I've shown all the good things medically, it's just amazing,
[2:38:05.000 --> 2:38:09.600]  go do your own research, and I have some, even family in these Texas are like, Aleph,
[2:38:09.600 --> 2:38:14.600]  you're sure you're not selling the marijuana to the kids, are you?
[2:38:14.600 --> 2:38:21.240]  Because they saw the magazine and I said, no, well I saw a marijuana leaf on there,
[2:38:21.240 --> 2:38:25.080]  yeah, there's over 300 varieties of hemp we know of that doesn't have THC, but that's
[2:38:25.080 --> 2:38:28.640]  all the good stuff, George Washington grew it, the Constitution Bill of Rights is on
[2:38:28.640 --> 2:38:34.000]  it, it's amazing, and I'm not going to go over all the benefits, we have over 30 products,
[2:38:34.000 --> 2:38:38.720]  this is in the top three companies in the nation, and I'm not going to even get into
[2:38:38.720 --> 2:38:43.480]  who it is, they're happy to do it, they just don't care, but I'm going to leave it, and
[2:38:43.480 --> 2:38:49.000]  they've been around a long time, but this company's been around 19 years, and it's
[2:38:49.000 --> 2:38:55.640]  legal in all 50 states, because it's hemp-derived CBD oil, no THC, you know, some of the stuff
[2:38:55.640 --> 2:39:02.080]  from regular marijuana, they test it to get some of a certain level, they arrest you,
[2:39:02.080 --> 2:39:05.160]  Trump's signed a bill to stop all that, everybody on the left hates that, they're like, we want
[2:39:05.160 --> 2:39:08.720]  to go to prison, you damn right wanger, but the Democrats are like, we'll throw your
[2:39:08.720 --> 2:39:13.400]  ass in prison, and keep blacks in, Democrats go, hell yeah, seriously, hell yeah, keep
[2:39:13.400 --> 2:39:18.160]  blacks in prison, and you smoke marijuana, go to prison, Trump's like, well wait, that's
[2:39:18.160 --> 2:39:22.200]  not reasonable, shut up you damn Nazi, I'm like, well okay, and he's like, we'll bring
[2:39:22.200 --> 2:39:31.240]  the troops home, no, we'll have the lowest black unemployment ever, no Hitler, no, anyways,
[2:39:31.240 --> 2:39:35.400]  I could have entered CBD oil, I could have had it, as you know, for all these years,
[2:39:35.400 --> 2:39:41.080]  I haven't, because I wanted to wait and see it all settle out, and this is the stuff they
[2:39:41.080 --> 2:39:45.560]  sell at Whole Foods, even though this isn't as good a quality, I mean the company that
[2:39:45.560 --> 2:39:49.760]  I do business with, it does sell at all these big places, and this is private label, and
[2:39:49.760 --> 2:39:55.560]  since they're not putting it into a store, it's on average 20% less than it is in stores,
[2:39:55.560 --> 2:39:59.560]  so we have items for $20 up to $200, because it's very expensive though, the processing
[2:39:59.560 --> 2:40:06.400]  and all of it, but it's very, very powerful in what it does for, look, there's 30 plus
[2:40:06.400 --> 2:40:11.720]  products, and it is a magic plant God gave us, it's amazing, and now you can grow hemp
[2:40:11.720 --> 2:40:16.680]  in America again yourself, every other country could grow it, even though there's no THC,
[2:40:16.680 --> 2:40:20.360]  but we couldn't, Trump just stopped that, so I keep saying how great Trump is, this
[2:40:20.360 --> 2:40:23.840]  is what's really happening, so I just saw it as a bellwether, we'd already made this
[2:40:23.840 --> 2:40:28.440]  decision before Trump did all this, this is the top company, top-rated, one of the oldest
[2:40:28.440 --> 2:40:33.280]  in the nation, and I just made the decision, I said, it was actually Tim's idea, he said,
[2:40:33.280 --> 2:40:36.360]  look, let's just build a beautiful site with them, have them run it, do everything directly
[2:40:36.360 --> 2:40:41.680]  from their great factory in Colorado, and have it sent all over the nation where they
[2:40:41.680 --> 2:40:47.520]  handle the whole deal, so it's there, you want safe, good, non-marijuana CBD, that all
[2:40:47.520 --> 2:40:51.120]  the studies and stuff shows better than the marijuana variety of it, because some of that
[2:40:51.120 --> 2:40:54.720]  stuff can brain damage you now, the studies out, like I already said, I don't need a study
[2:40:54.720 --> 2:40:58.600]  to tell you, the weaponized marijuana they got out there can brain damage people, well,
[2:40:58.600 --> 2:41:03.640]  this isn't even regular marijuana, this is hemp, totally different animal, it's like
[2:41:03.640 --> 2:41:09.560]  a horse in a goat or something, it's totally different, it has all the attributes of CBD
[2:41:09.560 --> 2:41:12.960]  that's getting patented and using all these medical patents and everything else, and it's
[2:41:12.960 --> 2:41:19.880]  amazing and it funds our operations, infowarstore.com, infowarslife.com or triple-A-253-3139, so now
[2:41:19.880 --> 2:41:24.920]  I promise, we're going to go to break and I'm going to come right back, bam, bam, bam,
[2:41:24.920 --> 2:41:28.680]  what do you think of Trump, the national emergency is going to declare tomorrow from the Oval
[2:41:28.680 --> 2:41:33.600]  Office and its first Oval Office address to the country, to get out ahead of the globalist
[2:41:33.600 --> 2:41:37.440]  trying to collapse the border, but they're going to say it's a cover for a power grab,
[2:41:37.440 --> 2:41:41.800]  well, no, the globalist already power grabbed it with Obama's emergency, he signed when
[2:41:41.800 --> 2:41:46.120]  he left to counter foreign disinformation and propaganda where he put billions into
[2:41:46.120 --> 2:41:51.520]  the CIA, Department of Defense, and into the Democratic Party to take down free speech
[2:41:51.520 --> 2:41:58.400]  and turn the CIA leftist, not the general CIA, but the leftist CIA, that's the foundation
[2:41:58.400 --> 2:42:03.800]  CIA, the policy wonks, you know, the CIA that wants to turn your five-year-old boy into
[2:42:03.800 --> 2:42:10.680]  a girl, those freaks, he's got to get them out, and only a national emergency allows
[2:42:10.680 --> 2:42:19.320]  it, so you think there's been firing so far, all of you little tally-whackers out there,
[2:42:19.320 --> 2:42:22.280]  like reality winner, if you're not going to prison, you're going to wish you were, because
[2:42:22.280 --> 2:42:28.360]  you're going to be thrown out on your ass, you un-American filth, that should take a
